('https://image1.ljcdn.com/shfdfs-image/20171209/e819dd92-18cb-4c90-b7ce-8b48f51b336f.jpg.296x216.jpg', '配套齐全的公寓，价格低，采光充足', '派克公寓  | 1室1厅 | 52.32平米 | 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  元和', '52万', '单价9939元/平米')
('https://image1.ljcdn.com/320500-inspection/1472b623-24cb-4457-a1e4-fea2d54456a8.jpg.296x216.jpg', '精装公寓，楼层采光好，二号线陆慕地铁口', '永金商业广场  | 2室1厅 | 47.13平米 | 东 | 其他 | 有电梯', '高楼层(共21层)2015年建板塔结合  -  元和', '77万', '单价16338元/平米')
('https://image1.ljcdn.com/320500-inspection/e572c615-c8e0-4243-b507-a38a2b01b518.jpg.296x216.jpg', '精装三房，诚心出售。随时可看。', '登云家园  | 3室2厅 | 115.99平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  元和', '172万', '单价14829元/平米')
('https://image1.ljcdn.com/320500-inspection/2924c79f-8a93-4f31-8821-051dd29071d9.jpg.296x216.jpg', '南北通透三房 精装修 楼层保养好', '合景峰汇九期  | 3室2厅 | 89.73平米 | 南 北 | 其他 | 有电梯', '中楼层(共22层)2013年建板楼  -  活力岛', '230万', '单价25633元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170519/b9806f70-e050-4fcd-8fa3-15dfb494e761.jpg.296x216.jpg', '御窑花园 5室2厅 280万', '御窑花园  | 5室2厅 | 207平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2006年建板楼  -  活力岛', '280万', '单价13527元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170113/4c0c26e0-e930-4c85-9abb-14994698a639.jpg.296x216.jpg', '一梯一户电梯房 户型方正 南北通透三房', '正源悦庭  | 3室2厅 | 90平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2015年建板楼  -  元和', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/320500-inspection/test-074a1573-160b-43cf-9c75-fac13a4a00f1.png.296x216.jpg', '送车位，总价低，湖景房，东边套，地暖中 央空调', '恒基水漾花城  | 4室2厅 | 140.85平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2017年建塔楼  -  活力岛', '303万', '单价21513元/平米')
('https://image1.ljcdn.com/320500-inspection/6d0f1605-cf49-4d36-839a-f1295728701d.jpg.296x216.jpg', '恒基花漾LOFT 2室2厅 97万', '恒基花漾LOFT  | 2室2厅 | 66.5平米 | 南 | 其他 | 有电梯', '中楼层(共20层)2017年建板楼  -  活力岛', '97万', '单价14587元/平米')
('https://image1.ljcdn.com/320500-inspection/9a3f75cb-c9be-4dd4-9d24-d27c5ce8a52b.jpg.296x216.jpg', '精装三房，上下两层，诚心出售.', '凯翔国际广场公寓  | 3室2厅 | 87.08平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2009年建板楼  -  元和', '118万', '单价13551元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload92063dc0-c64a-4975-b60d-ca22ec164710.jpg.296x216.jpg', '水漾花城 万科物业 小区前排南北2房 自住精美装修满2', '恒基水漾花城  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2014年建塔楼  -  活力岛', '196万', '单价22023元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9b1ba580-eb97-413d-bf57-f58a551f3c52.png.296x216.jpg', '嘉和丽园精装三房，已满两年！！', '嘉和丽园  | 3室2厅 | 128平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  元和', '218万', '单价17032元/平米')
('https://image1.ljcdn.com/320500-inspection/test-2c59cd93-f9d7-41d1-a4dc-f80ce28fd617.png.296x216.jpg', '合景峰汇 通透户型 精装修带 小区前排 随时看房', '合景峰汇七期  | 4室2厅 | 108平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  活力岛', '252万', '单价23334元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160428/0054d011-a2e8-4d30-8a63-25e1b73942d7.jpg.296x216.jpg', '天亚水景城 5室3厅 410万', '天亚水景城  | 5室3厅 | 273平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2011年建板楼  -  元和', '410万', '单价15019元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180108/77977105-4212-4808-a987-92377d481a86.jpg.296x216.jpg', '天虹品上公寓，自带商场，开发商统装，看房方便', '天虹品上中心  | 1室1厅 | 52平米 | 暂无数据 | 其他 | 有电梯', '中楼层(共26层)板楼  -  元和', '62万', '单价11924元/平米')
('https://image1.ljcdn.com/320500-inspection/a789611a-76cf-4669-b8c5-2034e3b9337f.jpg.296x216.jpg', '香城花园三区 3室2厅 225万', '香城花园三区  | 3室2厅 | 107.63平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2008年建板楼  -  元和', '225万', '单价20905元/平米')
('https://image1.ljcdn.com/320500-inspection/0bbe1fcb-097e-4588-aa5f-ba49f3562342.jpg.296x216.jpg', '嘉和丽园 经典复式房型 户型方正', '嘉和丽园  | 3室2厅 | 88.51平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  元和', '190万', '单价21467元/平米')
('https://image1.ljcdn.com/320500-inspection/2d5ba96a-8f69-41fc-aa6b-60a900ddf34e.jpg.296x216.jpg', '晨曦馨苑 上叠 送55平的大汽车库 看房方便', '晨曦馨苑   | 叠拼别墅 | 5室2厅 | 204平米 | 南 北 | 其他 | 无电梯', '上叠(共4层)2008年建板楼  -  元和', '500万', '单价24510元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160525/d363626f-6f9c-4fc7-821f-41067427135f.jpg.296x216.jpg', '欧风丽苑通透3房2卫好户型家具家电全留', '欧风丽苑  | 3室2厅 | 140.78平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2012年建塔楼  -  元和', '264万', '单价18753元/平米')
('https://image1.ljcdn.com/320500-inspection/521d1cc8-f1df-4cc8-82c8-474d6b9c6a57.jpg.296x216.jpg', '城立方，中间位置，精装修，带车位', '华润城立方  | 4室2厅 | 120平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2015年建板楼  -  活力岛', '280万', '单价23334元/平米')
('https://image1.ljcdn.com/320500-inspection/test-059243dd-4d70-4ad5-81bf-79019afeec14.png.296x216.jpg', '合景峰汇四期 4室2厅 260万', '合景峰汇四期  | 4室2厅 | 107平米 | 南 北 | 其他 | 有电梯', '低楼层(共16层)2016年建板楼  -  活力岛', '260万', '单价24300元/平米')
('https://image1.ljcdn.com/320500-inspection/209a85f3-0ae4-4fde-a4b2-838b0a22c2d0.jpg.296x216.jpg', '绿色时光花园西区 3室2厅 190万', '绿色时光花园西区  | 3室2厅 | 125平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2003年建板楼  -  元和', '190万', '单价15200元/平米')
('https://image1.ljcdn.com/320500-inspection/test-23740297-af46-47b0-87bf-ad39b424fc3e.png.296x216.jpg', '金辉大户，超大面积，超高得房率', '金辉融侨城  | 4室2厅 | 154平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2013年建板楼  -  活力岛', '370万', '单价24026元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload991b1be5-62fa-426f-ad9a-3b51ae03cfee.jpg.296x216.jpg', '欧风丽苑精装两房南北通透户型方正拎包入住交通便利', '欧风丽苑  | 2室2厅 | 89.15平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2012年建塔楼  -  元和', '178万', '单价19967元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f58dbc35-d9fd-4942-b696-034c2c464a2e.png.296x216.jpg', '康桥丽都 宽敞大四房 随时看房有钥匙 小区配套完善！', '康桥丽都  | 4室2厅 | 140.32平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共24层)2009年建板楼  -  元和', '308万', '单价21950元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c38f0921-177d-4524-b015-04258b76bd0a.png.296x216.jpg', '姑苏裕沁庭 2室2厅 268万', '姑苏裕沁庭  | 2室2厅 | 97平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2015年建板楼  -  活力岛', '268万', '单价27629元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170615/d99e059a-1534-4c0d-b39a-9f5e46a67e95.jpg.296x216.jpg', '消防小区精装4房，看房方便，赠送面积大', '消防小区  | 4室2厅 | 133平米 | 暂无数据 | 其他 | 有电梯', '中楼层(共11层)2008年建板楼  -  元和', '284万', '单价21354元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180115/443f4c89-0830-433e-af92-434839663aeb.jpg.296x216.jpg', '相城大道旁70年公寓住宅，总价低 适合过度和出租', '中翔商贸城二区  | 1室1厅 | 40平米 | 东 | 简装 | 有电梯', '低楼层(共23层)2006年建板楼  -  元和', '45万', '单价11250元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8b0fa736-f77d-45e1-bd42-a7421afc5fdf.png.296x216.jpg', '满二年，清水毛坯，户型方正，采光充足，配套齐全，', '合景峰汇一期  | 2室2厅 | 84平米 | 南 | 毛坯 | 有电梯', '低楼层(共23层)2010年建板楼  -  活力岛', '183万', '单价21786元/平米')
('https://image1.ljcdn.com/320500-inspection/5a2c5185-da1c-4f88-b23e-a5681739a710.jpg.296x216.jpg', '香城花园三区 3室2厅 250万', '香城花园三区  | 3室2厅 | 108平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)2008年建板楼  -  元和', '250万', '单价23149元/平米')
('https://image1.ljcdn.com/320500-inspection/a83b61d9-f862-4fe9-bc7e-bc2bfd098506.jpg.296x216.jpg', '水漾花城五房  居家装修  看房随时  诚意出售', '恒基水漾花城  | 5室2厅 | 188.9平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2017年建塔楼  -  活力岛', '352万', '单价18635元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160511/c066269f-6689-4e83-9094-b60d5724be95.jpg.296x216.jpg', '水漾花城，精装大四房，低楼层。', '恒基水漾花城  | 4室2厅 | 125.29平米 | 南 | 简装 | 有电梯', '低楼层(共15层)2017年建塔楼  -  活力岛', '255万', '单价20353元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171104/2da7fff6-d40c-48cb-8de8-405c5fa54bf5.jpg.296x216.jpg', '香城花园 143平精装大三房 次顶楼 景观房 看房有钥匙', '香城花园一区  | 3室2厅 | 143平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2012年建板楼  -  元和', '270万', '单价18882元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f234fd31-971d-4ae4-b513-df58580e9bf0.png.296x216.jpg', '华辰嘉园南区 2室2厅 172万', '华辰嘉园南区  | 2室2厅 | 80.75平米 | 南 | 其他 | 有电梯', '低楼层(共15层)2009年建板楼  -  活力岛', '172万', '单价21301元/平米')
('https://image1.ljcdn.com/320500-inspection/77fce7cd-f793-4351-90d5-eb5764ff387f.jpg.296x216.jpg', '永金公寓精装修可拎包入住家电全留', '永金商业广场  | 2室1厅 | 53.8平米 | 南 | 其他 | 有电梯', '中楼层(共23层)2015年建板塔结合  -  元和', '92万', '单价17101元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171009/82112af5-2a56-4698-862b-5a1996e5d39f.jpg.296x216.jpg', '香城4期，精装三房，业主换房出售，看房方便，有钥匙', '香城颐园  | 3室2厅 | 125.3平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2011年建板楼  -  元和', '265万', '单价21150元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload5e24ef0f-8f45-4cf9-ba9e-c21366ad5233.jpg.296x216.jpg', '大车位！1+1>2!!!精装修小三房,诚意出售,可拎包入住.', '合景峰汇九期  | 3室2厅 | 90平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2013年建板楼  -  活力岛', '228万', '单价25334元/平米')
('https://image1.ljcdn.com/320500-inspection/test-768ba748-da53-4fa6-8fc3-66e4145654e3.png.296x216.jpg', '香城花园三区顶楼复室诚意出售，精装修，带阳光房', '香城花园三区  | 4室2厅 | 95.38平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2008年建板楼  -  元和', '225万', '单价23590元/平米')
('https://image1.ljcdn.com/320500-inspection/test-550ef2d4-84da-4485-b476-8ad96b392fcc.png.296x216.jpg', '香城颐园一室楼层好采光充足家具家电齐全', '香城颐园  | 1室1厅 | 60.67平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2011年建板楼  -  元和', '140万', '单价23076元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170916/c4772880-294a-40b2-9a57-a8a8dc4a17ee.jpg.296x216.jpg', '国际服装城精装修，轻轨沿线，通透性好，拎包即住', '国际服装城A区  | 3室2厅 | 141平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  元和', '215万', '单价15249元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180117/81c0c9fc-9ae4-4000-9976-a57dd43214a7.jpg.296x216.jpg', '天虹品上中心 1室1厅 76万', '天虹品上中心  | 1室1厅 | 62平米 | 东 | 精装 | 有电梯', '中楼层(共26层)板楼  -  元和', '76万', '单价12259元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload10691980-7af7-4a31-903c-e73e15a9a52c.jpg.296x216.jpg', '合景峰汇十期 1室2厅 59万', '合景峰汇十期  | 1室2厅 | 47平米 | 北 | 精装 | 有电梯', '中楼层(共19层)2013年建板楼  -  活力岛', '59万', '单价12554元/平米')
('https://image1.ljcdn.com/320500-inspection/06d69672-6009-4333-b134-c7c0b84c8039.jpg.296x216.jpg', '康桥丽都 2室2厅 205万', '康桥丽都  | 2室2厅 | 89平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2009年建板楼  -  元和', '205万', '单价23034元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171217/ea17fc6d-86fc-4c5f-9bf0-3ece17c61626.jpg.296x216.jpg', '合景峰汇二期，小区最前排，经典108户型，送车位', '合景峰汇二期  | 3室2厅 | 108平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)板楼  -  活力岛', '265万', '单价24538元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171012/d65563b0-8c5b-4cb6-9772-53c2868b45cc.jpg.296x216.jpg', '元和之春 3室2厅 230万', '元和之春  | 3室2厅 | 134.7平米 | 暂无数据 | 简装 | 有电梯', '中楼层(共11层)2006年建板楼  -  元和', '230万', '单价17075元/平米')
('https://image1.ljcdn.com/320500-inspection/9f83e866-e93a-4544-bd88-e37d94d3c15b.jpg.296x216.jpg', '华辰嘉园洋房 顶楼带阁楼 精装修 实用面积大', '华辰嘉园南区  | 5室2厅 | 103平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)2008年建板楼  -  活力岛', '280万', '单价27185元/平米')
('https://image1.ljcdn.com/320500-inspection/test-36689066-9200-41b9-94f7-943be8b02796.png.296x216.jpg', '招商依云华苑 4室2厅 258万', '招商依云华苑  | 4室2厅 | 130平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共25层)2016年建板楼  -  活力岛', '258万', '单价19847元/平米')
('https://image1.ljcdn.com/320500-inspection/d242aed6-5f8d-40ba-be74-a8cc6dab3920.jpg.296x216.jpg', '房东诚意出售，看房方便，红本在手', '国际服装城A区  | 3室2厅 | 128平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2005年建板楼  -  元和', '188万', '单价14688元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload2f66840e-e0a1-4924-ba94-ea7c9eb4d968.jpg.296x216.jpg', '香城颐园 南北通透两房 毛坯出售', '香城颐园  | 2室2厅 | 89.55平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)2012年建板楼  -  元和', '199万', '单价22223元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload4868516f-1191-4730-b109-7b60771fa1bd.jpg.296x216.jpg', '合景峰汇八期 3室2厅 215万', '合景峰汇八期  | 3室2厅 | 90.05平米 | 南 | 其他 | 有电梯', '高楼层(共15层)2011年建板楼  -  活力岛', '215万', '单价23876元/平米')
('https://image1.ljcdn.com/320500-inspection/test-b10173db-4f14-4193-a2c8-becf6c6268f6.png.296x216.jpg', '嘉和丽园，顶带阁使用面积大，精装4房，南北通透', '嘉和丽园  | 4室2厅 | 86平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  元和', '204万', '单价23721元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f2d7aa4a-cad6-4647-88f7-ca166ba82a8e.png.296x216.jpg', '低楼层，一楼为架空层，采光无影响，看房基本方便', '晨曦馨苑  | 2室2厅 | 91.5平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2008年建板楼  -  元和', '185万', '单价20219元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170601/78f5ebf6-3dd5-4deb-b184-16b3e3e87da0.jpg.296x216.jpg', '四室明厅，采光好，精装修，交通便捷', '花好月圆  | 4室2厅 | 151平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  元和', '275万', '单价18212元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploada71b7b65-2cac-418e-8a15-5b86bc566e89.jpg.296x216.jpg', '荷美名邸 5室2厅 275万', '荷美名邸  | 5室2厅 | 138平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2015年建板楼  -  黄桥', '275万', '单价19928元/平米')
('https://image1.ljcdn.com/320500-inspection/b01e0e21-ae57-42c0-ad03-5ba099bd010f.jpg.296x216.jpg', '别墅区洋房，精装大三房诚心出售', '香城花园二区  | 3室3厅 | 130平米 | 南 | 精装 | 无电梯', '中楼层(共4层)2007年建板楼  -  元和', '280万', '单价21539元/平米')
('https://image1.ljcdn.com/320500-inspection/581f886a-a8d9-4308-b96e-f8dcae30cec0.jpg.296x216.jpg', '晨曦印象 南北通透 多层二楼 满五唯一 送8平独库', '晨曦印象花园  | 2室2厅 | 93.88平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2008年建板楼  -  元和', '200万', '单价21304元/平米')
('https://image1.ljcdn.com/320500-inspection/e00c1df2-00bb-4dd5-a5e2-c6b4b31ce446.jpg.296x216.jpg', '水韵花都家园，精装4房，通透四房', '水韵花都家园二期  | 4室2厅 | 139平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2014年建板楼  -  活力岛', '318万', '单价22878元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170328/1841ff1e-f773-46ff-a967-a7aef618a129.jpg.296x216.jpg', '元和之春 精装三房 拎包入住 业主诚心出售', '元和之春  | 3室2厅 | 143平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2006年建板楼  -  元和', '248万', '单价17343元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170317/d932f2ca-26cc-4026-b82f-1b520c9af092.jpg.296x216.jpg', '3室2厅，采光好，得房率高，实用性强！精装修！', '锦绣江南  | 3室2厅 | 128平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  元和', '225万', '单价17579元/平米')
('https://image1.ljcdn.com/320500-inspection/test-56e87864-0cc0-41d9-af1f-e4cdb3b4faef.png.296x216.jpg', '满五唯一 精装中间楼层 带独库 换房诚售', '御苑家园B、C区  | 2室2厅 | 72.4平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  活力岛', '143万', '单价19752元/平米')
('https://image1.ljcdn.com/320500-inspection/534ee2c1-cb47-4e50-b186-41da457ab966.jpg.296x216.jpg', '万科北宸之光 3室2厅 190万', '万科北宸之光  | 3室2厅 | 84平米 | 南 | 精装 | 有电梯', '低楼层(共34层)2017年建板塔结合  -  活力岛', '190万', '单价22620元/平米')
('https://image1.ljcdn.com/320500-inspection/75ffd5ce-cb9d-4f24-98e4-3406c3cb9f41.jpg.296x216.jpg', '水韵花都家园，精装大房，出门地铁口', '水韵花都家园  | 5室2厅 | 139.5平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2011年建板楼  -  活力岛', '335万', '单价24015元/平米')
('https://image1.ljcdn.com/320500-inspection/8098921c-8689-42a3-98b1-95206238ccf8.jpg.296x216.jpg', '香城花园 精装3房 121平经典户型 268万 送地上汽车库', '香城花园二区  | 3室2厅 | 121平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2007年建板楼  -  元和', '268万', '单价22149元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f0450b48-85e4-4f4e-aa49-fe415d0adc82.png.296x216.jpg', '元和之春 3室2厅 275万', '元和之春  | 3室2厅 | 197平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  元和', '275万', '单价13960元/平米')
('https://image1.ljcdn.com/320500-inspection/ad4710f6-66f5-4c68-b815-c3123edc5aa1.jpg.296x216.jpg', '香城花园三区 4室3厅 765万', '香城花园三区  | 4室3厅 | 305.72平米 | 南 | 其他 | 有电梯', '低楼层(共4层)板楼  -  元和', '765万', '单价25023元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170604/89e2e408-2cc3-49e5-bb08-f1e0ddb47596.jpg.296x216.jpg', '凯翔国际广场 70年产权复式公寓 陆慕实小', '凯翔国际广场公寓  | 2室2厅 | 115平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2009年建板楼  -  元和', '145万', '单价12609元/平米')
('https://image1.ljcdn.com/320500-inspection/308790b1-3aa9-4fbf-bdae-446dbe8e8ca4.jpg.296x216.jpg', '晨曦馨苑大面积两房 精装 诚意出售', '晨曦馨苑  | 2室1厅 | 115.71平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  元和', '225万', '单价19446元/平米')
('https://image1.ljcdn.com/320500-inspection/7d133b5a-f508-4a82-a43d-7dc926994f35.jpg.296x216.jpg', '书香国际 闹中取静 临湖小区 环境优美', '书香国际  | 3室2厅 | 133平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  元和', '225万', '单价16918元/平米')
('https://image1.ljcdn.com/320500-inspection/bdc464ee-b938-417d-9390-7f4b4c4787f9.jpg.296x216.jpg', '欧风丽苑精装三居室/两卫/房东诚心出售', '欧风丽苑  | 3室2厅 | 127平米 | 南 北 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  元和', '235万', '单价18504元/平米')
('https://image1.ljcdn.com/320500-inspection/dbfe6d21-fcbe-4506-acb6-cb9040a24a6c.jpg.296x216.jpg', '合景峰汇大平层 送朝北180平湖景露台 精装修', '合景峰汇三期  | 4室2厅 | 174平米 | 南 北 | 精装 | 有电梯', '低楼层(共23层)2010年建板楼  -  活力岛', '410万', '单价23564元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170306/592cbccf-c797-4c58-ab13-54e43e01ec39.jpg.296x216.jpg', '荣盛阳光名邸 3室2厅 215万', '荣盛阳光名邸  | 3室2厅 | 111.37平米 | 南 | 精装 | 有电梯', '高楼层(共9层)2005年建板楼  -  元和', '215万', '单价19306元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6730471d-a7a9-46c7-88fa-9171bc2d8fcf.png.296x216.jpg', '天虹品上中心 1室1厅 66.5万', '天虹品上中心  | 1室1厅 | 53平米 | 南 | 其他 | 有电梯', '高楼层(共26层)板楼  -  元和', '66.5万', '单价12548元/平米')
('https://image1.ljcdn.com/320500-inspection/test-fa2ab2f2-f9d7-45f2-a1b6-f26a075c8a08.png.296x216.jpg', '橡树湾2房 新出房源 精装保养好 看房随时 业主诚心', '橡树湾花园  | 2室1厅 | 79平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2013年建板塔结合  -  活力岛', '160万', '单价20254元/平米')
('https://image1.ljcdn.com/320500-inspection/fadbcb1e-cf27-4a11-b108-52b09d0add35.jpg.296x216.jpg', '此房满五不唯一，送一个地下汽车库和自行车库', '晨曦馨苑  | 2室2厅 | 94.8平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  元和', '225万', '单价23735元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171015/ac45481b-7bfd-44bb-b6c2-bd34df2f1ce2.jpg.296x216.jpg', '满两年 南北通透 奢华装修 拎包入住 采光充足', '合景峰汇三期  | 5室2厅 | 136平米 | 南 北 | 精装 | 有电梯', '低楼层(共23层)2010年建板楼  -  活力岛', '360万', '单价26471元/平米')
('https://image1.ljcdn.com/320500-inspection/d5f121c3-830b-4a4c-8492-a0944402692b.jpg.296x216.jpg', '香城花园三区 沿河一排 不临街不靠马路', '香城花园三区  | 3室2厅 | 127平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2008年建板楼  -  元和', '266万', '单价20945元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e53420e6-9643-4133-bb30-4233afacef0a.png.296x216.jpg', '依云水岸 4室2厅 439万', '依云水岸   | 叠拼别墅 | 4室2厅 | 191.3平米 | 南 | 其他 | 无电梯', '下叠(共5层)2006年建板楼  -  元和', '439万', '单价22949元/平米')
('https://image1.ljcdn.com/320500-inspection/37eca1d4-54eb-478c-acd2-f861004b289e.jpg.296x216.jpg', '荣盛阳光名邸温馨三居，满2年，楼层佳，采光通风好', '荣盛阳光名邸  | 3室2厅 | 136平米 | 南 | 精装 | 有电梯', '中楼层(共9层)2005年建板楼  -  元和', '245万', '单价18015元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170623/ba53b160-1f89-49a7-a638-11d8b0e748a4.jpg.296x216.jpg', '高铁新城圆融广场 2室2厅 215万', '高铁新城圆融广场  | 2室2厅 | 95平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2016年建板塔结合  -  高铁新城', '215万', '单价22632元/平米')
('https://image1.ljcdn.com/320500-inspection/0d022cc9-6d44-451e-b0af-3fc6584f72a5.jpg.296x216.jpg', '嘉和丽园精装三房两卫地铁口价格便宜！', '嘉和丽园  | 3室2厅 | 127平米 | 南 | 其他 | 有电梯', '中楼层(共10层)2005年建板楼  -  元和', '225万', '单价17717元/平米')
('https://image1.ljcdn.com/320500-inspection/c57509ea-45a6-4fc5-a4ab-a38e15b87553.jpg.296x216.jpg', '融侨城精装3房 诚意出售 采光视野好', '金辉融侨城  | 3室2厅 | 98.91平米 | 南 | 其他 | 有电梯', '高楼层(共24层)2014年建板楼  -  活力岛', '225万', '单价22748元/平米')
('https://image1.ljcdn.com/320500-inspection/9e4694da-748e-4b36-bdcb-96720739ecaa.jpg.296x216.jpg', '业主急售，精装大三房，家具家电全留，拎包即可入住', '康桥丽都  | 3室2厅 | 120平米 | 南 | 其他 | 有电梯', '中楼层(共24层)2009年建板楼  -  元和', '280万', '单价23334元/平米')
('https://image1.ljcdn.com/320500-inspection/24d56161-7aaa-4084-b266-1dc0015f2aff.jpg.296x216.jpg', '居家装修，通透四房，楼间距大，采光好。。。。。', '首开班芙春天花园  | 4室2厅 | 171平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2015年建板楼  -  活力岛', '317万', '单价18539元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170423/1f3d6816-1f33-420b-a793-4b499ca4dbfc.jpg.296x216.jpg', '锦绣江南通透大三房！采光充足无遮挡！', '锦绣江南  | 3室2厅 | 134.99平米 | 南 | 简装 | 有电梯', '中楼层(共15层)2005年建板楼  -  元和', '225万', '单价16668元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f0977ee3-0880-4ea1-b4e7-0af3d1b7cb3a.png.296x216.jpg', '天虹品上公寓，自带商场，开发商统装，看房方便', '天虹品上中心  | 1室1厅 | 52.95平米 | 西 | 其他 | 有电梯', '高楼层(共26层)板楼  -  元和', '72万', '单价13598元/平米')
