('https://image1.ljcdn.com/440600-inspection/test-4dad8e1a-6bfb-4c18-9472-ded3a55f49df.png.296x216.jpg', '依云天汇 3室2厅 265万', '依云天汇  | 3室2厅 | 102.12平米 | 南 | 其他', '低楼层(共45层)2011年建塔楼  -  千灯湖', '265万', '单价25950元/平米')
('https://image1.ljcdn.com/440600-inspection/977badc9-7a86-4d7c-b26d-9df6665f578a.jpg.296x216.jpg', '福盛花园 实用两房', '福盛花园  | 2室1厅 | 58.3平米 | 东 | 简装', '高楼层(共9层)1997年建塔楼  -  黄岐', '70万', '单价12007元/平米')
('https://image1.ljcdn.com/440600-inspection/0dbc66d2-7baa-4380-859f-45991eb0b4ce.JPG.296x216.jpg', '福盛花园 2室2厅 90万', '福盛花园  | 2室2厅 | 67平米 | 东南 | 其他', '中楼层(共9层)1997年建塔楼  -  黄岐', '90万', '单价13433元/平米')
('https://image1.ljcdn.com/440600-inspection/a91bbb91-d5a9-4e5f-9c49-24dd4c814f54.jpg.296x216.jpg', '雅居乐御景名门 3室2厅 228万', '雅居乐御景名门  | 3室2厅 | 95平米 | 东南 | 其他', '中楼层(共29层)2012年建塔楼  -  黄岐', '228万', '单价24000元/平米')
('https://image1.ljcdn.com/440600-inspection/21f18fcc-f7a9-4717-a5fb-e5c95b94ea97.jpg.296x216.jpg', '长信御景峰 间隔实用', '长信御景峰  | 3室2厅 | 85平米 | 北 | 其他', '高楼层(共28层)2016年建塔楼  -  黄岐', '220万', '单价25883元/平米')
('https://image1.ljcdn.com/440600-inspection/23d729f7-8fb1-4552-873e-503c74243454.jpg.296x216.jpg', '基业花园 2室1厅 60万', '基业花园  | 2室1厅 | 65平米 | 西南 | 其他', '8层2005年建板塔结合  -  平洲', '60万', '单价9231元/平米')
('https://image1.ljcdn.com/440600-inspection/538f524a-3203-464e-81eb-2aa9c7212f23.jpg.296x216.jpg', '碧水湾 2室2厅 163.4万', '碧水湾  | 2室2厅 | 86平米 | 北 | 其他', '中楼层(共11层)2007年建塔楼  -  黄岐', '163.4万', '单价19000元/平米')
('https://image1.ljcdn.com/440600-inspection/b4e857be-39d0-45b7-bf1b-b64cba11692b.jpg.296x216.jpg', '珠江半岛花园 2室2厅 102万', '珠江半岛花园  | 2室2厅 | 69平米 | 南 | 其他', '高楼层(共9层)2000年建塔楼  -  黄岐', '102万', '单价14783元/平米')
('https://image1.ljcdn.com/440600-inspection/test-ffd25884-be03-479b-b4c7-bd61f9152de1.png.296x216.jpg', '万科金色领域 1房1厅', '万科金色领域  | 1室0厅 | 39平米 | 西 | 其他', '高楼层(共46层)2016年建塔楼  -  佛平路', '62.4万', '单价16000元/平米')
('https://image1.ljcdn.com/440600-inspection/59239e92-c2a1-49a0-8e6a-2e53b2a420a8.jpg.296x216.jpg', '保利西雅图 电梯三房 南向户型', '保利西雅图  | 3室2厅 | 95平米 | 西南 | 其他', '中楼层(共32层)2016年建塔楼  -  平洲', '215万', '单价22632元/平米')
('https://image1.ljcdn.com/440600-inspection/b9aaf5b5-d0e9-40c8-857a-b767cfa61d01.jpg.296x216.jpg', '中海万锦豪园  采光通透  东南向望花园', '中海万锦豪园  | 3室2厅 | 159.16平米 | 西南 | 精装', '高楼层(共31层)2005年建塔楼  -  千灯湖', '414万', '单价26012元/平米')
('https://image1.ljcdn.com/440600-inspection/869e090f-35a4-4479-9172-e26333f8df1b.JPG.296x216.jpg', '保利西街 简单装修', '保利西街  | 2室1厅 | 68平米 | 西北 | 毛坯', '中楼层(共6层)2007年建板楼  -  千灯湖', '80万', '单价11765元/平米')
('https://image1.ljcdn.com/440600-inspection/6fd2b52e-1982-437f-bd95-247769231333.jpg.296x216.jpg', '岐丰广场 交通便利 配套齐', '岐丰广场  | 2室1厅 | 46.44平米 | 南 | 其他', '低楼层(共6层)1997年建板楼  -  黄岐', '60万', '单价12920元/平米')
('https://image1.ljcdn.com/440600-inspection/c42ca061-8792-40a6-bc83-a831c9fc615c.JPG.296x216.jpg', '禾粤尚德居 3室2厅 120万', '禾粤尚德居  | 3室2厅 | 93.76平米 | 南 | 其他', '高楼层(共27层)塔楼  -  狮山', '120万', '单价12799元/平米')
('https://image1.ljcdn.com/440600-inspection/9f3d5735-838f-498f-91a2-aa4bf379c84e.JPG.296x216.jpg', '黄岐名雅花园 2室1厅 96万', '黄岐名雅花园  | 2室1厅 | 69.7平米 | 南 | 简装', '中楼层(共8层)2000年建塔楼  -  黄岐', '96万', '单价13774元/平米')
('https://image1.ljcdn.com/440600-inspection/5b83dbf7-3c18-4d4b-8680-f3b5cd096352.jpg.296x216.jpg', '合生君景湾 欧式园林 户型实用 南北通透', '合生君景湾  | 2室2厅 | 93平米 | 北 | 精装', '高楼层(共32层)2011年建塔楼  -  黄岐', '175万', '单价18818元/平米')
('https://image1.ljcdn.com/440600-inspection/56f73b66-2750-409f-9220-85ce5e99d3a8.JPG.296x216.jpg', '新雅名轩 电梯中高层 格局方正', '新雅名轩  | 2室1厅 | 48平米 | 北 | 简装', '低楼层(共12层)2012年建塔楼  -  罗村', '77万', '单价16042元/平米')
('https://image1.ljcdn.com/440600-inspection/7e34ba5a-7cad-4b5e-ad41-13dafe305ee7.jpg.296x216.jpg', '保利花园三期 毛坯4室2厅 490万带车位', '保利花园三期  | 4室2厅 | 142.69平米 | 东南 | 其他', '高楼层(共26层)2009年建塔楼  -  千灯湖', '490万', '单价34341元/平米')
('https://image1.ljcdn.com/440600-inspection/0b6b843d-3580-43d1-9a14-3364ccfb362b.jpg.296x216.jpg', '怡翠世嘉花园 3室2厅 198万', '怡翠世嘉花园  | 3室2厅 | 89平米 | 南 | 其他', '中楼层(共32层)2012年建塔楼  -  平洲', '198万', '单价22248元/平米')
('https://image1.ljcdn.com/440600-inspection/test-fd153e6f-e864-46bb-a12a-6ad4d8e36bb4.png.296x216.jpg', '万科金色领域 1房1厅', '万科金色领域  | 1室0厅 | 39平米 | 西 | 其他', '高楼层(共46层)2016年建塔楼  -  佛平路', '60万', '单价15385元/平米')
('https://image1.ljcdn.com/440600-inspection/147303d3-b7ed-40ef-a42f-83b868a6a14d.jpg.296x216.jpg', '万科金御华府 温馨两方 交通便利', '万科金御华府  | 3室2厅 | 89.21平米 | 东南 东北 | 精装', '低楼层(共30层)2008年建塔楼  -  桂城东（城市广场）', '215万', '单价24101元/平米')
('https://image1.ljcdn.com/440600-inspection/51fcc157-bf56-4242-8cd3-26a851f2c8f8.jpg.296x216.jpg', '保利花园 带装修 3房两卫三卫', '保利花园一期  | 3室2厅 | 133平米 | 南 | 精装', '低楼层(共18层)2009年建塔楼  -  千灯湖', '365万', '单价27444元/平米')
('https://image1.ljcdn.com/440600-inspection/6294c11b-bd75-40a1-a29d-73d6ce6a75c7.jpg.296x216.jpg', '翠湖新村 低楼层四房', '翠湖新村  | 4室2厅 | 152平米 | 北 | 简装', '中楼层(共8层)塔楼  -  桂城北（南海广场）', '172万', '单价11316元/平米')
('https://image1.ljcdn.com/440600-inspection/37bdec8f-da7f-4572-b399-b890ada79072.jpg.296x216.jpg', '奥园君湖天下花园 小区环境好 孝德湖畔', '奥园公园一号  | 4室2厅 | 144.77平米 | 南 | 毛坯', '低楼层(共17层)2016年建塔楼  -  罗村', '253.4万', '单价17501元/平米')
('https://image1.ljcdn.com/440600-inspection/4c985139-b14b-4a1a-b825-77d3310eca31.JPG.296x216.jpg', '滨江名苑二期 3室2厅 78万', '滨江名苑二期  | 3室2厅 | 84平米 | 南 | 其他', '高楼层(共6层)2007年建板楼  -  狮山', '78万', '单价9286元/平米')
('https://image1.ljcdn.com/440600-inspection/1880b70b-28b5-459c-b82f-411fa4066a77.JPG.296x216.jpg', '黄岐第一城 3室2厅 210万', '黄岐第一城  | 3室2厅 | 98平米 | 西南 | 精装', '高楼层(共28层)1997年建塔楼  -  黄岐', '210万', '单价21429元/平米')
('https://image1.ljcdn.com/440600-inspection/d5d08f8a-18a0-4085-8ab0-74447357addb.jpg.296x216.jpg', '灯湖领秀 3房单位 居住舒适', '灯湖领秀  | 3室2厅 | 91.35平米 | 南 | 其他', '低楼层(共31层)2015年建塔楼  -  千灯湖', '200万', '单价21894元/平米')
('https://image1.ljcdn.com/440600-inspection/9ad4d24a-3fc4-4f52-84c8-996e1a8936a9.jpg.296x216.jpg', '罗村风度广场 三房带主套 有装修保养好', '罗村风度广场  | 3室2厅 | 91.28平米 | 北 | 简装', '低楼层(共14层)2012年建塔楼  -  罗村', '145万', '单价15886元/平米')
('https://image1.ljcdn.com/440600-inspection/55cd2c6c-b10b-4a64-8651-4e001a43467b.jpg.296x216.jpg', '华福御水岸 4室2厅 360万', '华福御水岸  | 4室2厅 | 139平米 | 南 北 | 其他', '低楼层(共31层)塔楼  -  平洲', '360万', '单价25900元/平米')
('https://image1.ljcdn.com/440600-inspection/bf4fe0c1-221a-45bf-b33e-7aa016b1143f.jpg.296x216.jpg', '时代倾城 成熟配套', '时代倾城  | 3室2厅 | 66.96平米 | 北 | 精装', '高楼层(共6层)2016年建板楼  -  罗村', '132万', '单价19714元/平米')
('https://image1.ljcdn.com/440600-inspection/743be8cb-c24b-4fa1-9704-3d6d60bfb2e0.JPG.296x216.jpg', '保利西雅图 南北对流户型 新装未住', '保利西雅图  | 3室2厅 | 96.25平米 | 南 | 其他', '低楼层(共33层)2016年建塔楼  -  平洲', '215万', '单价22338元/平米')
('https://image1.ljcdn.com/440600-inspection/2f20bf8b-0e09-4a14-aab8-3425b9325e35.jpg.296x216.jpg', '中海寰宇天下 交通便利 望花园', '中海寰宇天下  | 3室2厅 | 89平米 | 西北 | 其他', '56层2015年建板塔结合  -  千灯湖', '285万', '单价32023元/平米')
('https://image1.ljcdn.com/440600-inspection/a58f3b28-0e39-433b-b82c-a9b1c3de2a18.jpg.296x216.jpg', '丽雅苑 舒适四房 户型方正', '丽雅苑南区  | 4室2厅 | 166平米 | 南 | 其他', '中楼层(共17层)2007年建塔楼  -  桂城北（南海广场）', '340万', '单价20482元/平米')
('https://image1.ljcdn.com/440600-inspection/0722ff90-5013-4318-8043-f5d6a7dc96e4.jpg.296x216.jpg', '中恒海晖城 户型方正 实用4房', '中恒海晖城  | 4室2厅 | 140平米 | 南 | 其他', '中楼层(共25层)2018年建塔楼  -  狮山', '195万', '单价13929元/平米')
('https://image1.ljcdn.com/440600-inspection/ecbde009-6636-4e30-bf07-adf139345dd8.jpg.296x216.jpg', '明珠广场 3室2厅 105万', '明珠广场  | 3室2厅 | 75平米 | 南 | 简装', '高楼层(共7层)1997年建塔楼  -  黄岐', '105万', '单价14000元/平米')
('https://image1.ljcdn.com/440600-inspection/2daa30b1-50c6-448f-b731-fcb9590c7a57.jpg.296x216.jpg', '金桂花园 2室1厅 83万', '金桂花园  | 2室1厅 | 65平米 | 北 | 其他', '中楼层(共8层)1998年建塔楼  -  桂城北（南海广场）', '83万', '单价12770元/平米')
('https://image1.ljcdn.com/440600-inspection/b6e07ca9-b113-4070-943c-0fb50c1c1caa.jpg.296x216.jpg', '沙面新城 间隔方正 采光充足', '沙面新城  | 3室2厅 | 96.5平米 | 南 | 其他', '中楼层(共5层)2003年建板楼  -  黄岐', '170万', '单价17617元/平米')
('https://image1.ljcdn.com/440600-inspection/2d9d0922-7f76-42f7-adf9-c8611ac25839.jpg.296x216.jpg', '罗湖花园 交通便利 配套完善', '罗湖花园  | 3室2厅 | 114平米 | 北 | 简装', '高楼层(共8层)2003年建塔楼  -  罗村', '114万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/840e78a3-6bfe-4440-b5ab-0c46a6fa8e01.jpg.296x216.jpg', '黄岐南湖路 电梯南向三房', '中南花园  | 3室2厅 | 103平米 | 南 | 精装', '高楼层(共11层)2002年建塔楼  -  黄岐', '267.8万', '单价26000元/平米')
('https://image1.ljcdn.com/440600-inspection/362b43d1-9e8e-42a9-9e2b-609325475d0d.jpg.296x216.jpg', '名汇嘉园 2室1厅 155万', '名汇嘉园  | 2室1厅 | 85.35平米 | 南 | 其他', '高楼层(共18层)2013年建塔楼  -  桂城北（南海广场）', '155万', '单价18161元/平米')
('https://image1.ljcdn.com/440600-inspection/2e24cd44-7f94-4879-8e88-1fc773634271.jpg.296x216.jpg', '沙面新城 3房2厅 220万元', '沙面新城  | 3室2厅 | 95平米 | 南 | 简装', '低楼层(共8层)2003年建塔楼  -  黄岐', '220万', '单价23158元/平米')
('https://image1.ljcdn.com/440600-inspection/b3d298c0-89a6-4f1c-9e2e-b06d7cde1f57.jpg.296x216.jpg', '中恒海晖城 3室2厅 175万', '中恒海晖城  | 3室2厅 | 123平米 | 南 | 精装', '高楼层(共16层)2018年建塔楼  -  狮山', '175万', '单价14228元/平米')
('https://image1.ljcdn.com/440600-inspection/3c172a3a-48ad-4279-a4a0-6556577ce439.jpg.296x216.jpg', '南北通透 采光充足', '嘉洲花园  | 2室1厅 | 60.45平米 | 北 | 简装', '低楼层(共8层)2010年建塔楼  -  黄岐', '90.7万', '单价15001元/平米')
('https://image1.ljcdn.com/440600-inspection/1ec51d0e-0f2a-4620-8f66-92d916b294f3.jpg.296x216.jpg', '沙面新城 间隔方正 采光充足', '沙面新城  | 5室1厅 | 241平米 | 南 | 简装', '高楼层(共12层)2003年建塔楼  -  黄岐', '500万', '单价20747元/平米')
('https://image1.ljcdn.com/440600-inspection/aa55aa70-fcf6-4ce4-8ba8-1e8723a8ab9d.JPG.296x216.jpg', '奥园公园一号 3室2厅 235万', '奥园公园一号  | 3室2厅 | 128平米 | 南 | 其他', '低楼层(共16层)2016年建塔楼  -  罗村', '235万', '单价18360元/平米')
('https://image1.ljcdn.com/440600-inspection/7935d0a8-bf55-4fbe-af5c-3834981feb02.JPG.296x216.jpg', '桂华楼 2室1厅 38万', '桂华楼  | 2室1厅 | 38平米 | 南 | 其他', '高楼层(共8层)塔楼  -  罗村', '38万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/17a26170-52bf-4d54-bb7a-28e58c22fd27.jpg.296x216.jpg', '珠江半岛花园 带私人花园 间隔方正', '珠江半岛花园  | 3室2厅 | 87.39平米 | 北 | 简装', '高楼层(共8层)2000年建塔楼  -  黄岐', '110万', '单价12588元/平米')
('https://image1.ljcdn.com/440600-inspection/af24f9df-6a37-4398-ba41-e966acdaf959.jpg.296x216.jpg', '富丰新城 4室2厅 360万', '富丰新城  | 4室2厅 | 145平米 | 东南 | 其他', '高楼层(共32层)2012年建塔楼  -  平洲', '360万', '单价24828元/平米')
('https://image1.ljcdn.com/440600-inspection/959e42f7-d039-49f8-b6f4-293abd02b96d.jpg.296x216.jpg', '时代倾城 大型小区', '时代倾城  | 1室1厅 | 44.52平米 | 东 | 精装', '高楼层(共19层)2016年建塔楼  -  罗村', '45万', '单价10108元/平米')
('https://image1.ljcdn.com/440600-inspection/5788e1f8-b0b7-481d-b718-cd20942a3a64.JPG.296x216.jpg', '万科金色家园 三方单位 交通便利', '万科金色家园晴润  | 3室2厅 | 87.33平米 | 南 东北 | 其他', '中楼层(共25层)2006年建塔楼  -  桂城东（城市广场）', '195万', '单价22330元/平米')
('https://image1.ljcdn.com/440600-inspection/b112904c-4a06-4975-9210-0d8b42c13e35.jpg.296x216.jpg', '汇豪嘉园 成熟小区 环境优美', '汇豪嘉园  | 2室1厅 | 66.44平米 | 南 | 毛坯', '低楼层(共29层)2014年建塔楼  -  大沥', '125万', '单价18814元/平米')
('https://image1.ljcdn.com/440600-inspection/effef44e-395f-43dd-9425-fd0b46850d7f.jpg.296x216.jpg', '瑞丽花园 高层望花园', '瑞丽花园  | 3室2厅 | 135.94平米 | 南 北 | 简装', '高楼层(共9层)2002年建塔楼  -  黄岐', '188万', '单价13830元/平米')
('https://image1.ljcdn.com/440600-inspection/eb7adaa7-aa83-4eeb-b38b-780b2b4cc3da.jpg.296x216.jpg', '东怡花园 3室2厅 93万', '东怡花园  | 3室2厅 | 82.28平米 | 北 | 其他', '高楼层(共8层)1998年建塔楼  -  桂城东（城市广场）', '93万', '单价11303元/平米')
('https://image1.ljcdn.com/440600-inspection/8813865c-582b-44fa-9949-d78a3fc11f19.jpg.296x216.jpg', '江南名居 三房两厅', '江南名居  | 3室2厅 | 128平米 | 东 | 简装', '中楼层(共22层)2006年建塔楼  -  桂城北（南海广场）', '280万', '单价21875元/平米')
('https://image1.ljcdn.com/440600-inspection/34c3c8a7-5682-4670-96c8-c46b6b332684.jpg.296x216.jpg', '御景苑舒适3房2厅 采光通透', '御景苑  | 3室2厅 | 159.36平米 | 南 北 | 其他', '低楼层(共15层)2003年建板塔结合  -  千灯湖', '268万', '单价16818元/平米')
('https://image1.ljcdn.com/440600-inspection/84d6075b-faa8-45bf-ac2a-f1b8830c8bc2.JPG.296x216.jpg', '中恒海晖城 3室2厅 135万', '中恒海晖城  | 3室2厅 | 88平米 | 北 | 其他', '低楼层(共28层)2018年建塔楼  -  狮山', '135万', '单价15341元/平米')
('https://image1.ljcdn.com/440600-inspection/cd18cafc-e01b-4d79-91b0-262d95fb062a.JPG.296x216.jpg', '上林苑 3室2厅 140万', '上林苑  | 3室2厅 | 91.8平米 | 南 | 其他', '低楼层(共31层)塔楼  -  狮山', '140万', '单价15251元/平米')
('https://image1.ljcdn.com/440600-inspection/ab702ebd-b8ea-4176-aa5a-33ac0f6151e9.jpg.296x216.jpg', '保利花园三期 南北对流单位 环境舒适', '保利花园三期  | 4室2厅 | 141平米 | 南 北 | 其他', '高楼层(共18层)2009年建塔楼  -  千灯湖', '470万', '单价33334元/平米')
('https://image1.ljcdn.com/440600-inspection/d47a1995-6d24-4d12-a826-c3ed59cc5410.JPG.296x216.jpg', '长信银湾 4室2厅 270万', '长信银湾  | 4室2厅 | 154平米 | 南 | 其他', '中楼层(共18层)2013年建塔楼  -  罗村', '270万', '单价17533元/平米')
('https://image1.ljcdn.com/440600-inspection/f810cabd-b6ef-4b06-b578-8c94a93c12e9.jpg.296x216.jpg', '中海寰宇天下 3室2厅 280万', '中海寰宇天下  | 3室2厅 | 89平米 | 西北 | 其他', '56层2015年建板塔结合  -  千灯湖', '280万', '单价31461元/平米')
('https://image1.ljcdn.com/440600-inspection/baacaba8-ca84-4496-8097-0c8b9aeda4cc.JPG.296x216.jpg', '健兴楼 3室2厅 105万', '健兴楼  | 3室2厅 | 129.48平米 | 南 | 其他', '中楼层(共7层)板楼  -  罗村', '105万', '单价8110元/平米')
('https://image1.ljcdn.com/440600-inspection/8a22aadd-cb61-422a-bf71-2910f4330f78.JPG.296x216.jpg', '罗村翠湖绿洲花园 小区环境新净', '翠湖绿洲花园  | 2室2厅 | 58平米 | 西南 | 毛坯', '高楼层(共14层)2017年建塔楼  -  罗村', '103万', '单价17759元/平米')
('https://image1.ljcdn.com/440600-inspection/55aadd44-f4a7-4059-8552-3ad19c2df770.jpg.296x216.jpg', '中南海晖园 交通方便 环境优美', '中南海晖园  | 3室2厅 | 102平米 | 北 | 简装', '高楼层(共11层)2005年建塔楼  -  黄岐', '220万', '单价21569元/平米')
('https://image1.ljcdn.com/440600-inspection/92925f33-5cf5-4994-9b7e-8203f4ad096a.jpg.296x216.jpg', '怡翠馨园 3室2厅 210万', '怡翠馨园  | 3室2厅 | 91.44平米 | 南 北 | 其他', '低楼层(共23层)2005年建塔楼  -  桂城东（城市广场）', '210万', '单价22966元/平米')
('https://image1.ljcdn.com/440600-inspection/9b92800b-8300-4d3b-99af-c0c3dc53b53e.jpg.296x216.jpg', '奥园公园一号(君湖天下花园)  3房2厅 196万元', '奥园公园一号  | 3室2厅 | 98平米 | 北 | 其他', '低楼层(共13层)2016年建塔楼  -  罗村', '196万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/f3156aa9-37e6-460b-9c66-0576afdfbec4.jpg.296x216.jpg', '装修两房 小区环境好 环境优美 配套成熟 近西站', '西堤国际花园  | 2室2厅 | 67.04平米 | 南 | 简装', '6层2011年建板塔结合  -  狮山', '75万', '单价11188元/平米')
('https://image1.ljcdn.com/440600-inspection/a9b74324-885b-4c44-a911-4492f5194274.jpg.296x216.jpg', '怡海花园 3室2厅 120万', '怡海花园  | 3室2厅 | 68平米 | 南 | 其他', '中楼层(共7层)1998年建塔楼  -  黄岐', '120万', '单价17648元/平米')
('https://image1.ljcdn.com/440600-inspection/f99c0c3f-5adb-4195-b8c1-c5358b42836d.JPG.296x216.jpg', '翠湖绿洲花园 3室2厅 128万', '翠湖绿洲花园  | 3室2厅 | 90平米 | 南 | 其他', '低楼层(共14层)2017年建塔楼  -  罗村', '128万', '单价14223元/平米')
('https://image1.ljcdn.com/440600-inspection/c4c0be5e-3120-45d3-b7d1-c7655b28feda.jpg.296x216.jpg', '名雅花园 电梯中层三房 环境舒适', '黄岐名雅花园  | 3室1厅 | 119平米 | 北 | 简装', '中楼层(共13层)2000年建塔楼  -  黄岐', '228万', '单价19160元/平米')
('https://image1.ljcdn.com/440600-inspection/df534536-35db-4fc6-99a1-1a1e68793dfa.jpg.296x216.jpg', '桂城玉兰村 4室1厅 150万', '桂城玉兰村  | 4室1厅 | 128平米 | 南 | 其他', '低楼层(共8层)1998年建塔楼  -  天佑', '150万', '单价11719元/平米')
('https://image1.ljcdn.com/440600-inspection/016f63b5-69e7-482b-a4fd-496792295701.jpg.296x216.jpg', '富丰君御 4室2厅 345万', '富丰君御  | 4室2厅 | 138平米 | 东南 | 其他', '低楼层(共33层)2015年建塔楼  -  平洲', '345万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/f725faa1-5171-4d4d-801b-a21c0fe758ad.jpg.296x216.jpg', '中海千灯湖花园 5室2厅 1100万', '中海千灯湖花园  | 5室2厅 | 396平米 | 东南 | 其他', '低楼层(共42层)2013年建塔楼  -  千灯湖', '1100万', '单价27778元/平米')
('https://image1.ljcdn.com/440600-inspection/2027f831-b3fd-4f49-8622-60eeb9fd1cf8.JPG.296x216.jpg', '健兴楼 3室2厅 105万', '健兴楼  | 3室2厅 | 121.8平米 | 南 | 其他', '中楼层(共7层)板楼  -  罗村', '105万', '单价8621元/平米')
('https://image1.ljcdn.com/440600-inspection/2e05c36a-fc8d-4c49-aa27-beb037db0113.jpg.296x216.jpg', '中恒海晖城 实用三房', '中恒海晖城  | 3室2厅 | 89.26平米 | 南 北 | 其他', '中楼层(共21层)2018年建塔楼  -  狮山', '125万', '单价14005元/平米')
('https://image1.ljcdn.com/440600-inspection/00a1653d-bf18-4f2a-862d-f62513bebd92.jpg.296x216.jpg', '沙面新城 3房1厅 178万元', '沙面新城  | 3室1厅 | 96平米 | 南 | 其他', '中楼层(共8层)2003年建塔楼  -  黄岐', '178万', '单价18542元/平米')
('https://image1.ljcdn.com/440600-inspection/1c010d91-7a8f-4cfe-b96d-6fdb93809968.JPG.296x216.jpg', '黄岐第一城 4室2厅 250万', '黄岐第一城  | 4室2厅 | 126.9平米 | 东南 | 其他', '低楼层(共28层)塔楼  -  黄岐', '250万', '单价19701元/平米')
('https://image1.ljcdn.com/440600-inspection/01ff98db-4f60-4a37-b1e3-f5a0de685c84.jpg.296x216.jpg', '宏威* 户型方正', '宏威中心  | 2室2厅 | 68平米 | 西 | 其他', '低楼层(共8层)1997年建塔楼  -  黄岐', '105万', '单价15442元/平米')
('https://image1.ljcdn.com/440600-inspection/09a921b2-ba29-4432-ab02-f0cbb0fd0516.jpg.296x216.jpg', '保利西雅图 2室2厅 180万', '保利西雅图  | 2室2厅 | 73平米 | 北 | 其他', '低楼层(共32层)2016年建塔楼  -  平洲', '180万', '单价24658元/平米')
('https://image1.ljcdn.com/440600-inspection/62e90522-7628-40a4-b626-0b334fe3a4d5.JPG.296x216.jpg', '中恒海晖城 2室2厅 100万', '中恒海晖城  | 2室2厅 | 74平米 | 东南 | 其他', '中楼层(共15层)2018年建塔楼  -  狮山', '100万', '单价13514元/平米')
('https://image1.ljcdn.com/440600-inspection/729699bf-fe70-4ee6-990a-7cb1159b6ad9.jpg.296x216.jpg', '富丰君御 3室2厅 195万', '富丰君御  | 3室2厅 | 90平米 | 南 | 毛坯', '中楼层(共33层)2015年建塔楼  -  平洲', '195万', '单价21667元/平米')
('https://image1.ljcdn.com/440600-inspection/9a042453-6ace-43bd-9e8b-63e4f8a0b43a.jpg.296x216.jpg', '时代倾城 单边位别墅', '时代倾城   | 独栋别墅 | 5室2厅 | 390平米 | 北 | 简装', '1层2016年建暂无数据  -  罗村', '400万', '单价10257元/平米')
('https://image1.ljcdn.com/440600-inspection/6eca2537-8513-43fb-a2a4-a3384d8c94a6.jpg.296x216.jpg', '万科金色领域 1室1厅 75万', '万科金色领域  | 1室1厅 | 50.23平米 | 东 南 | 其他', '低楼层(共40层)2016年建塔楼  -  佛平路', '75万', '单价14932元/平米')
('https://image1.ljcdn.com/440600-inspection/4bfb9bc4-a2b8-4110-902b-60d214d28dd2.JPG.296x216.jpg', '时代倾城 1室1厅 68万', '时代倾城  | 1室1厅 | 43平米 | 西 | 其他', '低楼层(共15层)2016年建塔楼  -  罗村', '68万', '单价15814元/平米')
('https://image1.ljcdn.com/440600-inspection/d720743b-2f6f-43ae-9cd2-040819252169.JPG.296x216.jpg', '祈福南湾半岛 7室2厅 1000万', '祈福南湾半岛  | 7室2厅 | 370平米 | 南 | 其他', '低楼层(共3层)板楼  -  丹灶', '1000万', '单价27028元/平米')
('https://image1.ljcdn.com/440600-inspection/ec9053ed-0391-4716-a23d-9c2a19c5390d.JPG.296x216.jpg', '恒福天悦 3室2厅 135万', '恒福天悦  | 3室2厅 | 89.24平米 | 南 | 其他', '高楼层(共30层)2016年建塔楼  -  狮山', '135万', '单价15128元/平米')
('https://image1.ljcdn.com/440600-inspection/20e7cb43-03e6-44f3-8259-985c58c42f70.jpg.296x216.jpg', '上林星寓 格局方正', '上林苑  | 1室1厅 | 41平米 | 北 | 其他', '低楼层(共18层)2016年建板楼  -  狮山', '55万', '单价13415元/平米')
('https://image1.ljcdn.com/440600-inspection/77e8e3c1-b9a6-4ca3-96a0-512f88f1b99d.JPG.296x216.jpg', '黄岐第一城 3室2厅 228万', '黄岐第一城  | 3室2厅 | 120平米 | 南 | 其他', '中楼层(共12层)1997年建塔楼  -  黄岐', '228万', '单价19000元/平米')
('https://image1.ljcdn.com/440600-inspection/e29b4a60-dc16-4095-9528-abae0b2ff6a2.JPG.296x216.jpg', '时代倾城 3室1厅 136万', '时代倾城  | 3室1厅 | 115平米 | 南 北 | 毛坯', '低楼层(共15层)2016年建塔楼  -  罗村', '136万', '单价11827元/平米')
('https://image1.ljcdn.com/440600-inspection/b04186e0-42b5-408d-b915-3ee631ecac01.jpg.296x216.jpg', '千灯湖御景苑 南北对流 舒适三房两卫', '御景苑  | 3室2厅 | 126平米 | 南 北 | 其他', '8层2003年建板塔结合  -  千灯湖', '190万', '单价15080元/平米')
('https://image1.ljcdn.com/440600-inspection/034c57d6-fcb2-45be-b11d-b8c0cd0a60e6.jpg.296x216.jpg', '南海颐景园 3室2厅 305万', '南海颐景园  | 3室2厅 | 135平米 | 东南 南 | 其他', '高楼层(共22层)2007年建塔楼  -  桂城东（城市广场）', '305万', '单价22593元/平米')
('https://image1.ljcdn.com/440600-inspection/39585d1a-c833-4719-b779-d25a9a8e9c1f.jpg.296x216.jpg', '民园 3室1厅 170万', '民园  | 3室1厅 | 98.87平米 | 南 | 其他', '高楼层(共15层)2005年建塔楼  -  天佑', '170万', '单价17195元/平米')
('https://image1.ljcdn.com/440600-inspection/c87f2967-fd37-449d-a26a-7f1f7a3c5abc.JPG.296x216.jpg', '黄岐恒福花园 2室2厅 140万', '黄岐恒福花园  | 2室2厅 | 88.81平米 | 南 北 | 其他', '高楼层(共16层)2002年建塔楼  -  黄岐', '140万', '单价15764元/平米')
