('https://image1.ljcdn.com/370600-inspection/02e6fd8e-c06d-4473-b5c4-a6916f3a1670.JPG.296x216.jpg', '房子是精装修的 户型特别方正 南北通透', '中海紫御公馆  | 3室2厅 | 141平米 | 南 北 | 精装', '中楼层(共33层)2013年建板塔结合  -  科技大道', '228万', '单价16171元/平米')
('', '中海银海熙岸 2室2厅 115万', '中海银海熙岸  | 2室2厅 | 83.89平米 | 南 北 | 其他', '低楼层(共19层)2013年建板塔结合  -  东泊子', '115万', '单价13709元/平米')
('https://image1.ljcdn.com/370600-inspection/5f16cae3-8afd-4cf4-8947-441d6f0d580e.jpg.296x216.jpg', '风景优美，海景好，在高尔夫球场旁边', '马山寨海景豪庭  | 2室1厅 | 95平米 | 南 西 | 其他', '低楼层(共18层)2012年建塔楼  -  东泊子', '85万', '单价8948元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/42c7646b-4bbb-4517-b7ab-3bc26afcf4fc.png.280x210.jpg', '采光好，户型方正，视野开阔，观景效果好', '马山寨海景豪庭  | 2室2厅 | 95平米 | 南 北 | 其他', '高楼层(共18层)2012年建塔楼  -  东泊子', '114万', '单价12000元/平米')
('https://image1.ljcdn.com/370600-inspection/658d9032-c9f8-4aa7-bdaf-f21617628632.jpg.296x216.jpg', '房子南北通透 精装修 户型方正', '博源名都  | 2室2厅 | 96.65平米 | 南 北 | 精装', '中楼层(共24层)2016年建板楼  -  高新区周边', '112万', '单价11589元/平米')
('', '精装修两居室 楼层高采光好 楼间距大', '博源名都  | 2室2厅 | 90.7平米 | 南 | 其他', '中楼层(共28层)2016年建板楼  -  高新区周边', '110万', '单价12128元/平米')
('https://image1.ljcdn.com/370600-inspection/96a5c739-2a23-41e9-88e9-7fcb317cd4e0.jpg.296x216.jpg', '国际社区南北通透三居室，双南卧室南客厅，户型方正。', '中海国际社区  | 3室1厅 | 110平米 | 南 北 | 毛坯', '低楼层(共34层)2017年建塔楼  -  科技大道', '137.5万', '单价12500元/平米')
('', '博源名都 2室2厅 120万', '博源名都  | 2室2厅 | 99平米 | 南 北 | 其他', '中楼层(共28层)2016年建板楼  -  高新区周边', '120万', '单价12122元/平米')
('https://image1.ljcdn.com/370600-inspection/ae0918c2-9367-4830-bd31-568cf9f54cad.jpg.296x216.jpg', '南北通透三居室 开发商统一装修 价格各付', '中海紫御公馆  | 3室2厅 | 141.86平米 | 南 北 | 精装', '低楼层(共33层)2013年建板塔结合  -  科技大道', '225万', '单价15861元/平米')
('', '金地澜悦 2室2厅 73万', '金地澜悦  | 2室2厅 | 87平米 | 北 | 其他', '中楼层(共25层)2012年建塔楼  -  牟平', '73万', '单价8391元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload65c5beeb-6e1a-4f55-a67e-7d67760c33b6.jpg.296x216.jpg', '中海国际社区新上三居带20万精装，赠送全部家具家电！', '中海国际社区  | 3室2厅 | 94.35平米 | 南 | 精装', '中楼层(共33层)2017年建塔楼  -  科技大道', '150万', '单价15899元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/583a986a-a2e2-4fd3-a625-f74d160858a0.png.280x210.jpg', '马山寨海景豪庭毛坯四居室 南北通透  可观海', '马山寨海景豪庭  | 4室1厅 | 169.63平米 | 南 北 | 其他', '高楼层(共18层)2012年建塔楼  -  东泊子', '200万', '单价11791元/平米')
('https://image1.ljcdn.com/370600-inspection/80518a80-7f37-49f2-bfd5-f7582678c338.jpg.296x216.jpg', '金象泰十里洋房 毛坯三居室   可随意装修', '金象泰·十里洋房  | 3室2厅 | 139.45平米 | 南 北 | 其他', '低楼层(共6层)2016年建板楼  -  牟平', '200万', '单价14343元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/1f3705d0-2452-4206-b157-30c8200b0532.png.280x210.jpg', '中海紫御公馆 3室2厅 208万', '中海紫御公馆  | 3室2厅 | 141平米 | 南 北 | 其他', '高楼层(共33层)2013年建板楼  -  科技大道', '208万', '单价14752元/平米')
('https://image1.ljcdn.com/370600-inspection/7630b6fa-fcce-4f0d-af4b-672dff333c8c.jpg.296x216.jpg', '开发商是金地的开发商   人车分流', '金地澜悦  | 1室1厅 | 67.82平米 | 北 | 其他', '高楼层(共25层)2012年建塔楼  -  牟平', '48万', '单价7078元/平米')
('', '海天雅筑 3室2厅 130万', '海天雅筑  | 3室2厅 | 112.7平米 | 南 北 | 其他', '中楼层(共25层)2016年建板楼  -  科技大道', '130万', '单价11536元/平米')
('https://image1.ljcdn.com/370600-inspection/35957022-a036-4cd1-96c0-9124e2217656.jpg.296x216.jpg', '此房房产证已出，房子户型方正合理，赠送车位！车位！', '中海国际社区  | 2室2厅 | 87.68平米 | 南 北 | 精装', '高楼层(共18层)2017年建板楼  -  科技大道', '132万', '单价15055元/平米')
('', '中海国际社区 3室2厅 188万', '中海国际社区  | 3室2厅 | 105平米 | 南 北 | 其他', '低楼层(共32层)2017年建板楼  -  科技大道', '188万', '单价17905元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload3bef793a-d7a4-4721-94b8-c545f578ca46.jpg.296x216.jpg', '纯南向两居室 采光很好 送固定装修', '博源名都  | 2室2厅 | 90.7平米 | 南 北 | 其他', '中楼层(共28层)2016年建板楼  -  高新区周边', '100万', '单价11026元/平米')
('', '马山寨海景豪庭 4室2厅 370万', '马山寨海景豪庭  | 4室2厅 | 250平米 | 南 北 | 其他', '高楼层(共4层)2012年建板楼  -  东泊子', '370万', '单价14800元/平米')
('https://image1.ljcdn.com/370600-inspection/3af4ccbe-d688-4675-ab5e-31a06681f2ae.jpg.296x216.jpg', '通透性好，采光视野都很好，拎包入住，看海效果很好', '中海银海熙岸  | 3室2厅 | 138.06平米 | 南 北 | 其他', '高楼层(共19层)2012年建板塔结合  -  东泊子', '199万', '单价14415元/平米')
('https://image1.ljcdn.com/370600-inspection/eaee917e-95b7-446e-a09d-ca8e89cf7c03.jpg.296x216.jpg', '中海国际社区 3室2厅 155万', '中海国际社区  | 3室2厅 | 107.86平米 | 东 南 北 | 其他', '中楼层(共32层)2017年建板楼  -  科技大道', '155万', '单价14371元/平米')
('', '祥隆理想城 3室1厅 138万', '祥隆理想城  | 3室1厅 | 126平米 | 南 北 | 其他', '中楼层(共31层)2015年建板楼  -  科技大道', '138万', '单价10953元/平米')
('https://image1.ljcdn.com/370600-inspection/c02016d8-2382-4e24-9867-a11a0b5597e6.jpg.296x216.jpg', '此房产证在手，南北通透两居室，高楼层视野好，采光佳', '中海国际社区  | 2室2厅 | 86.11平米 | 南 北 | 其他', '中楼层(共19层)2017年建塔楼  -  科技大道', '120万', '单价13936元/平米')
('https://image1.ljcdn.com/370600-inspection/bcc6e2da-5079-46ce-b073-5ab895f142e4.jpg.296x216.jpg', '博源名都 2室2厅 118万', '博源名都  | 2室2厅 | 96.65平米 | 南 北 | 其他', '高楼层(共24层)2016年建板楼  -  高新区周边', '118万', '单价12210元/平米')
('', '海天雅筑 3室2厅 250万', '海天雅筑  | 3室2厅 | 174.5平米 | 南 北 | 其他', '高楼层(共27层)暂无数据  -  科技大道', '250万', '单价14327元/平米')
('https://image1.ljcdn.com/370600-inspection/03f4965e-52e0-4ed0-953b-a76a7aa2219d.jpg.296x216.jpg', '南北通透 采光充足 东打头 可以看海', '金地澜悦  | 3室1厅 | 151平米 | 南 北 | 其他', '低楼层(共29层)2012年建板楼  -  牟平', '203万', '单价13444元/平米')
('https://image1.ljcdn.com/370600-inspection/ba97f2d1-9afc-4862-9010-8f6db153401f.jpg.296x216.jpg', '房子带地下一层，精装修.户型方正，南北通透.带车位', '金地澜悦  | 3室2厅 | 150平米 | 南 北 | 其他', '低楼层(共27层)2012年建板楼  -  牟平', '263万', '单价17534元/平米')
('', '海天雅筑 3室2厅 160万', '海天雅筑  | 3室2厅 | 124.17平米 | 南 北 | 其他', '高楼层(共27层)暂无数据  -  科技大道', '160万', '单价12886元/平米')
('https://image1.ljcdn.com/370600-inspection/74094666-cfff-4345-899f-071c8cb205ca.jpg.296x216.jpg', '央企开发，户型合理，精装修，产证在手', '中海国际社区  | 2室2厅 | 72.66平米 | 南 北 | 其他', '低楼层(共33层)2017年建塔楼  -  科技大道', '92万', '单价12662元/平米')
('https://image1.ljcdn.com/370600-inspection/8511631d-695f-4ef8-9c4a-645c793a25e7.jpg.296x216.jpg', '高新区装修未住过的一线海景房 拎包入住 高楼层', '海天雅筑  | 3室2厅 | 124平米 | 南 北 | 精装', '中楼层(共26层)板楼  -  科技大道', '156万', '单价12581元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/583a986a-a2e2-4fd3-a625-f74d160858a0.png.280x210.jpg', '楼层好，户型方正，采光好，环境好，安静宜居', '马山寨海景豪庭  | 4室2厅 | 169.63平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  东泊子', '175万', '单价10317元/平米')
('https://image1.ljcdn.com/370600-inspection/935f81d9-90f0-4b68-9a54-c58609d6abfb.jpg.296x216.jpg', '精装修+车位小棚=每个房间都能看海的奢华大四居', '海天雅筑  | 4室2厅 | 174.5平米 | 南 北 | 其他', '高楼层(共27层)暂无数据  -  科技大道', '240万', '单价13754元/平米')
('https://image1.ljcdn.com/370600-inspection/4fd95efd-66e9-4887-b2dd-8fd2ea1482c5.jpg.296x216.jpg', '小区封闭式管理，地理位置不错，采光好，适合改善居住', '海天雅筑  | 3室2厅 | 124.17平米 | 南 北 | 毛坯', '低楼层(共26层)暂无数据  -  科技大道', '150万', '单价12081元/平米')
('', '金地澜悦毛坯四居室  南北通透   采光好 海景好', '金地澜悦  | 4室2厅 | 176.96平米 | 南 北 | 其他', '中楼层(共27层)2012年建板楼  -  牟平', '230万', '单价12998元/平米')
('https://image1.ljcdn.com/370600-inspection/b84c322f-30ec-4b2f-9fb2-4b59694733fc.jpg.296x216.jpg', '精装修 打头房 南北通透 采光充足 可看海', '金地澜悦  | 3室2厅 | 151.39平米 | 南 北 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '238万', '单价15721元/平米')
('https://image1.ljcdn.com/370600-inspection/fd06471d-09af-4568-b774-b13f0fe662ba.jpg.296x216.jpg', '正元怡居\xa0 2室2厅 102万', '正元怡居\xa0  | 2室2厅 | 89.7平米 | 南 | 其他', '低楼层(共32层)2014年建板楼  -  科技大道', '102万', '单价11372元/平米')
('', '中海紫御公馆 1室1厅 61万', '中海紫御公馆  | 1室1厅 | 61平米 | 南 | 毛坯', '高楼层(共29层)2012年建板楼  -  科技大道', '61万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/2ddbd76b-7b10-4f1d-a21b-caf79b9aac52.jpg.296x216.jpg', '南北通透格局，视野宽阔，采光充足，配套齐全，', '力高阳光海岸  | 4室2厅 | 110平米 | 南 北 | 其他', '高楼层(共30层)2016年建板楼  -  牟平', '140万', '单价12728元/平米')
('https://image1.ljcdn.com/370600-inspection/8310c496-d8c0-485f-96a3-d4ed09b381b7.jpg.296x216.jpg', '中海国际社区 3室2厅 150万', '中海国际社区  | 3室2厅 | 91.03平米 | 南 北 | 其他', '低楼层(共34层)塔楼  -  科技大道', '150万', '单价16479元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/6325002b-b435-44a3-9229-5837361efcb8.png.280x210.jpg', '马山寨海景豪庭 精装修 大三居 可观海', '马山寨海景豪庭  | 3室2厅 | 131.77平米 | 北 | 其他', '中楼层(共18层)2012年建塔楼  -  东泊子', '180万', '单价13661元/平米')
('https://image1.ljcdn.com/370600-inspection/19ae0f4d-3779-49e4-83a1-47b7caf53f49.jpg.296x216.jpg', '纯南向两居室 采光很好 家具家电齐全 买来基本未住', '博源名都  | 2室1厅 | 88平米 | 南 | 其他', '高楼层(共28层)2016年建板楼  -  高新区周边', '105万', '单价11932元/平米')
('https://image1.ljcdn.com/370600-inspection/52c849f8-0ab7-4cbe-a1fe-7576e4701916.jpg.296x216.jpg', '海天雅筑  可以看海 靠海不近海 毛坯 能贷款 看房方便', '海天雅筑  | 3室2厅 | 157.76平米 | 南 北 | 毛坯', '高楼层(共28层)暂无数据  -  科技大道', '195万', '单价12361元/平米')
('', '海天雅筑一楼带南向小院，精装修三居室两个卫生间。', '海天雅筑  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共25层)暂无数据  -  科技大道', '150万', '单价13393元/平米')
('https://image1.ljcdn.com/370600-inspection/3c8eae50-70f6-4d51-92d6-8b7e89970887.jpg.296x216.jpg', '花园小区+南面无遮挡+北侧能看海+通透两居室', '中海银海熙岸  | 2室2厅 | 84.22平米 | 南 北 | 其他', '高楼层(共19层)2013年建板塔结合  -  东泊子', '115万', '单价13655元/平米')
('https://image1.ljcdn.com/370600-inspection/a5a4ed59-1832-4aac-a578-0b74b017e3bb.jpg.296x216.jpg', '高楼层可看海精装修拎包入住，花园小区，', '中海银海熙岸  | 3室2厅 | 118平米 | 南 北 | 其他', '高楼层(共33层)2013年建板塔结合  -  东泊子', '165万', '单价13984元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/ccadc04e-e9c7-42ef-a1ce-b38073641a17.png.280x210.jpg', '户型是二室两厅一厨一卫，南阳台有一半赠送面积', '中海国际社区  | 2室2厅 | 87.51平米 | 南 北 | 简装', '中楼层(共19层)2017年建塔楼  -  科技大道', '130万', '单价14856元/平米')
('https://image1.ljcdn.com/370600-inspection/16d4f0f7-8e3a-4bd0-b665-4852810cb1bc.jpg.296x216.jpg', '南北通透三居室 中高楼层 采光充足 装修好的', '力高阳光海岸  | 3室1厅 | 81.58平米 | 南 北 | 其他', '高楼层(共30层)2016年建板楼  -  牟平', '107万', '单价13116元/平米')
('https://image1.ljcdn.com/370600-inspection/b360f782-8eb4-4a9e-a3e8-312012d1f811.jpg.296x216.jpg', '纯南向精装好房子，户型方正，适合居住', '博源名都  | 2室2厅 | 93.33平米 | 南 | 其他', '高楼层(共24层)2016年建板楼  -  高新区周边', '105万', '单价11251元/平米')
('', '海天雅筑一期，精装三居室，全天采光，视野好', '海天雅筑  | 3室2厅 | 158.6平米 | 南 北 | 其他', '中楼层(共28层)暂无数据  -  科技大道', '240万', '单价15133元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploaddb997582-42ea-46ab-886c-3f6214faa661.jpg.296x216.jpg', '房子是小区南排的房子，视野好，没有遮挡，全明户型', '金地澜悦  | 3室2厅 | 112平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '150万', '单价13393元/平米')
('https://image1.ljcdn.com/370600-inspection/2f34f071-6e92-4678-b7e0-6f715cb15203.jpg.296x216.jpg', '南北通透精装修 可看海 未住 不满两年 各付', '博源名都  | 2室2厅 | 98平米 | 南 北 | 精装', '中楼层(共28层)2016年建板楼  -  高新区周边', '120万', '单价12245元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/6325002b-b435-44a3-9229-5837361efcb8.png.280x210.jpg', '马山寨海景豪庭 3室2厅 205万', '马山寨海景豪庭  | 3室2厅 | 129.49平米 | 东南 南 | 其他', '高楼层(共18层)2012年建塔楼  -  东泊子', '205万', '单价15832元/平米')
('https://image1.ljcdn.com/370600-inspection/c83f1859-ba23-463d-9bcd-ac58e0cec418.jpg.296x216.jpg', '此房南北通透 户型方正 海景好', '马山寨海景豪庭  | 4室1厅 | 169.63平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  东泊子', '245万', '单价14444元/平米')
('https://image1.ljcdn.com/370600-inspection/c0794193-2297-4f00-83a0-67084a32a38d.jpg.296x216.jpg', '50万精装修+小棚=房主急售海景大四居', '海天雅筑  | 4室2厅 | 174.5平米 | 南 北 | 其他', '中楼层(共27层)暂无数据  -  科技大道', '260万', '单价14900元/平米')
('', '中海紫御公馆 1室1厅 60万', '中海紫御公馆  | 1室1厅 | 61平米 | 南 | 其他', '高楼层(共29层)2012年建板楼  -  科技大道', '60万', '单价9837元/平米')
('https://image1.ljcdn.com/370600-inspection/7a18491b-1d10-468b-812a-a754de90b6af.jpg.296x216.jpg', '力高三居室 南北通透 中高楼层', '力高阳光海岸  | 3室2厅 | 88.41平米 | 南 北 | 其他', '中楼层(共27层)2016年建板楼  -  牟平', '105万', '单价11877元/平米')
('https://image1.ljcdn.com/370600-inspection/45e23772-2b7f-4c0a-9ca5-10ea289df962.jpg.296x216.jpg', '中海紫御公馆 1室2厅 70万', '中海紫御公馆  | 1室2厅 | 61平米 | 南 北 | 其他', '高楼层(共29层)2012年建板楼  -  科技大道', '70万', '单价11476元/平米')
('', '金地澜悦 1室1厅 50万', '金地澜悦  | 1室1厅 | 67平米 | 北 | 其他', '高楼层(共25层)2012年建塔楼  -  牟平', '50万', '单价7463元/平米')
('https://image1.ljcdn.com/370600-inspection/e97da894-3576-4f82-9465-bbdfbb9ef3f8.jpg.296x216.jpg', '精装带院，带个小棚，一梯一户，看房方便', '海天雅筑  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共25层)2016年建板楼  -  科技大道', '140万', '单价12500元/平米')
('https://image1.ljcdn.com/370600-inspection/e75dd5ef-1f6d-4801-8178-8bdc0b97167e.jpg.296x216.jpg', '博源名都 2室2厅 118万', '博源名都  | 2室2厅 | 94.95平米 | 南 北 | 其他', '中楼层(共24层)2016年建板楼  -  高新区周边', '118万', '单价12428元/平米')
('', '中海国际社区 3室2厅 165万', '中海国际社区  | 3室2厅 | 113.84平米 | 南 北 | 其他', '低楼层(共18层)2017年建板楼  -  科技大道', '165万', '单价14495元/平米')
('https://image1.ljcdn.com/370600-inspection/c2f45ff0-c82a-43bb-a52a-5fc4a421246b.jpg.296x216.jpg', '精装修 可直接拎包入住 木地板 带阳台 大窗户', '金地澜悦  | 2室1厅 | 87平米 | 南 | 其他', '高楼层(共25层)2012年建塔楼  -  牟平', '85万', '单价9771元/平米')
('https://image1.ljcdn.com/370600-inspection/dac84814-2b65-4950-a75a-df7fb791509b.jpg.296x216.jpg', '中海国际社区 3室2厅 150万', '中海国际社区  | 3室2厅 | 95平米 | 南 北 | 其他', '中楼层(共32层)2017年建板楼  -  科技大道', '150万', '单价15790元/平米')
('', '中海国际社区 3室2厅 155万', '中海国际社区  | 3室2厅 | 134.87平米 | 南 北 | 其他', '高楼层(共19层)2017年建塔楼  -  科技大道', '155万', '单价11493元/平米')
('https://image1.ljcdn.com/370600-inspection/6e842754-7c95-4672-8038-f6547a70af6a.jpg.296x216.jpg', '精装修+户型方正+视野好+采光充足', '金地澜悦  | 2室2厅 | 87平米 | 南 北 | 其他', '中楼层(共25层)2012年建塔楼  -  牟平', '80万', '单价9196元/平米')
('', '中海国际社区 2室2厅 115万', '中海国际社区  | 2室2厅 | 86平米 | 南 北 | 其他', '低楼层(共19层)2017年建塔楼  -  科技大道', '115万', '单价13373元/平米')
('', '金象泰·十里洋房 4室3厅 350万', '金象泰·十里洋房  | 4室3厅 | 175平米 | 南 北 | 其他', '低楼层(共6层)2016年建板楼  -  牟平', '350万', '单价20000元/平米')
('https://image1.ljcdn.com/370600-inspection/54989d90-da20-4237-9597-446d739cc5d8.jpg.296x216.jpg', '金地澜悦装修四居室 南北通透  可观海  采光好', '金地澜悦  | 4室2厅 | 176.96平米 | 南 北 | 其他', '中楼层(共28层)板楼  -  牟平', '280万', '单价15823元/平米')
('https://image1.ljcdn.com/370600-inspection/ef60062b-eee8-4102-a273-e3614b40c260.jpg.296x216.jpg', '南北通透，1梯2户，新装修，公摊小，2居室', '中海国际社区  | 2室2厅 | 71平米 | 南 北 | 简装', '中楼层(共33层)2017年建塔楼  -  科技大道', '95万', '单价13381元/平米')
('', '金象泰·十里洋房 4室2厅 310万', '金象泰·十里洋房  | 4室2厅 | 180平米 | 南 北 | 其他', '高楼层(共6层)2016年建板楼  -  牟平', '310万', '单价17223元/平米')
('https://image1.ljcdn.com/370600-inspection/72982bd6-2a56-48ef-97f8-5f86322c13e7.jpg.296x216.jpg', '金地澜悦毛坯房，可自由装修，楼层适中，采光不影响', '金地澜悦  | 2室1厅 | 112平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '150万', '单价13393元/平米')
('', '莱山高新交界，2T2户东打头看海效果不错，诚心出售', '海天雅筑  | 4室2厅 | 157.76平米 | 南 北 | 毛坯', '高楼层(共28层)2016年建板楼  -  科技大道', '185万', '单价11727元/平米')
('https://image1.ljcdn.com/370600-inspection/cb45f25e-1a97-4931-b0a1-23f8b1085c56.jpg.296x216.jpg', '全实木装修 全明户型  大三居双卫 能看海', '马山寨海景豪庭  | 3室2厅 | 131.77平米 | 东北 | 其他', '低楼层(共18层)2012年建塔楼  -  东泊子', '200万', '单价15178元/平米')
('https://image1.ljcdn.com/370600-inspection/73ccc51d-40d1-4b89-acb4-c61ed0846d73.jpg.296x216.jpg', '品质社区，海景房，经典耳朵户型，大落地窗户，视野佳', '海天雅筑  | 3室2厅 | 124平米 | 南 北 | 其他', '中楼层(共26层)板楼  -  科技大道', '160万', '单价12904元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload2ae596a3-7e8c-4eab-b82c-c8bf44569e20.jpg.296x216.jpg', '金地澜悦 3室1厅 140万', '金地澜悦  | 3室1厅 | 112.5平米 | 南 北 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '140万', '单价12445元/平米')
('', '金地澜悦 1室1厅 52万', '金地澜悦  | 1室1厅 | 62平米 | 南 | 其他', '中楼层(共25层)2012年建塔楼  -  牟平', '52万', '单价8388元/平米')
('https://image1.ljcdn.com/370600-inspection/aa8fa7b8-7b48-43a5-9da8-dbc62b26d95d.jpg.296x216.jpg', '户型方正，海景好，精装两居，视野好，采光充足', '马山寨海景豪庭  | 2室1厅 | 95.89平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  东泊子', '120万', '单价12515元/平米')
('', '金地澜悦 1室1厅 52万', '金地澜悦  | 1室1厅 | 62平米 | 南 | 精装', '中楼层(共25层)2012年建塔楼  -  牟平', '52万', '单价8388元/平米')
('https://image1.ljcdn.com/370600-inspection/5494fc8f-8a40-4c30-880a-be3ba6230129.jpg.296x216.jpg', '中海国际社区新上装修三居室，业主婚装自住房，来电看', '中海国际社区  | 3室2厅 | 109.72平米 | 南 北 | 精装', '中楼层(共34层)2017年建塔楼  -  科技大道', '155万', '单价14127元/平米')
('', '中海国际社区 3室2厅 145万', '中海国际社区  | 3室2厅 | 95平米 | 南 北 | 其他', '中楼层(共33层)2018年建塔楼  -  科技大道', '145万', '单价15264元/平米')
('https://image1.ljcdn.com/370600-inspection/a1d64fb3-fc28-4b07-b7e9-8ac878f9df68.jpg.296x216.jpg', '中海紫御公馆 6室3厅 620万', '中海紫御公馆  | 6室3厅 | 371.77平米 | 南 北 | 其他', '低楼层(共4层)暂无数据  -  科技大道', '620万', '单价16677元/平米')
('', '中海海悦府 3室2厅 228万', '中海海悦府  | 3室2厅 | 119平米 | 南 北 | 其他', '低楼层(共7层)2016年建板楼  -  科技大道', '228万', '单价19160元/平米')
('https://image1.ljcdn.com/370600-inspection/55b793c3-2b9f-40bf-8557-e6f5c831a9e0.jpg.296x216.jpg', '金地澜悦装修顶层复式   采光好  海景好  带露台', '金地澜悦  | 5室3厅 | 272.36平米 | 南 北 | 其他', '高楼层(共27层)板楼  -  牟平', '460万', '单价16890元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/7c58e121-4438-4389-91de-84107e65dfd5.png.280x210.jpg', '中海银海熙岸 3室1厅 230万', '中海银海熙岸  | 3室1厅 | 138平米 | 南 北 | 其他', '低楼层(共19层)2012年建板塔结合  -  东泊子', '230万', '单价16667元/平米')
('', '容大东海岸 1室1厅 66万', '容大东海岸  | 1室1厅 | 45平米 | 南 北 | 其他', '低楼层(共31层)2011年建板塔结合  -  东泊子', '66万', '单价14667元/平米')
('', '中海紫御公馆 4室2厅 390万', '中海紫御公馆  | 4室2厅 | 254平米 | 南 北 | 其他', '高楼层(共33层)板楼  -  科技大道', '390万', '单价15355元/平米')
('https://image1.ljcdn.com/370600-inspection/8cc2511c-72d3-4115-bf68-13f9d6fad68c.jpg.296x216.jpg', '温馨两居室，格局好，采光无遮挡。', '中海银海熙岸  | 2室1厅 | 82.98平米 | 南 北 | 精装', '低楼层(共19层)2013年建板塔结合  -  东泊子', '118万', '单价14221元/平米')
('', '中海紫御公馆 1室1厅 60万', '中海紫御公馆  | 1室1厅 | 61平米 | 南 | 毛坯', '低楼层(共29层)2012年建板楼  -  科技大道', '60万', '单价9837元/平米')
('https://image1.ljcdn.com/370600-inspection/4edc01c7-534b-4b06-bd2e-285ae6518f49.jpg.296x216.jpg', '金地澜悦精装公寓     一居室有阳台  可观海', '金地澜悦  | 1室1厅 | 60.25平米 | 东 | 精装', '中楼层(共25层)2012年建塔楼  -  牟平', '48.2万', '单价8000元/平米')
('', '马山寨海景豪庭 5室3厅 370万', '马山寨海景豪庭  | 5室3厅 | 250平米 | 南 北 | 其他', '高楼层(共4层)2012年建板楼  -  东泊子', '370万', '单价14800元/平米')
('https://image1.ljcdn.com/370600-inspection/f27ef27f-18b4-4f77-8e4c-360adb7f56f8.jpg.296x216.jpg', '海天雅筑 3室2厅 150万', '海天雅筑  | 3室2厅 | 124平米 | 东 南 西 | 其他', '低楼层(共26层)暂无数据  -  科技大道', '150万', '单价12097元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade8a1d5e8-e4e9-4592-a528-aa1fa2a7bd14.jpg.296x216.jpg', '复式带车位，采光好，视野开阔，毛坯', '金地澜悦  | 4室2厅 | 172.5平米 | 南 北 | 其他', '高楼层(共29层)2012年建板楼  -  牟平', '210万', '单价12174元/平米')
('https://image1.ljcdn.com/370600-inspection/e61caf60-d2fe-4553-96f7-d98df2f262e8.jpg.296x216.jpg', '毛坯落地窗三居，楼层合适，采光视野好，带车位小棚', '海天雅筑  | 3室2厅 | 113.24平米 | 南 北 | 毛坯', '高楼层(共25层)2016年建板楼  -  科技大道', '151万', '单价13335元/平米')
('https://image1.ljcdn.com/370600-inspection/e53624ff-04e3-445f-b410-86e9486c226a.jpg.296x216.jpg', '海天雅筑 2室2厅 120万', '海天雅筑  | 2室2厅 | 97平米 | 南 北 | 其他', '高楼层(共25层)暂无数据  -  科技大道', '120万', '单价12372元/平米')
