('https://image1.ljcdn.com/340100-inspection/d29bc567-db84-4449-bd5e-c46d29c0b2d2.JPG.296x216.jpg', '熔安家园，刚需两房，朝南户型，大阳台，采光好，诚售', '熔安家园  | 2室2厅 | 85.76平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  临湖', '115万', '单价13410元/平米')
('https://image1.ljcdn.com/340100-inspection/ccef7845-7ae1-4925-aae6-086752edbb17.JPG.296x216.jpg', '精装修+南北通透+看房方便+楼层好+采光好+满五', '东海徽园  | 4室2厅 | 166.19平米 | 南 北 | 其他', '低楼层(共18层)2006年建板楼  -  莲花', '270万', '单价16247元/平米')
('https://image1.ljcdn.com/340100-inspection/1c1b3c4f-545a-460f-a9d2-1c37f1b6f1b8.JPG.296x216.jpg', '铂爵公馆边户大两房，采光充足，视野开阔，双阳台朝南', '铂爵公馆  | 2室2厅 | 96.02平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  芙蓉', '145万', '单价15102元/平米')
('https://image1.ljcdn.com/340100-inspection/d92a560e-caad-413e-b426-654c495522ec.JPG.296x216.jpg', '小区环境好，安静，南北通透户型，精装修', '翠微苑  | 2室2厅 | 94.98平米 | 南 北 | 精装', '高楼层(共6层)2010年建板楼  -  芙蓉', '156万', '单价16425元/平米')
('https://image1.ljcdn.com/340100-inspection/9fab3ac9-51ad-4875-a01f-702f0e286e0f.JPG.296x216.jpg', '观澜华庭，没有社保可以买，外地人的福音，诚心卖', '观澜华庭  | 3室2厅 | 108.73平米 | 南 北 | 其他', '中楼层(共18层)2013年建塔楼  -  临湖', '175万', '单价16095元/平米')
('https://image1.ljcdn.com/340100-inspection/2a29468e-2d7a-4bea-a14f-77cc10826f41.JPG.296x216.jpg', '此房满两年，复式带大露台， 户型通透，采光好视野好', '翡翠花园翠湖苑  | 4室3厅 | 159.97平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  芙蓉', '215万', '单价13441元/平米')
('https://image1.ljcdn.com/340100-inspection/5e7584da-5068-49cf-84dd-e8240701656b.JPG.296x216.jpg', '交通便利，周边设施齐全，环境较为安静', '南郡明珠  | 1室1厅 | 49平米 | 北 | 其他', '低楼层(共11层)2011年建板楼  -  锦绣', '68万', '单价13878元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9dd2bd54-1ac5-4ee4-801f-918b5ef0f5a5.JPG.296x216.jpg', '华凤国际 2室2厅 129万', '华凤国际  | 2室2厅 | 108.52平米 | 南 | 其他', '中楼层(共23层)2010年建板楼  -  莲花', '129万', '单价11888元/平米')
('https://image1.ljcdn.com/340100-inspection/9296397f-97c0-4f4f-96fd-a86ee6ec5b44.jpg.296x216.jpg', '绿地新小区，南艳湖区域少见新四房，两房朝南', '绿地滨湖印象  | 4室2厅 | 116.82平米 | 南 北 | 其他', '中楼层(共41层)2016年建塔楼  -  临湖', '175万', '单价14981元/平米')
('https://image1.ljcdn.com/340100-inspection/e540aa76-c2fe-4fb5-b573-7481c761cbf8.JPG.296x216.jpg', '满五，采光好，楼层好，大两房，配套齐全', '明珠湖畔  | 2室2厅 | 82.16平米 | 南 | 其他', '高楼层(共16层)2007年建塔楼  -  芙蓉', '138万', '单价16797元/平米')
('https://image1.ljcdn.com/340100-inspection/8b0c09e4-54c8-4592-b154-42dcb5138ec1.JPG.296x216.jpg', '东海星城 精装修 视野良好 采光无遮挡', '东海星城  | 1室1厅 | 38.36平米 | 西北 | 其他', '中楼层(共32层)2010年建板楼  -  莲花', '52万', '单价13556元/平米')
('https://image1.ljcdn.com/340100-inspection/e5265e5d-8b0b-4998-8490-d25bdfc2aca4.JPG.296x216.jpg', '品质小区 环境优美 电梯洋房 户型方正。', '葛洲坝玖珑府  | 4室2厅 | 126平米 | 南 | 其他', '低楼层(共8层)板楼  -  芙蓉', '272万', '单价21588元/平米')
('https://image1.ljcdn.com/340100-inspection/b1ca9e9e-159c-4633-ba27-42cfb0512a86.JPG.296x216.jpg', '刚需小三房 多层中间层 业主诚售', '桃源小区  | 3室1厅 | 85平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  锦绣', '108万', '单价12706元/平米')
('https://image1.ljcdn.com/340100-inspection/87f08ccb-0f7c-4845-afdf-190b714b5c48.JPG.296x216.jpg', '滨湖西外地户口可以购房 精装大两室 三开间朝南双阳台', '观澜华庭  | 2室2厅 | 87.48平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  临湖', '140万', '单价16004元/平米')
('https://image1.ljcdn.com/340100-inspection/864809a2-3a5d-45bd-bd00-af1314e7f1b0.JPG.296x216.jpg', '东海星城 1室1厅 55万', '东海星城  | 1室1厅 | 37平米 | 南 | 其他', '中楼层(共27层)2010年建板楼  -  莲花', '55万', '单价14865元/平米')
('https://image1.ljcdn.com/340100-inspection/5448f981-399e-451d-a184-c61822cf44ba.JPG.296x216.jpg', '翡翠湖旁  多层公摊面积小  1梯2户  南北通透', '翡翠花园  | 3室2厅 | 132.13平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  芙蓉', '198万', '单价14986元/平米')
('https://image1.ljcdn.com/340100-inspection/c13cd33e-5ffa-4b1d-81fe-7a8d9cc72def.JPG.296x216.jpg', '滨湖前城 交通便利 送入户花园 看房方便', '滨湖前城  | 3室2厅 | 113.78平米 | 南 北 | 简装', '低楼层(共18层)2007年建板塔结合  -  临湖', '150万', '单价13184元/平米')
('https://image1.ljcdn.com/340100-inspection/c19edb27-6967-4536-a804-2fc5c3d8a383.JPG.296x216.jpg', '南艳湖畔，装修非常美丽，诚心卖，大三房', '绿地滨湖国际花都  | 3室2厅 | 111.64平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  海恒', '235万', '单价21050元/平米')
('https://image1.ljcdn.com/340100-inspection/5a5d2968-5a39-4e71-b7be-fe610edcee91.JPG.296x216.jpg', '精装15万 翡翠湖大三房 品质入住', '翡翠花园翠湖苑  | 3室2厅 | 111.41平米 | 南 北 | 其他', '低楼层(共11层)2012年建板楼  -  芙蓉', '168万', '单价15080元/平米')
('https://image1.ljcdn.com/340100-inspection/df94c4bf-31ac-4b15-b31f-e20c8eb4c344.JPG.296x216.jpg', '九溪江南，精装修，南北通透格局，诚心出售。', '九溪江南  | 3室2厅 | 138.52平米 | 南 北 | 其他', '低楼层(共11层)2007年建板楼  -  芙蓉', '220万', '单价15883元/平米')
('https://image1.ljcdn.com/340100-inspection/65178ea2-748e-408e-8bf1-aaeee7a8940c.JPG.296x216.jpg', '诚售  精装修 满五年 全明户型 南北通透  拎包入住', '明珠湖畔  | 3室2厅 | 140.27平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  芙蓉', '210万', '单价14972元/平米')
('https://image1.ljcdn.com/340100-inspection/71bff0be-5542-4c67-875e-92dfbfb18587.JPG.296x216.jpg', '为你而选 滨湖前城满两年小三室，精装修拎包入住', '滨湖前城  | 3室2厅 | 86.73平米 | 南 | 其他', '低楼层(共18层)2007年建塔楼  -  临湖', '132万', '单价15220元/平米')
('https://image1.ljcdn.com/340100-inspection/e0b963c8-9f5c-4835-ad37-d6ebbb2784a9.JPG.296x216.jpg', '为你而选 为你为家 御景前城一居 居家装修 满两年', '御景前城  | 1室1厅 | 50.24平米 | 南 | 其他', '高楼层(共19层)2014年建塔楼  -  临湖', '64万', '单价12739元/平米')
('https://image1.ljcdn.com/340100-inspection/ef35571b-3e67-45c9-865e-eae418664865.JPG.296x216.jpg', '东海星城  景观楼层视野开阔 精装一房', '东海星城  | 1室1厅 | 49.06平米 | 东北 | 其他', '中楼层(共32层)2010年建板楼  -  莲花', '65万', '单价13250元/平米')
('https://image1.ljcdn.com/340100-inspection/48f5924e-e931-4392-a4d2-e99cd6500e5b.JPG.296x216.jpg', '绿地品质 南北通透双阳台 大三房 诚心售 随时看房', '绿地滨湖国际花都  | 3室2厅 | 105.44平米 | 南 北 | 其他', '低楼层(共33层)2013年建塔楼  -  海恒', '185万', '单价17546元/平米')
('https://image1.ljcdn.com/340100-inspection/3ea54aef-41c6-44e2-b7f6-f0e2296b43d9.JPG.296x216.jpg', '金水童话名苑 2室1厅 110万', '金水童话名苑  | 2室1厅 | 57.46平米 | 南 | 其他', '中楼层(共19层)2008年建板楼  -  莲花', '110万', '单价19144元/平米')
('https://image1.ljcdn.com/340100-inspection/c67cb8ac-cedc-4246-840a-484b8d483d17.JPG.296x216.jpg', '一里洋房 3室2厅 170万', '一里洋房  | 3室2厅 | 107.16平米 | 南 北 | 其他', '中楼层(共18层)2008年建塔楼  -  芙蓉', '170万', '单价15865元/平米')
('https://image1.ljcdn.com/340100-inspection/1eeef42c-947c-4acf-a66e-4bcb05e023e9.JPG.296x216.jpg', '东海徽园 3室2厅 197万', '东海徽园  | 3室2厅 | 132.32平米 | 南 | 其他', '中楼层(共18层)2006年建板楼  -  莲花', '197万', '单价14889元/平米')
('https://image1.ljcdn.com/340100-inspection/4979e040-bf9d-4cf3-a74d-f2d78f2ad98e.JPG.296x216.jpg', '佳境枫情苑 2室1厅 110万', '佳境枫情苑  | 2室1厅 | 63.16平米 | 南 | 其他', '高楼层(共16层)2009年建板楼  -  芙蓉', '110万', '单价17417元/平米')
('https://image1.ljcdn.com/340100-inspection/f1627afc-ef41-460a-b58d-ac1f08f68e3a.JPG.296x216.jpg', '经开临明珠广场和莲花广场+通透居家多层两房+采光好', '名筑花园  | 2室2厅 | 93.84平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  莲花', '115万', '单价12255元/平米')
('https://image1.ljcdn.com/340100-inspection/8bdb6df5-2515-4bbf-b42d-dc942804512d.jpg.296x216.jpg', '满两年，户型方正，精装修可直接拎包入住', '绿城翡翠湖玫瑰园  | 3室2厅 | 141.3平米 | 南 | 其他', '高楼层(共37层)2013年建塔楼  -  芙蓉', '388万', '单价27460元/平米')
('https://image1.ljcdn.com/340100-inspection/abdac4a8-cdb4-456d-8f24-6d042950effd.JPG.296x216.jpg', '滨湖前城 2室2厅 132万', '滨湖前城  | 2室2厅 | 79.53平米 | 南 | 其他', '中楼层(共11层)板塔结合  -  临湖', '132万', '单价16598元/平米')
('https://image1.ljcdn.com/340100-inspection/e2ec65e5-ac3d-4316-9314-7e2afae6de18.JPG.296x216.jpg', '时光原著 3室2厅 155万', '时光原著  | 3室2厅 | 91.45平米 | 南 | 其他', '低楼层(共32层)2013年建塔楼  -  海恒', '155万', '单价16950元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload78e09171-2156-456b-a4f8-e03c4bd46511.jpg.296x216.jpg', '上海城市精装两房朝南业主诚心出售', '上海城市  | 2室1厅 | 64平米 | 东南 | 其他', '中楼层(共26层)2006年建板楼  -  莲花', '88万', '单价13750元/平米')
('https://image1.ljcdn.com/340100-inspection/3e52a05f-3d93-4c25-8563-013e0391e2bc.JPG.296x216.jpg', '实用性住宅  楼栋位置好 视野采光好 业主诚心出售', '上湖名院  | 2室2厅 | 78.28平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  芙蓉', '142万', '单价18141元/平米')
('https://image1.ljcdn.com/340100-inspection/d13eb8db-c3bb-40fe-b21d-ae4272be60ed.JPG.296x216.jpg', '此房是满五年的，户型通透 远离闹市，翡翠湖畔', '翡翠花园翠湖苑  | 3室2厅 | 99.18平米 | 南 | 其他', '中楼层(共6层)2012年建板楼  -  芙蓉', '163万', '单价16435元/平米')
('https://image1.ljcdn.com/340100-inspection/cade6018-f731-458c-96a7-2258c8eccd5f.JPG.296x216.jpg', '翠微南园 三房 精装修 拎包入住 采光充足', '翠微南园  | 3室2厅 | 84.61平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  芙蓉', '120万', '单价14183元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadb6719631-8994-4506-b90b-7b4712f1693c.jpg.296x216.jpg', '东海星城精装一室边户朝南采光好楼层好', '东海星城  | 1室1厅 | 50.4平米 | 南 | 其他', '低楼层(共32层)2010年建板楼  -  莲花', '70万', '单价13889元/平米')
('https://image1.ljcdn.com/340100-inspection/8e535627-6cf8-4aba-8d5e-9b14b45f6a84.JPG.296x216.jpg', '经开明珠广场+通透居家小三房+交通好+配套好+采光好', '丽景碧雅  | 3室2厅 | 110.9平米 | 南 北 | 其他', '低楼层(共11层)2006年建板楼  -  莲花', '130万', '单价11723元/平米')
('https://image1.ljcdn.com/340100-inspection/5147eaa3-b1c1-4a7d-aa58-0be90658cdb7.JPG.296x216.jpg', '为你而选为你为家 四方花苑 采光刺眼 物业优质', '四方花苑  | 3室2厅 | 117平米 | 南 | 其他', '低楼层(共30层)暂无数据  -  莲花', '196万', '单价16753元/平米')
('https://image1.ljcdn.com/340100-inspection/a6f4a4a9-0caf-4fc2-aa77-4d0272c72e1a.JPG.296x216.jpg', '凯旋公寓 5.4米挑高内复式 中环城购物商场 随时看房', '凯旋公寓  | 3室2厅 | 73.85平米 | 南 | 其他', '低楼层(共20层)2008年建板楼  -  莲花', '119万', '单价16114元/平米')
('https://image1.ljcdn.com/340100-inspection/253fd19e-43c2-4240-bf07-6752bedf1734.JPG.296x216.jpg', '翠微南园 3室2厅 115万', '翠微南园  | 3室2厅 | 82.81平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  芙蓉', '115万', '单价13888元/平米')
('https://image1.ljcdn.com/340100-inspection/ae4dd8ed-a15f-4df4-a3ee-a752db265078.JPG.296x216.jpg', '南湖春城大两房 婚房装修 采光好 南艳湖天然氧吧', '南湖春城  | 2室2厅 | 95.18平米 | 南 | 其他', '中楼层(共33层)2008年建塔楼  -  海恒', '150万', '单价15760元/平米')
('https://image1.ljcdn.com/340100-inspection/e66ef6c1-4eef-4625-8468-4581bdb866d9.JPG.296x216.jpg', '标准三房，精装修。交通便利。满二', '御景前城  | 3室2厅 | 100.56平米 | 南 | 其他', '低楼层(共24层)2014年建塔楼  -  临湖', '168万', '单价16707元/平米')
('https://image1.ljcdn.com/340100-inspection/625594c1-d7af-4f5e-b7e3-eea9dad0b30d.JPG.296x216.jpg', '翡翠湖旁   多层自住装修大3房    采光视野好', '翡翠花园  | 3室2厅 | 131.92平米 | 南 北 | 其他', '低楼层(共6层)2003年建板楼  -  芙蓉', '195万', '单价14782元/平米')
('https://image1.ljcdn.com/340100-inspection/ce163f20-549d-4bba-aacc-497582989ebc.jpg.296x216.jpg', '翡翠湖 采光好 品质四居室 楼层好', '翡翠花园  | 3室2厅 | 141平米 | 南 | 其他', '高楼层(共6层)2003年建板楼  -  芙蓉', '188万', '单价13334元/平米')
('https://image1.ljcdn.com/340100-inspection/dd7a6392-3e10-44ea-be3b-128bf574a94b.JPG.296x216.jpg', '户型反正  精装修  看房方便', '南湖春城  | 2室1厅 | 95.72平米 | 南 | 其他', '中楼层(共26层)2008年建塔楼  -  海恒', '140万', '单价14626元/平米')
('https://image1.ljcdn.com/340100-inspection/4fdeeb5c-b223-44b3-9edc-9bc04a1bc7ef.JPG.296x216.jpg', '御景前城 3室2厅 175万', '御景前城  | 3室2厅 | 110.89平米 | 南 北 | 其他', '低楼层(共18层)2014年建塔楼  -  临湖', '175万', '单价15782元/平米')
('https://image1.ljcdn.com/340100-inspection/fc028cd5-aa40-41d2-abbe-9f447eb6edc6.JPG.296x216.jpg', '绿地品质 精装三房 采光好 视野好 新装修城市中的新房', '绿地滨湖国际花都  | 3室2厅 | 113.79平米 | 南 | 其他', '高楼层(共24层)2013年建塔楼  -  海恒', '212万', '单价18631元/平米')
('https://image1.ljcdn.com/340100-inspection/e375ef32-4cdf-41e1-b5d5-eb4a60a43b65.jpg.296x216.jpg', '通燃气 70年产权 带阳台 没有增值税', '一里洋房  | 3室1厅 | 45.9平米 | 西北 | 其他', '高楼层(共5层)2008年建板楼  -  芙蓉', '69.8万', '单价15207元/平米')
('https://image1.ljcdn.com/340100-inspection/6abff758-1432-4e3c-9d02-885a34b665c6.JPG.296x216.jpg', '书缘居 通透大三居 精装 业主诚心售', '书缘居  | 3室2厅 | 138.52平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  芙蓉', '208万', '单价15016元/平米')
('https://image1.ljcdn.com/340100-inspection/6ec95bc6-a32b-4383-8e4c-a69934ac1f72.JPG.296x216.jpg', '满两年，标准两房，港澳广场旁，配套齐全。', '翠微苑  | 2室2厅 | 97.37平米 | 南 | 简装', '中楼层(共6层)2010年建板楼  -  芙蓉', '155万', '单价15919元/平米')
('https://image1.ljcdn.com/340100-inspection/6094667d-2f86-43f0-ad11-5117e806783d.JPG.296x216.jpg', '南北通透+大三房+户型方正+两房朝南客厅朝南', '东海花园  | 3室2厅 | 145.89平米 | 南 北 | 其他', '低楼层(共24层)2003年建板楼  -  莲花', '220万', '单价15080元/平米')
('https://image1.ljcdn.com/340100-inspection/a50cd9f7-594e-4e1e-ae37-97481e629fd0.JPG.296x216.jpg', '： 中间楼层，采光好，小区环境好的，满两年户型正气', '东海星城  | 3室2厅 | 112.78平米 | 南 | 其他', '低楼层(共33层)2010年建板楼  -  莲花', '170万', '单价15074元/平米')
('https://image1.ljcdn.com/340100-inspection/2f98de9a-df50-4828-a9a4-e94b10a9e30a.JPG.296x216.jpg', '南郡明珠 南北通透 精装两房 满两年 为你而家为你而选', '南郡明珠  | 2室2厅 | 85.94平米 | 南 北 | 其他', '低楼层(共18层)2011年建板楼  -  锦绣', '108万', '单价12567元/平米')
('https://image1.ljcdn.com/340100-inspection/3f4874c3-2d32-419f-b266-0626303f23de.JPG.296x216.jpg', '南郡明珠，中间户方正两房，诚心卖', '南郡明珠  | 2室2厅 | 86.04平米 | 南 北 | 其他', '低楼层(共11层)2011年建板楼  -  锦绣', '120万', '单价13948元/平米')
('https://image1.ljcdn.com/340100-inspection/be4c86fa-2604-4bab-9161-c2181861e28b.JPG.296x216.jpg', '视野宽阔 小区物业管理好，满两年无增值税 交通便利', '中环紫荆公馆  | 2室1厅 | 70.24平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  芙蓉', '158万', '单价22495元/平米')
('https://image1.ljcdn.com/340100-inspection/306a47f2-f4d1-4247-a164-81433e1debc4.JPG.296x216.jpg', '满五  交通便利  配套齐全  生活方便', '中环城国际公寓  | 2室1厅 | 62.92平米 | 北 | 其他', '中楼层(共18层)2012年建塔楼  -  芙蓉', '115万', '单价18278元/平米')
('https://image1.ljcdn.com/340100-inspection/6bdd33a0-80ef-4b77-a87d-46f42a86ecb5.JPG.296x216.jpg', '南湖春城 户型方正 居家装修 诚心出售', '南湖春城  | 2室2厅 | 93.97平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  海恒', '140万', '单价14899元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload250c1bf1-21b6-49b0-9557-56ad13c65770.jpg.296x216.jpg', '精装修 适中楼层 翡翠湖畔 交通便利', '世茂翡翠首府  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共34层)2017年建板塔结合  -  芙蓉', '210万', '单价18104元/平米')
('https://image1.ljcdn.com/340100-inspection/1dd8b4c7-a612-4dfb-8326-92e99a28f291.JPG.296x216.jpg', '华宇未来城   交通便利 配套设施全', '华宇未来城  | 2室2厅 | 90.17平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  莲花', '123万', '单价13641元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada9eca9f9-c658-47d6-a333-14ecc3445f92.JPG.296x216.jpg', '为你而选为你为家 中环城 交通便利 配套齐全', '华宇未来城  | 3室2厅 | 106平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  莲花', '150万', '单价14151元/平米')
('https://image1.ljcdn.com/340100-inspection/ee5efe02-fc45-4c79-b63e-6956fc3164e9.JPG.296x216.jpg', '港澳广场旁 精装四房 多层洋房 采光好 随时可看', '翠微苑  | 4室2厅 | 122.26平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  芙蓉', '197万', '单价16114元/平米')
('https://image1.ljcdn.com/340100-inspection/52fb313b-366d-40fc-a2bd-44f2110ed1c1.JPG.296x216.jpg', '上海城市 2室1厅 110万', '上海城市  | 2室1厅 | 87.48平米 | 南 | 其他', '中楼层(共26层)2006年建板楼  -  莲花', '110万', '单价12575元/平米')
('https://image1.ljcdn.com/340100-inspection/a7886772-3fb1-473d-8767-9deeb5e3f5c4.JPG.296x216.jpg', '品质小区 精装自住拎包即住 繁华商圈', '上海城市  | 2室2厅 | 87.48平米 | 南 | 其他', '中楼层(共26层)2006年建板楼  -  莲花', '120万', '单价13718元/平米')
('https://image1.ljcdn.com/340100-inspection/52e6c055-aa16-4101-8b97-d80a05cfe1f5.jpg.296x216.jpg', '满五年无增值税，翡翠湖大氧吧交通方便', '翰林府邸  | 3室2厅 | 121.55平米 | 南 北 | 其他', '低楼层(共28层)2006年建塔楼  -  芙蓉', '205万', '单价16866元/平米')
('https://image1.ljcdn.com/340100-inspection/6dbbf579-1501-45fb-9ff0-e7ef922330d4.JPG.296x216.jpg', '国际花都，品质小区，精装修，满两年', '绿地滨湖国际花都  | 2室2厅 | 79.72平米 | 南 北 | 精装', '低楼层(共28层)2013年建塔楼  -  海恒', '139万', '单价17437元/平米')
('https://image1.ljcdn.com/340100-inspection/29b7b167-c9bb-4364-aff1-42269c438d68.JPG.296x216.jpg', '世茂翡翠首府 3室2厅 173万', '世茂翡翠首府  | 3室2厅 | 102平米 | 南 | 其他', '中楼层(共25层)板塔结合  -  芙蓉', '173万', '单价16961元/平米')
('https://image1.ljcdn.com/340100-inspection/aafea57b-8a3e-426a-a2c5-6b620ce4b2b3.JPG.296x216.jpg', '南湖春城 小洋房 户型方正 业主诚心出售', '南湖春城  | 3室2厅 | 171.05平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  海恒', '248万', '单价14499元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload778e89ff-9f08-403e-8e67-2244b6cae5a8.JPG.296x216.jpg', '房型方正 大两房 满两年 诚心出售', '汇景苑  | 2室1厅 | 79.9平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  莲花', '108万', '单价13517元/平米')
('https://image1.ljcdn.com/340100-inspection/11f98664-d127-4fe4-a085-5bbf2261c402.jpg.296x216.jpg', '蓝色湖畔 2室1厅 135万', '蓝色湖畔  | 2室1厅 | 74.79平米 | 南 | 其他', '高楼层(共18层)2008年建板楼  -  莲花', '135万', '单价18051元/平米')
('https://image1.ljcdn.com/340100-inspection/bd213283-1e38-4358-a370-1fd676e5ccd7.JPG.296x216.jpg', '一里洋房 3室2厅 170万', '一里洋房  | 3室2厅 | 105.11平米 | 南 北 | 其他', '低楼层(共20层)2008年建塔楼  -  芙蓉', '170万', '单价16174元/平米')
('https://image1.ljcdn.com/340100-inspection/52daa48f-2441-47c5-84d1-74f7fe072cc6.jpg.296x216.jpg', '动静分离 楼上卧室 满两年 中环城商圈 5.5米挑高', '中环城国际公寓  | 2室2厅 | 61.82平米 | 北 | 其他', '中楼层(共18层)2012年建塔楼  -  芙蓉', '123万', '单价19897元/平米')
('https://image1.ljcdn.com/340100-inspection/69db95bc-88fb-43ed-99a2-94d4969b59aa.jpg.296x216.jpg', '多层洋房 采光好 环境优美 户型方正 随时看', '西城秀里  | 2室2厅 | 94.63平米 | 南 北 | 其他', '低楼层(共6层)2013年建板楼  -  芙蓉', '150万', '单价15852元/平米')
('https://image1.ljcdn.com/340100-inspection/14b14de1-efde-4c1e-94e4-5deff13ccb75.JPG.296x216.jpg', '中间楼层采光好，翡翠湖景，房子户型方正，通透性好。', '绿城翡翠湖玫瑰园  | 3室2厅 | 142.45平米 | 南 | 其他', '中楼层(共29层)2013年建塔楼  -  芙蓉', '357万', '单价25062元/平米')
('https://image1.ljcdn.com/340100-inspection/37233c9f-4a49-4c98-bdfe-e38e8734655b.jpg.296x216.jpg', '东海星城  精装小三室  户型方正 采光良好', '东海星城  | 3室1厅 | 99.82平米 | 南 | 其他', '高楼层(共28层)2010年建板楼  -  莲花', '165万', '单价16530元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4d9caaf1-d3fd-4d7f-9ae2-1c86c48124f3.JPG.296x216.jpg', '此房满2年 户型方正 业主诚心售', '观澜华庭  | 2室2厅 | 89.6平米 | 南 | 其他', '高楼层(共28层)2013年建塔楼  -  临湖', '145万', '单价16184元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload23436c52-b672-4c09-b3d1-88ea04019401.jpg.296x216.jpg', '满两年大三房，交通便利，配套完善', '金星家园  | 3室2厅 | 141.07平米 | 南 | 其他', '低楼层(共18层)2011年建板塔结合  -  芙蓉', '285万', '单价20203元/平米')
('https://image1.ljcdn.com/340100-inspection/55793d7c-835b-4589-8579-65ea7c01e7ba.jpg.296x216.jpg', '复式房空间大采光好，业主诚售。位置好！', '德信文锦新城  | 4室2厅 | 187.39平米 | 南 | 毛坯', '高楼层(共6层)2006年建板楼  -  芙蓉', '220万', '单价11741元/平米')
('https://image1.ljcdn.com/340100-inspection/72baac03-c0d3-4743-8f60-c4aa2a8c6d09.JPG.296x216.jpg', '没有社保可以买+经开临滨湖+观澜华庭精装三房+采光好', '观澜华庭  | 3室2厅 | 94.77平米 | 南 北 | 其他', '高楼层(共18层)2013年建塔楼  -  临湖', '157万', '单价16567元/平米')
('https://image1.ljcdn.com/340100-inspection/c2cf8aa5-83a7-426f-87ad-14ee540b6a7c.jpg.296x216.jpg', '名仕豪庭，小三房，自住精装，生活便利，配套全', '名仕豪庭  | 3室2厅 | 89.39平米 | 南 北 | 其他', '低楼层(共32层)2013年建塔楼  -  芙蓉', '162万', '单价18123元/平米')
('https://image1.ljcdn.com/340100-inspection/9453069e-3bd5-4806-acbe-d2c8ababa5cc.jpg.296x216.jpg', '一里洋房精装修满两年，多层洋房采光好', '一里洋房  | 3室1厅 | 116平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  芙蓉', '177万', '单价15259元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9438e638-c702-4071-a1e2-93691224f727.JPG.296x216.jpg', '南艳湖畔 御湖观邸 南北通透大两房 满两年 居家优选', '御湖观邸  | 2室2厅 | 112.12平米 | 南 北 | 其他', '低楼层(共33层)2012年建塔楼  -  海恒', '165万', '单价14717元/平米')
('https://image1.ljcdn.com/340100-inspection/680b8e41-fabf-4515-986e-bf29e72e6f83.JPG.296x216.jpg', '南湖春城 大三房 南北通透 看房方便 婚房装修 南艳湖', '南湖春城  | 3室2厅 | 132平米 | 南 北 | 其他', '低楼层(共18层)塔楼  -  海恒', '188万', '单价14243元/平米')
('https://image1.ljcdn.com/340100-inspection/27a32d68-5587-4eb2-ba8a-a40794f7f87a.JPG.296x216.jpg', '丽景碧雅 3室2厅 195万', '丽景碧雅  | 3室2厅 | 149.92平米 | 南 | 其他', '中楼层(共11层)2006年建板楼  -  莲花', '195万', '单价13007元/平米')
('https://image1.ljcdn.com/340100-inspection/abb5cafc-0c05-4f03-a4ed-0d6d61c72814.jpg.296x216.jpg', '省委宣传部宿舍 大四房品质小区安保严市政供暖', '报业园东区  | 4室2厅 | 158.77平米 | 南 北 | 简装', '低楼层(共6层)暂无数据  -  芙蓉', '250万', '单价15747元/平米')
('https://image1.ljcdn.com/340100-inspection/3600a7da-7bd4-4528-8de7-9c218db9fd46.JPG.296x216.jpg', '两房朝南，户型方正，业主诚心卖房', '绿地滨湖国际花都  | 2室2厅 | 80.13平米 | 南 | 其他', '中楼层(共28层)2013年建塔楼  -  海恒', '142万', '单价17722元/平米')
