('https://image1.ljcdn.com/441900-inspection/2aec141c-53b4-4b14-b41e-7dbbb5d6b57b.jpg.296x216.jpg', '未来世界花园 复式两房 带装修 高楼层 朝南向 采光好', '未来世界花园  | 2室2厅 | 53.4平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  东泰', '125万', '单价23409元/平米')
('https://image1.ljcdn.com/441900-inspection/d81900d4-02d5-4aeb-bfdd-93af2e595ca1.jpg.296x216.jpg', '石竹新花园  方正3房出售 户型反正 中高楼层 采光好', '石竹新花园  | 3室2厅 | 119平米 | 东北 | 其他', '中楼层(共11层)塔楼  -  石竹', '230万', '单价19328元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0ac2647c-330f-40e5-a439-f67a2553e241.jpg.296x216.jpg', '万科物业  业主诚心出售  房子保养好 高层观景！！！', '万科金悦香树  | 3室2厅 | 96平米 | 西南 | 精装', '高楼层(共30层)塔楼  -  南城车站', '230万', '单价23959元/平米')
('https://image1.ljcdn.com/441900-inspection/292518ed-c555-4d8a-95e0-83f178791195.jpg.296x216.jpg', '国际公馆三期 一房一厅出售 带精装修', '世纪城国际公馆三期仁里  | 1室1厅 | 54.49平米 | 西北 | 其他', '高楼层(共19层)塔楼  -  西平', '136万', '单价24959元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade099e30a-462c-433a-93cf-6025e0b96baf.jpg.296x216.jpg', '万科精装3房，朝南向的，户型好', '万科翡丽山  | 3室2厅 | 95平米 | 南 西南 | 其他', '中楼层(共24层)2012年建塔楼  -  水濂山', '195万', '单价20527元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9265453a-fba7-47e4-80aa-5b409bde8dcd.jpg.296x216.jpg', '光大景湖湾畔 满五唯一 双阳台设计  小区绿化高', '光大景湖湾畔  | 1室1厅 | 58.77平米 | 北 | 简装', '低楼层(共11层)塔楼  -  宏远南', '98万', '单价16676元/平米')
('https://image1.ljcdn.com/441900-inspection/953132a4-7c88-44a0-b1a1-5408ba75df20.jpg.296x216.jpg', '精装复式两房，朝向好，格局好，采光好', '城市立方  | 2室1厅 | 53平米 | 东南 | 其他', '高楼层(共9层)塔楼  -  白马', '85万', '单价16038元/平米')
('https://image1.ljcdn.com/441900-inspection/4581f855-5e58-4452-92bb-5cd79021f4fc.jpg.296x216.jpg', '天利花园四房出售 业主诚心出售', '天利中央花园  | 4室2厅 | 189平米 | 南 | 其他', '低楼层(共29层)塔楼  -  东泰', '567万', '单价30000元/平米')
('https://image1.ljcdn.com/441900-inspection/f9742f8d-9a21-4898-b1cb-bd32b75b1a6b.jpg.296x216.jpg', '江南第一城 4室2厅 235万', '江南第一城  | 4室2厅 | 115.99平米 | 东南 | 其他', '高楼层(共27层)塔楼  -  宏远北', '235万', '单价20261元/平米')
('https://image1.ljcdn.com/441900-inspection/46804473-7b53-4d5f-9418-b6a4aa0e8bb7.jpg.296x216.jpg', '新中银三期可可园，南向两房，地铁口位，精装修。', '新中银·金色华庭  | 2室2厅 | 86平米 | 西南 | 精装', '中楼层(共18层)塔楼  -  东泰', '230万', '单价26745元/平米')
('https://image1.ljcdn.com/441900-inspection/95391343-2f75-4d3f-8d81-e0e4c8104b5b.jpg.296x216.jpg', '中信凯旋国际 毛坯四房 户型方正 南北通', '中信凯旋国际  | 4室2厅 | 165.3平米 | 东南 | 其他', '低楼层(共31层)塔楼  -  南城车站', '350万', '单价21174元/平米')
('https://image1.ljcdn.com/441900-inspection/6c87c1f8-986a-4154-b557-6153af51a94f.jpg.296x216.jpg', '15年新小区花园，方正毛坯3房，业主诚心出售', '汇龙湾  | 3室2厅 | 106平米 | 东南 | 其他', '低楼层(共25层)塔楼  -  宏远北', '220万', '单价20755元/平米')
('https://image1.ljcdn.com/441900-inspection/8767d705-849e-4985-9c04-1a97f4a81ebd.jpg.296x216.jpg', '城市假日三期 复试2房 满五唯一 税费低', '城市假日三期  | 2室1厅 | 45.91平米 | 西南 | 其他', '中楼层(共17层)2008年建塔楼  -  宏远南', '80万', '单价17426元/平米')
('https://image1.ljcdn.com/441900-inspection/4ac2ff97-8974-47f9-ab5c-b1d8b12c7f1a.jpg.296x216.jpg', '御花苑  精装修  小区环境好  居住舒适', '御花苑  | 4室3厅 | 206平米 | 东南 西南 | 精装', '低楼层(共15层)塔楼  -  水濂山', '420万', '单价20389元/平米')
('https://image1.ljcdn.com/441900-inspection/060c7039-10fc-49e3-be9f-acb980b0c607.jpg.296x216.jpg', '满五唯一免双税，中信大社区，高层朝南采光佳，看花园', '中信凯旋国际  | 4室2厅 | 126.19平米 | 东南 | 毛坯', '低楼层(共32层)塔楼  -  南城车站', '360万', '单价28529元/平米')
('https://image1.ljcdn.com/441900-inspection/46346a39-a66f-42a6-b1f9-8207cac0594c.jpg.296x216.jpg', '满五唯一 免双税 温馨舒适 配套设施齐全 采光通风好', '中信新天地  | 1室1厅 | 55平米 | 东南 | 精装', '低楼层(共19层)2004年建塔楼  -  石竹', '110万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/fd9b8824-88a3-4d96-b10f-e1eb078a8f50.jpg.296x216.jpg', '毛坯3房，证过2年，户型方正。。。', '方中兰亭轩  | 3室2厅 | 103平米 | 东南 | 其他', '低楼层(共28层)塔楼  -  运河东', '140万', '单价13593元/平米')
('https://image1.ljcdn.com/441900-inspection/b8b4e0cf-0e2d-4702-b688-06277bc25e7d.jpg.296x216.jpg', '石竹新花园 高层四房 户型方正 环境优美 随时可看', '石竹新花园  | 4室2厅 | 112.83平米 | 西北 | 简装', '中楼层(共12层)塔楼  -  石竹', '280万', '单价24817元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0881e3a3-da75-4f16-b3c1-d6b37e0a4bbd.jpg.296x216.jpg', '位置安静小3房 居家生活方便 地段好', '菊香苑  | 3室2厅 | 94.71平米 | 南 东北 | 简装', '低楼层(共9层)塔楼  -  东莞图书馆', '158万', '单价16683元/平米')
('https://image1.ljcdn.com/441900-inspection/3584299b-ebe4-418f-a6cd-12c1c931a011.jpg.296x216.jpg', '光大景湖花园 5室2厅 368万', '光大景湖花园  | 5室2厅 | 250.6平米 | 南 | 其他', '高楼层(共5层)2002年建暂无数据  -  东泰', '368万', '单价14685元/平米')
('https://image1.ljcdn.com/441900-inspection/ce081e92-e007-412d-b662-088a044f6b04.jpg.296x216.jpg', '光大景湖时代城 3室2厅 250万', '光大景湖时代城  | 3室2厅 | 85.75平米 | 北 | 其他', '中楼层(共32层)塔楼  -  东泰', '250万', '单价29155元/平米')
('https://image1.ljcdn.com/441900-inspection/96567ef1-9568-41ab-a917-a144bad7bc26.jpg.296x216.jpg', '全新精装四房 未入住 户型方正实用 东南朝向 看花园', '汇龙湾  | 4室2厅 | 126平米 | 东南 | 其他', '高楼层(共32层)塔楼  -  宏远北', '290万', '单价23016元/平米')
('https://image1.ljcdn.com/441900-inspection/ab7a5998-4372-4ed3-b130-6bed2849b7e7.jpg.296x216.jpg', '户型方正 东南朝向 大三房 满五唯一', '中信新天地  | 3室2厅 | 128.41平米 | 东南 | 其他', '中楼层(共19层)2004年建塔楼  -  石竹', '270万', '单价21027元/平米')
('https://image1.ljcdn.com/441900-inspection/63da7bc1-2cd8-44ac-9943-6eb626e533cf.jpg.296x216.jpg', '朝南采光充足通风好、安静，视野开阔 小区舒适管理好', '万科翡丽山  | 4室2厅 | 238.55平米 | 南 | 其他', '低楼层(共15层)2012年建塔楼  -  水濂山', '520万', '单价21799元/平米')
('https://image1.ljcdn.com/441900-inspection/0b935bdc-ff42-4a55-9995-b95a8ec11886.jpg.296x216.jpg', '君珆花园108.81平正规三房，毛坯南北通', '君珆花园  | 3室2厅 | 108.81平米 | 西南 | 毛坯', '低楼层(共16层)塔楼  -  东泰', '313万', '单价28766元/平米')
('https://image1.ljcdn.com/441900-inspection/f76f8972-0ea1-46dc-a925-450dabd636db.jpg.296x216.jpg', '东骏豪苑 精装修 三房 方正好户型', '东骏豪苑  | 3室2厅 | 121.01平米 | 西南 | 精装', '低楼层(共15层)塔楼  -  西平', '305万', '单价25205元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8e3db1db-b568-42a9-9bf0-77255f982912.jpg.296x216.jpg', '东南朝向视野开阔 大两房 拎包入住', '石竹新花园  | 2室2厅 | 98.47平米 | 东南 | 其他', '中楼层(共16层)塔楼  -  石竹', '190万', '单价19296元/平米')
('https://image1.ljcdn.com/441900-inspection/4142bd32-5169-4d7d-8954-147755940636.jpg.296x216.jpg', '江南第一城 2室2厅 185万', '江南第一城  | 2室2厅 | 99平米 | 东北 | 其他', '11层塔楼  -  宏远北', '185万', '单价18687元/平米')
('', '金域中央三期 4室2厅 450万', '金域中央三期  | 4室2厅 | 171.53平米 | 南 | 其他', '低楼层(共5层)暂无数据  -  南城车站', '450万', '单价26235元/平米')
('https://image1.ljcdn.com/441900-inspection/92381d10-66b4-4d4c-9e6a-f5a2dac84f5f.jpg.296x216.jpg', '五房 毛坯 小区中间 景观好 业主诚意出售', '鼎峰源著  | 5室2厅 | 223平米 | 东南 | 其他', '高楼层(共28层)塔楼  -  水濂山', '650万', '单价29148元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload3f3f016c-3936-4006-9006-c2d60817d446.jpg.296x216.jpg', '春晓电梯单间，税费低，保养好，采光好，送家私电', '光大景湖春晓  | 1室1厅 | 53.14平米 | 西北 | 其他', '高楼层(共18层)2005年建塔楼  -  东泰', '110万', '单价20701元/平米')
('https://image1.ljcdn.com/441900-inspection/12338147-382c-47ca-85b6-16542e5c6bd3.jpg.296x216.jpg', '毛坯 西南向花园，位置安静，采光好 业主诚意出售', '世纪城国际公馆四期香榭里  | 4室2厅 | 170.28平米 | 南 | 毛坯', '低楼层(共18层)塔楼  -  西平', '470万', '单价27602元/平米')
('https://image1.ljcdn.com/441900-inspection/703973c7-e40b-4a32-babb-725828ac5451.jpg.296x216.jpg', '，一梯两户，使用面积大，视野宽阔，采光通风好', '金丰花园天景居  | 3室2厅 | 121平米 | 西南 | 其他', '高楼层(共6层)暂无数据  -  宏远北', '195万', '单价16116元/平米')
('https://image1.ljcdn.com/441900-inspection/6897b997-669d-489e-9e78-37f7f52be9a1.jpg.296x216.jpg', '万科翡丽山 3室1厅 210万', '万科翡丽山  | 3室1厅 | 94.62平米 | 西南 | 精装', '高楼层(共27层)2012年建塔楼  -  水濂山', '210万', '单价22195元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2d43a635-3998-458d-8360-e85c22450563.jpg.296x216.jpg', '精装三房 朝南向采光好  有赠送', '世纪城国际公馆二期  | 3室2厅 | 118.77平米 | 西南 | 精装', '中楼层(共8层)塔楼  -  西平', '240万', '单价20208元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadc74817ec-7724-44e7-b046-0036342ffde8.jpg.296x216.jpg', '业主自住房，装修温馨，高楼层采光佳。', '百悦尚城一期  | 3室1厅 | 125.69平米 | 东南 | 其他', '低楼层(共8层)塔楼  -  南城车站', '190万', '单价15117元/平米')
('https://image1.ljcdn.com/441900-inspection/290e5f56-b5f1-4412-9737-ea92f0cc8647.jpg.296x216.jpg', '国际公馆叠加别墅 精致装修 居家选择', '世纪城国际公馆二期  | 4室2厅 | 209.58平米 | 南 | 精装', '1层暂无数据  -  西平', '520万', '单价24812元/平米')
('https://image1.ljcdn.com/441900-inspection/671edcb4-37bc-45dd-b324-9014ba856a2e.jpg.296x216.jpg', '国际公馆   高层四房  居住舒适 户型实用', '世纪城国际公馆四期香榭里  | 4室2厅 | 125平米 | 西北 | 其他', '高楼层(共18层)塔楼  -  西平', '315万', '单价25200元/平米')
('https://image1.ljcdn.com/441900-inspection/cf22014d-41ee-4c93-9b06-bd082a14e5be.jpg.296x216.jpg', '赠送20㎡露台 御湖最.新一期 3房2位 位置安静', '百悦尚城三期恒大御湖  | 3室2厅 | 117.71平米 | 东南 | 其他', '低楼层(共18层)塔楼  -  南城车站', '350万', '单价29735元/平米')
('https://image1.ljcdn.com/441900-inspection/b76e8bf4-aae8-4424-be0a-45db42abda11.jpg.296x216.jpg', '又是一套满五年唯一免双税的房子 活力康城', '宏远活力康城  | 3室2厅 | 161.46平米 | 东南 | 其他', '中楼层(共11层)塔楼  -  宏远北', '260万', '单价16104元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf9c82935-cd5b-4c6e-b3eb-bb27951e416b.jpg.296x216.jpg', '骏马山庄三房出售  中高层，南向采光通风好，配套齐', '骏马山庄  | 3室2厅 | 135平米 | 东南 | 其他', '高楼层(共12层)塔楼  -  南城车站', '182万', '单价13482元/平米')
('https://image1.ljcdn.com/441900-inspection/817db090-df15-4c2a-95c9-f4350af18bbb.jpg.296x216.jpg', '东骏高层景观好的三房精装好房出售', '东骏豪苑  | 3室2厅 | 118平米 | 东 | 精装', '高楼层(共18层)塔楼  -  西平', '290万', '单价24577元/平米')
('https://image1.ljcdn.com/441900-inspection/ee40f9ac-5b0e-482a-ad71-45a129616c3e.jpg.296x216.jpg', '百悦尚城一期大3房出售  通风好 采光好', '百悦尚城一期  | 3室2厅 | 126平米 | 南 | 精装', '中楼层(共8层)塔楼  -  南城车站', '280万', '单价22223元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload63ae66cf-62ec-4430-823a-e342575ffd78.jpg.296x216.jpg', '植物园的房子，空气自由新鲜，户型方正实用', '鼎峰源著   | 联排别墅 | 4室2厅 | 409平米 | 东南 | 毛坯', '3层暂无数据  -  水濂山', '1250万', '单价30563元/平米')
('https://image1.ljcdn.com/441900-inspection/751e8b0b-837d-4410-a477-5e30d07458a6.jpg.296x216.jpg', '汇龙湾全新毛坯,诚心卖 随时看房.', '汇龙湾  | 3室2厅 | 87平米 | 东南 | 其他', '低楼层(共32层)塔楼  -  宏远北', '175万', '单价20115元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0ebbbc16-120b-45af-8c4e-098dc1bdd99b.jpg.296x216.jpg', '东骏豪苑 一楼带30平花园 朝南 实用小3房', '东骏豪苑  | 3室2厅 | 99.7平米 | 南 | 毛坯', '低楼层(共17层)塔楼  -  西平', '230万', '单价23070元/平米')
('https://image1.ljcdn.com/441900-inspection/2b1811db-f77e-4bf1-8349-4d73c9c16603.jpg.296x216.jpg', '2房 2厅 1卫 简装 房子急卖', '新中银·商道8号  | 2室2厅 | 90.5平米 | 东北 | 简装', '中楼层(共17层)塔楼  -  东泰', '208万', '单价22984元/平米')
('https://image1.ljcdn.com/441900-inspection/896c520d-6d75-45b6-a576-04359eb59887.jpg.296x216.jpg', '实用二房  户型方正 通风采光不错', '光大景湖湾畔  | 2室1厅 | 70.93平米 | 西南 | 其他', '中楼层(共11层)塔楼  -  宏远南', '145万', '单价20443元/平米')
('https://image1.ljcdn.com/441900-inspection/01e0b94a-dc8a-44cb-9469-50bdcfe3c427.jpg.296x216.jpg', '南城西平地铁口小区 ，万科物业管理。', '新中银花园  | 2室2厅 | 80.63平米 | 西 北 | 精装', '低楼层(共12层)塔楼  -  东泰', '140万', '单价17364元/平米')
('https://image1.ljcdn.com/441900-inspection/b520920f-655c-43c8-97b3-abe70ca0fa5b.jpg.296x216.jpg', '舒适2房 温馨舒适 采光通风好', '骏马山庄  | 2室1厅 | 100.1平米 | 西南 | 其他', '高楼层(共9层)塔楼  -  南城车站', '80万', '单价7993元/平米')
('https://image1.ljcdn.com/441900-inspection/118e6650-9ceb-435f-85e3-1ca15071ced5.jpg.296x216.jpg', '南城西平 现代经典花园  中厅挑高', '现代经典花园  | 4室1厅 | 176.73平米 | 东南 | 其他', '中楼层(共6层)暂无数据  -  西平', '265万', '单价14995元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload1b589768-7eb9-43a6-948e-1f986def0db0.jpg.296x216.jpg', '满五唯一 高层采光好 户型方正实用高', '塞纳城市嘉园  | 2室1厅 | 87.16平米 | 东北 | 其他', '高楼层(共30层)塔楼  -  鸿福路口', '160万', '单价18358元/平米')
('https://image1.ljcdn.com/441900-inspection/d637feec-0560-4121-9992-bed5fe6a856b.jpg.296x216.jpg', '国际公馆二期联排别墅送大花园出售', '世纪城国际公馆二期  | 4室2厅 | 237.79平米 | 西南 | 其他', '低楼层(共1层)暂无数据  -  西平', '680万', '单价28597元/平米')
('https://image1.ljcdn.com/441900-inspection/11782931-6473-4f2f-be4e-e4cea534a20f.jpg.296x216.jpg', '国际公馆三期大三房 送入户花园 超大实用面积', '世纪城国际公馆三期仁里  | 3室2厅 | 133.75平米 | 东北 | 精装', '中楼层(共16层)塔楼  -  西平', '300万', '单价22430元/平米')
('https://image1.ljcdn.com/441900-inspection/2f071183-2380-451d-bfd8-19f9b1ea382d.jpg.296x216.jpg', '成熟社区，配套完善，地铁口物业，满五唯一免双税', '石竹新花园  | 3室2厅 | 128平米 | 西南 | 其他', '中楼层(共16层)塔楼  -  石竹', '263万', '单价20547元/平米')
('https://image1.ljcdn.com/441900-inspection/d8aba941-cdd4-46c7-953e-789a44c94a0e.jpg.296x216.jpg', '景湖湾畔精装大四房出售  保养装修好', '光大景湖湾畔  | 4室2厅 | 158平米 | 南 西 | 其他', '中楼层(共11层)塔楼  -  宏远南', '360万', '单价22785元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada8594d5d-d083-432b-bfe2-1b680ae8bb50.jpg.296x216.jpg', '毛坯四房 低层在客厅里就能观园林景', '中信森林湖兰溪谷  | 4室2厅 | 163平米 | 西南 | 毛坯', '低楼层(共33层)2012年建塔楼  -  水濂山', '470万', '单价28835元/平米')
('https://image1.ljcdn.com/441900-inspection/870b9854-b651-42d4-850a-cbbca62d907d.jpg.296x216.jpg', '景湖春晓  简装大五房  户型方正 中楼层  采光通风好', '光大景湖春晓  | 5室2厅 | 180.12平米 | 东南 | 其他', '中楼层(共12层)2005年建塔楼  -  东泰', '320万', '单价17766元/平米')
('https://image1.ljcdn.com/441900-inspection/1ac88375-e5fd-4b39-8164-65255d6e2e34.jpg.296x216.jpg', '南城地带 小三房 小区新，业主急卖', '圣河西E号  | 3室2厅 | 80.57平米 | 南 | 其他', '低楼层(共22层)塔楼  -  白马', '165万', '单价20480元/平米')
('https://image1.ljcdn.com/441900-inspection/0cc9a5c6-d932-42d3-bfc7-ad0939862485.jpg.296x216.jpg', '业主花20万装修未入住 诚心出售 业主包个税', '宏远花园  | 3室2厅 | 100平米 | 南 | 精装', '低楼层(共16层)塔楼  -  宏远南', '155万', '单价15500元/平米')
('https://image1.ljcdn.com/441900-inspection/23beff3f-4305-422f-b799-37fd3c4cf1d3.jpg.296x216.jpg', '世纪城国际公馆三期 南向安静大平层四房', '世纪城国际公馆三期仁里  | 4室2厅 | 221平米 | 南 | 其他', '中楼层(共23层)塔楼  -  西平', '480万', '单价21720元/平米')
('https://image1.ljcdn.com/441900-inspection/55fa20e3-d468-4899-b28b-7953bb36c4a5.jpg.296x216.jpg', '景湖花园复式5房  中空大厅 双套间房', '光大景湖花园  | 5室3厅 | 250.06平米 | 西北 | 其他', '高楼层(共5层)2002年建暂无数据  -  东泰', '398万', '单价15917元/平米')
('https://image1.ljcdn.com/441900-inspection/3a731403-ad30-46f3-9ad3-2463d2a9421e.jpg.296x216.jpg', '东南向，高楼层，新装修未入住，三房两厅两卫。', '石竹新花园  | 3室2厅 | 114.7平米 | 东南 | 其他', '中楼层(共11层)塔楼  -  石竹', '248万', '单价21622元/平米')
('https://image1.ljcdn.com/441900-inspection/aee6897f-13b8-4dbe-b177-3ba9da476242.jpg.296x216.jpg', '现代经典花园 5房出售  精装修 带顶楼露台', '现代经典花园  | 5室2厅 | 201.5平米 | 西南 | 其他', '高楼层(共6层)暂无数据  -  西平', '400万', '单价19852元/平米')
('https://image1.ljcdn.com/441900-inspection/11e9aea6-2b51-4da8-8c03-904dbc59b543.jpg.296x216.jpg', '蓝郡精装三房 南向看花园 位置安静 视野好 南北对流', '景湖蓝郡二期  | 3室2厅 | 115平米 | 南 | 精装', '高楼层(共5层)2005年建暂无数据  -  东泰', '190万', '单价16522元/平米')
('https://image1.ljcdn.com/441900-inspection/9e04bd79-0e30-4bbb-bf84-ce5df039aed9.jpg.296x216.jpg', '城市假日复式小两房   采光通风好  业主诚心出售', '城市假日二期  | 2室1厅 | 55平米 | 西北 | 其他', '高楼层(共10层)塔楼  -  宏远南', '60万', '单价10910元/平米')
('https://image1.ljcdn.com/441900-inspection/df96d7e1-35f9-4828-b112-926c90d1b27a.jpg.296x216.jpg', '景湖名郡 大三房 小区中间位  满五唯一税费低', '景湖名郡  | 3室2厅 | 140.81平米 | 西南 | 其他', '低楼层(共11层)塔楼  -  东泰', '320万', '单价22726元/平米')
('https://image1.ljcdn.com/441900-inspection/23250160-5ff5-45df-9498-668204ce6dd1.jpg.296x216.jpg', '国际公馆边位上叠层别墅， 南北对流 诚意出售', '世纪城国际公馆一期  | 4室3厅 | 214.76平米 | 南 | 其他', '低楼层(共1层)暂无数据  -  西平', '550万', '单价25610元/平米')
('https://image1.ljcdn.com/441900-inspection/aa3a6867-6be6-46e4-9da4-5e6784254b22.jpg.296x216.jpg', '高层 朝南看花园 满五年唯一免双税 位置安静 环境舒适', '光大景湖春晓  | 1室1厅 | 48.88平米 | 东南 | 简装', '中楼层(共18层)2005年建塔楼  -  东泰', '105万', '单价21482元/平米')
('https://image1.ljcdn.com/441900-inspection/c4abaf50-2655-437e-808c-9890a1d4e5df.jpg.296x216.jpg', '万科物业 东南向四居室 南北户型 花园中间 安静舒适', '万科金域华府二期  | 4室1厅 | 169.27平米 | 东南 | 精装', '低楼层(共26层)塔楼  -  石竹', '460万', '单价27176元/平米')
('https://image1.ljcdn.com/441900-inspection/6539a71f-095d-485d-aba4-855fa973f1ec.jpg.296x216.jpg', '万科金域华府 精装3房 南向看花园 满五唯一税费低', '万科金域华府一期  | 3室1厅 | 80平米 | 东南 | 精装', '低楼层(共26层)2010年建塔楼  -  石竹', '245万', '单价30625元/平米')
('https://image1.ljcdn.com/441900-inspection/cf572a6d-9d17-4800-9e54-ba6a309ab6e9.jpg.296x216.jpg', '景湖湾畔朝南向大三房出售  满五唯一', '光大景湖湾畔  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共11层)塔楼  -  宏远南', '243万', '单价20949元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7ce625c5-f91f-481d-ba24-89f368d9897e.jpg.296x216.jpg', '精装修大三房 家私电器齐全 拎包入住', '世纪城国际公馆二期  | 3室2厅 | 147.86平米 | 西南 | 其他', '中楼层(共8层)塔楼  -  西平', '365万', '单价24686元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload194aa17f-b668-40e8-b81a-4e5124e6fceb.jpg.296x216.jpg', '南城总部基地旁，地铁口物业，居家户型', '百悦尚城三期恒大御湖  | 2室2厅 | 87.62平米 | 东南 | 其他', '低楼层(共18层)塔楼  -  南城车站', '220万', '单价25109元/平米')
('https://image1.ljcdn.com/441900-inspection/7655113f-df93-4061-aa20-319527ae86cb.jpg.296x216.jpg', '精装两房出售，装修简单大方，业主包个税', '尚品居  | 2室1厅 | 74.24平米 | 东南 | 其他', '低楼层(共26层)塔楼  -  白马', '135万', '单价18185元/平米')
('https://image1.ljcdn.com/441900-inspection/6010f64a-961b-4747-bfa7-3a8489d7e4f6.jpg.296x216.jpg', '中信精装4房   满五唯一  前后看湖  采光好', '中信森林湖兰溪谷  | 4室2厅 | 146平米 | 南 | 其他', '高楼层(共29层)2012年建塔楼  -  水濂山', '435万', '单价29795元/平米')
('https://image1.ljcdn.com/441900-inspection/00a8d055-c26e-4e54-9d46-3d36d44dd3cc.jpg.296x216.jpg', '西平国际公馆三期 大平层 3个套房 高层景观 视眼好', '世纪城国际公馆三期仁里  | 4室2厅 | 221平米 | 东南 | 其他', '中楼层(共23层)塔楼  -  西平', '450万', '单价20362元/平米')
('https://image1.ljcdn.com/441900-inspection/f15f0e10-d928-4b97-9110-995e8efdd32c.jpg.296x216.jpg', '新中银三期可可园 毛坯两房 西南朝向', '新中银·金色华庭  | 2室2厅 | 85.64平米 | 西南 | 其他', '低楼层(共18层)塔楼  -  东泰', '208万', '单价24288元/平米')
('https://image1.ljcdn.com/441900-inspection/89c7dbf1-87e8-4740-9b20-cad0dcfbfe35.jpg.296x216.jpg', '光大景湖春晓  二梯四户电梯房  保养很好 诚心出售', '光大景湖春晓  | 3室2厅 | 105.87平米 | 北 | 其他', '低楼层(共18层)2005年建塔楼  -  东泰', '240万', '单价22670元/平米')
('https://image1.ljcdn.com/441900-inspection/f1b65a1f-f188-4080-addc-1666fae5a555.jpg.296x216.jpg', '中信新天地三房两厅 南北通透  视野宽阔  采光充足', '中信新天地  | 3室1厅 | 98.03平米 | 东南 | 其他', '中楼层(共19层)2004年建塔楼  -  石竹', '200万', '单价20402元/平米')
('https://image1.ljcdn.com/441900-inspection/ba71ccb2-aab9-45f2-b546-b684e3b641e7.jpg.296x216.jpg', '地铁口 万科物业 大三房，保养好', '新中银·金色华庭  | 3室2厅 | 119平米 | 东南 | 其他', '中楼层(共18层)塔楼  -  东泰', '255万', '单价21429元/平米')
('https://image1.ljcdn.com/441900-inspection/23ae3ba3-f494-4b21-9b57-6cb72aceeca2.jpg.296x216.jpg', '国际公馆一期联排别墅毛坯房出售', '世纪城国际公馆一期   | 联排别墅 | 5室2厅 | 298.96平米 | 东北 | 其他', '1层暂无数据  -  西平', '750万', '单价25087元/平米')
('https://image1.ljcdn.com/441900-inspection/95c8492d-d83b-4353-abd8-246a769ed9fd.jpg.296x216.jpg', '玫瑰公馆毛坯东南向2+1，绽放你对爱巢的想象！', '世纪城玫瑰公馆  | 3室2厅 | 81平米 | 东南 | 精装', '高楼层(共17层)塔楼  -  西平', '195万', '单价24075元/平米')
('https://image1.ljcdn.com/441900-inspection/91d8489d-6b55-4199-b881-ea01df68c9b5.jpg.296x216.jpg', '凯旋公馆 联排别墅 双车位 户型实用 居住舒适', '中信凯旋公馆   | 联排别墅 | 4室3厅 | 334平米 | 南 | 其他', '3层暂无数据  -  西平', '869万', '单价26018元/平米')
('https://image1.ljcdn.com/441900-inspection/19ab6993-cc2d-4ca7-960e-5cc0ce97efb3.jpg.296x216.jpg', '坐北朝南 4+1户型 三阳台 精装修', '光大景湖湾畔  | 5室2厅 | 149.52平米 | 南 | 其他', '低楼层(共18层)塔楼  -  宏远南', '310万', '单价20734元/平米')
('https://image1.ljcdn.com/441900-inspection/3cb2ec51-1f05-4442-a7cb-9fb71e7922dc.jpg.296x216.jpg', '地铁城轨房 中高楼层复试两房  通风采光好 满五年', '未来世界花园  | 2室2厅 | 51.61平米 | 东北 | 简装', '中楼层(共17层)塔楼  -  东泰', '105万', '单价20345元/平米')
('https://image1.ljcdn.com/441900-inspection/2e246c47-0815-4da8-858d-90b7c8192fac.jpg.296x216.jpg', '三期大平层 500万装修 2梯2户 南北对流', '世纪城国际公馆三期仁里  | 5室2厅 | 388.25平米 | 南 | 其他', '低楼层(共23层)塔楼  -  西平', '1138万', '单价29312元/平米')
('https://image1.ljcdn.com/441900-inspection/9f1aad9a-d5f3-430c-b324-8674cc35c448.jpg.296x216.jpg', '南城国际公馆 5+1房大平层 4面阳台看别墅区 满屋唯一', '世纪城国际公馆二期  | 5室2厅 | 355.15平米 | 东 东南 南 西南 北 | 精装', '中楼层(共18层)塔楼  -  西平', '780万', '单价21963元/平米')
('https://image1.ljcdn.com/441900-inspection/93761f25-acd5-44c3-b7e3-d029fbfce55c.jpg.296x216.jpg', '西平地铁口大单间出售 小区环境好', '新中银花园  | 1室0厅 | 30.41平米 | 东南 | 其他', '中楼层(共12层)塔楼  -  东泰', '50万', '单价16442元/平米')
