('https://image1.ljcdn.com/330100-inspection/6f4321b9-f318-42b7-9cac-b174e9c69cab.jpg.296x216.jpg', '莫干新村 满五唯一 小三房 送院子', '莫干新村  | 2室1厅 | 64.87平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1982年建板楼  -  湖墅', '272万', '单价41931元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload88812e0a-e498-4c94-94eb-aa4c4e2f2546.jpg.296x216.jpg', '德胜新村一楼带大院子两房南采光毛牢牢，看房有钥匙，', '德胜新村  | 2室1厅 | 55.05平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1988年建板楼  -  德胜', '225万', '单价40872元/平米')
('https://image1.ljcdn.com/330100-inspection/6f78de21-0800-45a1-9768-61f506164358.jpg.296x216.jpg', '两房朝南 清爽装修 小区生活配套完善 出行便利', '蚕花园永安坊  | 2室1厅 | 50.63平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1990年建板楼  -  拱宸桥', '180万', '单价35553元/平米')
('https://image1.ljcdn.com/330100-inspection/eec97689-4a2a-4751-8fd9-92f490732969.jpg.296x216.jpg', '贾家弄,中间楼层，可以步行运河，采光无任何遮挡！', '贾家弄2号  | 3室1厅 | 66.32平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  信义坊', '270万', '单价40712元/平米')
('https://image1.ljcdn.com/330100-inspection/27bbcf9e-dc18-45b8-9956-418726af3b85.jpg.296x216.jpg', '银泰旁，申花，经典3房，不占户学，采光好只要450万', '上尚庭  | 3室2厅 | 89.57平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2013年建板塔结合  -  申花', '440万', '单价49124元/平米')
('https://image1.ljcdn.com/330100-inspection/ba107f11-fa67-44c6-b0de-e670c4f4ecdf.jpg.296x216.jpg', '三开间朝南，毛坯出售，看房有钥匙，看房有钥匙', '定海东园  | 2室2厅 | 80平米 | 南 | 毛坯 | 有电梯', '中楼层(共15层)2008年建板楼  -  拱宸桥', '310万', '单价38750元/平米')
('https://image1.ljcdn.com/330100-inspection/57b738f1-712d-4a62-8c25-a0a0cf7c6f14.jpg.296x216.jpg', '万家花城 新上房源  精装修 两房带大露台 不沿马路', '万家花城二期  | 2室1厅 | 75.24平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2009年建板楼  -  申花', '420万', '单价55822元/平米')
('https://image1.ljcdn.com/330100-inspection/d7015317-2635-4c16-a057-e71b34e0c59f.jpg.296x216.jpg', '天阳美林湾，东边套三房格局，房东诚心出售。', '天阳美林湾  | 3室2厅 | 109.69平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2008年建板楼  -  申花', '415万', '单价37834元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadbe6309b6-e060-4d18-8e4b-bd463d3c872e.jpg.296x216.jpg', '房东诚心出售，单价不到26000元，看房方便', '金隅田员外  | 2室2厅 | 88.36平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共20层)2014年建板楼  -  半山', '245万', '单价27728元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload581f697b-a2aa-4ea5-9f0c-8a9c91bd518a.jpg.296x216.jpg', '香榭里，精装满二，业主置换精装拎包入住', '天鸿香榭里  | 3室2厅 | 88.3平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2012年建板楼  -  万达广场', '320万', '单价36241元/平米')
('https://image1.ljcdn.com/330100-inspection/test-0bfbd54d-2e2e-4388-b887-b4fb0eb9fbee.png.296x216.jpg', '锦昌二期 业主诚心出售 位置安静 清爽装修 配套齐全', '锦昌文华苑  | 4室2厅 | 149.59平米 | 南 北 | 简装 | 有电梯', '低楼层(共13层)2007年建板楼  -  拱宸桥', '665万', '单价44455元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5007f0a8-4fbe-4e5c-a233-b59f2904f1c9.jpg.296x216.jpg', '卖小新上好房，楼层户型好，得房率高，房东诚心卖。', '墅林苑  | 3室2厅 | 114.12平米 | 南 | 简装 | 无电梯', '中楼层(共8层)1996年建板楼  -  信义坊', '483万', '单价42324元/平米')
('https://image1.ljcdn.com/330100-inspection/0be705cf-6b77-4052-865e-7dad3b66fad3.jpg.296x216.jpg', '尚品庭院 朝南两开间 运河边 自住装修 送地下车位', '正中尚品庭院  | 2室1厅 | 89.37平米 | 南 | 精装 | 有电梯', '高楼层(共9层)2008年建板楼  -  拱宸桥', '420万', '单价46996元/平米')
('https://image1.ljcdn.com/330100-inspection/1ca6bd2a-2461-4a0a-9d06-6d83c23f2515.jpg.296x216.jpg', '业主诚心出售八苑好房，楼层低，出行便利，位置安静', '大关南八苑  | 2室1厅 | 70.1平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1998年建板楼  -  大关', '270万', '单价38517元/平米')
('https://image1.ljcdn.com/330100-inspection/test-4ff52fb1-2b5e-4199-a75e-6d286d68c375.png.296x216.jpg', '此房满五唯一免双税，全明通透的格局，小区中间位置', '名城燕园  | 3室1厅 | 120.26平米 | 南 东 | 毛坯 | 有电梯', '高楼层(共11层)2010年建板楼  -  桥西', '650万', '单价54050元/平米')
('https://image1.ljcdn.com/330100-inspection/6237a493-fb17-4e63-b429-85a628b0d91c.jpg.296x216.jpg', '阳光郡 3室2厅 370万', '阳光郡  | 3室2厅 | 89.09平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2014年建板楼  -  三墩', '370万', '单价41532元/平米')
('https://image1.ljcdn.com/330100-inspection/a4328a30-e7dd-4fd1-985e-b1da7809a37b.jpg.296x216.jpg', '桥西高品质住宅 开发商精装交付 改善家庭的选择送车位', '德信臻园  | 3室2厅 | 164.61平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2013年建板楼  -  桥西', '1065万', '单价64699元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadbeba8791-ced3-47fe-99ff-fe7928d5e306.jpg.296x216.jpg', '全明户型，好楼层，得房率高，好房不等人', '都市水乡水曲苑  | 2室1厅 | 68.55平米 | 南 北 | 简装 | 有电梯', '中楼层(共6层)2008年建板塔结合  -  三墩', '245万', '单价35741元/平米')
('https://image1.ljcdn.com/330100-inspection/e07c096c-c9ae-4643-9af5-3c7b3396bade.jpg.296x216.jpg', '大关西八苑  精装修 交通方便 两房', '大关西八苑  | 2室1厅 | 56.1平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1996年建塔楼  -  大关', '235万', '单价41890元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload082151dc-7246-4f0c-b68b-c8cad9fa705c.jpg.296x216.jpg', '大关东六苑 一楼带院子 南北通透', '大关东六苑  | 2室1厅 | 61.57平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1995年建板楼  -  大关', '246万', '单价39955元/平米')
('https://image1.ljcdn.com/330100-inspection/4a4b6f98-4a24-46b9-97bc-185ea00ca07e.jpg.296x216.jpg', '中间楼层，一梯两户两房朝南 正对小区花园', '大关东二苑  | 2室1厅 | 62.38平米 | 南 | 毛坯 | 无电梯', '中楼层(共7层)1995年建板楼  -  大关', '250万', '单价40077元/平米')
('https://image1.ljcdn.com/330100-inspection/13370017-a47c-4965-9fd5-f685630554fd.jpg.296x216.jpg', '婚房装修，中间楼层，南北通透，明厨明卫，优选好房~', '信义新村  | 2室1厅 | 56.52平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1992年建板楼  -  信义坊', '240万', '单价42463元/平米')
('https://image1.ljcdn.com/330100-inspection/418fc6d1-b5bc-4302-8e38-e0f15ba5acb6.jpg.296x216.jpg', '桃源版块新出炉好房，价格美丽 随时签约 业主诚心出售', '金星桃源居  | 2室2厅 | 83平米 | 南 | 简装 | 有电梯', '中楼层(共28层)2015年建板楼  -  半山', '260万', '单价31326元/平米')
('https://image1.ljcdn.com/330100-inspection/bfe8c625-d832-4fdf-8a69-8aee44c0c599.jpg.296x216.jpg', '仓基新村，中装两房，总价低，诚心卖', '仓基新村  | 2室1厅 | 51.1平米 | 东 西 北 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  信义坊', '200万', '单价39139元/平米')
('https://image1.ljcdn.com/330100-inspection/0ae51d2f-a6d9-4548-b808-cad82a36a7e7.jpg.296x216.jpg', '东方福邸小户型，单身公寓，紧缺户型', '东方福邸  | 1室1厅 | 63.7平米 | 南 | 简装 | 有电梯', '高楼层(共26层)2013年建板楼  -  申花', '298万', '单价46782元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload8281f058-b489-4047-b3e5-d4bd61c6289b.jpg.296x216.jpg', '卖小，全明户型东边套，装修清爽，房东诚心出售', '双荡新村  | 3室1厅 | 75.09平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  信义坊', '305万', '单价40618元/平米')
('https://image1.ljcdn.com/330100-inspection/e3504e5d-abaf-43c4-8910-bff8970b1815.jpg.296x216.jpg', '免除综合税 楼层好 精装修 诚心出售', '天阳美林湾  | 3室2厅 | 117.45平米 | 东南 南 | 精装 | 有电梯', '高楼层(共17层)2008年建板楼  -  申花', '435万', '单价37038元/平米')
('https://image1.ljcdn.com/330100-inspection/b2ce738d-4bd9-46e8-a86c-a2c27ee52724.jpg.296x216.jpg', '铁建新上夹边套  两房朝南   另一种感觉的三室', '中国铁建国际汇  | 3室2厅 | 84.37平米 | 南 北 | 精装 | 有电梯', '低楼层(共24层)板楼  -  拱宸桥', '401万', '单价47529元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b818aaa3-0a58-43b8-872e-12098cd807e0.png.296x216.jpg', '卖鱼桥本部，楼层高视野好，可看到西湖文化广场', '左家新村  | 2室1厅 | 82.05平米 | 东北 | 简装 | 有电梯', '高楼层(共20层)1996年建塔楼  -  湖墅', '310万', '单价37782元/平米')
('https://image1.ljcdn.com/330100-inspection/e4e1739f-0cb6-4cf7-8924-36860ee91705.jpg.296x216.jpg', '房东诚心出售小区中间位置游泳池边楼层好阳光视野无忧', '左岸花园  | 4室2厅 | 163平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2005年建板楼  -  拱宸桥', '600万', '单价36810元/平米')
('https://image1.ljcdn.com/330100-inspection/40b6c82c-3735-4219-b997-c161393c60b9.jpg.296x216.jpg', '东方福邸小三房89方，房东置换', '东方福邸  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2014年建板楼  -  申花', '550万', '单价61798元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a12e0698-a383-43d5-8113-50c986aca8b2.png.296x216.jpg', '朗诗田园绿郡，一年四季在家一件短袖统统搞定。', '朗诗田园绿郡  | 2室2厅 | 89.78平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2000年建板楼  -  半山', '300万', '单价33416元/平米')
('https://image1.ljcdn.com/330100-inspection/d62a3bb7-a9cc-4898-93d7-895862ce2f5f.jpg.296x216.jpg', '德胜新上好房，南北通透，小区中间！！！', '德胜新村  | 2室1厅 | 59.17平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1988年建板楼  -  德胜', '248万', '单价41914元/平米')
('https://image1.ljcdn.com/330100-inspection/4c3bb84a-c15a-4955-873a-6f25f9ba3b34.jpg.296x216.jpg', '南北西岸仅有的一套西边套三房户型，运河景观房', '南北西岸  | 3室2厅 | 88.5平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2009年建板楼  -  桥西', '405万', '单价45763元/平米')
('https://image1.ljcdn.com/330100-inspection/e6597690-99c0-4f76-a8e0-4ec4ea3bc5ee.jpg.296x216.jpg', '婚装电梯朝南2房，单价低，不限首付诚心出售，采光好', '蚕花园永宁坊  | 2室1厅 | 74.07平米 | 南 | 精装 | 有电梯', '低楼层(共22层)2000年建板楼  -  拱宸桥', '220万', '单价29702元/平米')
('https://image1.ljcdn.com/330100-inspection/5027ca51-e9e1-4a3f-ac2e-f1128a1556ee.jpg.296x216.jpg', '此房免增值税，户型方正，宽敞明亮，交通便利，精装修', '都市水乡水滟苑  | 3室1厅 | 94平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2008年建板楼  -  三墩', '298万', '单价31703元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload1f573086-ca72-4750-a473-4ed86132b3b6.jpg.296x216.jpg', '景瑞悦西台 申花版块 精装修住宅 次新房出售', '景瑞悦西台  | 3室1厅 | 89.26平米 | 南 | 精装', '高楼层(共27层)2017年建板楼  -  申花', '500万', '单价56017元/平米')
('https://image1.ljcdn.com/330100-inspection/d2832069-d6bb-4cb6-bf66-f4570c347784.jpg.296x216.jpg', '假山新村少有三房户型，中间楼层，位置安静，诚心出售', '假山新村  | 3室1厅 | 82.34平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1989年建板楼  -  德胜', '330万', '单价40078元/平米')
('https://image1.ljcdn.com/330100-inspection/test-7b67628c-1719-47c8-b19e-fe722b955db1.png.296x216.jpg', '卖鱼桥大两房可改三居室 户型方正看房方便有钥匙', '假山新村  | 2室2厅 | 82.89平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  德胜', '375万', '单价45241元/平米')
('https://image1.ljcdn.com/330100-inspection/38aaa228-fae0-46c9-8a72-6e0e754a7aa8.jpg.296x216.jpg', '绿城品质开发商精装小户型，房本满两年', '绿城慧园  | 3室2厅 | 89平米 | 南 北 | 精装 | 有电梯', '高楼层(共17层)2014年建板塔结合  -  申花', '540万', '单价60675元/平米')
('https://image1.ljcdn.com/330100-inspection/d482860a-2e2a-4e6a-97ba-49a7d6718764.jpg.296x216.jpg', '拱墅区 ，大三房，户型正气，好房不等人', '都市水乡水涟苑  | 3室2厅 | 103.56平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2008年建板塔结合  -  三墩', '289万', '单价27907元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7bd67e20-3124-4d5a-998d-a6f643248831.jpg.296x216.jpg', '此房大三房两厅两卫  位置好 采光佳  可以看到山', '绿城西子田园牧歌  | 3室2厅 | 149.33平米 | 南 | 毛坯 | 有电梯', '高楼层(共14层)2013年建板楼  -  半山', '600万', '单价40180元/平米')
('https://image1.ljcdn.com/330100-inspection/b976b231-f027-4b88-b805-c33c4742e226.jpg.296x216.jpg', '小区中间位置，婚房装修，适合自住，满两年税少！', '德信北海公园  | 3室2厅 | 84.75平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2011年建板楼  -  万达广场', '400万', '单价47198元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload64ca0198-5c56-4f21-802a-82bc5ff48d35.jpg.296x216.jpg', '湖墅 米市巷 中间楼层 两房 采光充足', '米市巷  | 2室1厅 | 63.56平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1997年建板楼  -  湖墅', '250万', '单价39333元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload74c7c6be-0740-4c4a-bd4f-185070a47162.jpg.296x216.jpg', '芳满庭精装舒适三房 单元边套户型 南北通透 拎包入住', '芳满庭  | 3室2厅 | 84.71平米 | 南 北 | 精装 | 有电梯', '中楼层(共22层)2008年建板楼  -  申花', '450万', '单价53123元/平米')
('https://image1.ljcdn.com/330100-inspection/186fb5f2-0df5-4238-bff3-b9999ca0f3f6.jpg.296x216.jpg', '总价低  地理位置好 双地铁口 交通便利 上学方便', '和睦新村  | 2室1厅 | 50.98平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1989年建板楼  -  和睦', '210万', '单价41193元/平米')
('https://image1.ljcdn.com/330100-inspection/6b4e06cf-6e2f-46bd-963c-64647b4b5af1.jpg.296x216.jpg', '新华园改善大四房 边套户型 格局正气', '新华园  | 4室2厅 | 204.64平米 | 南 | 毛坯 | 有电梯', '低楼层(共23层)2015年建板楼  -  湖墅', '1250万', '单价61083元/平米')
('https://image1.ljcdn.com/330100-inspection/c2931d2d-589b-4af1-b69c-3f5b9416e4b6.jpg.296x216.jpg', '精装30万的两房，拎包入住，采光充足', '南北西岸  | 2室1厅 | 78.56平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2009年建板楼  -  桥西', '390万', '单价49644元/平米')
('https://image1.ljcdn.com/330100-inspection/d0149c58-28d9-4283-8fe3-ce2a46784517.jpg.296x216.jpg', '大关东二苑  南北通透总价便宜两房 价格看好可谈', '大关东二苑  | 2室1厅 | 55.91平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1995年建板楼  -  大关', '198万', '单价35415元/平米')
('https://image1.ljcdn.com/330100-inspection/80c42e72-dd51-4517-b817-872129e078e2.jpg.296x216.jpg', '大浒西苑好房诚心出售 总价低 刚需适合', '大浒西苑  | 2室1厅 | 62平米 | 南 | 简装 | 有电梯', '低楼层(共17层)2013年建板楼  -  拱宸桥', '285万', '单价45968元/平米')
('https://image1.ljcdn.com/330100-inspection/77ac7f65-919a-4aa4-8404-7c2633b6aad6.jpg.296x216.jpg', '东边套胜利河景观房3楼视野开阔阳光充足', '大关南五苑  | 3室1厅 | 69.1平米 | 东南 | 精装 | 无电梯', '中楼层(共6层)1998年建板塔结合  -  大关', '276万', '单价39943元/平米')
('https://image1.ljcdn.com/330100-inspection/9388dbc7-26d8-428c-a136-c7246efe3e97.jpg.296x216.jpg', '房子是跃层的 满两年 有一个点个税 诚心出售', '大关西四苑  | 3室1厅 | 83.14平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共3层)1995年建板楼  -  大关', '290万', '单价34881元/平米')
('https://image1.ljcdn.com/330100-inspection/8d4d36b3-0fd6-433b-905f-ecbd58460893.jpg.296x216.jpg', '大浒东苑经典小户型，朝南，满五年，诚心出售', '大浒东苑  | 1室1厅 | 40.12平米 | 南 | 简装 | 有电梯', '低楼层(共17层)2006年建塔楼  -  大关', '188万', '单价46860元/平米')
('https://image1.ljcdn.com/330100-inspection/adf92387-e933-4cd0-8a55-b6abc6bca266.jpg.296x216.jpg', '城西银泰旁精装带地暖两房，房东诚心出售', '保利香槟国际  | 2室2厅 | 85.56平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2013年建板楼  -  申花', '445万', '单价52011元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6c43e355-97b7-4743-abec-a46c64a28d60.jpg.296x216.jpg', '业主诚心急售，看房方便，自住装修，全明户型', '依锦苑  | 3室2厅 | 110.43平米 | 南 北 | 精装', '中楼层(共10层)2000年建板楼  -  半山', '348万', '单价31514元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf51fba6d-fc30-4e9b-81fa-cc06809546d4.jpg.296x216.jpg', '房子满五，看房方便，随时可看，装修清爽，领包入住。', '左岸花园  | 2室2厅 | 93.94平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2005年建板塔结合  -  拱宸桥', '365万', '单价38855元/平米')
('https://image1.ljcdn.com/330100-inspection/60ff2fe7-9d12-4b7a-ba5f-c97a762b9520.jpg.296x216.jpg', '欣盛东方福邸，品质小区小户型，精装修，可拎包入住', '东方福邸  | 1室1厅 | 65.65平米 | 南 | 精装 | 有电梯', '中楼层(共21层)2013年建板楼  -  申花', '320万', '单价48744元/平米')
('https://image1.ljcdn.com/330100-inspection/0982b4b7-ec5b-4928-a18b-5ff299786973.jpg.296x216.jpg', '低总价大面积公寓，看房方便，带阳台', '宜家时代  | 2室1厅 | 89平米 | 东 | 精装 | 有电梯', '中楼层(共17层)2010年建板楼  -  桥西', '180万', '单价20225元/平米')
('https://image1.ljcdn.com/330100-inspection/b7eb264d-1ae5-4502-bb7c-c4fcb9e6dbcf.jpg.296x216.jpg', '星河明苑  两房 格局方正 带落地窗 靠河边', '星河明苑  | 2室1厅 | 65.04平米 | 西北 | 简装 | 有电梯', '中楼层(共18层)2003年建板楼  -  湖墅', '308万', '单价47356元/平米')
('https://image1.ljcdn.com/330100-inspection/349f677c-1821-4ea5-bfa0-2811bc5cf444.jpg.296x216.jpg', '置换新房，诚心出售，看中价格可以谈', '大关南四苑  | 2室1厅 | 61.73平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1999年建板楼  -  大关', '245万', '单价39689元/平米')
('https://image1.ljcdn.com/330100-inspection/561a3dd1-26a1-481f-a245-a2f66c31fbe0.jpg.296x216.jpg', '拱北小两房的格局，产证满五唯一，2001年的房龄', '蚕花园永庆坊  | 2室1厅 | 72.65平米 | 南 北 | 简装 | 有电梯', '低楼层(共21层)2000年建板楼  -  拱宸桥', '225万', '单价30971元/平米')
('https://image1.ljcdn.com/330100-inspection/76e84257-533a-4670-b9ff-13625c3bda93.jpg.296x216.jpg', '朝南三房电梯房，采光充足，房龄较新，适合居住', '普金家园  | 3室2厅 | 134.05平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2003年建板楼  -  拱宸桥', '500万', '单价37300元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf598edab-63c0-461e-be2d-0202a08e1b83.jpg.296x216.jpg', '金隅田园外，毛坯大三房、西边套诚心出售', '金隅田员外  | 3室2厅 | 128平米 | 南 | 毛坯 | 有电梯', '低楼层(共20层)2014年建板楼  -  半山', '340万', '单价26563元/平米')
('https://image1.ljcdn.com/330100-inspection/f33b0e8a-c20e-4205-9919-d71ea7827c85.jpg.296x216.jpg', '卖小，电梯房，民水民电，装修清爽，业主置换', '云河大厦  | 1室1厅 | 51平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  信义坊', '207万', '单价40589元/平米')
('https://image1.ljcdn.com/330100-inspection/9591b734-4b48-4e0f-860c-b3237babb20b.jpg.296x216.jpg', '蚕花园永庆坊 2室1厅 190万', '蚕花园永庆坊  | 2室1厅 | 46.19平米 | 南 | 简装 | 无电梯', '低楼层(共7层)2000年建板楼  -  拱宸桥', '190万', '单价41135元/平米')
('https://image1.ljcdn.com/330100-inspection/cf06d045-9ead-4dcf-98eb-b371f00799c9.JPG.296x216.jpg', '都市水乡水映苑 2室2厅 260万', '都市水乡水映苑  | 2室2厅 | 82.23平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2004年建板楼  -  三墩', '260万', '单价31619元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload94640993-dcea-4097-959f-8903d3d730cf.jpg.296x216.jpg', '和睦房东诚心出售两房，价格还有余地，急售能谈', '和睦新村  | 2室1厅 | 52.28平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1989年建板楼  -  和睦', '200万', '单价38256元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6ada78be-6a69-4ba9-aa68-cc34f970423d.jpg.296x216.jpg', '锦绣家园 大户型 东边套 中间楼层', '锦绣家园  | 5室2厅 | 190平米 | 东 南 北 | 简装 | 有电梯', '中楼层(共11层)2002年建塔楼  -  湖墅', '910万', '单价47895元/平米')
('https://image1.ljcdn.com/330100-inspection/2558638c-6d81-4b70-b091-767e42af1a86.jpg.296x216.jpg', '庆隆苑 3室1厅 420万', '庆隆苑  | 3室1厅 | 96.2平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2004年建板楼  -  和睦', '420万', '单价43660元/平米')
('https://image1.ljcdn.com/330100-inspection/d7cb87f8-6f75-47e8-b36c-6e248586bdaf.jpg.296x216.jpg', '运河东苑送40方露台 四房，户型方正，采光好，靠运河', '运河东苑  | 4室2厅 | 187.16平米 | 南 | 简装 | 有电梯', '高楼层(共17层)1998年建板楼  -  拱宸桥', '640万', '单价34196元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a358f501-194a-4db5-983b-e47add2bb70f.png.296x216.jpg', '温馨小三居 全明户型 高楼层视野好', '顺发吉祥半岛  | 3室1厅 | 75.47平米 | 南 | 简装 | 有电梯', '高楼层(共24层)2014年建板楼  -  桥西', '395万', '单价52339元/平米')
('https://image1.ljcdn.com/330100-inspection/5f1c1dfc-5343-42bd-adbd-1d8f7aff3415.JPG.296x216.jpg', '正规大两房，采光好，房东诚心出售。', '都市水乡水映苑  | 2室2厅 | 82.05平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  三墩', '260万', '单价31688元/平米')
('https://image1.ljcdn.com/330100-inspection/0b55f7ae-d879-4549-a46c-68d81951a64c.jpg.296x216.jpg', '云河大厦 1室1厅 185万', '云河大厦  | 1室1厅 | 51平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  信义坊', '185万', '单价36275元/平米')
('https://image1.ljcdn.com/330100-inspection/a815871b-52ad-475a-b0e3-47858b2684cb.jpg.296x216.jpg', '稻香园全明边套 两房朝南 运河边', '稻香园北区  | 3室1厅 | 95.79平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1997年建板楼  -  湖墅', '420万', '单价43846元/平米')
('https://image1.ljcdn.com/330100-inspection/0f19a598-dc1b-43c7-a1cb-82011fbc649c.jpg.296x216.jpg', '2居室  西边套  满二年  楼层好 诚心出售', '大关南五苑  | 2室1厅 | 52.78平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  大关', '200万', '单价37894元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a1a3fedd-b79d-4400-9b85-51e8bf71a949.png.296x216.jpg', '绿城物业 品质小区 正气三房 全明户型 赠送面积多', '首开望宸  | 3室2厅 | 89平米 | 南 | 毛坯', '高楼层(共11层)2017年建板楼  -  半山', '280万', '单价31461元/平米')
('https://image1.ljcdn.com/330100-inspection/a9c8ef61-7808-4546-af58-bdd37dc6e418.jpg.296x216.jpg', '户型方正，大两房，较新房龄，刚需选择。', '一清新村  | 2室2厅 | 69.1平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  湖墅', '295万', '单价42692元/平米')
('https://image1.ljcdn.com/330100-inspection/4c54d101-7764-4158-a944-9ed2a11724db.jpg.296x216.jpg', '维元弄低楼层，适合老年人居住。', '维元弄  | 2室2厅 | 72.37平米 | 东 西 | 简装 | 无电梯', '低楼层(共6层)1986年建板楼  -  湖墅', '270万', '单价37309元/平米')
('https://image1.ljcdn.com/330100-inspection/89cb6444-451f-4fb8-909f-4e42c20af0bd.jpg.296x216.jpg', '标准两房，此房带大露台，全明户型', '小河佳苑  | 2室1厅 | 63.54平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2005年建板楼  -  和睦', '248万', '单价39031元/平米')
('https://image1.ljcdn.com/330100-inspection/e67e6501-324a-4b27-ad8b-e4e2633c801b.jpg.296x216.jpg', '沈塘东村两房朝南离地铁2号线500米沿运河', '沈塘东村  | 2室1厅 | 39.29平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1986年建板楼  -  湖墅', '180万', '单价45814元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadb58d483b-b60d-4c57-b576-b7231dfb9751.jpg.296x216.jpg', '荣华里小套   可改两室两厅 出行方便 配套齐全', '荣华里  | 2室1厅 | 50.7平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1985年建板楼  -  拱宸桥', '209万', '单价41223元/平米')
('https://image1.ljcdn.com/330100-inspection/cde63f5e-68a9-42d3-a32f-d32185a1da50.jpg.296x216.jpg', '小河佳苑两房出售，精装自住，满两年', '小河佳苑  | 2室1厅 | 74.04平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2005年建板楼  -  和睦', '280万', '单价37818元/平米')
('https://image1.ljcdn.com/330100-inspection/ad0075f8-e094-4182-ae4c-d809e35cb6f7.jpg.296x216.jpg', '沈塘桥弄  2号线地铁150米', '沈塘桥弄  | 3室1厅 | 66.33平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1997年建板楼  -  湖墅', '242万', '单价36485元/平米')
