('https://image1.ljcdn.com/370200-inspection/1e981338-8854-4319-b37f-00f04dcca510.JPG.296x216.jpg', '瑞纳花园 小高层套三 户型方正 距离地铁11号线500米', '瑞纳花园  | 3室1厅 | 115.43平米 | 南 西 | 其他 | 有电梯', '中楼层(共12层)2000年建板楼  -  石老人', '406万', '单价35173元/平米')
('https://image1.ljcdn.com/370200-inspection/f4503588-28c2-491d-8a8d-a6c3ae601c16.jpg.296x216.jpg', '亚麦山城，高楼层可看海，装修很好，可以即住', '亚麦山城一期  | 2室2厅 | 109平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2006年建板楼  -  雕塑园', '456万', '单价41835元/平米')
('https://image1.ljcdn.com/370200-inspection/59666fcc-0797-4647-84a2-e5c6fbc54bbc.jpg.296x216.jpg', '新上 高科园商圈 精装套二   花园小区 看房方便', '鲁信含章花园  | 2室2厅 | 108.23平米 | 南 北 | 其他 | 有电梯', '低楼层(共30层)2012年建板楼  -  北村', '370万', '单价34187元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload8a7dd6ae-27b1-48c3-bc78-23c24eadbcff.JPG.296x216.jpg', '别墅院子里房子，07年社区、小区前排、带院子。', '东方之珠花园别墅  | 3室2厅 | 143.33平米 | 南 北 | 其他 | 无电梯', '低楼层(共4层)2005年建板楼  -  雕塑园', '920万', '单价64188元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload622a3c20-243c-40e8-99c1-651ceb9a44dc.jpg.296x216.jpg', '满5年唯一 小区中间位置 148.5平 3室2厅 采光好', '颐灏海怡名都  | 3室2厅 | 148.5平米 | 南 | 其他 | 有电梯', '低楼层(共9层)2006年建板楼  -  麦岛', '630万', '单价42425元/平米')
('https://image1.ljcdn.com/370200-inspection/37120439-8e94-4f27-8bd4-76220e8fede7.jpg.296x216.jpg', '石老人花园西区 多层顶加阁 户型好海景棒 满五唯一', '石老人花园西区  | 4室2厅 | 120.57平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  石老人', '650万', '单价53911元/平米')
('https://image1.ljcdn.com/370200-inspection/1d5145fc-ed88-4d88-a6d5-c6f8730713c3.jpg.296x216.jpg', '山水名园二期 送地下车位 满五年唯一省税 精装修少住', '山水名园二期  | 3室2厅 | 147平米 | 东 东南 南 北 | 其他 | 无电梯', '中楼层(共4层)2009年建板楼  -  石老人', '680万', '单价46259元/平米')
('https://image1.ljcdn.com/370200-inspection/308cffc7-630e-4950-9f53-e9af8ec44b14.JPG.296x216.jpg', '溪谷美寓，满两年带一个院子，南北通透价钱还能在商量', '溪谷美寓一期  | 2室2厅 | 95.15平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  汽车东站', '455万', '单价47820元/平米')
('https://image1.ljcdn.com/370200-inspection/481034a3-f093-46c9-b14d-b26d29883a9c.jpg.296x216.jpg', '国际名都 南向套一 好采光 育才+地铁', '国际名都  | 1室1厅 | 68.57平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2006年建板楼  -  汽车东站', '186万', '单价27126元/平米')
('https://image1.ljcdn.com/370200-inspection/d3463b0c-26f5-4f42-91b4-b974feaa277b.jpg.296x216.jpg', '温哥华花园 2室2厅 403万', '温哥华花园  | 2室2厅 | 122.39平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2011年建板楼  -  北村', '403万', '单价32928元/平米')
('https://image1.ljcdn.com/370200-inspection/3907e12e-6a64-4ecf-a359-5db0b782a6ae.jpg.296x216.jpg', '梅岭小区 中楼层 双南卧 附赠阳台 邻R11博览中XIN站', '三角花园  | 2室1厅 | 105.07平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1999年建板楼  -  石老人', '426万', '单价40545元/平米')
('https://image1.ljcdn.com/370200-inspection/fa5ecabc-eed5-4868-b0c4-3a3301c86781.jpg.296x216.jpg', '三角花园 多层五楼带阁楼 生活便利 大剧院旁', '三角花园  | 4室2厅 | 139.47平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  石老人', '460万', '单价32983元/平米')
('https://image1.ljcdn.com/370200-inspection/2507e660-988e-40e6-8956-6ed775a82306.jpg.296x216.jpg', '鲁信长春一楼带院大套三，不靠路，重新装修，采光好', '鲁信长春花园  | 3室2厅 | 159.63平米 | 南 北 | 精装 | 有电梯', '低楼层(共19层)2006年建板楼  -  颐中体育场', '599万', '单价37525元/平米')
('https://image1.ljcdn.com/370200-inspection/fb2ebaa9-fc98-4b11-9e2e-ce553213989b.jpg.296x216.jpg', '南北通透小套三，满两年，看房方便，业主诚心出售', '金光丽园  | 3室1厅 | 88.64平米 | 南 西 北 | 其他 | 有电梯', '中楼层(共16层)2012年建板楼  -  北村', '350万', '单价39486元/平米')
('https://image1.ljcdn.com/370200-inspection/26e0a00b-e586-4074-954a-cc344088c5d9.jpg.296x216.jpg', '多层正规大套二，已满五年，中等装修，房子看海不临路', '凯旋山庄  | 2室1厅 | 96.64平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2001年建板楼  -  雕塑园', '460万', '单价47600元/平米')
('https://image1.ljcdn.com/370200-inspection/7953f1f3-b847-4b75-ba19-b6293cfa3e41.JPG.296x216.jpg', '千禧龙苑二期 高层海景房 视野好 诚意出售', '千禧龙苑二期  | 2室1厅 | 78.2平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2010年建板楼  -  石老人', '328万', '单价41944元/平米')
('https://image1.ljcdn.com/370200-inspection/882c25c3-ec2e-4f01-aeca-d93fec29330b.JPG.296x216.jpg', '东方美景 精装套二，楼层高采光佳，满五省钱，地铁口', '东方美景  | 2室2厅 | 108.71平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2008年建板楼  -  汽车东站', '420万', '单价38635元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadbc899d17-2304-46e7-9cb6-52eedd749847.jpg.296x216.jpg', '鲁信长春！精装套三！保护新！带大平台，送车位！', '鲁信长春花园  | 3室2厅 | 151.56平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2008年建板楼  -  颐中体育场', '560万', '单价36950元/平米')
('https://image1.ljcdn.com/370200-inspection/94d3144b-ee10-436d-be60-6d19190bb9cb.jpg.296x216.jpg', '精装全明户型  两居室带书房  地暖带电梯', '爱丁堡国际公寓  | 2室1厅 | 89.49平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2011年建板楼  -  张村', '350万', '单价39111元/平米')
('https://image1.ljcdn.com/370200-inspection/78743b82-edc5-435d-a691-5e703f49b31d.jpg.296x216.jpg', '浮山前，雕塑园，独栋别墅带大院，带电梯，诚意出售', '金海湾   | 独栋别墅 | 5室2厅 | 270.51平米 | 南 北 | 其他 | 无电梯', '3层1997年建暂无数据  -  雕塑园', '2400万', '单价88722元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadf7444301-ffcd-40c7-8517-ddc98b435b43.jpg.296x216.jpg', '亚麦山城一期 精装修，南北通透户型，采光没有问题', '亚麦山城一期  | 3室2厅 | 166.18平米 | 南 北 | 其他 | 有电梯', '低楼层(共14层)2006年建板楼  -  雕塑园', '600万', '单价36106元/平米')
('https://image1.ljcdn.com/370200-inspection/2a996c80-0eea-481d-9f43-da7243f6c777.jpg.296x216.jpg', '沙滩海景，管家式管理，交通便利', '银座领海公馆  | 3室1厅 | 231.31平米 | 南 北 | 其他 | 有电梯', '高楼层(共27层)2012年建板楼  -  雕塑园', '1200万', '单价51879元/平米')
('https://image1.ljcdn.com/370200-inspection/f35d1a8c-1dc1-4486-a333-af432c2adb19.jpg.296x216.jpg', '金光都市名家 封闭小区 人车分流 小区环境好', '金光都市名家  | 3室2厅 | 131.17平米 | 南 | 其他 | 有电梯', '低楼层(共20层)2006年建板塔结合  -  麦岛', '598万', '单价45590元/平米')
('https://image1.ljcdn.com/370200-inspection/e95c07c9-d39f-4fa1-885b-a91fdcfd04ab.jpg.296x216.jpg', '新上蔚蓝世纪大厦 全海景 137平套二 居住舒适 送车位', '蔚蓝世纪大厦  | 2室1厅 | 137.46平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2007年建塔楼  -  雕塑园', '450万', '单价32737元/平米')
('https://image1.ljcdn.com/370200-inspection/bdcc56bc-e144-4dc8-8564-14f43c302fa7.jpg.296x216.jpg', '麒麟山庄 送车库送大平台 看山看海', '麒麟山庄  | 3室2厅 | 131.3平米 | 南 北 | 精装 | 无电梯', '高楼层(共4层)2005年建板楼  -  沙子口', '420万', '单价31988元/平米')
('https://image1.ljcdn.com/370200-inspection/753b9677-1ee3-49c5-b6ea-5596d5e1fccc.jpg.296x216.jpg', '采菊苑中间位置，户型方正，精装修，楼距大采光视野好', '北国之春采菊苑  | 3室2厅 | 158.35平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2009年建板楼  -  北村', '525万', '单价33155元/平米')
('https://image1.ljcdn.com/370200-inspection/ec0cec12-abb7-42ce-ab4c-c7c0571222a6.jpg.296x216.jpg', '新登记鲁信长春大套二，满五唯一省双税，业主重新装修', '鲁信长春花园  | 2室2厅 | 99.53平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2008年建板楼  -  颐中体育场', '336万', '单价33759元/平米')
('https://image1.ljcdn.com/370200-inspection/89f917c1-3fb8-4466-8fe8-92e015b1aca4.jpg.296x216.jpg', '国际名都  方正户型   朝向好', '国际名都  | 1室1厅 | 65.17平米 | 西 | 其他 | 有电梯', '低楼层(共17层)2006年建板楼  -  汽车东站', '183万', '单价28081元/平米')
('https://image1.ljcdn.com/370200-inspection/56a403db-0b7f-498b-9441-35df614d91de.jpg.296x216.jpg', '东城北区，小高层套三，有车位，保护好，视野采光很棒', '海尔东城国际北区  | 3室2厅 | 102.39平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2008年建板塔结合  -  颐中体育场', '430万', '单价41997元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadde457941-c6ee-4523-ad16-0febd09ca189.jpg.296x216.jpg', '远洋风景 新上底复式 总价低 带车位 带前后两个院子！', '远洋风景  | 6室1厅 | 138.78平米 | 南 北 | 其他 | 有电梯', '低楼层(共26层)2013年建板楼  -  颐中体育场', '850万', '单价61249元/平米')
('https://image1.ljcdn.com/370200-inspection/7491735f-0db7-4b2d-9d08-24b5733b41da.jpg.296x216.jpg', '康城，精装元宝大套三，满五唯一，送地下车位，采光好', '康城  | 3室2厅 | 137.36平米 | 南 北 | 其他 | 有电梯', '低楼层(共22层)2009年建板楼  -  汽车东站', '498万', '单价36256元/平米')
('https://image1.ljcdn.com/370200-inspection/41a28a68-f4b8-4762-bd04-e28504c32aff.jpg.296x216.jpg', '复式带院 十大名盘之一  品质小区 人车分流', '银都景园  | 4室2厅 | 252.96平米 | 南 北 | 其他 | 有电梯', '低楼层(共4层)2003年建板楼  -  雕塑园', '1700万', '单价67205元/平米')
('https://image1.ljcdn.com/370200-inspection/d6324a88-c5ee-4de9-bc63-52e75bae3622.jpg.296x216.jpg', '天泰金融广场 精装修 蓝色调 上复式 低价出售 预约看', '天泰金融广场B座  | 1室1厅 | 43.67平米 | 西北 | 其他 | 有电梯', '中楼层(共32层)2010年建板楼  -  崂山CBD', '120万', '单价27479元/平米')
('https://image1.ljcdn.com/370200-inspection/57933112-c560-4ba0-8338-e3b154c2b0a2.jpg.296x216.jpg', '丽海馨苑 精装两居室 南北通透 免双税 看房方便', '丽海馨苑  | 2室1厅 | 89.18平米 | 南 北 | 简装 | 有电梯', '低楼层(共14层)2006年建板楼  -  崂山CBD', '325万', '单价36444元/平米')
('https://image1.ljcdn.com/370200-inspection/3fe8dadc-fc67-49db-8ee6-57b2b92fe434.jpg.296x216.jpg', '爱丁堡国际公寓 精装套二双卫！诚意出售 随时看房', '爱丁堡国际公寓  | 2室2厅 | 123.94平米 | 南 北 | 精装 | 有电梯', '高楼层(共23层)2011年建板楼  -  张村', '410万', '单价33081元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadd9f31146-1c29-4d74-b095-6a0bc47f2fd5.jpg.296x216.jpg', '亚麦山城海景房，东南向全海景，户型方正，光线好', '亚麦山城二期  | 3室2厅 | 166.18平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2009年建板楼  -  雕塑园', '666万', '单价40078元/平米')
('https://image1.ljcdn.com/370200-inspection/4de4dcd3-46d6-4787-8c2f-5eef13cab6a6.jpg.296x216.jpg', '海丽花园 满两年 位置好 采光好 舒适套三', '海丽花园  | 3室2厅 | 139.16平米 | 南 北 | 简装 | 有电梯', '中楼层(共20层)2005年建板楼  -  崂山CBD', '435万', '单价31259元/平米')
('https://image1.ljcdn.com/370200-inspection/715faed0-11fa-4500-898e-993609dcc225.jpg.296x216.jpg', '金领世家南区套二，楼层高，可看海，有钥匙，近丽达', '金领世家  | 2室1厅 | 115.27平米 | 南 北 | 简装 | 有电梯', '中楼层(共20层)2009年建板楼  -  崂山CBD', '440万', '单价38172元/平米')
('https://image1.ljcdn.com/370200-inspection/e636c053-d8d1-420f-820a-08c51a762cce.jpg.296x216.jpg', '怡海园南区 一楼复式带院 南北通透 居住舒适', '怡海园南区  | 3室2厅 | 133.41平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1998年建板楼  -  西姜', '560万', '单价41976元/平米')
('https://image1.ljcdn.com/370200-inspection/8aa9630d-0317-4d75-a25e-ff6e335bd542.jpg.296x216.jpg', '城建春光山色 多层 房子 上下两层看房方便', '春光山色  | 3室1厅 | 78.81平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共7层)2005年建板楼  -  北村', '248万', '单价31469元/平米')
('https://image1.ljcdn.com/370200-inspection/test-efa7175e-4325-4468-9a5d-0a7e7a45fccc.png.296x216.jpg', '七星花园，小高层，视野没问题，全天采光，随时看房', '北国之春七星花园  | 2室1厅 | 91.86平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2008年建板楼  -  北村', '310万', '单价33748元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload778c65db-54e0-46e4-b59c-eeb45673b80b.jpg.296x216.jpg', '北国之春七星花园小区，套二厅，精装，拎包入住', '北国之春七星花园  | 2室1厅 | 91.78平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2008年建板楼  -  北村', '327万', '单价35629元/平米')
('https://image1.ljcdn.com/370200-inspection/e0981b52-2c13-4497-b96e-8a7d1d770953.jpg.296x216.jpg', '溪谷美寓北区  楼层适中 采光好 满五唯一税费少', '溪谷美寓二期  | 2室2厅 | 93.18平米 | 南 北 | 简装 | 有电梯', '低楼层(共14层)2009年建板楼  -  汽车东站', '325万', '单价34879元/平米')
('https://image1.ljcdn.com/370200-inspection/test-2522514c-7088-4469-84ee-5591ef066fd1.png.296x216.jpg', '御景峰带车位 电梯入户 南向全海景 北向观山景 全明', '御景峰  | 4室2厅 | 189.53平米 | 南 北 | 其他 | 有电梯', '高楼层(共21层)2009年建板楼  -  雕塑园', '1170万', '单价61732元/平米')
('https://image1.ljcdn.com/370200-inspection/0a8592de-6980-43d0-876a-4f51262fd90f.jpg.296x216.jpg', '多层二楼套二 全南户型 双南卧', '翡翠花园  | 2室1厅 | 82.82平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2001年建板楼  -  西姜', '270万', '单价32601元/平米')
('https://image1.ljcdn.com/370200-inspection/47ba39e5-b39d-422f-97e6-398cb1a61457.jpg.296x216.jpg', '新上!柏林苑精装全明多层套三，视野开阔，诚心出售!', '海尔东城国际北区  | 3室2厅 | 146.06平米 | 南 | 精装 | 有电梯', '中楼层(共5层)2009年建板塔结合  -  颐中体育场', '695万', '单价47584元/平米')
('https://image1.ljcdn.com/370200-inspection/d222cfa8-c4aa-4274-a5f2-dfe6265ff732.jpg.296x216.jpg', '东城国际北区位置好 东户大套三 内部保护好 诚心出售', '海尔东城国际北区  | 3室2厅 | 139.08平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2008年建板塔结合  -  颐中体育场', '630万', '单价45298元/平米')
('https://image1.ljcdn.com/370200-inspection/b42d8d68-dfd7-45dd-a3e7-2a4a0c46611f.jpg.296x216.jpg', '鲁信长春 南厅套三 一楼带院 送地下车位', '鲁信长春花园  | 3室2厅 | 139.86平米 | 南 | 其他 | 有电梯', '低楼层(共20层)2006年建板楼  -  颐中体育场', '560万', '单价40041元/平米')
('https://image1.ljcdn.com/370200-inspection/19c50699-c72c-4e98-97e3-0b7e87d7e1e7.jpg.296x216.jpg', '鲁信长春大套三！送车位，双厅双卫，改善住房，品质', '鲁信长春花园  | 3室2厅 | 160.37平米 | 南 北 | 其他 | 有电梯', '低楼层(共19层)2008年建板楼  -  颐中体育场', '575万', '单价35855元/平米')
('https://image1.ljcdn.com/370200-inspection/5e752fb9-aff0-4a57-bbb7-f99f3b21c26c.jpg.296x216.jpg', '七星花园，免双税，楼层好事业开阔，诚心出售。', '北国之春七星花园  | 3室1厅 | 120.91平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2008年建板楼  -  北村', '405万', '单价33496元/平米')
('https://image1.ljcdn.com/370200-inspection/c2ac1efd-27b9-4b58-a6e7-479f8fb8cb67.jpg.296x216.jpg', '多层带电梯 采光好可看海 南北通透 近地铁 带车库', '澳门花园  | 3室2厅 | 129.2平米 | 南 北 | 精装 | 有电梯', '高楼层(共6层)2003年建板楼  -  雕塑园', '750万', '单价58050元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadd2a43332-1842-4c09-9637-135d042d3bab.jpg.296x216.jpg', '丽海馨苑大三室，有钥匙，采光好，近地铁，公摊小', '丽海馨苑  | 3室2厅 | 163.12平米 | 南 北 | 简装 | 有电梯', '中楼层(共14层)2006年建板楼  -  崂山CBD', '620万', '单价38009元/平米')
('https://image1.ljcdn.com/370200-inspection/563e5c6f-9392-4613-bcfe-651da2d05bb4.jpg.296x216.jpg', '业主诚心卖房。位置好， 送大平台。', '金光丽园  | 2室2厅 | 93.19平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2012年建板楼  -  北村', '330万', '单价35412元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload303c49d7-3c82-4083-b32e-cd235dc726ef.jpg.296x216.jpg', '海丽花园低总价套三，近地铁口，价格低谷，随时看房', '海丽花园  | 3室1厅 | 139.16平米 | 南 北 | 简装 | 有电梯', '低楼层(共20层)2005年建板楼  -  崂山CBD', '405万', '单价29104元/平米')
('https://image1.ljcdn.com/370200-inspection/c5a1074f-dbd5-4dc0-90d2-c71f8255ac68.jpg.296x216.jpg', '金帝山庄欧式错层，元宝户型，全明套三  诚售', '金帝山庄  | 4室2厅 | 160.57平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2002年建板楼  -  雕塑园', '729万', '单价45401元/平米')
('https://image1.ljcdn.com/370200-inspection/61733b72-0309-4d83-a04a-3c5e620012534.jpg.296x216.jpg', '此房满五年唯一，精装通透，业主诚心出售价格可议', '鲁信长春花园  | 6室2厅 | 246.95平米 | 南 北 | 精装 | 有电梯', '中楼层(共4层)2006年建板楼  -  颐中体育场', '1100万', '单价44544元/平米')
('https://image1.ljcdn.com/370200-inspection/bf9a9d57-0de8-492c-a247-b26ff29ea9bf.jpg.296x216.jpg', '颐和星苑BC区 6室2厅 1390万', '颐和星苑BC区  | 6室2厅 | 279.73平米 | 南 北 | 其他 | 无电梯', '低楼层(共4层)2010年建板楼  -  西姜', '1390万', '单价49691元/平米')
('https://image1.ljcdn.com/370200-inspection/b63b01d9-b8e9-4a0c-85d0-062aa0c22c56.jpg.296x216.jpg', '竹韵山色 新上套二  采光不当 小区环境优美诚意出售', '竹韵山色二期  | 2室1厅 | 93.9平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2011年建板楼  -  北村', '330万', '单价35144元/平米')
('https://image1.ljcdn.com/370200-inspection/b3a9edfa-c306-41ed-ba37-e90f674c1c92.jpg.296x216.jpg', '悦海豪庭 204.95平精装套四 视野好看绿化 装修维护好', '悦海豪庭  | 4室2厅 | 204.95平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2003年建板楼  -  石老人', '768万', '单价37473元/平米')
('https://image1.ljcdn.com/370200-inspection/test-255ef4fa-ab89-424f-abac-518fcf337eb3.png.296x216.jpg', '送送送子母车位+储藏室 尚东区精装套二 双卫 可改套三', '青建尚东区  | 2室2厅 | 121.91平米 | 南 北 | 精装 | 有电梯', '中楼层(共21层)2009年建板楼  -  汽车东站', '433万', '单价35519元/平米')
('https://image1.ljcdn.com/370200-inspection/e7c6a100-3eac-45d8-ba4b-0eae1976a8e0.JPG.296x216.jpg', '恩马文景园 东户套二 全明户型 精装修 满两年', '恩马文景园  | 2室2厅 | 96.11平米 | 南 北 | 其他 | 有电梯', '中楼层(共30层)2011年建板楼  -  崂山CBD', '415万', '单价43180元/平米')
('https://image1.ljcdn.com/370200-inspection/7cc09613-c43d-4b43-98ba-c8d4a68211b9.jpg.296x216.jpg', '鲁信长春花园 多层电梯顶加阁 满五', '鲁信长春花园  | 5室3厅 | 157.52平米 | 南 北 | 精装 | 有电梯', '高楼层(共5层)2006年建板楼  -  颐中体育场', '750万', '单价47614元/平米')
('https://image1.ljcdn.com/370200-inspection/ab9d6255-174f-4043-b264-507f5d3dde68.jpg.296x216.jpg', '前排视野好 全天采光 2014婚装少住 送大部分家具家电', '溪谷美寓二期  | 2室2厅 | 92.92平米 | 南 北 | 其他 | 有电梯', '低楼层(共14层)2009年建板楼  -  汽车东站', '335万', '单价36053元/平米')
('https://image1.ljcdn.com/370200-inspection/c7235600-29c2-44bf-adcc-40f097d673b3.jpg.296x216.jpg', '浮山前，雕塑园，多层复式带阁楼，看山看海，不临路', '名仕花园  | 8室3厅 | 174.53平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)2001年建板楼  -  雕塑园', '980万', '单价56151元/平米')
('https://image1.ljcdn.com/370200-inspection/42a806ff-52f8-43d4-99fa-038ee83ff7fd.jpg.296x216.jpg', '麦岛金岸，前排全海景，精装未住送车位！', '麦岛金岸  | 4室2厅 | 214.97平米 | 南 北 | 其他 | 有电梯', '中楼层(共16层)2009年建板楼  -  麦岛', '1600万', '单价74429元/平米')
('https://image1.ljcdn.com/370200-inspection/b08cff09-035d-4378-82c5-1093d6d98d20.jpg.296x216.jpg', '青建尚东区 南向精装少住 满五唯一 带地下车位', '青建尚东区  | 2室2厅 | 92.03平米 | 南 | 其他 | 有电梯', '中楼层(共21层)2009年建板楼  -  汽车东站', '370万', '单价40205元/平米')
('https://image1.ljcdn.com/370200-inspection/bb9e45db-92ca-441b-8e2d-1dadba243599.jpg.296x216.jpg', '新上1200精装大套二，双卫通透全明，可改套三，保护好', '鲁信长春花园  | 2室2厅 | 141.42平米 | 南 北 | 精装 | 有电梯', '低楼层(共20层)2006年建板楼  -  颐中体育场', '500万', '单价35356元/平米')
('https://image1.ljcdn.com/370200-inspection/8241fefd-8f0f-4078-9f50-35c6cb18e167.jpg.296x216.jpg', '09年次新小区 视野开阔 采光好', '亚麦山城二期  | 3室2厅 | 166.25平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2009年建板楼  -  雕塑园', '598万', '单价35970元/平米')
('https://image1.ljcdn.com/370200-inspection/6bc2612f-f0dc-4711-81ea-e6019325a1bc.jpg.296x216.jpg', '凯旋家园  毛坯顶加阁  近双地铁口', '凯旋家园  | 6室2厅 | 132.87平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)2003年建板楼  -  崂山CBD', '620万', '单价46663元/平米')
('https://image1.ljcdn.com/370200-inspection/8e330d69-b294-4771-83be-9c02f8f40e9f.JPG.296x216.jpg', '东岳海花园 可以圈院子 采光佳 价格可议 育才 地铁口', '东岳海花园  | 3室2厅 | 145.42平米 | 南 北 | 精装 | 有电梯', '低楼层(共19层)2007年建板楼  -  汽车东站', '490万', '单价33696元/平米')
('https://image1.ljcdn.com/370200-inspection/ccac9014-e734-4431-90e9-3029a23090f5.jpg.296x216.jpg', '书香门第 多层房子 房子很优质 看房提前联系', '书香门第  | 4室2厅 | 165.25平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  石老人', '821万', '单价49683元/平米')
('https://image1.ljcdn.com/370200-inspection/2768e06f-e477-4860-9a59-c181abbd4832.jpg.296x216.jpg', '金领世家 毛坯房，视野好，带车位', '金领世家  | 2室1厅 | 111.59平米 | 南 | 其他 | 有电梯', '中楼层(共20层)2009年建板楼  -  崂山CBD', '500万', '单价44807元/平米')
('https://image1.ljcdn.com/370200-inspection/df648fd4-9aff-4321-969f-608d840b9c5b.jpg.296x216.jpg', '颐和星苑 洋房顶加阁挑空厅 精装未住  送车位', '颐和星苑BC区  | 3室2厅 | 154.38平米 | 南 北 | 其他 | 有电梯', '高楼层(共5层)2010年建板楼  -  西姜', '680万', '单价44048元/平米')
('https://image1.ljcdn.com/370200-inspection/5bf29455-7407-4ec6-a0a8-b2d958843821.jpg.296x216.jpg', '开发商统一精装修 视野好 看浮山 看花园 不靠路', '鲁信含章花园  | 1室2厅 | 61.58平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2012年建板楼  -  北村', '215万', '单价34914元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload2e1584ee-fd6c-45ad-9758-a2ed85d5a496.jpg.296x216.jpg', '安静位置！看浮山视野，双东卫，可改套三，15年新装修', '鲁信长春花园  | 2室2厅 | 135.21平米 | 东 南 北 | 精装 | 有电梯', '低楼层(共20层)2006年建板楼  -  颐中体育场', '460万', '单价34022元/平米')
('https://image1.ljcdn.com/370200-inspection/f9bb02ef-11fc-4e6e-a5b8-aebf79116f48.jpg.296x216.jpg', '国际名都 满五年住房省税 套一户型可改 诚心卖', '国际名都  | 1室1厅 | 69.6平米 | 西南 | 简装 | 有电梯', '低楼层(共17层)2007年建板楼  -  汽车东站', '187万', '单价26868元/平米')
('https://image1.ljcdn.com/370200-inspection/479c6f58-4940-4fb1-b2c3-ac0339b37c15.jpg.296x216.jpg', '竹韵山色一期，满五唯一，套二，带平台 可开院', '竹韵山色一期  | 2室2厅 | 97.7平米 | 南 北 | 其他 | 有电梯', '低楼层(共15层)2010年建板楼  -  北村', '330万', '单价33777元/平米')
('https://image1.ljcdn.com/370200-inspection/442a48d2-12b4-4e69-8221-ac8176399041.jpg.296x216.jpg', '东城国际柏林苑顶加阁，精装修，保护好，业主诚心出售', '海尔东城国际北区  | 5室3厅 | 140.06平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)2010年建板楼  -  颐中体育场', '768万', '单价54834元/平米')
('https://image1.ljcdn.com/370200-inspection/cc85b504-439d-4c60-b13d-d6625eb5543c.jpg.296x216.jpg', '新上 凯旋家园 多层三居室 双南卧南厅 全天采光 诚售', '凯旋家园  | 3室2厅 | 137.69平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  崂山CBD', '600万', '单价43577元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload4cbe1841-de85-44d7-8d46-f06cab0617ec.jpg.296x216.jpg', '双龙园小户型 双南卧西明厅 可看海 采光好', '双龙园  | 4室1厅 | 84.81平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  雕塑园', '322万', '单价37968元/平米')
('https://image1.ljcdn.com/370200-inspection/fdefc032-1f17-4c60-8d02-9e3b763c81b7.jpg.296x216.jpg', '悦海豪庭 精装222平 复式带大院 可看海 位置好 送车库', '悦海豪庭  | 4室1厅 | 221.48平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)2003年建板楼  -  石老人', '1080万', '单价48763元/平米')
