('https://image1.ljcdn.com/320100-inspection/65e7f4b6-8512-4930-a5fe-7820d6d2678d.jpg.296x216.jpg', '满五年 南北通透 采光足 拎包入住 居家装修', '新天地花园  | 2室1厅 | 59.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  月牙湖', '168万', '单价28369元/平米')
('https://image1.ljcdn.com/320100-inspection/5a1e6fda-f62d-4859-83af-d55d58a55992.jpg.296x216.jpg', '三山街地铁 集庆路 老门西 简装两房 业主诚售', '殷高巷  | 2室1厅 | 49.95平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1995年建板塔结合  -  来凤里', '140万', '单价28029元/平米')
('https://image1.ljcdn.com/320100-inspection/72458338-0125-41e1-8267-21e9151f8b23.JPG.296x216.jpg', '新街口 洪武路 低总价 单价4.3万 满五年 诚售', '洪武路  | 2室1厅 | 57.03平米 | 东 | 简装 | 无电梯', '高楼层(共6层)1988年建板塔结合  -  新街口', '248万', '单价43486元/平米')
('https://image1.ljcdn.com/320100-inspection/9aba3f00-d1da-42e8-a0d3-656a470b4888.JPG.296x216.jpg', '苜蓿园大街 南北通透 中间楼层 采光足 交通便利', '天地花园  | 2室1厅 | 61.92平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  月牙湖', '166万', '单价26809元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadac3a9d23-0c09-4916-be5c-c05c4ec5e6d0.JPG.296x216.jpg', '瑞北 一中 户型方正 带院子 采光充足', '瑞金北村  | 2室1厅 | 57.12平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1986年建板楼  -  瑞金路', '260万', '单价45519元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadda79d8dd-ad22-4656-b0bb-2b2248010450.jpg.296x216.jpg', '满五唯一 好楼层 采光充足 有车棚 配套完善小区环境好', '石门坎2号  | 2室1厅 | 63.68平米 | 南 北 | 简装 | 有电梯', '中楼层(共7层)1999年建板塔结合  -  光华路', '178万', '单价27953元/平米')
('https://image1.ljcdn.com/320100-inspection/73f5b22d-cc36-4c8d-b9ee-5c1a66e7e753.JPG.296x216.jpg', '八一医院 长白街 交通便利 配套齐全 采光好', '申家巷20号  | 2室1厅 | 59.55平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1988年建板楼  -  常府街', '153万', '单价25693元/平米')
('https://image1.ljcdn.com/320100-inspection/14a9463a-3579-43f3-a8f1-9616332ed6cc.JPG.296x216.jpg', '采光无遮挡 视野开阔 生活便利 交通方便', '东白菜园  | 2室1厅 | 49.13平米 | 东 西 | 其他 | 有电梯', '高楼层(共7层)1990年建板楼  -  五老村', '168万', '单价34195元/平米')
('https://image1.ljcdn.com/320100-inspection/cfc15034-6433-4166-9a0b-ed1def9816cf.JPG.296x216.jpg', '三房 边户 楼层好 户型方正 诚心买房', '宇秦园  | 3室2厅 | 74.82平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  洪家园', '235万', '单价31409元/平米')
('https://image1.ljcdn.com/320100-inspection/test-3b7212f1-2714-44f2-917f-b8fbbc024cc4.png.296x216.jpg', '月牙湖 蓝旗街 满五年 中间楼层 双南 全明通透', '标营4号  | 2室1厅 | 59.84平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1996年建板塔结合  -  大光路', '208万', '单价34760元/平米')
('https://image1.ljcdn.com/320100-inspection/1f2c588b-b9a3-4902-b776-3c367eef5ef4.jpg.296x216.jpg', '大行宫 五老村本部不占用 满五年 仁义里3房双南一北', '仁义里小区  | 3室1厅 | 72.15平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1988年建板楼  -  五老村', '240万', '单价33265元/平米')
('https://image1.ljcdn.com/320100-inspection/66a45c39-c220-4874-a78a-1e5ae28ac945.jpg.296x216.jpg', '御道街小区 2室1厅 228万', '御道街小区  | 2室1厅 | 58.3平米 | 南 | 简装 | 无电梯', '低楼层(共4层)1994年建板楼  -  瑞金路', '228万', '单价39109元/平米')
('https://image1.ljcdn.com/320100-inspection/f0dc812a-8255-49f8-aa51-ce6c86b5ca8d.jpg.296x216.jpg', '带地下室 一楼带院子无遮挡 月牙湖商圈 南北通透', '富康新村  | 3室1厅 | 64.04平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板塔结合  -  月牙湖', '198万', '单价30919元/平米')
('https://image1.ljcdn.com/320100-inspection/a4eea6ed-4b59-47c0-8e32-b5050bb233b3.jpg.296x216.jpg', '房子精装修 业主自住 看房方便 保养很好 双南户型', '鸿意星城  | 2室1厅 | 66.94平米 | 南 | 其他 | 有电梯', '中楼层(共10层)2007年建板楼  -  月牙湖', '210万', '单价31372元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload1b52abcb-a2da-48de-9a6e-205e770e92e9.jpg.296x216.jpg', '婚房装修 拎包入住 楼层好 小区房龄新 满五年唯一', '金轮园  | 2室2厅 | 68.09平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  来凤里', '203万', '单价29814元/平米')
('https://image1.ljcdn.com/320100-inspection/f629c82b-233e-4c03-a23f-b0668d174292.jpg.296x216.jpg', '居家精装不临街 中间楼层 房龄新 小区已出新 总价低', '中和桥5号  | 2室1厅 | 52.27平米 | 南 北 | 精装 | 有电梯', '中楼层(共7层)1992年建板塔结合  -  光华路', '148万', '单价28315元/平米')
('https://image1.ljcdn.com/320100-inspection/a6f63f3c-580b-43b2-90e1-27b5ca698a4e.jpg.296x216.jpg', '太平苑 2室2厅 178万', '太平苑  | 2室2厅 | 48.35平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1995年建板楼  -  来凤里', '178万', '单价36815元/平米')
('https://image1.ljcdn.com/320100-inspection/f294ad9d-f75c-4765-8479-a496c0408879.jpg.296x216.jpg', '南北通透 交通方便 双卧朝南 位置安静 诚意出售', '金象园  | 2室2厅 | 77.06平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1999年建板楼  -  光华路', '248万', '单价32183元/平米')
('https://image1.ljcdn.com/320100-inspection/f8326d10-e713-4837-963c-fac37f880d8e.JPG.296x216.jpg', '春光里 南部新城 卡子门 大两房 客厅大 看房方便', '春光里  | 2室2厅 | 58.81平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2001年建板楼  -  洪家园', '180万', '单价30608元/平米')
('https://image1.ljcdn.com/320100-inspection/test-def1aedd-c109-468f-ac52-b01c634f3a5f.png.296x216.jpg', '三山街 双卧朝南  户型全明 中间楼层', '金粟庵路  | 2室1厅 | 50.91平米 | 南 | 简装 | 无电梯', '中楼层(共8层)1994年建板楼  -  来凤里', '158万', '单价31036元/平米')
('https://image1.ljcdn.com/320100-inspection/ff3d8914-2725-4ad1-9325-ab90362b813d.JPG.296x216.jpg', '位置好 双卧朝南 精装修 业主诚心卖房', '良城美景家园  | 2室2厅 | 88.38平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  秦虹', '298万', '单价33719元/平米')
('https://image1.ljcdn.com/320100-inspection/481cc9ee-bae3-4f29-a603-fbaa98e9bf4f.jpg.296x216.jpg', '全明边户 跑道式双阳台 户型超方正 南北通透 有车位', '瑞金路  | 3室1厅 | 101.76平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1997年建板塔结合  -  瑞金路', '360万', '单价35378元/平米')
('https://image1.ljcdn.com/320100-inspection/54773dc0-631a-4572-8f45-5ba5563957fb.jpg.296x216.jpg', '满5唯一 单室套 房型正 阳光充足', '罗廊西村  | 1室1厅 | 37.04平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1989年建塔楼  -  朝天宫', '130万', '单价35098元/平米')
('https://image1.ljcdn.com/320100-inspection/55d80143-829f-4d9c-bef3-29f9ae55f254.jpg.296x216.jpg', '光华门边 满五唯一 御道街侧 好房诚售', '光华东街16号小区  | 2室1厅 | 53.76平米 | 南 | 简装 | 有电梯', '低楼层(共7层)1996年建板楼  -  大光路', '161万', '单价29948元/平米')
('https://image1.ljcdn.com/320100-inspection/81470240-2b8b-4f7a-8264-ee54d059bb46.JPG.296x216.jpg', '新街口洪武路 出行便利 中间楼层 采光好', '洪武路  | 2室1厅 | 50.62平米 | 南 北 | 其他 | 有电梯', '中楼层(共7层)1990年建板塔结合  -  新街口', '280万', '单价55315元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload22b4d910-5edf-4c3e-9277-04b2f9988d6c.jpg.296x216.jpg', '满五年 二楼 双南 居家装修 随时看房', '长乐路  | 2室1厅 | 47.78平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1988年建板塔结合  -  夫子庙', '170万', '单价35580元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadbc29cc7f-b28f-4c76-ac7c-77d024ca76a7.JPG.296x216.jpg', '交通便利 地铁口 配套成熟 夫子庙 小区出新', '钓鱼巷小区  | 2室1厅 | 48.65平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1988年建板楼  -  建康路', '145万', '单价29805元/平米')
('https://image1.ljcdn.com/320100-inspection/f8c8f5ff-10b3-4510-9ea2-36d996e3de6c.jpg.296x216.jpg', '电梯两房 一南一北 中间户  业主诚售 采光好', '御水湾花园  | 2室2厅 | 88.78平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  光华路', '342万', '单价38523元/平米')
('https://image1.ljcdn.com/320100-inspection/c4fd1b27-059f-4343-a14e-74e2f1b41a2d.jpg.296x216.jpg', '光华门 中和桥 08年商品房 电梯双南2房  居家精装', '东城雅筑  | 2室2厅 | 97.15平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2008年建板塔结合  -  光华路', '345万', '单价35513元/平米')
('https://image1.ljcdn.com/320100-inspection/8850fd7d-8903-481e-8891-65bb9bed26c4.jpg.296x216.jpg', '满五年 居家装修 交通便利 户型方正 有电梯', '万达紫金明珠  | 2室2厅 | 85.17平米 | 南 北 | 简装 | 有电梯', '中楼层(共9层)2005年建板楼  -  月牙湖', '251万', '单价29471元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload8e9d4e75-1ee6-43e1-8a47-8134c921d0ae.jpg.296x216.jpg', '汉中门地铁 电梯物业 顶跃带露台 秦淮河 地下车库', '兴宇大厦  | 4室1厅 | 224平米 | 东 西 | 毛坯 | 有电梯', '中楼层(共11层)2005年建板塔结合  -  朝天宫', '560万', '单价25000元/平米')
('https://image1.ljcdn.com/320100-inspection/65248c5e-05ab-4bd3-ac6a-0e53639a7753.jpg.296x216.jpg', '御道街30号 3室1厅 308万', '御道街30号  | 3室1厅 | 79.58平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1980年建板楼  -  瑞金路', '308万', '单价38704元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload14887563-c3ca-4a50-9606-32e13123113a.JPG.296x216.jpg', '大明路 南部新城 满五年 居家装修小两房', '路子铺小区  | 2室1厅 | 50.44平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1990年建板楼  -  洪家园', '140万', '单价27756元/平米')
('https://image1.ljcdn.com/320100-inspection/009ac236-9b3a-4a4b-94a8-f9ea68dfbd01.jpg.296x216.jpg', '双南一北 中间楼层 采光好 交通便利 配套完善 月牙湖', '富康新村  | 3室1厅 | 77.6平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板塔结合  -  月牙湖', '220万', '单价28351元/平米')
('https://image1.ljcdn.com/320100-inspection/test-7abfc355-649f-4b87-a9da-bb18e79fe5c6.png.296x216.jpg', '扇骨里小区 3室1厅 200万', '扇骨里小区  | 3室1厅 | 64.9平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共5层)1987年建板塔结合  -  秦虹', '200万', '单价30817元/平米')
('https://image1.ljcdn.com/320100-inspection/11a94935-12a4-4aa9-8af7-23a7c8ace1d1.JPG.296x216.jpg', '此房满五年唯一，楼层很好  南北通透  三房 精装修', '文安里小区北区  | 3室1厅 | 69.94平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1982年建板楼  -  秦虹', '200万', '单价28596元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload45fc565e-6680-4934-ba9b-438205a605ce.jpg.296x216.jpg', '来风双糖商圈 三山街地铁 集庆门 中等楼层 采光好', '金粟庵路  | 3室1厅 | 63.29平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1994年建板楼  -  来凤里', '198万', '单价31285元/平米')
('https://image1.ljcdn.com/320100-inspection/e13f99fc-a124-4d8c-9a88-bde6b74b1061.JPG.296x216.jpg', '小区物业管理 出新 常府街 棉鞋营 低总价三房', '琥珀巷高层小区  | 3室1厅 | 80.48平米 | 南 | 简装 | 有电梯', '高楼层(共28层)1998年建塔楼  -  建康路', '273万', '单价33922元/平米')
('https://image1.ljcdn.com/320100-inspection/e4969c2d-56c0-48c8-b543-208500726f78.jpg.296x216.jpg', '交通便利 配套齐全 南北通透 带院子  业主诚售', '万达紫金明珠  | 3室2厅 | 103.64平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2005年建板楼  -  月牙湖', '325万', '单价31359元/平米')
('https://image1.ljcdn.com/320100-inspection/61e6d23a-abdb-4d1a-931d-cdda318f293b.JPG.296x216.jpg', '电梯房大面积，采光充足，明厨明卫，交通便利', '银达雅居  | 4室2厅 | 207.33平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2000年建塔楼  -  升州路', '699万', '单价33715元/平米')
('https://image1.ljcdn.com/320100-inspection/a789a153-7d29-44bc-9dd8-f1c8d207340b.JPG.296x216.jpg', '电梯商品两房 总价低 楼层好 采光好 生活配套设施齐全', '怡馨花园  | 2室2厅 | 84.45平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2000年建板楼  -  秦虹', '285万', '单价33748元/平米')
('https://image1.ljcdn.com/320100-inspection/ef721157-3494-4e2c-82be-d53d7752843a.JPG.296x216.jpg', '白下路273号 海事学院房改房 四五四医院', '白下路273号  | 3室1厅 | 85.69平米 | 南 | 毛坯 | 有电梯', '低楼层(共7层)1993年建板楼  -  建康路', '275万', '单价32093元/平米')
('https://image1.ljcdn.com/320100-inspection/2a97b016-e0f9-49a8-be0f-e60034938b17.JPG.296x216.jpg', '夫子庙景区 单价低 小区新 业主诚心卖房', '赞成领尚  | 2室1厅 | 87.06平米 | 东南 | 精装 | 有电梯', '中楼层(共25层)2012年建板楼  -  洪家园', '210万', '单价24122元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadd9c08d79-e15f-430c-b62a-c31dffbf25aa.JPG.296x216.jpg', '雨花门 低楼层双卧朝南两房 居家精装修 环境好', '公正村  | 2室1厅 | 54.13平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1990年建板塔结合  -  洪家园', '141万', '单价26049元/平米')
('https://image1.ljcdn.com/320100-inspection/3bb56a7a-2c8c-4571-b975-36fd1d3596cd.jpg.296x216.jpg', '光华路 采光好 交通便捷 配套成熟 单室套 毛坯', '四方新村四村  | 1室1厅 | 40.56平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  月牙湖', '110万', '单价27121元/平米')
('https://image1.ljcdn.com/320100-inspection/931f5257-b448-4bea-a802-307ff6152a76.jpg.296x216.jpg', '三山街 玉带园 来凤商圈 户型方正 视野好', '玉带园  | 2室1厅 | 60.28平米 | 南 北 | 其他 | 有电梯', '低楼层(共28层)1999年建板楼  -  来凤里', '188万', '单价31188元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload6e54f274-7301-4666-a065-dde613658cd7.JPG.296x216.jpg', '秦虹 大明路 南部新城 满五年无个税 西边户 采光优', '康安里小区  | 2室1厅 | 69.12平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  秦虹', '188万', '单价27200元/平米')
('https://image1.ljcdn.com/320100-inspection/4d9db2ee-dc4a-4a2d-914a-66978bce63f2.jpg.296x216.jpg', '月牙湖 紫金山 梅花山庄一楼精装修带地暖', '梅花山庄丽景苑  | 2室2厅 | 84.4平米 | 南 北 | 精装 | 无电梯', '低楼层(共7层)2000年建板楼  -  月牙湖', '316万', '单价37441元/平米')
('https://image1.ljcdn.com/320100-inspection/4379cede-024c-474e-a64b-27d5edf37609.jpg.296x216.jpg', '中华路 三山街 新街口地段 配套完善 交通便利', '中华路140号  | 2室1厅 | 60.35平米 | 南 | 简装 | 有电梯', '高楼层(共7层)1989年建板楼  -  升州路', '166万', '单价27507元/平米')
('https://image1.ljcdn.com/320100-inspection/29453909-cc18-4e84-b9b3-d69095bd8578.jpg.296x216.jpg', '大光路解放路 一中 际华广场 精装修 三房 采光好', '大光里小区  | 3室1厅 | 78.76平米 | 南 | 精装 | 有电梯', '低楼层(共7层)1993年建板塔结合  -  大光路', '275万', '单价34917元/平米')
('https://image1.ljcdn.com/320100-inspection/1dd4cec4-d894-4a95-99fc-9335514240e3.JPG.296x216.jpg', '雅居乐花园 4室2厅 815万', '雅居乐花园  | 4室2厅 | 188.27平米 | 南 北 | 其他 | 有电梯', '低楼层(共21层)2009年建板塔结合  -  秦虹', '815万', '单价43289元/平米')
('https://image1.ljcdn.com/320100-inspection/57477119-3d6e-45e8-a666-0b384b02606c.JPG.296x216.jpg', '主城区 南部新城 秦虹 总价低小两房 双阳台 不临街', '莺虹苑  | 2室1厅 | 53.62平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  秦虹', '134万', '单价24991元/平米')
('https://image1.ljcdn.com/320100-inspection/e8a6423b-1ebd-4ec3-8426-aadd7ea418a4.jpg.296x216.jpg', '此房满五年唯一，双南户型精装修，带产权地下室20多平', '海月花园  | 3室2厅 | 106.71平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2000年建塔楼  -  月牙湖', '383万', '单价35892元/平米')
('https://image1.ljcdn.com/320100-inspection/c56e7149-61f4-4746-bac1-206a7b7318a6.jpg.296x216.jpg', '20万装修 品牌家具家电  实用两居室', '御河新村  | 2室1厅 | 58.8平米 | 南 北 | 精装 | 有电梯', '高楼层(共7层)1998年建板塔结合  -  瑞金路', '225万', '单价38266元/平米')
('https://image1.ljcdn.com/320100-inspection/a5b09e05-83ea-4b56-a391-7552aa42216a.jpg.296x216.jpg', '大光路 交通方便 配套成熟 诚意出售', '象房村  | 3室1厅 | 85.1平米 | 西 北 | 其他 | 有电梯', '高楼层(共7层)1993年建板楼  -  光华路', '208万', '单价24442元/平米')
('https://image1.ljcdn.com/320100-inspection/e59adc01-2193-4eba-9181-fc29a9389d8b.JPG.296x216.jpg', '新街口 张府园 夫子庙 水游城 慧园街 正规两房 总价低', '王府园小区  | 2室1厅 | 37.04平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1990年建板楼  -  升州路', '220万', '单价59396元/平米')
('https://image1.ljcdn.com/320100-inspection/e5d24a61-a16e-4132-9677-0a1284a32770.JPG.296x216.jpg', '常府街地铁 采光充足 交通便利 生活方便', '文昌宫  | 3室1厅 | 72.25平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  五老村', '270万', '单价37371元/平米')
('https://image1.ljcdn.com/320100-inspection/test-00d8f1c6-2825-48a1-9aaf-3aef95e8f072.png.296x216.jpg', '御道家园 经典电梯两房 明厨明卫明厅 双卧朝南', '御道家园  | 2室2厅 | 100.99平米 | 南 | 其他 | 有电梯', '低楼层(共15层)2003年建板楼  -  大光路', '470万', '单价46540元/平米')
('https://image1.ljcdn.com/320100-inspection/f6278d36-41ae-4315-bb9c-7cddf1af7742.JPG.296x216.jpg', '朝南2居室 独立小区 交通便利 满五年唯一 常府街地铁', '棉鞋营  | 2室1厅 | 58.19平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1986年建板楼  -  常府街', '190万', '单价32652元/平米')
('https://image1.ljcdn.com/320100-inspection/61c674d8-3daa-4b14-8017-522782a34826.JPG.296x216.jpg', '明湖山庄小区中间非毛坯四房 带35左右平院子 月牙湖畔', '明湖山庄  | 4室2厅 | 159.18平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2000年建板塔结合  -  月牙湖', '610万', '单价38322元/平米')
('https://image1.ljcdn.com/320100-inspection/a324a851-b18c-4794-806c-b425f82b9c6d.jpg.296x216.jpg', '满五唯一没有个税结精装修可拎包入住 全明户型 无遮挡', '四方新村六村  | 2室1厅 | 75.5平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2002年建板塔结合  -  月牙湖', '185万', '单价24504元/平米')
('https://image1.ljcdn.com/320100-inspection/b51da495-c750-410f-b725-e976c625b8bd.jpg.296x216.jpg', '三山街  楼层低 配套齐全 看房方便 业主诚售 三卧朝南', '玉带园  | 3室1厅 | 83.39平米 | 南 | 其他 | 有电梯', '地下室(共28层)板楼  -  来凤里', '232万', '单价27822元/平米')
('https://image1.ljcdn.com/320100-inspection/f80a9ff2-a684-4004-b7e8-2514d434f54d.jpg.296x216.jpg', '小区中间位置 婚装 采光好大理石露台 诚心卖', '万达江南明珠  | 2室2厅 | 83.28平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)2003年建板楼  -  月牙湖', '290万', '单价34823元/平米')
('https://image1.ljcdn.com/320100-inspection/d5e1394c-3f18-4894-95d1-c9017a420ff5.JPG.296x216.jpg', '雅居乐花园大三房,满五年唯一,湖景房,景色宜人', '雅居乐花园  | 3室2厅 | 156.77平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2009年建板塔结合  -  秦虹', '732万', '单价46693元/平米')
('https://image1.ljcdn.com/320100-inspection/28824611-3bb5-44ae-8056-9f54bb5e3c18.jpg.296x216.jpg', '解放路  西安门    3房  楼层佳 采光佳', '瑞金北村  | 3室1厅 | 72.24平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1981年建板楼  -  瑞金路', '310万', '单价42913元/平米')
('https://image1.ljcdn.com/320100-inspection/0a3e1563-2f09-46ff-81a9-b1e0cab8c7e4.jpg.296x216.jpg', '光华路 精装修 拎包入住 敞亮 中间楼层', '四方新村六村  | 2室1厅 | 75.34平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2002年建板塔结合  -  月牙湖', '170万', '单价22565元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadcd118174-505e-43d0-826f-002d7c7c0307.jpg.296x216.jpg', '满五年楼层好交通便利配套成熟闹中取静采光好出行方便', '大阳沟  | 2室1厅 | 61.27平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板塔结合  -  大光路', '195万', '单价31827元/平米')
('https://image1.ljcdn.com/320100-inspection/d251bd88-68b1-4a3b-9465-e676bf596388.JPG.296x216.jpg', '太平南路 中华路 精装双南户型 拎包入住 采光充足', '慧园街4号  | 2室1厅 | 58.29平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1982年建板楼  -  升州路', '259.5万', '单价44519元/平米')
('https://image1.ljcdn.com/320100-inspection/103be387-a4a6-4aca-94d0-b8d1d2d9ed09.jpg.296x216.jpg', '洪家园大明路 雨花 精装大三房 电梯中楼层 房龄新', '龙翔鸣翠苑  | 3室1厅 | 113.24平米 | 南 | 精装 | 有电梯', '高楼层(共9层)2005年建板楼  -  洪家园', '377万', '单价33293元/平米')
('https://image1.ljcdn.com/320100-inspection/7cef268d-e7c2-4cd7-a8a8-b48fd01e6d4a.jpg.296x216.jpg', '瑞金路     满五唯一   采光好 业主诚心卖', '瑞金路二号四号小区  | 3室1厅 | 64.01平米 | 南 北 | 简装 | 无电梯', '高楼层(共4层)1978年建板楼  -  瑞金路', '192万', '单价29996元/平米')
('https://image1.ljcdn.com/320100-inspection/1f92335b-4445-4509-97e4-663959878b3d.jpg.296x216.jpg', '三山街旁  户型南北 装修精美  配套齐全', '仓顶  | 2室1厅 | 49.88平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1992年建板楼  -  来凤里', '156万', '单价31276元/平米')
('https://image1.ljcdn.com/320100-inspection/df825c7b-f3de-4f07-ba5e-20432d71d82c.jpg.296x216.jpg', '万达紫金明珠 3室2厅 405万', '万达紫金明珠  | 3室2厅 | 123.51平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2005年建板楼  -  月牙湖', '405万', '单价32791元/平米')
('https://image1.ljcdn.com/320100-inspection/08d41a20-ffb7-490a-921d-58d2aea802dc.jpg.296x216.jpg', '电梯小洋房 小区环境好 房子是边户 看房方便 精装', '鸿意星城  | 1室2厅 | 68.06平米 | 西 | 其他 | 有电梯', '高楼层(共10层)2007年建板楼  -  月牙湖', '202万', '单价29680元/平米')
('https://image1.ljcdn.com/320100-inspection/909a9949-1100-4a3a-9145-ec049769799c.jpg.296x216.jpg', '瑞金路新精装两房2016年装修南北户型 东边户中间楼层', '瑞金新村  | 2室1厅 | 44平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1979年建板塔结合  -  瑞金路', '182万', '单价41364元/平米')
('https://image1.ljcdn.com/320100-inspection/01c7dea0-7685-4925-a663-4135f3da607c.JPG.296x216.jpg', '户型方正，格局通透，楼层采光好，出行便利', '天地花园  | 2室1厅 | 49.15平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  月牙湖', '142万', '单价28892元/平米')
('https://image1.ljcdn.com/320100-inspection/c7700e0a-6c4d-42b4-9200-fb286c29661f.JPG.296x216.jpg', '此房已经满五年唯一 南北通透 采光充足 业主诚心卖房', '风光里小区  | 3室1厅 | 71.64平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2003年建板塔结合  -  洪家园', '219万', '单价30570元/平米')
('https://image1.ljcdn.com/320100-inspection/test-b49ca057-c4ff-40c2-a7ad-7c665364dd00.png.296x216.jpg', '单室套  总价低   中间楼层  仙鹤里小区', '仙鹤里小区  | 1室1厅 | 40.04平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1992年建板楼  -  来凤里', '122万', '单价30470元/平米')
('https://image1.ljcdn.com/320100-inspection/e2c990d3-d03b-460e-b765-b35a5f574750.jpg.296x216.jpg', '月牙湖 苜中路 新上中间楼层 刚需好房 全明户型 双南', '苜中路3号  | 2室1厅 | 59.37平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1983年建板楼  -  月牙湖', '179万', '单价30150元/平米')
('https://image1.ljcdn.com/320100-inspection/2e8e4179-43c8-471a-9f13-1608ae90e27e.jpg.296x216.jpg', '房子南北通透，格局好，采光无遮挡，精装修可拎包入住', '四方新村二村  | 3室1厅 | 77.01平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1997年建板塔结合  -  月牙湖', '220万', '单价28568元/平米')
('https://image1.ljcdn.com/320100-inspection/76c75d4f-21ea-4bbc-9697-79c581694a69.jpg.296x216.jpg', '月牙湖 紫金山 双南 边户 采光好', '苜中路3号  | 2室1厅 | 59.47平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1985年建板楼  -  月牙湖', '160万', '单价26905元/平米')
('https://image1.ljcdn.com/320100-inspection/ff7d2a32-d574-4124-b8ff-5d1a2b4e1c61.JPG.296x216.jpg', '装修好 小区里面 安静 厨卫全明 采光充足交通便利', '王府园小区  | 3室1厅 | 65.74平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1990年建板楼  -  升州路', '325万', '单价49438元/平米')
('https://image1.ljcdn.com/320100-inspection/8756d3a6-1620-4350-9e87-df1d7f592fb4.jpg.296x216.jpg', '来凤里 3室1厅 238万', '来凤里  | 3室1厅 | 77.9平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)1997年建板楼  -  来凤里', '238万', '单价30552元/平米')
