('https://image1.ljcdn.com/310000-inspection/test-1b985316-fcfb-4d1c-92e6-eb684c06bd34.png.296x216.jpg', '精装大三房，满五唯一，品质小区配套齐全，人车分流，', '品尊国际  | 3室2厅 | 153.16平米 | 南 北 | 精装 | 有电梯', '低楼层(共36层)2011年建板楼  -  真如', '1220万', '单价79656元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160616/966f41d2-2f11-434a-8713-6a70c3d574ce.jpg.296x216.jpg', '宜川六村 1室1厅 195万', '宜川六村  | 1室1厅 | 36.58平米 | 南 | 简装 | 有电梯', '低楼层(共7层)1975年建板楼  -  甘泉宜川', '195万', '单价53308元/平米')
('https://image1.ljcdn.com/310000-inspection/b322c305-ec3d-436c-871a-75eeeffa1571.JPG.296x216.jpg', '朝南采光好，内环边，3轨交汇，满五，有钥匙，急卖', '曹杨六村(沙溪园)  | 1室1厅 | 36.9平米 | 南 | 精装', '高楼层(共7层)1988年建板楼  -  曹杨', '225万', '单价60976元/平米')
('https://image1.ljcdn.com/310000-inspection/912472db-ac93-4b8b-bd84-e505a701cc5e.jpg.296x216.jpg', '业主诚心出售  价格 都好谈    .', '阳光水岸苑  | 3室1厅 | 103平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2011年建板楼  -  桃浦', '470万', '单价45632元/平米')
('https://image1.ljcdn.com/310000-inspection/dc12150e-c415-41d2-8cfd-0f9b4700be23.jpg.296x216.jpg', '精装3楼  无遮挡 满五唯一  无增值税无个税', '延长小区(普陀)  | 1室0厅 | 34.7平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1985年建板楼  -  甘泉宜川', '196万', '单价56485元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2e477a53-501a-4fd9-b06f-55c486da7a95.png.296x216.jpg', '晋元学府 满五年  高区景观房型正气  全明户型', '愉景华庭  | 1室2厅 | 62.27平米 | 东南 | 精装 | 有电梯', '高楼层(共23层)2007年建塔楼  -  万里', '450万', '单价72266元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170513/ef44a680-12a7-4cfc-b4ee-e991de7569bd.jpg.296x216.jpg', '2010年次新小区 高区景观房 诚意出售 产权清晰！', '万里晶品苑  | 1室2厅 | 65.11平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2010年建板楼  -  万里', '450万', '单价69114元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170902/467fa497-6321-4e39-bc61-a11cbe9b9a1e.jpg.296x216.jpg', '400米祁连山南路站+南向电梯两居+精装+配套齐全', '金沙嘉年华  | 2室2厅 | 103.85平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2004年建板楼  -  长征', '680万', '单价65480元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170507/9dd51a6e-84b8-49c3-80d7-b669697667e2.jpg.296x216.jpg', '00年次新小区，赠送露台，高区视野好，采光好', '祥和家园  | 3室1厅 | 79.44平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)2000年建板楼  -  长征', '450万', '单价56647元/平米')
('https://image1.ljcdn.com/310000-inspection/e37d03c6-1181-4fb7-b1e6-9f2bed739396.JPG.296x216.jpg', '南北通大两房，双卫送露台，业主急卖，满五唯一', '东旺雍景苑  | 2室2厅 | 103.25平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2001年建板楼  -  万里', '630万', '单价61017元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bc69ce40-5c1b-4634-bd9c-382966c4255b.jpeg.296x216.jpg', '西部大楼  有电梯 诚心卖 满五税费少 价格可谈 采光好', '西部大楼  | 2室1厅 | 76.91平米 | 东 南 | 简装 | 有电梯', '中楼层(共22层)1997年建塔楼  -  甘泉宜川', '420万', '单价54610元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180127/384ccd88-a5bc-4b0b-b1a7-603221a6733c.jpg.296x216.jpg', '桃浦四村，2室1厅，满五唯一，楼层佳采光好，有钥匙', '桃浦四村易居紫荆苑  | 2室1厅 | 63.5平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1993年建板楼  -  桃浦', '255万', '单价40158元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0a7dba67-d8f4-48d7-a1ab-e478abdbfb2a.png.296x216.jpg', '中环边、单价低、双轨交汇、三面采光、楼层好，随时看', '真南路822弄510支弄  | 3室1厅 | 92.53平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1994年建板楼  -  桃浦', '365万', '单价39447元/平米')
('https://image1.ljcdn.com/310000-inspection/bc355635-f978-406f-8afc-fbc0400b9c67.jpg.296x216.jpg', '总价低诚心卖 少见带露台 全南一房一厅 舒心宜家有', '荣和怡景园  | 1室1厅 | 47.59平米 | 南 | 精装', '低楼层(共34层)暂无数据  -  桃浦', '239万', '单价50221元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadefb3f3ca-165b-40b8-84fb-499c572e7c7b.jpg.296x216.jpg', '小区仅有的双南小户型  中间楼层采光好 3/4/7线地铁近', '太浜巷小区  | 2室1厅 | 47.77平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1985年建板楼  -  光新', '310万', '单价64895元/平米')
('https://image1.ljcdn.com/310000-inspection/97d71ef7-7a93-4ff3-8b50-80cc2d58d67d.JPG.296x216.jpg', '国浩长风汇都 4室2厅 1750万', '国浩长风汇都  | 4室2厅 | 195平米 | 南 | 其他', '中楼层(共23层)板楼  -  长风', '1750万', '单价89744元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f6781095-7268-41cb-9ec2-88280d026d57.png.296x216.jpg', '双南精装修 地铁50米 五楼 全明户型 诚意出售', '北枫桥园  | 2室1厅 | 53.42平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  曹杨', '320万', '单价59903元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e25da49a-28d6-4736-90fe-2a7c7ee5e2d4.png.296x216.jpg', '大华颐和华城(公寓) 2室2厅 595万', '大华颐和华城(公寓)  | 2室2厅 | 98.27平米 | 南 | 简装 | 有电梯', '中楼层(共7层)2005年建板楼  -  万里', '595万', '单价60548元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171008/027c4a80-2a99-4282-b152-5a408ff97dfb.jpg.296x216.jpg', '可改三房  地铁口 婚房装修  朝南采光无遮挡 诚心出售', '德怡苑  | 2室1厅 | 82.79平米 | 南 | 精装 | 有电梯', '高楼层(共21层)1989年建塔楼  -  长寿路', '610万', '单价73681元/平米')
('https://image1.ljcdn.com/310000-inspection/test-4d25f922-e5a2-4df6-a3b1-85127c237bb0.jpeg.296x216.jpg', '近地铁 满五唯一 户型方正  一室户 交通便利', '宜川三村  | 1室1厅 | 29.36平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  甘泉宜川', '135万', '单价45981元/平米')
('https://image1.ljcdn.com/310000-inspection/04002cfd-bedb-4195-b41b-73dbcbed7fba.JPG.296x216.jpg', '南北两房，配套成熟，交通便利，适合居住，', '武宁路200弄  | 2室1厅 | 55平米 | 南 | 简装 | 有电梯', '低楼层(共7层)1996年建板楼  -  武宁', '360万', '单价65455元/平米')
('https://image1.ljcdn.com/310000-inspection/cc063d0e-7fc6-4be7-854b-f702ef82690e.jpg.296x216.jpg', '采光充足，小区位置安逸，业主诚意出售，到价签字', '秋月枫舍  | 3室1厅 | 121平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2004年建板楼  -  光新', '945万', '单价78100元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload952cf9e7-3d7e-4485-892d-a827f54be041.JPG.296x216.jpg', '双南两房 全明户型 可改三房 诚意价格 诚意出售', '星河世纪城  | 2室2厅 | 100平米 | 南 | 简装 | 有电梯', '中楼层(共23层)2006年建板楼  -  真如', '600万', '单价60000元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2566704d-29d4-4f6b-a91f-af30f4dedc7b.jpg.296x216.jpg', '新上房源+小区唯一在售三房+房东诚意出售+有钥匙', '宗鑫公寓  | 3室2厅 | 140.72平米 | 南 | 简装 | 有电梯', '高楼层(共23层)2005年建塔楼  -  长寿路', '1050万', '单价74617元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171116/bf6638a0-9e99-4e08-99f2-9a2d26136dcc.jpg.296x216.jpg', '真光新村 前面乐购  出门公交 近地铁', '真光新村  | 2室1厅 | 73.69平米 | 暂无数据 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  真光', '385万', '单价52246元/平米')
('https://image1.ljcdn.com/310000-inspection/cd73494a-4f07-4cf8-b5cb-5ec885334594.jpg.296x216.jpg', '林深不起雾 好房在此处 正规双南 采光超赞 可拎包即住', '真北一街坊  | 2室1厅 | 56.99平米 | 东南 | 精装 | 无电梯', '高楼层(共6层)1989年建板楼  -  真如', '295万', '单价51764元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160909/b56c36ca-f6af-4b38-bb2a-5ffe7dbc5639.jpg.296x216.jpg', '章家巷+采光好+品质小区+环境优美+随时可看+采光棒', '章家巷小区  | 1室1厅 | 48.17平米 | 南 | 简装 | 有电梯', '高楼层(共7层)1994年建板楼  -  甘泉宜川', '200万', '单价41520元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171201/ae2258fb-143f-4b99-9148-9d2d8295a50e.jpg.296x216.jpg', '满五唯一售后公房，4楼，双房朝南，小区中间位置', '上钞银杏苑  | 2室1厅 | 71.39平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1996年建板楼  -  长风', '490万', '单价68638元/平米')
('https://image1.ljcdn.com/310000-inspection/test-41ebd7fa-26dc-45af-8c02-0f20d7cbf9d5.png.296x216.jpg', '长风二村 南北两居 单价低，诚意卖 欢迎来看房', '长风二村风荷园  | 2室0厅 | 43.33平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1983年建板楼  -  长风', '255万', '单价58851元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1fc1f777-0104-48d4-ba28-88923de8d618.png.296x216.jpg', '绿地世家 南北大三房 户型方正 精装修 次新小区  好房', '绿地世纪城(三期)  | 3室2厅 | 129.18平米 | 南 北 | 精装 | 有电梯', '低楼层(共26层)2004年建板楼  -  武宁', '1130万', '单价87475元/平米')
('https://image1.ljcdn.com/310000-inspection/test-00075f21-ef2e-42a9-8f17-a5342e79d625.png.296x216.jpg', '好楼层正气双南两房，售后公房税少', '长风一村小区  | 2室1厅 | 61.02平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1980年建板楼  -  长风', '380万', '单价62275元/平米')
('https://image1.ljcdn.com/310000-inspection/d4e72b5d-b354-44a1-9e90-1ba87b266f4c.JPG.296x216.jpg', '香山苑 2室2厅 660万', '香山苑  | 2室2厅 | 109.86平米 | 西南 | 简装 | 有电梯', '高楼层(共24层)1999年建塔楼  -  曹杨', '660万', '单价60077元/平米')
('https://image1.ljcdn.com/310000-inspection/ac72adf5-5b4c-4680-b41b-48c04161f9a2.jpg.296x216.jpg', '真西新苑 2室1厅 300万', '真西新苑  | 2室1厅 | 56.02平米 | 东南 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  真如', '300万', '单价53553元/平米')
('https://image1.ljcdn.com/310000-inspection/7ead1356-f437-418f-9d83-a8ef89ad2990.jpg.296x216.jpg', '中鼎豪园 2室2厅 500万', '中鼎豪园  | 2室2厅 | 99.61平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2006年建板楼  -  真光', '500万', '单价50196元/平米')
('https://image1.ljcdn.com/310000-inspection/3ee25c15-4498-4f9c-8516-dd8f9c23a06f.JPG.296x216.jpg', '双南看苏州河 新装修 拎包入住 五年唯一 置换诚售', '朝阳大楼  | 2室2厅 | 101.82平米 | 南 | 精装 | 有电梯', '中楼层(共14层)1996年建塔楼  -  武宁', '690万', '单价67767元/平米')
('https://image1.ljcdn.com/310000-inspection/test-26023b83-04de-4063-a009-deae2db3dae6.jpeg.296x216.jpg', '普陀区 子长小区 两房朝南 房型正气 采光棒', '子长小区  | 2室1厅 | 47.72平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  甘泉宜川', '235万', '单价49246元/平米')
('https://image1.ljcdn.com/310000-inspection/507ba2ba-0aca-4d92-b089-e68c3227ffc8.JPG.296x216.jpg', '电梯精装一室户，11号线,户型正气，看房方便。', '中桥大楼  | 1室1厅 | 57.54平米 | 南 | 精装 | 有电梯', '中楼层(共20层)1997年建塔楼  -  曹杨', '360万', '单价62566元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170627/3d96e3c0-aefa-4df1-9887-f91863202fa9.jpg.296x216.jpg', '04年次新房 1梯2户 小区环境优美 三南户型', '志丹公寓  | 3室2厅 | 124.67平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  甘泉宜川', '660万', '单价52940元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1f2e5e86-6c82-4834-bbed-b97948392195.png.296x216.jpg', '南北通一房一厅，采光充足，配套完善，近地铁金沙江路', '曹杨五村(南杨园)  | 1室1厅 | 39.25平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1978年建板楼  -  曹杨', '230万', '单价58599元/平米')
('https://image1.ljcdn.com/310000-inspection/test-31e7a2b7-fd89-4d71-8cfe-ffa24c1bebd8.png.296x216.jpg', '满五唯一，双南两房，采光充足，视野宽阔，交通便利', '宜川六村  | 2室0厅 | 48.65平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  甘泉宜川', '250万', '单价51388元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload39f93c3f-4cb8-4d75-8324-9b1619df4868.jpg.296x216.jpg', '桃浦三村+诚意出售+到价签字+房型正气', '桃浦三村石榴苑  | 2室1厅 | 65.5平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1994年建板楼  -  桃浦', '255万', '单价38932元/平米')
('https://image1.ljcdn.com/310000-inspection/fc60afbd-c5a2-458b-8cf3-9a79f20a8dc9.jpg.296x216.jpg', '急卖   内环边上，中潭路  边套全明', '泰山一村  | 2室0厅 | 44.49平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1982年建板楼  -  甘泉宜川', '235万', '单价52821元/平米')
('https://image1.ljcdn.com/310000-inspection/test-15235962-ed1a-404d-bb80-38c487103034.jpeg.296x216.jpg', '东边套全明，南北通透，通风采光好，配套成熟生活方便', '新宜小区  | 1室1厅 | 41.4平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1985年建板楼  -  甘泉宜川', '225万', '单价54348元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170915/ff4ca4e2-1989-4e98-9cc5-4e5532054e44.jpg.296x216.jpg', '全明一房一厅 楼层好 采光好 挂牌235万 看中价格225', '清涧二街坊  | 1室1厅 | 48.5平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  真光', '220万', '单价45361元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a2bd21f2-8e8e-408f-9214-b403df35514f.png.296x216.jpg', '满五年，视野开阔，阳光充足，房龄1998年，有钥匙', '白玉新村  | 2室1厅 | 53平米 | 南 | 其他 | 有电梯', '高楼层(共7层)1998年建板楼  -  武宁', '370万', '单价69812元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c2a8413d-8cb0-4155-b036-49051f04b310.jpeg.296x216.jpg', '1楼带天井 内环内 精装修 钥匙房 业主诚心出售', '龚家宅  | 1室1厅 | 36.98平米 | 南 | 精装 | 无电梯', '低楼层(共6层)板楼  -  甘泉宜川', '199万', '单价53813元/平米')
('https://image1.ljcdn.com/310000-inspection/e46f4eaa-ebf3-4484-9c7b-e9d16c3259a3.jpg.296x216.jpg', '采光好，停车易，拎包入住，全明户型 ，配套设施全。', '紫腾苑小区  | 2室1厅 | 58.93平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  桃浦', '240万', '单价40727元/平米')
('https://image1.ljcdn.com/310000-inspection/b8e1dec8-b5a6-4400-9a9d-fbbaf9bc3731.JPG.296x216.jpg', '此房单价低，最主要是业主诚意卖，诚意卖，诚意卖。', '秋月枫舍  | 3室2厅 | 125.27平米 | 南 | 简装 | 有电梯', '低楼层(共15层)2004年建板楼  -  光新', '835万', '单价66657元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bd5a69d5-5c3b-4b28-8b69-9d8fe50610a7.jpeg.296x216.jpg', '达安春之声 2室2厅 690万', '达安春之声  | 2室2厅 | 98.58平米 | 南 北 | 精装 | 有电梯', '中楼层(共17层)2006年建板楼  -  万里', '690万', '单价69994元/平米')
('https://image1.ljcdn.com/310000-inspection/ad808f54-3a1e-425d-85b9-182f19109d6a.JPG.296x216.jpg', '晋元电梯顶楼大复式，有钥匙，看房方便！', '大华颐和华城(公寓)  | 4室2厅 | 205.22平米 | 南 北 | 简装 | 有电梯', '高楼层(共13层)2007年建板楼  -  万里', '1190万', '单价57987元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbc5d7259-44a0-4ec4-89c5-a81baabc022e.JPG.296x216.jpg', '长寿路地铁口+中区全明2房+采光视野好+业主诚意出售', '日月星辰  | 2室2厅 | 106.37平米 | 南 | 简装 | 有电梯', '中楼层(共28层)2000年建塔楼  -  长寿路', '780万', '单价73329元/平米')
('https://image1.ljcdn.com/310000-inspection/fe7b7eca-4188-49bb-a811-659f0961db19.jpg.296x216.jpg', '品尊国际一期两房，居中楼层，采光无遮挡，视野开阔！', '品尊国际  | 2室2厅 | 97.5平米 | 南 | 精装 | 有电梯', '中楼层(共36层)2009年建板楼  -  真如', '850万', '单价87180元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3e1bc683-a40f-4d3b-bf34-b759ab24e257.png.296x216.jpg', '动迁房【三年前精装两房】不靠马路【南北户型】楼层好', '安居古浪新苑  | 2室2厅 | 64.79平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  桃浦', '330万', '单价50934元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade803862f-da69-42cb-830e-763a4087ea75.jpg.296x216.jpg', '一梯一户 刷卡入户 送车位 空调加地暖 晋元 花园洋房', '大华颐和华城(公寓)  | 3室2厅 | 134.87平米 | 南 | 精装 | 无电梯', '低楼层(共5层)2013年建板楼  -  万里', '1050万', '单价77853元/平米')
('https://image1.ljcdn.com/310000-inspection/90ec7df9-1148-41a2-be33-e4118fec74af.JPG.296x216.jpg', '近曹杨路   出行方便 楼下就是枫桥地铁站', '东元大楼  | 3室2厅 | 125.25平米 | 东南 | 简装 | 有电梯', '中楼层(共28层)1998年建塔楼  -  曹杨', '710万', '单价56687元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1c18587c-8b95-4b58-860f-05e4ae480c91.png.296x216.jpg', '好房不靠马路 南北通两房 采光很好 视野开阔 上学方便', '愉景华庭  | 2室2厅 | 99.83平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2005年建板楼  -  万里', '720万', '单价72123元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1b3d9aba-4d07-4fa6-a2ec-a91e6691c4d9.jpg.296x216.jpg', '诚意出售，卖房置换，看方便便，配套完善', '宁泉新苑  | 2室2厅 | 97.44平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1999年建板楼  -  真如', '650万', '单价66708元/平米')
('https://image1.ljcdn.com/310000-inspection/79f30290-ea91-4572-8d10-a1afe01c5ff7.jpg.296x216.jpg', '产权清晰 两室精装  房东诚卖，低区好房', '平江盛世家园  | 2室1厅 | 61.34平米 | 北 | 简装 | 有电梯', '低楼层(共26层)1997年建塔楼  -  甘泉宜川', '330万', '单价53799元/平米')
('https://image1.ljcdn.com/310000-inspection/8f9dc21a-254c-492c-aa97-1e32a4b5c635.jpg.296x216.jpg', '长寿路单价最l的朝南正气一房 地段繁华', '长寿路790号  | 1室1厅 | 35.5平米 | 南 | 简装', '高楼层(共7层)1984年建板楼  -  长寿路', '255万', '单价71831元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161212/6837bf44-5d1f-4742-a26b-abdfce35d169.jpg.296x216.jpg', '03年小区 内环边 地铁口 总价低的两房', '嘉富利大厦  | 2室1厅 | 80.74平米 | 西北 | 简装 | 有电梯', '低楼层(共25层)2003年建塔楼  -  光新', '470万', '单价58212元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171013/c4c002ae-facc-4994-8ec1-6faf5b10ab79.jpg.296x216.jpg', '看房方便  满五唯一 全南一室户 大飘窗有工作阳台', '大上海城市花园  | 1室2厅 | 75.48平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2004年建板楼  -  长寿路', '610万', '单价80817元/平米')
('https://image1.ljcdn.com/310000-inspection/test-884f770c-89b3-4581-9e79-f31915e17bfa.png.296x216.jpg', '低价急卖、住宅产权、第帖3.4.11.13号', '曹杨君悦苑  | 2室2厅 | 143.45平米 | 南 | 简装 | 有电梯', '高楼层(共29层)2000年建塔楼  -  曹杨', '720万', '单价50192元/平米')
('https://image1.ljcdn.com/310000-inspection/156259bf-c6f1-4d27-babd-b86eb2dc525c.jpg.296x216.jpg', '全明大两房楼层好，满五税费少，维护人有钥匙看房方便', '沙田大厦(公寓)  | 2室2厅 | 106平米 | 东 | 其他 | 有电梯', '高楼层(共27层)塔楼  -  长寿路', '700万', '单价66038元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171021/ac6f4d9e-4d7a-468a-8751-10732dee9a68.jpg.296x216.jpg', '房子户型很好看房  现在 阿姨钥匙 在链家', '东泉苑小区  | 2室1厅 | 65.46平米 | 南 | 简装 | 有电梯', '中楼层(共13层)1993年建塔楼  -  甘泉宜川', '368万', '单价56218元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5514ec08-748c-45e1-9f4b-3f17166f0a32.png.296x216.jpg', '南北通大三房业主诚意出售 高区景观视野好 满五唯一！', '中远两湾城  | 3室2厅 | 123.74平米 | 南 | 精装 | 有电梯', '高楼层(共34层)2005年建板楼  -  中远两湾城', '858万', '单价69339元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f9f2c89e-2a34-43fd-8106-ea0f6a24b66f.png.296x216.jpg', '怒江新村 1室1厅 240万', '怒江新村  | 1室1厅 | 38.87平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  长风', '240万', '单价61745元/平米')
('https://image1.ljcdn.com/310000-inspection/eb12b25e-c862-4e60-976f-526b2b884cc3.jpg.296x216.jpg', '真源小区 好楼层 好位置 全明三房 满五唯一！！', '真源小区  | 3室1厅 | 80.63平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1997年建板楼  -  长征', '498万', '单价61764元/平米')
('https://image1.ljcdn.com/310000-inspection/d22e5e65-1347-43b4-83cb-d11c6f91bd78.jpg.296x216.jpg', '二期新出房源，小区位置好，看房方便，户型方正', '金沙雅苑(二期)  | 3室2厅 | 136.44平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2003年建板楼  -  长征', '899万', '单价65890元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cbc0a71d-22ce-439a-9b14-4acdd267cb21.png.296x216.jpg', '【电梯小高层】毛坯三房双卫【一梯两户】不靠马路！急', '大华颐和华城(公寓)  | 3室2厅 | 121.03平米 | 南 | 毛坯 | 有电梯', '高楼层(共12层)2010年建板楼  -  万里', '780万', '单价64447元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload7895859f-e4de-419b-8008-c8c1dd7fb513.JPG.296x216.jpg', '正南朝向，拎包入住，采光很好，没有遮挡', '世纪之门  | 1室1厅 | 54.86平米 | 南 | 简装 | 有电梯', '高楼层(共23层)2001年建塔楼  -  长寿路', '415万', '单价75648元/平米')
('https://image1.ljcdn.com/310000-inspection/7f0b3ef6-bf16-4972-83df-ceedd3db6843.jpg.296x216.jpg', '新出电梯中层三居室（可改4房）位置安静，接受置换客', '祥和名邸(公寓)  | 3室2厅 | 134.2平米 | 南 北 | 简装 | 有电梯', '中楼层(共16层)2005年建板楼  -  长征', '770万', '单价57378元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171223/db7e647a-202a-4682-90cb-21a0eed89cb3.jpg.296x216.jpg', '二期高区楼层 看小区花园景观四面不临马路 带子母车位', '中海紫御豪庭(公寓)  | 4室2厅 | 245.58平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2012年建板楼  -  长征', '2150万', '单价87548元/平米')
('https://image1.ljcdn.com/310000-inspection/bd9a7680-e514-4f54-9d79-d19c3c593ea8.jpg.296x216.jpg', '三房两厅 全明户型 楼层采光好 业主诚意出售', '清涧三街坊  | 3室2厅 | 117.79平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  真光', '530万', '单价44996元/平米')
('https://image1.ljcdn.com/310000-inspection/35134711-c63f-4c96-be4a-840c58311540.jpg.296x216.jpg', '中星海上名庭(公寓) 2室2厅 760万', '中星海上名庭(公寓)  | 2室2厅 | 106.04平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2002年建板楼  -  长风', '760万', '单价71672元/平米')
('https://image1.ljcdn.com/310000-inspection/41653418-f127-48e6-8d01-d60fe5d05a2c.jpg.296x216.jpg', '大三期沿河高区景观大一房，买进500万，税费超低。', '中远两湾城  | 1室2厅 | 81.77平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2004年建板楼  -  中远两湾城', '620万', '单价75823元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171121/44d980f9-65bb-4069-8590-8aa5298abbce.jpg.296x216.jpg', '内环内大一房+品质新二期+现房精装修边套', '玉佛城  | 1室2厅 | 70.14平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2004年建塔楼  -  长寿路', '580万', '单价82692元/平米')
('https://image1.ljcdn.com/310000-inspection/85cf8ec4-1380-47e2-aba5-dc51be72df26.jpg.296x216.jpg', '内环内优质住宅 单价低满五税费少 地铁口高得房率', '玉佛城  | 1室1厅 | 77.55平米 | 东南 | 精装 | 有电梯', '低楼层(共28层)2004年建塔楼  -  长寿路', '580万', '单价74791元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170308/91cdf07f-014a-4bf7-8fd5-07e6b30d46ac.jpg.296x216.jpg', '小户型电梯房 紧 邻地铁站 生活便利', '长风大楼  | 1室1厅 | 47.98平米 | 东南 | 简装 | 有电梯', '高楼层(共13层)塔楼  -  长风', '280万', '单价58358元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f4e023b0-44ea-4734-a9b5-4fb1fe6a2c75.png.296x216.jpg', '小户型 边套全明 采光视野好 小区环境好', '甘泉苑  | 1室1厅 | 32.7平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1989年建板楼  -  甘泉宜川', '159万', '单价48624元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170520/dbd0206f-f587-49e1-93be-5d382a9a369a.jpg.296x216.jpg', '满五年唯一、南北通透 全明户型。一梯两户。诚意出售', '清涧四街坊  | 2室1厅 | 72.23平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  真光', '359万', '单价49703元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5ac6692c-4831-4bb3-822e-7a14347a7a77.JPG.296x216.jpg', '绿洲公寓 精装修三房 拎包入住 完全不需要动', '绿洲公寓  | 3室1厅 | 108平米 | 西南 | 精装 | 有电梯', '中楼层(共24层)1996年建塔楼  -  真如', '570万', '单价52778元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/81b700b5-b858-4e4c-b3ac-d892fa8cfb5f.jpg.296x216.jpg', '长寿路地铁口+全明户型+地段好采光好+出行方便', '恒达公寓  | 3室2厅 | 151平米 | 南 | 精装 | 有电梯', '低楼层(共24层)1997年建塔楼  -  长寿路', '1100万', '单价72848元/平米')
