('https://image1.ljcdn.com/210100-inspection/b0b07c26-f931-4099-9816-cd34f1dc3853.jpg.296x216.jpg', '大东 大华水岸 精装三室 装修好 拎包入住', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '144万', '单价10683元/平米')
('https://image1.ljcdn.com/210100-inspection/8355298b-1367-4f07-a29c-829284aa7cc6.JPG.296x216.jpg', '金地檀悦 清水洋房 带花园带地下室 园区环境优美', '金地檀悦  | 4室2厅 | 151.08平米 | 南 北 | 毛坯', '低楼层(共5层)板楼  -  大东区', '265万', '单价17541元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadd8ff2701-2b0b-4844-a20d-ca47465f619c.jpg.296x216.jpg', '大东骨科医院 万恒东方俪城星座 精装修拎包即住', '万恒东方俪城星座  | 1室1厅 | 58平米 | 南 | 精装', '高楼层(共23层)2005年建塔楼  -  大东区', '45万', '单价7759元/平米')
('https://image1.ljcdn.com/210100-inspection/34c8f936-e409-4d06-bf8b-b6515ec983ef.jpg.296x216.jpg', '大东上园新华壹品小高两室 保持好 拎包入住', '新华壹品A区  | 2室2厅 | 110.07平米 | 南 北 | 精装', '低楼层(共10层)2006年建板楼  -  大东区', '91万', '单价8268元/平米')
('https://image1.ljcdn.com/210100-inspection/3429b384-7f20-4e3d-977c-e80aa21c6656.jpg.296x216.jpg', '文华园 3室2厅 155万', '文华园  | 3室2厅 | 164.78平米 | 南 北 | 其他', '中楼层(共8层)2003年建板楼  -  大东区', '155万', '单价9407元/平米')
('https://image1.ljcdn.com/210100-inspection/aaa4ccac-ee1a-4fee-84a8-77f90ec313a9.jpg.296x216.jpg', '大东 吉祥花园 高楼层 采光好 户型方正', '吉祥花园  | 2室2厅 | 101平米 | 南 北 | 精装', '高楼层(共7层)2002年建板楼  -  大东区', '65万', '单价6436元/平米')
('https://image1.ljcdn.com/210100-inspection/08028c84-7bcd-4b4f-85da-d305bf296d7e.JPG.296x216.jpg', '大东区 馨龙小区 两居室 中间楼层 采光充足', '馨龙小区  | 2室1厅 | 63.63平米 | 南 北 | 简装', '中楼层(共7层)板楼  -  大东区', '51万', '单价8016元/平米')
('https://image1.ljcdn.com/210100-inspection/638530df-fd0c-4cf1-926f-fe3c3d5081ee.jpg.296x216.jpg', '大东八王寺中街商圈尚品天城 楼层好 户型方正 采光好', '尚品天城  | 3室2厅 | 104.2平米 | 南 北 | 精装', '中楼层(共12层)2005年建板楼  -  大东区', '145万', '单价13916元/平米')
('https://image1.ljcdn.com/210100-inspection/1e6dc400-5077-4d78-b908-e38b3a4232f8.JPG.296x216.jpg', '龙之梦商圈 三室两厅 精装修 不把山', '龙净运河湾3号  | 3室2厅 | 124.26平米 | 南 北 | 精装', '低楼层(共23层)2013年建板楼  -  大东区', '185万', '单价14889元/平米')
('https://image1.ljcdn.com/210100-inspection/7ea0fbd3-c951-4714-88a1-f73575a574a7.JPG.296x216.jpg', '大东区康都采光好视野好拎包入住', '康都  | 1室1厅 | 51.95平米 | 南 | 简装', '高楼层(共15层)板楼  -  大东区', '36万', '单价6930元/平米')
('https://image1.ljcdn.com/210100-inspection/4c312b68-507a-4eb5-855f-17ed7cca3a09.jpg.296x216.jpg', '一环里 果舍添香 南北通透  方正户型', '果舍添香一期  | 2室2厅 | 112平米 | 南 北 | 精装', '低楼层(共28层)2010年建板楼  -  大东区', '103万', '单价9197元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadbc52ccfb-74ef-4e64-b6b7-011dbc6c57e1.jpg.296x216.jpg', '第五粮库福祉大华水岸府 邸多层园区好位置', '大华水岸府邸  | 3室2厅 | 136.75平米 | 南 北 | 精装', '高楼层(共18层)2006年建板楼  -  大东区', '140万', '单价10238元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada0ae9e71-9dc2-4c2c-a2a8-c773d212712b.jpg.296x216.jpg', '八王寺 配套齐全 采光好南向单间不把山不临街', '翰林家园  | 1室1厅 | 71.33平米 | 南 | 简装', '中楼层(共9层)2005年建板楼  -  大东区', '50万', '单价7010元/平米')
('https://image1.ljcdn.com/210100-inspection/5aa2e9e6-6932-4e9c-9de0-d6be8131cdb4.jpg.296x216.jpg', '大东上园路 康都  采光好 拎包入住', '康都  | 1室1厅 | 59.89平米 | 南 | 简装', '中楼层(共6层)2001年建板楼  -  大东区', '42万', '单价7013元/平米')
('https://image1.ljcdn.com/210100-inspection/be5eeb0a-0cb6-4cc5-ab33-8e0c5940f4e5.jpg.296x216.jpg', '大东 大东路 天龙家园  急售', '天龙家园  | 2室2厅 | 113平米 | 南 北 | 精装', '中楼层(共16层)2003年建板楼  -  大东区', '103万', '单价9116元/平米')
('https://image1.ljcdn.com/210100-inspection/413a193d-32c8-4ca8-a1d6-cf0a4f0e287a.jpg.296x216.jpg', '大华水岸 精装三居室 南北通透 户型方正', '大华水岸府邸  | 3室2厅 | 108平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  大东区', '135万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/ca7ce75a-1ad4-42c6-bf10-bd7b4ec5062a.jpg.296x216.jpg', '大东小北 边墙小区 中间楼层 采光充足', '边墙小区  | 3室2厅 | 116平米 | 南 北 | 精装', '中楼层(共7层)1997年建板楼  -  大东区', '80万', '单价6897元/平米')
('https://image1.ljcdn.com/210100-inspection/9a7d3c5a-66e8-4930-ad53-4e57253d2db1.jpg.296x216.jpg', '大东 八王寺 瑞士家园 三室 低楼层 不临街', '瑞士家园  | 3室2厅 | 130.46平米 | 南 北 | 简装', '低楼层(共7层)2001年建板楼  -  大东区', '118万', '单价9045元/平米')
('https://image1.ljcdn.com/210100-inspection/0b63b064-e99f-42e8-95a9-d8a8db820375.JPG.296x216.jpg', '大东 大华水岸 精装三室 南北通透 前后无遮挡 采光好', '大华水岸府邸  | 3室2厅 | 135.5平米 | 东 南 北 | 精装', '高楼层(共18层)2006年建板楼  -  大东区', '140万', '单价10333元/平米')
('https://image1.ljcdn.com/210100-inspection/2a5b8e5e-54e6-45d4-80c2-33a53241b7d8.JPG.296x216.jpg', '馨龙小区 2室1厅 51万', '馨龙小区  | 2室1厅 | 64.97平米 | 东 西 | 其他', '低楼层(共7层)2005年建板楼  -  大东区', '51万', '单价7850元/平米')
('https://image1.ljcdn.com/210100-inspection/822cda27-c0f3-4797-bc22-7e5f1b63b65d.jpg.296x216.jpg', '此房是朝南的户型，满五年，没有贷款。', '万恒东方俪城四期  | 2室2厅 | 85.58平米 | 南 | 其他', '低楼层(共24层)2005年建板楼  -  大东区', '86万', '单价10050元/平米')
('https://image1.ljcdn.com/210100-inspection/f2c24083-55a3-4a05-8ee1-e4432c74ff85.jpg.296x216.jpg', '果舍添香 3室户型 精装修 看房方便', '果舍添香一期  | 3室1厅 | 112平米 | 南 北 | 精装', '低楼层(共28层)2010年建板楼  -  大东区', '103万', '单价9197元/平米')
('https://image1.ljcdn.com/210100-inspection/test-94913150-13ab-4352-8658-f0d0a14b96d3.png.296x216.jpg', '御泉华庭 一梯一户 大平层  户型方正 采光好', '御泉华庭  | 4室2厅 | 188平米 | 南 北 | 精装', '低楼层(共18层)2007年建板楼  -  大东区', '230万', '单价12235元/平米')
('https://image1.ljcdn.com/210100-inspection/89333006-7470-484c-a073-22270c77ecd6.JPG.296x216.jpg', '大东区上园小区 南向一室 采光好 拎包入住', '上园小区  | 1室1厅 | 33.5平米 | 南 | 精装', '低楼层(共7层)1987年建板楼  -  大东区', '21万', '单价6269元/平米')
('https://image1.ljcdn.com/210100-inspection/dd118e8f-2bb7-4810-b4b2-b7d07fd14613.JPG.296x216.jpg', '大东 芳菲苑 一室一厅 高楼层 视野好', '芳菲苑  | 1室1厅 | 39.75平米 | 东 北 | 简装', '中楼层(共11层)板楼  -  大东区', '25万', '单价6290元/平米')
('https://image1.ljcdn.com/210100-inspection/36ff854a-ba81-4e62-a638-328786d963c0.jpg.296x216.jpg', '大东东站东方玫瑰园 精装修南北通透三居室 拎包即住', '东方玫瑰园  | 3室2厅 | 102.93平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  大东区', '88万', '单价8550元/平米')
('https://image1.ljcdn.com/210100-inspection/778f0a8c-4e3c-4d90-ae5f-347a29a4e443.JPG.296x216.jpg', '大东开建康都 两室 高楼层采光好拎包入住', '康都  | 2室1厅 | 98平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  大东区', '72万', '单价7347元/平米')
('https://image1.ljcdn.com/210100-inspection/f6b9b7a1-9e1e-4b04-9166-4d320273b634.JPG.296x216.jpg', '大东山川喜悦都 四室 南北通透', '山川喜悦都  | 4室2厅 | 157.8平米 | 南 北 | 精装', '低楼层(共7层)2007年建板楼  -  大东区', '124万', '单价7859元/平米')
('https://image1.ljcdn.com/210100-inspection/deb1c98d-e407-4175-a4ba-fb897a57fbfc.jpg.296x216.jpg', '大东区康都楼层适中，南北户型！采光好！', '康都  | 2室1厅 | 89.94平米 | 南 北 | 精装', '中楼层(共6层)2001年建板楼  -  大东区', '82万', '单价9118元/平米')
('https://image1.ljcdn.com/210100-inspection/8f4fffc2-323b-40ad-9d72-825a6de386be.jpg.296x216.jpg', '明城嘉苑 2室2厅 66万', '明城嘉苑  | 2室2厅 | 54.56平米 | 西 | 其他', '中楼层(共20层)2009年建板楼  -  大东区', '66万', '单价12097元/平米')
('https://image1.ljcdn.com/210100-inspection/69b86c18-46b9-4830-a6e1-eb8eef8808da.jpg.296x216.jpg', '大东 瑞家景峰 南北三室 楼层适中 视野开阔', '瑞家景峰  | 3室2厅 | 105.28平米 | 南 北 | 毛坯', '中楼层(共32层)2013年建板楼  -  大东区', '88万', '单价8359元/平米')
('https://image1.ljcdn.com/210100-inspection/cee14b3b-7d62-40ac-910c-7fcfbd729ff1.jpg.296x216.jpg', '天龙家园两室南北通透采光好视野好', '天龙家园  | 2室2厅 | 90.54平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  大东区', '92万', '单价10162元/平米')
('https://image1.ljcdn.com/210100-inspection/test-68511282-abe5-4df4-9b42-cb109defc301.png.296x216.jpg', '大东一环旁 东方俪城 多层三室 低楼层 精装修', '万恒东方俪城一期  | 3室2厅 | 116.15平米 | 南 北 | 简装', '低楼层(共6层)2005年建板楼  -  大东区', '125万', '单价10762元/平米')
('https://image1.ljcdn.com/210100-inspection/185f49fd-cdcc-4a57-ba10-2e8964f8ae5d.jpg.296x216.jpg', '大东八王寺城中艺景小户型 一室一厅 精装修拎包即住', '城中艺景  | 1室1厅 | 74.29平米 | 东北 | 精装', '低楼层(共26层)2007年建板楼  -  大东区', '74万', '单价9961元/平米')
('https://image1.ljcdn.com/210100-inspection/871587ed-b59d-4477-81ca-b11ce52a068d.JPG.296x216.jpg', '大东 东方俪城星座 一室 装修保持好', '万恒东方俪城星座  | 1室1厅 | 48.24平米 | 西北 | 精装', '中楼层(共22层)2005年建塔楼  -  大东区', '31万', '单价6427元/平米')
('https://image1.ljcdn.com/210100-inspection/efc77bce-32f0-4642-9119-e6509bb65c2c.JPG.296x216.jpg', '大东区新华壹品南北三室 采光好 视野好', '新华壹品A区  | 3室1厅 | 111.28平米 | 南 北 | 精装', '高楼层(共10层)2006年建板楼  -  大东区', '135万', '单价12132元/平米')
('https://image1.ljcdn.com/210100-inspection/b4240668-6c0f-4db5-8bc0-2a76777c9e9a.JPG.296x216.jpg', '大东区 八王寺 枫合万嘉一期 三室户型南北通透', '枫合万嘉一期  | 3室2厅 | 115平米 | 南 北 | 简装', '高楼层(共18层)2005年建板楼  -  大东区', '140万', '单价12174元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada2b7cae8-3425-4be3-9bb2-b6f60796dc81.jpg.296x216.jpg', '新里摩尔公馆 精装修 保持干净 高楼层 采光好', '新里摩尔公馆  | 3室1厅 | 126.98平米 | 南 北 | 精装', '高楼层(共18层)2010年建板楼  -  大东区', '82万', '单价6458元/平米')
('https://image1.ljcdn.com/210100-inspection/b3376705-989b-4589-aca0-bf7ffc2353f8.jpg.296x216.jpg', '万寿小区 高楼层 采光好  户型方正', '万寿小区  | 2室1厅 | 74.26平米 | 南 北 | 简装', '高楼层(共6层)1997年建板楼  -  大东区', '50万', '单价6734元/平米')
('https://image1.ljcdn.com/210100-inspection/ea9d79c9-70fe-4a0e-bfeb-66b75f4d7a82.jpg.296x216.jpg', '大东 新里摩尔公馆 标准三居室 南北通透 拎包入住', '新里摩尔公馆  | 3室2厅 | 138平米 | 南 北 | 简装', '低楼层(共18层)2010年建板楼  -  大东区', '93万', '单价6740元/平米')
('https://image1.ljcdn.com/210100-inspection/e0296237-6324-42b4-8e7c-ca6f11f97319.JPG.296x216.jpg', '大东 金地铂悦 双南卧 中高楼层 采光好 视野开阔', '金地铂悦  | 3室2厅 | 132平米 | 南 北 | 精装', '中楼层(共29层)2016年建板楼  -  大东区', '150万', '单价11364元/平米')
('https://image1.ljcdn.com/210100-inspection/0d3e625d-18b2-4465-8636-0c0af5778e29.jpg.296x216.jpg', '大东 瑞家景峰 南北三室 楼层适中 视野开阔', '瑞家景峰  | 3室2厅 | 105平米 | 南 北 | 毛坯', '高楼层(共32层)2013年建板楼  -  大东区', '87万', '单价8286元/平米')
('https://image1.ljcdn.com/210100-inspection/9e146fcd-bc7a-48fb-990f-1ab85c25aa00.jpg.296x216.jpg', '大东 翰林家园  高楼层  无遮挡  采光好', '翰林家园  | 2室2厅 | 114.56平米 | 南 北 | 精装', '高楼层(共7层)2005年建板楼  -  大东区', '100万', '单价8730元/平米')
('https://image1.ljcdn.com/210100-inspection/517bffe4-ea19-4641-93b7-e0c5a99f9cc7.jpg.296x216.jpg', '东站商圈 圆缘雅居 南北通透 不把山不临街', '圆缘雅居  | 2室2厅 | 86.82平米 | 南 北 | 简装', '高楼层(共6层)板楼  -  大东区', '49.5万', '单价5702元/平米')
('https://image1.ljcdn.com/210100-inspection/eba39354-64e6-409f-ac94-3d16c68cf48e.jpg.296x216.jpg', '大东上园路 康都 低楼层 无遮挡采光好', '康都  | 1室2厅 | 57.32平米 | 南 | 精装', '低楼层(共15层)2001年建板楼  -  大东区', '43.5万', '单价7589元/平米')
('https://image1.ljcdn.com/210100-inspection/3eefac2b-6343-4b11-85c6-37746176ef3c.jpg.296x216.jpg', '大东边墙小区 中间楼层 无遮挡视野开阔 居住舒适', '边墙小区  | 2室1厅 | 52.76平米 | 南 北 | 简装', '中楼层(共7层)1997年建板楼  -  大东区', '39万', '单价7392元/平米')
('https://image1.ljcdn.com/210100-inspection/ebc7ccaa-354d-49f2-af61-7133001e6a2c.JPG.296x216.jpg', '大东区 水印蓝庭 三室两厅 高楼层 采光好', '水印蓝庭  | 3室2厅 | 91.36平米 | 南 | 精装', '高楼层(共6层)暂无数据  -  大东区', '75万', '单价8210元/平米')
('https://image1.ljcdn.com/210100-inspection/52b5d924-76cb-4c3a-925b-18d9111cbe84.jpg.296x216.jpg', '八王寺瑞士家园三室楼下南北对卧两室 楼上阁楼带卧室', '瑞士家园  | 3室2厅 | 137.67平米 | 南 北 | 简装', '高楼层(共7层)2001年建板楼  -  大东区', '115万', '单价8354元/平米')
('https://image1.ljcdn.com/210100-inspection/f7bde3ef-3407-4793-b644-6f6f16884f0a.jpg.296x216.jpg', '一环里 荣乐社区 龙之梦商圈 一楼', '荣乐社区  | 2室1厅 | 53.2平米 | 南 | 精装', '低楼层(共8层)板楼  -  大东区', '39.8万', '单价7482元/平米')
('https://image1.ljcdn.com/210100-inspection/96401b52-1133-4ee2-b2e4-6876aa2e452c.jpg.296x216.jpg', '二台子 新里摩尔公馆 不把山不临街 南北通透 精装修', '新里摩尔公馆  | 2室2厅 | 82平米 | 南 北 | 精装', '低楼层(共18层)2010年建板楼  -  大东区', '69万', '单价8415元/平米')
('https://image1.ljcdn.com/210100-inspection/d38cb9f0-72e6-4a80-89f8-971f81a6f951.JPG.296x216.jpg', '新华壹品，，，，，，，，，，，，，', '新华壹品C区  | 2室2厅 | 100平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  大东区', '89万', '单价8900元/平米')
('https://image1.ljcdn.com/210100-inspection/5067fd6e-6417-41a7-a5d5-89c1d7998f3e.jpg.296x216.jpg', '珠林小区 2室1厅 46.5万', '珠林小区  | 2室1厅 | 71平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  大东区', '46.5万', '单价6550元/平米')
('https://image1.ljcdn.com/210100-inspection/396b7346-fcc2-4fc6-af6b-998dc66d5156.jpg.296x216.jpg', '边墙北小区 3室2厅 88万', '边墙北小区  | 3室2厅 | 125.5平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  大东区', '88万', '单价7012元/平米')
('https://image1.ljcdn.com/210100-inspection/test-1503302c-9173-4348-9b34-195def12c3c0.png.296x216.jpg', '中街 香檀1917中间楼层客厅朝南装修保持良好', '香檀1917  | 2室2厅 | 94.27平米 | 南 | 精装', '中楼层(共34层)2008年建板楼  -  大东区', '88万', '单价9335元/平米')
('https://image1.ljcdn.com/210100-inspection/5a288afe-901b-48cb-a20a-257fb9c59cc1.JPG.296x216.jpg', '大东卉盛家园  高楼层 采光充足 视野开阔', '卉盛家园  | 2室2厅 | 119.76平米 | 南 北 | 精装', '高楼层(共9层)2001年建板楼  -  大东区', '75万', '单价6263元/平米')
('https://image1.ljcdn.com/210100-inspection/e96663ec-c762-4275-8abe-1d96db28514c.jpg.296x216.jpg', '锦联左岸 一室小户型 中高楼层 视野开阔', '锦联左岸  | 1室1厅 | 36平米 | 西 | 精装', '高楼层(共18层)板楼  -  大东区', '31万', '单价8612元/平米')
('https://image1.ljcdn.com/210100-inspection/f674f86d-f901-4dd7-9d90-3763114d7ce8.jpg.296x216.jpg', '大东骨科 东方俪城 高楼层 无遮挡 采光好', '万恒东方俪城四期  | 2室2厅 | 89.13平米 | 南 北 | 精装', '高楼层(共24层)2005年建板楼  -  大东区', '86万', '单价9649元/平米')
('https://image1.ljcdn.com/210100-inspection/2f75b7ce-e4a2-43ff-ab35-291ddabe65a2.jpg.296x216.jpg', '大东区 中街 天润广场 成熟商圈', '天润广场  | 2室2厅 | 82.01平米 | 南 | 精装', '高楼层(共27层)板楼  -  大东区', '78万', '单价9512元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload6bd66811-006f-4ff7-aedb-834734d7c358.jpg.296x216.jpg', '一环内小两室 看房方便  园区中间 龙之梦', '果舍添香二期  | 2室1厅 | 66平米 | 南 | 简装', '低楼层(共30层)2010年建板楼  -  大东区', '60万', '单价9091元/平米')
('https://image1.ljcdn.com/210100-inspection/e544f26b-2cfa-4563-b9b5-02e37478db20.JPG.296x216.jpg', '大东 梧桐园 南北通透 采光好', '梧桐园  | 2室1厅 | 53平米 | 南 北 | 精装', '中楼层(共7层)板楼  -  大东区', '33万', '单价6227元/平米')
('https://image1.ljcdn.com/210100-inspection/5a1471e1-620f-44a2-bcfe-6463551f07cd.JPG.296x216.jpg', '大东区 圆缘雅居 多层两居 基本无公摊', '圆缘雅居  | 2室1厅 | 57.62平米 | 南 北 | 精装', '中楼层(共5层)板楼  -  大东区', '43万', '单价7463元/平米')
('https://image1.ljcdn.com/210100-inspection/ff5de087-6511-4e8b-b09c-e17e588a0862.jpg.296x216.jpg', '馨龙小区 2室2厅 38万', '馨龙小区  | 2室2厅 | 50平米 | 南 北 | 简装', '中楼层(共7层)板楼  -  大东区', '38万', '单价7600元/平米')
('https://image1.ljcdn.com/210100-inspection/bc52e4ac-0c4e-46d1-b62b-4fc5f128cf6b.jpg.296x216.jpg', '大东万恒愿景 三居室 高楼层 采光好 装修保持好', '万恒愿景  | 3室2厅 | 124.3平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  大东区', '130万', '单价10459元/平米')
('https://image1.ljcdn.com/210100-inspection/81c95571-af58-499b-b987-3934b595f03a.JPG.296x216.jpg', '大东吉祥 多层 三室两卫 视野开阔 南北通透 中间楼层', '洮昌花园  | 3室2厅 | 164平米 | 南 北 | 简装', '中楼层(共7层)1998年建板楼  -  大东区', '123万', '单价7500元/平米')
('https://image1.ljcdn.com/210100-inspection/f5ec2c08-5b87-4c31-a0e4-c24d9c48677c.JPG.296x216.jpg', '锦联左岸 南北通透 中高楼层 采光足 视野开阔', '锦联左岸  | 2室1厅 | 91.23平米 | 南 北 | 精装', '高楼层(共28层)2010年建板楼  -  大东区', '105万', '单价11510元/平米')
('https://image1.ljcdn.com/210100-inspection/fa4bb31b-4ded-4285-82e1-14c0c829933b.JPG.296x216.jpg', '大东区梧桐馨园不把山不临街采光好', '梧桐馨园  | 2室2厅 | 86平米 | 南 北 | 精装', '中楼层(共8层)2002年建板楼  -  大东区', '64万', '单价7442元/平米')
('https://image1.ljcdn.com/210100-inspection/a919e655-a1e4-4620-a4f9-df9066c5663c.JPG.296x216.jpg', '锦联左岸 一室小户型 中间楼层 装修保持好', '锦联左岸  | 1室1厅 | 47.78平米 | 东 | 精装', '中楼层(共18层)2010年建板楼  -  大东区', '40万', '单价8372元/平米')
('https://image1.ljcdn.com/210100-inspection/cb487961-e461-4904-95ab-8d21e0a18eda.jpg.296x216.jpg', '园丁园教师新村 4室2厅 160万', '园丁园教师新村  | 4室2厅 | 195.11平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  大东区', '160万', '单价8201元/平米')
('https://image1.ljcdn.com/210100-inspection/a66da144-7b19-44ac-882c-f1a529245c3c.JPG.296x216.jpg', '大东区  家乐福 南北通透 三室 高楼层 采光好', '枫合万嘉一期  | 3室2厅 | 115.01平米 | 南 北 | 精装', '中楼层(共18层)2005年建板楼  -  大东区', '158万', '单价13738元/平米')
('https://image1.ljcdn.com/210100-inspection/5383c977-b743-4354-af76-dd2622ff55ed.JPG.296x216.jpg', '荣乐社区 1室1厅 18.5万', '荣乐社区  | 1室1厅 | 36.01平米 | 南 | 其他', '高楼层(共8层)板楼  -  大东区', '18.5万', '单价5138元/平米')
('https://image1.ljcdn.com/210100-inspection/5e829bab-1f9f-4739-a9dc-46e8397ca29a.jpg.296x216.jpg', '新上 果舍三期 南北两室 清水房', '果舍添香三期  | 2室1厅 | 71.46平米 | 南 北 | 毛坯', '高楼层(共25层)2010年建板楼  -  大东区', '67万', '单价9376元/平米')
('https://image1.ljcdn.com/210100-inspection/114effd4-b827-43bf-a24e-6aa0fd3bdf71.jpg.296x216.jpg', '大东区 瑞士家园 6室2卫 全跃户型', '瑞士家园  | 6室2厅 | 142.59平米 | 南 北 | 精装', '高楼层(共7层)2001年建板楼  -  大东区', '158万', '单价11081元/平米')
('https://image1.ljcdn.com/210100-inspection/test-d43c19ba-1b72-41b2-9fb1-59bd3d02e268.png.296x216.jpg', '取义小区 低楼层 采光好 东山临小路', '取意小区  | 2室1厅 | 88平米 | 南 北 | 简装', '中楼层(共7层)1997年建板楼  -  大东区', '57万', '单价6478元/平米')
('https://image1.ljcdn.com/210100-inspection/c638ef83-54ef-4ae4-9483-d7634199fe66.jpg.296x216.jpg', '拎包入住采光充足房子保持好格局好', '东方玫瑰园  | 3室2厅 | 103平米 | 南 北 | 其他', '中楼层(共5层)2007年建板楼  -  大东区', '90万', '单价8738元/平米')
('https://image1.ljcdn.com/210100-inspection/37b4e2ab-9779-4d5d-935f-f7f011ce29f1.jpg.296x216.jpg', '大东吉祥 吉祥公寓 园区安静 繁华地段 居住舒适', '吉祥公寓  | 2室2厅 | 101.22平米 | 南 北 | 简装', '高楼层(共8层)暂无数据  -  大东区', '65万', '单价6422元/平米')
('https://image1.ljcdn.com/210100-inspection/cd0d04b5-13c9-4b54-aacf-d1e50ae91a69.jpg.296x216.jpg', '此房南北通透，两室两厅，满五年，没有贷款。', '城建草仓公寓  | 2室2厅 | 116.7平米 | 南 北 | 其他', '高楼层(共12层)2002年建板楼  -  大东区', '110万', '单价9426元/平米')
('https://image1.ljcdn.com/210100-inspection/4d535f79-f0cf-4c08-833b-fa007699d400.JPG.296x216.jpg', '大东 东方玫瑰园  低楼层  出行方便  装修保持好', '东方玫瑰园  | 3室2厅 | 102.54平米 | 南 北 | 精装', '中楼层(共5层)2007年建板楼  -  大东区', '92万', '单价8973元/平米')
('https://image1.ljcdn.com/210100-inspection/55d4fe5e-9d96-4b9d-ba70-fb0eb38076ff.JPG.296x216.jpg', '大东区圣淘沙家园多层装修保持好拎包入住', '圣淘沙家园  | 2室2厅 | 104.9平米 | 南 北 | 精装', '中楼层(共7层)2004年建板楼  -  大东区', '72万', '单价6864元/平米')
('https://image1.ljcdn.com/210100-inspection/3f1748f5-f3d8-494f-9217-5fb3748330f3.jpg.296x216.jpg', '大东 馨龙小区 两室 南北 采光好', '馨龙小区  | 2室1厅 | 64.5平米 | 南 北 | 其他', '中楼层(共7层)2005年建板楼  -  大东区', '50万', '单价7752元/平米')
('https://image1.ljcdn.com/210100-inspection/5852375b-4cc5-4df5-81fb-67292f79e215.jpg.296x216.jpg', '锦联左岸 南向 采光充足 视野开阔 干净整洁 交通便利', '锦联左岸  | 2室1厅 | 63.48平米 | 南 | 精装', '低楼层(共33层)2010年建板楼  -  大东区', '70万', '单价11028元/平米')
('https://image1.ljcdn.com/210100-inspection/edf99bb9-d91f-49fa-9d77-00f776a4f6b4.JPG.296x216.jpg', '天龙家园 南北通透 采光好 交通便利 中街', '天龙家园  | 4室2厅 | 166.7平米 | 南 西 北 | 简装', '高楼层(共11层)2003年建板楼  -  大东区', '160万', '单价9599元/平米')
('https://image1.ljcdn.com/210100-inspection/6d432583-2870-47ad-a6e0-1da0a9996a42.jpg.296x216.jpg', '大东区八王寺枫合万嘉高楼层采光好', '枫合万嘉三期  | 2室2厅 | 99平米 | 南 北 | 精装', '中楼层(共24层)2005年建板楼  -  大东区', '120万', '单价12122元/平米')
('https://image1.ljcdn.com/210100-inspection/7ef34b9d-0f1a-4253-9fc2-04f0fd6cdee4.JPG.296x216.jpg', '万恒东方俪城星座 1室1厅 32万', '万恒东方俪城星座  | 1室1厅 | 48.17平米 | 西 | 其他', '中楼层(共22层)2005年建塔楼  -  大东区', '32万', '单价6644元/平米')
('https://image1.ljcdn.com/210100-inspection/8ff784d9-4336-45a4-b9d1-9d439888dd7c.jpg.296x216.jpg', '中街北苑 小两居 高楼层 无遮挡 采光充足 可贷款', '中街北苑  | 2室1厅 | 83.4平米 | 西南 | 精装', '高楼层(共18层)2003年建板楼  -  大东区', '70万', '单价8394元/平米')
('https://image1.ljcdn.com/210100-inspection/547fdcdf-64a7-442b-968d-873202b066e8.JPG.296x216.jpg', '大东 四室 南北通透 中间楼层  采光好 视野好', '园丁园教师新村  | 4室2厅 | 158.2平米 | 南 北 | 精装', '中楼层(共7层)板楼  -  大东区', '101万', '单价6385元/平米')
('https://image1.ljcdn.com/210100-inspection/4ea277a5-1059-4fbe-983b-fac17d063d8c.jpg.296x216.jpg', '老龙家园一室一厅中间楼层南向采光好视野好', '老龙家园  | 1室1厅 | 49.48平米 | 南 | 简装', '低楼层(共7层)2001年建板楼  -  大东区', '39万', '单价7882元/平米')
('https://image1.ljcdn.com/210100-inspection/481bdec9-cdf7-4624-ab1e-e8b41b3c3ca5.JPG.296x216.jpg', '大东 新华壹品 园区中间  楼层高 采光好', '新华壹品B区  | 2室1厅 | 85平米 | 南 北 | 精装', '高楼层(共18层)2006年建板楼  -  大东区', '86万', '单价10118元/平米')
('https://image1.ljcdn.com/210100-inspection/8658aea5-1366-4cf2-9620-4eeabed01393.jpg.296x216.jpg', '大东区 草仓路小区 户型好 简单装修', '草仓路小区  | 2室1厅 | 64平米 | 南 北 | 简装', '高楼层(共7层)暂无数据  -  大东区', '42万', '单价6563元/平米')
