('https://image1.ljcdn.com/370600-inspection/e0f8d11c-d3ef-4b3a-b02e-e5f5e175e7ec.jpg.296x216.jpg', '福利莱小区  精装修  双南卧 拎包入住', '福利莱小区  | 2室1厅 | 72.58平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  福海路', '65万', '单价8956元/平米')
('https://image1.ljcdn.com/370600-inspection/908af952-0bab-4fbf-ab04-2c7e22f7ef84.jpg.296x216.jpg', '松霞路上 阳光首院 三室 南北通透 毛坯房', '阳光首院  | 3室2厅 | 100.46平米 | 南 北 | 其他', '低楼层(共24层)2016年建塔楼  -  首院', '99万', '单价9855元/平米')
('https://image1.ljcdn.com/370600-inspection/215995b2-d0b7-4824-aa09-6d8c798614df.jpg.296x216.jpg', '星河城一楼带小院三室两厅一厨两卫东打头', '星河城  | 3室2厅 | 136.59平米 | 东 南 北 | 其他', '低楼层(共18层)2011年建塔楼  -  福海路', '160万', '单价11714元/平米')
('https://image1.ljcdn.com/370600-inspection/9698fe45-7835-4f77-b4f6-8e77d92370f7.jpg.296x216.jpg', '富豪新天地 3室2厅 110万', '富豪新天地  | 3室2厅 | 121.4平米 | 南 西 北 | 其他', '高楼层(共16层)2009年建板塔结合  -  富豪', '110万', '单价9061元/平米')
('https://image1.ljcdn.com/370600-inspection/b6f8f254-5735-4652-9ccd-90553da4815d.jpg.296x216.jpg', '福利莱三期多层大两居，户型方正敞亮，精装修', '福利莱小区  | 2室1厅 | 85.33平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  福海路', '95万', '单价11134元/平米')
('https://image1.ljcdn.com/370600-inspection/b7e29c37-d24c-42d5-9720-eaed6d02d122.jpg.296x216.jpg', '南西朝向采光充足，高层有电梯，楼层好无遮挡.', '鸿福名城  | 2室1厅 | 89.36平米 | 西南 | 其他', '高楼层(共28层)2014年建塔楼  -  鸿福街', '86万', '单价9624元/平米')
('https://image1.ljcdn.com/370600-inspection/b735da09-1cb0-4d87-a0a8-72766782e79d.jpg.296x216.jpg', '天府花园小区 两室 南北通透 松霞路', '天府花园小区  | 2室2厅 | 65平米 | 南 北 | 其他', '高楼层(共5层)1998年建板楼  -  首院', '59万', '单价9077元/平米')
('https://image1.ljcdn.com/370600-inspection/76c9c383-dc70-4814-9aca-db9bb690345b.jpg.296x216.jpg', '东陌堂新区 南北通透三居室 南厅双南卧 随时看房', '东陌堂新区  | 3室2厅 | 106.58平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  福山周边', '59万', '单价5536元/平米')
('https://image1.ljcdn.com/370600-inspection/0e399ea6-908d-4f54-a226-7dde1062a3fc.jpg.296x216.jpg', '房子满5唯一，没有大税，南北通透，通风效果好', '鸿福御景  | 2室1厅 | 76.8平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  鸿福街', '95万', '单价12370元/平米')
('https://image1.ljcdn.com/370600-inspection/c086abfa-49c0-4bf1-9525-852bb283d322.jpg.296x216.jpg', '万科假日风景   北五路上   打头房  小高层', '万科假日风景  | 3室1厅 | 98.56平米 | 东 南 北 | 精装', '高楼层(共11层)2017年建塔楼  -  万科', '130万', '单价13190元/平米')
('https://image1.ljcdn.com/370600-inspection/6083406c-2b42-4b72-a090-18db1c5f1021.jpg.296x216.jpg', '南北通透，三室两厅，格局好，中间楼层', '福祥新苑  | 3室2厅 | 79平米 | 南 北 | 其他', '中楼层(共7层)2003年建板楼  -  富豪', '83万', '单价10507元/平米')
('https://image1.ljcdn.com/370600-inspection/543e9517-555e-4456-bd67-b8b25913e1a1.jpg.296x216.jpg', '同福小区 中等装修 带小棚 南北通透', '同福小区  | 2室2厅 | 109.5平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  福海路', '72万', '单价6576元/平米')
('https://image1.ljcdn.com/370600-inspection/22818a90-6f92-4026-9613-fb167ad23709.jpg.296x216.jpg', '东尚蓝湾，三室两厅，精装修，南北通透', '东尚蓝湾  | 3室2厅 | 124.32平米 | 东 南 北 | 其他', '中楼层(共18层)2015年建塔楼  -  首院', '160万', '单价12871元/平米')
('https://image1.ljcdn.com/370600-inspection/29ac988a-9055-4d97-a4b5-3aeefd5de3b8.jpg.296x216.jpg', '星河城 精装两室  采光好  视野好  看房方便', '星河城  | 2室2厅 | 68.32平米 | 南 | 其他', '高楼层(共30层)2011年建塔楼  -  福海路', '69万', '单价10100元/平米')
('https://image1.ljcdn.com/370600-inspection/45afbc48-5104-4641-aeae-051789785d38.jpg.296x216.jpg', '永乐公寓好房源，精装修，南北通透，采光好，户型好', '永乐公寓  | 5室2厅 | 78.49平米 | 南 北 | 其他', '高楼层(共6层)1994年建板楼  -  振华', '95万', '单价12104元/平米')
('https://image1.ljcdn.com/370600-inspection/cca60282-2de8-43a6-b5e4-83b398315a6f.jpg.296x216.jpg', '上下两层 带小棚 南北通透 精装修 楼层好', '水清木华芝阳城  | 2室2厅 | 84.2平米 | 南 北 | 其他', '高楼层(共6层)2017年建板楼  -  芝阳', '85万', '单价10096元/平米')
('https://image1.ljcdn.com/370600-inspection/17ec0bac-28f9-48dd-a6d9-f44e43bb2f11.jpg.296x216.jpg', '福利莱小区 多层精装修顶加阁 4室2卫 看房方便', '福利莱小区  | 4室2厅 | 92.5平米 | 南 北 | 其他', '高楼层(共5层)2004年建板楼  -  福海路', '95万', '单价10271元/平米')
('https://image1.ljcdn.com/370600-inspection/1954230e-b807-476f-82a5-8eb8d0f9483b.jpg.296x216.jpg', '星河城 精装修  视野好 看房方便', '星河城  | 2室2厅 | 72平米 | 东北 | 其他', '高楼层(共26层)2011年建塔楼  -  福海路', '65万', '单价9028元/平米')
('https://image1.ljcdn.com/370600-inspection/85843ddc-5823-42dc-9218-9854ec945a20.jpg.296x216.jpg', '卫城润景南北通透格局，楼层好，采光充足配套设施齐全', '卫城润景  | 2室2厅 | 79.62平米 | 南 北 | 其他', '中楼层(共7层)2012年建板楼  -  芝阳', '66万', '单价8290元/平米')
('https://image1.ljcdn.com/370600-inspection/e0fd8920-be9a-4d08-9225-80f77e80a8da.jpg.296x216.jpg', '此房为多层南北通透，中间楼层，采光好，户型好', '芙蓉花园  | 2室2厅 | 87平米 | 南 北 | 其他', '中楼层(共7层)2011年建板楼  -  福海路', '120万', '单价13794元/平米')
('https://image1.ljcdn.com/370600-inspection/55a97ef4-53de-4411-90a0-0fde842e28cc.jpg.296x216.jpg', '世嘉景庭南卧南厅毛坯房，采光好楼层好视野开阔', '世嘉锦庭  | 2室2厅 | 96平米 | 南 北 | 其他', '中楼层(共11层)2015年建板楼  -  振华', '118万', '单价12292元/平米')
('https://image1.ljcdn.com/370600-inspection/b1a1497a-3b23-4125-9952-429cfbfd3bd7.jpg.296x216.jpg', '卫城润景，满五唯一，南北通透，采光充足', '卫城润景  | 2室1厅 | 76.65平米 | 南 北 | 其他', '中楼层(共7层)2012年建板楼  -  芝阳', '65.5万', '单价8546元/平米')
('https://image1.ljcdn.com/370600-inspection/300d3f1e-6d5e-47ef-919f-13e89ce1c98c.jpg.296x216.jpg', '北五路三区交界 管委家属楼 精装三室两厅出行购物便利', '产业区管委家属楼  | 3室2厅 | 108.88平米 | 南 北 | 精装', '中楼层(共5层)暂无数据  -  首院', '90万', '单价8266元/平米')
('https://image1.ljcdn.com/370600-inspection/8866b22f-4098-4a72-9ad6-5fcd72942c86.jpg.296x216.jpg', '东尚蓝湾 3室1厅 145万', '东尚蓝湾  | 3室1厅 | 107.42平米 | 南 北 | 其他', '中楼层(共32层)2015年建板楼  -  首院', '145万', '单价13499元/平米')
('https://image1.ljcdn.com/370600-inspection/efde46fe-a120-4af7-9267-eb3cc570bc93.jpg.296x216.jpg', '民丰小区 精装修顶加阁 房子满5年 带小棚', '民丰小区  | 3室1厅 | 83.5平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  福海路', '80万', '单价9581元/平米')
('https://image1.ljcdn.com/370600-inspection/17abf9e1-7090-45d1-be36-33b69019c926.jpg.296x216.jpg', '仁隆花园多层 新楼 精装修 采光好，南北通透。', '仁隆花园  | 3室2厅 | 80.79平米 | 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  福海路', '88万', '单价10893元/平米')
('https://image1.ljcdn.com/370600-inspection/eb748e54-54b8-4282-94c6-000c255d9e07.jpg.296x216.jpg', '万科假日润园 3室2厅 96.5万', '万科假日润园  | 3室2厅 | 91.3平米 | 南 北 | 其他', '中楼层(共11层)2014年建塔楼  -  万科', '96.5万', '单价10570元/平米')
('https://image1.ljcdn.com/370600-inspection/a163f5ae-7604-4261-b4d6-1b6ee390f5cc.jpg.296x216.jpg', '汇福街，多层顶加阁，送车位，可改三室', '汇福街  | 2室2厅 | 92.25平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  富豪', '118万', '单价12792元/平米')
('https://image1.ljcdn.com/370600-inspection/58a80e69-43aa-4a73-946b-9d1e40a95fdf.jpg.296x216.jpg', '此房为南北通透  楼层高 采光好', '康庄小区  | 2室2厅 | 70.95平米 | 南 北 | 其他', '高楼层(共6层)1997年建板楼  -  振华', '66万', '单价9303元/平米')
('https://image1.ljcdn.com/370600-inspection/2ad17aae-a71a-4814-a899-5bd96d61feea.jpg.296x216.jpg', '香逸中央 精装拎包入住 采光充足 南北通透 交通便利', '香逸中央  | 3室2厅 | 151.82平米 | 东 南 北 | 其他', '中楼层(共5层)2009年建板楼  -  福海路', '175万', '单价11527元/平米')
('https://image1.ljcdn.com/370600-inspection/25daa78d-2658-4101-86c0-1d5be37e3714.jpg.296x216.jpg', '万科假日风景 南北通透 顶加阁楼带大露台精装修保持好', '万科假日风景  | 3室2厅 | 91.55平米 | 南 北 | 其他', '高楼层(共11层)2016年建塔楼  -  万科', '165万', '单价18023元/平米')
('https://image1.ljcdn.com/370600-inspection/6be1ce72-84dc-45fb-8175-f3c272dfd24c.jpg.296x216.jpg', '低楼层,南北通透,中等装修地暖 大两室', '曙光名座  | 2室2厅 | 79.34平米 | 南 北 | 其他', '低楼层(共7层)2004年建塔楼  -  鸿福街', '72万', '单价9075元/平米')
('https://image1.ljcdn.com/370600-inspection/7b3328db-a2dd-4fb7-98ed-6e860a29f62e.jpg.296x216.jpg', '福水苑 3室1厅 60万', '福水苑  | 3室1厅 | 88.86平米 | 西 | 其他', '中楼层(共7层)2006年建板楼  -  鸿福街', '60万', '单价6753元/平米')
('https://image1.ljcdn.com/370600-inspection/8f8e97cd-38ab-47c7-8314-79b1e9be017d.jpg.296x216.jpg', '河滨小区 精装拎包入住 交通便利 配套设施齐全', '河滨小区  | 3室2厅 | 78平米 | 南 北 | 其他', '高楼层(共4层)1992年建板楼  -  松霞', '64万', '单价8206元/平米')
('https://image1.ljcdn.com/370600-inspection/c44b6e08-e490-486c-91f9-dc7c5d1f405d.jpg.296x216.jpg', '福海路上优质房源交通便利小区环境好', '福水苑  | 1室1厅 | 50.98平米 | 东 | 其他', '中楼层(共7层)2006年建板楼  -  鸿福街', '35万', '单价6866元/平米')
('https://image1.ljcdn.com/370600-inspection/36b4c58c-d5d5-4bfa-b913-815aaaad4d5d.jpg.296x216.jpg', '万科假日风景 东打头 南北通透 格局方正 采光视野超好', '万科假日风景  | 3室2厅 | 90.64平米 | 东 南 北 | 精装', '高楼层(共11层)2016年建塔楼  -  万科', '125万', '单价13791元/平米')
('https://image1.ljcdn.com/370600-inspection/f69df5d7-e005-448f-9485-240a81613274.jpg.296x216.jpg', '万科假日风景，精装两室，南厅双南卧，采光好', '万科假日风景  | 2室2厅 | 83.32平米 | 南 | 其他', '中楼层(共25层)2016年建塔楼  -  万科', '100万', '单价12002元/平米')
('https://image1.ljcdn.com/370600-inspection/8a460334-49cd-4a66-a4fb-57559bc0e827.jpg.296x216.jpg', '万科假日风景，多层，采光好，视野开阔', '万科假日风景  | 5室3厅 | 108平米 | 南 西 北 | 其他', '高楼层(共5层)2016年建板楼  -  万科', '160万', '单价14815元/平米')
('https://image1.ljcdn.com/370600-inspection/15d83001-dfb1-488f-88cb-8ce5a392c15f.jpg.296x216.jpg', '福祥新苑，南北通透大三居，130平110万送大阳台', '福祥新苑  | 3室1厅 | 129.55平米 | 南 北 | 其他', '中楼层(共7层)2003年建板楼  -  富豪', '115万', '单价8877元/平米')
('https://image1.ljcdn.com/370600-inspection/94eecea3-a336-4725-9d09-0ef2105738a7.jpg.296x216.jpg', '君山水，纯南向小户型，婚房装修，楼层好，视野开阔！', '君山水  | 2室1厅 | 57.71平米 | 南 | 其他', '高楼层(共32层)2014年建板楼  -  芝阳', '48万', '单价8318元/平米')
('https://image1.ljcdn.com/370600-inspection/ce792bcb-4c4c-4dd9-b76f-b3a02ce2b168.jpg.296x216.jpg', '顶加阁，外阁楼，位置好，看房方便', '银河小区  | 3室2厅 | 92平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  松霞', '79.8万', '单价8674元/平米')
('https://image1.ljcdn.com/370600-inspection/ddda14d0-28f2-426d-b7b3-8bf6a0a3f96a.jpg.296x216.jpg', '星河城 精装三室 楼层好 采光好 配套齐全 交通便利', '星河城  | 3室1厅 | 127.1平米 | 南 北 | 其他', '低楼层(共19层)2011年建塔楼  -  福海路', '130万', '单价10229元/平米')
('https://image1.ljcdn.com/370600-inspection/e7c0bdef-c4ff-4f59-b44c-0842b5a1db8a.JPG.296x216.jpg', '东陌堂 精装房  全明户型 好房子为你来', '东陌堂新区  | 1室1厅 | 48.37平米 | 南 北 | 精装', '低楼层(共7层)暂无数据  -  福山周边', '33.8万', '单价6988元/平米')
('https://image1.ljcdn.com/370600-inspection/567f27c2-7df7-4548-bff3-8a525257994a.jpg.296x216.jpg', '银河小区东打头南北通透户型好三室', '银河小区  | 3室2厅 | 102.5平米 | 东 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  松霞', '78万', '单价7610元/平米')
('https://image1.ljcdn.com/370600-inspection/3c9cf732-a56f-40a5-9cb9-7f1b9d5c4ab3.jpg.296x216.jpg', '水清木华好房源，精装三室，南北通透，户型好，采光好', '水清木华芝阳城  | 3室1厅 | 105.06平米 | 南 北 | 其他', '中楼层(共7层)2017年建板楼  -  芝阳', '90万', '单价8567元/平米')
('https://image1.ljcdn.com/370600-inspection/baa2c8dd-fc96-40cc-9c76-e52812954f48.jpg.296x216.jpg', '北二路五环小区，南北通透，满五唯一，采光', '五环小区  | 3室1厅 | 87.42平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  福海路', '68万', '单价7779元/平米')
('https://image1.ljcdn.com/370600-inspection/1f505988-383e-434a-a574-76a9820df409.jpg.296x216.jpg', '福利莱小区三期 满五唯一 西打头 带车库小棚', '福利莱小区  | 2室1厅 | 93.7平米 | 南 北 | 其他', '中楼层(共6层)2004年建板楼  -  福海路', '100万', '单价10673元/平米')
('https://image1.ljcdn.com/370600-inspection/7f4b8be1-922e-4961-9cf6-080f971adcee.jpg.296x216.jpg', '多层住宅，公摊小，采光充足，视野好', '锦绣山庄  | 2室1厅 | 71.04平米 | 南 北 | 简装', '中楼层(共5层)2006年建板楼  -  奇泉', '60万', '单价8446元/平米')
('https://image1.ljcdn.com/370600-inspection/36612fdd-aca1-481a-a5b6-9d98998f0ea8.jpg.296x216.jpg', '卫城润景 2室2厅 70万', '卫城润景  | 2室2厅 | 82.73平米 | 东南 | 精装', '低楼层(共26层)2012年建塔楼  -  芝阳', '70万', '单价8462元/平米')
('https://image1.ljcdn.com/370600-inspection/dcc3586b-3097-4771-ab27-80aa6f678acc.jpg.296x216.jpg', '此房满五年，南北通透格局，交通便利，配套设施齐全', '福利莱小区  | 2室1厅 | 81.04平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  福海路', '65万', '单价8021元/平米')
('https://image1.ljcdn.com/370600-inspection/48792138-71b7-4de8-a42f-951905259de9.jpg.296x216.jpg', '水清木华好房源，多层南北通透，好楼层，采光好', '水清木华芝阳城  | 2室1厅 | 67.47平米 | 南 北 | 其他', '高楼层(共6层)2017年建板楼  -  芝阳', '65万', '单价9634元/平米')
('https://image1.ljcdn.com/370600-inspection/35e2b85a-8d7d-47b8-98c6-6cbb9b79fb9a.jpg.296x216.jpg', '此房楼层好视野好采光好，户型方正，南北通透，精装修', '雍和名邸  | 3室2厅 | 133平米 | 南 北 | 其他', '低楼层(共22层)暂无数据  -  福海路', '155万', '单价11655元/平米')
('https://image1.ljcdn.com/370600-inspection/d526e9b0-6926-412a-9549-f77f5bd79061.jpg.296x216.jpg', '银河小区   南北通透  三居室', '银河小区  | 3室2厅 | 150.1平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  松霞', '100万', '单价6663元/平米')
('https://image1.ljcdn.com/370600-inspection/f81a42d9-7deb-462f-9c9b-46a560ab60bb.JPG.296x216.jpg', '东陌堂新区多层市土双证，西打头，采光好', '东陌堂新区  | 3室2厅 | 117平米 | 南 西 北 | 其他', '高楼层(共6层)暂无数据  -  福山周边', '98万', '单价8377元/平米')
('https://image1.ljcdn.com/370600-inspection/09e61fc9-7a98-47db-986a-26a8d1728bf2.jpg.296x216.jpg', '美航花园精装2室，纯南向70年产权', '美航花园  | 2室1厅 | 53.45平米 | 南 | 其他', '中楼层(共26层)2008年建塔楼  -  福海路', '47万', '单价8794元/平米')
('https://image1.ljcdn.com/370600-inspection/b0ef27cb-d347-49bb-a725-78427afc5498.jpg.296x216.jpg', '多层顶加阁，小区环境好，房子装修保持不错', '北方月光怡景  | 3室1厅 | 92.21平米 | 南 北 | 其他', '高楼层(共5层)2017年建板楼  -  富豪', '120万', '单价13014元/平米')
('https://image1.ljcdn.com/370600-inspection/7103ef29-76f3-4fc5-99b0-9ad77672f241.jpg.296x216.jpg', '星河城 精装两室带大阳台 采光好 配套齐全 交通便利', '星河城  | 2室2厅 | 92.99平米 | 南 西 | 其他', '高楼层(共23层)2011年建塔楼  -  福海路', '96万', '单价10324元/平米')
('https://image1.ljcdn.com/370600-inspection/e45b5e2b-3a30-4d70-87d0-2702728f6c6c.jpg.296x216.jpg', '房子满五年、实木装修、小区位置好交通便利！', '香逸中央  | 3室2厅 | 103.45平米 | 东 南 北 | 其他', '高楼层(共11层)2009年建塔楼  -  福海路', '152.7万', '单价14761元/平米')
('https://image1.ljcdn.com/370600-inspection/e5d541e0-be14-488d-8a1c-080cc949c5f9.JPG.296x216.jpg', '水清木华好房源，精装，南北通透，户型好，采光好', '水清木华芝阳城  | 4室2厅 | 90.16平米 | 南 北 | 其他', '高楼层(共7层)2017年建板楼  -  芝阳', '45万', '单价4992元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade08f46bd-74ba-4e84-8229-88e7d31477e5.jpg.296x216.jpg', '南北通透，楼层低，精装好，采光充足', '松霞新苑西小区  | 4室2厅 | 105.04平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  松霞', '80万', '单价7617元/平米')
('https://image1.ljcdn.com/370600-inspection/8fd413b0-8751-4176-913c-f515be6d34ac.jpg.296x216.jpg', '阳光首院，南向户型，83平，毛坯', '阳光首院  | 2室2厅 | 83.61平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  首院', '81万', '单价9688元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload174c8409-b978-4450-86fd-20ee63b20c8a.jpg.296x216.jpg', '一室一厅，独立的厨房，楼层好，带电梯，适合过渡人群', '檀香苑  | 1室1厅 | 41.12平米 | 北 | 其他', '中楼层(共26层)塔楼  -  鸿福街', '37万', '单价8999元/平米')
('https://image1.ljcdn.com/370600-inspection/f0307caa-149e-46f2-8a48-04121080f556.jpg.296x216.jpg', '水清木华芝阳城 3室1厅 76万', '水清木华芝阳城  | 3室1厅 | 83.84平米 | 南 北 | 其他', '低楼层(共6层)2017年建板楼  -  芝阳', '76万', '单价9065元/平米')
('https://image1.ljcdn.com/370600-inspection/9f8ed7a0-16d2-472f-b9bc-9a387d91bc5d.jpg.296x216.jpg', '精装修，南北通透，拎包入住，中间楼层', '映雪佳苑  | 3室1厅 | 109.88平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  万科', '113万', '单价10284元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload524cccac-9a6c-480c-8060-c584f974dbcd.jpg.296x216.jpg', '世嘉锦庭好房源大三居，东打头，户型好，小区环境好', '世嘉锦庭  | 3室2厅 | 128平米 | 南 北 | 其他', '低楼层(共18层)2015年建塔楼  -  振华', '110万', '单价8594元/平米')
('https://image1.ljcdn.com/370600-inspection/5c594a91-2143-4e5f-889b-73150f054419.jpg.296x216.jpg', '曙光名座，一室一厅，简单装修，', '曙光名座  | 1室1厅 | 32.06平米 | 南 | 其他', '高楼层(共7层)2004年建塔楼  -  鸿福街', '20万', '单价6239元/平米')
('https://image1.ljcdn.com/370600-inspection/dfdabbb5-a38d-444e-9b7b-0685a9d30252.jpg.296x216.jpg', '福利莱小区多层一楼，136平精装修带小棚', '福利莱小区  | 3室2厅 | 136.07平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  福海路', '130万', '单价9554元/平米')
('https://image1.ljcdn.com/370600-inspection/6ec056b8-9249-400a-83f8-7c0482545812.jpg.296x216.jpg', '复式结构,动静分离，采光好，交通便利，配套齐全', '香逸中央  | 4室2厅 | 121.52平米 | 东 | 其他', '高楼层(共23层)2009年建塔楼  -  福海路', '120万', '单价9875元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade5a41e00-4b8d-4303-8ff0-605bab198f23.jpg.296x216.jpg', '富豪新天地精装修三室。南北通透，带阳台。', '富豪新天地  | 3室2厅 | 121.85平米 | 南 北 | 其他', '高楼层(共16层)2009年建板塔结合  -  富豪', '113万', '单价9274元/平米')
('https://image1.ljcdn.com/370600-inspection/ec002d42-2438-4a42-acd1-bd193d056fb2.jpg.296x216.jpg', '永福园 3室多层2楼 南北通透 精装修', '永福园  | 3室2厅 | 82.77平米 | 南 北 | 其他', '中楼层(共5层)2005年建板楼  -  首院', '75万', '单价9062元/平米')
('https://image1.ljcdn.com/370600-inspection/716946fb-3e35-4136-8b9f-cad7d7680414.jpg.296x216.jpg', '仁隆花园 3室1厅 28万', '仁隆花园  | 3室1厅 | 40.8平米 | 南 西 北 | 其他', '高楼层(共6层)2014年建板楼  -  福海路', '28万', '单价6863元/平米')
('https://image1.ljcdn.com/370600-inspection/66381f1c-395f-4017-8368-fd0778c84aa4.jpg.296x216.jpg', '福利莱万和城 首付约21万 有阳台 精装两室 拎包入住', '福利莱万和城  | 2室1厅 | 74.32平米 | 南 | 其他', '高楼层(共11层)2013年建塔楼  -  芝阳', '69万', '单价9285元/平米')
('https://image1.ljcdn.com/370600-inspection/bdd7613d-fc56-4162-b776-4b991135cce6.jpg.296x216.jpg', '同福小区 顶加阁加棚 3-1-1-1 84.90m²', '同福小区  | 3室1厅 | 84.9平米 | 南 北 | 其他', '高楼层(共5层)2003年建板楼  -  福海路', '85万', '单价10012元/平米')
('https://image1.ljcdn.com/370600-inspection/8b8bf679-f238-4782-817d-6b639738fd8d.jpg.296x216.jpg', '好楼层 三室 福海路周围 寰宇小区 两卫', '寰宇小区  | 3室1厅 | 150.83平米 | 南 北 | 其他', '中楼层(共22层)2004年建塔楼  -  福海路', '115万', '单价7625元/平米')
('https://image1.ljcdn.com/370600-inspection/1745c90b-b1e6-458a-a0b4-a93709f98a37.jpg.296x216.jpg', '房主现在自住，打算换三居，看房提前联系房主配合', '美航花园  | 2室1厅 | 67平米 | 东北 | 其他', '低楼层(共26层)2008年建塔楼  -  福海路', '59万', '单价8806元/平米')
('https://image1.ljcdn.com/370600-inspection/8586f4de-b1d9-435d-b8be-f9debebc06e8.jpg.296x216.jpg', '卫城润景 2室2厅 65万', '卫城润景  | 2室2厅 | 80.92平米 | 东 南 北 | 其他', '中楼层(共26层)2012年建塔楼  -  芝阳', '65万', '单价8033元/平米')
('https://image1.ljcdn.com/370600-inspection/921e4c90-a192-48e4-9d84-ea8550131222.jpg.296x216.jpg', '天创国际城 公交站有522，521，31，301等多路公交', '天创国际城  | 1室1厅 | 39.51平米 | 北 | 其他', '中楼层(共18层)2005年建塔楼  -  福海路', '21万', '单价5316元/平米')
('https://image1.ljcdn.com/370600-inspection/91709c13-593a-44c0-829d-fa022d330e9a.JPG.296x216.jpg', '仁隆花园好房源，多层南北通透毛坯，楼层好，户型好', '仁隆花园  | 2室1厅 | 69.29平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  福海路', '66万', '单价9526元/平米')
('https://image1.ljcdn.com/370600-inspection/0162f699-e51e-4966-8e49-eafcb705e3c0.jpg.296x216.jpg', '东方华府精装4室，采光好，交通便利，配套设施齐', '东方华府  | 4室2厅 | 140.23平米 | 南 北 | 精装', '高楼层(共33层)2019年建塔楼  -  福海路', '190万', '单价13550元/平米')
('https://image1.ljcdn.com/370600-inspection/22d042c0-a85f-4b5b-9ca5-599fa867a40d.jpg.296x216.jpg', '星河城 2室精装修 双南卧 中间楼层 视野采光好', '星河城  | 2室1厅 | 71.56平米 | 南 | 其他', '中楼层(共26层)2011年建塔楼  -  福海路', '72.5万', '单价10132元/平米')
('https://image1.ljcdn.com/370600-inspection/f86a5da6-a1d0-4ab7-aa5b-d287882f6409.jpg.296x216.jpg', '福海路周边，多层南向，公摊小，空间大！', '锦绣山庄  | 2室1厅 | 61平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  奇泉', '47万', '单价7705元/平米')
('https://image1.ljcdn.com/370600-inspection/20bdb692-775c-47fe-b60c-104e29e861f1.jpg.296x216.jpg', '此房满两年，无增值税，南北通透格局', '松霞新苑北小区  | 3室1厅 | 47.03平米 | 南 北 | 其他', '高楼层(共7层)2009年建板楼  -  松霞', '35万', '单价7443元/平米')
('https://image1.ljcdn.com/370600-inspection/746fc9a2-c75a-4bf0-a8d7-bca00e347a51.JPG.296x216.jpg', '多层   配套齐全  离医院近', '福山医院南山家属楼  | 2室1厅 | 114平米 | 南 北 | 其他', '高楼层(共5层)2001年建板楼  -  振华', '98万', '单价8597元/平米')
('https://image1.ljcdn.com/370600-inspection/f31f073b-204c-463a-b312-dbfea11151c7.JPG.296x216.jpg', '和平家电  对门住宅 有房产证 可两套一起买或者分开买', '城里街189号  | 2室1厅 | 83.4平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  福海路', '55万', '单价6595元/平米')
('https://image1.ljcdn.com/370600-inspection/c921a5cc-ba31-4079-9738-82d9dc7d50c7.jpg.296x216.jpg', '寰宇小区  精装修 东打头 南北通透 全明户型', '寰宇小区  | 3室2厅 | 103.38平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  福海路', '90万', '单价8706元/平米')
('https://image1.ljcdn.com/370600-inspection/3acf55cd-071c-4643-b8b7-42b521319035.jpg.296x216.jpg', '星河城 精装大三室未入住 小高层 南北通透', '星河城  | 3室2厅 | 111.37平米 | 南 北 | 其他', '中楼层(共11层)2011年建塔楼  -  福海路', '125万', '单价11224元/平米')
('https://image1.ljcdn.com/370600-inspection/33d76e85-ff27-47c7-8442-38bfc47177e7.jpg.296x216.jpg', '一室小公寓，楼层好，视野宽阔，配套齐全交通便利', '天创国际城  | 1室1厅 | 41.05平米 | 北 | 其他', '低楼层(共18层)2005年建塔楼  -  福海路', '30万', '单价7309元/平米')
('https://image1.ljcdn.com/370600-inspection/fab577b9-f525-497d-b01d-ec2261dd42f3.jpg.296x216.jpg', '富豪国际商务公寓，55.4平，东向。', '富豪国际商务公寓  | 3室2厅 | 55.4平米 | 东 | 其他', '高楼层(共12层)暂无数据  -  富豪', '63万', '单价11372元/平米')
