('https://image1.ljcdn.com/370200-inspection/683daa83-7c38-4b6a-b177-f3bfb77b5efb.jpg.296x216.jpg', '大华正信花园 套三户型 南北通透 楼层好 看房方便', '大华正信花园  | 3室1厅 | 129.73平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  即墨', '180万', '单价13875元/平米')
('https://image1.ljcdn.com/370200-inspection/3da76a5e-8e6b-4e38-8f64-906a12017320.jpg.296x216.jpg', '宝龙尊邸，大套三，古城， 赠送全套家具家电 拎包入住', '宝龙中央尊邸  | 3室2厅 | 121.23平米 | 南 | 精装', '低楼层(共32层)2012年建暂无数据  -  即墨', '220万', '单价18148元/平米')
('https://image1.ljcdn.com/370200-inspection/0ba422a1-4821-4e59-bf6e-b4bee8d27c28.JPG.296x216.jpg', '富临花园 精装 大套三双卫 车库上一楼', '富临花园  | 3室2厅 | 135.3平米 | 南 北 | 简装', '低楼层(共6层)暂无数据  -  即墨', '157万', '单价11604元/平米')
('https://image1.ljcdn.com/370200-inspection/4c960f2f-259e-4d16-b5bf-6925a9a14e32.JPG.296x216.jpg', '信特景苑顶加阁大套二毛坯电梯高层无遮挡', '信特景苑  | 2室1厅 | 97.78平米 | 南 北 | 毛坯', '高楼层(共22层)暂无数据  -  即墨', '165万', '单价16875元/平米')
('https://image1.ljcdn.com/370200-inspection/test-a02bd115-172e-4bd2-9337-c0bf2965bf46.png.296x216.jpg', '万科东郡 创智新区 精装套二 南北通透 视野开阔', '万科东郡  | 2室2厅 | 90.61平米 | 南 | 其他', '中楼层(共16层)2014年建板楼  -  即墨', '148万', '单价16334元/平米')
('https://image1.ljcdn.com/370200-inspection/f5c5bc60-d638-488b-8f02-417957b2cc9b.jpg.296x216.jpg', '满二，恒大悦陇台，一楼带院，精装修。', '恒大悦珑台  | 2室2厅 | 145.85平米 | 南 | 其他', '低楼层(共4层)2013年建板楼  -  即墨', '268万', '单价18376元/平米')
('https://image1.ljcdn.com/370200-inspection/3c87890c-23c5-4677-9b5a-6cc280f8dcd4.jpg.296x216.jpg', '蓝谷别墅区，生活配套完善，容积占0.62，绿化占比40%', '安纳溪VILLA  | 3室2厅 | 118.03平米 | 南 北 | 毛坯', '3层2015年建暂无数据  -  即墨', '160万', '单价13556元/平米')
('https://image1.ljcdn.com/370200-inspection/test-6ba830d7-1d23-4b50-aa86-26f4712e7e79.png.296x216.jpg', '新上九九花园小区好楼层，南北通透套二', '九九花园  | 2室1厅 | 86.42平米 | 南 | 其他', '中楼层(共7层)暂无数据  -  即墨', '100万', '单价11572元/平米')
('https://image1.ljcdn.com/370200-inspection/89d60d41-584c-4f01-a547-b0473f2cf757.JPG.296x216.jpg', '正规二居室，位置好，采光好,交通便利', '明水苑  | 2室1厅 | 81.81平米 | 南 北 | 精装', '中楼层(共6层)2007年建暂无数据  -  即墨', '106万', '单价12957元/平米')
('https://image1.ljcdn.com/370200-inspection/25d3c0b6-5d82-4003-8b8b-5037dd620fe4.JPG.296x216.jpg', '四季花城.全明户型.南北通透.楼层好.电梯房.', '四季花城  | 2室1厅 | 80.78平米 | 南 北 | 其他', '高楼层(共11层)2010年建暂无数据  -  即墨', '150万', '单价18569元/平米')
('https://image1.ljcdn.com/370200-inspection/0f3ac8f9-de46-48d9-9f27-2dc533497946.JPG.296x216.jpg', '宝龙稀，缺小户型，单价低，学 区好，交通方便，', '宝龙中央尊邸  | 2室2厅 | 91.06平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  即墨', '125万', '单价13728元/平米')
('', '高迪墨香郡 2室1厅 170万', '高迪墨香郡  | 2室1厅 | 89.38平米 | 南 | 精装', '低楼层(共11层)2015年建板楼  -  即墨', '170万', '单价19020元/平米')
('https://image1.ljcdn.com/370200-inspection/877c239c-2dd3-42fa-8d98-3a641d0af9fb.jpg.296x216.jpg', '一楼带院，楼座位置好，绿化好，停车方便，满五唯一', '四季花城  | 3室2厅 | 113.6平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  即墨', '248万', '单价21831元/平米')
('https://image1.ljcdn.com/370200-inspection/bb369b5b-4a1c-4346-9c1c-0f4ab44182fa.JPG.296x216.jpg', '经典小套三 赠送面积十几平 中间楼层 全明户型', '万科东郡  | 3室2厅 | 94.19平米 | 南 北 | 其他', '中楼层(共24层)2014年建板楼  -  即墨', '164万', '单价17412元/平米')
('https://image1.ljcdn.com/370200-inspection/1eb849ed-4515-4bc5-ac75-500389c59283.jpg.296x216.jpg', '满五唯一  精装修 错层设计 南北通透 采光佳', '中惠景园  | 3室2厅 | 135.41平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  即墨', '220万', '单价16247元/平米')
('https://image1.ljcdn.com/370200-inspection/cff10e9f-6b9d-4d2e-a4bf-16a261613ae5.jpg.296x216.jpg', '京宝花苑 新上套三双卫 低楼层 位置好 3南卧 通透户型', '京宝花苑  | 3室2厅 | 122.5平米 | 南 北 | 简装', '低楼层(共6层)暂无数据  -  即墨', '167万', '单价13633元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload3760240c-9e0f-4a05-819f-6d40504fa65d.jpg.296x216.jpg', '宝龙尊邸大套三户型南北通透精装未入住', '宝龙中央尊邸  | 3室2厅 | 142.42平米 | 南 北 | 精装', '低楼层(共33层)2012年建暂无数据  -  即墨', '222万', '单价15588元/平米')
('https://image1.ljcdn.com/370200-inspection/f1bca2cb-01f4-4018-8dd6-342a7169482a.JPG.296x216.jpg', '满五唯一，钻石楼层，全明户型，采光好，套二户型。', '和平二区  | 2室1厅 | 71.86平米 | 南 | 其他', '中楼层(共6层)2009年建板楼  -  即墨', '77万', '单价10716元/平米')
('https://image1.ljcdn.com/370200-inspection/c6530bf7-7fdd-4adb-ab43-f9031a8db4d5.JPG.296x216.jpg', '惠禾小区 顶加阁，赠送超大阁楼 预约看房 交通便利', '惠禾小区  | 3室1厅 | 127.31平米 | 南 | 精装', '高楼层(共7层)暂无数据  -  即墨', '173万', '单价13589元/平米')
('https://image1.ljcdn.com/370200-inspection/67ad6684-f413-46a2-8300-6e122943206a.JPG.296x216.jpg', '书香门第.精装大套三.送储藏室，满五，配套齐全', '书香门第  | 3室2厅 | 159.25平米 | 南 北 | 其他', '低楼层(共6层)2013年建板楼  -  即墨', '190万', '单价11931元/平米')
('https://image1.ljcdn.com/370200-inspection/23db2407-1530-4e17-992a-fe6b9747b297.jpg.296x216.jpg', '义乌城 6+阁大套三 采光充足 位置好', '义乌城  | 3室2厅 | 108.84平米 | 南 北 | 其他', '高楼层(共6层)2010年建暂无数据  -  即墨', '157万', '单价14425元/平米')
('https://image1.ljcdn.com/370200-inspection/b1827ce9-125f-4981-bad0-fa17c15731cf.JPG.296x216.jpg', '海盛新阳光，经典套二居室，楼层好，采光充足', '海盛新阳光地带  | 2室2厅 | 87.05平米 | 南 | 其他', '中楼层(共7层)2007年建暂无数据  -  即墨', '115万', '单价13211元/平米')
('https://image1.ljcdn.com/370200-inspection/c0e47227-b19f-4304-9ae8-588f2b9b011e.jpg.296x216.jpg', '即墨城阳交界处，出行方便，价格实惠，诚心出售', '兴华景园  | 2室1厅 | 91.44平米 | 南 | 简装', '低楼层(共9层)2015年建暂无数据  -  即墨', '148万', '单价16186元/平米')
('https://image1.ljcdn.com/370200-inspection/9b214718-188a-440d-bdc8-e96bcefa2ed2.JPG.296x216.jpg', '南北通透，户型周正，楼层低，居住方便', '学府林居  | 2室1厅 | 84.02平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  即墨', '125万', '单价14878元/平米')
('https://image1.ljcdn.com/370200-inspection/4d7b45c2-6c21-450d-a6e2-86f3bc356eb6.jpg.296x216.jpg', '天成小区 带院3层别墅 带车位', '天成小区  | 4室2厅 | 147.29平米 | 南 北 | 精装', '低楼层(共3层)2002年建板楼  -  即墨', '298万', '单价20233元/平米')
('https://image1.ljcdn.com/370200-inspection/test-525b0872-58c0-4758-9381-0c99a09c792c.png.296x216.jpg', '泉兴小区，经典套一，南北通透，采光好，视野充足', '泉兴小区  | 1室1厅 | 64.6平米 | 南 北 | 其他', '中楼层(共6层)2001年建板楼  -  即墨', '80万', '单价12384元/平米')
('https://image1.ljcdn.com/370200-inspection/test-febd235e-7c18-4ba7-83cf-cb49a6a613bb.png.296x216.jpg', '蓝色硅谷  新房未居住  楼层好  带两个地下室', '金韵紫都  | 3室2厅 | 102.15平米 | 南 | 其他', '高楼层(共6层)2015年建暂无数据  -  即墨', '80.6万', '单价7891元/平米')
('', '西元庄四期 套二 南厅南北卧 送储藏室 满五唯一 低价', '永合硕钧苑  | 2室2厅 | 88.58平米 | 南 北 | 其他', '高楼层(共5层)2007年建暂无数据  -  即墨', '108万', '单价12193元/平米')
('https://image1.ljcdn.com/370200-inspection/test-a4a4707a-cfe2-4571-ba58-0eb12a15a17a.png.296x216.jpg', '蓝谷区青岛博览中  心  一楼带院80平', '中建岭海尚溪地  | 3室2厅 | 114.25平米 | 南 北 | 毛坯', '低楼层(共4层)暂无数据  -  即墨', '200万', '单价17506元/平米')
('', '天泰蓝山叠拼毛坯别墅赠阁楼露台', '天泰蓝山  | 4室2厅 | 168.82平米 | 南 北 | 毛坯', '低楼层(共3层)2014年建暂无数据  -  即墨', '265万', '单价15698元/平米')
('https://image1.ljcdn.com/370200-inspection/2225103f-6c1b-4f9f-93f1-4e18a9906376.jpg.296x216.jpg', '新上房源，大华正信花园，大套三楼层', '大华正信花园  | 3室2厅 | 107平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  即墨', '145万', '单价13552元/平米')
('', '西元庄七期 好楼层 精装 地暖 客厅一个窗', '永合硕豐苑B区  | 2室1厅 | 71.61平米 | 南 | 其他', '低楼层(共3层)2009年建暂无数据  -  即墨', '93万', '单价12988元/平米')
('https://image1.ljcdn.com/370200-inspection/d07e3344-bbce-4c2a-ab76-7000679a49ce.JPG.296x216.jpg', '东城家园.全明户型.南北通透.楼层低.格局好', '东城家园  | 3室2厅 | 107.6平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  即墨', '152万', '单价14127元/平米')
('', '曼谷阳光 精装大套三  南北通透 采光好 婚房装修 诚售', '曼谷阳光  | 3室2厅 | 106.75平米 | 南 北 | 其他', '高楼层(共6层)2009年建暂无数据  -  即墨', '140万', '单价13115元/平米')
('https://image1.ljcdn.com/370200-inspection/test-6963ae71-ce3f-4414-9b31-f46dd80ea8a9.png.296x216.jpg', '中建岭海尚溪地 2室2厅 150万', '中建岭海尚溪地  | 2室2厅 | 87.22平米 | 南 | 其他', '中楼层(共4层)暂无数据  -  即墨', '150万', '单价17198元/平米')
