('https://image1.ljcdn.com/370600-inspection/ba3c41fc-3f6e-4575-892d-40563f8be3e2.jpg.296x216.jpg', '福莱山公园方正两居室婚房拎包入住有地上车位', '海信慧园西区  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共32层)2010年建板塔结合  -  高级中学', '135万', '单价14674元/平米')
('https://image1.ljcdn.com/370600-inspection/8e57814b-3d33-4a3e-a141-3d5d281efbf7.jpg.296x216.jpg', '金光小区,南北通透采光足无遮挡.', '金光小区西区  | 3室2厅 | 85.72平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  万达', '80万', '单价9333元/平米')
('https://image1.ljcdn.com/370600-inspection/1fc59fe7-e4fa-46b4-beec-7aa51638ec03.jpg.296x216.jpg', '永旺旁，满两年，温馨两居，产权清晰，拎包即住。', '万科城  | 2室1厅 | 76.7平米 | 南 | 其他', '低楼层(共34层)2016年建板楼  -  万科城', '102万', '单价13299元/平米')
('https://image1.ljcdn.com/370600-inspection/f1392c39-a55c-4ace-be65-c5c0489e6108.jpg.296x216.jpg', '振华海滨假日花园+4居室+毛坯+采光好+中间楼层', '振华海滨假日花园  | 4室2厅 | 175.66平米 | 南 北 | 其他', '中楼层(共30层)2014年建板楼  -  黄河路', '220万', '单价12525元/平米')
('https://image1.ljcdn.com/370600-inspection/4930bb29-32bb-45bf-b6c9-468241c80fcf.jpg.296x216.jpg', '海信慧园西区，居家三室，南北通透，高楼层视野好', '海信慧园西区  | 3室2厅 | 137.08平米 | 南 北 | 其他', '高楼层(共21层)2010年建板塔结合  -  高级中学', '200万', '单价14591元/平米')
('https://image1.ljcdn.com/370600-inspection/50ac7850-1ec9-4ac5-83e0-8db4e5af91e5.JPG.296x216.jpg', '长江路北 金东世纪中间楼层 三室两卫 视野开阔', '金东世纪A  | 3室2厅 | 160平米 | 西北 | 其他', '中楼层(共29层)2002年建板塔结合  -  德胜', '160万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/8a21d325-23d8-4ab0-bcc3-34de628ddeef.jpg.296x216.jpg', '南北通透，采光好。小区周边生活，购物方便多层四楼。', '凤台小区  | 3室1厅 | 93.13平米 | 南 北 | 其他', '中楼层(共7层)1997年建板楼  -  星颐广场', '100万', '单价10738元/平米')
('https://image1.ljcdn.com/370600-inspection/eee698a1-3ce6-43bf-b2e1-b061e4993d2d.jpg.296x216.jpg', '夹河风景独好 三室朝阳 精致错层 业主诚售 看房方便', '夹河苑  | 3室2厅 | 123.48平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  德胜', '148万', '单价11986元/平米')
('https://image1.ljcdn.com/370600-inspection/fb919bb2-0a48-47d6-8e8c-df422241cd20.jpg.296x216.jpg', '南北通透 全明户型 打头房 拎包入住', '越秀星汇金沙  | 3室2厅 | 101.19平米 | 南 北 | 精装', '低楼层(共14层)2016年建板楼  -  北京中路', '120万', '单价11859元/平米')
('https://image1.ljcdn.com/370600-inspection/f5267b6d-10c6-4307-a4fb-d2488db911f0.jpg.296x216.jpg', '万达 衡悦大厦 精装修 双南卧 南客厅', '银河怡海衡悦大厦  | 2室2厅 | 91平米 | 南 | 其他', '中楼层(共31层)暂无数据  -  万达', '118万', '单价12968元/平米')
('https://image1.ljcdn.com/370600-inspection/e8e84e5c-4939-4219-a05b-e8a7afac6e62.jpg.296x216.jpg', '框架房双南卧  赠送阁楼 赠送露台 看房方便', '金东小区  | 2室2厅 | 78平米 | 南 北 | 其他', '高楼层(共6层)1999年建板楼  -  德胜', '90万', '单价11539元/平米')
('https://image1.ljcdn.com/370600-inspection/b44a6086-84ba-48ef-a242-995437993488.jpg.296x216.jpg', '夹河苑错层4楼，精装大三居，户型方正，带车库，诚售', '夹河苑  | 3室2厅 | 136平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  德胜', '175万', '单价12868元/平米')
('https://image1.ljcdn.com/370600-inspection/f8c24abe-650e-4d34-a866-ba4afe9d8364.jpg.296x216.jpg', '87.5平+110万+中等以上装修+前面无遮挡', '翠园芳邻  | 2室1厅 | 87.5平米 | 南 | 其他', '低楼层(共18层)2007年建塔楼  -  万达', '110万', '单价12572元/平米')
('https://image1.ljcdn.com/370600-inspection/8e0dc91d-5838-4a51-9155-367e31ed6c15.jpg.296x216.jpg', '框架大三居，带车库，闹中取静。', '银海花苑  | 3室2厅 | 142.12平米 | 南 北 | 精装', '中楼层(共6层)2001年建板楼  -  德胜', '170万', '单价11962元/平米')
('https://image1.ljcdn.com/370600-inspection/f7c9b198-cd50-4b75-8ec2-e6a4bcd2ad4b.jpg.296x216.jpg', '海信慧园西区  通透三居室  东打头南北通透', '海信慧园西区  | 3室2厅 | 112.79平米 | 南 北 | 其他', '低楼层(共32层)2010年建板塔结合  -  高级中学', '150万', '单价13300元/平米')
('https://image1.ljcdn.com/370600-inspection/34ce27e3-8ee0-4ba4-ac46-7b7e9b70c765.jpg.296x216.jpg', '精装修南北通透三居室 海景房 拎包入住 税费各付', '天马相城四期  | 3室2厅 | 194平米 | 南 北 | 其他', '低楼层(共30层)2015年建塔楼  -  万科城', '268万', '单价13815元/平米')
('https://image1.ljcdn.com/370600-inspection/377e284f-daf9-4250-a582-3d5edeb1de63.jpg.296x216.jpg', '宁海佳苑 户型方正  打头房 南北通透 视野好 位置好!', '宁海佳苑  | 3室2厅 | 143平米 | 南 北 | 其他', '中楼层(共10层)2007年建板楼  -  黄河路', '165万', '单价11539元/平米')
('https://image1.ljcdn.com/370600-inspection/29988b09-e1ac-4d5b-abb1-6ac5721ef980.jpg.296x216.jpg', '海信慧园 双南卧 全明户型 看房方便', '海信慧园  | 2室1厅 | 109.25平米 | 南 | 其他', '高楼层(共25层)2011年建板塔结合  -  高级中学', '220万', '单价20138元/平米')
('https://image1.ljcdn.com/370600-inspection/6d21b2a0-fd96-47e6-944c-b553d00d1143.jpg.296x216.jpg', '天马别墅 双拼 纯毛坯 诚心出售', '帝景苑   | 独栋别墅 | 6室3厅 | 349.81平米 | 南 北 | 其他', '3层2010年建暂无数据  -  万科城', '980万', '单价28016元/平米')
('https://image1.ljcdn.com/370600-inspection/15a5581e-f3d2-4c57-a334-3d149bf1fd0a.jpg.296x216.jpg', '振华海滨假日＋通透户型＋精装修带家电＋满两年', '振华海滨假日花园  | 2室2厅 | 123.19平米 | 南 北 | 其他', '中楼层(共27层)暂无数据  -  黄河路', '165万', '单价13394元/平米')
('https://image1.ljcdn.com/370600-inspection/bdd08343-4875-4a08-8459-415f20fa0a4f.jpg.296x216.jpg', '框架顶楼复式 送地上小棚 各付', '银芝小区  | 3室2厅 | 89.95平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  德胜', '75万', '单价8338元/平米')
('https://image1.ljcdn.com/370600-inspection/b491369f-9f45-4f95-91a2-3f21f11a5f65.jpg.296x216.jpg', '户型明朗，每个功能间都有窗户，', '香格里拉花园  | 2室1厅 | 88.65平米 | 南 | 其他', '低楼层(共28层)2013年建板楼  -  万达', '112万', '单价12634元/平米')
('https://image1.ljcdn.com/370600-inspection/f04973c5-76da-4711-9167-118b828dcbd4.jpg.296x216.jpg', '宁海佳苑 南北通透 看房方便 带有装修 楼层合适', '宁海佳苑  | 2室2厅 | 128平米 | 南 北 | 其他', '低楼层(共19层)2007年建板楼  -  黄河路', '140万', '单价10938元/平米')
('https://image1.ljcdn.com/370600-inspection/08c35fa8-b37d-4d3c-952b-5fa5d4549a3f.jpg.296x216.jpg', '海信依云小镇+多层大两居+精装修+中间楼层', '海信依云小镇  | 2室2厅 | 99.73平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  福莱山公园', '145万', '单价14540元/平米')
('https://image1.ljcdn.com/370600-inspection/82a5f4ba-03e3-4e43-bd14-deefd825e446.jpg.296x216.jpg', '精装修，明厨明卫。可观海可看葡萄园', '天马相城三期  | 2室1厅 | 79.96平米 | 西 北 | 其他', '低楼层(共23层)2009年建板塔结合  -  万科城', '89万', '单价11131元/平米')
('https://image1.ljcdn.com/370600-inspection/cc36070f-0d75-40cf-8079-8f830722c5d8.jpg.296x216.jpg', '海信慧园东区 精装修 多层4楼 南北通透', '海信慧园  | 3室1厅 | 128.66平米 | 南 北 | 其他', '中楼层(共6层)2011年建板塔结合  -  高级中学', '210万', '单价16323元/平米')
('https://image1.ljcdn.com/370600-inspection/d6965749-79dc-4044-b91e-773cbc8204cd.jpg.296x216.jpg', '看房方便，采光好，中等装修，交通便利。', '海阔天高  | 1室1厅 | 49.79平米 | 北 | 其他', '30层2008年建塔楼  -  德胜', '40万', '单价8034元/平米')
('https://image1.ljcdn.com/370600-inspection/d2673960-2f30-4dbe-b795-476624043a8f.jpg.296x216.jpg', '成熟小区 多层一楼 户型方正 南北通透 看房方便 诚售', '金东小区  | 2室2厅 | 65.74平米 | 南 北 | 其他', '低楼层(共5层)1996年建板楼  -  德胜', '72万', '单价10953元/平米')
('https://image1.ljcdn.com/370600-inspection/6ea020e5-5fa3-4ffc-b8fa-d14c0cc44f89.jpg.296x216.jpg', '海天景苑 2室1厅 98万', '海天景苑  | 2室1厅 | 98.43平米 | 南 北 | 其他', '低楼层(共24层)2006年建塔楼  -  福莱山公园', '98万', '单价9957元/平米')
('https://image1.ljcdn.com/370600-inspection/053571e1-c48a-4f28-bd32-177f99c62bac.jpg.296x216.jpg', '天马相城四期，毛坯海景房，南厅南卧，采光好。', '天马相城四期  | 2室1厅 | 105平米 | 南 | 其他', '中楼层(共30层)2015年建塔楼  -  万科城', '115万', '单价10953元/平米')
('https://image1.ljcdn.com/370600-inspection/a348f0e9-8aae-465c-985b-6c518fc5abdd.jpg.296x216.jpg', '金光小区西区低楼层南北通透万达旁', '金光小区西区  | 3室2厅 | 86平米 | 南 北 | 其他', '低楼层(共6层)1998年建板楼  -  万达', '90万', '单价10466元/平米')
('https://image1.ljcdn.com/370600-inspection/d1a9b9ec-1a62-42a6-ab11-cf5a49510202.jpg.296x216.jpg', '此房楼层低，视野宽阔，采光充足，配套设施齐全。', '银芝小区  | 2室1厅 | 72.24平米 | 南 北 | 其他', '中楼层(共6层)1994年建板楼  -  德胜', '84万', '单价11628元/平米')
('https://image1.ljcdn.com/370600-inspection/f1f974c5-ee78-4c5c-8a8c-f2da8b08ae82.jpg.296x216.jpg', '静海小区 三居室 3楼 东打头 南北通透 看房方便', '静海小区  | 3室2厅 | 107.18平米 | 南 北 | 其他', '中楼层(共6层)1993年建板楼  -  黄河路', '112万', '单价10450元/平米')
('https://image1.ljcdn.com/370600-inspection/5193a95c-4d37-4680-ab68-7dd8534ad8dc.jpg.296x216.jpg', '交通便利，小区北面有多辆公交车经过，', '舒馨家苑  | 2室2厅 | 82.55平米 | 南 北 | 其他', '低楼层(共5层)2006年建板楼  -  万达', '99万', '单价11993元/平米')
('https://image1.ljcdn.com/370600-inspection/c690eb3f-03b5-45cb-898c-e653d709aff6.jpg.296x216.jpg', '位置很好，交通生活都很便利，商超娱乐餐饮齐备。', '海鹰大厦  | 1室1厅 | 36平米 | 北 | 其他', '高楼层(共20层)2003年建塔楼  -  德胜', '26万', '单价7223元/平米')
('https://image1.ljcdn.com/370600-inspection/d8e84a64-b807-4aa7-9838-257e7dbe675f.jpg.296x216.jpg', '澎湖湾  精装修满二年 户型方正采光好 送约6平米小棚', '金桥澎湖湾  | 3室1厅 | 105.54平米 | 南 北 | 其他', '高楼层(共18层)2015年建塔楼  -  北京中路', '120万', '单价11371元/平米')
('https://image1.ljcdn.com/370600-inspection/fc058698-1fb5-4878-9a37-19abf728ac02.jpg.296x216.jpg', '上居和园 3室1厅 110万', '上居和园  | 3室1厅 | 101.47平米 | 南 | 其他', '低楼层(共25层)暂无数据  -  万达', '110万', '单价10841元/平米')
('https://image1.ljcdn.com/370600-inspection/0a8cbeb0-0bd0-4705-8814-a5f06e83e568.jpg.296x216.jpg', '海河双景，金东世纪精装大三居，双南卧，采光好视野好', '金东世纪A  | 3室2厅 | 140.06平米 | 西南 北 | 其他', '中楼层(共30层)2001年建板塔结合  -  德胜', '140万', '单价9996元/平米')
('https://image1.ljcdn.com/370600-inspection/bee39636-2c79-4ecc-8aef-757e6932a78b.jpg.296x216.jpg', '越秀星汇金沙 纯毛坯任意装修 三室两卫 低楼层', '越秀星汇金沙  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  北京中路', '120万', '单价10435元/平米')
('', '看海河双景，中间楼层，视野开阔，大三居，业主诚售', '金东世纪A  | 4室2厅 | 165平米 | 南 北 | 其他', '中楼层(共29层)2002年建板塔结合  -  德胜', '145万', '单价8788元/平米')
('https://image1.ljcdn.com/370600-inspection/b8fadf05-1f95-471e-b9c6-986ece5685d2.jpg.296x216.jpg', '上下复式，原始装修，实用面积高，购物便利，出行方便', '海天景苑  | 3室3厅 | 116.66平米 | 南 | 其他', '中楼层(共19层)2006年建塔楼  -  福莱山公园', '135万', '单价11573元/平米')
('https://image1.ljcdn.com/370600-inspection/1a139d79-5d62-41c3-a431-657af38c82a6.jpg.296x216.jpg', '华明星海湾 精装两居室 中间楼层 看房随时 房主配合！', '华明星海湾  | 2室2厅 | 84.76平米 | 南 | 其他', '高楼层(共27层)2016年建板楼  -  黄河路', '138万', '单价16282元/平米')
('https://image1.ljcdn.com/370600-inspection/82c237a7-d2e9-4942-8b5c-85947cd54eca.jpg.296x216.jpg', '黄金家园精装修南向两居配套齐全', '黄金家园  | 2室2厅 | 74.6平米 | 南 北 | 其他', '低楼层(共27层)暂无数据  -  北京中路', '80万', '单价10724元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadd5535fac-83fa-4e26-ad39-90f6f5c2d794.jpg.296x216.jpg', '三室两卫房源，居家装修，看房方便！', '天马相城三期  | 3室1厅 | 129.63平米 | 南 北 | 其他', '中楼层(共22层)2009年建板塔结合  -  万科城', '166万', '单价12806元/平米')
('https://image1.ljcdn.com/370600-inspection/e9b2149a-cf4c-46d2-833c-db2901933d66.jpg.296x216.jpg', '黄海小区 2室2厅 98万', '黄海小区  | 2室2厅 | 70.56平米 | 南 北 | 其他', '中楼层(共5层)2001年建板楼  -  星颐广场', '98万', '单价13889元/平米')
('https://image1.ljcdn.com/370600-inspection/b6bb5ac0-63c7-4e60-a8eb-50203a0f961a.jpg.296x216.jpg', '国奥天地 一居室 带装修 看房方便 户型方正 视野好！', '银和怡海国奥天地  | 1室1厅 | 58平米 | 南 | 其他', '高楼层(共29层)2016年建板楼  -  黄河路', '85万', '单价14656元/平米')
('https://image1.ljcdn.com/370600-inspection/f4f80e47-66e0-4a59-951e-fc907f78fdc5.jpg.296x216.jpg', '西打头 精装三室 全明户型 可俯瞰福莱山公园', '海信慧园西区  | 3室2厅 | 112.79平米 | 南 北 | 其他', '高楼层(共32层)2010年建板塔结合  -  高级中学', '150万', '单价13300元/平米')
('https://image1.ljcdn.com/370600-inspection/fdbf97ec-cded-4387-958f-b061a249bde3.jpg.296x216.jpg', '万泰海公馆，中间楼层，户型不错。', '万泰海公馆  | 2室1厅 | 78.47平米 | 南 | 其他', '中楼层(共32层)2008年建板楼  -  星颐广场', '95万', '单价12107元/平米')
('https://image1.ljcdn.com/370600-inspection/f33f13b6-0b9d-47ad-9db9-66b2b2854643.jpg.296x216.jpg', '房子户型方正，南厅双南卧，经典户型', '黄海小区  | 3室2厅 | 133.3平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  星颐广场', '130万', '单价9753元/平米')
('https://image1.ljcdn.com/370600-inspection/31f96aac-4d7c-414c-bfdf-155930ad7fa2.jpg.296x216.jpg', '金桥澎湖湾 大三居两卫 格局好 基础装修 能看海', '金桥澎湖湾  | 3室2厅 | 148平米 | 南 北 | 其他', '高楼层(共32层)2015年建塔楼  -  北京中路', '155万', '单价10473元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/c76f9ee9-bdf3-4b4c-8678-1137496fb353.png.280x210.jpg', '金域河畔 2室2厅 95万', '金域河畔  | 2室2厅 | 78.46平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  德胜', '95万', '单价12109元/平米')
('https://image1.ljcdn.com/370600-inspection/46672f3a-655b-4306-901e-c7c4050680e4.jpg.296x216.jpg', '产证满两年  中等装修  户型方正  中间楼层', '立雪佳苑  | 2室2厅 | 84.5平米 | 南 北 | 其他', '高楼层(共11层)2010年建板楼  -  高级中学', '118万', '单价13965元/平米')
('https://image1.ljcdn.com/370600-inspection/c2ccce6f-8fa4-4a80-baee-30a8bf0fd32a.jpg.296x216.jpg', '新上  碧海云天  毛坯房  南北通透  看房方便', '碧海云天  | 4室2厅 | 175.5平米 | 南 北 | 其他', '高楼层(共12层)2006年建板楼  -  星颐广场', '270万', '单价15385元/平米')
('https://image1.ljcdn.com/370600-inspection/51ab8814-c2f4-465f-8269-d5b44f5ebeb1.jpg.296x216.jpg', '楼层好       南卧室     南客厅', '星颐广场  | 2室1厅 | 75.08平米 | 南 | 其他', '高楼层(共30层)2015年建板楼  -  星颐广场', '115万', '单价15317元/平米')
('https://image1.ljcdn.com/370600-inspection/87b0d58c-79e8-4f03-8e15-0949201fb079.jpg.296x216.jpg', '房子是复式，上下两层一共156平，中上等装修', '香山花园  | 3室2厅 | 78平米 | 南 北 | 其他', '低楼层(共3层)2003年建板楼  -  德胜', '85万', '单价10898元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadcedcc76d-67a1-46ef-b777-b24292035916.jpg.296x216.jpg', '房子户型方正，近两年精装修，粉色框架楼', '黄海小区  | 3室2厅 | 99.6平米 | 南 北 | 其他', '高楼层(共5层)2003年建板楼  -  星颐广场', '150万', '单价15061元/平米')
('https://image1.ljcdn.com/370600-inspection/60439afb-ac2e-4305-b74d-e7c1bd0302f4.jpg.296x216.jpg', '景观楼层，可看海，采光充足，户型方正', '天马相城二期  | 1室1厅 | 73平米 | 东 | 简装', '中楼层(共26层)2009年建塔楼  -  万科城', '85万', '单价11644元/平米')
('https://image1.ljcdn.com/370600-inspection/348771b9-d0b7-47ea-824d-1726aa2643f7.jpg.296x216.jpg', '阳光海岸小高层 中间楼层 全明户型', '静海阳光海岸  | 2室2厅 | 96.68平米 | 南 北 | 其他', '中楼层(共11层)2003年建板楼  -  黄河路', '135万', '单价13964元/平米')
('https://image1.ljcdn.com/370600-inspection/9108a681-a1d1-4ce8-b793-16f82784dedb.jpg.296x216.jpg', '顶楼带阁楼，阁楼外走门，自住装修，保持很好', '金城小区  | 3室1厅 | 99.62平米 | 南 北 | 其他', '高楼层(共7层)2000年建板楼  -  星颐广场', '130万', '单价13050元/平米')
('https://image1.ljcdn.com/370600-inspection/fdf76a9c-04fa-4430-b5ec-81222e23ae48.jpg.296x216.jpg', '碧海绿洲 南北通透 环境优美 可观海 物业好 拎包入住', '金桥碧海绿洲  | 3室2厅 | 123.32平米 | 南 北 | 其他', '中楼层(共19层)2005年建板楼  -  黄河路', '185万', '单价15002元/平米')
('https://image1.ljcdn.com/370600-inspection/b19379ed-61c1-4898-a67f-7e9ec94b53fe.jpg.296x216.jpg', '北方月光兰庭 南向三居室 毛坯房 采光充足 看房方便', '北方月光兰庭  | 3室1厅 | 92.5平米 | 南 | 其他', '高楼层(共28层)2015年建板楼  -  高级中学', '125万', '单价13514元/平米')
('https://image1.ljcdn.com/370600-inspection/a128ff29-86b7-4311-a693-b8acd8dd63e5.jpg.296x216.jpg', '装修好，几乎未住，视野极好，房屋*', '东方国际  | 2室2厅 | 71.92平米 | 西北 | 其他', '中楼层(共32层)2013年建塔楼  -  福莱山公园', '67万', '单价9316元/平米')
('https://image1.ljcdn.com/370600-inspection/cb44d616-acc0-4a7f-9169-b3064f989ad8.jpg.296x216.jpg', '黄山花苑 中等装修+地下室+车库+60-70平花园，', '黄山花苑  | 3室2厅 | 130平米 | 南 北 | 其他', '低楼层(共3层)暂无数据  -  德胜', '207万', '单价15924元/平米')
('https://image1.ljcdn.com/370600-inspection/1d8c6389-bd3c-4f24-a44a-96ed86a8cc88.jpg.296x216.jpg', '南客厅 南卧室 楼层好  采光好 无贷款', '星颐广场  | 2室1厅 | 75.01平米 | 南 | 其他', '中楼层(共30层)2016年建板塔结合  -  星颐广场', '108万', '单价14399元/平米')
('https://image1.ljcdn.com/370600-inspection/57faa733-4ead-43eb-88f1-d7b2e66c8d1e.jpg.296x216.jpg', '70年大产权，纯南向，户型好，单价低', '晨光小区  | 2室1厅 | 57.32平米 | 南 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '59万', '单价10294元/平米')
('https://image1.ljcdn.com/370600-inspection/d2dd0a11-77a9-4637-b8fb-c1179fdabe05.jpg.296x216.jpg', '满五唯一，精装修，精致小两居.', '恒达大厦  | 2室1厅 | 65平米 | 西 | 其他', '中楼层(共23层)2005年建塔楼  -  德胜', '60万', '单价9231元/平米')
('https://image1.ljcdn.com/370600-inspection/15561078-d38e-4f4d-a15b-cecb128f8d46.jpg.296x216.jpg', '银海花苑 南北通透 封闭小区 采光充足 通风效果好', '银海花苑  | 3室2厅 | 126平米 | 南 北 | 其他', '低楼层(共6层)2001年建板楼  -  德胜', '160万', '单价12699元/平米')
('https://image1.ljcdn.com/370600-inspection/8d170f41-230c-4fb1-bd23-3edede48df1a.jpg.296x216.jpg', '小高层 去年精装修  家里全套家具家电全送', '栖里凤台山庄  | 2室1厅 | 84.88平米 | 南 | 其他', '高楼层(共18层)2016年建板楼  -  万达', '120万', '单价14138元/平米')
('https://image1.ljcdn.com/370600-inspection/81bbfa68-8b2b-4079-a29e-27b45bae717d.jpg.296x216.jpg', '奇章新城，框架两居室，好楼层，房主配合', '奇章新城  | 2室1厅 | 77.71平米 | 南 北 | 其他', '低楼层(共5层)2014年建板楼  -  万达', '98万', '单价12611元/平米')
('https://image1.ljcdn.com/370600-inspection/54406e58-9fb3-4c69-9c55-3fdc1f55b1b4.jpg.296x216.jpg', '低楼层 框架房 小两居 适合有老人的居住', '金胜小区  | 2室1厅 | 58平米 | 南 北 | 其他', '中楼层(共5层)1995年建板楼  -  德胜', '76万', '单价13104元/平米')
('https://image1.ljcdn.com/370600-inspection/5131ccff-4933-4413-a3b9-80b0b778317d.jpg.296x216.jpg', '三和星海花园顶加阁，带南北露台，房子有车库。', '三和星海花园  | 4室1厅 | 114.73平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  星颐广场', '180万', '单价15690元/平米')
('https://image1.ljcdn.com/370600-inspection/68f328c3-b53a-4b0a-8114-16fdc679417e.jpg.296x216.jpg', '万科城 佳世客旁 两居室 采光好', '万科城  | 2室2厅 | 79平米 | 南 北 | 其他', '高楼层(共34层)塔楼  -  万科城', '105万', '单价13292元/平米')
('https://image1.ljcdn.com/370600-inspection/4d1067f0-1323-4148-9ef8-2c36c7daab64.jpg.296x216.jpg', '静海国际公寓 1室1厅 54万', '静海国际公寓  | 1室1厅 | 52.24平米 | 北 | 其他', '中楼层(共31层)2008年建塔楼  -  德胜', '54万', '单价10337元/平米')
('https://image1.ljcdn.com/370600-inspection/4affc0ba-be84-4f20-b5e8-078921e0c400.jpg.296x216.jpg', '凤台小区交通便利，孩子上下学方便，小区生活配套齐全', '凤台小区  | 2室1厅 | 76.9平米 | 南 北 | 其他', '高楼层(共6层)1997年建板楼  -  星颐广场', '92万', '单价11964元/平米')
('https://image1.ljcdn.com/370600-inspection/ca0fbce4-ff42-4aba-a045-8d6ec8ed7bbd.jpg.296x216.jpg', '万科精装两室 户型好 楼层优越', '万科城  | 2室1厅 | 78.11平米 | 南 | 其他', '中楼层(共34层)塔楼  -  万科城', '105万', '单价13443元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload4182b3d1-8675-4811-a60b-45dc83f0d2f2.jpg.296x216.jpg', '海信天山郡南北通透三居室双卧朝南全明户型无遮挡', '海信天山郡  | 3室1厅 | 106.4平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  万达', '135万', '单价12688元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload280cfa43-7efd-49db-a6b0-94b36bcb4f6e.jpg.296x216.jpg', '天马相城四期 海景房 南北通透 高楼层采光好', '天马相城四期  | 3室1厅 | 134平米 | 南 北 | 毛坯', '高楼层(共26层)2015年建塔楼  -  万科城', '185万', '单价13806元/平米')
('https://image1.ljcdn.com/370600-inspection/caadee96-9cf6-444d-af8e-28122cde1a05.jpg.296x216.jpg', '东方国际＋南厅双南卧＋采光好＋精装修＋拎包入住', '东方国际  | 1室1厅 | 43平米 | 北 | 其他', '低楼层(共28层)2013年建塔楼  -  福莱山公园', '38万', '单价8838元/平米')
('https://image1.ljcdn.com/370600-inspection/848f5762-2846-4937-a98e-98fb54084a71.jpg.296x216.jpg', '带小棚  满五不唯一   房子入住重新装修 随意装', '金城小区  | 2室2厅 | 95.85平米 | 南 北 | 其他', '中楼层(共7层)2000年建板楼  -  星颐广场', '115万', '单价11998元/平米')
('https://image1.ljcdn.com/370600-inspection/2a930e43-3128-42d9-95bc-fbed0a2cdc5c.jpg.296x216.jpg', '北方月光兰庭+东打头+南北通透3居室+精装修', '北方月光兰庭  | 3室2厅 | 92平米 | 东 南 北 | 其他', '中楼层(共28层)2010年建板楼  -  高级中学', '145万', '单价15761元/平米')
('https://image1.ljcdn.com/370600-inspection/a0180fd8-c638-41da-94d2-3c611952e19f.jpg.296x216.jpg', '金东世纪 一室一厅  精装修 拎包入住', '金东世纪A  | 1室1厅 | 53.09平米 | 西 | 其他', '低楼层(共31层)2001年建板塔结合  -  德胜', '45万', '单价8477元/平米')
('https://image1.ljcdn.com/370600-inspection/10f18a7c-338f-439d-9a1f-6fb168fe073f.jpg.296x216.jpg', '凤台小区 简单装修送家具家电 带小棚', '凤台小区  | 3室2厅 | 97.82平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  星颐广场', '130万', '单价13290元/平米')
('https://image1.ljcdn.com/370600-inspection/d4b681a5-98eb-439d-adac-c93a5a78d3a9.jpg.296x216.jpg', '南北通透，全明户型，实木精装，视野开阔', '越秀星汇金沙  | 2室1厅 | 76.12平米 | 南 | 其他', '高楼层(共33层)2016年建板楼  -  北京中路', '97万', '单价12744元/平米')
('https://image1.ljcdn.com/370600-inspection/8a20e073-322f-4a2c-add7-619739216cca.jpg.296x216.jpg', '凤台小区 简单装修  三室一厅一厨一卫', '凤台小区  | 3室1厅 | 108平米 | 南 北 | 其他', '高楼层(共6层)2001年建板楼  -  星颐广场', '100万', '单价9260元/平米')
('https://image1.ljcdn.com/370600-inspection/d04034dd-57e6-4c99-85e9-3c7e69cf26cf.JPG.296x216.jpg', '满五不唯一，看房方便，框架低楼层，南厅南卧户型方正', '华电小区  | 2室2厅 | 88.5平米 | 南 北 | 简装', '低楼层(共6层)2001年建板楼  -  德胜', '115万', '单价12995元/平米')
('https://image1.ljcdn.com/370600-inspection/02de4c94-a2d4-40bd-b5c1-3d6edcff9297.jpg.296x216.jpg', '嵛景华城精巧一居室可改两居室。刚需必备', '嵛景华城  | 2室1厅 | 51.96平米 | 北 | 其他', '低楼层(共18层)2008年建板楼  -  福莱山公园', '55万', '单价10586元/平米')
('https://image1.ljcdn.com/370600-inspection/8d931218-788d-4c3f-aa61-ca647c8474c0.jpg.296x216.jpg', '金城小区，框架南向户型，顶加阁', '金城小区  | 1室1厅 | 46.13平米 | 南 | 其他', '高楼层(共7层)2000年建板楼  -  星颐广场', '52万', '单价11273元/平米')
('https://image1.ljcdn.com/370600-inspection/443ad1ca-6573-4a62-a766-2d78ce17c700.jpg.296x216.jpg', '华明大厦 生活方便 交通便利 成熟商圈', '华明大厦  | 1室1厅 | 31.1平米 | 南 | 其他', '低楼层(共7层)2004年建板楼  -  德胜', '27万', '单价8682元/平米')
