('https://image1.ljcdn.com/441900-inspection/95f594ca-ff2a-4e05-9a33-24ecf86fce2b.jpg.296x216.jpg', '穗莞深城际轻轨口小区  中高楼层  采光通风良好', '万豪苑  | 2室2厅 | 90.28平米 | 东 | 其他', '18层2009年建塔楼  -  长安新区', '160万', '单价17723元/平米')
('https://image1.ljcdn.com/441900-inspection/3fcd94c2-1278-4128-aa9f-d45820ef3f2c.jpg.296x216.jpg', '长福花园 2室2厅 230万', '长福花园  | 2室2厅 | 89.08平米 | 南 北 | 其他', '高楼层(共7层)1994年建板楼  -  宵边', '230万', '单价25820元/平米')
('https://image1.ljcdn.com/441900-inspection/0d8f51ee-4d80-4314-b3dd-b670c636d6ef.jpg.296x216.jpg', '健逸天地 满五唯一  成熟小区 交通便利', '健逸天地  | 3室2厅 | 128平米 | 北 | 精装', '中楼层(共23层)2005年建塔楼  -  增田', '255万', '单价19922元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload107d449c-6b98-41b7-b3a6-72e64b205884.jpg.296x216.jpg', '万达广场大阳台，户型方正，南北通透', '万达中央公馆  | 2室1厅 | 80.07平米 | 南 | 精装', '高楼层(共29层)2014年建塔楼  -  宵边', '230万', '单价28725元/平米')
('https://image1.ljcdn.com/441900-inspection/06969bae-69f0-4990-84f0-7c57d2b28a04.jpg.296x216.jpg', '中正SOHO，精装复式公寓1室1厅，环境优美，交通便利', '中正SOHO  | 1室1厅 | 38.55平米 | 北 | 其他', '低楼层(共17层)2016年建塔楼  -  宵边', '100万', '单价25941元/平米')
('https://image1.ljcdn.com/441900-inspection/4ff0576a-1df9-4986-a132-a1d87abe2148.jpg.296x216.jpg', '中惠山畔名城2房2厅高楼层朝南采光通风好  满五不唯一', '中惠山畔名城  | 2室2厅 | 79.91平米 | 南 | 其他', '中楼层(共17层)2003年建塔楼  -  中心', '230万', '单价28783元/平米')
('https://image1.ljcdn.com/441900-inspection/2e988e52-8332-4fc1-a494-eabf1b083de6.jpg.296x216.jpg', '万达旁红本精装两房，满五年免增值税', '中惠新城  | 2室2厅 | 86平米 | 西南 | 精装', '高楼层(共33层)2005年建塔楼  -  宵边', '205万', '单价23838元/平米')
('https://image1.ljcdn.com/441900-inspection/69be44e5-716c-4c48-8f2e-ad8d3ce59f4f.jpg.296x216.jpg', '满五唯一好房源，业主置换房而卖房。', '锦江花园  | 3室2厅 | 90.12平米 | 东南 | 精装', '低楼层(共7层)2005年建板楼  -  长安新区', '175万', '单价19419元/平米')
('', '家俬齐全，采光好，中高楼层，通风好', '万科金色悦府  | 2室1厅 | 77平米 | 北 | 其他', '中楼层(共32层)2015年建塔楼  -  宵边', '215万', '单价27923元/平米')
('https://image1.ljcdn.com/441900-inspection/503d149f-53e5-4ddd-ab73-2882cf671019.jpg.296x216.jpg', '此房满五年唯一，税费少，惠莞深城际轻轨线站口。', '万豪苑  | 1室1厅 | 45平米 | 南 | 其他', '18层2009年建塔楼  -  长安新区', '85万', '单价18889元/平米')
('https://image1.ljcdn.com/441900-inspection/ceffe88f-6e4d-49af-a199-908f5802566f.jpg.296x216.jpg', '长安万科中心 3室2厅 290万', '长安万科中心  | 3室2厅 | 91.12平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  中心', '290万', '单价31827元/平米')
('https://image1.ljcdn.com/441900-inspection/eb0832f6-d395-4d14-babb-3de9d4e63ac2.jpg.296x216.jpg', '君源铂尔曼公寓，单间带阳台。。。。。', '君源铂尔曼公馆  | 1室0厅 | 50.25平米 | 西 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '108万', '单价21493元/平米')
('https://image1.ljcdn.com/441900-inspection/3214d213-3a1e-480f-842a-9b9c2710cec8.jpg.296x216.jpg', '此房满五唯一、精装修、保养很好', '阳光国际商城  | 1室1厅 | 51.22平米 | 北 | 其他', '中楼层(共30层)2006年建塔楼  -  宵边', '130万', '单价25381元/平米')
('', '房子满五唯一，业主广东省唯一一套房', '富兴苑  | 3室2厅 | 137平米 | 南 | 其他', '高楼层(共6层)2004年建板楼  -  长安新区', '204万', '单价14891元/平米')
('https://image1.ljcdn.com/441900-inspection/6d1e4e8e-8113-43c4-95d7-a9189e3bb71c.jpg.296x216.jpg', '长安配套齐全小区，位置安静看花园', '莲花苑  | 4室2厅 | 169.57平米 | 东南 | 其他', '中楼层(共12层)2003年建塔楼  -  中心', '320万', '单价18872元/平米')
('https://image1.ljcdn.com/441900-inspection/0b3976c2-1265-45eb-89f2-e1f844f12748.jpg.296x216.jpg', '保养比较好，户型方正，看房方便  满两年房子', '君源铂尔曼公馆  | 1室0厅 | 45平米 | 南 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '90万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/6aeaa86e-ccf8-4baa-a04a-c835d11b7d23.jpg.296x216.jpg', '君源铂尔曼，满五不唯一，一房一厅真正出售中。。。。', '君源铂尔曼公馆  | 1室1厅 | 46.7平米 | 东 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '102万', '单价21842元/平米')
('https://image1.ljcdn.com/441900-inspection/056a5193-e3e0-429f-b0d8-0a2d298bb7cd.jpg.296x216.jpg', '健逸天地 温馨三室两厅  低楼层 诚心出售', '健逸天地  | 3室2厅 | 127.42平米 | 北 | 精装', '低楼层(共23层)2005年建塔楼  -  增田', '260万', '单价20405元/平米')
('https://image1.ljcdn.com/441900-inspection/c765a228-7048-41aa-925a-5131bd23e239.jpg.296x216.jpg', '四季豪园大五房，采光通风好，业主诚心出售', '四季豪园  | 5室2厅 | 172平米 | 南 | 其他', '中楼层(共32层)2010年建塔楼  -  增田', '570万', '单价33140元/平米')
('https://image1.ljcdn.com/441900-inspection/1e2cf303-b67f-40df-9b44-05d67c8f2ad5.jpg.296x216.jpg', '莲花苑 5室2厅 330万', '莲花苑  | 5室2厅 | 194.36平米 | 南 | 精装', '高楼层(共6层)2003年建板楼  -  中心', '330万', '单价16979元/平米')
('https://image1.ljcdn.com/441900-inspection/591ec54c-021a-4172-8e48-ec5e9ba970e3.jpg.296x216.jpg', '滨海新区高楼层装修三房，业主诚心出售', '金沙花园  | 3室2厅 | 117平米 | 南 | 其他', '高楼层(共17层)2009年建塔楼  -  长安新区', '292万', '单价24958元/平米')
('https://image1.ljcdn.com/441900-inspection/f9111fa5-cf7f-41c3-ad93-b153fd688880.jpg.296x216.jpg', '万达广场 高楼层两房 采光通风好 拎包入住', '万达中央公馆  | 2室1厅 | 80.84平米 | 南 | 精装', '高楼层(共29层)2014年建塔楼  -  宵边', '227万', '单价28081元/平米')
('https://image1.ljcdn.com/441900-inspection/4d68adf3-32d7-4912-9074-79c926215fe6.jpg.296x216.jpg', '滨海新区君源铂尔曼满五年业主诚心出售', '君源铂尔曼公馆  | 1室0厅 | 40.08平米 | 北 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '100万', '单价24951元/平米')
('https://image1.ljcdn.com/441900-inspection/76221998-6177-42e2-a661-97d326a44a4c.jpg.296x216.jpg', '房子满五不唯一，可看莲花湖全景。', '陶然豪园  | 3室2厅 | 157.97平米 | 南 | 精装', '高楼层(共30层)2005年建塔楼  -  宵边', '550万', '单价34817元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5edfe357-b272-45b9-abc3-c017f93e5812.jpg.296x216.jpg', '金沙花园朝北三居 业主诚意出售 随时可看', '金沙花园  | 3室2厅 | 98平米 | 北 | 其他', '中楼层(共11层)2009年建塔楼  -  长安新区', '252万', '单价25715元/平米')
('', '精装1房一厅，采光通风良好，视野开阔，适合刚需客。', '中正SOHO  | 1室1厅 | 38平米 | 东 | 其他', '低楼层(共17层)2016年建塔楼  -  宵边', '98万', '单价25790元/平米')
('https://image1.ljcdn.com/441900-inspection/41f4c9aa-29cd-4bf6-94a5-820dec5ee158.jpg.296x216.jpg', '滨海新区 满五唯一 免双税  业主诚心出售 长安花园', '长安花园  | 2室2厅 | 78.26平米 | 南 | 精装', '中楼层(共11层)2010年建塔楼  -  长安新区', '198万', '单价25301元/平米')
('https://image1.ljcdn.com/441900-inspection/0ae567a9-6ed2-40ca-847f-905026034b4b.jpg.296x216.jpg', '万达广场 精装2房 业主诚心卖 看房随时', '万达中央公馆  | 2室1厅 | 81平米 | 东南 | 其他', '低楼层(共29层)2014年建塔楼  -  宵边', '220万', '单价27161元/平米')
('https://image1.ljcdn.com/441900-inspection/2fafcbfb-2d3d-41de-b065-82ae3426e936.jpg.296x216.jpg', '中惠山畔名城四房 楼层朝向好 业主承担个税出售', '中惠山畔名城  | 4室2厅 | 147平米 | 东南 | 精装', '中楼层(共31层)2003年建塔楼  -  中心', '398万', '单价27075元/平米')
('https://image1.ljcdn.com/441900-inspection/18a9a581-4e51-440f-8a72-7fa8b5769526.jpg.296x216.jpg', '万科物业220万精装两房，业主诚心出售。', '长安万科中心  | 2室2厅 | 71平米 | 北 | 其他', '低楼层(共18层)2013年建塔楼  -  中心', '230万', '单价32395元/平米')
('https://image1.ljcdn.com/441900-inspection/dc0d670c-b729-4ad5-aad7-617ee1f2a081.jpg.296x216.jpg', '健逸天地精装四房改三房业主诚意出售', '健逸天地  | 3室2厅 | 136.47平米 | 北 | 其他', '低楼层(共18层)2005年建塔楼  -  增田', '280万', '单价20518元/平米')
('https://image1.ljcdn.com/441900-inspection/216d48c5-c4c3-4cbb-b6a8-7172b8c0fd8c.jpg.296x216.jpg', '满五唯一.红本在手.高楼层景观房。', '明珠广场  | 3室2厅 | 137.82平米 | 东南 | 精装', '低楼层(共29层)2006年建塔楼  -  中心', '320万', '单价23219元/平米')
('', '信义怡翠豪园 2室2厅 230万', '信义怡翠豪园  | 2室2厅 | 83平米 | 东南 南 北 东北 | 精装', '中楼层(共26层)2008年建塔楼  -  咸西', '230万', '单价27711元/平米')
('https://image1.ljcdn.com/441900-inspection/865fcf8a-ca79-4df1-b7af-74f110252e6e.jpg.296x216.jpg', '健逸天地3房2厅，业主诚心出售。', '健逸天地  | 3室2厅 | 104.84平米 | 东北 | 其他', '中楼层(共20层)2005年建塔楼  -  增田', '220万', '单价20985元/平米')
('https://image1.ljcdn.com/441900-inspection/c8feb1e7-9353-45ff-b683-3b5167b43d27.jpg.296x216.jpg', '莲花E区2房2厅 户型方正 房子新装修 看房方便', '莲花E区  | 2室1厅 | 87.8平米 | 南 | 其他', '低楼层(共7层)1998年建板楼  -  咸西', '165万', '单价18793元/平米')
('https://image1.ljcdn.com/441900-inspection/5684e9ba-5389-4f64-a2d9-690d0e6b3a99.jpg.296x216.jpg', '滨海湾新区满五唯一长安花园精装修两房 业主诚心出售', '长安花园  | 2室1厅 | 78.22平米 | 北 | 其他', '低楼层(共13层)2010年建塔楼  -  长安新区', '192万', '单价24547元/平米')
('https://image1.ljcdn.com/441900-inspection/748ba03e-009a-4f42-9c7e-86314c364da8.jpg.296x216.jpg', '长安花园温馨三房，业主诚意出售。', '长安花园  | 3室2厅 | 93平米 | 北 | 其他', '中楼层(共15层)2010年建塔楼  -  长安新区', '232.5万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/ac8a36aa-6138-4f46-86b6-95b7a7af7162.jpg.296x216.jpg', '万科金色悦府 2室1厅 215万', '万科金色悦府  | 2室1厅 | 77平米 | 北 | 其他', '中楼层(共32层)2015年建塔楼  -  宵边', '215万', '单价27923元/平米')
('https://image1.ljcdn.com/441900-inspection/91ed6bce-8c5c-46bc-bdb6-c523db22a164.jpg.296x216.jpg', '万达2+1户型，房子满五年，家私电齐拎包入住', '万达中央公馆  | 2室2厅 | 90.32平米 | 北 | 精装', '中楼层(共24层)2014年建塔楼  -  宵边', '245万', '单价27126元/平米')
('https://image1.ljcdn.com/441900-inspection/6777e5c6-dfea-4b1f-b499-830d2648e729.jpg.296x216.jpg', '长安花园满五唯一简装两房诚心出售，带花园可改小三房', '长安花园  | 2室2厅 | 75.49平米 | 南 北 | 其他', '中楼层(共11层)2010年建塔楼  -  长安新区', '195万', '单价25832元/平米')
('https://image1.ljcdn.com/441900-inspection/7f8e14dc-d7ec-4122-b3b3-72246b38b637.jpg.296x216.jpg', '此房满五唯一免双税，高楼层朝南，通风采光效果好', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 南 | 精装', '中楼层(共25层)2013年建塔楼  -  长安新区', '96万', '单价20947元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload558076f3-41bf-48cd-b666-f5b55e83f167.jpg.296x216.jpg', '满五唯一  税费低  户型方正 户型是一卧室+一书房', '沃多夫酒店公寓  | 2室1厅 | 60.43平米 | 东 | 精装', '高楼层(共32层)2009年建塔楼  -  咸西', '170万', '单价28132元/平米')
('https://image1.ljcdn.com/441900-inspection/411c8ae1-79f5-494c-8c79-cf3244fa7d3c.jpg.296x216.jpg', '满五不唯一少增值税，中间楼层采光好，业主好说话。', '君源铂尔曼公馆  | 1室0厅 | 40平米 | 南 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '80万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/586d5563-8606-4591-a794-6bfbf7132514.jpg.296x216.jpg', '滨海湾新区长安花园带装修朝南满五唯一免双税', '长安花园  | 2室2厅 | 81.33平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '223万', '单价27420元/平米')
('https://image1.ljcdn.com/441900-inspection/aa67cf2b-0d1f-4121-abc9-56e355af325b.jpg.296x216.jpg', '明珠广场 沃尔玛楼上 精装大2房 赠送大花园 红本在手', '明珠广场  | 2室2厅 | 109.77平米 | 北 | 其他', '低楼层(共28层)2006年建塔楼  -  中心', '245万', '单价22320元/平米')
('https://image1.ljcdn.com/441900-inspection/f0a32887-1082-4102-a8c9-da05f4971204.jpg.296x216.jpg', '房子价格优惠，不唯一，主要是很实惠哦！！！', '富兴苑  | 3室1厅 | 85.48平米 | 南 | 其他', '高楼层(共7层)2003年建板楼  -  长安新区', '120万', '单价14039元/平米')
('https://image1.ljcdn.com/441900-inspection/0fff4f72-50b6-49fb-900e-3bb43b4f12e1.jpg.296x216.jpg', '满五年免增税3房两厅 一期开发 带空中花园（赠送）', '健逸天地  | 3室2厅 | 113平米 | 西北 | 其他', '低楼层(共18层)2005年建塔楼  -  增田', '208万', '单价18408元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload390454a8-7ad3-4fc0-ae53-6f7965177db3.jpg.296x216.jpg', '精装修 高楼层 视野好 业主诚心出售', '沃多夫酒店公寓  | 1室1厅 | 43.22平米 | 南 | 其他', '中楼层(共32层)2009年建塔楼  -  咸西', '95万', '单价21981元/平米')
('https://image1.ljcdn.com/441900-inspection/f7a76f3d-840a-4111-9982-1a2fe145d7cd.jpg.296x216.jpg', '长安花园，满五唯一免双税，正在出售中', '长安花园  | 3室1厅 | 76.37平米 | 北 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '210万', '单价27498元/平米')
('', '长安万科满五年唯一业主诚心出售住家装修免双税', '长安万科中心  | 2室1厅 | 70平米 | 南 | 其他', '低楼层(共18层)2013年建塔楼  -  中心', '206万', '单价29429元/平米')
('https://image1.ljcdn.com/441900-inspection/456878bd-4d66-4e36-801b-b523f329e3dc.jpg.296x216.jpg', '滨海湾新区    精准四房   南北通透', '金沙花园  | 4室2厅 | 153平米 | 南 北 | 其他', '高楼层(共17层)2009年建塔楼  -  长安新区', '400万', '单价26144元/平米')
('', '房子价格优惠，不唯一，主要是很实惠哦！！！', '富兴苑  | 2室1厅 | 85.68平米 | 南 | 其他', '高楼层(共6层)2004年建板楼  -  长安新区', '120万', '单价14006元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload34632e4e-3019-4260-8ddb-a14600403b32.jpg.296x216.jpg', '滨海湾新区君源铂尔曼满五唯一勉双税', '君源铂尔曼公馆  | 1室0厅 | 44.3平米 | 北 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '96万', '单价21671元/平米')
('https://image1.ljcdn.com/441900-inspection/60172214-d009-4c1b-9ddd-ba207be3be8b.jpg.296x216.jpg', '此房户型好，楼层好，视野开阔，通透采光，交通便利。', '君源铂尔曼公馆  | 1室0厅 | 46.18平米 | 北 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '100万', '单价21655元/平米')
('https://image1.ljcdn.com/441900-inspection/8f6464fd-3c1d-41e9-8228-141e8e73b506.jpg.296x216.jpg', '精装一房 复式公寓 朝向西 交通便利', '中正SOHO  | 1室1厅 | 38平米 | 西 | 精装', '中楼层(共17层)2016年建塔楼  -  宵边', '100万', '单价26316元/平米')
('', '滨海新区3房，南北通透，免增值税，业主诚心出售', '金沙花园  | 3室2厅 | 99平米 | 南 | 其他', '中楼层(共11层)2009年建塔楼  -  长安新区', '263万', '单价26566元/平米')
('https://image1.ljcdn.com/441900-inspection/558a0c87-682b-44a3-bf2f-7db17ecf3107.jpg.296x216.jpg', '锦江花园中高层电梯房，满五唯一税费低  看房方便', '锦江花园  | 2室2厅 | 110.79平米 | 东南 南 | 精装', '中楼层(共16层)2005年建塔楼  -  长安新区', '248万', '单价22385元/平米')
('', '万科金色悦府 3室2厅 285万', '万科金色悦府  | 3室2厅 | 95.45平米 | 南 | 其他', '低楼层(共32层)2015年建塔楼  -  宵边', '285万', '单价29859元/平米')
('https://image1.ljcdn.com/441900-inspection/48d16410-d626-42fa-9f98-61390b957acf.jpg.296x216.jpg', '此房位置好,红本在手，产权清晰，业主诚心出售', '健逸天地  | 2室2厅 | 86平米 | 西南 | 其他', '中楼层(共20层)2005年建塔楼  -  增田', '188万', '单价21861元/平米')
('https://image1.ljcdn.com/441900-inspection/6c0c5fd3-ef6b-48d8-b2b0-d46fd45e3d3f.jpg.296x216.jpg', '长安复式公寓  独立厨房卫生间  精装朝南一房一厅', '中正SOHO  | 1室1厅 | 38平米 | 南 | 其他', '中楼层(共17层)2016年建塔楼  -  宵边', '108万', '单价28422元/平米')
('https://image1.ljcdn.com/441900-inspection/8d6487d3-a86c-4866-9c1c-6deb97bf3ba7.jpg.296x216.jpg', '户型方正使用率高，带精装修采光通风 ，业主诚心出售', '沃多夫酒店公寓  | 1室1厅 | 62平米 | 东北 | 其他', '低楼层(共31层)2009年建塔楼  -  咸西', '145万', '单价23388元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5f442cb7-ced5-4211-8cf1-86fb32ee07da.jpg.296x216.jpg', '滨海湾新区君源铂尔曼公馆满五唯一免双税', '君源铂尔曼公馆  | 1室0厅 | 42.69平米 | 南 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '100万', '单价23425元/平米')
('https://image1.ljcdn.com/441900-inspection/984bb393-b5d3-4e89-94ee-cc1ffe07176a.jpg.296x216.jpg', '咸西商圈 莲花广场 房大高层 视野开阔', '莲花广场  | 4室2厅 | 205.7平米 | 北 | 其他', '高楼层(共26层)2003年建塔楼  -  咸西', '490万', '单价23822元/平米')
('https://image1.ljcdn.com/441900-inspection/a09e771b-5c34-4b0b-874a-2c7f3305e5d1.jpg.296x216.jpg', '精装一房   复式公寓  正南朝向   交通便利', '中正SOHO  | 1室1厅 | 38平米 | 南 | 其他', '中楼层(共17层)2016年建塔楼  -  宵边', '108万', '单价28422元/平米')
('https://image1.ljcdn.com/441900-inspection/4df0868d-2f91-4d71-86da-5d44ec0d5de3.jpg.296x216.jpg', '标准2房精装修，拧包入住 视野宽阔。', '万科金色悦府  | 2室1厅 | 76.86平米 | 北 | 精装', '中楼层(共25层)2015年建塔楼  -  宵边', '235万', '单价30576元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbaa6b144-9c43-4689-80a4-59c3ef58c8ce.jpg.296x216.jpg', '滨海湾新区精装单间业主诚心出售', '君源铂尔曼公馆  | 1室0厅 | 43平米 | 北 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '86万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/7d36dc87-1f0a-40c3-9004-688aabb16c69.jpg.296x216.jpg', '明珠广场大三房，装修好，看花园', '明珠广场  | 3室2厅 | 138.29平米 | 西 | 精装', '中楼层(共28层)2006年建塔楼  -  中心', '345万', '单价24948元/平米')
('https://image1.ljcdn.com/441900-inspection/268e37a7-f2b0-4ca0-af51-3d66a0863b15.jpg.296x216.jpg', '长安电梯房满两年免增值税，业主诚心出售', '长青城  | 2室2厅 | 89.5平米 | 东南 | 其他', '中楼层(共23层)1996年建塔楼  -  咸西', '140万', '单价15643元/平米')
('https://image1.ljcdn.com/441900-inspection/8b5bbc81-58b9-4a1c-ba7c-a135b9a872e9.jpg.296x216.jpg', '中正SOHO  精装复式公寓  安静幽美，温馨舒适', '中正SOHO  | 1室1厅 | 38平米 | 东南 | 其他', '高楼层(共17层)2016年建塔楼  -  宵边', '108万', '单价28422元/平米')
('https://image1.ljcdn.com/441900-inspection/06793862-6bed-474c-9244-32d341d4196a.jpg.296x216.jpg', '保准2房带家私家电出售，方便可以随时入住。', '万达中央公馆  | 2室1厅 | 79.26平米 | 南 | 精装', '高楼层(共31层)2014年建塔楼  -  宵边', '235万', '单价29650元/平米')
('https://image1.ljcdn.com/441900-inspection/ca509c41-9f7b-4416-9e5a-1092f7918670.jpg.296x216.jpg', '滨海湾新区  君源铂尔曼公馆  满二 精装修一房', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 北 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '86.8万', '单价18940元/平米')
('https://image1.ljcdn.com/441900-inspection/4e04868e-b388-4dd2-96ea-c779636aeca6.jpg.296x216.jpg', '滨海新区带租约精装两房，高楼层视野宽阔，可看海景', '金沙花园  | 2室1厅 | 75.47平米 | 南 | 其他', '高楼层(共11层)2009年建塔楼  -  长安新区', '195万', '单价25839元/平米')
('https://image1.ljcdn.com/441900-inspection/ae0e0bc3-5f2b-41de-b0b9-9f3615f93278.jpg.296x216.jpg', '三室两厅两卫，属于高层，通风很好，朝南阳光充足。', '健逸天地  | 3室2厅 | 115平米 | 南 | 其他', '高楼层(共18层)2005年建塔楼  -  增田', '275万', '单价23914元/平米')
('https://image1.ljcdn.com/441900-inspection/1d600e3e-e47a-4449-b317-873984bb15fc.jpg.296x216.jpg', '沃多夫酒店公寓 满两年 业主诚心出售', '沃多夫酒店公寓  | 1室1厅 | 61平米 | 东南 | 其他', '高楼层(共32层)2009年建塔楼  -  咸西', '156万', '单价25574元/平米')
('https://image1.ljcdn.com/441900-inspection/c717b2c4-0427-4b7a-ae44-01b350b9c3af.jpg.296x216.jpg', '户型方正，采光好，交通便利，配套成熟', '健逸天地  | 4室2厅 | 132平米 | 北 | 其他', '高楼层(共18层)2005年建塔楼  -  增田', '238万', '单价18031元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf7fc8f50-3e27-4897-9670-69789c204bc9.jpg.296x216.jpg', '满五年不唯一免增值税，中间楼层采光通风性好，好沟通', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 北 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '95万', '单价20729元/平米')
('https://image1.ljcdn.com/441900-inspection/66127fe6-6bf5-4bdd-a029-a53bfe82d984.jpg.296x216.jpg', '中惠新城 长安万达旁精装大三房', '中惠新城  | 3室2厅 | 143.45平米 | 东南 | 精装', '低楼层(共33层)2005年建塔楼  -  宵边', '300万', '单价20914元/平米')
('https://image1.ljcdn.com/441900-inspection/9adcccd1-04e4-4bce-85c4-8bff49026e56.jpg.296x216.jpg', '此户型采光充足，通风效果好，房子装修保养好。', '长安花园  | 3室2厅 | 92.16平米 | 北 | 其他', '低楼层(共18层)2010年建塔楼  -  长安新区', '230万', '单价24957元/平米')
('https://image1.ljcdn.com/441900-inspection/ebc9e4d7-7b75-4dd3-a414-a96a529350c3.jpg.296x216.jpg', '万豪苑 2室2厅 170万', '万豪苑  | 2室2厅 | 83.43平米 | 南 | 其他', '高楼层(共12层)2009年建塔楼  -  长安新区', '170万', '单价20377元/平米')
('https://image1.ljcdn.com/441900-inspection/df7581e8-1064-454b-b6a1-828556781e79.jpg.296x216.jpg', '长安莲花苑小区成熟地段，完善的配套设施。', '莲花苑  | 4室2厅 | 186平米 | 南 | 精装', '高楼层(共12层)2003年建塔楼  -  中心', '380万', '单价20431元/平米')
('https://image1.ljcdn.com/441900-inspection/5e4bcd58-d580-4374-81e9-698968010d08.jpg.296x216.jpg', '采光好，电梯房，交通便利，满五唯一，免双税。', '锦江花园  | 4室2厅 | 133.3平米 | 北 | 其他', '中楼层(共16层)2005年建板楼  -  长安新区', '266万', '单价19955元/平米')
('https://image1.ljcdn.com/441900-inspection/b8e73c5a-1545-432c-92c8-19230f30f6c3.jpg.296x216.jpg', '万豪苑 1室0厅 63万', '万豪苑  | 1室0厅 | 33.45平米 | 东南 | 其他', '18层2009年建塔楼  -  长安新区', '63万', '单价18835元/平米')
('https://image1.ljcdn.com/441900-inspection/4a214fdb-5a62-4cb0-93d9-96141f1aed23.jpg.296x216.jpg', '阳光国际商城，两房两厅，中高楼层，满五年', '阳光国际商城  | 2室2厅 | 76.94平米 | 东 | 其他', '高楼层(共17层)2006年建塔楼  -  宵边', '172万', '单价22356元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload6194d524-3e66-4d85-8b6e-cc289d6b094e.jpg.296x216.jpg', '满五唯一免双税，城市花园大四房', '长安城市花园  | 4室2厅 | 152.87平米 | 南 | 精装', '低楼层(共16层)2003年建塔楼  -  增田', '280万', '单价18317元/平米')
('https://image1.ljcdn.com/441900-inspection/6bea8e70-dc7a-460a-b02d-80cd5f02bf7f.jpg.296x216.jpg', '滨海湾新区  君源铂尔曼公馆 单间 满五唯一无欠款', '君源铂尔曼公馆  | 1室0厅 | 47平米 | 南 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '110万', '单价23405元/平米')
('https://image1.ljcdn.com/441900-inspection/aea2a1d8-9ca7-4ab5-9d7b-806b4c1b7322.jpg.296x216.jpg', '此房满两年，银行无欠款，中高楼层，采光通风效果好', '君源铂尔曼公馆  | 1室0厅 | 40.08平米 | 北 | 精装', '低楼层(共25层)2013年建塔楼  -  长安新区', '84万', '单价20959元/平米')
('', '长安公园 满五唯一税费少  业主诚心出售钻利花园别墅', '钻利花园   | 独栋别墅 | 6室2厅 | 337.8平米 | 东南 | 精装', '1层2002年建暂无数据  -  增田', '600万', '单价17762元/平米')
('https://image1.ljcdn.com/441900-inspection/ca9d042f-835e-4d9b-9df9-00b143b1f5e3.jpg.296x216.jpg', '长安花园 满二 舒适两房 业主诚意出售', '长安花园  | 2室2厅 | 78.17平米 | 东南 | 其他', '中楼层(共11层)2010年建塔楼  -  长安新区', '190万', '单价24306元/平米')
('https://image1.ljcdn.com/441900-inspection/0005c578-8c1c-4068-b114-8ecac4f65d4d.jpg.296x216.jpg', '精装修2房，小区安全性强， 视野良好 看莲花山', '万科金色悦府  | 2室2厅 | 77平米 | 北 | 精装', '低楼层(共32层)2015年建塔楼  -  宵边', '208万', '单价27013元/平米')
('https://image1.ljcdn.com/441900-inspection/36e2986b-0a10-4cea-a201-fd843f5f49ae.jpg.296x216.jpg', '万达中央公馆 2室2厅 220万', '万达中央公馆  | 2室2厅 | 82平米 | 南 | 其他', '低楼层(共31层)2014年建塔楼  -  宵边', '220万', '单价26830元/平米')
('https://image1.ljcdn.com/441900-inspection/7a277ca3-2e22-4dd4-b63e-a64bf504b386.jpg.296x216.jpg', '业主自住房子，装修保养好。采光好。', '万豪苑  | 1室1厅 | 48.8平米 | 东 | 其他', '高楼层(共12层)2009年建塔楼  -  长安新区', '85万', '单价17419元/平米')
