('https://image1.ljcdn.com/340100-inspection/dc1c6217-f3b8-4225-8a9d-f628a7042745.jpg.296x216.jpg', '纯毛坯三房，南北通透，送产权车位，', '蓝鼎星河府  | 3室2厅 | 122.76平米 | 南 北 | 其他', '低楼层(共31层)2013年建塔楼  -  周谷堆', '197万', '单价16048元/平米')
('https://image1.ljcdn.com/340100-inspection/d30e96b9-e12e-40fe-9725-bfb4efd879d5.jpg.296x216.jpg', '精装修15万全送 采光无遮挡 双阳台朝南', '万振逍遥苑四期  | 2室2厅 | 85.27平米 | 南 | 其他', '高楼层(共34层)2008年建板楼  -  周谷堆', '134.9万', '单价15821元/平米')
('https://image1.ljcdn.com/340100-inspection/a96527e1-23dd-43a6-ae77-52d7047c60e0.jpg.296x216.jpg', '曙宏新村 2室1厅 90万', '曙宏新村  | 2室1厅 | 60.2平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  常青', '90万', '单价14951元/平米')
('https://image1.ljcdn.com/340100-inspection/a8e313d0-7b18-4233-ae7d-31f050cfbbe4.jpg.296x216.jpg', '精装一居室 带燃气 明厨明卫 户型方正', '环宇大厦  | 1室1厅 | 40.68平米 | 西南 | 其他', '高楼层(共31层)2000年建塔楼  -  周谷堆', '57万', '单价14012元/平米')
('https://image1.ljcdn.com/340100-inspection/a3600cbb-ac63-445d-99a5-cc4bfb58ba27.jpg.296x216.jpg', '海顿公馆 好位置 绿化围绕 改善大四房 采光无遮挡', '绿地海顿公馆B  | 4室2厅 | 165.02平米 | 南 北 | 其他', '低楼层(共33层)2010年建板楼  -  周谷堆', '330万', '单价19998元/平米')
('https://image1.ljcdn.com/340100-inspection/03cb9090-09d6-44d4-a578-fd6cb462e4a1.jpg.296x216.jpg', '小区中间 电梯三房  南北通透  业主急售  看房方便', '绿地海顿公馆A  | 3室1厅 | 138.03平米 | 南 北 | 其他', '中楼层(共18层)2010年建板楼  -  周谷堆', '265万', '单价19199元/平米')
('https://image1.ljcdn.com/340100-inspection/340aad09-35f3-43d2-956d-68792c89a305.jpg.296x216.jpg', '中间楼层 客厅主卧朝南 视野采光无遮挡 楼层好 纯毛坯', '文昌雅居  | 3室2厅 | 91.52平米 | 南 | 其他', '低楼层(共28层)2012年建塔楼  -  周谷堆', '123万', '单价13440元/平米')
('https://image1.ljcdn.com/340100-inspection/fe92233b-23f2-4483-b708-34671b07b4b9.jpg.296x216.jpg', '海顿公馆子母套精装修保养好使用面积足带地暖房东诚售', '绿地海顿公馆C  | 3室2厅 | 136.56平米 | 南 北 | 其他', '低楼层(共33层)2009年建板楼  -  周谷堆', '270万', '单价19772元/平米')
('https://image1.ljcdn.com/340100-inspection/5cafac6e-c6ac-4563-8980-d82db6807f5c.jpg.296x216.jpg', '高压开关厂宿舍 2室1厅 61.58平米', '高压开关厂宿舍  | 2室1厅 | 61.58平米 | 南 | 毛坯', '高楼层(共7层)2000年建板楼  -  包公', '107万', '单价17376元/平米')
('https://image1.ljcdn.com/340100-inspection/ebdb4388-5a0e-42ac-b784-37dfb620fda7.jpg.296x216.jpg', '万振逍遥苑四期 精装2房 南北通透 采光通风好', '万振逍遥苑四期  | 2室2厅 | 104.22平米 | 南 北 | 其他', '中楼层(共9层)2008年建板楼  -  周谷堆', '167.5万', '单价16072元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload3394601f-6d2b-4e2d-aa81-61a6d8993496.jpg.296x216.jpg', '全明户型，采光充足，业主诚意出售', '文昌雅居  | 3室1厅 | 92.18平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  周谷堆', '128万', '单价13886元/平米')
('https://image1.ljcdn.com/340100-inspection/ebda4f23-b0b9-413d-8272-4780d416f52a.jpg.296x216.jpg', '望湖城福桂苑 位置安静 不沿马路 采光好 业主诚心出售', '望湖城桂香居福桂苑  | 4室2厅 | 170.54平米 | 南 北 | 简装', '低楼层(共18层)2010年建板楼  -  望湖', '335万', '单价19644元/平米')
('https://image1.ljcdn.com/340100-inspection/d9d5dcd8-aa93-4c18-b7fe-7f70f28bad93.jpg.296x216.jpg', '小区高绿化市政供暖静音楼栋采光好满五省税好房急售', '元一柏庄  | 3室2厅 | 97.75平米 | 南 | 其他', '低楼层(共18层)2008年建板楼  -  周谷堆', '158万', '单价16164元/平米')
('https://image1.ljcdn.com/340100-inspection/6886a5d4-310b-4c9b-ba31-7b9b03c24e60.jpg.296x216.jpg', '精装修，大三房，采光充足，看房方便，诚心出售。', '元一柏庄  | 3室2厅 | 133.67平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  周谷堆', '215万', '单价16085元/平米')
('https://image1.ljcdn.com/340100-inspection/36bd0a3b-8a69-4c68-8a65-db8de265b52c.jpg.296x216.jpg', '创景花园方正小两室 满二 楼层好视野开阔 拎包入住', '创景花园  | 2室1厅 | 57.08平米 | 西 | 其他', '中楼层(共30层)2011年建塔楼  -  芜湖路', '107万', '单价18746元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload637fea7f-690b-4962-88bb-a70c1857ee25.jpg.296x216.jpg', '柏林春天 3室2厅 180万', '柏林春天  | 3室2厅 | 127.27平米 | 南 | 其他', '中楼层(共18层)2007年建塔楼  -  包公', '180万', '单价14144元/平米')
('https://image1.ljcdn.com/340100-inspection/4f705d94-0cd0-4e2f-88c6-8430eba21645.jpg.296x216.jpg', '碧湖云溪 3室2厅 235万', '碧湖云溪  | 3室2厅 | 146.08平米 | 南 北 | 其他', '低楼层(共18层)2013年建板楼  -  周谷堆', '235万', '单价16088元/平米')
('https://image1.ljcdn.com/340100-inspection/141fb7b5-b499-4fe9-b2bb-c1055df17939.jpg.296x216.jpg', '蓝鼎星河府，简装三居，楼层好，全天无遮挡看房方便', '蓝鼎星河府  | 3室2厅 | 96.84平米 | 南 | 其他', '高楼层(共45层)2013年建塔楼  -  周谷堆', '168万', '单价17349元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf8ffe313-d576-47fc-bd71-a084cda749d8.jpg.296x216.jpg', '世纪阳光花园  电梯复式  拎包住 不临街', '世纪阳光花园红阳苑  | 4室2厅 | 158.76平米 | 南 北 | 其他', '高楼层(共18层)2008年建板楼  -  包公', '280万', '单价17637元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6098052b-e283-48de-8b7e-da9cd7fc77a5.jpg.296x216.jpg', '一环内巢小48中本部  正规一居室 总价低 楼层采光好', '金湾嘉园  | 1室1厅 | 59.77平米 | 南 | 其他', '中楼层(共32层)2005年建塔楼  -  包公', '89万', '单价14891元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadfe7eee45-5358-4d2b-8e07-859b04ead5e6.jpg.296x216.jpg', '联邦花园 3室1厅 175万', '联邦花园  | 3室1厅 | 108平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  周谷堆', '175万', '单价16204元/平米')
('https://image1.ljcdn.com/340100-inspection/acdca926-0683-4fb1-bda2-2d8730b39982.jpg.296x216.jpg', '国贸公寓，人车分流小区，市政供暖', '国贸公寓  | 3室2厅 | 137.69平米 | 南 | 其他', '高楼层(共28层)2008年建塔楼  -  周谷堆', '225万', '单价16342元/平米')
('https://image1.ljcdn.com/340100-inspection/ee72c9bb-fe88-46e7-a34d-aae245625f92.jpg.296x216.jpg', '元一柏庄 4室2厅 275万', '元一柏庄  | 4室2厅 | 151.13平米 | 南 北 | 其他', '中楼层(共18层)2008年建板楼  -  周谷堆', '275万', '单价18197元/平米')
('https://image1.ljcdn.com/340100-inspection/9fcf04d4-7021-43f8-bc95-7f0d117e3886.jpg.296x216.jpg', '名都花园 2室2厅 158万', '名都花园  | 2室2厅 | 133.98平米 | 南 | 其他', '中楼层(共9层)2007年建板楼  -  常青', '158万', '单价11793元/平米')
('https://image1.ljcdn.com/340100-inspection/0660d4fe-d3a7-4448-996f-708af72f6cd2.jpg.296x216.jpg', '联邦花园 2室1厅 168万', '联邦花园  | 2室1厅 | 100.2平米 | 南 | 其他', '低楼层(共11层)2009年建板楼  -  周谷堆', '168万', '单价16767元/平米')
('https://image1.ljcdn.com/340100-inspection/cbe45b40-6e8c-4ec7-891d-953a6933c9a5.jpg.296x216.jpg', '金悦领地，新上小四室，精装修，南北通透', '金悦领地  | 4室2厅 | 88.28平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  周谷堆', '172万', '单价19484元/平米')
('https://image1.ljcdn.com/340100-inspection/1b604b12-4cb0-463c-b99d-5d1757ee9917.jpg.296x216.jpg', '阳光A区 3室2厅 86万', '阳光A区  | 3室2厅 | 51.38平米 | 南 | 其他', '高楼层(共6层)1998年建板楼  -  包公', '86万', '单价16739元/平米')
('https://image1.ljcdn.com/340100-inspection/ee7246a6-b7e1-4bb4-b121-d3ea9116441f.jpg.296x216.jpg', '曙宏南苑  大四房  精装修 诚心出售', '曙宏南苑  | 4室2厅 | 137.3平米 | 南 北 | 其他', '低楼层(共18层)2005年建板楼  -  常青', '190万', '单价13839元/平米')
('https://image1.ljcdn.com/340100-inspection/f0770081-2cc0-4050-9305-a34407776ddf.jpg.296x216.jpg', '蓝鼎星河府，装修好，绿化高，配套完善', '蓝鼎星河府  | 3室2厅 | 131.15平米 | 南 北 | 其他', '高楼层(共39层)2013年建塔楼  -  周谷堆', '236万', '单价17995元/平米')
('https://image1.ljcdn.com/340100-inspection/f62032de-ed9c-4178-872f-556187758b17.jpg.296x216.jpg', '金地国际城 1室1厅 52万', '金地国际城  | 1室1厅 | 43.67平米 | 西北 | 其他', '高楼层(共30层)2007年建塔楼  -  周谷堆', '52万', '单价11908元/平米')
('https://image1.ljcdn.com/340100-inspection/2dc8c64d-8410-478a-8fde-e85c1457740d.jpg.296x216.jpg', '望湖城信达好第坊 精装小三房 采光好 精装修', '信达好第坊  | 3室1厅 | 92.25平米 | 南 | 精装', '中楼层(共27层)2012年建塔楼  -  望湖', '179万', '单价19404元/平米')
('https://image1.ljcdn.com/340100-inspection/1ebf038d-feb2-4f11-8025-37ec7c841f9d.jpg.296x216.jpg', '屯溪路小本部 南北通透三房 中间楼层采光好 满五年', '曙光路91号  | 3室1厅 | 82.89平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  芜湖路', '100万', '单价12065元/平米')
('https://image1.ljcdn.com/340100-inspection/0e4d129b-15d2-4cd0-b882-8e321e9fef4c.jpg.296x216.jpg', '创智广场 1室1厅 80万', '创智广场  | 1室1厅 | 69.91平米 | 南 | 其他', '中楼层(共29层)2011年建塔楼  -  包公', '80万', '单价11444元/平米')
('https://image1.ljcdn.com/340100-inspection/869f9267-6cbe-41c0-89f7-8b4d9f055d05.jpg.296x216.jpg', '海顿公馆 好位置 顶楼带露台 视野开阔 完全没有遮挡', '绿地海顿公馆B  | 3室2厅 | 144平米 | 南 北 | 其他', '高楼层(共33层)2010年建板楼  -  周谷堆', '275万', '单价19098元/平米')
('https://image1.ljcdn.com/340100-inspection/ce35577b-dc1b-4845-bd65-25db801e46d7.jpg.296x216.jpg', '丽阳兰庭 1室1厅 75万', '丽阳兰庭  | 1室1厅 | 49.52平米 | 南 | 其他', '低楼层(共26层)2007年建塔楼  -  周谷堆', '75万', '单价15146元/平米')
('https://image1.ljcdn.com/340100-inspection/1dac3907-597e-4938-8094-050ae1331181.JPG.296x216.jpg', '铂金汉宫 精装复式 满两年 看房方便 物业好 环境好', '铂金汉宫  | 2室2厅 | 51.97平米 | 南 | 其他', '高楼层(共24层)2009年建塔楼  -  包公', '120万', '单价23091元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload10ccda54-8dff-4aa7-b4d5-947bbaa5947f.jpg.296x216.jpg', '金悦领地 四房精装修 户型 满5年 采光很好', '金悦领地  | 4室1厅 | 128.16平米 | 南 | 其他', '低楼层(共25层)2008年建板楼  -  周谷堆', '226万', '单价17635元/平米')
('https://image1.ljcdn.com/340100-inspection/589d4a23-b5fa-4253-a244-792e853993ad.jpg.296x216.jpg', '金地精装两居室 边户 高层 采光好', '金地国际城  | 2室1厅 | 80.84平米 | 南 | 其他', '中楼层(共30层)2007年建塔楼  -  周谷堆', '108万', '单价13360元/平米')
('https://image1.ljcdn.com/340100-inspection/5055cb8d-44c7-4637-999c-905732df34d5.jpg.296x216.jpg', '金江苑小区 2室1厅 115万', '金江苑小区  | 2室1厅 | 75.01平米 | 南 | 其他', '中楼层(共6层)1998年建板楼  -  常青', '115万', '单价15332元/平米')
('https://image1.ljcdn.com/340100-inspection/686fff0c-8f2d-4830-83cd-be829e248a68.jpg.296x216.jpg', '万达商圈 两室朝南 全明户型 简单装修', '春雨花园  | 3室2厅 | 84.02平米 | 南 | 其他', '高楼层(共6层)1995年建板楼  -  包公', '110万', '单价13093元/平米')
('https://image1.ljcdn.com/340100-inspection/576297a1-841f-431a-8f12-f2c85e5fb5b0.jpg.296x216.jpg', '阳光上南怡园 3室2厅 150万', '阳光上南怡园  | 3室2厅 | 97.26平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  周谷堆', '150万', '单价15423元/平米')
('https://image1.ljcdn.com/340100-inspection/849edb08-c012-4573-a930-65e3e0b84a27.jpg.296x216.jpg', '为你而选为你为家，万振四期好房子', '万振逍遥苑四期  | 2室1厅 | 69.05平米 | 南 | 其他', '高楼层(共34层)2008年建板楼  -  周谷堆', '100万', '单价14483元/平米')
('https://image1.ljcdn.com/340100-inspection/61721300-8df8-4b87-acfa-f2b8a644474b.jpg.296x216.jpg', '绿地铭公馆 4室2厅 366万', '绿地铭公馆  | 4室2厅 | 209.01平米 | 南 北 | 其他', '28层2014年建板楼  -  常青', '366万', '单价17512元/平米')
('https://image1.ljcdn.com/340100-inspection/17c092d7-812f-47ac-893d-93add99758ce.jpg.296x216.jpg', '创智广场 2室1厅 85万', '创智广场  | 2室1厅 | 65.96平米 | 南 | 其他', '中楼层(共29层)2011年建塔楼  -  包公', '85万', '单价12887元/平米')
('https://image1.ljcdn.com/340100-inspection/97b4bc64-4f11-4f16-848f-400af5914f60.jpg.296x216.jpg', '天下锦城 巴斯镇 通透两房 冷暖双供', '天下锦城巴斯镇  | 2室1厅 | 92平米 | 南 北 | 其他', '8层2016年建板楼  -  常青', '175万', '单价19022元/平米')
('https://image1.ljcdn.com/340100-inspection/7f6f70b6-f440-4e2a-9cf7-bd611d080c5f.jpg.296x216.jpg', '蓝鼎星河府 巢湖南路与铜陵南路交口 居家精装', '蓝鼎星河府  | 3室2厅 | 94平米 | 南 | 其他', '中楼层(共31层)2013年建塔楼  -  周谷堆', '165万', '单价17554元/平米')
('https://image1.ljcdn.com/340100-inspection/f8ed61b7-97a2-4114-9913-114813ca9e23.jpg.296x216.jpg', '天下锦城康桥郡 3室2厅 258万', '天下锦城康桥郡  | 3室2厅 | 124.55平米 | 南 | 其他', '11层2016年建板楼  -  常青', '258万', '单价20715元/平米')
('https://image1.ljcdn.com/340100-inspection/6126dfa6-aedb-48d9-bc87-b9b43fce812b.jpg.296x216.jpg', '为你而选 为你为家 万振逍遥苑四期一居室 低楼层', '万振逍遥苑四期  | 1室1厅 | 51.75平米 | 南 北 | 其他', '低楼层(共34层)2008年建板楼  -  周谷堆', '83万', '单价16039元/平米')
('https://image1.ljcdn.com/340100-inspection/ac6f2475-3088-4d15-a40f-58501ffe865b.jpg.296x216.jpg', '金地国际城 3室2厅 165万', '金地国际城  | 3室2厅 | 121.05平米 | 南 北 | 其他', '中楼层(共32层)2008年建塔楼  -  周谷堆', '165万', '单价13631元/平米')
('https://image1.ljcdn.com/340100-inspection/487607ae-d313-4205-998a-9f788772fc5a.jpg.296x216.jpg', '曙宏南苑 4室2厅 190万', '曙宏南苑  | 4室2厅 | 137.78平米 | 南 北 | 其他', '高楼层(共18层)2005年建板楼  -  常青', '190万', '单价13791元/平米')
('https://image1.ljcdn.com/340100-inspection/ecae02be-3e36-497b-b467-db1ff3f991bf.jpg.296x216.jpg', '省工商学校宿舍 3室1厅 102万', '省工商学校宿舍  | 3室1厅 | 78.35平米 | 南 | 其他', '高楼层(共6层)板楼  -  望湖', '102万', '单价13019元/平米')
('https://image1.ljcdn.com/340100-inspection/2613b8b3-eac6-424e-9fcf-4e0b313ee828.jpg.296x216.jpg', '世纪阳光花园绿阳苑 2室2厅 186万', '世纪阳光花园绿阳苑  | 2室2厅 | 96.47平米 | 南 | 其他', '中楼层(共6层)2007年建板楼  -  包公', '186万', '单价19281元/平米')
('https://image1.ljcdn.com/340100-inspection/064f8c9e-c90f-47a6-a97d-d7d0aeb208bf.jpg.296x216.jpg', '曙宏新村 3室2厅 142万', '曙宏新村  | 3室2厅 | 112.46平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  常青', '142万', '单价12627元/平米')
('https://image1.ljcdn.com/340100-inspection/b00a8fd9-fde3-46ef-ba7f-1b8fc385ea3a.jpg.296x216.jpg', '万振逍遥苑 朱岗站 合家福 南北通透 居家装修', '万振逍遥苑二期  | 4室2厅 | 153.77平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  周谷堆', '240万', '单价15608元/平米')
('https://image1.ljcdn.com/340100-inspection/3745c9df-ec1d-4a8b-8542-9cfc1a63896a.jpg.296x216.jpg', '碧湖云溪全南户型两房 全明采光 小高层', '碧湖云溪  | 2室2厅 | 91.41平米 | 南 | 其他', '中楼层(共20层)2013年建板楼  -  周谷堆', '150万', '单价16410元/平米')
('https://image1.ljcdn.com/340100-inspection/d6fd0e1b-dde3-4c67-8f7d-2ff11101cf84.jpg.296x216.jpg', '海顿公馆 经典一居室 朝南带阳台正规住宅，带市政供暖', '绿地海顿公馆C  | 1室1厅 | 43.49平米 | 南 | 其他', '高楼层(共18层)2009年建板楼  -  周谷堆', '85万', '单价19545元/平米')
('https://image1.ljcdn.com/340100-inspection/828d1a9f-5452-4e54-a2fb-6f024f0f228c.jpg.296x216.jpg', '金水花园A区 3室1厅 128万', '金水花园A区  | 3室1厅 | 84.57平米 | 南 | 其他', '高楼层(共6层)2001年建板楼  -  芜湖路', '128万', '单价15136元/平米')
('https://image1.ljcdn.com/340100-inspection/a4b4baf9-a9a8-4414-835d-42893c112af9.jpg.296x216.jpg', '地矿家园 3室2厅毛坯房 主卧朝南  带冷暖空调', '地矿家园  | 3室2厅 | 117.43平米 | 南 北 | 其他', '低楼层(共34层)2012年建板楼  -  周谷堆', '172万', '单价14648元/平米')
('https://image1.ljcdn.com/340100-inspection/7f26005a-7670-42ec-a6a3-85ea88220709.jpg.296x216.jpg', '丽阳兰庭 4室2厅 245万', '丽阳兰庭  | 4室2厅 | 138.35平米 | 南 北 | 其他', '高楼层(共26层)2007年建板楼  -  周谷堆', '245万', '单价17709元/平米')
('https://image1.ljcdn.com/340100-inspection/483b97db-018b-453c-bfcd-36e793798e53.jpg.296x216.jpg', '宿松路 南园新村 2室1厅 朝南户型方正 交通便利采光好', '南园新村  | 2室1厅 | 71.96平米 | 南 北 | 其他', '低楼层(共6层)2003年建板楼  -  芜湖路', '118万', '单价16398元/平米')
('https://image1.ljcdn.com/340100-inspection/ad9fce26-032e-4c13-b1b1-ea2b0629d9c8.jpg.296x216.jpg', '望湖城金桂苑新上好房源.四房中高楼层', '望湖城桂香居金桂苑  | 4室2厅 | 147.87平米 | 南 北 | 其他', '高楼层(共17层)板楼  -  望湖', '279万', '单价18868元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload14a07174-fb40-4ec2-99cc-0ff7478b2b56.jpg.296x216.jpg', '柏林春天 4室2厅 240万', '柏林春天  | 4室2厅 | 156.57平米 | 南 北 | 其他', '高楼层(共18层)2007年建塔楼  -  包公', '240万', '单价15329元/平米')
('https://image1.ljcdn.com/340100-inspection/23de7d9e-530c-45d9-97e7-09cdcbf0cd22.jpg.296x216.jpg', '闹市之中为你而选 金安花园 安家之选', '金安花园  | 3室2厅 | 98.77平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  芜湖路', '125万', '单价12656元/平米')
('https://image1.ljcdn.com/340100-inspection/b5047ad8-83ba-4219-ac6b-c888591e5a61.jpg.296x216.jpg', '金悦领地 精装修 楼栋位置好 满2年 采光好', '金悦领地  | 3室2厅 | 68.41平米 | 南 北 | 其他', '高楼层(共29层)2008年建板楼  -  周谷堆', '125万', '单价18273元/平米')
('https://image1.ljcdn.com/340100-inspection/496927d5-cfe9-41d9-be75-26a633f50dfa.jpg.296x216.jpg', '地矿家园 2室2厅 165万', '地矿家园  | 2室2厅 | 99.81平米 | 南 | 其他', '高楼层(共34层)2012年建板楼  -  周谷堆', '165万', '单价16532元/平米')
('https://image1.ljcdn.com/340100-inspection/984e3596-7980-4ad2-a232-8847b99c3783.JPG.296x216.jpg', '铂金汉宫精装公寓 地段好 马鞍山路 地铁口', '铂金汉宫  | 1室0厅 | 50.77平米 | 西 | 其他', '中楼层(共24层)2009年建塔楼  -  包公', '66万', '单价13000元/平米')
('https://image1.ljcdn.com/340100-inspection/4756969e-743d-4e77-92a1-dd820a32b41a.jpg.296x216.jpg', '万达四室  交通便利  周边配套齐全 户型方正', '万达中心名宅  | 4室1厅 | 139.46平米 | 南 | 其他', '高楼层(共25层)2010年建塔楼  -  包公', '246万', '单价17640元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload5804d0e8-bc42-48b9-bbed-88e4497a6f95.jpg.296x216.jpg', '绿地  刚需四房 业主急售 交通便利', '绿地中心公馆  | 4室2厅 | 115.3平米 | 南 北 | 其他', '低楼层(共32层)2015年建塔楼  -  常青', '194万', '单价16826元/平米')
('https://image1.ljcdn.com/340100-inspection/3cfd717b-74ea-4139-b2d3-fea7057b9dd2.jpg.296x216.jpg', '和昌都汇华府 3室2厅 165万', '和昌都汇华府  | 3室2厅 | 89.85平米 | 南 | 其他', '高楼层(共32层)2012年建板楼  -  周谷堆', '165万', '单价18364元/平米')
('https://image1.ljcdn.com/340100-inspection/e4fbb012-e298-4a8a-b891-4256cd8a517a.jpg.296x216.jpg', '天下锦城爱丁堡 2室1厅 208万', '天下锦城爱丁堡  | 2室1厅 | 94.27平米 | 南 | 其他', '11层2016年建板楼  -  常青', '208万', '单价22065元/平米')
('https://image1.ljcdn.com/340100-inspection/487c9210-8acb-4ebd-9891-a1d82f63764e.jpg.296x216.jpg', '万达商圈 单价低 交通便利 户型方正', '万达中心名宅  | 2室2厅 | 89.5平米 | 南 | 其他', '低楼层(共25层)2010年建塔楼  -  包公', '158万', '单价17654元/平米')
('https://image1.ljcdn.com/340100-inspection/9e04b1ea-83d6-43e2-be23-0fdd2c13b6f8.jpg.296x216.jpg', '精装修，送家具家电，小区最前排，采光刺眼', '蓝鼎星河府  | 3室2厅 | 94.7平米 | 南 | 其他', '高楼层(共31层)2013年建塔楼  -  周谷堆', '170万', '单价17952元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbbf19f4b-135d-4fb8-bace-e1ec71d415b1.jpg.296x216.jpg', '和昌都汇华府精装一室、实木地板送家电、采光好位置好', '和昌都汇华府  | 1室1厅 | 43.19平米 | 南 | 其他', '高楼层(共32层)2012年建板楼  -  周谷堆', '84万', '单价19449元/平米')
('https://image1.ljcdn.com/340100-inspection/6306752d-0ae6-4818-9928-1c20253905a8.jpg.296x216.jpg', '风和园 两房朝南 万达商圈 采光好 业主诚心出售', '风和园  | 2室1厅 | 68.96平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  包公', '115万', '单价16677元/平米')
('https://image1.ljcdn.com/340100-inspection/4f1a0b20-7b4a-43c7-856e-8e352acbe650.jpg.296x216.jpg', '南北大三居 万达商圈 交通便利 业主急售', '滨水华城  | 3室2厅 | 133.25平米 | 南 北 | 其他', '低楼层(共26层)2000年建板楼  -  包公', '179万', '单价13434元/平米')
('https://image1.ljcdn.com/340100-inspection/378a6684-eee4-4199-b51b-da6eb841d9e0.jpg.296x216.jpg', '万振逍遥苑 精装大四房 两房朝南两房朝北 视野宽阔', '万振逍遥苑四期  | 4室2厅 | 175平米 | 南 北 | 其他', '中楼层(共18层)2008年建板楼  -  周谷堆', '300万', '单价17143元/平米')
('https://image1.ljcdn.com/340100-inspection/86268b7b-f930-444f-bd15-5ad9778b3360.jpg.296x216.jpg', '天下锦城康桥郡 3室2厅 229.5万', '天下锦城康桥郡  | 3室2厅 | 117平米 | 南 北 | 其他', '11层2016年建板楼  -  常青', '229.5万', '单价19616元/平米')
('https://image1.ljcdn.com/340100-inspection/051c16f2-91a3-403a-bbee-9546a868bdbe.jpg.296x216.jpg', '世纪阳光花园紫阳苑 4室2厅 253万', '世纪阳光花园紫阳苑  | 4室2厅 | 153.81平米 | 南 北 | 其他', '中楼层(共11层)2004年建板楼  -  包公', '253万', '单价16449元/平米')
('https://image1.ljcdn.com/340100-inspection/10df81ac-73fd-4cec-bbce-edc2e6371191.jpg.296x216.jpg', '福巢居 4室2厅 176万', '福巢居  | 4室2厅 | 125平米 | 东 南 北 | 其他', '中楼层(共6层)2001年建板楼  -  望湖', '176万', '单价14080元/平米')
('https://image1.ljcdn.com/340100-inspection/b28ce148-4afe-4b45-89e6-75d9fd638e6e.jpg.296x216.jpg', '金地国际城 3室2厅 218万', '金地国际城  | 3室2厅 | 124.26平米 | 南 北 | 其他', '高楼层(共11层)2007年建塔楼  -  周谷堆', '218万', '单价17544元/平米')
('https://image1.ljcdn.com/340100-inspection/f2f449a7-9595-48c7-85ef-219b4df02da2.jpg.296x216.jpg', '小区中间大户型，两梯两户，精装修，位置好', '蓝鼎星河府  | 4室2厅 | 161.3平米 | 南 北 | 其他', '中楼层(共31层)2013年建塔楼  -  周谷堆', '298万', '单价18475元/平米')
('https://image1.ljcdn.com/340100-inspection/02109bc6-f52d-4661-9dac-7b68a2858eb0.jpg.296x216.jpg', '绿地中心公馆 3室2厅 210万', '绿地中心公馆  | 3室2厅 | 105.8平米 | 南 | 其他', '低楼层(共25层)2015年建塔楼  -  常青', '210万', '单价19849元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2274435a-38c0-41de-a0a7-e10e1a90e819.jpg.296x216.jpg', '70年产权 简装 满两年，楼层好，采光没问题', '铂金汉宫  | 1室1厅 | 57.08平米 | 东北 | 其他', '低楼层(共24层)2009年建塔楼  -  包公', '68万', '单价11914元/平米')
('https://image1.ljcdn.com/340100-inspection/3663de96-791a-44ef-b49b-58afda8eb77c.jpg.296x216.jpg', '周谷堆村民恢复楼 3室2厅 110万', '周谷堆村民恢复楼  | 3室2厅 | 85平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  包公', '110万', '单价12942元/平米')
('https://image1.ljcdn.com/340100-inspection/7dd73ca4-4ca9-4732-be25-bf360b67e8d0.jpg.296x216.jpg', '精装修， 视野采光好 居家舒适，可改两房', '玫瑰绅城  | 2室1厅 | 72.69平米 | 南 | 其他', '中楼层(共21层)2009年建塔楼  -  周谷堆', '93万', '单价12795元/平米')
('https://image1.ljcdn.com/340100-inspection/a981f825-8829-40b2-a389-5bfd4ac2fae8.jpg.296x216.jpg', '皖东小区 居家装修 两房朝南 南北通透 采光充足', '皖东小区  | 2室2厅 | 58.4平米 | 南 北 | 其他', '高楼层(共5层)1999年建板楼  -  周谷堆', '90万', '单价15411元/平米')
('https://image1.ljcdn.com/340100-inspection/09ca5df4-b45e-4b29-a560-c81f8bb22062.jpg.296x216.jpg', '琥珀新天地西苑 3室2厅 185万', '琥珀新天地西苑  | 3室2厅 | 105平米 | 南 | 其他', '中楼层(共11层)2010年建板楼  -  常青', '185万', '单价17620元/平米')
