('https://image1.ljcdn.com/510100-inspection/test-194e1b15-081e-4a27-8267-a6506d76d31c.png.296x216.jpg', '此房户型方正采光佳，视野宽阔，', '心怡中丝园  | 3室2厅 | 102.38平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2015年建板塔结合  -  麓山', '138万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/78f7425d-8902-4dee-ac37-65b38cf3bb91.jpg.296x216.jpg', '天府新区锦江旁联排别墅 带花园带一车库一车位', '翠拥天地   | 联排别墅 | 5室2厅 | 265.87平米 | 南 | 简装 | 无电梯', '4层2005年建暂无数据  -  华阳', '390万', '单价14669元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d0ff1185-0280-4df8-9f11-05a9793f63c5.png.296x216.jpg', '茵特拉肯A区改善型套三，双卫双阳台！', '麓山国际茵特拉肯A  | 3室1厅 | 133.57平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2016年建板楼  -  麓山', '225万', '单价16846元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2225a97b-a5d0-4e03-9984-79c321490c89.png.296x216.jpg', '天府新区 南阳盛世 套二 精装 空房从未住人 拎包入住', '南阳盛世  | 2室2厅 | 83.22平米 | 北 | 其他 | 有电梯', '中楼层(共32层)2011年建板塔结合  -  南湖', '148万', '单价17785元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7920c9e3-4ae9-4f26-9cc3-242f5af07e5c.png.296x216.jpg', '南阳盛世二期 套三双卫 满二年 无抵押 中间楼层', '南阳盛世二期  | 3室2厅 | 111.05平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)2011年建板塔结合  -  南湖', '160万', '单价14408元/平米')
('https://image1.ljcdn.com/510100-inspection/test-474a1447-8a46-45ae-8980-23e2b467f942.png.296x216.jpg', '鑫苑鑫都汇  套三单卫，对中庭视野好', '鑫苑鑫都汇南区  | 3室2厅 | 76.1平米 | 东 | 其他', '低楼层(共31层)板塔结合  -  南湖', '143万', '单价18792元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9f7cde54-460c-429c-bfd2-395c7d976d5d.png.296x216.jpg', '天府新区佳兆业君汇上品精装套三', '佳兆业君汇上品  | 3室1厅 | 102.43平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  南湖', '188万', '单价18354元/平米')
('https://image1.ljcdn.com/510100-inspection/8dd1bf02-d3a2-4f73-998b-7ad6f03f91dd.jpg.296x216.jpg', '天府新区光明城市，精装修套二，朝南。', '金茂光明城市  | 2室2厅 | 89.93平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2016年建板塔结合  -  华阳', '168万', '单价18682元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0e0f8650-b691-47fa-8acb-0d52e6c80923.png.296x216.jpg', '光明城市套三双卫，户型方正，中间楼层', '金茂光明城市  | 3室1厅 | 86.91平米 | 西 | 精装 | 有电梯', '中楼层(共33层)2016年建板塔结合  -  华阳', '180万', '单价20712元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9fab1451-2791-4177-8dd8-8116f5346f78.png.296x216.jpg', '南阳锦城晶品，优质套一，小区安全系数高。', '南阳锦城晶品  | 1室1厅 | 50.94平米 | 东 | 其他 | 有电梯', '低楼层(共24层)2012年建板楼  -  四河', '88万', '单价17276元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2db9e473-5ae0-4360-812b-c9bcd6f19c96.png.296x216.jpg', '天府新区华阳街道 教师公寓 套三 有装修', '华阳二中教师公寓  | 3室1厅 | 117.74平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  南湖', '105万', '单价8918元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5de9bed5-b1c1-4145-965b-bcc766a1e680.png.296x216.jpg', '套三双卫带双阳台，赠送36平，空间无浪费，对中庭', '成都玩家  | 3室2厅 | 96.27平米 | 西南 | 精装', '中楼层(共27层)2016年建塔楼  -  海洋公园', '170万', '单价17659元/平米')
('https://image1.ljcdn.com/510100-inspection/test-60e48dc6-ad4c-4bfd-a6f3-b7a581cf9af4.png.296x216.jpg', '装修套三，对中庭视野好，中高楼层，安静不吵！', '鑫苑鑫都汇  | 3室2厅 | 74.06平米 | 西 | 其他', '高楼层(共26层)2016年建塔楼  -  南湖', '160万', '单价21605元/平米')
('https://image1.ljcdn.com/510100-inspection/test-17a10746-7303-4fcf-b5a9-15e26ccc87a8.png.296x216.jpg', '洛森堡 套三单卫 客厅西南朝向 带阳台 带入户花园', '洛森堡  | 3室1厅 | 92.79平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2014年建塔楼  -  海洋公园', '155万', '单价16705元/平米')
('https://image1.ljcdn.com/510100-inspection/test-91bba76c-566b-493d-849d-d8586929f04c.png.296x216.jpg', '南湖世纪居家装修套三，向东看湖', '南湖世纪  | 3室2厅 | 119平米 | 东 | 精装 | 有电梯', '低楼层(共32层)2016年建塔楼  -  南湖', '225万', '单价18908元/平米')
('https://image1.ljcdn.com/510100-inspection/test-760ccd4d-7a5d-4bba-a403-40e9709a700f.png.296x216.jpg', '天府新区华阳枫桥映月装修套二采光好', '枫桥映月  | 2室1厅 | 77.59平米 | 东 | 精装', '中楼层(共11层)暂无数据  -  南湖', '108万', '单价13920元/平米')
('https://image1.ljcdn.com/510100-inspection/test-44f491c2-9227-40e9-9b1d-2b69ec1a1823.png.296x216.jpg', '万科海悦汇城西区精装修  安静不吵  对中庭', '万科海悦汇城西区  | 2室2厅 | 62.34平米 | 西 | 其他 | 有电梯', '低楼层(共27层)2015年建板楼  -  海洋公园', '130万', '单价20854元/平米')
('https://image1.ljcdn.com/510100-inspection/test-680e5e9c-d23c-423d-abf2-760eaad9232b.png.296x216.jpg', '南湖国际精装套三 带地暖 正看南湖', '南湖国际社区一期  | 3室2厅 | 127.45平米 | 东 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  南湖', '270万', '单价21185元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9b2e7643-90a3-4089-a625-ccb39ec3266a.png.296x216.jpg', '万科海悦汇城东区 全新空房 未住过人 位置安静采光好', '万科海悦汇城东区  | 2室2厅 | 58.8平米 | 东南 | 其他 | 有电梯', '中楼层(共35层)2014年建板楼  -  海洋公园', '120万', '单价20409元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b3b57e58-2ecd-4a22-9ecd-3cfa9d7d941b.png.296x216.jpg', '蜀郡洋房+客厅朝南+带平台+采光好', '蜀郡  | 3室2厅 | 162.82平米 | 南 | 其他 | 无电梯', '中楼层(共4层)2010年建板楼  -  华阳', '340万', '单价20882元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6a2ac99b-6316-432b-93ca-1fbed2959b39.png.296x216.jpg', '佳兆业君汇上品3室2厅，小区干净舒适适合居住,视野好', '佳兆业君汇上品  | 3室2厅 | 109.58平米 | 南 北 | 其他 | 有电梯', '高楼层(共31层)2013年建板塔结合  -  南湖', '210万', '单价19165元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e6535c41-1788-4eb9-890d-f0e75d1562ed.png.296x216.jpg', '水印城新出户型方正，自住装修套三', '远光水印城  | 3室2厅 | 108.99平米 | 南 | 其他 | 有电梯', '低楼层(共35层)2009年建板楼  -  四河', '220万', '单价20186元/平米')
('https://image1.ljcdn.com/510100-inspection/test-801b1721-4691-4c99-bf9a-a556dce1e710.png.296x216.jpg', '雅居乐花园，装修套一，带50平米露台。', '雅居乐花园  | 1室1厅 | 56平米 | 西南 | 简装 | 有电梯', '低楼层(共11层)2008年建板楼  -  雅居乐', '75万', '单价13393元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a0bcbd0f-fcdf-4645-b326-4ca15cbfe5dc.png.296x216.jpg', '装修套二，户型方正，环境安静。', '青南美湾  | 2室2厅 | 74.5平米 | 南 | 其他 | 有电梯', '低楼层(共17层)板楼  -  海洋公园', '138万', '单价18524元/平米')
('https://image1.ljcdn.com/510100-inspection/test-db38e1f9-b240-47ee-85ad-99dc542494ac.png.296x216.jpg', '天府新区 家益欣城 朝南套二 有装修', '家益欣城  | 2室2厅 | 92.4平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2010年建塔楼  -  华阳', '165万', '单价17858元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5a1ccbcd-e0ad-4ac2-a362-4d9250efb611.png.296x216.jpg', '天府新区美城悦荣府清水套三双卫', '美城悦荣府  | 3室1厅 | 97平米 | 东 西 | 其他 | 有电梯', '低楼层(共34层)2017年建板塔结合  -  华阳', '163万', '单价16805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-572fd1a4-67b7-4203-af0e-41572f47a75b.png.296x216.jpg', '天府新区 带双阳台 中庭位置 安静不吵 视野好', '佳兆业君汇上品  | 3室2厅 | 109.06平米 | 北 | 其他 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  南湖', '195万', '单价17881元/平米')
('https://image1.ljcdn.com/510100-inspection/test-12d26edb-3ec8-4560-abea-d6f92a32ebc5.png.296x216.jpg', '套三单卫 清水房 大户型 户型方正', '中信城左岸  | 3室2厅 | 87.1平米 | 西 | 其他 | 有电梯', '低楼层(共33层)板塔结合  -  南湖', '165万', '单价18944元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dd3f566b-b1e7-4b9d-86bc-f670975ebba8.png.296x216.jpg', '精装套四带家具家电带车位，满两年，位置安静采光好。', '万科海悦汇城西区  | 4室2厅 | 112.16平米 | 东北 | 其他 | 有电梯', '中楼层(共50层)2015年建板楼  -  海洋公园', '190万', '单价16941元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ed9f4d17-8227-4e3b-99b3-818f04941f79.png.296x216.jpg', '满两年  二期中庭位置  安静  采光视野好', '新鸿基悦城  | 3室2厅 | 149.55平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2015年建板塔结合  -  海洋公园', '325万', '单价21732元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9e51fc70-bb3d-4e16-9caf-2d74cdd10d6a.png.296x216.jpg', '富民路四段23号 3室2厅 225万', '富民路四段23号  | 3室2厅 | 187.21平米 | 西南 | 其他', '高楼层(共6层)暂无数据  -  四河', '225万', '单价12019元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9244731b-ae67-44bf-89af-7ab8dd3d40b4.png.296x216.jpg', '欧香小镇大平层带装修套二客厅朝南', '欧香小镇  | 3室2厅 | 136.46平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2014年建板楼  -  华阳', '280万', '单价20519元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d069f35-9d10-4c0d-9a74-1baec7d14d4b.png.296x216.jpg', '景茂城果  简装套二  带大阳台', '景茂城果  | 2室2厅 | 83.5平米 | 东 西 | 简装 | 有电梯', '中楼层(共25层)2012年建塔楼  -  华阳', '156万', '单价18683元/平米')
('https://image1.ljcdn.com/510100-inspection/43c709af-c9b8-426d-abbe-e040c34dd550.jpg.296x216.jpg', '南湖国际社区精装套二 拎包入住', '南湖国际社区一期  | 2室1厅 | 76.07平米 | 西 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  南湖', '128万', '单价16827元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5863959c-20ad-4cf4-a8bf-295fc2461c4a.png.296x216.jpg', '南湖国际社区精装套三，拎包入住', '南湖国际社区  | 3室2厅 | 129.02平米 | 北 | 其他 | 有电梯', '低楼层(共34层)2010年建板楼  -  南湖', '230万', '单价17827元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aa646d0a-e342-4596-910c-c1d67b318a3b.png.296x216.jpg', '南湖套二   有阳台   安静', '南湖国际社区一期  | 2室2厅 | 76.07平米 | 西 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  南湖', '135万', '单价17747元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cb2800c7-ebcf-4c93-b306-43cd34627f16.png.296x216.jpg', '天府新区 装修套三双卫 居家装修', '静香庭园  | 3室2厅 | 124.28平米 | 南 | 其他', '高楼层(共6层)2001年建板楼  -  南湖', '155万', '单价12472元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6f2af425-cc4e-42ca-b44e-5acd17dc3032.png.296x216.jpg', '双华麓港套二满两年采光好视野开阔', '双华麓港  | 2室2厅 | 73.72平米 | 西北 | 精装 | 有电梯', '低楼层(共26层)2009年建板塔结合  -  南湖', '125万', '单价16957元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bcf9aed7-729a-40c9-8a31-5561f90639fe.png.296x216.jpg', '宏达世纪锦城套三单卫，户型方正，满两年，南北朝向', '宏达世纪锦城  | 3室1厅 | 98.9平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2012年建板楼  -  海洋公园', '179万', '单价18100元/平米')
('https://image1.ljcdn.com/510100-inspection/test-110a88c2-b02b-4540-9edc-c868917559f1.png.296x216.jpg', '天府新区 精装大套二 端头位置 正朝南', '南阳锦城晶品  | 2室1厅 | 72.14平米 | 南 | 其他 | 有电梯', '高楼层(共14层)2012年建板楼  -  四河', '148万', '单价20516元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c15355ea-c63c-4459-888f-662cab337744.png.296x216.jpg', '瑞雪港湾套三双卫，主卧客厅大，中间楼层，不临街', '瑞雪港湾  | 3室2厅 | 133.34平米 | 南 | 其他', '中楼层(共6层)板楼  -  华阳', '170万', '单价12750元/平米')
('https://image1.ljcdn.com/510100-inspection/test-41a2034c-b0fc-4f00-9dd8-8b44ffc91cee.png.296x216.jpg', '慕和南道中间楼层简装套三双卫朝中庭', '慕和南道  | 3室1厅 | 139.39平米 | 东 | 其他 | 有电梯', '高楼层(共25层)2010年建板塔结合  -  华阳', '218万', '单价15640元/平米')
('https://image1.ljcdn.com/510100-inspection/test-34bbfcc1-64c6-41b2-89ca-ae56fb549d8a.png.296x216.jpg', '清水套三双卫户型，客厅朝南带阳台，主次卧都朝南', '美城悦荣府  | 3室2厅 | 105平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2017年建板塔结合  -  华阳', '200万', '单价19048元/平米')
('https://image1.ljcdn.com/510100-inspection/test-92812f91-68b7-4aa0-8a8d-f9d90bd64518.png.296x216.jpg', '新村小区中等装修套三，居家装修，拎包入住', '新村小区  | 3室2厅 | 98.2平米 | 东 | 其他', '中楼层(共6层)板楼  -  南湖', '115万', '单价11711元/平米')
('https://image1.ljcdn.com/510100-inspection/test-775654c1-7c1f-4bc7-b63c-e602fc23ac30.png.296x216.jpg', '海昌地铁站 家居装修套二 正对中庭 朝南', '宏达世纪锦城  | 2室2厅 | 77平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2012年建板楼  -  海洋公园', '138万', '单价17923元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ed10c9ee-84d9-40aa-b00a-3bf40790c986.png.296x216.jpg', '天府新区远光水印城高楼层视野开阔', '远光水印城  | 3室2厅 | 126.28平米 | 北 | 其他 | 有电梯', '高楼层(共35层)板楼  -  四河', '217万', '单价17185元/平米')
('https://image1.ljcdn.com/510100-inspection/0dd29a0c-2d5a-46da-9ace-e564567b3fa4.jpg.296x216.jpg', '南湖国际社区 装修套二 高楼层', '南湖国际社区一期  | 2室2厅 | 77平米 | 南 | 其他 | 有电梯', '高楼层(共34层)2010年建塔楼  -  南湖', '160万', '单价20780元/平米')
('https://image1.ljcdn.com/510100-inspection/e41284cd-8361-40d1-acac-5475d6359e5f.jpg.296x216.jpg', '金南园，套三双卫有装修，户型方正。', '金南园  | 3室1厅 | 138平米 | 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  四河', '180万', '单价13044元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d9ef3a8-44fa-4ca1-a5ac-20a4655932ed.png.296x216.jpg', '中铁蜀郡三室两卫带装修+家具家电齐全', '蜀郡  | 3室2厅 | 118.49平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2010年建塔楼  -  华阳', '210万', '单价17724元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a7756135-20b4-4cfd-8b4a-fbb4c8f60283.png.296x216.jpg', '广都花园   套二单卫+有装修', '广都花园  | 2室2厅 | 82.48平米 | 东 | 其他', '高楼层(共6层)板楼  -  南湖', '81万', '单价9821元/平米')
('https://image1.ljcdn.com/510100-inspection/test-724b1fa3-c50a-40e4-ae7d-3d2963a98219.png.296x216.jpg', '蜀郡又一城 两室一厅一厨一卫 76.27㎡', '蜀郡又一城  | 2室1厅 | 76.27平米 | 北 | 其他 | 有电梯', '中楼层(共32层)2014年建塔楼  -  华阳', '133万', '单价17439元/平米')
('https://image1.ljcdn.com/510100-inspection/test-27e376fa-6116-446a-a561-8eae1c65271b.png.296x216.jpg', '中庭位置，标准套三双卫，安静，视野好', '戛纳湾滨江  | 3室2厅 | 90.13平米 | 东 | 精装 | 有电梯', '低楼层(共32层)2010年建板楼  -  华阳', '190万', '单价21081元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5ab1116c-17e1-453f-adde-0c7213bba786.png.296x216.jpg', '万科海悦汇城西区精装修套二拎包即可入住', '万科海悦汇城西区  | 2室1厅 | 58.96平米 | 东 | 其他 | 有电梯', '低楼层(共35层)2015年建板楼  -  海洋公园', '115万', '单价19505元/平米')
('https://image1.ljcdn.com/510100-inspection/test-794e000a-74fb-422c-8c59-5b3a5dced287.png.296x216.jpg', '南湖世纪清水套三可看南湖户型方正！！！', '南湖世纪  | 3室2厅 | 111.92平米 | 东 | 毛坯 | 有电梯', '中楼层(共32层)2016年建塔楼  -  南湖', '180万', '单价16083元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c6bf0c31-51c6-411d-ba90-e6f8218a267c.png.296x216.jpg', '套三单卫，户型方正 ，简装房。', '中信城左岸  | 3室2厅 | 88.28平米 | 西 | 简装 | 有电梯', '低楼层(共33层)板塔结合  -  南湖', '176万', '单价19937元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aff970f0-b114-4b17-961a-44d84e8dc268.png.296x216.jpg', '远大 公园 三室 两厅一厨 两卫', '远大中央公园一期  | 3室2厅 | 111.05平米 | 南 北 | 其他', '低楼层(共33层)2016年建板塔结合  -  南湖', '188万', '单价16930元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e0e570bb-7683-428c-ad8d-5267573a798b.png.296x216.jpg', '蜀郡电梯房 2室2厅 高楼层视野开阔', '蜀郡  | 2室2厅 | 85.05平米 | 东 | 简装 | 有电梯', '高楼层(共26层)2010年建塔楼  -  华阳', '158万', '单价18578元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d2f09573-3ddc-4ead-88c8-0c3856ff0f53.png.296x216.jpg', '天府新区 翠拥天地 小区中庭套四双卫带自住装修', '翠拥天地   | 联排别墅 | 4室2厅 | 198.43平米 | 东 | 其他 | 无电梯', '5层2005年建暂无数据  -  华阳', '290万', '单价14615元/平米')
('https://image1.ljcdn.com/510100-inspection/test-32faa6df-a89f-462f-b769-690f225d4809.png.296x216.jpg', '天府新区华阳街道80号1栋1单元', '地源吾舍  | 2室2厅 | 84.13平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2002年建塔楼  -  华阳', '130万', '单价15453元/平米')
('https://image1.ljcdn.com/510100-inspection/test-806cd744-f858-4440-8584-b5ab360f41f1.png.296x216.jpg', '天府新区  鸿阁新座  标准套三   精装修', '鸿阁新座  | 3室1厅 | 71.09平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2013年建板塔结合  -  四河', '148万', '单价20819元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fa8027ef-db84-40b9-97d3-da8a909d017f.png.296x216.jpg', '南湖国际三期 全新装修新房 没有住过人 位置安静', '南湖国际社区  | 3室2厅 | 143.43平米 | 东 | 其他 | 有电梯', '中楼层(共34层)2010年建板楼  -  南湖', '280万', '单价19522元/平米')
('https://image1.ljcdn.com/510100-inspection/ec780ce4-6070-4fce-b9d2-b4aef0f6c21e.jpg.296x216.jpg', '戛纳湾畔 套三双卫户型 带家具家电装修', '戛纳湾畔  | 3室1厅 | 116.89平米 | 东 | 其他 | 有电梯', '中楼层(共19层)2006年建板楼  -  华阳', '195万', '单价16683元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3e45dd41-533a-4895-a4bb-56a6fe1253ce.png.296x216.jpg', '佳兆业君汇上品套三双卫清水对中庭', '佳兆业君汇上品  | 3室2厅 | 102.43平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  南湖', '175万', '单价17085元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploada3cb7758-7df4-451d-b41c-21c3d12e886a.jpg.296x216.jpg', '新鸿基悦城套三双卫，带装修家具家电', '新鸿基悦城  | 3室2厅 | 143.79平米 | 西北 | 其他 | 有电梯', '低楼层(共30层)2012年建板塔结合  -  海洋公园', '285万', '单价19821元/平米')
('https://image1.ljcdn.com/510100-inspection/test-691760d8-4551-43ca-9516-e85a8ebbff82.png.296x216.jpg', '海棠金宇府河花园，带大花园。采光好。', '海棠金宇府河花园  | 3室2厅 | 117.14平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  南湖', '190万', '单价16220元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bbd11a2f-6fb9-4c5a-8f8b-5b3cf3aca9c6.png.296x216.jpg', '清水套三 朝东南看锦江和保利别墅 视野开阔', '蜀郡又一城  | 3室2厅 | 97.17平米 | 东南 | 毛坯 | 有电梯', '中楼层(共31层)2014年建塔楼  -  华阳', '200万', '单价20583元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04fcf814-ec3f-4013-ae83-e0172067c8fa.png.296x216.jpg', '天府新区 正看府河    套三双卫', '望江苑社区  | 3室2厅 | 147.8平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  南湖', '160万', '单价10826元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3fde7cce-cca6-476d-a24b-03f7eb30b944.png.296x216.jpg', '天府新区装修套二，楼层适中，视野好。', '向阳小区三期  | 2室2厅 | 71.41平米 | 东 | 其他 | 无电梯', '高楼层(共6层)2000年建板楼  -  南湖', '79万', '单价11063元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3b98e4cd-cecf-42e8-a0b1-c234ddff02af.png.296x216.jpg', '三室两厅一厨一卫+清水房+看房方便', '远大中央公园一期  | 3室2厅 | 95.92平米 | 南 | 其他', '高楼层(共33层)2016年建板塔结合  -  南湖', '175万', '单价18245元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f7b64ae1-6afc-4ac6-9ed0-539a6142c3da.png.296x216.jpg', '标准套一 全屋落地窗 层高3.4米 看房方便 适合过渡', '南阳锦城晶品  | 1室1厅 | 50.86平米 | 北 | 简装 | 有电梯', '低楼层(共14层)2012年建板楼  -  四河', '98万', '单价19269元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e7a12dc5-5ecd-46b5-968c-98937fbf4c97.png.296x216.jpg', '南湖国际社区 3+1户型 可以改成4房', '南湖国际社区  | 3室2厅 | 128.98平米 | 北 | 其他 | 有电梯', '中楼层(共34层)2010年建板楼  -  南湖', '240万', '单价18608元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ddac70bf-68b7-450b-84ca-1d4a24057bc8.png.296x216.jpg', '首付只需53万 朝南套三 满两年 光线好 位置安静', '宏信南樾  | 3室1厅 | 109平米 | 西南 | 其他 | 有电梯', '低楼层(共26层)2007年建塔楼  -  海洋公园', '167万', '单价15322元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5a6a9a65-c605-467e-bdc1-93f5e4f0b76f.png.296x216.jpg', '欧香小镇改善户型，采光好，视野无遮挡，套三三卫', '欧香小镇  | 3室2厅 | 202平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2014年建板楼  -  华阳', '350万', '单价17327元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dd3920d0-375b-4008-86e6-0a670120c094.png.296x216.jpg', '房子满了2年，楼层好朝东，视野开阔，装修套二', '慕和南道  | 2室2厅 | 91.42平米 | 东 | 简装 | 有电梯', '中楼层(共26层)2010年建板塔结合  -  华阳', '135万', '单价14768元/平米')
('https://image1.ljcdn.com/510100-inspection/test-98dd303c-ffdf-4d2e-a6e7-605777de3d7b.png.296x216.jpg', '地源吾舍标准套三双 卫，精装自住', '地源吾舍  | 3室2厅 | 107.63平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2002年建塔楼  -  华阳', '162万', '单价15052元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9ec6afd7-4989-42b8-9e98-8b0d02b05b42.png.296x216.jpg', '南湖国际社区清水套三，户型房子', '南湖国际社区一期  | 3室2厅 | 126.76平米 | 东 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  南湖', '228万', '单价17987元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26f9663c-78ca-40c8-bad5-c75fcf0dd8b9.png.296x216.jpg', '新鸿基悦城  套三双卫  位置安静', '新鸿基悦城  | 3室2厅 | 147.96平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2017年建板楼  -  海洋公园', '270万', '单价18249元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0f0c9a0f-72ae-40ce-9fae-7948cef7c224.png.296x216.jpg', '套三双卫清水房厨房带生活阳台，视野开阔采光好', '戛纳湾金棕榈  | 3室2厅 | 89.8平米 | 东南 | 毛坯 | 有电梯', '高楼层(共32层)2016年建板塔结合  -  华阳', '165万', '单价18375元/平米')
('https://image1.ljcdn.com/510100-inspection/0a749615-cf4f-4ca7-99d6-f7602031f1a8.jpg.296x216.jpg', '欣宇都市港湾套二装修客厅带阳台', '欣宇都市港湾  | 2室1厅 | 76.01平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2010年建板楼  -  南湖', '125万', '单价16446元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9005c897-afa9-469a-923f-01370c576d17.png.296x216.jpg', '向阳小区三期 有装修 不临街 采光好', '向阳小区三期  | 3室2厅 | 122.39平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  南湖', '139万', '单价11358元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ffff8de5-bc80-4092-bb6c-92ca2a338eb5.png.296x216.jpg', '欣宇都市港湾 带装修两室一厅一厨一卫', '欣宇都市港湾  | 2室1厅 | 80.03平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2010年建板楼  -  南湖', '135万', '单价16869元/平米')
('https://image1.ljcdn.com/510100-inspection/test-deab023e-5a7d-4dfb-b730-1eb1417067c8.png.296x216.jpg', '宏达世纪锦城，带装修套二，对中庭', '宏达世纪锦城  | 2室2厅 | 78.19平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2012年建板楼  -  海洋公园', '138万', '单价17650元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload01995498-8ba0-4589-804a-f0b932a89303.JPG.296x216.jpg', '丽都新城顶跃带装修，可直接拎包入住', '丽都新城三期  | 5室1厅 | 169平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2005年建暂无数据  -  南湖', '226万', '单价13373元/平米')
('https://image1.ljcdn.com/510100-inspection/test-095a30b5-e46b-45cc-a215-16dddadc157b.png.296x216.jpg', '三室两厅一厨一卫+清水房+看中庭', '远大中央公园一期  | 3室2厅 | 100.11平米 | 西 | 其他', '中楼层(共32层)2016年建板塔结合  -  南湖', '170万', '单价16982元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cba198cf-72bb-4471-80ed-5d98872f1c0d.png.296x216.jpg', '清水套三，高楼层.............', '南湖国际社区  | 3室1厅 | 123.68平米 | 东北 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '191万', '单价15444元/平米')
