('https://image1.ljcdn.com/340100-inspection/b57f6a55-d3aa-4bf1-bbda-2762eb7c789a.jpg.296x216.jpg', '永和家园，简装，业主诚心急售。', '永和家园  | 3室2厅 | 94.75平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '125万', '单价13193元/平米')
('https://image1.ljcdn.com/340100-inspection/41608b96-d066-40b6-82ef-354e293e281b.jpg.296x216.jpg', '为你而选为你为家 博奥丽苑 精装三房房满五年', '博澳丽苑  | 3室2厅 | 137.62平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '160万', '单价11627元/平米')
('https://image1.ljcdn.com/340100-inspection/7322ae26-c2ae-4d2c-8bd0-0f7f1a2882bc.jpg.296x216.jpg', '兴园小区 大三房 多层 精装修 拎包入住', '兴园小区  | 3室2厅 | 131.66平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  兴园', '172万', '单价13064元/平米')
('https://image1.ljcdn.com/340100-inspection/4d341514-8248-412a-a13b-e48b6f96d86a.jpg.296x216.jpg', '永和家园 精装修三房 多层住宅 蜀西湖边 奥莱旁 诚心', '永和家园  | 3室2厅 | 94.84平米 | 南 北 | 其他', '低楼层(共11层)2008年建板楼  -  长宁', '135万', '单价14235元/平米')
('https://image1.ljcdn.com/340100-inspection/089f9d2a-f079-4ba6-a7d5-f175520c705c.jpg.296x216.jpg', '为你而选为你为家 金濠优活城 精装一居室 采光不影响', '金濠优活城  | 1室1厅 | 39.62平米 | 北 | 其他', '高楼层(共28层)2012年建塔楼  -  天乐', '70万', '单价17668元/平米')
('https://image1.ljcdn.com/340100-inspection/7a8cb2b5-b030-4195-8a0d-1c5d675e2578.jpg.296x216.jpg', '海亮九玺 4室2厅 215万', '海亮九玺  | 4室2厅 | 110.06平米 | 南 | 其他', '中楼层(共34层)2016年建塔楼  -  蜀麓', '215万', '单价19535元/平米')
('https://image1.ljcdn.com/340100-inspection/fbf192f4-86b1-447d-bbe8-8d585d7474d9.jpg.296x216.jpg', '为你而选为你为家 蜀湖湾 毛坯带露台 复式全景大蜀山', '蜀湖湾小区  | 4室3厅 | 185.07平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  天乐', '230万', '单价12428元/平米')
('https://image1.ljcdn.com/340100-inspection/e494828f-4048-4be0-a41f-aedb16e59d75.jpg.296x216.jpg', '和一花园 2室2厅 145万', '和一花园  | 2室2厅 | 88.16平米 | 南 北 | 其他', '高楼层(共24层)2010年建塔楼  -  兴园', '145万', '单价16448元/平米')
('https://image1.ljcdn.com/340100-inspection/f8b4c250-b1a9-47ba-ad49-530dac8b38e4.JPG.296x216.jpg', '为你而选为你为家 绿城桂花园 顶楼复式 视野开阔', '绿城桂花园  | 5室2厅 | 201.24平米 | 南 北 | 其他', '高楼层(共5层)板楼  -  天乐', '358万', '单价17790元/平米')
('https://image1.ljcdn.com/340100-inspection/28a8d509-682d-4abd-959d-8eb6aa4f8a5e.jpg.296x216.jpg', '为你而选为你为家 园景天下 观景房 大蜀山尽收眼底', '园景天下  | 4室2厅 | 199.2平米 | 南 | 简装', '高楼层(共6层)2000年建板楼  -  天乐', '290万', '单价14559元/平米')
('https://image1.ljcdn.com/340100-inspection/da0384e9-768e-45ee-8ce9-cddba5aae842.jpg.296x216.jpg', '为你而选为你为家 城市庭院 毛坯4房联排别墅 院子露台', '徽商城市庭院   | 联排别墅 | 4室3厅 | 267.41平米 | 南 北 | 毛坯', '3层2008年建暂无数据  -  天乐', '450万', '单价16829元/平米')
('https://image1.ljcdn.com/340100-inspection/c5efee21-abe7-4fff-ac7d-1bd1feef88f7.jpg.296x216.jpg', '博澳丽苑 2室2厅 133万', '博澳丽苑  | 2室2厅 | 96.71平米 | 南 | 其他', '中楼层(共31层)2009年建塔楼  -  天乐', '133万', '单价13753元/平米')
('https://image1.ljcdn.com/340100-inspection/b2919592-e83f-4811-9dce-b32aa5900fd7.jpg.296x216.jpg', '绿城桂花园毛坯观景复式 南北通透 诚心出售', '绿城桂花园  | 8室2厅 | 215.23平米 | 南 北 | 毛坯', '高楼层(共5层)板楼  -  天乐', '360万', '单价16727元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload57626381-4841-4ff6-9101-7cb035bf2eb3.jpg.296x216.jpg', '博澳丽苑 精装两房 满五年 无增 值税无 个税', '博澳丽苑  | 2室1厅 | 70.9平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '98.5万', '单价13893元/平米')
('https://image1.ljcdn.com/340100-inspection/8eee326c-899d-42e9-b52f-a69ef4cfc695.jpg.296x216.jpg', '为你而选为你为家 优山美地 朝南户型 采光不挡', '徽商优山美地  | 2室1厅 | 70平米 | 西南 | 其他', '中楼层(共31层)2014年建塔楼  -  天乐', '104万', '单价14858元/平米')
('https://image1.ljcdn.com/340100-inspection/455ef342-02b5-443f-ac79-3630c66594c7.jpg.296x216.jpg', '为你而选为你为家 和一花园 精装两房 满两年 诚售', '和一花园  | 2室1厅 | 86.45平米 | 南 | 其他', '低楼层(共24层)2010年建塔楼  -  兴园', '135万', '单价15616元/平米')
('https://image1.ljcdn.com/340100-inspection/3723e8cc-f925-4357-8a65-cad3f6254b0f.jpg.296x216.jpg', '为你而选为你为家 国轩K西嘉 一室小户 采光足 诚售', '国轩K西嘉  | 1室1厅 | 31.28平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  天乐', '45.8万', '单价14642元/平米')
('https://image1.ljcdn.com/340100-inspection/91e81d6c-3383-48aa-8b8b-928b79ff60d6.jpg.296x216.jpg', '乔治庄园电梯洋房大蜀山尽收眼底，小区环境好，户型好', '绿地乔治庄园  | 4室2厅 | 163平米 | 南 | 其他', '中楼层(共7层)2012年建板楼  -  蜀麓', '350万', '单价21473元/平米')
('https://image1.ljcdn.com/340100-inspection/7ab60ce2-ff02-4297-8964-32a7b648b6ef.jpg.296x216.jpg', '澜溪镇 户型方正 采光佳楼栋位置好 毛坯 带有入户花园', '澜溪镇  | 3室2厅 | 155平米 | 南 | 其他', '低楼层(共17层)2008年建板楼  -  天乐', '318万', '单价20517元/平米')
('https://image1.ljcdn.com/340100-inspection/92347f3d-89f3-4b73-83cf-ec31d9c827f3.jpg.296x216.jpg', '海亮 品质精装2+1  家电齐全 保养好 拎包入住', '海亮九玺  | 3室2厅 | 86平米 | 南 | 其他', '高楼层(共34层)2016年建塔楼  -  蜀麓', '170万', '单价19768元/平米')
('https://image1.ljcdn.com/340100-inspection/52408115-aa11-4382-b656-f38e412c889f.jpg.296x216.jpg', '华纺新华城，阔景三房，户型方正，业主诚心出售', '华纺新华城  | 3室2厅 | 94.86平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  蜀麓', '174万', '单价18343元/平米')
('https://image1.ljcdn.com/340100-inspection/3d673197-c8b1-408a-9bdc-db51f032ff43.jpg.296x216.jpg', '博澳丽苑 精装两居室 刚需小户型 看房提前联系诚心卖', '博澳丽苑  | 2室1厅 | 64.48平米 | 南 | 其他', '低楼层(共31层)2009年建塔楼  -  天乐', '93万', '单价14424元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload40a40e98-bc73-4885-a728-7a6f188495f0.jpg.296x216.jpg', '百商现代名苑顶层带阁楼采光极好', '百商尚成  | 4室2厅 | 139.84平米 | 南 | 其他', '高楼层(共6层)2011年建板楼  -  兴园', '190万', '单价13587元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf66c4eed-f085-4af5-86a3-c6f330f90cab.jpg.296x216.jpg', '为你而选为你为家 徽商优山美地 70年公寓 配套完善', '徽商优山美地  | 1室0厅 | 58.78平米 | 南 | 简装', '高楼层(共31层)2014年建塔楼  -  天乐', '76万', '单价12930元/平米')
('https://image1.ljcdn.com/340100-inspection/ee9d147a-85b6-4eaf-b4bb-992d84962812.jpg.296x216.jpg', '海亮九玺 4室1厅 202万', '海亮九玺  | 4室1厅 | 108.69平米 | 南 北 | 其他', '中楼层(共34层)2016年建塔楼  -  蜀麓', '202万', '单价18585元/平米')
('https://image1.ljcdn.com/340100-inspection/60a3eb0c-4a44-4ef1-9cd4-e92c5f9957a8.jpg.296x216.jpg', '精装4房 南北通透 交通便利 配套成熟 业主诚售', '徽商城市风景  | 4室2厅 | 141平米 | 南 北 | 其他', '中楼层(共11层)2008年建塔楼  -  天乐', '225万', '单价15958元/平米')
('https://image1.ljcdn.com/340100-inspection/b5bfbb49-f003-470c-bb6c-cfa0b058734f.jpg.296x216.jpg', '精装两房 两卧朝南 配套成熟 交通便利', '徽商城市风景  | 2室2厅 | 71.46平米 | 南 | 其他', '高楼层(共16层)2008年建塔楼  -  天乐', '108万', '单价15114元/平米')
('https://image1.ljcdn.com/340100-inspection/7e7c88bb-52e4-4b39-8af7-71680d5310fd.jpg.296x216.jpg', '和一花园 精装三房 拎包入住 业主诚心出售 看房方便', '和一花园  | 3室2厅 | 107.38平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  兴园', '165万', '单价15366元/平米')
('https://image1.ljcdn.com/340100-inspection/f7650f42-feae-4ccc-8c16-8789b3b44fb8.jpg.296x216.jpg', '为你而选为你为家 精装三房 交通便利 采光 通风都很好', '金徽阳光大厦  | 3室2厅 | 123.7平米 | 南 | 其他', '高楼层(共29层)2012年建塔楼  -  天乐', '150万', '单价12127元/平米')
('https://image1.ljcdn.com/340100-inspection/0a58eaff-6dca-48eb-b108-3fbfb4058f67.jpg.296x216.jpg', '金徽阳光大厦 1室1厅 66万', '金徽阳光大厦  | 1室1厅 | 57.8平米 | 南 | 其他', '低楼层(共29层)2012年建塔楼  -  天乐', '66万', '单价11419元/平米')
('https://image1.ljcdn.com/340100-inspection/99289890-95a7-4394-9fad-b880a8888176.jpg.296x216.jpg', '华地紫园毛坯大三房 满两年 电梯洋房 南北通透 带院子', '华地紫园  | 3室2厅 | 307.21平米 | 南 北 | 其他', '低楼层(共11层)2014年建板楼  -  兴园', '505万', '单价16439元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploaddeed3c59-ee01-4bf6-b76d-3189ddbcb0c2.jpg.296x216.jpg', '为你而选为你为家 峰尚国际 临地铁 环境好  诚售', '峰尚国际  | 2室1厅 | 76.45平米 | 南 | 其他', '低楼层(共31层)2012年建塔楼  -  天乐', '97万', '单价12689元/平米')
('https://image1.ljcdn.com/340100-inspection/01a27fc7-e630-4fd1-a7c9-3f62b27f5e29.jpg.296x216.jpg', '为你而选为你为家 蜀峰湾三房 南北通透 户型好', '蜀峰湾  | 3室2厅 | 96.7平米 | 南 北 | 毛坯', '中楼层(共5层)2004年建板楼  -  天乐', '170万', '单价17581元/平米')
('https://image1.ljcdn.com/340100-inspection/e53f8346-1055-4a68-8668-9203848c4a9d.jpg.296x216.jpg', '单身公寓 采光充足 配套齐全 交通便利 业主诚售', '金濠优活城  | 1室1厅 | 39.06平米 | 北 | 其他', '高楼层(共28层)2012年建塔楼  -  天乐', '62万', '单价15874元/平米')
('https://image1.ljcdn.com/340100-inspection/78ac249a-7598-49b5-af83-294e7356449c.jpg.296x216.jpg', '户型方正，南北通的户型，房东诚心出售', '百商现代名苑  | 3室2厅 | 98.89平米 | 南 | 精装', '低楼层(共6层)2011年建板楼  -  兴园', '175万', '单价17697元/平米')
('https://image1.ljcdn.com/340100-inspection/b8fd47af-7dc4-457a-9ed7-33e6c01ea77c.jpg.296x216.jpg', '百商现代名苑肥西产权 无社保 无户口能买 位置好', '百商现代名苑  | 2室2厅 | 79.4平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  兴园', '148万', '单价18640元/平米')
('https://image1.ljcdn.com/340100-inspection/fa364e13-fe62-41fd-9e2e-40f5e3f55501.jpg.296x216.jpg', '绿城桂花园 5室2厅 350万', '绿城桂花园  | 5室2厅 | 222.96平米 | 南 | 其他', '中楼层(共9层)2006年建板楼  -  天乐', '350万', '单价15698元/平米')
('https://image1.ljcdn.com/340100-inspection/0a186862-83ef-4339-84a9-d9a08cd94f19.jpg.296x216.jpg', '永和家园 3室2厅 140万', '永和家园  | 3室2厅 | 94.75平米 | 南 北 | 精装', '中楼层(共11层)2008年建板楼  -  长宁', '140万', '单价14776元/平米')
('https://image1.ljcdn.com/340100-inspection/3abe50be-270d-4aa0-a25d-9f21b4e89155.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 精装房屋 户型正 朝南', '新西茗阁  | 1室0厅 | 43.41平米 | 南 | 简装', '中楼层(共30层)2012年建塔楼  -  天乐', '69万', '单价15895元/平米')
('https://image1.ljcdn.com/340100-inspection/1d69791d-444a-4975-bdb7-02a71e58983e.jpg.296x216.jpg', '绿地乔治庄园 花园洋房 南北通透3室 单价低  蜀山公园', '绿地乔治庄园  | 3室2厅 | 202.37平米 | 南 北 | 其他', '中楼层(共7层)2012年建板楼  -  蜀麓', '430万', '单价21249元/平米')
('https://image1.ljcdn.com/340100-inspection/e9b4f52f-23d4-4dd7-98fc-0292d5389e96.jpg.296x216.jpg', '博澳丽苑 精装两房 满两年楼层采光好楼间距大 诚售', '博澳丽苑  | 2室1厅 | 72.42平米 | 南 | 其他', '中楼层(共31层)2009年建塔楼  -  天乐', '105万', '单价14499元/平米')
('https://image1.ljcdn.com/340100-inspection/f4b00752-4069-45d9-89b8-e12884f074a7.jpg.296x216.jpg', '为你而选为你为家 博澳丽苑 精装三房 采光充足 。', '博澳丽苑  | 3室2厅 | 121.06平米 | 南 北 | 其他', '中楼层(共31层)2009年建塔楼  -  天乐', '175万', '单价14456元/平米')
('https://image1.ljcdn.com/340100-inspection/db4c3b1d-4fa6-4030-8dd9-e80ee085c057.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 精装单身公寓 配套齐全', '新西茗阁  | 1室1厅 | 36.86平米 | 北 | 精装', '中楼层(共30层)2012年建塔楼  -  天乐', '54万', '单价14651元/平米')
('https://image1.ljcdn.com/340100-inspection/43f3f6b8-5d48-4f1f-b51a-6c7004a24233.jpg.296x216.jpg', '淮矿馥邦天下毛坯洋房  满两年 业主诚售', '淮矿馥邦天下  | 5室4厅 | 353.17平米 | 南 北 | 毛坯', '低楼层(共6层)2015年建板楼  -  兴园', '560万', '单价15857元/平米')
('https://image1.ljcdn.com/340100-inspection/750ba35b-57ba-4521-a652-94455a794949.jpg.296x216.jpg', '为你而选为你为家，淮矿两居室，视野足', '淮矿馥邦天下  | 2室2厅 | 85.5平米 | 南 | 简装', '高楼层(共33层)2015年建板楼  -  兴园', '155万', '单价18129元/平米')
('https://image1.ljcdn.com/340100-inspection/a844fa0f-7eea-4f1f-b4ca-b4cf7f3d262a.jpg.296x216.jpg', '为你而选，为你为家，华地紫园精装三房。', '华地紫园  | 3室2厅 | 129.97平米 | 南 北 | 精装', '高楼层(共33层)2013年建塔楼  -  兴园', '252万', '单价19390元/平米')
('https://image1.ljcdn.com/340100-inspection/10c4aa8d-2042-432e-935b-37db1fc9e155.jpg.296x216.jpg', '为你而选为你为家 峰尚国际 交通便利 配套齐全', '峰尚国际  | 1室1厅 | 70.58平米 | 西北 | 其他', '低楼层(共30层)2012年建塔楼  -  天乐', '95万', '单价13460元/平米')
('https://image1.ljcdn.com/340100-inspection/857fa53d-d949-497a-afeb-19e6fd826c52.jpg.296x216.jpg', '蜀山区博澳丽苑 中装两房 满五年 楼层采光好 诚售', '博澳丽苑  | 2室1厅 | 64.85平米 | 南 北 | 其他', '低楼层(共31层)2009年建塔楼  -  天乐', '93万', '单价14341元/平米')
('https://image1.ljcdn.com/340100-inspection/8c9508c7-b29c-449b-9844-0f1033a4eb3f.jpg.296x216.jpg', '澜溪镇 精装顶楼复式 满五年税费少 业主诚心出售', '澜溪镇  | 5室2厅 | 206.94平米 | 南 北 | 精装', '高楼层(共5层)2008年建板楼  -  天乐', '460万', '单价22229元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload10588fd3-2c34-463c-bc52-e6d5803bda41.jpg.296x216.jpg', '澜溪镇精装三室出售 品质小区 素质住户  环境优美', '澜溪镇  | 4室2厅 | 138平米 | 南 北 | 精装', '低楼层(共11层)2008年建板楼  -  天乐', '298万', '单价21595元/平米')
('https://image1.ljcdn.com/340100-inspection/d9905c53-461e-47fb-be02-be1412efdd51.jpg.296x216.jpg', '永和家园 3室2厅 132万', '永和家园  | 3室2厅 | 104平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '132万', '单价12693元/平米')
('https://image1.ljcdn.com/340100-inspection/99fdf127-1c0e-4786-96bd-bfca8c077682.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 交通便利 配套成熟', '新西茗阁  | 1室1厅 | 43.44平米 | 南 | 其他', '高楼层(共30层)2012年建塔楼  -  天乐', '69万', '单价15884元/平米')
('https://image1.ljcdn.com/340100-inspection/efa0c85d-de8a-4b19-9374-9c9911fa67a4.jpg.296x216.jpg', '为你而选为你为家，百商尚城，看房方便，诚信出售', '百商尚成  | 3室2厅 | 93.63平米 | 南 | 其他', '高楼层(共6层)2011年建板楼  -  兴园', '160万', '单价17089元/平米')
('https://image1.ljcdn.com/340100-inspection/c95ba047-2cba-4a4f-a1a3-9ff3e7b60d7b.jpg.296x216.jpg', '为你而选为你为家 徽商城市风景 刚需两房 楼栋位置好', '徽商城市风景  | 2室2厅 | 78.55平米 | 南 | 其他', '中楼层(共16层)2008年建塔楼  -  天乐', '146万', '单价18587元/平米')
('https://image1.ljcdn.com/340100-inspection/33cddcb3-e9c3-4572-8eaa-f1b386800e14.jpg.296x216.jpg', '车城小区成熟配套。户型方正。中间楼层。交通便利', '车城小区西区  | 2室1厅 | 62平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  蜀麓', '78万', '单价12581元/平米')
('https://image1.ljcdn.com/340100-inspection/42e47e40-308c-46d3-93ea-c414de7f8c1d.jpg.296x216.jpg', '为您而选为您为家圣联香御公馆楼层好采光好', '圣联香御公馆  | 1室1厅 | 47平米 | 西 | 简装', '中楼层(共30层)2016年建塔楼  -  兴园', '75万', '单价15958元/平米')
('https://image1.ljcdn.com/340100-inspection/da76c7f9-f33d-4a07-99fa-9cb20f8da2f1.jpg.296x216.jpg', '徽商城市风景 满两年 精装修 楼层好', '徽商优山美地  | 3室2厅 | 108.54平米 | 南 | 其他', '高楼层(共32层)2014年建塔楼  -  天乐', '194万', '单价17874元/平米')
('https://image1.ljcdn.com/340100-inspection/59da2af5-9105-4d57-9f36-765189725462.jpg.296x216.jpg', '依山傍水，小区进出管理严格.保安24小时值班。', '绿地乔治庄园  | 4室2厅 | 161.97平米 | 南 | 其他', '低楼层(共7层)2012年建板楼  -  蜀麓', '380万', '单价23462元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0e8ffaa8-5354-4361-8f57-2e7e6b235455.jpg.296x216.jpg', '旭辉湖山源著高档社区。依山傍水。位置安静', '旭辉湖山源著  | 4室2厅 | 114.74平米 | 南 北 | 其他', '中楼层(共8层)2016年建板楼  -  蜀麓', '270万', '单价23532元/平米')
('https://image1.ljcdn.com/340100-inspection/d44dba8c-b6b3-4a04-92e1-dba26186715c.jpg.296x216.jpg', '博澳丽苑 2室1厅 106万', '博澳丽苑  | 2室1厅 | 73.14平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '106万', '单价14493元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload45944222-f98d-412b-9188-69eaad168a3c.jpg.296x216.jpg', '为你而选为你为家 峰尚国际 中楼层 采光不挡', '峰尚国际  | 1室1厅 | 63.03平米 | 东 | 其他', '中楼层(共30层)2012年建塔楼  -  天乐', '78万', '单价12376元/平米')
('https://image1.ljcdn.com/340100-inspection/6d2568bf-b27f-45b5-beb9-c71f2b23154e.jpg.296x216.jpg', '上铁银欣花园  自住精装两室出售 不沿街楼层好', '上铁银欣花园  | 2室2厅 | 95.8平米 | 南 北 | 其他', '低楼层(共18层)2011年建塔楼  -  兴园', '165万', '单价17224元/平米')
('https://image1.ljcdn.com/340100-inspection/1f344a37-20f7-4102-8ba6-3cfaf38ecf7e.jpg.296x216.jpg', '为你而选为你为家 和一花园 精装修 家电齐全 干净舒适', '和一花园  | 5室2厅 | 157.19平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  兴园', '230万', '单价14632元/平米')
('https://image1.ljcdn.com/340100-inspection/812a9778-eb8f-43b1-b8f0-bc072c34dd2c.jpg.296x216.jpg', '小区环境优美，安心舒适。为你而来', '保利西山林语  | 4室2厅 | 158.88平米 | 南 | 其他', '高楼层(共8层)板楼  -  蜀麓', '335万', '单价21086元/平米')
('https://image1.ljcdn.com/340100-inspection/bc5937b9-c5e7-4d0f-a2de-08f91eec65ec.jpg.296x216.jpg', '中海岭湖墅  经典四居室 纯毛坯  户型刚正 随时看房', '岭湖墅   | 联排别墅 | 4室2厅 | 108.76平米 | 南 | 其他', '18层2015年建暂无数据  -  蜀麓', '210万', '单价19309元/平米')
('https://image1.ljcdn.com/340100-inspection/7efffcd7-9116-47c7-a256-dc95765443de.jpg.296x216.jpg', '华地紫园全明大三居餐客分离动静分区拎包入住', '华地紫园  | 3室2厅 | 132.72平米 | 南 北 | 其他', '中楼层(共33层)2014年建塔楼  -  兴园', '258万', '单价19440元/平米')
('https://image1.ljcdn.com/340100-inspection/e5541762-67fd-47a2-a8f3-b270e9fe4ea0.jpg.296x216.jpg', '博澳丽苑精装两房 楼间距大 采光足 配套成熟 诚售', '博澳丽苑  | 2室2厅 | 65.63平米 | 南 | 其他', '低楼层(共30层)塔楼  -  天乐', '87万', '单价13257元/平米')
('https://image1.ljcdn.com/340100-inspection/784c5e92-306a-4702-8d65-1eb680ace6b3.jpg.296x216.jpg', '为你而选为你为家 徽商城市风景 中装三房格局改动合理', '徽商城市风景  | 3室2厅 | 137.45平米 | 南 北 | 其他', '高楼层(共11层)2008年建塔楼  -  天乐', '215万', '单价15643元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadded55260-1b36-48cd-b007-8fe0954fd682.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 满五年 交通便利', '新西茗阁  | 2室2厅 | 76.17平米 | 南 | 精装', '低楼层(共30层)2012年建塔楼  -  天乐', '107万', '单价14048元/平米')
('https://image1.ljcdn.com/340100-inspection/707c7f57-dad0-4b70-9556-7afe207b7f9b.jpg.296x216.jpg', '交通便利 配套成熟 适合刚需客户', '徽商优山美地  | 1室1厅 | 58.78平米 | 南 | 其他', '中楼层(共31层)2014年建塔楼  -  天乐', '85万', '单价14461元/平米')
('https://image1.ljcdn.com/340100-inspection/d7cd1913-d654-4ff8-abac-acc07de47ff0.jpg.296x216.jpg', '为你而选为你为家 园景天下 南北通透三房 位置安静', '园景天下  | 3室2厅 | 121.66平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  天乐', '225万', '单价18495元/平米')
('https://image1.ljcdn.com/340100-inspection/2b23df73-86b9-4e7d-b73a-16b433a7f48f.jpg.296x216.jpg', '此房业主诚售 小区中间位置 看不到不该看的', '百商悦澜山  | 3室2厅 | 111.6平米 | 南 北 | 其他', '高楼层(共32层)暂无数据  -  兴园', '172万', '单价15413元/平米')
('https://image1.ljcdn.com/340100-inspection/60d33f51-8a38-47c1-a1cf-9b3ffc11635f.jpg.296x216.jpg', '天然氧吧，空气清新，地理位置优优越', '绿地乔治庄园  | 4室2厅 | 163平米 | 南 | 其他', '低楼层(共7层)2012年建板楼  -  蜀麓', '350万', '单价21473元/平米')
('https://image1.ljcdn.com/340100-inspection/69a036bd-9779-4dd2-ba73-31b6d7f2bddf.jpg.296x216.jpg', '简装3房 南北通透 品质小区 配套齐全', '绿城桂花园  | 3室2厅 | 147.43平米 | 南 北 | 其他', '低楼层(共10层)2006年建板楼  -  天乐', '310万', '单价21027元/平米')
('https://image1.ljcdn.com/340100-inspection/8caec297-9347-4130-8ec3-11059d80f52f.jpg.296x216.jpg', '为你而选为你为家。优山美地小户型，总价低，配套成熟', '徽商优山美地  | 2室1厅 | 58.78平米 | 南 | 其他', '高楼层(共31层)2014年建塔楼  -  天乐', '88万', '单价14972元/平米')
('https://image1.ljcdn.com/340100-inspection/95cc8f13-3106-477f-9bb9-0103e2e74ecf.jpg.296x216.jpg', '高新 安医附院 科大讯飞 创新产业园 海亮九玺两室精装', '海亮九玺  | 2室2厅 | 89.07平米 | 南 | 其他', '中楼层(共31层)2016年建塔楼  -  蜀麓', '165万', '单价18525元/平米')
('https://image1.ljcdn.com/340100-inspection/a5fdb93b-4b45-436d-8f21-41b77ee198f1.jpg.296x216.jpg', '保利西山林语 4室2厅 520万', '保利西山林语  | 4室2厅 | 358平米 | 南 | 其他', '低楼层(共1层)板楼  -  蜀麓', '520万', '单价14526元/平米')
('https://image1.ljcdn.com/340100-inspection/803ee218-b122-49f4-b29c-a19e26d616be.jpg.296x216.jpg', '恒大西 政务边 复式大户型 肥西产证', '百商现代名苑  | 4室2厅 | 147平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  兴园', '225万', '单价15307元/平米')
('https://image1.ljcdn.com/340100-inspection/3ee27df4-d04e-417a-a7c8-e7f632ab24d6.jpg.296x216.jpg', '百商玉兰公馆 次新小区 此价格包含地下车位 业主诚售', '百商悦澜山  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共32层)2014年建塔楼  -  兴园', '175万', '单价15625元/平米')
('https://image1.ljcdn.com/340100-inspection/test-c016d987-b5a3-4ad7-aa5d-b62b836d033f.png.296x216.jpg', '海亮九玺 4室2厅 215万', '海亮九玺  | 4室2厅 | 113.56平米 | 南 | 其他', '低楼层(共27层)2016年建塔楼  -  蜀麓', '215万', '单价18933元/平米')
('https://image1.ljcdn.com/340100-inspection/b4fec225-062a-4c56-842f-0dea87c0b823.jpg.296x216.jpg', '此房满五税费少，配套便利，采光通透', '国轩K西嘉  | 2室2厅 | 96.08平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  天乐', '145万', '单价15092元/平米')
('https://image1.ljcdn.com/340100-inspection/ce184fbc-38b4-4fb4-8250-6aac8e7f5093.jpg.296x216.jpg', '永和家园，中等装修 两居室 户型方正', '永和家园  | 2室1厅 | 78平米 | 南 | 其他', '高楼层(共11层)2008年建板楼  -  长宁', '110万', '单价14103元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade9d0bd7b-70e9-422e-9b5c-0c3c3a689bd0.jpg.296x216.jpg', '满二税少，户型方正，南北通透，视野开阔，采光好', '绿城桂花园  | 2室2厅 | 102.16平米 | 南 北 | 其他', '中楼层(共9层)2006年建板楼  -  天乐', '246万', '单价24080元/平米')
('https://image1.ljcdn.com/340100-inspection/039c12d8-ffd7-4105-8fcf-2c3fa762ed74.jpg.296x216.jpg', '国轩k西嘉 精装一居 满两年 业主诚售', '国轩K西嘉  | 1室1厅 | 35.75平米 | 北 | 其他', '低楼层(共18层)2008年建塔楼  -  天乐', '56万', '单价15665元/平米')
('https://image1.ljcdn.com/340100-inspection/2c6a19e5-7574-4f50-8f61-080e8dcbe6d1.jpg.296x216.jpg', '为你而选为你为家 城市风景自主装修大四房 户型方正', '徽商城市风景  | 4室2厅 | 141.06平米 | 南 | 其他', '低楼层(共11层)2008年建塔楼  -  天乐', '240万', '单价17015元/平米')
('https://image1.ljcdn.com/340100-inspection/ec98aaab-13f1-445b-ab5a-86b19b060530.jpg.296x216.jpg', '维多利亚 5室3厅 510万', '维多利亚   | 独栋别墅 | 5室3厅 | 210.15平米 | 南 | 其他', '3层2007年建板楼  -  天乐', '510万', '单价24269元/平米')
