('https://image1.ljcdn.com/440600-inspection/8b97ab30-9e17-43de-af59-711f2161936b.jpg.296x216.jpg', '利豪名郡 2室2厅 145万', '利豪名郡  | 2室2厅 | 83.7平米 | 南 | 简装', '高楼层(共17层)2011年建塔楼  -  澜石', '145万', '单价17324元/平米')
('https://image1.ljcdn.com/440600-inspection/e9b7b917-0cac-4fd9-b6e0-8795e8b53256.jpg.296x216.jpg', '康怡丽苑一期 5室2厅 355万', '康怡丽苑一期  | 5室2厅 | 202平米 | 南 | 其他', '低楼层(共12层)2006年建塔楼  -  平洲', '355万', '单价17575元/平米')
('https://image1.ljcdn.com/440600-inspection/7307de71-42bf-4e99-bcfc-577de7ec32ce.jpg.296x216.jpg', '玫瑰园 成熟小区 两房出售', '玫瑰园  | 2室2厅 | 73.47平米 | 南 北 | 简装', '中楼层(共8层)2001年建塔楼  -  绿景', '90万', '单价12250元/平米')
('https://image1.ljcdn.com/440600-inspection/13223b89-03e3-43f5-849b-538883a398c6.jpg.296x216.jpg', '华阳嘉苑 3室2厅 185万', '华阳嘉苑  | 3室2厅 | 91.75平米 | 南 | 其他', '高楼层(共31层)2016年建塔楼  -  湖景', '185万', '单价20164元/平米')
('https://image1.ljcdn.com/440600-inspection/16d6c19f-038b-4a87-b9f8-fe1c2f82c9c4.jpg.296x216.jpg', '禅城建设大厦 3室2厅 115万', '禅城建设大厦  | 3室2厅 | 109.23平米 | 东南 | 其他', '中楼层(共8层)1996年建塔楼  -  福升', '115万', '单价10529元/平米')
('https://image1.ljcdn.com/440600-inspection/ba273aad-7a75-49a4-bef0-67040417cf8d.JPG.296x216.jpg', '长信东海银 实用四房', '长信东海银湾  | 4室2厅 | 109.23平米 | 北 | 毛坯', '高楼层(共33层)2015年建塔楼  -  朝安', '260万', '单价23803元/平米')
('https://image1.ljcdn.com/440600-inspection/a7df43c1-9fbc-4e37-b31e-59f285add3ee.jpg.296x216.jpg', '岭南天地 南北向单位', '岭南天地  | 5室2厅 | 279.17平米 | 南 北 | 毛坯', '低楼层(共23层)2013年建塔楼  -  祖庙', '530.5万', '单价19001元/平米')
('https://image1.ljcdn.com/440600-inspection/72aedeb5-5a62-43a9-8e50-e69e89800878.jpg.296x216.jpg', '保利香槟花园公寓 1室1厅 44万', '保利香槟花园公寓  | 1室1厅 | 39.22平米 | 北 | 其他', '中楼层(共17层)塔楼  -  张槎', '44万', '单价11219元/平米')
('https://image1.ljcdn.com/440600-inspection/fb42f69c-b3f1-49e6-98f6-bd9a7d26a72e.jpg.296x216.jpg', '海景蓝湾 4+1房', '海景蓝湾  | 5室2厅 | 126.64平米 | 南 北 | 其他', '低楼层(共11层)2011年建塔楼  -  澜石', '260万', '单价20531元/平米')
('https://image1.ljcdn.com/440600-inspection/3ada3ba4-478a-4080-b776-5c0e96a04d1a.JPG.296x216.jpg', '金地九珑璧 4室2厅 430万', '金地九珑璧  | 4室2厅 | 175平米 | 西南 | 其他', '中楼层(共26层)2011年建塔楼  -  湖景', '430万', '单价24572元/平米')
('https://image1.ljcdn.com/440600-inspection/456700f9-99ab-47b7-b8ca-bf9669dac151.jpg.296x216.jpg', '中海文华熙岸 3房2厅 南向 望小区 电梯24层 视野宽阔', '中海文华熙岸  | 3室2厅 | 89平米 | 南 | 精装', '高楼层(共33层)2010年建塔楼  -  湖景', '280万', '单价31461元/平米')
('https://image1.ljcdn.com/440600-inspection/ad79bcd1-78f4-42fc-9cba-deba144f2a76.jpg.296x216.jpg', '嘉俊雅苑 2室1厅 155万', '嘉俊雅苑  | 2室1厅 | 91.91平米 | 东北 | 其他', '低楼层(共16层)2010年建塔楼  -  同济', '155万', '单价16865元/平米')
('https://image1.ljcdn.com/440600-inspection/684d417d-ce7f-4175-8efb-405f0934949f.jpg.296x216.jpg', '岭南天地 东华轩别墅出售', '岭南天地东华轩二期   | 独栋别墅 | 7室3厅 | 496平米 | 南 北 | 毛坯', '1层2011年建暂无数据  -  祖庙', '1500万', '单价30242元/平米')
('https://image1.ljcdn.com/440600-inspection/ee3c21db-2b15-4e39-be68-71a6d5d5ea0a.jpg.296x216.jpg', '凯德瀚城 电梯三房出售', '凯德瀚城  | 3室2厅 | 90.66平米 | 北 | 精装', '高楼层(共11层)2005年建板塔结合  -  魁奇', '163万', '单价17980元/平米')
('https://image1.ljcdn.com/440600-inspection/616c8d58-fe18-4df7-96fc-e86263949395.jpg.296x216.jpg', '保利香槟花园公寓 1室1厅 44万', '保利香槟花园公寓  | 1室1厅 | 39.22平米 | 北 | 其他', '中楼层(共17层)塔楼  -  张槎', '44万', '单价11219元/平米')
('https://image1.ljcdn.com/440600-inspection/9d857709-7031-4ea5-8af7-78cbd13e0fa0.jpg.296x216.jpg', '碧桂园城市花园 3房2厅', '碧桂园城市花园北区  | 3室2厅 | 127.68平米 | 南 | 精装', '低楼层(共29层)2013年建塔楼  -  澜石', '220万', '单价17231元/平米')
('https://image1.ljcdn.com/440600-inspection/86ad5112-e0ea-4891-8823-030872b385d0.jpg.296x216.jpg', '东海国际花园四区1期 4室2厅 235万', '东海国际花园四区1期  | 4室2厅 | 118.33平米 | 南 | 其他', '低楼层(共17层)2014年建塔楼  -  汾江北', '235万', '单价19860元/平米')
('https://image1.ljcdn.com/440600-inspection/618a354d-be1c-463d-bbb7-2d5450a0e7c1.jpg.296x216.jpg', '兆阳御花园 2室1厅 170万', '兆阳御花园  | 2室1厅 | 75平米 | 南 | 其他', '低楼层(共20层)2015年建塔楼  -  绿景', '170万', '单价22667元/平米')
('https://image1.ljcdn.com/440600-inspection/a2969fed-360b-4208-ae56-618e4e6edee0.jpg.296x216.jpg', '唐园路 电梯3房出售', '唐园路  | 3室2厅 | 163.97平米 | 南 北 | 精装', '低楼层(共8层)1996年建塔楼  -  唐园', '156万', '单价9514元/平米')
('https://image1.ljcdn.com/440600-inspection/d2053729-8b1c-4ea6-a2f0-0261e679eda0.jpg.296x216.jpg', '金地九龙壁 联排单边别墅 采光好', '金地九珑璧   | 独栋别墅 | 6室3厅 | 306.59平米 | 南 北 | 毛坯', '1层2010年建板楼  -  湖景', '940万', '单价30660元/平米')
('https://image1.ljcdn.com/440600-inspection/021f5cad-fb38-48fb-9b60-d45c08b77a58.jpg.296x216.jpg', '岭南天地尚苑 毛坯三房', '岭南天地尚苑  | 3室2厅 | 126平米 | 南 北 | 毛坯', '高楼层(共42层)2015年建塔楼  -  祖庙', '252万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/7d4fac81-9fc4-454b-a92a-d353924fcd9f.jpg.296x216.jpg', '保利香槟花园公寓 1室1厅 44万', '保利香槟花园公寓  | 1室1厅 | 39.22平米 | 北 | 其他', '中楼层(共17层)塔楼  -  张槎', '44万', '单价11219元/平米')
('https://image1.ljcdn.com/440600-inspection/7b476d99-e2b0-483c-87e2-bcb8f1ae06bb.jpg.296x216.jpg', '星星华园国际 中楼层  视野宽敞', '星星华园国际  | 4室2厅 | 207.66平米 | 南 北 | 毛坯', '中楼层(共30层)2013年建塔楼  -  季华', '480万', '单价23115元/平米')
('https://image1.ljcdn.com/440600-inspection/d32c94ba-0b26-4e9b-851e-090d5713fb0b.jpg.296x216.jpg', '名汇大厦 3室2厅 200万', '名汇大厦  | 3室2厅 | 119平米 | 东南 | 其他', '低楼层(共28层)2002年建塔楼  -  祖庙', '200万', '单价16807元/平米')
('https://image1.ljcdn.com/440600-inspection/75bbb90a-6e4e-4fd3-81b4-a58a75870f5f.jpg.296x216.jpg', '盈彩美居 1房1厅出售', '盈彩美居  | 1室1厅 | 54.1平米 | 南 | 其他', '低楼层(共25层)2007年建塔楼  -  季华', '75万', '单价13864元/平米')
('https://image1.ljcdn.com/440600-inspection/958be3b4-2ea7-46ec-a490-9eb10916fe9a.jpg.296x216.jpg', '珠江罗马新都 四房两厅户型', '珠江罗马新都  | 4室2厅 | 162平米 | 南 北 | 毛坯', '高楼层(共17层)2016年建塔楼  -  张槎', '305万', '单价18828元/平米')
('https://image1.ljcdn.com/440600-inspection/e00cf907-afda-4e82-8e48-293c206ed2e1.jpg.296x216.jpg', '东方水岸小复式房 温馨3房 带2阁楼', '东方水岸  | 3室2厅 | 111.29平米 | 南 | 其他', '中楼层(共11层)2007年建塔楼  -  澜石', '220万', '单价19769元/平米')
('https://image1.ljcdn.com/440600-inspection/e969e41f-17f9-4e65-ad7f-e4d15a39c3fc.jpg.296x216.jpg', '保利天玺 4房2厅出售', '保利天玺  | 4室2厅 | 169.31平米 | 南 北 | 其他', '高楼层(共32层)2013年建塔楼  -  岭南大道', '432万', '单价25516元/平米')
('https://image1.ljcdn.com/440600-inspection/08851fe7-9606-41bf-9ce6-4d178f819c27.jpg.296x216.jpg', '柏丽花园 3室2厅 100万', '柏丽花园  | 3室2厅 | 111.97平米 | 南 | 其他', '高楼层(共8层)1998年建板楼  -  南桂西', '100万', '单价8931元/平米')
('https://image1.ljcdn.com/440600-inspection/c793d9ae-bc0d-4fe6-8049-a662e6e32aad.jpg.296x216.jpg', '恒安瑞士公寓 1房1厅出售', '环球国际广场  | 1室1厅 | 97平米 | 东北 | 其他', '中楼层(共36层)2008年建塔楼  -  亲仁', '78万', '单价8042元/平米')
('https://image1.ljcdn.com/440600-inspection/59be0416-d8a4-4faa-8762-80c0c3105fec.jpg.296x216.jpg', '红棉雅苑 二房出售 封闭式小区', '红棉雅苑  | 2室1厅 | 83平米 | 东南 | 精装', '低楼层(共12层)2006年建塔楼  -  亲仁', '190万', '单价22892元/平米')
('https://image1.ljcdn.com/440600-inspection/7f2b5ff1-36c5-49e9-a192-93362a17251e.jpg.296x216.jpg', '普君新城 电梯三房 装修简洁', '普君新城普君东路1号  | 3室2厅 | 85平米 | 南 北 | 简装', '低楼层(共30层)2010年建塔楼  -  祖庙', '148万', '单价17412元/平米')
('https://image1.ljcdn.com/440600-inspection/932c3e2c-b9d8-497d-8935-003e4d4f4671.jpg.296x216.jpg', '普君新城华府 电梯精装三房', '普君新城华府  | 3室2厅 | 124.1平米 | 南 北 | 精装', '高楼层(共32层)2015年建塔楼  -  祖庙', '320万', '单价25786元/平米')
('https://image1.ljcdn.com/440600-inspection/cd328e2d-e18a-415a-80db-2b777d4cb88a.jpg.296x216.jpg', '越秀可逸新势力 4室2厅 268万', '越秀可逸新势力  | 4室2厅 | 129平米 | 北 | 其他', '高楼层(共32层)2016年建塔楼  -  南桂西', '268万', '单价20776元/平米')
('https://image1.ljcdn.com/440600-inspection/7e2b166a-5422-4f72-86be-f495c52b7f52.jpg.296x216.jpg', '保利香槟花园 1室0厅 62万', '保利香槟花园  | 1室0厅 | 39.1平米 | 北 | 精装', '高楼层(共15层)2012年建塔楼  -  张槎', '62万', '单价15857元/平米')
('https://image1.ljcdn.com/440600-inspection/b5bfc043-da2b-4b85-920a-640972dfc165.jpg.296x216.jpg', '依云上城 毛坯三房', '依云上城  | 3室2厅 | 75平米 | 东南 | 毛坯', '高楼层(共30层)2012年建板塔结合  -  魁奇', '185万', '单价24667元/平米')
('https://image1.ljcdn.com/440600-inspection/a504d0d0-f589-436c-81e3-35cd2292799c.jpg.296x216.jpg', '碧桂园城市花园 稀有大户型 带装修4房', '碧桂园城市花园南区  | 4室2厅 | 185平米 | 南 | 精装', '高楼层(共32层)2013年建板塔结合  -  澜石', '328万', '单价17730元/平米')
('https://image1.ljcdn.com/440600-inspection/3f04a32e-af3f-4403-aeb5-a7e5541e680c.jpg.296x216.jpg', '碧桂园城市花园 5房3厅', '碧桂园城市花园中区  | 5室2厅 | 519.3平米 | 南 北 | 毛坯', '高楼层(共31层)2013年建板塔结合  -  澜石', '750万', '单价14443元/平米')
('https://image1.ljcdn.com/440600-inspection/d06d0349-27bc-4339-8c50-e92381504b3d.jpg.296x216.jpg', '保利香槟花园 5室1厅 300万', '保利香槟花园  | 5室1厅 | 171.88平米 | 东 | 精装', '高楼层(共16层)2012年建塔楼  -  张槎', '300万', '单价17455元/平米')
('https://image1.ljcdn.com/440600-inspection/7d27e202-0d9f-4e7d-b8ea-976be0d3ac84.jpg.296x216.jpg', '恒福国际商业中心 1室1厅 65万', '恒福国际商业中心  | 1室1厅 | 37平米 | 南 | 其他', '中楼层(共20层)塔楼  -  朝安', '65万', '单价17568元/平米')
('https://image1.ljcdn.com/440600-inspection/85b8f0e3-916b-4af9-b03e-c8f8f6805283.jpg.296x216.jpg', '普君新城悦园 南向三房', '普君新城华府  | 3室2厅 | 125.5平米 | 南 | 毛坯', '高楼层(共30层)2016年建塔楼  -  祖庙', '260万', '单价20718元/平米')
('https://image1.ljcdn.com/440600-inspection/0f544653-3e40-4b9c-825b-b88907b7702b.jpg.296x216.jpg', '金地珑悦花园 南向装修三房出售', '金地珑悦  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共34层)2017年建塔楼  -  湖景', '200万', '单价22472元/平米')
('https://image1.ljcdn.com/440600-inspection/39007a14-5b65-47b8-95cb-a1e1a13cc0dd.jpg.296x216.jpg', '东方水岸 毛坯四房 包车位  业主诚意出售', '东方水岸  | 4室2厅 | 170.23平米 | 南 北 | 毛坯', '中楼层(共14层)2007年建塔楼  -  澜石', '290万', '单价17036元/平米')
('https://image1.ljcdn.com/440600-inspection/71888bab-fdf9-406f-88b2-1f6082becec9.jpg.296x216.jpg', '涟岸花园 环境优美 一线望湖', '涟岸  | 3室1厅 | 146平米 | 南 北 | 其他', '中楼层(共32层)2017年建塔楼  -  南庄', '240万', '单价16439元/平米')
('https://image1.ljcdn.com/440600-inspection/2e5dc276-9cf0-494b-a28d-b6f4ead88e1a.jpg.296x216.jpg', '东华嘉苑 格局方正 三房两厅', '岭南天地东华嘉苑一期  | 3室2厅 | 163平米 | 南 北 | 其他', '中楼层(共8层)2011年建塔楼  -  祖庙', '466万', '单价28589元/平米')
('https://image1.ljcdn.com/440600-inspection/d46e6921-a29a-412d-b69a-af0a11e68b3d.JPG.296x216.jpg', '长信东海银湾 1室1厅 63万', '长信东海银湾  | 1室1厅 | 38平米 | 南 | 简装', '中楼层(共31层)2015年建塔楼  -  朝安', '63万', '单价16579元/平米')
('https://image1.ljcdn.com/440600-inspection/1590fc4d-7528-44ad-a222-01deee8c2750.jpg.296x216.jpg', '雄盛王府广场 1室1厅 70万', '雄盛王府广场  | 1室1厅 | 39.61平米 | 东 | 其他', '高楼层(共29层)2017年建塔楼  -  石湾', '70万', '单价17673元/平米')
('https://image1.ljcdn.com/440600-inspection/847228aa-0500-45ab-8bce-3df1d178be0b.jpg.296x216.jpg', '华宝世家雅苑 毛坯两房', '华宝世家雅苑  | 2室2厅 | 73.74平米 | 北 | 毛坯', '中楼层(共17层)塔楼  -  石湾', '95万', '单价12884元/平米')
('https://image1.ljcdn.com/440600-inspection/dad5853d-5c09-411c-89f6-06381c84732b.jpg.296x216.jpg', '卓远云峰 精装二房 格局方正 采光充足', '卓远云峰  | 2室2厅 | 79.58平米 | 北 | 精装', '低楼层(共9层)2016年建塔楼  -  张槎', '118万', '单价14828元/平米')
('https://image1.ljcdn.com/440600-inspection/d3dc65c7-271d-4d5f-bc87-7670fa7549c0.jpg.296x216.jpg', '星海岸城市花园 靓装修四房  中等楼层', '星海岸城市花园  | 4室2厅 | 141.26平米 | 南 北 | 精装', '中楼层(共21层)2012年建塔楼  -  澜石', '330万', '单价23362元/平米')
('https://image1.ljcdn.com/440600-inspection/65010063-5d18-4078-b46a-c17185c2d547.jpg.296x216.jpg', '岭南隽庭 带装修未入住电梯3房', '越秀岭南隽庭  | 3室2厅 | 120平米 | 南 北 | 简装', '低楼层(共30层)2015年建塔楼  -  岭南大道', '264万', '单价22000元/平米')
('https://image1.ljcdn.com/440600-inspection/890461bc-e88b-4153-a064-88ee9e2acdfd.jpg.296x216.jpg', '鸿业城市花园 2房2厅 出售', '鸿业城市花园  | 2室2厅 | 88.9平米 | 南 | 精装', '高楼层(共23层)2011年建塔楼  -  湖景', '180万', '单价20248元/平米')
('https://image1.ljcdn.com/440600-inspection/4fc2dfec-c02b-4349-b06a-ee9058cab4c2.jpg.296x216.jpg', '汇星源 复式5房', '汇星源  | 5室2厅 | 250平米 | 东南 | 其他', '高楼层(共25层)2003年建塔楼  -  绿景', '305万', '单价12200元/平米')
('https://image1.ljcdn.com/440600-inspection/a1d831ab-e9c7-45eb-91ae-cce9ca829279.jpg.296x216.jpg', '华盛大厦 三房两厅 交通便利', '华盛大厦  | 3室2厅 | 110.09平米 | 南 北 | 简装', '低楼层(共18层)塔楼  -  亲仁', '148万', '单价13444元/平米')
('https://image1.ljcdn.com/440600-inspection/352f61fc-b8a5-4472-a334-39e7b0988762.jpg.296x216.jpg', '鸿业现代城 1室1厅 85万', '鸿业现代城  | 1室1厅 | 51.87平米 | 东南 | 其他', '高楼层(共30层)2007年建塔楼  -  同济', '85万', '单价16388元/平米')
('https://image1.ljcdn.com/440600-inspection/79928553-c50e-4cae-970f-56255947e8f0.jpg.296x216.jpg', '华宝世家雅苑 毛坯两房', '华宝世家雅苑  | 2室2厅 | 73.72平米 | 北 | 毛坯', '高楼层(共17层)塔楼  -  石湾', '100万', '单价13565元/平米')
('https://image1.ljcdn.com/440600-inspection/b8e021f1-e5ee-469d-898c-ceebcf17acaa.jpg.296x216.jpg', '东江国际 精装2房 厅出阳台 配套齐', '东江国际  | 2室2厅 | 78.57平米 | 东北 | 精装', '低楼层(共18层)2011年建塔楼  -  魁奇', '138万', '单价17564元/平米')
('https://image1.ljcdn.com/440600-inspection/462ff606-bd6a-41a3-8d8a-890d4090d99e.jpg.296x216.jpg', '季华路 童梦天下 四房双阳台', '童梦天下  | 4室2厅 | 111平米 | 南 北 | 毛坯', '高楼层(共23层)2017年建塔楼  -  石湾', '185万', '单价16667元/平米')
('https://image1.ljcdn.com/440600-inspection/5c8b7d1e-ce50-4e6e-a1f0-0fc6d80cb366.jpg.296x216.jpg', '保利香槟花园 电梯洋房 花园小区', '保利香槟花园  | 1室1厅 | 40平米 | 北 | 精装', '低楼层(共16层)2012年建塔楼  -  张槎', '58万', '单价14500元/平米')
('https://image1.ljcdn.com/440600-inspection/1e0261f5-4062-405c-b310-1314f776cf4a.jpg.296x216.jpg', '佛山雅居乐花园 三房出售', '佛山雅居乐花园8号1区  | 3室2厅 | 157平米 | 南 北 | 简装', '高楼层(共10层)2014年建塔楼  -  湖景', '315万', '单价20064元/平米')
('https://image1.ljcdn.com/440600-inspection/ca8291fc-7a8d-434c-b78f-161ab96042e6.jpg.296x216.jpg', '东升内街 4房2厅', '东升小区  | 4室2厅 | 132.5平米 | 南 北 | 简装', '高楼层(共8层)1993年建塔楼  -  南桂西', '112万', '单价8453元/平米')
('https://image1.ljcdn.com/440600-inspection/1aa0ad31-1ede-42b6-964c-ff6e8ffcb14e.jpg.296x216.jpg', '恒安瑞士公寓 二房二厅', '环球国际广场  | 2室2厅 | 167平米 | 南 北 | 精装', '高楼层(共36层)2008年建塔楼  -  亲仁', '217.1万', '单价13000元/平米')
('https://image1.ljcdn.com/440600-inspection/cc543633-cc82-427e-b0a4-96ecc200d99e.jpg.296x216.jpg', '荟景园 三房出售', '荟景园  | 3室2厅 | 164平米 | 东南 | 简装', '中楼层(共8层)2000年建塔楼  -  同济', '205万', '单价12500元/平米')
('https://image1.ljcdn.com/440600-inspection/f081e6fb-7879-4fbe-b8cf-e6f6c0fa4813.jpg.296x216.jpg', '保利天玺 1室1厅 43万', '保利天玺  | 1室1厅 | 36平米 | 西 | 精装', '中楼层(共31层)2013年建塔楼  -  岭南大道', '43万', '单价11945元/平米')
('https://image1.ljcdn.com/440600-inspection/4ecf4f72-8e11-41b4-ad25-77f92d10207f.jpg.296x216.jpg', '龙光水悦龙湾联排别墅', '龙光水悦龙湾  | 6室3厅 | 297.45平米 | 南 | 其他', '1层2016年建塔楼  -  南庄', '650万', '单价21853元/平米')
('https://image1.ljcdn.com/440600-inspection/59376efb-436d-483e-bed8-9ae033593876.jpg.296x216.jpg', '沿海馨庭 装修三房 户型方正 刚需实用', '沿海馨庭  | 3室2厅 | 91.69平米 | 北 | 精装', '低楼层(共32层)2013年建塔楼  -  澜石', '195万', '单价21268元/平米')
('https://image1.ljcdn.com/440600-inspection/2a16e11c-ea22-42c9-b52e-fb4e5d95b2ab.jpg.296x216.jpg', '祖庙 福升大夏 电梯两房 新装修', '福升大厦  | 2室2厅 | 92.77平米 | 西南 | 精装', '高楼层(共26层)2000年建塔楼  -  祖庙', '109万', '单价11750元/平米')
('https://image1.ljcdn.com/440600-inspection/2b19868b-9665-4107-81ea-45b6a21fb151.jpg.296x216.jpg', '鸿翔商住区 3房2厅 165万元', '鸿翔商住区  | 3室2厅 | 110平米 | 南 北 | 其他', '高楼层(共9层)2000年建塔楼  -  湖景', '165万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/cddc3ca8-9082-4d8a-8711-8d2ad179ab00.jpg.296x216.jpg', '金沙新城 成熟小区 诚意三房出售', '金沙新城  | 3室2厅 | 125.32平米 | 东南 | 其他', '中楼层(共7层)2001年建塔楼  -  张槎', '133万', '单价10613元/平米')
('https://image1.ljcdn.com/440600-inspection/6febb551-ab56-44b2-a5c3-dd72e656034a.jpg.296x216.jpg', '普君新城东苑 南向三房', '普君新城东苑  | 4室2厅 | 150平米 | 南 | 其他', '低楼层(共32层)2010年建塔楼  -  祖庙', '285万', '单价19000元/平米')
('https://image1.ljcdn.com/440600-inspection/d028ac57-224b-478d-8c75-63f56468778c.jpg.296x216.jpg', '星星华园 公寓出售', '星星华园国际公寓  | 1室1厅 | 38平米 | 南 | 精装', '高楼层(共31层)塔楼  -  季华', '65万', '单价17106元/平米')
('https://image1.ljcdn.com/440600-inspection/7e44745a-53e6-4db8-b6c4-a73f74b356f0.jpg.296x216.jpg', '金子苑 交通便利', '金子苑  | 4室2厅 | 116平米 | 南 | 简装', '高楼层(共8层)2000年建塔楼  -  季华', '100万', '单价8621元/平米')
('https://image1.ljcdn.com/440600-inspection/0f2a86b1-2a71-4a31-bb12-c53453617cc9.jpg.296x216.jpg', '丽日豪庭 装修新净 成熟小区', '丽日豪庭  | 5室3厅 | 229.25平米 | 东南 | 简装', '高楼层(共6层)2002年建板楼  -  魁奇', '330万', '单价14395元/平米')
('https://image1.ljcdn.com/440600-inspection/36f5d097-2db6-48b5-a222-a92f06b13143.jpg.296x216.jpg', '金鱼街舒适四居室 诚意出售', '金鱼街  | 4室2厅 | 146.9平米 | 南 | 其他', '高楼层(共7层)板楼  -  同济', '200万', '单价13615元/平米')
('https://image1.ljcdn.com/440600-inspection/e386f71a-fd46-438e-b73e-a3265f4c303f.jpg.296x216.jpg', '康怡丽苑 格局方正 通风采光', '康怡丽苑一期  | 3室2厅 | 117平米 | 北 | 精装', '中楼层(共22层)2006年建塔楼  -  平洲', '230万', '单价19659元/平米')
('https://image1.ljcdn.com/440600-inspection/1630ffa9-a477-4b91-8d13-2bfb221e1716.jpg.296x216.jpg', '桥晶花园 三房两厅', '侨晶花园  | 3室2厅 | 107平米 | 南 北 | 简装', '高楼层(共23层)2000年建塔楼  -  祖庙', '135万', '单价12617元/平米')
('https://image1.ljcdn.com/440600-inspection/ac467996-e486-4412-b5d1-a90b8e8b9f8f.jpg.296x216.jpg', '玫瑰园 三房二厅二卫出售', '玫瑰园  | 3室2厅 | 139平米 | 南 北 | 简装', '中楼层(共8层)2001年建塔楼  -  绿景', '175万', '单价12590元/平米')
('https://image1.ljcdn.com/440600-inspection/ec9cd62c-36dd-47b6-8eb1-713660c338a5.jpg.296x216.jpg', '锦隆花园 两房出售 电梯中层 采光好', '锦隆花园  | 2室2厅 | 78平米 | 北 | 其他', '中楼层(共15层)2012年建塔楼  -  福升', '155万', '单价19872元/平米')
('https://image1.ljcdn.com/440600-inspection/58c79372-5f68-4632-89b7-6b43b6aff84f.jpg.296x216.jpg', '怡景丽苑 园林小区', '怡景丽苑  | 3室2厅 | 121平米 | 南 | 精装', '高楼层(共10层)2004年建塔楼  -  魁奇', '210万', '单价17356元/平米')
('https://image1.ljcdn.com/440600-inspection/1ef0755e-ba8c-4f17-a69c-95dae28047fc.jpg.296x216.jpg', '滨海御庭 1房1厅 43.5万元', '滨海御庭  | 1室1厅 | 29.29平米 | 西 | 简装', '低楼层(共32层)2008年建塔楼  -  澜石', '48万', '单价16388元/平米')
('https://image1.ljcdn.com/440600-inspection/90ca1273-0ada-4232-9586-6d62809ba5cc.jpg.296x216.jpg', '滨海御庭 1房1厅 43.5万元', '滨海御庭  | 1室1厅 | 29.29平米 | 西 | 简装', '低楼层(共32层)2008年建塔楼  -  澜石', '48万', '单价16388元/平米')
('https://image1.ljcdn.com/440600-inspection/b20624f6-7a77-450c-841a-68ca0886802f.jpg.296x216.jpg', '钻石苑 电梯装三房 南北对流 环境舒适', '钻石苑  | 3室2厅 | 120.75平米 | 南 北 | 简装', '中楼层(共16层)1999年建塔楼  -  祖庙', '205万', '单价16978元/平米')
('https://image1.ljcdn.com/440600-inspection/176b65f2-4415-43a0-86bc-ed9cacc546da.jpg.296x216.jpg', '倚翠园 3房2厅 259.5万元', '倚翠园  | 3室2厅 | 173平米 | 东 西 | 精装', '高楼层(共14层)2002年建塔楼  -  绿景', '242.2万', '单价14000元/平米')
('https://image1.ljcdn.com/440600-inspection/b51fb26b-edb3-455e-9eef-aed8d08d2dd9.jpg.296x216.jpg', '鸿业城市花园 1房1厅 126万元', '鸿业城市花园  | 1室1厅 | 60平米 | 北 | 简装', '低楼层(共23层)2011年建塔楼  -  湖景', '126万', '单价21000元/平米')
('https://image1.ljcdn.com/440600-inspection/308d4c57-7f24-4331-816b-376340ce356e.jpg.296x216.jpg', '泷景花园 3室2厅 350万', '泷景花园  | 3室2厅 | 160平米 | 东南 | 精装', '高楼层(共39层)塔楼  -  澜石', '350万', '单价21875元/平米')
('https://image1.ljcdn.com/440600-inspection/7918a06c-3e95-41af-a254-c68fee7f691a.jpg.296x216.jpg', '依云上城 3房2厅 40平方露台', '依云上城  | 3室2厅 | 68平米 | 南 | 精装', '低楼层(共25层)2012年建板塔结合  -  魁奇', '175万', '单价25736元/平米')
('https://image1.ljcdn.com/440600-inspection/cf1e87e1-cf71-48ab-a0be-0a34a57a95d3.jpg.296x216.jpg', '中海文华熙岸别墅 毛坯出售', '中海文华熙岸   | 双拼别墅 | 5室2厅 | 398.21平米 | 南 北 | 毛坯', '1层2010年建暂无数据  -  湖景', '900万', '单价22602元/平米')
('https://image1.ljcdn.com/440600-inspection/9eaef72f-c2ed-40ea-8421-f5154dfa776e.jpg.296x216.jpg', '碧云天 毛坯复式三层', '碧云天  | 4室2厅 | 172.54平米 | 南 北 | 毛坯', '低楼层(共11层)2003年建塔楼  -  魁奇', '346万', '单价20054元/平米')
('https://image1.ljcdn.com/440600-inspection/15f8e974-573f-49e5-8bd7-683af0b45267.jpg.296x216.jpg', '宇翠庭 2室2厅 151万', '宇翠庭  | 2室2厅 | 100.06平米 | 东 西 | 其他', '低楼层(共11层)2009年建塔楼  -  祖庙', '151万', '单价15091元/平米')
('https://image1.ljcdn.com/440600-inspection/224e162b-2d81-45ff-8ee4-e59132ad0a82.jpg.296x216.jpg', '红棉大厦 实用3房', '红棉苑  | 3室2厅 | 139.93平米 | 南 | 其他', '高楼层(共21层)2001年建板楼  -  亲仁', '168万', '单价12007元/平米')
('https://image1.ljcdn.com/440600-inspection/fcf3a42c-6e01-42c6-90d0-a9d5ef8c8300.jpg.296x216.jpg', '玫瑰铂金公馆 电梯洋房', '玫瑰铂金公馆  | 2室2厅 | 73.64平米 | 东北 | 其他', '高楼层(共31层)2013年建塔楼  -  石湾', '135万', '单价18333元/平米')
