('https://image1.ljcdn.com/210100-inspection/65ec54f2-3154-44dd-93c3-ebdb1517d5e8.jpg.296x216.jpg', '人杰水岸一期多层 精装修 业主自住婚装', '中铁人杰水岸一期  | 3室2厅 | 81.53平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '75万', '单价9200元/平米')
('https://image1.ljcdn.com/210100-inspection/b97b64c4-43bf-4a64-9d22-df4cc51fbd38.jpg.296x216.jpg', '中铁人杰水岸一期多层精装修拎包入住', '中铁人杰水岸一期  | 2室2厅 | 105.31平米 | 东 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  沈北新区', '95万', '单价9021元/平米')
('https://image1.ljcdn.com/210100-inspection/f4725ee0-4a7e-4404-acf6-7b81c7ac3ac3.jpg.296x216.jpg', '鲁班尚品 两室一厅 正良商圈 视野好', '鲁班尚品  | 2室1厅 | 71.8平米 | 南 北 | 其他', '高楼层(共18层)2011年建板楼  -  沈北新区', '50万', '单价6964元/平米')
('https://image1.ljcdn.com/210100-inspection/f1ede808-516f-4a98-a19d-c7753978b4e2.jpg.296x216.jpg', '婚装好房三室荣盛盛京绿洲拎包入住', '荣盛盛京绿洲  | 3室2厅 | 99.25平米 | 南 北 | 精装', '中楼层(共18层)2016年建板楼  -  沈北新区', '73万', '单价7356元/平米')
('https://image1.ljcdn.com/210100-inspection/fecfc040-8774-4a9b-b83b-a0a7bd3d5320.jpg.296x216.jpg', '沈北 盛京绿洲 两室两厅 二号线口 适合老人居住', '荣盛盛京绿洲  | 2室2厅 | 88.77平米 | 南 北 | 其他', '低楼层(共26层)2016年建板楼  -  沈北新区', '60万', '单价6760元/平米')
('https://image1.ljcdn.com/210100-inspection/fd43b0b5-8bc6-4e8b-9372-a40680c5f5c8.jpg.296x216.jpg', '中铁人杰水岸一期 3室2厅 86万', '中铁人杰水岸一期  | 3室2厅 | 84.3平米 | 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  沈北新区', '86万', '单价10202元/平米')
('https://image1.ljcdn.com/210100-inspection/90a809c2-fa0e-41be-b3ec-2199b869eaff.jpg.296x216.jpg', '交通方便，配套齐全，带装修，带家电', '华强城  | 1室1厅 | 54.23平米 | 北 | 精装', '中楼层(共31层)板楼  -  沈北新区', '46.5万', '单价8575元/平米')
('https://image1.ljcdn.com/210100-inspection/e4cd1b48-c768-4dce-a026-c82706fb9cb7.jpg.296x216.jpg', '碧桂园太阳城 2室2厅 49.5万', '碧桂园太阳城  | 2室2厅 | 77.22平米 | 南 北 | 其他', '高楼层(共31层)暂无数据  -  沈北新区', '49.5万', '单价6411元/平米')
('https://image1.ljcdn.com/210100-inspection/9ffb2714-5fee-48c3-af7c-b4dee795f364.jpg.296x216.jpg', '唐轩公馆  一室一厅  精装修', '融创唐轩公馆  | 1室1厅 | 50.26平米 | 西北 | 精装', '低楼层(共32层)暂无数据  -  沈北新区', '44.5万', '单价8854元/平米')
('https://image1.ljcdn.com/210100-inspection/862fab00-3e51-499b-997d-c6adf06a0868.jpg.296x216.jpg', '荣盛盛京绿洲 3室2厅 68万', '荣盛盛京绿洲  | 3室2厅 | 118.33平米 | 南 北 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '68万', '单价5747元/平米')
('https://image1.ljcdn.com/210100-inspection/ec428837-fca8-4ae0-a7bf-6c7fb8a734ef.jpg.296x216.jpg', '华强城  一室  44万  小户型精装', '华强城  | 1室0厅 | 47.15平米 | 西南 | 精装', '高楼层(共31层)板楼  -  沈北新区', '44万', '单价9332元/平米')
('https://image1.ljcdn.com/210100-inspection/fdc3eb72-8773-4555-93ef-177e627dc1ec.jpg.296x216.jpg', '荣盛盛京绿洲 2室1厅 56万', '荣盛盛京绿洲  | 2室1厅 | 88.77平米 | 南 北 | 其他', '高楼层(共26层)2016年建板楼  -  沈北新区', '56万', '单价6309元/平米')
('https://image1.ljcdn.com/210100-inspection/520de9a3-4dfe-4f28-99c1-a679b7078ff0.jpg.296x216.jpg', '雅居乐花园A地块 精装修小户型', '沈阳雅居乐花园A地块  | 1室0厅 | 46平米 | 东 北 | 其他', '高楼层(共29层)板楼  -  沈北新区', '38万', '单价8261元/平米')
('https://image1.ljcdn.com/210100-inspection/f3789cfa-9681-44c7-be87-4c26c1a72fdd.jpg.296x216.jpg', '美麟阁 2室1厅 56万', '美麟阁  | 2室1厅 | 70.69平米 | 南 北 | 其他', '低楼层(共23层)暂无数据  -  沈北新区', '56万', '单价7922元/平米')
('https://image1.ljcdn.com/210100-inspection/456ea902-5e21-49b3-a722-a2a312d43fb1.jpg.296x216.jpg', '太湖国际花园 精装修 家电齐全 拎包入住', '太湖国际花园  | 2室2厅 | 91.94平米 | 南 北 | 其他', '高楼层(共5层)暂无数据  -  沈北新区', '77万', '单价8376元/平米')
('https://image1.ljcdn.com/210100-inspection/d13c00bd-ff81-4daf-8b29-0db8dd69729b.jpg.296x216.jpg', '城建美庭 2室2厅 64万', '城建美庭  | 2室2厅 | 87.8平米 | 东南 | 其他', '高楼层(共18层)暂无数据  -  沈北新区', '64万', '单价7290元/平米')
('https://image1.ljcdn.com/210100-inspection/b6e3432c-71d0-4f8d-9f73-256dfa1871fa.jpg.296x216.jpg', '房主急售 华强城 位置好 小面积   毛坯 随时可看', '华强城  | 1室1厅 | 48.41平米 | 南 | 其他', '高楼层(共31层)板楼  -  沈北新区', '42万', '单价8676元/平米')
('https://image1.ljcdn.com/210100-inspection/3738d365-41c6-4fed-bc13-8db85247d39c.jpg.296x216.jpg', '华强城 3室2厅 105万', '华强城  | 3室2厅 | 108平米 | 南 北 | 其他', '中楼层(共31层)板楼  -  沈北新区', '105万', '单价9723元/平米')
('https://image1.ljcdn.com/210100-inspection/9bc3fbf7-fb08-48ff-8eb2-1ca84a64158e.jpg.296x216.jpg', '步阳江南甲第 1室0厅 42万', '步阳江南甲第  | 1室0厅 | 53.36平米 | 东 | 简装', '低楼层(共18层)2015年建板楼  -  沈北新区', '42万', '单价7872元/平米')
('https://image1.ljcdn.com/210100-inspection/00ea9b54-37cf-4f80-b702-465757c504e2.jpg.296x216.jpg', '三盛颐景蓝湾 2室1厅 53.5万', '三盛颐景蓝湾  | 2室1厅 | 78.86平米 | 南 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '53.5万', '单价6785元/平米')
('https://image1.ljcdn.com/210100-inspection/9ae866e1-96fc-4dd5-8d89-7c6081ff18f2.jpg.296x216.jpg', '步阳江南甲第 1室1厅 41万', '步阳江南甲第  | 1室1厅 | 47.68平米 | 南 | 其他', '高楼层(共18层)2015年建板楼  -  沈北新区', '41万', '单价8599元/平米')
('https://image1.ljcdn.com/210100-inspection/8e0a4d2e-79a3-48d9-82bd-0294516f403e.jpg.296x216.jpg', '融创唐轩公馆 2室1厅 57万', '融创唐轩公馆  | 2室1厅 | 62.1平米 | 南 | 其他', '中楼层(共32层)2017年建板楼  -  沈北新区', '57万', '单价9179元/平米')
('https://image1.ljcdn.com/210100-inspection/20198602-dbd6-44fd-bfe7-9b69309b077d.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室1厅 42万', '沈阳雅居乐花园A地块  | 1室1厅 | 46.95平米 | 东南 | 其他', '中楼层(共29层)2016年建板楼  -  沈北新区', '42万', '单价8946元/平米')
('https://image1.ljcdn.com/210100-inspection/06252144-eb51-40d2-a17a-e80654156666.jpg.296x216.jpg', '三盛颐景蓝湾 2室2厅 58.5万', '三盛颐景蓝湾  | 2室2厅 | 86.5平米 | 南 北 | 其他', '中楼层(共32层)板楼  -  沈北新区', '58.5万', '单价6764元/平米')
('https://image1.ljcdn.com/210100-inspection/e39d6f18-bfc4-4aff-ab41-df61f9893c82.jpg.296x216.jpg', '蒲南路 荣盛香缇澜山 采光良好 拎包即住', '荣盛香缇澜山  | 2室1厅 | 73平米 | 南 北 | 其他', '中楼层(共8层)暂无数据  -  沈北新区', '62万', '单价8494元/平米')
('https://image1.ljcdn.com/210100-inspection/b2168dd9-0bf5-4e92-91f8-df50f5ee0420.jpg.296x216.jpg', '中铁人杰水岸一期 2室1厅 64万', '中铁人杰水岸一期  | 2室1厅 | 81.5平米 | 南 北 | 其他', '高楼层(共26层)2014年建板楼  -  沈北新区', '64万', '单价7853元/平米')
('https://image1.ljcdn.com/210100-inspection/76577743-9dc1-49d5-a206-3b65e9f54c15.JPG.296x216.jpg', '祥瑞家园 7室2厅 92万', '祥瑞家园  | 7室2厅 | 171.24平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '92万', '单价5373元/平米')
('https://image1.ljcdn.com/210100-inspection/97d82e34-6c2f-47d9-9d33-d3abbc2e08e5.jpg.296x216.jpg', '碧桂园太阳城 2室2厅 57.5万', '碧桂园太阳城  | 2室2厅 | 88.67平米 | 南 北 | 其他', '低楼层(共32层)暂无数据  -  沈北新区', '57.5万', '单价6485元/平米')
('https://image1.ljcdn.com/210100-inspection/17cae1a0-3830-4bad-8e26-8abf32c372b5.jpg.296x216.jpg', '步阳江南甲第 1室1厅 39万', '步阳江南甲第  | 1室1厅 | 42.7平米 | 西 | 其他', '低楼层(共18层)2015年建板楼  -  沈北新区', '39万', '单价9134元/平米')
('https://image1.ljcdn.com/210100-inspection/f0a52d24-2f14-4599-88c9-9c0603e91213.jpg.296x216.jpg', '人杰水岸二期 1室1厅 59万', '人杰水岸二期  | 1室1厅 | 76.99平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '59万', '单价7664元/平米')
('https://image1.ljcdn.com/210100-inspection/9dc1c1e9-e8fa-4e14-b815-4adba59ba362.jpg.296x216.jpg', '双拼别墅 碧桂园太阳城 大花园露台 清水 随时可看', '碧桂园太阳城  | 6室3厅 | 380.52平米 | 南 北 | 其他', '低楼层(共3层)暂无数据  -  沈北新区', '335万', '单价8804元/平米')
('https://image1.ljcdn.com/210100-inspection/e29e4f99-3982-45ec-bca8-c03ea8eadf09.jpg.296x216.jpg', '融创唐轩公馆 1室0厅 47万', '融创唐轩公馆  | 1室0厅 | 45.84平米 | 南 | 其他', '高楼层(共31层)暂无数据  -  沈北新区', '47万', '单价10254元/平米')
('https://image1.ljcdn.com/210100-inspection/a30755f8-0b44-4d19-8f65-fcc3356d07b5.jpg.296x216.jpg', '碧桂园太阳城 联排别墅 园区中间位置 户型好', '碧桂园太阳城  | 6室2厅 | 380.52平米 | 南 北 | 精装', '低楼层(共3层)暂无数据  -  沈北新区', '450万', '单价11826元/平米')
('https://image1.ljcdn.com/210100-inspection/55cee78f-26f9-455a-bad3-efb93637594f.jpg.296x216.jpg', '人杰水岸二期 3室2厅 90万', '人杰水岸二期  | 3室2厅 | 100.51平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  沈北新区', '90万', '单价8955元/平米')
('https://image1.ljcdn.com/210100-inspection/e6f08d7c-8fe2-4549-85bb-389ea8ac1dbd.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室1厅 39万', '沈阳雅居乐花园A地块  | 1室1厅 | 46.15平米 | 西北 | 其他', '低楼层(共29层)板楼  -  沈北新区', '39万', '单价8451元/平米')
('https://image1.ljcdn.com/210100-inspection/59376b76-4e4f-4e58-b443-d15047b971a1.jpg.296x216.jpg', '荣盛香缇澜山 2室1厅 65万', '荣盛香缇澜山  | 2室1厅 | 74.02平米 | 南 北 | 其他', '高楼层(共18层)2015年建板楼  -  沈北新区', '65万', '单价8782元/平米')
('https://image1.ljcdn.com/210100-inspection/71929bfe-2895-4d24-abbc-e794f90c97bb.jpg.296x216.jpg', '融创唐轩公馆 2室2厅 86万', '融创唐轩公馆  | 2室2厅 | 83.06平米 | 南 北 | 其他', '高楼层(共31层)暂无数据  -  沈北新区', '86万', '单价10354元/平米')
('https://image1.ljcdn.com/210100-inspection/88069c28-967c-4492-b8cf-00a1d8321167.jpg.296x216.jpg', '中铁人杰水岸一期 2室1厅 65万', '中铁人杰水岸一期  | 2室1厅 | 73.13平米 | 南 | 其他', '中楼层(共26层)暂无数据  -  沈北新区', '65万', '单价8889元/平米')
('https://image1.ljcdn.com/210100-inspection/fa075490-ec03-461a-9d76-eb6ca5cb1844.jpg.296x216.jpg', '蒲河路 碧桂园太阳城 三室两厅 南北通透', '碧桂园太阳城  | 3室2厅 | 101.3平米 | 南 北 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '76万', '单价7503元/平米')
('https://image1.ljcdn.com/210100-inspection/c3e8620a-303e-477f-90b8-ee8f044dcd33.jpg.296x216.jpg', '步阳江南甲第 2室2厅 86.5万', '步阳江南甲第  | 2室2厅 | 94.34平米 | 南 北 | 精装', '低楼层(共18层)暂无数据  -  沈北新区', '86.5万', '单价9169元/平米')
('https://image1.ljcdn.com/210100-inspection/57662180-f86c-43f9-9a72-3eb0873e5f41.jpg.296x216.jpg', '碧桂园太阳城 3室2厅 88万', '碧桂园太阳城  | 3室2厅 | 129.7平米 | 南 北 | 其他', '低楼层(共26层)暂无数据  -  沈北新区', '88万', '单价6785元/平米')
('https://image1.ljcdn.com/210100-inspection/92f66a7e-2930-42dc-aaea-e3dbbb5db255.jpg.296x216.jpg', '祥瑞家园 3室2厅 81万', '祥瑞家园  | 3室2厅 | 133平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '81万', '单价6091元/平米')
('https://image1.ljcdn.com/210100-inspection/43ecfbd9-6f2e-4608-929e-f4e5f5840112.jpg.296x216.jpg', '祥瑞家园 2室1厅 58万', '祥瑞家园  | 2室1厅 | 88平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '58万', '单价6591元/平米')
('https://image1.ljcdn.com/210100-inspection/c0cfd79f-aa9d-4518-b3ce-6d110ffdff06.jpg.296x216.jpg', '荣信森林里 4室2厅 122万', '荣信森林里  | 4室2厅 | 96.02平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '122万', '单价12706元/平米')
('https://image1.ljcdn.com/210100-inspection/1302b13e-a1ce-4ecc-b074-3eab69e23ff6.jpg.296x216.jpg', '步阳江南甲第 3室2厅 112万', '步阳江南甲第  | 3室2厅 | 133.98平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '112万', '单价8360元/平米')
('https://image1.ljcdn.com/210100-inspection/8f8f5130-2974-4937-a58f-08c82574209a.jpg.296x216.jpg', '明华香峪兰溪 多层 沈北正良 急售', '明华香峪兰溪  | 2室1厅 | 73平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  沈北新区', '52万', '单价7124元/平米')
('https://image1.ljcdn.com/210100-inspection/8818b2a8-8925-4db8-990e-7affe84b24a6.jpg.296x216.jpg', '碧桂园太阳城 1室1厅 52.5万', '碧桂园太阳城  | 1室1厅 | 59.47平米 | 南 | 其他', '低楼层(共30层)暂无数据  -  沈北新区', '52.5万', '单价8828元/平米')
('https://image1.ljcdn.com/210100-inspection/72d5f4c4-d2f7-4783-ae3c-7f0288b85529.jpg.296x216.jpg', '中铁人杰水岸一期 1室1厅 61万', '中铁人杰水岸一期  | 1室1厅 | 78.77平米 | 南 北 | 精装', '高楼层(共6层)2014年建板楼  -  沈北新区', '61万', '单价7745元/平米')
('https://image1.ljcdn.com/210100-inspection/650e9ab4-bb6a-4b29-9752-12c55f1a48e8.jpg.296x216.jpg', '太湖国际花园 4室2厅 81.5万', '太湖国际花园  | 4室2厅 | 106平米 | 南 北 | 其他', '高楼层(共24层)2013年建板楼  -  沈北新区', '81.5万', '单价7689元/平米')
('https://image1.ljcdn.com/210100-inspection/a0f598f2-ba29-4029-a0c4-54cf868c22a2.jpg.296x216.jpg', '雨润中央宫园 2室1厅 44万', '雨润中央宫园  | 2室1厅 | 61.67平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  沈北新区', '44万', '单价7135元/平米')
('https://image1.ljcdn.com/210100-inspection/13721dd7-6076-40e5-8896-5c7365c1a9c5.jpg.296x216.jpg', '太湖国际花园 2室1厅 75万', '太湖国际花园  | 2室1厅 | 91.94平米 | 南 北 | 其他', '高楼层(共5层)暂无数据  -  沈北新区', '75万', '单价8158元/平米')
('https://image1.ljcdn.com/210100-inspection/a4491e87-4c58-4faa-af9c-2cf329c7a21a.jpg.296x216.jpg', '太湖国际花园 1室0厅 29.9万', '太湖国际花园  | 1室0厅 | 41.44平米 | 东 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '29.9万', '单价7216元/平米')
('https://image1.ljcdn.com/210100-inspection/a18b6078-4d4f-42ea-a8d5-c36e3658e4e1.jpg.296x216.jpg', '荣盛香缇澜山 3室2厅 90万', '荣盛香缇澜山  | 3室2厅 | 107.53平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  沈北新区', '90万', '单价8370元/平米')
('https://image1.ljcdn.com/210100-inspection/64aa65e1-45e7-4b09-927d-5de3ada75f66.jpg.296x216.jpg', '沈北新区 碧桂园太阳城  品牌开发商', '碧桂园太阳城  | 2室2厅 | 91.47平米 | 南 | 精装', '高楼层(共32层)2019年建板楼  -  沈北新区', '68万', '单价7435元/平米')
('https://image1.ljcdn.com/210100-inspection/0e991e11-0240-48c8-8a38-e0e11695af2c.jpg.296x216.jpg', '碧桂园太阳城 2室1厅 56万', '碧桂园太阳城  | 2室1厅 | 91.54平米 | 南 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '56万', '单价6118元/平米')
('https://image1.ljcdn.com/210100-inspection/3b70a121-e2c5-44a5-96a7-77b6342422a4.jpg.296x216.jpg', '亚泰城 3室2厅 120万', '亚泰城  | 3室2厅 | 100.04平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  沈北新区', '120万', '单价11996元/平米')
('https://image1.ljcdn.com/210100-inspection/accf0762-5d7f-40bd-b6e1-920c474647d1.jpg.296x216.jpg', '亚泰城 2室1厅 57万', '亚泰城  | 2室1厅 | 77.76平米 | 东南 | 其他', '中楼层(共30层)暂无数据  -  沈北新区', '57万', '单价7331元/平米')
('https://image1.ljcdn.com/210100-inspection/d90f7ef6-63e2-42ac-8365-ef7ee7587166.jpg.296x216.jpg', '三盛颐景御园 2室2厅 50万', '三盛颐景御园  | 2室2厅 | 78.98平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  沈北新区', '50万', '单价6331元/平米')
('https://image1.ljcdn.com/210100-inspection/36a0543a-de55-4bbe-9db0-48f70fb234c0.jpg.296x216.jpg', '华强城 3室2厅 95万', '华强城  | 3室2厅 | 110.65平米 | 南 北 | 其他', '中楼层(共31层)板楼  -  沈北新区', '95万', '单价8586元/平米')
('https://image1.ljcdn.com/210100-inspection/db4f56a6-183a-440a-9def-f67b49e33e04.jpg.296x216.jpg', '中铁人杰水岸一期 2室1厅 56万', '中铁人杰水岸一期  | 2室1厅 | 70.99平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '56万', '单价7889元/平米')
('https://image1.ljcdn.com/210100-inspection/5c2ac489-d846-4ca6-a29d-abb1838370d7.jpg.296x216.jpg', '三盛颐景蓝湾 2室2厅 56.5万', '三盛颐景蓝湾  | 2室2厅 | 76.32平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '56.5万', '单价7404元/平米')
('https://image1.ljcdn.com/210100-inspection/2739d80c-2a22-4688-a6ab-d1bb00099d51.jpg.296x216.jpg', '三盛颐景御园 3室2厅 61万', '三盛颐景御园  | 3室2厅 | 116平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  沈北新区', '61万', '单价5259元/平米')
('https://image1.ljcdn.com/210100-inspection/9cf86923-23ca-41d8-b82a-f00dc98282c9.jpg.296x216.jpg', '三盛颐景蓝湾 2室1厅 61万', '三盛颐景蓝湾  | 2室1厅 | 86.32平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '61万', '单价7067元/平米')
('https://image1.ljcdn.com/210100-inspection/28f8c6f6-5dce-44ea-aa32-53a9deaed0ad.jpg.296x216.jpg', '人杰水岸二期 2室2厅 62万', '人杰水岸二期  | 2室2厅 | 80.34平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  沈北新区', '62万', '单价7718元/平米')
('https://image1.ljcdn.com/210100-inspection/7803d624-229b-4c2f-a15d-97f3a996e169.jpg.296x216.jpg', '沈阳雅居乐C地块，四室两厅两厨四卫，大平层。', '沈阳雅居乐花园C地块  | 4室2厅 | 331.59平米 | 南 北 | 其他', '低楼层(共27层)2016年建板楼  -  沈北新区', '248万', '单价7480元/平米')
('https://image1.ljcdn.com/210100-inspection/f201c5f7-d4cf-4a22-985e-d4e7dcbe6702.jpg.296x216.jpg', '沈阳雅居乐A地块，一室精装修，拎包即住。', '沈阳雅居乐花园A地块  | 1室1厅 | 53平米 | 西 | 其他', '低楼层(共29层)板楼  -  沈北新区', '41万', '单价7736元/平米')
('', '太湖国际花园 1室0厅 22万', '太湖国际花园  | 1室0厅 | 35.53平米 | 北 | 其他', '中楼层(共17层)暂无数据  -  沈北新区', '22万', '单价6192元/平米')
('', '沈北 亚泰城 盛京医院 蒲河路站 红星美凯龙', '亚泰城  | 2室2厅 | 89.4平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '73万', '单价8166元/平米')
('https://image1.ljcdn.com/210100-inspection/4a8cf952-cc5f-474e-a1c9-828d85d22392.jpg.296x216.jpg', '人杰水岸二期 3室2厅 98万', '人杰水岸二期  | 3室2厅 | 89.9平米 | 南 | 其他', '高楼层(共6层)板楼  -  沈北新区', '98万', '单价10902元/平米')
('', '人杰水岸二期 3室2厅 90万', '人杰水岸二期  | 3室2厅 | 109.47平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '90万', '单价8222元/平米')
('https://image1.ljcdn.com/210100-inspection/c1dfce0d-fa53-4aea-8c0e-427ef3e7b042.jpg.296x216.jpg', '江南甲第二期 1室1厅 36万', '江南甲第二期  | 1室1厅 | 41.6平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  沈北新区', '36万', '单价8654元/平米')
('', '华强城 精装 小户型 中间楼层 不挡光 即买即住', '华强城  | 1室1厅 | 48.14平米 | 南 | 其他', '低楼层(共31层)板楼  -  沈北新区', '45万', '单价9348元/平米')
('', '荣盛盛京绿洲 2室2厅 51万', '荣盛盛京绿洲  | 2室2厅 | 88.84平米 | 南 西 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '51万', '单价5741元/平米')
('', '龙腾碧玉湾 3室2厅 86万', '龙腾碧玉湾  | 3室2厅 | 116平米 | 南 北 | 其他', '低楼层(共5层)暂无数据  -  沈北新区', '86万', '单价7414元/平米')
('https://image1.ljcdn.com/210100-inspection/9098c849-b952-4801-962f-c4cd659efdab.jpg.296x216.jpg', '江南甲第二期 1室1厅 45万', '江南甲第二期  | 1室1厅 | 56.4平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  沈北新区', '45万', '单价7979元/平米')
('', '中铁人杰水岸一期 2室1厅 60万', '中铁人杰水岸一期  | 2室1厅 | 79.91平米 | 东 南 北 | 其他', '高楼层(共27层)板楼  -  沈北新区', '60万', '单价7509元/平米')
('https://image1.ljcdn.com/210100-inspection/988956ed-6cf4-4449-bd0f-21e0ab84005b.jpg.296x216.jpg', '碧桂园太阳城 3室2厅 85万', '碧桂园太阳城  | 3室2厅 | 129平米 | 西南 | 其他', '中楼层(共32层)2019年建板楼  -  沈北新区', '85万', '单价6590元/平米')
('', '碧桂园太阳城 3室2厅 82万', '碧桂园太阳城  | 3室2厅 | 101.2平米 | 西南 北 | 其他', '中楼层(共28层)暂无数据  -  沈北新区', '82万', '单价8103元/平米')
('https://image1.ljcdn.com/210100-inspection/8bcfe2ff-c200-4913-9265-5e8de248a614.jpg.296x216.jpg', '香槟新坐标，怒江北街与沈北路交汇处，电梯小高层', '香槟新坐标  | 2室1厅 | 75.18平米 | 南 北 | 其他', '中楼层(共15层)2013年建板楼  -  沈北新区', '56万', '单价7449元/平米')
('', '华强城 1室1厅 49万', '华强城  | 1室1厅 | 54.22平米 | 南 | 其他', '高楼层(共31层)板楼  -  沈北新区', '49万', '单价9038元/平米')
('https://image1.ljcdn.com/210100-inspection/934492bc-44e8-478b-8101-42c1aeaf8bf4.jpg.296x216.jpg', '晨兴翰林水郡 2室1厅 56.5万', '晨兴翰林水郡  | 2室1厅 | 84.83平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  沈北新区', '56.5万', '单价6661元/平米')
('https://image1.ljcdn.com/210100-inspection/70880595-cbe1-4849-946a-43e1590f4eba.jpg.296x216.jpg', '明发锦绣华城 2室2厅 45万', '明发锦绣华城  | 2室2厅 | 74.83平米 | 东南 | 其他', '高楼层(共32层)2011年建板楼  -  沈北新区', '45万', '单价6014元/平米')
('', '中铁人杰水岸一期  盛京 红星 蒲河路站', '中铁人杰水岸一期  | 4室3厅 | 89平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  沈北新区', '192万', '单价21574元/平米')
('', '荣盛盛京绿洲 3室2厅 58万', '荣盛盛京绿洲  | 3室2厅 | 90平米 | 南 北 | 其他', '低楼层(共18层)2017年建板楼  -  沈北新区', '58万', '单价6445元/平米')
('https://image1.ljcdn.com/210100-inspection/adf016b3-a523-4d7d-8090-6c424a493dfe.jpg.296x216.jpg', '府梓新居 2室2厅 74万', '府梓新居  | 2室2厅 | 88.48平米 | 南 西 北 | 其他', '中楼层(共5层)暂无数据  -  沈北新区', '74万', '单价8364元/平米')
('', '碧桂园太阳城 1室1厅 42万', '碧桂园太阳城  | 1室1厅 | 64.13平米 | 南 | 其他', '中楼层(共31层)暂无数据  -  沈北新区', '42万', '单价6550元/平米')
('', '人杰水岸一期 盛京 蒲河路站 红星美凯龙旁', '中铁人杰水岸一期  | 2室1厅 | 73.85平米 | 南 | 其他', '高楼层(共26层)暂无数据  -  沈北新区', '60万', '单价8125元/平米')
('', '碧桂园太阳城 3室2厅 108万', '碧桂园太阳城  | 3室2厅 | 144平米 | 东南 | 其他', '中楼层(共32层)2019年建板楼  -  沈北新区', '108万', '单价7500元/平米')
('', '香槟新坐标 2室1厅 45万', '香槟新坐标  | 2室1厅 | 75.19平米 | 南 北 | 其他', '低楼层(共15层)2013年建板楼  -  沈北新区', '45万', '单价5985元/平米')
('', '碧桂园太阳城 2室1厅 65万', '碧桂园太阳城  | 2室1厅 | 92平米 | 南 | 其他', '中楼层(共32层)2019年建板楼  -  沈北新区', '65万', '单价7066元/平米')
('', '沈阳雅居乐花园A地块 1室1厅 46万', '沈阳雅居乐花园A地块  | 1室1厅 | 46.33平米 | 西北 | 其他', '高楼层(共31层)2017年建板楼  -  沈北新区', '46万', '单价9929元/平米')
('', '荣盛盛京绿洲 3室2厅 67万', '荣盛盛京绿洲  | 3室2厅 | 109.7平米 | 南 北 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '67万', '单价6108元/平米')
('https://image1.ljcdn.com/210100-inspection/4e888723-5363-44db-a78b-68df7d505f89.jpg.296x216.jpg', '人杰水岸三期 3室2厅 87万', '人杰水岸三期  | 3室2厅 | 84.46平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  沈北新区', '87万', '单价10301元/平米')
('', '江南甲第二期 2室1厅 73万', '江南甲第二期  | 2室1厅 | 88平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '73万', '单价8296元/平米')
('', '人杰水岸二期一室南向河景房精装修房主包大税', '人杰水岸二期  | 1室0厅 | 48.09平米 | 南 | 其他', '中楼层(共26层)板楼  -  沈北新区', '36.5万', '单价7590元/平米')
('', '碧桂园太阳城 3室2厅 72万', '碧桂园太阳城  | 3室2厅 | 93.84平米 | 东 南 北 | 其他', '中楼层(共27层)暂无数据  -  沈北新区', '72万', '单价7673元/平米')
