('https://image1.ljcdn.com/340100-inspection/f6c652fb-13e0-4b6b-9275-9ce8211bc4d4.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 127万', '北城世纪城泽徽苑  | 3室2厅 | 96.97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '127万', '单价13097元/平米')
('https://image1.ljcdn.com/340100-inspection/219aa436-5a53-429a-af49-13e62d286b50.JPG.296x216.jpg', '恒泰悦城精品挑高复式你值得拥有', '恒泰悦城  | 3室2厅 | 65.01平米 | 南 | 其他', '中楼层(共19层)2012年建塔楼  -  北城', '97万', '单价14921元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadec4ec209-ca9f-4870-bdfe-178ea08ce429.JPG.296x216.jpg', '京城国际 3室1厅 140万', '京城国际  | 3室1厅 | 109.68平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  北城', '140万', '单价12765元/平米')
('https://image1.ljcdn.com/340100-inspection/d5a23f65-8e96-47d0-85bb-3b85cade71b9.JPG.296x216.jpg', '京城国际中装三房满两年高楼层采光好品质小区', '京城国际  | 3室2厅 | 88.47平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  北城', '115万', '单价12999元/平米')
('https://image1.ljcdn.com/340100-inspection/a3c6de88-7683-4511-939b-3065554a627c.JPG.296x216.jpg', '新慧金水岸南区 3室2厅 103万', '新慧金水岸南区  | 3室2厅 | 128.45平米 | 西南 | 其他', '高楼层(共6层)2011年建板塔结合  -  北城', '103万', '单价8019元/平米')
('', '恒大帝景 3室2厅 180万', '恒大帝景  | 3室2厅 | 122.57平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '180万', '单价14686元/平米')
('https://image1.ljcdn.com/340100-inspection/b5b748da-d371-4a83-975c-72d3304da354.JPG.296x216.jpg', '恒泰米兰堡，两居室，采光充足，南北通透双阳台。', '恒泰米兰堡  | 2室2厅 | 88.96平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  北城', '108万', '单价12141元/平米')
('https://image1.ljcdn.com/340100-inspection/8c6c9cc7-5252-460c-96f2-24a887638992.JPG.296x216.jpg', '吉徽苑三房满两年，户型正，楼层好采光佳，赠送车位！', '北城世纪城吉徽苑  | 3室2厅 | 93.28平米 | 南 北 | 其他', '中楼层(共30层)2013年建塔楼  -  北城', '112万', '单价12007元/平米')
('https://image1.ljcdn.com/340100-inspection/e0771ec0-1bea-4401-af7c-df8e88b46007.JPG.296x216.jpg', '力高共和城 2室2厅 98万', '力高共和城  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共11层)2012年建板楼  -  北城', '98万', '单价11012元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd32d30a6-796d-45d1-83c5-b1b70794c89e.JPG.296x216.jpg', '鸿徽苑 大四房南北通透 采光好', '鸿徽苑  | 4室2厅 | 129.63平米 | 南 北 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '137万', '单价10569元/平米')
('https://image1.ljcdn.com/340100-inspection/df53abfe-3ea5-4959-9ed5-5d9690504545.JPG.296x216.jpg', '北辰天都 3室2厅 115万', '北辰天都  | 3室2厅 | 112.68平米 | 南 | 其他', '中楼层(共21层)2014年建塔楼  -  北城', '115万', '单价10206元/平米')
('', '力高共和城东区 2室2厅 95万', '力高共和城东区  | 2室2厅 | 80平米 | 南 | 其他', '高楼层(共18层)2013年建塔楼  -  北城', '95万', '单价11875元/平米')
('https://image1.ljcdn.com/340100-inspection/5ab7fbf4-e43a-4b46-9ae4-7411c67dfef7.JPG.296x216.jpg', '恒大帝景 3室2厅 125万', '恒大帝景  | 3室2厅 | 105.23平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '125万', '单价11879元/平米')
('https://image1.ljcdn.com/340100-inspection/93b7decb-531f-43e0-a356-87099daf59ac.JPG.296x216.jpg', '恒大帝景 3室2厅 158万', '恒大帝景  | 3室2厅 | 133.4平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '158万', '单价11845元/平米')
('https://image1.ljcdn.com/340100-inspection/17269b36-fd52-4f30-91c1-44f8a9e63504.JPG.296x216.jpg', '国强丰瑞园 5室2厅 115万', '国强丰瑞园  | 5室2厅 | 119.1平米 | 南 北 | 其他', '高楼层(共11层)板楼  -  北城', '115万', '单价9656元/平米')
('https://image1.ljcdn.com/340100-inspection/5cc284a8-ab03-4a9f-badc-dc162295593d.JPG.296x216.jpg', '润地星城 3室2厅 126万', '润地星城  | 3室2厅 | 106.29平米 | 南 北 | 其他', '高楼层(共27层)2008年建塔楼  -  北城', '126万', '单价11855元/平米')
('', '力高共和城大三房，满两年，中间楼层。', '力高共和城  | 3室2厅 | 116.87平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  北城', '140万', '单价11980元/平米')
('https://image1.ljcdn.com/340100-inspection/125f8598-8046-4bb5-98b8-2f7ab886867c.jpg.296x216.jpg', '融科梧桐里中装三房高楼层采光好满两年品质小区', '融科梧桐里  | 3室2厅 | 90.72平米 | 南 | 其他', '高楼层(共35层)2017年建塔楼  -  北城', '120万', '单价13228元/平米')
('https://image1.ljcdn.com/340100-inspection/74774a92-e636-4d97-b8b5-8b01fc7fe70b.jpg.296x216.jpg', '力高共和城 3室2厅 110万', '力高共和城  | 3室2厅 | 95.98平米 | 南 | 其他', '低楼层(共6层)2012年建板楼  -  北城', '110万', '单价11461元/平米')
('https://image1.ljcdn.com/340100-inspection/64ce1472-4523-4d01-95a4-4334a22daf99.JPG.296x216.jpg', '国强丰瑞园 3室2厅 103万', '国强丰瑞园  | 3室2厅 | 90平米 | 南 | 其他', '高楼层(共6层)板楼  -  北城', '103万', '单价11445元/平米')
('https://image1.ljcdn.com/340100-inspection/4796a8e7-b46e-4e57-b441-d8770d647158.JPG.296x216.jpg', '力高共和城东区 3室2厅 117万', '力高共和城东区  | 3室2厅 | 92.84平米 | 南 东 北 | 其他', '中楼层(共18层)2013年建塔楼  -  北城', '117万', '单价12603元/平米')
('', '金色里程 3室2厅 130万', '金色里程  | 3室2厅 | 107.1平米 | 东 | 其他', '低楼层(共6层)塔楼  -  北城', '130万', '单价12139元/平米')
('https://image1.ljcdn.com/340100-inspection/ab78188c-dbc5-449d-921e-2e9c3e62525b.JPG.296x216.jpg', '北城世纪城腾徽苑 3室2厅 118.5万', '北城世纪城腾徽苑  | 3室2厅 | 96.41平米 | 南 | 其他', '中楼层(共33层)2013年建塔楼  -  北城', '118.5万', '单价12292元/平米')
('https://image1.ljcdn.com/340100-inspection/13d89149-07c5-4591-9bff-f9a38eddaf98.jpg.296x216.jpg', '中奥花园 1室1厅 82万', '中奥花园  | 1室1厅 | 75.68平米 | 南 | 其他', '高楼层(共19层)2012年建塔楼  -  北城', '82万', '单价10836元/平米')
('https://image1.ljcdn.com/340100-inspection/7a06a4ec-50ea-44f9-9f0d-7a106ae7291b.JPG.296x216.jpg', '力高共和城 4室3厅 125万', '力高共和城  | 4室3厅 | 132.67平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '125万', '单价9422元/平米')
('https://image1.ljcdn.com/340100-inspection/f301c43a-429c-4345-8c8e-4840274f9f2b.JPG.296x216.jpg', '恒泰米兰堡 3室2厅 110万', '恒泰米兰堡  | 3室2厅 | 99.82平米 | 南 | 其他', '低楼层(共15层)2012年建塔楼  -  北城', '110万', '单价11020元/平米')
('', '瑞龙花园 2室1厅 100万', '瑞龙花园  | 2室1厅 | 89平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  北城', '100万', '单价11236元/平米')
('https://image1.ljcdn.com/340100-inspection/1036f16b-80ba-49d3-9700-f43d962dad6f.JPG.296x216.jpg', '国强丰瑞园南北通透三室，采光很好，无遮挡', '国强丰瑞园  | 3室2厅 | 89.54平米 | 南 北 | 其他', '低楼层(共18层)板楼  -  北城', '90万', '单价10052元/平米')
('https://image1.ljcdn.com/340100-inspection/ae5294f3-6286-4c43-9779-574da1a30261.jpg.296x216.jpg', '融科梧桐里 2室2厅 116万', '融科梧桐里  | 2室2厅 | 89.01平米 | 南 | 其他', '高楼层(共34层)2017年建塔楼  -  北城', '116万', '单价13033元/平米')
('https://image1.ljcdn.com/340100-inspection/69ff3c0c-1275-4607-be2c-d5b83fd889e7.jpg.296x216.jpg', '恒泰风格城市 3室2厅 120万', '恒泰风格城市  | 3室2厅 | 68.44平米 | 南 北 | 其他', '中楼层(共33层)2012年建塔楼  -  北城', '120万', '单价17534元/平米')
('https://image1.ljcdn.com/340100-inspection/ddd04043-e909-4981-ad6c-c553cfbdc8c9.JPG.296x216.jpg', '金色假日 3室2厅 102万', '金色假日  | 3室2厅 | 102.3平米 | 南 北 | 其他', '低楼层(共30层)塔楼  -  北城', '102万', '单价9971元/平米')
('https://image1.ljcdn.com/340100-inspection/5932d6c4-7b27-4fbc-8df6-d67f998688ae.JPG.296x216.jpg', '力高共和城 3室2厅 126万', '力高共和城  | 3室2厅 | 107.03平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  北城', '126万', '单价11773元/平米')
('', '北城世纪城禄徽苑 3室2厅 115万', '北城世纪城禄徽苑  | 3室2厅 | 97平米 | 南 北 | 其他', '低楼层(共28层)2016年建塔楼  -  北城', '115万', '单价11856元/平米')
('https://image1.ljcdn.com/340100-inspection/514d45a9-c0ff-4cd2-bf1a-48c84e2d26db.JPG.296x216.jpg', '北城世纪城瑞徽苑 3室2厅 102万', '北城世纪城瑞徽苑  | 3室2厅 | 91.43平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '102万', '单价11157元/平米')
('https://image1.ljcdn.com/340100-inspection/c0909eec-d472-42c4-a6a7-a2ad13a776bc.JPG.296x216.jpg', '中奥花园 3室3厅 130万', '中奥花园  | 3室3厅 | 151.5平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '130万', '单价8581元/平米')
('https://image1.ljcdn.com/340100-inspection/4b8de9d7-1c42-4922-939a-cb91f996deab.jpg.296x216.jpg', '北城中环城 3室2厅 100万', '北城中环城  | 3室2厅 | 88平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  北城', '100万', '单价11364元/平米')
('https://image1.ljcdn.com/340100-inspection/13ce3394-eec2-4ae9-b740-e236dd8beefa.JPG.296x216.jpg', '鸿徽苑 3室2厅 135万', '鸿徽苑  | 3室2厅 | 95.21平米 | 南 | 其他', '高楼层(共26层)2012年建塔楼  -  北城', '135万', '单价14180元/平米')
('', '鑫徽苑 3室2厅 116万', '鑫徽苑  | 3室2厅 | 94.5平米 | 南 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '116万', '单价12276元/平米')
('https://image1.ljcdn.com/340100-inspection/2d71f55b-9aa0-4583-bc28-19e1ebc715ac.JPG.296x216.jpg', '恒大帝景 3室2厅 155万', '恒大帝景  | 3室2厅 | 136.99平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '155万', '单价11315元/平米')
('https://image1.ljcdn.com/340100-inspection/0f3d9db8-c7c0-4fc7-8538-041ee282b6b7.JPG.296x216.jpg', '恒泰阿奎利亚北区 4室2厅 140万', '恒泰阿奎利亚北区  | 4室2厅 | 109.41平米 | 南 | 其他', '高楼层(共6层)板楼  -  北城', '140万', '单价12796元/平米')
('https://image1.ljcdn.com/340100-inspection/883c247a-ab99-425a-aec9-88e29cb22646.JPG.296x216.jpg', '恒泰米兰堡 5室2厅 160万', '恒泰米兰堡  | 5室2厅 | 168平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '160万', '单价9524元/平米')
('https://image1.ljcdn.com/340100-inspection/bfb6f8a8-a6ed-4e84-abbd-a09d46dcf12f.JPG.296x216.jpg', '恒泰米兰堡 3室2厅 118万', '恒泰米兰堡  | 3室2厅 | 105.86平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  北城', '118万', '单价11147元/平米')
('', '力高共和城 3室2厅 125万', '力高共和城  | 3室2厅 | 96平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '125万', '单价13021元/平米')
('https://image1.ljcdn.com/340100-inspection/6b4e5852-d6db-47ec-a719-83e5985d94d1.JPG.296x216.jpg', '瑞徽苑前排精装边户三房，满两年', '北城世纪城瑞徽苑  | 3室2厅 | 90.33平米 | 南 北 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '108万', '单价11957元/平米')
('https://image1.ljcdn.com/340100-inspection/a86f182c-2dd8-44ee-82a3-dc29ed0e022c.JPG.296x216.jpg', '力高共和城 4室2厅 125万', '力高共和城  | 4室2厅 | 139.25平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '125万', '单价8977元/平米')
('https://image1.ljcdn.com/340100-inspection/f79e20a6-a781-46b8-bf34-74c0756d4c7a.jpg.296x216.jpg', '京冠北城华府 3室2厅 112万', '京冠北城华府  | 3室2厅 | 88.88平米 | 南 | 其他', '中楼层(共24层)暂无数据  -  北城', '112万', '单价12602元/平米')
('https://image1.ljcdn.com/340100-inspection/7dfba77b-fba1-48b1-ab67-2258aafc9974.JPG.296x216.jpg', '北辰天都 2室2厅 105万', '北辰天都  | 2室2厅 | 94.59平米 | 南 北 | 其他', '中楼层(共32层)2014年建塔楼  -  北城', '105万', '单价11101元/平米')
('', '融科梧桐里 4室2厅 146万', '融科梧桐里  | 4室2厅 | 126平米 | 南 | 其他', '低楼层(共35层)2017年建塔楼  -  北城', '146万', '单价11588元/平米')
('https://image1.ljcdn.com/340100-inspection/32250da3-47e9-4360-869a-bd64478108d8.jpg.296x216.jpg', '北城世纪城鑫徽苑   三室朝南   户型好', '鑫徽苑  | 3室2厅 | 94.14平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '98万', '单价10411元/平米')
('https://image1.ljcdn.com/340100-inspection/bc4c52f5-e357-45af-8441-248e381941c2.JPG.296x216.jpg', '国徽苑 4室2厅 140万', '国徽苑  | 4室2厅 | 133平米 | 南 北 | 其他', '中楼层(共33层)2013年建塔楼  -  北城', '140万', '单价10527元/平米')
('https://image1.ljcdn.com/340100-inspection/4068cf12-1d3c-4472-b82b-fe4dfe797349.JPG.296x216.jpg', '半岛1号 6室2厅 620万', '半岛1号   | 独栋别墅 | 6室2厅 | 429平米 | 南 | 其他', '3层2012年建暂无数据  -  北城', '620万', '单价14453元/平米')
('https://image1.ljcdn.com/340100-inspection/329aff97-aab3-4564-8946-ff3266803708.jpg.296x216.jpg', '北城世纪城冠徽苑 3室2厅 115万', '北城世纪城冠徽苑  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '115万', '单价11856元/平米')
('', '北城世纪城泽徽苑 3室2厅 130万', '北城世纪城泽徽苑  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共30层)2015年建塔楼  -  北城', '130万', '单价13403元/平米')
('https://image1.ljcdn.com/340100-inspection/2f1422f3-082a-4d05-bd68-1388dea464cc.JPG.296x216.jpg', '国徽苑 4室2厅 140万', '国徽苑  | 4室2厅 | 131.96平米 | 南 | 其他', '中楼层(共33层)2013年建塔楼  -  北城', '140万', '单价10610元/平米')
('https://image1.ljcdn.com/340100-inspection/37a414d3-a119-40dd-8196-600b26e55381.JPG.296x216.jpg', '金色里程  三房简单装修 诚心出售', '金色里程  | 3室2厅 | 105.06平米 | 南 北 | 其他', '低楼层(共24层)板楼  -  北城', '110万', '单价10471元/平米')
('https://image1.ljcdn.com/340100-inspection/1af98fb5-d5af-49b4-85ad-8a4e96d51aa0.jpg.296x216.jpg', '恒泰城宫 3室2厅 115万', '恒泰城宫  | 3室2厅 | 79.3平米 | 南 | 其他', '中楼层(共19层)暂无数据  -  北城', '115万', '单价14502元/平米')
('https://image1.ljcdn.com/340100-inspection/8f1f4e23-4c4c-4944-884f-da5baf614bc2.JPG.296x216.jpg', '国强丰瑞园 3室2厅 97万', '国强丰瑞园  | 3室2厅 | 97.62平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  北城', '97万', '单价9937元/平米')
('', '融科梧桐里 2室2厅 100万', '融科梧桐里  | 2室2厅 | 78.8平米 | 南 | 其他', '低楼层(共35层)2017年建塔楼  -  北城', '100万', '单价12691元/平米')
('https://image1.ljcdn.com/340100-inspection/d6ee2a26-0b23-43e2-bb16-92337e97de63.JPG.296x216.jpg', '新慧金水岸南区 4室2厅 110万', '新慧金水岸南区  | 4室2厅 | 123.09平米 | 南 | 毛坯', '中楼层(共18层)2011年建板塔结合  -  北城', '110万', '单价8937元/平米')
('https://image1.ljcdn.com/340100-inspection/2c687f4c-cf1b-48d3-885b-e1675abf87b7.jpg.296x216.jpg', '北城国徽苑，中间楼层，楼栋位置好，随时看房，采光好', '国徽苑  | 2室2厅 | 91.31平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '102万', '单价11171元/平米')
('https://image1.ljcdn.com/340100-inspection/38dd61a1-ee6d-4fd6-887b-adb1142a0a34.jpg.296x216.jpg', '北城世纪城和徽苑三居室边户带车位简单装修', '北城世纪城和徽苑  | 3室2厅 | 97.06平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  北城', '115万', '单价11849元/平米')
('https://image1.ljcdn.com/340100-inspection/508d600d-7b3b-41c1-b1d0-7fccee5fcb23.JPG.296x216.jpg', '润地星城 3室2厅 130万', '润地星城  | 3室2厅 | 106.29平米 | 南 | 其他', '高楼层(共27层)2008年建塔楼  -  北城', '130万', '单价12231元/平米')
('', '恒泰城宫 3室2厅 108万', '恒泰城宫  | 3室2厅 | 67.74平米 | 南 | 其他', '高楼层(共19层)暂无数据  -  北城', '108万', '单价15944元/平米')
('https://image1.ljcdn.com/340100-inspection/387db585-77e9-455d-81ae-a6508ccb3a72.JPG.296x216.jpg', '北城世纪城腾徽苑三居室户型方正', '北城世纪城腾徽苑  | 3室2厅 | 97.69平米 | 南 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '110万', '单价11261元/平米')
('https://image1.ljcdn.com/340100-inspection/b2ad42b9-4051-46ab-9c30-0461e816f7de.JPG.296x216.jpg', '恒大帝景 二次精装修  满二年  拎包入住', '恒大帝景  | 3室2厅 | 133.4平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '165万', '单价12369元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadfa9d7d0a-57ed-48a5-bf80-8441ebe87f84.JPG.296x216.jpg', '新小区雅徽苑 小三房  绿化号 环境好', '北城世纪城雅徽苑  | 3室2厅 | 99.97平米 | 南 | 其他', '低楼层(共32层)暂无数据  -  北城', '115万', '单价11504元/平米')
('https://image1.ljcdn.com/340100-inspection/f43d3a07-3477-4bf1-acd9-c7212b082e4e.JPG.296x216.jpg', '国强丰瑞园 3室2厅 85万', '国强丰瑞园  | 3室2厅 | 79.91平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  北城', '85万', '单价10637元/平米')
('', '阿奎利亚城果 2室2厅 90万', '阿奎利亚城果  | 2室2厅 | 79.46平米 | 南 北 | 其他', '高楼层(共33层)塔楼  -  北城', '90万', '单价11327元/平米')
('https://image1.ljcdn.com/340100-inspection/456f8768-b1d4-49f7-ad62-b19085381c7c.JPG.296x216.jpg', '二期泽徽苑经典两房，满两年，带车位，中间楼层。', '北城世纪城泽徽苑  | 2室2厅 | 78平米 | 南 | 其他', '中楼层(共34层)2015年建塔楼  -  北城', '96万', '单价12308元/平米')
('https://image1.ljcdn.com/340100-inspection/2d2fcb45-0a28-4a36-8731-a807de042ef4.JPG.296x216.jpg', '恒大帝景 精装两房 满两年  业主诚心出售', '恒大帝景  | 2室2厅 | 85.12平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '112万', '单价13158元/平米')
('https://image1.ljcdn.com/340100-inspection/8f80a6ac-5653-4fc2-84bd-cc1b68e92fcc.jpg.296x216.jpg', '恒泰米兰堡 2室2厅 78万', '恒泰米兰堡  | 2室2厅 | 74.41平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  北城', '78万', '单价10483元/平米')
('https://image1.ljcdn.com/340100-inspection/0c6d9041-5e9c-45b6-bfb0-73aaea4b02d3.JPG.296x216.jpg', '圣联科瑞北郡 2室2厅 81万', '圣联科瑞北郡  | 2室2厅 | 76.53平米 | 南 | 其他', '低楼层(共6层)板楼  -  北城', '81万', '单价10585元/平米')
('', '恒泰风格城市 3室2厅 105万', '恒泰风格城市  | 3室2厅 | 68.17平米 | 南 北 | 其他', '高楼层(共19层)2012年建塔楼  -  北城', '105万', '单价15403元/平米')
('https://image1.ljcdn.com/340100-inspection/25f0e81c-8e89-4aa0-a5f7-40f4147d0c18.JPG.296x216.jpg', '京城国际边户精装三房满两年南北透通高楼层采光好', '京城国际  | 3室2厅 | 93.03平米 | 南 北 | 其他', '高楼层(共33层)2014年建塔楼  -  北城', '125万', '单价13437元/平米')
('https://image1.ljcdn.com/340100-inspection/3084003d-25a7-4d6e-b785-4454ef5ef443.jpg.296x216.jpg', '力高共和城 3室2厅 123万', '力高共和城  | 3室2厅 | 120平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '123万', '单价10250元/平米')
('https://image1.ljcdn.com/340100-inspection/a268f2a7-4e5b-4dec-82f8-3ef721a3e5ae.JPG.296x216.jpg', '力高共和城 3室2厅 130万', '力高共和城  | 3室2厅 | 117平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  北城', '130万', '单价11112元/平米')
('https://image1.ljcdn.com/340100-inspection/05dea2c0-fa39-4f19-a4de-fdf9642cb20d.JPG.296x216.jpg', '金地雅苑 3室2厅 118万', '金地雅苑  | 3室2厅 | 125.77平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  北城', '118万', '单价9383元/平米')
('https://image1.ljcdn.com/340100-inspection/249c5089-9498-44b0-973a-e97694f29523.jpg.296x216.jpg', '和徽苑，精装满两年，带车位，东边户南北通透', '北城世纪城和徽苑  | 2室2厅 | 85平米 | 南 北 | 其他', '低楼层(共33层)2014年建塔楼  -  北城', '106万', '单价12471元/平米')
('https://image1.ljcdn.com/340100-inspection/21f21ad0-351e-47bf-8033-4e7ce6123501.JPG.296x216.jpg', '庆徽苑 3室2厅 132万', '庆徽苑  | 3室2厅 | 106平米 | 南 | 其他', '高楼层(共34层)2016年建塔楼  -  北城', '132万', '单价12453元/平米')
('https://image1.ljcdn.com/340100-inspection/9652f602-2335-4986-afb1-2829a43d09a8.JPG.296x216.jpg', '北城世纪城雅徽苑 3室2厅 120万', '北城世纪城雅徽苑  | 3室2厅 | 99平米 | 南 | 其他', '中楼层(共32层)暂无数据  -  北城', '120万', '单价12122元/平米')
('https://image1.ljcdn.com/340100-inspection/2281a7c2-9ef0-44a3-8fa3-570db4a2b5c6.JPG.296x216.jpg', '北城世纪城泽徽苑 4室2厅 142万', '北城世纪城泽徽苑  | 4室2厅 | 126.7平米 | 南 北 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '142万', '单价11208元/平米')
('https://image1.ljcdn.com/340100-inspection/ab4af287-ebad-47f8-84aa-a552dabae04d.jpg.296x216.jpg', '恒大帝景 3室2厅 148万', '恒大帝景  | 3室2厅 | 122.91平米 | 南 | 其他', '中楼层(共26层)2015年建塔楼  -  北城', '148万', '单价12042元/平米')
('https://image1.ljcdn.com/340100-inspection/e55ae5a9-adc9-44dd-b9e9-237918060198.jpg.296x216.jpg', '恒泰城品阿奎利亚 3室2厅 112万', '恒泰城品阿奎利亚  | 3室2厅 | 98.24平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  北城', '112万', '单价11401元/平米')
('https://image1.ljcdn.com/340100-inspection/7d54fc0a-16d4-44f8-842e-2bb7368e8bc4.JPG.296x216.jpg', '北城世纪城荣徽苑 3室2厅 115万', '北城世纪城荣徽苑  | 3室2厅 | 99平米 | 南 | 其他', '高楼层(共29层)塔楼  -  北城', '115万', '单价11617元/平米')
('https://image1.ljcdn.com/340100-inspection/e45f7951-7cbe-42b9-a57f-5976a4ddae04.jpg.296x216.jpg', '恒大帝景 3室2厅 140万', '恒大帝景  | 3室2厅 | 118.52平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '140万', '单价11813元/平米')
('https://image1.ljcdn.com/340100-inspection/34193c35-c356-47cb-92e8-db01a67dec0f.JPG.296x216.jpg', '新慧金水岸南区 4室2厅 125万', '新慧金水岸南区  | 4室2厅 | 143.11平米 | 南 | 其他', '低楼层(共18层)2011年建板塔结合  -  北城', '125万', '单价8735元/平米')
('https://image1.ljcdn.com/340100-inspection/58674efc-73ed-4734-9388-13456da74493.jpg.296x216.jpg', '恒泰悦城 3室1厅 105万', '恒泰悦城  | 3室1厅 | 63平米 | 南 | 其他', '高楼层(共19层)2012年建塔楼  -  北城', '105万', '单价16667元/平米')
('https://image1.ljcdn.com/340100-inspection/e21027ec-3546-40a7-b4d9-aecd0c93aa88.JPG.296x216.jpg', '鸿徽苑 3室2厅 136万', '鸿徽苑  | 3室2厅 | 130.61平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '136万', '单价10413元/平米')
('https://image1.ljcdn.com/340100-inspection/9b7656a5-3c12-4a88-86fd-e0ff95ceff0d.jpg.296x216.jpg', '恒泰悦城复式三居室精装 高楼层 采光好', '恒泰悦城  | 3室2厅 | 65.01平米 | 南 北 | 精装', '中楼层(共19层)2012年建塔楼  -  北城', '115万', '单价17690元/平米')
('https://image1.ljcdn.com/340100-inspection/9b985558-d346-4cb5-9ab7-025af5de9914.JPG.296x216.jpg', '恒泰风格城市 3室2厅 118万', '恒泰风格城市  | 3室2厅 | 74平米 | 南 | 毛坯', '中楼层(共19层)2012年建塔楼  -  北城', '118万', '单价15946元/平米')
('https://image1.ljcdn.com/340100-inspection/043e80e6-c1d2-4e93-855b-019b6fc92f2c.JPG.296x216.jpg', '半岛一号 南北通透 东边户 楼层好 满五年', '半岛1号  | 3室2厅 | 148.57平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '223万', '单价15010元/平米')
('https://image1.ljcdn.com/340100-inspection/717b0775-9d51-480a-a584-a7a30bf5594f.jpg.296x216.jpg', '恒泰悦城 3室2厅 115万', '恒泰悦城  | 3室2厅 | 67平米 | 南 | 其他', '中楼层(共19层)2012年建塔楼  -  北城', '115万', '单价17165元/平米')
('https://image1.ljcdn.com/340100-inspection/13feb38f-3c3d-451d-b73b-48f57998b65e.JPG.296x216.jpg', '奥青城 2室2厅 88万', '奥青城  | 2室2厅 | 87.19平米 | 南 | 其他', '低楼层(共6层)板楼  -  北城', '88万', '单价10093元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload3182c049-01df-43c5-8493-9d650cbff453.JPG.296x216.jpg', '融科梧桐里边户毛坯三房高楼层采光好小区物业好', '融科梧桐里  | 3室2厅 | 87.93平米 | 南 北 | 其他', '中楼层(共34层)2017年建塔楼  -  北城', '117万', '单价13307元/平米')
('https://image1.ljcdn.com/340100-inspection/b7529a8e-28ac-4feb-ab86-5829329f0b52.jpg.296x216.jpg', '鸿路北城明珠 1室1厅 44.5万', '鸿路北城明珠  | 1室1厅 | 51.42平米 | 南 | 其他', '中楼层(共24层)2013年建板塔结合  -  北城', '44.5万', '单价8655元/平米')
('https://image1.ljcdn.com/340100-inspection/95d4016c-b3b6-4cbb-b5f3-3eac7fb1d8f3.JPG.296x216.jpg', '阿奎利亚上学苑 3室2厅 116万', '阿奎利亚上学苑  | 3室2厅 | 99.68平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  北城', '116万', '单价11638元/平米')
