('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/f730d352-e9b3-4955-b83d-cdea3c654c27.jpg.296x216.jpg', '信怡楼 全新装修', '信怡商厦  | 3室1厅 | 90.36平米 | 南 | 其他', '中楼层(共6层)板楼  -  大良中区', '93万', '单价10293元/平米')
('https://image1.ljcdn.com/440600-inspection/951b8f52-2730-496a-95b0-5754d0730420.jpg.296x216.jpg', '依云水岸 环境优美 实用三房', '依云水岸三期  | 3室2厅 | 92平米 | 南 | 毛坯', '低楼层(共31层)2011年建塔楼  -  乐从', '195万', '单价21196元/平米')
('https://image1.ljcdn.com/440600-inspection/4e1bb3e2-3894-4242-b192-6373b7c74594.jpg.296x216.jpg', '帝锋康庭 1室1厅 29万', '帝锋康庭  | 1室1厅 | 32平米 | 东 | 其他', '20层2008年建板塔结合  -  乐从', '29万', '单价9063元/平米')
('https://image1.ljcdn.com/440600-inspection/00c74982-8a76-4a14-9a3a-dabc41050162.jpg.296x216.jpg', '金威郦都 2室2厅 123万', '金威郦都  | 2室2厅 | 81平米 | 西南 | 其他', '低楼层(共21层)2012年建塔楼  -  乐从', '123万', '单价15186元/平米')
('https://image1.ljcdn.com/440600-inspection/657a3ecb-790d-494c-bae4-337d21444897.jpg.296x216.jpg', '威斯广场 格局方正 装修3房', '威斯广场观景轩  | 3室2厅 | 180平米 | 东 | 精装', '中楼层(共18层)2005年建塔楼  -  乐从', '230万', '单价12778元/平米')
('https://image1.ljcdn.com/440600-inspection/83a9ee4c-a5a2-41c1-8ff3-26bd8ce755f7.jpg.296x216.jpg', '佛山奥园美林水岸 简单装修 格局方正', '佛山奥园美林水岸  | 3室2厅 | 115平米 | 东北 | 简装', '中楼层(共18层)2008年建塔楼  -  乐从', '150万', '单价13044元/平米')
('https://image1.ljcdn.com/440600-inspection/f11f85eb-aa61-44b4-ba10-3ee6dee1aa1d.jpg.296x216.jpg', '金海M-CITY 三房两厅两卫', '金海MCITY  | 3室2厅 | 130.34平米 | 南 北 | 其他', '中楼层(共51层)2015年建塔楼  -  乐从', '300万', '单价23017元/平米')
('https://image1.ljcdn.com/440600-inspection/5c98ef5a-8acc-46c0-9eef-5044064962a9.jpg.296x216.jpg', '乐从风度广场 2室1厅 62万', '乐从风度广场  | 2室1厅 | 50平米 | 北 | 其他', '高楼层(共25层)2017年建塔楼  -  乐从', '62万', '单价12400元/平米')
('https://image1.ljcdn.com/440600-inspection/00462723-e07b-4e90-83cc-fd97c3abb95a.jpg.296x216.jpg', '佛奥湾 实用四房 格局方正', '佛奥湾  | 4室2厅 | 183平米 | 东 | 毛坯', '39层2018年建板塔结合  -  乐从', '270万', '单价14755元/平米')
('https://image1.ljcdn.com/440600-inspection/161ca4c7-c08a-4adc-ac8f-76e63ffb9739.jpg.296x216.jpg', '博澳城 花园小区', '博澳城  | 4室2厅 | 180平米 | 南 | 精装', '高楼层(共16层)2009年建塔楼  -  大良北区', '288.4万', '单价16023元/平米')
('https://image1.ljcdn.com/440600-inspection/5067d9d2-a0c4-47eb-ba9c-12aac5f2c247.jpg.296x216.jpg', '碧桂花城 中楼层装修新净三房出售', '碧桂花城翠湖畔新街  | 2室2厅 | 83平米 | 北 | 简装', '中楼层(共7层)2001年建塔楼  -  陈村', '130万', '单价15663元/平米')
('https://image1.ljcdn.com/440600-inspection/2696498a-e21a-4919-be7e-391e6eabdc69.jpg.296x216.jpg', '君御花园 交通便利', '君御花园  | 3室2厅 | 150.41平米 | 东南 | 其他', '中楼层(共11层)2007年建塔楼  -  大良东区', '268万', '单价17818元/平米')
('https://image1.ljcdn.com/440600-inspection/568805b9-7e09-4eb3-aab2-bb959506d952.jpg.296x216.jpg', '依云水岸 实用小三房 南向望花园', '依云水岸三期  | 3室2厅 | 89平米 | 南 北 | 毛坯', '高楼层(共41层)2011年建塔楼  -  乐从', '210万', '单价23596元/平米')
('https://image1.ljcdn.com/440600-inspection/ef2ab327-a8eb-421b-b3e6-4a61e67e7f79.jpg.296x216.jpg', '威斯广场 高层复式 毛坯六房', '威斯广场旭景豪庭  | 6室2厅 | 76.8平米 | 东 | 毛坯', '高楼层(共7层)2005年建板楼  -  乐从', '90万', '单价11719元/平米')
('https://image1.ljcdn.com/440600-inspection/6b0aa701-e58d-4cf7-b7dd-eeeb46b0b81d.jpg.296x216.jpg', '保利中宇花园 三房带入户花园', '保利中环一期中宇花园  | 3室2厅 | 144.72平米 | 北 | 毛坯', '低楼层(共32层)塔楼  -  大良新区', '215万', '单价14857元/平米')
('https://image1.ljcdn.com/440600-inspection/ba177763-66ef-4c5d-83cd-587d6faec640.jpg.296x216.jpg', '佛山奥园美林水岸 4室2厅 300万', '佛山奥园美林水岸  | 4室2厅 | 200平米 | 南 北 | 其他', '高楼层(共18层)2008年建塔楼  -  乐从', '300万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/c889dd08-6592-4773-b814-f7a215659005.jpg.296x216.jpg', '敏捷畔海御峰 毛坯五房', '敏捷畔海御峰  | 4室3厅 | 245平米 | 南 北 | 毛坯', '低楼层(共34层)2019年建塔楼  -  大良东区', '532万', '单价21715元/平米')
('https://image1.ljcdn.com/440600-inspection/75c2fb1d-ebbf-471f-a195-f90cbe0ca474.jpg.296x216.jpg', '钜隆风度广场 带精装 单身公寓出售', '乐从风度广场  | 1室1厅 | 33.02平米 | 北 | 精装', '中楼层(共25层)2017年建塔楼  -  乐从', '36万', '单价10903元/平米')
('https://image1.ljcdn.com/440600-inspection/6dd8dd4b-d8a1-4525-9650-168c9ce721a6.jpg.296x216.jpg', '嘉信城市花园一期 3室2厅 180万', '嘉信城市花园一期  | 3室2厅 | 99平米 | 东南 | 其他', '高楼层(共18层)2011年建塔楼  -  大良新区', '180万', '单价18182元/平米')
('https://image1.ljcdn.com/440600-inspection/3091d24f-fb84-4c02-b6ff-603f5ca7a90d.jpg.296x216.jpg', '万科新城湾畔 南向望江 风景好', '万科新城湾畔  | 4室2厅 | 179平米 | 东南 | 其他', '中楼层(共17层)2013年建塔楼  -  大良新区', '338万', '单价18883元/平米')
('https://image1.ljcdn.com/440600-inspection/a2ae2e34-3a27-4f1d-8fb1-c07a1e0448ec.jpg.296x216.jpg', '盈翠园小区成熟', '盈翠园  | 3室2厅 | 101平米 | 南 | 其他', '7层2006年建板塔结合  -  乐从', '120万', '单价11882元/平米')
('https://image1.ljcdn.com/440600-inspection/afc71c06-6cc1-4a5a-bfde-bc88ab6e0787.JPG.296x216.jpg', '金域湾 格局方正 中楼层', '金域湾  | 3室2厅 | 127.5平米 | 南 北 | 其他', '12层2006年建板塔结合  -  大良西北区', '204万', '单价16000元/平米')
('https://image1.ljcdn.com/440600-inspection/b846f04f-fde4-4191-a223-83b843d3cfac.jpg.296x216.jpg', '上品轩 2房2厅 158万元', '上品轩  | 2室2厅 | 76平米 | 南 | 其他', '39层2014年建板塔结合  -  大良中区', '140万', '单价18422元/平米')
('https://image1.ljcdn.com/440600-inspection/aeb5beb0-a88b-4ba4-82db-71abd0bc7d1d.jpg.296x216.jpg', '乐从佛奥湾', '佛奥湾  | 4室2厅 | 150平米 | 东 | 毛坯', '38层2018年建板塔结合  -  乐从', '213万', '单价14200元/平米')
('https://image1.ljcdn.com/440600-inspection/e5f9eca0-af1d-4aad-b38d-a89708d9bfea.jpg.296x216.jpg', '金威郦都 2室2厅 115万', '金威郦都  | 2室2厅 | 79.16平米 | 东 | 简装', '高楼层(共21层)2012年建塔楼  -  乐从', '115万', '单价14528元/平米')
('https://image1.ljcdn.com/440600-inspection/a497b8c1-b3ec-4d91-81bb-fb82df9a3d85.jpg.296x216.jpg', '保利中环广场第五大道 三房两卫', '保利中环三期第五大道  | 3室2厅 | 106平米 | 南 | 毛坯', '中楼层(共27层)2016年建塔楼  -  大良新区', '175万', '单价16510元/平米')
('https://image1.ljcdn.com/440600-inspection/16d9202d-df3e-4759-b984-8fb8814cf53e.jpg.296x216.jpg', '泓信楼 3室1厅 148万', '泓信楼  | 3室1厅 | 89平米 | 南 | 精装', '中楼层(共7层)板楼  -  大良东区', '148万', '单价16630元/平米')
('https://image1.ljcdn.com/440600-inspection/2876093b-8ae7-4d5a-aa4d-cf0a6e23664c.jpg.296x216.jpg', '嘉信三期 靓装修三房出售', '嘉信城市花园三期  | 3室2厅 | 137.38平米 | 东北 | 精装', '低楼层(共25层)2011年建塔楼  -  大良新区', '220万', '单价16014元/平米')
('https://image1.ljcdn.com/440600-inspection/132d616e-0320-4439-922d-2beafb93adb3.jpg.296x216.jpg', '乐从雅居乐 靓装修4房 带产权子母车位', '乐从雅居乐花园  | 4室3厅 | 263平米 | 南 北 | 其他', '低楼层(共26层)2013年建塔楼  -  乐从', '470万', '单价17871元/平米')
('https://image1.ljcdn.com/440600-inspection/3201d594-3d92-47a8-8f36-ea989fdab7b5.jpg.296x216.jpg', '碧桂花城翠湖畔一区 花园洋房 三房两卫 全新装修新净', '碧桂花城翠湖畔一区  | 3室2厅 | 84.2平米 | 西南 | 其他', '低楼层(共7层)2001年建塔楼  -  陈村', '242万', '单价28742元/平米')
('https://image1.ljcdn.com/440600-inspection/759289fe-e947-4786-937a-f9df4f696ba7.jpg.296x216.jpg', '康城尚域 花园小区 南向 安静舒适', '康城尚域尚华苑  | 4室2厅 | 137平米 | 南 | 精装', '高楼层(共7层)2005年建塔楼  -  大良东区', '210万', '单价15329元/平米')
('https://image1.ljcdn.com/440600-inspection/787780fd-3623-4b46-9e3d-5f09a121c238.jpg.296x216.jpg', '新世界2房高层 舒适温馨', '新世界名门天下  | 2室2厅 | 83.12平米 | 西南 | 其他', '中楼层(共30层)2012年建塔楼  -  大良中区', '143万', '单价17205元/平米')
('https://image1.ljcdn.com/440600-inspection/38618b6c-166a-45fc-adbb-ebe4393f961d.jpg.296x216.jpg', '顺德雅居乐花园 3室2厅 165万', '顺德雅居乐花园  | 3室2厅 | 96平米 | 东南 | 精装', '低楼层(共24层)2011年建塔楼  -  大良南区', '165万', '单价17188元/平米')
('https://image1.ljcdn.com/440600-inspection/95a9d86f-ec63-40e7-a0fa-0cfb5783eae8.JPG.296x216.jpg', '万科水晶城 装修四房', '万科水晶城  | 4室2厅 | 208平米 | 西南 | 精装', '中楼层(共32层)2012年建塔楼  -  陈村', '380万', '单价18270元/平米')
('https://image1.ljcdn.com/440600-inspection/35362c91-171b-49e2-8537-f111b7b2d50a.jpg.296x216.jpg', '佛罗伦斯尚苑 3室2厅 142万', '佛罗伦斯尚苑  | 3室2厅 | 108平米 | 南 | 其他', '低楼层(共20层)2010年建塔楼  -  容桂', '142万', '单价13149元/平米')
('https://image1.ljcdn.com/440600-inspection/e0a46434-eee0-4ed5-82ac-af51dc9d6eac.jpg.296x216.jpg', '紫荆南苑 小区成熟', '紫荆南苑  | 3室1厅 | 40.74平米 | 西北 | 简装', '低楼层(共6层)2005年建板楼  -  乐从', '42万', '单价10310元/平米')
('https://image1.ljcdn.com/440600-inspection/4bd9246a-e5bc-494b-9c37-f3338ad5d97e.jpg.296x216.jpg', '博澳城 5室2厅 800万', '博澳城  | 5室2厅 | 520.87平米 | 东南 南 | 毛坯', '低楼层(共3层)2010年建板楼  -  大良北区', '800万', '单价15359元/平米')
('https://image1.ljcdn.com/440600-inspection/38f56cfa-d8f6-46ab-8a90-587562756093.jpg.296x216.jpg', '华夏新城 2室2厅 164.8万', '华夏新城  | 2室2厅 | 101平米 | 北 | 精装', '中楼层(共17层)2012年建塔楼  -  容桂', '164.8万', '单价16317元/平米')
('https://image1.ljcdn.com/440600-inspection/5c3e99d5-da55-4d5e-ba2a-4eba36bf31f9.jpg.296x216.jpg', '佛山奥园 凯茵苑', '佛山奥园凯茵苑  | 3室2厅 | 113平米 | 东南 | 精装', '高楼层(共6层)2008年建板楼  -  乐从', '159万', '单价14071元/平米')
('https://image1.ljcdn.com/440600-inspection/7eb7b577-2be6-4e64-894b-c8a976bc58eb.jpg.296x216.jpg', '保利东湾 东悦花园 南北通透高层四房 送20平方平台', '保利东湾东悦花园  | 4室2厅 | 173平米 | 东 | 毛坯', '中楼层(共29层)2014年建塔楼  -  乐从', '346万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/7afb9ed6-425d-484c-93ba-cbc2023a4cab.jpg.296x216.jpg', '明日嘉园 4室2厅 258万', '明日嘉园  | 4室2厅 | 138.6平米 | 西 | 精装', '中楼层(共8层)2002年建塔楼  -  大良东区', '258万', '单价18615元/平米')
('https://image1.ljcdn.com/440600-inspection/75877504-2680-4766-a78b-9bfc5f188072.jpg.296x216.jpg', '顺德绿地* 2房1厅 140万元', '顺德绿地中心  | 2室1厅 | 77平米 | 西 | 其他', '低楼层(共20层)2017年建塔楼  -  大良东区', '130万', '单价16884元/平米')
('https://image1.ljcdn.com/440600-inspection/85bacfa3-ced1-4d7a-a9ac-fa5ace545f39.jpg.296x216.jpg', '依云水岸 南北对流', '依云水岸二期  | 4室2厅 | 199.7平米 | 南 北 | 精装', '中楼层(共42层)2010年建塔楼  -  乐从', '438万', '单价21933元/平米')
('https://image1.ljcdn.com/440600-inspection/242bd630-910e-4fa1-a133-5a6c3cff18d2.jpg.296x216.jpg', '连源二路散盘 3室2厅 94万', '连源二路散盘  | 3室2厅 | 101平米 | 东北 | 简装', '7层1996年建板塔结合  -  大良北区', '94万', '单价9307元/平米')
('https://image1.ljcdn.com/440600-inspection/94063151-8069-4a89-8f3e-350008ad1d32.jpg.296x216.jpg', '水悦城邦 3室2厅 270万', '水悦城邦  | 3室2厅 | 143平米 | 南 | 其他', '中楼层(共26层)2007年建塔楼  -  大良新区', '270万', '单价18882元/平米')
('https://image1.ljcdn.com/440600-inspection/43ee24be-2c29-496f-8456-5e20cf9dd2f4.jpg.296x216.jpg', '金威名苑 三房出售', '金威名苑  | 3室2厅 | 92.48平米 | 东南 | 毛坯', '23层2005年建板塔结合  -  乐从', '108万', '单价11679元/平米')
('https://image1.ljcdn.com/440600-inspection/6818eca3-dad5-432d-b267-dd3bbe9e9d2f.jpg.296x216.jpg', '依云水岸 精装四房单位', '依云水岸一期  | 3室2厅 | 85平米 | 南 | 精装', '高楼层(共14层)2013年建塔楼  -  乐从', '210万', '单价24706元/平米')
('https://image1.ljcdn.com/440600-inspection/72589d3f-4d58-43b2-a2ec-45e682ae39f5.jpg.296x216.jpg', '乐从雅居乐花园 带泳池6房单位', '乐从雅居乐花园  | 6室3厅 | 470平米 | 南 | 毛坯', '中楼层(共26层)2013年建塔楼  -  乐从', '590万', '单价12554元/平米')
('https://image1.ljcdn.com/440600-inspection/da55809f-7659-4a07-a5d1-338bb332f575.jpg.296x216.jpg', '岭岚花园 花园小区', '岭岚花园华翠轩  | 2室2厅 | 80.14平米 | 南 | 其他', '中楼层(共11层)2006年建塔楼  -  大良西北区', '105万', '单价13103元/平米')
('https://image1.ljcdn.com/440600-inspection/cdf2927e-4122-42b1-8125-ac946684fb7a.jpg.296x216.jpg', '康城尚域尚华苑 3室2厅 151万', '康城尚域尚华苑  | 3室2厅 | 123.48平米 | 东 | 精装', '高楼层(共6层)2005年建塔楼  -  大良东区', '151万', '单价12229元/平米')
('https://image1.ljcdn.com/440600-inspection/dc8f0741-bc7f-47d4-bfce-604eed401c98.jpg.296x216.jpg', '御祥豪庭 两房两厅 装修新净', '御祥豪庭  | 2室1厅 | 48平米 | 东 | 其他', '低楼层(共20层)2005年建塔楼  -  乐从', '75万', '单价15625元/平米')
('https://image1.ljcdn.com/440600-inspection/07ec8e37-8ab4-41f7-b27e-3b03a7961f6b.JPG.296x216.jpg', '大良凤南花园 安静舒适', '凤南花园  | 2室2厅 | 78.42平米 | 南 | 精装', '中楼层(共7层)2009年建塔楼  -  大良西北区', '115万', '单价14665元/平米')
('https://image1.ljcdn.com/440600-inspection/8bc7fc78-2329-48ab-809b-c4e13e9435e0.jpg.296x216.jpg', '保利东湾 二线望江四房 新毛坯', '保利东湾东悦花园  | 5室2厅 | 182平米 | 南 | 其他', '低楼层(共35层)2014年建塔楼  -  乐从', '418.6万', '单价23000元/平米')
('https://image1.ljcdn.com/440600-inspection/c29644f1-f405-429f-9fd5-bc2b877916a5.jpg.296x216.jpg', '佛奥湾 4室2厅 230万', '佛奥湾  | 4室2厅 | 154平米 | 东 | 其他', '38层2018年建板塔结合  -  乐从', '230万', '单价14936元/平米')
('https://image1.ljcdn.com/440600-inspection/48a49b82-d80e-48bf-85da-5faf45dc2638.jpg.296x216.jpg', '德润花园 2室1厅 50万', '德润花园  | 2室1厅 | 73.96平米 | 东北 | 毛坯', '中楼层(共7层)1996年建塔楼  -  乐从', '50万', '单价6761元/平米')
('https://image1.ljcdn.com/440600-inspection/c6e18caa-a7c8-4c4a-918f-0038624921f1.jpg.296x216.jpg', '乐从金威郦都 带装修4房', '金威郦都  | 4室2厅 | 158平米 | 东南 | 精装', '中楼层(共21层)2012年建塔楼  -  乐从', '230万', '单价14557元/平米')
('https://image1.ljcdn.com/440600-inspection/3b0a2c37-5db0-4410-a6ee-817021647357.jpg.296x216.jpg', '嘉年华府 3室2厅 150万', '嘉年华府  | 3室2厅 | 108平米 | 东南 | 其他', '低楼层(共16层)2006年建塔楼  -  大良南区', '150万', '单价13889元/平米')
('https://image1.ljcdn.com/440600-inspection/2fd45f8c-eaf0-4333-a3c8-cadfd1352fc7.jpg.296x216.jpg', '碧桂花城 装修新净三房带阁楼出售', '碧桂花城紫翠苑  | 3室2厅 | 109平米 | 南 | 其他', '高楼层(共6层)2001年建板楼  -  陈村', '160万', '单价14679元/平米')
('https://image1.ljcdn.com/440600-inspection/97e57204-2fa0-4f3e-96c8-e81ab169fe48.jpg.296x216.jpg', '紫荆南苑 小区成熟', '紫荆南苑  | 3室1厅 | 62.2平米 | 南 | 简装', '中楼层(共6层)2005年建板楼  -  乐从', '70万', '单价11255元/平米')
('https://image1.ljcdn.com/440600-inspection/88acd88c-10de-4b56-8a66-3a002ae30417.jpg.296x216.jpg', '碧桂花城 2房二厅', '碧桂花城泰和苑  | 2室2厅 | 63.9平米 | 西 | 简装', '中楼层(共7层)2001年建塔楼  -  陈村', '110万', '单价17215元/平米')
('https://image1.ljcdn.com/440600-inspection/56aabd41-d6a4-4cdc-b50e-1e1631b9a006.jpg.296x216.jpg', '依云水岸 刚需实用 环境舒适', '依云水岸三期  | 3室2厅 | 136平米 | 南 | 毛坯', '低楼层(共31层)2011年建塔楼  -  乐从', '272万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/49354148-f427-456b-9bfd-e092b29218f8.jpg.296x216.jpg', '水悦城邦 精装修 未住过 125', '水悦城邦  | 1室1厅 | 79.17平米 | 西 | 其他', '中楼层(共22层)2007年建塔楼  -  大良新区', '120万', '单价15158元/平米')
('https://image1.ljcdn.com/440600-inspection/b3dca547-3052-4958-9345-9d444c0a85e5.jpg.296x216.jpg', '尚庭雅居 3室2厅 128万', '尚庭雅居  | 3室2厅 | 89平米 | 西北 | 简装', '7层2005年建板塔结合  -  大良东区', '128万', '单价14383元/平米')
('https://image1.ljcdn.com/440600-inspection/ea6f21e5-5e17-4b1f-b9e9-0a8c7e416eb9.jpg.296x216.jpg', '岭岚花园 环境优美', '岭岚花园紫翠轩  | 3室2厅 | 100平米 | 南 北 | 其他', '中楼层(共7层)2006年建塔楼  -  大良西北区', '133万', '单价13300元/平米')
('https://image1.ljcdn.com/440600-inspection/5351da3a-4ded-4e21-a885-ea057573ef6e.jpg.296x216.jpg', '雅居乐新城湾畔  毛坯三房', '雅居乐新城湾畔  | 3室2厅 | 104.6平米 | 东北 | 毛坯', '中楼层(共24层)2015年建塔楼  -  北滘', '168万', '单价16062元/平米')
('https://image1.ljcdn.com/440600-inspection/00c82794-1019-4e39-8c8e-c4ba5cda0f52.jpg.296x216.jpg', '保利中汇花园 毛坯四房', '保利中环二期中汇花园  | 5室2厅 | 295平米 | 北 | 毛坯', '高楼层(共36层)2016年建塔楼  -  大良新区', '500万', '单价16950元/平米')
('https://image1.ljcdn.com/440600-inspection/a437ad34-b754-468b-87ac-2d38926240c2.jpg.296x216.jpg', '碧桂花城翠湖畔三区 4室2厅 320万', '碧桂花城翠湖畔三区  | 4室2厅 | 180平米 | 西南 | 精装', '高楼层(共12层)2001年建塔楼  -  陈村', '320万', '单价17778元/平米')
('https://image1.ljcdn.com/440600-inspection/021cb0a6-efa9-4bcd-92a0-d6f6f69a11cb.jpg.296x216.jpg', '岭岚花园雅翠轩 3室2厅 127万', '岭岚花园雅翠轩  | 3室2厅 | 97平米 | 西北 | 其他', '低楼层(共11层)2006年建塔楼  -  大良西北区', '127万', '单价13093元/平米')
('https://image1.ljcdn.com/440600-inspection/35591a73-f13d-4133-bdc7-6f4876c65c36.jpg.296x216.jpg', '金威郦都 户型方正', '金威郦都  | 3室2厅 | 118平米 | 东 | 其他', '高楼层(共21层)2012年建塔楼  -  乐从', '177万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/5cc21016-ab7d-4aea-af75-d3fdcaeb07d0.jpg.296x216.jpg', '德建华庭 3室2厅 155万', '德建华庭  | 3室2厅 | 117.83平米 | 南 | 其他', '7层2009年建板塔结合  -  大良东区', '155万', '单价13155元/平米')
('https://image1.ljcdn.com/440600-inspection/cf298e88-af0f-4b1d-a240-034d96ea6db0.jpg.296x216.jpg', '万科水晶城 3室2厅 200万', '万科水晶城  | 3室2厅 | 113.13平米 | 东北 | 其他', '低楼层(共33层)2017年建塔楼  -  陈村', '200万', '单价17679元/平米')
('https://image1.ljcdn.com/440600-inspection/fc8af118-5d3a-4022-9c9f-7d61e167e95b.jpg.296x216.jpg', '保利东湾 实用三房 新毛坯', '保利东湾东景花园  | 3室2厅 | 123平米 | 北 | 毛坯', '高楼层(共28层)2014年建塔楼  -  乐从', '258.3万', '单价21000元/平米')
('https://image1.ljcdn.com/440600-inspection/fbe5396f-050e-4d69-b970-bfefb976c6ce.jpg.296x216.jpg', '万科水晶城 三房二厅', '万科水晶城  | 3室2厅 | 113.24平米 | 西北 | 精装', '低楼层(共31层)2017年建塔楼  -  陈村', '270万', '单价23844元/平米')
('https://image1.ljcdn.com/440600-inspection/5fc9efbb-316c-44f7-8dec-b8a16a7caff6.jpg.296x216.jpg', '佛奥湾 成熟小区 环境优美 交通方便', '佛奥湾  | 3室2厅 | 125.47平米 | 西 | 毛坯', '39层2018年建板塔结合  -  乐从', '250万', '单价19926元/平米')
('https://image1.ljcdn.com/440600-inspection/41b3eac3-40fb-46b6-b768-2f228323b92e.jpg.296x216.jpg', '佳翠楼 干净整洁 向内街 光线通风好', '佳翠楼  | 3室2厅 | 109平米 | 南 | 其他', '8层2000年建板塔结合  -  大良中区', '112万', '单价10276元/平米')
('https://image1.ljcdn.com/440600-inspection/4944c92e-991d-4479-a561-32b29f7ecdfd.jpg.296x216.jpg', '凤南花园 5室2厅 297万', '凤南花园  | 5室2厅 | 205平米 | 南 | 其他', '中楼层(共12层)2009年建塔楼  -  大良西北区', '297万', '单价14488元/平米')
('https://image1.ljcdn.com/440600-inspection/7cdbbd94-ff4e-4957-9220-539e28aef03d.jpg.296x216.jpg', '逸林苑 单身公寓出售 装修保养好', '逸林苑  | 1室1厅 | 45平米 | 西南 | 其他', '12层2000年建板塔结合  -  大良南区', '65万', '单价14445元/平米')
('https://image1.ljcdn.com/440600-inspection/03e77ad6-365f-455b-b529-2e3e6a3aa2f6.jpg.296x216.jpg', '依云水岸 环境好', '依云水岸三期  | 4室2厅 | 191.79平米 | 南 北 | 精装', '中楼层(共41层)2011年建塔楼  -  乐从', '435万', '单价22682元/平米')
('https://image1.ljcdn.com/440600-inspection/7b88fca0-c919-44e6-92e3-1e08e1176442.jpg.296x216.jpg', '依云水岸 小区新净', '依云水岸三期  | 3室2厅 | 93平米 | 东南 | 毛坯', '中楼层(共31层)2011年建塔楼  -  乐从', '215万', '单价23119元/平米')
('https://image1.ljcdn.com/440600-inspection/0015f676-6759-4e4b-922e-1f83eefb5d2d.jpg.296x216.jpg', '星湖湾 4室2厅 215万', '星湖湾  | 4室2厅 | 198.4平米 | 南 | 其他', '中楼层(共17层)2016年建塔楼  -  乐从', '215万', '单价10837元/平米')
('https://image1.ljcdn.com/440600-inspection/f37a232a-a3cc-4b39-a359-07e4e6524bfd.jpg.296x216.jpg', '明日华府 3室2厅 240万', '明日华府  | 3室2厅 | 143.9平米 | 东 | 其他', '中楼层(共18层)2011年建塔楼  -  大良东区', '240万', '单价16679元/平米')
('https://image1.ljcdn.com/440600-inspection/0048bd5c-2abc-4549-aec2-f9d2836ef8a6.jpg.296x216.jpg', '顺德雅居乐花园 生活配套成熟', '顺德雅居乐花园  | 3室2厅 | 117平米 | 南 北 | 毛坯', '中楼层(共24层)2011年建塔楼  -  大良南区', '210万', '单价17949元/平米')
('https://image1.ljcdn.com/440600-inspection/eb3f2ebe-a37b-4cd3-ad82-5da36aade6f7.jpg.296x216.jpg', '尚都豪庭 3室2厅 165万', '尚都豪庭  | 3室2厅 | 125平米 | 北 | 简装', '低楼层(共13层)塔楼  -  容桂', '165万', '单价13200元/平米')
('https://image1.ljcdn.com/440600-inspection/c3cb2599-a21e-4d49-8abd-5938e237a3cc.jpg.296x216.jpg', '精装两房 超大阳台 采光好 户型方正', '汇成华庭  | 2室2厅 | 68平米 | 东北 | 简装', '中楼层(共16层)2000年建塔楼  -  大良南区', '124万', '单价18236元/平米')
('https://image1.ljcdn.com/440600-inspection/070ad192-7fd2-4ada-8015-c5888be2ccf6.jpg.296x216.jpg', '佛山新城 怡翠晋盛 南北对流4房', '怡翠晋盛御园  | 4室2厅 | 129.22平米 | 南 北 | 毛坯', '低楼层(共37层)2017年建塔楼  -  乐从', '270万', '单价20895元/平米')
('https://image1.ljcdn.com/440600-inspection/e049132e-9569-487a-b59a-5e20f41d5b29.jpg.296x216.jpg', '保利东湾 东嘉花园', '保利东湾东嘉花园  | 4室2厅 | 197平米 | 南 北 | 毛坯', '低楼层(共26层)2014年建塔楼  -  乐从', '400万', '单价20305元/平米')
('https://image1.ljcdn.com/440600-inspection/3ea2a5d0-82bc-4ae7-9f5d-b435c8bbbd03.jpg.296x216.jpg', '依云水岸三期 4室2厅 400万', '依云水岸三期  | 4室2厅 | 189.56平米 | 南 北 | 毛坯', '低楼层(共41层)2011年建塔楼  -  乐从', '400万', '单价21102元/平米')
('https://image1.ljcdn.com/440600-inspection/f43f43eb-f78a-4abc-b69c-c53691870040.jpg.296x216.jpg', '顺德雅居乐花园 5室2厅 280万', '顺德雅居乐花园  | 5室2厅 | 144平米 | 南 | 其他', '高楼层(共24层)2011年建塔楼  -  大良南区', '280万', '单价19445元/平米')
('https://image1.ljcdn.com/440600-inspection/eee04890-3ac1-4c8d-aabb-1f035266f9b4.jpg.296x216.jpg', '星际半岛 中低楼层 南向3房2卫', '星际半岛  | 3室2厅 | 132平米 | 南 | 毛坯', '低楼层(共31层)2016年建塔楼  -  乐从', '178万', '单价13485元/平米')
('https://image1.ljcdn.com/440600-inspection/38b48f10-483f-4499-ab56-1baa6cea2088.jpg.296x216.jpg', '佛奥湾 2室2厅 130万', '佛奥湾  | 2室2厅 | 88.4平米 | 西北 | 其他', '39层2018年建板塔结合  -  乐从', '130万', '单价14706元/平米')
