('https://image1.ljcdn.com/shfdfs-image/20170513/541a8d1f-99cd-4d95-844a-58e16d808346.jpg.296x216.jpg', '内环内 05年次新小区 小户型电梯房 房型正气两室两厅', '中兴财富国际公寓  | 2室2厅 | 79.48平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2005年建板楼  -  不夜城', '548万', '单价68949元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5ad7a53c-2535-449c-ad8b-2dcb450aa904.png.296x216.jpg', '联富假日公寓 3室2厅 750万', '联富假日公寓  | 3室2厅 | 93.32平米 | 南 西 | 毛坯 | 有电梯', '中楼层(共24层)2007年建塔楼  -  西藏北路', '750万', '单价80369元/平米')
('https://image1.ljcdn.com/310000-inspection/4ff5a687-56bf-4e99-8511-d240a2e25950.JPG.296x216.jpg', '幸福新苑 1室1厅 172万', '幸福新苑  | 1室1厅 | 36.45平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1994年建板楼  -  永和', '172万', '单价47188元/平米')
('https://image1.ljcdn.com/310000-inspection/965bdddc-cf13-48b4-bbc4-15148eceff7a.JPG.296x216.jpg', '白玉兰馨园 1室2厅 305万', '白玉兰馨园  | 1室2厅 | 56.38平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2004年建板楼  -  永和', '305万', '单价54098元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1eb3d882-503c-4793-887b-bc6e2ac16f49.png.296x216.jpg', '近地铁 精装双南两房 中间楼层 出行购物方便', '新汾小区  | 2室1厅 | 53.65平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1991年建板楼  -  彭浦', '263万', '单价49022元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170930/79f6b603-1afd-4de7-b67f-2ef7f82439ab.jpg.296x216.jpg', '大宁高品质小区+轨交1号+总价低+南北正三房+采光好', '慧芝湖花园  | 3室2厅 | 124.61平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2007年建板楼  -  大宁', '1130万', '单价90683元/平米')
('https://image1.ljcdn.com/310000-inspection/601193ad-6a77-4561-8ad7-a4e69a9a4d7a.jpg.296x216.jpg', '内环内，次新小区，对口闸北一中，双规交汇10.12', '万豪公寓  | 3室2厅 | 111.72平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2013年建塔楼  -  西藏北路', '582万', '单价52095元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f139b072-1ef9-49ce-9dea-f0438ade93ff.png.296x216.jpg', '中间楼层，南北通风，采光充足，精装修，拎包入住！', '临汾路1565弄  | 1室1厅 | 43.77平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1994年建板楼  -  彭浦', '215万', '单价49121元/平米')
('https://image1.ljcdn.com/310000-inspection/f1363624-d8e8-466f-867d-02515f1d4fdf.jpg.296x216.jpg', '双南双天井  采光好 对口闸北实验 诚意出售 看房方便', '洛川中路1100弄  | 2室1厅 | 45.39平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1982年建板楼  -  大宁', '335万', '单价73805元/平米')
('https://image1.ljcdn.com/310000-inspection/9f10d27c-fcd4-4b54-a200-0b17a8cb6893.jpg.296x216.jpg', '内环内低总价电梯小两房 中兴绿地旁 满5唯一 诚售！', '中鸿大厦  | 2室1厅 | 50.52平米 | 北 | 其他 | 有电梯', '中楼层(共26层)2001年建塔楼  -  西藏北路', '375万', '单价74229元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3204fccf-5d6e-4c13-8256-1d40791dc4ad.png.296x216.jpg', '近一号线地铁，小户型总价低，楼层低免爬楼，采光不挡', '中山北路805弄  | 1室0厅 | 30.18平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1986年建板楼  -  大宁', '205万', '单价67926元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1fbec4e3-a6ad-4229-b708-62973716757b.jpeg.296x216.jpg', '龙潭小区 1室1厅 208万', '龙潭小区  | 1室1厅 | 39平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  阳城', '208万', '单价53334元/平米')
('https://image1.ljcdn.com/310000-inspection/662e13b0-1c03-4f77-9848-e49ce9e98037.jpg.296x216.jpg', '地铁1号线 温馨舒适 出行方便 拎包入住 看房方便', '闻喜小区  | 1室1厅 | 47.83平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1985年建板楼  -  彭浦', '250万', '单价52269元/平米')
('https://image1.ljcdn.com/310000-inspection/test-35afd7c9-baf0-48a0-af9e-a1473839fb7d.png.296x216.jpg', '静安区！全新房！精装！法式平层，一梯一户，欢迎看房', '中粮天悦壹号  | 4室2厅 | 224平米 | 南 | 精装', '低楼层(共25层)板楼  -  西藏北路', '3200万', '单价142858元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload00aebc51-427a-4585-a339-cb8f080281c0.JPG.296x216.jpg', '白玉兰馨园 2室2厅 400万', '白玉兰馨园  | 2室2厅 | 73.15平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  永和', '400万', '单价54683元/平米')
('https://image1.ljcdn.com/310000-inspection/test-abff2db6-bad3-45c4-aa5c-61d577b00c01.png.296x216.jpg', '总价低小三房，全明户型，两房朝南，一房朝北南北通透', '灵石路896弄  | 3室1厅 | 72.7平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1993年建板楼  -  大宁', '375万', '单价51582元/平米')
('https://image1.ljcdn.com/310000-inspection/e1570283-7c50-47bf-bf72-8fb63f1198fb.jpg.296x216.jpg', '慧芝湖花园 2室2厅 795万', '慧芝湖花园  | 2室2厅 | 89.46平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2009年建板楼  -  大宁', '795万', '单价88867元/平米')
('https://image1.ljcdn.com/310000-inspection/32128ce7-077a-4b53-9d47-9aeb8634bd2b.jpg.296x216.jpg', '两梯两户送阁楼，带产权车位次新房，新风系统带地暖！', '天祥华府  | 4室2厅 | 150平米 | 南 北 | 精装 | 有电梯', '高楼层(共13层)2013年建板楼  -  闸北公园', '1200万', '单价80000元/平米')
('https://image1.ljcdn.com/310000-inspection/26444e19-02ee-4b8b-a495-09e5f7a8bc54.jpg.296x216.jpg', '双南+厅南户型难得位置适中好房推荐看房联系朱国发', '歌林春天馨园  | 2室2厅 | 98.44平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2005年建板楼  -  大宁', '800万', '单价81268元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160229/4e5396a8-4fda-4d67-94d5-e41ecf99f0e6.jpg.296x216.jpg', '一梯两户+边套全明正规厅+产权清晰+满五唯一+精装5楼', '安业路300弄  | 1室1厅 | 41.33平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  彭浦', '189万', '单价45730元/平米')
('https://image1.ljcdn.com/310000-inspection/d59feacd-dd02-47a1-96d7-ff79c9887da5.jpg.296x216.jpg', '地段好，双南户型，近3/4号线宝山路站、8号线中兴路站', '临山路30号  | 2室0厅 | 55.55平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  西藏北路', '365万', '单价65707元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2583f975-419b-4682-a360-1c214c26facb.png.296x216.jpg', '绿厦小区 1室1厅 290万', '绿厦小区  | 1室1厅 | 48平米 | 南 北 | 简装 | 有电梯', '中楼层(共9层)1982年建板楼  -  西藏北路', '290万', '单价60417元/平米')
('https://image1.ljcdn.com/310000-inspection/d6da1f73-539d-4cfc-add4-87a9140559e9.jpg.296x216.jpg', '上海滩大宁城 次新房 近地铁 房东诚意出售', '上海滩大宁城(公寓)  | 3室2厅 | 96.29平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2011年建板楼  -  大宁', '690万', '单价71659元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload8835a57c-6075-4122-9bba-04d3a20884d8.jpg.296x216.jpg', '近地铁 双南两房 采光好 总价低 满五唯一', '彭顺小区  | 2室1厅 | 42.84平米 | 南 | 精装 | 无电梯', '高楼层(共5层)板楼  -  彭浦', '205万', '单价47853元/平米')
('https://image1.ljcdn.com/310000-inspection/ade7498b-e199-4c3b-90e2-44821373aaa0.JPG.296x216.jpg', '新静安精装一室户+三楼+近一号线共康站+采光很好', '保德路1010弄  | 1室0厅 | 35.16平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1992年建板楼  -  彭浦', '170万', '单价48351元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f359078d-fdac-49a5-9680-b4a901034e5b.png.296x216.jpg', '新静安南北两房+东边套全明+满五唯一+中间楼层', '岭南路100弄  | 2室0厅 | 38.47平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1990年建板楼  -  彭浦', '205万', '单价53289元/平米')
('https://image1.ljcdn.com/310000-inspection/c5877dfa-8211-4c2a-beef-a98ffd97208b.JPG.296x216.jpg', '满五唯一双南全明，中等装修，中等楼层诚意出售', '共康三村  | 2室1厅 | 63.97平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  彭浦', '305万', '单价47679元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160522/011c75da-9f10-4f0d-84f8-a6c4c8ea2940.jpg.296x216.jpg', '精致南北通户型，次新房，厨卫全明，出行便利。', '五月花都荟豪庭  | 2室2厅 | 111.35平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2011年建板楼  -  不夜城', '940万', '单价84419元/平米')
('https://image1.ljcdn.com/310000-inspection/25bd0bfb-2552-41a3-89ad-8dc42f59f6c5.jpg.296x216.jpg', '（南北通 一梯两户 挑高厅）（大宁国际可用 满五年）', '悦公馆  | 2室2厅 | 71.45平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2010年建板楼  -  大宁', '670万', '单价93772元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171118/eaa350d3-9640-4f88-88d2-a9cb2a0c4aa4.jpg.296x216.jpg', '一梯两户，南北板式房，精装修，拎包入住，99年房龄', '屹立公寓  | 2室2厅 | 96.11平米 | 暂无数据 | 精装 | 无电梯', '中楼层(共6层)1999年建板楼  -  彭浦', '560万', '单价58267元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171014/9ee50902-31da-4da7-a1fe-2a5c85579544.jpg.296x216.jpg', '已改3房，送3.8平方阳台，精装修拎包入住，业主诚售', '明园森林都市  | 2室2厅 | 95.54平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)塔楼  -  大宁', '710万', '单价74315元/平米')
('https://image1.ljcdn.com/310000-inspection/f1df2015-af4e-4194-bf68-a293ef610eb0.jpg.296x216.jpg', '地铁3，4号线宝山路站，朝南一房 全明 总价低 诚售！', '虬江路909弄  | 1室0厅 | 34.7平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1986年建板楼  -  西藏北路', '215万', '单价61960元/平米')
('https://image1.ljcdn.com/310000-inspection/99de03e0-1da8-4495-9869-6ddadc7fa9f5.JPG.296x216.jpg', '汾西小区 1室1厅 160万', '汾西小区  | 1室1厅 | 29.95平米 | 南 | 其他 | 无电梯', '低楼层(共5层)1993年建板楼  -  彭浦', '160万', '单价53423元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171203/4ef25723-7e08-437e-8302-97e470085748.jpg.296x216.jpg', '精装修，直接拎包入住，彩光好，位置佳！', '保德公寓  | 1室1厅 | 42.05平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1996年建板楼  -  彭浦', '210万', '单价49941元/平米')
('https://image1.ljcdn.com/310000-inspection/74629e38-094c-4b15-b5e2-0c8d16ba2a31.jpg.296x216.jpg', '满五唯一，近地铁，诚心出售，看房方便', '龙潭小区  | 2室1厅 | 58.06平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  阳城', '330万', '单价56838元/平米')
('https://image1.ljcdn.com/310000-inspection/9471eaa5-f961-47dc-8b48-d2ac538f8970.JPG.296x216.jpg', '一室户近地铁 ·小区刚改建环境好 车位充足', '康平小区  | 1室0厅 | 30.13平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1986年建板楼  -  彭浦', '149万', '单价49453元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160306/57fdb802-a583-4739-a2e2-a98e34038657.jpg.296x216.jpg', '西藏北路1145号 2室1厅 208万', '西藏北路1145号  | 2室1厅 | 33平米 | 西南 | 精装', '中楼层(共7层)1986年建板楼  -  西藏北路', '208万', '单价63031元/平米')
('https://image1.ljcdn.com/310000-inspection/test-24b8d8e5-6536-460b-89a4-ce1d483d8be9.png.296x216.jpg', '地理位置好，单价实惠，88年成熟小区，业主诚意卖', '局西村  | 2室0厅 | 63.94平米 | 东 | 简装 | 有电梯', '高楼层(共7层)1975年建板楼  -  西藏北路', '368万', '单价57554元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d2360b87-816f-4ed3-b404-78873dcd7d27.png.296x216.jpg', '大宁板块+电梯两房+大宁国际广场+地铁一号线', '恒源大楼  | 2室1厅 | 87.31平米 | 南 | 毛坯 | 有电梯', '高楼层(共14层)2003年建塔楼  -  闸北公园', '560万', '单价64140元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180114/b55507bd-f6f9-4720-b33c-8a8c17a615e3.jpg.296x216.jpg', '独栋电梯房，前后无遮挡，交通便利好品质', '思美公寓  | 2室2厅 | 102.72平米 | 暂无数据 | 简装 | 有电梯', '低楼层(共20层)1998年建塔楼  -  彭浦', '480万', '单价46729元/平米')
('https://image1.ljcdn.com/310000-inspection/c0bb5a5b-9e4e-47b1-a3c4-a067461149e9.jpg.296x216.jpg', '谈家桥85弄两房，采光好，业主诚意，看房方便近1号线', '谈家桥路85弄  | 2室1厅 | 63.06平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1996年建板楼  -  大宁', '340万', '单价53917元/平米')
('https://image1.ljcdn.com/310000-inspection/1326a04b-3bac-4ab8-af6f-2baaf4d3cbee.jpg.296x216.jpg', '南星小区 1室1厅 400万', '南星小区  | 1室1厅 | 58.42平米 | 西北 | 精装 | 有电梯', '中楼层(共20层)1984年建塔楼  -  西藏北路', '400万', '单价68470元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadcf0ce6a5-8b03-4ad0-abbc-5e34d9a872ec.JPG.296x216.jpg', '97年商品房，总价低，一梯两户，南北通，全明户型', '临汾花园,  | 1室1厅 | 51.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  彭浦', '240万', '单价46512元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170401/9defcd8c-7ef0-474b-8400-6761a86e9182.jpg.296x216.jpg', '昌林公寓一室户，满五唯一，精装修，一梯两户型', '昌林公寓  | 1室1厅 | 50.17平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  彭浦', '250万', '单价49831元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170609/b2702c08-0aa5-4e37-bd81-34ac5e91d945.jpg.296x216.jpg', '盛源家豪城+人车分流车位充足+带独立地下室+全明户型', '盛源家豪城  | 2室2厅 | 108平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2008年建板楼  -  大宁', '790万', '单价73149元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160302/9603a863-fe1e-480a-8ac9-a749c45dfcd5.jpg.296x216.jpg', '三梯两户，景观房，坐拥苏州河，俯瞰黄浦江', '河滨豪园  | 3室2厅 | 151.12平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2000年建板楼  -  西藏北路', '1630万', '单价107862元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170309/d1f2b182-4249-4dba-b6ff-5d73789d55db.jpg.296x216.jpg', '新汾小区 精装修 房龄新  一房一厅  拎包住', '新汾小区  | 1室1厅 | 40.1平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1991年建板楼  -  彭浦', '180万', '单价44888元/平米')
('https://image1.ljcdn.com/310000-inspection/f004f02d-44ae-4e55-b729-bc421cfe0f8f.jpg.296x216.jpg', '翔前小区 1室1厅 185万', '翔前小区  | 1室1厅 | 43.56平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  永和', '185万', '单价42471元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfbb83183-cbb6-4e06-a5a1-ee343b54e57a.JPG.296x216.jpg', '共康四村，四楼一房，业主置换，急降十万，诚意出售', '共康四村  | 1室1厅 | 37.23平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  彭浦', '172万', '单价46200元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161009/6ba77ed2-3aa1-4679-83d1-f6be245913bb.jpg.296x216.jpg', '单价低，交通便利，内环内，大三房', '北苑大厦  | 3室2厅 | 166.74平米 | 南 | 简装 | 有电梯', '高楼层(共27层)2010年建板楼  -  西藏北路', '850万', '单价50978元/平米')
('https://image1.ljcdn.com/310000-inspection/e9ac25b0-d0d1-4df7-96d9-b5d1f1f7a929.JPG.296x216.jpg', '一梯两户，楼层佳，满五唯一，配套成熟', '万荣新苑  | 2室2厅 | 70.89平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1994年建板楼  -  阳城', '410万', '单价57837元/平米')
('https://image1.ljcdn.com/310000-inspection/45466e1a-6a69-4e91-8911-0054e416bb3c.jpg.296x216.jpg', '南山路71弄 1室1厅 240万', '南山路71弄  | 1室1厅 | 45.19平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  西藏北路', '240万', '单价53110元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploaddcec2c96-b40e-46e4-9b3f-1f7bea1ad0f1.jpg.296x216.jpg', '宁和小区三房 售后公房  户型方正  一梯两户南北直通', '宁和小区  | 3室1厅 | 74.17平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1992年建板楼  -  大宁', '550万', '单价74154元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cbd8ddd4-c2b5-40e2-aa15-13ea5c5dc1a8.png.296x216.jpg', '内环内2004年电梯干部楼，一梯两户，精装全明，随时看', '锦福公寓  | 2室1厅 | 89.4平米 | 东 西 | 精装 | 有电梯', '低楼层(共18层)2004年建板楼  -  不夜城', '605万', '单价67674元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171109/6cec0538-47f3-430c-aba8-6529a05efd8d.jpg.296x216.jpg', '龙潭小区，边套全明，税费低，带固定长租车位', '龙潭小区  | 2室1厅 | 77.39平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  阳城', '413万', '单价53367元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160725/12204e02-bd65-46e0-a6bd-b81c5a6450b7.jpg.296x216.jpg', '满五唯一。大三房居家选择，诚意出售', '亿润苑  | 3室2厅 | 133.01平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2005年建板楼  -  阳城', '815万', '单价61274元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171207/0c1253f7-7f06-4dde-9047-8c76b586a0d8.jpg.296x216.jpg', '实际利用面积大，闸北实验，带很大的天井，见户型图', '宝联小区  | 3室1厅 | 103.06平米 | 暂无数据 | 毛坯 | 无电梯', '低楼层(共7层)1998年建板楼  -  大宁', '670万', '单价65011元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ca4217c4-cedd-4d6c-be08-93887a0e62d2.png.296x216.jpg', '售后公房，南北通透，全明户型，采光充足！', '临汾路1565弄  | 2室1厅 | 58.19平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1995年建板楼  -  彭浦', '270万', '单价46400元/平米')
('https://image1.ljcdn.com/310000-inspection/f6c86026-c68c-4647-89ba-95d0f7aa6a5f.JPG.296x216.jpg', '双南两房！采光充足！看房方便！到价签字！', '景凤路205弄  | 2室1厅 | 50.8平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  彭浦', '270万', '单价53150元/平米')
('https://image1.ljcdn.com/310000-inspection/test-aa866f49-1804-4412-9591-7af54a610f36.png.296x216.jpg', '房东诚意出售，三楼，满五唯一，上家税费0', '永和二村  | 1室1厅 | 43.73平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  永和', '228万', '单价52139元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f36b0e9f-5029-4ab6-a5f8-dea99c9c9688.png.296x216.jpg', '诚意置换，看房随时可以，地铁1号线，新静安大宁板块', '锦佳苑  | 2室1厅 | 70.24平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1997年建板楼  -  大宁', '530万', '单价75456元/平米')
('https://image1.ljcdn.com/310000-inspection/c294b78e-5f5c-4af2-8203-40c3ea761800.JPG.296x216.jpg', '景观高区大三房，直视东方明珠夜景，视野好，光照足。', '临汾名城  | 3室2厅 | 136.5平米 | 南 | 精装 | 有电梯', '高楼层(共13层)2006年建板楼  -  彭浦', '785万', '单价57510元/平米')
('https://image1.ljcdn.com/310000-inspection/1f69ba7f-1776-4e9f-ba10-47bcc7112ac8.jpg.296x216.jpg', '中山北路地铁口，交通便利采光好，繁华地段适合自住', '统北村  | 1室1厅 | 37.87平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  不夜城', '249万', '单价65752元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade482a888-66c5-43c8-80ee-32aabd2dbfb0.jpg.296x216.jpg', '平型关路235弄 1室1厅 240万', '平型关路235弄  | 1室1厅 | 40.47平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1987年建板楼  -  闸北公园', '240万', '单价59304元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f05fbd56-8739-4bb3-9fb1-033489d7f6d1.png.296x216.jpg', '新上架好房，两部电梯，无增值税，高区观景房，方便看', '龙盛佳苑  | 2室1厅 | 60.36平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2011年建塔楼  -  阳城', '420万', '单价69583元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1560974a-7ff8-44ef-b861-dff4ac2aeead.jpg.296x216.jpg', '朝南两房，业主诚意出售，方便看房！', '圣和圣广场(公寓)  | 2室2厅 | 83.56平米 | 南 | 简装 | 有电梯', '中楼层(共31层)2008年建塔楼  -  西藏北路', '830万', '单价99330元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161231/ae8c0d9d-20a8-446a-adf1-52fab55bafa9.jpg.296x216.jpg', '小三房，简单装修，适合居家，价格实惠，看中可谈', '东寅公寓  | 3室2厅 | 77.15平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  永和', '450万', '单价58328元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170628/a9662301-c94b-4e92-8e81-74ef70e99f00.jpg.296x216.jpg', '白玉兰馨园电梯两房，小户型得房率高，诚意出售总价低', '白玉兰馨园  | 2室2厅 | 75.15平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2004年建板楼  -  永和', '395万', '单价52562元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload68e5efa9-7030-423a-a147-0c83aaa08b6f.jpg.296x216.jpg', '新《视野开阔》《精装地暖》《产权车位》《满二税少》', '明园森林都市  | 3室3厅 | 177平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2013年建塔楼  -  大宁', '1250万', '单价70622元/平米')
('https://image1.ljcdn.com/310000-inspection/a3c989ee-b148-4ea7-9999-3be131dcfbbe.jpg.296x216.jpg', '谈家桥路85弄，紧靠内环，近地铁，采光好，', '谈家桥路85弄  | 1室1厅 | 42.71平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1990年建板楼  -  大宁', '237万', '单价55491元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170930/10eba2e0-e251-490a-bb1a-55a7adfbab0e.jpg.296x216.jpg', '龙潭小区满五唯一，无户口，南北通一室半', '龙潭小区  | 1室1厅 | 43平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  阳城', '220万', '单价51163元/平米')
('https://image1.ljcdn.com/310000-inspection/6f31b0a5-d4d2-47c4-8e0e-8e444132568c.jpg.296x216.jpg', '金纺小区 3室2厅 710万', '金纺小区  | 3室2厅 | 131.04平米 | 南 | 简装 | 有电梯', '高楼层(共25层)1998年建塔楼  -  大宁', '710万', '单价54182元/平米')
('https://image1.ljcdn.com/310000-inspection/test-41ec478f-28d6-4230-811e-f04ee8545717.png.296x216.jpg', '新静安 商品房 一梯两户 满五唯一 户型正气 全天采光', '临汾花园,  | 2室1厅 | 68.99平米 | 南 | 简装 | 有电梯', '高楼层(共6层)1997年建板楼  -  彭浦', '310万', '单价44935元/平米')
('https://image1.ljcdn.com/310000-inspection/4687895e-c50e-4da9-a3ba-c63bf97b0ea3.jpg.296x216.jpg', '内环内全南两房户型正气，采光无遮挡，老北站菜场', '象山小区  | 2室1厅 | 53.83平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1978年建板楼  -  西藏北路', '370万', '单价68735元/平米')
('https://image1.ljcdn.com/310000-inspection/test-47f6582f-28ae-4e79-96c0-6575361b87e6.png.296x216.jpg', '2008年 南北直通2房 高区景观东方明珠 无户口人车分流', '盛源家豪城  | 2室2厅 | 107.52平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2008年建板楼  -  大宁', '855万', '单价79521元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada927e9cc-4443-488a-b65b-e19a1c24f609.jpg.296x216.jpg', '成亿花园多层大三居 带产权车位 诚意出售', '成亿花园  | 3室2厅 | 128.65平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2003年建板楼  -  永和', '675万', '单价52468元/平米')
('https://image1.ljcdn.com/shfdfs-image/20150425/2d41faf7-063a-4a26-bc0d-7a13f4acaaa2.jpg.296x216.jpg', '星城美景苑 3室2厅 830万', '星城美景苑  | 3室2厅 | 147.86平米 | 暂无数据 | 毛坯 | 无电梯', '高楼层(共6层)2003年建板楼  -  阳城', '830万', '单价56135元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170416/bebcc901-230a-4629-88d4-4aabf740cae3.jpg.296x216.jpg', '昆泰大厦  两房朝南厅朝南，全明户型，满五唯一，诚售', '昆泰大厦  | 2室1厅 | 87.2平米 | 南 | 精装 | 有电梯', '高楼层(共23层)1999年建塔楼  -  西藏北路', '590万', '单价67661元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada0c39cce-c6ae-41df-8778-b12705867d32.jpg.296x216.jpg', '诚意出售单价六万四，65平两居室，电梯次新小区', '龙盛佳苑  | 2室1厅 | 65.25平米 | 南 | 毛坯 | 有电梯', '低楼层(共15层)2011年建塔楼  -  阳城', '400万', '单价61303元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cb23c10f-d36b-4417-94ec-990a224e67b5.png.296x216.jpg', '此房满五唯一，高区两房，全南户型业主置换诚意出售', '望景苑  | 2室2厅 | 92.04平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2002年建板楼  -  大宁', '685万', '单价74425元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171207/68ae8cf7-6383-480c-8a84-075c19231c28.jpg.296x216.jpg', '万荣新苑精装2房，2房朝南，位置好，采光足', '万荣新苑  | 2室1厅 | 71平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  阳城', '380万', '单价53522元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160709/5d2fabcc-a6f9-408e-818b-04948b0f9557.jpg.296x216.jpg', '彭豪公寓 2室1厅 315万', '彭豪公寓  | 2室1厅 | 60.51平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  彭浦', '315万', '单价52058元/平米')
