('https://image1.ljcdn.com/330100-inspection/353626ee-aedd-4977-88f2-6d8fa77aa0e3.jpg.296x216.jpg', '都市枫林经典三房，房东诚心卖，看房方便', '通和都市枫林  | 3室2厅 | 106.82平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  石桥', '352.6万', '单价33004元/平米')
('https://image1.ljcdn.com/330100-inspection/54aa19af-235f-450f-968a-9cba27d0ccd3.jpg.296x216.jpg', '东园巷 地铁口 贴沙河畔 全明户型 标准两房  诚心出售', '东园巷  | 2室1厅 | 50.45平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1996年建板楼  -  建国北路', '203万', '单价40238元/平米')
('https://image1.ljcdn.com/330100-inspection/2eb57a76-fe7e-46f2-b344-cb865d3daf37.jpg.296x216.jpg', '豆腐巷小两房   房龄新  楼层适中', '豆腐巷  | 2室1厅 | 45.17平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1988年建板楼  -  众安桥', '250万', '单价55347元/平米')
('https://image1.ljcdn.com/330100-inspection/5ccc85fd-b01a-4c8b-9c10-00a8c6596d51.jpg.296x216.jpg', '绿洲花园，楼幢位置好，西边套大三房', '绿洲花园  | 3室2厅 | 138.06平米 | 南 西 | 简装 | 有电梯', '中楼层(共11层)2002年建板塔结合  -  流水苑', '735万', '单价53238元/平米')
('https://image1.ljcdn.com/330100-inspection/70b25a97-a79b-4c52-a3c8-8efd88cb9597.jpg.296x216.jpg', '屏风苑小区新上房源  户型好楼层低', '屏风苑小区  | 2室1厅 | 58.41平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1990年建板楼  -  天水', '340万', '单价58210元/平米')
('https://image1.ljcdn.com/330100-inspection/test-d642e87f-228f-4a70-9bcb-b0acd393ff8b.png.296x216.jpg', '2号 5号 D铁口 南北通透  全明两房看房随时', '艮园社区  | 2室1厅 | 53.6平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1992年建板楼  -  建国北路', '230万', '单价42911元/平米')
('https://image1.ljcdn.com/330100-inspection/8b3c9f01-6901-4d71-8cf0-3a9ec07d48a3.JPG.296x216.jpg', '05年大跃层  大露台 精装修 东边套 全明户型 可议价', '水岸雅苑  | 5室3厅 | 177.06平米 | 东南 | 简装 | 无电梯', '高楼层(共6层)2006年建板楼  -  三里亭', '640万', '单价36146元/平米')
('https://image1.ljcdn.com/330100-inspection/df304a9f-2cfb-4a45-9db8-51b0b630e4a3.jpg.296x216.jpg', '新华坊社区 装修清爽 两房 环北丝绸', '新华坊社区  | 2室2厅 | 78.24平米 | 南 | 简装 | 有电梯', '低楼层(共18层)1998年建板楼  -  丝绸城', '360万', '单价46013元/平米')
('https://image1.ljcdn.com/330100-inspection/a285a8ed-50ca-4ac2-b507-38fa13787fbb.jpg.296x216.jpg', '庆晖公寓 婚房精装修 全明户型 拎包入住 电梯房', '庆晖公寓  | 3室1厅 | 90.02平米 | 南 西 | 精装 | 有电梯', '低楼层(共19层)2000年建塔楼  -  朝晖', '415万', '单价46101元/平米')
('https://image1.ljcdn.com/330100-inspection/1f748a98-27cc-4d2b-8001-d7920962559b.jpg.296x216.jpg', '东园小区，全明户型，两房朝南，赠送1面积1平方', '东园小区  | 2室1厅 | 52.83平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  建国北路', '240万', '单价45429元/平米')
('https://image1.ljcdn.com/330100-inspection/1e9a9903-971b-4ab6-aadd-5e117cc20dc3.jpg.296x216.jpg', '北景园紫荆苑 纯毛坯大面积跃层 可以按自己的风格装修', '北景园紫荆苑  | 5室2厅 | 180平米 | 南 | 毛坯 | 有电梯', '高楼层(共11层)2006年建塔楼  -  石桥', '485万', '单价26945元/平米')
('https://image1.ljcdn.com/330100-inspection/dd375705-7346-4e74-9c2f-30aac3f11e33.jpg.296x216.jpg', '艮园社区 中间楼层 全明户型 可做2房', '艮园社区  | 1室1厅 | 38.78平米 | 东北 | 简装 | 无电梯', '中楼层(共7层)1992年建板楼  -  建国北路', '165万', '单价42548元/平米')
('https://image1.ljcdn.com/330100-inspection/a24e3263-c701-4972-913f-d046e0087248.jpg.296x216.jpg', '凤起苑 3室2厅 520万', '凤起苑  | 3室2厅 | 106.15平米 | 南 | 简装 | 有电梯', '中楼层(共26层)1999年建板楼  -  潮鸣', '520万', '单价48988元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadd59f4e6f-ff29-4710-9d2a-280bbad7e0f0.jpg.296x216.jpg', '施家花园，东边套，自住清爽装修，房东诚售', '施家花园  | 4室2厅 | 132.37平米 | 东 南 北 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  流水苑', '596万', '单价45026元/平米')
('https://image1.ljcdn.com/330100-inspection/cf752a5f-b478-47d7-b2f1-71bc8d615f24.jpg.296x216.jpg', '漾河人家  新鲜出炉  全明户型  看房方便  好房诚售', '漾河人家  | 2室1厅 | 63.86平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2000年建板楼  -  三塘', '225万', '单价35234元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload92db124d-20d4-4a39-90f3-168db1368c3b.jpg.296x216.jpg', '房龄新07年小区   电梯房     两房南', '凤鸣苑  | 2室2厅 | 79.43平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2006年建板楼  -  潮鸣', '372万', '单价46834元/平米')
('https://image1.ljcdn.com/330100-inspection/f850c465-06cf-455c-99a4-bb8a612847e8.jpg.296x216.jpg', '地铁房，安吉路，交通便利，大户型，有运河，看房方便', '桃花河新村  | 3室2厅 | 93.32平米 | 南 | 精装 | 无电梯', '中楼层(共8层)1989年建板楼  -  武林', '540万', '单价57866元/平米')
('https://image1.ljcdn.com/330100-inspection/11011a56-cb7b-4428-949b-973223881430.jpg.296x216.jpg', '双地铁口的准三房，户型优质诚心出售', '潮鸣苑  | 3室1厅 | 79.8平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  潮鸣', '355万', '单价44487元/平米')
('https://image1.ljcdn.com/330100-inspection/b48c2d0a-cbba-4948-84df-eb853cee536d.jpg.296x216.jpg', '地铁口 贴沙河畔 2房婚房装修，中间楼层， 红会医院', '东园巷  | 2室1厅 | 49.12平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1996年建板楼  -  建国北路', '220万', '单价44789元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadda30e195-5752-4f4c-85a9-2118cbc3d01a.jpg.296x216.jpg', '骆驼桥东河下，可拆迁房源，有想法看过来 ，随时可看', '骆驼桥东河下  | 3室1厅 | 61.72平米 | 东 西 | 简装', '高楼层(共6层)1990年建板楼  -  建国北路', '236万', '单价38238元/平米')
('https://image1.ljcdn.com/330100-inspection/50d48ac5-1f48-49fd-bc66-54f8d432c712.jpg.296x216.jpg', '武林路，两室好房，价格低，交通便利', '武林路  | 2室1厅 | 47平米 | 东 西 | 简装 | 无电梯', '低楼层(共7层)1987年建板楼  -  武林', '270万', '单价57447元/平米')
('https://image1.ljcdn.com/330100-inspection/b5e3237e-ab0e-498f-9810-2c7c7a38349f.jpg.296x216.jpg', '和平小区 中间楼层 采光好 全明户型 满五年唯一住宅', '和平小区  | 2室2厅 | 86.31平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  流水苑', '415万', '单价48083元/平米')
('https://image1.ljcdn.com/330100-inspection/df59f36f-9df2-4abe-8e7f-b90e0af8ab6a.jpg.296x216.jpg', '为您而选 中山北园 全明户型户型方正带一个院子', '中山北园  | 3室1厅 | 73.48平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  朝晖', '350万', '单价47633元/平米')
('https://image1.ljcdn.com/330100-inspection/570586f2-b5d3-4ba8-a3af-b4c8f1f31beb.jpg.296x216.jpg', '朝晖四区 三开间朝南  中间楼层 靠上塘河 1995年房龄', '朝晖四区  | 2室1厅 | 64.02平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1989年建板楼  -  朝晖', '285万', '单价44518元/平米')
('https://image1.ljcdn.com/330100-inspection/test-f33b1fcc-ddff-4adc-b73f-febacd6a2c60.png.296x216.jpg', '锦园小区   地铁口 一梯两户 两房朝南', '锦园小区  | 2室1厅 | 46.35平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1994年建板楼  -  建国北路', '195万', '单价42072元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload39cb5b8a-31f2-4466-973d-fb5ce0707cf4.JPG.296x216.jpg', '采光无遮挡，电梯房小区中间位置，诚心出售，两房朝南', '三里家园一区  | 3室2厅 | 102.29平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  三里亭', '400万', '单价39105元/平米')
('https://image1.ljcdn.com/330100-inspection/9d99878a-9962-4866-810c-0dc866f3527a.jpg.296x216.jpg', '长寿桥 一梯两户 1998年房龄 中间楼层  小户型一居室', '竹竿巷  | 1室1厅 | 46.22平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2001年建板楼  -  众安桥', '255万', '单价55171元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload2e4aa1c1-bbb8-4ed6-9941-a6bbe74084f6.jpg.296x216.jpg', '横燕子弄 两房朝南 户型方正 采光充足', '横燕子弄  | 2室1厅 | 60.98平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1994年建板楼  -  长庆', '296万', '单价48541元/平米')
('https://image1.ljcdn.com/330100-inspection/b7829bcb-1730-44b3-8291-6bc184444b05.jpg.296x216.jpg', '朝晖九区 小三房 自住装修 可以拎包 刚需的看过来', '朝晖九区  | 3室1厅 | 58.2平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  朝晖', '265万', '单价45533元/平米')
('https://image1.ljcdn.com/330100-inspection/598b510e-c339-4518-bdc3-944c68724baf.jpg.296x216.jpg', '业主置换，诚心出售，自住装修，户型正气', '通和都市枫林  | 2室2厅 | 90.06平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  石桥', '290万', '单价32201元/平米')
('https://image1.ljcdn.com/330100-inspection/15866f9d-63a3-4a4a-be72-893276d0b766.jpg.296x216.jpg', '此房满二免增值税，楼层好，采光充足，交通便利', '京都苑  | 2室1厅 | 47.65平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  流水苑', '215万', '单价45121元/平米')
('https://image1.ljcdn.com/330100-inspection/3823544d-a7ce-43b4-80eb-37d0bf3836b1.jpg.296x216.jpg', '地铁口 十五家园 全明户型 2房 采光无挡 房东诚心出售', '十五家园  | 2室1厅 | 58.46平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1991年建板楼  -  丝绸城', '245万', '单价41909元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4bf5d569-5402-4892-a837-6da9a1a573a4.jpg.296x216.jpg', '天堂园汽轮宿舍小两房 带花园 刚需的好选择 诚售', '天堂园汽轮宿舍  | 2室1厅 | 54.03平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1987年建板楼  -  石桥', '200万', '单价37017元/平米')
('https://image1.ljcdn.com/330100-inspection/ddaef791-d4f4-4819-bbd8-322b1ba00bbc.jpg.296x216.jpg', '11年，户型正气、，地下车库，看房方便，交通便利', '宝善公寓  | 2室1厅 | 73.5平米 | 西 | 其他 | 有电梯', '低楼层(共24层)2011年建塔楼  -  建国北路', '360万', '单价48980元/平米')
('https://image1.ljcdn.com/330100-inspection/7045b689-ffc9-46a2-8ce7-d7ac273add17.jpg.296x216.jpg', '下城好板块，新天地，银泰城，配套齐全', '西文东苑  | 2室1厅 | 67.43平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2010年建板楼  -  三塘', '246万', '单价36483元/平米')
('https://image1.ljcdn.com/330100-inspection/7d47e4a9-0fd4-4847-b725-83f88f2e148f.jpg.296x216.jpg', '朝晖九区三房，两房朝南，户型全明通透。', '朝晖九区  | 3室2厅 | 67.42平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  朝晖', '245万', '单价36340元/平米')
('https://image1.ljcdn.com/330100-inspection/680010cd-4a05-4de5-b416-f4322d398e6c.jpg.296x216.jpg', '流水东苑  南北通透，婚房精装修 拎包入住', '流水东苑  | 2室1厅 | 51.33平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1995年建板楼  -  流水苑', '226万', '单价44029元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadbc820000-14c9-44c3-88b2-3dd034e6f23d.jpg.296x216.jpg', '东河景观房、多层电梯、一梯一户、品质小区、看房方便', '丽景西苑  | 5室2厅 | 184.9平米 | 东 南 北 | 简装 | 有电梯', '低楼层(共15层)2004年建板塔结合  -  长庆', '1150万', '单价62196元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7772a27c-386f-4039-adb2-6f8913d83d7a.jpg.296x216.jpg', '电梯房，总价不高，适合各样客户群体，业主诚售', '通盛嘉苑  | 2室1厅 | 98平米 | 南 | 简装 | 有电梯', '高楼层(共22层)2006年建板塔结合  -  朝晖', '490万', '单价50000元/平米')
('https://image1.ljcdn.com/330100-inspection/8cda9c14-e671-4bdc-9938-8bcd9115f57c.jpg.296x216.jpg', '大家武林府 70年住宅 精装东边套 学籍无占用 拎包入住', '大家武林府  | 1室1厅 | 69.25平米 | 东 | 精装 | 有电梯', '高楼层(共21层)2013年建板塔结合  -  朝晖', '450万', '单价64982元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload2f83e194-40a8-4457-8820-f39d31378682.jpg.296x216.jpg', '工人新村 全明户型 经典三居 楼层好 采光佳 清爽装修', '工人新村  | 3室1厅 | 80.98平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1989年建板楼  -  建国北路', '349万', '单价43098元/平米')
('https://image1.ljcdn.com/330100-inspection/9ed0b853-bbb5-4ba2-9e1b-49c028d3a1d2.jpg.296x216.jpg', '朝晖四区 东边套 视野开阔 楼层好 采光好 户型正气', '朝晖四区  | 2室1厅 | 55.39平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1989年建板楼  -  朝晖', '228万', '单价41163元/平米')
('https://image1.ljcdn.com/330100-inspection/54e3602c-b064-4418-b523-bf14ad7e587d.jpg.296x216.jpg', '现代景苑 3室2厅 640万', '现代景苑  | 3室2厅 | 125.73平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2010年建板塔结合  -  和平', '640万', '单价50903元/平米')
('https://image1.ljcdn.com/330100-inspection/63cef181-86bd-4d09-a993-e638b30d8bd1.jpg.296x216.jpg', '红会医院旁 电梯房 中高楼层 卧室朝南 卫生间干湿分离', '天园阁  | 2室1厅 | 80.56平米 | 西南 | 其他 | 有电梯', '高楼层(共20层)1998年建板楼  -  建国北路', '350万', '单价43446元/平米')
('https://image1.ljcdn.com/330100-inspection/d46b09a7-232d-4555-a81a-4648cc395813.jpg.296x216.jpg', '【东新关】带10方院子，业主诚售，总价低，刚需置换', '东新关  | 2室1厅 | 58.13平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1994年建板楼  -  朝晖', '216万', '单价37159元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0c85afa5-4079-4a84-a228-f05dd08fa11a.jpg.296x216.jpg', '米兰 两房精装，低总价，楼层好', '米兰公寓  | 2室1厅 | 49.54平米 | 东 西 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  潮鸣', '230万', '单价46428元/平米')
('https://image1.ljcdn.com/330100-inspection/test-1a012f4a-8932-40db-a537-19b142ddd1bc.png.296x216.jpg', '诚心出售，有钥匙随时看房，简单装修，满两年有个税', '漾河人家  | 2室1厅 | 63.04平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2000年建板楼  -  三塘', '220万', '单价34899元/平米')
('https://image1.ljcdn.com/330100-inspection/66550478-f75e-4881-9713-eca1db8bed27.jpg.296x216.jpg', '建国北路地铁口 小两房 中间楼层 自住精装修', '树园  | 2室1厅 | 52.32平米 | 东 西 | 精装 | 无电梯', '中楼层(共7层)1990年建板楼  -  建国北路', '245万', '单价46828元/平米')
('https://image1.ljcdn.com/330100-inspection/baac3311-ef63-4e80-a42d-0a635bb570d5.jpg.296x216.jpg', '朝晖九区 南北通透 精装小两房', '朝晖九区  | 2室2厅 | 59.41平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  朝晖', '261万', '单价43932元/平米')
('https://image1.ljcdn.com/330100-inspection/80e56ad6-f478-4d26-bd71-739efc939486.jpg.296x216.jpg', '两房朝南 阳光南北通透 动静分离得宜 尽享优雅品质', '朝晖九区  | 3室1厅 | 75.05平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  朝晖', '320万', '单价42639元/平米')
('https://image1.ljcdn.com/330100-inspection/71989955-8547-409c-8eb5-c6c565bc02b6.jpg.296x216.jpg', '大三房 一楼带大院子 可独门独户。', '环西新村  | 3室2厅 | 96.9平米 | 南 | 简装 | 无电梯', '低楼层(共4层)1989年建板楼  -  武林', '590万', '单价60888元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload432f476b-5fce-40c8-be4b-692fd86372a1.jpg.296x216.jpg', '锦园 地铁口 标准三房 户型正气 拎包入住', '锦园小区  | 3室1厅 | 73.55平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  建国北路', '320万', '单价43508元/平米')
('https://image1.ljcdn.com/330100-inspection/ffa79ad8-decc-4a36-99b6-7221e5f59a54.jpg.296x216.jpg', '长寿桥小户型，地铁站边，西湖近处', '大和里  | 1室1厅 | 34.5平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1988年建板楼  -  众安桥', '205万', '单价59421元/平米')
('https://image1.ljcdn.com/330100-inspection/9faaa8bc-0dba-4f5d-b3d5-fdf391a94719.jpg.296x216.jpg', '艮园小区 1998年房龄 西边套一梯两户 精装修 可做三房', '艮园社区  | 2室2厅 | 79.45平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1999年建板楼  -  建国北路', '300万', '单价37760元/平米')
('https://image1.ljcdn.com/330100-inspection/1fb8edc3-17fe-4b92-9b93-39e1734965be.jpg.296x216.jpg', '三塘汶园 2室1厅 350万', '三塘汶园  | 2室1厅 | 85.82平米 | 南 北 | 简装 | 有电梯', '低楼层(共21层)2004年建塔楼  -  三塘', '350万', '单价40784元/平米')
('https://image1.ljcdn.com/330100-inspection/b2f888c8-44e2-434d-8734-54cbafeb8389.jpg.296x216.jpg', '朝晖六区 南北通 赠送朝北11.4平米阳台 中间好楼层', '朝晖六区  | 2室1厅 | 63.31平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1986年建板楼  -  朝晖', '275万', '单价43438元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5dc7bdca-dc62-43ef-88bc-f258ef786084.jpg.296x216.jpg', '大树路3号   地铁口   全明户型  一梯两户   可改三房', '大树路3号  | 2室2厅 | 85.32平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  建国北路', '365万', '单价42781元/平米')
('https://image1.ljcdn.com/330100-inspection/de50867b-09d8-43d7-b654-ffb319156893.jpg.296x216.jpg', '同绿洲同配套、同房龄，它的卖点体现在价格与户型上。', '嘉汇大厦  | 3室2厅 | 157.07平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2002年建塔楼  -  流水苑', '598万', '单价38073元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload214bdb03-a45e-4aa0-8328-b8e44b75a85f.jpg.296x216.jpg', '豆腐巷一室小套 总价低  长寿桥 楼层好', '豆腐巷  | 1室1厅 | 39.36平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  众安桥', '240万', '单价60976元/平米')
('https://image1.ljcdn.com/330100-inspection/c064be32-1bb8-4113-9c26-2174af605a09.jpg.296x216.jpg', '树园小区 低楼层 单价低 地铁口 业主诚售', '树园  | 2室1厅 | 49.6平米 | 北 | 简装 | 无电梯', '低楼层(共7层)1990年建板楼  -  建国北路', '205万', '单价41331元/平米')
('https://image1.ljcdn.com/330100-inspection/fab4c16f-6a9f-4c0a-86b0-c824c28c3d1a.jpg.296x216.jpg', '品质小区   二号线    凤起路建国北路   交叉口', '东河锦园  | 4室1厅 | 166平米 | 东 南 | 精装 | 有电梯', '高楼层(共18层)2000年建板楼  -  潮鸣', '796万', '单价47952元/平米')
('https://image1.ljcdn.com/330100-inspection/43eb6794-4c14-4e58-9cb5-2720cef8b78e.jpg.296x216.jpg', '此房没有增值税，业主诚售，户型方正，二房可改三房。', '北景园水镜苑  | 2室2厅 | 97.46平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2006年建板楼  -  石桥', '285万', '单价29243元/平米')
('https://image1.ljcdn.com/330100-inspection/e33c8b66-932c-45c8-ab75-02441636e92c.jpg.296x216.jpg', '新华坊 地铁口 东河景观房 全明东边套  采光好', '新华坊社区  | 3室1厅 | 109.38平米 | 南 | 简装 | 有电梯', '高楼层(共18层)1998年建板楼  -  丝绸城', '492万', '单价44981元/平米')
('https://image1.ljcdn.com/330100-inspection/fa5674fc-54f3-4165-a7a0-2a9d417be875.jpg.296x216.jpg', '大四房，三房朝南，西边套，采光充足，户型正气', '中大凤栖花园  | 4室2厅 | 153.12平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2003年建板楼  -  潮鸣', '796万', '单价51986元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7b0548d2-5792-4d24-954f-a7117f41f2ad.jpg.296x216.jpg', '精装修，电梯房，采光好，户型好，地铁口', '凤起苑  | 3室2厅 | 154平米 | 南 | 精装 | 有电梯', '低楼层(共26层)1999年建板楼  -  潮鸣', '685万', '单价44481元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0919de61-b1ce-4dcf-ac0a-f8141d6f8cc7.jpg.296x216.jpg', '新天地世嘉君座，通天然气，民用水电，正南朝向', '杭州新天地  | 2室1厅 | 48.99平米 | 南 | 精装', '低楼层(共11层)2015年建板塔结合  -  三塘', '215万', '单价43887元/平米')
('https://image1.ljcdn.com/330100-inspection/6e9b12f4-4b66-4814-8952-72264205b7aa.jpg.296x216.jpg', '地铁口 长寿桥 总价低 精装修 小两房', '广福路小区  | 2室1厅 | 43.74平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  众安桥', '245万', '单价56013元/平米')
('https://image1.ljcdn.com/330100-inspection/cbf0c2aa-c1e9-4cca-8cb3-002a5ba20a5c.jpg.296x216.jpg', '朝晖九区 小户型 南北通透 低总价 适合刚需', '朝晖九区  | 2室1厅 | 45.74平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  朝晖', '200万', '单价43726元/平米')
('https://image1.ljcdn.com/330100-inspection/8f9744aa-d652-443c-b3fa-6bd41478116f.jpg.296x216.jpg', '北景园超大精装四室 优质楼层 错过一套等三年', '通和都市枫林  | 4室2厅 | 133平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  石桥', '500万', '单价37594元/平米')
('https://image1.ljcdn.com/330100-inspection/dea254be-135e-4703-ba7b-e233cfbf4f20.jpg.296x216.jpg', '漾河公寓大两房全明户型得房率高', '漾河公寓  | 2室2厅 | 81.59平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  三塘', '310万', '单价37995元/平米')
('https://image1.ljcdn.com/330100-inspection/afba79eb-8714-4102-bd77-3d68c4e2caf6.jpg.296x216.jpg', '绿洲之馨新上少有东边套，房东急售', '绿洲之馨公寓  | 3室2厅 | 129.12平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2007年建板塔结合  -  流水苑', '580万', '单价44920元/平米')
('https://image1.ljcdn.com/330100-inspection/8194208b-b334-48ec-b015-ef49d6203e2a.jpg.296x216.jpg', '远大花园 业主自住 满五唯一 大三房 东边套 中间楼层', '远大花园  | 3室2厅 | 132.29平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  朝晖', '660万', '单价49891元/平米')
('https://image1.ljcdn.com/330100-inspection/6135ff4c-592d-4249-a5d2-5e878f49bb1f.jpg.296x216.jpg', '大营盘小区 闹中取静  中间楼层 采光好  诚心出售', '大营盘  | 2室0厅 | 44.36平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  体育场路', '215万', '单价48468元/平米')
('https://image1.ljcdn.com/330100-inspection/c462cc88-e8b6-44de-8a04-9727a58b881f.jpg.296x216.jpg', '大营盘 3房格局 中间楼层 精装修 东河边上 看房随时', '大营盘  | 3室2厅 | 91.94平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  体育场路', '450万', '单价48945元/平米')
('https://image1.ljcdn.com/330100-inspection/2833c07d-7401-4d5d-82c4-c865eae3cea1.jpg.296x216.jpg', '朝晖六区 3室1厅 328万', '朝晖六区  | 3室1厅 | 74.87平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1986年建板楼  -  朝晖', '328万', '单价43810元/平米')
('https://image1.ljcdn.com/330100-inspection/fb19b44f-7066-4f84-b651-12359bae004e.jpg.296x216.jpg', '自住精装 房子保养好 采光好 通风好 得房高 一梯两户', '朝晖九区  | 2室1厅 | 48.97平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1994年建板楼  -  朝晖', '200万', '单价40842元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6a2f76f5-24e7-4052-a450-62c123166674.jpg.296x216.jpg', '绿洲吉家 西湖文化广场旁 新上两房朝南电梯房', '绿洲吉家  | 2室1厅 | 76.91平米 | 南 | 简装 | 有电梯', '低楼层(共24层)2006年建塔楼  -  流水苑', '335万', '单价43558元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload661f2369-789a-4487-952b-8dfc01731d71.jpg.296x216.jpg', '宝善公寓 次新小区 两房朝南全明边套 纯毛坯钥匙房。', '宝善公寓  | 3室2厅 | 133.44平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2011年建塔楼  -  建国北路', '688万', '单价51559元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4f5020eb-7b65-4e3f-a192-e3b5c64f8be8.JPG.296x216.jpg', '华丰板块 酒店式公寓 精装修 东边套', '泰地北上新城  | 3室1厅 | 98.31平米 | 南 | 精装 | 有电梯', '低楼层(共13层)2013年建塔楼  -  石桥', '220万', '单价22379元/平米')
('https://image1.ljcdn.com/330100-inspection/623fbcf7-3376-45d5-a73f-79b38a11a014.jpg.296x216.jpg', '三塘竹园大四房西边套 高楼层 采光好 视野开阔！！！', '三塘竹园  | 4室1厅 | 98.98平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  三塘', '370万', '单价37382元/平米')
('https://image1.ljcdn.com/330100-inspection/a17f2074-47b8-405d-a120-6a77ec234edd.jpg.296x216.jpg', '房东诚心出售 自住精装修 拎包入住 户型正气 采光好', '通和都市枫林  | 3室2厅 | 107.25平米 | 南 | 简装 | 有电梯', '中楼层(共10层)2006年建板楼  -  石桥', '380万', '单价35432元/平米')
('https://image1.ljcdn.com/330100-inspection/9fd442a5-8c95-491f-ab0a-c772e3941ec9.jpg.296x216.jpg', '红会医院旁  全明户型小两房 给你一个温馨的家', '环城东路240号  | 2室1厅 | 54.08平米 | 南 北 | 简装', '低楼层(共5层)板楼  -  建国北路', '220万', '单价40681元/平米')
('https://image1.ljcdn.com/330100-inspection/8326225b-ad29-4757-9595-4d52fdf24acd.jpg.296x216.jpg', '绿洲花园三期房龄新，楼层高，视野开阔，环境优美', '绿洲花园  | 3室2厅 | 150平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2006年建板塔结合  -  流水苑', '700万', '单价46667元/平米')
