('https://image1.ljcdn.com/441900-inspection/cce0e410-e1f2-4403-89f6-67b45e10ba7a.jpg.296x216.jpg', '景湖春天大三房放售 带两个阳台 花园中间位置 很安静', '光大景湖春天  | 3室2厅 | 107平米 | 西北 | 其他', '低楼层(共10层)塔楼  -  火炼树', '220万', '单价20561元/平米')
('https://image1.ljcdn.com/441900-inspection/9ccd129f-766f-4a6f-bd56-0c44be659272.jpg.296x216.jpg', '中信风云汇电梯单间业主诚信放卖', '东泰花园风云汇  | 1室0厅 | 46.26平米 | 东北 | 其他', '中楼层(共13层)塔楼  -  东泰', '70万', '单价15132元/平米')
('https://image1.ljcdn.com/441900-inspection/016f3113-0ff3-4d1a-8d3e-621c8a6835e6.jpg.296x216.jpg', '庆峰花园顶楼复式，南北朝向通透户型毛坯房诚意出售', '庆峰花园  | 6室2厅 | 267.29平米 | 南 | 其他', '高楼层(共11层)塔楼  -  石井', '480万', '单价17959元/平米')
('https://image1.ljcdn.com/441900-inspection/938ba4c1-a0a4-410c-aa3b-ca6184e77205.jpg.296x216.jpg', '尚书苑精装3房2厅，装修保养好。拎包入住！', '尚书苑  | 3室2厅 | 56平米 | 北 | 简装', '中楼层(共17层)塔楼  -  火炼树', '132万', '单价23572元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload45db31d2-9c61-423b-9f3e-56297d1222a1.jpg.296x216.jpg', '富怡花园 顶楼复式 满五唯一  免双税   正南朝向', '富怡花园  | 5室3厅 | 363.92平米 | 东南 | 精装', '高楼层(共13层)塔楼  -  花园新村', '385万', '单价10580元/平米')
('https://image1.ljcdn.com/441900-inspection/6c191ec4-7b71-43c3-9f78-5fe6e08e2770.jpg.296x216.jpg', '实用两房东泰花园电梯实用两房中高楼层位置安静采光好', '东泰花园裕华苑  | 2室2厅 | 89.5平米 | 北 | 其他', '中楼层(共11层)塔楼  -  东泰', '160万', '单价17878元/平米')
('https://image1.ljcdn.com/441900-inspection/0b189d6e-5c7a-4982-8ec3-f01917616806.jpg.296x216.jpg', '70年产权，首付3成，高楼层，居家安静舒适', '东泰花园风云汇  | 1室0厅 | 33平米 | 南 | 其他', '中楼层(共17层)塔楼  -  东泰', '50万', '单价15152元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload54e03b3a-d2bf-46cf-be19-a089323f53f0.jpg.296x216.jpg', '石井商圈，天骄大户型， 高层景观好', '天骄峰景  | 6室2厅 | 250平米 | 南 | 其他', '中楼层(共31层)2009年建板楼  -  石井', '800万', '单价32000元/平米')
('https://image1.ljcdn.com/441900-inspection/1c8f9acf-c691-4cb0-b0f1-5586bed1016d.jpg.296x216.jpg', '中信凯旋城4+1房带车位出售 装修新 看房方便', '中信凯旋城  | 4室2厅 | 209平米 | 南 | 精装', '低楼层(共16层)塔楼  -  东泰', '560万', '单价26795元/平米')
('https://image1.ljcdn.com/441900-inspection/a1305aad-a51b-479a-9d02-f596f8063943.jpg.296x216.jpg', '中信凯旋城 小区中间位置 看喷泉四房 送入户花园', '中信凯旋城  | 4室2厅 | 173.09平米 | 东北 | 其他', '中楼层(共11层)塔楼  -  东泰', '550万', '单价31776元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada9989c56-cd1e-4fd4-8c5e-9245ba5e8d6b.jpg.296x216.jpg', '凯旋城精装小三房，朝南，装修好', '中信凯旋城  | 3室2厅 | 116.65平米 | 南 | 其他', '中楼层(共11层)塔楼  -  东泰', '320万', '单价27433元/平米')
('https://image1.ljcdn.com/441900-inspection/55a16e61-1711-421d-b480-3b6fc126295b.jpg.296x216.jpg', '宜景康源 温馨小单间 万达广场 世博广场 地铁口物业', '宜景康源  | 1室0厅 | 58.86平米 | 西南 | 其他', '高楼层(共14层)塔楼  -  世博广场', '71万', '单价12063元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload6f140f09-ec25-49c8-9d2d-af159d2befcc.jpg.296x216.jpg', '两房可改三房  业主自住保养好  装修不错  朝南', '东城中心  | 2室2厅 | 80平米 | 南 | 其他', '地下室(共4层)塔楼  -  黄旗山', '136万', '单价17000元/平米')
('https://image1.ljcdn.com/441900-inspection/09d5c30a-bed2-4e99-8985-a9be252941b8.jpg.296x216.jpg', '满五 唯一 带装修大四房 中间楼层 无遮挡 采光好', '九龙1号  | 4室2厅 | 154.1平米 | 南 北 | 其他', '低楼层(共27层)塔楼  -  东泰', '280万', '单价18171元/平米')
('https://image1.ljcdn.com/441900-inspection/b77e294c-7c9e-4ea0-984c-fee3ad31d12f.jpg.296x216.jpg', '东城中心 3室2厅 125万', '东城中心  | 3室2厅 | 96平米 | 东 | 精装', '高楼层(共6层)塔楼  -  黄旗山', '125万', '单价13021元/平米')
('https://image1.ljcdn.com/441900-inspection/75d79e74-4575-4831-baea-d549e12e1485.jpg.296x216.jpg', '景湖春天三房，中高楼层满五唯一。', '光大景湖春天  | 3室2厅 | 110.94平米 | 南 | 简装', '中楼层(共10层)塔楼  -  火炼树', '265万', '单价23887元/平米')
('https://image1.ljcdn.com/441900-inspection/3aefb13b-58d7-460d-bbe4-8c269e30fb63.jpg.296x216.jpg', '东泰花园低楼层2房，业主自住 安静舒适', '东泰花园荣华苑  | 2室1厅 | 74.8平米 | 北 | 其他', '低楼层(共8层)塔楼  -  东泰', '95万', '单价12701元/平米')
('https://image1.ljcdn.com/441900-inspection/ce90c54c-5b69-4623-a4fd-9273909c81e3.jpg.296x216.jpg', '又一居复式三房出售 带大花园 安静舒适', '东泰花园又一居  | 3室2厅 | 179.11平米 | 北 | 简装', '低楼层(共5层)暂无数据  -  东泰', '300万', '单价16750元/平米')
('https://image1.ljcdn.com/441900-inspection/638d1000-1a70-4fc3-938a-fa9218dc0e22.jpg.296x216.jpg', '满五唯一住房，位置安静，采光好，南北通透', '中信阳光假日  | 4室2厅 | 147.35平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  东泰', '225万', '单价15270元/平米')
('https://image1.ljcdn.com/441900-inspection/7fee66fd-767f-41d4-9509-b10eae967bf4.jpg.296x216.jpg', '富怡花园 高层采光好 朝东南 双阳台 满五唯一', '富怡花园  | 3室2厅 | 133.35平米 | 东南 西 | 精装', '高楼层(共8层)塔楼  -  花园新村', '105万', '单价7875元/平米')
('https://image1.ljcdn.com/441900-inspection/88ca2506-34b7-47c7-9954-cc32540106c9.jpg.296x216.jpg', '房子装修保养好   双阳台    通风采光好', '富怡花园  | 3室2厅 | 110平米 | 东 | 其他', '高楼层(共8层)塔楼  -  花园新村', '115万', '单价10455元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload48075e6c-a020-4fab-b613-480307ef8e4b.jpg.296x216.jpg', '房子满五年 银行无欠款 装修保养好 精装公寓', '东泰花园风云汇  | 1室0厅 | 46.13平米 | 东北 | 精装', '中楼层(共13层)塔楼  -  东泰', '70万', '单价15175元/平米')
('https://image1.ljcdn.com/441900-inspection/fcec684b-0965-4d1f-8c3b-210df55faf41.jpg.296x216.jpg', '中信德方斯精装修单间，业主诚心出售。', '中信德方斯  | 1室0厅 | 43平米 | 东南 | 其他', '高楼层(共22层)塔楼  -  东泰', '66万', '单价15349元/平米')
('https://image1.ljcdn.com/441900-inspection/5ab513bd-43b3-493f-888b-5850da7f7321.jpg.296x216.jpg', '汇景盛世东方 1室1厅 125万', '汇景盛世东方  | 1室1厅 | 59.25平米 | 南 | 精装', '中楼层(共18层)塔楼  -  上下桥', '125万', '单价21098元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload15db8f42-41fe-4f48-82e7-241ca5077943.jpg.296x216.jpg', '新世纪豪园顶层复式5房 观湖景看黄旗山', '新世纪豪园二期  | 5室2厅 | 400.4平米 | 西北 | 精装', '高楼层(共10层)塔楼  -  火炼树', '808万', '单价20180元/平米')
('https://image1.ljcdn.com/441900-inspection/fd570cc8-8749-470e-bc0c-22f723a3cbde.jpg.296x216.jpg', '君逸三房 户型方正 高楼层采光通风好 诚心出售', '怡丰君逸名轩  | 3室2厅 | 93.37平米 | 北 | 其他', '中楼层(共18层)塔楼  -  石井', '220万', '单价23563元/平米')
('https://image1.ljcdn.com/441900-inspection/7a489330-830d-4012-be4c-fdb458064436.jpg.296x216.jpg', '卡布斯，高楼层温馨自住一房，小区中间位置', '鼎峰卡布斯  | 1室0厅 | 43.27平米 | 南 | 其他', '高楼层(共18层)2009年建塔楼  -  东泰', '68万', '单价15716元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload6936c630-497e-4a13-87b7-3c1374077502.jpg.296x216.jpg', '盈彩美地 居家大三房二厅 业主自住保养好 诚心出售', '盈彩美地  | 3室2厅 | 105平米 | 东 | 其他', '中楼层(共7层)塔楼  -  上下桥', '225万', '单价21429元/平米')
('https://image1.ljcdn.com/441900-inspection/a690d15f-7412-466e-8164-4946b4c82ff2.jpg.296x216.jpg', '景湖春天复式5房，南向，难得的毛坯房', '光大景湖春天  | 5室2厅 | 211.09平米 | 南 | 毛坯', '高楼层(共10层)塔楼  -  火炼树', '438万', '单价20750元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddf04e116-121a-41f4-82d2-597425ecd467.JPG.296x216.jpg', '锦绣旗峰 338㎡顶楼复式 旗峰山景房', '锦绣旗峰  | 5室2厅 | 334.72平米 | 东北 | 其他', '高楼层(共11层)塔楼  -  火炼树', '750万', '单价22407元/平米')
('https://image1.ljcdn.com/441900-inspection/9f0ade12-cb98-4d55-9758-e855ffd74ddd.jpg.296x216.jpg', '满五唯一3房出售，南北通透，闹中取静，适居住', '新世纪豪园碧水蓝天  | 3室2厅 | 205平米 | 南 | 其他', '低楼层(共17层)塔楼  -  火炼树', '500万', '单价24391元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploada911a3b9-4aeb-4dd4-a4ee-61d84b78956d.jpg.296x216.jpg', '中信凯旋城 4室2厅 470万', '中信凯旋城  | 4室2厅 | 162.18平米 | 北 | 其他', '低楼层(共11层)塔楼  -  东泰', '470万', '单价28981元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadb377d0b7-125f-4c52-9d3a-19b799ffeb48.jpg.296x216.jpg', '新世纪星城第五期  目前是新世纪的五期 14的房子', '新世纪星城海涛居  | 3室2厅 | 109平米 | 北 | 其他', '中楼层(共18层)塔楼  -  温塘', '238万', '单价21835元/平米')
('https://image1.ljcdn.com/441900-inspection/0f806454-5eba-4c41-a685-7aff912ca6c0.jpg.296x216.jpg', '东城地铁口 方正复式两房  随时看房', '香缤时代园  | 2室1厅 | 49.6平米 | 南 | 其他', '高楼层(共13层)塔楼  -  世博广场', '100万', '单价20162元/平米')
('https://image1.ljcdn.com/441900-inspection/69e034f7-847e-4031-8370-23140dceb4e6.jpg.296x216.jpg', '格局通透，楼层好，视野宽阔  业主自住保养好', '黄旗印象  | 2室2厅 | 74平米 | 南 | 其他', '高楼层(共17层)塔楼  -  火炼树', '178万', '单价24055元/平米')
('https://image1.ljcdn.com/441900-inspection/775060c3-d7ef-41de-9d87-18be50a29a94.jpg.296x216.jpg', '东田丽峰：满五唯一免双税，采光好，户型方正。', '东田丽峰  | 1室1厅 | 57.21平米 | 南 | 其他', '中楼层(共13层)2006年建塔楼  -  东平街', '138万', '单价24122元/平米')
('https://image1.ljcdn.com/441900-inspection/bf873d8d-d16e-4f86-95bb-ee6d7d66ade2.jpg.296x216.jpg', '东城万达旁 带厅出阳台 高层南向单位', '花样年华  | 1室0厅 | 44.23平米 | 南 | 其他', '高楼层(共22层)塔楼  -  主山', '66.4万', '单价14999元/平米')
('https://image1.ljcdn.com/441900-inspection/11f00247-a98c-4a50-a5d4-7a08121668bb.jpg.296x216.jpg', '装修保养好，三房，业主自住，房间整洁干净', '怡丰都市广场  | 3室2厅 | 92平米 | 东北 | 其他', '中楼层(共11层)塔楼  -  东泰', '155万', '单价16848元/平米')
('https://image1.ljcdn.com/441900-inspection/6816f3a4-70d1-41af-ba43-236f67a7b352.jpg.296x216.jpg', '怡丰都市广场大三房 地铁口物业 温馨三房保养好', '怡丰都市广场  | 3室2厅 | 133.81平米 | 东北 | 简装', '中楼层(共11层)塔楼  -  东泰', '208万', '单价15545元/平米')
('https://image1.ljcdn.com/441900-inspection/831dc525-5bf5-4e34-a6db-e9eb80807ab3.jpg.296x216.jpg', '城区复式三房可做四房 买一层送一层 随时可看房', '天骄峰景B区  | 3室2厅 | 81平米 | 西北 | 其他', '低楼层(共17层)塔楼  -  石井', '330万', '单价40741元/平米')
('https://image1.ljcdn.com/441900-inspection/0fbb042b-5d2f-4113-a121-23ba02adb1bd.jpg.296x216.jpg', '怡丰都市2房1厅 电梯房 地铁口物业', '怡丰都市广场  | 2室1厅 | 43.2平米 | 东南 | 其他', '低楼层(共11层)塔楼  -  东泰', '78万', '单价18056元/平米')
('https://image1.ljcdn.com/441900-inspection/8e939c9e-f006-4f35-940f-dc4285da25b0.jpg.296x216.jpg', '蔚蓝星湖三期星合庭 三房 中装 业主诚心出', '蔚蓝星湖三期星合庭  | 3室1厅 | 96.94平米 | 东 | 其他', '高楼层(共11层)塔楼  -  上下桥', '175万', '单价18053元/平米')
('https://image1.ljcdn.com/441900-inspection/772a3473-269f-47c6-a544-c89c6a0eed3e.jpg.296x216.jpg', '满五唯一 主阳台可观赏天鹅湖 中高楼层，通风采光好。', '中信凯旋城  | 4室2厅 | 251.06平米 | 南 | 精装', '低楼层(共16层)塔楼  -  东泰', '860万', '单价34255元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade6c247c1-5c41-4318-ae32-516adb8ec452.jpg.296x216.jpg', '天骄峰景 平层毛坏 小区环境好 绿化多 诚意出售', '天骄峰景  | 4室2厅 | 254.81平米 | 南 | 其他', '低楼层(共31层)2009年建板楼  -  石井', '812万', '单价31867元/平米')
('https://image1.ljcdn.com/441900-inspection/73852c9a-340f-42c6-98c6-d6fa0df8ffd1.jpg.296x216.jpg', '世纪银座：满五唯一免双税，楼层高，采光好，视野宽阔', '世纪银座  | 3室2厅 | 156.23平米 | 南 | 其他', '中楼层(共26层)塔楼  -  东平街', '340万', '单价21763元/平米')
('https://image1.ljcdn.com/441900-inspection/a8c72cb8-fe1a-4d30-8f25-c3fa15fcaf15.jpg.296x216.jpg', '怡丰都市 三房两厅两卫两阳台出售 视野开阔 安静舒适', '怡丰都市广场  | 3室2厅 | 116平米 | 南 | 其他', '中楼层(共12层)塔楼  -  东泰', '180万', '单价15518元/平米')
('https://image1.ljcdn.com/441900-inspection/720eb5b8-837f-4c3c-b536-a9f79561a072.jpg.296x216.jpg', '中信阳光假日 优质复式 免双税 位置安静', '中信阳光假日  | 7室2厅 | 365.34平米 | 南 | 其他', '高楼层(共11层)塔楼  -  东泰', '750万', '单价20529元/平米')
('https://image1.ljcdn.com/441900-inspection/1a08af75-e0e0-4378-8e1f-52723f6e549a.jpg.296x216.jpg', '法国巴黎浪漫林园凯旋城4房出售', '中信凯旋城  | 4室2厅 | 167.84平米 | 北 | 其他', '中楼层(共11层)塔楼  -  东泰', '480万', '单价28599元/平米')
('https://image1.ljcdn.com/441900-inspection/e638e38c-0dcb-4d79-973a-e178b0546bee.jpg.296x216.jpg', '业主自住保养好，满五唯一住省个税，可选车位。', '光大景湖春天  | 4室2厅 | 160.2平米 | 北 | 其他', '中楼层(共16层)塔楼  -  火炼树', '355万', '单价22160元/平米')
('https://image1.ljcdn.com/441900-inspection/5e63c9a4-aad7-41c9-b519-7e168cd6676e.jpg.296x216.jpg', '中信德方斯一房一厅出售 满五唯一精装修 诚心出售', '中信德方斯  | 1室1厅 | 60平米 | 南 | 其他', '低楼层(共20层)塔楼  -  东泰', '130万', '单价21667元/平米')
('https://image1.ljcdn.com/441900-inspection/564610be-a1aa-4c83-8ca6-315adaba1fdb.jpg.296x216.jpg', '业主带租忍痛诚心出售，看房方便', '东城万达广场  | 1室0厅 | 38平米 | 西北 | 其他', '中楼层(共21层)2015年建塔楼  -  世博广场', '64万', '单价16829元/平米')
('https://image1.ljcdn.com/441900-inspection/ffa43b85-d435-4d9a-9595-b6e73c06fb3d.jpg.296x216.jpg', '中信德方斯 标准一房一厅 装修保养 好', '中信德方斯  | 1室1厅 | 59.8平米 | 北 | 简装', '低楼层(共20层)塔楼  -  东泰', '100万', '单价16723元/平米')
('https://image1.ljcdn.com/441900-inspection/87064914-4829-46ce-b82b-ae87b2cdef3c.jpg.296x216.jpg', '公务员宿舍 莞翠邨 免双税 安静舒适，另有一车位', '莞翠邨  | 3室2厅 | 136平米 | 北 | 精装', '低楼层(共28层)2003年建塔楼  -  石井', '295万', '单价21692元/平米')
('https://image1.ljcdn.com/441900-inspection/46b82eac-7c44-40fc-b067-79b4fab5d28a.jpg.296x216.jpg', '有地铁口，黄旗公园旁，小区环境好', '新世纪豪园碧水蓝天  | 3室2厅 | 152.75平米 | 南 | 其他', '中楼层(共17层)塔楼  -  火炼树', '325万', '单价21277元/平米')
('https://image1.ljcdn.com/441900-inspection/40c7cab1-2713-4a58-91ef-5c9fa9f82748.jpg.296x216.jpg', '东海阳光 配套很齐全，装修保养好。', '东海阳光  | 1室1厅 | 67.15平米 | 东南 | 其他', '中楼层(共17层)塔楼  -  世博广场', '140万', '单价20849元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload81676e4d-1bab-43cb-b942-e14d2b31059d.jpg.296x216.jpg', '怡丰都市 温馨舒适居家三房 朝南户型 安静舒适', '怡丰都市广场  | 3室2厅 | 117平米 | 南 | 其他', '低楼层(共12层)塔楼  -  东泰', '176万', '单价15043元/平米')
('https://image1.ljcdn.com/441900-inspection/f544d4f8-aa59-43a7-b0aa-25c2afc48182.jpg.296x216.jpg', '东城中心 7室1厅 300万', '东城中心  | 7室1厅 | 178.75平米 | 东 | 其他', '高楼层(共17层)塔楼  -  黄旗山', '300万', '单价16784元/平米')
('https://image1.ljcdn.com/441900-inspection/b896c8a6-bf19-4b58-aeea-6dd9f07ef40a.jpg.296x216.jpg', '天骄峰景大户型毛坯房，南北朝向采光好', '天骄峰景  | 5室2厅 | 278平米 | 南 | 其他', '低楼层(共31层)2009年建板楼  -  石井', '900万', '单价32375元/平米')
('https://image1.ljcdn.com/441900-inspection/89c02060-29f7-40e9-bdc7-9fb443288df0.jpg.296x216.jpg', '蔚蓝星湖  免双税  保养很好', '蔚蓝星湖二期星慧庭  | 3室2厅 | 92.17平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  上下桥', '165万', '单价17902元/平米')
('https://image1.ljcdn.com/441900-inspection/f86da596-debc-4a6f-b536-a77a3f2a430c.jpg.296x216.jpg', '东泰花园丰华苑 4室2厅 140万', '东泰花园丰华苑  | 4室2厅 | 115平米 | 南 | 其他', '高楼层(共8层)塔楼  -  东泰', '140万', '单价12174元/平米')
('https://image1.ljcdn.com/441900-inspection/fb1e4425-3b1d-476e-b90d-6bf07247ee05.jpg.296x216.jpg', '星河传说 东城贵人区 小区环境优美 此房通风采光很好', '星河传说聚星岛B区  | 3室2厅 | 127平米 | 东南 | 其他', '低楼层(共17层)塔楼  -  石井', '340万', '单价26772元/平米')
('https://image1.ljcdn.com/441900-inspection/1c25b58e-78a9-463a-ac3c-e2dd10a5e1c3.jpg.296x216.jpg', '金泽花园大户型5室  地铁口 世博广场边', '金泽花园  | 5室2厅 | 211.72平米 | 南 | 其他', '中楼层(共19层)2006年建塔楼  -  东平街', '270万', '单价12753元/平米')
('https://image1.ljcdn.com/441900-inspection/a9f4b4b4-acd8-41cc-81d0-c586204f22b9.jpg.296x216.jpg', '光大花园精装修三房 位置安静 采光好 满五唯一 低楼层', '光大花园金湖苑1座  | 3室2厅 | 77.5平米 | 南 | 其他', '低楼层(共8层)塔楼  -  火炼树', '100万', '单价12904元/平米')
('https://image1.ljcdn.com/441900-inspection/3cc26b0d-eed2-48b7-86a7-f6ac07e6ad39.jpg.296x216.jpg', '靠凯旋城，采光通透，业主自住保养好，拎包入住。', '东泰花园明华苑  | 4室2厅 | 121.2平米 | 南 | 其他', '中楼层(共8层)塔楼  -  东泰', '228万', '单价18812元/平米')
('https://image1.ljcdn.com/441900-inspection/829dba94-86f2-4dc4-91c2-050d538d4689.jpg.296x216.jpg', '业主带租忍痛诚心出售，看房方便，', '东城万达广场  | 1室0厅 | 56.86平米 | 西北 | 其他', '中楼层(共21层)2015年建塔楼  -  世博广场', '96.7万', '单价16998元/平米')
('https://image1.ljcdn.com/441900-inspection/b967306a-ac5a-47f8-8116-6a60a094c7d3.jpg.296x216.jpg', '户型方正 交通便利 家私齐全 拎包入住', '新世纪河畔广场  | 2室1厅 | 70平米 | 南 | 其他', '中楼层(共17层)塔楼  -  花园新村', '89万', '单价12715元/平米')
('https://image1.ljcdn.com/441900-inspection/fe4b3339-c562-4307-8da3-5176977989d2.jpg.296x216.jpg', '景湖春天三期，实用三房，满五唯一，看房方便', '光大景湖春天  | 3室2厅 | 114.14平米 | 西北 | 精装', '高楼层(共11层)塔楼  -  火炼树', '260万', '单价22780元/平米')
('https://image1.ljcdn.com/441900-inspection/508322ad-6a39-42f9-9820-380170aad35a.jpg.296x216.jpg', '明怡苑 3室2厅 130万', '明怡苑  | 3室2厅 | 142.73平米 | 南 北 | 其他', '高楼层(共11层)塔楼  -  花园新村', '130万', '单价9109元/平米')
('https://image1.ljcdn.com/441900-inspection/ad3342c4-2b03-4deb-836b-1f8958fdb8ae.jpg.296x216.jpg', '九龙1号 通透四房 高楼层 景观好', '九龙1号  | 3室2厅 | 154.59平米 | 西南 | 毛坯', '中楼层(共27层)塔楼  -  东泰', '245万', '单价15849元/平米')
('https://image1.ljcdn.com/441900-inspection/70bc727d-592d-4bcb-b1fd-ae554fa96507.jpg.296x216.jpg', '房子保养好  格局好 采光好 户型方正', '新世界花园  | 3室2厅 | 122.8平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  黄旗山', '320万', '单价26059元/平米')
('https://image1.ljcdn.com/441900-inspection/703ea183-1b49-422b-869b-d46315df095a.jpg.296x216.jpg', '满五唯一四房 朝南看花园 高层视野好景观好', '联华花园城  | 4室2厅 | 159.87平米 | 东南 | 精装', '高楼层(共18层)塔楼  -  上下桥', '300万', '单价18766元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload206d6652-9607-4ab4-9d5d-fcbacdb3350b.jpg.296x216.jpg', '光大黄旗印象 标准一房一厅 南向电梯高层 交通便利', '黄旗印象  | 1室1厅 | 47.64平米 | 南 | 精装', '中楼层(共15层)塔楼  -  火炼树', '120万', '单价25189元/平米')
('https://image1.ljcdn.com/441900-inspection/78daed81-5724-4d3b-8332-8a12bb7997e9.jpg.296x216.jpg', '小区现在在报装电梯了，价格亲民。户型方正', '富怡物业  | 4室2厅 | 109平米 | 南 | 其他', '高楼层(共8层)塔楼  -  花园新村', '76万', '单价6973元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadb67594c7-efdd-4732-b1a4-1837abc6f8da.jpg.296x216.jpg', '地铁口物业 新装修四房 小区中间位置安静 出行方便', '东城中心  | 4室2厅 | 186平米 | 西北 | 其他', '中楼层(共8层)塔楼  -  黄旗山', '180万', '单价9678元/平米')
('https://image1.ljcdn.com/441900-inspection/125f4976-0c63-4d24-9388-ec0212c2cfea.jpg.296x216.jpg', '莅临台商物业大三房，业主诚心出售有缘人', '怡丰都市广场  | 3室2厅 | 133.81平米 | 东北 | 其他', '高楼层(共11层)塔楼  -  东泰', '180万', '单价13452元/平米')
('https://image1.ljcdn.com/441900-inspection/f4a100b9-6dbb-4076-8645-f32556c50cf1.jpg.296x216.jpg', '方正四房，中楼层，采光通风佳，冬暖夏凉，居住舒适', '东泰花园明华苑  | 4室2厅 | 127.99平米 | 南 | 其他', '高楼层(共8层)塔楼  -  东泰', '208万', '单价16252元/平米')
('https://image1.ljcdn.com/441900-inspection/8896b288-7b45-40db-addc-8da8864f3b02.jpg.296x216.jpg', '东城中 心五期 满五唯一 高楼层 通风采光好', '东城中心  | 4室1厅 | 179.29平米 | 东 | 其他', '中楼层(共17层)塔楼  -  黄旗山', '300万', '单价16733元/平米')
('https://image1.ljcdn.com/441900-inspection/42a58fb9-998c-4290-b026-15d6552d5c86.jpg.296x216.jpg', '双地铁口物业，标准南向一房一厅，潜力无限', '怡丰都市广场  | 1室1厅 | 48平米 | 南 | 其他', '中楼层(共11层)塔楼  -  东泰', '75万', '单价15625元/平米')
('https://image1.ljcdn.com/441900-inspection/2ebf88f7-0fcc-4c58-b235-1cb6d7ddfed0.jpg.296x216.jpg', '怡丰都市广场朝南温馨一房一厅，业主和蔼诚心出售', '怡丰都市广场  | 1室1厅 | 48.13平米 | 南 | 其他', '高楼层(共11层)塔楼  -  东泰', '75万', '单价15583元/平米')
('https://image1.ljcdn.com/441900-inspection/8888da06-81e3-4f3b-a3ab-0cb94a8000e3.jpg.296x216.jpg', '满五年唯一，户型方正，中高楼层采光好通风。', '怡丰都市广场  | 3室2厅 | 99.9平米 | 北 | 其他', '中楼层(共11层)塔楼  -  东泰', '168万', '单价16817元/平米')
('https://image1.ljcdn.com/441900-inspection/d659d994-3a45-4950-828b-7aed378b921d.jpg.296x216.jpg', '富怡花园 双阳台 实用三房 满五唯一 采光佳', '富怡花园  | 3室2厅 | 103.87平米 | 西南 东北 | 精装', '中楼层(共8层)塔楼  -  花园新村', '128万', '单价12324元/平米')
('https://image1.ljcdn.com/441900-inspection/9a40b672-8963-46ad-a17f-faab42d17f48.jpg.296x216.jpg', '东泰花园裕华苑车位，位置显眼，停车方便', '东泰花园裕华苑  | 车位 | 11平米 | 北', '暂无数据  -  东泰', '17万', '单价15455元/平米')
('https://image1.ljcdn.com/441900-inspection/5c8fa75e-2d37-41cb-9f02-7b8539d029ac.jpg.296x216.jpg', '凯旋城德方斯区子母车位 可以同时停两台车 三台车也行', '中信凯旋城  | 车位 | 11平米 | 东', '暂无数据  -  东泰', '40万', '单价36364元/平米')
('https://image1.ljcdn.com/441900-inspection/4b8e7a30-51d9-415e-a00e-5cb6a21672a5.jpg.296x216.jpg', '地铁口 香缤少量户型 厅出阳台户型 复式两房', '香缤时代园  | 2室1厅 | 50平米 | 东南 | 其他', '中楼层(共13层)塔楼  -  世博广场', '130万', '单价26000元/平米')
('https://image1.ljcdn.com/441900-inspection/19828533-1247-4afc-8ee5-95199e219bec.jpg.296x216.jpg', '新世纪豪园第一居 4室2厅 630万', '新世纪豪园第一居  | 4室2厅 | 247.08平米 | 南 | 简装', '低楼层(共9层)塔楼  -  黄旗山', '630万', '单价25498元/平米')
('https://image1.ljcdn.com/441900-inspection/36f0c5ac-b7fe-4710-8b52-2e13e8fff926.jpg.296x216.jpg', '满五唯一，装修漂亮，方正三房，家具家电齐全。', '盈彩美地  | 3室1厅 | 98平米 | 西南 | 精装', '高楼层(共16层)塔楼  -  上下桥', '188万', '单价19184元/平米')
('https://image1.ljcdn.com/441900-inspection/c7325bc3-8403-41b2-9693-d4e381f90285.jpg.296x216.jpg', '澳园大三房 满五唯一 高楼层景观好 装修保养好', '中信阳光澳园  | 3室2厅 | 124平米 | 南 西南 | 其他', '中楼层(共17层)2004年建塔楼  -  东泰', '278万', '单价22420元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload43d4cc88-a0f6-4066-b261-d8e3487cef8d.jpg.296x216.jpg', '阳光澳园  小区中间位置 通透户型  原3房改2房', '中信阳光澳园  | 3室2厅 | 112.26平米 | 北 | 其他', '低楼层(共16层)2004年建塔楼  -  东泰', '220万', '单价19598元/平米')
