('https://image1.ljcdn.com/320500-inspection/test-7c6e955e-07fd-4d9f-bddf-e9cf559b50ad.png.296x216.jpg', '南北大三房，精装修，家具家电全留，有钥匙，有车位', '中海御景湾  | 3室2厅 | 117平米 | 南 北 | 精装 | 有电梯', '高楼层(共39层)2015年建板楼  -  金阊新城', '266万', '单价22736元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180111/4187824c-622c-4538-85fc-16e9aff332c1.jpg.296x216.jpg', '清塘新村 2室1厅 102万', '清塘新村  | 2室1厅 | 57.03平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  留园西园', '102万', '单价17886元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171109/e4bedd17-01ef-4c17-9a7f-7f87f3eb8a59.jpg.296x216.jpg', '泰南苑 2室2厅 150万', '泰南苑  | 2室2厅 | 74.5平米 | 暂无数据 | 精装 | 无电梯', '低楼层(共6层)1997年建板楼  -  胥江', '150万', '单价20135元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1726f605-2f74-4856-a787-1d46218bcf01.png.296x216.jpg', '三元一村 3室1厅 120万', '三元一村  | 3室1厅 | 66.82平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  金门', '120万', '单价17959元/平米')
('https://image1.ljcdn.com/320500-inspection/test-7042983d-e0d1-42d9-8054-f02b2ae15c7a.png.296x216.jpg', '新港名仕花园 2室2厅 255万', '新港名仕花园  | 2室2厅 | 103平米 | 南 | 简装 | 无电梯', '高楼层(共21层)2007年建板楼  -  胥江', '255万', '单价24758元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/55c6deb0-8fc6-4dec-b4e9-5683731c0e50.png.280x210.jpg', '阳光美地花园 满五年 是商品房 小区管理好', '阳光美地花园  | 3室2厅 | 117.8平米 | 南 北 | 其他 | 有电梯', '低楼层(共16层)2009年建板楼  -  平江新城', '243万', '单价20629元/平米')
('https://image1.ljcdn.com/320500-inspection/test-b3d30375-a9fa-48f5-9de0-e770a1d70a5a.png.296x216.jpg', '天辰花园 4室2厅 572万', '天辰花园  | 4室2厅 | 217平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2006年建板楼  -  沧浪新城', '572万', '单价26360元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170506/a3e1ece1-2192-43d7-83c0-55fe81512cbf.jpg.296x216.jpg', '瑞富广场公寓 1室1厅 48万', '瑞富广场公寓  | 1室1厅 | 50平米 | 暂无数据 | 其他 | 有电梯', '中楼层(共7层)板楼  -  南门', '48万', '单价9600元/平米')
('https://image1.ljcdn.com/320500-inspection/ce50f871-93ae-46c8-883d-a1d24d3f16c5.jpg.296x216.jpg', '嘉业阳光城 5室2厅 565万', '嘉业阳光城   | 联排别墅 | 5室2厅 | 221平米 | 南 | 精装 | 无电梯', '1层2003年建板楼  -  留园西园', '565万', '单价25566元/平米')
('https://image1.ljcdn.com/320500-inspection/fdd222bd-909a-44e8-acd4-5a4c86256946.jpg.296x216.jpg', '姑苏金茂府 3室2厅 498万', '姑苏金茂府  | 3室2厅 | 141.23平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2015年建板楼  -  金门', '498万', '单价35262元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170705/27880c09-74f8-4b26-8a98-fd0978d19ce8.jpg.296x216.jpg', '阳光美地，户型较好，可以拎包入住，交通便利。', '阳光美地花园  | 2室2厅 | 98平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2009年建板楼  -  平江新城', '199万', '单价20307元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171007/e97ef012-b566-4637-86b5-e4269895c3e6.jpg.296x216.jpg', '三香新村 3室1厅 133万', '三香新村  | 3室1厅 | 75平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)1994年建板楼  -  胥江', '133万', '单价17734元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170510/293dd76d-118e-49b3-9bcd-e30ac9046122.jpg.296x216.jpg', '万科金品家园 4室2厅 480万', '万科金品家园  | 4室2厅 | 143.67平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2008年建板楼  -  胥江', '480万', '单价33410元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180118/2646a983-7159-4243-99b2-69cd0621884a.jpg.296x216.jpg', '两房朝南厨卫朝北 东大街12号院 一楼中装带20平院子', '东大街12号院  | 2室1厅 | 76平米 | 南 | 简装 | 无电梯', '低楼层(共4层)1997年建板楼  -  南门', '155万', '单价20395元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170507/d8a0fbcf-e047-4d73-9487-0df9091986bb.jpg.296x216.jpg', '象牙新村 2室1厅 111万', '象牙新村  | 2室1厅 | 59.7平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  胥江', '111万', '单价18593元/平米')
('https://image1.ljcdn.com/320500-inspection/test-dd5091a3-f87f-4407-ac4a-67eb089cd425.png.296x216.jpg', '彩香二村 2室1厅 115万', '彩香二村  | 2室1厅 | 64.2平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  金门', '115万', '单价17913元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1619c0e9-8422-4d78-a626-9ee2a8db41f9.png.296x216.jpg', '菱塘新村一期 2室1厅 102万', '菱塘新村一期  | 2室1厅 | 57.2平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1992年建板楼  -  金门', '102万', '单价17833元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploaddb305c32-8138-4164-9c72-4f6f714a5c4a.jpg.296x216.jpg', '银桥新村 2室1厅 130万', '银桥新村  | 2室1厅 | 65.38平米 | 南 | 其他 | 无电梯', '低楼层(共4层)2000年建板楼  -  胥江', '130万', '单价19884元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171105/7fb6049b-14d4-4806-86bf-a4c4be8d3f79.jpg.296x216.jpg', '宏葑新村 2室1厅 130万', '宏葑新村  | 2室1厅 | 65.54平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1997年建板楼  -  苏州大学', '130万', '单价19836元/平米')
('https://image1.ljcdn.com/320500-inspection/test-7ac9cdef-61e1-4c67-8a16-287df6cb46de.png.296x216.jpg', '大观三期 不靠路的电梯房 98平精装两房 有钥匙随时看', '大观花园北区  | 2室2厅 | 98平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2008年建板楼  -  平江新城', '233万', '单价23776元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170318/5f3f83bf-29d1-4e63-a18a-53a84b4f786a.jpg.296x216.jpg', '三元一村 2室2厅 133万', '三元一村  | 2室2厅 | 68平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)1988年建板楼  -  金门', '133万', '单价19559元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f66ac1ce-697d-4cb9-a84d-54adb49dc690.png.296x216.jpg', '世茂运河城和茂苑一期 3室2厅 370万', '世茂运河城和茂苑一期  | 3室2厅 | 134.5平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2009年建板楼  -  沧浪新城', '370万', '单价27510元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170619/66399981-81ad-4582-8c07-20d735fe78e5.jpg.296x216.jpg', '万科金品家园 3室2厅 311万', '万科金品家园  | 3室2厅 | 123平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2008年建板楼  -  胥江', '311万', '单价25285元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171104/bb26f488-338c-4767-b9d2-95ffdb742340.jpg.296x216.jpg', '盘福苑 2室2厅 186万', '盘福苑  | 2室2厅 | 93平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1998年建板楼  -  南门', '186万', '单价20000元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload4490fec8-aa68-4225-b42d-104dc38e6d0a.jpg.296x216.jpg', '和泰家园 2室1厅 149万', '和泰家园  | 2室1厅 | 79.51平米 | 东南 南 | 精装 | 有电梯', '高楼层(共20层)2009年建板楼  -  金阊新城', '149万', '单价18740元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a5bdc6e7-4cc3-49b2-8e9e-23ad091ea92d.png.296x216.jpg', '姑苏政府旁 全新纯毛胚 中高楼看房方便采光好', '中梁天御三区  | 2室2厅 | 89平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共25层)2014年建板楼  -  平江新城', '263万', '单价29551元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170110/19ec9f5f-9508-486a-ac3c-67a0075422c0.jpg.296x216.jpg', '杨枝四村 2室1厅 130万', '杨枝四村  | 2室1厅 | 63.25平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  葑门', '130万', '单价20554元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8be02dea-2df2-44e7-9a27-29462be94e45.png.296x216.jpg', '银泰花园一期 3室1厅 206万', '银泰花园一期  | 3室1厅 | 100.25平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2000年建板楼  -  金门', '206万', '单价20549元/平米')
('https://image1.ljcdn.com/320500-inspection/test-44b8f91e-5284-4e5d-bc08-a3fc214782a9.png.296x216.jpg', '阊胥路1号 2室2厅 240万', '阊胥路1号  | 2室2厅 | 97.52平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2002年建板楼  -  胥江', '240万', '单价24611元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload7ee68348-9bdc-4c6f-9df1-cffdb98b7217.jpg.296x216.jpg', '姑苏金茂府 3室2厅 538万', '姑苏金茂府  | 3室2厅 | 151平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2015年建板楼  -  金门', '538万', '单价35630元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170326/a03e2b4e-c08a-497f-a7d9-34d45547b0d5.jpg.296x216.jpg', '福星小区，满五年，免增值税，诚意卖房', '福星小区  | 4室2厅 | 146平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2007年建板楼  -  沧浪新城', '232万', '单价15891元/平米')
('https://image1.ljcdn.com/320500-inspection/test-63190f39-2c0f-458a-9e55-1362c3e3346c.png.296x216.jpg', '南北通透，4开间朝南毛坯大4房，中上楼层后排采光无遮', '中锐姑苏尚城  | 4室2厅 | 142平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共27层)2015年建板楼  -  平江新城', '430万', '单价30282元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170424/2c8d78d8-325c-43db-82d0-554290581207.jpg.296x216.jpg', '新康花园 3室2厅 271万', '新康花园  | 3室2厅 | 127平米 | 暂无数据 | 精装 | 无电梯', '中楼层(共5层)2001年建板楼  -  胥江', '271万', '单价21339元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170527/c86ed6e4-ed19-4726-a2a7-cfdbf16ef9c5.jpg.296x216.jpg', '友联一村 2室1厅 128万', '友联一村  | 2室1厅 | 64.8平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1998年建板楼  -  沧浪新城', '128万', '单价19754元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171119/294cfc34-edf5-4a75-bdb5-0aea13fadf8a.jpg.296x216.jpg', '南山金城1958 3室2厅 184万', '南山金城1958  | 3室2厅 | 89平米 | 暂无数据 | 其他 | 有电梯', '低楼层(共25层)2009年建板楼  -  金阊新城', '184万', '单价20675元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a37edea9-551f-408d-bd9c-fb3e868039a1.png.296x216.jpg', '楼层好，位置佳，看房方便，房东诚心出售', '新湘苑  | 2室1厅 | 66平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2001年建板楼  -  苏州大学', '160万', '单价24243元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160526/5a7fd703-58ee-4cf4-bace-1393fcebdc04.jpg.296x216.jpg', '友联一村 2室2厅 105万', '友联一村  | 2室2厅 | 57平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  沧浪新城', '105万', '单价18422元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161015/2ffef642-d95c-4228-91b8-433d1423fd26.jpg.296x216.jpg', '永林新村 1室1厅 52万', '永林新村  | 1室1厅 | 31平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1990年建板楼  -  娄门', '52万', '单价16775元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ac09002f-43c0-4f92-a9bc-a7b3c8e4dd80.png.296x216.jpg', '三元三村 3室1厅 155万', '三元三村  | 3室1厅 | 89.17平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1998年建板楼  -  金门', '155万', '单价17383元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1d762e68-01b2-47e1-812a-7fb0181074c2.png.296x216.jpg', '鑫苑景园 2室2厅 182万', '鑫苑景园  | 2室2厅 | 86平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2009年建板楼  -  留园西园', '182万', '单价21163元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadc625c782-33dd-4fd1-9db0-99707646e0e0.jpg.296x216.jpg', '三房 中间楼层 采光好户型正 有车位 诚意出售', '橘子国花园  | 3室2厅 | 137.37平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2005年建板楼  -  平江新城', '357万', '单价25989元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170512/850eac79-0841-440d-a325-93e53c600995.jpg.296x216.jpg', '城市恬园 2室2厅 200万', '城市恬园  | 2室2厅 | 99平米 | 南 | 精装 | 有电梯', '低楼层(共10层)2004年建板楼  -  胥江', '200万', '单价20203元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d7beaebc-412e-4d94-b3de-c349524041bc.png.296x216.jpg', '满二！省税费！楼层佳！南北双阳台！俯瞰老城区！', '中锐姑苏尚城  | 3室2厅 | 122平米 | 南 | 其他 | 有电梯', '中楼层(共21层)2015年建板楼  -  平江新城', '380万', '单价31148元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170326/e7865ee7-66db-4726-9421-11cf438350d6.jpg.296x216.jpg', '友联一村 2室1厅 93万', '友联一村  | 2室1厅 | 45平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1998年建板楼  -  沧浪新城', '93万', '单价20667元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170415/bbfb5951-9338-4108-8c99-88c41a2bede2.jpg.296x216.jpg', '玖园 1室1厅 72万', '玖园  | 1室1厅 | 49平米 | 南 | 精装 | 有电梯', '5层2009年建板楼  -  留园西园', '72万', '单价14694元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171130/a720c081-ca0c-48fd-84e8-f1e25e1da52d.jpg.296x216.jpg', '华泰家园 3室2厅 345万', '华泰家园  | 3室2厅 | 164.53平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  胥江', '345万', '单价20969元/平米')
('https://image1.ljcdn.com/320500-inspection/test-be27d661-96f0-4611-a3d0-1988675d7bd5.png.296x216.jpg', '三香新村 2室1厅 112万', '三香新村  | 2室1厅 | 48平米 | 南 | 其他 | 无电梯', '低楼层(共6层)板楼  -  胥江', '112万', '单价23334元/平米')
('https://image1.ljcdn.com/320500-inspection/test-b709b8ce-75c0-4dfb-96e8-c68a4aa74874.png.296x216.jpg', '娄江新村 2室1厅 125万', '娄江新村  | 2室1厅 | 58平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1990年建板楼  -  娄门', '125万', '单价21552元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161104/045736d6-d7ee-455e-a244-1478affceec9.jpg.296x216.jpg', '干将东路散盘 2室1厅 135万', '干将东路散盘  | 2室1厅 | 73.24平米 | 南 | 简装 | 无电梯', '中楼层(共7层)板楼  -  观前街', '135万', '单价18433元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4948109a-9da6-4fb6-b9fc-6e1401078327.png.296x216.jpg', '城西教师新村 3室1厅 210万', '城西教师新村  | 3室1厅 | 90平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  沧浪新城', '210万', '单价23334元/平米')
('https://image1.ljcdn.com/320500-inspection/test-152669dc-7d6e-4717-9f18-69ab20399360.png.296x216.jpg', '菱塘新村二区 3室2厅 200万', '菱塘新村二区  | 3室2厅 | 99.5平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1998年建板楼  -  金门', '200万', '单价20101元/平米')
('https://image1.ljcdn.com/320500-inspection/fec9601e-f3c7-4a5b-8b7b-83afdfa7c168.jpg.296x216.jpg', '胥江新村 2室1厅 98万', '胥江新村  | 2室1厅 | 59.5平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1994年建板楼  -  胥江', '98万', '单价16471元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload5926e67e-46d1-46e5-bf5a-6c11b382b475.jpg.296x216.jpg', '人民路222号 3室1厅 194万', '人民路222号  | 3室1厅 | 76平米 | 暂无数据 | 简装 | 无电梯', '低楼层(共5层)1998年建板楼  -  南门', '194万', '单价25527元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload331d9acc-eede-427e-9384-a00b5207c347.jpg.296x216.jpg', '福星小区 5室1厅 300万', '福星小区  | 5室1厅 | 122.06平米 | 南 | 其他 | 无电梯', '高楼层(共4层)2007年建板楼  -  沧浪新城', '300万', '单价24579元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171115/c90609a0-8f11-48f2-9559-b3ccdc79361d.jpg.296x216.jpg', '现代花园二期中间位置 带独库12平 两房朝南厨卫朝北', '现代花园  | 2室1厅 | 69.47平米 | 南 | 毛坯 | 无电梯', '低楼层(共5层)1995年建板楼  -  葑门', '133万', '单价19145元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6abc1713-e92e-43df-a116-569ba3de14fc.png.296x216.jpg', '锦沧名苑 3室2厅 415万', '锦沧名苑  | 3室2厅 | 133.41平米 | 南 | 毛坯 | 有电梯', '高楼层(共22层)2009年建板楼  -  沧浪新城', '415万', '单价31108元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171208/e011c445-47d0-4b7f-92dd-a7e7e968eafc.jpg.296x216.jpg', '鑫苑景园 3室2厅 255万', '鑫苑景园  | 3室2厅 | 106平米 | 暂无数据 | 其他 | 有电梯', '中楼层(共16层)2009年建板楼  -  留园西园', '255万', '单价24057元/平米')
('https://image1.ljcdn.com/320500-inspection/test-3de06176-202b-4cb6-b00c-48a2baaaa830.png.296x216.jpg', '万科金品家园 3室2厅 415万', '万科金品家园  | 3室2厅 | 143平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2008年建板楼  -  胥江', '415万', '单价29021元/平米')
('https://image1.ljcdn.com/320500-inspection/test-77331666-fbc9-47a1-b323-30a4a0696338.png.296x216.jpg', '东蒋家场 3室1厅 145万', '东蒋家场  | 3室1厅 | 73平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  齐门', '145万', '单价19864元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170904/d59de95d-75c8-411b-a527-a8628971baec.jpg.296x216.jpg', '公园天下 3室3厅 470万', '公园天下  | 3室3厅 | 192.23平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2000年建板楼  -  胥江', '470万', '单价24450元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4bd2a84d-d391-4781-b307-31c870034693.png.296x216.jpg', '新沧花园 3室2厅 280万', '新沧花园  | 3室2厅 | 125平米 | 南 | 其他 | 无电梯', '低楼层(共5层)2001年建板楼  -  胥江', '280万', '单价22400元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1713ec88-3ec3-4b51-a743-bf7679b0e75b.png.296x216.jpg', '景运家园 3室2厅 320万', '景运家园  | 3室2厅 | 127.17平米 | 南 北 | 精装 | 无电梯', '低楼层(共4层)2004年建板楼  -  胥江', '320万', '单价25164元/平米')
('https://image1.ljcdn.com/320500-inspection/0a432ee1-6720-49b2-8296-e55676987d4e.jpg.296x216.jpg', '解放新村 3室1厅 143万', '解放新村  | 3室1厅 | 77.4平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1988年建板楼  -  胥江', '143万', '单价18476元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170426/3b2c70e4-c308-4621-a96e-c01bd997da7e.jpg.296x216.jpg', '润达新村 2室1厅 128万', '润达新村  | 2室1厅 | 70平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2001年建板楼  -  胥江', '128万', '单价18286元/平米')
('https://image1.ljcdn.com/320500-inspection/test-3ba284ce-c1dd-4c0b-922d-83438b4c5bba.png.296x216.jpg', '三元二村 3室1厅 128万', '三元二村  | 3室1厅 | 68.86平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1992年建板楼  -  金门', '128万', '单价18589元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160909/fe48b160-2845-4045-b067-2bf7f0924031.jpg.296x216.jpg', '新南环新村四组团 2室1厅 153万', '新南环新村四组团  | 2室1厅 | 73.36平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2013年建板楼  -  南门', '153万', '单价20857元/平米')
('https://image1.ljcdn.com/320500-inspection/test-41357c49-318d-4f95-b0b5-b935d1e20b0e.png.296x216.jpg', '一梯一户，满2，3开间朝南3房2卫，40多万精装', '中锐姑苏尚城  | 3室2厅 | 129.8平米 | 南 北 | 精装 | 有电梯', '低楼层(共21层)2015年建板楼  -  平江新城', '410万', '单价31588元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171223/26a02102-47fb-454d-8310-504f3d268580.jpg.296x216.jpg', '乐将武桥散盘 2室1厅 80万', '乐将武桥散盘  | 2室1厅 | 55.14平米 | 南 | 精装 | 无电梯', '高楼层(共6层)板楼  -  留园西园', '80万', '单价14509元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadded6122d-96a6-489b-9f4e-14bea4f0222a.jpg.296x216.jpg', '寒舍 4室2厅 560万', '寒舍   | 联排别墅 | 4室2厅 | 223平米 | 南 | 简装 | 无电梯', '3层2003年建板楼  -  金门', '560万', '单价25113元/平米')
('https://image1.ljcdn.com/320500-inspection/c01b2b2b-ad3c-4dc5-99ac-f81c1b600124.jpg.296x216.jpg', '冠南苑 2室1厅 158万', '冠南苑  | 2室1厅 | 68.6平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2011年建板楼  -  葑门', '158万', '单价23033元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170217/158ee894-e81b-4499-9407-b98345a509dd.jpg.296x216.jpg', '金帝名园 4室2厅 409万', '金帝名园  | 4室2厅 | 160.82平米 | 南 | 精装 | 有电梯', '低楼层(共4层)2008年建板楼  -  胥江', '409万', '单价25433元/平米')
('https://image1.ljcdn.com/320500-inspection/test-babcb811-043e-409c-aa7f-6a9598471d33.png.296x216.jpg', '孔付司巷 2室1厅 135万', '孔付司巷  | 2室1厅 | 47.5平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1994年建板楼  -  十全街', '135万', '单价28422元/平米')
('https://image1.ljcdn.com/320500-inspection/e9a97b98-03f7-47df-9078-bb178f784427.jpg.296x216.jpg', '护城河畔，位置安静视野好！2居室！有车位带独库！！', '皇亭街小区  | 2室2厅 | 94.03平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2001年建板楼  -  胥江', '198万', '单价21058元/平米')
('https://image1.ljcdn.com/320500-inspection/2f6c1ef4-4a21-4191-8d88-60bc8e92e878.jpg.296x216.jpg', '和美家园 2室1厅 124万', '和美家园  | 2室1厅 | 80.34平米 | 南 | 其他 | 有电梯', '中楼层(共30层)2014年建板楼  -  金阊新城', '124万', '单价15435元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170615/8feae9f7-58a5-428a-8fa6-16cf868f2582.jpg.296x216.jpg', '金之枫花园 2室2厅 179万', '金之枫花园  | 2室2厅 | 87.7平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  金门', '179万', '单价20411元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161208/cdef5072-6f3b-4aa8-a16a-71045331cdd4.jpg.296x216.jpg', '诚意出售 万达广场98户型  七十年产权住宅 中间楼层', '万达广场  | 2室2厅 | 98平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2009年建板楼  -  平江新城', '205万', '单价20919元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170812/d06f7f5e-c2b5-4a58-94a3-414addca0be1.jpg.296x216.jpg', '张家浜 2室1厅 135万', '张家浜  | 2室1厅 | 65平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1993年建板楼  -  金门', '135万', '单价20770元/平米')
('https://image1.ljcdn.com/320500-inspection/4967e47e-15c5-4738-bd37-1a3e9370371a.jpg.296x216.jpg', '万科金域平江精装3房南北通透全新装修未住人看房随时', '万科金域平江  | 3室2厅 | 110平米 | 南 北 | 精装', '高楼层(共33层)板楼  -  平江新城', '375万', '单价34091元/平米')
('https://image1.ljcdn.com/320500-inspection/05c1ae9b-f8a9-48e6-9fd7-6b1c53020775.jpg.296x216.jpg', '苏公馆为数不多的双拼别墅，不靠马路，有钥匙随时看房', '苏公馆   | 独栋别墅 | 4室2厅 | 321平米 | 南 | 毛坯 | 无电梯', '1层2015年建板楼  -  沧浪新城', '980万', '单价30530元/平米')
('https://image1.ljcdn.com/320500-inspection/3fb2cdd8-53e2-46b3-9016-b99069d10524.jpg.296x216.jpg', '四号线旁 仲雅苑南 小高层 三房两厅 诚意出售', '仲雅苑南区  | 3室2厅 | 100.44平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2008年建板楼  -  平江新城', '228万', '单价22701元/平米')
('https://image1.ljcdn.com/320500-inspection/test-422331b1-1e76-47b3-863c-d0a75462e7fa.png.296x216.jpg', '宝石御景园 2室2厅 266万', '宝石御景园  | 2室2厅 | 102平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2008年建板楼  -  金门', '266万', '单价26079元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170406/e2cf0778-a820-4cb5-a30d-6f7b700ce075.jpg.296x216.jpg', '金帝名园 3室2厅 294万', '金帝名园  | 3室2厅 | 120.67平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2008年建板楼  -  胥江', '294万', '单价24364元/平米')
('https://image1.ljcdn.com/320500-inspection/test-0fbddf39-2ccb-468a-9b55-6e5626c37e22.png.296x216.jpg', '09年小区鑫苑景园 少有的三房毛坯 原户型 有钥匙', '鑫苑景园  | 3室2厅 | 124.66平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2009年建板楼  -  留园西园', '250万', '单价20055元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170622/f178f029-db27-4f86-8c01-b261540926bd.jpg.296x216.jpg', '新湘苑 3室2厅 325万', '新湘苑  | 3室2厅 | 129.1平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  苏州大学', '325万', '单价25175元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170716/1ce1ba09-bdc2-4d1d-a0f0-85d6ba63df38.jpg.296x216.jpg', '永林新村 2室1厅 99万', '永林新村  | 2室1厅 | 52.3平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1990年建板楼  -  娄门', '99万', '单价18930元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170312/6b61bb27-7a5b-4711-9152-366d5cba9f37.jpg.296x216.jpg', '新湘苑 2室1厅 112万', '新湘苑  | 2室1厅 | 59.8平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1989年建板楼  -  苏州大学', '112万', '单价18730元/平米')
('https://image1.ljcdn.com/320500-inspection/test-329a1fe3-a531-4e57-87eb-77e5c327508d.png.296x216.jpg', '油车场4号 2室1厅 88万', '油车场4号  | 2室1厅 | 46.65平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1983年建板楼  -  葑门', '88万', '单价18864元/平米')
