('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadde833e55-9559-4fd4-b413-0a6a0270f270.jpg.296x216.jpg', '采光无遮挡，精装修，拎包入住。', '润富花园  | 2室1厅 | 91平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2006年建板塔结合  -  桥北', '182万', '单价20000元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload21025765-1b3c-4e14-a35d-a35e27ed9c1a.jpg.296x216.jpg', '纯毛坯 通透户型 不临街 生活方便', '通宇林景雅园  | 2室1厅 | 87.92平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2014年建塔楼  -  江浦街道', '258万', '单价29345元/平米')
('https://image1.ljcdn.com/320100-inspection/test-0926b3d4-ff73-4149-b17c-91b4c6ad0999.png.296x216.jpg', '江岸水城精装修 中间楼层两房 动静分离', '江岸水城  | 2室1厅 | 80.35平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  桥北', '177万', '单价22029元/平米')
('https://image1.ljcdn.com/320100-inspection/2db2430f-7114-4870-b43d-bb09765dc090.jpg.296x216.jpg', '天润城精装两房 中高楼层 采光好满五唯一', '天润城第十二街区  | 2室1厅 | 75.87平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2012年建板塔结合  -  桥北', '186.5万', '单价24582元/平米')
('https://image1.ljcdn.com/320100-inspection/b7241aeb-6483-4574-8e2e-6827df57c933.jpg.296x216.jpg', '精装修 小区环境好 交通便利 配套成熟', '天润城第十二街区  | 3室2厅 | 88.89平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2012年建板塔结合  -  桥北', '235万', '单价26438元/平米')
('https://image1.ljcdn.com/320100-inspection/817652be-265a-477c-b7dc-2de851c25d1b.JPG.296x216.jpg', '扬子江隧道口  改善大平层 视野开阔 景观房', '阳光帝景  | 4室2厅 | 147.17平米 | 东 南 北 | 其他 | 有电梯', '低楼层(共18层)2014年建板楼  -  顶山街道', '350万', '单价23783元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadcd78f108-f434-48de-8c27-583cf9b5b24c.jpg.296x216.jpg', '天华硅谷庄园 小区环境优美 配套设施齐全', '天华硅谷  | 2室2厅 | 88.54平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2012年建板楼  -  泰山街道', '200万', '单价22589元/平米')
('https://image1.ljcdn.com/320100-inspection/test-13995a17-c5a3-42df-aecd-6d163e0f729b.png.296x216.jpg', '精装大两房 高楼层 采光好 视野开阔', '北江锦城  | 2室1厅 | 89.82平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2015年建板楼  -  浦口其它', '213万', '单价23715元/平米')
('https://image1.ljcdn.com/320100-inspection/24bb400a-7404-464e-8cec-9ceeab683b5d.jpg.296x216.jpg', '交通便利 通透两房 中间楼层 采光不挡', '天润城第十四街区  | 2室2厅 | 78.57平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2012年建板楼  -  桥北', '200万', '单价25456元/平米')
('https://image1.ljcdn.com/320100-inspection/48029b0d-d055-4c28-888e-9e0a3ce1fe81.jpg.296x216.jpg', '户型方正 居家装修 采光不遮挡 业主诚心出售', '天润城第十二街区  | 2室2厅 | 77.12平米 | 南 北 | 精装 | 有电梯', '中楼层(共17层)2012年建板塔结合  -  桥北', '188万', '单价24378元/平米')
('https://image1.ljcdn.com/320100-inspection/baec994e-b737-4cf5-a991-53d363496a67.jpg.296x216.jpg', '老山脚下 空气好 采光无遮挡 装修好', '揽月山庄  | 3室2厅 | 85.46平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  江浦街道', '175万', '单价20478元/平米')
('https://image1.ljcdn.com/320100-inspection/99f7a30c-fd3c-43bd-be30-f7986a716efa.jpg.296x216.jpg', '此房满两年 精装修 设施完善 业主诚心出售', '江岸水城  | 3室2厅 | 98.15平米 | 南 西北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  桥北', '205万', '单价20887元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2dfec896-f589-45e2-8b62-8691862d9970.jpg.296x216.jpg', '弘阳物业好 婚装 飞机户型 两房朝南 采光充足', '天润城第十街区  | 3室2厅 | 90.24平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  桥北', '193万', '单价21388元/平米')
('https://image1.ljcdn.com/320100-inspection/test-42b179e1-6e27-4fba-b644-96be875ff40f.png.296x216.jpg', '江岸水城 2室2厅 168万', '江岸水城  | 2室2厅 | 78.68平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  桥北', '168万', '单价21353元/平米')
('https://image1.ljcdn.com/320100-inspection/test-6b0c23f1-e982-46ec-a3fe-f72ba73db03c.png.296x216.jpg', '精装修两房 户型有改动过，采光无遮挡 小区环境优美', '天润城第十四街区  | 2室2厅 | 69.58平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2012年建板楼  -  桥北', '170万', '单价24433元/平米')
('https://image1.ljcdn.com/320100-inspection/769957d3-0ec9-47ee-8626-215264da2a7c.jpg.296x216.jpg', '明发滨江新城二期 4室2厅 310万', '明发滨江新城二期  | 4室2厅 | 147.56平米 | 东 南 | 其他 | 有电梯', '高楼层(共11层)2005年建板塔结合  -  桥北', '310万', '单价21009元/平米')
('https://image1.ljcdn.com/320100-inspection/831e86b8-c714-45d6-bcae-f71165ac0e28.JPG.296x216.jpg', '大华桂美颂带地下室带院子 业主诚售 看房方便', '大华锦绣华城桂美颂  | 4室2厅 | 92.24平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  桥北', '245万', '单价26562元/平米')
('https://image1.ljcdn.com/320100-inspection/dcad64fb-94f1-41b2-8f3a-7058cb72fbb9.jpg.296x216.jpg', '此房满两年，免增值税，精装修，节省装修费用', '天华硅谷  | 2室2厅 | 89.18平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2012年建板楼  -  泰山街道', '206万', '单价23100元/平米')
('https://image1.ljcdn.com/320100-inspection/cd11218b-c237-45dd-91f0-96ddc3e3bfec.JPG.296x216.jpg', '此房南北通透，通风采光很棒，交通便利。', '大华锦绣华城香榭美颂  | 4室2厅 | 128平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共17层)2012年建板楼  -  桥北', '350万', '单价27344元/平米')
('https://image1.ljcdn.com/320100-inspection/294e43ed-bc4b-4042-ae64-cfc8c16f1b97.jpg.296x216.jpg', '天润城中高楼层，采光充足，视野好。居家精装修', '天润城第十二街区  | 2室1厅 | 71.41平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  桥北', '180万', '单价25207元/平米')
('https://image1.ljcdn.com/320100-inspection/d0161195-4234-4491-8373-21d85e06d9ae.jpg.296x216.jpg', '中航物业 山景复式 精装修 拎包住 中间楼层位置好', '华府国际  | 3室2厅 | 95.54平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2016年建板楼  -  浦口其它', '238.8万', '单价24995元/平米')
('https://image1.ljcdn.com/320100-inspection/c205e491-de64-4bd9-bcbe-9d3a10d77c54.jpg.296x216.jpg', '万科洋房带露台 万科物业 开发商精装 选装地暖 诚心卖', '万科璞悦山  | 3室2厅 | 102.04平米 | 南 北 | 精装 | 有电梯', '高楼层(共6层)2016年建板楼  -  浦口其它', '260万', '单价25481元/平米')
('https://image1.ljcdn.com/320100-inspection/test-03e7290d-a875-4f17-9b84-217d060e43b9.png.296x216.jpg', '南北通透 精装修  满五 A户型 看房方便', '威尼斯水城第五街区  | 2室2厅 | 95.27平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2007年建板楼  -  桥北', '216万', '单价22673元/平米')
('https://image1.ljcdn.com/320100-inspection/test-54f70aee-fdef-482e-b05f-3773a2978956.png.296x216.jpg', '老山脚下 万科物业开发商统一精装修', '万科金色半山  | 3室2厅 | 88.44平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2014年建塔楼  -  浦口其它', '213万', '单价24085元/平米')
('https://image1.ljcdn.com/320100-inspection/35e43db4-0690-43ea-b144-4171c09c1fb3.jpg.296x216.jpg', '南北通透 采光充足 居家装修 交通便利 户型方正', '江岸水城  | 2室1厅 | 77.26平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  桥北', '163万', '单价21098元/平米')
('https://image1.ljcdn.com/320100-inspection/5f74bd5d-8fe3-4b30-95fb-fe5fe387b211.JPG.296x216.jpg', '精装修 中间楼层 业主诚心  满两年', '威尼斯水城第七街区  | 2室2厅 | 88.33平米 | 南 北 | 其他 | 有电梯', '中楼层(共21层)2007年建板楼  -  桥北', '198万', '单价22416元/平米')
('https://image1.ljcdn.com/320100-inspection/1fd860c3-4d81-49b6-989f-ccc449603539.jpg.296x216.jpg', '香山郡 新小区 洋房大四房 双卫 天然氧吧 环境优美', '明发香山郡  | 4室2厅 | 140.18平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共7层)2017年建板楼  -  江浦街道', '308万', '单价21972元/平米')
('https://image1.ljcdn.com/320100-inspection/0e9493e8-4b87-458c-8a21-d8a07592cf62.JPG.296x216.jpg', '大华柳州苑 电梯房 跃层复式楼 精装修 满五年', '大华锦绣华城柳州苑  | 3室2厅 | 130.05平米 | 南 北 | 精装 | 有电梯', '高楼层(共10层)2008年建板楼  -  桥北', '280万', '单价21531元/平米')
('https://image1.ljcdn.com/320100-inspection/ea6dfe4e-ccec-4044-8c09-791cfb53eb48.jpg.296x216.jpg', '华府国际，老山脚下，适合改善，复式空间大', '华府国际  | 3室1厅 | 94.93平米 | 南 北 | 其他 | 有电梯', '中楼层(共12层)2016年建板楼  -  浦口其它', '248万', '单价26125元/平米')
('https://image1.ljcdn.com/320100-inspection/82f57cc3-058e-4af6-99fa-576246449430.JPG.296x216.jpg', '榴美颂 南北通透 配套完善 交通便利', '大华锦绣华城榴美颂  | 2室2厅 | 87.58平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2010年建板楼  -  桥北', '215万', '单价24549元/平米')
('https://image1.ljcdn.com/320100-inspection/30919083-db64-46e1-b691-e993d2d6f971.jpg.296x216.jpg', '满五年 南北通透 居家装修 交通方便', '旭日家园  | 2室2厅 | 70.53平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2005年建板楼  -  桥北', '175万', '单价24813元/平米')
('https://image1.ljcdn.com/320100-inspection/397ac49c-e176-4f5c-89db-dc684dc75e7a.jpg.296x216.jpg', '满两年 两房 毛坯 南北通透 户型方正', '通宇林景雅园  | 2室2厅 | 93.13平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2014年建塔楼  -  江浦街道', '263万', '单价28241元/平米')
('https://image1.ljcdn.com/320100-inspection/ea349118-8c4c-4474-a9b4-d76c31bf5bee.jpg.296x216.jpg', '楼层好 视野开阔 采光充足 品质物业 出行方便', '中海万锦熙岸一期  | 3室2厅 | 137.71平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2014年建板楼  -  江浦街道', '321万', '单价23310元/平米')
('https://image1.ljcdn.com/320100-inspection/35f63912-c526-4b8c-b0b2-9c0c634dd200.JPG.296x216.jpg', '榴美颂 南北通透 配套完善 交通便利', '大华锦绣华城榴美颂  | 2室2厅 | 79.23平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2010年建板楼  -  桥北', '198万', '单价24991元/平米')
('https://image1.ljcdn.com/320100-inspection/test-0bbb5372-7e7c-4290-847e-eb9b8eac3023.png.296x216.jpg', '融侨观邸 环境优美 交通便利 中高楼层 采光充足', '融侨观邸二期  | 2室1厅 | 86.32平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2013年建塔楼  -  江浦街道', '226万', '单价26182元/平米')
('https://image1.ljcdn.com/320100-inspection/f4f8f13d-601f-4d64-869a-276da784dd25.jpg.296x216.jpg', '跃层 一楼带113平院子  诚心急售 看房方便', '金地浅山艺境  | 4室2厅 | 132.43平米 | 南 北 | 毛坯', '低楼层(共6层)板楼  -  江浦街道', '498万', '单价37605元/平米')
('https://image1.ljcdn.com/320100-inspection/a5b7a2fc-aa4f-4ef6-9521-244c9eb13932.JPG.296x216.jpg', '明发滨江新城二期 3室2厅 293万', '明发滨江新城二期  | 3室2厅 | 109.98平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2005年建塔楼  -  桥北', '293万', '单价26642元/平米')
('https://image1.ljcdn.com/320100-inspection/e35bfafc-f2b3-4be5-9555-5f527ac28597.jpg.296x216.jpg', '钱塘望景花园 2室2厅 245万', '钱塘望景花园  | 2室2厅 | 91.27平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2010年建板楼  -  江浦街道', '245万', '单价26844元/平米')
('https://image1.ljcdn.com/320100-inspection/1c2a3608-2ec4-464c-a454-ebd79fdc59ae.jpg.296x216.jpg', '精装大三房  满两年 精装修30万 楼层好 位置佳', '江佑铂庭  | 3室2厅 | 113.9平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  江浦街道', '322万', '单价28271元/平米')
('https://image1.ljcdn.com/320100-inspection/ea990ee1-1f7d-4d0f-bd3e-a48fb202e3f4.jpg.296x216.jpg', '万科物业 精装修 带南北院子 小区中间', '万科璞悦山  | 3室1厅 | 84.08平米 | 南 北 | 精装 | 无电梯', '低楼层(共8层)2016年建板楼  -  浦口其它', '244万', '单价29020元/平米')
('https://image1.ljcdn.com/320100-inspection/d1323762-74c1-4460-b01a-6fbfcc0fd519.jpg.296x216.jpg', '满两年，毛坯房，户型好，南北通透', '盛景华庭北苑  | 3室2厅 | 115.36平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2014年建板楼  -  江浦街道', '248万', '单价21498元/平米')
('https://image1.ljcdn.com/320100-inspection/test-4636233c-61d3-4cff-8f14-e7eed001ddb7.png.296x216.jpg', '视野开阔 采光好 小区环境优美', '威尼斯水城第十五街区  | 2室2厅 | 87.66平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2014年建板楼  -  桥北', '200万', '单价22816元/平米')
('https://image1.ljcdn.com/320100-inspection/40c1c561-f527-42f5-bcde-cda4e1d5c613.JPG.296x216.jpg', '满两年  精装修 小区环境好 交通便利', '旭日爱上城第六区  | 3室2厅 | 113.15平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2015年建塔楼  -  桥北', '338万', '单价29872元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploaddac7e604-8043-42de-8997-441a177a9a11.jpg.296x216.jpg', '天华绿谷庄园 简装大两房 南北朝向 通透户型', '天华绿谷庄园  | 2室2厅 | 88.04平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2012年建板楼  -  泰山街道', '175万', '单价19878元/平米')
('https://image1.ljcdn.com/320100-inspection/8a945487-6980-447d-ac87-f0b92983b42f.JPG.296x216.jpg', '威尼斯水城第十街区 2室1厅 225万', '威尼斯水城第十街区  | 2室1厅 | 92.36平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2010年建板楼  -  桥北', '225万', '单价24362元/平米')
('https://image1.ljcdn.com/320100-inspection/592f0392-77e8-4a82-bd87-ea95d6183b63.jpg.296x216.jpg', '小区中间 精装修 视野好 可看老山', '碧云山庄  | 3室2厅 | 117.6平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  江浦街道', '290万', '单价24660元/平米')
('https://image1.ljcdn.com/320100-inspection/1c6ef0b6-ddcd-4c76-816e-e75f2e8ec102.jpg.296x216.jpg', '真实房源真实价格  精装修拎包入住 距离地铁500米', '天润城第十二街区  | 3室2厅 | 89.24平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  桥北', '218万', '单价24429元/平米')
('https://image1.ljcdn.com/320100-inspection/1e72ebd1-3228-4d72-8a87-9e54c00c5244.JPG.296x216.jpg', '旭日上城三区 满两年 南北通透 看房有钥匙', '弘阳旭日上城三区  | 3室2厅 | 111.13平米 | 南 北 | 其他 | 有电梯', '中楼层(共24层)2014年建板塔结合  -  桥北', '305万', '单价27446元/平米')
('https://image1.ljcdn.com/320100-inspection/9dee6d6f-8e65-4782-80e0-911c039e0afc.jpg.296x216.jpg', '交通便利 配套成熟 户型方正 居住舒适', '天润城第三街区  | 3室2厅 | 109.06平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  桥北', '229万', '单价20998元/平米')
('https://image1.ljcdn.com/320100-inspection/89452743-4979-4c8a-a4bc-661d376580f5.JPG.296x216.jpg', '威尼斯水城第二街区三房 采光好 户型方正', '威尼斯水城第二街区  | 3室2厅 | 109.98平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  桥北', '240万', '单价21823元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload194e9813-735f-482b-ad72-92717b434cf9.jpg.296x216.jpg', '房子户型南北通透 采光充足视野开阔', '江岸水城  | 2室2厅 | 78.48平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  桥北', '170万', '单价21662元/平米')
('https://image1.ljcdn.com/320100-inspection/fa32bf64-d019-4cde-9430-d566b9cbb0bf.jpg.296x216.jpg', '天华绿谷 简装小三房 南北通透 采光充足', '天华绿谷庄园  | 3室2厅 | 89.31平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2012年建板楼  -  泰山街道', '180万', '单价20155元/平米')
('https://image1.ljcdn.com/320100-inspection/dcfe0731-c302-4d85-a32c-893d37ad5a59.jpg.296x216.jpg', '林景雅园 环境优美 中高楼层 交通便利 采光充足', '通宇林景雅园  | 3室2厅 | 119.88平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2012年建塔楼  -  江浦街道', '358万', '单价29864元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploade1ecfbba-ebc2-4662-b6b6-fd71daf168e6.jpg.296x216.jpg', '楼层好 视野开阔 配套齐全 户型方正 装修方便 满两年', '中海万锦熙岸一期  | 3室2厅 | 95平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2014年建板楼  -  江浦街道', '259万', '单价27264元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload170292b9-32ac-4e1e-b492-e68e0fffe2dd.JPG.296x216.jpg', '南北通透西边户 正规四居室 三开间朝南 中高楼层', '大华锦绣华城香榭美颂  | 4室2厅 | 128平米 | 南 西 北 | 精装 | 有电梯', '中楼层(共17层)2012年建板楼  -  桥北', '368万', '单价28750元/平米')
('https://image1.ljcdn.com/320100-inspection/1c89057a-b2c2-4efd-ba91-2d41a09d5790.jpg.296x216.jpg', '天华硅谷 精装小三房 楼层好 采光充足', '天华硅谷  | 3室1厅 | 89.46平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2012年建板楼  -  泰山街道', '215万', '单价24034元/平米')
('https://image1.ljcdn.com/320100-inspection/ea1b5346-9c2e-4e31-8204-099aef05354e.jpg.296x216.jpg', '此小区生活配套设施成熟物业管理完善', '天润城第十四街区  | 2室1厅 | 69.27平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2012年建板楼  -  桥北', '171万', '单价24687元/平米')
('https://image1.ljcdn.com/320100-inspection/fbefd662-e3de-4611-a801-c6c4cc2e73d6.JPG.296x216.jpg', '小区环境好，户型方正，业主诚心出售', '弘阳旭日上城一区  | 2室2厅 | 95.23平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  桥北', '215万', '单价22577元/平米')
('https://image1.ljcdn.com/320100-inspection/fc9bc0c4-2225-4bee-954f-53f9f2e3168c.JPG.296x216.jpg', '旭日爱上城第四区彩翼园高楼层精装两房采光好', '旭日爱上城第四区北区  | 2室2厅 | 77.49平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  桥北', '208万', '单价26843元/平米')
('https://image1.ljcdn.com/320100-inspection/264d655b-fe29-4fff-b21b-b3f8d81a59d5.JPG.296x216.jpg', '江月府两房 简单装修 中楼层 采光好', '江月府  | 2室2厅 | 87.16平米 | 南 | 其他', '中楼层(共18层)板楼  -  桥北', '213万', '单价24438元/平米')
('https://image1.ljcdn.com/320100-inspection/96e28b04-3c87-4d50-b18e-5241de826e16.jpg.296x216.jpg', '旭日上城三区 精装修 满两年 高楼层', '弘阳旭日上城三区  | 2室2厅 | 87.69平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2014年建板塔结合  -  桥北', '258万', '单价29422元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadcc1173af-b0c9-4829-83ab-cee379439c7a.jpg.296x216.jpg', '满两年 视野开阔 30多万精装修 配套齐全 户型方正', '中海万锦熙岸一期  | 3室2厅 | 107.4平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2014年建板楼  -  江浦街道', '290万', '单价27002元/平米')
('https://image1.ljcdn.com/320100-inspection/dde31348-d6b6-4794-be42-a86a26c3dfb8.jpg.296x216.jpg', '精装修 满两年 视野开阔 采光充足 全南户型', '天润城第十六街区南区  | 2室2厅 | 75.25平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2014年建板楼  -  桥北', '195万', '单价25914元/平米')
('https://image1.ljcdn.com/320100-inspection/819c9813-71f1-42f9-816f-16bef114fdfd.JPG.296x216.jpg', '明发滨江新城二期 一线江景 视野好 中高楼层 采光充足', '明发滨江新城二期  | 3室2厅 | 119.22平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2005年建板楼  -  桥北', '280万', '单价23486元/平米')
('https://image1.ljcdn.com/320100-inspection/a51dd07d-19e1-4049-b3f8-d1c6a79d4b63.jpg.296x216.jpg', '此房满两年 成熟小区 设施完善 户型方正', '江岸水城  | 2室2厅 | 77.59平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)2009年建板楼  -  桥北', '162万', '单价20879元/平米')
('https://image1.ljcdn.com/320100-inspection/f83c7dde-e618-4364-afd9-4469c5f5e4cb.JPG.296x216.jpg', '威尼斯水城第五街区 2室2厅 218万', '威尼斯水城第五街区  | 2室2厅 | 95.26平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2007年建板楼  -  桥北', '218万', '单价22885元/平米')
('https://image1.ljcdn.com/320100-inspection/c10f79a5-5090-4058-94d1-e1925efd64d6.jpg.296x216.jpg', '华府国际 3室2厅 260万', '华府国际  | 3室2厅 | 117.87平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2016年建板楼  -  浦口其它', '260万', '单价22059元/平米')
('https://image1.ljcdn.com/320100-inspection/556817c8-0e8e-45c7-b644-0766d14d942d.JPG.296x216.jpg', '桥北 威尼斯 满五 毛坯 带电梯', '威尼斯水城第八街区  | 2室2厅 | 90.02平米 | 南 东 北 | 其他 | 有电梯', '中楼层(共9层)2005年建板楼  -  桥北', '215万', '单价23884元/平米')
('https://image1.ljcdn.com/320100-inspection/a8a3154e-7fca-4102-b028-f6321e9564a1.JPG.296x216.jpg', '旭日家园 正规三房 双卧朝南 拎包入住 业主诚心出售', '旭日家园  | 3室2厅 | 93.18平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  桥北', '205万', '单价22001元/平米')
('https://image1.ljcdn.com/320100-inspection/2e94ca7f-03bf-47b2-ad7c-67c68e5b0086.jpg.296x216.jpg', '天润城第十四街区 2室2厅 175万', '天润城第十四街区  | 2室2厅 | 70.62平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2012年建板楼  -  桥北', '175万', '单价24781元/平米')
('https://image1.ljcdn.com/320100-inspection/test-a67f67bb-66e6-450b-9e4e-087c8bcec0e7.png.296x216.jpg', '天润城第十二街区  总价低  离地铁400米  看房方便', '天润城第十二街区  | 2室1厅 | 68.5平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2012年建板塔结合  -  桥北', '165万', '单价24088元/平米')
('https://image1.ljcdn.com/320100-inspection/test-09c5cf5f-226d-4ca3-8896-a2ae50c07dc7.png.296x216.jpg', '天润城地铁口 中间楼层 精装两房', '天润城第十二街区  | 2室1厅 | 77.79平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2012年建板塔结合  -  桥北', '186万', '单价23911元/平米')
('https://image1.ljcdn.com/320100-inspection/163dcc43-010d-4f17-94d9-b87ecdd768ef.JPG.296x216.jpg', '威尼斯水城第八街区   花园洋房   正规三房出售', '威尼斯水城第八街区  | 3室2厅 | 115.5平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共6层)2005年建板楼  -  桥北', '280万', '单价24243元/平米')
('https://image1.ljcdn.com/320100-inspection/ca7d0b21-72b5-4a28-867d-15ae59bdb625.jpg.296x216.jpg', '江佑铂庭 2室1厅 250万', '江佑铂庭  | 2室1厅 | 84.56平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2012年建板楼  -  江浦街道', '250万', '单价29565元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload726b6ad7-5e9b-4cf7-885b-4ecbbc89b40f.JPG.296x216.jpg', '榴美颂 南北通透 八角餐厅户型 免增值税费 楼层好', '大华锦绣华城榴美颂  | 3室2厅 | 132.63平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2010年建板楼  -  桥北', '293万', '单价22092元/平米')
('https://image1.ljcdn.com/320100-inspection/596b8ee6-45e5-4797-b632-df8ca4ec122f.JPG.296x216.jpg', '纬三隧道口 交通出行方便 毛坯两房  业主诚心出售', '乐府江南家园  | 2室1厅 | 66.43平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2010年建板楼  -  顶山街道', '145万', '单价21828元/平米')
('https://image1.ljcdn.com/320100-inspection/1206bac6-dd73-4b0c-a9f9-dc4e0f13f8a8.jpg.296x216.jpg', '江佑铂庭 3室2厅 340万', '江佑铂庭  | 3室2厅 | 114.05平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2012年建板楼  -  江浦街道', '340万', '单价29812元/平米')
('https://image1.ljcdn.com/320100-inspection/test-9d530883-9e04-49a9-a257-1f5b5e6f6570.png.296x216.jpg', '中海精装小三房 满2年 家电家具齐全 双地铁 品牌物业', '中海万锦熙岸一期  | 3室2厅 | 93.67平米 | 南 北 | 精装 | 有电梯', '低楼层(共26层)2014年建板楼  -  江浦街道', '258万', '单价27544元/平米')
('https://image1.ljcdn.com/320100-inspection/5e667dab-9b07-4272-879a-13834a81a3c8.jpg.296x216.jpg', '拎包入住 高楼层 采光充足 精装修', '天润城第十二街区  | 2室2厅 | 67.56平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  桥北', '167万', '单价24719元/平米')
('https://image1.ljcdn.com/320100-inspection/4ffdbb5d-f7ac-43cf-956a-ce4595b7dc40.JPG.296x216.jpg', '威尼斯水城十四街区 电梯洋房 大三房可改四房精装修', '威尼斯水城第十四街区  | 3室2厅 | 117.13平米 | 南 北 | 精装 | 有电梯', '中楼层(共6层)2013年建板楼  -  桥北', '290万', '单价24759元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload4d108978-6754-4fd3-9746-c322264f79d2.jpg.296x216.jpg', '毛坯 改善性住宅 采光特棒 小区中间位置 无遮挡', '东方熙龙山院  | 3室2厅 | 197.54平米 | 南 | 其他 | 有电梯', '中楼层(共8层)2016年建板楼  -  江浦街道', '500万', '单价25312元/平米')
('https://image1.ljcdn.com/320100-inspection/12a0e194-6ccc-4821-a4e3-5c1a9530ceec.JPG.296x216.jpg', '此房楼层好 视野开阔 户型通透明朗 生活配套齐全', '珍珠花苑  | 2室1厅 | 77.3平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  顶山街道', '180万', '单价23286元/平米')
