('https://image1.ljcdn.com/210100-inspection/5432586b-66d6-4eca-bdd4-0bdfd8f2b1ab.JPG.296x216.jpg', '恒泰骏景 2室1厅 60万', '恒泰骏景  | 2室1厅 | 76.77平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '60万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/03661036-43eb-4a6e-9795-e32e34d3a625.JPG.296x216.jpg', '碧桂园银河城星荟 2室2厅 82万', '碧桂园银河城星荟  | 2室2厅 | 83平米 | 南 北 | 其他', '高楼层(共30层)板楼  -  于洪区', '82万', '单价9880元/平米')
('https://image1.ljcdn.com/210100-inspection/5cef1be1-a078-4754-8fd9-1236d752c644.JPG.296x216.jpg', '阳光尚城三期 高等楼层 南北通透 清水房', '阳光尚城三期  | 4室2厅 | 215.54平米 | 南 北 | 毛坯', '高楼层(共9层)2009年建板楼  -  于洪区', '140万', '单价6496元/平米')
('https://image1.ljcdn.com/210100-inspection/174a113f-94c6-4444-96e0-00c44827388d.jpg.296x216.jpg', '华锐桃源欣城 3室2厅 105万', '华锐桃源欣城  | 3室2厅 | 130.83平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  于洪区', '105万', '单价8026元/平米')
('https://image1.ljcdn.com/210100-inspection/a19e392f-6800-417a-b13e-340c2f670cb1.JPG.296x216.jpg', '依云北郡四期 1室1厅 38万', '依云北郡四期  | 1室1厅 | 45.52平米 | 西北 | 其他', '中楼层(共22层)2014年建板楼  -  于洪区', '38万', '单价8348元/平米')
('https://image1.ljcdn.com/210100-inspection/205118e9-e834-4b73-a007-3ad48f0660f5.jpg.296x216.jpg', '于洪新城 碧桂园银河城星座 楼层好 采光充足', '碧桂园银河城星座  | 3室2厅 | 103.83平米 | 南 北 | 其他', '低楼层(共30层)板楼  -  于洪区', '108万', '单价10402元/平米')
('https://image1.ljcdn.com/210100-inspection/93208687-9f46-4ba7-8c98-f80f8a20ea8f.jpg.296x216.jpg', '宏发华城世界橙郡 多层南北三室 精装拎包即住', '宏发华城世界橙郡1  | 3室2厅 | 125平米 | 南 北 | 精装', '高楼层(共6层)2008年建板楼  -  于洪区', '92万', '单价7360元/平米')
('https://image1.ljcdn.com/210100-inspection/b1644354-0ad5-4d50-b1e8-37b2e58c4d3e.jpg.296x216.jpg', '碧桂园银河城星座 2室2厅 88万', '碧桂园银河城星座  | 2室2厅 | 85.6平米 | 南 北 | 其他', '高楼层(共30层)板楼  -  于洪区', '88万', '单价10281元/平米')
('https://image1.ljcdn.com/210100-inspection/dac23816-5e42-45fd-9991-57012efd579a.jpg.296x216.jpg', '恒大绿洲三期 3室2厅 105万', '恒大绿洲三期  | 3室2厅 | 127平米 | 南 北 | 其他', '中楼层(共18层)板楼  -  于洪区', '105万', '单价8268元/平米')
('https://image1.ljcdn.com/210100-inspection/cbd66455-436d-4bcb-aba9-e2c954b7c866.jpg.296x216.jpg', '碧桂园星座 新上南北清水两室 随意装修 采光好不临街', '碧桂园银河城星座  | 2室1厅 | 88平米 | 南 北 | 毛坯', '中楼层(共30层)板楼  -  于洪区', '78万', '单价8864元/平米')
('https://image1.ljcdn.com/210100-inspection/56b05d3d-2c7f-4fc3-be39-340655eae336.jpg.296x216.jpg', '碧桂园都荟 新上南北精装两室 采光好中间层拎包即住', '碧桂园银河城都荟  | 2室2厅 | 85平米 | 南 北 | 精装', '高楼层(共33层)板楼  -  于洪区', '95万', '单价11177元/平米')
('https://image1.ljcdn.com/210100-inspection/ebc47775-4243-4767-bd37-77f20843f67b.jpg.296x216.jpg', '碧桂园银河城星语苑 3室2厅 130万', '碧桂园银河城星语苑  | 3室2厅 | 135平米 | 南 北 | 其他', '中楼层(共30层)暂无数据  -  于洪区', '130万', '单价9630元/平米')
('https://image1.ljcdn.com/210100-inspection/d843f0da-64f0-40a3-8cdd-4e48dad5ca00.JPG.296x216.jpg', '保利溪湖林语二期 毛坯 价格低 楼层好 临公园', '保利溪湖林语二期  | 3室1厅 | 105平米 | 东 南 北 | 其他', '中楼层(共18层)板楼  -  于洪区', '90万', '单价8572元/平米')
('https://image1.ljcdn.com/210100-inspection/1e690fde-ba43-4280-b001-3b28ea5fe16c.JPG.296x216.jpg', '精装修洋房，品质装修，保持好，看房方便', '绿地老街坊  | 3室2厅 | 135.8平米 | 南 北 | 简装', '中楼层(共5层)2013年建板楼  -  于洪区', '110万', '单价8101元/平米')
('https://image1.ljcdn.com/210100-inspection/6c792ceb-8c11-4917-b11c-b44f60f702ae.JPG.296x216.jpg', '依云北郡B区 精装修南北通透户型 四室两厅一厨两卫', '依云北郡B区  | 4室2厅 | 97.95平米 | 南 北 | 精装', '高楼层(共6层)2008年建板楼  -  于洪区', '92万', '单价9393元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadbcfe7e6b-9901-447a-be70-49397fde3dc6.JPG.296x216.jpg', '银亿格兰郡 清水一居室    有钥匙', '银亿格兰郡  | 1室1厅 | 50平米 | 南 | 其他', '低楼层(共26层)2016年建板楼  -  于洪区', '32万', '单价6400元/平米')
('https://image1.ljcdn.com/210100-inspection/cf7616cc-f476-40e0-8bc5-97029db26179.jpg.296x216.jpg', '阳光100二期复式 精装 带家电家具 带车位', '阳光100国际新城D组团  | 3室2厅 | 110平米 | 南 北 | 精装', '中楼层(共20层)暂无数据  -  于洪区', '258万', '单价23455元/平米')
('https://image1.ljcdn.com/210100-inspection/a45c0f29-40c3-4b83-b4f2-2616eb5e8034.JPG.296x216.jpg', '华邑世纪城 2室2厅 42万', '华邑世纪城  | 2室2厅 | 52平米 | 南 | 其他', '中楼层(共18层)2013年建板楼  -  于洪区', '42万', '单价8077元/平米')
('https://image1.ljcdn.com/210100-inspection/2028f283-1c36-4f3e-b690-7bae5e7bcee1.JPG.296x216.jpg', '绿地老街坊 2室1厅 66万', '绿地老街坊  | 2室1厅 | 89.19平米 | 南 北 | 其他', '低楼层(共23层)2013年建板楼  -  于洪区', '66万', '单价7400元/平米')
('https://image1.ljcdn.com/210100-inspection/5ed109c6-162f-4773-b44c-1570bdd8a587.jpg.296x216.jpg', '万科魅力之城 3室2厅 240万', '万科魅力之城  | 3室2厅 | 146平米 | 南 北 | 精装', '中楼层(共5层)2017年建板楼  -  于洪区', '240万', '单价16439元/平米')
('https://image1.ljcdn.com/210100-inspection/906c5cfd-06a6-4ae3-9ea6-f2972ba45e17.JPG.296x216.jpg', '阳光尚城一期 精装 采光充足 房主诚心卖房 看房方便', '阳光尚城一期  | 4室2厅 | 85.03平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  于洪区', '83万', '单价9762元/平米')
('https://image1.ljcdn.com/210100-inspection/437ca2dc-d654-4fa7-98e5-3ef8bb23b54b.jpg.296x216.jpg', '碧桂园星座 新上南北三室 清水随意装修 采光好', '碧桂园银河城星座  | 3室2厅 | 113平米 | 南 北 | 毛坯', '中楼层(共30层)板楼  -  于洪区', '105万', '单价9293元/平米')
('https://image1.ljcdn.com/210100-inspection/c754c70c-e23d-4f07-9b7a-dbe41b496734.JPG.296x216.jpg', '恒大城二期 装修保持不错 位置适中 采光充足', '恒大城二期  | 3室2厅 | 157.02平米 | 南 西 北 | 精装', '高楼层(共28层)2014年建板塔结合  -  于洪区', '120万', '单价7643元/平米')
('https://image1.ljcdn.com/210100-inspection/61fcae3e-7f55-4f4f-9446-5c64885f6178.JPG.296x216.jpg', '阳光尚城三期一楼三室带花园 大开间 南北通透', '阳光尚城三期  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  于洪区', '132万', '单价11786元/平米')
('https://image1.ljcdn.com/210100-inspection/82a70192-a1c8-41a5-ac8e-6b78fdf0e615.jpg.296x216.jpg', '环北家园一期 2室1厅 40万', '环北家园一期  | 2室1厅 | 88.9平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  于洪区', '40万', '单价4500元/平米')
('https://image1.ljcdn.com/210100-inspection/c26bb324-2930-49a1-9a22-79f55570f714.jpg.296x216.jpg', '于洪新城 两室一厅 配套齐全 拎包入住', '宏发三千院  | 2室1厅 | 70平米 | 西南 | 其他', '中楼层(共35层)2009年建塔楼  -  于洪区', '60万', '单价8572元/平米')
('https://image1.ljcdn.com/210100-inspection/686a0885-0922-48f6-9a50-519095dadd30.JPG.296x216.jpg', '恒泰骏景 3室2厅 125万', '恒泰骏景  | 3室2厅 | 139.25平米 | 南 北 | 精装', '低楼层(共9层)2009年建板楼  -  于洪区', '125万', '单价8977元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload27b75397-0070-4997-87b7-25ffaf65056f.jpg.296x216.jpg', '依云北郡C区 南北通透 小高六楼 采光好', '依云北郡C区  | 2室2厅 | 96.22平米 | 南 北 | 其他', '中楼层(共11层)2009年建板楼  -  于洪区', '78万', '单价8107元/平米')
('https://image1.ljcdn.com/210100-inspection/test-064202ca-bd4a-4af3-8fa0-ed79e7df11e4.png.296x216.jpg', '阳光尚城三期 2室2厅 83万', '阳光尚城三期  | 2室2厅 | 91.19平米 | 南 北 | 其他', '高楼层(共9层)2009年建板楼  -  于洪区', '83万', '单价9102元/平米')
('https://image1.ljcdn.com/210100-inspection/1eb5ab72-e24d-4250-bd3b-d8acf68950bc.JPG.296x216.jpg', '怒江北街 银亿德郡 精装两室 不把山 不临街', '银亿德郡  | 2室2厅 | 94.12平米 | 南 北 | 精装', '中楼层(共6层)2013年建板楼  -  于洪区', '90万', '单价9563元/平米')
('https://image1.ljcdn.com/210100-inspection/c6378611-5283-4a2f-bef0-bc61b94af931.jpg.296x216.jpg', '皇姑区 保利溪湖林语 三室南北 南向无遮挡 精装修', '保利溪湖林语三期  | 3室1厅 | 95平米 | 南 北 | 其他', '低楼层(共18层)板楼  -  于洪区', '82万', '单价8632元/平米')
('https://image1.ljcdn.com/210100-inspection/ced3e616-3032-4ef7-9057-26c558bff887.JPG.296x216.jpg', '朗香邸 2室1厅 51万', '朗香邸  | 2室1厅 | 64平米 | 南 | 其他', '中楼层(共33层)2014年建板楼  -  于洪区', '51万', '单价7969元/平米')
('https://image1.ljcdn.com/210100-inspection/8e5ef9f3-d561-475d-92aa-047fabb6ba31.jpg.296x216.jpg', '银亿德郡 多层 满五年 无欠款', '银亿德郡  | 2室2厅 | 70.9平米 | 南 北 | 其他', '高楼层(共6层)2013年建板楼  -  于洪区', '38万', '单价5360元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb6aa844c-85dd-4cc5-b7a7-378d3c0298d7.jpg.296x216.jpg', '三室两卫 价格合理 视野开阔 采光好', '阳光尚城4.2期  | 3室2厅 | 127.98平米 | 南 北 | 精装', '高楼层(共27层)2013年建板楼  -  于洪区', '90万', '单价7033元/平米')
('https://image1.ljcdn.com/210100-inspection/79172dae-f49b-4b51-b61d-82cdf082bf85.JPG.296x216.jpg', '恒大城二期 2室2厅 78万', '恒大城二期  | 2室2厅 | 91平米 | 东南 | 精装', '低楼层(共28层)2014年建板塔结合  -  于洪区', '78万', '单价8572元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload069c0e7a-5682-4ea5-bb46-b7f2384cd93b.JPG.296x216.jpg', '于洪区怒江北街 恒泰骏景 两室两厅 采光好 精装修', '恒泰骏景  | 2室2厅 | 67.16平米 | 南 北 | 其他', '高楼层(共11层)2009年建板楼  -  于洪区', '47万', '单价6999元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload14381c6b-c9f2-4ce8-aec0-0c0016ccad6d.jpg.296x216.jpg', '多层板楼，简装南北三室，小区环境好。', '宏发三千院  | 3室2厅 | 115.36平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '95万', '单价8236元/平米')
('https://image1.ljcdn.com/210100-inspection/3e5f5885-8a6a-4910-8d77-83992fba6fc4.JPG.296x216.jpg', '阳光尚城三期 小高 94平 三居室 采光充足', '阳光尚城三期  | 3室2厅 | 94平米 | 南 北 | 简装', '低楼层(共9层)2009年建板楼  -  于洪区', '76万', '单价8086元/平米')
('https://image1.ljcdn.com/210100-inspection/f252559e-b8a6-42a6-86a7-13d6d7f7a36a.JPG.296x216.jpg', '依云北郡B区 2室2厅 99万', '依云北郡B区  | 2室2厅 | 84.39平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  于洪区', '99万', '单价11732元/平米')
('https://image1.ljcdn.com/210100-inspection/c0be0968-6417-40e0-be06-d7b8eb29a199.jpg.296x216.jpg', '于洪新城 碧桂园聆涛 三室带阁楼 装修保持好 单价低', '碧桂园银河城聆涛  | 3室2厅 | 156.02平米 | 南 北 | 其他', '高楼层(共26层)板楼  -  于洪区', '120万', '单价7692元/平米')
('https://image1.ljcdn.com/210100-inspection/fefe1814-d313-41ac-b120-945dbf572046.jpg.296x216.jpg', '水调歌城二期 3室2厅 95万', '水调歌城二期  | 3室2厅 | 140.38平米 | 南 北 | 其他', '高楼层(共11层)板楼  -  于洪区', '95万', '单价6768元/平米')
('https://image1.ljcdn.com/210100-inspection/256c947d-56f8-4d82-acc8-55584e52f9b5.JPG.296x216.jpg', '恒泰骏景   小高二楼   不把山不临街   南北标户三室', '恒泰骏景  | 3室2厅 | 121.74平米 | 南 北 | 其他', '低楼层(共9层)2009年建板楼  -  于洪区', '98万', '单价8050元/平米')
('https://image1.ljcdn.com/210100-inspection/1ef1fdbc-1fee-4740-a212-ef14eaef0dd0.JPG.296x216.jpg', '依云北郡B区 2室1厅 48万', '依云北郡B区  | 2室1厅 | 55.13平米 | 南 | 其他', '低楼层(共11层)2008年建板楼  -  于洪区', '48万', '单价8707元/平米')
('https://image1.ljcdn.com/210100-inspection/e6d2f345-bff8-4355-a8b7-4b47a1dc3e58.jpg.296x216.jpg', '急售 小户型  国奥现代城 精装修 视野开阔 交通方便', '国奥现代城  | 1室1厅 | 57.45平米 | 西北 | 精装', '中楼层(共17层)暂无数据  -  于洪区', '42万', '单价7311元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload18294021-7ea7-46ca-a6f8-8c783da3592b.JPG.296x216.jpg', '精装修复式，采光好，房子保持好，南北通透', '七彩阳光  | 2室2厅 | 60.07平米 | 南 北 | 精装', '高楼层(共11层)2006年建板楼  -  于洪区', '60万', '单价9989元/平米')
('https://image1.ljcdn.com/210100-inspection/51967748-8a52-4572-98b0-350f687bdffc.JPG.296x216.jpg', '亚都名苑，3室2厅1厨2卫，南北通透', '亚都名苑  | 3室2厅 | 135.96平米 | 南 北 | 精装', '高楼层(共6层)2012年建板楼  -  于洪区', '100万', '单价7356元/平米')
('https://image1.ljcdn.com/210100-inspection/f6b75448-c7a7-470d-b4aa-4039f0dd5cba.JPG.296x216.jpg', '怒江北街亚都名苑两室 77.94平米 全明户型 南北通透', '亚都名苑  | 2室1厅 | 77.94平米 | 南 北 | 简装', '高楼层(共23层)2012年建板楼  -  于洪区', '46万', '单价5902元/平米')
('https://image1.ljcdn.com/210100-inspection/5a76acda-1d28-43a5-a710-670c04dfd160.jpg.296x216.jpg', '碧桂园银河城精装三室 南北 拎包即住', '碧桂园银河城聆涛  | 3室2厅 | 133.98平米 | 南 北 | 其他', '高楼层(共31层)板楼  -  于洪区', '119万', '单价8882元/平米')
('https://image1.ljcdn.com/210100-inspection/861fac3e-d061-496c-88c2-f79cf658b4c4.JPG.296x216.jpg', '七彩阳光 2室2厅 89万', '七彩阳光  | 2室2厅 | 106平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  于洪区', '89万', '单价8397元/平米')
('https://image1.ljcdn.com/210100-inspection/b5bbb1d0-a9be-48e8-96b2-60c76cca441e.jpg.296x216.jpg', '银亿万万城 2室1厅 38万', '银亿万万城  | 2室1厅 | 51平米 | 西 | 其他', '高楼层(共11层)2008年建板楼  -  于洪区', '38万', '单价7451元/平米')
('https://image1.ljcdn.com/210100-inspection/d584c955-cf0f-4cd1-9eb2-2a32d635d126.JPG.296x216.jpg', '低区出行方便   满五年  落地大阳台', '银亿万万城  | 2室2厅 | 86.71平米 | 南 北 | 精装', '低楼层(共6层)2008年建板楼  -  于洪区', '73万', '单价8419元/平米')
('https://image1.ljcdn.com/210100-inspection/4ea69612-99a6-4d86-a259-977af7309992.JPG.296x216.jpg', '依云北郡D区 2室1厅 78万', '依云北郡D区  | 2室1厅 | 92.57平米 | 南 北 | 其他', '高楼层(共11层)2009年建板楼  -  于洪区', '78万', '单价8427元/平米')
('https://image1.ljcdn.com/210100-inspection/3d63ac5e-0100-4502-98be-0b913e590b48.jpg.296x216.jpg', '恒大绿洲二期 4室2厅 85万', '恒大绿洲二期  | 4室2厅 | 153平米 | 西南 | 其他', '高楼层(共18层)板楼  -  于洪区', '85万', '单价5556元/平米')
('https://image1.ljcdn.com/210100-inspection/9dfbafc7-8edd-4fd9-9bd1-3daff741f4d6.jpg.296x216.jpg', '于洪新城 吉力湖街 宏发三千院 精装修 三室', '宏发三千院  | 3室1厅 | 88.2平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '85万', '单价9638元/平米')
('https://image1.ljcdn.com/210100-inspection/db437c92-e2b2-4671-99a0-4b3bb1ae4c55.jpg.296x216.jpg', '碧桂园银河城  三室两厅两卫124平  通透不挡光', '碧桂园银河城聆涛  | 3室2厅 | 124.02平米 | 东南 北 | 精装', '中楼层(共25层)板楼  -  于洪区', '110万', '单价8870元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload6a09baf2-3c5c-4dd3-9136-d664171bfe21.jpg.296x216.jpg', '于洪新城 新城惠泽园 双南卧  电梯小高 配套成熟', '新城惠泽园  | 2室1厅 | 76.42平米 | 西南 | 其他', '低楼层(共10层)暂无数据  -  于洪区', '49万', '单价6412元/平米')
('https://image1.ljcdn.com/210100-inspection/321d2621-b113-41db-8814-5c0696ea2c21.JPG.296x216.jpg', '阳光尚城4.2期 2室2厅 75万', '阳光尚城4.2期  | 2室2厅 | 98平米 | 南 北 | 毛坯', '高楼层(共29层)2013年建板楼  -  于洪区', '75万', '单价7654元/平米')
('https://image1.ljcdn.com/210100-inspection/89ffaee1-2fab-445c-8767-c3abd5e9cff7.JPG.296x216.jpg', '依云北郡C区 2室2厅 98万', '依云北郡C区  | 2室2厅 | 100平米 | 南 北 | 精装', '低楼层(共6层)2009年建板楼  -  于洪区', '98万', '单价9800元/平米')
('https://image1.ljcdn.com/210100-inspection/4698682d-166f-4c42-a9a1-54b4e17758d5.jpg.296x216.jpg', '恒大绿洲 3室2厅 110万', '恒大绿洲  | 3室2厅 | 126平米 | 南 | 其他', '中楼层(共33层)2018年建板楼  -  于洪区', '110万', '单价8731元/平米')
('https://image1.ljcdn.com/210100-inspection/8dec4f7b-2121-43de-978e-f310825b7bd0.jpg.296x216.jpg', '新城惠泽园 2室2厅 87万', '新城惠泽园  | 2室2厅 | 88.77平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  于洪区', '87万', '单价9801元/平米')
('https://image1.ljcdn.com/210100-inspection/b9dd906e-15e5-4337-9209-3fa7f00a1ef4.jpg.296x216.jpg', '满五南北标户不把不临 中间楼层 视野开阔 采光充足', '阳光尚城一期  | 2室2厅 | 85.5平米 | 南 北 | 简装', '中楼层(共6层)2009年建板楼  -  于洪区', '78万', '单价9123元/平米')
('https://image1.ljcdn.com/210100-inspection/e85c535a-0d99-4b24-a47b-e38e85651530.JPG.296x216.jpg', '南北通透户型 位置安静 3室2厅 多层中间楼层', '华锐桃源欣城  | 3室2厅 | 121平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  于洪区', '105万', '单价8678元/平米')
('https://image1.ljcdn.com/210100-inspection/c58f9fe5-81fd-4d51-9467-18bfaa8f08af.jpg.296x216.jpg', '银亿万万城 3室1厅 73万', '银亿万万城  | 3室1厅 | 99平米 | 南 北 | 毛坯', '高楼层(共6层)2008年建板楼  -  于洪区', '73万', '单价7374元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload434c95cb-743a-416f-8754-1fdeda1a52c8.JPG.296x216.jpg', '二环旁，亚都名苑，南向单间，中间楼层，急售', '亚都名苑  | 1室1厅 | 42.57平米 | 南 | 其他', '中楼层(共18层)2012年建板楼  -  于洪区', '30万', '单价7048元/平米')
('https://image1.ljcdn.com/210100-inspection/89cbbb16-bc42-4945-835a-0922d4ad20ab.JPG.296x216.jpg', '此房为中间楼层，采光好 ，采暖好交通便利 ，配套齐全', '龙腾金荷苑  | 2室2厅 | 109.9平米 | 南 北 | 精装', '中楼层(共6层)2005年建板楼  -  于洪区', '85万', '单价7735元/平米')
('https://image1.ljcdn.com/210100-inspection/c36c4388-33ae-4abb-974c-d0551fb97924.JPG.296x216.jpg', '依云北郡B区 六室两厅一厨二卫 精装修', '依云北郡B区  | 6室2厅 | 86.52平米 | 南 北 | 精装', '低楼层(共6层)板楼  -  于洪区', '88万', '单价10172元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload1d9e9745-2794-4a25-a046-b2b787df9b3b.JPG.296x216.jpg', '华锐桃源欣城 精装修 南北通透 采光充足 视野开阔', '华锐桃源欣城  | 2室2厅 | 83.73平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '67万', '单价8002元/平米')
('https://image1.ljcdn.com/210100-inspection/f65f7d84-8ee6-4a8d-ad68-b01a3ab86590.jpg.296x216.jpg', '恒大绿洲精装房源 河景房 优质园区', '恒大绿洲一期  | 3室2厅 | 112.95平米 | 南 西 北 | 精装', '高楼层(共32层)板楼  -  于洪区', '98.5万', '单价8721元/平米')
('https://image1.ljcdn.com/210100-inspection/dc3cdbff-40bc-480d-be50-c920172e778c.JPG.296x216.jpg', '标准南北通透两室 一楼带约60平大花园 不临街不把山', '绿地老街坊  | 2室2厅 | 90平米 | 南 北 | 精装', '低楼层(共23层)2013年建板楼  -  于洪区', '85万', '单价9445元/平米')
('https://image1.ljcdn.com/210100-inspection/ace00881-0979-433d-bc52-6659efc39b0b.jpg.296x216.jpg', '银亿万万城 2室1厅 36万', '银亿万万城  | 2室1厅 | 49.4平米 | 东 | 其他', '高楼层(共11层)2008年建板楼  -  于洪区', '36万', '单价7288元/平米')
('https://image1.ljcdn.com/210100-inspection/6bfd2132-80f6-4790-8399-eb3e467a3a69.jpg.296x216.jpg', '国奥现代城 3室2厅 110万', '国奥现代城  | 3室2厅 | 153.8平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '110万', '单价7153元/平米')
('https://image1.ljcdn.com/210100-inspection/87ec3441-8173-4ea5-8371-5057b94be114.JPG.296x216.jpg', '怒江北街 清水 大三室 交通便利 配套齐全', '七彩阳光  | 3室2厅 | 120.78平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  于洪区', '95万', '单价7866元/平米')
('https://image1.ljcdn.com/210100-inspection/59d42d75-ecda-4995-90cc-13de70a00e6a.JPG.296x216.jpg', '艾格尔E时代旁 乐天玛特 皇姑区 三台子站万科紫台旁', '艾格尔e时代  | 2室1厅 | 74.84平米 | 南 北 | 毛坯', '高楼层(共6层)2015年建板楼  -  于洪区', '61万', '单价8151元/平米')
('https://image1.ljcdn.com/210100-inspection/e0bed6c3-4fee-4158-867a-1222e7733503.jpg.296x216.jpg', '恒大绿洲于洪新城 中高楼层 视野好 精装修 拎包入住', '恒大绿洲一期  | 4室2厅 | 187.15平米 | 南 西 北 | 其他', '高楼层(共32层)板楼  -  于洪区', '150万', '单价8015元/平米')
('https://image1.ljcdn.com/210100-inspection/ac8b6dcd-1df6-4c55-b53f-474c6b1b63e3.jpg.296x216.jpg', '宏发三千院，精装修，屋内干净。', '宏发三千院  | 2室1厅 | 69.32平米 | 东南 | 其他', '低楼层(共35层)2009年建塔楼  -  于洪区', '55万', '单价7935元/平米')
('https://image1.ljcdn.com/210100-inspection/133324c0-274f-4d78-9d23-2dc80c315a0e.JPG.296x216.jpg', '七彩阳光   顶楼带阁楼  南向的', '七彩阳光  | 2室2厅 | 59.67平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '48万', '单价8045元/平米')
('https://image1.ljcdn.com/210100-inspection/60ea214c-34fe-4417-8ab5-8b05eb0f10bb.jpg.296x216.jpg', '于洪区 赤山路 南北通透 国奥现代城', '国奥现代城  | 2室2厅 | 100.1平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  于洪区', '65万', '单价6494元/平米')
('https://image1.ljcdn.com/210100-inspection/6081aedc-3ffb-4b8a-b352-cbc8eef20f83.JPG.296x216.jpg', '七彩阳光 南北通透  不把山  婚装  格局好', '七彩阳光  | 2室1厅 | 66.1平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  于洪区', '50万', '单价7565元/平米')
('https://image1.ljcdn.com/210100-inspection/e2af58d5-75bc-4e73-88f3-870c175348e3.jpg.296x216.jpg', '宏发英里 2室2厅 56万', '宏发英里  | 2室2厅 | 70平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  于洪区', '56万', '单价8000元/平米')
('https://image1.ljcdn.com/210100-inspection/b32f085d-dcd3-47a7-a047-4c9fccdb8e97.JPG.296x216.jpg', '依云北郡C区 2室1厅 56万', '依云北郡C区  | 2室1厅 | 75.45平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '56万', '单价7423元/平米')
('https://image1.ljcdn.com/210100-inspection/2266e556-5ce8-4b8d-aef9-e3be33b7d73b.jpg.296x216.jpg', '碧桂园银河城都荟 3室2厅 120万', '碧桂园银河城都荟  | 3室2厅 | 116.38平米 | 南 北 | 其他', '高楼层(共33层)板楼  -  于洪区', '120万', '单价10312元/平米')
('https://image1.ljcdn.com/210100-inspection/c6a2156d-2759-483e-a350-16874ddd8c11.jpg.296x216.jpg', '恒大绿洲八期 2室2厅 81万', '恒大绿洲八期  | 2室2厅 | 83平米 | 南 北 | 精装', '中楼层(共33层)暂无数据  -  于洪区', '81万', '单价9760元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload23bd35ef-c17f-4beb-8475-be5cbefe8f44.JPG.296x216.jpg', '于洪区 恒大一期 精装两室 中等楼层 采光好', '恒大城一期  | 2室2厅 | 95.58平米 | 东南 | 其他', '中楼层(共28层)2014年建板塔结合  -  于洪区', '76万', '单价7952元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc1835154-31fa-48e0-9204-b789f67ddf96.jpg.296x216.jpg', '顺丰新未来 多层南北四室 清水随意装修 采光好', '顺丰▪新未来  | 4室2厅 | 122.05平米 | 南 北 | 毛坯', '高楼层(共6层)板楼  -  于洪区', '95万', '单价7784元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload91fc9895-6d2c-4277-b3c9-e1ececf7996c.JPG.296x216.jpg', '多层4楼  不把山不临街 采光充足 房子保持好', '龙腾金荷苑  | 2室2厅 | 98.22平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  于洪区', '75万', '单价7636元/平米')
('https://image1.ljcdn.com/210100-inspection/8ebc1150-312b-42de-ad0f-f79f2baf54bf.jpg.296x216.jpg', '梧景新村 2室2厅 79万', '梧景新村  | 2室2厅 | 96.34平米 | 南 北 | 其他', '中楼层(共9层)暂无数据  -  于洪区', '79万', '单价8201元/平米')
('https://image1.ljcdn.com/210100-inspection/5cf3c965-ae96-49a0-849e-6a7c8871ab65.JPG.296x216.jpg', '此房为多层一楼，精装修 ，采光充足。物业管理不错。', '依云北郡A区  | 2室2厅 | 69.34平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  于洪区', '70万', '单价10096元/平米')
