('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload148a0280-b2b4-46ef-b187-27339d6859d8.JPG.296x216.jpg', '高品质小区，人车分流，板式户型，精装2+1户型', '大华锦绣华城(十四街区)  | 2室2厅 | 83.69平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2011年建板楼  -  北蔡', '698万', '单价83404元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b19c4410-4bea-42a3-bf1a-262b70c95f86.png.296x216.jpg', '南北通，带阳台，满五唯一，楼梯房3楼。', '十字街大楼  | 3室2厅 | 94.81平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1998年建板楼  -  惠南', '248万', '单价26158元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170820/7090c2e5-5f02-4c91-89d6-a1021037a885.jpg.296x216.jpg', '天鹅泉公寓 复式房  满五唯一   带产权车位', '天鹅泉公寓  | 5室2厅 | 214平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  外高桥', '888万', '单价41496元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171112/e8e1e52d-e86c-46ed-9ffc-d5453cb2a56c.jpg.296x216.jpg', '中间楼层，此房无增值税，满五年唯一，无个税', '花木苑  | 1室1厅 | 50.61平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  花木', '424万', '单价83778元/平米')
('https://image1.ljcdn.com/310000-inspection/e3632b12-003f-45a4-aa53-e78bf8726c72.jpg.296x216.jpg', '780万装修，白金瀚宫屋况装修宜居，拎包入住通透房', '白金瀚宫   | 独栋别墅 | 5室3厅 | 435.79平米 | 南 | 精装 | 无电梯', '3层2008年建板楼  -  唐镇', '3400万', '单价78020元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170321/dd32a9e2-66a9-4244-969d-b6feb8160625.jpg.296x216.jpg', '锦南浦三小区 地铁7号线 全南户型  精装修', '锦南浦三小区  | 2室1厅 | 69.03平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  南码头', '358万', '单价51862元/平米')
('https://image1.ljcdn.com/310000-inspection/test-701c47dc-2fbd-404a-b35f-ca77e5849379.png.296x216.jpg', '益丰新村 2室2厅 338万', '益丰新村  | 2室2厅 | 73.67平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  张江', '338万', '单价45881元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161229/7898cf5a-18dc-47e2-857b-b453ddabb091.jpg.296x216.jpg', '德盈佳园 2室1厅 210万', '德盈佳园  | 2室1厅 | 92.06平米 | 南 | 毛坯 | 有电梯', '高楼层(共11层)2008年建板楼  -  惠南', '210万', '单价22812元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160925/aeac2c79-2bb6-4885-900c-39cb8ea3306a.jpg.296x216.jpg', '由由四村 出行方便锦绣路地铁站 双南户型好 降价房源', '由由四村  | 2室1厅 | 67.34平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  北蔡', '355万', '单价52718元/平米')
('https://image1.ljcdn.com/310000-inspection/8b66c03c-4eda-4e7d-a7aa-7d957903eea5.jpg.296x216.jpg', '唯一一套前后无遮挡一房超宽楼距 轨交七号线零据离！', '由由七村  | 1室1厅 | 49.74平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  北蔡', '270万', '单价54283元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9c66e305-1825-49a6-b090-55296324de7b.png.296x216.jpg', '售后公房，满五年唯一，房东自住装修，已改成两房', '梅园五街坊  | 2室1厅 | 42.84平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1993年建板楼  -  源深', '525万', '单价122550元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170429/166762f5-f3e7-4593-bf88-4ac0d75dea3f.jpg.296x216.jpg', '天台星城电梯房 近永乐 少有二卫户型  满五唯一', '天台星城  | 2室2厅 | 100平米 | 南 | 精装 | 有电梯', '中楼层(共7层)2006年建板楼  -  康桥', '428万', '单价42800元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180108/898a0595-8fbf-469b-97d4-d300f4da655b.jpg.296x216.jpg', '世茂8号楼龙头位置三房 东西通透 次新房 没住过人！！', '世茂滨江花园  | 3室2厅 | 237.13平米 | 西 | 精装 | 有电梯', '中楼层(共62层)板楼  -  陆家嘴', '2050万', '单价86451元/平米')
('https://image1.ljcdn.com/310000-inspection/1aa7cd82-e9cc-45e4-8168-d0517341328f.jpg.296x216.jpg', '品质小区/一梯一户/人车分流/重新装修/满五唯一', '中房樱桃苑  | 2室2厅 | 100.9平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2006年建板楼  -  三林', '780万', '单价77305元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e1185c90-2530-4393-b998-c1c815de869d.png.296x216.jpg', '都林龙苑总价便宜的两房，南北双阳台，板式户型', '都林龙苑  | 2室2厅 | 90.74平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  三林', '545万', '单价60062元/平米')
('https://image1.ljcdn.com/shfdfs-image/20150917/e8c776e3-b470-4207-a6c4-c5180047765d.jpg.296x216.jpg', '小区中间位置，电梯七楼，采光无遮挡，视野好', '三林世博家园(东书房路560弄)  | 1室1厅 | 56.27平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2006年建板楼  -  三林', '300万', '单价53315元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171219/1916b56e-7d1e-4032-b50d-d20f825f24be.jpg.296x216.jpg', '房子顶楼带阁楼，3房3厅2卫，阁楼送小露台。', '保利金色唐城  | 3室1厅 | 81.02平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2008年建板楼  -  唐镇', '480万', '单价59245元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170411/c1216c40-69e4-4b93-8104-4f813dedfdd2.jpg.296x216.jpg', '船舶新村 1室1厅 195万', '船舶新村  | 1室1厅 | 35平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1953年建板楼  -  金桥', '195万', '单价55715元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160415/9590b961-f008-47db-b7f3-b5d87b9f146b.jpg.296x216.jpg', '可改（4）房+不靠路+产权（40万）车库+无个税+（NEW）', '张杨花苑  | 3室2厅 | 140.14平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2000年建板楼  -  洋泾', '950万', '单价67790元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload7fb4cf15-bdfb-4173-9f52-8e3965599366.jpg.296x216.jpg', '达城锦园 2室2厅 315万', '达城锦园  | 2室2厅 | 75.82平米 | 南 | 简装 | 有电梯', '高楼层(共14层)2010年建板楼  -  康桥', '315万', '单价41546元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2d4db667-3134-4440-976e-1b90a0ad04ef.png.296x216.jpg', '小区比较新 房型正气 看房方便', '阳光城丽景湾PLUS  | 2室2厅 | 88平米 | 暂无数据 | 毛坯', '低楼层(共18层)板楼  -  康桥', '430万', '单价48864元/平米')
('https://image1.ljcdn.com/310000-inspection/36dd8b76-55d6-401c-90be-212ceb5a71c5.jpg.296x216.jpg', '本月必卖：满五唯一，税费少，自住精装修，看房预约', '绿地康桥新苑  | 3室2厅 | 111.33平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2004年建板楼  -  康桥', '450万', '单价40421元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160519/dae3c324-3142-4e02-ae75-488293ae0826.jpg.296x216.jpg', '紫翠苑 精装三房 拎包入住 位置安静 满2年', '紫翠苑  | 3室2厅 | 101.5平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  高行', '500万', '单价49262元/平米')
('https://image1.ljcdn.com/310000-inspection/fb30e134-5c09-4894-8792-8ea43a420573.jpg.296x216.jpg', '16年买进1520万，今年11月8号满两年，二次装修有地暖', '世茂湖滨花园(公寓)  | 3室2厅 | 213.93平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2004年建板楼  -  碧云', '1700万', '单价79466元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170111/b516e560-8aef-41b7-b8e0-2e1d279d183b.jpg.296x216.jpg', '总高八楼带电梯，有钥匙随时可看！！！', '岭南苑(凌兆路127弄)  | 4室1厅 | 136.11平米 | 南 | 毛坯 | 有电梯', '中楼层(共8层)2004年建板楼  -  三林', '730万', '单价53634元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171207/b6f9d0b9-c5d2-49cb-9510-d255b29f89a5.jpg.296x216.jpg', '大华锦绣华城(一街区) 1室1厅 400万', '大华锦绣华城(一街区)  | 1室1厅 | 58.01平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2008年建板楼  -  北蔡', '400万', '单价68954元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170825/205a64ee-fcf1-4c5d-b605-4d446b2ca5f6.jpg.296x216.jpg', '证大家园，带阁楼，12号杨高北路，随时看房，诚意出售', '证大家园(公寓)  | 3室2厅 | 129.23平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2005年建板楼  -  金桥', '850万', '单价65775元/平米')
('https://image1.ljcdn.com/310000-inspection/5554f305-458f-485a-a8e4-20a89a6bb16b.JPG.296x216.jpg', '九街坊商品房，一梯两户，全明，双卧朝南，满五唯一', '金杨新村九街坊  | 2室1厅 | 82.42平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1996年建板楼  -  金杨', '505万', '单价61272元/平米')
('https://image1.ljcdn.com/310000-inspection/test-680699f3-e1c0-4d90-8cce-e0d21b219379.png.296x216.jpg', '爱家亚洲花园 3室2厅 980万', '爱家亚洲花园  | 3室2厅 | 139.55平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2004年建板楼  -  杨东', '980万', '单价70226元/平米')
('https://image1.ljcdn.com/310000-inspection/7da4635b-f6d2-4797-8d3b-25f551464727.jpg.296x216.jpg', '南北通透两房，中高区南面靠河，视野开阔', '惠康苑西苑  | 2室1厅 | 79平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共14层)2014年建板楼  -  惠南', '210万', '单价26583元/平米')
('https://image1.ljcdn.com/310000-inspection/075638bb-0c45-41bc-b819-99c7317da48b.jpg.296x216.jpg', '满五唯一 小区中间位置  飞机户型 采光很好', '锦绣天第花园  | 3室2厅 | 127.67平米 | 南 | 精装 | 有电梯', '中楼层(共9层)2001年建板楼  -  杨东', '1050万', '单价82244元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170528/86e81bf8-0af4-4d20-b0a8-0c70f9b3a057.jpg.296x216.jpg', '入则宁静,出则繁华~蓝村路边套两室户', '峨山小区  | 2室1厅 | 46.43平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1984年建板楼  -  塘桥', '310万', '单价66768元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171214/d0484f07-43fd-4dbf-8c85-43ac4343d25a.jpg.296x216.jpg', '伟业金锦苑二村 2室1厅 430万', '伟业金锦苑二村  | 2室1厅 | 77.99平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2003年建板楼  -  金桥', '430万', '单价55136元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171229/24f348ad-c180-4544-bd51-88e07f145e0d.jpg.296x216.jpg', '小区步行至地铁300米，三开间朝南大两房，满五唯一', '桃花源一村  | 2室2厅 | 98.49平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  惠南', '250万', '单价25384元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170415/7601f16f-0474-4f84-896d-2f166b343159.jpg.296x216.jpg', '万科清林径 3室2厅 347万', '万科清林径  | 3室2厅 | 94平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  新场', '347万', '单价36915元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170607/c3b566f6-50d5-4f74-8232-d7ed173e8ba3.jpg.296x216.jpg', '精装两房，多层高得房率，中间楼层满五年，交通便利！', '荷风翠庭  | 2室2厅 | 81.63平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2009年建板楼  -  泥城镇', '170万', '单价20826元/平米')
('https://image1.ljcdn.com/310000-inspection/test-91c84596-7237-4ad4-b228-1a93520e39ed.png.296x216.jpg', '临沂六村近地铁，中间楼层光线好，有钥匙看房方便', '临沂六村  | 1室1厅 | 37.31平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1992年建板楼  -  南码头', '215万', '单价57626元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0fcade7e-e8f5-4eb3-bd69-343045db53e8.png.296x216.jpg', '春港丽园 毛坯2房 业主诚意出售 价格可深谈', '春港丽园(公寓)  | 3室1厅 | 88.29平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2000年建板楼  -  张江', '418万', '单价47344元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160803/7d012073-4f19-4e1d-bc77-167365900302.jpg.296x216.jpg', '金禾新苑 全明一房 楼层好无遮挡，小区位置佳', '金禾新苑  | 1室1厅 | 58.79平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2006年建板楼  -  三林', '375万', '单价63787元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170823/13c1e444-7a09-45bb-b91c-0f8eaea7b0f6.jpg.296x216.jpg', '南北通，客厅带阳台，好楼层，自住装修，诚心出售', '锦园坊  | 2室2厅 | 98.32平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  惠南', '270万', '单价27462元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload8a5fcc85-156d-4454-8984-a16158d6bfcd.jpg.296x216.jpg', '房东主推，房型正气大方，满五唯一，高品质小区。', '吉园坊  | 2室1厅 | 75平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2008年建板楼  -  大团镇', '200万', '单价26667元/平米')
('https://image1.ljcdn.com/310000-inspection/3c582590-b9f7-4839-a3bb-53b76c6243df.jpg.296x216.jpg', '鹏丰苑 2室2厅 475万', '鹏丰苑  | 2室2厅 | 85.92平米 | 南 | 毛坯 | 有电梯', '低楼层(共17层)2010年建板楼  -  北蔡', '475万', '单价55284元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170115/32f1bbfe-4786-476f-bdd6-11bf4c6d5277.jpg.296x216.jpg', '一楼送地下室，精装修满两年 家具家电全送+急售', '东方冠郡  | 2室2厅 | 178平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2013年建板楼  -  新场', '355万', '单价19944元/平米')
('https://image1.ljcdn.com/310000-inspection/test-37d3312a-32cb-4d58-aa7c-3569f353ead1.png.296x216.jpg', '中虹家园 1室1厅 220万', '中虹家园  | 1室1厅 | 52.36平米 | 南 | 其他 | 有电梯', '高楼层(共14层)2011年建板楼  -  曹路', '220万', '单价42017元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180113/bfc1f972-cd44-45b1-8c22-07581e339d8e.jpg.296x216.jpg', '临河位置，景观楼层，南北通透，自住装修，拎包入住', '达城家园  | 2室2厅 | 78.46平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2008年建板楼  -  康桥', '320万', '单价40786元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170217/bd865ded-a3bc-47e0-9499-f7ca5ff04246.jpg.296x216.jpg', '花园位置，一手动迁，免增值税，免个税，诚意出售', '三林世博家园(大道站路94弄)  | 3室2厅 | 116.7平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  三林', '500万', '单价42845元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170709/9ce7cfcf-5758-4842-81d3-7d85e3f8477a.jpg.296x216.jpg', '婚房装修，电梯6楼，采光好，视野无遮挡，拎包入住', '三林世博家园(东书房路560弄)  | 3室1厅 | 97.07平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2006年建板楼  -  三林', '505万', '单价52025元/平米')
('https://image1.ljcdn.com/310000-inspection/2dc7954c-3a34-4aba-ac36-01986de51d4b.jpg.296x216.jpg', '前后无遮挡，视野不要太好，采光佳，买婚房，就选这套', '三林世博家园(新浦路199弄)  | 2室1厅 | 74.43平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2006年建板楼  -  三林', '380万', '单价51055元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1475f015-ad16-453b-80ec-33b9eeac93bc.jpg.296x216.jpg', '南北两房，随时可看，南北通透，一梯两户。', '香山新村东北街坊  | 2室1厅 | 63.44平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1997年建板楼  -  金杨', '340万', '单价53594元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160804/76683df5-b9fa-4281-bf72-287fabc63d05.jpg.296x216.jpg', '红光花苑 3室2厅 258万', '红光花苑  | 3室2厅 | 81.26平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2005年建板楼  -  惠南', '258万', '单价31750元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0bf19535-a0da-4cfc-9ab3-1d69b389a1c1.png.296x216.jpg', '盛大金磐 3室2厅 3300万', '盛大金磐  | 3室2厅 | 300.88平米 | 南 | 精装 | 有电梯', '低楼层(共47层)2005年建板楼  -  陆家嘴', '3300万', '单价109679元/平米')
('https://image1.ljcdn.com/310000-inspection/c0fd7365-eb5d-4c95-8c37-5decc7177975.jpg.296x216.jpg', '高品质小区 一梯二户 满五税少 花园位置 复式 采光好', '住友名人花园  | 3室2厅 | 153.27平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2000年建板楼  -  金杨', '1100万', '单价71769元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161204/b4452958-394f-4e43-945c-e2caed44dc69.jpg.296x216.jpg', '满五唯一 建平实验 未用 双线地铁', '金桥新家园  | 2室2厅 | 100.63平米 | 南 | 简装 | 有电梯', '高楼层(共20层)2000年建塔楼  -  金桥', '558万', '单价55451元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161029/132fca96-843a-4807-a7e5-b6cddb5a6468.jpg.296x216.jpg', '南北板式两房户型方正业主自住看房都方便赠送天井', '新世纪花苑(二期)(浦东)  | 2室1厅 | 66.38平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  世博', '400万', '单价60260元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload248c8d25-c407-49f7-8ba0-78346abfa3d2.jpg.296x216.jpg', '安阁苑 2室1厅 255万', '安阁苑  | 2室1厅 | 71.55平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2006年建板楼  -  周浦', '255万', '单价35640元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload9d0776b2-87e6-423e-8cc8-ecd91941ed37.JPG.296x216.jpg', '大华锦绣华城(十五街区) 3室2厅 870万', '大华锦绣华城(十五街区)  | 3室2厅 | 102.92平米 | 南 | 精装 | 有电梯', '中楼层(共18层)板楼  -  北蔡', '870万', '单价84532元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170723/62889574-768c-4d01-91a5-153186a154ea.jpg.296x216.jpg', '南北两房，楼层佳，视野开阔，双轨6+12号线，出行方便', '东陆新村四街坊  | 2室1厅 | 66平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  金桥', '335万', '单价50758元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180126/7ed16e4f-3cb8-42a4-bdd9-83c28dd87fbb.jpg.296x216.jpg', '东区精装修一房 景观房 楼层好 采光效果不靠高压马路', '绿洲康城亲水湾(东区)  | 1室2厅 | 67.91平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2010年建板楼  -  御桥', '365万', '单价53748元/平米')
('https://image1.ljcdn.com/310000-inspection/b305dc93-c171-4166-9426-9e90d0e6ed86.JPG.296x216.jpg', '由由六村 地铁7号线 动迁税少 全明都有窗 花木街道管', '由由六村  | 3室1厅 | 87.24平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  北蔡', '460万', '单价52729元/平米')
('https://image1.ljcdn.com/310000-inspection/test-eee91bbc-3b1e-4106-a94e-4326861e9203.png.296x216.jpg', '小区中间位置。满五年。看房 有钥匙', '欧风家园  | 3室2厅 | 94.77平米 | 南 | 其他 | 有电梯', '中楼层(共12层)板楼  -  周浦', '360万', '单价37987元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170224/4b960f3b-8c7d-4f00-bf98-6f81143767a8.jpg.296x216.jpg', '花园洋房，送露台，近乎毛坯房可根据自己自己喜好装修', '大华锦绣华城(十六街区)(公寓)  | 2室2厅 | 103.61平米 | 南 | 简装 | 无电梯', '中楼层(共4层)2008年建板楼  -  北蔡', '880万', '单价84934元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5683be6e-8f72-4beb-9896-05f6b24eb11a.jpg.296x216.jpg', '华夏东路地铁口下叠别墅  满五年唯一 精装修', '华夏金桂苑(公寓)  | 3室2厅 | 149.8平米 | 南 | 精装 | 无电梯', '低楼层(共3层)2000年建板楼  -  川沙', '705万', '单价47063元/平米')
('https://image1.ljcdn.com/310000-inspection/0a9fee6d-57f5-43f8-974b-2c1544dedd0e.jpg.296x216.jpg', '西边套，户型好，房东诚意卖，精装小三房，看房提前约', '金领国际(公寓)  | 3室2厅 | 84.84平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2009年建板楼  -  曹路', '363万', '单价42787元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8f883eda-f373-45fb-bb91-18f6323984d3.png.296x216.jpg', '新发坡开发商设计+全南景观电梯大三房3阳台+11号线！', '古银杏苑  | 3室2厅 | 112.7平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)1999年建塔楼  -  三林', '520万', '单价46141元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160716/cc792667-e4fb-47df-bccd-cd7ec1089bb8.jpg.296x216.jpg', '金泽苑 2室2厅 510万', '金泽苑  | 2室2厅 | 85.8平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  金桥', '510万', '单价59441元/平米')
('https://image1.ljcdn.com/310000-inspection/test-48a41182-50f4-43b3-8bc4-e4586a07642e.png.296x216.jpg', '钥匙房 满五年税费少中间楼层小区央位仅此一套南北通', '芳华路713弄  | 2室1厅 | 65.55平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  北蔡', '360万', '单价54920元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload86385b2c-7b01-466a-9743-9cce71e69d99.jpg.296x216.jpg', '金利正气大三房 一手动迁满五唯一省税费 送36平大院子', '金利公寓  | 3室2厅 | 123平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2008年建板楼  -  唐镇', '460万', '单价37399元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170613/621c40ff-b115-497e-9cfb-d78ec38e859a.jpg.296x216.jpg', '6+10双轨，满五唯一，精装修，西       校，急售', '潼港八村  | 2室1厅 | 64.37平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  外高桥', '255万', '单价39615元/平米')
('https://image1.ljcdn.com/310000-inspection/test-43f854e8-2605-455a-87e1-86b91d853b9a.png.296x216.jpg', '满五唯一，南北通透户型，小区唯一在售三房', '中房樱桃苑  | 3室2厅 | 134.21平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2006年建板楼  -  三林', '970万', '单价72275元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1dd03322-7d76-4460-860b-addd08b36837.png.296x216.jpg', '自住精装大三房，位置好！满五唯一，少税！好房随时看', '新天家园  | 3室2厅 | 129.12平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2001年建板楼  -  源深', '1160万', '单价89839元/平米')
('https://image1.ljcdn.com/310000-inspection/test-61d52ee5-f88c-48d6-875e-c25ef01b473d.png.296x216.jpg', '中海御景溪岸F户型 前排别墅，景观位置，看房提前预约', '中海御景熙岸(公寓)  | 2室2厅 | 87.16平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2011年建板楼  -  三林', '450万', '单价51630元/平米')
('https://image1.ljcdn.com/310000-inspection/test-530eb1be-90a3-4bca-b83c-abcceb7f2368.png.296x216.jpg', '大华锦绣华城(四街区) 1室1厅 380万', '大华锦绣华城(四街区)  | 1室1厅 | 56.18平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2010年建板楼  -  北蔡', '380万', '单价67640元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160703/ca6eff05-230a-45d9-a59e-c76b9b75816d.jpg.296x216.jpg', '金桥名都，86平，04年商品房，不靠马路，有钥匙，', '金桥名都  | 1室2厅 | 86.13平米 | 暂无数据 | 简装 | 有电梯', '低楼层(共13层)2004年建板楼  -  金桥', '540万', '单价62696元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload025075f3-b606-4ed4-8b8a-e6b23ba727ab.JPG.296x216.jpg', '满五唯一  看房方便   顶楼复式  带露台', '圣鑫苑  | 4室3厅 | 92.56平米 | 南 | 毛坯 | 有电梯', '高楼层(共14层)2011年建板楼  -  周浦', '535万', '单价57801元/平米')
('https://image1.ljcdn.com/310000-inspection/test-25abc890-d282-47d4-bc76-d68cab5cb6a3.png.296x216.jpg', '送家具+ 急售南北户型+小区花园位置+ 中间楼层', '锦博苑  | 2室1厅 | 79.52平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2007年建板楼  -  北蔡', '500万', '单价62878元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170607/600f766a-6005-4044-b705-3f18298f7988.jpg.296x216.jpg', '潼港八村两房，满五·唯一，近地铁', '潼港八村  | 2室1厅 | 71.85平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  外高桥', '288万', '单价40084元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5aaaa144-11e4-439d-85e3-c1407ab8acab.png.296x216.jpg', '绿地三期南北通户型 中间位置 总价低', '绿地东上海  | 2室2厅 | 89.65平米 | 南 | 毛坯 | 有电梯', '低楼层(共17层)2014年建板楼  -  周浦', '460万', '单价51311元/平米')
('https://image1.ljcdn.com/310000-inspection/test-97baa4cd-d370-4d77-bb22-3abd338f3f7c.png.296x216.jpg', '（降价15万）+（内环电梯房）+免增值税 免个税=好房。', '新领地  | 1室1厅 | 62.7平米 | 北 | 精装 | 有电梯', '中楼层(共29层)2002年建塔楼  -  花木', '290万', '单价46252元/平米')
('https://image1.ljcdn.com/310000-inspection/cdeddf3b-37fc-47ea-97bd-14882ca1f01e.jpg.296x216.jpg', '电梯2房 精装修 满五年唯一 业主腾资质 价位可谈', '达城家园  | 2室2厅 | 76.13平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2008年建板楼  -  康桥', '300万', '单价39407元/平米')
('https://image1.ljcdn.com/310000-inspection/1dba728b-2b29-4001-b255-cbfc3fe520ce.jpg.296x216.jpg', '2013年商品房，楼层好位置佳地铁近，百万装修赠送', '汇智湖畔家园  | 3室2厅 | 148.95平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2013年建板楼  -  张江', '1240万', '单价83250元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171224/0eda10fc-fc8e-4a69-a2f6-633fa7de313a.jpg.296x216.jpg', '金杨二街坊：60.06平、精装修20万、看房有钥匙', '金杨二街坊  | 2室1厅 | 60.06平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  金杨', '360万', '单价59941元/平米')
('https://image1.ljcdn.com/310000-inspection/test-34eea025-c3c4-4b9d-b676-367983116f67.png.296x216.jpg', '两房毛坯。超低价格，无抵押。环境好，采光好，总价低', '中虹家园  | 2室1厅 | 69平米 | 南 | 毛坯 | 有电梯', '高楼层(共14层)2011年建板楼  -  曹路', '280万', '单价40580元/平米')
