('https://image1.ljcdn.com/210200-inspection/test-dcd62141-21c7-4d86-950f-713e1e1aecf0.png.296x216.jpg', '侯一小区 1室1厅 51万', '侯一小区  | 1室1厅 | 49.43平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1993年建板楼  -  侯家沟', '51万', '单价10318元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d75d57bb-52c8-4647-b53e-b8e8258bcf0f.png.296x216.jpg', '马栏广场南北通透，三室明厅，交通便利近地铁，婚装', '益嘉广场  | 3室2厅 | 101.28平米 | 南 北 | 精装 | 有电梯', '中楼层(共27层)2012年建塔楼  -  马栏', '209万', '单价20636元/平米')
('https://image1.ljcdn.com/210200-inspection/c9c1c6ba-a4ac-426c-aa76-f480174a2c3d.jpg.296x216.jpg', '桃山小区 2室2厅 89万', '桃山小区  | 2室2厅 | 86.14平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  南沙', '89万', '单价10333元/平米')
('https://image1.ljcdn.com/210200-inspection/bba8636a-2816-4760-86dd-d0ae778a6794.JPG.296x216.jpg', '锦霞南园，地脚好，无坡，超低价两室户型，出行方便', '锦霞南园  | 2室2厅 | 77.1平米 | 东 西 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  锦绣', '77万', '单价9988元/平米')
('https://image1.ljcdn.com/210200-inspection/94b3620e-c645-495d-ae30-f3e767b9c12c.JPG.296x216.jpg', '三室二厅，户型规矩，位置佳，楼层好，保持可以。', '天河新苑  | 3室2厅 | 84.12平米 | 南 西 北 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  阳光月秀', '130万', '单价15455元/平米')
('https://image1.ljcdn.com/210200-inspection/test-3f222916-09d1-40bb-b57a-4b4dddfac9db.png.296x216.jpg', '楼层低南北通透格局规整上知行中小院校封闭看房方便', '锦绣园  | 2室2厅 | 80.18平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)2000年建板楼  -  锦绣', '120万', '单价14967元/平米')
('https://image1.ljcdn.com/210200-inspection/test-fe6f8f56-9fdb-4717-a201-d20b3b7dbd4a.png.296x216.jpg', '锦虹北园 2室1厅 68.5万', '锦虹北园  | 2室1厅 | 57.33平米 | 东 南 北 | 简装 | 无电梯', '中楼层(共8层)1999年建板楼  -  锦绣', '68.5万', '单价11949元/平米')
('https://image1.ljcdn.com/210200-inspection/10b88a81-7e2f-4e69-a645-9a74aebe85c8.JPG.296x216.jpg', '西沟小区 2室1厅 70万', '西沟小区  | 2室1厅 | 57.68平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)1990年建板楼  -  孙家沟', '70万', '单价12136元/平米')
('https://image1.ljcdn.com/210200-inspection/test-376e8b7c-1537-4f75-ad37-03d2c46731c4.png.296x216.jpg', '台山南岳街南北向两室一厅，近车站市场', '台山  | 2室2厅 | 86.14平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  南沙', '76.8万', '单价8916元/平米')
('https://image1.ljcdn.com/210200-inspection/test-8b24b2c7-e8fe-4c9a-b3af-d14418c4150e.png.296x216.jpg', '西安路商圈，兴工街优质房源，交通便利，地铁房。', '机车商厦  | 2室1厅 | 68.27平米 | 西北 | 简装 | 有电梯', '高楼层(共18层)板塔结合  -  西安路', '93万', '单价13623元/平米')
('https://image1.ljcdn.com/210200-inspection/7d2015b7-e748-4cd2-884e-ba58580fb124.JPG.296x216.jpg', '锦华北园 2室1厅 82万', '锦华北园  | 2室1厅 | 71.12平米 | 东 西 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  锦绣', '82万', '单价11530元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0abb2ad7-93d6-4806-a3c9-be07f6a0ddf0.png.296x216.jpg', '壹品三期海景房 精装修 保持好 可以直接入住', '壹品星海三期  | 3室2厅 | 187.22平米 | 南 北 | 精装 | 有电梯', '高楼层(共33层)2007年建板楼  -  星海广场', '500万', '单价26707元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ad513c10-3e36-4dd1-b804-e595367e0a66.png.296x216.jpg', '西安路商圈 南北向两室 采光好 五明户型', '兴工街  | 2室1厅 | 55.51平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)暂无数据  -  西安路', '72万', '单价12971元/平米')
('https://image1.ljcdn.com/210200-inspection/test-6e4e992f-8a7a-4c68-8eeb-70668db891e8.png.296x216.jpg', '同泰花园 3室2厅 345万', '同泰花园  | 3室2厅 | 136.18平米 | 南 北 | 其他 | 有电梯', '中楼层(共5层)2003年建板楼  -  太原街', '345万', '单价25335元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c03aff4a-a901-44cc-ab33-f99df8b292cb.png.296x216.jpg', '79中学中盈家园 2室1厅 220万', '79中学中盈家园  | 2室1厅 | 110.54平米 | 西北 | 简装 | 有电梯', '高楼层(共32层)2002年建板楼  -  中山公园', '220万', '单价19903元/平米')
('https://image1.ljcdn.com/210200-inspection/test-fdbf2933-e4e4-4c2a-a0e3-b6bf74f7e1ba.png.296x216.jpg', '绿波花园，小跃层3室，房款低。', '绿波花园  | 2室1厅 | 53.2平米 | 西 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  绿波', '63万', '单价11843元/平米')
('https://image1.ljcdn.com/210200-inspection/641616e3-b1f3-4725-975b-33108214a0a2.jpg.296x216.jpg', '金福小区 中间楼层 南北通透户型 采光好', '金福小区  | 2室1厅 | 83.21平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  辽师', '101万', '单价12138元/平米')
('https://image1.ljcdn.com/210200-inspection/3073de29-6a46-46a1-89b4-5ac8487b1d6a.jpg.296x216.jpg', '西安路商圈 昌平小区 四楼南北向田字格户型 看房方便', '北昌平小区  | 3室1厅 | 91平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  西安路', '121万', '单价13297元/平米')
('https://image1.ljcdn.com/210200-inspection/fc52588f-4ddf-4401-bbb8-33398358b340.jpg.296x216.jpg', '西安路北昌平小区二楼南北向两室简单装修近车站', '北昌平小区  | 2室0厅 | 44.06平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  西安路', '60万', '单价13618元/平米')
('https://image1.ljcdn.com/210200-inspection/06074f3f-9863-4b79-aefc-2fb2462330c5.jpg.296x216.jpg', '79中小 跃层房子 清水 5室有阳台赠送 南北通透', '79中金光小区  | 5室2厅 | 206.22平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共7层)1998年建板楼  -  中山公园', '325万', '单价15760元/平米')
('https://image1.ljcdn.com/210200-inspection/79a5a159-a43e-4fba-8954-93eed44753a1.JPG.296x216.jpg', '锦云南园 2室2厅 房子是房主刚装修完的  保持好', '锦云南园  | 2室2厅 | 95.01平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1996年建板楼  -  锦绣', '90万', '单价9473元/平米')
('https://image1.ljcdn.com/210200-inspection/test-97e7e07e-c12b-4833-9fcb-a1b40430deb5.png.296x216.jpg', '百年汇 1室2厅 150万', '百年汇  | 1室2厅 | 97.15平米 | 西 | 其他 | 有电梯', '中楼层(共12层)2007年建板楼  -  星海广场', '150万', '单价15441元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload5b24d9c6-0b54-45a5-8928-b5fad8da1002.jpg.296x216.jpg', '壹品星海一期 三室南北通厅 得房高 采光好', '壹品星海一期  | 3室2厅 | 158.53平米 | 南 北 | 其他 | 有电梯', '中楼层(共12层)2005年建板楼  -  星海广场', '390万', '单价24602元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload6f089c60-f2a2-4f74-b5f3-dd6a2288a702.jpg.296x216.jpg', '79中永平社区，低楼层，采光好，精装修。', '79中永平  | 1室1厅 | 51.85平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1995年建板楼  -  中山公园', '207万', '单价39923元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c356835d-1e8c-47cd-a250-5ee3316170ce.png.296x216.jpg', '格致中小 学 区 ,师资力量雄厚,人文环境突出,跃层', '幸福e家三期  | 1室1厅 | 61.67平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2004年建板楼  -  幸福e家', '248万', '单价40215元/平米')
('https://image1.ljcdn.com/210200-inspection/test-b63962df-4218-4251-937e-c2dd6a9ccf3e.png.296x216.jpg', '马栏 万合新家园 多层洋房 两室南北通厅', '万合新家园  | 2室2厅 | 95.2平米 | 南 北 | 精装 | 无电梯', '低楼层(共7层)2004年建板楼  -  马栏', '178万', '单价18698元/平米')
('https://image1.ljcdn.com/210200-inspection/test-432840ea-6df9-44cb-9828-9240dbc151ab.png.296x216.jpg', '星海公园 2室1厅 61万', '星海公园  | 2室1厅 | 50.74平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)1990年建板楼  -  黑石礁', '61万', '单价12023元/平米')
('https://image1.ljcdn.com/210200-inspection/test-e0b65a49-738e-4be7-a66f-4f17642bfba5.png.296x216.jpg', '东方星海 1室1厅 101万', '东方星海  | 1室1厅 | 55.17平米 | 西 | 简装 | 有电梯', '高楼层(共30层)2009年建板楼  -  星海广场', '101万', '单价18308元/平米')
('https://image1.ljcdn.com/210200-inspection/e91e4b13-85ea-429c-840b-e20f65a40df4.jpg.296x216.jpg', '太原街 2室2厅 105万', '太原街  | 2室2厅 | 83.91平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  太原街', '105万', '单价12514元/平米')
('https://image1.ljcdn.com/210200-inspection/test-b1b6a851-017a-47f4-b497-389ee6d15593.png.296x216.jpg', '黑石礁富丽庭 中间楼层 三室平层户型 可看海 交通便利', '富丽庭  | 3室2厅 | 109平米 | 南 北 | 精装 | 有电梯', '中楼层(共32层)2010年建板楼  -  黑石礁', '218万', '单价20000元/平米')
('https://image1.ljcdn.com/210200-inspection/7273602d-029c-47c3-afd4-c7aa6006ba7f.jpg.296x216.jpg', '单价低,两室户型,就在星海广场,离地铁站公有50米远', '星海花园  | 2室1厅 | 99.9平米 | 南 | 精装 | 有电梯', '中楼层(共18层)1998年建板楼  -  星海广场', '120万', '单价12013元/平米')
('https://image1.ljcdn.com/210200-inspection/test-72154aa9-4d60-43ca-9b42-97b0459fdca3.png.296x216.jpg', '电力公寓两室户型精装修地理位置好生活配套齐全', '电力公寓  | 2室1厅 | 92.4平米 | 东北 | 简装 | 有电梯', '低楼层(共30层)2000年建塔楼  -  和平广场', '130万', '单价14070元/平米')
('https://image1.ljcdn.com/210200-inspection/test-2ed295a8-dde0-447b-9fc9-eaf71f043bcd.png.296x216.jpg', '新上幸福小区2室南北标准户型中间楼层', '幸福小区  | 2室1厅 | 61.59平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  辽师', '85万', '单价13801元/平米')
('https://image1.ljcdn.com/210200-inspection/e6201029-95c3-4e60-b4a0-25cfdaf00f5d.jpg.296x216.jpg', '星海广场，壹品星海，精装两室，海景', '壹品星海公寓  | 2室1厅 | 78.45平米 | 东南 | 精装 | 有电梯', '高楼层(共25层)2003年建板塔结合  -  星海广场', '135万', '单价17209元/平米')
('https://image1.ljcdn.com/210200-inspection/test-8120b614-235e-4019-8d14-66bf4fca6f32.png.296x216.jpg', '大华御庭一期，户型规矩，视野好，前面无遮挡', '大华御庭  | 2室1厅 | 83.78平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2009年建板楼  -  星海人家商圈', '200万', '单价23873元/平米')
('https://image1.ljcdn.com/210200-inspection/test-1d19bbe3-bde0-4d69-ac08-3b9ebc931ec9.png.296x216.jpg', '同泰街 太原街商圈 配套齐全 地角好', '同泰街  | 3室1厅 | 72.34平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  太原街', '85万', '单价11751元/平米')
('https://image1.ljcdn.com/210200-inspection/70f06336-7060-4bb3-b47e-568d9e47cb18.jpg.296x216.jpg', '孙家沟中间楼层 无坡位置 精装修 保持干净', '孙家沟  | 1室1厅 | 53.9平米 | 东 北 | 精装 | 无电梯', '中楼层(共7层)1995年建板楼  -  孙家沟', '65万', '单价12060元/平米')
('https://image1.ljcdn.com/210200-inspection/7cb9b57f-0256-44cc-83ad-edfe46cc385b.jpg.296x216.jpg', '辽师 西关街 两室一厅 装修好 拎包就住 近地铁', '西关街  | 2室1厅 | 69.32平米 | 东 西 | 简装 | 无电梯', '中楼层(共7层)1997年建板楼  -  辽师', '73.8万', '单价10647元/平米')
('https://image1.ljcdn.com/210200-inspection/test-54bb84dc-6991-48fb-8c7b-6154571bb221.png.296x216.jpg', '北昌平小区 2室1厅 70万', '北昌平小区  | 2室1厅 | 49.96平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1993年建板楼  -  西安路', '70万', '单价14012元/平米')
('https://image1.ljcdn.com/210200-inspection/test-40c8a55f-dc60-454d-b670-cca1537c0aed.png.296x216.jpg', '精装修一室一厅，交通便利，近地铁。', '西关街  | 1室1厅 | 48.66平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1997年建板楼  -  辽师', '58.8万', '单价12084元/平米')
('https://image1.ljcdn.com/210200-inspection/test-11b30999-46c9-4182-b50f-87582d850414.png.296x216.jpg', '天河新苑多层三室，南北通透，户型好.', '天河新苑  | 3室2厅 | 114.34平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  阳光月秀', '140万', '单价12245元/平米')
('https://image1.ljcdn.com/210200-inspection/test-363d2894-eb5f-4f91-9ab1-4bf61182edc1.png.296x216.jpg', '西安路 70年产权 经典小户型 双南卧室 楼下地铁口', '西安路公寓  | 2室1厅 | 61.4平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2000年建板楼  -  中山公园', '90万', '单价14658元/平米')
('https://image1.ljcdn.com/210200-inspection/test-5681a5e3-958e-405a-9231-328e4caac2aa.png.296x216.jpg', '西安路罗斯福身后北昌平小区三室一厅多层四楼', '北昌平小区  | 3室1厅 | 77.75平米 | 南 西 | 简装 | 无电梯', '中楼层(共7层)1994年建板楼  -  西安路', '106万', '单价13634元/平米')
('https://image1.ljcdn.com/210200-inspection/16f5a742-4808-4382-9b7a-a876bd40c1e3.jpg.296x216.jpg', '独立卧室独立客厅,双窗,离地铁站仅10米远,保持干净', '东方星海  | 1室1厅 | 62平米 | 东 | 精装 | 有电梯', '中楼层(共30层)2009年建板楼  -  星海广场', '105.5万', '单价17017元/平米')
('https://image1.ljcdn.com/210200-inspection/test-131dae33-504d-422b-8a00-32be027ca6db.png.296x216.jpg', '幸福E家  两居室 送阳台 产权清晰  随时过户！！', '幸福e家二期  | 2室2厅 | 69.44平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2003年建板楼  -  幸福e家', '289万', '单价41619元/平米')
('https://image1.ljcdn.com/210200-inspection/de628c48-220b-4b2a-86a3-a7470384632f.jpg.296x216.jpg', '三室南北通透 近和平广场 近幼儿园 实验校区 环境好', '星海人家  | 3室2厅 | 130.75平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  星海人家商圈', '350万', '单价26769元/平米')
('https://image1.ljcdn.com/210200-inspection/a84f5de7-9167-4587-918d-578e01aa0caf.jpg.296x216.jpg', '壹品星海公寓 两室一厅 海景房看广场 装修保持好', '壹品星海公寓  | 2室1厅 | 78.45平米 | 西南 | 精装 | 有电梯', '高楼层(共25层)2003年建板塔结合  -  星海广场', '145万', '单价18484元/平米')
('https://image1.ljcdn.com/210200-inspection/test-181add08-e18d-4da5-92a5-182d569f6f48.png.296x216.jpg', '星海融汇 3室1厅 245万', '星海融汇  | 3室1厅 | 109.75平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2016年建板楼  -  莲花白云', '245万', '单价22324元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload979aa00d-4852-4f5b-905c-1667eb56e766.JPG.296x216.jpg', '锦泉南园，一楼，可以当门头．地角位置良好', '锦泉南园  | 2室1厅 | 74.64平米 | 南 西 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  锦绣', '110万', '单价14738元/平米')
('https://image1.ljcdn.com/210200-inspection/test-aecd6a65-0fe4-4296-9353-648b7e720ad3.png.296x216.jpg', '壹品星海公寓 1室1厅 103万', '壹品星海公寓  | 1室1厅 | 59.64平米 | 西南 | 简装 | 有电梯', '高楼层(共25层)2003年建板塔结合  -  星海广场', '103万', '单价17271元/平米')
('https://image1.ljcdn.com/210200-inspection/0feedf91-548b-44cf-859e-9b2897b23826.jpg.296x216.jpg', '精装修婚房，拎包即住，随时可以看房。', '马栏小学北  | 3室1厅 | 65平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  马栏', '73万', '单价11231元/平米')
('https://image1.ljcdn.com/210200-inspection/f9bd7be5-7cc8-4b4e-b6f0-cf0a11bebd1d.jpg.296x216.jpg', '阳光月秀 2室1厅 170万', '阳光月秀  | 2室1厅 | 93.79平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  阳光月秀', '170万', '单价18126元/平米')
('https://image1.ljcdn.com/210200-inspection/test-de8b1fcd-a4c0-4d93-9fe2-d9b1b8a02ee0.png.296x216.jpg', '星海融汇 2室1厅 178万', '星海融汇  | 2室1厅 | 81.12平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2016年建板楼  -  莲花白云', '178万', '单价21943元/平米')
('https://image1.ljcdn.com/210200-inspection/test-fae27048-df6c-4808-93be-e9a5b7859d91.png.296x216.jpg', '79中科学家公寓 2室1厅 180万', '79中科学家公寓  | 2室1厅 | 76.17平米 | 南 | 简装 | 有电梯', '高楼层(共30层)1998年建板楼  -  中山公园', '180万', '单价23632元/平米')
('https://image1.ljcdn.com/210200-inspection/test-8b5c1c10-279c-4ba0-9196-ba31a7b6ac69.png.296x216.jpg', '单价低，房主诚心卖，近夜市，车站，地铁等，配套全', '侯二小区  | 2室1厅 | 63.14平米 | 东 西 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  侯家沟', '53万', '单价8395元/平米')
('https://image1.ljcdn.com/210200-inspection/fe6eb313-2d7b-4b52-9505-c8633e5e6236.jpg.296x216.jpg', '马栏，绿波，新华同仁轩精装两室，南北通透', '新华同仁轩  | 2室2厅 | 53.73平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2005年建板楼  -  阳光月秀', '125万', '单价23265元/平米')
('https://image1.ljcdn.com/210200-inspection/d91c22c9-ae70-4012-9c60-3326069c1dbb.JPG.296x216.jpg', '锦绣近市场近车站 2室2厅南北通透 精装修 空间大', '锦霞北园  | 2室2厅 | 86.66平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1999年建板楼  -  锦绣', '125万', '单价14425元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f4e9728f-4e3f-45a6-88d7-cb6a57e35be4.png.296x216.jpg', '孙家沟 2室1厅 66.5万', '孙家沟  | 2室1厅 | 55.46平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1990年建板楼  -  孙家沟', '66.5万', '单价11991元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload94223c94-ef39-46ba-be40-6ae42415197b.jpg.296x216.jpg', '星海中龙园 2室1厅 215万', '星海中龙园  | 2室1厅 | 119.11平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  星海人家商圈', '215万', '单价18051元/平米')
('https://image1.ljcdn.com/210200-inspection/3520ba8a-95d7-4648-9496-741c651240ce.jpg.296x216.jpg', '东方星海 独立一室一厅 装修好 一眼即中', '东方星海  | 1室1厅 | 61.38平米 | 东 | 精装 | 有电梯', '中楼层(共30层)2009年建板楼  -  星海广场', '105万', '单价17107元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c97818a7-26b2-4fa8-b4b3-96765a772394.png.296x216.jpg', '79中城市公元 1室1厅 162万', '79中城市公元  | 1室1厅 | 53.88平米 | 西 | 精装 | 有电梯', '高楼层(共31层)2009年建板楼  -  中山公园', '162万', '单价30067元/平米')
('https://image1.ljcdn.com/210200-inspection/17ea31b5-c2f4-4709-8ae1-9908f079d78b.JPG.296x216.jpg', '绿波小区\u3000三室户型好\u3000单价低\u3000适合年轻人居住', '绿波小区  | 3室2厅 | 123.81平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  绿波', '115万', '单价9289元/平米')
('https://image1.ljcdn.com/210200-inspection/efe50978-2e5b-49c9-b563-955c5ce4a672.jpg.296x216.jpg', '亿达杰特 1室0厅 50平 精装 交通便利近地铁', '亿达杰特  | 1室0厅 | 50.03平米 | 西 | 精装 | 有电梯', '低楼层(共34层)2005年建板塔结合  -  星海广场', '82万', '单价16391元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload1612eaba-bade-4b7a-be70-77f122cdd7ff.jpg.296x216.jpg', '南北朝向 双南卧室 西明厅 带北阳台 知行校区', '枫林绿洲  | 2室1厅 | 62.27平米 | 南 西 北 | 毛坯 | 无电梯', '低楼层(共6层)2008年建板楼  -  绿波', '94万', '单价15096元/平米')
('https://image1.ljcdn.com/210200-inspection/4df23e85-055d-4b25-b4d4-19421fbc2165.jpg.296x216.jpg', '两室一厅交通便捷装修十分不错的优质房源', '富华山庄  | 2室1厅 | 82.7平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  孙家沟', '115万', '单价13906元/平米')
('https://image1.ljcdn.com/210200-inspection/test-4e54484c-bdd4-4eed-ad24-2e603434881c.png.296x216.jpg', '新房现房装修好随时看房，视野好采光充足交通好配套全', '御园  | 2室1厅 | 77.24平米 | 南 | 精装', '低楼层(共28层)2015年建板楼  -  阳光月秀', '137万', '单价17737元/平米')
('https://image1.ljcdn.com/210200-inspection/test-8cbc724d-aeda-43bd-8d78-3d9fb7102a13.png.296x216.jpg', '锦虹北园 两室一厅 南北向西明厅采光好 近市场车站', '锦虹北园  | 2室1厅 | 66.39平米 | 南 西 北 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  锦绣', '76万', '单价11448元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f47b5c8c-2712-4dc6-a5ee-313fc60b38f0.png.296x216.jpg', '侯二小区 2室1厅 56万', '侯二小区  | 2室1厅 | 53.93平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  侯家沟', '56万', '单价10384元/平米')
('https://image1.ljcdn.com/210200-inspection/635ede95-9494-45cb-91d9-4865d3e6fa42.jpg.296x216.jpg', '阳光月秀 温暖小两室 纯南向 装修好 保持干净 有车位', '阳光月秀  | 2室1厅 | 60.39平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2006年建板楼  -  阳光月秀', '95万', '单价15732元/平米')
('https://image1.ljcdn.com/210200-inspection/e7297a34-7a92-4968-b3cf-789995d67e84.jpg.296x216.jpg', '南沙台山 精装三室 干净整洁 交通便利', '台山  | 3室2厅 | 107.15平米 | 南 北 | 简装 | 无电梯', '低楼层(共8层)板楼  -  南沙', '110万', '单价10266元/平米')
('https://image1.ljcdn.com/210200-inspection/test-49199b38-ef90-4d5f-b444-3b0d842e824c.png.296x216.jpg', '星海国宝 南北通透 婚房装修 拎包入住', '星海国宝  | 3室2厅 | 193.09平米 | 南 北 | 其他 | 有电梯', '低楼层(共30层)2003年建板楼  -  星海广场', '520万', '单价26931元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0f8e124f-46e9-4151-aee3-fe37a27c0c61.png.296x216.jpg', '十三中中前面两室小户型南北通透采光充足', '北昌平小区  | 2室0厅 | 44.58平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1993年建板楼  -  西安路', '54万', '单价12114元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd26f0590-56b8-4708-8cf0-2fbec4c6faf4.JPG.296x216.jpg', '户型好，采光好，地脚好，出行方便 房子保持干净', '锦云南园  | 1室1厅 | 47.99平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1996年建板楼  -  锦绣', '48.8万', '单价10169元/平米')
('https://image1.ljcdn.com/210200-inspection/test-4356141b-e933-4d07-b185-d53e5906f9ec.png.296x216.jpg', '大华御庭 2室2厅 270万', '大华御庭  | 2室2厅 | 127平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  星海人家商圈', '270万', '单价21260元/平米')
('https://image1.ljcdn.com/210200-inspection/f1c6bec0-657b-44d7-a177-bd32113f9002.jpg.296x216.jpg', '观山满庭芳 多层洋房中间层 南北带阳台 另有车库出售', '观山满庭芳  | 3室2厅 | 129.84平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2008年建板楼  -  马栏', '240万', '单价18485元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload7aba77b6-6a04-4a83-aa25-0fd8cd190664.jpg.296x216.jpg', '此房楼层好,非一非顶,采光好,视野宽阔,配套齐全', '台山  | 2室0厅 | 35.73平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  南沙', '43.6万', '单价12203元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f353f35e-58d0-4441-9ae4-5dba6dbb9d84.png.296x216.jpg', '知行 2006年   框架落地窗的房子  中间楼层', '帝欧花园  | 1室1厅 | 62.54平米 | 南 | 简装 | 有电梯', '低楼层(共10层)2005年建板楼  -  绿波', '105万', '单价16790元/平米')
('https://image1.ljcdn.com/210200-inspection/test-cb372779-5ee1-44f0-99bd-e90c307525a3.png.296x216.jpg', '绿波小区 三室户型 位置好 近车站 近市场', '绿波小区  | 2室2厅 | 71.89平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共7层)1998年建板楼  -  绿波', '61万', '单价8486元/平米')
('https://image1.ljcdn.com/210200-inspection/test-1017e03e-c058-456c-afc2-89d95bce07ad.png.296x216.jpg', '实验学Q，兰亭山水，位置好，中间层精装，光线景观好', '兰亭山水  | 3室2厅 | 124.65平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2003年建板楼  -  星海人家商圈', '320万', '单价25672元/平米')
('https://image1.ljcdn.com/210200-inspection/9a1883a2-06fe-4914-b0e9-f3608d75a30e.jpg.296x216.jpg', '星台花园二期格致 双南卧室 南北通透 拎包可入住', '星台花园二期  | 2室2厅 | 102.51平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  幸福e家', '275万', '单价26827元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a53b6c09-781b-43a3-aa63-8a2f76076154.png.296x216.jpg', '中间楼层，适合年轻人过渡老年人都可以', '北甸街  | 2室1厅 | 42.4平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1995年建板楼  -  辽师', '48.5万', '单价11439元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c22548d5-d72c-4f85-a3da-a83bb7e525d4.png.296x216.jpg', '熙园 3室2厅 298万', '熙园  | 3室2厅 | 136.99平米 | 南 北 | 其他', '低楼层(共14层)2009年建板楼  -  黑石礁', '298万', '单价21754元/平米')
('https://image1.ljcdn.com/210200-inspection/9950e41a-56ed-4991-bd6a-f92d7318b0ca.jpg.296x216.jpg', '和平广场精装修公寓 封闭式管理 两梯一户', '深蓝中心  | 3室2厅 | 192.17平米 | 南 北 | 精装 | 有电梯', '低楼层(共40层)2012年建板楼  -  和平广场', '350万', '单价18214元/平米')
('https://image1.ljcdn.com/210200-inspection/test-39c81758-8ee2-4104-a16f-6ecdf4c19937.png.296x216.jpg', '台四小区 2室2厅 103万', '台四小区  | 2室2厅 | 71.01平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1996年建板楼  -  南沙', '103万', '单价14505元/平米')
