('https://image1.ljcdn.com/440100-inspection/e9faa787-6770-4c5e-8319-83c94bcf6037.jpg.296x216.jpg', '万科金色城品 精装3房 南向望园景', '万科金色城品  | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '360万', '单价57143元/平米')
('https://image1.ljcdn.com/440100-inspection/637b8959-9a49-48c3-b730-0e44189eb0cd.JPG.296x216.jpg', '南国奥园 顶楼复式 使用率高 小区环境好', '南国奥林匹克花园雅典  | 4室2厅 | 157.58平米 | 北 | 精装 | 无电梯', '中楼层(共5层)2006年建板楼  -  汉溪', '510万', '单价32365元/平米')
('https://image1.ljcdn.com/440100-inspection/test-4b452c40-9aeb-400a-b25b-0ff8d9cf062e.png.296x216.jpg', '富华花园 3室2厅 345万', '富华花园  | 3室2厅 | 120.6平米 | 南 | 简装 | 有电梯', '中楼层(共22层)1998年建塔楼  -  市桥', '345万', '单价28607元/平米')
('https://image1.ljcdn.com/440100-inspection/f13b2a36-2af0-41fb-a538-94fccd5ccc76.jpg.296x216.jpg', '芳华花园洛湖居 3室2厅 245万', '芳华花园洛湖居  | 3室2厅 | 81.5平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1999年建塔楼  -  洛溪', '245万', '单价30062元/平米')
('https://image1.ljcdn.com/440100-inspection/592443c9-e472-43c4-bf6d-5625f4ca79b4.jpg.296x216.jpg', '如意花园 新装修 3房2厅 厅出阳台 采光好', '如意花园  | 3室2厅 | 106平米 | 西南 | 精装 | 无电梯', '高楼层(共7层)1993年建塔楼  -  洛溪', '236.5万', '单价22312元/平米')
('https://image1.ljcdn.com/440100-inspection/53b27127-b732-4eec-b86b-7b2ad811eb33.jpg.296x216.jpg', '锦绣趣园  中高层东南向大两房出售', '锦绣生态园趣园  | 2室2厅 | 81.4平米 | 东南 | 精装 | 无电梯', '高楼层(共6层)2005年建塔楼  -  钟村', '200万', '单价24571元/平米')
('https://image1.ljcdn.com/440100-inspection/202d7e37-0c5f-4352-a951-ed59a8a32d00.JPG.296x216.jpg', '鸿城花园 2室2厅 230万', '鸿城花园  | 2室2厅 | 81.3平米 | 西北 | 其他 | 有电梯', '中楼层(共28层)2000年建塔楼  -  市桥', '230万', '单价28291元/平米')
('https://image1.ljcdn.com/440100-inspection/38f8c208-9d21-43f6-b9f0-eb0556faa7c2.jpg.296x216.jpg', '金沙湾花园 2室2厅 190万', '金沙湾花园  | 2室2厅 | 82平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2007年建塔楼  -  沙湾', '190万', '单价23171元/平米')
('https://image1.ljcdn.com/440100-inspection/66116193-ce6f-4427-8861-fa28f68276f8.jpg.296x216.jpg', '翠怡轩 大三房 南北对流 中间位置', '翠怡轩  | 3室2厅 | 112.5平米 | 南 | 精装', '中楼层(共7层)2002年建板楼  -  沙湾', '250万', '单价22223元/平米')
('https://image1.ljcdn.com/440100-inspection/fb169380-77da-4202-8c53-f0a7fd5f8a22.JPG.296x216.jpg', '三房两厅两卫 户型方正实用、静动分区科学合理', '保利公馆2010亚奥南苑  | 3室2厅 | 140.18平米 | 南 | 精装 | 有电梯', '中楼层(共6层)板楼  -  亚运城', '358万', '单价25539元/平米')
('https://image1.ljcdn.com/440100-inspection/0cd9ef4e-04f7-4da4-9c27-b8ed7ab5b019.JPG.296x216.jpg', '侨基花园 3室2厅 205万', '侨基花园  | 3室2厅 | 83.68平米 | 南 | 其他 | 有电梯', '低楼层(共32层)1998年建塔楼  -  市桥', '205万', '单价24499元/平米')
('https://image1.ljcdn.com/440100-inspection/f958fac5-5a3a-4679-882a-1dc66a3af450.jpg.296x216.jpg', '富丽家园乳芳园 3室1厅 147万', '富丽家园乳芳园  | 3室1厅 | 73.8平米 | 南 北 | 简装 | 无电梯', '高楼层(共8层)1995年建塔楼  -  大石', '147万', '单价19919元/平米')
('https://image1.ljcdn.com/440100-inspection/9210c682-bd72-40d9-9587-8f616d28eb15.jpg.296x216.jpg', '海滨花园    一期温馨住家两房', '海滨花园  | 2室2厅 | 70平米 | 东北 | 简装 | 无电梯', '中楼层(共8层)1998年建塔楼  -  洛溪', '170万', '单价24286元/平米')
('https://image1.ljcdn.com/440100-inspection/2c897e1c-c77e-4f0c-b2fe-c679e87761a2.JPG.296x216.jpg', '大户型 环境优美 宜居生态 户型好，南北通流，采光好', '亚运城技术官员村  | 4室2厅 | 170.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共11层)塔楼  -  亚运城', '510万', '单价29962元/平米')
('https://image1.ljcdn.com/440100-inspection/cb689b48-a25a-4093-b2ca-e18c15aa3b7a.JPG.296x216.jpg', '星河湾六号园 沿江物业 带花园', '广州星河湾星河六号园  | 5室2厅 | 296.01平米 | 南 西 北 | 精装 | 有电梯', '低楼层(共20层)2009年建板楼  -  星河湾', '2100万', '单价70944元/平米')
('https://image1.ljcdn.com/440100-inspection/0f8f6ad9-0aec-4c71-afc8-2031e9079500.jpg.296x216.jpg', '新世纪花园小区中间位安静低楼层南向房', '新世纪花园  | 2室2厅 | 83.3平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2001年建板楼  -  沙湾', '215万', '单价25811元/平米')
('https://image1.ljcdn.com/440100-inspection/6287c256-4c02-419c-bd44-02f6d318cf1b.jpg.296x216.jpg', '丽江花园康城居 2室2厅 190万', '丽江花园康城居  | 2室2厅 | 70.1平米 | 南 | 其他 | 有电梯', '低楼层(共9层)1999年建塔楼  -  南浦', '190万', '单价27105元/平米')
('https://image1.ljcdn.com/440100-inspection/ee98e9dc-2544-486f-9b14-015c5fcc2932.JPG.296x216.jpg', '锦绣花园南区 3室2厅 248万', '锦绣花园南区  | 3室2厅 | 113平米 | 东 | 简装 | 无电梯', '中楼层(共6层)1997年建板楼  -  钟村', '248万', '单价21947元/平米')
('https://image1.ljcdn.com/440100-inspection/67b99f63-4118-4efb-97b5-029b1d30cb7c.JPG.296x216.jpg', '亚运城运动员村二区 2室2厅 245万', '亚运城运动员村二区  | 2室2厅 | 89平米 | 东北 | 精装', '中楼层(共14层)塔楼  -  亚运城', '245万', '单价27529元/平米')
('https://image1.ljcdn.com/440100-inspection/c9ed5106-bb92-41fd-bc8c-c9f1d9a759c6.JPG.296x216.jpg', '刚需两房，楼梯低层，地段好，位置安静。', '美心商贸城  | 2室2厅 | 47.8平米 | 南 | 精装', '中楼层(共5层)塔楼  -  市桥东', '86万', '单价17992元/平米')
('https://image1.ljcdn.com/440100-inspection/b869b505-df8a-4f2b-a221-4f08760538ae.JPG.296x216.jpg', '南向高层住宅公寓 视野开阔 无遮挡', '广州星河湾  | 1室1厅 | 53.8平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2003年建塔楼  -  星河湾', '145万', '单价26952元/平米')
('https://image1.ljcdn.com/440100-inspection/fdc6a320-fb37-4444-9583-9d88df172158.JPG.296x216.jpg', '1楼带大花园，2年前精装修，定制家私', '祈福新村海晴居  | 2室2厅 | 52.43平米 | 北 | 精装 | 无电梯', '低楼层(共6层)2003年建板楼  -  祈福', '188万', '单价35858元/平米')
('https://image1.ljcdn.com/440100-inspection/d6cae466-7102-499e-bcb7-408dea094e05.jpg.296x216.jpg', '带电梯大三房 交通便利 安静舒适', '怡景花园  | 3室2厅 | 98.46平米 | 西南 | 简装 | 有电梯', '高楼层(共23层)2004年建塔楼  -  大石', '300万', '单价30470元/平米')
('https://image1.ljcdn.com/440100-inspection/75b04032-840c-41b1-903e-213db01eb6c1.jpg.296x216.jpg', '上漖海滨花园 高层电梯两房 视野好', '海滨花园  | 2室2厅 | 60.1平米 | 东北 | 精装 | 有电梯', '高楼层(共12层)1998年建塔楼  -  洛溪', '218万', '单价36273元/平米')
('https://image1.ljcdn.com/440100-inspection/734fea33-6ecc-4646-9e48-aa1181a6e41e.JPG.296x216.jpg', '东兴苑 3室2厅 282万', '东兴苑  | 3室2厅 | 99.5平米 | 南 | 简装', '中楼层(共8层)1998年建塔楼  -  市桥', '282万', '单价28342元/平米')
('https://image1.ljcdn.com/440100-inspection/bf22d423-2186-4cc9-845c-22e7920515db.JPG.296x216.jpg', '星海国际 1室1厅 90万', '星海国际  | 1室1厅 | 40.84平米 | 南 | 其他', '中楼层(共9层)塔楼  -  市桥', '90万', '单价22038元/平米')
('https://image1.ljcdn.com/440100-inspection/82370394-1d6c-4681-a6b0-5581ff83199f.jpg.296x216.jpg', '满五唯一，格局方正，看房方便。', '怡景花园  | 2室2厅 | 74平米 | 东 | 其他 | 有电梯', '低楼层(共23层)2004年建塔楼  -  大石', '225万', '单价30406元/平米')
('https://image1.ljcdn.com/440100-inspection/b6d8c31d-3264-449d-84a2-1ea638bf53f7.jpg.296x216.jpg', '汇景大道  户型方正  装修保养新', '汇景大道  | 3室2厅 | 96.31平米 | 北 | 其他 | 无电梯', '高楼层(共6层)塔楼  -  沙湾', '213万', '单价22117元/平米')
('https://image1.ljcdn.com/440100-inspection/5e6a8fef-dc30-49ed-bdeb-e188ddd94284.jpg.296x216.jpg', '海滨花园 3室1厅 290万', '海滨花园  | 3室1厅 | 94平米 | 南 | 简装 | 无电梯', '低楼层(共8层)1998年建塔楼  -  洛溪', '290万', '单价30852元/平米')
('https://image1.ljcdn.com/440100-inspection/349efec3-c3d2-4d7f-a55b-f2b3edfc04ac.jpg.296x216.jpg', '东怡新区 电梯三房南向出售 通风', '东怡新区东雅园  | 3室2厅 | 101.96平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2000年建塔楼  -  市桥东', '260万', '单价25501元/平米')
('https://image1.ljcdn.com/440100-inspection/47f3af77-01f0-4f81-8de7-03b6313afb8e.JPG.296x216.jpg', '广州雅居乐花园灏湖居 4室2厅 1100万', '广州雅居乐花园灏湖居   | 独栋别墅 | 4室2厅 | 176平米 | 南 | 精装 | 无电梯', '1层2010年建暂无数据  -  雅居乐', '1100万', '单价62500元/平米')
('https://image1.ljcdn.com/440100-inspection/ee9dfea8-983d-427f-927c-687974a3f5ec.jpg.296x216.jpg', '芳华花园洛涛居  舒适3房 带花园', '芳华花园洛涛居  | 3室2厅 | 96平米 | 东 | 精装 | 无电梯', '低楼层(共6层)1999年建塔楼  -  洛溪', '365万', '单价38021元/平米')
('https://image1.ljcdn.com/440100-inspection/592b31d4-2e82-4dd7-813c-4bb4fc35833f.JPG.296x216.jpg', '户型方正，保养好，可拎包入住.', '广州雅居乐花园雕刻时光  | 2室2厅 | 80平米 | 东北 | 其他 | 有电梯', '低楼层(共9层)2010年建塔楼  -  雅居乐', '285万', '单价35625元/平米')
('https://image1.ljcdn.com/440100-inspection/05a98c2d-b81e-465c-8d74-617832ecf992.JPG.296x216.jpg', '广州雅居乐花园剑桥郡 3室2厅 445万', '广州雅居乐花园剑桥郡  | 3室2厅 | 109.17平米 | 东北 | 精装 | 有电梯', '高楼层(共29层)2010年建塔楼  -  雅居乐', '445万', '单价40763元/平米')
('https://image1.ljcdn.com/440100-inspection/d76f25cb-7525-4ea3-8cc8-afdf2130dc6e.jpg.296x216.jpg', '花样年华电梯中层小两房诚意出售', '番禺海伦堡花样年华三期  | 2室1厅 | 72.31平米 | 西 | 简装 | 有电梯', '中楼层(共18层)2005年建塔楼  -  沙湾', '236万', '单价32638元/平米')
('https://image1.ljcdn.com/440100-inspection/9d24e282-d076-4065-84f6-606c6a9a33cd.JPG.296x216.jpg', '祈福新村C区 3室2厅 198万', '祈福新村C区  | 3室2厅 | 67.7平米 | 南 | 简装 | 无电梯', '低楼层(共4层)1995年建板楼  -  祈福', '198万', '单价29247元/平米')
('https://image1.ljcdn.com/440100-inspection/f5ac2040-8e84-4ed8-a702-77a45881352f.jpg.296x216.jpg', '盛恒家园 2室2厅 172万', '盛恒家园  | 2室2厅 | 69.2平米 | 北 | 其他 | 有电梯', '中楼层(共11层)塔楼  -  亚运大道中', '172万', '单价24856元/平米')
('https://image1.ljcdn.com/440100-inspection/aa26d60d-3319-4bab-aee9-1e40a64e515e.jpg.296x216.jpg', '鸿城花园 3室2厅 255万', '鸿城花园  | 3室2厅 | 107平米 | 东南 | 其他 | 有电梯', '中楼层(共28层)2000年建塔楼  -  市桥', '255万', '单价23832元/平米')
('https://image1.ljcdn.com/440100-inspection/30f3d113-8aae-4460-9488-6e529c617188.JPG.296x216.jpg', '丽江花园  东南两房  带露台 看房方便', '丽江花园丽波楼  | 2室2厅 | 65.96平米 | 东南 南 | 其他 | 有电梯', '低楼层(共9层)1993年建塔楼  -  南浦', '170万', '单价25774元/平米')
('https://image1.ljcdn.com/440100-inspection/51b69652-3a0f-4822-88d5-0c8f10c410f9.JPG.296x216.jpg', '祈福晓峰园 一楼大花园  视野宽阔无遮挡', '祈福新村晓峰园  | 3室2厅 | 125.96平米 | 东北 | 其他 | 有电梯', '低楼层(共35层)2005年建塔楼  -  祈福', '390万', '单价30963元/平米')
('https://image1.ljcdn.com/440100-inspection/1229d62d-f27a-4831-bc1e-b97072ba920a.JPG.296x216.jpg', '裕林苑  三房改了四房  低楼层', '裕林苑  | 4室2厅 | 97.2平米 | 北 | 简装', '中楼层(共7层)塔楼  -  市桥', '218万', '单价22428元/平米')
('https://image1.ljcdn.com/440100-inspection/47b18a27-09cc-4df2-8706-601c674b1701.jpg.296x216.jpg', '东怡新区 东雅园 电梯三房 通风', '东怡新区东雅园  | 3室2厅 | 96.7平米 | 北 | 简装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  市桥东', '258万', '单价26681元/平米')
('https://image1.ljcdn.com/440100-inspection/d20e4bb8-49be-46be-8aec-20880bba87dc.jpg.296x216.jpg', '番禺华景新城 过5年唯一免个税 装修保养好 采光不错', '番禺华景新城  | 3室2厅 | 95.46平米 | 北 | 精装 | 无电梯', '高楼层(共8层)1999年建塔楼  -  沙湾', '237万', '单价24828元/平米')
('https://image1.ljcdn.com/440100-inspection/01bb8f25-5855-4c1f-bf10-b7c656cafd5f.jpg.296x216.jpg', '彩虹花园 方正一房一厅 楼层佳 南向采光好', '彩虹花园东区  | 1室1厅 | 47.6平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2000年建塔楼  -  洛溪', '132万', '单价27732元/平米')
('https://image1.ljcdn.com/440100-inspection/12ab7f9e-7c3a-404a-836e-7d1a803dd5dc.JPG.296x216.jpg', '时代倾城 3室1厅 320万', '时代倾城  | 3室1厅 | 94.68平米 | 北 | 精装 | 有电梯', '低楼层(共33层)塔楼  -  新造', '320万', '单价33799元/平米')
('https://image1.ljcdn.com/440100-inspection/9b428acb-d534-4de5-89d4-71015fd6d37f.jpg.296x216.jpg', '滨江绿园绿涛居 2室1厅 210万', '滨江绿园绿涛居  | 2室1厅 | 62.17平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2004年建塔楼  -  大石', '210万', '单价33779元/平米')
('https://image1.ljcdn.com/440100-inspection/test-ee7abd28-4106-469d-a7e4-edc36269b0c0.png.296x216.jpg', '禺秀园 2室1厅 178万', '禺秀园  | 2室1厅 | 73.8平米 | 南 | 简装 | 无电梯', '中楼层(共8层)塔楼  -  市桥', '178万', '单价24120元/平米')
('https://image1.ljcdn.com/440100-inspection/b7752833-dddd-415a-a94e-71f3e1b7a6e9.JPG.296x216.jpg', '祈福新村迎风阁 3室2厅 425万', '祈福新村迎风阁  | 3室2厅 | 128.55平米 | 西南 | 其他 | 有电梯', '低楼层(共32层)2005年建塔楼  -  祈福', '425万', '单价33062元/平米')
('https://image1.ljcdn.com/440100-inspection/89be941c-3100-45f8-a408-48218628b252.jpg.296x216.jpg', '敏捷华美国际 2室1厅 139万', '敏捷华美国际  | 2室1厅 | 71.14平米 | 南 | 精装 | 有电梯', '低楼层(共26层)塔楼  -  大石', '139万', '单价19539元/平米')
('https://image1.ljcdn.com/440100-inspection/8b18469b-5a19-452e-9fe1-fdb7e5677356.jpg.296x216.jpg', '广州奥林匹克花园 4室2厅 468万', '广州奥林匹克花园  | 4室2厅 | 123.7平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  洛溪', '468万', '单价37834元/平米')
('https://image1.ljcdn.com/440100-inspection/9e63b7c6-79bb-4fcd-8967-f580c4547551.jpg.296x216.jpg', '东怡新区 东景园 电梯房 中等楼层 格局方正', '东怡新区东景园  | 3室2厅 | 100.73平米 | 东 | 简装 | 有电梯', '中楼层(共9层)2000年建塔楼  -  市桥东', '310万', '单价30776元/平米')
('https://image1.ljcdn.com/440100-inspection/1d7821f0-1e1a-41a3-a506-66dcfa4a591b.JPG.296x216.jpg', '福宁园 三房两厅 南北对流 采光好 随时可看房', '富丽家园福宁苑  | 3室2厅 | 88.9平米 | 南 | 简装 | 无电梯', '高楼层(共8层)1995年建塔楼  -  大石', '215万', '单价24185元/平米')
('https://image1.ljcdn.com/440100-inspection/27618fab-c1ba-4c62-9d4c-b0ade3c79312.jpg.296x216.jpg', 'A区实用大两房 出入方便南向采光好 近便利店', '祈福新村A区  | 2室2厅 | 69平米 | 南 | 精装 | 无电梯', '低楼层(共3层)1995年建板楼  -  祈福', '170万', '单价24638元/平米')
('https://image1.ljcdn.com/440100-inspection/1f1a04c3-c88f-423f-85ea-c8f12e8123ec.JPG.296x216.jpg', '业主自住 装修保养好 格局方正 采光通风', '银苑大厦  | 4室2厅 | 146.6平米 | 南 | 其他 | 有电梯', '高楼层(共9层)1999年建塔楼  -  市桥', '290万', '单价19782元/平米')
('https://image1.ljcdn.com/440100-inspection/dc99221a-13ac-4348-867b-c5b53c48d117.jpg.296x216.jpg', '奥园养生广场 2室1厅 80万', '奥园养生广场  | 2室1厅 | 52.25平米 | 南 北 | 其他 | 有电梯', '低楼层(共30层)2012年建塔楼  -  沙湾', '80万', '单价15312元/平米')
('https://image1.ljcdn.com/440100-inspection/07d267a1-318e-460e-a683-ccc984ad468e.jpg.296x216.jpg', '富丽广场 小区中部位置 望花园 全明采光好 近地铁公园', '富丽家园富丽广场  | 2室2厅 | 87.02平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建塔楼  -  大石', '232万', '单价26661元/平米')
('https://image1.ljcdn.com/440100-inspection/c3b51355-6fee-426b-8f2e-d26b750ae1fa.jpg.296x216.jpg', '绿庭雅苑 3室2厅 290万', '绿庭雅苑  | 3室2厅 | 126.2平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2005年建塔楼  -  沙湾', '290万', '单价22980元/平米')
('https://image1.ljcdn.com/440100-inspection/46821260-7e6d-4a2b-b1d9-6ff21f9205e6.JPG.296x216.jpg', '珠殿苑小区温馨两房业主诚意出售', '珠殿苑北区  | 2室1厅 | 68.2平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建塔楼  -  市桥', '155万', '单价22728元/平米')
('https://image1.ljcdn.com/440100-inspection/41057e44-7c01-4c0b-98b8-2766b85737a5.JPG.296x216.jpg', '华侨城 1室0厅 82万', '华侨城  | 1室0厅 | 35.4平米 | 东 | 其他 | 无电梯', '中楼层(共8层)1996年建塔楼  -  市桥', '82万', '单价23164元/平米')
('https://image1.ljcdn.com/440100-inspection/95290cb2-63d3-4a69-9c19-fd5349b9ec09.JPG.296x216.jpg', '华侨城 2室2厅 158万', '华侨城  | 2室2厅 | 65.7平米 | 南 | 其他 | 有电梯', '低楼层(共14层)1999年建塔楼  -  市桥', '158万', '单价24049元/平米')
('https://image1.ljcdn.com/440100-inspection/28e73427-4b7e-40f6-ba5c-6dc211648f33.jpg.296x216.jpg', '星河湾公寓 精装修 家居电器齐', '广州星河湾  | 1室1厅 | 53.8平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2003年建塔楼  -  星河湾', '168万', '单价31227元/平米')
('https://image1.ljcdn.com/440100-inspection/392de706-2c4d-4450-a9fa-50eb868e6081.JPG.296x216.jpg', '万科欧泊 3室2厅 430万', '万科欧泊  | 3室2厅 | 95.12平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2012年建塔楼  -  华南', '430万', '单价45207元/平米')
('https://image1.ljcdn.com/440100-inspection/99214978-01ff-49f5-9f3a-9ed1c490eeea.jpg.296x216.jpg', '交通便利 采光好 小区环境安静', '金城花园  | 2室1厅 | 74平米 | 北 | 其他 | 无电梯', '低楼层(共8层)2000年建塔楼  -  大石', '175万', '单价23649元/平米')
('https://image1.ljcdn.com/440100-inspection/89499c33-de4a-42e6-9603-15de6c8d3ed4.jpg.296x216.jpg', '广州碧桂园华苑 2室1厅 237万', '广州碧桂园华苑  | 2室1厅 | 68.1平米 | 东南 | 精装 | 无电梯', '中楼层(共6层)1998年建塔楼  -  南浦', '237万', '单价34802元/平米')
('https://image1.ljcdn.com/440100-inspection/7dfc9d22-7047-4fdd-826a-05b2dc78aab2.jpg.296x216.jpg', '金山谷四期领仕 4房套房出售 不靠路边', '金山谷四期  | 4室2厅 | 108.91平米 | 北 | 精装 | 有电梯', '低楼层(共30层)2013年建塔楼  -  祈福', '430万', '单价39483元/平米')
('https://image1.ljcdn.com/440100-inspection/a5098c67-eade-47c4-b3ee-cd2d85648235.JPG.296x216.jpg', '新世纪花园 精装三房 南北对流', '新世纪花园  | 3室2厅 | 91.82平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2001年建板楼  -  沙湾', '225万', '单价24505元/平米')
('https://image1.ljcdn.com/440100-inspection/2f7967f9-b499-45eb-a4fe-5eda9b27aace.JPG.296x216.jpg', '东秀园 3室1厅 275万', '东秀园  | 3室1厅 | 91.34平米 | 南 北 | 简装 | 无电梯', '低楼层(共8层)塔楼  -  市桥', '275万', '单价30108元/平米')
('https://image1.ljcdn.com/440100-inspection/7296428b-a55e-475e-ad83-4cffdde146ed.JPG.296x216.jpg', '大北路侨联大街 2室1厅 88万', '大北路侨联大街  | 2室1厅 | 38.5平米 | 南 | 其他 | 无电梯', '高楼层(共5层)板楼  -  市桥', '88万', '单价22858元/平米')
('https://image1.ljcdn.com/440100-inspection/c938bf9b-622d-44c7-9a85-c9a25ad2429b.JPG.296x216.jpg', '锦绣香江花园山水园 3室2厅 500万', '锦绣香江花园山水园  | 3室2厅 | 110.03平米 | 东南 | 简装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  汉溪', '500万', '单价45443元/平米')
('https://image1.ljcdn.com/440100-inspection/06240bfd-6d41-4ca4-8110-c8841faefd86.JPG.296x216.jpg', '保利公馆2010亚奥北苑 2室1厅 210万', '保利公馆2010亚奥北苑  | 2室1厅 | 83平米 | 南 | 精装', '中楼层(共11层)塔楼  -  石楼镇', '210万', '单价25302元/平米')
('https://image1.ljcdn.com/440100-inspection/aeb3ff4c-7892-4203-a307-ed0a69b6b632.jpg.296x216.jpg', '敏捷上品公馆 复试毛坯房出售', '敏捷上品公馆  | 1室1厅 | 31.18平米 | 北 | 其他 | 有电梯', '中楼层(共21层)塔楼  -  祈福', '78万', '单价25017元/平米')
('https://image1.ljcdn.com/440100-inspection/76c5a8f8-0b14-4f59-98f2-cbae702bf3a5.jpg.296x216.jpg', '海滨花园 1室1厅 130万', '海滨花园  | 1室1厅 | 39.9平米 | 南 | 简装 | 无电梯', '低楼层(共8层)塔楼  -  洛溪', '130万', '单价32582元/平米')
('https://image1.ljcdn.com/440100-inspection/81eeba6e-c60b-4811-9105-6c99701e6b86.jpg.296x216.jpg', '广州雅居乐花园十年小雅 3室2厅 370万', '广州雅居乐花园十年小雅  | 3室2厅 | 90平米 | 东北 | 精装 | 有电梯', '高楼层(共33层)2010年建塔楼  -  雅居乐', '370万', '单价41112元/平米')
('https://image1.ljcdn.com/440100-inspection/15c3a46a-657c-483a-9d2c-0bc652804f28.jpg.296x216.jpg', '顺德碧桂园芷兰湾 3室2厅 218万', '顺德碧桂园芷兰湾  | 3室2厅 | 96.15平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)1998年建塔楼  -  钟村', '218万', '单价22673元/平米')
('https://image1.ljcdn.com/440100-inspection/03f000e1-1e89-4590-896f-4d8cc5b46ed1.JPG.296x216.jpg', '广州雅居乐花园剑桥郡 3室2厅 420万', '广州雅居乐花园剑桥郡  | 3室2厅 | 102.33平米 | 东北 | 精装 | 有电梯', '高楼层(共32层)2010年建塔楼  -  雅居乐', '420万', '单价41044元/平米')
('https://image1.ljcdn.com/440100-inspection/c1478344-ba1b-4a5b-b9dc-eee91e5d8d3e.jpg.296x216.jpg', '房子方正，通风采光可以。适合居住', '富丽家园莲芳园  | 3室1厅 | 88平米 | 南 | 简装 | 无电梯', '中楼层(共8层)1995年建塔楼  -  大石', '200万', '单价22728元/平米')
('https://image1.ljcdn.com/440100-inspection/8d8dd063-63c3-4169-bb94-8f412fd556cc.JPG.296x216.jpg', '刚需电梯两房，精装南向，高层，采光好', '尚东尚筑  | 2室1厅 | 65.62平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2008年建塔楼  -  市桥东', '210万', '单价32003元/平米')
('https://image1.ljcdn.com/440100-inspection/2a1a2dd7-ffd6-4945-93e1-0e9e2c138be8.jpg.296x216.jpg', '番禺海伦堡 温馨两房 带主套 南向阳台', '番禺海伦堡  | 2室2厅 | 77.87平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2005年建塔楼  -  沙湾', '235万', '单价30179元/平米')
('https://image1.ljcdn.com/440100-inspection/dc24dc91-0d2c-46c2-a936-bee7f38180f3.JPG.296x216.jpg', '雅居乐剑桥郡 南北对流大平层 环境好', '广州雅居乐花园剑桥郡  | 4室2厅 | 252.26平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共37层)2010年建塔楼  -  雅居乐', '750万', '单价29732元/平米')
('https://image1.ljcdn.com/440100-inspection/003c1a64-75c8-47ea-928c-2863e98c3a54.JPG.296x216.jpg', '广州雅居乐花园 新装修两房 安静舒适', '广州雅居乐花园雅悦庭  | 2室2厅 | 77.1平米 | 西南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  雅居乐', '300万', '单价38911元/平米')
('https://image1.ljcdn.com/440100-inspection/a41e01d0-8bc8-4679-9b90-3b41231507a1.jpg.296x216.jpg', '海龙湾 舒适三房 东南向中间楼层', '海龙湾  | 3室2厅 | 120.1平米 | 东北 | 简装 | 有电梯', '中楼层(共12层)2004年建塔楼  -  南浦', '328万', '单价27311元/平米')
('https://image1.ljcdn.com/440100-inspection/a36b3789-a6cb-463c-8037-2ce6bbf27ced.JPG.296x216.jpg', '华南新城北区  一楼带花园   大四房普通住宅', '华南新城  | 4室2厅 | 145.62平米 | 东南 | 精装 | 有电梯', '低楼层(共6层)2011年建板楼  -  星河湾', '420万', '单价28843元/平米')
('https://image1.ljcdn.com/440100-inspection/3c7112e5-6dac-482e-a3ee-64cc2a127bf7.jpg.296x216.jpg', '南北通透三房，采光视野十分好，住人舒服', '富丽家园福宁苑  | 2室1厅 | 79.6平米 | 南 | 简装 | 无电梯', '高楼层(共8层)1995年建塔楼  -  大石', '190万', '单价23870元/平米')
('https://image1.ljcdn.com/440100-inspection/5126d671-06b9-4ef5-a26f-90db394e43ad.jpg.296x216.jpg', '自在城市花园 3室2厅 285万', '自在城市花园  | 3室2厅 | 95.8平米 | 东南 | 简装 | 有电梯', '高楼层(共10层)2004年建塔楼  -  汉溪', '285万', '单价29750元/平米')
('https://image1.ljcdn.com/440100-inspection/718310a7-f15c-4537-bfdb-bde2fa64d240.JPG.296x216.jpg', '北丽园   中楼层    精装修', '北丽园四街  | 3室2厅 | 115.7平米 | 东 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  市桥', '270万', '单价23337元/平米')
('https://image1.ljcdn.com/440100-inspection/def44043-de2f-4e5c-9c0a-81ef1e1d1a5e.jpg.296x216.jpg', '金海岸花园一期 大三房', '金海岸花园金石碧苑  | 3室2厅 | 108.4平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2002年建塔楼  -  市桥东', '320万', '单价29521元/平米')
