('https://image1.ljcdn.com/340100-inspection/79021de0-8fab-4b80-92e3-27e81c75dfa5.JPG.296x216.jpg', '莱茵河畔花园 2室2厅 102万', '莱茵河畔花园  | 2室2厅 | 78.54平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '102万', '单价12988元/平米')
('https://image1.ljcdn.com/340100-inspection/99e94c33-30c9-4c0c-a76e-24f5bd142452.JPG.296x216.jpg', '带产权车位，满五唯一，南北双阳台，采光刺眼', '莱茵河畔花园  | 3室2厅 | 116.43平米 | 南 北 | 其他', '中楼层(共24层)2011年建塔楼  -  东站', '150万', '单价12884元/平米')
('https://image1.ljcdn.com/340100-inspection/37d0ff6b-7396-4658-aaaf-47c1b9df2a8e.JPG.296x216.jpg', '生态公园 巴黎春天 多层大两房  户型方正 随时看房', '巴黎春天  | 2室2厅 | 86.2平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  七里塘', '128万', '单价14850元/平米')
('https://image1.ljcdn.com/340100-inspection/21c99089-31ee-4c4e-a520-e4d44ee65fca.JPG.296x216.jpg', '有钥匙看房子随时方便，中高楼层视野挺好', '中兴西湖花园  | 2室2厅 | 98平米 | 南 北 | 其他', '中楼层(共18层)2004年建板塔结合  -  七里塘', '135万', '单价13776元/平米')
('https://image1.ljcdn.com/340100-inspection/ce43a972-691a-44c6-b36f-37807b9f20c6.JPG.296x216.jpg', '金成港湾 3室2厅 128万', '金成港湾  | 3室2厅 | 96.06平米 | 南 北 | 其他', '高楼层(共26层)塔楼  -  七里塘', '128万', '单价13326元/平米')
('https://image1.ljcdn.com/340100-inspection/ec81cb8b-9587-41ca-bf0e-7e15b7d033ae.JPG.296x216.jpg', '香江生态丽景 4室2厅 172万', '香江生态丽景  | 4室2厅 | 158.81平米 | 南 | 其他', '高楼层(共7层)板楼  -  七里塘', '172万', '单价10831元/平米')
('https://image1.ljcdn.com/340100-inspection/5f0659c4-cbbf-4711-ab3f-ee87666e0c28.JPG.296x216.jpg', '精装修，房主诚心卖，看房子提前打电话就可以了', '家天下四期  | 1室1厅 | 38.76平米 | 南 北 | 其他', '高楼层(共18层)2014年建塔楼  -  七里塘', '71万', '单价18318元/平米')
('https://image1.ljcdn.com/340100-inspection/51c1e1a3-8092-4d37-9658-2c7db094b1eb.JPG.296x216.jpg', '这房子就是适合家里人口多的家庭，利用空间比较大', '中环东方名景  | 3室2厅 | 109.57平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  七里塘', '130万', '单价11865元/平米')
('https://image1.ljcdn.com/340100-inspection/37603b16-c393-42b1-b390-95f362c4401a.JPG.296x216.jpg', '香江生态丽景 3室2厅 140万', '香江生态丽景  | 3室2厅 | 105平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  七里塘', '140万', '单价13334元/平米')
('', '东湖山庄清水苑 3室2厅 155万', '东湖山庄清水苑  | 3室2厅 | 110平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  七里塘', '155万', '单价14091元/平米')
('https://image1.ljcdn.com/340100-inspection/1359b721-3e99-4d82-b829-00a3b3fe1fa1.JPG.296x216.jpg', '铜陵路家天下商圈，生态公园旁中装两房', '香江生态丽景  | 2室2厅 | 83.08平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '112万', '单价13481元/平米')
('https://image1.ljcdn.com/340100-inspection/dc5a47d0-3fc4-4e30-9aea-4a1369bee807.JPG.296x216.jpg', '德邦翠馨居 3室2厅 155万', '德邦翠馨居  | 3室2厅 | 133.1平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '155万', '单价11646元/平米')
('https://image1.ljcdn.com/340100-inspection/bda274ac-e2f7-4d4f-a09f-c05be27d6d39.JPG.296x216.jpg', '隆昊昊博园，两居室，采光很好。', '隆昊昊博园  | 2室2厅 | 83平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  七里塘', '103万', '单价12410元/平米')
('https://image1.ljcdn.com/340100-inspection/c805a364-f462-4579-ae3d-da483038532f.JPG.296x216.jpg', '香江生态丽景 3室2厅 131万', '香江生态丽景  | 3室2厅 | 93.21平米 | 南 | 其他', '中楼层(共6层)板楼  -  七里塘', '131万', '单价14055元/平米')
('https://image1.ljcdn.com/340100-inspection/393370a8-d23b-492b-85f5-c8a80ff44212.JPG.296x216.jpg', '香江生态丽景 3室2厅 131万', '香江生态丽景  | 3室2厅 | 92平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  七里塘', '131万', '单价14240元/平米')
('', '兴海苑 2室2厅 95万', '兴海苑  | 2室2厅 | 80.95平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '95万', '单价11736元/平米')
('https://image1.ljcdn.com/340100-inspection/b93564ac-c313-4bfe-822f-716ed228950d.JPG.296x216.jpg', '家天下 2室1厅 102万', '家天下  | 2室1厅 | 59.12平米 | 南 | 其他', '低楼层(共11层)2014年建塔楼  -  七里塘', '102万', '单价17254元/平米')
('https://image1.ljcdn.com/340100-inspection/485b97eb-6732-4222-9f40-e9744c38bcc2.JPG.296x216.jpg', '香江生态丽景 4室2厅 132万', '香江生态丽景  | 4室2厅 | 117平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '132万', '单价11283元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload5638bbd6-23b8-45ab-8e2f-02167699ac24.JPG.296x216.jpg', '品质小区 帝豪星港湾 中装五居 业主诚心出售', '帝豪星港湾  | 5室3厅 | 185.18平米 | 南 西 北 | 其他', '3层2009年建板楼  -  七里塘', '230万', '单价12421元/平米')
('https://image1.ljcdn.com/340100-inspection/3d2de2a1-b1ac-43a1-95f8-64cc6d0570a2.JPG.296x216.jpg', '新海尚宸家园 2室2厅 99万', '新海尚宸家园  | 2室2厅 | 78.65平米 | 南 | 其他', '低楼层(共28层)塔楼  -  七里塘', '99万', '单价12588元/平米')
('https://image1.ljcdn.com/340100-inspection/37780fcb-758c-49f5-a356-5447c9d4dbd2.JPG.296x216.jpg', '实嘉原创生活 2室1厅 105万', '实嘉原创生活  | 2室1厅 | 75.3平米 | 南 北 | 其他', '低楼层(共17层)2011年建板塔结合  -  东站', '105万', '单价13945元/平米')
('', '文一陶冲湖城市广场 3室1厅 125万', '文一陶冲湖城市广场  | 3室1厅 | 89.96平米 | 南 | 其他', '高楼层(共18层)塔楼  -  站北', '125万', '单价13896元/平米')
('https://image1.ljcdn.com/340100-inspection/8e9fe1aa-4343-417d-8f66-0043adfaf57b.JPG.296x216.jpg', '巴黎春天 3室2厅 170万', '巴黎春天  | 3室2厅 | 116.85平米 | 南 北 | 其他', '高楼层(共11层)板楼  -  七里塘', '170万', '单价14549元/平米')
('https://image1.ljcdn.com/340100-inspection/e1a7bb25-5839-4fe0-a8b9-4fa354ad6adf.JPG.296x216.jpg', '香江生态丽景 3室2厅 155万', '香江生态丽景  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '155万', '单价13363元/平米')
('https://image1.ljcdn.com/340100-inspection/63c8d87d-85ad-4f9c-948d-29e3f080b360.JPG.296x216.jpg', '家天下，顶楼复式，毛坯，采光很好，', '家天下  | 5室2厅 | 147.32平米 | 南 北 | 其他', '高楼层(共27层)2014年建塔楼  -  七里塘', '245万', '单价16631元/平米')
('https://image1.ljcdn.com/340100-inspection/48d73746-3bab-4ee5-acc5-81c7a0e62e5d.JPG.296x216.jpg', '长虹世纪荣廷 3室2厅 158万', '长虹世纪荣廷  | 3室2厅 | 109.51平米 | 南 北 | 其他', '中楼层(共33层)2015年建板塔结合  -  七里塘', '158万', '单价14428元/平米')
('https://image1.ljcdn.com/340100-inspection/90e423bf-bfe1-44a0-8ca9-cdd9d84fceb8.JPG.296x216.jpg', '安粮双景佳苑 2室1厅 106万', '安粮双景佳苑  | 2室1厅 | 72平米 | 南 | 其他', '高楼层(共11层)塔楼  -  七里塘', '106万', '单价14723元/平米')
('', '东湖山庄清水苑 3室2厅 152万', '东湖山庄清水苑  | 3室2厅 | 109.28平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  七里塘', '152万', '单价13910元/平米')
('https://image1.ljcdn.com/340100-inspection/022e2838-8c33-4d57-b416-cb3130712e4d.JPG.296x216.jpg', '香江生态名郡 2室1厅 70万', '香江生态名郡  | 2室1厅 | 62.17平米 | 南 | 其他', '高楼层(共26层)2010年建塔楼  -  七里塘', '70万', '单价11260元/平米')
('https://image1.ljcdn.com/340100-inspection/ebf0d1e8-3574-4107-989c-0fa4e7fb3cde.JPG.296x216.jpg', '莱茵河畔花园 3室2厅 128万', '莱茵河畔花园  | 3室2厅 | 131.17平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '128万', '单价9759元/平米')
('https://image1.ljcdn.com/340100-inspection/c7f6574a-b7e8-40c6-9c23-18ad73792b2a.jpg.296x216.jpg', '莱茵河畔花园 大三房 采光好 南北通透 楼层好 采光好', '莱茵河畔花园  | 3室1厅 | 128.08平米 | 南 北 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '150万', '单价11712元/平米')
('https://image1.ljcdn.com/340100-inspection/06a96e45-0489-478f-bebd-4784cecbe965.JPG.296x216.jpg', '香江生态丽景 3室2厅 156万', '香江生态丽景  | 3室2厅 | 114.7平米 | 南 西 北 | 其他', '低楼层(共6层)板楼  -  七里塘', '156万', '单价13601元/平米')
('https://image1.ljcdn.com/340100-inspection/eb2b7bf6-ece7-4dbd-8b76-80d1dbe7f2cd.JPG.296x216.jpg', '阳光汇景 朝南正规一居室 精装修 拎包入住 看房方便', '阳光汇景  | 1室1厅 | 45.21平米 | 南 | 简装', '中楼层(共10层)2007年建板塔结合  -  七里塘', '58万', '单价12830元/平米')
('', '家天下 3室2厅 210万', '家天下  | 3室2厅 | 107平米 | 南 北 | 其他', '低楼层(共27层)2014年建塔楼  -  七里塘', '210万', '单价19627元/平米')
('https://image1.ljcdn.com/340100-inspection/afb079e1-2438-4f90-9c05-fdc3e3ecb19b.JPG.296x216.jpg', '阳光汇景 1室1厅 60万', '阳光汇景  | 1室1厅 | 46.07平米 | 北 | 其他', '高楼层(共18层)2007年建板塔结合  -  七里塘', '60万', '单价13024元/平米')
('https://image1.ljcdn.com/340100-inspection/e932842c-ca9e-4157-b350-c9d4c1dd9af2.JPG.296x216.jpg', '满五年唯一 中间层三居 赠送面积大，随时看房', '家天下  | 3室2厅 | 88.18平米 | 南 | 精装', '中楼层(共11层)2014年建塔楼  -  七里塘', '157万', '单价17805元/平米')
('https://image1.ljcdn.com/340100-inspection/f1e6dc52-593d-41c2-8e6e-9e20a0deb7ff.JPG.296x216.jpg', '真实房源，金成港湾，中楼层，采光好，满五唯一。', '金成港湾  | 4室2厅 | 122.36平米 | 南 北 | 其他', '中楼层(共26层)暂无数据  -  七里塘', '165万', '单价13485元/平米')
('https://image1.ljcdn.com/340100-inspection/16cc2b21-a96a-4208-9ede-4d21d769fcfe.JPG.296x216.jpg', '有钥匙，随时看房，家天下商圈，精致两房，总价低.', '香江生态名郡  | 2室1厅 | 48.61平米 | 西北 | 其他', '中楼层(共26层)2010年建塔楼  -  七里塘', '56万', '单价11521元/平米')
('https://image1.ljcdn.com/340100-inspection/83dadc55-a9b4-4bd9-964a-8d7f6c8e326c.JPG.296x216.jpg', '巴黎春天 4室1厅 185万', '巴黎春天  | 4室1厅 | 141平米 | 南 北 | 其他', '高楼层(共9层)板楼  -  七里塘', '185万', '单价13121元/平米')
('https://image1.ljcdn.com/340100-inspection/f141cac8-b9e8-4c7a-840e-0e759fb5c6d1.JPG.296x216.jpg', '碧水雅居 3室2厅 167万', '碧水雅居  | 3室2厅 | 128.51平米 | 南 北 | 其他', '中楼层(共26层)2008年建板楼  -  七里塘', '167万', '单价12996元/平米')
('', '隆昊昊博园 1室1厅 88万', '隆昊昊博园  | 1室1厅 | 60平米 | 南 | 其他', '高楼层(共18层)塔楼  -  七里塘', '88万', '单价14667元/平米')
('https://image1.ljcdn.com/340100-inspection/8c8a4d8c-1e94-4913-8797-07253090769e.JPG.296x216.jpg', '康城水云间 3室2厅 147万', '康城水云间  | 3室2厅 | 115.77平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '147万', '单价12698元/平米')
('https://image1.ljcdn.com/340100-inspection/05ec68bc-a21d-493a-9395-9cf509c3189f.JPG.296x216.jpg', '阳光汇景，精装大三房，家电家具齐全，拎包即住', '阳光汇景  | 3室2厅 | 120平米 | 南 北 | 其他', '高楼层(共18层)2007年建板塔结合  -  七里塘', '155万', '单价12917元/平米')
('https://image1.ljcdn.com/340100-inspection/872bce26-383b-48ef-a2ce-7b99ae2201e4.JPG.296x216.jpg', '新海尚宸家园 3室2厅 145万', '新海尚宸家园  | 3室2厅 | 109.69平米 | 南 北 | 精装', '中楼层(共26层)塔楼  -  七里塘', '145万', '单价13220元/平米')
('https://image1.ljcdn.com/340100-inspection/49ecfccf-9031-4579-88f3-1b9c0597cbf1.JPG.296x216.jpg', '兴海苑C区 2室1厅 67万', '兴海苑C区  | 2室1厅 | 61.8平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  七里塘', '67万', '单价10842元/平米')
('https://image1.ljcdn.com/340100-inspection/65d92c3d-baa2-4e74-8b39-8d64b810e127.JPG.296x216.jpg', '香江生态丽景，精装大三室，，交通便利，配套齐全', '香江生态丽景  | 3室2厅 | 111平米 | 南 | 其他', '高楼层(共7层)板楼  -  七里塘', '153万', '单价13784元/平米')
('https://image1.ljcdn.com/340100-inspection/0c68931e-e6e3-48a2-b8f3-8e09f03b861f.JPG.296x216.jpg', '国耀园上园 2室1厅 83万', '国耀园上园  | 2室1厅 | 74平米 | 西 | 其他', '中楼层(共24层)2012年建板塔结合  -  东站', '83万', '单价11217元/平米')
('', '实嘉原创生活 3室2厅 140万', '实嘉原创生活  | 3室2厅 | 96平米 | 南 北 | 其他', '高楼层(共11层)2011年建板塔结合  -  东站', '140万', '单价14584元/平米')
('https://image1.ljcdn.com/340100-inspection/73f40f8d-ec11-4521-bc77-baf50e1930c8.JPG.296x216.jpg', '香江生态丽景 3室2厅 123.5万', '香江生态丽景  | 3室2厅 | 92平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '123.5万', '单价13424元/平米')
('https://image1.ljcdn.com/340100-inspection/1f80e814-f4b7-4746-81b6-d4615aafbd85.JPG.296x216.jpg', '隆昊昊天园 满五唯一 主卧朝南 南北双阳台 采光好', '隆昊昊天园  | 2室2厅 | 93.51平米 | 南 北 | 其他', '低楼层(共18层)2012年建板塔结合  -  七里塘', '115万', '单价12299元/平米')
('', '淮合花园 1室1厅 67万', '淮合花园  | 1室1厅 | 67平米 | 南 | 其他', '中楼层(共33层)2012年建板塔结合  -  七里塘', '67万', '单价10000元/平米')
('https://image1.ljcdn.com/340100-inspection/7710e098-17a3-4257-9778-a3c076e38e3b.JPG.296x216.jpg', '阳光汇景 2室2厅 114万', '阳光汇景  | 2室2厅 | 82.75平米 | 南 北 | 其他', '中楼层(共7层)2007年建板塔结合  -  七里塘', '114万', '单价13777元/平米')
('https://image1.ljcdn.com/340100-inspection/bf5e410b-5c33-4a02-854a-c164a44bc6d6.JPG.296x216.jpg', '国耀园上园 3室2厅 150万', '国耀园上园  | 3室2厅 | 97.25平米 | 南 北 | 其他', '高楼层(共16层)2012年建板塔结合  -  东站', '150万', '单价15425元/平米')
('https://image1.ljcdn.com/340100-inspection/2f28350d-d2d4-44ed-a32e-30451b50951c.JPG.296x216.jpg', '房子户型好 光照不错 看着挺舒服的', '碧水雅居  | 3室2厅 | 129平米 | 南 北 | 精装', '中楼层(共26层)2008年建板楼  -  七里塘', '178万', '单价13799元/平米')
('', '长虹世纪荣廷 3室2厅 140万', '长虹世纪荣廷  | 3室2厅 | 99.73平米 | 南 北 | 其他', '中楼层(共33层)2015年建板塔结合  -  七里塘', '140万', '单价14038元/平米')
('https://image1.ljcdn.com/340100-inspection/f0448148-5b06-46a8-8072-19cc17790c63.JPG.296x216.jpg', '巴黎春天 2室2厅 125万', '巴黎春天  | 2室2厅 | 87.41平米 | 南 | 其他', '高楼层(共18层)塔楼  -  七里塘', '125万', '单价14301元/平米')
('https://image1.ljcdn.com/340100-inspection/e3e174e4-4dde-48b3-b95a-5ee655be845a.JPG.296x216.jpg', '昊天园 满五年 楼层好 采光无遮挡 精装修 南北通透', '隆昊昊天园  | 3室2厅 | 115平米 | 南 北 | 其他', '中楼层(共18层)2012年建板塔结合  -  七里塘', '165万', '单价14348元/平米')
('https://image1.ljcdn.com/340100-inspection/6c3b74db-aa84-4d82-925c-afbb1b3843d8.jpg.296x216.jpg', '昊天园 敞亮大两居 南北通透双阳台 采光优质看房方便', '隆昊昊天园  | 2室2厅 | 96.53平米 | 南 北 | 其他', '中楼层(共11层)2012年建板塔结合  -  七里塘', '120万', '单价12432元/平米')
('', '长虹世纪荣廷 2室1厅 95万', '长虹世纪荣廷  | 2室1厅 | 77.45平米 | 南 | 其他', '中楼层(共18层)板塔结合  -  七里塘', '95万', '单价12266元/平米')
('https://image1.ljcdn.com/340100-inspection/8cf0fae5-9461-49e0-8ad3-41c8844b5a07.JPG.296x216.jpg', '康城静林湾 2室2厅 115万', '康城静林湾  | 2室2厅 | 81平米 | 南 | 其他', '中楼层(共18层)塔楼  -  七里塘', '115万', '单价14198元/平米')
('https://image1.ljcdn.com/340100-inspection/26106772-b972-467a-9675-bacd95b4e580.JPG.296x216.jpg', '家天下 3室2厅 216万', '家天下  | 3室2厅 | 120.93平米 | 南 北 | 其他', '高楼层(共8层)2014年建塔楼  -  七里塘', '216万', '单价17862元/平米')
('https://image1.ljcdn.com/340100-inspection/98852f8b-845c-4df4-9427-22ea11eb74a1.JPG.296x216.jpg', '满五唯一 南北通透格局 看房有钥匙 业主诚心出售', '国耀园上园  | 3室1厅 | 99.13平米 | 南 北 | 其他', '中楼层(共24层)2012年建板塔结合  -  东站', '142万', '单价14325元/平米')
('https://image1.ljcdn.com/340100-inspection/8dcbb02e-90f7-476f-8bd1-885e5c138170.jpg.296x216.jpg', '香江生态丽景，采光好，小区配套好', '香江生态丽景  | 3室2厅 | 121平米 | 南 | 其他', '中楼层(共18层)塔楼  -  七里塘', '155万', '单价12810元/平米')
('', '文一陶冲湖城市广场 3室1厅 116万', '文一陶冲湖城市广场  | 3室1厅 | 89平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  站北', '116万', '单价13034元/平米')
('https://image1.ljcdn.com/340100-inspection/f05bbda4-1833-4459-ad35-cb346e0a549f.jpg.296x216.jpg', '东湖山庄 瑶海公园 中间楼层 电梯3房 全明户型', '东湖山庄清水苑  | 3室2厅 | 133.45平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  七里塘', '172万', '单价12889元/平米')
('https://image1.ljcdn.com/340100-inspection/0059e2b7-c733-4c11-9e47-0dab539e1594.JPG.296x216.jpg', '康城静林湾 2室2厅 125万', '康城静林湾  | 2室2厅 | 81.38平米 | 南 | 其他', '中楼层(共18层)塔楼  -  七里塘', '125万', '单价15361元/平米')
('https://image1.ljcdn.com/340100-inspection/4534ed19-3c2b-4d2f-b9fb-ef4d0ee550d4.jpg.296x216.jpg', '康城水云间 生态公园 复式 精装 多层 小区中间位置', '康城水云间  | 6室2厅 | 183平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '198万', '单价10820元/平米')
('https://image1.ljcdn.com/340100-inspection/128f325f-39c2-465d-87df-15560da0a430.JPG.296x216.jpg', '铁静苑二期 2室2厅 95万', '铁静苑二期  | 2室2厅 | 84平米 | 南 | 其他', '高楼层(共18层)塔楼  -  七里塘', '95万', '单价11310元/平米')
('https://image1.ljcdn.com/340100-inspection/49fc63e8-3797-465a-bb4e-43d662b91d12.jpg.296x216.jpg', '阳光汇景 户型方正 采光无遮挡', '阳光汇景  | 2室1厅 | 80.75平米 | 南 北 | 其他', '高楼层(共7层)2007年建板塔结合  -  七里塘', '98万', '单价12137元/平米')
('', '文一陶冲湖城市广场 3室2厅 125万', '文一陶冲湖城市广场  | 3室2厅 | 90.95平米 | 南 北 | 其他', '中楼层(共34层)塔楼  -  站北', '125万', '单价13744元/平米')
('https://image1.ljcdn.com/340100-inspection/ddf91a1c-39a7-4fbd-b4cf-b176eaa189a6.jpg.296x216.jpg', '隆昊昊天园 精装修两室 满五唯一 西边户，采光无遮拦', '隆昊昊天园  | 2室2厅 | 81.36平米 | 南 | 其他', '低楼层(共18层)2012年建板塔结合  -  七里塘', '112万', '单价13766元/平米')
('https://image1.ljcdn.com/340100-inspection/ecaf7330-1adc-4b0d-8db9-da51147472f8.JPG.296x216.jpg', '长虹世纪荣廷毛坯三房，户型方正，采光好。', '长虹世纪荣廷  | 3室2厅 | 113.03平米 | 南 北 | 其他', '低楼层(共8层)板楼  -  七里塘', '160万', '单价14156元/平米')
('https://image1.ljcdn.com/340100-inspection/e913cd83-99e1-4a4e-8305-e4592568b942.jpg.296x216.jpg', '香江生态丽景，居家装修5室，业主诚意出售', '香江生态丽景  | 5室2厅 | 125.66平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里塘', '155万', '单价12335元/平米')
('https://image1.ljcdn.com/340100-inspection/e7d4e6e7-1dfd-4571-b9da-53f9a7855958.JPG.296x216.jpg', '满五唯一  精装修 有钥匙随时看房 业主诚心出售', '国耀园上园  | 3室2厅 | 99.13平米 | 南 北 | 其他', '低楼层(共24层)2012年建板塔结合  -  东站', '143.8万', '单价14507元/平米')
('', '华润熙云府 2室2厅 106万', '华润熙云府  | 2室2厅 | 77平米 | 南 | 其他', '中楼层(共33层)2015年建板塔结合  -  七里塘', '106万', '单价13767元/平米')
('https://image1.ljcdn.com/340100-inspection/9f73efae-f510-4f23-81b7-0110149b89d7.JPG.296x216.jpg', '家天下四期 2室1厅 86万', '家天下四期  | 2室1厅 | 47.83平米 | 南 | 其他', '高楼层(共18层)2014年建塔楼  -  七里塘', '86万', '单价17981元/平米')
('', '安粮双景佳苑 3室2厅 165万', '安粮双景佳苑  | 3室2厅 | 123平米 | 南 北 | 其他', '低楼层(共11层)塔楼  -  七里塘', '165万', '单价13415元/平米')
('https://image1.ljcdn.com/340100-inspection/08285138-7ce6-4aca-b881-596f2361a1fe.JPG.296x216.jpg', '国耀园上园 6室2厅 200万', '国耀园上园  | 6室2厅 | 124.75平米 | 南 北 | 其他', '高楼层(共6层)2012年建板塔结合  -  东站', '200万', '单价16033元/平米')
('https://image1.ljcdn.com/340100-inspection/2fb44fb8-c51c-4a17-a2df-fe32303a3775.JPG.296x216.jpg', '房主非常诚心卖房，电梯南北户型的三居，楼在小区中间', '中环东方名景  | 3室2厅 | 102.5平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  七里塘', '145万', '单价14147元/平米')
('https://image1.ljcdn.com/340100-inspection/a503f023-f30f-4292-8e53-8a5f9131788d.jpg.296x216.jpg', '华府竹丝苑南苑 3室2厅 350万', '华府竹丝苑南苑  | 3室2厅 | 211.68平米 | 南 北 | 其他', '低楼层(共3层)板楼  -  七里塘', '350万', '单价16535元/平米')
('https://image1.ljcdn.com/340100-inspection/822ab2bb-9b41-4179-9c4b-09f802df9a63.JPG.296x216.jpg', '新站中心集贸市场 2室1厅 105万', '新站中心集贸市场  | 2室1厅 | 88.36平米 | 南 | 其他', '高楼层(共7层)板楼  -  七里塘', '105万', '单价11884元/平米')
('', '瑶东北村 2室2厅 100万', '瑶东北村  | 2室2厅 | 77.4平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '100万', '单价12920元/平米')
('https://image1.ljcdn.com/340100-inspection/52f055e7-71ae-4173-afdd-0f9eab09abf3.JPG.296x216.jpg', '巴黎春天 2室2厅 125万', '巴黎春天  | 2室2厅 | 88平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '125万', '单价14205元/平米')
('', '康城水云间 3室2厅 173万', '康城水云间  | 3室2厅 | 125平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  七里塘', '173万', '单价13840元/平米')
('https://image1.ljcdn.com/340100-inspection/028cbdb1-91ed-4ad5-abe1-e4c376c0896d.JPG.296x216.jpg', '实嘉原创生活 环境好 房型正 中间楼层 刚需大两房', '实嘉原创生活  | 2室2厅 | 85.63平米 | 南 | 其他', '中楼层(共6层)2011年建板塔结合  -  东站', '125万', '单价14598元/平米')
('https://image1.ljcdn.com/340100-inspection/56a965e4-3c20-442d-a5b4-c82ef3fcc13d.JPG.296x216.jpg', '小区是商品房，户型漂亮，居家装修，直接入住', '新站中心集贸市场  | 2室2厅 | 88.36平米 | 南 北 | 其他', '中楼层(共7层)塔楼  -  七里塘', '102万', '单价11544元/平米')
('https://image1.ljcdn.com/340100-inspection/6a197fae-336a-4338-98fb-95765e24d287.jpg.296x216.jpg', '满五唯一 精装修  南北通透 交通便利', '华府竹丝苑南苑  | 5室3厅 | 210.84平米 | 南 北 | 其他', '低楼层(共3层)板楼  -  七里塘', '360万', '单价17075元/平米')
('https://image1.ljcdn.com/340100-inspection/9b071cfe-1c75-4c22-acbe-97d1ae86db12.JPG.296x216.jpg', '信达格兰云天 3室2厅 145万', '信达格兰云天  | 3室2厅 | 103.93平米 | 南 北 | 其他', '中楼层(共9层)板楼  -  七里塘', '145万', '单价13952元/平米')
('', '中环东方名景 3室2厅 150万', '中环东方名景  | 3室2厅 | 103平米 | 南 | 其他', '中楼层(共11层)2006年建板楼  -  七里塘', '150万', '单价14564元/平米')
('https://image1.ljcdn.com/340100-inspection/708e17a8-df5d-4ff4-8ded-5308d1e3066f.jpg.296x216.jpg', '徽州人家 大三房 两卧朝南 采光充足', '徽州人家  | 3室3厅 | 158.13平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '185万', '单价11700元/平米')
('', '金海花园 3室2厅 123万', '金海花园  | 3室2厅 | 114平米 | 南 | 精装', '中楼层(共11层)2012年建板塔结合  -  七里塘', '123万', '单价10790元/平米')
('https://image1.ljcdn.com/340100-inspection/5dcc1cf6-c6c8-409e-95ab-6a9fe69048f2.JPG.296x216.jpg', '国耀园上园 3室2厅 185万', '国耀园上园  | 3室2厅 | 114平米 | 南 北 | 其他', '中楼层(共6层)2012年建板塔结合  -  东站', '185万', '单价16229元/平米')
('https://image1.ljcdn.com/340100-inspection/8e585b2d-3c8d-4f5c-b5c5-6f307f89c387.JPG.296x216.jpg', '阳光汇景 2室2厅 108万', '阳光汇景  | 2室2厅 | 82.75平米 | 南 北 | 其他', '低楼层(共7层)2007年建板塔结合  -  七里塘', '108万', '单价13052元/平米')
('https://image1.ljcdn.com/340100-inspection/1a42c16e-a71c-44f7-9306-cb99af3e0226.jpg.296x216.jpg', '瑶海公园  徽州人家  适宜居住 交通便利', '徽州人家  | 5室2厅 | 126.12平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里塘', '135万', '单价10705元/平米')
('https://image1.ljcdn.com/340100-inspection/445e6f7b-39f9-4884-966b-135d781bf6a1.JPG.296x216.jpg', '香江生态丽景 3室2厅 132万', '香江生态丽景  | 3室2厅 | 94.28平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  七里塘', '132万', '单价14001元/平米')
('', '香江生态丽景 2室2厅 110万', '香江生态丽景  | 2室2厅 | 71.86平米 | 南 | 其他', '高楼层(共18层)板楼  -  七里塘', '110万', '单价15308元/平米')
('https://image1.ljcdn.com/340100-inspection/5f37657c-7fa4-49de-9d79-914fa58a6208.jpg.296x216.jpg', '安粮双景佳苑 精装2房朝南 满五年 楼层好、采光好', '安粮双景佳苑  | 2室2厅 | 89.9平米 | 南 | 其他', '低楼层(共18层)2010年建塔楼  -  七里塘', '135万', '单价15017元/平米')
