('https://image1.ljcdn.com/440300-inspection/test-1a38b4c5-3f36-4255-bcfe-946e703977fe.png.296x216.jpg', '碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙', '碧水龙庭  | 2室1厅 | 73.31平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53199元/平米')
('https://image1.ljcdn.com/440300-inspection/dff103c1-856d-4117-a8f5-1e5c6dc56178.jpg.296x216.jpg', '港铁天颂 3室2厅 550万', '港铁天颂  | 3室2厅 | 81.61平米 | 南 | 其他', '低楼层(共42层)2017年建暂无数据  -  龙华中心', '550万', '单价67394元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload18cadd34-b465-417a-ba5b-725264b9b795.jpg.296x216.jpg', '合正观澜汇 超大5房 超大客厅 安静 看花园 采光足', '合正观澜汇  | 5室2厅 | 141.36平米 | 南 北 | 其他', '低楼层(共29层)2016年建板塔结合  -  观澜', '680万', '单价48105元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dac52483-3c3a-43bc-9ffa-10a3e8ab8d83.png.296x216.jpg', '龙光玖龙玺北区智能精装 3房2厅 700万', '龙光玖龙玺北区  | 3室2厅 | 80.58平米 | 南 | 精装', '高楼层(共30层)2016年建塔楼  -  深圳北站', '695万', '单价86250元/平米')
('https://image1.ljcdn.com/440300-inspection/1a9cef86-461b-45a7-b193-176525cf9c4f.jpg.296x216.jpg', '电梯平层五房 红本在手 赠送红木家具 朝南看花园 安静', '锦绣江南三期  | 5室2厅 | 136.16平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2005年建板楼  -  深圳北站', '625万', '单价45902元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1579ff0c-8ce2-4f9b-8a98-3e57c2f8a2b7.png.296x216.jpg', '大信花园 龙华地铁站中楼层大两房可改三房', '大信花园  | 2室2厅 | 80.51平米 | 西北 | 简装 | 无电梯', '中楼层(共8层)2002年建板塔结合  -  龙华中心', '355万', '单价44094元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e8bdab53-b617-4c0a-bf24-56b06992932c.png.296x216.jpg', '金地上塘道 居家两房 装修保养好 采光通风好', '金地上塘道一期  | 2室2厅 | 65.11平米 | 北 | 简装 | 有电梯', '中楼层(共25层)2010年建塔楼  -  上塘', '365万', '单价56059元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c0bea53a-5573-4db3-9b5c-1b0b8c44d63d.png.296x216.jpg', '龙华总价低的大2房，看花园里面，位置安静。', '玉华花园  | 3室2厅 | 66.5平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1997年建板塔结合  -  龙华中心', '270万', '单价40602元/平米')
('https://image1.ljcdn.com/440300-inspection/5e652cf8-9d98-4376-b658-0b0e16c9cd26.jpg.296x216.jpg', '龙华花半里满两年 有钥匙  卧室都是朝南看花园龙华', '龙华花半里花园  | 3室2厅 | 86.24平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2012年建板塔结合  -  龙华中心', '450万', '单价52180元/平米')
('https://image1.ljcdn.com/440300-inspection/d0ad52a4-d088-4484-b1c1-3c49900cdee5.JPG.296x216.jpg', '金地鹭湖1号 四居室 客厅挑空复式 安静 龙华区 观澜', '金地鹭湖1号  | 4室2厅 | 192.2平米 | 南 | 毛坯 | 有电梯', '中楼层(共16层)2015年建板塔结合  -  观澜', '1000万', '单价52030元/平米')
('https://image1.ljcdn.com/440300-inspection/cf2efa17-5767-4af3-8885-30db6e819d80.JPG.296x216.jpg', '满五年唯一，红本在手，临湖通透三房', '丰泽湖山庄  | 3室2厅 | 103.79平米 | 东 | 简装 | 有电梯', '中楼层(共9层)2003年建板塔结合  -  深圳北站', '580万', '单价55883元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0a4940ab-cac8-49c8-a66f-43301e920311.png.296x216.jpg', '滢水山庄精装三房   楼层低户型好   水库自然生态资源', '滢水山庄  | 3室2厅 | 90.22平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1998年建板塔结合  -  民治', '398万', '单价44115元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload28ec1c28-12f1-4fad-adbc-850a09bf0248.jpg.296x216.jpg', '星河传奇 四房两卫 客厅开间3.6米带阳台朝南', '星河传奇二期  | 4室1厅 | 87.45平米 | 南 | 其他', '低楼层(共33层)2016年建板塔结合  -  上塘', '600万', '单价68611元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2c75f547-c0bc-4770-b8f1-8e67cdb5086b.png.296x216.jpg', '美丽家园精装大三房东南向港铁4号线清湖地铁站旁', '美丽家园  | 3室1厅 | 101.74平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2002年建板塔结合  -  龙华中心', '420万', '单价41282元/平米')
('https://image1.ljcdn.com/440300-inspection/a6d6b03e-1182-4dcc-b1f6-5dfdf4ab437c.jpg.296x216.jpg', '南国丽园+精装大四房+南北通透+花园中间安静+大阳台', '南国丽园  | 4室2厅 | 137.57平米 | 东南 | 精装 | 有电梯', '高楼层(共17层)2007年建板塔结合  -  龙华中心', '800万', '单价58153元/平米')
('https://image1.ljcdn.com/440300-inspection/eae3207b-fdb4-4b0f-b21d-042f151e1ed7.jpg.296x216.jpg', '世纪春城三期大两房，安静宜居看花园，客厅正出阳台', '世纪春城三期  | 2室2厅 | 77.36平米 | 西北 | 精装 | 有电梯', '中楼层(共16层)2007年建板塔结合  -  深圳北站', '400万', '单价51707元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadbf641f8e-1600-4f3c-be08-82ea34a7d184.jpg.296x216.jpg', '风和日丽 4房户型方正客厅出阳台朝南  适宜居家', '风和日丽  | 4室2厅 | 121.84平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2001年建塔楼  -  深圳北站', '520万', '单价42679元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c73dd399-e4dc-4eee-b8fe-093d842f2935.png.296x216.jpg', '金地梅陇镇三期高层，南向满五，税少业主诚心出售', '金地梅陇镇三期  | 3室2厅 | 87.64平米 | 东南 | 其他 | 有电梯', '高楼层(共25层)2008年建板楼  -  深圳北站', '500万', '单价57052元/平米')
('https://image1.ljcdn.com/440300-inspection/33e0ba36-ea87-4fa9-b91f-6257be738ca7.jpg.296x216.jpg', '七里香榭泳池后方南北通透四房  前后7米长阳台 满2', '城投七里香榭  | 4室2厅 | 112.26平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  深圳北站', '665万', '单价59238元/平米')
('https://image1.ljcdn.com/440300-inspection/test-779b6777-058d-46c6-a45d-8b722b341622.png.296x216.jpg', '世纪春城四期 3室2厅 415万', '世纪春城四期  | 3室2厅 | 82.71平米 | 西南 | 其他 | 有电梯', '高楼层(共26层)2008年建板塔结合  -  深圳北站', '415万', '单价50176元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7bf9f256-e04e-4786-939e-65efe9f8d200.png.296x216.jpg', '精装大三房 拎包住。采光通风好 诚心卖 看房方便。', '日出印象一期  | 3室2厅 | 113.69平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2005年建板楼  -  深圳北站', '580万', '单价51016元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c9b3490c-2f3b-46f1-bd0a-dfde3dd72121.png.296x216.jpg', '绿茵华庭〇精装修〇标准大三房O满五年', '绿茵华庭  | 3室2厅 | 91.34平米 | 西北 | 其他 | 无电梯', '高楼层(共7层)2002年建板塔结合  -  龙华中心', '335万', '单价36677元/平米')
('https://image1.ljcdn.com/440300-inspection/bb7ccc17-44dc-4306-8957-4bf75e17b853.jpg.296x216.jpg', '港铁天颂标准三房两卫客厅正出大阳台', '港铁天颂  | 3室1厅 | 88.87平米 | 东南 | 毛坯', '低楼层(共48层)2017年建暂无数据  -  龙华中心', '510万', '单价57388元/平米')
('https://image1.ljcdn.com/440300-inspection/a43e783d-6c61-419f-a8f1-f3cf4dae42f0.JPG.296x216.jpg', '春华复试房，朝南看花园，位置好', '春华四季园二期  | 4室1厅 | 140.66平米 | 南 | 精装 | 有电梯', '高楼层(共5层)2007年建板塔结合  -  民治', '1100万', '单价78203元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9f773e5c-3304-441d-928b-782e1a1915d6.png.296x216.jpg', '龙光四房，使用空间大，大阳台，采光好', '龙光玖龙玺北区  | 4室2厅 | 88.7平米 | 东南 | 精装', '中楼层(共30层)2016年建塔楼  -  深圳北站', '800万', '单价90192元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6ec48b49-876a-42da-b9bd-4b67712888d6.png.296x216.jpg', '中航比较少的三房户型，动静分离，阳台大。阳台朝南。', '中航天逸  | 3室2厅 | 87.18平米 | 南 | 精装 | 有电梯', '低楼层(共36层)2013年建板塔结合  -  深圳北站', '685万', '单价78574元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploada2c56c2a-5d0b-4528-8c7d-8b8568f132ae.jpg.296x216.jpg', '【推荐房源】中海锦城  宜居大三房 上塘地铁站', '中海锦城  | 3室2厅 | 88.43平米 | 东南 | 其他 | 有电梯', '高楼层(共39层)2015年建塔楼  -  上塘', '615万', '单价69547元/平米')
('https://image1.ljcdn.com/440300-inspection/test-51e69c73-0fc4-4f72-88dc-8720fce87fd0.png.296x216.jpg', '长城里程家园 3室2厅 560万', '长城里程家园  | 3室2厅 | 89.67平米 | 东南 | 其他', '中楼层(共11层)2011年建暂无数据  -  上塘', '560万', '单价62452元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e328b83e-cd13-4dba-8cce-816e6c1789ec.png.296x216.jpg', '花园中间 位置安静 厅出阳台 朝南向', '春华四季园一期  | 3室1厅 | 110.86平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板塔结合  -  民治', '560万', '单价50515元/平米')
('https://image1.ljcdn.com/440300-inspection/8aaa1718-9644-4842-9e48-84b7048a6b3d.jpg.296x216.jpg', '北站旁边 精装修三房 全南户型 业主急售 小区安静位置', '金地梅陇镇三期  | 3室1厅 | 88.45平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2008年建板塔结合  -  深圳北站', '460万', '单价52007元/平米')
('https://image1.ljcdn.com/440300-inspection/test-78f3876a-b9ee-42b3-bfd4-97f296e6487d.png.296x216.jpg', '满五年红本，诚心卖，看房方便。', '金地上塘道一期  | 1室1厅 | 45.42平米 | 北 | 其他 | 有电梯', '低楼层(共25层)2010年建塔楼  -  上塘', '269万', '单价59226元/平米')
('https://image1.ljcdn.com/440300-inspection/fe415b41-7be0-4402-8dca-293da30f5aa6.jpg.296x216.jpg', '业主新放盘，别墅景观，15年新装修，满两年', '合正中央原著  | 4室2厅 | 143.29平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2012年建板塔结合  -  上塘', '860万', '单价60019元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ab515b91-efbf-4538-bd9d-86c8c7e7ee9c.png.296x216.jpg', '龙华花半里 精装三房满五唯一 采光充足 交通便利', '龙华花半里花园  | 3室2厅 | 78.94平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2012年建板塔结合  -  龙华中心', '399万', '单价50545元/平米')
('https://image1.ljcdn.com/440300-inspection/test-db5363e1-a73d-4000-a564-62747ed6ae2f.png.296x216.jpg', '大三房 满五唯一 红本在手  看房方便', '煜丰泽花园广场  | 3室2厅 | 90.35平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2002年建板塔结合  -  龙华中心', '390万', '单价43166元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7f4838f5-478d-4d74-afbb-c88c34277c08.png.296x216.jpg', '满五年大两房，三面采光，通透看园林，安静宜居', '世纪春城四期  | 2室2厅 | 83.58平米 | 东南 | 精装 | 有电梯', '低楼层(共26层)2008年建板塔结合  -  深圳北站', '415万', '单价49654元/平米')
('https://image1.ljcdn.com/440300-inspection/d44a2304-a232-49f7-9063-ec1d19d44285.jpg.296x216.jpg', '位置安静看花园景观，89平3房2卫，你值得拥有', '港铁天颂  | 3室1厅 | 88.7平米 | 东南 | 毛坯', '低楼层(共48层)2017年建暂无数据  -  龙华中心', '545万', '单价61444元/平米')
('https://image1.ljcdn.com/440300-inspection/e8930151-eb6b-4650-b901-173c995a8cd0.jpg.296x216.jpg', '金地上塘道一期 精装三房 小区中间位置 高层 满两年', '金地上塘道一期  | 3室1厅 | 89.35平米 | 东南 | 精装 | 有电梯', '高楼层(共25层)2010年建板楼  -  上塘', '565万', '单价63235元/平米')
('https://image1.ljcdn.com/440300-inspection/4be52e16-1442-46b5-b437-5f9f18eb152c.jpg.296x216.jpg', '新华城 2室1厅 380万', '新华城  | 2室1厅 | 77.68平米 | 北 | 精装 | 有电梯', '中楼层(共30层)2010年建板塔结合  -  深圳北站', '380万', '单价48919元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5f715c69-883d-4284-8516-0c7acdf6026a.png.296x216.jpg', '免个税无抵押，龙华地铁口电梯2房，业主诚意出售', '青年城邦园  | 2室2厅 | 57.96平米 | 东南 | 简装 | 有电梯', '中楼层(共13层)2006年建板塔结合  -  龙华中心', '293万', '单价50553元/平米')
('https://image1.ljcdn.com/440300-inspection/081f50a8-3109-4d32-ab23-ed4b169db419.jpg.296x216.jpg', '金地梅陇镇三期，看房方便，花园位置住家安静的3房', '金地梅陇镇三期  | 3室2厅 | 90.79平米 | 南 | 简装 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  深圳北站', '470万', '单价51768元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ca35617b-1fb0-4f83-a128-337313e027e7.png.296x216.jpg', '龙华地铁口 优品建筑 带电梯实用三房 总价低 位置安静', '优品建筑  | 3室2厅 | 114.13平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2004年建板塔结合  -  龙华中心', '510万', '单价44686元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload1c6b0254-37b1-4d2b-bff6-53f166198965.jpg.296x216.jpg', '春华3+1户型，装修保养好，高楼层，采光通风良好', '春华四季园一期  | 4室1厅 | 100.57平米 | 西南 | 精装 | 有电梯', '高楼层(共17层)2006年建板塔结合  -  民治', '590万', '单价58666元/平米')
('https://image1.ljcdn.com/440300-inspection/04196d01-0ab8-47ce-93a6-7854ccd512e3.jpg.296x216.jpg', '港铁天颂 3室2厅 550万', '港铁天颂  | 3室2厅 | 88.06平米 | 南 北 | 其他', '高楼层(共48层)2017年建暂无数据  -  龙华中心', '550万', '单价62458元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload985a6d09-ddd8-49fa-8e05-879a12353e98.jpg.296x216.jpg', '绿景香颂 朝北看花园 满五红本 89平4房仅售560万', '绿景香颂  | 4室2厅 | 89.28平米 | 北 | 精装 | 有电梯', '中楼层(共31层)2012年建板塔结合  -  深圳北站', '560万', '单价62725元/平米')
('https://image1.ljcdn.com/440300-inspection/00f152fd-7d61-421c-abfe-e498f9e208f2.jpg.296x216.jpg', '水榭春天二期带车位 中高层 三房，业主诚心出售', '莱蒙水榭春天二期  | 3室2厅 | 87.84平米 | 东南 | 简装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  深圳北站', '680万', '单价77414元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b2f0121a-326d-42f3-98f3-94f372984c6c.png.296x216.jpg', '潜龙曼海宁南区，3+1房，用心精装修可拎包入住', '潜龙曼海宁花园南区  | 4室2厅 | 121.29平米 | 南 北 | 精装 | 有电梯', '低楼层(共28层)2011年建板楼  -  上塘', '800万', '单价65958元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cf80b34a-624c-42de-8871-e2e9286aec1b.png.296x216.jpg', '位置安静，朝南三房，业主诚心出售', '金地梅陇镇三期  | 3室2厅 | 88.45平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  深圳北站', '493万', '单价55738元/平米')
('https://image1.ljcdn.com/440300-inspection/test-eadf953a-0416-478c-98f7-2358be64df87.png.296x216.jpg', '满两年，精装修保养好，高楼层视野开阔', '华业玫瑰四季馨园一期  | 3室1厅 | 77.48平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2015年建板楼  -  上塘', '550万', '单价70987元/平米')
('https://image1.ljcdn.com/440300-inspection/test-87b3df2e-e7c0-45f8-aef0-8b4388d98cc0.png.296x216.jpg', '大三房 中间楼层  花园中间 朝正南  视野开阔', '滢水山庄  | 3室1厅 | 100.22平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1998年建板塔结合  -  民治', '439万', '单价43804元/平米')
('https://image1.ljcdn.com/440300-inspection/8c276c8c-0052-4c8b-ab66-73a91959624b.jpg.296x216.jpg', '丹枫雅苑小两房  满两年 税费少 业主诚心出售', '丹枫雅苑  | 2室1厅 | 57.25平米 | 东南 | 其他 | 有电梯', '高楼层(共24层)2008年建塔楼  -  龙华中心', '290万', '单价50656元/平米')
('https://image1.ljcdn.com/440300-inspection/test-000a9d63-7a66-41d7-9a94-6fff84aaaf5a.png.296x216.jpg', '精装大四房 厅出阳台看花园 交通便利配套齐全安静宜居', '莱蒙水榭春天二期  | 4室2厅 | 140.73平米 | 南 北 | 精装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  深圳北站', '900万', '单价63953元/平米')
('https://image1.ljcdn.com/440300-inspection/test-437b274f-bd88-4b8d-bc43-89896c76ec09.png.296x216.jpg', '世纪春城四期精装三房，位置安静，满五年，', '世纪春城四期  | 3室2厅 | 111.86平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2008年建板塔结合  -  深圳北站', '620万', '单价55427元/平米')
('https://image1.ljcdn.com/440300-inspection/test-271f6d8f-d40f-4f5a-8159-5c187a72c500.png.296x216.jpg', '华盛观荟之遇见暖心房东是一种什么体验', '华盛观荟  | 3室1厅 | 63.66平米 | 南 | 其他 | 有电梯', '高楼层(共27层)板塔结合  -  观澜', '263万', '单价41314元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8be8cd62-493b-4fa9-aaaf-d2483225a5a7.png.296x216.jpg', '民乐地铁口 书香门第两房 满五年唯一 高楼层 视野好', '书香门第名苑  | 2室1厅 | 65.96平米 | 南 | 其他 | 有电梯', '高楼层(共23层)2005年建板楼  -  深圳北站', '450万', '单价68224元/平米')
('https://image1.ljcdn.com/440300-inspection/0c5c5b13-0efa-438e-a5b6-28d3b331ec75.jpg.296x216.jpg', '龙华地铁口物业 中洲旧改待拆迁小区 锦绣花园实用两房', '锦绣花园  | 2室1厅 | 74.6平米 | 西北 | 其他 | 无电梯', '中楼层(共8层)1994年建板楼  -  龙华中心', '285万', '单价38204元/平米')
('https://image1.ljcdn.com/440300-inspection/358cd36c-7596-4695-bcc4-384208c509f4.jpg.296x216.jpg', '深圳北站 大四房 南北通透双阳台 外国语 看花园 安静', '星河盛世  | 4室2厅 | 132.91平米 | 南 北 | 精装 | 有电梯', '低楼层(共30层)2013年建板塔结合  -  民治', '900万', '单价67715元/平米')
('https://image1.ljcdn.com/440300-inspection/50e40688-4bae-42db-b5ea-ae6635cee865.jpg.296x216.jpg', '50万居家精装，带私家花园，诚心出售', '日出印象一期  | 3室2厅 | 91.81平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  深圳北站', '520万', '单价56639元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2bff18d7-c759-4edc-ab01-19d282d78130.png.296x216.jpg', '此房满五唯一，楼层好，视野宽阔', '万科金域华府  | 3室2厅 | 89.04平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  深圳北站', '720万', '单价80863元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7bd1f884-84f8-4097-9714-b10e72f0d732.png.296x216.jpg', '金地梅陇镇花园高楼层三房精装修，视野开阔采光足', '金地梅陇镇三期  | 3室2厅 | 87.64平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2008年建板楼  -  深圳北站', '499万', '单价56938元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e62e17c7-4f65-4e2c-9154-eee9a7458953.png.296x216.jpg', '金地鹭湖1号 3室1厅 395万', '金地鹭湖1号  | 3室1厅 | 89.35平米 | 南 | 其他 | 有电梯', '高楼层(共16层)2015年建板塔结合  -  观澜', '395万', '单价44209元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6fc12513-ed50-4c06-9de1-f6a1f87ddda1.png.296x216.jpg', '金地梅陇镇二期 大三房 位置安静 采光好', '金地梅陇镇二期  | 3室2厅 | 111.11平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  深圳北站', '615万', '单价55351元/平米')
('https://image1.ljcdn.com/440300-inspection/88828af2-95a5-4d51-9021-12138b1d1363.jpg.296x216.jpg', '房子满2年，税费低，户型格局好，居家装修优质3房', '华业玫瑰四季馨园一期  | 3室2厅 | 72.86平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2015年建板楼  -  上塘', '540万', '单价74115元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ca6bcb87-725d-47cb-bd0b-4116d77f0328.png.296x216.jpg', '金地梅陇镇花园塔楼户型，位置好，户型正，装修保养好', '金地梅陇镇三期  | 4室2厅 | 135.62平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2008年建板楼  -  深圳北站', '780万', '单价57514元/平米')
('https://image1.ljcdn.com/440300-inspection/test-95db3a30-b376-4135-b8b1-4eb71372c0b0.png.296x216.jpg', '幸福城三期 3室2厅 520万', '幸福城三期  | 3室2厅 | 88.98平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2015年建板塔结合  -  龙华中心', '520万', '单价58441元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload43d08239-053b-470f-9cfc-31caf2a5c834.jpg.296x216.jpg', '此房满五年红本在手，交易流程快，无需赎楼费。', '锦绣江南三期  | 3室2厅 | 105.89平米 | 南 北 | 其他 | 有电梯', '低楼层(共15层)2005年建板楼  -  深圳北站', '480万', '单价45331元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dfff8f3f-ac0c-4f42-b246-9fb89318ce47.png.296x216.jpg', '地铁口 大三房 精装修 中间楼层，业主诚心出售', '大信花园  | 3室2厅 | 97.22平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)2002年建板塔结合  -  龙华中心', '430万', '单价44230元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ec30aa4f-1364-45ce-8ac7-017e51ba5693.png.296x216.jpg', '龙光玖龙玺北区智能精装四房 中间楼层业主换房诚售', '龙光玖龙玺北区  | 4室2厅 | 88.59平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2016年建塔楼  -  深圳北站', '780万', '单价88047元/平米')
('https://image1.ljcdn.com/440300-inspection/895a6d90-7bb3-42d3-afdb-bd7fccc682a5.jpg.296x216.jpg', '七里香榭4房，满五年，带车位，位置安静，红本在手', '城投七里香榭  | 4室2厅 | 111.4平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  深圳北站', '650万', '单价58349元/平米')
('https://image1.ljcdn.com/440300-inspection/52bf2d7c-38c9-4eec-96cd-adca796856b4.JPG.296x216.jpg', '城建下叠别墅，赠送高。送固定车位', '城建仁山智水花园一期   | 叠拼别墅 | 5室2厅 | 216.7平米 | 南 | 其他 | 无电梯', '上叠(共1层)2015年建暂无数据  -  观澜', '1500万', '单价69221元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0aa8c9dd-b57d-49d6-b0dc-64561d4bc49b.png.296x216.jpg', '百万装修 满五唯一 朝南向 位置安静', '合正中央原著  | 4室2厅 | 145.03平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2012年建板楼  -  上塘', '1020万', '单价70331元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4f8be51b-536a-4532-83fb-4464e73f79d9.png.296x216.jpg', '九方购物楼上 红山地铁口 高楼层大两房 红本满五年', '中航天逸  | 2室2厅 | 78.34平米 | 南 | 其他 | 有电梯', '高楼层(共36层)2013年建板塔结合  -  深圳北站', '530万', '单价67654元/平米')
('https://image1.ljcdn.com/440300-inspection/test-64f5a309-6649-4b13-ba72-f2b3e2f49109.png.296x216.jpg', '深圳北商圈 潜龙鑫茂花园A区 两房 朝南朝花园', '潜龙鑫茂花园A区  | 2室2厅 | 69.33平米 | 南 | 其他 | 有电梯', '中楼层(共12层)2006年建板塔结合  -  民治', '395万', '单价56974元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadf2edf8af-4ca7-431b-84cf-b3531cf5fc53.jpg.296x216.jpg', '青年城邦园 2室1厅 299万', '青年城邦园  | 2室1厅 | 57.88平米 | 东南 | 其他 | 有电梯', '低楼层(共13层)2006年建板塔结合  -  龙华中心', '299万', '单价51659元/平米')
('https://image1.ljcdn.com/440300-inspection/3f69c14e-6421-4d2c-9e4d-12f82d84eb62.JPG.296x216.jpg', '幸福城，双拼新装修电梯房子，看房子方便有钥匙', '幸福城三期  | 5室1厅 | 157.81平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2015年建板塔结合  -  龙华中心', '700万', '单价44358元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e5135aba-1448-4568-b296-a6d4f07d6292.png.296x216.jpg', '东华明珠园 4室2厅 680万', '东华明珠园  | 4室2厅 | 137.99平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2007年建塔楼  -  龙华中心', '680万', '单价49279元/平米')
('https://image1.ljcdn.com/440300-inspection/test-19261407-1313-4c82-9770-1532b2b97f13.png.296x216.jpg', '金地上塘道 金地物业  已改两房 小面积大套内', '金地上塘道二期  | 2室1厅 | 34.29平米 | 北 | 其他 | 有电梯', '中楼层(共29层)2011年建板塔结合  -  上塘', '312万', '单价90989元/平米')
('https://image1.ljcdn.com/440300-inspection/test-acf03286-5a1f-4511-ad0c-37849429c9e2.png.296x216.jpg', '金地梅陇镇二期 3室2厅 570万', '金地梅陇镇二期  | 3室2厅 | 104.21平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2007年建板塔结合  -  深圳北站', '570万', '单价54698元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1d3f13e6-bcd1-4208-b66b-6d203266b899.png.296x216.jpg', '潜龙鑫茂花园A区新装修一房一厅 中间楼层 业主诚心卖', '潜龙鑫茂花园A区  | 1室1厅 | 35.18平米 | 北 | 其他 | 有电梯', '中楼层(共12层)2006年建板塔结合  -  民治', '220万', '单价62536元/平米')
('https://image1.ljcdn.com/440300-inspection/b74937fa-7ca5-438c-abe2-b526025785b3.jpg.296x216.jpg', '精装两房，看花园泳池，自住保养好，看房方便。', '金地上塘道一期  | 2室1厅 | 64.98平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2010年建板楼  -  上塘', '380万', '单价58480元/平米')
('https://image1.ljcdn.com/440300-inspection/68d56a25-10d8-482f-bb60-35acc3f8923d.JPG.296x216.jpg', '溪山 5室2厅 720万', '溪山  | 5室2厅 | 121.5平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2009年建板塔结合  -  深圳北站', '720万', '单价59260元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6375e5d4-aae5-43ed-911d-1b3bba92100e.png.296x216.jpg', '玉华花园 居家大三房 客厅宽敞 满五年 看花园采光好', '玉华花园  | 3室2厅 | 105.1平米 | 西 | 简装 | 无电梯', '高楼层(共8层)1995年建板塔结合  -  龙华中心', '380万', '单价36157元/平米')
('https://image1.ljcdn.com/440300-inspection/test-741f0421-7572-4fc8-91e2-c8499ee9f58f.png.296x216.jpg', '金玲花园 大三房 低楼层户型好 满五唯一 业主诚心出售', '金玲花园  | 3室2厅 | 96.9平米 | 东南 | 简装 | 无电梯', '中楼层(共8层)1998年建板塔结合  -  龙华中心', '390万', '单价40248元/平米')
