('https://image1.ljcdn.com/340100-inspection/84da976b-a06e-477d-a6f4-542f1a6a88b9.jpg.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室2厅 170万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.3平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '170万', '单价19699元/平米')
('https://image1.ljcdn.com/340100-inspection/b5f14d9d-6425-45a1-8069-b5365563df78.JPG.296x216.jpg', '产证满五唯一，居家装修，视野好', '世纪城春融苑  | 2室1厅 | 82.07平米 | 南 北 | 其他', '低楼层(共33层)2008年建塔楼  -  滨湖世纪', '148万', '单价18034元/平米')
('https://image1.ljcdn.com/340100-inspection/test-20f9dfcf-291a-4186-b80b-0b51e48591c1.png.296x216.jpg', '房型方正另送53平米景观大露台，房东精装自住看房方便', '滨湖世纪城福徽苑  | 5室2厅 | 240平米 | 南 | 其他', '中楼层(共42层)2010年建塔楼  -  滨湖世纪', '435万', '单价18125元/平米')
('https://image1.ljcdn.com/340100-inspection/9f97639e-0753-4080-8e45-c0491f152103.JPG.296x216.jpg', '世纪城徽杰苑 3室2厅 215万', '世纪城徽杰苑  | 3室2厅 | 120.78平米 | 南 | 其他', '高楼层(共28层)2011年建塔楼  -  滨湖世纪', '215万', '单价17801元/平米')
('https://image1.ljcdn.com/340100-inspection/7856c450-c0f0-46e5-a94a-a7978adfe24a.JPG.296x216.jpg', '【南北通透+大三室+双阳台+采光充足】', '高速滨湖时代广场  | 3室2厅 | 174.73平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  烟墩', '320万', '单价18314元/平米')
('https://image1.ljcdn.com/340100-inspection/fee807c5-7983-4827-9bed-5eccf255d4c8.JPG.296x216.jpg', '中间楼层，总价单价低。前排无遮挡直观巢湖', '临湖苑F区  | 2室2厅 | 79.53平米 | 南 | 其他', '低楼层(共29层)2015年建塔楼  -  环湖CBD', '150万', '单价18861元/平米')
('https://image1.ljcdn.com/340100-inspection/1f309de8-271e-4a19-9262-3bd304694e4e.JPG.296x216.jpg', '枫丹园 直观塘西河公园 南北大三居 精装修', '蓝鼎滨湖假日枫丹园  | 4室2厅 | 137.46平米 | 南 北 | 其他', '中楼层(共32层)2014年建塔楼  -  滨湖世纪', '358万', '单价26044元/平米')
('https://image1.ljcdn.com/340100-inspection/95852afc-4487-429b-9ff7-106a917a7775.JPG.296x216.jpg', '简单装修，家具家电齐全 双本部，', '滨湖惠园  | 2室2厅 | 56.08平米 | 东 北 | 其他', '低楼层(共28层)2008年建塔楼  -  滨湖世纪', '83万', '单价14801元/平米')
('https://image1.ljcdn.com/340100-inspection/37909839-ab3a-4051-8c43-08c2ce38f274.jpg.296x216.jpg', '南北通透东边户 大三房 满5年 送车位 急售', '世纪城徽昌苑  | 3室2厅 | 114.81平米 | 南 北 | 简装', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '186万', '单价16201元/平米')
('https://image1.ljcdn.com/340100-inspection/1fc6e0b9-63ef-411f-9ae6-cc699be449c1.JPG.296x216.jpg', '万达揽湖苑 配套齐全 交通便利 繁华商圈', '万达揽湖苑  | 3室2厅 | 103.22平米 | 南 北 | 其他', '低楼层(共32层)2016年建板楼  -  环湖CBD', '190万', '单价18408元/平米')
('https://image1.ljcdn.com/340100-inspection/f6ab3a90-cb61-4eee-ba47-3efbf94f14ac.JPG.296x216.jpg', '滨湖万科城，经典3房，万科精装三居室，带车位', '滨湖万科城  | 3室2厅 | 94.07平米 | 南 | 精装', '中楼层(共41层)2013年建塔楼  -  烟墩', '220万', '单价23387元/平米')
('https://image1.ljcdn.com/340100-inspection/5a71087c-1392-4536-b6a8-d3b6a23c83ed.JPG.296x216.jpg', '中铁滨湖名邸 2室2厅 169万', '中铁滨湖名邸  | 2室2厅 | 93.82平米 | 南 | 其他', '低楼层(共30层)2013年建塔楼  -  烟墩', '169万', '单价18014元/平米')
('https://image1.ljcdn.com/340100-inspection/4cdbb791-7d19-48d4-8eba-e6e601d73608.JPG.296x216.jpg', '【满2年+无尾款+带车位+市政供暖+中间楼层采光好】', '锦绣淮苑  | 3室2厅 | 143.9平米 | 南 北 | 其他', '中楼层(共18层)2011年建塔楼  -  烟墩', '285万', '单价19806元/平米')
('https://image1.ljcdn.com/340100-inspection/9011bbc2-4e9e-468b-bd95-e60c3490b5ab.JPG.296x216.jpg', '业主想换大房子精装修可拎包入住看房方便', '世纪城振徽苑  | 4室2厅 | 149.18平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '280万', '单价18770元/平米')
('https://image1.ljcdn.com/340100-inspection/50039263-e14d-4852-a51b-7432f25472f6.JPG.296x216.jpg', '徽昌苑大户型精装修南北通透视野开阔', '世纪城徽昌苑  | 4室2厅 | 140.85平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '260万', '单价18460元/平米')
('https://image1.ljcdn.com/340100-inspection/1acb6b9c-f822-4767-904c-042926094eb6.JPG.296x216.jpg', '翰林苑 一居改两居室 双落地阳台 采光超级好', '蓝鼎滨湖假日翰林苑  | 2室1厅 | 67.69平米 | 南 | 其他', '高楼层(共33层)2008年建板塔结合  -  滨湖世纪', '132万', '单价19501元/平米')
('https://image1.ljcdn.com/340100-inspection/218ee0c4-2fd2-4e14-ac7d-ef82f2093879.JPG.296x216.jpg', '宝能城二期  大四房 诚心出售  采光视野', '宝能城二期  | 4室2厅 | 108平米 | 南 | 其他', '高楼层(共34层)塔楼  -  环湖CBD', '195万', '单价18056元/平米')
('https://image1.ljcdn.com/340100-inspection/3c607805-eed6-4112-8bf2-065b740fa604.JPG.296x216.jpg', '宝能城三房边户诚售 总价低  采光好   南北通透', '宝能城  | 3室2厅 | 94.45平米 | 南 北 | 其他', '高楼层(共24层)2015年建板楼  -  环湖CBD', '170万', '单价17999元/平米')
('https://image1.ljcdn.com/340100-inspection/e09d16cc-1b87-4631-9b23-39715ae7c03f.JPG.296x216.jpg', '方正边户三房南北通透中层 地段优越 购物方便满2年', '临湖苑A区  | 3室2厅 | 95.26平米 | 南 西 北 | 其他', '中楼层(共34层)2014年建塔楼  -  环湖CBD', '196万', '单价20576元/平米')
('https://image1.ljcdn.com/340100-inspection/1d2c533f-cd81-459b-bce1-04d392b96800.JPG.296x216.jpg', '滨湖假日清华园 朝南三房 精装修 视野采光好', '蓝鼎滨湖假日清华园  | 3室2厅 | 86.29平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '183万', '单价21208元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload58dab268-5c42-43e6-b3c2-ace5321ca080.JPG.296x216.jpg', '滨湖万科城 带车位精装好房 采光好 居住舒适 业主诚卖', '滨湖万科城  | 3室2厅 | 92.15平米 | 南 | 精装', '中楼层(共34层)2013年建塔楼  -  烟墩', '195万', '单价21162元/平米')
('https://image1.ljcdn.com/340100-inspection/5928854a-f151-4a2a-b5f6-5a9c25953ae6.JPG.296x216.jpg', '生态环境好，毛坯房可随意装修， 南北通透，市政供暖', '高速滨湖时代广场  | 2室2厅 | 88.54平米 | 南 | 其他', '高楼层(共33层)2011年建塔楼  -  烟墩', '175万', '单价19766元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade40c12dc-6f0f-4d9c-88d0-e9feca7a5186.JPG.296x216.jpg', '万象公馆南区 大面积 大三房  大客厅 南北通透', '万象公馆南区  | 3室2厅 | 135.86平米 | 南 北 | 毛坯', '低楼层(共33层)2016年建塔楼  -  烟墩', '210万', '单价15458元/平米')
('https://image1.ljcdn.com/340100-inspection/d89a7c36-d2ce-4c4d-a926-e4d1ce71f7cd.JPG.296x216.jpg', '锦绣淮苑 3室2厅 256万', '锦绣淮苑  | 3室2厅 | 128平米 | 南 | 其他', '高楼层(共26层)2011年建塔楼  -  烟墩', '256万', '单价20000元/平米')
('https://image1.ljcdn.com/340100-inspection/4ec1c021-d377-480f-85a0-695d27cd0774.JPG.296x216.jpg', '滨湖明珠 市政供暖 满五年 通透边户 采光视野好', '滨湖明珠  | 3室2厅 | 127.62平米 | 南 北 | 其他', '低楼层(共33层)2007年建塔楼  -  滨湖世纪', '320万', '单价25075元/平米')
('https://image1.ljcdn.com/340100-inspection/db35b36d-f248-4725-8f46-922a1a1d20cc.JPG.296x216.jpg', '万达揽湖苑 2室1厅 140万', '万达揽湖苑  | 2室1厅 | 77.02平米 | 南 | 其他', '中楼层(共31层)2016年建板楼  -  环湖CBD', '140万', '单价18178元/平米')
('https://image1.ljcdn.com/340100-inspection/a449e07b-1b4a-4f43-ac74-f325439dce4e.JPG.296x216.jpg', '万达茂银泰城精装三房满两年中央空调带暖气拎包入住', '万达揽湖苑  | 3室2厅 | 100.27平米 | 南 | 其他', '低楼层(共34层)2016年建板楼  -  环湖CBD', '185万', '单价18451元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload71a6d293-1a2c-4411-b4d1-bbcb47fb035f.JPG.296x216.jpg', '高速民住公寓，外地户口可以买，公摊小，拎包入住', '高速时代广场公寓  | 2室2厅 | 81.72平米 | 南 | 其他', '中楼层(共17层)2014年建塔楼  -  烟墩', '95万', '单价11626元/平米')
('https://image1.ljcdn.com/340100-inspection/580691d2-f675-499e-95c2-544bd439a7e1.jpg.296x216.jpg', '满两年，精装修小三室 南北通透，采光好 看房方便', '华盛格林丽景  | 3室2厅 | 89.44平米 | 南 北 | 其他', '中楼层(共22层)塔楼  -  工业园', '145万', '单价16212元/平米')
('https://image1.ljcdn.com/340100-inspection/8203502f-75ab-4617-8942-c27f9eaa42db.JPG.296x216.jpg', '精装修，家具电器齐全，拎包入住，随时看房', '未来领地  | 3室2厅 | 74平米 | 南 | 其他', '高楼层(共23层)塔楼  -  环湖CBD', '70万', '单价9460元/平米')
('https://image1.ljcdn.com/340100-inspection/fa79a4c1-b7ea-4536-aada-9f52999b5771.JPG.296x216.jpg', '万达三期亲湖苑，通透三房，日照充足两卧室向南', '亲湖苑B区  | 3室2厅 | 97.49平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  环湖CBD', '182万', '单价18669元/平米')
('https://image1.ljcdn.com/340100-inspection/3423b889-4d66-4a47-80df-8081d75b77dc.JPG.296x216.jpg', '临湖苑D区 3室2厅 210万', '临湖苑D区  | 3室2厅 | 118.11平米 | 南 | 其他', '低楼层(共28层)2015年建塔楼  -  环湖CBD', '210万', '单价17781元/平米')
('https://image1.ljcdn.com/340100-inspection/e5f99db8-214c-4c03-ac00-9f0e975c2dcc.JPG.296x216.jpg', '联投中心书城 4室2厅 203万', '联投中心书城  | 4室2厅 | 102.42平米 | 南 北 | 其他', '低楼层(共22层)暂无数据  -  环湖CBD', '203万', '单价19821元/平米')
('https://image1.ljcdn.com/340100-inspection/fe178d71-f050-4780-9eff-747a67ba0329.JPG.296x216.jpg', '旭辉御府 精装三房 楼层好 看房方便', '旭辉御府  | 3室2厅 | 94.52平米 | 南 北 | 其他', '中楼层(共34层)2014年建板楼  -  烟墩', '195万', '单价20631元/平米')
('https://image1.ljcdn.com/340100-inspection/c4440227-0e43-4691-9156-d56fa57b3c71.jpg.296x216.jpg', '高速开发  时代城一期 看房随时 满两年 业主诚心出售', '高速时代城一期  | 2室1厅 | 90.54平米 | 南 | 其他', '低楼层(共32层)2016年建塔楼  -  方兴', '178万', '单价19660元/平米')
('https://image1.ljcdn.com/340100-inspection/8ab50196-2383-47bf-896d-07d55e850b45.jpg.296x216.jpg', '蓝鼎观湖苑 3室2厅 200万', '蓝鼎观湖苑  | 3室2厅 | 116.85平米 | 南 北 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '200万', '单价17116元/平米')
('https://image1.ljcdn.com/340100-inspection/e7baa779-3d0c-4da1-a890-e4e6aa83ee7c.JPG.296x216.jpg', '三开间朝南 户型方正 满两年 采光好 滨湖世纪城', '世纪城徽杰苑  | 3室2厅 | 137平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '246万', '单价17957元/平米')
('https://image1.ljcdn.com/340100-inspection/8a395f60-084f-437b-95e0-734899acaeba.JPG.296x216.jpg', '万象公馆南区 3室2厅 170万', '万象公馆南区  | 3室2厅 | 95.28平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  烟墩', '170万', '单价17843元/平米')
('https://image1.ljcdn.com/340100-inspection/1cce52cd-b527-40f1-a2ec-2b626e47c831.jpg.296x216.jpg', '水丽坊自在城 3室1厅 185万', '水丽坊自在城  | 3室1厅 | 117平米 | 南 北 | 其他', '低楼层(共33层)塔楼  -  工业园', '185万', '单价15812元/平米')
('https://image1.ljcdn.com/340100-inspection/dca981bd-5ca8-4f70-9193-db26f360bd48.jpg.296x216.jpg', '188万送15万产权车位，价格可谈，房东诚意卖房', '万达揽湖苑  | 3室2厅 | 93.8平米 | 南 | 毛坯', '高楼层(共34层)2016年建板楼  -  环湖CBD', '188万', '单价20043元/平米')
('https://image1.ljcdn.com/340100-inspection/49cfa98c-7320-41cc-95c6-17d4f1717e4a.JPG.296x216.jpg', '文华阁 南北通透 精装修业主自住三房 楼层好 视野开阔', '文华阁  | 3室2厅 | 88.31平米 | 南 北 | 精装', '低楼层(共33层)2012年建塔楼  -  滨湖世纪', '215万', '单价24347元/平米')
('https://image1.ljcdn.com/340100-inspection/8be4b296-1b15-4a7c-bcb2-222ac820db79.JPG.296x216.jpg', '高速公寓 民用用电通燃气，精装修，拎包入住', '高速时代广场公寓  | 1室1厅 | 51.67平米 | 南 | 精装', '高楼层(共17层)2014年建塔楼  -  烟墩', '46万', '单价8903元/平米')
('https://image1.ljcdn.com/340100-inspection/5333fec7-184c-4fa5-9107-b94f447a8915.JPG.296x216.jpg', '滨湖家园 3室1厅 180万', '滨湖家园  | 3室1厅 | 82.94平米 | 南 | 其他', '中楼层(共18层)2009年建塔楼  -  滨湖世纪', '180万', '单价21703元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload10c5c6f9-ec52-478f-9d9d-8576e0184fa3.JPG.296x216.jpg', '全南户型 采光好 业主诚售 宜居优选 视野好 享受生活', '华冶水晶公馆  | 2室1厅 | 92.77平米 | 南 | 毛坯', '高楼层(共30层)2014年建塔楼  -  烟墩', '160万', '单价17247元/平米')
('https://image1.ljcdn.com/340100-inspection/4919bdb5-b15e-4f43-9c55-786ffbb1ae2e.JPG.296x216.jpg', '岸上草原旁一号线揽湖苑宽敞边户大三房简装', '万达揽湖苑  | 3室2厅 | 111.23平米 | 南 北 | 其他', '低楼层(共34层)2016年建板楼  -  环湖CBD', '220万', '单价19779元/平米')
('https://image1.ljcdn.com/340100-inspection/66e33c5f-a7a5-4d81-b324-54b9b177c696.JPG.296x216.jpg', '精装修、诚意出售，可拎包入住！', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.2平米 | 南 北 | 其他', '低楼层(共33层)2008年建塔楼  -  滨湖世纪', '210万', '单价24362元/平米')
('https://image1.ljcdn.com/340100-inspection/fcb804a2-cd52-45d8-84be-4b639fe7c8ec.JPG.296x216.jpg', '万达揽湖苑 3室2厅 185万', '万达揽湖苑  | 3室2厅 | 104平米 | 南 北 | 其他', '低楼层(共25层)2016年建板楼  -  环湖CBD', '185万', '单价17789元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload86c47fc6-21ae-4676-8e6a-4fe0cd6f6814.jpg.296x216.jpg', '世纪城通透南阳台三房，采光充足，有钥匙，随时看房。', '世纪城临滨苑  | 3室2厅 | 125.46平米 | 南 北 | 简装', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '225万', '单价17935元/平米')
('https://image1.ljcdn.com/340100-inspection/8ef1c2d1-293f-4c99-8f90-ffd2f6600b0b.JPG.296x216.jpg', '三开间朝南，万科统一装修，户型正，诚心卖、', '滨湖万科城  | 3室2厅 | 88.85平米 | 南 | 其他', '高楼层(共31层)2013年建板楼  -  烟墩', '185万', '单价20822元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2a24a4cc-9af6-4374-a346-5f1d8c30aa9e.JPG.296x216.jpg', '滨湖书香门第 精装三房 小区中间 看房方便 诚心出售', '书香门第西区  | 3室2厅 | 124.42平米 | 南 北 | 其他', '高楼层(共34层)2013年建塔楼  -  滨湖世纪', '300万', '单价24112元/平米')
('https://image1.ljcdn.com/340100-inspection/test-02322959-13a5-492f-95ad-793b5c562544.png.296x216.jpg', '世纪城振徽苑 1室1厅 97万', '世纪城振徽苑  | 1室1厅 | 54平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '97万', '单价17963元/平米')
('https://image1.ljcdn.com/340100-inspection/30d1d006-5e2b-4d76-8e2c-61dfb810cbb7.JPG.296x216.jpg', '东方蓝海一期小三房 总价低 位置好 随时看房', '东方蓝海  | 3室2厅 | 93平米 | 南 | 其他', '低楼层(共33层)2014年建板楼  -  环湖CBD', '148万', '单价15914元/平米')
('https://image1.ljcdn.com/340100-inspection/e4ca6700-dd55-4f65-9e73-e451f2b541c0.JPG.296x216.jpg', '万象公馆南区 3室2厅 220万', '万象公馆南区  | 3室2厅 | 122.9平米 | 南 | 其他', '高楼层(共21层)2016年建塔楼  -  烟墩', '220万', '单价17901元/平米')
('https://image1.ljcdn.com/340100-inspection/0a00ed9e-b30e-41db-a649-151637044f2e.JPG.296x216.jpg', '清华园，南北通透两房，诚信出售，位置好，采光充足', '蓝鼎滨湖假日清华园  | 2室2厅 | 89.48平米 | 南 北 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '188万', '单价21011元/平米')
('https://image1.ljcdn.com/340100-inspection/e6ff1f15-0da3-4662-917f-9be6bb6da721.JPG.296x216.jpg', '保利海上五月花 3室2厅 215万', '保利海上五月花  | 3室2厅 | 93.14平米 | 南 | 其他', '高楼层(共26层)2016年建塔楼  -  环湖CBD', '215万', '单价23084元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload368088dd-7dfb-4460-9910-64da2d83992c.jpg.296x216.jpg', '南北通透大三房，小区中间位置，视野开阔，采光无遮挡', '高速时代城二期  | 3室2厅 | 183.12平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  方兴', '330万', '单价18021元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadfa422b4c-b7a5-4399-bc14-3a0f499c083b.jpg.296x216.jpg', '《房主诚心置换》送装修，送家具，送家电，有车位！赞', '蓝鼎观湖苑  | 3室2厅 | 102.82平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  滨湖世纪', '190万', '单价18479元/平米')
('https://image1.ljcdn.com/340100-inspection/c78d79cd-8665-401e-b87e-bd9bd015bf14.JPG.296x216.jpg', '高速滨湖时代广场 3室2厅 280万', '高速滨湖时代广场  | 3室2厅 | 123平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  烟墩', '280万', '单价22765元/平米')
('https://image1.ljcdn.com/340100-inspection/282c3c16-87d2-4b88-a184-a92a437af865.JPG.296x216.jpg', '亲湖苑B区 2室2厅 155万', '亲湖苑B区  | 2室2厅 | 87.56平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  环湖CBD', '155万', '单价17703元/平米')
('https://image1.ljcdn.com/340100-inspection/917438e0-b158-4a89-8bd9-9c38bcedd5e9.JPG.296x216.jpg', '临湖苑C区 3室2厅 185万', '临湖苑C区  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  环湖CBD', '185万', '单价19073元/平米')
('https://image1.ljcdn.com/340100-inspection/b81aca95-7e54-4acf-8b7e-90db3fbc8849.jpg.296x216.jpg', '南丽湾 2室2厅 120万', '南丽湾  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共18层)塔楼  -  工业园', '120万', '单价13484元/平米')
('https://image1.ljcdn.com/340100-inspection/00006117-2892-4b50-8f98-80daf1074ee7.JPG.296x216.jpg', '保利海上五月花D区 3室2厅 188万', '保利海上五月花D区  | 3室2厅 | 93.94平米 | 南 | 其他', '低楼层(共32层)2018年建塔楼  -  环湖CBD', '188万', '单价20013元/平米')
('https://image1.ljcdn.com/340100-inspection/935ab339-eb7a-40da-a66d-7cfd9ef29c7f.JPG.296x216.jpg', '琼林苑 精装修 大三房 中间楼层 采光很好 好房', '世纪城琼林苑  | 3室2厅 | 110.44平米 | 南 北 | 其他', '低楼层(共30层)2011年建塔楼  -  滨湖世纪', '220万', '单价19921元/平米')
('https://image1.ljcdn.com/340100-inspection/51bb6d63-d8cf-4737-be4d-7d19920ffbdb.JPG.296x216.jpg', '琥珀瑞安家园，毛坯两房，中间楼层，采光视野好', '琥珀瑞安家园  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共33层)2016年建塔楼  -  方兴', '156万', '单价17529元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada39a2581-9c39-4c52-8437-06805540ce09.jpg.296x216.jpg', '满五年，高楼层，大阳台，视野采光好', '世纪城春融苑  | 2室2厅 | 93平米 | 南 北 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '165万', '单价17742元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload21140404-cab8-4f4e-a9ce-e3ba499d45f2.JPG.296x216.jpg', '诚心出售地段好 看房方便 业主换大房', '临湖苑E区  | 2室1厅 | 88.79平米 | 南 | 其他', '低楼层(共26层)2014年建板楼  -  环湖CBD', '160万', '单价18021元/平米')
('https://image1.ljcdn.com/340100-inspection/47d895d6-4238-43a3-8d16-46cb2130a610.JPG.296x216.jpg', '文华阁 2室1厅 182万', '文华阁  | 2室1厅 | 65.53平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  滨湖世纪', '182万', '单价27774元/平米')
('https://image1.ljcdn.com/340100-inspection/67a9f049-ff82-4008-a993-1a025e280213.JPG.296x216.jpg', '春融苑两房朝南户型 采光充足中间楼层', '世纪城春融苑  | 2室2厅 | 93.68平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '178万', '单价19001元/平米')
('https://image1.ljcdn.com/340100-inspection/dd2e5e36-d91d-4838-ba14-ff21da2abad5.jpg.296x216.jpg', '盛景融城 2室2厅 133万', '盛景融城  | 2室2厅 | 83平米 | 南 | 其他', '高楼层(共26层)暂无数据  -  工业园', '133万', '单价16025元/平米')
('https://image1.ljcdn.com/340100-inspection/039ff979-2686-4c1b-ab7c-5d59e141af7e.jpg.296x216.jpg', '送50万装修，满5年，中高楼层，看房方便，业主成售', '蓝鼎观湖苑  | 3室2厅 | 112.76平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '235万', '单价20841元/平米')
('https://image1.ljcdn.com/340100-inspection/94467e70-4952-4bab-9296-41a3d01936ba.JPG.296x216.jpg', '高速滨湖时代广场 3室1厅 300万', '高速滨湖时代广场  | 3室1厅 | 138平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  烟墩', '300万', '单价21740元/平米')
('https://image1.ljcdn.com/340100-inspection/981d0adf-2aff-48a9-ab7b-e32e344cbc88.JPG.296x216.jpg', '联投新上四房，户型方正 楼层好 随时看房', '联投中心书城  | 4室2厅 | 101.99平米 | 南 | 其他', '低楼层(共28层)塔楼  -  环湖CBD', '182万', '单价17845元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadab0fdeb5-5b74-4d1d-b498-416e1066840a.jpg.296x216.jpg', '为你而选为你为家 信达银杏尚郡 中装小三房 业主诚卖', '信达银杏尚郡  | 3室2厅 | 88.37平米 | 南 北 | 精装', '低楼层(共29层)暂无数据  -  骆岗', '175万', '单价19804元/平米')
('https://image1.ljcdn.com/340100-inspection/83ebfcb3-59c9-4022-a96f-b3a7f4ff8924.JPG.296x216.jpg', '华冶水晶公馆 毛坯两房 随意装修', '华冶水晶公馆  | 2室2厅 | 92.78平米 | 南 | 其他', '低楼层(共29层)2014年建塔楼  -  烟墩', '168万', '单价18108元/平米')
('https://image1.ljcdn.com/340100-inspection/6c4045d3-3323-4a44-93cc-308a4369f433.JPG.296x216.jpg', '保利拉菲人车分流，环境优美，经典三房送车位', '保利拉菲公馆  | 3室1厅 | 92.34平米 | 南 | 其他', '低楼层(共34层)2014年建板塔结合  -  烟墩', '210万', '单价22743元/平米')
('https://image1.ljcdn.com/340100-inspection/9f15ff81-791a-415f-affd-86440c81e221.JPG.296x216.jpg', '巴黎都市二期 南北通透 边户三房 超大双阳台 诚心出售', '巴黎都市波旁宫  | 3室2厅 | 132平米 | 南 北 | 其他', '中楼层(共34层)2014年建塔楼  -  方兴', '256万', '单价19394元/平米')
('https://image1.ljcdn.com/340100-inspection/150fa7b7-cd78-43bf-80a3-98194fafe879.JPG.296x216.jpg', '银河幸福广场《房东非常诚意卖》《附近商场环绕》', '银河幸福广场  | 3室2厅 | 97.1平米 | 南 北 | 其他', '低楼层(共30层)暂无数据  -  方兴', '190万', '单价19568元/平米')
('https://image1.ljcdn.com/340100-inspection/3e8db361-8e21-4834-af8e-30542fb400ad.JPG.296x216.jpg', '保利五月花精装三房视野开阔拎包入住一级物业人车分流', '保利海上五月花C区  | 3室2厅 | 92平米 | 南 北 | 其他', '高楼层(共34层)塔楼  -  环湖CBD', '195万', '单价21196元/平米')
('https://image1.ljcdn.com/340100-inspection/e72d988d-3e27-458f-b137-11edf50e096b.JPG.296x216.jpg', '此房是标准三房，户型方正，两室朝南，一室朝北', '旭辉御府  | 3室1厅 | 95.26平米 | 南 | 其他', '低楼层(共24层)2014年建板楼  -  烟墩', '175万', '单价18371元/平米')
('https://image1.ljcdn.com/340100-inspection/ffdd819a-3f51-43b9-8554-79229637919d.JPG.296x216.jpg', '揽湖苑大平层，三房朝南，视野好，大平层，随时看房', '万达揽湖苑  | 4室2厅 | 171.9平米 | 南 北 | 其他', '低楼层(共27层)2016年建板楼  -  环湖CBD', '428万', '单价24899元/平米')
('https://image1.ljcdn.com/340100-inspection/b4e254cf-da70-4a0b-a006-c0f2c1ffd5c6.jpg.296x216.jpg', '世纪城南阳台通透三房 采光充足 大阳台', '世纪城徽贵苑  | 3室2厅 | 120.06平米 | 南 北 | 简装', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '235万', '单价19574元/平米')
('https://image1.ljcdn.com/340100-inspection/7dbbcf2a-7131-4ab2-aaa4-8e4db3b4b876.jpg.296x216.jpg', '临滨苑，大户型，南北通透，全天采光，楼层好配套完善', '世纪城临滨苑  | 4室2厅 | 138.99平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '210万', '单价15110元/平米')
('https://image1.ljcdn.com/340100-inspection/dba2494f-fd04-4c8d-8b8b-6321de444904.JPG.296x216.jpg', '中铁中区大三房、两厅通透、毛坯、小区前排', '中铁滨湖名邸  | 3室2厅 | 120.88平米 | 南 北 | 其他', '中楼层(共30层)2013年建塔楼  -  烟墩', '245万', '单价20269元/平米')
('https://image1.ljcdn.com/340100-inspection/012cfd95-8279-4ab2-820e-9a48faa83d52.JPG.296x216.jpg', '滨湖明珠 市政供暖，小区前排，采光好', '滨湖明珠  | 2室2厅 | 86平米 | 南 | 其他', '低楼层(共33层)塔楼  -  滨湖世纪', '205万', '单价23838元/平米')
('https://image1.ljcdn.com/340100-inspection/b4edcfb0-c8f6-42b9-97e9-5a4ad7e3de2c.jpg.296x216.jpg', '信达银杏尚郡，南区，小高层花园洋房，南北通透3房', '信达银杏尚郡  | 3室2厅 | 110.17平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  骆岗', '225万', '单价20423元/平米')
