('https://image1.ljcdn.com/510100-inspection/test-0e6a4f62-2894-40e8-970c-2fd36b6d9f1b.png.296x216.jpg', '高新西区 中海国际 橙郡 装修房', '橙郡一期  | 2室2厅 | 89.68平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '145万', '单价16169元/平米')
('https://image1.ljcdn.com/510100-inspection/test-55b91017-ba28-4027-8d43-4d18e9360433.png.296x216.jpg', '上锦颐园佳境！！！上锦颐园佳境！！！', '上锦颐园佳境  | 2室2厅 | 90.31平米 | 西北 | 其他 | 有电梯', '中楼层(共26层)2011年建板塔结合  -  高新西', '95万', '单价10520元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadfe35e428-1af8-43fa-ae3b-d852d7758d0c.JPG.296x216.jpg', '橙郡三期，I户型，高楼层，装修房', '橙郡三期  | 3室2厅 | 88.52平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '179万', '单价20222元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload770f1ff9-2973-4cb8-ae5f-59336e26e47e.jpg.296x216.jpg', '万景峰二期上下两层公寓，采光视野好', '万景峰二期  | 2室0厅 | 43.15平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建板楼  -  高新西', '40.5万', '单价9386元/平米')
('https://image1.ljcdn.com/510100-inspection/d4c39c41-c7ff-4e02-bb2f-47d04c604995.jpg.296x216.jpg', '上锦颐园佳境  房东自住精装套二', '上锦颐园佳境  | 2室2厅 | 89.93平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  高新西', '89万', '单价9897元/平米')
('https://image1.ljcdn.com/510100-inspection/test-535e35a2-b978-47a3-bf86-1812f77c8ad3.png.296x216.jpg', '金辉悦府 3室2厅 140万', '金辉悦府  | 3室2厅 | 98.68平米 | 东 | 其他 | 有电梯', '中楼层(共18层)2015年建塔楼  -  高新西', '140万', '单价14188元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8aae2683-8f0a-4e5e-ae2d-44f56aa757ff.png.296x216.jpg', '中海国际社区，橙郡二期简装套二', '橙郡二期  | 2室2厅 | 85平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '140万', '单价16471元/平米')
('https://image1.ljcdn.com/510100-inspection/e2ab9653-57f1-414f-85ef-8e1607b2a171.JPG.296x216.jpg', '该房诚心出售，稀有花园洋房、一梯两户', '新希望皇冠国际  | 4室2厅 | 196.27平米 | 南 | 毛坯', '低楼层(共10层)2015年建板楼  -  中海国际', '310万', '单价15795元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3e0aed70-af09-4bf0-b2ff-a3ab680f61fd.jpg.296x216.jpg', '上锦颐园居家装修套二，居住舒适，保存好', '上锦颐园佳境  | 2室1厅 | 88.68平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2011年建板塔结合  -  高新西', '86万', '单价9698元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c0986829-49a9-4e6b-9de6-8a71f7bbb920.png.296x216.jpg', '成都合院一期 2室2厅 114万', '成都合院一期  | 2室2厅 | 86.71平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  高新西', '114万', '单价13148元/平米')
('https://image1.ljcdn.com/510100-inspection/test-512169b2-1a62-4daf-9d0b-5f0de4086def.png.296x216.jpg', '中海国际  橙郡一期  套二出售', '橙郡一期  | 2室2厅 | 89.79平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2007年建板塔结合  -  中海国际', '182万', '单价20270元/平米')
('https://image1.ljcdn.com/510100-inspection/75899ca4-b5da-49ab-9ed5-10bd6fd95c57.JPG.296x216.jpg', '新希望皇冠国际 4室2厅 300万', '新希望皇冠国际  | 4室2厅 | 135.05平米 | 东南 | 其他', '高楼层(共10层)2015年建板楼  -  中海国际', '300万', '单价22214元/平米')
('https://image1.ljcdn.com/510100-inspection/test-840c5e4d-9236-4f86-86ef-cbff481d8e52.png.296x216.jpg', '芙华金色海伦 2室1厅 80万', '芙华金色海伦  | 2室1厅 | 67平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2010年建板楼  -  高新西', '80万', '单价11941元/平米')
('https://image1.ljcdn.com/510100-inspection/03087948-db87-4e12-aa4d-cedc265db988.jpg.296x216.jpg', '联排别墅 前后花园 临公园 临清水河 空置', '成都合院一期   | 联排别墅 | 5室2厅 | 332.01平米 | 东北 | 毛坯 | 无电梯', '3层2011年建板楼  -  高新西', '498万', '单价15000元/平米')
('https://image1.ljcdn.com/510100-inspection/dab38c26-c744-4064-98f7-950f629f0144.jpg.296x216.jpg', '保利香槟居家装修公寓，层高5.2米，不压抑', '保利香槟国际  | 2室1厅 | 45.54平米 | 南 | 其他 | 有电梯', '高楼层(共10层)2013年建板楼  -  中海国际', '60万', '单价13176元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e61b201f-5360-4b4d-9dcb-a62d7c975c40.png.296x216.jpg', '中海国际社区  橙郡二期  套二 西南向', '橙郡二期  | 2室2厅 | 79.8平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '150万', '单价18797元/平米')
('https://image1.ljcdn.com/510100-inspection/fc9db02d-128d-4d4f-8174-239814ee0c12.jpg.296x216.jpg', '中海国际社区装修套三，客厅带阳台。', '橙郡三期  | 3室2厅 | 89.28平米 | 西南 | 简装 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '160万', '单价17922元/平米')
('https://image1.ljcdn.com/510100-inspection/19cbe397-dc38-443a-ac55-b81efac808bf.jpg.296x216.jpg', '精装套三  对中庭位置 配套设施齐全', '上锦颐园  | 3室1厅 | 89平米 | 西南 | 其他 | 有电梯', '低楼层(共24层)2008年建板塔结合  -  高新西', '116万', '单价13034元/平米')
('https://image1.ljcdn.com/510100-inspection/test-14d847ee-d82b-4de8-a976-494870fa97d4.png.296x216.jpg', '上锦颐园   精装修   厅带阳台   套三双卫', '上锦颐园  | 3室2厅 | 140.84平米 | 东南 | 其他 | 有电梯', '中楼层(共24层)2008年建板塔结合  -  高新西', '152万', '单价10793元/平米')
('https://image1.ljcdn.com/510100-inspection/15317788-80fa-4969-882e-174856d32256.JPG.296x216.jpg', '蓝岸B区一梯两户，带电梯装修洋房', '蓝岸B区  | 3室2厅 | 119.29平米 | 南 | 其他 | 有电梯', '中楼层(共6层)2007年建板楼  -  中海国际', '255万', '单价21377元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9007f088-f2a2-43cf-9839-f999c72205b0.png.296x216.jpg', '上锦颐园+套三单卫+视野开阔 随时看房', '上锦颐园  | 3室1厅 | 89.02平米 | 西南 | 其他 | 有电梯', '高楼层(共27层)2008年建板塔结合  -  高新西', '93万', '单价10448元/平米')
('https://image1.ljcdn.com/510100-inspection/279b3701-b67d-4f2b-9f73-f1cf3849884c.jpg.296x216.jpg', '上锦颐园装修套二，居住舒适，保存好', '上锦颐园  | 2室1厅 | 89.16平米 | 东南 | 其他 | 有电梯', '高楼层(共25层)2008年建板塔结合  -  高新西', '84万', '单价9422元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d37f75cf-c9af-427a-824d-2b803638c127.png.296x216.jpg', '上锦颐园佳境 带平台 套二 清水 满二', '上锦颐园佳境  | 2室1厅 | 80.59平米 | 北 | 其他 | 有电梯', '低楼层(共25层)2012年建板塔结合  -  高新西', '120万', '单价14891元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c72be1e1-9cfd-4eab-8991-59da9750a5cd.png.296x216.jpg', '恒大开发商，高品质。统一装修。', '恒大帝景  | 3室2厅 | 109平米 | 东南 | 其他 | 有电梯', '低楼层(共29层)2016年建塔楼  -  高新西', '127万', '单价11652元/平米')
('https://image1.ljcdn.com/510100-inspection/3df61afa-1ad4-40f2-be53-0746ef201f46.jpg.296x216.jpg', '顺江三期+标准套一+满俩年+商圈成熟', '顺江小区三期  | 1室1厅 | 46.3平米 | 南 | 其他', '高楼层(共16层)暂无数据  -  高新西', '42.4万', '单价9158元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d75985f-ddb3-42fd-8088-c910d9765ca5.png.296x216.jpg', '龙湖时代天街精装+套三双卫户型', '龙湖时代天街  | 3室2厅 | 119平米 | 东北 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  高新西', '173万', '单价14538元/平米')
('https://image1.ljcdn.com/510100-inspection/fd016c42-4d40-48ad-a258-d4c9eb2f8df3.jpg.296x216.jpg', '恒大帝景公寓+开发商统一装修+小区配套', '恒大帝景  | 1室0厅 | 35平米 | 西北 | 其他 | 有电梯', '中楼层(共32层)2014年建塔楼  -  高新西', '26万', '单价7429元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9766e1e3-8656-4d0c-89a1-2c2efd984170.png.296x216.jpg', '保利香槟国际装修套二，带家具家电', '保利香槟国际  | 2室2厅 | 83.24平米 | 西南 | 其他 | 有电梯', '中楼层(共16层)2013年建板楼  -  中海国际', '165万', '单价19823元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5e1702a9-4b50-4af9-9a7d-835cef5788ef.png.296x216.jpg', '中海国际橙郡二期装修套二加书房', '橙郡二期  | 2室2厅 | 88.63平米 | 西 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '180万', '单价20310元/平米')
('https://image1.ljcdn.com/510100-inspection/8f3458b1-eaa8-4811-bcdb-37cba47554a6.jpg.296x216.jpg', '万景峰 上下两层公寓 居家装修 看房预约', '万景峰二期  | 2室0厅 | 38.63平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '38万', '单价9837元/平米')
('https://image1.ljcdn.com/510100-inspection/f1d39872-004b-4d5a-9477-244220b80e00.jpg.296x216.jpg', '开发商精装修套三双卫 中间楼层', '恒大帝景  | 3室1厅 | 107.5平米 | 东 | 其他 | 有电梯', '中楼层(共29层)2016年建塔楼  -  高新西', '135万', '单价12559元/平米')
('https://image1.ljcdn.com/510100-inspection/test-58af5550-576f-4115-907f-6bec34213054.png.296x216.jpg', '小区环境比较安静蛮适合居家的小区配套生活起居蛮方便', '金辉悦府  | 3室1厅 | 89平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2015年建塔楼  -  高新西', '178万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-52a0e5d0-b8a0-4557-80a8-782614c8ff23.png.296x216.jpg', '橙郡二期装修套二带书房，有家具家居，对中庭，视野好', '橙郡二期  | 2室2厅 | 86.02平米 | 西北 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '160万', '单价18601元/平米')
('https://image1.ljcdn.com/510100-inspection/test-af903ad3-acb3-48c5-bb43-c8bae8fc5dad.png.296x216.jpg', '此房朝东北，采光充足，客厅带10平米阳台，有家具家电', '万景峰一期  | 3室2厅 | 86.05平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '115万', '单价13365元/平米')
('https://image1.ljcdn.com/510100-inspection/e461a97c-131b-41e1-90e2-b076df853633.jpg.296x216.jpg', '高绿化+套三单卫+客厅带阳台+低楼层进出方便', '上锦颐园  | 3室2厅 | 89平米 | 西南 | 其他 | 有电梯', '低楼层(共24层)2008年建板塔结合  -  高新西', '80万', '单价8989元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6811deb4-5b74-453b-bd8f-57e2d0fae0b5.png.296x216.jpg', '橙郡三期装修套三，客厅带飘窗，主卧带阳台。', '橙郡三期  | 3室2厅 | 92平米 | 东 西 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '160万', '单价17392元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eb83d381-bdcb-4f0c-90ac-bc3f3d0a8f61.png.296x216.jpg', '套二 对小区里面不临街 采光好', '成都合院一期  | 2室1厅 | 61.15平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  高新西', '65万', '单价10630元/平米')
('https://image1.ljcdn.com/510100-inspection/65dcba7b-4c8a-4215-8f75-95b885166b63.JPG.296x216.jpg', '新希望皇冠国际底跃+毛坯房+不临街', '新希望皇冠国际  | 4室2厅 | 208.58平米 | 东南 西北 | 其他', '低楼层(共10层)暂无数据  -  中海国际', '380万', '单价18219元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2239f10-4c80-497d-b9e6-1691196e6499.png.296x216.jpg', '装修套一已改套二，中间楼层，采光好', '上锦颐园  | 2室1厅 | 64.1平米 | 东南 | 其他 | 有电梯', '高楼层(共25层)2008年建板塔结合  -  高新西', '60万', '单价9361元/平米')
('https://image1.ljcdn.com/510100-inspection/4413bef3-a1e7-4002-bb33-3fa778c77997.jpg.296x216.jpg', '恒大帝景40年产权公寓+精装修未住人。', '恒大帝景  | 1室0厅 | 35.83平米 | 东北 | 其他 | 有电梯', '低楼层(共32层)2014年建塔楼  -  高新西', '26.8万', '单价7480元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ddb50dca-af37-408b-96f2-3d25022420aa.png.296x216.jpg', '成都合院二期+清水套三双卫+大阳台', '成都合院公园里  | 3室2厅 | 124.89平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2015年建板塔结合  -  高新西', '200万', '单价16015元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8850bdc3-d3d3-4f4d-83ac-3ffe61cc569a.png.296x216.jpg', '万景峰一期装修套三+对中庭中间楼层', '万景峰一期  | 3室2厅 | 78.54平米 | 西北 北 | 精装 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '102万', '单价12988元/平米')
('https://image1.ljcdn.com/510100-inspection/21a473fe-6fef-4996-a10e-0f6c4ddf5bce.JPG.296x216.jpg', '中海国际社区橙郡二期 装修房 三室两厅一卫', '橙郡二期  | 3室2厅 | 85.54平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '175万', '单价20459元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7157767a-960c-49f1-8bbe-f8691312debf.png.296x216.jpg', '龙湖时代天街 3室2厅 178万', '龙湖时代天街  | 3室2厅 | 114.36平米 | 西南 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  高新西', '178万', '单价15565元/平米')
('https://image1.ljcdn.com/510100-inspection/b315934e-d876-48a1-8b1c-70104dfe99ca.jpg.296x216.jpg', '龙湖时代天街 2室1厅 67万', '龙湖时代天街  | 2室1厅 | 87.1平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)2017年建塔楼  -  高新西', '67万', '单价7693元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload62073e36-f1ed-4a65-9274-b6dc3e017594.jpg.296x216.jpg', '此房满2年，无增值税，开发商装修，带家具家电', '万景峰一期  | 3室2厅 | 77.93平米 | 北 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '100万', '单价12833元/平米')
('https://image1.ljcdn.com/510100-inspection/1d85a4e1-f791-44d3-99b5-449f99c2dd1e.jpg.296x216.jpg', '采光好+有飘窗+有家具家电+上下两层+视野开阔', '保利香槟国际  | 2室1厅 | 44.43平米 | 东南 | 其他 | 有电梯', '中楼层(共9层)2013年建板楼  -  中海国际', '62万', '单价13955元/平米')
('https://image1.ljcdn.com/510100-inspection/9a68a7b4-3d6f-4032-bc51-52217c573cc8.jpg.296x216.jpg', '上锦颐园  精装修 套一改套二  带家具家电出售', '上锦颐园  | 2室1厅 | 64.1平米 | 东南 | 其他 | 有电梯', '低楼层(共25层)2008年建板塔结合  -  高新西', '68万', '单价10609元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1fce4e09-3956-481b-b732-e1f0d6aaefe4.png.296x216.jpg', '芙华金色海伦+套四双卫+跃层带屋顶双花园', '芙华金色海伦  | 4室2厅 | 123平米 | 东南 | 其他 | 有电梯', '高楼层(共10层)2010年建板楼  -  高新西', '172万', '单价13984元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ad8e47ff-4783-4801-aa50-f06e0f8cbbf7.png.296x216.jpg', '龙湖时代天街精装+套三双卫户型', '龙湖时代天街  | 3室2厅 | 119平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)2015年建板塔结合  -  高新西', '188万', '单价15799元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1e199baf-beb9-4da2-8337-9ee95a959be5.png.296x216.jpg', '万景峰套三，无增值税，有家具家电，客厅带阳台', '万景峰一期  | 3室2厅 | 82.71平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '110万', '单价13300元/平米')
('https://image1.ljcdn.com/510100-inspection/b98f306a-c9e6-478e-83ec-7c8618d9de06.jpg.296x216.jpg', '保利香槟国际 房东自住 精装套二 现代风格 带私人影院', '保利香槟国际  | 2室2厅 | 44.95平米 | 东南 | 精装 | 有电梯', '低楼层(共9层)2013年建板楼  -  中海国际', '72万', '单价16018元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a54b59e0-2994-46ad-9b8f-0d2dfc8acb6d.png.296x216.jpg', '橙郡二期 高楼层 装修套二带入户', '橙郡二期  | 2室2厅 | 85.17平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '138万', '单价16203元/平米')
('https://image1.ljcdn.com/510100-inspection/test-21505549-6701-4ef5-a70c-1a31d8366b70.png.296x216.jpg', '装修房，标准套三。低楼层。卧室带阳台，客厅带飘窗', '上锦颐园佳境  | 3室1厅 | 91.3平米 | 东南 东北 | 其他 | 有电梯', '低楼层(共26层)2011年建板塔结合  -  高新西', '108万', '单价11830元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload74cdf8f8-f841-4e0a-b1a5-6de39a0d365e.jpg.296x216.jpg', '上锦颐园佳境，精装套三，看房提前预约！', '上锦颐园佳境  | 3室2厅 | 91.8平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2011年建板塔结合  -  高新西', '110万', '单价11983元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2d91b72-2499-43ba-be5f-a15b280a38ea.png.296x216.jpg', '万景峰一期 3室2厅 110万', '万景峰一期  | 3室2厅 | 86.86平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2012年建塔楼  -  高新西', '110万', '单价12665元/平米')
('https://image1.ljcdn.com/510100-inspection/e4b1b06c-cfc4-438a-a3a8-99456b1bc05b.jpg.296x216.jpg', '保利香槟国际，办公装修，保养新', '保利香槟国际  | 1室1厅 | 45.92平米 | 东北 | 精装 | 有电梯', '中楼层(共10层)2013年建板楼  -  中海国际', '70万', '单价15244元/平米')
('https://image1.ljcdn.com/510100-inspection/23612259-06e9-49f8-8125-1ef760908818.jpg.296x216.jpg', '龙湖时代天街  +  标准套二公寓', '龙湖时代天街  | 2室1厅 | 87.1平米 | 西北 | 其他 | 有电梯', '中楼层(共30层)2017年建塔楼  -  高新西', '63万', '单价7234元/平米')
('https://image1.ljcdn.com/510100-inspection/ca2c0634-ce88-461e-8ded-5474a75d5aff.jpg.296x216.jpg', '临清水河国学大公园 小区环境优美 户型方正 对中庭', '成都合院一期  | 2室2厅 | 86.87平米 | 西南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  高新西', '114万', '单价13124元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c214deb2-d9ab-4b88-b7aa-7a0c08dc0a93.png.296x216.jpg', '万景峰套四单卫对中庭客厅方阳台', '万景峰一期  | 4室1厅 | 86.51平米 | 西北 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '120万', '单价13872元/平米')
('https://image1.ljcdn.com/510100-inspection/a4c4638f-b7da-40bd-803e-4009d9715bb7.jpg.296x216.jpg', '满两年，自住装修采光好，拎包入住。', '万景峰二期  | 3室1厅 | 75平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2012年建塔楼  -  高新西', '106万', '单价14134元/平米')
('https://image1.ljcdn.com/510100-inspection/34aa78a6-15f4-449d-ad54-6adf008d197f.JPG.296x216.jpg', '橙郡一期 2室1厅 155万', '橙郡一期  | 2室1厅 | 88.71平米 | 东南 | 简装 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '155万', '单价17473元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9ceab1d8-a99c-440f-bd5a-650037f38dc6.png.296x216.jpg', '上锦颐园佳境，精装套三，带家具家电', '上锦颐园佳境  | 3室2厅 | 95.82平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2011年建板塔结合  -  高新西', '108万', '单价11272元/平米')
('https://image1.ljcdn.com/510100-inspection/test-92998505-a478-40e2-97ce-5529a3add3a7.png.296x216.jpg', '中海国际橙郡三期精装套三双卫对中庭中间楼层', '橙郡三期  | 3室2厅 | 92.21平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '186万', '单价20172元/平米')
('https://image1.ljcdn.com/510100-inspection/f5a1d86e-1a21-4a72-a161-cc3a0a53805a.JPG.296x216.jpg', '橙郡两梯四户的电梯套三双卫对中庭', '橙郡一期  | 3室2厅 | 122.22平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '220万', '单价18001元/平米')
('https://image1.ljcdn.com/510100-inspection/test-078e2f2b-3d09-411d-b25c-34f20f3f750c.png.296x216.jpg', '高新西+龙湖时代天街+全新装修未住人+套三双卫', '龙湖时代天街  | 3室2厅 | 108.58平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2017年建塔楼  -  高新西', '158万', '单价14552元/平米')
('https://image1.ljcdn.com/510100-inspection/656022ba-6eb9-4bfe-ad36-40b544706fe2.jpg.296x216.jpg', '万景峰 *公寓 上下两层可分开出租', '万景峰二期  | 2室0厅 | 38.63平米 | 东南 | 简装 | 有电梯', '高楼层(共17层)2012年建塔楼  -  高新西', '40万', '单价10355元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade37778e2-5532-4e9f-9b6c-e9eef8c01c4c.jpg.296x216.jpg', '万景峰一期+套三双卫+朝南装修房+有家具家电', '万景峰一期  | 3室2厅 | 86.9平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '114万', '单价13119元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b3f43240-d27c-4d1e-af07-c0f6871cb138.png.296x216.jpg', '上锦颐园+户型方正精装修+带家具家电', '上锦颐园  | 3室1厅 | 89.72平米 | 东南 | 精装 | 有电梯', '高楼层(共27层)2008年建板塔结合  -  高新西', '100万', '单价11146元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload52a49f52-6c35-4752-8073-08c2c81f3230.jpg.296x216.jpg', '金辉悦府，清水套三，产权下了，看房方便，采光不错', '金辉悦府  | 3室2厅 | 89.54平米 | 东 | 毛坯 | 有电梯', '中楼层(共18层)2015年建塔楼  -  高新西', '120万', '单价13402元/平米')
('https://image1.ljcdn.com/510100-inspection/test-73fdf5c3-3b29-4316-b5a8-16e01d9a584c.png.296x216.jpg', '龙湖时代天街套三双卫开发商统一装修', '龙湖时代天街  | 3室2厅 | 114平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2015年建板塔结合  -  高新西', '170万', '单价14913元/平米')
('https://image1.ljcdn.com/510100-inspection/794f101e-6bce-41f2-bd0f-9cbd8c4c11b8.jpg.296x216.jpg', '万景峰二期，上下两层，水电气三通', '万景峰二期  | 2室1厅 | 43.12平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建板楼  -  高新西', '48.5万', '单价11248元/平米')
('https://image1.ljcdn.com/510100-inspection/0cbc0890-e194-4b86-82e0-7e44450fb667.jpg.296x216.jpg', '万景峰内跃楼下出租+有家具家电+装修简单温馨', '万景峰二期  | 2室1厅 | 38.63平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '39万', '单价10096元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload166e979b-7a89-49f0-b4f3-abf352504e8b.jpg.296x216.jpg', '龙湖时代天街48平开发商统一精装修', '龙湖时代天街  | 1室1厅 | 48.79平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2015年建板塔结合  -  高新西', '35万', '单价7174元/平米')
('https://image1.ljcdn.com/510100-inspection/test-131d166d-f954-47e9-a485-db271759a740.png.296x216.jpg', '中海国际 橙郡一期 装修套三出售', '橙郡一期  | 3室2厅 | 126.35平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '190万', '单价15038元/平米')
('https://image1.ljcdn.com/510100-inspection/eb00af1a-23b2-4bbf-8b09-06403faf03c4.jpg.296x216.jpg', '高新西+龙湖时代天街+精装套三单卫', '龙湖时代天街  | 3室2厅 | 105.51平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2015年建板塔结合  -  高新西', '149万', '单价14122元/平米')
('https://image1.ljcdn.com/510100-inspection/9f40abd5-b59f-4a00-98ef-ec9866cc5fae.jpg.296x216.jpg', '龙城高新天地房屋出售 有装修有家电 看房预约', '龙城高新天地  | 1室0厅 | 36.26平米 | 西南 | 精装 | 有电梯', '中楼层(共19层)2015年建塔楼  -  高新西', '30万', '单价8274元/平米')
('https://image1.ljcdn.com/510100-inspection/test-064cecc0-d95c-4053-a1c5-731ee302ab69.png.296x216.jpg', '时代睿城，精装套三单卫，品质小区', '时代睿城  | 3室2厅 | 73.28平米 | 东南 | 其他 | 有电梯', '高楼层(共28层)2015年建板楼  -  高新西', '94.5万', '单价12896元/平米')
('https://image1.ljcdn.com/510100-inspection/06b0e9a4-1186-497b-99e5-14b6f2195571.jpg.296x216.jpg', '保利香槟国际公寓，分两户独立装修', '保利香槟国际  | 2室0厅 | 63.86平米 | 西南 | 其他 | 有电梯', '高楼层(共6层)2013年建板楼  -  中海国际', '96万', '单价15033元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c14a36a-d03d-486f-babd-f607b09e17e2.png.296x216.jpg', '林庭叠院 3室1厅 273万', '林庭叠院  | 3室1厅 | 151.44平米 | 东南 | 其他 | 有电梯', '低楼层(共9层)2006年建板楼  -  中海国际', '273万', '单价18027元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ccebb6f6-3a93-4e90-842e-b948a0585ff9.png.296x216.jpg', '上锦颐园佳境+全新装修未住人+带地暖+满两年', '上锦颐园佳境  | 2室1厅 | 85.86平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  高新西', '100万', '单价11647元/平米')
('https://image1.ljcdn.com/510100-inspection/ff9b221c-a1a8-41b4-b4a0-88713d9c5c49.JPG.296x216.jpg', '蓝岸多层洋房，一梯两户，装修三室两厅两卫', '蓝岸B区  | 3室2厅 | 143.8平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2007年建板楼  -  中海国际', '300万', '单价20863元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d0040c2a-81f3-49ec-858f-de296b23fdcd.png.296x216.jpg', '中海精装套三   中间楼层  拎包入住', '橙郡一期  | 3室2厅 | 126.35平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '218万', '单价17254元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload32e93fa1-426c-41c5-8e30-edda58eae2d1.jpg.296x216.jpg', '龙城高新天地+水电气三通+小区环境优美', '龙城高新天地  | 1室0厅 | 36.64平米 | 东南 | 其他 | 有电梯', '高楼层(共19层)2015年建塔楼  -  高新西', '29.5万', '单价8052元/平米')
