('https://image1.ljcdn.com/510100-inspection/test-3d5852f0-86d8-4c69-8ae2-daf982f8e004.png.296x216.jpg', '东润风尚标注套二，采光好，楼层好', '东润风尚  | 2室2厅 | 60.99平米 | 西南 | 简装 | 有电梯', '低楼层(共12层)2006年建塔楼  -  静居寺', '101万', '单价16561元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2dc5dcca-91d1-45fd-96e4-f0374a93c4a5.png.296x216.jpg', '小区安静，多层小区，中间楼层，一梯两户，套二户型。', '新光华街11号  | 2室1厅 | 67.67平米 | 北 | 其他 | 无电梯', '高楼层(共6层)1985年建暂无数据  -  盐市口', '159万', '单价23497元/平米')
('https://image1.ljcdn.com/510100-inspection/test-edafb517-0b54-4bf4-9bb9-b2154441fc44.png.296x216.jpg', '大田坎95号的老房子，交通便利，配套完善', '大田坎街95号  | 2室2厅 | 112.89平米 | 东北 | 其他 | 无电梯', '中楼层(共7层)1995年建板楼  -  水碾河', '172万', '单价15237元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2fb10cdb-7197-4015-bcab-f437619b75f4.png.296x216.jpg', '蓉上坊二期，南向对中庭，安静彩光视野不错！', '蓉上坊二期  | 2室2厅 | 86.67平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2010年建板塔结合  -  合江亭', '240万', '单价27692元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c550db56-08b4-4bc0-89ed-d328d1c56762.png.296x216.jpg', '此房为套三双卫 有阳台 有飘窗', '成功红树林  | 3室2厅 | 100.87平米 | 西北 | 毛坯 | 有电梯', '高楼层(共34层)2014年建板楼  -  东光小区', '200万', '单价19828元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b409d37d-89c4-4ba4-84b7-b71feb9ecf2b.png.296x216.jpg', '小高层 套三 精装 中间楼层 视野好', '澳龙名城  | 3室2厅 | 104.31平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)2009年建塔楼  -  攀成钢', '260万', '单价24926元/平米')
('https://image1.ljcdn.com/510100-inspection/546236b0-f9cf-40bb-a079-ec132998a37f.jpg.296x216.jpg', '东较场街127号+套二+安静不临街+有阳台', '东较场街127号  | 2室1厅 | 83.55平米 | 东南 | 其他 | 有电梯', '低楼层(共8层)1995年建板楼  -  红星路', '123万', '单价14722元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04a3cf5c-7d72-4443-bc4d-eec0eecca551.png.296x216.jpg', '吉宝凌云峰阁套三双卫，精装带部分家具家电出售', '吉宝凌云峰阁  | 3室1厅 | 127.34平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2015年建板楼  -  攀成钢', '420万', '单价32983元/平米')
('https://image1.ljcdn.com/510100-inspection/12133d60-0b83-4fcc-adb9-d004726869db.jpg.296x216.jpg', '四海逸家三期 双卫户型 精装修', '融创四海逸家  | 4室2厅 | 87.71平米 | 东北 | 精装 | 有电梯', '低楼层(共40层)2015年建板塔结合  -  卓锦城', '425万', '单价48456元/平米')
('https://image1.ljcdn.com/510100-inspection/test-70d45945-abe4-484f-9878-1128bc532995.png.296x216.jpg', '水碾河6号中高楼层标准套三采光充足', '水碾河路6号  | 3室2厅 | 104平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1995年建板楼  -  水碾河', '135万', '单价12981元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8f7edd8f-90d5-4257-af8b-56f137475148.png.296x216.jpg', '华都美林湾  套四  带阳台  飘窗', '华都美林湾  | 4室2厅 | 133.31平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  三圣乡', '270万', '单价20254元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadec709bfb-a69f-464c-af8e-abfdfb1fff6f.jpg.296x216.jpg', '锦江区水碾河蜀都花园跃层套二出售。', '蜀都花园  | 2室1厅 | 95.04平米 | 东 | 简装 | 有电梯', '高楼层(共20层)2003年建板楼  -  水碾河', '165万', '单价17362元/平米')
('https://image1.ljcdn.com/510100-inspection/test-99a64a44-ecfa-4998-8950-ac5a47d76e12.png.296x216.jpg', '翡翠城四期 安静不临街 格局方正 明厨明卫 无增值税', '翡翠城四期  | 3室1厅 | 88.1平米 | 东南 | 精装 | 有电梯', '低楼层(共30层)2009年建板楼  -  东湖', '233万', '单价26448元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6181dc50-4433-43f9-a927-044cf5793ac8.png.296x216.jpg', '三圣花乡安静中间楼层 标准三居室', '合能锦城  | 3室2厅 | 82.29平米 | 东北 | 简装 | 有电梯', '低楼层(共32层)2015年建板楼  -  三圣乡', '132万', '单价16041元/平米')
('https://image1.ljcdn.com/510100-inspection/test-41724bf2-887c-4197-913a-96b261db2af1.png.296x216.jpg', '指挥街70号，标准套二，自住装修，中间楼层，采光好。', '指挥街70号  | 2室2厅 | 66.85平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  盐市口', '170万', '单价25431元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload2d056c3c-b03d-4fef-b685-a1ef5c1fd4ad.jpg.296x216.jpg', '锦江区·三圣乡·四海逸家华府A3有装修', '四海逸家一期  | 4室1厅 | 88.29平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  卓锦城', '430万', '单价48704元/平米')
('https://image1.ljcdn.com/510100-inspection/7cfe9e59-d90e-47d2-820f-2c88d435a0a88.jpg.296x216.jpg', '镏金岁月，小套三，有装修，高楼层', '镏金岁月  | 3室1厅 | 89.88平米 | 北 | 简装 | 有电梯', '高楼层(共33层)2010年建板楼  -  攀成钢', '218万', '单价24255元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b7f5f1b1-eeea-444d-9742-8fe63cea2bae.png.296x216.jpg', '锦江区九眼桥府南河畔外滩三居室', '外滩  | 3室1厅 | 90.87平米 | 东北 | 精装 | 有电梯', '低楼层(共42层)2009年建板塔结合  -  九眼桥', '245万', '单价26962元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ce9a0464-2ca6-4df3-b33d-b930884a1e05.png.296x216.jpg', '中道街小区+套二+中间楼层+户型方正', '中道街99号  | 2室1厅 | 52.88平米 | 东 | 简装 | 无电梯', '中楼层(共7层)1994年建板楼  -  红星路', '132万', '单价24963元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d03c1f88-e060-4b11-a171-b99d14db14f1.png.296x216.jpg', '锦洲花园标准套二     满二', '锦洲花园  | 2室2厅 | 68.74平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  三官堂', '130万', '单价18912元/平米')
('https://image1.ljcdn.com/510100-inspection/test-10066fd1-856d-4819-bc95-968f8b4cf649.png.296x216.jpg', '华润幸福里二期标准套一，清水房', '华润幸福里二期  | 1室1厅 | 52平米 | 南 | 其他 | 有电梯', '中楼层(共12层)2015年建板塔结合  -  川师', '112万', '单价21539元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cfcf4ce3-edc5-41cc-b447-80328b6293c9.png.296x216.jpg', '东晶丽苑多层简装套二高层采光好', '东晶丽苑  | 2室1厅 | 66.03平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  琉璃场', '103万', '单价15599元/平米')
('https://image1.ljcdn.com/510100-inspection/83b9b9f7-2ecd-445b-900e-c13e0015b72a.JPG.296x216.jpg', '锦江区·三圣乡 四海逸家一期 A3 对中庭', '四海逸家一期  | 4室2厅 | 88.29平米 | 西北 东北 | 其他 | 有电梯', '中楼层(共32层)2010年建板塔结合  -  卓锦城', '425万', '单价48137元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f40d90c-2c20-434f-96cf-6e05841d8b19.png.296x216.jpg', '满五唯一免个税，户型无浪费，位置交通便利', '辉煌佳苑  | 3室2厅 | 116.19平米 | 东南 | 简装 | 无电梯', '低楼层(共7层)2007年建板楼  -  川师', '150万', '单价12910元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1f291fc1-5b2a-4eaf-88af-e1385087274e.png.296x216.jpg', '恒大都汇华庭套一带衣帽间，带L型阳台，不临街', '恒大都汇华庭  | 1室2厅 | 86.38平米 | 东南 | 其他 | 有电梯', '中楼层(共50层)2015年建板楼  -  合江亭', '275万', '单价31837元/平米')
('https://image1.ljcdn.com/510100-inspection/test-32a2f92a-4cee-484e-b2a9-001d187cd4f3.png.296x216.jpg', '华都美林湾  套一单卫 带阳台。', '华都美林湾  | 1室1厅 | 55.75平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2012年建塔楼  -  三圣乡', '115万', '单价20628元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f65bd4b8-843e-4a87-b844-c71bd4d9c572.png.296x216.jpg', '卓锦城二期，清水套二双卫，对中庭，有阳台，看房方便', '卓锦城二期  | 2室2厅 | 92.45平米 | 东北 | 毛坯 | 有电梯', '高楼层(共24层)2008年建板塔结合  -  卓锦城', '166万', '单价17956元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f450a506-d513-440e-8625-033b9b082eaa.png.296x216.jpg', '翡翠城四期套三单卫，房子位置比较好，前后对中庭。', '翡翠城四期  | 3室2厅 | 86.56平米 | 西南 | 简装 | 有电梯', '高楼层(共30层)2009年建板楼  -  东湖', '230万', '单价26572元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b8dcc328-d7de-4096-bb0b-12dd59e52936.png.296x216.jpg', '锦江区东较场上锦美地套二有装修出售', '上锦美地  | 2室1厅 | 93.56平米 | 东 南 | 简装 | 有电梯', '高楼层(共41层)2009年建塔楼  -  红星路', '199万', '单价21270元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7c878fba-0f69-4202-b8f6-6e0050894239.png.296x216.jpg', '萧邦+标准套一+目前出租+看房方便', '萧邦  | 1室1厅 | 49.97平米 | 西 | 其他 | 有电梯', '高楼层(共28层)2008年建板楼  -  盐市口', '95万', '单价19012元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7febdfd1-7563-4785-ae92-efa13acfc544.png.296x216.jpg', '视野采光极好 适合一家三口居住 重新装修的', '卓锦城六期  | 2室1厅 | 76.1平米 | 东南 | 简装 | 有电梯', '高楼层(共30层)2014年建板楼  -  卓锦城', '158万', '单价20763元/平米')
('https://image1.ljcdn.com/510100-inspection/a300db4f-8567-44f9-8140-13fe58a74b77.jpg.296x216.jpg', '双卫户型 满5年产权 客厅带阳台提前预约可看', '四海逸家二期  | 4室2厅 | 96.7平米 | 东南 | 精装 | 有电梯', '高楼层(共34层)2013年建板塔结合  -  卓锦城', '430万', '单价44468元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1f580a1f-9ecb-4616-834a-8ca2b4cc6b1b.png.296x216.jpg', '柳江新居五期清水套二，对中庭，安静', '柳江新居五期  | 2室1厅 | 78.94平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2010年建板楼  -  琉璃场', '118万', '单价14949元/平米')
('https://image1.ljcdn.com/510100-inspection/test-293d59b4-4eaa-4ea6-9543-7b06f4868582.png.296x216.jpg', '居家装修，厨房+主卧室带阳台，2个卫生间都有窗户', '三洲娇子苑  | 3室2厅 | 149.96平米 | 东北 | 精装 | 有电梯', '中楼层(共30层)2005年建板楼  -  红星路', '398万', '单价26541元/平米')
('https://image1.ljcdn.com/510100-inspection/562f65ea-3aa5-4e38-b8c1-919c4c2c7cc1.jpg.296x216.jpg', '攀成钢板块 套二清水 低楼层出售', '天誉南庭  | 2室1厅 | 76.69平米 | 东北 | 毛坯 | 有电梯', '低楼层(共32层)2016年建塔楼  -  攀成钢', '245万', '单价31947元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2c40520f-5969-41d1-8aa9-52b6e2e9a39c.png.296x216.jpg', '沙河壹号一期 套三双卫 精装修业主自住 可拎包入户', '沙河壹号一期  | 3室1厅 | 88.97平米 | 南 | 其他 | 有电梯', '高楼层(共34层)2011年建塔楼  -  沙河堡', '190万', '单价21356元/平米')
('https://image1.ljcdn.com/510100-inspection/7fcee914-c8c0-4e70-a71d-fe249ab66f77.jpg.296x216.jpg', '鑫苑名家一期   装修小套二   看房子预约', '鑫苑名家一期  | 2室2厅 | 62.74平米 | 东北 | 其他 | 有电梯', '中楼层(共34层)2011年建板塔结合  -  卓锦城', '115万', '单价18330元/平米')
('https://image1.ljcdn.com/510100-inspection/test-61975306-481a-4d68-b49b-32b8f207fae1.png.296x216.jpg', '鑫苑名家一期   套二   对外  视野开阔', '鑫苑名家一期  | 2室1厅 | 62.7平米 | 东 | 简装 | 有电梯', '中楼层(共34层)2011年建板塔结合  -  卓锦城', '107万', '单价17066元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2499213-599e-4a47-8ccf-bdca71647f0a.png.296x216.jpg', '住家套二+配套齐全+带书房+看房提前预约', '秀舍天涯  | 2室2厅 | 93.92平米 | 西 | 其他 | 有电梯', '低楼层(共18层)2005年建板塔结合  -  红星路', '240万', '单价25554元/平米')
('https://image1.ljcdn.com/510100-inspection/test-62a33db2-be36-4366-b6de-922816761f7f.png.296x216.jpg', '天紫界标间出售  可以看九眼桥 总价较低', '天紫界  | 1室1厅 | 61.26平米 | 西南 | 其他 | 有电梯', '中楼层(共55层)板楼  -  九眼桥', '122.6万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-649bf38e-0e94-48b1-83a6-bc217bc0735d.png.296x216.jpg', '上东锦城标准套二户型方正采光好。', '上东锦城A区  | 2室2厅 | 87.89平米 | 西南 | 其他 | 有电梯', '中楼层(共34层)2008年建塔楼  -  蓝谷地', '140万', '单价15930元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d725c063-3493-49ff-905a-20e8d6ee84b2.png.296x216.jpg', '澳龙名城套四底跃带花园，赠送大', '澳龙名城  | 4室2厅 | 154.72平米 | 南 | 其他 | 无电梯', '低楼层(共4层)2009年建板楼  -  攀成钢', '500万', '单价32317元/平米')
('https://image1.ljcdn.com/510100-inspection/ab7c219d-f1ee-471d-a533-06297faaf5a3.jpg.296x216.jpg', '鑫苑名家二期套二有装修，客厅带阳台', '鑫苑名家二期  | 2室2厅 | 78.8平米 | 东 | 其他 | 有电梯', '低楼层(共34层)2012年建塔楼  -  卓锦城', '145万', '单价18402元/平米')
('https://image1.ljcdn.com/510100-inspection/test-536e89f5-8868-47f8-9bbb-c027387ec21d.png.296x216.jpg', '时代豪庭三房两卫  装修保养好  大阳台', '时代豪庭一期  | 3室2厅 | 154.51平米 | 北 | 精装 | 有电梯', '中楼层(共35层)2009年建板塔结合  -  合江亭', '505万', '单价32684元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5277232e-c9d6-4cba-a945-fc705f1db4ba.png.296x216.jpg', '牛市口钢管厂五区标准套二  中高楼层大阳台', '钢管厂五区  | 2室1厅 | 73.6平米 | 东南 | 其他', '高楼层(共7层)2001年建板楼  -  莲花', '100万', '单价13587元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2b8622b-4ec5-46ea-8ae7-9ebb1c3d151f.png.296x216.jpg', '东湖花园水晶座套一，安静，视野好', '东湖花园水晶座  | 1室1厅 | 52.71平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  三官堂', '98万', '单价18593元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b56c72b3-0384-41f8-933c-29ea82b88cd3.png.296x216.jpg', '中洲城邦 小套三带装修 对中庭', '中洲中央城邦  | 3室1厅 | 88.34平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2016年建板塔结合  -  东大路', '300万', '单价33960元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5dd57988-ed96-4d74-8350-c2b046a75624.png.296x216.jpg', '绿地468公馆一期 套三清水房', '绿地468公馆一期  | 3室1厅 | 88.66平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  三圣乡', '230万', '单价25942元/平米')
('https://image1.ljcdn.com/510100-inspection/910bf354-b706-4f8c-9e2c-21d912f36249.jpg.296x216.jpg', '攀成钢 东大路ICC天曜 清水房 朝塔子山公园', 'ICC天曜  | 3室2厅 | 188.52平米 | 东 | 毛坯 | 有电梯', '中楼层(共29层)2015年建板楼  -  东大路', '605万', '单价32093元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e4670b5d-9476-4316-b68a-9e16b71dac35.png.296x216.jpg', '望江锦园套二带储物间户型，可改动空间大，环境好。', '望江锦园  | 2室2厅 | 90.47平米 | 东南 | 其他 | 有电梯', '中楼层(共35层)2014年建塔楼  -  沙河堡', '180万', '单价19897元/平米')
('https://image1.ljcdn.com/510100-inspection/test-530faf7f-e359-4054-8b9c-059950957b6f.png.296x216.jpg', '澳龙名城带装修套三双卫。客厅阳台，', '澳龙名城  | 3室2厅 | 102.4平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)2009年建塔楼  -  攀成钢', '297万', '单价29004元/平米')
('https://image1.ljcdn.com/510100-inspection/test-535ce24e-7d33-4943-bb58-a28a5761fbcc.png.296x216.jpg', '二环外侧 锦华万达侧面 套四双卫+电梯房', '爱家丽苑  | 4室2厅 | 133平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2003年建塔楼  -  静居寺', '220万', '单价16542元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2e41758-0a5a-4ea2-83ce-041cf3053604.png.296x216.jpg', '玉皇观街1号小区在售套三 中间楼层采光好', '玉皇观街1号  | 3室2厅 | 79.48平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  红星路', '130万', '单价16357元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d801603b-bd34-474e-ba73-030bc290b9d7.png.296x216.jpg', '成功红树林  套二户型 有装修', '成功红树林  | 2室1厅 | 73.24平米 | 南 | 毛坯 | 有电梯', '中楼层(共33层)2014年建塔楼  -  东光小区', '143万', '单价19525元/平米')
('https://image1.ljcdn.com/510100-inspection/debd9ba8-6a39-434f-a625-ae8917f0530a.jpg.296x216.jpg', '翡翠城五期，南北通透，套四双卫', '翡翠城五期  | 4室2厅 | 120.42平米 | 西北 | 精装 | 有电梯', '低楼层(共32层)2011年建板楼  -  东湖', '360万', '单价29896元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b3aef067-614e-4524-8ad0-ec0acbeb81ac.png.296x216.jpg', '一梯两户 小高层 户型通透 采光好', '蓝谷地一二期  | 2室1厅 | 86.9平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  蓝谷地', '168万', '单价19333元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2fda7ab9-a71b-4838-b3a1-ff94c53066f3.png.296x216.jpg', '世纪朝阳对中庭朝东南套二 装修保养好', '世纪朝阳  | 2室1厅 | 91.66平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2005年建板楼  -  九眼桥', '192万', '单价20947元/平米')
('https://image1.ljcdn.com/510100-inspection/test-75e34098-ded4-439c-b7e1-1cbe6cb9d8bd.png.296x216.jpg', '时代豪庭套三 有装修 有阳台 明厨明卫', '时代豪庭四期  | 3室2厅 | 165.76平米 | 东南 | 其他 | 有电梯', '中楼层(共40层)2011年建板塔结合  -  合江亭', '620万', '单价37404元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3a3d7aba-7993-4db7-a663-6552d1aaee74.jpg.296x216.jpg', '蜀都花园跃层套二，次卧餐厅带窗户。', '蜀都花园  | 2室1厅 | 93.78平米 | 东北 | 其他 | 有电梯', '低楼层(共20层)2003年建板楼  -  水碾河', '170万', '单价18128元/平米')
('https://image1.ljcdn.com/510100-inspection/f1f91f7c-e362-4a09-944c-a55ac42e5fac.jpg.296x216.jpg', '锦江区记者办单位房  房子实用面积大', '昭忠祠街69号  | 6室3厅 | 172平米 | 西南 | 其他', '高楼层(共6层)暂无数据  -  红星路', '230万', '单价13373元/平米')
('https://image1.ljcdn.com/510100-inspection/374cf7ec-6f5d-4855-a784-fa392594a11d.jpg.296x216.jpg', '上东锦城小套三 居家装修  卧室带阳台', '上东锦城A区  | 3室2厅 | 89.32平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2008年建塔楼  -  蓝谷地', '135万', '单价15115元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aec6ee11-5321-4115-a361-d974889f74bf.png.296x216.jpg', '户型方正，采光好，客厅带阳台，满五非唯一', '上东锦城A区  | 2室2厅 | 85.78平米 | 东 | 精装 | 有电梯', '高楼层(共34层)2008年建板楼  -  蓝谷地', '135万', '单价15738元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9854ad75-e02e-441b-8c65-de20fe99cea3.png.296x216.jpg', '东湖国际跃层套三，有阳台，有装修，有家具家电', '东湖国际  | 3室2厅 | 87.15平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2012年建塔楼  -  东湖', '300万', '单价34424元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7936d0f0-acfd-434c-92f8-706e8d02b51a.png.296x216.jpg', '四川邮电职业技术学院教师宿舍套二改套三', '邮电职业技术学院宿舍  | 2室1厅 | 49平米 | 东南 | 简装', '中楼层(共7层)板楼  -  川师', '80万', '单价16327元/平米')
('https://image1.ljcdn.com/510100-inspection/test-50a839fb-66fa-49ab-a612-84c074296cca.png.296x216.jpg', '邮电职业学院宿舍中层套二，简单装修', '邮电职业技术学院宿舍  | 2室1厅 | 57.81平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  川师', '92万', '单价15915元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2b6f9638-52ba-46c5-b979-92b1a95f9bff.png.296x216.jpg', '上东锦城A区套二 带装修 看房提前预约', '上东锦城A区  | 2室2厅 | 82.17平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2008年建板楼  -  蓝谷地', '120万', '单价14604元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3237dbc0-2382-4bc1-bd28-670fa97b7976.png.296x216.jpg', '望江锦园，清水套二，户型好采光好', '望江锦园  | 2室1厅 | 69.48平米 | 西北 | 其他 | 有电梯', '高楼层(共35层)塔楼  -  沙河堡', '135万', '单价19431元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d3870339-41e7-4796-a873-8c974075d86a.png.296x216.jpg', '冻青树街35号+套二+有装修+目前出租', '冻青树街35号  | 2室1厅 | 71.33平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1990年建板楼  -  盐市口', '110万', '单价15422元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bc7679b0-fce9-49c1-bafb-d6a75537124a.png.296x216.jpg', '卓锦城二期 ，南北通透，低楼层，正观中庭园林', '卓锦城二期  | 3室2厅 | 136.25平米 | 东南 西北 | 其他 | 有电梯', '低楼层(共24层)2008年建板塔结合  -  卓锦城', '249万', '单价18276元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6c5666d0-8bca-40c8-8b3d-4f3eed3a84ca.png.296x216.jpg', '天悦龙庭四居室，朝南带阳台，户型方正，纯板式结构', '天悦龙庭  | 4室2厅 | 143.39平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共30层)2014年建板楼  -  琉璃场', '283万', '单价19737元/平米')
('https://image1.ljcdn.com/510100-inspection/db098c16-e3b4-48ba-ab40-02da8e788278.jpg.296x216.jpg', '东晶丽苑简装套二对小区里面安静', '东晶丽苑  | 2室1厅 | 75.11平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2006年建板楼  -  琉璃场', '118万', '单价15711元/平米')
('https://image1.ljcdn.com/510100-inspection/test-65a0fff2-d816-4bb1-8efe-b27c45da5c4e.png.296x216.jpg', '锦江边精装套二带家具家电，可直接入住保养好', '蓝光凯丽香江  | 2室2厅 | 71平米 | 东 | 精装 | 有电梯', '中楼层(共42层)2009年建板塔结合  -  琉璃场', '166万', '单价23381元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2356d460-8a06-4de0-a578-86233366a31e.png.296x216.jpg', '套二户型 全明格局 可以上楼顶花园晒太阳', '莲花新区  | 2室2厅 | 87.55平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2002年建板楼  -  莲花', '155万', '单价17705元/平米')
('https://image1.ljcdn.com/510100-inspection/test-54622198-06a4-4973-925f-7743c27430ef.png.296x216.jpg', '跃层两居室 户型大 安静不临街', '银唐国际  | 3室1厅 | 117.07平米 | 东 西南 | 其他 | 有电梯', '低楼层(共28层)2006年建板塔结合  -  合江亭', '290万', '单价24772元/平米')
('https://image1.ljcdn.com/510100-inspection/test-32c03aec-2601-45cc-8579-fdd46ff72d06.png.296x216.jpg', '客厅带正阳台 开发商精装 自住中 满二年', '翡翠城五期  | 2室1厅 | 77.4平米 | 东 | 其他 | 有电梯', '低楼层(共32层)2011年建板楼  -  东湖', '260万', '单价33592元/平米')
('https://image1.ljcdn.com/510100-inspection/5bc4b861-9c20-4c90-9c47-4376fe114a1e.jpg.296x216.jpg', '翡翠城一期 朝南套二  有装修，带暖气 自住装修', '翡翠城一期  | 2室1厅 | 81.09平米 | 南 | 精装 | 有电梯', '11层2004年建塔楼  -  东湖', '246万', '单价30337元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ef8b5d90-01b0-4737-9472-6a2b19db424d.png.296x216.jpg', '锦江区，三圣乡，东洪广厦，精装套二', '东洪广厦  | 2室1厅 | 70.49平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  三圣乡', '128万', '单价18159元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d7e34857-71d9-4e3b-91b7-346520cb9bd9.png.296x216.jpg', '锦江城市花园一期标准套二精装修', '锦江城市花园一期  | 2室1厅 | 75平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2009年建塔楼  -  三圣乡', '135万', '单价18000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-edb19dd7-a1ca-47e3-b2b1-be040ebd6846.png.296x216.jpg', '两室两厅居家装修安静不吵采光很好', '紫气东来  | 2室2厅 | 75.66平米 | 西北 | 其他', '低楼层(共18层)暂无数据  -  蓝谷地', '125万', '单价16522元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8b5fd128-455d-4963-b1f6-73206399872a.png.296x216.jpg', '九眼桥头多层套二，交通方便低楼层。', '顺江路49号  | 2室1厅 | 50.67平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  九眼桥', '84万', '单价16578元/平米')
('https://image1.ljcdn.com/510100-inspection/3e90fba3-0f10-4df1-a623-dbf58f1e6965.jpg.296x216.jpg', '四海逸家新上套四三卫户型，精装修从未入住', '融创四海逸家  | 4室1厅 | 97.47平米 | 东南 | 其他 | 有电梯', '中楼层(共40层)2015年建板塔结合  -  卓锦城', '430万', '单价44117元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9462bdad-2fbd-49c3-9aa8-3dd5ae2a86bc.png.296x216.jpg', '工农院街72号 有装修有阳台 套二', '工农院街72号  | 2室1厅 | 54平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1996年建板楼  -  莲花', '73万', '单价13519元/平米')
('https://image1.ljcdn.com/510100-inspection/test-814834ab-c5f0-487f-abda-cd76e7c32b1d.png.296x216.jpg', '翡翠城三期 双卫，入户六米挑高，精装修，满两年', '翡翠城三期  | 4室2厅 | 154.01平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2008年建板楼  -  东湖', '490万', '单价31817元/平米')
('https://image1.ljcdn.com/510100-inspection/63b97ac3-44c6-41ed-a729-b0298db0a8cc.jpg.296x216.jpg', '平18米连体大阳台属于半赠送，户型方正/规整', '蓝谷地天域  | 2室2厅 | 79.65平米 | 西北 | 其他 | 有电梯', '低楼层(共33层)2011年建板塔结合  -  蓝谷地', '145万', '单价18205元/平米')
