('https://image1.ljcdn.com/210100-inspection/d6da7182-f981-48c7-8e63-b7f846b070a4.jpg.296x216.jpg', '华府丹郡 简装南向2室 中间楼层 满五年 单价6500！', '华府丹郡  | 2室2厅 | 74.21平米 | 南 | 简装', '中楼层(共33层)板楼  -  苏家屯区', '50万', '单价6738元/平米')
('', '庆大香格经典 1室2厅 41万', '庆大香格经典  | 1室2厅 | 64平米 | 东 北 | 其他', '高楼层(共31层)2013年建板楼  -  苏家屯区', '41万', '单价6407元/平米')
('https://image1.ljcdn.com/210100-inspection/84f2515a-a968-4299-b39d-e6ed099050d7.jpg.296x216.jpg', '格林喜鹊花园 南北通透 交通便利 随时可看', '格林喜鹊花园  | 2室1厅 | 81平米 | 南 北 | 其他', '低楼层(共30层)2014年建板楼  -  苏家屯区', '47万', '单价5803元/平米')
('', '华府丹郡 2室2厅 53万', '华府丹郡  | 2室2厅 | 74.21平米 | 南 | 其他', '低楼层(共32层)板楼  -  苏家屯区', '53万', '单价7142元/平米')
('https://image1.ljcdn.com/210100-inspection/668143e5-1109-4154-9d72-d28a1d661306.jpg.296x216.jpg', '奥园国际城 2室1厅 42万', '奥园国际城  | 2室1厅 | 65.05平米 | 西北 | 其他', '低楼层(共33层)暂无数据  -  苏家屯区', '42万', '单价6457元/平米')
('', '北国奥林匹克花园 2室1厅 52万', '北国奥林匹克花园  | 2室1厅 | 70.16平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  苏家屯区', '52万', '单价7412元/平米')
('https://image1.ljcdn.com/210100-inspection/c37b56c8-fa5a-4ae9-a8b7-e6ba76ef8c31.jpg.296x216.jpg', '奥园国际城 3室2厅 75万', '奥园国际城  | 3室2厅 | 128.98平米 | 南 西 北 | 简装', '低楼层(共22层)暂无数据  -  苏家屯区', '75万', '单价5815元/平米')
('', '奥园国际城 2室1厅 44万', '奥园国际城  | 2室1厅 | 65.38平米 | 东北 | 其他', '中楼层(共33层)暂无数据  -  苏家屯区', '44万', '单价6730元/平米')
('https://image1.ljcdn.com/210100-inspection/858fae4e-cfca-4cb4-a102-7499608c8b45.jpg.296x216.jpg', '品质园区，交通便利，小户型，精装，复式', '泰盈十里锦城  | 2室2厅 | 41平米 | 南 | 其他', '中楼层(共20层)2019年建板楼  -  苏家屯区', '33万', '单价8049元/平米')
('', '北国奥林匹克花园 3室2厅 92万', '北国奥林匹克花园  | 3室2厅 | 135.38平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  苏家屯区', '92万', '单价6796元/平米')
('https://image1.ljcdn.com/210100-inspection/85c65b90-c486-47b8-a0da-37c38561b1b7.jpg.296x216.jpg', '恒大名都 4室1厅 100万', '恒大名都  | 4室1厅 | 176平米 | 东 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '100万', '单价5682元/平米')
('', '泰盈十里锦城 3室2厅 77万', '泰盈十里锦城  | 3室2厅 | 121.81平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  苏家屯区', '77万', '单价6322元/平米')
('https://image1.ljcdn.com/210100-inspection/21c25da7-deaa-4fbb-ad08-f0473d7e2542.jpg.296x216.jpg', '奥园国际城 3室2厅 72万', '奥园国际城  | 3室2厅 | 111.58平米 | 南 西 北 | 精装', '低楼层(共28层)板塔结合  -  苏家屯区', '72万', '单价6453元/平米')
('', '奥园国际城 2室2厅 38万', '奥园国际城  | 2室2厅 | 51平米 | 东 | 精装', '低楼层(共33层)2011年建板塔结合  -  苏家屯区', '38万', '单价7451元/平米')
('https://image1.ljcdn.com/210100-inspection/719b5775-c1b2-40d8-8b7b-98c6c019235d.jpg.296x216.jpg', '奥园会展广场 2室2厅 54万', '奥园会展广场  | 2室2厅 | 83.08平米 | 南 北 | 其他', '低楼层(共16层)暂无数据  -  苏家屯区', '54万', '单价6500元/平米')
('', '河畔花城 3室2厅 69万', '河畔花城  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  苏家屯区', '69万', '单价7114元/平米')
('https://image1.ljcdn.com/210100-inspection/7b936357-7b4e-4626-b3ec-213785251441.JPG.296x216.jpg', '格林喜鹊花园 1室1厅 27万', '格林喜鹊花园  | 1室1厅 | 44平米 | 南 | 毛坯', '中楼层(共30层)2014年建板楼  -  苏家屯区', '27万', '单价6137元/平米')
('', '格林喜鹊花园 1室1厅 39万', '格林喜鹊花园  | 1室1厅 | 64.6平米 | 南 北 | 其他', '低楼层(共30层)2014年建板楼  -  苏家屯区', '39万', '单价6038元/平米')
('https://image1.ljcdn.com/210100-inspection/139681b1-45c9-4a33-b614-e26b7ea9f355.jpg.296x216.jpg', '华府丹郡，精装单间，送家具家电，啥啥都有，拎包即住', '华府丹郡  | 1室1厅 | 43.76平米 | 南 | 精装', '低楼层(共33层)板楼  -  苏家屯区', '36万', '单价8227元/平米')
('', '泰盈十里锦城 1室1厅 30万', '泰盈十里锦城  | 1室1厅 | 40.01平米 | 东 | 其他', '高楼层(共20层)2019年建板楼  -  苏家屯区', '30万', '单价7499元/平米')
('https://image1.ljcdn.com/210100-inspection/415616cc-bfcd-4db3-9099-b6e4ecd37630.jpg.296x216.jpg', '苏家屯区，奥园国际城，低楼层，南北通透，精装修', '奥园国际城  | 2室2厅 | 94.73平米 | 南 北 | 其他', '低楼层(共24层)2019年建板楼  -  苏家屯区', '65万', '单价6862元/平米')
('', '华府丹郡 3室2厅 60万', '华府丹郡  | 3室2厅 | 89.86平米 | 南 北 | 其他', '高楼层(共33层)板楼  -  苏家屯区', '60万', '单价6678元/平米')
('https://image1.ljcdn.com/210100-inspection/b07a7242-9f05-47f3-9699-7e9bfdff26b5.jpg.296x216.jpg', '沈阳体育学院旁华府丹郡2室2厅 带装修', '华府丹郡  | 2室2厅 | 91.67平米 | 南 北 | 其他', '中楼层(共32层)板楼  -  苏家屯区', '74万', '单价8073元/平米')
('', '奥园国际城 2室1厅 71万', '奥园国际城  | 2室1厅 | 79.2平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  苏家屯区', '71万', '单价8965元/平米')
('https://image1.ljcdn.com/210100-inspection/29a3e13d-b3d8-4f9c-9d47-e38498fafcf9.jpg.296x216.jpg', '沈阳体育学院旁华府丹郡精装修3室 拎包入住', '华府丹郡  | 3室2厅 | 95平米 | 南 西 北 | 其他', '低楼层(共16层)板楼  -  苏家屯区', '72万', '单价7579元/平米')
('', '华府丹郡 3室2厅 62万', '华府丹郡  | 3室2厅 | 91.67平米 | 南 北 | 其他', '高楼层(共33层)2018年建板楼  -  苏家屯区', '62万', '单价6764元/平米')
('https://image1.ljcdn.com/210100-inspection/3b3997af-ed3b-4285-91a6-54c49d91941c.jpg.296x216.jpg', '奥园国际城 2室1厅 42万', '奥园国际城  | 2室1厅 | 65.38平米 | 东北 | 简装', '中楼层(共24层)2019年建板楼  -  苏家屯区', '42万', '单价6424元/平米')
('', '华府丹郡 2室2厅 60万', '华府丹郡  | 2室2厅 | 89.64平米 | 南 北 | 其他', '高楼层(共33层)板楼  -  苏家屯区', '60万', '单价6694元/平米')
('https://image1.ljcdn.com/210100-inspection/7e3339f7-b812-4b6f-812b-64007709290a.jpg.296x216.jpg', '苏家屯，雪松新城f区，3室带装修 拎包即住', '雪松新城F区  | 3室1厅 | 113.04平米 | 南 北 | 其他', '低楼层(共28层)板楼  -  苏家屯区', '65万', '单价5751元/平米')
('https://image1.ljcdn.com/210100-inspection/14e0f5f8-e2ac-418d-aedc-94c4afecbe08.jpg.296x216.jpg', '北国奥林匹克花园 3室2厅 85万', '北国奥林匹克花园  | 3室2厅 | 119.08平米 | 东 南 北 | 其他', '中楼层(共11层)暂无数据  -  苏家屯区', '85万', '单价7139元/平米')
('', '华府丹郡52万 变现，满五年75平无抵押无贷款', '华府丹郡  | 2室1厅 | 75平米 | 南 | 简装', '高楼层(共33层)板楼  -  苏家屯区', '52万', '单价6934元/平米')
('https://image1.ljcdn.com/210100-inspection/192580a2-8809-4b63-90a5-04a4ec96c935.jpg.296x216.jpg', '急售 苏家屯 会展 庆大香格经典 2室2厅 清水', '庆大香格经典  | 2室2厅 | 87.83平米 | 东南 | 其他', '中楼层(共30层)2013年建板楼  -  苏家屯区', '48万', '单价5466元/平米')
('https://image1.ljcdn.com/210100-inspection/a7358b3a-cd82-45bb-9972-14104c8eec6c.jpg.296x216.jpg', '北国奥林匹克花园 1室1厅 46万', '北国奥林匹克花园  | 1室1厅 | 70.16平米 | 南 | 其他', '高楼层(共11层)暂无数据  -  苏家屯区', '46万', '单价6557元/平米')
('', '恒大名都 2室2厅 65万', '恒大名都  | 2室2厅 | 81平米 | 南 北 | 毛坯', '低楼层(共33层)2012年建板楼  -  苏家屯区', '65万', '单价8025元/平米')
('https://image1.ljcdn.com/210100-inspection/53481e9f-3fdf-458e-a93d-df6efd28ff06.jpg.296x216.jpg', '恒大名都 精装房 带车位 3室2厅', '恒大名都  | 3室2厅 | 147平米 | 南 北 | 精装', '中楼层(共33层)2012年建板楼  -  苏家屯区', '130万', '单价8844元/平米')
('https://image1.ljcdn.com/210100-inspection/8c88b569-618a-42bd-8341-82793c0e4b98.jpg.296x216.jpg', '苏家屯优质房源，房主诚心出售！', '唯美尚品  | 3室2厅 | 129平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  苏家屯区', '85万', '单价6590元/平米')
('', '恒大品牌开发商，精装修，拎包入住。', '恒大名都  | 3室2厅 | 148.39平米 | 南 北 | 精装', '中楼层(共33层)2012年建板楼  -  苏家屯区', '113万', '单价7616元/平米')
('https://image1.ljcdn.com/210100-inspection/4fd1f637-1aeb-4095-a1f8-ad19eee20a28.jpg.296x216.jpg', '恒大明珠 落地窗  园区景观  成熟配套大开发商', '恒大名都  | 2室1厅 | 99.63平米 | 东南 | 其他', '高楼层(共33层)2012年建板楼  -  苏家屯区', '75万', '单价7528元/平米')
('https://image1.ljcdn.com/210100-inspection/cf8cc433-e748-44fd-8aea-0468e04e3b00.jpg.296x216.jpg', '恒大名都 2室1厅 77万', '恒大名都  | 2室1厅 | 87.8平米 | 南 | 其他', '中楼层(共33层)2012年建板楼  -  苏家屯区', '77万', '单价8770元/平米')
('https://image1.ljcdn.com/210100-inspection/441bf602-6c29-4e16-8f76-fa701f0bd28c.jpg.296x216.jpg', '体院对 面 华府丹郡 两室74.32平 58万 临新南站', '华府丹郡  | 2室1厅 | 74.32平米 | 南 | 其他', '低楼层(共33层)2018年建板楼  -  苏家屯区', '58万', '单价7805元/平米')
('https://image1.ljcdn.com/210100-inspection/ce04e570-0e48-4df9-9f0f-a150f5cb1e83.jpg.296x216.jpg', '此房精装修  房子满五年 楼层好 采光充足 交通便利', '华府丹郡  | 2室2厅 | 102.5平米 | 南 北 | 简装', '低楼层(共32层)板楼  -  苏家屯区', '75万', '单价7318元/平米')
('https://image1.ljcdn.com/210100-inspection/26ffd505-71ad-4cd9-be63-96eb701b175d.jpg.296x216.jpg', '庆大香格经典 2室1厅 58万', '庆大香格经典  | 2室1厅 | 81.45平米 | 南 | 其他', '高楼层(共30层)2013年建板楼  -  苏家屯区', '58万', '单价7121元/平米')
('https://image1.ljcdn.com/210100-inspection/3a946627-8255-4656-bdab-be27cc5a90a8.jpg.296x216.jpg', '苏家屯南北通透好楼层近劳动公园生鲜超市苏白路市场', '文竹新区  | 2室2厅 | 99.62平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  苏家屯区', '62万', '单价6224元/平米')
('https://image1.ljcdn.com/210100-inspection/54d2ccdb-1f21-47c8-b005-092e5d4bf194.jpg.296x216.jpg', '奥园会展广场 两室 65万 中间楼层', '奥园会展广场  | 2室1厅 | 87.81平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  苏家屯区', '65万', '单价7403元/平米')
('https://image1.ljcdn.com/210100-inspection/4d3fa4ca-8553-4f60-bf7e-412bc50209fd.jpg.296x216.jpg', '奥园国际城 3室2厅 90万', '奥园国际城  | 3室2厅 | 129平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  苏家屯区', '90万', '单价6977元/平米')
('https://image1.ljcdn.com/210100-inspection/48640c55-b835-431b-916e-df203cee73fe.jpg.296x216.jpg', '北国奥林花园 电梯洋房顶跃 南北精装无贷款 满二', '北国奥林匹克花园  | 2室2厅 | 81.45平米 | 南 北 | 其他', '高楼层(共6层)2018年建板楼  -  苏家屯区', '105万', '单价12892元/平米')
('https://image1.ljcdn.com/210100-inspection/4a4e7a92-a873-43e6-8c2e-c5cb812b5d2a.jpg.296x216.jpg', '唯美尚品 一楼带车位 诚心出售 户型方正 出行便利', '唯美尚品  | 3室2厅 | 131.83平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  苏家屯区', '84万', '单价6372元/平米')
('https://image1.ljcdn.com/210100-inspection/a5ce7f6d-39b6-47ff-8df8-08a3de458fea.jpg.296x216.jpg', '恒大名都 品质园区 恒大自带物业 南北通透 格局方正', '恒大名都  | 3室2厅 | 145平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '92万', '单价6345元/平米')
('https://image1.ljcdn.com/210100-inspection/c1923c50-aecf-4919-b6f1-f911f897fa8e.jpg.296x216.jpg', '唯美尚品 2室2厅 82万', '唯美尚品  | 2室2厅 | 111平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  苏家屯区', '82万', '单价7388元/平米')
('https://image1.ljcdn.com/210100-inspection/fc4ce123-5c7f-44bb-84d0-f09ac42d0b9c.jpg.296x216.jpg', '奥园国际城 3室2厅 80万', '奥园国际城  | 3室2厅 | 127.46平米 | 东南 东北 | 简装', '低楼层(共22层)暂无数据  -  苏家屯区', '80万', '单价6277元/平米')
('https://image1.ljcdn.com/210100-inspection/4935e0a5-69e3-4c51-a547-83a51f479978.jpg.296x216.jpg', '长白岛南 精装修现房 恒大明都 园区优美 户型方正', '恒大名都  | 3室2厅 | 144.86平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '102万', '单价7042元/平米')
('https://image1.ljcdn.com/210100-inspection/6c22c889-b108-4e7b-9914-9be88368764f.jpg.296x216.jpg', '华府丹郡中小型南北户型，家具送楼层好，装修好', '华府丹郡  | 2室2厅 | 78.12平米 | 南 北 | 精装', '低楼层(共33层)板楼  -  苏家屯区', '64万', '单价8193元/平米')
('https://image1.ljcdn.com/210100-inspection/2debe8ae-f478-4045-9b57-b2ef33833cac.jpg.296x216.jpg', '奥园国际城 4室2厅 115万', '奥园国际城  | 4室2厅 | 139.04平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  苏家屯区', '115万', '单价8272元/平米')
('https://image1.ljcdn.com/210100-inspection/6ae8f1ce-518b-43c6-b6cd-d5ddc8a3aa7d.jpg.296x216.jpg', '华府丹郡 简装两居 近体育学院 视野采光好 方便看房', '华府丹郡  | 2室2厅 | 73.35平米 | 南 | 简装', '高楼层(共33层)2018年建板楼  -  苏家屯区', '55万', '单价7499元/平米')
('https://image1.ljcdn.com/210100-inspection/54411a2d-3578-4284-8963-a0ee84ccd133.jpg.296x216.jpg', '80万华府丹郡94.8平，中等装修，户型好', '华府丹郡  | 3室2厅 | 94.8平米 | 南 北 | 精装', '高楼层(共33层)2018年建板楼  -  苏家屯区', '80万', '单价8439元/平米')
('https://image1.ljcdn.com/210100-inspection/914d4a22-77e7-4932-a49f-c44859f474ab.jpg.296x216.jpg', '南北标户 精装俩室 赠送家具家电 随时可签', '华府丹郡  | 2室2厅 | 98.34平米 | 南 北 | 精装', '中楼层(共31层)暂无数据  -  苏家屯区', '72万', '单价7322元/平米')
('https://image1.ljcdn.com/210100-inspection/ec102b44-14bc-4650-989d-2906be21ebb1.jpg.296x216.jpg', '华府丹郡 满二 精装 赠家具家电', '华府丹郡  | 2室2厅 | 73.06平米 | 东南 | 其他', '高楼层(共31层)板楼  -  苏家屯区', '64万', '单价8760元/平米')
('https://image1.ljcdn.com/210100-inspection/11aa547c-a99e-4bc1-83b4-621c6ff0201d.jpg.296x216.jpg', '华府丹郡 南北户型，赠送面积约10平，满五年，', '华府丹郡  | 3室2厅 | 94.87平米 | 南 北 | 精装', '中楼层(共32层)板楼  -  苏家屯区', '77万', '单价8117元/平米')
('https://image1.ljcdn.com/210100-inspection/2c5a0923-3cab-4ec2-98bb-77b1abc6bdb0.jpg.296x216.jpg', '恒大名都 2室2厅 75万', '恒大名都  | 2室2厅 | 99.8平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '75万', '单价7516元/平米')
('https://image1.ljcdn.com/210100-inspection/d91e235d-62b7-490a-b752-acafc714b15c.jpg.296x216.jpg', '恒大名都五室阔景高层，舒适度高174平110万', '恒大名都  | 5室2厅 | 174.41平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '110万', '单价6307元/平米')
('https://image1.ljcdn.com/210100-inspection/43728814-14d1-4842-a4f6-96e88ef4be09.JPG.296x216.jpg', '华府丹郡56万 精装修送露台 73.17平 两室', '华府丹郡  | 2室2厅 | 73.17平米 | 南 北 | 精装', '低楼层(共33层)2018年建板楼  -  苏家屯区', '56万', '单价7654元/平米')
('https://image1.ljcdn.com/210100-inspection/fecbcb45-34a3-4d99-b004-ad6d96611ab0.jpg.296x216.jpg', '恒大名都  精装修 配套全 二居室 位置好 恒大物业', '恒大名都  | 2室2厅 | 99.8平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '78万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/56714d3a-f94d-4785-95f4-c5bc46b27e38.jpg.296x216.jpg', '恒大名都精装修二期，120万148平单价8000', '恒大名都  | 3室2厅 | 148平米 | 东南 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '120万', '单价8109元/平米')
('https://image1.ljcdn.com/210100-inspection/5aaa59a4-bd73-4923-ba39-4a55d6d98aa4.jpg.296x216.jpg', '华府丹郡 3室1厅 70万', '华府丹郡  | 3室1厅 | 95.02平米 | 南 北 | 简装', '低楼层(共33层)板楼  -  苏家屯区', '70万', '单价7367元/平米')
('https://image1.ljcdn.com/210100-inspection/d56618a5-f030-4044-89ec-e60013c64089.jpg.296x216.jpg', '长白岛南恒大原精装，近沈阳南站，人车分流，金碧物业', '恒大名都  | 4室2厅 | 173平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '115万', '单价6648元/平米')
('https://image1.ljcdn.com/210100-inspection/c417f417-7c4e-4398-ac5a-f6dec5b3a1b8.jpg.296x216.jpg', '会展旁 体院  三室标准户型 园区中间位置', '华府丹郡  | 3室2厅 | 121.29平米 | 南 北 | 毛坯', '高楼层(共17层)暂无数据  -  苏家屯区', '82万', '单价6761元/平米')
('https://image1.ljcdn.com/210100-inspection/5db68e94-742b-458a-be38-7f539500377b.jpg.296x216.jpg', '精装 南北俩室 随时可签 视野宽阔', '华府丹郡  | 2室2厅 | 92平米 | 南 北 | 精装', '中楼层(共33层)暂无数据  -  苏家屯区', '75万', '单价8153元/平米')
('https://image1.ljcdn.com/210100-inspection/5289468d-c436-41ed-bd8e-0ccb209ab362.jpg.296x216.jpg', '华府丹郡 2室2厅 64万', '华府丹郡  | 2室2厅 | 86平米 | 南 北 | 毛坯', '高楼层(共33层)暂无数据  -  苏家屯区', '64万', '单价7442元/平米')
('https://image1.ljcdn.com/210100-inspection/9f439d98-b7b8-4ddb-b317-4679e02c01da.jpg.296x216.jpg', '华府丹郡  自带地下室  花园', '华府丹郡  | 2室1厅 | 66.03平米 | 南 | 毛坯', '低楼层(共31层)板楼  -  苏家屯区', '63万', '单价9542元/平米')
('https://image1.ljcdn.com/210100-inspection/318c83db-0112-4b27-880a-1b6229657547.jpg.296x216.jpg', '奥园国际城 2室2厅 72万', '奥园国际城  | 2室2厅 | 93.82平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  苏家屯区', '72万', '单价7675元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload17c35985-e529-499b-9877-d1e4579e6118.jpg.296x216.jpg', '长白南 高层小户型 清水房 视野开阔 无遮挡 看房方便', '庆大香格经典  | 1室1厅 | 62.47平米 | 西北 | 其他', '中楼层(共31层)2013年建板楼  -  苏家屯区', '35万', '单价5603元/平米')
('https://image1.ljcdn.com/210100-inspection/9bb7d836-5e60-4d26-b791-fc5b91cc65c0.jpg.296x216.jpg', '华府丹郡 2室2厅 57万', '华府丹郡  | 2室2厅 | 72.88平米 | 东南 | 其他', '高楼层(共33层)板楼  -  苏家屯区', '57万', '单价7822元/平米')
('https://image1.ljcdn.com/210100-inspection/903def71-664f-4d05-a140-667709392825.jpg.296x216.jpg', '格林喜鹊花园 1室1厅 28.5万', '格林喜鹊花园  | 1室1厅 | 43.89平米 | 南 | 其他', '低楼层(共30层)2014年建板楼  -  苏家屯区', '28.5万', '单价6494元/平米')
('https://image1.ljcdn.com/210100-inspection/51ee8c46-efdd-462a-bdc8-3648fd0e9a67.jpg.296x216.jpg', '精装 洋房  唯美尚品 配套齐全 户型方正 采光好', '唯美尚品  | 3室2厅 | 133.84平米 | 南 | 其他', '中楼层(共5层)暂无数据  -  苏家屯区', '91万', '单价6800元/平米')
('https://image1.ljcdn.com/210100-inspection/26507496-c98e-4402-8932-57e552caf4d4.jpg.296x216.jpg', '采光好，楼层好，小复式 ，户型好', '泰盈十里锦城  | 2室1厅 | 42.65平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  苏家屯区', '45万', '单价10551元/平米')
('https://image1.ljcdn.com/210100-inspection/4d1aaba8-2e35-4b8d-a09b-21082c114a49.jpg.296x216.jpg', '奥园国际城 3室2厅 97万', '奥园国际城  | 3室2厅 | 129平米 | 东南 | 其他', '高楼层(共33层)暂无数据  -  苏家屯区', '97万', '单价7520元/平米')
('https://image1.ljcdn.com/210100-inspection/d822aa4d-0ffb-46f7-99ab-ef5da837c1a5.jpg.296x216.jpg', '奥园国际城 2室2厅 65万', '奥园国际城  | 2室2厅 | 94.7平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  苏家屯区', '65万', '单价6864元/平米')
('https://image1.ljcdn.com/210100-inspection/758fc223-f0e7-4fe3-b602-a1123f8ab23f.jpg.296x216.jpg', '长白岛南恒大原精装，近沈阳南站，包税，金碧物业', '恒大名都  | 4室2厅 | 174平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  苏家屯区', '120万', '单价6897元/平米')
('https://image1.ljcdn.com/210100-inspection/d6ec2be1-3f0c-4b99-acf2-eab1760bdce8.jpg.296x216.jpg', '品牌开发 品牌 物业 自带 装修 拎包入住', '恒大名都  | 4室2厅 | 174平米 | 南 北 | 精装', '低楼层(共33层)2012年建板楼  -  苏家屯区', '115万', '单价6610元/平米')
('https://image1.ljcdn.com/210100-inspection/99248b72-63ea-4960-990c-f5bbe1cb8302.jpg.296x216.jpg', '空间大，  4室开间 ，采光好，户型好。', '奥园国际城  | 4室2厅 | 139.5平米 | 东南 | 其他', '中楼层(共19层)暂无数据  -  苏家屯区', '92万', '单价6595元/平米')
('https://image1.ljcdn.com/210100-inspection/b2302038-ec4e-49b4-ae80-0a5b50401e82.jpg.296x216.jpg', '恒大名都精装修3室105万，有车位，真实在售', '恒大名都  | 3室2厅 | 148.29平米 | 南 北 | 精装', '低楼层(共33层)2012年建板楼  -  苏家屯区', '105万', '单价7081元/平米')
('https://image1.ljcdn.com/210100-inspection/3afd3705-994c-47d7-811f-aa0d0b7ae8c9.jpg.296x216.jpg', '华府丹郡 3室2厅 75万', '华府丹郡  | 3室2厅 | 92平米 | 南 北 | 其他', '低楼层(共18层)2018年建板楼  -  苏家屯区', '75万', '单价8153元/平米')
('https://image1.ljcdn.com/210100-inspection/dbe4d49e-c5f4-4a5a-8566-5af2cc4a4182.jpg.296x216.jpg', '此房精装修  房子满五年 楼层好 采光充足 交通便利', '华府丹郡  | 2室1厅 | 94.8平米 | 南 北 | 毛坯', '低楼层(共32层)板楼  -  苏家屯区', '66万', '单价6963元/平米')
('https://image1.ljcdn.com/210100-inspection/cc3002e0-e3a2-4883-869d-da6c8536f267.jpg.296x216.jpg', '奥园国际城 2室1厅 45万', '奥园国际城  | 2室1厅 | 76.9平米 | 东 | 其他', '低楼层(共27层)暂无数据  -  苏家屯区', '45万', '单价5852元/平米')
('https://image1.ljcdn.com/210100-inspection/2fa4c66d-8a5c-4af1-ac11-7c597fc1ceab.jpg.296x216.jpg', '新南站旁 恒大名都 南北通透 精装修 配套完善', '恒大名都  | 3室2厅 | 120.68平米 | 东 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '86万', '单价7127元/平米')
('https://image1.ljcdn.com/210100-inspection/8fdd1ce0-03cf-48f4-ae1e-edf42d1cc04a.jpg.296x216.jpg', '恒大名都精装小户型 带家具家电 拎包即住', '恒大名都三期  | 1室1厅 | 35.96平米 | 西 | 精装', '中楼层(共34层)暂无数据  -  苏家屯区', '32万', '单价8899元/平米')
('https://image1.ljcdn.com/210100-inspection/5d3ae495-6ceb-4ee9-a57a-6cbf43c2fa11.jpg.296x216.jpg', '简装，拎包 入住，家具 家电 业主 赠送', '奥园会展广场  | 1室1厅 | 51平米 | 南 | 简装', '高楼层(共11层)暂无数据  -  苏家屯区', '39万', '单价7648元/平米')
('https://image1.ljcdn.com/210100-inspection/8b663877-f23d-44c4-a50e-b91dc9816976.jpg.296x216.jpg', '恒大名都一期，景观，三向采光，户户带窗，送家具家电', '恒大名都  | 4室2厅 | 168.79平米 | 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  苏家屯区', '127万', '单价7525元/平米')
('https://image1.ljcdn.com/210100-inspection/d0c32a7b-691c-4545-a98a-06092df0858c.jpg.296x216.jpg', '恒大名都二期，南北标户，低楼层，恒大装修，单价便宜', '恒大名都  | 4室2厅 | 174.18平米 | 东 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '107万', '单价6144元/平米')
('https://image1.ljcdn.com/210100-inspection/f0281f51-0962-468b-b7ed-88d45449321f.jpg.296x216.jpg', '奥园国际城 4室2厅 111万', '奥园国际城  | 4室2厅 | 193.5平米 | 南 北 | 毛坯', '低楼层(共18层)暂无数据  -  苏家屯区', '111万', '单价5737元/平米')
('https://image1.ljcdn.com/210100-inspection/b5e7ab90-a5e4-4751-9b99-a66241069632.jpg.296x216.jpg', '恒大名都 4室2厅 115万', '恒大名都  | 4室2厅 | 173.72平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '115万', '单价6620元/平米')
('https://image1.ljcdn.com/210100-inspection/f4567efd-d115-4035-bdb3-8cbf44aef823.jpg.296x216.jpg', '恒大名都大开发商、绿化好、生活氛围好', '恒大名都  | 4室2厅 | 172.67平米 | 南 西 北 | 精装', '低楼层(共33层)2012年建板楼  -  苏家屯区', '110万', '单价6371元/平米')
('https://image1.ljcdn.com/210100-inspection/fa0ce165-c7ec-44cb-a3ad-f4a88ca4b51c.jpg.296x216.jpg', '庆大香格经典 2室1厅 41万', '庆大香格经典  | 2室1厅 | 72.08平米 | 东 | 其他', '低楼层(共30层)2013年建板楼  -  苏家屯区', '41万', '单价5689元/平米')
('https://image1.ljcdn.com/210100-inspection/da8d3af2-2744-49b1-878e-ed9e6118c574.jpg.296x216.jpg', '奥园国际城 1室1厅 45万', '奥园国际城  | 1室1厅 | 76.82平米 | 西 | 其他', '高楼层(共27层)暂无数据  -  苏家屯区', '45万', '单价5858元/平米')
('https://image1.ljcdn.com/210100-inspection/3f61aa07-6033-4119-9c86-c1576b40e335.jpg.296x216.jpg', '满五唯一无免增值税 免个税 楼层好 视野开阔 交通便利', '华府丹郡  | 2室1厅 | 64.8平米 | 东北 | 精装', '高楼层(共33层)板楼  -  苏家屯区', '50万', '单价7717元/平米')
