('https://image1.ljcdn.com/320100-inspection/6a8ca2d2-a17a-4f9a-afb2-877985baded6.jpg.296x216.jpg', '南邮旁 新空毛坯 通透大三房 中间楼层 报价含车位', '诚品城  | 3室1厅 | 99.02平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2009年建板楼  -  仙林', '285万', '单价28783元/平米')
('https://image1.ljcdn.com/320100-inspection/d8d233f8-be68-4691-93da-37005b7b4f94.jpg.296x216.jpg', '仙林满五年 仙龙湾电梯花园洋房 南北通透户型好', '仙龙湾山庄  | 4室2厅 | 142.59平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共6层)2010年建板楼  -  仙林', '460万', '单价32261元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload1a3673a0-f496-4567-81c5-7f331a57f51e.jpg.296x216.jpg', '万寿  招商1872  经五路高架   栖霞大道', '招商1872  | 3室2厅 | 87.08平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2017年建塔楼  -  万寿', '275万', '单价31581元/平米')
('https://image1.ljcdn.com/320100-inspection/d7e6b17c-88fd-4985-ba3e-863453f71608.jpg.296x216.jpg', '南北通透 采光充足 视野开阔 生活配套设施齐全', '南湾营润康苑  | 3室1厅 | 85.03平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  马群', '178万', '单价20934元/平米')
('https://image1.ljcdn.com/320100-inspection/e60b747d-991e-4fa4-ae7c-6c8fdadcd84e.jpg.296x216.jpg', '两室户型一南一北中间楼层采光充足交通便捷诚心出售', '百水芊城春水坊  | 2室1厅 | 65.4平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  马群', '148万', '单价22630元/平米')
('https://image1.ljcdn.com/320100-inspection/bf6f6caf-9745-42f8-b9c1-58cd8d036e32.jpg.296x216.jpg', '天悦花园 5室1厅 265万', '天悦花园  | 5室1厅 | 111.87平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  马群', '265万', '单价23689元/平米')
('https://image1.ljcdn.com/120000-inspection/c9c10603-cd68-414b-aa1f-093f1a1dbafd.jpg.296x216.jpg', '南北通透 采光充足 视野好 环境好', '鸿运嘉园  | 4室2厅 | 141.65平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)2011年建板楼  -  仙林', '380万', '单价26827元/平米')
('https://image1.ljcdn.com/320100-inspection/5baa6a3d-427b-4b6a-88b8-f8e04f9257c2.jpg.296x216.jpg', '仙林咏梅山庄 满五年大三房 户型方正 带大阁楼', '咏梅山庄  | 3室2厅 | 120.11平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  仙林', '368万', '单价30639元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploade47e239a-1c9e-4ef2-8d89-5260dfb96328.jpg.296x216.jpg', '纯毛坯 可改造性强 封闭式管理', '高科荣域  | 5室2厅 | 200.75平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共10层)2013年建板楼  -  仙林', '698万', '单价34770元/平米')
('https://image1.ljcdn.com/320100-inspection/e696b3fa-b1c0-4cfa-bfac-f432d9ad5fb2.jpg.296x216.jpg', '银城物业 纯毛坯 随时看房 花园洋房 南北通透', '仙龙湾山庄  | 3室2厅 | 130.36平米 | 南 北 | 其他 | 有电梯', '低楼层(共6层)2010年建板楼  -  仙林', '450万', '单价34520元/平米')
('https://image1.ljcdn.com/320100-inspection/d9af8176-def5-48c3-b650-fcc5048f61e6.jpg.296x216.jpg', '保利朗诗麓院精装修恒温恒湿系统 居住四季如春 舒适', '朗诗保利麓院  | 6室2厅 | 202.08平米 | 南 北 | 其他', '低楼层(共4层)2015年建暂无数据  -  仙林', '990万', '单价48991元/平米')
('https://image1.ljcdn.com/320100-inspection/abf2df5d-abc4-498c-8d6a-fbb5d7b65eb9.jpg.296x216.jpg', '芝嘉花园 3室2厅 175万', '芝嘉花园  | 3室2厅 | 84.65平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2007年建板塔结合  -  马群', '175万', '单价20674元/平米')
('https://image1.ljcdn.com/320100-inspection/c07bc5cb-3ea6-4a80-a602-4cdec05af07f.jpg.296x216.jpg', '复式四房两卫带露台西边户，装修好，业主诚卖。', '天泓山庄香山苑  | 4室2厅 | 161.01平米 | 南 北 | 其他 | 无电梯', '高楼层(共4层)2003年建板楼  -  马群', '538万', '单价33415元/平米')
('https://image1.ljcdn.com/320100-inspection/d62875da-54e3-413a-a0c0-0f8dd6e45676.jpg.296x216.jpg', '万科三开间朝南三房两卫 采光充足看房方便', '万科金色领域  | 3室2厅 | 113.84平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2013年建板楼  -  仙林', '368万', '单价32327元/平米')
('https://image1.ljcdn.com/320100-inspection/5cf326fa-7243-46ea-afe2-a7687d9cad00.jpg.296x216.jpg', '婚装大两房好楼层好位置，业主诚心出售。', '天悦花园  | 2室2厅 | 87.88平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  马群', '262万', '单价29814元/平米')
('https://image1.ljcdn.com/320100-inspection/72b249f6-0d27-4f38-8708-39b796080f196.jpg.296x216.jpg', '春水坊 毛坯单室套 栖霞建设 交通便利', '百水芊城春水坊  | 1室1厅 | 44.09平米 | 东 南 | 毛坯 | 无电梯', '低楼层(共6层)2007年建板楼  -  马群', '95万', '单价21547元/平米')
('https://image1.ljcdn.com/320100-inspection/36cb7291-8f89-4648-9b0e-affae86f4fd7.jpg.296x216.jpg', '精装修 满两年 无增值税 中间楼层 采光充足 拎包入住', '保利罗兰春天  | 3室2厅 | 95.65平米 | 南 北 | 其他 | 有电梯', '中楼层(共27层)2016年建塔楼  -  仙林', '340万', '单价35547元/平米')
('https://image1.ljcdn.com/320100-inspection/9aefa62e-9c15-4786-b604-f13f9fd33f82.jpg.296x216.jpg', '精装修 南北通透 户型方正 采光充足', '天悦花园  | 3室2厅 | 121.14平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  马群', '290万', '单价23940元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload68142016-8c84-4690-92b5-2d4b67d2c717.jpg.296x216.jpg', '此房位于小区中间 位置佳 采光充足 带产权车位', '林景瑞园  | 3室2厅 | 115.18平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2006年建板塔结合  -  晓庄', '360万', '单价31256元/平米')
('https://image1.ljcdn.com/320100-inspection/78bd54df-d724-40ef-8a2f-3a9a7baf5a25.jpg.296x216.jpg', '幕府山庄 满五年 南北通透 晓庄广场', '幕府山庄  | 2室1厅 | 51.29平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  晓庄', '129万', '单价25152元/平米')
('https://image1.ljcdn.com/320100-inspection/13531b85-f6f5-4ab7-a6f1-52641eab6be4.jpg.296x216.jpg', '东景花园 2室2厅 232万', '东景花园  | 2室2厅 | 78.13平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  马群', '232万', '单价29695元/平米')
('https://image1.ljcdn.com/320100-inspection/89ca5b1c-d128-4e61-9e4b-6afbda93fa8f.jpg.296x216.jpg', '下叠别墅西边户采光好大院子，业主诚心出售。', '紫园   | 联排别墅 | 7室2厅 | 256.51平米 | 南 北 | 其他 | 无电梯', '2层2012年建板塔结合  -  马群', '1060万', '单价41324元/平米')
('https://image1.ljcdn.com/320100-inspection/0f69eadd-7e77-4d27-955f-f7a3b6a9f32d.jpg.296x216.jpg', '南砖新村 迈皋桥地铁站小两房 交通便利配套齐全', '南砖新村  | 2室1厅 | 52.76平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1994年建板塔结合  -  迈皋桥', '140万', '单价26536元/平米')
('https://image1.ljcdn.com/320100-inspection/798cc084-e8df-47b9-901d-3d6a86267e6a.jpg.296x216.jpg', '装修不错，满两年，交易过一次，税费少，正常过户', '南湾营融康苑  | 2室1厅 | 65.33平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  马群', '148万', '单价22655元/平米')
('https://image1.ljcdn.com/320100-inspection/1e7b22c2-d0e8-42fb-b64d-de2b3b94d032.jpg.296x216.jpg', '亚东城精装大三房 楼层位置佳 有钥匙 南北通透', '亚东城西区  | 3室2厅 | 130.58平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2009年建板楼  -  仙林', '470万', '单价35994元/平米')
('https://image1.ljcdn.com/320100-inspection/1b9ea819-a3d5-44f4-a801-35507b879100.jpg.296x216.jpg', '无增值税，东边户，好楼层，业主急售，看房有钥匙', '中垠紫金观邸  | 3室2厅 | 100.95平米 | 南 北 | 其他', '中楼层(共15层)2016年建塔楼  -  马群', '318万', '单价31501元/平米')
('https://image1.ljcdn.com/320100-inspection/4c3c55e3-e740-4887-8ee8-24719e87c8d3.jpg.296x216.jpg', '和燕路 晓庄 中间楼层 大三房 看房方便 诚心出售', '晓庄47号小区  | 3室2厅 | 73.82平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  晓庄', '180万', '单价24384元/平米')
('https://image1.ljcdn.com/320100-inspection/89166a1e-3202-4033-95bb-38b6df64cbb0.JPG.296x216.jpg', '中南绿城物业高楼层采光好视野开阔业主诚心出售', '中南世纪雅苑  | 3室2厅 | 86.29平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  麒麟镇', '235万', '单价27234元/平米')
('https://image1.ljcdn.com/320100-inspection/7af89e23-c606-47dd-8084-8757743849ae.jpg.296x216.jpg', '钟山晶典 金马路二四号线换乘站  南北通透', '钟山晶典苑  | 3室2厅 | 127.15平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)2010年建板塔结合  -  马群', '368万', '单价28943元/平米')
('https://image1.ljcdn.com/320100-inspection/bca9f419-a672-4118-b161-6a176e49d98d.JPG.296x216.jpg', '月苑电梯三房09年商品房 交通便利 楼层好 人车分流', '美达浅草明苑  | 3室2厅 | 118.73平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  迈皋桥', '338万', '单价28468元/平米')
('https://image1.ljcdn.com/320100-inspection/b2f243bc-96c5-4139-b415-aad7ca37fadd.jpg.296x216.jpg', '钟山晶典  三房两卫  南北通透  交通便利', '钟山晶典苑  | 3室2厅 | 125.19平米 | 南 北 | 其他 | 有电梯', '低楼层(共16层)2010年建板塔结合  -  马群', '380万', '单价30354元/平米')
('https://image1.ljcdn.com/320100-inspection/2040ab19-f678-4494-8f4f-968dcb28c8f7.jpg.296x216.jpg', '赛世香樟园  精装修 仅契税  配套齐全 金鹰二期', '赛世香樟园  | 3室2厅 | 110平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  仙林', '420万', '单价38182元/平米')
('https://image1.ljcdn.com/320100-inspection/c80c2b97-a8f9-46f2-8b6b-2538cdc61762.jpg.296x216.jpg', '此房已经满五年 精装修四房 很少住 中间楼层边户', '赛世香樟园  | 4室2厅 | 143.77平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2009年建板楼  -  仙林', '500万', '单价34778元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadde5d1d93-d029-4bd1-ad34-b3c40f34d55a.jpg.296x216.jpg', '仙龙湾山庄精装 电梯洋房 业主自住保养好', '仙龙湾山庄  | 2室2厅 | 92.21平米 | 南 北 | 其他 | 有电梯', '中楼层(共6层)2010年建板楼  -  仙林', '360万', '单价39042元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload017f7cbf-12d6-486f-880f-27e6b364ff99.jpg.296x216.jpg', '顶跃南北大露台 带电梯 位置很好 地暖精装', '南大和园  | 5室3厅 | 135.99平米 | 南 北 | 其他 | 有电梯', '高楼层(共6层)2009年建板楼  -  仙林', '605万', '单价44489元/平米')
('https://image1.ljcdn.com/320100-inspection/test-c835ef6f-70e9-45e9-8336-8d555d443d4b.png.296x216.jpg', '迈皋桥商圈 晓庄商圈 行知园 南北通透', '晓庄村42号  | 2室1厅 | 50.76平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  晓庄', '128万', '单价25217元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload653ccaac-0332-4c07-bb12-d17d66ac9cbb.jpg.296x216.jpg', '中南世纪雅园，开发商精装修，小三房，户型好。', '中南世纪雅苑  | 3室2厅 | 86.87平米 | 南 | 其他', '低楼层(共34层)2017年建塔楼  -  麒麟镇', '218万', '单价25095元/平米')
('https://image1.ljcdn.com/320100-inspection/13bdfb34-bb04-4eda-a7b5-2d25f5e62302.jpg.296x216.jpg', '翠林山庄 5室2厅 235万', '翠林山庄  | 5室2厅 | 120.39平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  尧化门', '235万', '单价19520元/平米')
('https://image1.ljcdn.com/320100-inspection/9927b56f-fb3f-4b42-acb0-e90f612bc1fe.jpg.296x216.jpg', '改善三房 精装跃层 满五年 带大露台 使用面积大', '林景瑞园  | 3室2厅 | 93.56平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2006年建板塔结合  -  晓庄', '410万', '单价43823元/平米')
('https://image1.ljcdn.com/320100-inspection/bcddc2a0-1f16-4f2c-9039-184fd6a3e5d9.jpg.296x216.jpg', '马群麒麟有轨电车 居家两房 业主诚心卖', '百水芊城上水坊  | 2室1厅 | 63.09平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  马群', '159万', '单价25203元/平米')
('https://image1.ljcdn.com/320100-inspection/c9701200-67df-4117-a97e-031898842bc4.jpg.296x216.jpg', '紫金山下 高档住宅 业主诚心出售 满两年 急售！！', '复地御钟山一期  | 2室2厅 | 88.62平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共8层)2017年建板楼  -  马群', '336万', '单价37915元/平米')
('https://image1.ljcdn.com/320100-inspection/9e4fc7d3-7aa1-4851-ab3b-9274671f51d2.jpg.296x216.jpg', '独栋别墅   院子   小区安静    环境好', '听泉山庄  | 6室2厅 | 223.98平米 | 南 北 | 其他', '低楼层(共3层)暂无数据  -  仙林', '1580万', '单价70543元/平米')
('https://image1.ljcdn.com/320100-inspection/bb9dd93b-75d3-4e30-8942-8eb188f658e0.jpg.296x216.jpg', '精装修带地暖 温馨明亮 拎包入住 家电家具全留', '高科荣域  | 3室2厅 | 117.14平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2013年建板楼  -  仙林', '420万', '单价35855元/平米')
('https://image1.ljcdn.com/320100-inspection/33317d73-4319-483c-ab37-38b2a967c362.jpg.296x216.jpg', '晓庄迈皋桥商圈 急卖 业主诚心出售 看房随时方便 急', '田园美居  | 3室2厅 | 101.97平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  晓庄', '205万', '单价20104元/平米')
('https://image1.ljcdn.com/320100-inspection/test-7b1b859b-6f84-4b6b-958d-c8ab208ede6a.png.296x216.jpg', '南北通透格局好，楼层好，采光充足，交通方便。', '省电力公司宿舍  | 2室1厅 | 48.97平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1985年建板楼  -  迈皋桥', '125万', '单价25526元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload3c670b89-dde1-42b5-aba0-5f56257d8394.jpg.296x216.jpg', '栖霞区 晓庄 和燕路 双南 采光好 地下菜场 房间大', '和燕路小区  | 2室1厅 | 60.16平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  晓庄', '145万', '单价24103元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2e1a11ad-ae3f-43f7-8cc2-8b4e564221c8.jpg.296x216.jpg', '产权置换 不满二 纯毛坯 采光好  业主诚心卖', '杜鹃园  | 3室1厅 | 87.02平米 | 南 北 | 其他', '高楼层(共27层)2013年建板楼  -  麒麟镇', '169万', '单价19421元/平米')
('https://image1.ljcdn.com/320100-inspection/2b21a07c-3ca0-4ace-8b1a-b863fdac0505.jpg.296x216.jpg', '长营村 2室1厅 210万', '长营村  | 2室1厅 | 101.49平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1998年建板塔结合  -  迈皋桥', '210万', '单价20692元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload9ee400e2-1fc5-4eb1-b8a5-9168c1b071e8.jpg.296x216.jpg', '带产权车位 边户采光好 南北飘窗得房率高 物业负责', '新城尚座花园  | 3室2厅 | 113.31平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2009年建塔楼  -  晓庄', '335万', '单价29565元/平米')
('https://image1.ljcdn.com/320100-inspection/b30dbd0d-bcd5-48d4-90bb-d0e2abb36619.jpg.296x216.jpg', '小区环境优美安静，内有幼儿园及小广场', '芝嘉花园  | 2室1厅 | 64.89平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2007年建板塔结合  -  马群', '145万', '单价22346元/平米')
('https://image1.ljcdn.com/320100-inspection/93911980-0511-49ca-bdce-7f4430711cbd.jpg.296x216.jpg', '精装修带阁楼  交通便利 采光充足  诚心卖房', '南湾营宁康苑  | 3室1厅 | 85.33平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2007年建板塔结合  -  马群', '190万', '单价22267元/平米')
('https://image1.ljcdn.com/120000-inspection/35f194a1-10a7-4be4-a53d-2da4930b813a.jpg.296x216.jpg', '精装修 南北通透 中间楼层 双卫', '赛世香樟园  | 3室2厅 | 132.88平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2009年建板楼  -  仙林', '450万', '单价33866元/平米')
('https://image1.ljcdn.com/320100-inspection/dee7f690-2662-47a1-b603-7603c8b227fe.jpg.296x216.jpg', '经典两房户型，朝南，商圈成熟，满两年', '康桥圣菲  | 2室1厅 | 49.34平米 | 南 | 精装 | 有电梯', '中楼层(共5层)2006年建板楼  -  仙林', '190万', '单价38509元/平米')
('https://image1.ljcdn.com/320100-inspection/01376a97-93aa-4a64-a5b0-49eb302890bc.jpg.296x216.jpg', '高科荣境 3室2厅 370万', '高科荣境  | 3室2厅 | 95平米 | 南 | 其他', '低楼层(共11层)2015年建板楼  -  仙林', '370万', '单价38948元/平米')
('https://image1.ljcdn.com/320100-inspection/3e27b36c-5ca9-4f07-aa3a-1c5d19009f24.jpg.296x216.jpg', '栖霞建设 南北通透 两卫户型 上佳楼层 满二 毛坯', '星叶枫情水岸  | 3室2厅 | 126平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2015年建板楼  -  仙林', '400万', '单价31747元/平米')
('https://image1.ljcdn.com/320100-inspection/354d6be6-7f15-4164-b6e6-4fd8e073390f.jpg.296x216.jpg', '钟山晶典 满五精装修 视野开阔 拎包入住  交通便利', '钟山晶典苑  | 3室2厅 | 111.68平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)2010年建板塔结合  -  马群', '345万', '单价30892元/平米')
('https://image1.ljcdn.com/320100-inspection/16fafb1a-8f41-49a9-bbb7-1c50a08af329.jpg.296x216.jpg', '幕府东路  田园没有 双南一北 全明户型 2004年商品房', '田园美居  | 3室2厅 | 111.05平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  晓庄', '265万', '单价23864元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload503f067b-6d85-46de-b57b-08009f08e7ec.jpg.296x216.jpg', '晓庄 三房 朝南 有租赁车位 楼层佳 采光充足', '望燕名居  | 3室1厅 | 86.8平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2004年建塔楼  -  五塘广场', '222万', '单价25577元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadc4979ba4-f2ac-4221-9c76-f810612bd499.jpg.296x216.jpg', '双卧朝南 全明户型 居家装修 拎包入住', '北城嘉园  | 2室1厅 | 79.89平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2007年建板楼  -  万寿', '220万', '单价27538元/平米')
('https://image1.ljcdn.com/320100-inspection/22f8e63e-2752-44c6-abc0-376835122816.JPG.296x216.jpg', '南北通透，全明户型，上下两层边户，业主急售价格可谈', '马群公寓  | 4室3厅 | 120.42平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1999年建板楼  -  马群', '289万', '单价24000元/平米')
('https://image1.ljcdn.com/320100-inspection/652927c7-4f29-41c0-811b-34d5a0085129.jpg.296x216.jpg', '免增值税 低密度 交通便利 ，小区位置比较好', '山水风华   | 联排别墅 | 5室2厅 | 175.05平米 | 南 北 | 其他 | 无电梯', '3层2008年建暂无数据  -  仙林', '760万', '单价43417元/平米')
('https://image1.ljcdn.com/320100-inspection/9d9eef40-663b-42c5-a331-ab51da3fdb72.jpg.296x216.jpg', '中电颐和家园五期 双南 纯毛坯 高楼层看紫金山玄武湖', '中电颐和府邸  | 2室2厅 | 91平米 | 南 | 毛坯', '高楼层(共29层)2017年建板楼  -  迈皋桥', '285万', '单价31319元/平米')
('https://image1.ljcdn.com/320100-inspection/3db0df6c-3c9d-499b-a596-6b7e387d54f2.jpg.296x216.jpg', '产权置换房，南北通透，户型方正，纯毛坯，采光无遮挡', '百水芊城怡水坊  | 2室1厅 | 63.16平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  马群', '144万', '单价22800元/平米')
('https://image1.ljcdn.com/320100-inspection/9d65b193-cc9f-4329-bbe7-7f41ae3cafc2.jpg.296x216.jpg', '星叶枫情水岸 3室2厅 398万', '星叶枫情水岸  | 3室2厅 | 125.48平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2015年建板楼  -  仙林', '398万', '单价31719元/平米')
('https://image1.ljcdn.com/320100-inspection/cd1cc3dc-4572-4af5-89c8-7b7639359b5f.jpg.296x216.jpg', '户型方正  南北通透   毛坯房 可观仙林湖  带产权车位', '万达茂  | 4室2厅 | 127平米 | 南 北 | 其他 | 有电梯', '高楼层(共34层)2017年建板塔结合  -  栖霞其它', '430万', '单价33859元/平米')
('https://image1.ljcdn.com/320100-inspection/2928aa49-fc13-4167-879f-25c8abc98ad0.jpg.296x216.jpg', '晓庄 城市绿洲花园 低楼层南北通透两居，诚意卖', '城市绿洲花园  | 2室1厅 | 86.87平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2007年建板塔结合  -  晓庄', '245万', '单价28204元/平米')
('https://image1.ljcdn.com/320100-inspection/fe257ef7-ca2f-4d18-9fa4-09236a9e13d0.jpg.296x216.jpg', '栖霞区 百水家园 大三房 中间楼层 纯毛坯 商品房', '百水家园  | 3室2厅 | 106.6平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  马群', '228万', '单价21389元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload37b4b0d0-4025-4481-af3a-6a4a53f853ca.jpg.296x216.jpg', '迈皋桥商圈 满五唯一 户型方正 采光好 居家装修大三房', '高家村42号  | 3室1厅 | 108.27平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  迈皋桥', '268万', '单价24753元/平米')
('https://image1.ljcdn.com/320100-inspection/872eff55-a045-4145-a1e1-7f4755287e61.jpg.296x216.jpg', '精装修 高楼层 南北通透 近金鹰', '东方天郡东区  | 4室2厅 | 180.94平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)2007年建板楼  -  仙林', '730万', '单价40345元/平米')
('https://image1.ljcdn.com/320100-inspection/6bfe6333-f9e7-44ea-9b96-81c582a55b26.jpg.296x216.jpg', '东方天郡西区 满两年 精装两房 楼层好 交通便利', '东方天郡西区  | 2室1厅 | 69.34平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2009年建板楼  -  仙林', '285万', '单价41102元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload70163db2-e5a9-4c1e-addb-d5aeebfb3354.jpg.296x216.jpg', '房子满两年 楼层好 视野好 出行方便', '百水家园  | 2室1厅 | 64.16平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  马群', '158万', '单价24626元/平米')
('https://image1.ljcdn.com/320100-inspection/fbfa37d2-22f7-4483-860b-701f6439a533.jpg.296x216.jpg', '南湾营馨康苑 2室1厅 145.8万', '南湾营馨康苑  | 2室1厅 | 65.18平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2004年建板塔结合  -  马群', '145.8万', '单价22369元/平米')
('https://image1.ljcdn.com/320100-inspection/8bf16f21-baac-4950-aa10-9da6d31a1ee1.jpg.296x216.jpg', '南北通透格局好 双阳台 开发商精装修', '高科荣域  | 3室2厅 | 97.13平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2013年建板楼  -  仙林', '375万', '单价38609元/平米')
('https://image1.ljcdn.com/320100-inspection/f76b9db7-e3a0-4e28-978d-842d2f146d5c.jpg.296x216.jpg', '晓庄47号  交通便利 配套齐全 精装修 楼层好 采光好', '晓庄47号小区  | 2室1厅 | 51.53平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  晓庄', '120万', '单价23288元/平米')
('https://image1.ljcdn.com/320100-inspection/875108c3-7fb8-41ca-901f-75f8775127e6.JPG.296x216.jpg', '百水芊城上水坊 2室1厅 150万', '百水芊城上水坊  | 2室1厅 | 65.91平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  马群', '150万', '单价22759元/平米')
('https://image1.ljcdn.com/320100-inspection/2be50ab5-a189-401a-9293-fa5cd0e08abf.jpg.296x216.jpg', '此房满两年无增值税，楼层好，视野开阔，采光充足', '南湾营馨康苑  | 3室1厅 | 91.57平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2004年建板塔结合  -  马群', '175万', '单价19112元/平米')
('https://image1.ljcdn.com/320100-inspection/dba5310e-8475-403d-9974-24ffde1b87e0.jpg.296x216.jpg', '迈皋桥商圈 全明户型 采光充足 居家两房', '华电三宿舍  | 2室1厅 | 67.18平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  迈皋桥', '160万', '单价23817元/平米')
('https://image1.ljcdn.com/320100-inspection/f7dd0932-e01a-48c6-9e2a-5ae0db17a619.JPG.296x216.jpg', '天泓山庄丽山苑 5室2厅 1100万', '天泓山庄丽山苑  | 5室2厅 | 201.79平米 | 南 北 | 其他 | 无电梯', '低楼层(共4层)2007年建板楼  -  马群', '1100万', '单价54513元/平米')
('https://image1.ljcdn.com/320100-inspection/0f68d876-ac75-48df-bab7-f9605d65e483.jpg.296x216.jpg', '万科金色领域 3室2厅 315万', '万科金色领域  | 3室2厅 | 89.2平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2013年建板楼  -  仙林', '315万', '单价35314元/平米')
('https://image1.ljcdn.com/320100-inspection/8de6fadf-33e9-4919-806f-8e4235ece213.jpg.296x216.jpg', '亚东物业 免增值税 精装三房 板楼 南北通透 车位可谈', '亚东城东区  | 3室2厅 | 105.99平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  仙林', '430万', '单价40570元/平米')
('https://image1.ljcdn.com/320100-inspection/test-7f6cfb81-f77b-493b-99f2-ec8102ae720c.png.296x216.jpg', '中上楼层采光好 卖房换房诚心出售', '百水家园  | 2室1厅 | 63.05平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  马群', '155万', '单价24584元/平米')
('https://image1.ljcdn.com/320100-inspection/afc20d05-5f6f-4f89-907c-60652290877b.jpg.296x216.jpg', '钟山晶典 精装两房 南北通透  环境优美', '钟山晶典苑  | 2室2厅 | 95.88平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)2010年建板塔结合  -  马群', '305万', '单价31811元/平米')
