('https://image1.ljcdn.com/420100-inspection/test-99411fed-11d8-4853-8687-37731914a036.png.296x216.jpg', '阳逻保利圆梦城 3房2厅1厨2卫 毛坯现房', '保利圆梦城十区  | 3室2厅 | 107.3平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价8388元/平米')
('', '祥和世纪城 3室2厅 96万', '祥和世纪城  | 3室2厅 | 122平米 | 南 | 其他', '中楼层(共17层)2013年建板楼  -  新洲其它', '96万', '单价7869元/平米')
('', '阳逻天琴湾毛坯三房 通透 证满免增值税 方便看房', '天琴湾  | 3室2厅 | 103平米 | 南 | 其他', '低楼层(共6层)2009年建板楼  -  阳逻', '78万', '单价7573元/平米')
('https://image1.ljcdn.com/420100-inspection/daa88dc0-86c0-482d-887a-4191e76fd0ea.jpg.296x216.jpg', '阳逻佳阳国际毛坯2房，采光充足，通风，不限-购', '佳阳国际  | 2室2厅 | 97.4平米 | 北 | 其他', '高楼层(共19层)暂无数据  -  阳逻', '73万', '单价7495元/平米')
('', '东方红小区 2室2厅 48万', '东方红小区  | 2室2厅 | 79.35平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  阳逻', '48万', '单价6050元/平米')
('https://image1.ljcdn.com/420100-inspection/test-c86e0edd-67c2-4302-932e-cd9b9ef42ab9.png.296x216.jpg', '泊湖湾 3室2厅 92万', '泊湖湾  | 3室2厅 | 115.1平米 | 南 北 | 毛坯', '低楼层(共18层)2014年建板楼  -  阳逻', '92万', '单价7994元/平米')
('', '风荷园毛坯三房，证满两年，后期费用少', '风荷苑  | 3室2厅 | 92平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '80万', '单价8696元/平米')
('', '天琴湾 4室2厅 93万', '天琴湾  | 4室2厅 | 99平米 | 南 | 其他', '高楼层(共5层)2010年建板楼  -  阳逻', '93万', '单价9394元/平米')
('', '保利圆梦城 毛坯四居室 南北通透', '保利圆梦城十区  | 4室2厅 | 135平米 | 南 北 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '113万', '单价8371元/平米')
('https://image1.ljcdn.com/420100-inspection/test-7e4b726e-1e5a-4ec2-ba0e-cd8d7d885c88.png.296x216.jpg', '保利圆梦城十区三房两卫 无抵押 南北通透', '保利圆梦城十区  | 3室2厅 | 99.83平米 | 南 | 毛坯', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价9016元/平米')
('', '碧水云天 5室2厅 75万', '碧水云天  | 5室2厅 | 189平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  阳逻', '75万', '单价3969元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4deeb06e-fbe2-43c6-a902-4591b22ca8de.png.296x216.jpg', '泊湖湾 毛坯两房 两证两年 房东诚心出售', '泊湖湾  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共18层)2013年建板楼  -  阳逻', '60万', '单价6742元/平米')
('', '保利圆梦城 小三房 采光好 中上楼层 90万出售', '保利圆梦城六区  | 3室2厅 | 88.9平米 | 南 | 其他', '高楼层(共33层)暂无数据  -  阳逻', '90万', '单价10124元/平米')
('', '祥和世纪城 3室2厅 93万', '祥和世纪城  | 3室2厅 | 122平米 | 南 北 | 其他', '高楼层(共22层)2012年建板楼  -  新洲其它', '93万', '单价7623元/平米')
('', '新洲 阳逻开发区 保利圆梦城三区 大四房 南北通透', '保利圆梦城三区  | 4室2厅 | 132平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '125万', '单价9470元/平米')
('https://image1.ljcdn.com/420100-inspection/test-0683c639-060e-4e56-aa8a-22dc59ea2946.png.296x216.jpg', '阳逻保利圆梦城 两室两厅  方便看房 方便出行', '保利圆梦城九区  | 2室2厅 | 71.76平米 | 南 | 其他', '中楼层(共34层)暂无数据  -  阳逻', '68万', '单价9477元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1e3b314c-6ec1-4ac6-819a-c1d94d17a7a2.png.296x216.jpg', '香榭花都精装大两房，中间楼层，南北通透', '香榭花都  | 2室2厅 | 95平米 | 南 北 | 精装', '中楼层(共11层)暂无数据  -  阳逻', '95万', '单价10000元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a4b9054c-239a-447b-ae69-44e11989bc3a.png.296x216.jpg', '阳逻平江壹号精装两居室，视野开阔，采光充足。', '平江壹号  | 2室2厅 | 99.59平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2013年建板楼  -  阳逻', '85万', '单价8535元/平米')
('https://image1.ljcdn.com/420100-inspection/test-892ec68c-2662-43ce-9ebf-cbd0948ccd2b.png.296x216.jpg', '阳逻平江壹号精装三居室，南北通透，户型方正，采光好', '平江壹号  | 3室2厅 | 112.98平米 | 南 | 其他 | 有电梯', '中楼层(共24层)2013年建板楼  -  阳逻', '96万', '单价8498元/平米')
('https://image1.ljcdn.com/420100-inspection/test-325c8a1a-2136-48cc-8501-afd12edc2ef0.png.296x216.jpg', '天琴湾 2室2厅 76万', '天琴湾  | 2室2厅 | 90.21平米 | 南 | 精装', '低楼层(共11层)2010年建板楼  -  阳逻', '76万', '单价8425元/平米')
('', '阳逻财富广场 4室2厅 100万', '阳逻财富广场  | 4室2厅 | 170平米 | 南 北 | 其他', '中楼层(共15层)2015年建塔楼  -  阳逻', '100万', '单价5883元/平米')
('https://image1.ljcdn.com/420100-inspection/a6ed2c05-eb40-4c56-8e81-ebda9722e7cc.jpg.296x216.jpg', '金色水岸 2室2厅 63万', '金色水岸  | 2室2厅 | 92平米 | 南 北 | 其他', '中楼层(共13层)暂无数据  -  阳逻', '63万', '单价6848元/平米')
('', '阳逻保利圆梦城精装两居室，证满税少', '保利圆梦城六区  | 2室2厅 | 69.9平米 | 南 北 | 精装', '低楼层(共18层)暂无数据  -  阳逻', '78万', '单价11159元/平米')
('', '轻轨旁，毛坯三房，证满两年，采光充足，', '风荷苑  | 3室2厅 | 98平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '80万', '单价8164元/平米')
('', '新洲区阳逻瀚华天地毛坯大两房，南北通透，76万诚心售', '瀚华天地  | 2室2厅 | 91.38平米 | 南 北 | 其他 | 有电梯', '低楼层(共27层)2016年建板塔结合  -  阳逻', '76万', '单价8317元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4bc0ca5f-ac65-44b5-b93f-4d6e3913b3be.png.296x216.jpg', '佳运环湖花园 3室2厅 80万', '佳运环湖花园  | 3室2厅 | 104平米 | 南 | 其他 | 无电梯', '中楼层(共6层)暂无数据  -  阳逻', '80万', '单价7693元/平米')
('', '保利圆梦城九区 3室2厅 95万', '保利圆梦城九区  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '95万', '单价8483元/平米')
('https://image1.ljcdn.com/420100-inspection/b6e8bfdc-b083-4642-8497-ffc41aa37dff.jpg.296x216.jpg', '金色水岸 2室2厅 70万', '金色水岸  | 2室2厅 | 96.84平米 | 南 北 | 其他', '低楼层(共13层)暂无数据  -  阳逻', '70万', '单价7229元/平米')
('', '保利圆梦城别墅区四房两卫  一线湖景 无遮挡', '保利圆梦城金玉苑  | 4室2厅 | 128.39平米 | 南 北 | 毛坯', '高楼层(共33层)暂无数据  -  阳逻', '132万', '单价10282元/平米')
('', '保利圆梦城三区 3室2厅 120万', '保利圆梦城三区  | 3室2厅 | 130平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '120万', '单价9231元/平米')
('', '欣隆湖滨半岛 3室2厅 92万', '欣隆湖滨半岛  | 3室2厅 | 100.33平米 | 南 | 其他', '低楼层(共18层)2012年建板楼  -  阳逻', '92万', '单价9170元/平米')
('https://image1.ljcdn.com/420100-inspection/e54c22aa-130a-4cc9-9d89-87322ca49694.jpg.296x216.jpg', '佳阳国际，中装三房，南北通透，2证满2，后期税费少。', '佳阳国际  | 3室2厅 | 132.3平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '96万', '单价7257元/平米')
('', '阳逻新港中 央花园城 毛坯现房证满', '阳光新港中央花园城  | 3室2厅 | 93.55平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '85万', '单价9087元/平米')
('https://image1.ljcdn.com/420100-inspection/330ec4a2-8037-42eb-b012-e88568c63778.jpg.296x216.jpg', '新洲阳逻区水映澜湾 精装两房 中高楼层 两证两年 73万', '水映澜湾  | 2室2厅 | 97.62平米 | 南 | 其他', '中楼层(共14层)暂无数据  -  阳逻', '73万', '单价7478元/平米')
('', '保利圆梦城三区 11层小高层 中间楼层 纯板房', '保利圆梦城三区  | 3室2厅 | 126.66平米 | 南 北 | 毛坯', '中楼层(共11层)暂无数据  -  阳逻', '118万', '单价9317元/平米')
('', '保利圆梦城，全新豪 装三房，家具齐全，拎包入住', '保利圆梦城十区  | 3室2厅 | 90平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '89万', '单价9889元/平米')
('', '祥和世纪城 4室2厅 170万', '祥和世纪城  | 4室2厅 | 164平米 | 南 | 精装', '中楼层(共28层)2013年建板楼  -  新洲其它', '170万', '单价10366元/平米')
('https://image1.ljcdn.com/420100-inspection/test-35f14aa0-8cc0-4274-a79a-5e9c9dbcc90e.png.296x216.jpg', '阳逻保利圆梦城 两室两厅 66万', '保利圆梦城九区  | 2室2厅 | 72.89平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '66万', '单价9055元/平米')
('', '平江壹号 3室1厅 78万', '平江壹号  | 3室1厅 | 100.83平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2013年建板楼  -  阳逻', '78万', '单价7736元/平米')
('https://image1.ljcdn.com/420100-inspection/fac5c80c-3a2f-48b9-8bbc-cf0ca77b7ff1.jpg.296x216.jpg', '天琴湾 精装三房 中高楼层 视野好 可观柴泊湖景', '天琴湾  | 3室2厅 | 112平米 | 南 北 | 其他', '高楼层(共11层)板楼  -  阳逻', '95万', '单价8483元/平米')
('', '保利圆梦城十区三房两卫 中高楼层 采光好', '保利圆梦城十区  | 3室2厅 | 118.81平米 | 南 北 | 毛坯', '高楼层(共34层)暂无数据  -  阳逻', '105万', '单价8838元/平米')
('', '新洲区阳逻风荷苑正规两室两厅一卫，76万出售', '风荷苑  | 2室2厅 | 95平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '76万', '单价8000元/平米')
('', '东城明珠 3室2厅 100万', '东城明珠  | 3室2厅 | 129.02平米 | 南 | 其他', '中楼层(共19层)2014年建板楼  -  阳逻', '100万', '单价7751元/平米')
('https://image1.ljcdn.com/420100-inspection/test-fa26f929-e359-4ad8-aaf7-8ffafb1a7a32.png.296x216.jpg', '阳逻保利圆梦城 两室两厅 中间楼层 方便看房 诚心出售', '保利圆梦城九区  | 2室2厅 | 71.71平米 | 南 | 其他', '中楼层(共34层)暂无数据  -  阳逻', '68万', '单价9483元/平米')
('', '新港天地 2室1厅 65万', '新港天地  | 2室1厅 | 76.43平米 | 南 | 其他 | 有电梯', '高楼层(共23层)2014年建塔楼  -  阳逻', '65万', '单价8505元/平米')
('https://image1.ljcdn.com/420100-inspection/90707e3b-eebf-4351-9775-76fa69a51c99.jpg.296x216.jpg', '阳光新港中 央花园城南北户型 精装三房 买到即可入住', '阳光新港中央花园城  | 3室2厅 | 105.99平米 | 南 北 | 其他', '中楼层(共17层)2014年建板楼  -  阳逻', '112万', '单价10568元/平米')
('', '阳逻开发区 佳阳国际 户型方正 南北通透  两证满两年', '佳阳国际  | 3室2厅 | 126平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '90万', '单价7143元/平米')
('', '新洲区阳逻保利圆梦城三室两厅一卫，85万诚心出售', '保利圆梦城六区  | 3室2厅 | 88.9平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '83万', '单价9337元/平米')
('', '保利圆梦城二区 3室2厅 105万', '保利圆梦城二区  | 3室2厅 | 114平米 | 南 | 其他', '低楼层(共18层)2017年建板楼  -  阳逻', '105万', '单价9211元/平米')
('https://image1.ljcdn.com/420100-inspection/test-6496e44a-ab0c-466e-9ac1-1946c4ff84d6.png.296x216.jpg', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 2室2厅 | 86平米 | 南 北 | 其他', '中楼层(共12层)暂无数据  -  阳逻', '95万', '单价11047元/平米')
('', '新洲 阳逻开发区 中-央花园城 三房两厅 诚心出售', '阳光新港中央花园城  | 3室2厅 | 130平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '120万', '单价9231元/平米')
('', '阳逻中 央花园城毛坯两房，中高楼层，户型正，采光好', '阳光新港中央花园城  | 2室2厅 | 83.52平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '72万', '单价8621元/平米')
('https://image1.ljcdn.com/420100-inspection/test-b91e00d3-cb65-4ed7-afe9-ab866169b9e2.png.296x216.jpg', '阳逻保利圆梦城三居室，户型方正，南北通透采光充足', '保利圆梦城二区  | 2室2厅 | 88平米 | 南 | 其他', '中楼层(共18层)板楼  -  阳逻', '75万', '单价8523元/平米')
('https://image1.ljcdn.com/420100-inspection/55d7c4e4-5cfa-4310-bf57-6246981f4db9.jpg.296x216.jpg', '阳光新港中 央花园城精装三房 一梯两户 公摊面积小', '阳光新港中央花园城  | 3室2厅 | 123.71平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '130万', '单价10509元/平米')
('https://image1.ljcdn.com/420100-inspection/5f8165b7-0613-4972-a71f-8f22710597e4.jpg.296x216.jpg', '阳逻香榭花都精装三房 采光好 视野开阔 可看湖价格低', '香榭花都  | 2室2厅 | 97平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '75万', '单价7732元/平米')
('https://image1.ljcdn.com/420100-inspection/test-00fddd27-eb23-4bf6-ac11-434a0eb83cce.png.296x216.jpg', '欣隆湖滨半岛 3室1厅 90万', '欣隆湖滨半岛  | 3室1厅 | 99.77平米 | 暂无数据 | 其他', '低楼层(共18层)2012年建板楼  -  阳逻', '90万', '单价9021元/平米')
('https://image1.ljcdn.com/420100-inspection/df9a192b-bb4d-4551-8f05-befe2a043543.jpg.296x216.jpg', '阳逻佳阳国际：2房2厅：证满无贷', '佳阳国际  | 2室2厅 | 97.9平米 | 南 北 | 其他', '中楼层(共19层)暂无数据  -  阳逻', '85万', '单价8683元/平米')
('', '观湖天下 2室2厅 78万', '观湖天下  | 2室2厅 | 84平米 | 南 | 其他', '低楼层(共15层)2017年建板楼  -  阳逻', '78万', '单价9286元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a9556ee1-395f-4dd3-8c0f-4ba30109f8d9.png.296x216.jpg', '新洲区阳逻保利圆梦城毛坯三房，95万诚心出售', '保利圆梦城二区  | 3室2厅 | 109平米 | 南 北 | 其他', '低楼层(共18层)2012年建塔楼  -  阳逻', '95万', '单价8716元/平米')
('https://image1.ljcdn.com/420100-inspection/test-946d6d9f-9bef-4b41-bac5-d086016f5d8c.png.296x216.jpg', '阳逻保利圆梦城毛坯3房，南北通透，中间楼层采光充足', '保利圆梦城二区  | 3室2厅 | 109.64平米 | 南 北 | 其他', '中楼层(共34层)2012年建板塔结合  -  阳逻', '95万', '单价8665元/平米')
('', '保利圆梦城九区  楼下保利幼儿园', '保利圆梦城九区  | 3室2厅 | 117.59平米 | 南 北 | 其他', '中楼层(共34层)暂无数据  -  阳逻', '106万', '单价9015元/平米')
('https://image1.ljcdn.com/420100-inspection/abab823d-4070-430c-a5d2-e3275732be40.jpg.296x216.jpg', '中 央花园城 高楼层 视野开阔 两室两厅 看房方便', '阳光新港中央花园城  | 2室1厅 | 83.5平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '83万', '单价9941元/平米')
('', '财富广场，毛坯两房，中间楼层，房东急售', '阳逻财富广场  | 3室2厅 | 59平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2015年建塔楼  -  阳逻', '60万', '单价10170元/平米')
('https://image1.ljcdn.com/420100-inspection/b03e26f7-bf1d-45c3-8a5c-9e5efc49f16c.jpg.296x216.jpg', '佳阳国际：3房2厅2卫  证满无贷', '佳阳国际  | 3室2厅 | 134.94平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '108万', '单价8004元/平米')
('', '保利圆梦城二区 3室2厅 96万', '保利圆梦城二区  | 3室2厅 | 85.5平米 | 南 | 其他', '高楼层(共20层)2017年建板楼  -  阳逻', '96万', '单价11229元/平米')
('https://image1.ljcdn.com/420100-inspection/test-20fbeaa5-48d8-434c-89cb-139ac078b722.png.296x216.jpg', '保利圆梦城 南北通透大三房 老证带装修 中间楼层 无贷', '保利圆梦城二区  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共34层)板楼  -  阳逻', '115万', '单价10000元/平米')
('', '莱茵城 2室2厅 65万', '莱茵城  | 2室2厅 | 95平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '65万', '单价6843元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e91dab7c-0861-4c1e-950e-871ffc9a8d51.png.296x216.jpg', '阳逻阳光新港中-央花园城毛坯三居室，视野开阔采光好', '阳光新港中央花园城  | 3室2厅 | 96.96平米 | 南 | 其他', '高楼层(共12层)暂无数据  -  阳逻', '95万', '单价9798元/平米')
('https://image1.ljcdn.com/420100-inspection/test-2d515bc1-a239-4d59-ad0f-3b7b1368322f.png.296x216.jpg', '保利圆梦城 三房两厅 户型方正 南北通透 中间楼层', '保利圆梦城二区  | 3室2厅 | 109.84平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  阳逻', '95万', '单价8649元/平米')
('', '阳逻中-央花园城，南北通透3房，户型方正', '阳光新港中央花园城  | 3室2厅 | 93平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '88万', '单价9463元/平米')
('https://image1.ljcdn.com/420100-inspection/de51b199-47d7-44a7-9ef3-e140823db14d.jpg.296x216.jpg', '佳阳国际2房2厅中间楼层随时看房', '佳阳国际  | 2室2厅 | 97.4平米 | 北 | 其他', '中楼层(共19层)暂无数据  -  阳逻', '80万', '单价8214元/平米')
('', '阳光新港中央花园城 3室2厅 200万', '阳光新港中央花园城  | 3室2厅 | 140平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '200万', '单价14286元/平米')
('https://image1.ljcdn.com/420100-inspection/test-0f8b4774-4deb-44d1-93e5-21696ddfc997.png.296x216.jpg', '阳逻保利圆梦城，精装三房，南北通透，中间楼层。', '保利圆梦城二区  | 3室2厅 | 109平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  阳逻', '98万', '单价8991元/平米')
('', '欣隆湖滨半岛好户型，好楼层，明厨明卫，采光充足！', '欣隆湖滨半岛  | 3室2厅 | 100.71平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  阳逻', '98万', '单价9731元/平米')
('', '水映澜湾 3室2厅 68万', '水映澜湾  | 3室2厅 | 103平米 | 南 | 其他', '中楼层(共14层)暂无数据  -  阳逻', '68万', '单价6602元/平米')
('', '保利圆梦城毛坯3房，采光充足，小区环境好，', '保利圆梦城九区  | 3室2厅 | 93平米 | 南 北 | 其他', '低楼层(共24层)暂无数据  -  阳逻', '90万', '单价9678元/平米')
('', '江北雅苑 香榭花都 高楼层 视野开阔 精装大三房', '香榭花都  | 3室2厅 | 132.7平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '130万', '单价9797元/平米')
('https://image1.ljcdn.com/420100-inspection/20616bb0-1430-4a45-a13c-3a92b7f22d8d.jpg.296x216.jpg', '风荷苑中高楼层，户型反正，采光充足毛坯大三房！', '风荷苑  | 3室2厅 | 122平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '95万', '单价7787元/平米')
('', '阳逻观湖天下花园式小区毛坯两房，户型方正，采光好，', '观湖天下  | 2室2厅 | 87平米 | 南 | 其他', '低楼层(共33层)2017年建板塔结合  -  阳逻', '68万', '单价7817元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e4ed2301-87d2-412b-a7cf-cd2c2c6c3654.png.296x216.jpg', '保利圆梦城南北通透格局，好楼层好户型业主诚心出售。', '保利圆梦城三区  | 4室2厅 | 135.02平米 | 南 北 | 其他', '高楼层(共24层)暂无数据  -  阳逻', '150万', '单价11110元/平米')
('', '新洲阳逻天琴湾观湖景房中等装修', '天琴湾  | 2室2厅 | 87平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '72万', '单价8276元/平米')
('', '轻轨旁简装三房，采光充足，诚心出售，随时看房', '风荷苑  | 3室2厅 | 99平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '75万', '单价7576元/平米')
('', '江北雅苑 香榭花都 精装两房 92万诚心出售', '香榭花都  | 2室2厅 | 85平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '92万', '单价10824元/平米')
('https://image1.ljcdn.com/420100-inspection/a14d6f7d-0412-41b4-b40d-26a832662302.jpg.296x216.jpg', '阳逻 2证满2 后期费用少  中间楼层 毛坯 可随意改造', '天琴湾  | 3室2厅 | 98.45平米 | 东南 | 其他', '低楼层(共6层)2016年建板楼  -  阳逻', '78.8万', '单价8005元/平米')
('', '金色水岸 3室2厅 85万', '金色水岸  | 3室2厅 | 131平米 | 南 北 | 其他', '中楼层(共13层)暂无数据  -  阳逻', '85万', '单价6489元/平米')
('https://image1.ljcdn.com/420100-inspection/test-29d233ba-d060-42dd-a8bb-7678d855e8e0.png.296x216.jpg', '阳逻天琴湾南北通透装修三房，户型正采光好 看房方便', '天琴湾  | 3室2厅 | 102.15平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  阳逻', '83万', '单价8126元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ee393b6d-437b-45fb-a7c7-32875c2729c3.png.296x216.jpg', '阳逻保利圆梦城毛坯三房 证满免增值税 有钥匙方便看房', '保利圆梦城三区  | 3室2厅 | 86平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '80万', '单价9303元/平米')
('', '风荷园，轻轨旁，毛坯三房，证满2，中间楼层', '风荷苑  | 3室2厅 | 102平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '78万', '单价7648元/平米')
('', '新洲区阳逻香榭花都两房，中间楼层，户型方正', '香榭花都  | 2室2厅 | 87.9平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '85万', '单价9671元/平米')
('https://image1.ljcdn.com/420100-inspection/test-97333515-faac-4306-971d-7a9576c12d79.png.296x216.jpg', '阳逻观湖天下86平精装两房76万业主诚心急售看房不要钱', '观湖天下  | 2室1厅 | 87.21平米 | 南 | 其他', '中楼层(共33层)2017年建板塔结合  -  阳逻', '76万', '单价8715元/平米')
('', '阳光明珠 3室2厅 78万', '阳光明珠  | 3室2厅 | 95平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  阳逻', '78万', '单价8211元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f68e4ad5-3234-4c18-a73d-9bac4d26ff47.png.296x216.jpg', '中 央花园城小区环境优美，南北通透采光充足户型方正', '阳光新港中央花园城  | 3室2厅 | 128平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '115万', '单价8985元/平米')
('', '阳逻天琴湾，毛坯四房，2证满2，后期费用少。', '天琴湾  | 4室2厅 | 151平米 | 南 北 | 其他', '高楼层(共11层)板楼  -  阳逻', '120万', '单价7948元/平米')
('', '阳逻香榭花都  精装两房  中间楼层，随时看房', '香榭花都  | 2室2厅 | 91平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '90万', '单价9891元/平米')
('https://image1.ljcdn.com/420100-inspection/9b8a5a26-e580-4e8b-b7aa-346cea1316de.jpg.296x216.jpg', '阳逻保利圆梦城十区，南北通透毛坯两房，采光充足。', '保利圆梦城十区  | 2室2厅 | 75平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '67万', '单价8934元/平米')
('', '阳光新港中 央花园城:2房2厅复式：精装现房', '阳光新港中央花园城  | 2室2厅 | 91.54平米 | 南 北 | 其他', '高楼层(共12层)暂无数据  -  阳逻', '130万', '单价14202元/平米')
('', '阳光新港中 央花园城南北通透大三房 中间楼层 户型正', '阳光新港中央花园城  | 3室2厅 | 111.88平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  阳逻', '100万', '单价8939元/平米')
('', '江北雅苑 香榭花都 83万 诚心出售', '香榭花都  | 2室2厅 | 94平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '83万', '单价8830元/平米')
('', '新洲 阳逻 常乐新城 精装三房 业主诚心出售', '常乐新城  | 3室2厅 | 97平米 | 南 | 其他 | 无电梯', '高楼层(共7层)暂无数据  -  阳逻', '53万', '单价5464元/平米')
('', '阳光新港中央花园城 2室2厅 65万', '阳光新港中央花园城  | 2室2厅 | 67.24平米 | 南 | 其他', '高楼层(共17层)暂无数据  -  阳逻', '65万', '单价9667元/平米')
('', '保利圆梦城  三室两厅 湖景房，出入方便', '保利圆梦城金玉苑  | 3室2厅 | 88.96平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '90万', '单价10117元/平米')
('https://image1.ljcdn.com/420100-inspection/test-7d269326-ffda-4b48-84b2-b6eccc6f04bb.png.296x216.jpg', '阳逻保利圆梦城精装四居室，南北通透，视野开阔采光好', '保利圆梦城金玉苑  | 4室2厅 | 125平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '125万', '单价10000元/平米')
('', '阳逻东城明珠 3居室 楼层佳 价格美丽', '东城明珠  | 3室2厅 | 103平米 | 南 北 | 其他', '中楼层(共17层)暂无数据  -  阳逻', '73万', '单价7088元/平米')
('', '风荷苑 三房两厅 80万 诚心出售', '风荷苑  | 3室2厅 | 101.83平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '80万', '单价7857元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ad3d69b4-3ac5-4f48-9bc0-7bff49cb079d.png.296x216.jpg', '阳逻保利圆梦城湖景4房，中间楼层，采光好，南北通透', '保利圆梦城金玉苑  | 4室2厅 | 128平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  阳逻', '110万', '单价8594元/平米')
('', '阳逻东城明珠 大两居 楼层佳 价格美丽', '东城明珠  | 2室2厅 | 103.5平米 | 南 北 | 其他', '低楼层(共19层)2014年建板楼  -  阳逻', '70万', '单价6764元/平米')
('', '阳逻水映澜湾，毛坯三房，单价低，房东诚心出售', '水映澜湾  | 3室2厅 | 121.83平米 | 南 北 | 其他', '高楼层(共14层)暂无数据  -  阳逻', '73万', '单价5992元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a16cb54c-e1ff-4689-bff3-96bb0ee9c535.png.296x216.jpg', '保利圆梦城金玉苑 3室2厅 95万', '保利圆梦城金玉苑  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '95万', '单价10675元/平米')
('', '新洲区阳逻天琴湾三房两厅，温馨三居室，业主诚心出售', '天琴湾  | 3室2厅 | 96平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '80万', '单价8334元/平米')
('', '保利圆梦城，毛坯两房，户型方正，中间楼层，2证满2', '保利圆梦城二区  | 2室2厅 | 88平米 | 南 | 其他', '高楼层(共18层)板楼  -  阳逻', '83万', '单价9432元/平米')
