('https://image1.ljcdn.com/410100-inspection/13399e0d-8de0-4980-93e3-09a78e0d9058.jpg.296x216.jpg', '金沙湖高尔夫观邸，观景房，高档社区，业主诚心出售', '金沙湖高尔夫观邸  ', '低楼层(共27层)暂无数据  -  第八大街', '500万', '单价16779元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload7387b184-7357-4b4e-91fe-193108af54a9.jpg.296x216.jpg', '满五年，南向两居室，高层带电梯，没有遮挡，采光好。', '大城小室  ', '高楼层(共25层)暂无数据  -  第三大街', '113万', '单价13295元/平米')
('https://image1.ljcdn.com/410100-inspection/test-ae1ae17a-1110-4547-8575-07ef280d3c59.png.296x216.jpg', '远大理想城南北通透大四房，满五年，随时看', '远大理想城  ', '高楼层(共32层)板塔结合  -  第三大街', '320万', '单价16705元/平米')
('https://image1.ljcdn.com/410100-inspection/8da60549-70aa-462d-9978-bd41079cd623.jpg.296x216.jpg', '东郡蓝湾精装三层复式，采光好，有暖气，配套齐全', '东郡蓝湾  ', '高楼层(共6层)板楼  -  第三大街', '300万', '单价13604元/平米')
('https://image1.ljcdn.com/410100-inspection/5708a686-4d6f-4127-9262-4c3de1dbc6a2.jpg.296x216.jpg', '毛坯房 满屋不唯一 楼层好 业主诚心出售', '远大理想城  ', '中楼层(共33层)板塔结合  -  第三大街', '215万', '单价16797元/平米')
('https://image1.ljcdn.com/410100-inspection/02e414dc-aff9-418b-94e4-079bc98a7716.jpg.296x216.jpg', '此房满五唯一住房，全南户型，三房，中高楼层。', '远大理想城  ', '中楼层(共28层)板塔结合  -  第三大街', '210万', '单价16827元/平米')
('https://image1.ljcdn.com/410100-inspection/49ccf350-0021-4cfe-9462-7b6f88b43c39..-53.jpg.296x216.jpg', '恒大绿洲经典户型，好楼层，业主诚心出售', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '220万', '单价18033元/平米')
('https://image1.ljcdn.com/410100-inspection/f64b50ad-de41-403f-bd39-9fc8a7ed82ba.jpg.296x216.jpg', '远大理想城 朝南大两居室  大落地窗 采光极好餐厅一体', '远大理想城  ', '中楼层(共22层)暂无数据  -  第三大街', '152万', '单价15917元/平米')
('https://image1.ljcdn.com/410100-inspection/a990ae2a-ecf8-4f1b-88f9-62e6d2e42724.jpg.296x216.jpg', '远大理想城 南北通透三居室 小区门口位置 中间层', '远大理想城  ', '低楼层(共22层)暂无数据  -  第三大街', '210万', '单价18524元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload8572263b-bf8d-4599-bad1-898e5985c34b.jpg.296x216.jpg', '南北通透两居，满五年，业主诚心出售，看房方便', '建达百度花园  ', '地下室(共6层)板楼  -  第三大街', '102万', '单价11373元/平米')
('https://image1.ljcdn.com/410100-inspection/f9f51c49-0b34-46a5-b4a9-ddc0343f6a0b.jpg.296x216.jpg', '加州第 一城  复式三居室  诚意出售', '加州第一城  ', '高楼层(共6层)暂无数据  -  第三大街', '195万', '单价13392元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload47b3dbc7-fe4a-47e6-8555-700408f90231.jpg.296x216.jpg', '远大理想城  全南两居室  中间层  格局方正', '远大理想城  ', '中楼层(共18层)板塔结合  -  第三大街', '150万', '单价16581元/平米')
('https://image1.ljcdn.com/410100-inspection/test-3be72510-b266-40d6-8d82-3797466d498a.png.296x216.jpg', '此房南北通透户型，楼层好，通风好！！！', '远大理想城  ', '中楼层(共26层)板塔结合  -  第三大街', '147万', '单价16249元/平米')
('https://image1.ljcdn.com/410100-inspection/40ec10e5-831e-4f6a-92be-f4dcd0a4dbb6.jpg.296x216.jpg', '恒大绿洲 3室2厅 272万', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '272万', '单价20000元/平米')
('https://image1.ljcdn.com/110000-inspection/35cf9f00-d977-458c-a145-88620e7be0d3.jpg.296x216.jpg', '海馨苑南北通透大四房 诚心出售', '海馨苑  ', '低楼层(共18层)暂无数据  -  第三大街', '280万', '单价15556元/平米')
('https://image1.ljcdn.com/410100-inspection/153d7756-e032-4532-8ee6-cfa96fdcdc9f.jpg.296x216.jpg', '此房是商品房满五年唯一  业主诚心出售', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '210万', '单价16536元/平米')
('https://image1.ljcdn.com/110000-inspection/2c54772d-fe6d-4881-b022-df7b647f3427.jpg.296x216.jpg', '格林度假山庄 北苑 错层三居 落落大方的户型', '格林度假山庄  ', '高楼层(共7层)暂无数据  -  第三大街', '170万', '单价12879元/平米')
('https://image1.ljcdn.com/410100-inspection/test-ffdf2296-81b8-4ba7-a324-a7fd2e5c0a03.png.296x216.jpg', '亚太明珠 南北通透三房 满五年有房本 好楼层 随时看房', '亚太明珠  ', '中楼层(共24层)板塔结合  -  第三大街', '201万', '单价14056元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload8786ceca-dcc0-490c-befa-0084ca63729b.jpg.296x216.jpg', '此房满五唯一，花园洋房带电梯，小区广场位置', '远大理想城  ', '中楼层(共7层)板塔结合  -  第三大街', '170万', '单价17512元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload282f12f0-3513-458e-8083-b9c60dcf7d3b.jpg.296x216.jpg', '格林山庄 精装复式 低密社区 满五唯一', '格林度假山庄  ', '中楼层(共7层)暂无数据  -  第三大街', '180万', '单价13354元/平米')
('https://image1.ljcdn.com/410100-inspection/004e130a-fe32-460a-a61c-60f523adafee.jpg.296x216.jpg', '恒大两房，经典户型       西南户', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '170万', '单价19343元/平米')
('https://image1.ljcdn.com/410100-inspection/de653eb3-093a-48c8-bff4-3c7446757b7c.jpg.296x216.jpg', '恒大绿洲。精装修两房，业主诚心出售', '恒大绿洲  ', '中楼层(共33层)板楼  -  第三大街', '180万', '单价19557元/平米')
('https://image1.ljcdn.com/410100-inspection/7ed122c0-251c-4f32-b36a-e1bc05f8a429.jpg.296x216.jpg', '经南五路和朝凤路交叉口，诚心出售，欢迎来看。', '好望角国际公寓  ', '低楼层(共19层)板楼  -  第三大街', '211万', '单价15985元/平米')
('https://image1.ljcdn.com/410100-inspection/f154898d-b22f-424c-aed6-d00e27de86ae.jpg.296x216.jpg', '满五唯一  配套设施齐全 无贷款', '加州第一城  ', '中楼层(共6层)暂无数据  -  第三大街', '140万', '单价14894元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploaded3da270-0bb1-491a-99da-5f415c2a8f7a.jpg.296x216.jpg', '东郡蓝湾 多层房 3/4楼复式 送车库送车位 满五年', '东郡蓝湾  ', '中楼层(共6层)板楼  -  第三大街', '320万', '单价14286元/平米')
('https://image1.ljcdn.com/410100-inspection/cada3ac9-b134-43f9-88ab-f60b3423c113.jpg.296x216.jpg', '恒大一期 少见的小3居户型通透 客厅主卧朝南', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '220万', '单价21154元/平米')
('https://image1.ljcdn.com/410100-inspection/c1459ef5-9ac5-410e-87fa-654423ace390.jpg.296x216.jpg', '经开区 悉尼阳光 多层复式 诚心出售 送家具家电', '悉尼阳光  ', '高楼层(共6层)塔楼  -  第三大街', '230万', '单价15647元/平米')
('https://image1.ljcdn.com/410100-inspection/test-7de6550b-8c65-4c98-890d-3a8e7cea29fe.png.296x216.jpg', '满五唯一南北通透大三房，距地铁5号线（在建中）800米', '亚太花园  ', '低楼层(共30层)板塔结合  -  第三大街', '225万', '单价13872元/平米')
('https://image1.ljcdn.com/410100-inspection/31eb8892-5aca-44ca-bace-ccef3945415e.jpg.296x216.jpg', '满五年，南向两居室，采光好，业主诚心出售。', '建达百度花园  ', '高楼层(共6层)板楼  -  第三大街', '145万', '单价14216元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload33379637-2a40-45df-a601-58d2265473f6.jpg.296x216.jpg', '远大理想城 南北通透三居室 多层房中间楼层采光无遮挡', '远大理想城  ', '中楼层(共6层)板楼  -  第三大街', '230万', '单价18549元/平米')
('https://image1.ljcdn.com/410100-inspection/test-05509bdd-eb3f-4255-8dc1-a5be82615efd.png.296x216.jpg', '远大理想新城精装大三房，南北通透送楼台，可改4房', '远大理想城  ', '中楼层(共32层)板塔结合  -  第三大街', '198万', '单价14245元/平米')
('https://image1.ljcdn.com/410100-inspection/b1abde53-2fa1-4f07-8ac8-0aac7d52e071.jpg.296x216.jpg', '恒大一期，大三房，视野优秀，重新装修送家具家电', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '320万', '单价22696元/平米')
('https://image1.ljcdn.com/410100-inspection/480d8f1b-8214-4f12-a549-c73a1d6fcb05.jpg.296x216.jpg', '理想城大三居满五年全款房诚心出售', '远大理想城  ', '中楼层(共33层)板塔结合  -  第三大街', '228万', '单价15251元/平米')
('https://image1.ljcdn.com/410100-inspection/2c769069-e2d0-4807-ad32-c42341d08b30.jpg.296x216.jpg', '恒大绿洲 精装修两房  业主诚心出售', '恒大绿洲  ', '中楼层(共33层)板楼  -  第三大街', '165万', '单价19880元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload0341764a-d41f-4d62-9c93-3e0183d02d6a.jpg.296x216.jpg', '天明园 经典复式大五房 阔气舒适 双阳台 诚意出售', '天明园  ', '高楼层(共6层)暂无数据  -  第三大街', '268万', '单价12963元/平米')
('https://image1.ljcdn.com/410100-inspection/93e9c1f2-fa92-4f2c-bac8-ceb28c841abe.jpg.296x216.jpg', '经开第 一大街 全南向两居室 大客厅 精装', '远大理想城  ', '中楼层(共33层)板塔结合  -  第三大街', '152万', '单价16310元/平米')
('https://image1.ljcdn.com/110000-inspection/877a118f-cb7c-456f-b0a6-fcc49498380c.jpg.296x216.jpg', '建达百度花园 3室1厅 180万', '建达百度花园  ', '高楼层(共6层)板楼  -  第三大街', '180万', '单价14585元/平米')
('https://image1.ljcdn.com/410100-inspection/03cd61b2-6212-4f07-af10-dc3997b61eb9.jpg.296x216.jpg', '专家花园 5室3厅 480万', '专家花园  ', '低楼层(共4层)暂无数据  -  第三大街', '480万', '单价22430元/平米')
('https://image1.ljcdn.com/410100-inspection/52581b7a-001b-4f1c-8b0a-23e525e3c88a.jpg.296x216.jpg', '远大理想城双气两房，满五唯一，精装修，', '远大理想城  ', '低楼层(共28层)板塔结合  -  第三大街', '150万', '单价16854元/平米')
('https://image1.ljcdn.com/410100-inspection/584c718a-cc7c-47f6-8d53-c46d43180b5c.jpg.296x216.jpg', '大城小室1室1卫33平标间满五年唯一住房', '大城小室  ', '低楼层(共15层)暂无数据  -  第三大街', '37万', '单价11213元/平米')
('https://image1.ljcdn.com/410100-inspection/test-25537fa5-0f54-45f8-ace2-d5cc408dbdc7.png.296x216.jpg', '此房是标准的3室2厅2卫 客厅朝南带阳台，全明户型', '亚太明珠  ', '中楼层(共24层)板塔结合  -  第三大街', '210万', '单价14723元/平米')
('https://image1.ljcdn.com/410100-inspection/18868961-bb6b-4398-8a63-1221200e3125.jpg.296x216.jpg', '双气三房，精装修，满五年，送阳光房露台，交通便利', '东郡蓝湾  ', '中楼层(共6层)板楼  -  第三大街', '203万', '单价16704元/平米')
('https://image1.ljcdn.com/110000-inspection/4a134f2b-5681-4ad3-95d1-a72fe7bdfe80.jpg.296x216.jpg', '此房满五年唯一住房  产权清晰  南北通透', '加州第一城  ', '高楼层(共7层)暂无数据  -  第三大街', '230万', '单价14557元/平米')
('https://image1.ljcdn.com/410100-inspection/test-8b1e2d92-8b94-4f31-8147-3ab04e76142c.png.296x216.jpg', '亚太花园两居室，户型全南向，客厅大阳台。', '亚太花园  ', '低楼层(共30层)板塔结合  -  第三大街', '200万', '单价17508元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadc835e1c5-b7e3-4419-a0a4-1692c818f706.jpg.296x216.jpg', '加州城南北通透四居室，满五年，诚意出售', '加州第一城  ', '高楼层(共6层)暂无数据  -  第三大街', '210万', '单价14000元/平米')
('https://image1.ljcdn.com/410100-inspection/9845ed6a-333e-4457-ba54-f65b3eb15247.jpg.296x216.jpg', '远大理想城南北通透两房 满五唯一免个税 楼层好', '远大理想城  ', '高楼层(共33层)暂无数据  -  第三大街', '167万', '单价16373元/平米')
('https://image1.ljcdn.com/410100-inspection/18522f48-f7da-49d4-a6c6-9fb259bf4b11..-70.jpg.296x216.jpg', '金沙湖一期 别墅区后两栋高层 环境优美 满五有房本', '金沙湖高尔夫观邸  ', '低楼层(共27层)暂无数据  -  第八大街', '440万', '单价15943元/平米')
('https://image1.ljcdn.com/410100-inspection/test-fb2ab4e8-c09e-49ed-81bd-ecd915b25691.png.296x216.jpg', '亚太花园 南北通透 大三房 落地窗采光好 此价包含车位', '亚太花园  ', '低楼层(共30层)板塔结合  -  第三大街', '235万', '单价13989元/平米')
('https://image1.ljcdn.com/410100-inspection/05f42820-8d73-4b91-85fd-b8641737a1ed.jpg.296x216.jpg', '满五年 无贷款 航海路朝凤路 亚太花园精装通透大三房', '亚太花园  ', '低楼层(共16层)板塔结合  -  第三大街', '210万', '单价14894元/平米')
('https://image1.ljcdn.com/410100-inspection/5120c67f-3a41-4118-91fe-793f1b83f5e0.jpg.296x216.jpg', '远大理想城一楼带院三房 精装修 满五唯一 全南户型', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '210万', '单价17250元/平米')
('https://image1.ljcdn.com/410100-inspection/test-1f6aeab6-72eb-4050-a36d-13e7d0dfe448.png.296x216.jpg', '富田九鼎世家 两房加书房 精装 业主诚意出售', '富田九鼎世家  ', '高楼层(共27层)板塔结合  -  第三大街', '190万', '单价20271元/平米')
('https://image1.ljcdn.com/410100-inspection/aaa91899-3861-413c-956e-b44108912cb1.jpg.296x216.jpg', '九鼎世家 传世小区 精准 南向两居 诚意出售', '富田九鼎世家  ', '中楼层(共25层)板塔结合  -  第三大街', '180万', '单价20525元/平米')
('https://image1.ljcdn.com/110000-inspection/e4fa90df-4cc2-4794-aabb-837e4a085d47.jpg.296x216.jpg', '加州 两居室小洋房 精装修 满五唯一', '加州第一城  ', '中楼层(共7层)暂无数据  -  第三大街', '152万', '单价15398元/平米')
('https://image1.ljcdn.com/410100-inspection/f99a5ed1-1cb8-4344-b19f-b8b5289751b6.jpg.296x216.jpg', '南北通透精装三居洋房，前后带花园，送地下室，城心售', '远大理想城  ', '低楼层(共6层)板楼  -  第三大街', '450万', '单价28161元/平米')
('https://image1.ljcdn.com/410100-inspection/7958fe58-24ce-4046-90b7-ab6f5f17137b.jpg.296x216.jpg', '富田九鼎次新房，正规小三居室。', '富田九鼎世家  ', '中楼层(共27层)板塔结合  -  第三大街', '190万', '单价20213元/平米')
('https://image1.ljcdn.com/410100-inspection/4f3aa323-1899-4766-8803-3b7bc2882383.jpg.296x216.jpg', '恒大绿洲  精装   大三房  采光无遮挡', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '238万', '单价19538元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload0ebd4631-ade8-41b7-a2d5-9708ec1026b5.jpg.296x216.jpg', '远大理想城电梯洋房中间楼层精装修南北通透  采光好', '远大理想城  ', '高楼层(共9层)板塔结合  -  第三大街', '260万', '单价20800元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadbb852232-9435-4d6b-895f-69fdaa2d91db.jpg.296x216.jpg', '恒大绿洲，南北通透大三房，随时可看  诚意出售', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '260万', '单价20570元/平米')
('https://image1.ljcdn.com/410100-inspection/feaeff67-47fb-4560-bf7d-09311c539d1b..-83.jpg.296x216.jpg', '理想城双气精装修两房，满五唯一，税费少，业主诚心售', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '143万', '单价16153元/平米')
('https://image1.ljcdn.com/410100-inspection/test-b2af6396-6b8d-49e2-bc17-e555344159a3.png.296x216.jpg', '九鼎世家，精装修大三房，即买即住', '富田九鼎世家  ', '低楼层(共25层)板塔结合  -  第三大街', '360万', '单价19848元/平米')
('https://image1.ljcdn.com/410100-inspection/74ba98da-f380-42c0-ad87-0e0bde9ba630.jpg.296x216.jpg', '满五年，小高层，中间楼层，南北通透，诚心出售。', '远大理想城  ', '中楼层(共11层)板塔结合  -  第三大街', '155万', '单价15708元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload189b4b59-22bc-4576-8785-4df41ee954cd.jpg.296x216.jpg', '富田九鼎世家 小区环境优美 户型方正 诚心出售', '富田九鼎世家  ', '低楼层(共25层)板塔结合  -  第三大街', '199万', '单价22614元/平米')
('https://image1.ljcdn.com/410100-inspection/a6ed04ea-2c3a-4577-9906-6f567bd85e6b.jpg.296x216.jpg', '经开区 加州第 一城南北通透 两层复式四居室', '加州第一城  ', '高楼层(共6层)暂无数据  -  第三大街', '245万', '单价15124元/平米')
('https://image1.ljcdn.com/410100-inspection/f4dcf0e3-873b-43bd-bd39-4d247719a807.jpg.296x216.jpg', '格林假日 顶楼南北通透复式 大四房 满五年随时看', '格林假日  ', '高楼层(共6层)板楼  -  第三大街', '195万', '单价11539元/平米')
('https://image1.ljcdn.com/410100-inspection/1435d080-8c87-4a33-a746-ff6b0b9a654a.jpg.296x216.jpg', '远大理想城精装修大四房，南北通透带50平露台，阁楼', '远大理想城  ', '高楼层(共6层)板楼  -  第三大街', '250万', '单价17007元/平米')
('https://image1.ljcdn.com/410100-inspection/bb3a72ed-77e0-4a60-9ff0-0affcf6c8e7e..-33.jpg.296x216.jpg', '宏光合院 简装两居室 业主诚心出售', '宏光合园  ', '高楼层(共17层)塔楼  -  第三大街', '125万', '单价14045元/平米')
('https://image1.ljcdn.com/410100-inspection/99d2267d-21dd-49af-99d6-5e5c0ad8d40a.jpg.296x216.jpg', '好望角国际公寓**，朝凤路，正对十一中，', '好望角国际公寓  ', '中楼层(共11层)暂无数据  -  第三大街', '248万', '单价17715元/平米')
('https://image1.ljcdn.com/410100-inspection/a71041f5-6170-4aa5-96b3-0874fd7ec155.jpg.296x216.jpg', '小温馨 小两居 看过不失望，业主诚心出售，', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '150万', '单价18222元/平米')
('https://image1.ljcdn.com/110000-inspection/e46c3a63-8837-4cc5-8cbb-2e515a5b3405.jpg.296x216.jpg', '海馨苑 纯南两房  户型方正  采光好', '海馨苑  ', '中楼层(共18层)板楼  -  第三大街', '150万', '单价17242元/平米')
('https://image1.ljcdn.com/410100-inspection/2078f028-c7e1-4ef5-b408-73a4c8d66ada.jpg.296x216.jpg', '此房花园洋房复式带电梯，满五年唯一，南北通透。', '远大理想城  ', '高楼层(共10层)板塔结合  -  第三大街', '520万', '单价26000元/平米')
('https://image1.ljcdn.com/410100-inspection/e6c0a4c0-7de4-4065-8700-3b4bf71ef1bc.jpg.296x216.jpg', '加州 城  满五年 急售 价格可议', '加州第一城  ', '高楼层(共6层)暂无数据  -  第三大街', '131万', '单价14087元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload8fec0ee5-4ed9-445c-9080-b5c0e8e2af6b.jpg.296x216.jpg', '远大理想城 纯南两房中间楼层  精装修双气', '远大理想城  ', '中楼层(共26层)板塔结合  -  第三大街', '146万', '单价15922元/平米')
('https://image1.ljcdn.com/410100-inspection/ca1c969e-88a0-4801-9cb6-d1e4f1aeb371..-61.jpg.296x216.jpg', '带露台的小两房，全明户型，环境舒适安静。', '远大理想城  ', '高楼层(共28层)板塔结合  -  第三大街', '126万', '单价16800元/平米')
('https://image1.ljcdn.com/410100-inspection/05892944-082a-42fd-a24b-41366babcf4e.jpg.296x216.jpg', '满五年南北通透三居室，看房方便。', '矿业集团家属院  ', '高楼层(共7层)板楼  -  第三大街', '128万', '单价15059元/平米')
('https://image1.ljcdn.com/410100-inspection/a8de9db2-72e1-4e88-b48e-128d184e3b3c.jpg.296x216.jpg', '理想城满五唯一，精装家具家电全送，采光好，业主诚售', '远大理想城  ', '中楼层(共22层)暂无数据  -  第三大街', '179万', '单价15937元/平米')
('https://image1.ljcdn.com/410100-inspection/3b6473f7-2516-4b8c-a9ca-07d1cff4c925.jpg.296x216.jpg', '远大理想城 一层带花园 自住精装房', '远大理想城  ', '低楼层(共9层)暂无数据  -  第三大街', '295万', '单价21852元/平米')
('https://image1.ljcdn.com/410100-inspection/test-7c14e439-585d-41eb-b420-25dc3f989f3f.png.296x216.jpg', '恒大绿洲新社区，周 边配套齐全，交通便利，地铁沿线', '恒大绿洲  ', '中楼层(共33层)板楼  -  第三大街', '161万', '单价19398元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload74224e13-882b-4394-b4e4-1117e0b868f2.jpg.296x216.jpg', '精装修，恒大交房标准。业主诚心卖。', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '165万', '单价18283元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload2f21f790-4856-40c3-b6ca-dbd0dfecf59c.jpg.296x216.jpg', '满五年，南北通透三居，户型方正，没有浪费，采光好', '建达百度花园  ', '地下室(共6层)板楼  -  第三大街', '143万', '单价10915元/平米')
('https://image1.ljcdn.com/410100-inspection/4f87d4ea-ea35-40d8-bbae-d17c92d7a135.jpg.296x216.jpg', '远大理想城 双气 三房 满五唯一 诚心出售', '远大理想城  ', '中楼层(共22层)暂无数据  -  第三大街', '190万', '单价17273元/平米')
('https://image1.ljcdn.com/410100-inspection/5176d0a2-e83f-4159-9a19-63859199ae5b.jpg.296x216.jpg', '恒大绿洲   单价低  精装修  业主诚心出售', '恒大绿洲  ', '中楼层(共33层)板楼  -  第三大街', '155万', '单价16894元/平米')
('https://image1.ljcdn.com/410100-inspection/49835690-3888-4a3d-b03d-df5974366723.jpg.296x216.jpg', '房子是业主自己住 没有出租过，另送80平米阁楼', '远大理想城  ', '高楼层(共18层)板楼  -  第三大街', '258万', '单价21500元/平米')
('https://image1.ljcdn.com/110000-inspection/e6a076e5-b570-4c39-8c8e-3fc4e00a3119.jpg.296x216.jpg', '多层精装修大三房 满五年唯一 环境干净整洁', '建达百度花园  ', '高楼层(共6层)板楼  -  第三大街', '185万', '单价14454元/平米')
('https://image1.ljcdn.com/410100-inspection/f9dadd2e-3550-4361-a8c7-32ab5b8876fc.jpg.296x216.jpg', '加州第1城2室2厅1卫98.4m²南北通透满五唯一', '加州第一城  ', '低楼层(共6层)暂无数据  -  第三大街', '150万', '单价15244元/平米')
('https://image1.ljcdn.com/410100-inspection/df53547a-6abc-4235-869c-6bb537373f77.jpg.296x216.jpg', '格林度假山庄6室3厅3卫306平方独幢别墅', '格林度假山庄  ', '低楼层(共3层)暂无数据  -  第三大街', '1000万', '单价32680元/平米')
('https://image1.ljcdn.com/410100-inspection/ec9fdcd5-d563-45e1-be00-d29ea98c9bd2.jpg.296x216.jpg', '76号院 安静小区 面积大 居住舒适 中高楼层 采光好', '经济技术开发区第六大街76号院  ', '高楼层(共6层)暂无数据  -  第三大街', '260万', '单价16150元/平米')
('https://image1.ljcdn.com/110000-inspection/c6c695ea-9e4e-4e8f-b5a0-1f440a263244.jpg.296x216.jpg', '金沙湖高尔夫观邸 3室2厅 150万', '金沙湖高尔夫观邸  ', '高楼层(共31层)板楼  -  第八大街', '150万', '单价16824元/平米')
('https://image1.ljcdn.com/410100-inspection/1f2b36f2-4abf-4b91-a3d4-df71e96c0533.jpg.296x216.jpg', '满五年唯一，诚心出售，看房子方便，随时可看。', '远大理想城  ', '低楼层(共33层)暂无数据  -  第三大街', '139万', '单价16534元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload2f449765-5fe1-4be3-85ce-b8ac180f55f9.jpg.296x216.jpg', '经开区  格林南院 109平  南北通透大三房  交通便利', '格林假日  ', '高楼层(共6层)板楼  -  第三大街', '143万', '单价13120元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploada0915a15-c630-4717-987b-06d473fa7863.jpg.296x216.jpg', '满五年唯一，两卧室客厅朝南业主诚心售房。', '远大理想城  ', '中楼层(共9层)暂无数据  -  第三大街', '215万', '单价18960元/平米')
('https://image1.ljcdn.com/410100-inspection/cdb4c4e8-ac5e-4c77-9d89-81362d31ca2e.jpg.296x216.jpg', '花园多层洋房，南北通透，采光无遮挡！', '建达百度花园  ', '地下室(共6层)板楼  -  第三大街', '150万', '单价10564元/平米')
('https://image1.ljcdn.com/410100-inspection/5df75289-dc4f-4e14-9012-3412c7bb1bf0.jpg.296x216.jpg', '建达百度花园三房，业主诚心出售，看房方便。', '建达百度花园  ', '地下室(共6层)板楼  -  第三大街', '155万', '单价12602元/平米')
('https://image1.ljcdn.com/410100-inspection/e7b7dd95-10d6-4a33-93ed-a6e246ede99b.jpg.296x216.jpg', '格林假日  南北通透复式五房.诚心出售', '格林假日  ', '高楼层(共6层)暂无数据  -  第三大街', '240万', '单价12049元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload62c206e9-96b6-45aa-b2bd-aaf431c51274.jpg.296x216.jpg', '远大理想城  满五唯一住房 户型好 诚心出售', '远大理想城  ', '低楼层(共11层)板楼  -  第三大街', '155万', '单价16316元/平米')
('https://image1.ljcdn.com/410100-inspection/efa121ea-437b-4415-8a5b-f4d9d889de66.jpg.296x216.jpg', '远大理想城 一楼带花园 经典南北通透三房 诚心出售', '远大理想城  ', '低楼层(共10层)板塔结合  -  第三大街', '320万', '单价26667元/平米')
('https://image1.ljcdn.com/410100-inspection/171e5153-bfe5-43fe-8e8c-a5723241bc2f.jpg.296x216.jpg', '亚太明珠双气一居室出售，采光好，', '亚太明珠  ', '低楼层(共30层)板楼  -  第三大街', '60万', '单价10977元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploade0c101a9-129c-4aa9-9210-a80b175e02a2.jpg.296x216.jpg', '此房满五唯一，南北通透，主卧客厅朝南，非顶层', '远大理想城  ', '高楼层(共11层)板塔结合  -  第三大街', '205万', '单价17673元/平米')
('https://image1.ljcdn.com/110000-inspection/3eec3880-46b9-4cbf-9482-f2cf4e9259bb.jpg.296x216.jpg', '远大理想城双气大三居室，南北通透，自住采光无遮挡', '远大理想城  ', '高楼层(共32层)暂无数据  -  第三大街', '205万', '单价14696元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload4339f74a-ec27-4525-8485-de4e285b9946.jpg.296x216.jpg', '南北通透 户型方正  可做三房', '加州第一城  ', '高楼层(共6层)暂无数据  -  第三大街', '133万', '单价14149元/平米')
('https://image1.ljcdn.com/410100-inspection/2d98864a-095d-4020-92b7-95a88d1abfe4.jpg.296x216.jpg', '满五唯一 小区稀有电梯洋房复式  精装修，看房方便', '远大理想城  ', '高楼层(共9层)板楼  -  第三大街', '259万', '单价19567元/平米')
('https://image1.ljcdn.com/410100-inspection/747914ca-84ab-4068-9817-09f8a3ec1cca.jpg.296x216.jpg', '三大街地铁口 两室 半封闭阳台 双阳台', '大城小室  ', '高楼层(共25层)暂无数据  -  第三大街', '130万', '单价13904元/平米')
('https://image1.ljcdn.com/410100-inspection/4d6c9eaf-3e09-4a74-9193-a9ea6d067bd7.jpg.296x216.jpg', '好望角精装复式 业主诚心出售。', '好望角国际公寓  ', '高楼层(共11层)暂无数据  -  第三大街', '294万', '单价17500元/平米')
('https://image1.ljcdn.com/410100-inspection/61550f1c-0265-4cff-abf5-383c1854fb12.jpg.296x216.jpg', '理想城南北通透大三房170万 一个点个税 双气看房方便', '远大理想城  ', '低楼层(共11层)板楼  -  第三大街', '170万', '单价14752元/平米')
('https://image1.ljcdn.com/410100-inspection/ab203a92-a971-4a4c-b814-18b40db12350..-14.jpg.296x216.jpg', '此房满五年，距地铁5号线1000米（在建中），配套齐全', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '155万', '单价16667元/平米')
