('https://image1.ljcdn.com/shfdfs-image/20170729/c77c35f3-f091-4125-bb8a-634b28448c98.jpg.296x216.jpg', '香滨水岸 3室2厅 289万', '香滨水岸  | 3室2厅 | 102.28平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  郭巷', '289万', '单价28256元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161221/23f817d5-38c5-4603-a0d7-9caf7904a411.jpg.296x216.jpg', '吴逸花园 3室2厅 200万', '吴逸花园  | 3室2厅 | 120平米 | 暂无数据 | 毛坯 | 无电梯', '低楼层(共5层)2005年建板楼  -  城南', '200万', '单价16667元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170813/77e902d1-f659-4170-a063-a5f4c4da2218.jpg.296x216.jpg', '首开常青藤 2室2厅 169万', '首开常青藤  | 2室2厅 | 89平米 | 暂无数据 | 简装 | 有电梯', '低楼层(共27层)2016年建板楼  -  尹山湖', '169万', '单价18989元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170424/c5d7dbc6-517f-4735-b30b-8a5334c1c40a.jpg.296x216.jpg', '朗诗绿色街区 2室2厅 196万', '朗诗绿色街区  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2013年建板楼  -  木渎', '196万', '单价22023元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171214/bc0eb2ea-a385-43e2-9c37-f39a464dfdc2.jpg.296x216.jpg', '港龙财智国际 2室2厅 92万', '港龙财智国际  | 2室2厅 | 70平米 | 南 | 精装 | 有电梯', '低楼层(共20层)2013年建板楼  -  城南', '92万', '单价13143元/平米')
('https://image1.ljcdn.com/320500-inspection/test-39f7f928-5f0f-4d0b-9998-25c66173936f.png.296x216.jpg', '小石城8区梧桐园 4室2厅 268万', '小石城8区梧桐园  | 4室2厅 | 140.05平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2015年建板楼  -  城南', '268万', '单价19137元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160313/3c2a76ce-79f5-4fc1-a9d9-40503c53ee7a.jpg.296x216.jpg', '招商雍华府 3室2厅 255万', '招商雍华府  | 3室2厅 | 128.84平米 | 南 | 毛坯 | 有电梯', '低楼层(共24层)2015年建塔楼  -  木渎', '255万', '单价19792元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160816/774f5027-e3d8-4889-810d-00a87cb04a14.jpg.296x216.jpg', '保利居上 5室3厅 538万', '保利居上  | 5室3厅 | 266.25平米 | 南 | 毛坯 | 有电梯', '高楼层(共25层)2014年建板楼  -  尹山湖', '538万', '单价20207元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161212/e4b9e7f8-5790-4d20-90b1-d74ef03b402c.jpg.296x216.jpg', '双银国际金融城 1室1厅 45万', '双银国际金融城  | 1室1厅 | 52平米 | 南 北 | 其他 | 有电梯', '中楼层(共10层)2013年建塔楼  -  郭巷', '45万', '单价8654元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadcbd7d3db-bd26-4041-9b8e-4e9ea72e2cae.jpg.296x216.jpg', '保利独墅西岸 4室2厅 300万', '保利独墅西岸  | 4室2厅 | 138.4平米 | 南 北 | 简装 | 有电梯', '低楼层(共30层)2015年建板楼  -  郭巷', '300万', '单价21677元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171205/d0c97b5c-1e0a-409a-8eeb-2109a4e475ae.jpg.296x216.jpg', '湖滨花园 2室1厅 215万', '湖滨花园  | 2室1厅 | 87平米 | 暂无数据 | 毛坯 | 有电梯', '中楼层(共18层)2014年建板楼  -  郭巷', '215万', '单价24713元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170418/4755da3d-78a5-4bcd-b628-e8c85927cc34.jpg.296x216.jpg', '龙华园 5室3厅 270万', '龙华园  | 5室3厅 | 187平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1995年建板楼  -  龙西', '270万', '单价14439元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9c783aeb-1f65-4172-952c-3db7aed302d3.png.296x216.jpg', '诚河新旅城一区 2室2厅 175万', '诚河新旅城一区  | 2室2厅 | 98.83平米 | 南 | 毛坯 | 无电梯', '低楼层(共13层)2015年建板塔结合  -  木渎', '175万', '单价17708元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170525/8d0ff3f0-7c5c-430f-b701-84605fe63af9.jpg.296x216.jpg', '越湖名邸 3室2厅 240万', '越湖名邸  | 3室2厅 | 128.94平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  城南', '240万', '单价18614元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171115/21b572f5-e8bb-4bdf-a765-aace0035f784.jpg.296x216.jpg', '南城丽景 2室2厅 172万', '南城丽景  | 2室2厅 | 83平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2008年建板楼  -  城南', '172万', '单价20723元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d3bb7859-b9c7-4a1a-b1b9-0a370f2232d9.png.296x216.jpg', '合景领峰 3室2厅 220万', '合景领峰  | 3室2厅 | 86平米 | 南 | 毛坯 | 有电梯', '高楼层(共26层)2014年建板楼  -  木渎', '220万', '单价25582元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4663c3f8-b19a-484c-88d5-6d3e77456462.png.296x216.jpg', '西塘北巷2号 3室1厅 115万', '西塘北巷2号  | 3室1厅 | 64.18平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1994年建板楼  -  苏苑', '115万', '单价17919元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload4656418e-bdb9-46af-a1fa-cf5fc93faa5c.jpg.296x216.jpg', '石湖华城 5室2厅 290万', '石湖华城  | 5室2厅 | 157平米 | 南 | 简装 | 无电梯', '高楼层(共5层)2011年建板楼  -  越溪', '290万', '单价18472元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170818/e206ab57-ed95-452d-807c-1e8f126ace3c.jpg.296x216.jpg', '中海独墅岛 3室2厅 410万', '中海独墅岛  | 3室2厅 | 143平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2015年建板楼  -  郭巷', '410万', '单价28672元/平米')
('https://image1.ljcdn.com/320500-inspection/ec9166c1-a207-46e3-a2c5-8a9abccf5128.jpg.296x216.jpg', '香滨水岸 4室2厅 642万', '香滨水岸  | 4室2厅 | 162平米 | 南 | 精装 | 有电梯', '低楼层(共7层)2010年建板楼  -  郭巷', '642万', '单价39630元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171106/638e6562-6b87-435a-bf5e-f9329c658757.jpg.296x216.jpg', '旭辉香格里 4室2厅 500万', '旭辉香格里  | 4室2厅 | 320平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共7层)2017年建板楼  -  木渎', '500万', '单价15625元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160710/a4e3d1fd-5ac9-448a-b52d-448f7320921a.jpg.296x216.jpg', '香滨水岸 3室2厅 298万', '香滨水岸  | 3室2厅 | 112.5平米 | 南 | 精装 | 有电梯', '低楼层(共9层)2009年建板楼  -  郭巷', '298万', '单价26489元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170812/b37a16ae-54a2-4007-b0ec-8d5dcdd4815d.jpg.296x216.jpg', '月亮湾 3室2厅 205万', '月亮湾  | 3室2厅 | 101平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2000年建板楼  -  苏苑', '205万', '单价20298元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180115/696f38b7-f48c-489f-a634-0e7f9fbeb809.jpg.296x216.jpg', '新城金郡南区二期 4室2厅 268万', '新城金郡南区二期  | 4室2厅 | 113平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2012年建板楼  -  城南', '268万', '单价23717元/平米')
('https://image1.ljcdn.com/320500-inspection/test-23930a02-ce2e-4d11-b5a5-758758b401a8.png.296x216.jpg', '阳光水榭花园 3室2厅 300万', '阳光水榭花园  | 3室2厅 | 137平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2015年建板楼  -  城南', '300万', '单价21898元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploada2214663-1c3a-496c-8899-adb7859491bf.jpg.296x216.jpg', '楼中楼，多层顶带阁，80㎡赠送不压抑，无差额，满2年', '新城金郡北区  | 3室2厅 | 80.9平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2010年建板楼  -  城南', '215万', '单价26577元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadb72b58fb-662c-45f2-a1d7-8d534beb8b3c.jpg.296x216.jpg', '实用面积达100平  一楼带地下室 精装 随时看房', '湖岸名家南区  | 2室2厅 | 52平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2008年建板楼  -  郭巷', '124万', '单价23847元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180116/d81f6746-68f9-43b8-bca3-5dc777eff6c1.jpg.296x216.jpg', '保利独墅西岸 三期洋房 业主换房诚售 湖景视野好', '保利独墅西岸  | 3室2厅 | 141.2平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共6层)2015年建板楼  -  郭巷', '430万', '单价30454元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170510/d845850c-3f23-44d0-9b6f-a156460f01be.jpg.296x216.jpg', '石湖华城 2室2厅 179万', '石湖华城  | 2室2厅 | 94平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2011年建板楼  -  越溪', '179万', '单价19043元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170630/5d30a18d-1922-4607-be12-f71e3ab002db.jpg.296x216.jpg', '新城湾语城 3室2厅 180万', '新城湾语城  | 3室2厅 | 94平米 | 暂无数据 | 毛坯 | 有电梯', '高楼层(共34层)2016年建板楼  -  太湖新城（吴中）', '180万', '单价19149元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f9554b34-2c12-464d-a80d-88ae495c7579.png.296x216.jpg', '盘蠡苑 3室1厅 175万', '盘蠡苑  | 3室1厅 | 90.7平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  龙西', '175万', '单价19295元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170302/a18925d5-2674-48b4-b1fb-68cec2fd0bca.jpg.296x216.jpg', '嘉宝花园一期 4室2厅 265万', '嘉宝花园一期  | 4室2厅 | 116平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  苏苑', '265万', '单价22845元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171028/e5b98362-bf3c-428a-87e6-a94899aeee27.jpg.296x216.jpg', '万业湖墅金典 2室2厅 195万', '万业湖墅金典  | 2室2厅 | 80.4平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  郭巷', '195万', '单价24254元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171009/507fd206-91d7-414c-95bc-a512b8b438c0.jpg.296x216.jpg', '九龙仓碧堤半岛 3室2厅 400万', '九龙仓碧堤半岛  | 3室2厅 | 141.27平米 | 南 | 毛坯 | 无电梯', '高楼层(共7层)2014年建板楼  -  尹山湖', '400万', '单价28315元/平米')
('https://image1.ljcdn.com/320500-inspection/53480d89-c866-4a23-8f6a-ea118f1eed2f.jpg.296x216.jpg', '湖滨花园 香滨水岸 花园洋房 一楼带院子', '香滨水岸  | 3室2厅 | 123.64平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  郭巷', '377万', '单价30492元/平米')
('https://image1.ljcdn.com/320500-inspection/test-71015860-60ee-4701-9e34-a5d5ff4e6402.png.296x216.jpg', '越湖名邸 2室2厅 184万', '越湖名邸  | 2室2厅 | 93平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  城南', '184万', '单价19785元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161228/555df716-974f-4146-80e4-2b70aca839cd.jpg.296x216.jpg', '清水湾花园 2室2厅 176万', '清水湾花园  | 2室2厅 | 91.98平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2005年建板楼  -  城南', '176万', '单价19135元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170306/ec692dfe-93e8-45ea-9000-560fc755874f.jpg.296x216.jpg', '碧波花园三区 2室1厅 138万', '碧波花园三区  | 2室1厅 | 79平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  城南', '138万', '单价17469元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171210/cfa275f3-3e77-4da1-af33-f7e6233c259e.jpg.296x216.jpg', '嘉宝花园一期 3室2厅 280万', '嘉宝花园一期  | 3室2厅 | 115平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2000年建板楼  -  苏苑', '280万', '单价24348元/平米')
('https://image1.ljcdn.com/320500-inspection/2f3984b2-0eff-48b8-9fd2-1f7177679305.jpg.296x216.jpg', '中茵星墅湾 3室2厅 275万', '中茵星墅湾  | 3室2厅 | 101平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2013年建板楼  -  郭巷', '275万', '单价27228元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a63e0f63-e994-4f48-b16f-6b396ce87966.png.296x216.jpg', '中茵星墅湾 2室2厅 252万', '中茵星墅湾  | 2室2厅 | 95平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2013年建板楼  -  郭巷', '252万', '单价26527元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f2040e2d-2bc8-4a11-acf2-41964799afe0.png.296x216.jpg', '典雅花园 爆款经典自住三房，自住精装，带车位', '典雅花园  | 3室2厅 | 147.81平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2000年建板楼  -  龙西', '318万', '单价21515元/平米')
('https://image1.ljcdn.com/320500-inspection/4520a0f1-afb8-4694-99f8-8630efdb879e.jpg.296x216.jpg', '九龙仓碧堤半岛 4室2厅 360万', '九龙仓碧堤半岛  | 4室2厅 | 140平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2015年建板楼  -  尹山湖', '360万', '单价25715元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160727/2d112f9d-59d3-4d16-873a-4bf1d1d057bd.jpg.296x216.jpg', '湖滨花园 1室2厅 210万', '湖滨花园  | 1室2厅 | 67平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2011年建板楼  -  郭巷', '210万', '单价31344元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170920/8eb64382-9ad9-4db0-84b1-c7a6e7d5cd62.jpg.296x216.jpg', '越湖家天下 2室2厅 164万', '越湖家天下  | 2室2厅 | 89平米 | 南 | 毛坯 | 有电梯', '低楼层(共22层)2014年建板楼  -  城南', '164万', '单价18427元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171231/6f65549e-190a-44c5-92e5-d46bb07ba4c4.jpg.296x216.jpg', '国香雅苑 2室2厅 174万', '国香雅苑  | 2室2厅 | 88.2平米 | 暂无数据 | 毛坯 | 有电梯', '中楼层(共11层)2010年建板楼  -  郭巷', '174万', '单价19728元/平米')
('https://image1.ljcdn.com/320500-inspection/aab7db81-159a-4121-ac04-ef4f27e7e740.jpg.296x216.jpg', '湖滨花园 6室2厅 429万', '湖滨花园  | 6室2厅 | 181平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2004年建板楼  -  郭巷', '429万', '单价23702元/平米')
('https://image1.ljcdn.com/320500-inspection/a6ee0563-a4b5-4c6a-aab9-bcfe87e60175.jpg.296x216.jpg', '弘阳品质洋房+尹山湖景+看房方便', '弘阳上湖  | 3室2厅 | 104平米 | 南 北 | 其他 | 有电梯', '高楼层(共6层)2016年建板楼  -  尹山湖', '278万', '单价26731元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a820593d-2c76-447a-bbbd-28eac592f257.png.296x216.jpg', '精装大三房 位置好 采光棒 送大车库', '阳光水韵  | 3室2厅 | 117.85平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2015年建板楼  -  城南', '230万', '单价19517元/平米')
('https://image1.ljcdn.com/320500-inspection/test-be7bce40-1e2d-4e7c-ad84-6e8fad03fc48.png.296x216.jpg', '诚河新旅城二区 3室2厅 226万', '诚河新旅城二区  | 3室2厅 | 115.44平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2015年建板塔结合  -  木渎', '226万', '单价19578元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161126/01dfd294-9f7f-4a5f-bea5-b950de3b73f4.jpg.296x216.jpg', '龙西路28号 3室2厅 258万', '龙西路28号  | 3室2厅 | 137.07平米 | 南 | 精装 | 有电梯', '中楼层(共18层)1999年建板楼  -  龙西', '258万', '单价18823元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/cf6ba80f-c158-4b0e-9be1-feb8f26d5551.png.280x210.jpg', '石湖华城 2室2厅 158万', '石湖华城  | 2室2厅 | 73平米 | 暂无数据 | 简装 | 有电梯', '中楼层(共18层)2011年建板楼  -  越溪', '158万', '单价21644元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180113/6add0999-2a8c-4643-a67a-b91e1bf12fe1.jpg.296x216.jpg', '世茂石湖湾 3室2厅 260万', '世茂石湖湾  | 3室2厅 | 112平米 | 南 | 毛坯 | 有电梯', '中楼层(共24层)2015年建板楼  -  城南', '260万', '单价23215元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170614/4ba99bcf-2637-4960-a581-432ab2d97d60.jpg.296x216.jpg', '中海88平米三居室 纯毛坯未住过人 满两年 全天采光', '中海独墅岛  | 3室2厅 | 88.4平米 | 南 | 毛坯 | 有电梯', '低楼层(共31层)2015年建板楼  -  郭巷', '199万', '单价22512元/平米')
('https://image1.ljcdn.com/320500-inspection/fe7805e0-50c4-477d-bf58-3c6751dbd6e3.jpg.296x216.jpg', '越湖家天下 2室2厅 182万', '越湖家天下  | 2室2厅 | 87平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2014年建板楼  -  城南', '182万', '单价20920元/平米')
('https://image1.ljcdn.com/320500-inspection/3a0eb391-8bb5-45e0-96d6-43499b7fe223.jpg.296x216.jpg', '越湖花园 2室2厅 163万', '越湖花园  | 2室2厅 | 99平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  越溪', '163万', '单价16465元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171007/e6ac6b1c-f261-45a0-a685-66bc1fa103c5.jpg.296x216.jpg', '正荣国领 3室2厅 368万', '正荣国领  | 3室2厅 | 143.5平米 | 南 | 毛坯 | 有电梯', '中楼层(共25层)2016年建板楼  -  南双湖', '368万', '单价25645元/平米')
('https://image1.ljcdn.com/320500-inspection/test-0ae5419d-8473-4341-a647-0e83b04612da.png.296x216.jpg', '尼盛滨江城 3室2厅 210万', '尼盛滨江城  | 3室2厅 | 109.8平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2017年建板楼  -  木渎', '210万', '单价19126元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170106/cdc0050b-e315-411e-b106-a30090f3f042.jpg.296x216.jpg', '玫瑰久久精装两房 交通便利  拎包入住', '玫瑰久久  | 2室2厅 | 87平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2009年建板楼  -  城南', '170万', '单价19541元/平米')
('https://image1.ljcdn.com/320500-inspection/5f60fd91-4e7d-472d-9e69-fbd452f0174e.jpg.296x216.jpg', '越湖名邸 6室2厅 360万', '越湖名邸  | 6室2厅 | 200.41平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2009年建板楼  -  城南', '360万', '单价17964元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171103/a8dfbaa2-209d-4209-a0bf-081f8557ac1f.jpg.296x216.jpg', '越湖名邸 精装三房 近地铁蠡墅  独立卫浴 家具齐全', '越湖名邸  | 3室2厅 | 127.75平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  城南', '245万', '单价19179元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160625/83d12fb5-02da-4595-9df6-1308ca8071d8.jpg.296x216.jpg', '湖滨花园 3室2厅 315万', '湖滨花园  | 3室2厅 | 139.94平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2011年建板楼  -  郭巷', '315万', '单价22510元/平米')
('https://image1.ljcdn.com/320500-inspection/test-cb470e7d-8984-41ed-bd98-b698782547b8.png.296x216.jpg', '新苑村 3室1厅 148万', '新苑村  | 3室1厅 | 82.74平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1999年建板楼  -  龙西', '148万', '单价17888元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180119/f8b7aa96-3ab5-4488-a478-7c4a4759907b.jpg.296x216.jpg', '万佳花苑 3室2厅 340万', '万佳花苑  | 3室2厅 | 198.84平米 | 暂无数据 | 其他 | 有电梯', '高楼层(共5层)2006年建板楼  -  龙西', '340万', '单价17100元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c8cf0495-300f-4e46-875f-ea9e0765d991.png.296x216.jpg', '阳光水榭花园 2室1厅 190万', '阳光水榭花园  | 2室1厅 | 89.56平米 | 南 | 精装 | 有电梯', '中楼层(共9层)2006年建板楼  -  城南', '190万', '单价21215元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171214/9329ef74-6945-434a-a85d-73c1c903b62d.jpg.296x216.jpg', '毛坯房，满两年，随时看房，走过路过不要错过', '首开国风华府  | 3室2厅 | 108平米 | 南 | 毛坯 | 有电梯', '高楼层(共7层)2013年建板楼  -  城南', '220万', '单价20371元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171210/8fa09abc-bd78-4d7a-a272-0598da463f48.jpg.296x216.jpg', '旭辉香格里 3室2厅 245万', '旭辉香格里  | 3室2厅 | 119.7平米 | 暂无数据 | 其他 | 有电梯', '高楼层(共26层)2017年建板楼  -  木渎', '245万', '单价20468元/平米')
('https://image1.ljcdn.com/320500-inspection/test-0ef1d196-b965-4daa-958b-102d25be1d76.png.296x216.jpg', '保利观湖国际 3室2厅 270万', '保利观湖国际  | 3室2厅 | 125平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2012年建板塔结合  -  尹山湖', '270万', '单价21600元/平米')
('https://image1.ljcdn.com/320500-inspection/b6cb9926-e208-4865-b1f2-9bc3827ebe3e.jpg.296x216.jpg', '碧水湾花园 3室2厅 562万', '碧水湾花园   | 联排别墅 | 3室2厅 | 213平米 | 南 北 | 毛坯 | 无电梯', '3层2007年建板楼  -  城南', '562万', '单价26385元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a07d5200-d48b-40fc-bd38-86040e4e17ac.png.296x216.jpg', '近轻轨4号线 交通便利 精装2房 家具家电齐全 拎包入住', '石湖华城  | 2室2厅 | 81.83平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2011年建板楼  -  越溪', '178万', '单价21753元/平米')
('https://image1.ljcdn.com/320500-inspection/test-81bd923e-563e-4150-977d-1a038b93c664.png.296x216.jpg', '阳光水榭花园 3室2厅 258万', '阳光水榭花园  | 3室2厅 | 115平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2015年建板楼  -  城南', '258万', '单价22435元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload2a18dd7d-b4a1-4ad6-9022-d33cccf5d807.jpg.296x216.jpg', '九龙仓碧堤半岛 4室2厅 560万', '九龙仓碧堤半岛  | 4室2厅 | 343平米 | 南 | 毛坯 | 无电梯', '低楼层(共7层)2014年建板楼  -  尹山湖', '560万', '单价16327元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6f36b918-3a61-435d-9034-34e94425e6af.png.296x216.jpg', '越湖名邸 2室2厅 185万', '越湖名邸  | 2室2厅 | 93平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  城南', '185万', '单价19893元/平米')
('https://image1.ljcdn.com/320500-inspection/test-4a45b88e-a189-41c0-b9e4-2072fd25b275.png.296x216.jpg', '石湖之韵，轻轨4号线口，多层2房，带汽车库', '石湖之韵  | 2室2厅 | 93.86平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)2007年建板楼  -  越溪', '205万', '单价21842元/平米')
('https://image1.ljcdn.com/320500-inspection/test-34ca3c22-235f-48bb-9b9d-5aadf4856c03.png.296x216.jpg', '石湖华城 3室1厅 325万', '石湖华城  | 3室1厅 | 137平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2011年建板楼  -  越溪', '325万', '单价23723元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160929/5bc1a982-ecef-4d87-a274-8c6cac75e132.jpg.296x216.jpg', '星岛仁恒 5室2厅 1350万', '星岛仁恒   | 联排别墅 | 5室2厅 | 281平米 | 东 | 精装 | 无电梯', '1层2010年建板楼  -  郭巷', '1350万', '单价48043元/平米')
('https://image1.ljcdn.com/320500-inspection/23be619b-5bb8-4b94-8f88-925a7bbef0f5.jpg.296x216.jpg', '阳光天地 4室2厅 327万', '阳光天地  | 4室2厅 | 133平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2017年建板楼  -  尹山湖', '327万', '单价24587元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f36904db-6cf3-4339-8fbc-9d6b1442abf3.png.296x216.jpg', '广枫苑，多层洋房，精装三室，两南一北，中间楼层', '广枫苑  | 3室2厅 | 125.31平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2006年建板楼  -  城南', '230万', '单价18355元/平米')
('https://image1.ljcdn.com/320500-inspection/test-960b34f6-dab8-4c3d-b2e7-86b3982e1b00.png.296x216.jpg', '阳光水韵 2室2厅 180万', '阳光水韵  | 2室2厅 | 90.6平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2015年建板楼  -  城南', '180万', '单价19868元/平米')
('https://image1.ljcdn.com/320500-inspection/9262ff21-c737-491c-973b-6f6ab0e740af.jpg.296x216.jpg', '世茂石湖湾 4室3厅 665万', '世茂石湖湾   | 联排别墅 | 4室3厅 | 290平米 | 南 | 其他 | 无电梯', '2层2015年建板楼  -  城南', '665万', '单价22932元/平米')
('https://image1.ljcdn.com/320500-inspection/test-247cabf3-eaac-4b84-8861-e0d87a6b76b5.png.296x216.jpg', '湖景房+送15平面积+三个阳台+户型正气+变现诚售+钥匙', '弘阳上湖  | 3室2厅 | 89.9平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共33层)2018年建板楼  -  尹山湖', '235万', '单价26141元/平米')
('https://image1.ljcdn.com/320500-inspection/test-be2817de-19cb-419e-8d72-d5b2b8718b87.png.296x216.jpg', '清水湾花园，精装两房，满五唯一税少，视野开阔', '清水湾花园  | 2室2厅 | 83.66平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  城南', '159万', '单价19006元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e3585514-5959-4483-aacf-5749ba4f6be5.png.296x216.jpg', '世茂石湖湾 4室2厅 334万', '世茂石湖湾  | 4室2厅 | 142平米 | 南 | 毛坯 | 有电梯', '高楼层(共24层)2015年建板楼  -  城南', '334万', '单价23522元/平米')
('https://image1.ljcdn.com/320500-inspection/de4b4c58-caff-4149-98c4-39fa45ec63f3.jpg.296x216.jpg', '阳光水韵：精装两房，全南户型，采光充足，靠4号线', '阳光水韵  | 2室2厅 | 77.75平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2015年建板楼  -  城南', '161万', '单价20708元/平米')
('https://image1.ljcdn.com/320500-inspection/ebdeb957-20b4-4ab2-a1fd-8864926a14bb.jpg.296x216.jpg', '保利独墅西岸 3室2厅 204万', '保利独墅西岸  | 3室2厅 | 103平米 | 南 | 毛坯 | 有电梯', '低楼层(共33层)2015年建板楼  -  郭巷', '204万', '单价19806元/平米')
