('https://image1.ljcdn.com/510100-inspection/test-9e04afb0-05c1-4e71-8b48-2d1dfc41be52.png.296x216.jpg', '不临街 中间楼层 对中庭 装修套三 带地暖 满2年', '公园大道  | 3室1厅 | 131.7平米 | 北 | 精装 | 有电梯', '低楼层(共23层)2012年建板塔结合  -  光华大道沿线', '184万', '单价13972元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c944783b-1433-4904-99ac-f4b00dfd54d2.png.296x216.jpg', '建司家属院 简装套三 户型方正 采光好', '建司家属院  | 3室2厅 | 141.8平米 | 东南 | 其他', '高楼层(共6层)板楼  -  温江老城', '100万', '单价7053元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6fe9c3e5-cfb0-4039-8b61-3d70786d684f.png.296x216.jpg', '花样城  装修套二  中间楼层', '花样年花样城  | 2室2厅 | 83.78平米 | 西南 | 其他', '高楼层(共13层)暂无数据  -  温江大学城', '84万', '单价10027元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcec440f5-ab22-42c7-9ea1-377bb1019551.jpg.296x216.jpg', '精装修空房出售视野开阔有两个屋顶花园+车库', '森宇音乐花园  | 5室2厅 | 275.56平米 | 东南 | 精装 | 无电梯', '中楼层(共6层)2004年建板塔结合  -  花都大道', '300万', '单价10887元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b5732056-c3f8-4ecf-824e-0ff5e8114926.png.296x216.jpg', '千禧河畔c区       清水    全明格局      户型方正', '千禧河畔C区  | 2室1厅 | 78平米 | 东 | 毛坯', '中楼层(共33层)板楼  -  花都大道', '95万', '单价12180元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e3271144-52c6-4858-b766-36b879f9ea79.png.296x216.jpg', '合能精装套三，户型方正，采光好。', '合能珍宝琥珀  | 3室1厅 | 82平米 | 东 | 精装 | 有电梯', '高楼层(共34层)2014年建板塔结合  -  光华大道沿线', '115万', '单价14025元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9b1de762-7c04-4a85-a025-43a707474dc1.png.296x216.jpg', '居家装修，可以拎包入住，房东单独产权，交易方便', '西花汀  | 3室2厅 | 127.04平米 | 西南 | 简装 | 有电梯', '低楼层(共18层)2008年建板楼  -  珠江新城', '165万', '单价12989元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8bc079bb-1161-40ab-9c4e-8f3ce5cbc149.png.296x216.jpg', '世纪光华  电梯房  套三带书房当套四', '世纪光华  | 4室2厅 | 124.04平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  花都大道', '125万', '单价10078元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5e89c5e9-ab8b-4bef-9dc4-b09311c7b27c.png.296x216.jpg', '万科朗润园临河套三 对中庭 看湿地公园 视野好', '万科朗润园  | 3室2厅 | 125.1平米 | 东 | 毛坯 | 有电梯', '低楼层(共33层)2007年建板塔结合  -  光华大道沿线', '180万', '单价14389元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploaddd0d6f8e-00df-4fb7-9f74-28222f207f3b.jpg.296x216.jpg', '置信香颐丽都，跃层洋房，带装修', '置信香颐丽都  | 4室2厅 | 228.74平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  国色天乡', '300万', '单价13116元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b6aa55d4-a26a-46e9-a865-faf8be2642ac.png.296x216.jpg', '金河谷装修洋房，户型方正，环境舒适', '金河谷二期  | 3室2厅 | 123平米 | 南 西南 | 其他 | 无电梯', '中楼层(共4层)2016年建板塔结合  -  光华大道沿线', '260万', '单价21139元/平米')
('https://image1.ljcdn.com/510100-inspection/test-48aa123c-c4d9-4b67-9dc5-704ea27d0bea.png.296x216.jpg', '合能珍宝琥珀 电梯高层 清水套三', '合能珍宝琥珀  | 3室2厅 | 85.86平米 | 南 | 毛坯 | 有电梯', '低楼层(共34层)2014年建板塔结合  -  光华大道沿线', '115万', '单价13394元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2511b728-f7f7-4cd3-ac07-700d2081dec7.png.296x216.jpg', '洲际银海湾 清水套三双卫 绿化好', '洲际银海湾  | 3室2厅 | 103平米 | 西北 | 其他 | 有电梯', '低楼层(共32层)2016年建板塔结合  -  光华大道沿线', '145万', '单价14078元/平米')
('https://image1.ljcdn.com/510100-inspection/test-368ba6b3-9006-41e2-adc9-477f57aa95cb.png.296x216.jpg', '温江区和盛镇环境幽静，适合宜居的套二清水房', '艺苑生活圈  | 2室2厅 | 86.63平米 | 南 | 其他 | 有电梯', '低楼层(共23层)塔楼  -  国色天乡', '70万', '单价8081元/平米')
('https://image1.ljcdn.com/510100-inspection/test-944d4e8e-0f7e-4c18-b070-120eb6581d1e.png.296x216.jpg', '美茵河谷电梯洋房一梯两户清水套三', '美茵河谷  | 3室2厅 | 132平米 | 南 | 其他 | 有电梯', '中楼层(共6层)2007年建板楼  -  花都大道', '180万', '单价13637元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ce1a76b7-680e-40d6-91cb-6360cf167d90.png.296x216.jpg', '西藏地质花园 清水大套三 多层步梯', '西藏地质花园  | 3室2厅 | 133.81平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  温江老城', '115万', '单价8595元/平米')
('https://image1.ljcdn.com/510100-inspection/test-040eeaab-c07e-41de-8ae0-57b601389da7.png.296x216.jpg', '光华大道 清水大套四 户型无浪费 带阳台', '天来国际文化广场  | 4室2厅 | 178.4平米 | 东南 | 其他', '中楼层(共32层)2019年建塔楼  -  温江新城', '210万', '单价11772元/平米')
('https://image1.ljcdn.com/510100-inspection/test-93193354-5670-445e-a847-6e8d42c826ba.png.296x216.jpg', '仕林府 套二清水房 中间楼层 视野好', '明信仕林府  | 2室2厅 | 86.36平米 | 南 | 其他', '高楼层(共33层)塔楼  -  温江大学城', '99万', '单价11464元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b782051-902f-4d1f-9855-4ee365a66c1d.png.296x216.jpg', '丽晶公馆对中庭的大套三，清水房可随意装修', '佳兆业丽晶公馆  | 3室1厅 | 92.84平米 | 南 | 其他', '高楼层(共33层)2016年建板塔结合  -  花都大道', '140万', '单价15080元/平米')
('https://image1.ljcdn.com/510100-inspection/test-08b5de7f-256a-4cdf-b999-5b378b9ba269.png.296x216.jpg', '光华国际装修2室2厅1卫 91.45㎡', '光华国际  | 2室2厅 | 91平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2013年建板塔结合  -  温江新城', '130万', '单价14286元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b4869be8-a9ac-45b1-a02f-405a0dec61ab.png.296x216.jpg', '依云顶跃，套三3卫，户型方正，清水房，带大车位', '依云  | 3室2厅 | 143.65平米 | 东南 | 其他 | 无电梯', '高楼层(共4层)2007年建板楼  -  温江新城', '226万', '单价15733元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0e04466e-85ad-4b66-a265-3b36959d75c9.png.296x216.jpg', '芙蓉田园，套二中间楼层，带车位。', '芙蓉田园  | 2室2厅 | 78.85平米 | 西 | 其他 | 有电梯', '高楼层(共26层)板塔结合  -  芙蓉古城', '84万', '单价10654元/平米')
('https://image1.ljcdn.com/510100-inspection/test-255fcc82-f8d7-4fb5-a743-66de8525d221.png.296x216.jpg', '西班牙森林二期 2室2厅 95万', '西班牙森林二期  | 2室2厅 | 61平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2014年建板塔结合  -  光华大道沿线', '95万', '单价15574元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadbe151d0e-37e5-4053-b245-f49e56e02a25.jpg.296x216.jpg', '恒大城小套三，带一个小平台哦                    .', '恒大城一期  | 3室2厅 | 88.22平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2010年建板塔结合  -  温江新城', '145万', '单价16437元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eb83b523-f361-44c1-ae1e-e4cc55d1016b.png.296x216.jpg', '契税(首套1.5%，二套2%，三套3%），个税1%，满2年。', '糖酒公司家属院  | 3室2厅 | 131.2平米 | 西南 | 其他', '高楼层(共6层)板楼  -  温江老城', '105万', '单价8004元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1e7374df-24a4-4e5a-be9d-5887b1c6e5dc.png.296x216.jpg', '装修套三  房屋保养好 户型方正', '春江青龙湾  | 3室2厅 | 98.84平米 | 西南 | 其他 | 无电梯', '低楼层(共6层)2012年建板塔结合  -  国色天乡', '100万', '单价10118元/平米')
('https://image1.ljcdn.com/510100-inspection/test-139b63a8-518d-4abd-9c54-e49b4aa6022e.png.296x216.jpg', '天来国际文化广场套三双卫清水房 诚心出售', '天来国际文化广场  | 3室2厅 | 135.1平米 | 西北 | 其他', '中楼层(共33层)2013年建塔楼  -  温江新城', '165万', '单价12214元/平米')
('https://image1.ljcdn.com/510100-inspection/test-459b0bf2-fec2-4380-b71d-a1c32056d90a.png.296x216.jpg', '老城区电梯房，居家装修套二，东南朝向', '和音晶座  | 2室2厅 | 72.45平米 | 东南 | 其他', '中楼层(共18层)2009年建板塔结合  -  温江老城', '78万', '单价10767元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload688d2d56-8019-4a38-b8fd-f3259d24d13d.jpg.296x216.jpg', '公园壹号    电梯高层   装修   套二', '公园壹号  | 2室2厅 | 81.67平米 | 东南 | 其他 | 有电梯', '低楼层(共29层)2010年建塔楼  -  温江老城', '120万', '单价14694元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2b02eb84-5753-4049-88b9-1b71d6128026.png.296x216.jpg', '海科名城 清水套三 户型方正 明厨明卫', '海科名城  | 3室2厅 | 92.42平米 | 东 | 毛坯 | 有电梯', '高楼层(共18层)2011年建板楼  -  温江大学城', '100万', '单价10821元/平米')
('https://image1.ljcdn.com/510100-inspection/test-baa21f2d-ae89-4cf6-b9d6-7b2c3aad6153.png.296x216.jpg', '海峡新城四期  精装套二带阳光书房  满二', '海峡新城四期  | 2室2厅 | 98平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)板塔结合  -  温江大学城', '105万', '单价10715元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ceba3bd3-ff14-4d0d-a639-987d2ca50991.png.296x216.jpg', '建信奥林匹克花园装修套三 拎包入住', '建信奥林匹克花园  | 3室2厅 | 128.6平米 | 西南 | 精装 | 无电梯', '高楼层(共6层)2006年建板塔结合  -  光华大道沿线', '136万', '单价10576元/平米')
('https://image1.ljcdn.com/510100-inspection/c84b1db7-23c0-4ef0-b00f-b419f01602fc.jpg.296x216.jpg', '七彩花都A区装修套三出售     .', '七彩花都A区  | 3室2厅 | 122.36平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  花都大道', '165万', '单价13485元/平米')
('https://image1.ljcdn.com/510100-inspection/test-86025d1c-0aa9-4892-8c7f-0606a0ada0c5.png.296x216.jpg', '万科品质小区，清水两居室，130万', '万科朗润园  | 2室2厅 | 87.27平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2007年建板塔结合  -  光华大道沿线', '130万', '单价14897元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload55f4df00-212e-43e5-86e7-e4fd5b99d302.jpg.296x216.jpg', '德坤海地亚经典户型套三双卫的房子', '德坤海地亚  | 3室2厅 | 103.44平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2013年建板楼  -  国色天乡', '110万', '单价10635元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2ce23cd2-53ee-428c-a48a-f75eef6d2daf.png.296x216.jpg', '西财学府尚郡装修套四双卫，满两年无增值税。', '西财学府尚郡  | 4室2厅 | 123平米 | 西北 | 其他 | 有电梯', '低楼层(共11层)2013年建板楼  -  温江大学城', '170万', '单价13822元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0980cce6-3b2f-457a-8053-2416a44b3e82.png.296x216.jpg', '海科名城 电梯小高层 装修三居室 前后不临街', '海科名城  | 3室2厅 | 126.8平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2011年建板楼  -  温江大学城', '148万', '单价11672元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6c834343-07bc-4148-a41f-0327eebba30e.png.296x216.jpg', '春天大道套四可改套五 通透户型 前后看河景 有车位', '春天大道  | 4室2厅 | 169平米 | 东北 | 其他 | 有电梯', '低楼层(共25层)2009年建板塔结合  -  光华大道沿线', '295万', '单价17456元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9321e5cd-4e50-4cd7-9ac8-23cef9492da0.png.296x216.jpg', '温江二中园丁小区B区   中间楼层   看房方便  空置', '温江二中园丁小区B区  | 4室3厅 | 161.75平米 | 东南 | 其他', '中楼层(共7层)板楼  -  温江大学城', '115万', '单价7110元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2ed978cf-5c96-4bd8-b535-fdf4991e8830.png.296x216.jpg', '学府尚郡装修套四 满两年 前后对中庭 无抵押', '西财学府尚郡  | 4室2厅 | 139.44平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2013年建板楼  -  温江大学城', '162万', '单价11618元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cf0b3ded-f4a7-4f0e-b8e3-9498a501dd92.png.296x216.jpg', '金强大学城套一户型，带阳台，可改套二', '金强大学城  | 1室1厅 | 52.8平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2009年建板塔结合  -  温江大学城', '53万', '单价10038元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d88dcfc2-9e94-4836-bc29-440300f65101.png.296x216.jpg', '房屋居家装修，户型方正通透，小区安静不临街', '柳城华厦  | 2室2厅 | 90.09平米 | 东南 | 其他', '中楼层(共7层)板楼  -  温江老城', '80万', '单价8881元/平米')
('https://image1.ljcdn.com/510100-inspection/test-209d9043-328e-4830-80b1-7cbd67f89215.png.296x216.jpg', '花样年花样城中装三居室，满两年', '花样年花样城  | 3室2厅 | 84平米 | 南 北 | 其他', '低楼层(共33层)2015年建板楼  -  温江大学城', '85万', '单价10120元/平米')
('https://image1.ljcdn.com/510100-inspection/test-da117ecb-1ac0-47f7-9f53-984b7785d5a2.png.296x216.jpg', '套四双卫两厅  精装修 客厅带阳台', '西财学府尚郡  | 4室2厅 | 123.7平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2013年建板楼  -  温江大学城', '135万', '单价10914元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ec9aecc8-5fb8-4670-9b15-5c0eeb14d43e.png.296x216.jpg', '朝阳时代西锦清水套二 看江安河', '朝阳时代西锦  | 2室2厅 | 87.28平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2014年建板楼  -  花都大道', '106万', '单价12145元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload9605fe3d-e6dc-406e-a0a0-57a1a66bac88.jpg.296x216.jpg', '满两年 ，朝南，清水两居室，卧室带拉通阳台。', '春天大道  | 2室1厅 | 91.55平米 | 南 | 毛坯 | 有电梯', '低楼层(共24层)2009年建板塔结合  -  光华大道沿线', '130万', '单价14200元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0596fba0-9bd7-479d-be42-bf6345818d2b.png.296x216.jpg', '漫城 简单装修套三 带部分家具出售', '漫城  | 3室2厅 | 95平米 | 东南 | 简装 | 有电梯', '低楼层(共11层)2009年建塔楼  -  温江老城', '106万', '单价11158元/平米')
('https://image1.ljcdn.com/510100-inspection/974f7d78-0e7d-4ba3-94c2-3ca391d63af2.jpg.296x216.jpg', '此房满两年，出行方便，户型方正，居住方便舒适。', '金河谷一期  | 3室2厅 | 128.94平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2009年建板塔结合  -  光华大道沿线', '300万', '单价23267元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3b4ef57a-4ee7-43e5-905e-f28bd87101a8.png.296x216.jpg', '花溪谷精致套三带书房，居家装修，适合居家', '泰基花溪谷  | 3室2厅 | 126.76平米 | 西南 | 精装 | 有电梯', '高楼层(共30层)2009年建板塔结合  -  温江新城', '160万', '单价12623元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d656967c-479a-4b07-aef6-1c9900bc3907.png.296x216.jpg', '边城香格里小区，套三双卫，小区环境干净整洁！', '边城香格里  | 3室2厅 | 91.03平米 | 北 | 精装 | 有电梯', '中楼层(共24层)2011年建板塔结合  -  光华大道沿线', '128万', '单价14062元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b6f74b87-7fa5-4900-bf93-f224dd922862.png.296x216.jpg', '电梯顶跃，小区环境好，视野采光好，满两年！', '锦绣森邻  | 5室2厅 | 193平米 | 西南 | 其他 | 有电梯', '高楼层(共11层)2008年建板塔结合  -  光华大道沿线', '320万', '单价16581元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ffbb2cc1-3696-4bc8-a6d1-93e219666fee.png.296x216.jpg', '低楼层，套三精装房，环境舒适出行方便，居住方便舒适', '鹭湖宫七号B组  | 3室2厅 | 118.15平米 | 东南 | 其他', '低楼层(共30层)2014年建板塔结合  -  国色天乡', '150万', '单价12696元/平米')
('https://image1.ljcdn.com/510100-inspection/c03c811d-ad36-42c3-a3cc-7c7ecc2cb1dc.jpg.296x216.jpg', '七彩花都 装修套二改套三 带顶楼花园', '七彩花都A区  | 3室2厅 | 98.91平米 | 西南 | 精装 | 无电梯', '高楼层(共5层)2008年建板楼  -  花都大道', '150万', '单价15166元/平米')
('https://image1.ljcdn.com/510100-inspection/test-316da6a4-4e3a-45d7-9598-b566eaf3f5c2.png.296x216.jpg', '怡和茗居  简单套三   采光好', '怡和茗居  | 3室2厅 | 109.94平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2005年建板塔结合  -  温江大学城', '90万', '单价8187元/平米')
('https://image1.ljcdn.com/510100-inspection/94dfa1ca-126b-439e-ae15-8fda9c7403a8.jpg.296x216.jpg', '丽晶港三期，简装出租房，套三双卫带书房，中间楼层', '佳兆业丽晶港  | 4室2厅 | 124.67平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  珠江新城', '195万', '单价15642元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d07efc6c-b784-42d1-9746-ff073ccd016c.png.296x216.jpg', '和信孔雀城 清水套二   带120平花园', '和信孔雀天成  | 2室2厅 | 79.32平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  温江新城', '132万', '单价16642元/平米')
('https://image1.ljcdn.com/510100-inspection/dd64d514-8fd0-452b-988d-90f17b9d21a3.jpg.296x216.jpg', '海科名城装修套三双卫，可以直接拎包入住。', '海科名城  | 3室2厅 | 126.8平米 | 东南 | 简装 | 有电梯', '中楼层(共11层)2011年建板楼  -  温江大学城', '140万', '单价11042元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadf75c3baf-55b6-4170-b819-befcbb6240c0.jpg.296x216.jpg', '此套四双卫 装修房 户型方正，采光充足公摊小.', '生态苑  | 4室3厅 | 195.4平米 | 西南 | 其他', '中楼层(共6层)板楼  -  温江老城', '150万', '单价7677元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f67373d2-3d98-4ff9-ba00-895cae453fce.png.296x216.jpg', '纯中庭 带车位 满两年 带大阳台', '西花汀  | 3室2厅 | 153平米 | 东北 | 毛坯 | 有电梯', '低楼层(共11层)2008年建板楼  -  珠江新城', '221万', '单价14445元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3d359905-15f5-435d-9d1b-b683a78cb422.png.296x216.jpg', '边城香格里步梯洋房顶楼挑高户型', '边城香格里  | 2室2厅 | 81.11平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共6层)2011年建板塔结合  -  光华大道沿线', '129万', '单价15905元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a7533017-fba2-4ff9-8c3d-b8ca667aa5f4.png.296x216.jpg', '佳兆业丽晶港精装套三    采光好', '佳兆业丽晶港  | 3室2厅 | 85.43平米 | 东南 | 其他 | 有电梯', '低楼层(共40层)2012年建板楼  -  珠江新城', '147万', '单价17208元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2440578a-d14c-41c4-92f8-c7d875c93490.png.296x216.jpg', '合能珍宝琥珀 电梯中层清水套三', '合能珍宝琥珀  | 3室2厅 | 85.86平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共34层)2014年建板塔结合  -  光华大道沿线', '110万', '单价12812元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e87d1c0b-0a09-478f-bbd8-07e2f332661f.png.296x216.jpg', '精装套三 通透户型 客厅带阳台 带家具家电 有地暖。', '春天大道  | 3室2厅 | 132.2平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2009年建板塔结合  -  光华大道沿线', '268万', '单价20273元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84c3a4b7-f4b3-4bd8-a4da-ef1b7cad7779.png.296x216.jpg', '中铁丽景书香  自住装修套三双卫', '中铁丽景书香  | 3室2厅 | 88.05平米 | 东 | 其他 | 有电梯', '中楼层(共33层)2016年建塔楼  -  温江大学城', '115万', '单价13061元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d3c3670c-970e-40f9-848f-b28ed34b125f.png.296x216.jpg', '和信孔雀城 清水套二  带花园120平花园', '和信孔雀天成  | 2室2厅 | 88.96平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  温江新城', '132万', '单价14839元/平米')
('https://image1.ljcdn.com/510100-inspection/test-76f1b910-6044-476a-a0aa-7756af535f32.png.296x216.jpg', '边城香格里电梯高层装修套二单卫', '边城香格里  | 2室2厅 | 96平米 | 东 | 其他 | 有电梯', '高楼层(共24层)2011年建板塔结合  -  光华大道沿线', '130万', '单价13542元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload2012c910-b30a-48d0-b516-53b98ea6ee40.jpg.296x216.jpg', '边城香格里小区，步梯洋房，带入户平台。', '边城香格里  | 3室3厅 | 176.96平米 | 北 | 精装 | 有电梯', '低楼层(共6层)2011年建板楼  -  光华大道沿线', '410万', '单价23170元/平米')
('https://image1.ljcdn.com/510100-inspection/test-942edd38-eeb3-497c-b142-3528c2c7b127.png.296x216.jpg', '锦绣森邻清水步梯洋房一梯两户。', '锦绣森邻  | 3室2厅 | 133平米 | 西南 | 毛坯 | 无电梯', '中楼层(共5层)2008年建板塔结合  -  光华大道沿线', '200万', '单价15038元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b4ef449f-aacf-4107-aa15-27a526991095.png.296x216.jpg', '光华国际 装修套二  户型方正 高楼层 采光好 视野开阔', '光华国际  | 2室2厅 | 91.43平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2013年建板塔结合  -  温江新城', '125万', '单价13672元/平米')
('https://image1.ljcdn.com/510100-inspection/test-95240baf-6783-408a-a0ea-f43f9268b02d.png.296x216.jpg', '明信仕林府  清水房   中间楼层', '明信仕林府  | 2室1厅 | 81.67平米 | 东南 | 其他', '中楼层(共33层)2016年建塔楼  -  温江大学城', '102万', '单价12490元/平米')
('https://image1.ljcdn.com/510100-inspection/test-50ac6954-7439-4cb1-a1f1-7d042c78809b.png.296x216.jpg', '德坤海地亚  清水套二  户型方正', '德坤海地亚  | 2室2厅 | 78.33平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)暂无数据  -  国色天乡', '82万', '单价10469元/平米')
('https://image1.ljcdn.com/510100-inspection/1dc9a507-0f75-4124-bb7e-c25130acfbc9.jpg.296x216.jpg', '芙蓉田园小区 2室2厅 带产权车位', '芙蓉田园  | 2室2厅 | 85.54平米 | 东 | 其他 | 有电梯', '低楼层(共24层)板塔结合  -  芙蓉古城', '90万', '单价10522元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b97891dd-6005-4287-b721-0393db9eb097.png.296x216.jpg', '置信柳城谊苑  套三清水 视野开阔  采光充足', '置信柳城谊苑  | 3室2厅 | 144.98平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  温江老城', '130万', '单价8967元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a64caf14-fe86-484e-890e-1a9d4911667a.png.296x216.jpg', '涤纶厂家属院   一楼装修   套三', '涤纶厂家属院  | 3室2厅 | 140.21平米 | 南 | 其他', '低楼层(共6层)板楼  -  温江老城', '120万', '单价8559元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadfaafc025-f12b-46be-a51e-cb4568e3ccf2.jpg.296x216.jpg', '森宇音乐花园户型方正套四三卫环境好', '森宇音乐花园  | 4室2厅 | 206.1平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  花都大道', '270万', '单价13101元/平米')
('https://image1.ljcdn.com/510100-inspection/test-91eeca62-23d4-42bd-be01-91ace88a3f4d.png.296x216.jpg', '七彩花都B二期大套三清水双卫房', '七彩花都B区二期  | 3室2厅 | 113平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2006年建板楼  -  花都大道', '121万', '单价10708元/平米')
('https://image1.ljcdn.com/510100-inspection/test-45034308-0533-4473-9d1a-b47279c2e8d4.png.296x216.jpg', '依云镇 套三双卫 中装修 视野开阔', '依云  | 3室2厅 | 128.63平米 | 东北 | 其他 | 有电梯', '低楼层(共28层)2007年建板楼  -  温江新城', '140万', '单价10884元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5cf5be57-1896-4aaf-9c7f-1f9d0c2dff71.png.296x216.jpg', '千禧A区电梯新房全新装修小套三中高楼层', '千禧河畔A区  | 3室2厅 | 81平米 | 东南 | 其他', '高楼层(共33层)塔楼  -  花都大道', '116万', '单价14321元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9f8b0aea-e68e-424a-9fbb-3fa76bbfd209.png.296x216.jpg', '户型方正，客厅带阳台，采光充足。', '花样年花样城五期  | 3室2厅 | 84.65平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2015年建塔楼  -  温江大学城', '78万', '单价9215元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0c184f24-46a7-4771-8269-53e0cc17b46f.png.296x216.jpg', '温江 光华大道 江安河畔 棕榈长滩装修大平层 套三三卫', '棕榈长滩  | 3室2厅 | 175.94平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2013年建板塔结合  -  光华大道沿线', '320万', '单价18189元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cc76ee72-b5c9-49d8-be21-07ade2b01331.png.296x216.jpg', '花样年花样城装修套一带阳台飘窗', '花样年花样城  | 1室1厅 | 42.42平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2015年建塔楼  -  温江大学城', '45.5万', '单价10727元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c924293-9430-4b1d-b27a-7fbb53c74e26.png.296x216.jpg', '鹭湖宫精装套二视野极好正看鹭湖', '鹭湖宫七号B组  | 3室2厅 | 88平米 | 东南 | 其他', '高楼层(共30层)2014年建板塔结合  -  国色天乡', '115万', '单价13069元/平米')
('https://image1.ljcdn.com/510100-inspection/test-337d7206-81e4-49e1-889e-9eaa0e11a9da.png.296x216.jpg', '丽晶港装修套二，满两年，带家具家电出售。', '佳兆业丽晶港  | 2室1厅 | 71.65平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  珠江新城', '120万', '单价16749元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5f4a9d1a-6be4-4fd9-973c-7105881d57c3.png.296x216.jpg', '珠江御景湾装修套四，未满两年，看房方便', '珠江御景湾  | 4室2厅 | 140平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2015年建板楼  -  珠江新城', '210万', '单价15000元/平米')
