('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('https://image1.ljcdn.com/350200-inspection/ba49250d-c8a7-4250-b307-a1d86a3f0105.JPG.296x216.jpg', '旭日海湾一期3房380万，家具齐全，看房方便', '旭日海湾一期  | 3室2厅 | 110.8平米 | 东南 | 精装 | 无电梯', '低楼层(共7层)2004年建塔楼  -  滨海社区', '345万', '单价31138元/平米')
('https://image1.ljcdn.com/350200-inspection/934d406f-61c0-4677-9aef-eb46d59a43bf.JPG.296x216.jpg', '可翻建的独栋别墅 使用面积大 全套实木家具 价格可谈', '东方高尔夫别墅   | 独栋别墅 | 11室5厅 | 237.42平米 | 南 北 | 精装 | 无电梯', '3层2011年建暂无数据  -  马銮湾', '2800万', '单价117935元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload2c3d2bba-06ab-4f94-9ee5-9f419eb00f85.JPG.296x216.jpg', '海晟维多利亚 4室2厅 725万', '海晟维多利亚  | 4室2厅 | 139.37平米 | 南 | 毛坯 | 有电梯', '低楼层(共33层)2010年建塔楼  -  滨海社区', '725万', '单价52020元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload5cb7e3e6-4f52-4d0f-a3f2-d22751d8b104.JPG.296x216.jpg', '万科城小高层，精装三房 ，业主诚意出售 ，户型端方正', '万科城二期  | 3室2厅 | 83.88平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2016年建板楼  -  马銮湾', '280万', '单价33382元/平米')
('https://image1.ljcdn.com/350200-inspection/19389453-fa89-4d60-a910-ca569341c755.JPG.296x216.jpg', '金龙商城一期 2室2厅 215万', '金龙商城一期  | 2室2厅 | 82.24平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  海沧生活区', '215万', '单价26143元/平米')
('https://image1.ljcdn.com/350200-inspection/691a571e-6ada-4d0e-9d33-7660a1adde01.jpg.296x216.jpg', 'SEC泰地海西中心 1室1厅 154.9万', 'SEC泰地海西中心  | 1室1厅 | 55.95平米 | 东 | 精装 | 有电梯', '中楼层(共31层)2014年建塔楼  -  海沧区政府', '154.9万', '单价27686元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload183fffd2-0f08-4f41-aeab-70a9127ef9bb.jpg.296x216.jpg', '产权满二 南北通透 中层采光好 随时看房 欢迎您的来电', '禹洲尊海  | 4室2厅 | 108.34平米 | 南 北 | 简装 | 有电梯', '中楼层(共33层)2013年建塔楼  -  海沧体育中心', '470万', '单价43382元/平米')
('https://image1.ljcdn.com/350200-inspection/9c792780-a5a0-4cca-a170-f8aa35071a97.jpg.296x216.jpg', '未来橙堡 3室2厅 420万', '未来橙堡  | 3室2厅 | 133.39平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2005年建板楼  -  海沧体育中心', '420万', '单价31487元/平米')
('https://image1.ljcdn.com/350200-inspection/f45bf5c4-e4cc-4c24-8b37-50842de9ffd7.JPG.296x216.jpg', '小区仅此一套在售楼中楼，赠送超级大，可加层', '绿苑新城三组团  | 7室1厅 | 228.87平米 | 南 | 毛坯 | 有电梯', '高楼层(共26层)2013年建塔楼  -  滨海社区', '1090万', '单价47626元/平米')
('https://image1.ljcdn.com/350200-inspection/4b0fe38e-d5db-4e99-8a6c-4cf3e4737c1e.JPG.296x216.jpg', '蓝月湾一期 东南朝向 采光好 精装修 业主诚意出售', '未来海岸蓝月湾一期  | 3室2厅 | 113.47平米 | 东南 | 简装 | 有电梯', '低楼层(共31层)2007年建板楼  -  未来海岸北师大', '380万', '单价33490元/平米')
('https://image1.ljcdn.com/350200-inspection/c2e67b8d-9ac7-4778-8448-a5c92d9aa38d.jpg.296x216.jpg', '北师大校区未来城堡电梯两房，客厅朝南满二年看房方便', '未来橙堡  | 2室2厅 | 92.19平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2005年建板楼  -  海沧体育中心', '298万', '单价32325元/平米')
('https://image1.ljcdn.com/350200-inspection/51e42b36-8daa-4a7b-bd3f-864060e0c2c6.jpg.296x216.jpg', '加州海岸中层正规3房，看湖海双景，产权满二年', '加州海岸  | 3室2厅 | 132.53平米 | 南 北 | 简装 | 有电梯', '中楼层(共24层)2007年建板楼  -  海沧生活区', '480万', '单价36219元/平米')
('https://image1.ljcdn.com/350200-inspection/def1c127-389a-43e0-a4cc-9880eccbefa9.jpg.296x216.jpg', '南北通透  单身公寓 小巧而又温馨的家', '未来橙堡  | 1室0厅 | 38.13平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2005年建塔楼  -  海沧体育中心', '110万', '单价28849元/平米')
('https://image1.ljcdn.com/350200-inspection/a1475352-554a-412c-8e41-44e58f75028e.jpg.296x216.jpg', '绿苑海景湖海双景，高楼层，南北通透户型', '绿苑海景  | 3室2厅 | 139.03平米 | 西南 | 精装 | 有电梯', '高楼层(共28层)2007年建塔楼  -  滨海社区', '530万', '单价38122元/平米')
('https://image1.ljcdn.com/350200-inspection/53da6e17-4fe5-44af-8e4f-1aff2f1f49fa.jpg.296x216.jpg', '新华园 3室2厅 262万', '新华园  | 3室2厅 | 96.81平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)2003年建板楼  -  海沧生活区', '262万', '单价27064元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploada0c9f5ad-6554-4511-8826-e3986f278052.JPG.296x216.jpg', '泰地海西环境清新优雅，漂亮海景尽收眼底业主诚意出售', 'SEC泰地海西中心  | 5室2厅 | 241.91平米 | 南 北 | 精装 | 有电梯', '中楼层(共36层)2014年建板楼  -  海沧区政府', '600万', '单价24803元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload89951275-16b0-43b6-a4fe-7fe2aac13e85.jpg.296x216.jpg', '房产站旁 永信花园 通透三房双阳台 中庭安静 采光好', '永信花园  | 3室2厅 | 128.66平米 | 东南 | 精装 | 无电梯', '中楼层(共6层)2003年建板楼  -  海沧生活区', '335万', '单价26038元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload215ad4a1-d12d-45b9-80c5-bdbb973491b3.JPG.296x216.jpg', '东方高尔夫国际公寓 3室2厅 288万', '东方高尔夫国际公寓  | 3室2厅 | 96.35平米 | 南 | 精装 | 有电梯', '低楼层(共9层)2009年建板楼  -  马銮湾', '288万', '单价29892元/平米')
('https://image1.ljcdn.com/350200-inspection/67d66bf1-7789-4ea1-8427-1dc3790c5c3a.jpg.296x216.jpg', '海沧生活区沧林路海富路天籁电梯房', '天籁  | 3室2厅 | 132平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2008年建板楼  -  海沧生活区', '390万', '单价29546元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload52b01a7d-abd1-41ee-a80d-cf34cd3329db.JPG.296x216.jpg', '万科城一期 3室1厅 350万', '万科城一期  | 3室1厅 | 111平米 | 西南 | 精装 | 有电梯', '中楼层(共42层)2015年建板楼  -  马銮湾', '350万', '单价31532元/平米')
('https://image1.ljcdn.com/350200-inspection/0006231f-b3b5-4a68-8da8-a9ff10f93aac.jpg.296x216.jpg', '中骏海岸1号 3室2厅 588万', '中骏海岸1号  | 3室2厅 | 146.73平米 | 东南 | 精装 | 有电梯', '低楼层(共35层)2009年建塔楼  -  滨海社区', '588万', '单价40074元/平米')
('https://image1.ljcdn.com/350200-inspection/ef17cc31-7431-4e52-abb0-81b2d5bb73e4.jpg.296x216.jpg', '尊海正规三房 全明格局采光好 楼层好', '禹洲尊海  | 3室2厅 | 114.11平米 | 东南 | 其他 | 有电梯', '低楼层(共39层)2013年建塔楼  -  海沧体育中心', '480万', '单价42065元/平米')
('https://image1.ljcdn.com/350200-inspection/323caf8c-1147-4a06-82a4-363248618077.JPG.296x216.jpg', '祥庆花园 业主自住装修小3房 采光充足', '祥庆花园  | 3室2厅 | 85.03平米 | 西 | 简装 | 无电梯', '中楼层(共7层)2005年建板楼  -  海沧生活区', '256万', '单价30108元/平米')
('https://image1.ljcdn.com/350200-inspection/cada42e4-cf19-42ad-8e83-95331a67e38f.jpg.296x216.jpg', '浪琴湾高层电梯楼中楼 满五年 居家精装修 南北户型', '未来海岸浪琴湾  | 4室2厅 | 207平米 | 东 南 北 | 精装 | 有电梯', '高楼层(共10层)2006年建板楼  -  未来海岸北师大', '715万', '单价34542元/平米')
('https://image1.ljcdn.com/350200-inspection/1cc0156d-40e6-4f3c-9739-9c5000222f63.jpg.296x216.jpg', '天心岛精装两房 南北通透 海沧湾公园 生活便利 满两年', '天心岛  | 2室2厅 | 89.18平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  滨海社区', '360万', '单价40368元/平米')
('https://image1.ljcdn.com/350200-inspection/53f4ae61-fd5a-4d62-bc84-0c8b090194ed.jpg.296x216.jpg', '蓝水郡优质一房一厅，高楼层，看房方便，', '未来海岸蓝水郡  | 1室1厅 | 52.74平米 | 北 | 简装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  海沧体育中心', '172万', '单价32613元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadd25fd498-bd1c-4ad3-9181-80c7cd449b06.JPG.296x216.jpg', '万科城三期小三房，东南朝向，中高楼层', '万科城三期  | 3室2厅 | 89平米 | 东南 | 精装 | 有电梯', '中楼层(共42层)2016年建板楼  -  马銮湾', '290万', '单价32585元/平米')
('https://image1.ljcdn.com/350200-inspection/15c7579d-075b-415f-97df-61cebf8f9080.JPG.296x216.jpg', '旭日海湾高层三房，公摊小，使用大，看房随时约', '旭日海湾二期  | 3室2厅 | 81.18平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2002年建板楼  -  滨海社区', '250万', '单价30796元/平米')
('https://image1.ljcdn.com/350200-inspection/b5bc6091-ca67-42c9-a1c7-c318225573d7.JPG.296x216.jpg', '鑫茂花园  拎包入住 交通便利  满五年唯一税费低', '鑫茂花园  | 3室2厅 | 102平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  海沧生活区', '290万', '单价28432元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload3cd165d9-04e6-4674-a642-41ab7a0eacd0.JPG.296x216.jpg', '中骏海岸1号 4室2厅 830万', '中骏海岸1号  | 4室2厅 | 171.69平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2009年建塔楼  -  滨海社区', '830万', '单价48343元/平米')
('https://image1.ljcdn.com/350200-inspection/ce28faa6-432d-4496-bbcb-504ba8a73e4e.jpg.296x216.jpg', '水岸名筑 自住精装3房 朝南户型 交通便利', '水岸名筑  | 3室2厅 | 96.7平米 | 南 | 简装 | 有电梯', '低楼层(共16层)2008年建板塔结合  -  海沧体育中心', '285万', '单价29473元/平米')
('https://image1.ljcdn.com/350200-inspection/6f1c8ffb-8811-4856-a429-363af0bd434d.jpg.296x216.jpg', '绿苑商城 2室1厅 278万', '绿苑商城  | 2室1厅 | 73.68平米 | 西 | 其他 | 有电梯', '中楼层(共30层)2009年建板楼  -  滨海社区', '278万', '单价37731元/平米')
('https://image1.ljcdn.com/350200-inspection/945c2448-f7a0-4dc7-9246-041478119e2e.jpg.296x216.jpg', '旭日海湾二期 3室2厅 330万', '旭日海湾二期  | 3室2厅 | 114.2平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  滨海社区', '330万', '单价28897元/平米')
('https://image1.ljcdn.com/350200-inspection/8b4f6a19-3496-450b-8ab6-04346f4c4192.JPG.296x216.jpg', '万科城二期 3室1厅 380万', '万科城二期  | 3室1厅 | 112平米 | 东南 | 精装 | 有电梯', '中楼层(共42层)2016年建板楼  -  马銮湾', '380万', '单价33929元/平米')
('https://image1.ljcdn.com/350200-inspection/040a0d9a-4bbf-4464-bcb7-5bdec29e515b.jpg.296x216.jpg', '金海岸 自住精装 正规大4房 诚意出售 免增值税', '禹洲华侨金海岸  | 4室2厅 | 121.63平米 | 南 北 | 精装 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  海沧体育中心', '500万', '单价41109元/平米')
('https://image1.ljcdn.com/350200-inspection/4af1c3f5-b93a-409d-ac2c-8ed8f89ceff0.jpg.296x216.jpg', '鹭景湾 联排 边套别墅 通透  自住精装  带80平大花园', '未来海岸鹭景湾   | 联排别墅 | 5室2厅 | 196.6平米 | 南 北 | 精装 | 无电梯', '1层2004年建暂无数据  -  未来海岸北师大', '1070万', '单价54426元/平米')
('https://image1.ljcdn.com/350200-inspection/99d2faa1-728a-4443-b174-c9d59e319757.JPG.296x216.jpg', '滨海社区 彼岸小区 南北通透精装三房 带300平大露台', '彼岸  | 3室2厅 | 139.27平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  滨海社区', '600万', '单价43082元/平米')
('https://image1.ljcdn.com/350200-inspection/b5478e6c-85a9-4cb0-816c-5edbe0c0071b.jpg.296x216.jpg', '北师大 自住精装两房 双阳台 通透户型 满五年唯一', '宏大花园  | 2室2厅 | 82.38平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2004年建板楼  -  未来海岸北师大', '235万', '单价28527元/平米')
('https://image1.ljcdn.com/350200-inspection/b18113cf-33ea-4bc0-b216-f51a7d946f9c.JPG.296x216.jpg', '未来海岸蓝水郡 3室2厅 410万', '未来海岸蓝水郡  | 3室2厅 | 113.07平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2005年建塔楼  -  海沧体育中心', '410万', '单价36261元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload211ae131-c3ef-4b73-8342-0e678e105f8a.JPG.296x216.jpg', '旭日海湾三期 2室2厅 295万', '旭日海湾三期  | 2室2厅 | 93.61平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2004年建板楼  -  滨海社区', '295万', '单价31514元/平米')
('https://image1.ljcdn.com/350200-inspection/28e80c8e-6ca3-4aff-b9b4-0ea23f429feb.jpg.296x216.jpg', '未来橙堡精装朝南的单身公寓适合入户的客户', '未来橙堡  | 1室0厅 | 34.14平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2005年建板楼  -  海沧体育中心', '118万', '单价34564元/平米')
('https://image1.ljcdn.com/350200-inspection/da5a649a-efd3-4884-a5e6-cfe4ddd9b3fb.JPG.296x216.jpg', '海晟维多利亚高层 4房 诚意出售', '海晟维多利亚  | 4室2厅 | 121平米 | 南 | 毛坯 | 有电梯', '中楼层(共32层)2010年建塔楼  -  滨海社区', '570万', '单价47108元/平米')
('https://image1.ljcdn.com/350200-inspection/5c45b6d9-b155-453a-bd93-cd859c473563.jpg.296x216.jpg', '金茗花园 3室1厅 130万', '金茗花园  | 3室1厅 | 58平米 | 东南 | 其他', '中楼层(共6层)板楼  -  新阳工业区', '130万', '单价22414元/平米')
('https://image1.ljcdn.com/350200-inspection/d3431fd6-30a2-4063-9ef8-c719d123a99c.JPG.296x216.jpg', '此房满2年，全明格局，通透户型', '海晟维多利亚  | 4室2厅 | 138.59平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2010年建塔楼  -  滨海社区', '700万', '单价50509元/平米')
('https://image1.ljcdn.com/350200-inspection/61d097b4-0bab-453d-9f5d-3354316472b5.jpg.296x216.jpg', '蓝水郡 南北通透 三房 房东诚意出售', '未来海岸蓝水郡  | 3室2厅 | 125.17平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  海沧体育中心', '400万', '单价31957元/平米')
('https://image1.ljcdn.com/350200-inspection/4ea00b8f-f9f4-4ada-bf1c-cbd5b88155c7.jpg.296x216.jpg', '水云湾 带入户户型 有产权 业主诚意出售', '未来海湾水云湾  | 3室2厅 | 113.04平米 | 东南 | 毛坯 | 有电梯', '低楼层(共31层)2014年建塔楼  -  未来海岸北师大', '300万', '单价26540元/平米')
('https://image1.ljcdn.com/350200-inspection/f3af7ca1-6ae1-490a-b32b-f66b24e12ba0.jpg.296x216.jpg', '新上南北通透 高层空中别墅 170万装修 湖海双景', '天湖城天湖  | 6室3厅 | 202.57平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2012年建板楼  -  海沧区政府', '1280万', '单价63189元/平米')
('https://image1.ljcdn.com/350200-inspection/a239ee34-c9ab-4129-a69f-f0610e184a09.JPG.296x216.jpg', '万科城二期 3室2厅 260万', '万科城二期  | 3室2厅 | 83.88平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2016年建板楼  -  马銮湾', '260万', '单价30997元/平米')
('https://image1.ljcdn.com/350200-inspection/55507025-b81d-4b4e-9289-9d328831cb74.JPG.296x216.jpg', '天御小区 3室2厅 450万', '天御小区  | 3室2厅 | 130.27平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2007年建板楼  -  海沧区政府', '450万', '单价34544元/平米')
('https://image1.ljcdn.com/350200-inspection/58955367-c89a-4071-95fa-2d7c5d5cddb2.JPG.296x216.jpg', '万科城二期 2室2厅 235万', '万科城二期  | 2室2厅 | 80.68平米 | 东南 | 精装 | 有电梯', '中楼层(共35层)2016年建板楼  -  马銮湾', '235万', '单价29128元/平米')
('https://image1.ljcdn.com/350200-inspection/e88a382f-c81b-4d01-983c-fa107c636c5b.jpg.296x216.jpg', '浪琴湾南区 精装修 中楼层 朝南采光好 配套齐全', '未来海岸浪琴湾  | 2室1厅 | 91.33平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  未来海岸北师大', '320万', '单价35038元/平米')
('https://image1.ljcdn.com/350200-inspection/b45a671e-a7bc-4c79-9ed7-54dd1ba770f4.jpg.296x216.jpg', '天湖毛坯房 3阳台 满2年 业主急售', '天湖城天湖  | 3室2厅 | 132.3平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2012年建板楼  -  海沧区政府', '436万', '单价32956元/平米')
('https://image1.ljcdn.com/350200-inspection/f37cb627-42f2-436f-80a0-b855a146bafe.JPG.296x216.jpg', '新上 优选房源 产权满二，南北通透 湖海双景', '禹洲尊海  | 4室2厅 | 115.99平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2013年建塔楼  -  海沧体育中心', '550万', '单价47418元/平米')
('https://image1.ljcdn.com/350200-inspection/2152e97d-f344-4549-863e-4ddd8bb785f8.jpg.296x216.jpg', '浪琴湾 产权满五 南北通透 全明格局', '未来海岸浪琴湾  | 3室2厅 | 124.6平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  未来海岸北师大', '450万', '单价36116元/平米')
('https://image1.ljcdn.com/350200-inspection/5cb9e6c4-8ef7-4ad7-95e4-94d36c471cda.jpg.296x216.jpg', '兴港花园三期 3室2厅 290万', '兴港花园三期  | 3室2厅 | 101.84平米 | 东南 | 精装 | 有电梯', '中楼层(共11层)2000年建塔楼  -  海沧外国语片区', '290万', '单价28477元/平米')
('https://image1.ljcdn.com/350200-inspection/5efc90ac-0512-45a6-8d5d-ed5a3cb170fe.jpg.296x216.jpg', '永辉超市 居家三房 满五唯一 业主诚售 赠送面积多', '禹洲华侨金海岸  | 3室2厅 | 107.99平米 | 东北 | 精装 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  海沧体育中心', '380万', '单价35189元/平米')
('https://image1.ljcdn.com/350200-inspection/4d2c0721-0d79-4750-b666-bed20a342858.jpg.296x216.jpg', '天籁 2室2厅 360万', '天籁  | 2室2厅 | 83.97平米 | 东南 | 简装 | 有电梯', '高楼层(共23层)2008年建板楼  -  海沧生活区', '360万', '单价42873元/平米')
('https://image1.ljcdn.com/350200-inspection/5c113b79-ded4-402c-84cf-4fe5384826cb.JPG.296x216.jpg', '天心岛3房精装通透户型  业主诚心出售', '天心岛  | 3室2厅 | 109.48平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  滨海社区', '466万', '单价42565元/平米')
('https://image1.ljcdn.com/350200-inspection/8b0116b5-11d8-4abf-847b-0888104ced92.jpg.296x216.jpg', '未来海岸浪琴湾  朝东大三房 满两年', '未来海岸浪琴湾  | 3室2厅 | 111.73平米 | 东 | 简装 | 无电梯', '中楼层(共6层)2006年建板楼  -  未来海岸北师大', '320万', '单价28641元/平米')
('https://image1.ljcdn.com/350200-inspection/fb0a2a86-3f7d-4e29-a7fd-b5eb3c375f76.jpg.296x216.jpg', '禹洲领海 精装四房 通透采光好 产权满两年 诚心出售', '禹洲领海  | 4室1厅 | 119.66平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)2011年建塔楼  -  海沧体育中心', '490万', '单价40950元/平米')
('https://image1.ljcdn.com/350200-inspection/e8d4f0e7-a8f4-474f-b18f-a4ac2aeff3a3.JPG.296x216.jpg', '天湖城天湖 3室2厅 550万', '天湖城天湖  | 3室2厅 | 127.58平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2012年建板楼  -  海沧区政府', '550万', '单价43111元/平米')
('https://image1.ljcdn.com/350200-inspection/40d85c41-1246-454e-b097-dba2d549728f.jpg.296x216.jpg', '尊海精装3房 采光好  可以阅览海景  格局方正', '禹洲尊海  | 3室1厅 | 85.68平米 | 南 | 精装 | 有电梯', '低楼层(共39层)2013年建塔楼  -  海沧体育中心', '360万', '单价42017元/平米')
('https://image1.ljcdn.com/350200-inspection/d83ee60c-03f2-4369-97f7-f2da5f6f9e6e.jpg.296x216.jpg', '融信海上城，两房带部分家电家具，随时看房。', '融信海上城  | 2室1厅 | 39.83平米 | 西 | 精装 | 有电梯', '低楼层(共26层)2015年建塔楼  -  滨海社区', '96万', '单价24103元/平米')
('https://image1.ljcdn.com/350200-inspection/67df1ba2-73dc-475d-ae1b-93045e2f6c8e.jpg.296x216.jpg', '禹洲高尔夫 3室2厅 310万', '禹洲高尔夫  | 3室2厅 | 116.67平米 | 东 | 其他 | 有电梯', '高楼层(共33层)2013年建塔楼  -  马銮湾', '310万', '单价26571元/平米')
('https://image1.ljcdn.com/350200-inspection/51abb98b-3655-4da5-bff3-cfa31b94b5d3.jpg.296x216.jpg', '万科城精装大三房！诚意出售！户型方正！出行方便！', '万科城一期  | 3室2厅 | 111.27平米 | 西南 | 其他 | 有电梯', '中楼层(共42层)2015年建板楼  -  马銮湾', '320万', '单价28759元/平米')
('https://image1.ljcdn.com/350200-inspection/45de8f02-ec13-4796-ad9b-4540099f62f2.jpg.296x216.jpg', '绿苑海景南北通透大三房，满两年，采光好。', '绿苑海景  | 3室2厅 | 139平米 | 南 北 | 简装 | 有电梯', '中楼层(共28层)2007年建塔楼  -  滨海社区', '500万', '单价35972元/平米')
('https://image1.ljcdn.com/350200-inspection/50e77c48-cd3c-4fa4-a503-121f9f391f5a.jpg.296x216.jpg', '生活区 区政府旁 亚太广场 精装修 电梯两房', '亚太广场  | 2室1厅 | 82.8平米 | 西 | 精装', '高楼层(共16层)2007年建板楼  -  海沧生活区', '249万', '单价30073元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadec42b28b-46cb-49f7-9761-5a95383b081e.JPG.296x216.jpg', '本房源透，精装修，直接入住，业主诚意出售！看房方便', '绿苑新城一组团  | 2室2厅 | 86.4平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  滨海社区', '330万', '单价38195元/平米')
('https://image1.ljcdn.com/350200-inspection/89a0114b-ef0e-4c70-8fac-75c1876364e0.jpg.296x216.jpg', '水岸名筑 3室2厅 320万', '水岸名筑  | 3室2厅 | 98.77平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2008年建板塔结合  -  海沧体育中心', '320万', '单价32399元/平米')
('https://image1.ljcdn.com/350200-inspection/848f863a-73cb-4ec1-b958-9845d75ec856.JPG.296x216.jpg', '过云溪一组团美式精装修2房，看房方便！', '过云溪一组团  | 2室2厅 | 91.06平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2015年建板楼  -  东孚', '225万', '单价24709元/平米')
('https://image1.ljcdn.com/350200-inspection/23d10383-feb9-4333-b20a-0bcfca903008.jpg.296x216.jpg', '海沧融信海上城精装复式楼使用面积80平总价110万。', '融信海上城  | 2室2厅 | 44.12平米 | 北 | 精装 | 有电梯', '高楼层(共26层)2015年建塔楼  -  滨海社区', '110万', '单价24933元/平米')
('https://image1.ljcdn.com/350200-inspection/a26d0461-d75d-4a44-9880-815a5049d3c5.jpg.296x216.jpg', '体育广场旁水岸名筑  采光充足 电梯高层 温馨小两居', '水岸名筑  | 2室1厅 | 46.57平米 | 西 | 精装 | 有电梯', '中楼层(共16层)2008年建板塔结合  -  海沧体育中心', '182万', '单价39081元/平米')
('https://image1.ljcdn.com/350200-inspection/e60ccbf4-bb22-4191-b4a6-d7c68d8869a0.JPG.296x216.jpg', '浪琴湾  靠中庭 满两年 正规两房  居家装修 楼层适中', '未来海岸浪琴湾  | 2室1厅 | 102.98平米 | 东 西 | 精装 | 无电梯', '中楼层(共7层)2006年建板楼  -  未来海岸北师大', '298万', '单价28938元/平米')
('https://image1.ljcdn.com/350200-inspection/36db2f73-636f-4bc4-9dcd-d8e5b16d8b4d.jpg.296x216.jpg', '禹洲领海精装5房 产权满两年了 精装修 通透户型采光好', '禹洲领海  | 5室2厅 | 123.72平米 | 南 | 精装 | 有电梯', '低楼层(共34层)2011年建塔楼  -  海沧体育中心', '480万', '单价38798元/平米')
('https://image1.ljcdn.com/350200-inspection/d0f24abb-55f0-4472-ae09-6bb6509f814a.JPG.296x216.jpg', '万科品质，业主自住装修，带部分家电家具，诚意出售。', '万科城一期  | 3室2厅 | 111.27平米 | 西南 | 精装 | 有电梯', '低楼层(共42层)2015年建板楼  -  马銮湾', '330万', '单价29658元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploade5489c0e-155f-4fe1-ab8b-88cec6d5a73f.JPG.296x216.jpg', '海上明珠家园 2室2厅 280万', '海上明珠家园  | 2室2厅 | 90.79平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2007年建塔楼  -  滨海社区', '280万', '单价30841元/平米')
('https://image1.ljcdn.com/350200-inspection/d90ac569-32c7-40d5-b48e-b0b9fb23ff96.jpg.296x216.jpg', '天成广场 3室2厅 492万', '天成广场  | 3室2厅 | 132.75平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2005年建板楼  -  海沧区政府', '492万', '单价37063元/平米')
('https://image1.ljcdn.com/350200-inspection/8a1fa839-fc28-494d-90b7-a3b41d3d6aef.jpg.296x216.jpg', '银河花园 精装大三房 沿湖一排 南北通透 可看海景', '银河花园  | 3室2厅 | 126.68平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  海沧生活区', '420万', '单价33155元/平米')
('https://image1.ljcdn.com/350200-inspection/93ac2592-2131-4c01-bd71-d8e3673a01a9.JPG.296x216.jpg', 'SEC泰地海西中心 3室2厅 380万', 'SEC泰地海西中心  | 3室2厅 | 166.87平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2014年建塔楼  -  海沧区政府', '380万', '单价22773元/平米')
('https://image1.ljcdn.com/350200-inspection/35531ec2-6c7b-45ab-bee1-2fcff0b1402f.JPG.296x216.jpg', '绿苑新城业主自住精装50万三房！', '绿苑新城三组团  | 3室2厅 | 94.19平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2013年建塔楼  -  滨海社区', '430万', '单价45653元/平米')
('https://image1.ljcdn.com/350200-inspection/823f14f0-b8d5-4d4e-a05c-377f3139c160.jpg.296x216.jpg', '天御小区 2室2厅 315万', '天御小区  | 2室2厅 | 81.83平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2007年建板楼  -  海沧区政府', '315万', '单价38495元/平米')
