('https://image1.ljcdn.com/340100-inspection/17c8b8ef-9ee7-4f83-91ec-fd663fe1edfb.jpg.296x216.jpg', '信旺华府骏苑 2室2厅 159万', '信旺华府骏苑  | 2室2厅 | 103.33平米 | 南 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '159万', '单价15388元/平米')
('https://image1.ljcdn.com/340100-inspection/cd971fb2-7f79-42d0-a21a-b9f93bc3cfeb.jpg.296x216.jpg', '稻香楼宿舍 3室1厅 135万', '稻香楼宿舍  | 3室1厅 | 80.23平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  三里庵', '135万', '单价16827元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0dbe1422-8550-442e-b9b7-765d4516e91d.jpg.296x216.jpg', '此房满了两年了，没有多余的增值税，住家舒适！', '奥林花园2期  | 3室2厅 | 101.17平米 | 南 | 简装', '低楼层(共6层)2009年建板楼  -  琥珀', '165万', '单价16310元/平米')
('https://image1.ljcdn.com/340100-inspection/b09b5a99-4dd3-4a84-9098-5ae8a8ff9374.jpg.296x216.jpg', '满五年 精装修 南北通透 交通便利 采光好 诚心出售', '新景花园  | 2室2厅 | 93.37平米 | 南 北 | 其他', '高楼层(共18层)2007年建塔楼  -  五里墩', '160万', '单价17137元/平米')
('https://image1.ljcdn.com/340100-inspection/869b663d-1384-4880-8ed3-25d9fc557d24.JPG.296x216.jpg', '安粮自由舱公寓，交通便利，配套齐全，总价低，单价低', '自由舱公寓  | 1室1厅 | 60.95平米 | 东 | 其他', '中楼层(共25层)2010年建塔楼  -  稻香村', '62万', '单价10173元/平米')
('https://image1.ljcdn.com/340100-inspection/fa6cc99d-1544-4bbc-8077-4f3ad67e9d59.jpg.296x216.jpg', '博威香山丽舍大两房 毛坯房正在装修 房东诚心出售', '博威香山丽舍  | 2室2厅 | 121.73平米 | 南 北 | 其他', '中楼层(共23层)2011年建塔楼  -  新产业园', '200万', '单价16430元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadef9150e9-58c9-4d14-be0b-441190d5c672.jpg.296x216.jpg', '岳西新村 户型好 位置安静适合老人居住  楼层好采光好', '岳西新村  | 2室1厅 | 58平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  西园', '95万', '单价16380元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload37c970ce-6e84-4dcb-aa7f-eab61e7f490a.jpg.296x216.jpg', '岳西东村 2居室  多层的低楼层 采光好', '岳西东村  | 2室2厅 | 77.15平米 | 南 | 简装', '低楼层(共6层)1999年建板楼  -  西园', '117万', '单价15166元/平米')
('https://image1.ljcdn.com/340100-inspection/13ed674e-558a-46ec-98c7-e2ee7eb75e10.jpg.296x216.jpg', '精装修，电梯洋房， 带露台，阳光房，中间楼层', '中央美域花园B区  | 4室2厅 | 128平米 | 南 | 其他', '中楼层(共6层)2012年建板楼  -  五里墩', '322万', '单价25157元/平米')
('https://image1.ljcdn.com/340100-inspection/4b9e639b-2acb-4553-b564-64257966d52c.jpg.296x216.jpg', '新华学府星座 1室0厅 68万', '新华学府星座  | 1室0厅 | 41.25平米 | 东 | 其他', '高楼层(共33层)2008年建塔楼  -  南七', '68万', '单价16485元/平米')
('https://image1.ljcdn.com/340100-inspection/f54fa469-2a42-463b-8c6a-273b54d4ea84.jpg.296x216.jpg', '化机小区 2室1厅 85万', '化机小区  | 2室1厅 | 62平米 | 南 | 其他', '高楼层(共7层)板楼  -  南七', '85万', '单价13710元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadee1ce33b-ea93-4579-ad40-f15e0783d4ee.JPG.296x216.jpg', '安高，满两年，楼层好采光好 50中，挑高，市政供暖', '安高城市天地  | 2室2厅 | 62平米 | 南 | 其他', '高楼层(共14层)2009年建板塔结合  -  稻香村', '150万', '单价24194元/平米')
('https://image1.ljcdn.com/340100-inspection/82d2174b-0b34-4b02-9fd1-b8c717d362a4.jpg.296x216.jpg', '合作化南路21号 2室1厅 85万', '合作化南路21号  | 2室1厅 | 53.83平米 | 南 | 其他', '中楼层(共6层)板楼  -  南七', '85万', '单价15791元/平米')
('https://image1.ljcdn.com/340100-inspection/f20a90f2-18c5-4b31-9275-d6eec25a5fca.jpg.296x216.jpg', '亲亲家园 2室1厅 90万', '亲亲家园  | 2室1厅 | 57.35平米 | 南 | 其他', '高楼层(共18层)2007年建塔楼  -  五里墩', '90万', '单价15694元/平米')
('https://image1.ljcdn.com/340100-inspection/02ca6725-b3b6-4c11-ba2a-d101ae3f7efb.jpg.296x216.jpg', '凤凰城三期电梯两室 户型方正单价低', '凤凰城家家景园三期  | 2室1厅 | 86.56平米 | 南 | 其他', '中楼层(共32层)2006年建塔楼  -  井岗镇', '128万', '单价14788元/平米')
('https://image1.ljcdn.com/340100-inspection/6962de92-2c5a-413d-b210-ff1c1b32f6ee.jpg.296x216.jpg', '为你而选为你为家 市政供暖 精装3房 东边套 业主诚售', '颐和花园庐阳佳苑  | 3室2厅 | 104.26平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  五里墩', '192万', '单价18416元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2771ed98-6bcd-4b59-8661-9828e18fbe38.JPG.296x216.jpg', '此房满两年，多层公摊少，中间楼层，正规两居总价低', '合九新村  | 2室1厅 | 60.7平米 | 南 | 其他', '中楼层(共6层)1993年建板楼  -  南七', '90万', '单价14828元/平米')
('https://image1.ljcdn.com/340100-inspection/532e7038-eedf-47f3-9ced-e234517318f2.jpg.296x216.jpg', '为你而选为你为家 华府骏苑 经典空中花园户型 配套全', '信旺华府骏苑  | 4室2厅 | 185.37平米 | 南 北 | 其他', '中楼层(共28层)2005年建塔楼  -  南七', '290万', '单价15645元/平米')
('https://image1.ljcdn.com/340100-inspection/76098817-9eb4-4414-bb0d-022e92dd33e0.jpg.296x216.jpg', '新华优阁   一居室  75万 交通便利', '新华优阁  | 1室1厅 | 35.74平米 | 南 | 精装', '中楼层(共32层)2010年建板楼  -  西园', '75万', '单价20985元/平米')
('https://image1.ljcdn.com/340100-inspection/dd568b3d-d575-477d-acde-5aa0be8ce01b.jpg.296x216.jpg', '锦江大厦 满五年，精装修，有暖气，诚售', '锦江大厦  | 3室2厅 | 146.98平米 | 南 北 | 其他', '中楼层(共32层)塔楼  -  三里庵', '265万', '单价18030元/平米')
('https://image1.ljcdn.com/340100-inspection/aa6f73fc-2be4-42dd-aec8-352581c7445b.jpg.296x216.jpg', '沃野花园 精装四房 拎包入住 配套齐全 近地铁', '沃野花园  | 4室2厅 | 118.4平米 | 南 北 | 精装', '中楼层(共29层)2012年建塔楼  -  新产业园', '205万', '单价17315元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0e54de05-3b81-4299-bedc-9bec7cee89a8.jpg.296x216.jpg', '房子精装修，家具家电齐，拎包入住，满五年。', '松芝万象城  | 2室1厅 | 62.7平米 | 南 | 其他', '中楼层(共31层)2012年建板楼  -  五里墩', '101万', '单价16109元/平米')
('https://image1.ljcdn.com/340100-inspection/495ba722-61a4-431a-9d73-e5c4798effbc.jpg.296x216.jpg', '丁怡花园 2室2厅 160万', '丁怡花园  | 2室2厅 | 127平米 | 南 | 其他', '中楼层(共24层)2008年建塔楼  -  南七', '160万', '单价12599元/平米')
('https://image1.ljcdn.com/340100-inspection/86973dc1-81cb-4dbe-8479-5f53aeb06deb.jpg.296x216.jpg', '翠竹园西村 3室2厅 152万', '翠竹园西村  | 3室2厅 | 106.9平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  琥珀', '152万', '单价14219元/平米')
('https://image1.ljcdn.com/340100-inspection/05385cce-1433-4f61-bddb-d4630bcc8741.JPG.296x216.jpg', '金色名郡 3室2厅 200万', '金色名郡  | 3室2厅 | 93.12平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  南七', '200万', '单价21478元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload06170f0d-a64a-451a-878e-73c4e9e60bfc.JPG.296x216.jpg', '红鑫新村 4室3厅 160万', '红鑫新村  | 4室3厅 | 120.37平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  南七', '160万', '单价13293元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6cecb24d-8d89-4b9d-ba8a-3f25cc831a0d.jpg.296x216.jpg', '大溪地御倾城 72平两居室 小区环境好位置好', '大溪地御倾城  | 2室1厅 | 72.42平米 | 北 | 其他', '低楼层(共32层)2014年建塔楼  -  西园', '113万', '单价15604元/平米')
('https://image1.ljcdn.com/340100-inspection/a63a49bc-a9af-47ea-b563-41f5891ed1be.jpg.296x216.jpg', '为你而选为你为家 汉嘉都市森林 简单装修 诚心卖房', '汉嘉都市森林  | 2室1厅 | 73.57平米 | 南 | 其他', '高楼层(共27层)2011年建板塔结合  -  西园', '140万', '单价19030元/平米')
('https://image1.ljcdn.com/340100-inspection/ddc7020f-79e2-41f0-96ab-b7386eabb70f.jpg.296x216.jpg', '建业领翔花园 5室2厅 250万', '建业领翔花园  | 5室2厅 | 123平米 | 南 北 | 其他', '高楼层(共26层)2012年建塔楼  -  南七', '250万', '单价20326元/平米')
('https://image1.ljcdn.com/340100-inspection/f5995914-6002-4575-8e66-f9e34f61bc31.jpg.296x216.jpg', '房子楼层挺好的，两卧朝南，中等装修。', '啤酒厂宿舍  | 2室1厅 | 58.93平米 | 南 | 其他', '低楼层(共6层)1995年建板楼  -  五里墩', '88万', '单价14933元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload7d8ab786-fe99-4bdc-8675-1dce31ce9f9d.jpg.296x216.jpg', '翠竹园A区 多层三楼 户型方正 采光无遮挡', '翠竹园A区  | 3室1厅 | 81.41平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  琥珀', '138万', '单价16952元/平米')
('https://image1.ljcdn.com/340100-inspection/36081e27-fdb9-43dd-9f14-f485858fe8cb.jpg.296x216.jpg', '龙居山庄 3室2厅 220万', '龙居山庄  | 3室2厅 | 146平米 | 南 北 | 其他', '中楼层(共18层)2010年建板楼  -  五里墩', '220万', '单价15069元/平米')
('https://image1.ljcdn.com/340100-inspection/2dc18dc6-f7d1-46ce-b877-a7c08176072c.jpg.296x216.jpg', '此房满五唯一免增值税，三室朝南，客厅朝南带阳台', '华润幸福里  | 3室2厅 | 142平米 | 南 北 | 其他', '中楼层(共5层)2013年建板塔结合  -  南七', '435万', '单价30634元/平米')
('https://image1.ljcdn.com/340100-inspection/1febce3e-f289-40a1-8952-4be12647b7ef.JPG.296x216.jpg', '为你而选为你为家  采光充足，视野开阔，单价较低', '路缘小区  | 3室2厅 | 131.49平米 | 南 | 简装', '低楼层(共11层)2000年建板楼  -  南七', '210万', '单价15971元/平米')
('https://image1.ljcdn.com/340100-inspection/114c6f95-e993-4714-840e-3208fd2fc49b.png.296x216.jpg', '龙凤嘉园二期 3室2厅 200万', '龙凤嘉园二期  | 3室2厅 | 119.67平米 | 南 北 | 其他', '高楼层(共18层)2011年建板楼  -  五里墩', '200万', '单价16713元/平米')
('https://image1.ljcdn.com/340100-inspection/de5241ba-8209-49db-811b-940fa5011e9c.jpg.296x216.jpg', '房型正气，南北通透，五十中，视野采光好，3房', '安粮城市广场  | 3室2厅 | 125.61平米 | 南 西 北 | 其他', '高楼层(共32层)2013年建塔楼  -  稻香村', '210万', '单价16719元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd3e1d2b7-320d-4066-8c5f-17609d307648.jpg.296x216.jpg', '安居苑东村 自住装修 送阁楼30多平 安居苑小五十中', '安居苑东村  | 2室2厅 | 92.68平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  西园', '190万', '单价20501元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload26bf7925-619a-4858-9b62-ec0287b9da12.jpg.296x216.jpg', '为你而选为你为家 公园道1号 精装修  拎包入住', '公园道1号  | 3室2厅 | 96.1平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  井岗镇', '149万', '单价15505元/平米')
('https://image1.ljcdn.com/340100-inspection/cc12adac-432d-411f-95b6-c33ce48403d8.jpg.296x216.jpg', '科学家园 大三房 户型方正 高素质居住人群', '科学家园  | 3室2厅 | 140.64平米 | 西南 北 | 其他', '中楼层(共12层)2011年建板楼  -  新产业园', '246万', '单价17492元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload353b6237-60cc-42f7-9218-a1e0644cf7be.jpg.296x216.jpg', '业主诚心出售，通透户型，看房方便', '龙居山庄  | 3室2厅 | 135.23平米 | 南 | 其他', '高楼层(共18层)2010年建板楼  -  五里墩', '206万', '单价15234元/平米')
('https://image1.ljcdn.com/340100-inspection/9a81217b-1268-4b5d-a8d8-d8976c345029.jpg.296x216.jpg', '长江花园 4室3厅 209万', '长江花园  | 4室3厅 | 126.62平米 | 南 | 其他', '高楼层(共6层)2002年建板楼  -  西园', '209万', '单价16507元/平米')
('https://image1.ljcdn.com/340100-inspection/6873e562-b664-4bf1-a524-8827c02f3221.jpg.296x216.jpg', '安居苑西村大三房 户型正气 南北通透 采光充足', '安居苑西村  | 3室2厅 | 143.5平米 | 南 北 | 精装', '中楼层(共6层)2000年建板楼  -  西园', '318万', '单价22161元/平米')
('https://image1.ljcdn.com/340100-inspection/de53da3a-acf9-4641-bfe3-7231ec8cf0c4.jpg.296x216.jpg', '户型方正 全天采光无遮挡 业主诚心出售', '安徽邮电职业技术学院  | 2室1厅 | 69.19平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  西园', '140万', '单价20235元/平米')
('https://image1.ljcdn.com/340100-inspection/32bd7d96-f66c-4112-95d0-db53cd25dbdc.jpg.296x216.jpg', '美乐园 3室2厅 142万', '美乐园  | 3室2厅 | 100.44平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  井岗镇', '142万', '单价14138元/平米')
('https://image1.ljcdn.com/340100-inspection/fae48eff-af00-4ee6-955b-40f82a91f6d7.jpg.296x216.jpg', '中国铁建青秀城 3室1厅 169万', '中国铁建青秀城  | 3室1厅 | 95平米 | 南 | 其他', '中楼层(共27层)板塔结合  -  五里墩', '169万', '单价17790元/平米')
('https://image1.ljcdn.com/340100-inspection/14dd8577-9627-4a85-b41b-9ad0479a6924.jpg.296x216.jpg', '大溪地六期  洋房户型 纯毛坯 满两年 采光无遮挡', '大溪地御倾城  | 4室2厅 | 152平米 | 南 北 | 毛坯', '低楼层(共14层)2014年建板楼  -  西园', '355万', '单价23356元/平米')
('https://image1.ljcdn.com/340100-inspection/2cc06ae0-f3bf-46c6-88ff-5824859eab08.jpg.296x216.jpg', '中海原山 精装修 边户四房 采光充足 东边四季花海', '中海原山  | 4室2厅 | 143.29平米 | 南 | 其他', '中楼层(共34层)2012年建塔楼  -  新产业园', '290万', '单价20239元/平米')
('https://image1.ljcdn.com/340100-inspection/4ad8f68b-9a11-4902-9d3c-33688fc688ec.jpg.296x216.jpg', '为你而选 为你为家 新西南华庭 户型正西边户采光性好', '新西南华庭  | 4室2厅 | 132.56平米 | 南 | 其他', '中楼层(共6层)1998年建板楼  -  稻香村', '206万', '单价15541元/平米')
('https://image1.ljcdn.com/340100-inspection/4958771b-7a6f-47c3-9bd5-cc94700f6578.jpg.296x216.jpg', '加侨悦山城经典一居室 户型方正 采光充足 花园小区', '加侨悦山国际  | 1室0厅 | 47平米 | 东 | 其他', '中楼层(共31层)2015年建塔楼  -  新产业园', '70万', '单价14894元/平米')
('https://image1.ljcdn.com/340100-inspection/9c2c5e17-3b7b-4388-983e-dfc7b72eada8.jpg.296x216.jpg', '海亚当代  家具家电齐全 经济实惠 拎包即可入住', '海亚当代  | 3室2厅 | 92.55平米 | 南 | 其他', '中楼层(共17层)2011年建塔楼  -  五里墩', '158万', '单价17072元/平米')
('https://image1.ljcdn.com/340100-inspection/b3a58474-69d4-462e-a3f6-160782962e07.jpg.296x216.jpg', '为你而选为你为家 凤凰城家家景园三期  南北通透', '凤凰城家家景园三期  | 3室2厅 | 131.58平米 | 南 北 | 其他', '高楼层(共15层)2006年建板楼  -  井岗镇', '198万', '单价15048元/平米')
('https://image1.ljcdn.com/340100-inspection/feb0cbbe-4f9c-4baa-90da-00cbfb34c81f.jpg.296x216.jpg', '琥珀中村 3室2厅 215万', '琥珀中村  | 3室2厅 | 107.35平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  琥珀', '215万', '单价20028元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload99b279db-da08-4ce7-b09a-2e0dfce53871.jpg.296x216.jpg', '公园道大三房   业主诚心卖   价格可聊', '公园道1号  | 3室2厅 | 116.71平米 | 南 北 | 其他', '低楼层(共25层)2011年建塔楼  -  井岗镇', '165万', '单价14138元/平米')
('https://image1.ljcdn.com/340100-inspection/10cb1919-30d8-4a55-bbfe-9c0c90662c5d.jpg.296x216.jpg', '为你而选 为你为家 岳西东村2居室 诚心出售', '岳西东村  | 2室2厅 | 68.08平米 | 南 | 精装', '高楼层(共6层)1999年建板楼  -  西园', '98万', '单价14395元/平米')
('https://image1.ljcdn.com/340100-inspection/22615c7c-50ba-4fb4-b612-674a6510f84e.JPG.296x216.jpg', '交通便利，小区安静，落地窗及大客厅', '黄山花园  | 4室2厅 | 139.58平米 | 南 | 其他', '中楼层(共11层)2009年建板楼  -  南七', '215万', '单价15404元/平米')
('https://image1.ljcdn.com/340100-inspection/a79c4a55-3d99-45f8-8fe9-bfd945fd6334.jpg.296x216.jpg', '飞虹小区 2室2厅 122万', '飞虹小区  | 2室2厅 | 78.44平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  琥珀', '122万', '单价15554元/平米')
('https://image1.ljcdn.com/340100-inspection/0f5d6200-9bac-4642-bfab-b2193f8a9f9c.jpg.296x216.jpg', '中等装修 拎包入住 价格合适 楼层适中', '岳西东村  | 2室1厅 | 63.7平米 | 南 | 其他', '高楼层(共6层)1999年建板楼  -  西园', '100万', '单价15699元/平米')
('https://image1.ljcdn.com/340100-inspection/31165a87-099e-4ae9-946d-eb7a80937ef5.jpg.296x216.jpg', '黎阳嘉苑 精装2房 户型方正采光佳', '黎阳嘉苑  | 2室1厅 | 89.8平米 | 南 | 其他', '高楼层(共18层)2008年建板楼  -  五里墩', '150万', '单价16704元/平米')
('https://image1.ljcdn.com/340100-inspection/464cbe83-e8cb-4580-a53d-d455a2ec93c6.jpg.296x216.jpg', '望潜交口 航鑫家苑 精装顶楼平层复式 超大露台', '航鑫家苑  | 3室3厅 | 81.48平米 | 东南 | 精装', '高楼层(共18层)2000年建塔楼  -  南七', '174.9万', '单价21466元/平米')
('https://image1.ljcdn.com/340100-inspection/750c0ebd-9eac-4887-b78d-ff7f542c8877.jpg.296x216.jpg', '房子满两年，价格适中，楼层适中，采光充足，帝王视野', '博威香山丽舍  | 2室2厅 | 88.6平米 | 南 北 | 其他', '低楼层(共18层)2011年建塔楼  -  新产业园', '140万', '单价15802元/平米')
('https://image1.ljcdn.com/340100-inspection/25eda5e6-cbf4-490b-83d8-373a5aaff76a.jpg.296x216.jpg', '新华学府星座 1室1厅 63万', '新华学府星座  | 1室1厅 | 39.76平米 | 北 | 其他', '中楼层(共33层)2008年建塔楼  -  南七', '63万', '单价15846元/平米')
('https://image1.ljcdn.com/340100-inspection/dc5b0c4f-0fec-41a7-b3d0-bb4ab9441eba.jpg.296x216.jpg', '加侨悦山国际 小户型 毛坯房 阳台朝西 中间楼层', '加侨悦山国际  | 1室1厅 | 47.2平米 | 西 | 其他', '低楼层(共31层)2015年建塔楼  -  新产业园', '63万', '单价13348元/平米')
('https://image1.ljcdn.com/340100-inspection/5fcd1eb7-fdf5-470b-b08e-92b73f1f2461.jpg.296x216.jpg', '植物园旁 金色池塘 两梯三户 南北通透', '金色池塘三期  | 3室2厅 | 107.65平米 | 南 北 | 精装', '高楼层(共18层)2008年建板楼  -  井岗镇', '183万', '单价17000元/平米')
('https://image1.ljcdn.com/340100-inspection/0dea3245-0c1f-4a00-8959-a4cb7ab047f7.jpg.296x216.jpg', '安居苑西村中间户 东边户 南北通透', '安居苑西村  | 3室2厅 | 110.79平米 | 南 北 | 简装', '中楼层(共6层)2000年建板楼  -  西园', '265万', '单价23920元/平米')
('https://image1.ljcdn.com/340100-inspection/c9597411-160e-4da0-9bf6-212b25dcc38d.jpg.296x216.jpg', '名君家园 3室2厅 250万', '名君家园  | 3室2厅 | 129.46平米 | 南 北 | 其他', '中楼层(共5层)2000年建板楼  -  西园', '250万', '单价19311元/平米')
('https://image1.ljcdn.com/340100-inspection/33c94b5b-ca21-45b9-a05c-3fcf9d726624.JPG.296x216.jpg', '合轻家园，经济适用三居室，坐等拆迁好房', '合轻家园  | 3室1厅 | 62.82平米 | 南 北 | 其他', '高楼层(共5层)2000年建板楼  -  南七', '95万', '单价15123元/平米')
('https://image1.ljcdn.com/340100-inspection/9209aad7-727d-4ebc-b06b-9cc80ff4e537.JPG.296x216.jpg', '印象西湖140平大三房 好楼层 三开间朝南 五十中', '印象西湖  | 3室2厅 | 142.87平米 | 南 | 其他', '中楼层(共30层)2011年建塔楼  -  稻香村', '320万', '单价22398元/平米')
('https://image1.ljcdn.com/340100-inspection/6d40b249-5761-4484-b89a-eb0bdd5cac6a.JPG.296x216.jpg', '为你而选为你为家 安高复式挑高，市政供暖，诚售', '安高城市天地  | 2室2厅 | 63.26平米 | 南 | 其他', '低楼层(共13层)2010年建塔楼  -  稻香村', '149万', '单价23554元/平米')
('https://image1.ljcdn.com/340100-inspection/8e87dcd8-b05c-4347-9567-854dd3342fd7.jpg.296x216.jpg', '光明世家 4室2厅 350万', '光明世家  | 4室2厅 | 146.21平米 | 东 南 北 | 其他', '高楼层(共23层)2010年建塔楼  -  南七', '350万', '单价23939元/平米')
('https://image1.ljcdn.com/340100-inspection/171fb3f0-592a-4d79-b432-76035890c008.jpg.296x216.jpg', '龙居山庄 4室2厅 285万', '龙居山庄  | 4室2厅 | 189.51平米 | 南 | 其他', '中楼层(共19层)2010年建板楼  -  五里墩', '285万', '单价15039元/平米')
('https://image1.ljcdn.com/340100-inspection/a8032892-b2b9-4679-886a-51edb9e31495.jpg.296x216.jpg', '管家推荐：房子精装修 满五年位置好 视野佳', '御琴湾  | 2室2厅 | 90.35平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  井岗镇', '150万', '单价16603元/平米')
('https://image1.ljcdn.com/340100-inspection/a4afea00-a2ac-4c64-928a-e4cb6b9f6477.jpg.296x216.jpg', '房屋有地暖，采光充足，房子精装修，可拎包入住', '金大地1912  | 3室2厅 | 82.88平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  南七', '180万', '单价21719元/平米')
('https://image1.ljcdn.com/340100-inspection/7bbba799-baf4-4bc8-b41b-e7fc7938af15.jpg.296x216.jpg', '加侨悦山国际 3室2厅 197万', '加侨悦山国际  | 3室2厅 | 102.08平米 | 南 北 | 其他', '中楼层(共6层)2015年建板楼  -  新产业园', '197万', '单价19299元/平米')
('https://image1.ljcdn.com/340100-inspection/61e03372-cf0f-428f-ba8c-5ad6efb32f6a.JPG.296x216.jpg', '蜀鑫雅苑满五唯一，大三居，采光好，楼层佳', '蜀鑫雅苑  | 3室2厅 | 102.96平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  南七', '195万', '单价18940元/平米')
('https://image1.ljcdn.com/340100-inspection/b915363d-d651-4531-b33b-e7187bffc2ff.jpg.296x216.jpg', '为你而选为你为家 大溪地六期 精装修 视野好 环境好', '大溪地御倾城  | 2室1厅 | 72.42平米 | 北 | 精装', '中楼层(共32层)2014年建塔楼  -  西园', '123万', '单价16985元/平米')
('https://image1.ljcdn.com/340100-inspection/315872ba-23a5-4222-8b96-b5320d0a268d.jpg.296x216.jpg', '为你而选为你为家 黎阳嘉苑 精装2房 户型方正', '黎阳嘉苑  | 2室2厅 | 91.68平米 | 南 | 其他', '中楼层(共18层)2008年建板楼  -  五里墩', '160万', '单价17453元/平米')
('https://image1.ljcdn.com/340100-inspection/618930a1-c161-4186-8ee2-29f4f91f99a8.JPG.296x216.jpg', '为你而选为你为家 九华华林家园+三居+拎包住+采光好', '九华华林家园  | 3室2厅 | 143.59平米 | 南 北 | 其他', '低楼层(共11层)2000年建塔楼  -  南七', '240万', '单价16715元/平米')
('https://image1.ljcdn.com/340100-inspection/8de13053-6caf-4ac7-9db1-24eb9d737a26.jpg.296x216.jpg', '博威香山丽舍 精装两居室   诚心出售   随时交房，', '博威香山丽舍  | 2室2厅 | 87平米 | 南 北 | 精装', '高楼层(共23层)2011年建塔楼  -  新产业园', '142万', '单价16322元/平米')
('https://image1.ljcdn.com/340100-inspection/ea71c16f-d62d-4a9b-8017-0738b0f0a2cd.JPG.296x216.jpg', '南七轴承新村多层无公摊南北通透采光好全新装修诚售', '轴承新村  | 2室2厅 | 79.07平米 | 南 北 | 其他', '中楼层(共4层)2000年建板楼  -  稻香村', '120万', '单价15177元/平米')
('https://image1.ljcdn.com/340100-inspection/a838166e-f13d-4a5c-8ed4-2560161db835.jpg.296x216.jpg', '中海原山 四季花海大蜀山 视野开阔 拎包入住', '中海原山  | 2室2厅 | 89.36平米 | 南 | 其他', '中楼层(共40层)2012年建塔楼  -  新产业园', '175万', '单价19584元/平米')
('https://image1.ljcdn.com/340100-inspection/7ffe2528-ed23-4c81-ad36-f57afb16ff97.jpg.296x216.jpg', '海雨家园 高层复式 采光好 南北通透', '海雨家园  | 3室2厅 | 163.8平米 | 南 北 | 其他', '高楼层(共11层)2007年建板塔结合  -  南七', '262万', '单价15996元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload3871fbe8-0675-4ed9-956f-ba6b14258dae.JPG.296x216.jpg', '建业领翔花园 精装一居室 交通便利 配套齐全', '建业领翔花园  | 1室1厅 | 46.57平米 | 东 | 其他', '中楼层(共31层)2012年建塔楼  -  南七', '83万', '单价17823元/平米')
('https://image1.ljcdn.com/340100-inspection/2a3fa12b-6dd8-4c24-9f18-6ef2beae036c.jpg.296x216.jpg', '枫丹白鹭湖公馆，毛坯三房，业主诚心出售', '枫丹白鹭湖公馆  | 3室2厅 | 136.24平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  新产业园', '200万', '单价14680元/平米')
('https://image1.ljcdn.com/340100-inspection/eb4d5c7c-e7a9-4d18-a02c-5ebb85fa152c.jpg.296x216.jpg', '华邦繁华里纯毛坯次新小区房子带车位', '华邦繁华里  | 2室1厅 | 89.83平米 | 南 | 其他', '高楼层(共33层)2015年建板楼  -  五里墩', '175万', '单价19482元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload452e4483-8e51-48a2-9698-fe6de95baa85.jpg.296x216.jpg', '满五年，位置好，眼睛三居室户型，采光好，动静分离', '金色池塘三期  | 3室1厅 | 96.91平米 | 南 北 | 其他', '中楼层(共6层)2007年建板楼  -  井岗镇', '170万', '单价17543元/平米')
('https://image1.ljcdn.com/340100-inspection/b5bd5229-1849-4cc3-b768-2b2c6044a46a.JPG.296x216.jpg', '安粮城市广场QQ公寓 2室2厅 125万', '安粮城市广场QQ公寓  | 2室2厅 | 74.46平米 | 南 | 其他', '低楼层(共32层)2013年建塔楼  -  稻香村', '125万', '单价16788元/平米')
('https://image1.ljcdn.com/340100-inspection/c1513a98-b2e7-415a-8653-b2951815b796.jpg.296x216.jpg', '为你而选 为你为家 精装修 采光无遮挡', '康居时代家园南区  | 3室2厅 | 152.75平米 | 南 北 | 其他', '中楼层(共11层)2005年建板楼  -  琥珀', '240万', '单价15712元/平米')
