('https://image1.ljcdn.com/420100-inspection/fa78bc44-7037-49d3-8e08-3107ec929474.JPG.296x216.jpg', '世纪江尚  一线江景  南北通透  采光充足  看房方便', '世纪江尚  | 4室2厅 | 185.43平米 | 南 北 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '690万', '单价37211元/平米')
('https://image1.ljcdn.com/420100-inspection/fe2e0045-8054-4d99-8b71-7b894ed0b8bf.jpg.296x216.jpg', '福星城南区 中间楼栋 中间楼层 不临铁路 不临街', '福星城南区  | 2室1厅 | 90平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2013年建板楼  -  长港路', '210万', '单价23334元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload9901c0e6-bce5-424d-a1a8-b5408e9bed87.JPG.296x216.jpg', '天瑞国际酒店公寓 1室1厅 83万', '天瑞国际酒店公寓  | 1室1厅 | 45.8平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2007年建塔楼  -  武广万松园', '83万', '单价18123元/平米')
('https://image1.ljcdn.com/420100-inspection/7f14796b-8bc1-4107-bd79-bcc3e66b21b3.JPG.296x216.jpg', '世纪江尚 正规三室 明厨明卫！！', '世纪江尚  | 3室2厅 | 123平米 | 东 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '450万', '单价36586元/平米')
('https://image1.ljcdn.com/420100-inspection/66ac6a07-1c39-42cb-814a-ca6f1834e535.jpg.296x216.jpg', '江花苑 开间 老证满两年 总价低  6号线杨汊湖地铁站', '江花苑  | 1室0厅 | 38.04平米 | 北 | 其他 | 无电梯', '高楼层(共6层)2006年建板楼  -  塔子湖', '78万', '单价20505元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a2b936c8-b4d6-4325-866e-f2d6969f708e.png.296x216.jpg', '江汉唐家墩地铁站，国粹香舍南北通透精致三房', '国粹香舍  | 3室2厅 | 126.15平米 | 南 北 | 精装', '低楼层(共16层)2005年建板楼  -  唐家墩', '235万', '单价18629元/平米')
('https://image1.ljcdn.com/420100-inspection/d774aba5-d796-452d-8d41-e9afeb6c5b4b.jpg.296x216.jpg', '远洋心里 毛坯三房 采光好 看房有钥匙', '远洋心里  | 3室1厅 | 95平米 | 南 | 其他 | 有电梯', '低楼层(共46层)2017年建板楼  -  杨汊湖', '190万', '单价20000元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadb620c5aa-099f-4e0a-8b8a-d95c34c0a502.JPG.296x216.jpg', '中间楼层 看江效果好 蝴蝶户型 朝南阳光充足', '世纪江尚  | 4室1厅 | 200平米 | 东南 | 其他 | 有电梯', '中楼层(共57层)2016年建板楼  -  前进江汉', '850万', '单价42500元/平米')
('https://image1.ljcdn.com/420100-inspection/4ec1a2ca-94f6-4ea3-8615-41149e6e5708.jpg.296x216.jpg', '万科圆方 2室1厅 120万', '万科圆方  | 2室1厅 | 44.31平米 | 西 | 其他 | 有电梯', '高楼层(共20层)2009年建板楼  -  新华路万达', '120万', '单价27082元/平米')
('https://image1.ljcdn.com/420100-inspection/03f82c27-0c03-4a8f-b70a-574217dc182f.jpg.296x216.jpg', '浩海丰太花园 精装三房两卫 南北通透 老证 诚心卖', '浩海丰太花园  | 3室2厅 | 149.95平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  杨汊湖', '210万', '单价14005元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadee3eda3f-66f5-4961-9c6a-9284c07c95a0.jpg.296x216.jpg', '杨汊湖 华苑小区 少有的一梯两户 南北通透 老证', '华苑社区  | 2室1厅 | 82平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  杨汊湖', '112万', '单价13659元/平米')
('https://image1.ljcdn.com/420100-inspection/807a3404-3b1d-4d1d-a395-f49aed781bcf.jpg.296x216.jpg', '华苑社区 2室1厅 140万', '华苑社区  | 2室1厅 | 94.17平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  杨汊湖', '140万', '单价14867元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploade92f96f5-c33a-430b-a91a-b319ecff8d4a.jpg.296x216.jpg', '距离地铁青年路400米，中等装修，拎包入住，看房方便', '楚天星座公寓  | 2室1厅 | 52.06平米 | 西 | 其他 | 有电梯', '中楼层(共30层)2006年建塔楼  -  武广万松园', '102万', '单价19593元/平米')
('https://image1.ljcdn.com/420100-inspection/e09e4075-c720-4ff7-83f3-c35e26020d73.jpg.296x216.jpg', '福星华府 毛坯三房两卫 南北通透 高层采光好 新证', '福星华府  | 3室2厅 | 141.77平米 | 南 北 | 其他 | 有电梯', '高楼层(共55层)板楼  -  杨汊湖', '300万', '单价21162元/平米')
('https://image1.ljcdn.com/420100-inspection/6ab930c9-1d59-4fde-8a23-d9819a8c2165.jpg.296x216.jpg', '房东诚意出售 地理位置好 大三房', '德富花园  | 3室2厅 | 151.31平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2000年建塔楼  -  CBD西北湖', '282万', '单价18638元/平米')
('https://image1.ljcdn.com/420100-inspection/08cb7767-6238-4642-bd52-8d61cf98e9c3.jpg.296x216.jpg', '景江华庭 精装两房 产权清晰 全明户型 户型方正', '景江华庭  | 2室1厅 | 89平米 | 东南 | 其他 | 有电梯', '低楼层(共22层)2004年建塔楼  -  前进江汉', '162万', '单价18203元/平米')
('https://image1.ljcdn.com/420100-inspection/99c14fe6-9dc8-4bab-befb-40f7fa17d256.jpg.296x216.jpg', '宝利金二期 loft  立体交通全城对接 主城生活唾手可得', '宝利金二期中央荣御  | 2室2厅 | 83平米 | 东北 | 简装 | 有电梯', '低楼层(共33层)2011年建塔楼  -  前进江汉', '238万', '单价28675元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploade2f39c63-49da-4fd6-876d-f0350ab97549.jpg.296x216.jpg', '金色雅园二期 地铁口 老证中间楼层 南北通透大四房', '金色雅园金沙苑  | 4室2厅 | 173平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2003年建板楼  -  长港路', '338万', '单价19538元/平米')
('https://image1.ljcdn.com/420100-inspection/d92d9b34-5c03-4d0e-a334-43b0d9ceac37.jpg.296x216.jpg', '范湖站富豪花园通透大三房，采光无遮挡', '富豪花园  | 3室2厅 | 141.47平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1999年建板楼  -  CBD西北湖', '230万', '单价16258元/平米')
('https://image1.ljcdn.com/420100-inspection/0e1ad6fa-8147-4014-b930-1c0d24c42887.jpg.296x216.jpg', '福星城市花园-精装修2房-中间楼层-朝南户型', '福星城市花园  | 2室1厅 | 95平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2004年建板楼  -  武广万松园', '277.5万', '单价29211元/平米')
('https://image1.ljcdn.com/420100-inspection/08a7c106-4bf8-4a45-a141-c8137dca4e65.jpg.296x216.jpg', '福星城南区 三房格局 产证在手 交易方便', '福星城南区  | 3室2厅 | 111.3平米 | 南 北 | 其他 | 有电梯', '中楼层(共51层)2013年建板楼  -  长港路', '202万', '单价18150元/平米')
('https://image1.ljcdn.com/420100-inspection/5ecffdba-5338-4533-b1a9-f23314cdaf0a.jpg.296x216.jpg', '供电局宿舍，菱角湖地铁口，中楼层，南北朝向大三房', '北湖供电局宿舍  | 3室1厅 | 113.7平米 | 东南 | 其他', '中楼层(共7层)1990年建板楼  -  CBD西北湖', '226万', '单价19877元/平米')
('https://image1.ljcdn.com/420100-inspection/4fb1357b-8b30-4119-8fe8-96f0bb1dd000.jpg.296x216.jpg', '积益小区居家装修两居室，两证满五年，中间楼层！', '积益小区  | 2室1厅 | 81.66平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建塔楼  -  唐家墩', '127万', '单价15553元/平米')
('https://image1.ljcdn.com/420100-inspection/8c38d22c-0be0-4eee-9e30-95b5df562d00.jpg.296x216.jpg', '民航小区 南北通透经典三房 中间楼层 采光充足 不临街', '民航小区  | 3室1厅 | 71平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1996年建板楼  -  长港路', '120万', '单价16902元/平米')
('https://image1.ljcdn.com/420100-inspection/c9844d63-8ab6-4cab-831a-2cad49906c3f.jpg.296x216.jpg', '福星华府西区 精装南北通透三房 带地暖精家具 楼层好', '福星惠誉福星华府K1  | 3室2厅 | 133.56平米 | 南 | 其他', '高楼层(共32层)板楼  -  长港路', '243万', '单价18195元/平米')
('https://image1.ljcdn.com/420100-inspection/test-fa91f756-a731-451d-886b-9558d686c433.png.296x216.jpg', '沿江大道武汉关旁世纪江尚居家三房朝南高楼层', '世纪江尚  | 3室1厅 | 126平米 | 东南 | 其他 | 有电梯', '高楼层(共57层)2016年建板楼  -  前进江汉', '450万', '单价35715元/平米')
('https://image1.ljcdn.com/420100-inspection/ff07e13f-5021-403c-9dd8-c3da80874a09.JPG.296x216.jpg', '天瑞国际酒店公寓 中山公园地铁口 朝北户型 诚心出售', '天瑞国际酒店公寓  | 1室1厅 | 60.58平米 | 北 | 其他 | 有电梯', '中楼层(共31层)2007年建塔楼  -  武广万松园', '108万', '单价17828元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadedcbbccd-e276-4f70-b6f3-029317fd9bdc.JPG.296x216.jpg', '都会轩 5室1厅 650万', '都会轩  | 5室1厅 | 209平米 | 南 北 | 其他 | 有电梯', '中楼层(共41层)2016年建塔楼  -  前进江汉', '650万', '单价31101元/平米')
('https://image1.ljcdn.com/420100-inspection/867cdb7d-5f45-49a6-8e18-74b2102cdc6a.jpg.296x216.jpg', '此房居家装修，中间楼层，光线无遮挡，南北通风效果佳', '葛洲坝国际广场  | 2室2厅 | 100.02平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2012年建板楼  -  CBD西北湖', '240万', '单价23996元/平米')
('https://image1.ljcdn.com/420100-inspection/8332a778-0015-4687-85e3-4b516948fb36.jpg.296x216.jpg', '江达路28号+大2房出售，户型方正，中间层，看房方便', '江达路28号  | 2室1厅 | 99.84平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  常青路', '140万', '单价14023元/平米')
('https://image1.ljcdn.com/420100-inspection/test-03ae1929-9962-47a8-9020-78b818f35ef7.png.296x216.jpg', '福星华府 毛坯现房 正规两房 小区中间 随时看房', '福星华府  | 2室1厅 | 88.6平米 | 南 北 | 其他 | 有电梯', '高楼层(共45层)2015年建板楼  -  杨汊湖', '156万', '单价17608元/平米')
('https://image1.ljcdn.com/420100-inspection/19e0f3e4-ca11-4956-8d00-cf11386cefec.jpg.296x216.jpg', '泛海国际悦海园 3室2厅 350万', '泛海国际悦海园  | 3室2厅 | 100.19平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2014年建板楼  -  CBD西北湖', '350万', '单价34934元/平米')
('https://image1.ljcdn.com/420100-inspection/af8fea44-1bc4-4e77-860f-b3eb426fa77c.jpg.296x216.jpg', '汉口火车站旁，天黎豪园，简单装修三房，通透户型', '天梨豪园  | 4室2厅 | 165.13平米 | 南 | 其他 | 有电梯', '中楼层(共12层)2005年建塔楼  -  长港路', '215万', '单价13021元/平米')
('https://image1.ljcdn.com/420100-inspection/53788bf8-c1dd-42bb-9de9-64be6ec2ffcd.jpg.296x216.jpg', '杨汊湖 阳光花园 精装三房 双阳台 采光好', '阳光花园  | 3室2厅 | 114.08平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建塔楼  -  杨汊湖', '220万', '单价19285元/平米')
('https://image1.ljcdn.com/420100-inspection/b49b254b-5b9c-43d8-9ea7-5b6dcb3b9df8.jpg.296x216.jpg', '常青南园精装修3房 两证满两年 两梯两户 不临街', '新世界常青南园  | 3室2厅 | 99平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2011年建板楼  -  长港路', '258万', '单价26061元/平米')
('https://image1.ljcdn.com/420100-inspection/ec1d1b0d-69bc-4519-b43d-3483c174f7e2.jpg.296x216.jpg', '工人新村 二环内 小两房 中低楼层 中等装修', '工人新村  | 2室2厅 | 68.28平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1997年建板楼  -  唐家墩', '124万', '单价18161元/平米')
('https://image1.ljcdn.com/420100-inspection/2cbc422a-002d-452b-8ad2-920c366f57d1.jpg.296x216.jpg', '泛海国际香海园 中高楼层视野好', '泛海国际香海园  | 5室2厅 | 366平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2016年建板楼  -  CBD西北湖', '1600万', '单价43716元/平米')
('https://image1.ljcdn.com/420100-inspection/325fab0c-892e-4eac-8a7a-f8137607dd35.jpg.296x216.jpg', '泛海国际香海园，中高楼层前后无遮挡', '泛海国际香海园  | 6室3厅 | 366平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2016年建板楼  -  CBD西北湖', '1650万', '单价45082元/平米')
('https://image1.ljcdn.com/420100-inspection/d3a8ebf9-8245-4683-8585-369b9e591550.jpg.296x216.jpg', '范湖地铁口宇济花园 南北通透 老证 楼层好 采光好', '宇济花园  | 4室2厅 | 173平米 | 南 北 | 其他 | 有电梯', '中楼层(共13层)2003年建板楼  -  CBD西北湖', '350万', '单价20232元/平米')
('https://image1.ljcdn.com/420100-inspection/8cad611d-d054-4a7d-8ab4-d766412dc93d.jpg.296x216.jpg', '奢华装修 三房通透 采光好 拎包入住', '华南国际广场  | 3室2厅 | 122.59平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  新华路万达', '305万', '单价24880元/平米')
('https://image1.ljcdn.com/420100-inspection/7316e652-a56b-4ce5-a9d7-3f866a92470f.jpg.296x216.jpg', '杨汊湖富康花园，简单装修大三房，老证，诚心卖', '富康花园  | 3室2厅 | 115.17平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2000年建板楼  -  杨汊湖', '160万', '单价13893元/平米')
('https://image1.ljcdn.com/420100-inspection/dabe6634-4b39-407e-a811-ecfd881d203e.JPG.296x216.jpg', '江汉路宝利金二期 老证 新上房源 家具齐全 即买即住', '宝利金二期中央荣御  | 1室1厅 | 46.45平米 | 西北 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  前进江汉', '138万', '单价29710元/平米')
('https://image1.ljcdn.com/420100-inspection/test-0fa1e2ec-a3d0-4aa1-98bd-6c192e1a4405.png.296x216.jpg', '正地铁口，香港路西马新村，低楼层正规三房', '西马新村  | 3室1厅 | 87.97平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)1995年建塔楼  -  台北香港路', '150万', '单价17052元/平米')
('https://image1.ljcdn.com/420100-inspection/dd4373e2-5a58-407b-8753-3c7a74bd756e.jpg.296x216.jpg', '日月华庭 2室2厅 235万', '日月华庭  | 2室2厅 | 98.6平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2006年建塔楼  -  新华路万达', '235万', '单价23834元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadfb87165b-f45d-4903-9ce2-c214f6b90f1d.jpg.296x216.jpg', '泛海国际桂海园 精装修通透5房2厅 楼层视野好', '泛海国际桂海园  | 5室2厅 | 221.24平米 | 南 北 | 其他 | 有电梯', '中楼层(共28层)2016年建板楼  -  CBD西北湖', '900万', '单价40680元/平米')
('https://image1.ljcdn.com/420100-inspection/084f1136-ed78-4b0a-82b4-c08558477547.jpg.296x216.jpg', '锦绣人家 不临铁路不临街 老证 中高楼层采光较好', '锦绣人家  | 3室1厅 | 147.28平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2004年建板楼  -  长港路', '260万', '单价17654元/平米')
('https://image1.ljcdn.com/420100-inspection/3dc824aa-77e0-41c5-a690-a97d35a00488.jpg.296x216.jpg', '范湖地铁口 葛洲坝国际广场 南北三居室 宜家风格精装', '葛洲坝国际广场  | 3室2厅 | 108平米 | 南 北 | 其他 | 有电梯', '低楼层(共42层)2012年建板楼  -  CBD西北湖', '268万', '单价24815元/平米')
('https://image1.ljcdn.com/420100-inspection/0a676d38-6c6b-432f-a200-f366fef7a8f4.jpg.296x216.jpg', '汉口火车站 威嘉白金领域 一居室 需要全款 老证', '威嘉白金领域  | 1室1厅 | 37.01平米 | 南 | 其他', '中楼层(共13层)2005年建板楼  -  长港路', '65万', '单价17563元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload68a7fcbd-1212-48cb-9475-e1f5cd06d25b.jpg.296x216.jpg', '此房新证 户型方正 客厅朝南带阳台 主卧飘窗可以敲', '远洋心汉口二期  | 2室1厅 | 78.07平米 | 南 | 其他', '低楼层(共49层)板塔结合  -  长丰常码头', '150万', '单价19214元/平米')
('https://image1.ljcdn.com/420100-inspection/73b2a074-fcb7-4670-bf45-d00e67ce9981.jpg.296x216.jpg', '宝利金国际广场 老证无贷 采光充足 诚心出售', '宝利金国际广场  | 1室0厅 | 46.74平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2005年建板楼  -  前进江汉', '110万', '单价23535元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadfefeb93d-307f-4b7a-aaef-26e4358eafeb.jpg.296x216.jpg', '泛海国际香海园大四房，CBD+精装+三地铁口+红领巾', '泛海国际香海园  | 4室2厅 | 238.9平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2016年建板塔结合  -  CBD西北湖', '880万', '单价36836元/平米')
('https://image1.ljcdn.com/420100-inspection/7057b2c0-8301-4fdf-bd44-b31e8aa29648.jpg.296x216.jpg', '此房是精装修的3房格局，中高楼层，视野开阔拎包入住', '福星城南区  | 3室2厅 | 94.33平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2013年建板楼  -  长港路', '185万', '单价19613元/平米')
('https://image1.ljcdn.com/420100-inspection/202731ac-1f52-42b6-8ffe-9093d041e634.jpg.296x216.jpg', '富康花园 中装大2房 买一层送一层外加超大储藏室 老证', '富康花园  | 2室2厅 | 84.47平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  杨汊湖', '126万', '单价14917元/平米')
('https://image1.ljcdn.com/420100-inspection/b2a743ca-208c-4367-a89b-711d49843ae7.jpg.296x216.jpg', '常青二苑《老证一室，临杨汊湖菜市场，6号线石桥站》', '常青二垸  | 1室1厅 | 55.3平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1992年建板楼  -  杨汊湖', '98万', '单价17722元/平米')
('https://image1.ljcdn.com/420100-inspection/test-71b2956f-f68c-4568-ac50-e3426c77e4d7.png.296x216.jpg', '通透3房，证满2年，中高层采光好，精装带暖气直接入住', '葛洲坝国际广场  | 3室2厅 | 116.62平米 | 南 北 | 其他 | 有电梯', '中楼层(共42层)2012年建板楼  -  CBD西北湖', '310万', '单价26583元/平米')
('https://image1.ljcdn.com/420100-inspection/0bbd8944-d081-4fbe-b81e-c09280e6d4ef.JPG.296x216.jpg', '循礼门 电梯大三房 老证 业主诚心出售', '御庭园  | 3室2厅 | 149.37平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2002年建塔楼  -  前进江汉', '240万', '单价16068元/平米')
('https://image1.ljcdn.com/420100-inspection/5125a4f0-bad0-4ea5-84f0-1d2284e8df25.jpg.296x216.jpg', '香港路西马新村，居家简装两房，采光好。', '西马新村  | 2室1厅 | 67.7平米 | 南 | 其他 | 无电梯', '低楼层(共8层)1995年建塔楼  -  台北香港路', '132万', '单价19498元/平米')
('https://image1.ljcdn.com/420100-inspection/46063a51-71b8-4511-9f8d-f5c0d845d8de.jpg.296x216.jpg', '东航小区 3室2厅 188万', '东航小区  | 3室2厅 | 111平米 | 东南 | 其他', '中楼层(共7层)暂无数据  -  CBD西北湖', '188万', '单价16937元/平米')
('https://image1.ljcdn.com/420100-inspection/5075603f-515a-46c0-a85a-9f9c4200d320.jpg.296x216.jpg', '福星城市花园  正规精装三房  两证满五年  诚心出售', '福星城市花园  | 3室2厅 | 128.75平米 | 东 | 其他 | 有电梯', '低楼层(共22层)2004年建板楼  -  武广万松园', '265万', '单价20583元/平米')
('https://image1.ljcdn.com/420100-inspection/7c1618aa-082a-4dc4-b7fc-68b153c6f98c.jpg.296x216.jpg', '金色雅园一期老证精装修户型方正明厨明卫地铁口红领巾', '金色雅园金源苑  | 3室2厅 | 100.4平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2002年建板塔结合  -  长港路', '188万', '单价18726元/平米')
('https://image1.ljcdn.com/420100-inspection/1f7cd76f-97bc-40b3-baff-7fcac5c28733.jpg.296x216.jpg', '香缇美景，自住精装大三房，南北通透无遮挡，老证', '香缇美景  | 3室2厅 | 128.31平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2000年建塔楼  -  常青路', '180万', '单价14029元/平米')
('https://image1.ljcdn.com/420100-inspection/b1c8c614-9061-4043-a2dd-d32a558dde8f.jpg.296x216.jpg', '江汉路地铁 自住精装一居室改两房 老证 诚心卖', '宝利金国际广场  | 1室1厅 | 46.74平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2005年建板楼  -  前进江汉', '110万', '单价23535元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadea0cbe05-2ec5-4927-a238-72d6621f4243.jpg.296x216.jpg', '万达广场  精装住家全南两房  中间楼层看花园  证两年', '菱角湖万达广场B区  | 2室1厅 | 92平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2010年建板楼  -  新华路万达', '222万', '单价24131元/平米')
('https://image1.ljcdn.com/420100-inspection/ee572584-d36e-4b5f-8242-a5bf9f3a1d41.jpg.296x216.jpg', '住家装修，老证。有租约。看房提前约', '宝利金国际广场  | 1室1厅 | 41.7平米 | 东南 | 简装 | 有电梯', '高楼层(共33层)2005年建板楼  -  前进江汉', '80万', '单价19185元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadbc2a8056-91b9-46e1-9cfe-89609053d018.jpeg.296x216.jpg', '江都仕嘉 精装修4房 朝向好 楼层好 房东诚心出售', '江都仕嘉  | 4室2厅 | 175.15平米 | 东 北 | 精装 | 有电梯', '低楼层(共31层)2005年建板楼  -  武广万松园', '390万', '单价22267元/平米')
('https://image1.ljcdn.com/420100-inspection/9b8f6f3e-abc4-4b4b-8363-ec1ae65b310d.jpg.296x216.jpg', '世纪江尚四室两厅 精装修 随时拎包入住', '世纪江尚  | 4室1厅 | 185平米 | 东 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '650万', '单价35136元/平米')
('https://image1.ljcdn.com/420100-inspection/00c1a14d-69c1-4096-8816-8db603144281.jpg.296x216.jpg', '台银大厦大户型精装修，中间楼层，看房方便', '台银大厦  | 3室2厅 | 150.02平米 | 东南 | 其他 | 有电梯', '高楼层(共28层)2006年建塔楼  -  常青路', '212万', '单价14132元/平米')
('https://image1.ljcdn.com/420100-inspection/2ca1de69-1073-411c-b362-8730c464687f.jpg.296x216.jpg', '福星惠誉福星城北区 老证毛坯 无贷款无抵押', '福星城北区  | 2室1厅 | 79.04平米 | 南 | 其他 | 有电梯', '低楼层(共45层)2012年建板楼  -  长港路', '160万', '单价20243元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadc6a78b18-aa2e-4313-abf3-5536ad9fb305.jpg.296x216.jpg', '中间楼层，精装朝南小户型，近地铁，邻公园，武广商圈', '天瑞国际酒店公寓  | 1室1厅 | 61.96平米 | 东 | 其他 | 有电梯', '高楼层(共31层)2007年建塔楼  -  武广万松园', '104万', '单价16786元/平米')
('https://image1.ljcdn.com/420100-inspection/f9a742c6-1f95-4b4a-9ccc-be666a0c36a9.jpg.296x216.jpg', '地铁6号线 唐家墩地铁口 顶琇晶城  釆光好看房方便', '顶琇晶城  | 2室2厅 | 93.39平米 | 南 | 其他 | 有电梯', '中楼层(共30层)2009年建板楼  -  唐家墩', '185万', '单价19810元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload60042436-5a4b-414e-a402-a84ed69560d2.JPG.296x216.jpg', '天瑞国际 老证 一房 2号线旁 协和医院', '天瑞国际酒店公寓  | 1室1厅 | 45.73平米 | 北 | 其他 | 有电梯', '中楼层(共31层)2007年建塔楼  -  武广万松园', '73万', '单价15964元/平米')
('https://image1.ljcdn.com/420100-inspection/e2c635a9-cae0-49b4-b0d3-61f3c9009b00.jpg.296x216.jpg', '思联花园城 精装修 南北通透 中间楼层 单价低 满五年', '思联花园城  | 3室2厅 | 133.59平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2005年建塔楼  -  长港路', '230万', '单价17217元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload989c0db7-5790-4ba7-b69c-231ddbffe8f1.JPG.296x216.jpg', '泛海国际香海园 华丽装修五房三厅 中间楼层 急售', '泛海国际香海园  | 6室3厅 | 366平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2016年建板楼  -  CBD西北湖', '1860万', '单价50820元/平米')
('https://image1.ljcdn.com/420100-inspection/e1e94861-d158-4fc8-a428-b247b6ecd328.jpg.296x216.jpg', '地铁2，3号，江北园丁苑2房高楼层 老证 看房方便', '江北园丁苑  | 2室2厅 | 81平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建塔楼  -  CBD西北湖', '150万', '单价18519元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploaddc141d4a-b140-4625-9569-d624ea96d4f0.jpg.296x216.jpg', '菱角湖地铁口 精装修带空调，对接湖景', '沿海菱角湖壹号  | 2室2厅 | 89平米 | 西南 | 其他 | 有电梯', '高楼层(共42层)2016年建板楼  -  新华路万达', '264万', '单价29663元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadf35930cf-e92c-4b0b-9780-c3548565919d.JPG.296x216.jpg', '宝利金国际广场 精装温馨小两居室！明厨明卫', '宝利金国际广场  | 2室1厅 | 59.35平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2005年建板楼  -  前进江汉', '140万', '单价23589元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f84de5e9-5239-4899-98a1-898ce0ff764f.png.296x216.jpg', '世纪江尚 正规三居室 一线江景房！', '世纪江尚  | 3室2厅 | 123平米 | 南 | 其他 | 有电梯', '高楼层(共57层)2016年建板楼  -  前进江汉', '480万', '单价39025元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload809d5c60-7f97-489f-b12b-9ca33f7da814.jpg.296x216.jpg', '三金华都正规一室一厅 老证 精装 中间楼层 朝南', '三金华都  | 1室1厅 | 73.1平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2012年建板楼  -  新华路万达', '190万', '单价25992元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload25fe5825-23cb-493d-a160-d4eb77bb0bf7.jpg.296x216.jpg', '此房两证齐全，南北双阳台 楼层适中，明厨明卫', '鸿泰佳园  | 3室2厅 | 149平米 | 南 西 北 | 其他 | 无电梯', '中楼层(共7层)2001年建板楼  -  CBD西北湖', '300万', '单价20135元/平米')
('https://image1.ljcdn.com/420100-inspection/8b67e85e-ea58-4acc-9f28-0bfec62a8f1e.jpg.296x216.jpg', '世纪江尚 毛坯 能看江 小区环境好 住着舒适 看房方便', '世纪江尚  | 4室2厅 | 185.67平米 | 东南 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '690万', '单价37163元/平米')
('https://image1.ljcdn.com/420100-inspection/a8f1cc6a-8874-4dee-831f-04ef49d83c29.jpg.296x216.jpg', '香港路 紫藤花园 南北朝向 精装四房 两证满两年', '紫藤花园  | 3室2厅 | 145.9平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  台北香港路', '366万', '单价25086元/平米')
