('https://image1.ljcdn.com/441900-inspection/7d60b0eb-0f9f-438d-8cad-412834eaa9d7.jpg.296x216.jpg', '天虹广场   舒适3房  装修好  保养新  高楼层', '地标广场  | 3室2厅 | 108平米 | 东南 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '300万', '单价27778元/平米')
('https://image1.ljcdn.com/441900-inspection/61e7a6af-a370-41c3-8139-5d1e196c1e03.jpg.296x216.jpg', '南部湾万科城  三房两厅 精装修 采光好 通风好', '南部湾万科城  | 3室2厅 | 97平米 | 东北 | 其他', '中楼层(共32层)2015年建塔楼  -  大宁', '240万', '单价24743元/平米')
('https://image1.ljcdn.com/441900-inspection/c53c20d4-a3fd-436c-8ba9-b9a0d3c62cf9.jpg.296x216.jpg', '房屋方正，配套齐全，简单装修，拎包入住', '金色家园  | 3室2厅 | 134平米 | 东南 | 其他', '低楼层(共30层)2003年建塔楼  -  虎门公园', '230万', '单价17165元/平米')
('https://image1.ljcdn.com/441900-inspection/f07b9879-214f-48c4-8b01-a8a0f4ee8169.jpg.296x216.jpg', '竹洲豪苑 3室2厅 116万', '竹洲豪苑  | 3室2厅 | 102平米 | 东 东南 | 其他', '高楼层(共12层)2005年建塔楼  -  太平广场', '116万', '单价11373元/平米')
('https://image1.ljcdn.com/441900-inspection/5d103b89-fb48-44c3-bfbd-df1092243bc3.jpg.296x216.jpg', '此房户型方正  格局分明 简单大方 高楼层 采光充足', '万达华府  | 1室1厅 | 52平米 | 东南 南 | 其他', '高楼层(共28层)2014年建塔楼  -  万达', '95万', '单价18270元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9bd52500-3f73-4ca4-94e8-6f0eaac813e2.jpg.296x216.jpg', '精装修四房，格局方正...............', '虎门国际公馆  | 4室2厅 | 136.53平米 | 东南 | 其他', '中楼层(共17层)2011年建塔楼  -  新联', '300万', '单价21974元/平米')
('https://image1.ljcdn.com/441900-inspection/d61df1cc-5a77-4ae2-9869-7855307ea55b.jpg.296x216.jpg', '东海城堡精装3房，双阳台对流通风好，装修保养好', '丰泰东海城堡  | 3室2厅 | 98.3平米 | 西北 | 其他', '中楼层(共15层)2013年建塔楼  -  新联', '220万', '单价22381元/平米')
('https://image1.ljcdn.com/441900-inspection/f0b0fc45-82b1-4e4b-83c5-20070e97cec4.jpg.296x216.jpg', '丰泰三层独院别墅  自带花园车库', '丰泰东海城堡   | 联排别墅 | 4室2厅 | 233.64平米 | 南 | 其他', '3层2013年建暂无数据  -  新联', '700万', '单价29961元/平米')
('https://image1.ljcdn.com/441900-inspection/ad46d29f-f73d-433e-b0d0-8c890921bfaf.jpg.296x216.jpg', '丰泰华园山庄 精装别墅 看房方便 带大花园 房子无欠款', '丰泰华园山庄   | 独栋别墅 | 6室2厅 | 550平米 | 南 | 其他', '1层2005年建暂无数据  -  新联', '1300万', '单价23637元/平米')
('https://image1.ljcdn.com/441900-inspection/846cf76b-bb17-44cc-ba3c-86f4d6a8e2a1.jpg.296x216.jpg', '单身公寓 一室一厅 精装修 带家私家电出售 拎包入住', '地标大厦  | 1室1厅 | 63平米 | 北 | 其他', '低楼层(共24层)2010年建塔楼  -  地标', '86万', '单价13651元/平米')
('https://image1.ljcdn.com/441900-inspection/13c67802-9b07-4d67-ad03-f088862c02db.jpg.296x216.jpg', '飞龙山庄半山花园底楼层 大三房改四房的 业主诚意买房', '飞龙山庄  | 4室2厅 | 137.18平米 | 北 | 其他', '低楼层(共8层)2004年建板楼  -  黄河中心', '140万', '单价10206元/平米')
('https://image1.ljcdn.com/441900-inspection/d25df982-a62a-4cd4-a697-abf9d7c995fc.jpg.296x216.jpg', '看江景房  两套打通  带装修大5房  高楼层 采光视野好', '德盛海珠大厦  | 5室4厅 | 253平米 | 东南 | 其他', '高楼层(共22层)2000年建塔楼  -  太平广场', '303万', '单价11977元/平米')
('https://image1.ljcdn.com/441900-inspection/49d9439d-7cbd-4a30-8675-c9fad10eb56d.jpg.296x216.jpg', '此房满五年 免增值税 产权清晰 能交易过户', '丰泰东海城堡   | 联排别墅 | 5室3厅 | 197平米 | 西南 北 东北 | 其他', '3层2013年建暂无数据  -  新联', '500万', '单价25381元/平米')
('https://image1.ljcdn.com/441900-inspection/de2b6bba-004e-4f40-aba6-ddd0fc667102.jpg.296x216.jpg', '天虹商圈 精装四房  采光靓丽 户型方正', '虎门一号  | 4室2厅 | 190平米 | 南 | 其他', '高楼层(共25层)2006年建塔楼  -  地标', '380万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/d317f206-1ac9-4212-bc5d-5c0c2e87bbd5.jpg.296x216.jpg', '毛坯大四房  高楼层  采光好  格局设计合理', '地标大厦  | 5室2厅 | 232.76平米 | 东南 | 其他', '中楼层(共26层)2010年建塔楼  -  地标', '380万', '单价16326元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade8d2a9cb-fadc-4f15-89a2-63182a941460.jpg.296x216.jpg', '万科物业，满两年，红本在手，提前预约看房', '南部湾万科城  | 4室2厅 | 142平米 | 南 北 | 其他', '中楼层(共11层)2014年建板楼  -  大宁', '380万', '单价26761元/平米')
('https://image1.ljcdn.com/441900-inspection/eb4f36d4-f0b5-4f4a-9e29-0ec5f605803b.jpg.296x216.jpg', '虎门天虹商圈  毛坯  中高楼层 近高速  业主诚心出售', '虎门一号  | 4室2厅 | 170平米 | 南 北 | 其他', '高楼层(共18层)2006年建塔楼  -  地标', '300万', '单价17648元/平米')
('https://image1.ljcdn.com/441900-inspection/7492d911-bcae-4898-ab16-3c8056ded005.jpg.296x216.jpg', '户型方正 赠送全屋家私 楼中自住更安静舒适', '丰泰东海城堡  | 3室2厅 | 98.06平米 | 西北 | 其他', '低楼层(共15层)2013年建塔楼  -  新联', '175万', '单价17847元/平米')
('https://image1.ljcdn.com/441900-inspection/8acea054-1e1e-4740-bdb5-10f93516044a.jpg.296x216.jpg', '东方国际 繁华地段 带租约三房两厅', '东方国际星座  | 3室2厅 | 160.9平米 | 东南 | 其他', '中楼层(共29层)2006年建塔楼  -  黄河中心', '220万', '单价13674元/平米')
('https://image1.ljcdn.com/441900-inspection/59d85d29-d54b-4c87-bffc-ad125f3cb002.jpg.296x216.jpg', '高楼层 毛坯房 过五不唯一 不欠款 看房方便', '地标广场  | 5室2厅 | 243平米 | 东南 | 其他', '高楼层(共24层)2011年建塔楼  -  地标', '530万', '单价21811元/平米')
('https://image1.ljcdn.com/441900-inspection/6d332836-283d-4b71-a703-a3dedc367d2b.jpg.296x216.jpg', '丰泰裕田花园 精装3房 红本在手 朝小区安静舒适', '丰泰裕田花园  | 3室2厅 | 133平米 | 南 | 其他', '低楼层(共12层)2007年建塔楼  -  大宁', '200万', '单价15038元/平米')
('https://image1.ljcdn.com/441900-inspection/80303cf9-8e7e-42e8-b7fa-bea32576b0cb.jpg.296x216.jpg', '虎门金地琥悦 户型方正 采光足 地段好 楼盘新 朝向好', '金地琥悦  | 3室2厅 | 117.58平米 | 南 | 其他', '高楼层(共16层)2014年建塔楼  -  万达', '260万', '单价22113元/平米')
('https://image1.ljcdn.com/441900-inspection/66f26572-50a6-4925-8602-7da3509e69e5.jpg.296x216.jpg', '业主诚心出售，性格挺幽默 ，很好聊，业主比较忙。', '金地琥悦  | 3室2厅 | 99平米 | 东南 | 其他', '高楼层(共15层)2014年建塔楼  -  万达', '195万', '单价19697元/平米')
('https://image1.ljcdn.com/441900-inspection/ea412b57-a4b9-42f0-92fb-b8dac4d09fd2.jpg.296x216.jpg', '天虹旁精装一房带阁楼，户型方正，家私齐全，诚心出售', '地标大厦  | 1室1厅 | 58.51平米 | 西南 | 其他', '高楼层(共25层)2010年建塔楼  -  地标', '85万', '单价14528元/平米')
('https://image1.ljcdn.com/441900-inspection/49f2ec2c-43d2-40c1-a4de-bc466a76c24c.jpg.296x216.jpg', '丰泰小区 享受自然生活从这里开始  远离城市嘈杂渲染', '丰泰东海城堡  | 3室2厅 | 90.72平米 | 东南 | 其他', '中楼层(共18层)2013年建塔楼  -  新联', '185万', '单价20393元/平米')
('https://image1.ljcdn.com/441900-inspection/24129c4d-7538-42ff-ac1c-cc9b5cde9428.JPG.296x216.jpg', '东方国际 繁华地段 带租约三房两厅', '东方国际星座  | 3室2厅 | 127.26平米 | 南 | 其他', '中楼层(共29层)2006年建塔楼  -  黄河中心', '185万', '单价14538元/平米')
('https://image1.ljcdn.com/441900-inspection/f5f9fd83-99e6-4e58-8b1c-c9d612d6535f.jpg.296x216.jpg', '虎门公园南部湾万科城精装修大四房', '南部湾万科城  | 4室2厅 | 142平米 | 东南 | 其他', '中楼层(共11层)2015年建塔楼  -  大宁', '390万', '单价27465元/平米')
('https://image1.ljcdn.com/441900-inspection/a5d7cc87-2c62-4ab0-9415-32ce99ea15e6.jpg.296x216.jpg', '虎门国际公馆毛坯四房 朝南看全湖景 高层采光充足', '虎门国际公馆  | 4室2厅 | 216.5平米 | 南 | 其他', '中楼层(共20层)2011年建塔楼  -  新联', '530万', '单价24481元/平米')
('https://image1.ljcdn.com/441900-inspection/63edc321-f90d-4ebd-8395-565047898f70.jpg.296x216.jpg', '带阁楼朝南三房，方正户型，诚意出售。', '虎门国际公馆  | 3室2厅 | 93.27平米 | 东 东南 | 毛坯', '高楼层(共18层)2011年建塔楼  -  新联', '190万', '单价20371元/平米')
('https://image1.ljcdn.com/441900-inspection/c45013f6-3c63-46cb-891d-1b0178920061.jpg.296x216.jpg', '金地琥悦三房诚心出售；看房方便；南北通透', '金地琥悦  | 3室2厅 | 100平米 | 南 | 其他', '高楼层(共15层)2014年建塔楼  -  万达', '210万', '单价21000元/平米')
('https://image1.ljcdn.com/441900-inspection/396a3c7a-a9fc-4395-a877-c02823512507.jpg.296x216.jpg', '飞龙山庄 精装四房 业主诚心出售', '飞龙山庄  | 3室2厅 | 186平米 | 西北 | 其他', '高楼层(共15层)2004年建塔楼  -  黄河中心', '238万', '单价12796元/平米')
('https://image1.ljcdn.com/441900-inspection/c9e8aa8f-61e8-4fd7-ade8-d4dd4c557c78.jpg.296x216.jpg', '此房户型方正  家私家电齐全  满五唯一', '虎门国际公馆  | 3室1厅 | 94.5平米 | 东南 | 其他', '中楼层(共18层)2011年建塔楼  -  新联', '230万', '单价24339元/平米')
('https://image1.ljcdn.com/441900-inspection/2aca0cf8-e5f6-40f2-8d4f-9d0323a0d71e.jpg.296x216.jpg', '太平广场竹洲豪苑、满五年精装两房、高楼层、户型方正', '竹洲豪苑  | 2室2厅 | 61.61平米 | 南 | 精装', '高楼层(共12层)2005年建塔楼  -  太平广场', '78万', '单价12661元/平米')
('https://image1.ljcdn.com/441900-inspection/9badaaf7-1e48-45b8-be23-1d37733b30ac.jpg.296x216.jpg', '东方国际 繁华地段 带租约三房两厅', '东方国际星座  | 3室2厅 | 160.9平米 | 东南 | 其他', '中楼层(共29层)2006年建塔楼  -  黄河中心', '225万', '单价13984元/平米')
('https://image1.ljcdn.com/441900-inspection/9155902a-705a-45e3-b8ac-c9d9a2cb4766.jpg.296x216.jpg', '海岸国际业主诚心出售，户型方正装修漂亮', '海岸国际  | 4室2厅 | 180平米 | 南 | 其他', '高楼层(共29层)2006年建塔楼  -  太平广场', '324万', '单价18000元/平米')
('https://image1.ljcdn.com/441900-inspection/201767b0-1175-4eea-ab86-ae23a9bb2ab2.jpg.296x216.jpg', '房子过五不唯一 带装修业主诚心出售 钥匙在手看房方便', '丰泰裕田花园  | 4室2厅 | 138.69平米 | 南 | 其他', '低楼层(共18层)2007年建塔楼  -  大宁', '240万', '单价17305元/平米')
('https://image1.ljcdn.com/441900-inspection/3fcb5b21-1d31-4ec9-8e89-e1ee1f43840b.jpg.296x216.jpg', '南部湾万科城 精装修三房 配套齐全 万科物业 大社区', '南部湾万科城  | 3室2厅 | 97平米 | 西南 | 其他', '高楼层(共32层)2016年建塔楼  -  大宁', '230万', '单价23712元/平米')
('https://image1.ljcdn.com/441900-inspection/9677397f-b483-4d78-acb0-5d92ec9273c2.jpg.296x216.jpg', '高品质小区 户型方正 看小区花园，业主买进价高税费少', '佳兆业御龙山  | 4室2厅 | 160.88平米 | 南 北 | 其他', '低楼层(共32层)2016年建塔楼  -  地标', '390万', '单价24242元/平米')
('https://image1.ljcdn.com/441900-inspection/64eb4bc1-86fd-43d4-9d54-9d96d3d42464.jpg.296x216.jpg', '房子满2年 适中楼层 通透性强 交通便利 采光充足', '虎门国际公馆  | 4室2厅 | 170.72平米 | 西南 | 其他', '低楼层(共20层)2011年建塔楼  -  新联', '305万', '单价17866元/平米')
('https://image1.ljcdn.com/441900-inspection/925fb10a-4a44-4cbb-8869-4957a0609bab.jpg.296x216.jpg', '适中楼层 精装修 通透性强 交通便利 采光充足', '虎门国际公馆  | 4室2厅 | 171.26平米 | 西南 | 简装', '低楼层(共20层)2011年建塔楼  -  新联', '340万', '单价19853元/平米')
('https://image1.ljcdn.com/441900-inspection/29b236da-acf3-48ae-bc89-8c85d744a6b0.jpg.296x216.jpg', '金色家园 3室2厅 215万', '金色家园  | 3室2厅 | 134平米 | 南 | 其他', '高楼层(共12层)2003年建塔楼  -  虎门公园', '215万', '单价16045元/平米')
('https://image1.ljcdn.com/441900-inspection/258de837-2563-4a89-8057-15890c107c23.jpg.296x216.jpg', '沿江高速出口物业  大四房 装修保养不错', '地标大厦  | 4室2厅 | 186平米 | 东 南 | 其他', '高楼层(共26层)2010年建塔楼  -  地标', '408万', '单价21936元/平米')
('https://image1.ljcdn.com/441900-inspection/a396e6a0-7dad-4097-a66b-6d3110b30749.jpg.296x216.jpg', '方正户型 高铁站物业 生活配套完善精装修', '虎门国际公馆  | 3室2厅 | 120平米 | 东南 | 其他', '低楼层(共18层)2011年建塔楼  -  新联', '230万', '单价19167元/平米')
('https://image1.ljcdn.com/441900-inspection/287d4896-cfb6-45de-bfeb-8909ed6f64df.jpg.296x216.jpg', '丰泰裕田花园三房两卫131平送车位送入户大花园带租约', '丰泰裕田花园  | 3室2厅 | 131平米 | 南 北 | 其他', '低楼层(共12层)2007年建塔楼  -  大宁', '190万', '单价14504元/平米')
('https://image1.ljcdn.com/441900-inspection/60990b6a-b61a-4ea2-ab4c-817c6c56452a.jpg.296x216.jpg', '南部湾万科城 3房精装修 客厅出阳台 朝向西南看小区', '南部湾万科城  | 3室2厅 | 95平米 | 西南 | 其他', '低楼层(共34层)2015年建塔楼  -  大宁', '230万', '单价24211元/平米')
('https://image1.ljcdn.com/441900-inspection/51811545-e7c9-4dab-a508-78b0e7422379.jpg.296x216.jpg', '虎门国际公馆、环境优雅、靠山看湖，高绿化小区', '虎门国际公馆   | 双拼别墅 | 6室2厅 | 508平米 | 东南 | 其他', '3层2012年建暂无数据  -  新联', '950万', '单价18701元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2f6e3c11-0ae3-4de4-9f64-74ac78b0ec7b.jpg.296x216.jpg', '万科金色里程 满两年 高楼层 朝南看虎门公园全景！', '万科金色里程  | 2室2厅 | 70.59平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  虎门公园', '180万', '单价25500元/平米')
('https://image1.ljcdn.com/441900-inspection/9baaaa45-bb72-4545-86f4-cb918186632e.jpg.296x216.jpg', '适中楼层 精装修 通透性强 交通便利 采光充足', '虎门国际公馆  | 4室2厅 | 168.91平米 | 南 | 其他', '低楼层(共17层)2011年建塔楼  -  新联', '330万', '单价19538元/平米')
('https://image1.ljcdn.com/441900-inspection/dfb39315-82be-4f07-b8e0-141b84800a21.jpg.296x216.jpg', '虎门新湾富丽华独栋别墅带花园精装，业主诚心出售', '富丽华别墅   | 独栋别墅 | 6室4厅 | 406平米 | 南 | 其他', '1层2003年建暂无数据  -  太平广场', '900万', '单价22168元/平米')
('https://image1.ljcdn.com/441900-inspection/32f019aa-ee71-4021-b727-2ab649840942.jpg.296x216.jpg', '天虹商圈 地 标广场 精装五房 南北通透', '地标广场  | 5室2厅 | 243平米 | 南 北 | 其他', '中楼层(共24层)2011年建塔楼  -  地标', '755万', '单价31070元/平米')
('https://image1.ljcdn.com/441900-inspection/9f3df1d8-6204-4b22-9ae2-10177766d4cd.jpg.296x216.jpg', '龙泉豪苑568平大洋房业主诚心出售', '龙泉豪苑  | 6室2厅 | 568平米 | 南 北 | 其他', '中楼层(共25层)2011年建塔楼  -  地标', '1025万', '单价18046元/平米')
('https://image1.ljcdn.com/441900-inspection/c82f504c-96b6-4d91-a54d-9eda31f44fc6.jpg.296x216.jpg', '精装3房 满2年税费低 看房方便 业主诚心出售出租', '能源华庄  | 3室2厅 | 142平米 | 北 | 其他', '低楼层(共21层)2004年建塔楼  -  黄河中心', '228万', '单价16057元/平米')
('https://image1.ljcdn.com/441900-inspection/ca8f5dcb-9a49-43ce-a3ec-eda60b4e7cb0.jpg.296x216.jpg', '毛坯户型方正大三房 无遮挡 采光好', '虎门国际公馆  | 3室2厅 | 130平米 | 东南 | 其他', '低楼层(共10层)2011年建塔楼  -  新联', '220万', '单价16924元/平米')
('https://image1.ljcdn.com/441900-inspection/630e4a30-50e2-47f0-9888-c1ecbbee369b.jpg.296x216.jpg', '万达华府 毛坯房 可以按自己风格装修', '万达华府  | 3室2厅 | 89.15平米 | 南 | 其他', '高楼层(共29层)2014年建塔楼  -  万达', '223万', '单价25015元/平米')
('https://image1.ljcdn.com/441900-inspection/2272b9da-c222-4c70-a03d-27710b1a64fb.jpg.296x216.jpg', '此房满五唯一免个税，业主诚心出售，看房方便', '龙泉都市华庭  | 4室2厅 | 178平米 | 南 | 其他', '低楼层(共29层)2004年建塔楼  -  虎门公园', '356万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/ca8841ac-175a-4448-97f5-94c1251bc770.jpg.296x216.jpg', '一线湖景四房，通风采光，精装未住过，诚心出售', '丰泰东海山庄  | 4室2厅 | 175.48平米 | 南 | 其他', '中楼层(共16层)2007年建塔楼  -  新联', '360万', '单价20516元/平米')
('https://image1.ljcdn.com/441900-inspection/8738f9c5-aa99-4760-8bee-820c782ee14f.jpg.296x216.jpg', '龙泉都市华庭，精装大面积四房，格局方正采光通透。', '龙泉都市华庭  | 4室2厅 | 178平米 | 北 | 精装', '低楼层(共29层)2004年建塔楼  -  虎门公园', '288万', '单价16180元/平米')
('https://image1.ljcdn.com/441900-inspection/a8bb1898-ddae-4091-8250-486bbd99a2ed.jpg.296x216.jpg', '富民花园 4室2厅 380万', '富民花园   | 独栋别墅 | 4室2厅 | 190.93平米 | 南 北 | 其他', '3层2005年建暂无数据  -  太平广场', '380万', '单价19903元/平米')
('https://image1.ljcdn.com/441900-inspection/a69884c0-2530-465d-ac1d-6a87a419983a.jpg.296x216.jpg', '东方国际星座 正规三居室 厅出阳台 明厨明卫 采光通透', '东方国际星座  | 3室2厅 | 124.53平米 | 东北 | 其他', '中楼层(共29层)2006年建塔楼  -  黄河中心', '160万', '单价12849元/平米')
('https://image1.ljcdn.com/441900-inspection/21dd0564-b600-407c-a51b-a2c2b8247f10.jpg.296x216.jpg', '虎门国际公馆独栋别墅 湖边一排 花园可以到湖边', '虎门国际公馆   | 双拼别墅 | 7室3厅 | 776平米 | 南 | 其他', '3层2012年建暂无数据  -  新联', '2650万', '单价34150元/平米')
('https://image1.ljcdn.com/441900-inspection/46d47870-1858-4743-9d2b-2bf288774625.jpg.296x216.jpg', '精装三房 安静舒适 装修保养好', '丰泰东海城堡  | 3室2厅 | 89.44平米 | 东南 | 其他', '低楼层(共18层)2013年建塔楼  -  新联', '200万', '单价22362元/平米')
('https://image1.ljcdn.com/441900-inspection/0c8ffaee-b9f7-48cf-91e7-b948b270b7dd.jpg.296x216.jpg', '金湾花园 三面环海 景色怡人 适合居住', '金湾花园  | 3室2厅 | 95.7平米 | 东 | 其他', '低楼层(共32层)2013年建塔楼  -  太平广场', '200万', '单价20899元/平米')
('https://image1.ljcdn.com/441900-inspection/5d8b6f5d-f878-4cd7-87c5-6b19e73a1f72.jpg.296x216.jpg', '滨海湾新区 户型正气 超小区  位置安静 税费少', '佳兆业御龙山  | 4室2厅 | 165平米 | 南 | 其他', '低楼层(共32层)2016年建塔楼  -  地标', '410万', '单价24849元/平米')
('https://image1.ljcdn.com/441900-inspection/f5fcee04-c3a0-40ba-81f1-cf84828bbca0.jpg.296x216.jpg', '飞龙山庄4房业主诚心出售，房子布置温馨，适合居家', '飞龙山庄  | 4室3厅 | 217.7平米 | 南 | 其他', '高楼层(共13层)2004年建塔楼  -  黄河中心', '400万', '单价18374元/平米')
('https://image1.ljcdn.com/441900-inspection/8585e5ee-f1e0-48d1-8eea-3f4f40bdf12f.jpg.296x216.jpg', '丰泰东海城堡 三居室 方正毛坯  朝南 通风 诚售', '丰泰东海城堡  | 3室2厅 | 79平米 | 南 | 毛坯', '中楼层(共18层)2013年建塔楼  -  新联', '165万', '单价20887元/平米')
('https://image1.ljcdn.com/441900-inspection/83b54e6c-2d1b-4cf5-954f-f77e7672531f.jpg.296x216.jpg', '金地琥悦 四房两厅 带有一个大约一百平的大花园', '金地琥悦  | 4室2厅 | 138.13平米 | 南 | 其他', '低楼层(共16层)2014年建塔楼  -  万达', '373万', '单价27000元/平米')
('https://image1.ljcdn.com/441900-inspection/c57df908-8058-4489-8689-8435e995e776.jpg.296x216.jpg', '精装修 大三房 业主名下一套住房 有大阳台', '地标大厦  | 3室2厅 | 156.61平米 | 东南 | 精装', '低楼层(共26层)2010年建塔楼  -  地标', '285万', '单价18199元/平米')
('https://image1.ljcdn.com/441900-inspection/de39e8d9-d992-4040-acc7-7644d21ebf05.jpg.296x216.jpg', '虎门公园 天虹商圈 中欧式精装修 家私家电保养好', '地标广场  | 3室2厅 | 161.33平米 | 南 北 | 其他', '中楼层(共29层)2011年建塔楼  -  地标', '500万', '单价30993元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2fb0f0d3-ac59-47f6-82e3-d8c8791e79fb.jpg.296x216.jpg', '万达商圈  神洲大厦 带精装修3房   朝南采光好', '神洲大厦  | 3室2厅 | 180平米 | 南 | 其他', '中楼层(共12层)1999年建塔楼  -  虎门公园', '230万', '单价12778元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7977544f-2f9e-4016-8877-4659e234e87a.jpg.296x216.jpg', '格局方正，南北通透，采光通风，配套成熟', '虎门国际公馆   | 双拼别墅 | 5室3厅 | 541.96平米 | 南 | 其他', '3层2012年建暂无数据  -  新联', '1300万', '单价23988元/平米')
('https://image1.ljcdn.com/441900-inspection/e49f1532-2d83-45ad-94f6-c57aeefa48b7.jpg.296x216.jpg', '地标大厦 1室1厅 90万', '地标大厦  | 1室1厅 | 62.42平米 | 东南 | 其他', '高楼层(共24层)2010年建塔楼  -  地标', '90万', '单价14419元/平米')
('https://image1.ljcdn.com/441900-inspection/8b1ed0b8-eecb-44e8-9c16-28ae2c86ff4f.jpg.296x216.jpg', '近深圳大四房 景观看小区别墅 开发商统一装修从未住过', '南部湾万科城  | 4室2厅 | 118平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  大宁', '315万', '单价26695元/平米')
('https://image1.ljcdn.com/441900-inspection/38df30df-54b8-4b7a-867d-9eb31832ca1e.jpg.296x216.jpg', '虎门国际公馆新装修高层四房方正户型', '虎门国际公馆  | 4室2厅 | 135平米 | 东北 | 其他', '中楼层(共17层)2011年建塔楼  -  新联', '265万', '单价19630元/平米')
('https://image1.ljcdn.com/441900-inspection/4ee503c4-6c86-4fdd-85b0-45b1ea6a54e2.jpg.296x216.jpg', '龙泉豪苑567平大洋房带一车位送三年管理费已满两年', '龙泉豪苑  | 6室2厅 | 566.65平米 | 南 北 | 毛坯', '中楼层(共25层)2011年建塔楼  -  地标', '760万', '单价13413元/平米')
('https://image1.ljcdn.com/441900-inspection/e5e39fb7-344e-49d9-b0f6-5e41fed5e44f.jpg.296x216.jpg', '方正两房，超大阳台，优雅舒适，', '地标大厦  | 2室0厅 | 87.8平米 | 东 | 其他', '中楼层(共26层)2010年建塔楼  -  地标', '165万', '单价18793元/平米')
('https://image1.ljcdn.com/441900-inspection/db3386ff-74c7-4af6-994b-d304f8b1b44d.jpg.296x216.jpg', '万科紫台小高层一楼洋房有地下室带前后花园', '万科紫台   | 独栋别墅 | 5室2厅 | 461平米 | 南 北 | 其他', '3层2010年建暂无数据  -  地标', '828万', '单价17961元/平米')
('https://image1.ljcdn.com/441900-inspection/27255d07-9e33-4df4-9a08-8492a8826be9.jpg.296x216.jpg', '天虹旁边，叠加生态入户花园，拎包入住', '地标大厦  | 5室2厅 | 164.08平米 | 东南 | 其他', '低楼层(共26层)2010年建塔楼  -  地标', '300万', '单价18284元/平米')
('https://image1.ljcdn.com/441900-inspection/b0f19d7e-1e6f-483a-b484-982890214680.jpg.296x216.jpg', '地段好交通出行方便 楼盘还很新', '金地琥悦  | 3室2厅 | 99平米 | 南 北 | 其他', '中楼层(共15层)2014年建塔楼  -  万达', '215万', '单价21718元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload27db30d9-f673-4313-a792-d863812b4d17.JPG.296x216.jpg', '地 标广场 天虹商圈 方正大四房 南北通透', '地标广场  | 6室2厅 | 185平米 | 南 | 其他', '低楼层(共24层)2011年建塔楼  -  地标', '480万', '单价25946元/平米')
('https://image1.ljcdn.com/441900-inspection/42f06aa8-e675-44b5-b476-35121b5df1ec.jpg.296x216.jpg', '虎门超大型社区 户型方正 大三房 社区环境优美', '南部湾万科城  | 3室2厅 | 95平米 | 东南 | 其他', '低楼层(共31层)2015年建塔楼  -  大宁', '230万', '单价24211元/平米')
('https://image1.ljcdn.com/441900-inspection/963fc3ad-7171-43d9-ad92-4faccdd2ca91.jpg.296x216.jpg', '虎门高铁站 房子满两年 户型方正 税费低 业主急售', '金地琥悦  | 3室2厅 | 99平米 | 南 | 其他', '低楼层(共15层)2014年建塔楼  -  万达', '200万', '单价20203元/平米')
('https://image1.ljcdn.com/441900-inspection/e19eb934-f248-45a9-b744-8b44c7134243.jpg.296x216.jpg', '此房满五唯一，采光好，无遮挡，地段繁华。', '诚信大厦  | 2室2厅 | 82平米 | 西北 | 其他', '高楼层(共17层)2003年建塔楼  -  黄河中心', '75万', '单价9147元/平米')
('https://image1.ljcdn.com/441900-inspection/8007bac3-880e-4ce8-87d5-96080204b722.jpg.296x216.jpg', '盛世豪庭高层复式，园林式小区，满五唯一，带车位出售', '盛世豪庭  | 5室2厅 | 127.39平米 | 南 | 其他', '高楼层(共12层)2005年建塔楼  -  黄河中心', '300万', '单价23550元/平米')
('https://image1.ljcdn.com/441900-inspection/73e8f0dc-e643-4801-8620-e8f97c5616a6.jpg.296x216.jpg', '南部湾万科城 精装97平三房 刚需户型 看小区花园', '南部湾万科城  | 3室2厅 | 97平米 | 西南 | 精装', '低楼层(共32层)2015年建塔楼  -  大宁', '210万', '单价21650元/平米')
('https://image1.ljcdn.com/441900-inspection/3a7c70ad-b871-421f-adc7-9e33fb73d886.jpg.296x216.jpg', '虎门镇  中惠悦峰高层小区  出售精装三房', '中惠悦峰  | 3室2厅 | 100平米 | 东南 | 其他', '低楼层(共11层)2015年建塔楼  -  新联', '180万', '单价18000元/平米')
('https://image1.ljcdn.com/441900-inspection/6399d5f4-eb99-4eb5-96f8-8346c3f4bbfe.jpg.296x216.jpg', '悦榕东岸南朝小区看花园的4房  采光通风佳 装修细致', '丰泰悦榕东岸  | 5室2厅 | 175.49平米 | 南 | 其他', '低楼层(共21层)2013年建塔楼  -  新联', '400万', '单价22794元/平米')
