('https://image1.ljcdn.com/441900-inspection/3e0ecad3-3618-4d08-9aeb-60bd7b67ea5f.jpg.296x216.jpg', '稀 缺南向小复式，带前后大花园，满五唯 一', '怡丰翠云轩  | 3室2厅 | 45.44平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '150万', '单价33011元/平米')
('https://image1.ljcdn.com/441900-inspection/e942d0a2-1d6e-4071-80f3-1f890a8a6460.jpg.296x216.jpg', '小区中间位置 通透户型 全屋带装修3房 业主诚意出售', '万科城市高尔夫花园  | 3室2厅 | 128.54平米 | 北 | 简装', '高楼层(共11层)2006年建塔楼  -  寮步', '235万', '单价18283元/平米')
('https://image1.ljcdn.com/441900-inspection/265ea577-2039-43ab-b42a-e5867da83903.jpg.296x216.jpg', '中惠松湖城二期  满2年 精装三房 朝向好  看房方便', '中惠松湖城二期  | 3室2厅 | 110.81平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '195万', '单价17598元/平米')
('https://image1.ljcdn.com/441900-inspection/f46a41b8-98cc-4e80-b4f3-68296220b06a.jpg.296x216.jpg', '万科情景美墅，大三房，毛坯，朝南向。', '万科城市高尔夫花园  | 3室2厅 | 142.9平米 | 南 | 其他', '中楼层(共4层)暂无数据  -  寮步', '240万', '单价16795元/平米')
('https://image1.ljcdn.com/441900-inspection/d7e8cafa-d8f0-4085-914d-7984090c878e.jpg.296x216.jpg', '翠珑湾三期精装修3房，诚意出售，轻轨口物业', '星城翠珑湾三期  | 3室2厅 | 97.13平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '308万', '单价31711元/平米')
('https://image1.ljcdn.com/441900-inspection/d2a14de8-3c4a-4fc2-addc-f994fb86566d.jpg.296x216.jpg', '户型方正，采光，通风，保养良好', '银湖花园  | 3室2厅 | 81.53平米 | 西 | 其他', '中楼层(共7层)暂无数据  -  寮步', '75万', '单价9200元/平米')
('https://image1.ljcdn.com/441900-inspection/0f6585a4-4a38-44e7-97ce-29e4e81a67ca.jpg.296x216.jpg', '松山湖区域，华为旁，莞惠城规三房出售', '星城翠珑湾三期  | 2室2厅 | 111平米 | 南 | 毛坯', '高楼层(共30层)2016年建塔楼  -  寮步', '277.5万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/3af09b34-4941-4140-8c6d-bbe86ce1285b.jpg.296x216.jpg', '光大WE谷，华为旁，松山湖北站地铁口', '星城翠珑湾三期  | 3室2厅 | 96.59平米 | 南 | 精装', '中楼层(共18层)2016年建塔楼  -  寮步', '260万', '单价26918元/平米')
('https://image1.ljcdn.com/441900-inspection/c3bb8a7d-8e88-42d6-9cc3-e4d3d4ff5a30.jpg.296x216.jpg', '万科城市高尔夫 一房一厅 带租约出售 看房方便', '万科城市高尔夫花园  | 1室2厅 | 74.63平米 | 南 北 | 其他', '中楼层(共8层)暂无数据  -  寮步', '120万', '单价16080元/平米')
('https://image1.ljcdn.com/441900-inspection/ad8b9b7e-4151-4f17-81f0-67c06247e3ab.JPG.296x216.jpg', '翠珑湾三期 待装修 毛坯房 南北通透', '星城翠珑湾三期  | 3室2厅 | 118平米 | 南 北 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '300万', '单价25424元/平米')
('https://image1.ljcdn.com/441900-inspection/85e365ee-479f-4565-8896-1c2a5be15f59.jpg.296x216.jpg', '君山大户型，视野好，高层看虎英', '花样年君山  | 5室2厅 | 230平米 | 南 | 其他', '高楼层(共32层)塔楼  -  寮步', '550万', '单价23914元/平米')
('https://image1.ljcdn.com/441900-inspection/17a15ca5-6916-43b1-a3dd-a8c7ffb5283d.jpg.296x216.jpg', '万科城市高尔夫花园 3室2厅 185万', '万科城市高尔夫花园  | 3室2厅 | 114.5平米 | 南 | 其他', '中楼层(共18层)2008年建塔楼  -  寮步', '185万', '单价16158元/平米')
('https://image1.ljcdn.com/441900-inspection/9e60121a-40b5-4a0f-9985-4150606b329d.jpg.296x216.jpg', '怡丰翠云轩满二，4室2厅，南向高层，户型方正', '怡丰翠云轩  | 4室2厅 | 110.96平米 | 南 | 毛坯', '高楼层(共24层)2017年建塔楼  -  石井', '238万', '单价21450元/平米')
('https://image1.ljcdn.com/441900-inspection/dbe433d3-e6f4-4c3d-b956-7864eec3d2b6.jpg.296x216.jpg', '中惠松湖城二期 精装大三房 户型方正 安静看花园', '中惠松湖城二期  | 3室2厅 | 100平米 | 南 | 其他', '低楼层(共25层)2015年建塔楼  -  寮步', '185万', '单价18500元/平米')
('https://image1.ljcdn.com/441900-inspection/0b496652-7a43-45a8-b748-08f539416c22.jpg.296x216.jpg', '松山湖精装三房，户型通透，中高楼层，轻轨口物业', '星城翠珑湾三期  | 3室2厅 | 117平米 | 北 | 精装', '低楼层(共32层)2016年建塔楼  -  寮步', '330万', '单价28206元/平米')
('https://image1.ljcdn.com/441900-inspection/b2bdafa8-c807-49b8-9986-ed0c57871f1f.jpg.296x216.jpg', '满五唯一 楼层好，视野开阔业主诚信 钥匙在店看房方便', '万科城市高尔夫花园  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  寮步', '180万', '单价18557元/平米')
('https://image1.ljcdn.com/441900-inspection/cabb710e-7ba4-492f-823c-633f4a7943b3.jpg.296x216.jpg', '万科精致物业，精装情景美墅，业主急售', '万科城市高尔夫花园  | 3室2厅 | 175.27平米 | 东南 | 其他', '中楼层(共5层)暂无数据  -  寮步', '340万', '单价19399元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadb0b16572-839d-46e4-90aa-0c6128b17e05.jpg.296x216.jpg', '万科高尔夫花园   三居带精修朝南  现诚心出售', '万科城市高尔夫花园  | 3室2厅 | 96平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  寮步', '165万', '单价17188元/平米')
('https://image1.ljcdn.com/441900-inspection/bf772b36-66a1-4890-9891-3c30f42de366.jpg.296x216.jpg', '万科松湖传奇 松山湖片区 精装修 刚需', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '高楼层(共21层)2015年建塔楼  -  寮步', '129万', '单价19847元/平米')
('https://image1.ljcdn.com/441900-inspection/1ceeec82-5cf2-42e2-bcc1-b6e4961465d1.jpg.296x216.jpg', '万科松湖传奇二期左岸 4室2厅 220万', '万科松湖传奇二期左岸  | 4室2厅 | 105.67平米 | 东 | 其他', '中楼层(共11层)2016年建塔楼  -  寮步', '220万', '单价20820元/平米')
('https://image1.ljcdn.com/441900-inspection/f963df6d-63d8-4b8a-8025-00dc1949b1e3.jpg.296x216.jpg', '华为旁松湖北精致三房（莞惠轻轨已通车）', '星城翠珑湾三期  | 3室2厅 | 115.5平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '285万', '单价24676元/平米')
('https://image1.ljcdn.com/441900-inspection/258566df-4465-4451-ab93-360aefb5203e.jpg.296x216.jpg', '城区边沿方正3房，通透采光通风良好，自住满五唯一', '银湖花园  | 3室2厅 | 110.84平米 | 东 东南 | 简装', '低楼层(共11层)塔楼  -  寮步', '168万', '单价15157元/平米')
('https://image1.ljcdn.com/441900-inspection/6f370618-d837-4697-a6b9-53aab2b01963.jpg.296x216.jpg', '满五唯一，免双税，三房两卫大复式，适合一家人居住！', '怡丰翠云轩  | 3室2厅 | 89.42平米 | 北 | 其他', '低楼层(共8层)塔楼  -  石井', '220万', '单价24603元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload136b1f90-4132-461c-ba5a-ee76c4eab46d.jpg.296x216.jpg', '南向大三房，采光好，视野宽阔，适合居家！', '怡丰翠云轩  | 3室2厅 | 106平米 | 南 | 其他', '中楼层(共8层)塔楼  -  石井', '195万', '单价18397元/平米')
('https://image1.ljcdn.com/441900-inspection/9369865d-bf09-4b4a-806f-e4278cd42692.jpg.296x216.jpg', '小区环境好配套设施成熟适合自住和未来很大发展空间', '广源阳光里  | 2室1厅 | 77平米 | 南 北 | 其他', '中楼层(共22层)2016年建塔楼  -  寮步', '126万', '单价16364元/平米')
('https://image1.ljcdn.com/441900-inspection/2ea79d9d-cdfd-4133-bc2b-c4befed573ea.jpg.296x216.jpg', '翠珑湾三期 精装三房 提前预约看房', '星城翠珑湾三期  | 3室2厅 | 116平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '300万', '单价25863元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload82ef2e27-bfd8-4591-906a-71cdfb1f6aad.jpg.296x216.jpg', '振业松湖雅苑 3室2厅 285万', '振业松湖雅苑  | 3室2厅 | 150平米 | 南 | 毛坯', '高楼层(共24层)2014年建塔楼  -  寮步', '285万', '单价19000元/平米')
('https://image1.ljcdn.com/441900-inspection/d757f07c-1535-46fa-8328-e0afaa46a820.jpg.296x216.jpg', '万科高尔夫花园，业主诚心出售，带家私', '万科城市高尔夫花园  | 3室2厅 | 114.5平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '200万', '单价17468元/平米')
('https://image1.ljcdn.com/441900-inspection/f4513f22-a4a1-408b-80cb-9ec17be942fa.jpg.296x216.jpg', '新天地华庭 装修保养好 三房两卫 看房方便', '新天地华庭  | 3室1厅 | 84平米 | 东 | 其他', '低楼层(共6层)2010年建暂无数据  -  寮步', '150万', '单价17858元/平米')
('https://image1.ljcdn.com/441900-inspection/6ff7f2a1-6947-4d8d-9716-16b3c5e8adf1.jpg.296x216.jpg', '中惠松湖城二期配套休闲及娱乐配套完善', '中惠松湖城二期  | 3室2厅 | 85.58平米 | 北 | 其他', '低楼层(共25层)2015年建塔楼  -  寮步', '150万', '单价17528元/平米')
('', '保利中惠精品三房通风好 朝向好', '保利中惠悦城  | 3室2厅 | 99.68平米 | 南 | 简装', '低楼层(共27层)2015年建塔楼  -  寮步', '185万', '单价18560元/平米')
('https://image1.ljcdn.com/441900-inspection/5e23af24-fe0d-468e-99f2-564120473117.jpg.296x216.jpg', '鼎峰尚境 高层 近东城精装南向两房诚意出售，可做三房', '鼎峰尚境一期  | 2室1厅 | 88.62平米 | 南 | 其他', '高楼层(共18层)塔楼  -  寮步', '168万', '单价18958元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload6155c8ae-8c55-46e6-9389-c1ac4568deba.jpg.296x216.jpg', '星城翠珑湾三期 4室2厅 325万', '星城翠珑湾三期  | 4室2厅 | 118平米 | 北 | 其他', '中楼层(共18层)2016年建塔楼  -  寮步', '325万', '单价27543元/平米')
('https://image1.ljcdn.com/441900-inspection/909e4d87-39ac-4b23-8c59-a9293dac9daf.jpg.296x216.jpg', '万科商圈，满五唯一，户型方正，采光好', '万科城市高尔夫花园  | 1室1厅 | 65平米 | 南 | 其他', '低楼层(共24层)2008年建塔楼  -  寮步', '94万', '单价14462元/平米')
('https://image1.ljcdn.com/441900-inspection/2dee6efd-b1db-443d-bddc-a9dd874c4a69.jpg.296x216.jpg', '南北通透，户型方正，家私齐全。', '中惠卡丽兰  | 3室2厅 | 95平米 | 南 北 | 其他', '低楼层(共7层)塔楼  -  寮步', '280万', '单价29474元/平米')
('https://image1.ljcdn.com/441900-inspection/5545ad10-595a-4378-9e51-dde079b35a93.jpg.296x216.jpg', '精装温馨二房 业主诚信出售 户型方正 看房方便', '万科城市高尔夫花园  | 2室2厅 | 64.27平米 | 西南 | 其他', '低楼层(共18层)2008年建塔楼  -  寮步', '105万', '单价16338元/平米')
('', '万科松湖传奇 精装大3房 南北通透 户型方正  业主急卖', '万科松湖传奇  | 3室2厅 | 97平米 | 南 北 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '195万', '单价20104元/平米')
('https://image1.ljcdn.com/441900-inspection/98bb21d3-ffc3-4fdd-a80d-94b69eb3eee3.jpg.296x216.jpg', '中惠松湖城 联排别墅 诚心出售', '中惠松湖城一期   | 联排别墅 | 4室2厅 | 176.99平米 | 南 | 其他', '3层2014年建暂无数据  -  寮步', '480万', '单价27121元/平米')
('https://image1.ljcdn.com/441900-inspection/c0d89adc-a1a0-4118-9073-b88a05383ada.jpg.296x216.jpg', '三房两卫，高楼层南向采光好，无遮挡，宜居家！', '鼎峰尚境一期  | 3室2厅 | 121.55平米 | 南 | 其他', '高楼层(共30层)塔楼  -  寮步', '305万', '单价25093元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload842ad6e1-32cc-4b3c-828e-1281226ad0da.jpg.296x216.jpg', '保利中惠悦城 3室2厅 169.1万', '保利中惠悦城  | 3室2厅 | 89平米 | 南 | 精装', '中楼层(共28层)2015年建塔楼  -  寮步', '169.1万', '单价19000元/平米')
('https://image1.ljcdn.com/441900-inspection/26deadfa-e17f-4290-aa0b-b0d67ee6615f.jpg.296x216.jpg', '房子朝南 看花园 户型方正 通透 楼层好，视野宽', '星城翠珑湾三期  | 4室2厅 | 140.58平米 | 南 | 其他', '高楼层(共26层)2016年建塔楼  -  寮步', '338万', '单价24044元/平米')
('https://image1.ljcdn.com/441900-inspection/16286f2a-b679-4e3e-85b2-65242afafc85.jpg.296x216.jpg', '中惠松湖城二期 精装3房 朝南看金山湖 看房方便', '中惠松湖城二期  | 3室2厅 | 81平米 | 南 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '146万', '单价18025元/平米')
('https://image1.ljcdn.com/441900-inspection/6f3c4f45-984a-4b35-98fb-574456f04942.jpg.296x216.jpg', '万科精装修，优美小区，中高楼层，满二。', '万科松湖传奇  | 3室2厅 | 78平米 | 南 东 | 其他', '高楼层(共21层)2015年建塔楼  -  寮步', '149万', '单价19103元/平米')
('https://image1.ljcdn.com/441900-inspection/2bdc74dc-8df9-4669-9881-d961d42fc45c.jpg.296x216.jpg', '丰泰城一期  低层实用3房 满五唯一', '丰泰城  | 3室2厅 | 109.8平米 | 东 | 其他', '中楼层(共9层)塔楼  -  寮步', '170万', '单价15483元/平米')
('https://image1.ljcdn.com/441900-inspection/e6d4107d-e4d1-4787-acc1-0971ac09ead4.jpg.296x216.jpg', '正大四房，价格比高，户型朝向步步高！', '星城翠珑湾三期  | 4室2厅 | 141.76平米 | 南 | 毛坯', '低楼层(共31层)2016年建塔楼  -  寮步', '298万', '单价21022元/平米')
('https://image1.ljcdn.com/441900-inspection/9d42571d-32ea-4a7d-b7fa-b0b6f34e5f38.jpg.296x216.jpg', '装修保养好，户型方正，采光充足，诚意出售', '丰泰城  | 3室2厅 | 117.2平米 | 南 | 其他', '中楼层(共9层)塔楼  -  寮步', '210.6万', '单价17970元/平米')
('https://image1.ljcdn.com/441900-inspection/689fe161-1e79-4bfe-a3b5-98e48f7fb7f4.jpg.296x216.jpg', '南北通透，三房两厅精装，业主诚意出售', '星城翠珑湾三期  | 3室2厅 | 104平米 | 北 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '280万', '单价26924元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadd9fd9faf-2750-4a10-86e7-93000903469a.jpg.296x216.jpg', '大复式四房三卫，南向，采光好，宜自居！', '中惠卡丽兰  | 4室2厅 | 139.85平米 | 南 | 其他', '低楼层(共10层)塔楼  -  寮步', '270万', '单价19307元/平米')
('https://image1.ljcdn.com/441900-inspection/8ef8e2ac-c6df-46ef-b70a-4154745db824.jpg.296x216.jpg', '万科松湖传奇 3室2厅 185万', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '185万', '单价19073元/平米')
('https://image1.ljcdn.com/441900-inspection/97a50da9-2d15-4581-b9f4-ca3de6816ab3.jpg.296x216.jpg', '万科高尔夫，满五唯一，一房一厅，户型方正，楼层佳', '万科城市高尔夫花园  | 1室1厅 | 47平米 | 东南 | 其他', '低楼层(共18层)2006年建塔楼  -  寮步', '70万', '单价14894元/平米')
('', '房子带装修业主自住松山湖CBD松湖智谷旁振业松湖雅苑', '振业松湖雅苑  | 2室2厅 | 98平米 | 南 | 精装', '低楼层(共24层)2014年建塔楼  -  寮步', '240万', '单价24490元/平米')
('https://image1.ljcdn.com/441900-inspection/9eff52d6-6560-4e02-bc3f-058728e349e3.jpg.296x216.jpg', '怡丰翠云轩北向两居满五唯一精装修房子。', '怡丰翠云轩  | 2室2厅 | 79.57平米 | 北 | 其他', '中楼层(共10层)塔楼  -  石井', '153万', '单价19229元/平米')
('https://image1.ljcdn.com/441900-inspection/9aa2fb1d-dc64-4203-941f-a9302a91757b.jpg.296x216.jpg', '此房位置安静，满五唯一，南向采光好，精装三房', '丰泰旗山绿洲  | 3室2厅 | 94.25平米 | 西南 东北 | 其他', '低楼层(共23层)2012年建塔楼  -  寮步', '209万', '单价22176元/平米')
('https://image1.ljcdn.com/441900-inspection/504af19d-4696-426a-b274-05aeb2aa9641.jpg.296x216.jpg', '黄旗观邸 方正两房 厅出阳台 采光充足', '丰泰黄旗观邸  | 2室2厅 | 60.51平米 | 东北 | 其他', '中楼层(共24层)塔楼  -  寮步', '108万', '单价17849元/平米')
('https://image1.ljcdn.com/441900-inspection/45a4273a-ebec-4b26-99d5-11e09c0d56dc.jpg.296x216.jpg', '君山联排别墅 边位带大花园 业主急卖 诚意出售', '花样年君山   | 联排别墅 | 6室2厅 | 486.01平米 | 南 | 毛坯', '3层暂无数据  -  寮步', '580万', '单价11934元/平米')
('https://image1.ljcdn.com/441900-inspection/f15befad-7f8c-41ea-b7cf-28083caf9e52.jpg.296x216.jpg', '丰泰三期别墅 近虎英公园 带地下室 洋房的价格', '丰泰旗山橡树郡   | 联排别墅 | 5室2厅 | 327平米 | 南 | 其他', '3层暂无数据  -  寮步', '600万', '单价18349元/平米')
('', '小高层，使用率高，公摊小，中间层，采光好。', '嘉湖山庄  | 3室2厅 | 76.39平米 | 北 | 其他', '中楼层(共7层)暂无数据  -  寮步', '92万', '单价12044元/平米')
('https://image1.ljcdn.com/441900-inspection/d79cd8f9-30b2-4a37-b4b4-639160dd64b5.jpg.296x216.jpg', '精装两房 高楼层 业主诚心出售 欢迎随时看房', '万科松湖传奇  | 2室1厅 | 65平米 | 南 | 其他', '高楼层(共21层)2015年建塔楼  -  寮步', '122万', '单价18770元/平米')
('https://image1.ljcdn.com/441900-inspection/f9e97162-fce9-448e-bb07-43b45df22fd1.jpg.296x216.jpg', '保利中惠悦城心语花园，精装三房，交通便利 环境优美', '保利中惠悦城  | 3室1厅 | 89平米 | 南 北 | 其他', '高楼层(共25层)2015年建塔楼  -  寮步', '170万', '单价19102元/平米')
('https://image1.ljcdn.com/441900-inspection/43011e45-1c02-4858-af37-cb29cf9b5ac4.jpg.296x216.jpg', '保利中惠悦城 2室1厅 140万', '保利中惠悦城  | 2室1厅 | 69.5平米 | 南 | 其他', '高楼层(共27层)2015年建塔楼  -  寮步', '140万', '单价20144元/平米')
('https://image1.ljcdn.com/441900-inspection/40f480a5-27fd-41c4-bd68-56041a673321.jpg.296x216.jpg', '业主精装修、未入住、诚心出售、可满五唯一', '振业松湖雅苑  | 3室2厅 | 96.31平米 | 南 | 其他', '高楼层(共7层)2014年建板楼  -  寮步', '190万', '单价19728元/平米')
('https://image1.ljcdn.com/441900-inspection/5f4b680a-54c7-468a-a94f-335182c3cfc1.jpg.296x216.jpg', '保利中惠悦城  精品优质三房 户型方正  交通便利', '保利中惠悦城  | 3室2厅 | 89平米 | 南 | 精装', '中楼层(共28层)2015年建塔楼  -  寮步', '170万', '单价19102元/平米')
('https://image1.ljcdn.com/441900-inspection/e19436bf-9864-4d61-a3be-5af76fdfc540.jpg.296x216.jpg', '看房方便，户型方正，房屋保养的很好，业主诚信出售', '万科城市高尔夫花园  | 3室2厅 | 114.5平米 | 东南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '205万', '单价17904元/平米')
('', '价格便宜  楼层为低楼层  适合老人小孩生活', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '125万', '单价19231元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload61c2d22c-764a-44be-8abc-22bf2676e1fc.jpg.296x216.jpg', '诚意出售看房方便价格可谈有产权车位', '中惠松湖城二期  | 3室2厅 | 95平米 | 南 | 毛坯', '高楼层(共25层)2014年建塔楼  -  寮步', '170万', '单价17895元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade36f49ca-2241-43c6-a8e0-764ea99a3e46.jpg.296x216.jpg', '翠珑湾三期 精装三房 业主急售', '星城翠珑湾三期  | 3室2厅 | 116平米 | 北 | 其他', '中楼层(共29层)2016年建塔楼  -  寮步', '290万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/0fd5b335-ede9-4709-a0ff-b6d5101b2f8e.jpg.296x216.jpg', '中惠松湖城精装2房 全新未入住  中高楼层 视野好', '保利中惠悦城  | 2室2厅 | 69.5平米 | 西北 | 其他', '高楼层(共27层)2015年建塔楼  -  寮步', '140万', '单价20144元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload695c86b8-eb3f-4e14-b124-cdc3df1c4861.jpg.296x216.jpg', '中惠卡丽兰 复式四房 小区中间位 唯一住房', '中惠卡丽兰  | 4室2厅 | 140平米 | 南 | 毛坯', '中楼层(共10层)塔楼  -  寮步', '280万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/1d7f8d61-1890-43f1-8a6b-decb6cf1b14e.jpg.296x216.jpg', '刚需户型，方正漂亮，布局合理，通风采光都很好。', '星城翠珑湾三期  | 3室2厅 | 82.85平米 | 南 | 其他', '低楼层(共30层)2016年建塔楼  -  寮步', '215万', '单价25951元/平米')
('https://image1.ljcdn.com/441900-inspection/2865289a-e1e8-4f0c-9b51-c76b033f9e0d.jpg.296x216.jpg', '户型方正漂亮，各个房间朝南，中高楼层，采光通风好！', '星城翠珑湾三期  | 3室2厅 | 105.06平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  寮步', '300万', '单价28556元/平米')
('', '朝北看花园，中楼层，精装大三房诚意出售', '星城翠珑湾三期  | 3室2厅 | 111平米 | 北 | 其他', '中楼层(共30层)2016年建塔楼  -  寮步', '310万', '单价27928元/平米')
('https://image1.ljcdn.com/441900-inspection/03fdda8b-601c-4428-8e7a-839492924b08.jpg.296x216.jpg', '精装复式5房 全屋精致装修 小区安静位 业主诚意出售', '中惠卡丽兰  | 5室2厅 | 140.15平米 | 南 | 其他', '高楼层(共10层)塔楼  -  寮步', '270万', '单价19266元/平米')
('https://image1.ljcdn.com/441900-inspection/79c9c8f9-764f-4d61-8cd1-52dde90e7312.jpg.296x216.jpg', '万科松湖传奇 新装修3房 户型方正 安静看花园 视野好', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '中楼层(共25层)2015年建塔楼  -  寮步', '190万', '单价19588元/平米')
('https://image1.ljcdn.com/441900-inspection/92214aaf-0b7a-4441-9ddc-a4f2c216c9ab.jpg.296x216.jpg', '房子带车位一起售  有钥匙看房', '中惠松湖城二期  | 3室2厅 | 97.95平米 | 南 | 其他', '高楼层(共25层)2014年建塔楼  -  寮步', '190万', '单价19398元/平米')
('https://image1.ljcdn.com/441900-inspection/f3a0d2d2-5575-4f14-b31a-3cf988242d79.jpg.296x216.jpg', '中惠松湖城二期 3室2厅 185万', '中惠松湖城二期  | 3室2厅 | 101平米 | 南 | 简装', '中楼层(共25层)2014年建塔楼  -  寮步', '185万', '单价18317元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8d42a6b7-607f-4f1b-baf2-1bacae3f7964.jpg.296x216.jpg', '振业松湖雅苑 4室2厅 240万', '振业松湖雅苑  | 4室2厅 | 137平米 | 南 北 | 毛坯', '低楼层(共24层)2014年建塔楼  -  寮步', '240万', '单价17519元/平米')
('https://image1.ljcdn.com/441900-inspection/6dff9079-f378-4649-b5bc-2da48981c021.jpg.296x216.jpg', '翠珑湾三期 毛坯房 提前预约看房', '星城翠珑湾三期  | 3室2厅 | 116.2平米 | 南 | 其他', '低楼层(共29层)2016年建塔楼  -  寮步', '325万', '单价27970元/平米')
('', '小区装修温馨  适合家庭入住  配套设施完善', '万科松湖传奇  | 2室2厅 | 65.15平米 | 南 | 其他', '低楼层(共21层)2015年建塔楼  -  寮步', '130万', '单价19954元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadb0bb6170-31a1-44ce-bf98-1bf080431b8c.jpg.296x216.jpg', '高层户型方正，采光通风良好，看花园！', '星城翠珑湾三期  | 3室2厅 | 110.48平米 | 北 | 其他', '高楼层(共26层)2016年建塔楼  -  寮步', '280万', '单价25344元/平米')
('https://image1.ljcdn.com/441900-inspection/756990d0-c667-424a-a4d6-28bff82e9efd.jpg.296x216.jpg', '中惠松湖城二期 ，183平别墅在卖，3层，前后花园', '中惠松湖城二期   | 联排别墅 | 6室2厅 | 184.93平米 | 东南 | 毛坯', '3层2015年建暂无数据  -  寮步', '600万', '单价32445元/平米')
('https://image1.ljcdn.com/441900-inspection/bf05e4ff-5e1b-42a0-bafc-e778d98791b7.jpg.296x216.jpg', '诚意出售 房型方正 布局合理 钥匙房 看房方便', '振业松湖雅苑  | 4室2厅 | 150.49平米 | 南 北 | 其他', '低楼层(共24层)2014年建塔楼  -  寮步', '235万', '单价15616元/平米')
('https://image1.ljcdn.com/441900-inspection/ef2fe44a-5618-4298-b734-70f25b15893b.jpg.296x216.jpg', '中惠卡丽兰复式 全屋精致装修 朝南采光好  业主包个税', '中惠卡丽兰  | 3室2厅 | 94.7平米 | 南 北 | 其他', '中楼层(共7层)塔楼  -  寮步', '230万', '单价24288元/平米')
('https://image1.ljcdn.com/441900-inspection/af496e37-75ca-43a4-bc68-fab3f53eae6b.jpg.296x216.jpg', '鼎峰尚境  满五唯一免双税  交通便利 配套齐全', '鼎峰尚境二期  | 3室2厅 | 90.4平米 | 南 | 其他', '中楼层(共18层)塔楼  -  石井', '226万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/6d7ae581-5699-4d49-aaaa-8052000f7b23.jpg.296x216.jpg', '星城翠珑湾三期 3室2厅 245万', '星城翠珑湾三期  | 3室2厅 | 98.13平米 | 南 | 其他', '高楼层(共29层)2016年建塔楼  -  寮步', '245万', '单价24967元/平米')
('', '万科精装修，温馨两房，采光好，', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '130万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2a8d6959-a391-4500-a96b-8d249acb39de.jpg.296x216.jpg', '华为基地，地铁口物业，看房方便', '星城翠珑湾三期  | 4室2厅 | 138平米 | 南 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '320万', '单价23189元/平米')
('https://image1.ljcdn.com/441900-inspection/de18bfaf-5616-4731-ba62-1129234f199d.jpg.296x216.jpg', '保利中惠悦城 三居室 双卫生间 出门就是体育馆', '保利中惠悦城  | 3室2厅 | 106平米 | 南 北 | 精装', '中楼层(共24层)2016年建塔楼  -  寮步', '228万', '单价21510元/平米')
('https://image1.ljcdn.com/441900-inspection/34029538-947b-4b30-a4d5-f2b501145dd7.jpg.296x216.jpg', '振业松湖雅苑 3室2厅 180万', '振业松湖雅苑  | 3室2厅 | 90平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  寮步', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/4fec2be1-fea9-4060-b9ff-93c41e5231a1.jpg.296x216.jpg', '星城玉珑湾 精装三房 户型方正', '星城翠珑湾三期  | 3室2厅 | 105.6平米 | 南 | 毛坯', '中楼层(共32层)2016年建塔楼  -  寮步', '280万', '单价26516元/平米')
