('https://image1.ljcdn.com/510100-inspection/test-9bbd51cb-92b9-402c-8438-0615cb5db19d.png.296x216.jpg', '锦城苑套三 小区环境优美 安静', '锦城苑  | 3室2厅 | 131.58平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  茶店子', '180万', '单价13680元/平米')
('https://image1.ljcdn.com/510100-inspection/test-748e877b-ae6e-4dd6-b0c4-1162730cb147.png.296x216.jpg', '二环边+有装修+套二采光好，不临街', '金城丽景  | 2室2厅 | 73.2平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2004年建塔楼  -  营门口', '118万', '单价16121元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8dc8a836-4f43-49dc-b547-0d15fd83eccf.png.296x216.jpg', '星河路社区标准套二户型方正不临街客厅带阳台', '星河路社区  | 2室1厅 | 64.12平米 | 南 | 简装 | 无电梯', '高楼层(共7层)板塔结合  -  西南交大', '78万', '单价12165元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ffa60b1c-54ed-40d1-bc66-fe9eed0a315f.png.296x216.jpg', '金沙巷10号标准套二，高楼层采光好。', '金沙巷10号  | 2室1厅 | 61.8平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1996年建板楼  -  沙湾', '81万', '单价13107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ca05650a-1d58-416b-878c-c0a48563ce0d.png.296x216.jpg', '幸福春天 套三 居家装修 前后对中庭', '幸福春天  | 3室2厅 | 123.53平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  茶店子', '180万', '单价14572元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c4d63fda-bf2e-4294-812d-bb86c75a6e85.png.296x216.jpg', '上层建筑 套二 有装修 中高楼层', '上层建筑  | 2室2厅 | 90.79平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2008年建板楼  -  蜀汉路', '190万', '单价20928元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c659deb2-0b4f-4306-8d8e-467d0eff3027.png.296x216.jpg', '华宇经典套二户型，有装修，可以随时看房', '锦城名都  | 2室2厅 | 86.12平米 | 东南 西北 | 其他 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  营门口', '180万', '单价20902元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5e5d900e-cdc5-40c1-b431-fc41866f7422.png.296x216.jpg', '锦城名都 高楼层  套三 有装修家具家电', '锦城名都  | 3室2厅 | 104.52平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)板塔结合  -  营门口', '228万', '单价21815元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d2898a0b-7561-402b-9828-069e0b06c8cc.png.296x216.jpg', '一环内金仙桥路曦城09年电梯房 清水套二带双阳台', '曦城  | 2室1厅 | 81.22平米 | 西 | 毛坯 | 有电梯', '高楼层(共33层)2009年建板楼  -  花牌坊', '180万', '单价22163元/平米')
('https://image1.ljcdn.com/510100-inspection/test-48caba90-f58e-4d4d-b77f-b5924455ad51.png.296x216.jpg', '标准宜居三室 有装修 有阳台 预约看房', '平福巷6号小区  | 3室2厅 | 76.59平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)暂无数据  -  金牛万达', '110万', '单价14363元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload16eb2d3c-f85a-4b7d-a808-78acc4715c67.jpg.296x216.jpg', '众合华庭低楼层标准套三，带花园', '众合华庭  | 3室2厅 | 122.1平米 | 东北 | 精装 | 无电梯', '低楼层(共7层)2000年建板楼  -  西南交大', '270万', '单价22114元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fc09f98b-9ce9-47ce-8d7e-665984e5a157.png.296x216.jpg', '金牛国宾 保利中庭套三 客厅带阳台 户型无浪费', '保利梧桐语  | 3室2厅 | 94.95平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2014年建板塔结合  -  高家庄', '182万', '单价19168元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bc979906-8d51-4fd5-901d-9830f41b2850.png.296x216.jpg', '城西故事，三室两厅，中间楼层，有采光！', '城西故事  | 3室2厅 | 139.1平米 | 西北 | 其他 | 有电梯', '中楼层(共17层)1999年建板楼  -  通惠门', '158万', '单价11359元/平米')
('https://image1.ljcdn.com/510100-inspection/test-000ce540-2717-425d-9d6a-6700731159ee.png.296x216.jpg', '蜀汉路地铁口 金都花园 套三出售', '金都花园  | 3室2厅 | 151.31平米 | 东 东南 | 其他 | 有电梯', '中楼层(共11层)2003年建板楼  -  蜀汉路', '230万', '单价15201元/平米')
('https://image1.ljcdn.com/510100-inspection/test-424c4d65-588c-44ad-8b9d-e98e82198e05.png.296x216.jpg', '万科金域西岭，套二，有装修，客厅有阳台', '万科金域西岭  | 2室2厅 | 89.81平米 | 西北 | 其他 | 有电梯', '低楼层(共34层)2012年建板楼  -  国宾', '185万', '单价20600元/平米')
('https://image1.ljcdn.com/510100-inspection/test-38e60894-782c-4990-86b6-1298f0e88290.png.296x216.jpg', '交大智能小区八期低楼层套二不临街', '交大智能八期  | 2室1厅 | 64.55平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  营门口', '110万', '单价17042元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload9665303e-dcc1-4cb0-b667-678a8c152695.jpg.296x216.jpg', '金都花园 3室1厅 320万', '金都花园  | 3室1厅 | 151.31平米 | 东南 | 其他 | 有电梯', '高楼层(共11层)2003年建板楼  -  蜀汉路', '320万', '单价21149元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ea42fbe4-2763-4a10-9228-1a530fb18045.png.296x216.jpg', '两室两厅一厨一卫， 客厅带阳台， 厨房有生活阳台', '阳曦芙蓉城  | 2室2厅 | 89.57平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2009年建板楼  -  茶店子', '190万', '单价21213元/平米')
('https://image1.ljcdn.com/510100-inspection/test-86b7686b-4be9-4ada-91d0-ace3512f32b6.png.296x216.jpg', '锦城名都套二、有装修、中间楼层、东南向', '锦城名都  | 2室2厅 | 60.91平米 | 东南 | 精装 | 有电梯', '中楼层(共33层)2009年建板塔结合  -  营门口', '124万', '单价20358元/平米')
('https://image1.ljcdn.com/510100-inspection/a39bc5f1-a608-42fa-b63d-34be59ed56bf.jpg.296x216.jpg', '标准套二，安静不临街，对中庭，中间楼层。', '书香门第  | 2室1厅 | 59.76平米 | 西北 | 简装 | 有电梯', '中楼层(共18层)2004年建塔楼  -  花牌坊', '90万', '单价15061元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42c81f82-cd5f-421a-bcd7-a1e1682b4653.png.296x216.jpg', '龙湖源著西区 有装修 套三双卫', '龙湖源著西区  | 3室2厅 | 107.98平米 | 东 | 精装', '低楼层(共16层)2016年建板楼  -  高家庄', '240万', '单价22227元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b3d37cc1-5531-4fdf-9bff-ca7fbf7d0f74.png.296x216.jpg', '多层套三 无装修 不临街 有阳台 中上楼层', '福兴苑  | 3室2厅 | 81.51平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1998年建板塔结合  -  茶店子', '110万', '单价13496元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2ff3e642-5187-49ef-873f-43962dc05ff1.png.296x216.jpg', '标准两居室，客厅带阳台，采光好', '金海岸  | 2室1厅 | 69.67平米 | 西南 | 其他', '高楼层(共6层)2004年建板楼  -  花照壁', '123万', '单价17655元/平米')
('https://image1.ljcdn.com/510100-inspection/test-939613c1-f931-429a-84d0-d0e0d0d59497.png.296x216.jpg', '金牛区教师宿舍+套三+有装修+有家具家电', '金牛区教师宿舍  | 3室1厅 | 93.29平米 | 西南 | 其他', '高楼层(共7层)板楼  -  营门口', '129万', '单价13828元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b44e9a45-2fbe-4cdd-aaf3-020e719b1f29.png.296x216.jpg', '蓝色空间如意府+有装修+采光好', '蓝色空间如意府  | 3室2厅 | 117.02平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  花照壁', '172万', '单价14699元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b740dcac-374c-4094-a29f-bf0a048c4324.png.296x216.jpg', '马鞍北路社区   套二  有装修   采光好', '马鞍北路社区  | 2室1厅 | 55.75平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  马鞍路', '74万', '单价13274元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ea768434-e643-4ec3-af56-264e8d817c94.png.296x216.jpg', '一品天下，黄忠三期悦民苑，有装修套二', '悦民苑  | 2室2厅 | 93.88平米 | 东南 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  一品天下', '112万', '单价11931元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1e2977e4-a7b7-4a2b-a673-dfd08823d051.png.296x216.jpg', '二环内，中间楼层，多层步梯套二', '金沙巷16号  | 2室2厅 | 92.3平米 | 东南 西北 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  沙湾', '120万', '单价13002元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ba87e713-d955-4c7b-ae53-96da6b972990.png.296x216.jpg', '营康西路29号 套一改套二简单装修', '外化成营康西路29号  | 1室1厅 | 44.74平米 | 东南 | 其他', '中楼层(共7层)暂无数据  -  一品天下', '59万', '单价13188元/平米')
('https://image1.ljcdn.com/510100-inspection/test-daad716f-e589-4994-8977-d4b7483c833b.png.296x216.jpg', '二环边的标准套二，中间楼层，户型方正。', '外化成五里墩东街77号  | 2室2厅 | 75.6平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  一品天下', '110万', '单价14551元/平米')
('https://image1.ljcdn.com/510100-inspection/test-95d39ec9-5bf3-42ca-88e4-8d2fd6d4b141.png.296x216.jpg', '金沙上城套二，有装修，有阳台，视野好', '金沙上城  | 2室2厅 | 66.49平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2006年建板塔结合  -  蜀汉路', '103万', '单价15492元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a8b80b23-fc3f-4f97-ac3a-73ebe2fe2345.png.296x216.jpg', '老小区多层套二 安静不临街 朝东南 有钥匙看房方便', '马鞍东路社区  | 2室1厅 | 49.93平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)1998年建板塔结合  -  马鞍路', '70万', '单价14020元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b1135434-6f05-4c13-afaf-70232aa687c9.png.296x216.jpg', '门口地铁7号线花照壁地铁站，套三双卫，居家装修', '和睦新天地  | 3室2厅 | 108.07平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  营门口', '220万', '单价20358元/平米')
('https://image1.ljcdn.com/510100-inspection/test-025b5d5c-bd22-41ba-8b5b-fde4d897f48c.png.296x216.jpg', '檀香花园 套三单卫 看房提前预约', '檀香花园  | 3室2厅 | 92.14平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2011年建塔楼  -  国宾', '157万', '单价17040元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7cfa2486-5e7a-47ff-a3cf-18183a36c88c.png.296x216.jpg', '碧蔓汀 宜居两室 有装修 有阳台', '富丽碧蔓汀  | 2室2厅 | 62.12平米 | 西北 | 精装 | 有电梯', '中楼层(共26层)2009年建板楼  -  金牛万达', '150万', '单价24147元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7f64a63c-1054-428a-b1ce-708351d707fc.png.296x216.jpg', '房子居家装修，业主自己在住，看房提前约。', '九里园  | 3室2厅 | 113.2平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  沙湾', '158万', '单价13958元/平米')
('https://image1.ljcdn.com/510100-inspection/test-439fd743-31ee-4dab-ade3-828d8a57fbfd.png.296x216.jpg', '蓝光云鼎套三户型，东北朝向，不临街', '蓝光云鼎  | 3室1厅 | 83.6平米 | 东北 | 其他 | 有电梯', '高楼层(共28层)2012年建板塔结合  -  一品天下', '240万', '单价28709元/平米')
('https://image1.ljcdn.com/510100-inspection/6c85732c-1288-4f3a-926b-224683446a68.jpg.296x216.jpg', '一环内 花牌坊街 荷里活 跃层套三 有装修', '荷里活  | 3室2厅 | 45.83平米 | 西南 | 其他 | 有电梯', '中楼层(共24层)2012年建板楼  -  花牌坊', '138万', '单价30112元/平米')
('https://image1.ljcdn.com/510100-inspection/test-934a762b-961b-467e-a71d-50df7a889485.png.296x216.jpg', '大套二改套三  采光通透  楼顶带等面积花园  不临街', '憩园公寓  | 2室2厅 | 117.75平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建板塔结合  -  花牌坊', '175万', '单价14862元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2955e0e2-6bfa-415f-871b-009131d01d1d.png.296x216.jpg', '金牛区解放路田家巷16号套二户型', '田家巷16号  | 2室1厅 | 63.93平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1997年建暂无数据  -  金牛万达', '76万', '单价11889元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5a67447a-14d2-4cc8-9bc2-790631ea3d48.png.296x216.jpg', '白鸽岛尚 精装套三 双卫 客厅阳台', '白鸽岛尚  | 3室1厅 | 120.78平米 | 西南 | 其他 | 有电梯', '高楼层(共19层)2008年建板塔结合  -  高家庄', '190万', '单价15732元/平米')
('https://image1.ljcdn.com/510100-inspection/test-321cd42d-81b8-4b22-b41e-6064ac2fcfe0.png.296x216.jpg', '兴元绿洲 低楼层   户型方正 简装套二', '兴元绿洲一期  | 2室2厅 | 94.57平米 | 东南 | 其他 | 有电梯', '低楼层(共22层)2007年建塔楼  -  金府', '136万', '单价14381元/平米')
('https://image1.ljcdn.com/510100-inspection/test-489004eb-79eb-4bc7-8506-b9c01692d503.png.296x216.jpg', '锦西民园小区 三室两厅 交通便利', '锦西民园  | 3室2厅 | 110平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  西南交大', '195万', '单价17728元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bbf61b74-687e-48d9-bb99-c2f7556dbdfb.png.296x216.jpg', '德意馨苑 套三双卫 中高楼层 采光好', '德意馨苑  | 3室2厅 | 127.88平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2003年建板塔结合  -  蜀汉路', '190万', '单价14858元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0158e810-9b0e-451f-a6a5-096ed0d683be.png.296x216.jpg', '华宇锦城名都     套二   有装修', '锦城名都  | 2室1厅 | 87.21平米 | 西北 | 其他 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  营门口', '170万', '单价19494元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eaf9aa15-41b0-4b25-b1ed-fda9cb1e33fe.png.296x216.jpg', '一环内 花牌坊 中间楼层 套二不临街', '马河湾38号  | 2室1厅 | 62.85平米 | 东南 | 其他', '中楼层(共7层)2000年建板楼  -  花牌坊', '88万', '单价14002元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c455a7c8-ceab-4631-b310-e341aa9db79b.png.296x216.jpg', '双城有装修套一，客厅带大阳台安静不临街', '双城  | 1室1厅 | 57.42平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2009年建板塔结合  -  花牌坊', '100万', '单价17416元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8ef9a326-1ef1-411a-a455-48a83c3c8d1e.png.296x216.jpg', '泰基花语廊套二出售 ， 有装修', '泰基花语廊  | 2室2厅 | 90.7平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  茶店子', '173万', '单价19074元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5e5c278a-b4a5-4e29-a0ab-e4136bf10610.png.296x216.jpg', '西线阳光套三+户型方正+安静不临街', '西线阳光  | 3室2厅 | 86.9平米 | 西北 | 其他 | 有电梯', '低楼层(共18层)2007年建板楼  -  高家庄', '136万', '单价15651元/平米')
('https://image1.ljcdn.com/510100-inspection/test-90b0ef78-92c2-45cb-bf55-86c4496187e5.png.296x216.jpg', '沙河源标准套二，朝南采光好，户型方正，明厨明卫', '沙河源上金府  | 2室2厅 | 88.49平米 | 东南 | 其他 | 有电梯', '高楼层(共22层)2009年建板楼  -  五块石', '130万', '单价14691元/平米')
('https://image1.ljcdn.com/510100-inspection/test-531b0db8-c59c-46dc-82f5-b4ef8a13f4d8.png.296x216.jpg', '成华街2号  套二  有装修   采光好', '成华街2号  | 2室1厅 | 61.35平米 | 东 | 其他', '高楼层(共7层)1998年建板楼  -  马鞍路', '86万', '单价14018元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a8188bfc-46c5-4037-a7e2-d4bcc930c757.png.296x216.jpg', '二环外侧套三出售    产权满二', '外化成二环路西三段60号  | 3室1厅 | 89.52平米 | 西北 | 其他', '低楼层(共7层)板楼  -  一品天下', '143万', '单价15975元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26070f8a-15c6-47e6-98a0-d0cada641a48.png.296x216.jpg', '锦西名宅东区，顶跃带花园，户型方正，有装修', '锦西名宅东区  | 3室2厅 | 110.25平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  营门口', '178万', '单价16146元/平米')
('https://image1.ljcdn.com/510100-inspection/5e04a71e-e498-4395-b729-1ff024aadc15.jpg.296x216.jpg', '千和银杏花苑 3室1厅 190万', '千和银杏花苑  | 3室1厅 | 115.85平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  茶店子', '190万', '单价16401元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8686e34d-7dbe-4399-93df-548c6826afdc.png.296x216.jpg', '幸福彼岸刚需小套二，卧室带阳台采光好，视野开阔', '幸福彼岸  | 2室1厅 | 62.84平米 | 东南 | 简装 | 有电梯', '高楼层(共22层)2007年建板楼  -  五块石', '92万', '单价14641元/平米')
('https://image1.ljcdn.com/510100-inspection/test-084b7c56-422d-4470-aa6b-20f217c3a922.png.296x216.jpg', '天悦城清水套二 视野好采光好 小区中间位置', '天悦城  | 2室1厅 | 72平米 | 东 | 其他', '高楼层(共33层)2016年建板楼  -  五块石', '106万', '单价14723元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e939f06c-d2ff-4c12-98e4-e83945906e04.png.296x216.jpg', '九里堤中路46号+不临街+标准套二+朝南采光好', '九里堤中路46号院  | 2室1厅 | 68.67平米 | 东 | 其他', '高楼层(共6层)1998年建板楼  -  九里堤', '90万', '单价13107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b025632c-2672-418b-ae50-d4c92ed55698.png.296x216.jpg', '懋园 西沿风景  套三出售 有装修', '懋园西沿风景  | 3室2厅 | 98.86平米 | 西北 | 精装 | 无电梯', '中楼层(共6层)2005年建板塔结合  -  茶店子', '185万', '单价18714元/平米')
('https://image1.ljcdn.com/510100-inspection/test-81131845-f8bb-44d6-9e09-47fab09e17f5.png.296x216.jpg', '恒大西锦城，客厅卧室带阳台。对中庭', '恒大西锦城  | 3室2厅 | 124.13平米 | 西北 | 其他 | 有电梯', '低楼层(共29层)2012年建塔楼  -  国宾', '286万', '单价23041元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e47f2d80-4323-4658-a14c-4e9401ae2c6b.png.296x216.jpg', '城市绿舟花园+户型方正+前后不临街+采光好', '城市绿舟花园  | 2室2厅 | 86平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  花照壁', '130万', '单价15117元/平米')
('https://image1.ljcdn.com/510100-inspection/test-817609c1-c0cc-4247-9974-4320c6aa02ef.png.296x216.jpg', '鹿鼎花园标准套二，两室两厅一厨一卫', '鹿鼎花园  | 2室2厅 | 89.16平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2003年建板楼  -  金牛万达', '118万', '单价13235元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1ad48803-2b78-47f1-9041-46488b41c923.png.296x216.jpg', '华宇锦城名都A区，里面标准套二，', '锦城名都  | 2室1厅 | 87.9平米 | 西北 | 其他 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  营门口', '195万', '单价22185元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8055df9a-047a-4d53-bd6d-14bbb842a0b1.png.296x216.jpg', '金牛区泰宏街8号   低楼层 风景好', '平安苑  | 2室2厅 | 108.5平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2003年建板楼  -  金牛万达', '170万', '单价15669元/平米')
('https://image1.ljcdn.com/510100-inspection/test-299083a0-d8d3-4570-8011-2e0b309e0093.png.296x216.jpg', '黄忠二期惠民苑 两室有装修 低楼层 有钥匙', '惠民苑  | 2室1厅 | 77.04平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  蜀汉路', '105万', '单价13630元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7da3f97a-d8ce-43e0-8d7b-31b00277e101.png.296x216.jpg', '五福花园  中低楼层  大套三适合居住', '五福花园  | 3室2厅 | 97.48平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  五块石', '130万', '单价13337元/平米')
('https://image1.ljcdn.com/510100-inspection/test-95908395-73e1-435b-8880-94f99256b178.png.296x216.jpg', '标准套一，70年产权住宅，户型方正，客厅带阳台', '一品荷花  | 1室1厅 | 63.64平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2008年建塔楼  -  五块石', '76万', '单价11943元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c5c92adf-18f5-4c64-a41d-8f19df577686.png.296x216.jpg', '金牛国宾 2014年小区 户型方正 无浪费空间 有钥匙', '保利梧桐语  | 1室1厅 | 59.74平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2014年建板塔结合  -  高家庄', '115万', '单价19251元/平米')
('https://image1.ljcdn.com/510100-inspection/test-176c8aab-a7cc-41e9-8509-fadbb97519f4.png.296x216.jpg', '华宇锦城名都对中庭套三，中间楼层。', '锦城名都  | 3室2厅 | 118.54平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2008年建板塔结合  -  营门口', '260万', '单价21934元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2d2d7e07-5f08-41af-8fef-a7a916fd7961.png.296x216.jpg', '金牛区     一环边       营策巷多层套二', '营策巷20号  | 2室1厅 | 64.67平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1990年建板楼  -  抚琴小区', '70万', '单价10825元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b28edaa-0e27-47ac-9763-97f4138173c2.png.296x216.jpg', '五里墩东二巷四号院套二居家装修', '外化成五里墩东二巷4号院  | 2室1厅 | 62.59平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)暂无数据  -  一品天下', '80万', '单价12782元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ca40a1eb-1296-498f-b7b3-d4379100e95b.png.296x216.jpg', '金港湾花园二期 套二 出售 有装修', '金港湾花园二期  | 2室2厅 | 87.09平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  茶店子', '140万', '单价16076元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf0f5e98-2e79-41c0-85af-d7c2830ed104.png.296x216.jpg', '一环路电梯房、有装修、不临街、套一', '昭艺大厦  | 1室1厅 | 38.58平米 | 东南 南 西南 西 | 其他 | 有电梯', '中楼层(共16层)2002年建塔楼  -  抚琴小区', '50万', '单价12961元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42729f7d-0bc8-479a-8d43-55e6a38814c0.png.296x216.jpg', '电梯套三单卫，基本装修，空置中', '北辰花园  | 3室1厅 | 119.1平米 | 东 | 其他 | 有电梯', '中楼层(共12层)2000年建板楼  -  马鞍路', '160万', '单价13435元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0c28aaee-241d-4052-be25-4b8de84776a4.png.296x216.jpg', '金房苑月圆 套二 主卧带阳台客厅带飘窗', '金房月圆  | 2室2厅 | 95.49平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2000年建板楼  -  营门口', '118万', '单价12358元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2ad8b924-74f4-4e17-91dd-eb1e839043cf.png.296x216.jpg', '锦江岸 府河边 明厨明卫 通透户型', '锦江岸  | 2室2厅 | 93.74平米 | 东 西 | 其他 | 有电梯', '低楼层(共23层)2008年建板楼  -  马鞍路', '160万', '单价17069元/平米')
('https://image1.ljcdn.com/510100-inspection/test-67578e18-4825-4329-89a5-b16ba6e33b67.png.296x216.jpg', '高家庄赞城装修套二出售 有家具家电', '高家庄赞城  | 2室1厅 | 49.33平米 | 西南 | 精装 | 有电梯', '低楼层(共22层)板楼  -  高家庄', '59万', '单价11961元/平米')
('https://image1.ljcdn.com/510100-inspection/test-843fdafd-3a9b-4f67-85a5-b5148a763cb6.png.296x216.jpg', '营康西路小区 中间楼层  居家装修', '营康西路80号  | 2室1厅 | 47.29平米 | 西南 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  一品天下', '56.8万', '单价12011元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5c155bee-45f5-49cd-b081-55e33c761db8.png.296x216.jpg', '锦熙玉苑 套二 有装修 不临街 朝东南', '锦熙玉苑  | 2室2厅 | 82.28平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  茶店子', '145万', '单价17623元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4adf2916-b25e-41ab-9231-86ba22b36da6.png.296x216.jpg', '一环边精装套二户型好 带入户和阳台 下楼有商场和地铁', '泰基北锦  | 2室2厅 | 70.4平米 | 东南 | 精装 | 有电梯', '高楼层(共26层)2009年建塔楼  -  金牛万达', '145万', '单价20597元/平米')
('https://image1.ljcdn.com/510100-inspection/test-28ab3dd6-9f4b-484e-8f58-0627dbe49870.png.296x216.jpg', '营和街29号，带阳台，通风透气采光好，三楼', '营和街29号  | 3室1厅 | 90.97平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1994年建板楼  -  抚琴小区', '122万', '单价13412元/平米')
('https://image1.ljcdn.com/510100-inspection/test-56785a14-83ec-4fc6-826c-1279bf39e49b.png.296x216.jpg', '永陵路，单位房，安静不临街，楼层适中', '永陵路29号  | 3室1厅 | 75.51平米 | 东南 | 精装 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  通惠门', '108万', '单价14303元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c9853439-b9b2-43fa-9a39-2d11e0361a90.png.296x216.jpg', '华侨城纯水岸三期居家装修，朝北，卧室带阳台。', '华侨城纯水岸三期  | 2室1厅 | 71.91平米 | 西北 | 其他 | 有电梯', '中楼层(共33层)2013年建塔楼  -  华侨城', '180万', '单价25032元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload767b9d9d-4e5a-428e-ae15-5f146322a89d.jpg.296x216.jpg', '香山苑 朝东北， 套三， 高楼高 采光视野好 不临街', '香山苑  | 3室2厅 | 89.98平米 | 东北 | 简装 | 有电梯', '高楼层(共23层)2007年建板楼  -  金牛万达', '170万', '单价18894元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c529b4ec-e251-47bb-b172-f24ace517090.png.296x216.jpg', '兴元绿洲套三双卫+户型方正+带阳台', '兴元绿洲一期  | 3室2厅 | 118.55平米 | 东南 | 其他 | 有电梯', '高楼层(共22层)2007年建塔楼  -  金府', '169万', '单价14256元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload777141d0-3614-4abe-b09a-a52c67956493.jpg.296x216.jpg', '一环内书香门第标准套三户型方正', '书香门第  | 3室2厅 | 124.75平米 | 东南 | 其他 | 有电梯', '中楼层(共21层)2004年建塔楼  -  花牌坊', '188万', '单价15071元/平米')
