('https://image1.ljcdn.com/370600-inspection/288344a8-efb0-40b8-86ce-0746113bf520.jpg.296x216.jpg', '南北通透，打头房，南厅双南卧，封闭式，带45平花园', '御景观城  | 4室2厅 | 218.91平米 | 南 北 | 毛坯', '低楼层(共22层)2015年建板楼  -  后七夼', '400万', '单价18273元/平米')
('https://image1.ljcdn.com/370600-inspection/92b134e5-98c4-44d7-9d4a-687b6381e038.jpg.296x216.jpg', '御景观城 6室2厅 495万', '御景观城  | 6室2厅 | 128平米 | 南 北 | 其他', '高楼层(共11层)2013年建板楼  -  后七夼', '495万', '单价38672元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload64efe734-8115-4b13-817f-153dd48be24d.jpg.296x216.jpg', '绿色家园精装三居室 拎包入住 东打头 落地大窗', '绿色家园  | 3室2厅 | 89.38平米 | 东北 | 精装', '高楼层(共22层)2006年建塔楼  -  迎春大街', '116万', '单价12979元/平米')
('https://image1.ljcdn.com/370600-inspection/d78dae32-fccd-4846-9d49-22d33a65e76b.jpg.296x216.jpg', '海边南北通透大两居室可以改三居毛坯随意装修', '元丰观海花苑  | 2室2厅 | 124.5平米 | 南 北 | 其他', '中楼层(共8层)2004年建板楼  -  石沟屯', '210万', '单价16868元/平米')
('https://image1.ljcdn.com/370600-inspection/test-6cf952a3-a94d-4bfe-9de5-e9f69343d744.png.296x216.jpg', '天合城精装一居室，拎包入住，中间楼层，动静分离。', '祥隆天合城  | 1室1厅 | 47.41平米 | 西 | 精装', '中楼层(共31层)2010年建塔楼  -  迎春大街', '70万', '单价14765元/平米')
('https://image1.ljcdn.com/370600-inspection/390b836f-5c02-408a-b7c5-223bb04b1025.jpg.296x216.jpg', '南山世纪华府东南向高层两居室，采光非常优质全明户型', '南山世纪华府  | 2室1厅 | 108平米 | 东南 | 精装', '高楼层(共34层)2007年建塔楼  -  大学城', '186万', '单价17223元/平米')
('https://image1.ljcdn.com/370600-inspection/256f2879-575b-4fc2-bd4f-5c1f4a12e25a.jpg.296x216.jpg', '华庭新出110平米 、前排、采光视野无遮挡', '南山世纪华庭  | 2室2厅 | 110.77平米 | 南 | 精装', '低楼层(共28层)2009年建板塔结合  -  大学城', '153万', '单价13813元/平米')
('https://image1.ljcdn.com/370600-inspection/cff5dbaf-f617-43f3-b1c4-6da35b03d3cd.jpg.296x216.jpg', '公安局家属楼 三室两厅两卫 毛坯房 带车位小棚', '德尚世家  | 3室2厅 | 134.33平米 | 南 北 | 其他', '低楼层(共11层)2008年建板楼  -  三滩社区', '215万', '单价16006元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadf4cec03b-f21d-49f2-b517-a22c7be13d4b.jpg.296x216.jpg', '保利香榭里公馆 3室1厅 158万', '保利香榭里公馆  | 3室1厅 | 108平米 | 南 北 | 其他', '中楼层(共28层)2015年建板楼  -  山海南路', '158万', '单价14630元/平米')
('https://image1.ljcdn.com/370600-inspection/7319b945-c7d7-4d09-b495-c11c4a62f7db.jpg.296x216.jpg', '绿色家园西南向采光好！婚房装修！', '绿色家园  | 2室2厅 | 84.44平米 | 西南 | 精装', '中楼层(共27层)2006年建塔楼  -  迎春大街', '108万', '单价12791元/平米')
('https://image1.ljcdn.com/370600-inspection/af7edb14-62b2-4277-abb7-4da06796eaff.jpg.296x216.jpg', '万象城紧凑三居室 满两年 明卫 闹中取静 两个阳台', '万象城  | 3室2厅 | 100.69平米 | 东 南 北 | 简装', '中楼层(共21层)2010年建塔楼  -  大学城', '170万', '单价16884元/平米')
('https://image1.ljcdn.com/370600-inspection/129c02dd-a947-4022-8972-47b81f244409.JPG.296x216.jpg', '黄海国际海景房，2居室精装修。', '黄海国际中心  | 2室1厅 | 153.55平米 | 东 北 | 其他', '中楼层(共21层)2008年建塔楼  -  黄海', '276万', '单价17975元/平米')
('https://image1.ljcdn.com/370600-inspection/c33ce02e-a606-4433-80c5-0955d7d18a19.JPG.296x216.jpg', '鲁花东上海赋i，全明户型，海景房，有车位小棚', '鲁花东上海赋  | 3室2厅 | 219.19平米 | 南 北 | 其他', '低楼层(共21层)2008年建塔楼  -  后七夼', '480万', '单价21899元/平米')
('https://image1.ljcdn.com/370600-inspection/f590e2b5-f7cd-4168-a02e-5470b2c657c9.jpg.296x216.jpg', '沿海封闭多层小区 一楼带50平院 南北通透 框架房', '鑫都海景花园  | 3室2厅 | 149平米 | 南 北 | 精装', '低楼层(共4层)2002年建板楼  -  前七夼', '360万', '单价24162元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload3dbf44f4-dda9-4c90-b6ad-477c5b0761ed.jpg.296x216.jpg', '天合城，精装修，采光好，楼层比较适中', '祥隆天合城  | 3室1厅 | 102.28平米 | 东南 | 精装', '中楼层(共31层)2010年建塔楼  -  迎春大街', '155万', '单价15155元/平米')
('https://image1.ljcdn.com/370600-inspection/c1c86924-2bda-45b8-9a92-ae346b475753.JPG.296x216.jpg', '城中区东打头错层结构，双南卧双卫户型', '清泉寨城中区  | 3室2厅 | 126.78平米 | 南 北 | 其他', '高楼层(共7层)2002年建板楼  -  大学城', '178万', '单价14041元/平米')
('https://image1.ljcdn.com/370600-inspection/f64599b0-62b5-454e-b0f4-34e6d95832cd.jpg.296x216.jpg', '御景观城小户型三居室南北通透高档封闭社区', '御景观城  | 3室2厅 | 116.85平米 | 南 北 | 精装', '低楼层(共11层)板楼  -  后七夼', '290万', '单价24819元/平米')
('https://image1.ljcdn.com/370600-inspection/656eaea6-bd1e-425d-ac7c-73e942f65bfc.jpg.296x216.jpg', '东南户型 无过道 无浪费过道 精装电梯小高层', '凤凰新区  | 2室2厅 | 90.72平米 | 东南 | 其他', '中楼层(共9层)2007年建板楼  -  迎春大街', '135万', '单价14881元/平米')
('https://image1.ljcdn.com/370600-inspection/6573beba-d26f-4711-be87-8669a15713b6.jpg.296x216.jpg', '保利香榭里公馆 3室2厅 225万', '保利香榭里公馆  | 3室2厅 | 143.8平米 | 南 北 | 其他', '低楼层(共18层)2014年建板楼  -  山海南路', '225万', '单价15647元/平米')
('https://image1.ljcdn.com/370600-inspection/b4a95f3a-2436-458a-93f4-8ef447d1baab.jpg.296x216.jpg', '城南区标准层 装修维护好 直接拎包入住', '清泉寨城南区  | 3室2厅 | 89.8平米 | 南 北 | 其他', '高楼层(共6层)1997年建板楼  -  大学城', '118万', '单价13141元/平米')
('https://image1.ljcdn.com/370600-inspection/35820d9b-6c63-4657-a45b-e01807366214.jpg.296x216.jpg', '四季花城两居室南北通透户型，房子位置很好，出入方便', '四季花城  | 2室1厅 | 81平米 | 南 北 | 精装', '中楼层(共5层)2008年建板楼  -  迎春大街', '148万', '单价18272元/平米')
('https://image1.ljcdn.com/370600-inspection/9b48fa61-4002-49df-8817-f057afbb0fbc.jpg.296x216.jpg', '精装三居室 南厅双南卧一北卧，带家具家电', '万泰麓溪公馆  | 3室2厅 | 159平米 | 南 北 | 其他', '中楼层(共17层)2014年建板楼  -  迟家', '410万', '单价25787元/平米')
('https://image1.ljcdn.com/370600-inspection/4889f682-d845-40c4-b340-a27b7697b0d3.jpg.296x216.jpg', '东打头 全明户型 餐厅厨房看海', '金海岸花园  | 4室2厅 | 159.12平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  石沟屯', '330万', '单价20740元/平米')
('https://image1.ljcdn.com/370600-inspection/d3b1dcbf-b460-4275-9128-fb972cc05762.JPG.296x216.jpg', '岱山小区东区 4室2厅 300万', '岱山小区东区  | 4室2厅 | 165.2平米 | 南 北 | 其他', '低楼层(共6层)2003年建板楼  -  石沟屯', '300万', '单价18160元/平米')
('https://image1.ljcdn.com/370600-inspection/e05f0665-5846-45e3-b357-53962246572b.jpg.296x216.jpg', '双南卧 三居室 满五唯一 西南向 拎包入住', '祥隆天合城  | 3室2厅 | 114.85平米 | 西南 | 简装', '低楼层(共18层)2007年建塔楼  -  迎春大街', '160万', '单价13932元/平米')
('https://image1.ljcdn.com/370600-inspection/747a53e7-7ec3-4f75-8ddd-29d469bf6adb.jpg.296x216.jpg', '青庭小房主稳定价格合适户型方正', '绿色家园  | 1室0厅 | 38.77平米 | 西 | 其他', '中楼层(共27层)2006年建塔楼  -  迎春大街', '53万', '单价13671元/平米')
('https://image1.ljcdn.com/370600-inspection/a0c09cf0-c5bd-40c7-bccb-ade43dfa9c77.jpg.296x216.jpg', '南北通透四居室 双南卧 家具家电全送 可贷款', '祥隆天合城  | 4室2厅 | 117.55平米 | 南 北 | 简装', '中楼层(共17层)2008年建塔楼  -  迎春大街', '165万', '单价14037元/平米')
('https://image1.ljcdn.com/370600-inspection/47ca388e-8937-4dfb-a093-ae10706170f8.jpg.296x216.jpg', '上海滩花园精装刚需两居室视野开阔采光好', '大华上海滩花园  | 2室1厅 | 78.91平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  三滩社区', '115万', '单价14574元/平米')
('https://image1.ljcdn.com/370600-inspection/c1ceedb8-d19c-489e-a912-6d3c8de4716b.jpg.296x216.jpg', '东打头三居室，地暖，客厅落地窗户，府前花园二期', '万光府前花园  | 3室1厅 | 115.38平米 | 南 北 | 毛坯', '中楼层(共23层)2010年建塔楼  -  迎春大街', '175万', '单价15168元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload25fe546f-99d7-4f40-8dd7-5c45666b7b55.jpg.296x216.jpg', '岱山花园南北通透三南卧双卫精装修拎包入住', '岱山小区西区  | 3室2厅 | 137.37平米 | 南 北 | 精装', '高楼层(共6层)2003年建板楼  -  石沟屯', '266万', '单价19364元/平米')
('https://image1.ljcdn.com/370600-inspection/b536ac54-594e-4b48-85dc-01e70ab0fdd8.jpg.296x216.jpg', '华庭新出业主诚售，户型方正观海三居，东打头全明户型', '南山世纪华庭  | 3室1厅 | 130.03平米 | 南 北 | 其他', '低楼层(共28层)2009年建板塔结合  -  大学城', '155万', '单价11921元/平米')
('https://image1.ljcdn.com/370600-inspection/9f2f87e0-9c0f-4614-bc6f-b9f0c5f22fa5.jpg.296x216.jpg', '烟大对面、万光小区房源出售、、、', '万光小区  | 2室2厅 | 75.3平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  大学城', '113万', '单价15007元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadd092a0f4-54a7-464e-8f64-736f20e89592.jpg.296x216.jpg', '精装修 地暖   拎包入住  南北通透', '天籁花园  | 3室2厅 | 144.65平米 | 南 北 | 精装', '高楼层(共18层)板楼  -  山海南路', '217万', '单价15002元/平米')
('https://image1.ljcdn.com/370600-inspection/dd0f0d71-0d6c-42b7-b166-bdd710aa0d0a.jpg.296x216.jpg', '出国诚售：华府156平全明三居、优越位置、中间楼层', '南山世纪华府  | 3室2厅 | 156.78平米 | 南 北 | 精装', '中楼层(共32层)2007年建塔楼  -  大学城', '248万', '单价15819元/平米')
('https://image1.ljcdn.com/370600-inspection/fcb422d2-f37e-46b0-a709-a0fee3ad4fe1.jpg.296x216.jpg', '保利香榭里，精装未住，满2年，赠送阳光房，家具家电', '保利香榭里公馆  | 3室2厅 | 106.61平米 | 南 北 | 精装', '高楼层(共28层)2015年建板楼  -  山海南路', '170万', '单价15946元/平米')
('https://image1.ljcdn.com/370600-inspection/bf7a807d-71f2-43bf-957e-262f5aaf56d4.jpg.296x216.jpg', '祥隆天合城 1室1厅 68万', '祥隆天合城  | 1室1厅 | 41.12平米 | 南 | 精装', '中楼层(共18层)2007年建塔楼  -  迎春大街', '68万', '单价16537元/平米')
('https://image1.ljcdn.com/370600-inspection/72de85f3-4f42-4304-83bc-0aa2c720f723.JPG.296x216.jpg', '清泉文苑 精装修 拎包入住 电梯小高层', '清泉文苑  | 2室1厅 | 78.19平米 | 南 北 | 其他', '低楼层(共11层)2009年建板楼  -  大学城', '120万', '单价15348元/平米')
('https://image1.ljcdn.com/370600-inspection/b0d53435-0211-4679-827d-22070ecb57b4.jpg.296x216.jpg', '三居室，双南卧，中厅，北厨，北卫，每个房间都有窗户', '海滨花园小区梓林街  | 3室2厅 | 135.13平米 | 南 北 | 简装', '中楼层(共6层)2000年建板楼  -  后七夼', '198万', '单价14653元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload67bec038-487d-42fd-a098-e64fce58047e.jpg.296x216.jpg', '万泰麓溪公馆，精装4居室，楼层好，景观棒', '万泰麓溪公馆  | 4室2厅 | 174.11平米 | 南 北 | 精装', '高楼层(共18层)2012年建板楼  -  迟家', '510万', '单价29292元/平米')
('https://image1.ljcdn.com/370600-inspection/eefcf61d-7f25-46d1-a3a0-276e9b8228dd.jpg.296x216.jpg', '上海滩精装修，东向卧室，东向厨房带窗户', '大华上海滩花园  | 1室1厅 | 43.76平米 | 东 | 简装', '中楼层(共30层)2016年建塔楼  -  三滩社区', '60万', '单价13712元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadf26a56cc-b1b3-4504-8133-cf516ff70e38.jpg.296x216.jpg', '前七夼，二楼，东打头，三居室，可领包入住', '晖光路  | 3室1厅 | 85.33平米 | 南 北 | 其他', '中楼层(共4层)1997年建板楼  -  前七夼', '158.5万', '单价18575元/平米')
('https://image1.ljcdn.com/370600-inspection/91e15583-a683-429b-a549-25e163d5ba8f.jpg.296x216.jpg', '东打头  三室朝阳  客厅带落地窗   采光好', '绿色家园  | 3室2厅 | 116.92平米 | 东南 | 精装', '中楼层(共22层)2006年建塔楼  -  迎春大街', '136万', '单价11632元/平米')
('https://image1.ljcdn.com/370600-inspection/test-b635a04a-5530-447f-94fa-d60f5fc330a3.png.296x216.jpg', '房子满五年，中间楼层，东打头，采光好视野开阔', '绿色家园  | 3室2厅 | 117平米 | 东南 | 精装', '中楼层(共22层)2006年建塔楼  -  迎春大街', '140万', '单价11966元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadd23668ac-4df1-4daf-8f3c-91a63a8b0856.jpg.296x216.jpg', '中天盛世观澜 海边社区海景好采光好', '中天盛世观澜  | 3室2厅 | 180.28平米 | 西北 | 其他', '中楼层(共32层)2011年建塔楼  -  前七夼', '280万', '单价15532元/平米')
('https://image1.ljcdn.com/370600-inspection/6187c3e2-3258-426e-a782-b8f85c0a1bbe.jpg.296x216.jpg', '海滨小区一梯两户低楼层精装修满五唯一', '海滨花园小区柳林路  | 3室1厅 | 99.26平米 | 南 北 | 精装', '低楼层(共6层)1998年建板楼  -  后七夼', '210万', '单价21157元/平米')
('https://image1.ljcdn.com/370600-inspection/ad0652c4-2b8e-4889-82c9-d8538eb19b74.jpg.296x216.jpg', '南北通透，三南卧，毛坯，中高楼层可观海，无遮挡', '南山世纪华庭  | 3室2厅 | 219.41平米 | 南 北 | 毛坯', '中楼层(共32层)2009年建板楼  -  大学城', '240万', '单价10939元/平米')
('https://image1.ljcdn.com/370600-inspection/e3e711db-2db2-4ea9-9579-d14a5f90f582.jpg.296x216.jpg', '房子中等装修，有租客看房提前联系', '万光府前花园  | 2室1厅 | 68.54平米 | 南 | 其他', '高楼层(共23层)2010年建塔楼  -  迎春大街', '100万', '单价14591元/平米')
('https://image1.ljcdn.com/370600-inspection/06daa871-9c16-44f1-9583-a0fe7ebb3708.jpg.296x216.jpg', '台湾村 南北通透，二中东校，带电梯，无车位费', '台湾村  | 3室1厅 | 155.73平米 | 南 北 | 简装', '高楼层(共11层)2005年建板楼  -  后七夼', '272万', '单价17467元/平米')
('https://image1.ljcdn.com/370600-inspection/d462bab8-8bc8-4767-ad05-08eb258331fe.jpg.296x216.jpg', '保利香榭里公馆，精装修，送家具家电，楼层好，带小棚', '保利香榭里公馆  | 2室1厅 | 71.19平米 | 南 | 精装', '高楼层(共30层)2014年建板楼  -  山海南路', '105万', '单价14750元/平米')
('https://image1.ljcdn.com/370600-inspection/8d04cb4f-f3d7-4c77-8b83-39624d539a92.jpg.296x216.jpg', '南北通透大三居精装实木客厅可以看海', '万光府前花园  | 3室1厅 | 131.18平米 | 南 北 | 其他', '高楼层(共27层)2010年建板楼  -  迎春大街', '208万', '单价15857元/平米')
('https://image1.ljcdn.com/370600-inspection/6c3e4e4e-6d02-476d-8152-0ba0826b27d0.JPG.296x216.jpg', '新星北街 楼层好 视野宽阔 可看海', '新星北街  | 3室2厅 | 96.28平米 | 南 北 | 其他', '中楼层(共7层)1995年建板楼  -  迟家', '165万', '单价17138元/平米')
('https://image1.ljcdn.com/370600-inspection/14e3cfb9-65b0-45cf-8103-fd53e8a9c494.JPG.296x216.jpg', '沿海电梯小高层精装通透四居室南厅双南卧户型', '黄海城市花园  | 4室2厅 | 144.9平米 | 南 北 | 其他', '低楼层(共12层)2003年建板楼  -  黄海', '258万', '单价17806元/平米')
('https://image1.ljcdn.com/370600-inspection/47986963-7a19-454a-b369-e4dc045dbdd7.JPG.296x216.jpg', '石沟屯大三居 可改五居 东打头 采光好无遮挡 看房方便', '新城中巷  | 3室2厅 | 152.8平米 | 南 北 | 其他', '高楼层(共6层)2001年建板楼  -  石沟屯', '210万', '单价13744元/平米')
('https://image1.ljcdn.com/370600-inspection/d7360f7d-7e8a-42fc-8c06-d9e87678fcda.jpg.296x216.jpg', '此房楼层在中间，视野好，出行方便，周围配套齐全。', '祥隆天合城  | 2室1厅 | 103平米 | 东南 | 其他', '中楼层(共29层)2010年建塔楼  -  迎春大街', '148万', '单价14369元/平米')
('https://image1.ljcdn.com/370600-inspection/88990c16-4a7b-45d5-9a03-117d3ca6697d.jpg.296x216.jpg', '优质113平户型、南向高楼层采光充足通风优秀', '万象城  | 3室2厅 | 113.08平米 | 西南 | 其他', '高楼层(共24层)2012年建塔楼  -  大学城', '248万', '单价21932元/平米')
('https://image1.ljcdn.com/370600-inspection/a99a2d20-2330-4e3e-aa20-51005263c7dc.jpg.296x216.jpg', '绿色家园 4室2厅 350万', '绿色家园  | 4室2厅 | 342平米 | 南 北 | 其他', '高楼层(共10层)2006年建板塔结合  -  迎春大街', '350万', '单价10234元/平米')
('https://image1.ljcdn.com/370600-inspection/376a87c1-5163-4578-948e-9f152dde8465.jpg.296x216.jpg', '孙家滩小区 多层东打头南北通透 顶楼送阁楼', '孙家滩小区  | 6室2厅 | 98.1平米 | 南 北 | 简装', '高楼层(共6层)2002年建板楼  -  三滩社区', '150万', '单价15291元/平米')
('https://image1.ljcdn.com/370600-inspection/82967042-c6d2-4327-aeb3-115884360b5c.JPG.296x216.jpg', '清泉寨城中区 毛坯房 元气未动 诚心出售', '清泉寨城中区  | 3室2厅 | 117.17平米 | 南 | 其他', '高楼层(共7层)2002年建板楼  -  大学城', '160万', '单价13656元/平米')
('https://image1.ljcdn.com/370600-inspection/19e2c3b8-47ba-4775-850f-5b436d2f0253.JPG.296x216.jpg', '公路小区，石沟屯封闭小区，环境好物业品质高', '公路小区  | 2室1厅 | 70平米 | 南 北 | 简装', '中楼层(共6层)2000年建板楼  -  石沟屯', '150万', '单价21429元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadab6ddaa7-b5cd-4e09-9576-d48d314d7601.jpg.296x216.jpg', '海天名人广场，看山看海，精装修好房', '海天名人广场  | 3室1厅 | 136.8平米 | 西北 | 其他', '高楼层(共27层)2005年建塔楼  -  前七夼', '263万', '单价19226元/平米')
('https://image1.ljcdn.com/370600-inspection/f8e35f24-ae89-4e36-9d03-8547d5538874.jpg.296x216.jpg', '户型方正 双阳台 大客厅 天合城在卖毛坯', '祥隆天合城  | 3室2厅 | 124.13平米 | 南 西 北 | 毛坯', '高楼层(共16层)2008年建塔楼  -  迎春大街', '178万', '单价14340元/平米')
('https://image1.ljcdn.com/370600-inspection/db0c4786-3823-4ce9-9839-7aa8c3d5ab69.jpg.296x216.jpg', '多层洋房 东打头 精装修 拎包入住', '天成西巷  | 2室1厅 | 75.5平米 | 南 北 | 其他', '高楼层(共4层)1997年建板楼  -  前七夼', '130万', '单价17219元/平米')
('https://image1.ljcdn.com/370600-inspection/a002d2b4-38de-4dce-a26f-e03e592ddf30.JPG.296x216.jpg', '清泉康乐宫三居室  精装修户型非常合理', '清泉康乐宫  | 3室2厅 | 120.13平米 | 南 北 | 其他', '低楼层(共6层)2001年建板楼  -  大学城', '185万', '单价15400元/平米')
('https://image1.ljcdn.com/370600-inspection/45930e50-d90b-42fd-ba6c-b1ad9d6e2732.jpg.296x216.jpg', '一楼底复，封闭小区，南北通透，环境好', '万泰麓溪公馆  | 3室2厅 | 166.4平米 | 南 北 | 其他', '低楼层(共17层)2014年建板楼  -  迟家', '350万', '单价21034元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc0718275-cb8a-4e5b-aff0-afa4c63ebe0d.jpg.296x216.jpg', '南向，采光通风好，户型方正，楼层高，采光视野好', '绿色家园  | 1室0厅 | 43.28平米 | 南 | 简装', '高楼层(共14层)2006年建板塔结合  -  迎春大街', '60万', '单价13864元/平米')
('https://image1.ljcdn.com/370600-inspection/98f19e3d-2488-46f7-916d-86a69ed67b26.jpg.296x216.jpg', '南山华庭、通透大三居室、观海好房', '南山世纪华庭  | 4室2厅 | 220.69平米 | 南 北 | 其他', '高楼层(共32层)2009年建板楼  -  大学城', '280万', '单价12688元/平米')
('https://image1.ljcdn.com/370600-inspection/ee207bc2-9452-4329-ad3a-41bb5091763f.JPG.296x216.jpg', '世纪华府 纯毛坯 大四居  南北通透 采光海景视野好', '南山世纪华府  | 4室2厅 | 178平米 | 南 北 | 其他', '高楼层(共33层)2007年建塔楼  -  大学城', '265万', '单价14888元/平米')
('https://image1.ljcdn.com/370600-inspection/e717a088-96a1-48b2-9fa9-1bebab5b7262.jpg.296x216.jpg', '四季花城二期 南北通透 全明户型 精装', '四季花城  | 3室2厅 | 97.32平米 | 南 北 | 其他', '高楼层(共15层)2010年建塔楼  -  迎春大街', '165万', '单价16955元/平米')
('https://image1.ljcdn.com/370600-inspection/2fc45d73-5b20-47c8-8c3f-91874eb40b95.jpg.296x216.jpg', '曹家花园 南北通透 打头两居室', '曹家花园小区  | 2室2厅 | 75.56平米 | 南 北 | 简装', '高楼层(共6层)2002年建板楼  -  迎春大街', '86万', '单价11382元/平米')
('https://image1.ljcdn.com/370600-inspection/01750663-bfa9-46f8-83ec-114d7dc34eac.jpg.296x216.jpg', '绿色家园中装两居室拎包入住采光好 视野棒落地窗', '绿色家园  | 2室2厅 | 89.38平米 | 南 西 | 精装', '低楼层(共22层)2006年建塔楼  -  迎春大街', '117万', '单价13091元/平米')
('https://image1.ljcdn.com/370600-inspection/test-6d09d4de-2f3e-4a84-8113-8312a241b0ab.png.296x216.jpg', '二中 石沟屯 低楼层 东打头 三居室 全明户型 南北通透', '新城北街  | 3室1厅 | 90.25平米 | 南 北 | 其他', '低楼层(共6层)1999年建板楼  -  石沟屯', '155万', '单价17175元/平米')
('https://image1.ljcdn.com/370600-inspection/13408e16-a82e-4a5f-bc65-70c2bfd72e3e.jpg.296x216.jpg', '石沟屯 泰安小区 中间楼层 精装修3居室', '泰安小区  | 3室2厅 | 131平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  石沟屯', '236万', '单价18016元/平米')
('https://image1.ljcdn.com/370600-inspection/0e34ab66-88d4-496c-bf09-283f0c51a440.jpg.296x216.jpg', '简单装修两居室 户型格局好 适合居住', '南山世纪华庭  | 2室1厅 | 102.13平米 | 东北 | 简装', '低楼层(共39层)2009年建塔楼  -  大学城', '105万', '单价10282元/平米')
('https://image1.ljcdn.com/370600-inspection/f4d0a011-7b05-4486-8cd5-016481524e31.jpg.296x216.jpg', '华府一居室  固定装修  地暖  全明户型  看房方便', '南山世纪华府  | 1室1厅 | 67.25平米 | 西北 | 简装', '低楼层(共33层)2007年建塔楼  -  大学城', '105万', '单价15614元/平米')
('https://image1.ljcdn.com/370600-inspection/5824125a-a226-46be-a299-b6bc66b60eb2.jpg.296x216.jpg', '沿海封闭小区户型方正精装修海景房', '银和怡海山庄  | 4室2厅 | 248平米 | 南 北 | 其他', '高楼层(共27层)2013年建塔楼  -  前七夼', '950万', '单价38307元/平米')
('https://image1.ljcdn.com/370600-inspection/1fddf04c-57fb-45d4-82d8-6a8da97eafeb.jpg.296x216.jpg', '南北通透的三居室，毛坯，可以按照自己的需求装修', '暖山国际  | 3室1厅 | 127.87平米 | 南 北 | 毛坯', '高楼层(共24层)2012年建板楼  -  南塂', '165万', '单价12904元/平米')
('https://image1.ljcdn.com/370600-inspection/1d3d1354-eb6b-4451-b655-ad6eef9bd8f9.jpg.296x216.jpg', '上海滩花园B区精装修通透两居室，全明户型，采光好', '大华上海滩花园  | 2室2厅 | 92.04平米 | 南 北 | 精装', '低楼层(共24层)2012年建板楼  -  三滩社区', '145万', '单价15755元/平米')
('https://image1.ljcdn.com/370600-inspection/1db90f5a-47c4-4153-92ee-11aa4c80d381.jpg.296x216.jpg', '世纪华庭东打头海景毛坯三居室 双南卧 带车位', '南山世纪华庭  | 3室2厅 | 158.08平米 | 南 北 | 毛坯', '中楼层(共27层)2009年建板楼  -  大学城', '220万', '单价13918元/平米')
('https://image1.ljcdn.com/370600-inspection/test-6d4fae81-beba-469e-a119-acf25a52f72a.png.296x216.jpg', '金海名园 中等装修两居室 南排采光无影响 封闭式社区', '金海名园  | 2室2厅 | 97平米 | 南 | 简装', '高楼层(共24层)2011年建板楼  -  科技大道', '130万', '单价13403元/平米')
('https://image1.ljcdn.com/370600-inspection/38f4d8d9-08a0-409a-a3c8-3c9b986236a1.jpg.296x216.jpg', '世纪华府两居室+烟大旁+视野好+拎包入住', '南山世纪华府  | 2室2厅 | 108.72平米 | 西南 | 精装', '中楼层(共32层)2007年建塔楼  -  大学城', '173万', '单价15913元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadfd91506d-f167-4880-8956-b10da538f0d6.jpg.296x216.jpg', '精装修，窗外景色好，南北通透，户型好，单价17319', '台湾村  | 3室2厅 | 167.44平米 | 南 北 | 其他', '中楼层(共11层)2005年建板楼  -  后七夼', '310万', '单价18515元/平米')
('https://image1.ljcdn.com/370600-inspection/5ac2f30e-2389-4bd6-a290-37ee03e541b9.jpg.296x216.jpg', '南北通透两居室  16层小高层  简单装修', '绿色家园  | 2室1厅 | 83平米 | 南 北 | 简装', '中楼层(共16层)2006年建板楼  -  迎春大街', '125万', '单价15061元/平米')
('https://image1.ljcdn.com/370600-inspection/bf8e9606-6d8d-482d-b418-95cb62b5dc4b.jpg.296x216.jpg', '澳柯玛小区 南北通透3居室 双南卧', '澳柯玛小区  | 3室2厅 | 107.4平米 | 东 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  南塂', '129万', '单价12012元/平米')
('https://image1.ljcdn.com/370600-inspection/de53536e-0ad2-43a7-a101-e521cdab1653.jpg.296x216.jpg', '四季花城东向精装两居室，每个房间都有窗，送家具家电', '四季花城  | 2室1厅 | 72.48平米 | 东 | 精装', '中楼层(共15层)2010年建塔楼  -  迎春大街', '125万', '单价17247元/平米')
('https://image1.ljcdn.com/370600-inspection/9a5400a1-fd83-4877-b187-57892e25d751.jpg.296x216.jpg', '户型方正 南向两居室，带30平左右的小院。', '万光府前花园  | 2室1厅 | 68平米 | 南 | 其他', '低楼层(共23层)2010年建塔楼  -  迎春大街', '111万', '单价16324元/平米')
('https://image1.ljcdn.com/370600-inspection/311801ac-4a39-4e0f-b6cc-619d79831e5d.JPG.296x216.jpg', '两居室毛坯房     中间楼层    南北通透', '晖光路  | 2室2厅 | 75.6平米 | 南 北 | 其他', '中楼层(共6层)1999年建板楼  -  前七夼', '138万', '单价18254元/平米')
