('https://image1.ljcdn.com/440300-inspection/f5fb9520-a010-4641-819b-0b9bafb940ed.jpg.296x216.jpg', '桃源居三区一栋电梯小户型低总价一房一厅', '桃源居三区  | 1室1厅 | 57.13平米 | 西南 | 其他 | 有电梯', '中楼层(共9层)2003年建塔楼  -  桃源居', '248万', '单价43410元/平米')
('https://image1.ljcdn.com/440300-inspection/66f846bf-2c70-401b-a0c0-b14a3f55fa45.jpg.296x216.jpg', '槟城西岸 3室1厅 545万', '槟城西岸  | 3室1厅 | 79.08平米 | 西南 | 精装 | 有电梯', '高楼层(共33层)2008年建板楼  -  碧海', '545万', '单价68918元/平米')
('https://image1.ljcdn.com/440300-inspection/1cd4537c-eae9-4779-9194-57c173d569db.jpg.296x216.jpg', '中粮凤凰里 3室2厅 420万', '中粮凤凰里  | 3室2厅 | 88.91平米 | 西南 | 其他', '低楼层(共27层)2016年建暂无数据  -  福永', '420万', '单价47239元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bb5f6224-946d-4620-bf28-87b9c30957be.png.296x216.jpg', '东南向两房，满五税费少，大客厅，高楼层', '花样年花郡  | 2室1厅 | 55.87平米 | 东南 | 精装 | 有电梯', '高楼层(共20层)2010年建板塔结合  -  宝安中心', '440万', '单价78755元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c3a882fa-889a-4c96-a225-401b3fe638a3.png.296x216.jpg', '天骄世家 3室2厅 530万', '天骄世家  | 3室2厅 | 97.8平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)2002年建板塔结合  -  西乡', '530万', '单价54193元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0b6bb9f2-f3c2-49fc-8324-cc372dd5d35f.png.296x216.jpg', '小区密度1.8绿花65%  诚心出售采光通风好高楼层看海景', '碧海富通城一期  | 2室2厅 | 71.6平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2006年建板楼  -  碧海', '418万', '单价58380元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload6236b1ef-9c36-45ac-9e10-c0b58b9f9740.JPG.296x216.jpg', '中粮凤凰里 4室2厅 643万', '中粮凤凰里  | 4室2厅 | 125.48平米 | 东南 | 毛坯', '高楼层(共29层)2016年建板塔结合  -  福永', '643万', '单价51244元/平米')
('https://image1.ljcdn.com/440300-inspection/d0ff13de-c1ba-4072-8efb-69609bd3db37.jpg.296x216.jpg', '南北通户型，户型方正使用率高。大4房，安静看花园。', '桃源居十四区  | 4室2厅 | 138.23平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1999年建塔楼  -  桃源居', '520万', '单价37619元/平米')
('https://image1.ljcdn.com/440300-inspection/a7f6c820-a01e-47a3-9f46-d10d7329fa63.jpg.296x216.jpg', '双地铁 品质物业 车位充足 西南向 中间楼层 精装两房', '中信湾上六座  | 2室1厅 | 65.25平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2009年建板塔结合  -  碧海', '420万', '单价64368元/平米')
('https://image1.ljcdn.com/440300-inspection/dd81fadb-3c7f-4dbc-8a8d-79a1351d6841.jpg.296x216.jpg', '槟城西岸 9室2厅 1400万', '槟城西岸  | 9室2厅 | 144.29平米 | 西南 | 毛坯 | 有电梯', '高楼层(共30层)2008年建板楼  -  碧海', '1400万', '单价97027元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d07f4528-292e-407e-991f-1c3152000349.png.296x216.jpg', '优选朝南三房，壹方城旁，地铁口大社区满五年少税急卖', '第五大道高发西岸花园一期  | 3室2厅 | 126.42平米 | 东南 | 精装 | 有电梯', '中楼层(共29层)2007年建板塔结合  -  宝安中心', '999万', '单价79023元/平米')
('https://image1.ljcdn.com/440300-inspection/43d2989e-900f-4588-81e8-8e6114c1aa77.JPG.296x216.jpg', '领航城领秀花园 3室2厅 490万', '领航城领秀花园  | 3室2厅 | 89.3平米 | 东南 | 其他', '低楼层(共31层)2016年建板塔结合  -  西乡', '490万', '单价54872元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4fb1cfc8-a700-4476-9400-c8b12f83d7e4.png.296x216.jpg', '宝安旧改项目   大三房   有心卖', '碧海花园  | 3室2厅 | 84.1平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)1995年建板塔结合  -  翻身', '530万', '单价63021元/平米')
('https://image1.ljcdn.com/440300-inspection/test-351e1e23-fa08-4f55-b196-76f7bc2cf968.png.296x216.jpg', '深业三期高层两房，视野好，看别墅看海景。', '深业新岸线三期  | 2室2厅 | 83.69平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2008年建塔楼  -  宝安中心', '635万', '单价75876元/平米')
('https://image1.ljcdn.com/440300-inspection/test-92a42420-67b2-4699-a416-cdd778cc6133.png.296x216.jpg', '润恒尚园 3室1厅 520万', '润恒尚园  | 3室1厅 | 79.26平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)2015年建板塔结合  -  西乡', '520万', '单价65607元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f91bebec-2725-4097-9a5e-2893229b9290.png.296x216.jpg', '幸福珺湾 3室2厅 558万', '幸福珺湾  | 3室2厅 | 88.44平米 | 西南 | 其他', '低楼层(共31层)2017年建板塔结合  -  碧海', '558万', '单价63094元/平米')
('https://image1.ljcdn.com/440300-inspection/6db51f30-f59a-45d0-a0a9-4475599bd170.jpg.296x216.jpg', '新玥庭 3室1厅 480万', '新玥庭  | 3室1厅 | 97.46平米 | 东北 | 其他 | 有电梯', '高楼层(共16层)2001年建塔楼  -  新安', '480万', '单价49251元/平米')
('https://image1.ljcdn.com/440300-inspection/d3f27e40-153e-468a-b515-e42845c5625b.jpg.296x216.jpg', '天骄世家三房精致装修 省级xuewei 名厨名卫 厅出阳台', '天骄世家  | 3室1厅 | 87.94平米 | 东北 | 其他 | 有电梯', '中楼层(共24层)2003年建板塔结合  -  西乡', '483万', '单价54924元/平米')
('https://image1.ljcdn.com/440300-inspection/4f8c05b4-93b5-42d4-8ed8-0c4cd34505ba.JPG.296x216.jpg', '天福华府 3室2厅 438万', '天福华府  | 3室2厅 | 88.57平米 | 东南 | 毛坯', '中楼层(共25层)2016年建塔楼  -  西乡', '438万', '单价49453元/平米')
('https://image1.ljcdn.com/440300-inspection/556522c8-3ee6-4695-ae21-c8b1de8cf71b.jpg.296x216.jpg', '送长阳台的户型、朝南、复式2房使用面积高', '白金时代  | 2室1厅 | 43.9平米 | 东南 | 其他 | 有电梯', '低楼层(共15层)2004年建板塔结合  -  新安', '300万', '单价68338元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadaedecb4a-a0e9-4388-95a3-ebb73b23a0f0.jpg.296x216.jpg', '三房的选择 装修好 拎包入住 税费少', '碧海富通城五期  | 3室2厅 | 115.96平米 | 东南 | 精装 | 有电梯', '高楼层(共19层)2009年建板楼  -  碧海', '750万', '单价64678元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload568be6bd-7874-4e82-852e-08b01f0ad544.jpg.296x216.jpg', '壹方城商圈  南北通 大四房  满五年  高楼层视野好', '丽晶国际  | 4室2厅 | 132.22平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2005年建板塔结合  -  宝安中心', '960万', '单价72607元/平米')
('https://image1.ljcdn.com/440300-inspection/37c86841-8ee8-4baf-a9e0-93520a028269.jpg.296x216.jpg', '绿海名苑 2室2厅 380万', '绿海名苑  | 2室2厅 | 70.62平米 | 南 | 其他 | 有电梯', '低楼层(共8层)2005年建塔楼  -  西乡', '380万', '单价53810元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload16a5b1d7-6cd2-430c-909f-433742ea9cce.jpg.296x216.jpg', '中信湾上六座 1室1厅 250万', '中信湾上六座  | 1室1厅 | 37.5平米 | 东南 西南 | 其他 | 有电梯', '高楼层(共17层)2009年建板塔结合  -  碧海', '250万', '单价66667元/平米')
('https://image1.ljcdn.com/440300-inspection/test-160aa2bd-a77b-47a8-b37b-26e076d2f892.png.296x216.jpg', '精装修，拎包入住、总价低、大两房', '嘉华花园西区  | 2室1厅 | 66.7平米 | 西北 | 其他 | 无电梯', '高楼层(共8层)1994年建板塔结合  -  西乡', '300万', '单价44978元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6236758e-3b75-496d-a6fd-698bce766964.png.296x216.jpg', '富通V都会 3室1厅 400万', '富通V都会  | 3室1厅 | 86.42平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2014年建板塔结合  -  西乡', '400万', '单价46286元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b1d3e022-e0ce-4755-9b4f-bfa33421e995.png.296x216.jpg', '泰华大厦 4室2厅 435万', '泰华大厦  | 4室2厅 | 112.7平米 | 西南 | 其他', '中楼层(共26层)1996年建板塔结合  -  新安', '435万', '单价38599元/平米')
('https://image1.ljcdn.com/440300-inspection/281307a7-20a4-4b4a-9b32-4ed93b5c435e.jpg.296x216.jpg', '满两年少税 采光好 西南向朝花园 安静舒适', '花样年花乡  | 2室1厅 | 58.74平米 | 东北 | 其他 | 有电梯', '中楼层(共25层)2011年建板塔结合  -  宝安中心', '420万', '单价71502元/平米')
('https://image1.ljcdn.com/440300-inspection/8ec0a584-6b14-42e1-aa4f-d171a143428c.jpg.296x216.jpg', '富盈门 2室1厅 385万', '富盈门  | 2室1厅 | 76.3平米 | 西北 | 其他 | 有电梯', '中楼层(共11层)2001年建塔楼  -  西乡', '385万', '单价50459元/平米')
('https://image1.ljcdn.com/440300-inspection/41b85deb-3742-4458-ae9c-fdcd800488a6.jpg.296x216.jpg', '楼下固戍地铁C出口50米公寓首付5成诚心出售', '万象中心  | 2室1厅 | 44.15平米 | 西北 | 其他 | 有电梯', '中楼层(共16层)2015年建塔楼  -  西乡', '190万', '单价43036元/平米')
('https://image1.ljcdn.com/440300-inspection/bf1d3251-3010-4a8f-a2de-39c810a804e3.jpg.296x216.jpg', '地铁口电梯复式三房 采光通风好', '天琴阁  | 3室2厅 | 76.28平米 | 西北 | 简装 | 有电梯', '低楼层(共14层)2005年建板楼  -  西乡', '405万', '单价53094元/平米')
('https://image1.ljcdn.com/440300-inspection/cfcc5edc-674a-4a2b-80ed-5232ce22bfe9.jpg.296x216.jpg', '中粮澜山 4室2厅 1180万', '中粮澜山  | 4室2厅 | 181.06平米 | 东南 | 其他 | 无电梯', '中楼层(共4层)2009年建板塔结合  -  西乡', '1180万', '单价65172元/平米')
('https://image1.ljcdn.com/440300-inspection/test-90410999-227b-430b-a343-15bf6e856eeb.png.296x216.jpg', '滨海春城 3室2厅 630万', '滨海春城  | 3室2厅 | 127.35平米 | 东南 | 简装 | 有电梯', '低楼层(共30层)2006年建塔楼  -  翻身', '630万', '单价49470元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bbb0c5d3-2498-4955-a3b0-a058245a29f2.png.296x216.jpg', '理想居 2室1厅 403万', '理想居  | 2室1厅 | 77.79平米 | 西北 | 其他 | 有电梯', '低楼层(共31层)2003年建板塔结合  -  翻身', '403万', '单价51807元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload697fdb95-e3ac-4990-8ff3-1aaff77b1915.jpg.296x216.jpg', '高层+精装大两房+安静+通风采光好+优质', '金港华庭  | 2室1厅 | 63.86平米 | 西南 | 精装 | 有电梯', '高楼层(共31层)2009年建板塔结合  -  西乡', '380万', '单价59506元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1365508c-133c-4119-b289-a50905618c5b.png.296x216.jpg', '宝安西乡福安楼双公园配套住家好房', '福安楼  | 3室2厅 | 90.7平米 | 东南 | 简装 | 无电梯', '中楼层(共8层)1998年建板楼  -  西乡', '420万', '单价46307元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b71f7fa9-35d4-4d42-9b80-3653cb26e930.png.296x216.jpg', '新上房源，满五唯一，看花园，带40平私家花园。', '弘雅花园雅豪轩三期  | 3室2厅 | 109.68平米 | 东北 | 其他 | 无电梯', '高楼层(共8层)2000年建板塔结合  -  新安', '568万', '单价51788元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cb77d6be-202b-40a2-b657-cbc33c6992da.png.296x216.jpg', '中商花园 3室2厅 550万', '中商花园  | 3室2厅 | 96.7平米 | 东北 | 其他 | 有电梯', '中楼层(共9层)1998年建板塔结合  -  翻身', '550万', '单价56877元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8b41d836-00b4-44d5-a21d-217ad52daaef.png.296x216.jpg', '待拆迁户，满五一套，仅契税，红本在手，看房请预约！', '深宝花园  | 2室2厅 | 69平米 | 西南 | 其他', '高楼层(共7层)1993年建板塔结合  -  翻身', '350万', '单价50725元/平米')
('https://image1.ljcdn.com/440300-inspection/e156c6c1-932c-4f09-8f4a-c700a148f8cd.jpg.296x216.jpg', '金景豪苑 双地铁口 万科配套 看宝体', '金景豪苑  | 4室2厅 | 143.89平米 | 西南 | 其他 | 有电梯', '高楼层(共16层)2002年建板塔结合  -  翻身', '730万', '单价50734元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ea25e164-1959-4941-8f07-01ae7733df1f.png.296x216.jpg', '宝中地铁物业 电梯标准两房 西南高层看花园 满五省税', '富源花园  | 2室2厅 | 77.13平米 | 西南 | 其他 | 有电梯', '中楼层(共13层)1999年建板塔结合  -  翻身', '375万', '单价48620元/平米')
('https://image1.ljcdn.com/440300-inspection/test-78a1de84-2d3a-450c-bb2a-8e77b04e9942.png.296x216.jpg', '碧海名园，满五唯一，红本在手，看房方便。', '碧海名园  | 2室2厅 | 59.85平米 | 西南 | 简装 | 无电梯', '高楼层(共6层)2004年建板塔结合  -  西乡', '335万', '单价55974元/平米')
('https://image1.ljcdn.com/440300-inspection/01730466-3c1c-4c39-bebf-78141586fe69.jpg.296x216.jpg', '御龙居少有顶楼带花园户型采光通风不错你值得一看', '御龙居  | 4室2厅 | 139.71平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2004年建板塔结合  -  西乡', '850万', '单价60841元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload54ee51c2-d10d-45da-adab-3d68eb79481c.jpg.296x216.jpg', '花园中间栋房子安静 看花园看游泳池 业主自己住', '润恒尚园  | 5室2厅 | 102.81平米 | 东南 西南 | 精装 | 有电梯', '低楼层(共28层)2015年建板塔结合  -  西乡', '780万', '单价75869元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8427969c-70af-44ef-96fd-0b24ebd0faf8.png.296x216.jpg', '金色华府 3室2厅 378万', '金色华府  | 3室2厅 | 94.54平米 | 东南 | 其他 | 有电梯', '中楼层(共23层)2003年建塔楼  -  西乡', '378万', '单价39984元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ca1460e4-9918-431f-9d4e-53554142e837.png.296x216.jpg', '满五唯一，有少量欠款，户型方正，看房方便。', '白金假日公寓  | 1室1厅 | 38.95平米 | 东北 | 其他 | 有电梯', '高楼层(共28层)2007年建塔楼  -  西乡', '210万', '单价53916元/平米')
('https://image1.ljcdn.com/440300-inspection/6d51b066-b6ce-43ad-beae-551ac2a02ad1.png.296x216.jpg', '近壹方城 一号线宝体站 精装三房 单价不到7万 急售', '幸福海岸二期  | 3室2厅 | 116.74平米 | 西北 | 精装 | 有电梯', '中楼层(共29层)2005年建塔楼  -  宝安中心', '810万', '单价69385元/平米')
('https://image1.ljcdn.com/440300-inspection/23172fb4-5075-4a80-8810-8d1444723017.jpg.296x216.jpg', '采光好 标准2房 配套完善 诚心出售', '华盛盛荟  | 2室1厅 | 55.51平米 | 西南 | 精装 | 有电梯', '中楼层(共32层)2015年建塔楼  -  新安', '270万', '单价48640元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e1c35ff2-b078-4d7c-9e0d-fb5a93bbfc56.png.296x216.jpg', '97最靓户型，南北通风 正南 可改四房，高层视野精装修', '泰华阳光海小区  | 3室2厅 | 97.45平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2009年建板塔结合  -  碧海', '700万', '单价71832元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8feb890c-6d85-4eeb-9df9-af112792d0f3.png.296x216.jpg', '万象新天 3室2厅 445万', '万象新天  | 3室2厅 | 66.17平米 | 西北 | 其他 | 有电梯', '高楼层(共14层)2013年建塔楼  -  西乡', '445万', '单价67252元/平米')
('https://image1.ljcdn.com/440300-inspection/test-44f5075d-2177-466a-9672-c8ebfcb977fc.png.296x216.jpg', '桃源居四区 3室2厅 520万', '桃源居四区  | 3室2厅 | 105.11平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2002年建板楼  -  桃源居', '520万', '单价49472元/平米')
('https://image1.ljcdn.com/440300-inspection/08772603-4ddd-453b-8381-64334d1de87d.jpg.296x216.jpg', '湖景居 4室2厅 710万', '湖景居  | 4室2厅 | 146.84平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2000年建板塔结合  -  新安', '710万', '单价48352元/平米')
('https://image1.ljcdn.com/440300-inspection/7059c564-6668-4fd3-9578-11b9f1fc4eb3.jpg.296x216.jpg', '前海铂寓 2室1厅 270万', '前海铂寓  | 2室1厅 | 55.95平米 | 西 | 其他', '中楼层(共18层)2016年建板塔结合  -  碧海', '270万', '单价48258元/平米')
('https://image1.ljcdn.com/440300-inspection/04968b8b-e8ab-41aa-8bba-4739df75d0e1.jpg.296x216.jpg', '桃源居十一区 2室2厅 390万', '桃源居十一区  | 2室2厅 | 86.28平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2008年建塔楼  -  桃源居', '390万', '单价45202元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload73dd9b9c-4cca-4ef8-a50c-a41a984f203b.jpg.296x216.jpg', '中信领航 5室2厅 830万', '中信领航  | 5室2厅 | 145.86平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2013年建板塔结合  -  西乡', '830万', '单价56904元/平米')
('https://image1.ljcdn.com/440300-inspection/ec924f2f-624a-4e42-a2bd-ac7caea2847f.jpg.296x216.jpg', '宽敞明亮合适置换，南北通透采光好。', '领翔华府  | 4室2厅 | 128.17平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2015年建板塔结合  -  西乡', '750万', '单价58517元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fd3cc045-390b-4364-a0da-32d382887ead.png.296x216.jpg', '南向看花郡花园，户型方正，中间楼层，通风采光好', '花样年花乡  | 2室1厅 | 52.57平米 | 西南 | 精装 | 有电梯', '高楼层(共25层)2011年建板塔结合  -  宝安中心', '380万', '单价72285元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ad403fd9-a51a-442e-b0e1-b2e812d007f8.png.296x216.jpg', '汇一城 正规精装一房 地铁上物业 楼下天虹 红本在手', '合正汇一城  | 1室1厅 | 50.23平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2012年建板塔结合  -  西乡', '335万', '单价66694元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fd30d4f7-18b0-43b0-aceb-f8b30c051480.png.296x216.jpg', '地铁口三房 精装修 实用率高 朝南看小区花园', '万象新天  | 3室1厅 | 66.27平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2013年建塔楼  -  西乡', '430万', '单价64887元/平米')
('https://image1.ljcdn.com/440300-inspection/79a91a5d-1156-49b5-90cf-a33e49871090.jpg.296x216.jpg', '高楼层景观优美    很通透4房      朝南向海景无限', '碧海富通城四期  | 4室2厅 | 135.6平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2008年建板楼  -  碧海', '810万', '单价59735元/平米')
('https://image1.ljcdn.com/440300-inspection/test-70df7c57-f28f-4ab3-9d0b-737b0f200328.png.296x216.jpg', '宝田雅苑 2室2厅 386万', '宝田雅苑  | 2室2厅 | 72.07平米 | 东北 | 其他 | 有电梯', '中楼层(共17层)2010年建塔楼  -  西乡', '386万', '单价53560元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ad20a938-0829-4090-8e9d-c2c3fd81d111.png.296x216.jpg', '凯旋城一期优质的四房，看泳池花园', '金泓凯旋城一期  | 4室2厅 | 143.83平米 | 东 | 其他 | 有电梯', '中楼层(共25层)2006年建板塔结合  -  宝安中心', '1110万', '单价77175元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b8fecfb1-27a7-42f3-806d-7e093155481b.png.296x216.jpg', '宝安体育馆旁 双地铁口物业 双龙抱珠3房 680万', '泰华君逸世家  | 3室2厅 | 92.36平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)2007年建板塔结合  -  宝安中心', '680万', '单价73625元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadab2b747b-c2e7-45d0-8fc5-f5fa90314987.jpg.296x216.jpg', '固戌地铁口 满两年 精装高拓实用大三房 带平台花园', '万象新天  | 3室2厅 | 65.63平米 | 东北 | 精装 | 有电梯', '低楼层(共14层)2013年建塔楼  -  西乡', '410万', '单价62472元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload61f42b0c-bc7a-44f0-bdbe-965a3b8f8770.JPG.296x216.jpg', '福永16年新小区 大四房 户型方正实用 宜居舒适', '同和悦园  | 4室2厅 | 139.32平米 | 东南 | 其他', '高楼层(共24层)2016年建暂无数据  -  福永', '550万', '单价39478元/平米')
('https://image1.ljcdn.com/440300-inspection/436a6850-ca57-4bff-8728-95bf33d48fa6.jpg.296x216.jpg', '碧涛苑 3室2厅 532万', '碧涛苑  | 3室2厅 | 111.4平米 | 西南 | 其他 | 有电梯', '低楼层(共11层)1998年建板塔结合  -  新安', '532万', '单价47756元/平米')
('https://image1.ljcdn.com/440300-inspection/42daa61c-2ad2-468e-83e2-83f7783e515c.jpg.296x216.jpg', '满五唯一省个税，三个卧室带明窗，住家装修拎包住', '天健时尚空间  | 3室2厅 | 72.14平米 | 西北 | 精装 | 有电梯', '中楼层(共28层)2010年建板塔结合  -  宝安中心', '630万', '单价87331元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadd0e655c3-5a5a-4aee-867b-be5b161a4e29.jpg.296x216.jpg', '社区中间位置，南北通户型，电梯房，宽敞', '豪业华庭  | 4室2厅 | 150.85平米 | 北 | 精装 | 有电梯', '低楼层(共11层)2005年建板楼  -  碧海', '850万', '单价56348元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8425cf3d-e191-4760-8eb5-d36a4eed2af8.png.296x216.jpg', '易达大厦 3室1厅 550万', '易达大厦  | 3室1厅 | 115.02平米 | 东南 | 其他 | 有电梯', '高楼层(共13层)2005年建板塔结合  -  翻身', '550万', '单价47818元/平米')
('https://image1.ljcdn.com/440300-inspection/0f4d849d-d383-4e44-91e0-c3ccfdf241af.jpg.296x216.jpg', '双地铁口物业，两梯两户，平层五房，高赠送，业主急卖', '中熙香缇湾  | 5室3厅 | 164.91平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2009年建板塔结合  -  西乡', '1300万', '单价78831元/平米')
('https://image1.ljcdn.com/440300-inspection/cda2d509-2db0-46da-bfa6-2317ab3fb5d8.jpg.296x216.jpg', '绿海名居 3室2厅 550万', '绿海名居  | 3室2厅 | 97.55平米 | 东南 | 其他 | 有电梯', '中楼层(共15层)2007年建板塔结合  -  碧海', '550万', '单价56382元/平米')
('https://image1.ljcdn.com/440300-inspection/58c80091-a3b5-4b00-8976-97f5f4e08d3e.jpg.296x216.jpg', '湖景居 4室2厅 780万', '湖景居  | 4室2厅 | 146.84平米 | 东 | 精装 | 有电梯', '中楼层(共29层)2000年建板塔结合  -  新安', '780万', '单价53120元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fa6d2fe9-3f12-4021-93f5-1e5992689ef4.png.296x216.jpg', '宝湖居花园 3室2厅 620万', '宝湖居花园  | 3室2厅 | 94.28平米 | 东北 | 其他', '中楼层(共7层)2001年建板塔结合  -  新安', '620万', '单价65762元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f4f4048d-490e-4a84-ac1b-0fb32c07126d.png.296x216.jpg', '房子装修很好，西南向看花园，楼层刚好不吵', '里仁府  | 3室1厅 | 119.39平米 | 西南 | 其他 | 有电梯', '低楼层(共25层)2004年建板塔结合  -  翻身', '545万', '单价45649元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dca03e19-ffc2-40dc-b5ae-e0b1b3fe0115.png.296x216.jpg', '地铁口大开间+沃尔玛+总价低+税费少+交通便利', '泰华君逸世家  | 1室0厅 | 46.65平米 | 东北 | 精装 | 有电梯', '低楼层(共16层)2007年建板塔结合  -  宝安中心', '278万', '单价59593元/平米')
('https://image1.ljcdn.com/440300-inspection/2bf59db7-5455-4f71-83c4-98f1e66244cd.jpg.296x216.jpg', '新安湖花园 3室2厅 400万', '新安湖花园  | 3室2厅 | 81.1平米 | 东北 | 其他 | 无电梯', '中楼层(共9层)1993年建板塔结合  -  新安', '400万', '单价49322元/平米')
('https://image1.ljcdn.com/440300-inspection/5b43ed27-eb30-44e5-99cf-bcba13a7fc27.jpg.296x216.jpg', '金色华府 3室2厅 370万', '金色华府  | 3室2厅 | 94.54平米 | 东北 | 其他 | 有电梯', '中楼层(共23层)2003年建塔楼  -  西乡', '370万', '单价39137元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload652925e5-5828-4a25-9065-c31631224485.jpg.296x216.jpg', '精装两房，高楼层，通风采光足..', '幸福珺湾  | 2室1厅 | 65.19平米 | 东北 | 精装', '高楼层(共31层)2017年建板塔结合  -  碧海', '420万', '单价64428元/平米')
('https://image1.ljcdn.com/440300-inspection/528a86ab-30e7-4380-a00e-0ff3a344eb9d.jpg.296x216.jpg', '深业新岸线二期四房，横厅设计，通透，户型舒适', '深业新岸线二期  | 4室1厅 | 141.35平米 | 西南 | 简装 | 有电梯', '低楼层(共27层)2007年建塔楼  -  宝安中心', '1100万', '单价77822元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload3ffa9ab5-08c5-4dea-bb30-b769a47de994.jpg.296x216.jpg', '御龙居顶楼中空复式，龙头精装带私家顶楼花园安静', '御龙居  | 5室2厅 | 238.19平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2004年建板塔结合  -  西乡', '1500万', '单价62975元/平米')
('https://image1.ljcdn.com/440300-inspection/a1a2873a-d4a1-4385-b9d2-164e43d2c41e.jpg.296x216.jpg', '不一样的四房 看了都说户型好的房子 赠送面积约25平米', '流塘阳光花园  | 4室2厅 | 86.56平米 | 西北 | 毛坯 | 有电梯', '高楼层(共30层)2015年建板楼  -  西乡', '630万', '单价72782元/平米')
('https://image1.ljcdn.com/440300-inspection/de3480a0-e6a9-4550-828b-89d93e5deec1.jpg.296x216.jpg', '欢乐海岸看海景观50年产权商务公寓', '华侨城华寓  | 2室1厅 | 133.85平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2013年建板塔结合  -  宝安中心', '1100万', '单价82182元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f83e232a-0b28-48f4-8346-bfe3cc0ac806.png.296x216.jpg', '满五唯一，拎包入住，一号地铁线随时接看', '碧湾雅园  | 2室1厅 | 79.17平米 | 西南 东北 | 其他 | 有电梯', '中楼层(共16层)2009年建板塔结合  -  西乡', '408万', '单价51535元/平米')
('https://image1.ljcdn.com/440300-inspection/bcc82f63-0db5-4920-83fe-71ac27e0f4df.jpg.296x216.jpg', '精装三房  阳光无遮挡  户型经典 安静看花园', '领翔华府  | 3室1厅 | 85.72平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2015年建板塔结合  -  西乡', '500万', '单价58330元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4a720f51-5263-4938-9324-9e4c9468b646.png.296x216.jpg', '丽景城 3室1厅 595万', '丽景城  | 3室1厅 | 111.8平米 | 东 西北 | 其他 | 有电梯', '中楼层(共25层)2003年建板塔结合  -  西乡', '595万', '单价53221元/平米')
