('https://image1.ljcdn.com/120000-inspection/96beb4cd-34f3-4d7e-986b-e5ec08f711ee.jpg.296x216.jpg', '东惠家园 东向两居室 随时签约 诚意出售', '东惠家园  | 2室1厅 | 60.85平米 | 东 | 简装 | 有电梯', '高楼层(共31层)板楼  -  真理道', '135万', '单价22186元/平米')
('https://image1.ljcdn.com/120000-inspection/0ff05b80-ba7a-4621-af54-4033edea0f8f5.jpg.296x216.jpg', '小三室  不到顶  南北通透 全明户型   总价低', '红顶花园南园  | 3室1厅 | 109.78平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)板楼  -  向阳楼', '248万', '单价22591元/平米')
('https://image1.ljcdn.com/120000-inspection/270ccf74-2da8-4169-9c62-37b6d08ea0ad.jpg.296x216.jpg', '东亚风尚国际 1室1厅 189万', '东亚风尚国际  | 1室1厅 | 52.22平米 | 南 | 其他 | 有电梯', '低楼层(共34层)板楼  -  唐家口', '189万', '单价36194元/平米')
('https://image1.ljcdn.com/120000-inspection/fb5ac040-e91c-4a90-866b-9be943163719.jpg.296x216.jpg', '中山门南里 2室1厅 220万', '中山门南里  | 2室1厅 | 81.52平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  中山门街', '220万', '单价26988元/平米')
('https://image1.ljcdn.com/120000-inspection/7df03193-2d24-4269-aea3-96458497bdf7.jpg.296x216.jpg', '房子为两室，采光充足，自然通风，户型方正。', '海峰公寓  | 3室1厅 | 96.9平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  大直沽', '255万', '单价26316元/平米')
('https://image1.ljcdn.com/120000-inspection/c414c537-e4b5-4126-99b0-4a8fb8b5f7ee.jpg.296x216.jpg', '福东北里 一室 河东户口 房子满五年 2楼 楼层好', '福东北里  | 1室1厅 | 41.96平米 | 东 | 简装 | 无电梯', '低楼层(共6层)板楼  -  二号桥街', '97万', '单价23118元/平米')
('https://image1.ljcdn.com/120000-inspection/fadd30fa-9af1-4a10-86c0-6bff4adc3b7f.jpg.296x216.jpg', '金湾花园 户型方正 双阳通透 满五唯一', '金湾花园  | 2室1厅 | 86.5平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '252万', '单价29133元/平米')
('https://image1.ljcdn.com/120000-inspection/27903b9d-b5d5-47e8-91c5-69d4c5bc4c04.jpg.296x216.jpg', '新天地家园  四室两厅 交通便利 环境优美', '新天地家园  | 4室2厅 | 196.3平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共29层)板楼  -  春华街', '650万', '单价33113元/平米')
('https://image1.ljcdn.com/120000-inspection/9c8af99b-338d-42da-b4ef-e363af06edf8.jpg.296x216.jpg', '直沽园 2室1厅 采光充足 配套齐全', '直沽园  | 2室1厅 | 97.11平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)板楼  -  大直沽', '258万', '单价26568元/平米')
('https://image1.ljcdn.com/120000-inspection/829b4160-9eb7-4dcc-ae2f-50b50c8a4e06.jpg.296x216.jpg', '精装户型，拎包入住，小区环境干净宜人。', '碧波园  | 3室2厅 | 165.13平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  大直沽', '649万', '单价39303元/平米')
('https://image1.ljcdn.com/120000-inspection/15b9e134-cb32-49cd-9897-37de55a0de61.jpg.296x216.jpg', '金湾花园 通透一室 可拎包入住', '金湾花园  | 1室1厅 | 67.92平米 | 东 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  上杭路', '205万', '单价30183元/平米')
('https://image1.ljcdn.com/120000-inspection/334e82e9-c552-4145-aadb-f16468245827.jpg.296x216.jpg', '成熟社区，交通便利，采光充足，格局合理。', '林兴里  | 2室2厅 | 102.79平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  大王庄', '310万', '单价30159元/平米')
('https://image1.ljcdn.com/120000-inspection/3425dc11-3639-4402-b899-d144b5e2c051.jpg.296x216.jpg', '彩丽园 3室1厅 248万', '彩丽园  | 3室1厅 | 102.38平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  太阳城', '248万', '单价24224元/平米')
('https://image1.ljcdn.com/120000-inspection/e369f46c-209d-4aa0-983d-a81ff6a196bf.jpg.296x216.jpg', '互助南里 私产两居 南北通透 随时看房', '互助南里  | 2室1厅 | 59.11平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  中山门街', '150万', '单价25377元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload1d6d9a42-749e-40c5-98ea-0a5b9c3b6a7c.jpg.296x216.jpg', '太阳城绿萱园 3室2厅 420万', '太阳城绿萱园  | 3室2厅 | 147.38平米 | 南 北 | 其他 | 有电梯', '中楼层(共10层)板楼  -  太阳城', '420万', '单价28498元/平米')
('https://image1.ljcdn.com/120000-inspection/1a523d18-926f-48d5-a39a-4fea4a23b4b1.jpg.296x216.jpg', '河东区东惠家园 明厅一居 中间楼层 看房方便', '东惠家园  | 1室1厅 | 48.52平米 | 西 | 毛坯 | 有电梯', '中楼层(共32层)板楼  -  真理道', '90万', '单价18550元/平米')
('https://image1.ljcdn.com/120000-inspection/38b403e5-dfc7-45bc-bfc1-f0ac3d9cbd47.jpg.296x216.jpg', '盛世嘉园 南向一居 户型方正 采光好', '盛世嘉园  | 1室1厅 | 57.72平米 | 南 | 其他 | 无电梯', '低楼层(共6层)板楼  -  真理道', '148万', '单价25642元/平米')
('https://image1.ljcdn.com/120000-inspection/9ad7843d-9db6-4448-af6f-55a099d14222.jpg.296x216.jpg', '裕阳大厦 2室2厅 350万', '裕阳大厦  | 2室2厅 | 136.59平米 | 南 北 | 其他 | 有电梯', '中楼层(共20层)板楼  -  春华街', '350万', '单价25625元/平米')
('https://image1.ljcdn.com/120000-inspection/eec7adac-5b3e-4d75-bd14-1dc14955d710.jpg.296x216.jpg', '滨河家园跃层 采光充足 可观海河', '滨河家园  | 3室2厅 | 129.73平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  富民路', '265万', '单价20428元/平米')
('https://image1.ljcdn.com/120000-inspection/4a1ac2ce-20af-4639-bc67-8bd4fabeec66.jpg.296x216.jpg', '程林里  低楼层   带阳光房 看房方便', '程林里  | 1室1厅 | 40.28平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)板楼  -  上杭路', '145万', '单价35999元/平米')
('https://image1.ljcdn.com/120000-inspection/f72536e4-eb02-46b0-95fe-555cbc747ec5.jpg.296x216.jpg', '萦东温泉花园  8号楼 格局方正 户型合理', '萦东温泉花园  | 2室2厅 | 96.04平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  大直沽', '235万', '单价24469元/平米')
('https://image1.ljcdn.com/120000-inspection/1bdd16bc-c7dd-447e-85dc-cb8e0572f85c.jpg.296x216.jpg', '靖泰里，低楼层采光好精装修，出行方便', '靖泰里  | 1室1厅 | 69.85平米 | 南 | 精装 | 无电梯', '低楼层(共6层)板楼  -  常州道', '176万', '单价25197元/平米')
('https://image1.ljcdn.com/120000-inspection/f1fb792b-041d-4d12-b21e-338e60803285.jpg.296x216.jpg', '私产满五年 户型方正，居住方便 舒适小区环境好', '格调竹境  | 2室1厅 | 82.08平米 | 南 | 简装 | 有电梯', '低楼层(共28层)板楼  -  中山门街', '272万', '单价33139元/平米')
('https://image1.ljcdn.com/120000-inspection/24f9d9b7-8fbe-4b1a-8537-702bf4cb43d9.jpg.296x216.jpg', '互助西里 2室1厅 230万', '互助西里  | 2室1厅 | 77.45平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  中山门街', '230万', '单价29697元/平米')
('https://image1.ljcdn.com/120000-inspection/10bc156b-dd0e-427f-bb05-0bd6d2c5b0ea.jpg.296x216.jpg', '裕阳花园 3室2厅 445万', '裕阳花园  | 3室2厅 | 126.64平米 | 东 南 北 | 其他 | 有电梯', '中楼层(共7层)板楼  -  春华街', '445万', '单价35139元/平米')
('https://image1.ljcdn.com/120000-inspection/6d68579f-0693-4936-bdac-33065e0f3eb1.jpg.296x216.jpg', '秋实园低楼层一室 ，满五唯一 业主诚意出售', '秋实园  | 1室1厅 | 56.46平米 | 南 | 其他 | 无电梯', '低楼层(共7层)板楼  -  春华街', '165万', '单价29225元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload013186f8-8322-4bb7-8d2f-2004612d0969.jpg.296x216.jpg', '城市之光星光园 3室2厅 530万', '城市之光星光园  | 3室2厅 | 138.86平米 | 南 北 | 简装 | 有电梯', '高楼层(共6层)板楼  -  春华街', '530万', '单价38168元/平米')
('https://image1.ljcdn.com/120000-inspection/b6c2df00-ba35-4056-bac6-b51fb409a7a4.jpg.296x216.jpg', '晨光楼 2室1厅 180万', '晨光楼  | 2室1厅 | 62.12平米 | 南 北 | 简装 | 无电梯', '低楼层(共8层)板楼  -  向阳楼', '180万', '单价28977元/平米')
('https://image1.ljcdn.com/120000-inspection/92f39cef-0b1c-4fe9-b000-cad2fc297179.jpg.296x216.jpg', '此房南北通透明厨明卫，首层出入方便，小区中间位置', '工业大学家属院  | 3室1厅 | 79.12平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)板楼  -  唐家口', '280万', '单价35390元/平米')
('https://image1.ljcdn.com/120000-inspection/a3b6af46-8a87-4edc-a5d9-bad8f869bb90.jpg.296x216.jpg', '富民公寓 1室1厅 133万', '富民公寓  | 1室1厅 | 56.96平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  富民路', '133万', '单价23350元/平米')
('https://image1.ljcdn.com/120000-inspection/d7e60da3-4c23-4113-a277-a77e69ca1406.jpg.296x216.jpg', '福东里 1室1厅 100万', '福东里  | 1室1厅 | 53.68平米 | 东 | 简装 | 无电梯', '高楼层(共7层)板楼  -  二号桥街', '100万', '单价18629元/平米')
('https://image1.ljcdn.com/120000-inspection/1b069ef7-eec2-464c-9ced-87b46793a378.jpg.296x216.jpg', '美景花园 交通便利  户型规整  视野较好', '美景花园  | 2室1厅 | 101.09平米 | 南 | 精装 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '263万', '单价26017元/平米')
('https://image1.ljcdn.com/120000-inspection/ae20c622-391d-4a76-b122-cf64e1f72597.jpg.296x216.jpg', '芳水河畔家园 双阳户型 带阁楼 采光好', '芳水河畔家园  | 2室1厅 | 73.1平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)板楼  -  上杭路', '202万', '单价27634元/平米')
('https://image1.ljcdn.com/120000-inspection/87efe0b5-4f42-49e3-843d-cace85a6cdcf.jpg.296x216.jpg', '团结东里  明厅  中间楼层 采光充足', '团结东里  | 2室1厅 | 61.26平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  中山门街', '180万', '单价29383元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploaddbb9948c-70c2-466a-b409-eeb2be9c8a26.jpg.296x216.jpg', '配套较齐 采光较好 业主诚意出售 干净整洁', '盛世嘉园  | 1室1厅 | 70.53平米 | 南 | 简装 | 有电梯', '高楼层(共24层)板楼  -  真理道', '140万', '单价19850元/平米')
('https://image1.ljcdn.com/120000-inspection/aa4f8891-9fef-441f-b2b0-7406d6926bf5.jpg.296x216.jpg', '益寿东里 2室1厅 130万', '益寿东里  | 2室1厅 | 53.8平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  常州道', '130万', '单价24164元/平米')
('https://image1.ljcdn.com/120000-inspection/10d40395-ab25-45a5-9f8b-c8c80973d3f7.jpg.296x216.jpg', '美福园 1室1厅 240万', '美福园  | 1室1厅 | 71.01平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  春华街', '240万', '单价33799元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadcc9c97e3-fb5e-4f7e-80bd-d800fa0cf255.jpg.296x216.jpg', '第博雅园 中间位置 老虎窗 采光好', '第六大道第博雅园  | 2室1厅 | 65.18平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)板楼  -  上杭路', '211万', '单价32372元/平米')
('https://image1.ljcdn.com/120000-inspection/3a6b3606-edbe-44bf-9db1-ead96612dca4.jpg.296x216.jpg', '宫前东园 1室1厅 126万', '宫前东园  | 1室1厅 | 52.6平米 | 南 | 其他 | 无电梯', '高楼层(共7层)板楼  -  大直沽', '126万', '单价23955元/平米')
('https://image1.ljcdn.com/120000-inspection/836d27eb-11da-43b0-90e3-a62c7ece8878.jpg.296x216.jpg', '中山门两室 中间楼层 满五年 采光好 诚意出售！', '互助西里  | 2室1厅 | 94.95平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  中山门街', '262万', '单价27594元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/52c45b4f-79a1-41d6-951a-c551dbd763e0.jpg.296x216.jpg', '紫云庭 精装 平层 价钱可议 出行方便 配套齐', '紫云庭  | 1室1厅 | 48.53平米 | 北 | 精装 | 有电梯', '高楼层(共21层)塔楼  -  二号桥街', '59万', '单价12158元/平米')
('https://image1.ljcdn.com/120000-inspection/6b8b515c-92bb-4153-9f4f-1cb7bdfccf4d.jpg.296x216.jpg', '万隆中心大厦 3室2厅 365万', '万隆中心大厦  | 3室2厅 | 142.32平米 | 南 | 其他 | 有电梯', '中楼层(共24层)板楼  -  大王庄', '365万', '单价25647元/平米')
('https://image1.ljcdn.com/120000-inspection/78f7f197-1adb-47d1-8ae1-0ac60465dc73.jpg.296x216.jpg', '盛世嘉园 1室1厅 155万', '盛世嘉园  | 1室1厅 | 65.74平米 | 南 | 精装 | 有电梯', '低楼层(共24层)板楼  -  真理道', '155万', '单价23578元/平米')
('https://image1.ljcdn.com/120000-inspection/ba1a60a7-fd7c-4630-bb51-44e616f01fdc.jpg.296x216.jpg', '前进新里 低楼层 通透两室 过五无二', '前进新里  | 2室1厅 | 58.69平米 | 东 西 | 简装 | 无电梯', '低楼层(共6层)板楼  -  向阳楼', '160万', '单价27262元/平米')
('https://image1.ljcdn.com/120000-inspection/f34afcea-c671-4fe1-8704-9e12d8864308.jpg.296x216.jpg', 'H户型 精装修 诚心出售 配套成熟', '神州花园  | 2室1厅 | 97.65平米 | 南 北 | 其他 | 有电梯', '低楼层(共10层)板楼  -  大直沽', '400万', '单价40963元/平米')
('https://image1.ljcdn.com/120000-inspection/1dbd0a7a-6e8a-417b-89bc-0f6557e1e2f9.jpg.296x216.jpg', '芳馨园 大三室 南北朝向 明厅 看房方便', '芳馨园  | 3室2厅 | 119.57平米 | 东南 | 简装 | 无电梯', '高楼层(共7层)板楼  -  上杭路', '295万', '单价24672元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload1d1334dd-f5cb-4fdf-af44-167a7f71545d.jpg.296x216.jpg', '第六大道、一室小户型、再卖的较少、采光很好。', '第六大道第博雅园  | 1室1厅 | 60.17平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '147万', '单价24431元/平米')
('https://image1.ljcdn.com/120000-inspection/f408c745-77aa-4142-91b0-44540a2f3ad0.jpg.296x216.jpg', '天津雅颂居 2室1厅 500万', '天津雅颂居  | 2室1厅 | 124.82平米 | 东南 | 其他 | 有电梯', '中楼层(共61层)板楼  -  大王庄', '500万', '单价40058元/平米')
('https://image1.ljcdn.com/120000-inspection/5cd71317-7b8f-4163-8dc7-29496b93e262.jpg.296x216.jpg', '晶品轩三阳开泰户型 通透性好 两梯三户', '晶品轩  | 3室1厅 | 130.7平米 | 南 | 精装 | 有电梯', '高楼层(共29层)板楼  -  上杭路', '480万', '单价36726元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadeba14655-db19-4e8c-96fa-ae05d845922d.jpg.296x216.jpg', '私产满五年 户型方正H户型，居住方便', '格调竹境  | 2室2厅 | 97.75平米 | 南 | 其他 | 有电梯', '低楼层(共18层)板楼  -  中山门街', '338万', '单价34579元/平米')
('https://image1.ljcdn.com/120000-inspection/93475264-f748-4066-8977-7b6092c4aaa7.jpg.296x216.jpg', '四楼房源 过五年 看房随时 小区中间位置 交通便利', '福东北里  | 1室1厅 | 44.2平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  二号桥街', '110万', '单价24887元/平米')
('https://image1.ljcdn.com/120000-inspection/afb2142d-3046-4636-8978-d479b9f734a1.jpg.296x216.jpg', '民族园 成熟社区 配套成熟 户型方正 采光充足', '民族园  | 2室2厅 | 84.57平米 | 东南 | 简装 | 有电梯', '中楼层(共11层)板塔结合  -  中山门街', '283万', '单价33464元/平米')
('https://image1.ljcdn.com/120000-inspection/6135924a-55a4-4b60-b77a-36ec978123ab.jpg.296x216.jpg', '十二经路4 2室1厅 145万', '十二经路4  | 2室1厅 | 57.41平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  大王庄', '145万', '单价25257元/平米')
('https://image1.ljcdn.com/120000-inspection/e92ba12c-3cc6-4e3c-bfad-327fac37a2a0.jpg.296x216.jpg', '金湾花园 满五唯一 精装南北通透两室 看房方便', '金湾花园  | 2室1厅 | 87.62平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '248万', '单价28305元/平米')
('https://image1.ljcdn.com/120000-inspection/15c98c3a-cb0d-4d5c-a167-d414d458f863.jpg.296x216.jpg', '团结北里   两室两厅  简单装修  低楼层  可贷款', '团结北里  | 2室2厅 | 73.06平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)板楼  -  中山门街', '200万', '单价27375元/平米')
('https://image1.ljcdn.com/120000-inspection/cd34e9c9-17fe-4b32-9dd9-abb2e2f6bc52.jpg.296x216.jpg', '久福园 3室1厅 348万', '久福园  | 3室1厅 | 143.7平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '348万', '单价24218元/平米')
('https://image1.ljcdn.com/120000-inspection/e7bb09ce-82a0-4f3a-a0b9-895d243a4029.jpg.296x216.jpg', '海兰公寓 2室1厅 185万', '海兰公寓  | 2室1厅 | 63.39平米 | 东 西 | 其他 | 有电梯', '低楼层(共7层)板楼  -  春华街', '185万', '单价29185元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload811115ab-5b9e-4b5c-9854-1cb3beaeed55.jpg.296x216.jpg', '林盛里  出行方便 交通便利 生活配套齐全', '林盛里  | 2室1厅 | 64.94平米 | 南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  大王庄', '152万', '单价23407元/平米')
('https://image1.ljcdn.com/120000-inspection/af0f47eb-fbf1-4257-b369-5208cfc40289.jpg.296x216.jpg', '建新东里 两室南北通透 看房方便', '建新东里  | 2室1厅 | 84.94平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '177万', '单价20839元/平米')
('https://image1.ljcdn.com/120000-inspection/90bd5516-69e7-4153-8e33-0cea3601ebe8.jpg.296x216.jpg', '东瑞家园 交通便利 户型规整 视野较好', '东瑞家园  | 2室1厅 | 72.92平米 | 西南 | 精装 | 有电梯', '中楼层(共32层)板楼  -  真理道', '158万', '单价21668元/平米')
('https://image1.ljcdn.com/120000-inspection/ae06f18e-51d6-4b85-a8e5-15df7d5cf5e1.jpg.296x216.jpg', '林盛里小区 两居室 出行方便 交通便利', '林盛里  | 2室1厅 | 86.69平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  大王庄', '210万', '单价24225元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload46e011f6-52f5-4cc3-aa8a-c8123e86e63f.jpg.296x216.jpg', '金康园 2室2厅 268万', '金康园  | 2室2厅 | 98.71平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)板楼  -  唐家口', '268万', '单价27151元/平米')
('https://image1.ljcdn.com/120000-inspection/ff582c73-9c56-48d3-bdc2-e1b2db96eca1.jpg.296x216.jpg', '环秀西里 干净整洁 格局方正 户型合理', '环秀西里  | 2室1厅 | 55.92平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)板楼  -  万新村', '148万', '单价26467元/平米')
('https://image1.ljcdn.com/120000-inspection/fbb4ab25-4b12-4b49-a44e-1612b0e9b499.jpg.296x216.jpg', '六纬路 2室1厅 170万', '六纬路  | 2室1厅 | 58.61平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  大王庄', '170万', '单价29006元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload44d27c58-8e40-41c1-b8e3-59fc681cc1b4.jpg.296x216.jpg', '福东北里 南北通透 偏独精装 看房方便', '福东北里  | 1室1厅 | 55.93平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  二号桥街', '128万', '单价22886元/平米')
('https://image1.ljcdn.com/120000-inspection/c5f707eb-f8fd-4211-97b1-9c693d805a8c.jpg.296x216.jpg', '城市之光月光园 一楼带院  看房方便', '城市之光月光园  | 3室2厅 | 150.82平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)板楼  -  春华街', '570万', '单价37794元/平米')
('https://image1.ljcdn.com/120000-inspection/90a8c319-21ab-4285-a3cb-81c2eb7ca9aa.jpg.296x216.jpg', '绿萱园 三室两厅 错层 南北通透 电梯洋房 配套齐全', '太阳城绿萱园  | 3室2厅 | 126.51平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)板楼  -  太阳城', '420万', '单价33199元/平米')
('https://image1.ljcdn.com/120000-inspection/c78c8f91-c264-45ae-b91c-02eefefe09af.jpg.296x216.jpg', '长城公寓 2室2厅 370万', '长城公寓  | 2室2厅 | 97.44平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  大王庄', '370万', '单价37973元/平米')
('https://image1.ljcdn.com/120000-inspection/baf19934-214f-4b3c-90c2-d90ad26445a3.jpg.296x216.jpg', '精装满两年 交通便利 看房方便 诚意出售', '巨福公寓  | 1室1厅 | 45.92平米 | 西 | 其他 | 有电梯', '中楼层(共8层)板楼  -  春华街', '107万', '单价23302元/平米')
('https://image1.ljcdn.com/120000-inspection/dbe7a0e0-40ed-457f-aaa1-4773f858d974.jpg.296x216.jpg', '南北通透，普通装修，拎包就可入住', '建新东里  | 3室1厅 | 119.14平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '220万', '单价18466元/平米')
('https://image1.ljcdn.com/120000-inspection/a6ce399d-e2b5-44f3-8bc5-5245ef62f784.jpg.296x216.jpg', '倚虹中里 2室1厅 108万', '倚虹中里  | 2室1厅 | 53.4平米 | 南 | 其他 | 无电梯', '高楼层(共7层)板楼  -  万新村', '108万', '单价20225元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload6ccce46b-fc0a-41b2-ab34-d38f536441e5.jpg.296x216.jpg', '可贷款户型方正，房子很合适，诚意出售小区地理位置好', '荣泰公寓  | 2室1厅 | 64.18平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  大王庄', '210万', '单价32721元/平米')
('https://image1.ljcdn.com/120000-inspection/35172e43-86fd-4dd4-893b-2dc473baea82.jpg.296x216.jpg', '高层电梯  低楼层 交通便利 采光好 总价低', '东景大厦  | 3室1厅 | 124.95平米 | 南 | 简装 | 有电梯', '中楼层(共16层)板楼  -  春华街', '400万', '单价32013元/平米')
('https://image1.ljcdn.com/120000-inspection/f1210f1f-5da3-4425-9082-90c727bab414.jpg.296x216.jpg', '盛世嘉园 2室1厅 168万', '盛世嘉园  | 2室1厅 | 77.26平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  真理道', '168万', '单价21745元/平米')
('https://image1.ljcdn.com/120000-inspection/67949748-8c77-469d-8ca1-d0139f43ba72.jpg.296x216.jpg', '新义信里 7楼两室  采光好 随时能看', '新义信里  | 2室1厅 | 100.89平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)板楼  -  大王庄', '220万', '单价21806元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload95bcd4cc-867f-48c4-b4fb-470eb8cea149.jpg.296x216.jpg', '交通出行方便 购物便利 户型方正大三居', '汇和家园  | 3室2厅 | 130.5平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)板楼  -  春华街', '455万', '单价34866元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload3132cfce-f71e-4912-9735-c69caa2c50ee.jpg.296x216.jpg', '芳水河畔 通透大一室 楼间距大 采光充足 诚意出售', '芳水河畔家园  | 1室1厅 | 54.53平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '142万', '单价26041元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload45978187-8c1c-4f3f-9bf7-87f54ebaa87b.jpg.296x216.jpg', '滨河庭苑，位置优越，采光好，配套成熟', '滨河庭苑  | 2室1厅 | 101.55平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  富民路', '285万', '单价28065元/平米')
('https://image1.ljcdn.com/120000-inspection/2b9b83af-a29d-4940-90a0-723aefee3b2d.jpg.296x216.jpg', '远翠东里  一室一厅 户型方正 看房方便 随时联系', '远翠东里  | 1室1厅 | 36.69平米 | 南 | 毛坯 | 无电梯', '低楼层(共6层)板楼  -  万新村', '94万', '单价25621元/平米')
('https://image1.ljcdn.com/120000-inspection/027b9f01-40ea-4290-83e2-a5b6af42bb55.jpg.296x216.jpg', '此房过五年，双阳通透户型，业主诚意卖', '建新东里  | 2室1厅 | 83.38平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '190万', '单价22788元/平米')
('https://image1.ljcdn.com/120000-inspection/2e8fd995-5b0c-447a-9fd3-837edf8ef9c1.jpg.296x216.jpg', '巨福新园 3室2厅 410万', '巨福新园  | 3室2厅 | 154.18平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  春华街', '410万', '单价26593元/平米')
('https://image1.ljcdn.com/120000-inspection/e5e8af50-4ad1-4087-8119-6e37b15028ad.jpg.296x216.jpg', '卓越浅水湾 2室1厅 160万', '卓越浅水湾  | 2室1厅 | 30.78平米 | 西南 | 其他 | 有电梯', '高楼层(共52层)板楼  -  大王庄', '160万', '单价51982元/平米')
('https://image1.ljcdn.com/120000-inspection/8fc34c09-16c5-43f0-9fe8-570a302e5460.jpg.296x216.jpg', '万东花园 2室2厅 272万', '万东花园  | 2室2厅 | 90.59平米 | 南 | 其他 | 有电梯', '中楼层(共34层)板楼  -  向阳楼', '272万', '单价30026元/平米')
('https://image1.ljcdn.com/120000-inspection/e7019d3b-3563-44fa-aeef-88f0b8d97076.jpg.296x216.jpg', '欣荣馨苑   采光很好    交通方便', '欣荣馨苑  | 2室1厅 | 65.3平米 | 东 | 简装', '高楼层(共28层)板楼  -  唐家口', '166万', '单价25422元/平米')
('https://image1.ljcdn.com/120000-inspection/df4f0359-9ad3-4020-b644-9dc3f72f6276.jpg.296x216.jpg', '太阳城橙翠园 2室2厅 270万', '太阳城橙翠园  | 2室2厅 | 106.36平米 | 南 | 简装 | 有电梯', '低楼层(共9层)板楼  -  太阳城', '270万', '单价25386元/平米')
('https://image1.ljcdn.com/120000-inspection/75950f19-f61d-494f-99b2-8069a208f8b9.jpg.296x216.jpg', '冠云中里 配套较齐  采光较好  业主诚意出售', '冠云中里  | 1室1厅 | 36.04平米 | 南 | 其他 | 无电梯', '高楼层(共7层)板楼  -  万新村', '91万', '单价25250元/平米')
('https://image1.ljcdn.com/120000-inspection/60b33013-c71e-4c46-876a-440cb5f0e849.jpg.296x216.jpg', '友爱南里 2室1厅 248万', '友爱南里  | 2室1厅 | 113.65平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)板楼  -  中山门街', '248万', '单价21822元/平米')
