('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload92662a90-6e06-4386-a6a6-69d133013027.jpg.296x216.jpg', '长白岛 万科城二期 南向 户型规整 两室 中间好楼层', '万科城二期  | 2室2厅 | 102.04平米 | 南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '175万', '单价17151元/平米')
('https://image1.ljcdn.com/210100-inspection/e67cc8a9-fda9-4baf-a7e2-e438124d7bfa.jpg.296x216.jpg', '长白万科鹿特丹 精装修 南北通透 看房方便 两室', '万科鹿特丹  | 2室2厅 | 91.06平米 | 南 北 | 其他', '高楼层(共31层)2016年建板楼  -  和平区', '180万', '单价19768元/平米')
('https://image1.ljcdn.com/210100-inspection/84d79cf9-ad78-4198-ba5a-b33c7a2e963e.jpg.296x216.jpg', '长白岛 国企越秀 南北通透大三室 精装修 带车位', '越秀星汇蓝海  | 3室2厅 | 120平米 | 南 北 | 其他', '中楼层(共33层)2016年建板楼  -  和平区', '185万', '单价15417元/平米')
('https://image1.ljcdn.com/210100-inspection/53e7c119-2066-44cf-b647-8ea8ece39fb1.jpg.296x216.jpg', '万锦和平里 2室1厅 97万', '万锦和平里  | 2室1厅 | 74.11平米 | 南 | 其他', '中楼层(共33层)2012年建板楼  -  和平区', '97万', '单价13089元/平米')
('https://image1.ljcdn.com/210100-inspection/d02de99b-99ae-473b-8fb3-d31cda4428e6.JPG.296x216.jpg', '诚大数码国际广场，大一居，交通便利，配套齐全', '诚大数码广场  | 1室1厅 | 78.2平米 | 西 | 简装', '高楼层(共28层)2008年建板楼  -  和平区', '55万', '单价7034元/平米')
('https://image1.ljcdn.com/210100-inspection/eebc1c1d-c20b-4075-a7c3-cc822419d2c5.JPG.296x216.jpg', '长白岛 中海国际社区 南北两室 中间楼层 采光好', '中海国际社区四期  | 2室2厅 | 88平米 | 南 北 | 其他', '中楼层(共23层)2015年建板楼  -  和平区', '158万', '单价17955元/平米')
('https://image1.ljcdn.com/210100-inspection/fc26405f-78d3-4368-9434-21edcebc6ae8.jpg.296x216.jpg', '长白岛 新加坡城 南北标准户型 简单装修 小高层', '新加坡城  | 2室1厅 | 72.41平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  和平区', '105万', '单价14501元/平米')
('https://image1.ljcdn.com/210100-inspection/e8550cd7-51ad-437b-9116-8fedd01b4d3b.jpg.296x216.jpg', '长白岛 格林生活坊坊 5室跃3层 南北通透 视野宽广', '格林生活坊一期  | 5室2厅 | 223.45平米 | 南 北 | 其他', '高楼层(共24层)2009年建板楼  -  和平区', '270万', '单价12084元/平米')
('https://image1.ljcdn.com/210100-inspection/b74f79b5-1ceb-4b2a-8ab0-20277eb963d7.jpg.296x216.jpg', '万科城二期 全天采光 精装修三室两厅两卫', '万科城二期  | 3室2厅 | 127平米 | 南 | 精装', '中楼层(共32层)2006年建板塔结合  -  和平区', '195万', '单价15355元/平米')
('https://image1.ljcdn.com/210100-inspection/5ac84b87-55d4-4c97-abbc-95c5346fb0e3.jpg.296x216.jpg', '长白岛 中冶上河湾 四室两卫 清水 小高层中间楼层', '中冶上和郡  | 4室2厅 | 122.78平米 | 南 北 | 其他', '高楼层(共11层)2017年建板塔结合  -  和平区', '185万', '单价15068元/平米')
('https://image1.ljcdn.com/210100-inspection/4cc204f2-3ab7-43ab-9182-68fc88c433ba.jpg.296x216.jpg', '南北通透格局，二室，精装，中间楼层，全天采光', '万科鹿特丹  | 2室1厅 | 97.69平米 | 南 北 | 精装', '高楼层(共31层)2016年建板楼  -  和平区', '175万', '单价17914元/平米')
('https://image1.ljcdn.com/210100-inspection/140e83d4-3aca-49c5-b53a-ad46f4671fdc.JPG.296x216.jpg', '艾特商务花园 一室南向 精装修 赠送6平米阳台', '艾特商务花园  | 1室0厅 | 49.87平米 | 南 西 | 简装', '中楼层(共19层)暂无数据  -  和平区', '36万', '单价7219元/平米')
('https://image1.ljcdn.com/210100-inspection/0eba48fa-a6f5-4be7-b796-bc5d1a6efeb5.jpg.296x216.jpg', '长白岛新加坡城 三室两卫 河景房 精装修 采光好', '新加坡城  | 3室2厅 | 127.67平米 | 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  和平区', '190万', '单价14883元/平米')
('https://image1.ljcdn.com/210100-inspection/7f2fbbce-3e0a-4491-85ca-dc5fa934782f.jpg.296x216.jpg', '万科城六期 3室2厅 340万', '万科城六期  | 3室2厅 | 139平米 | 南 北 | 其他', '高楼层(共33层)2010年建板楼  -  和平区', '340万', '单价24461元/平米')
('https://image1.ljcdn.com/210100-inspection/2b79e54c-c670-4dff-b865-5aab400700c0.jpg.296x216.jpg', '新加坡城多层两室 精装修 不临街', '新加坡城  | 2室2厅 | 91平米 | 南 北 | 精装', '中楼层(共6层)2012年建板楼  -  和平区', '153万', '单价16814元/平米')
('https://image1.ljcdn.com/210100-inspection/82f658f4-4dac-4e5d-9649-261d0fe14820.jpg.296x216.jpg', '长白格林生活坊 三室两厅两卫 中间户 楼层好 视野开阔', '格林生活坊一期  | 3室2厅 | 127.28平米 | 南 北 | 其他', '低楼层(共24层)2009年建板楼  -  和平区', '175万', '单价13750元/平米')
('https://image1.ljcdn.com/210100-inspection/42c7fdbd-2e6b-469a-9fac-6d1e8183bb6c.jpg.296x216.jpg', '长白岛 越秀 三居室 清水房 高楼层 视野好 不临街', '越秀星汇蓝海  | 3室1厅 | 96平米 | 东 南 | 其他', '高楼层(共33层)2016年建板楼  -  和平区', '125万', '单价13021元/平米')
('https://image1.ljcdn.com/210100-inspection/25c46fa8-2e80-4522-a10c-40670f6ca360.jpg.296x216.jpg', '和平长白新加坡城 两室南北  低楼层 满五年 拎包住', '新加坡城  | 2室2厅 | 84.9平米 | 南 北 | 其他', '低楼层(共26层)2012年建板楼  -  和平区', '122万', '单价14370元/平米')
('https://image1.ljcdn.com/210100-inspection/9960ff40-620b-4e1e-9e9e-84b291b6bc23.jpg.296x216.jpg', '天河家园一期 高楼层 全天采光 南北通透 配套齐全', '天河家园一期  | 3室2厅 | 127.26平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  和平区', '167万', '单价13123元/平米')
('https://image1.ljcdn.com/210100-inspection/d9abc291-3f10-4852-84d7-c27bdb218b17.JPG.296x216.jpg', '和平 御景新世界 精装修 户型好 不挡光 园区安静', '御景新世界  | 3室2厅 | 189平米 | 南 北 | 精装', '低楼层(共33层)2014年建板楼  -  和平区', '450万', '单价23810元/平米')
('https://image1.ljcdn.com/210100-inspection/49ded2c7-ccaf-41a5-b612-fe5ac820e897.jpg.296x216.jpg', '长白 深航翡翠城 南北通透2室 精装 保持好', '深航翡翠城  | 2室2厅 | 78.84平米 | 南 北 | 精装', '中楼层(共18层)2010年建板楼  -  和平区', '150万', '单价19026元/平米')
('https://image1.ljcdn.com/210100-inspection/26575513-c340-4cf9-80bc-473140b4ec06.JPG.296x216.jpg', '长白岛中海国际社区八号楼园区中间', '中海国际社区一期  | 2室2厅 | 85.33平米 | 南 | 其他', '中楼层(共33层)2009年建板楼  -  和平区', '144万', '单价16876元/平米')
('https://image1.ljcdn.com/210100-inspection/4c083355-993d-4b41-a4e6-daffbe19bc4c.JPG.296x216.jpg', '和平 长白 九洲御府 三期洋房 举架高', '九洲御府  | 3室2厅 | 108平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  和平区', '205万', '单价18982元/平米')
('https://image1.ljcdn.com/210100-inspection/e3fd25f1-a9a1-4f81-b818-c3208f090e1f.jpg.296x216.jpg', '格林观堂二期  南北两室  采光好。', '格林观堂二期  | 2室2厅 | 93.74平米 | 南 北 | 其他', '中楼层(共24层)2012年建板楼  -  和平区', '177万', '单价18883元/平米')
('https://image1.ljcdn.com/210100-inspection/0b642c21-8995-409a-9369-b011bb1403d0.jpg.296x216.jpg', '格林生活坊一期 3室2厅 230万', '格林生活坊一期  | 3室2厅 | 125平米 | 南 北 | 其他', '低楼层(共15层)2009年建板楼  -  和平区', '230万', '单价18400元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada757e9c2-794e-414f-b8aa-2f9bb16faa3b.jpg.296x216.jpg', '九洲御府 洋房一楼 楼上楼下3层 精装修没住过', '九洲御府  | 3室3厅 | 164.2平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  和平区', '510万', '单价31060元/平米')
('https://image1.ljcdn.com/210100-inspection/0a8f9630-dbe5-4151-92e2-3ee61b061bbf.jpg.296x216.jpg', '九洲御府 3室2厅 225万', '九洲御府  | 3室2厅 | 108.73平米 | 南 北 | 其他', '高楼层(共6层)2016年建板楼  -  和平区', '225万', '单价20694元/平米')
('https://image1.ljcdn.com/210100-inspection/d88f102c-67d5-446d-a8cd-73e751f854ff.JPG.296x216.jpg', '南向两室户型好 空间分布合理 精装修没住 中楼层', '世茂新五里河  | 2室2厅 | 118平米 | 南 | 其他', '中楼层(共58层)2016年建板楼  -  和平区', '155万', '单价13136元/平米')
('https://image1.ljcdn.com/210100-inspection/a294ae4c-ca7d-4185-b57b-8d043f629fb2.jpg.296x216.jpg', '长白新城 2室1厅 85万', '长白新城  | 2室1厅 | 90平米 | 东南 北 | 简装', '低楼层(共34层)2006年建板楼  -  和平区', '85万', '单价9445元/平米')
('https://image1.ljcdn.com/210100-inspection/cfc0f4dd-cb17-4ae3-b0cf-60e5f5ba1db1.jpg.296x216.jpg', '长白万科鹿特丹 精装修 带车位 南北两室 看房方便', '万科鹿特丹  | 2室2厅 | 92平米 | 南 北 | 其他', '中楼层(共31层)2016年建板楼  -  和平区', '170万', '单价18479元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload4a6ad7a2-8956-4cba-a8a8-50ea47e673c2.JPG.296x216.jpg', '艾特商务花园 中间楼层内 南北通透 采光充足 方便看房', '艾特商务花园  | 4室2厅 | 199.81平米 | 南 北 | 简装', '中楼层(共23层)2003年建板楼  -  和平区', '150万', '单价7508元/平米')
('https://image1.ljcdn.com/210100-inspection/eeff28a3-66b1-4050-95b0-ae907b2413e2.jpg.296x216.jpg', '和平区 长白岛 外滩叁号 精装两室 中间层 采光充足', '外滩叁号  | 2室2厅 | 74.94平米 | 南 | 其他', '高楼层(共30层)板楼  -  和平区', '127万', '单价16947元/平米')
('https://image1.ljcdn.com/210100-inspection/c4105828-3128-41fe-a783-d1425f246419.jpg.296x216.jpg', '万科城一期 2室2厅 170万', '万科城一期  | 2室2厅 | 93.97平米 | 东南 | 其他', '中楼层(共11层)2006年建板楼  -  和平区', '170万', '单价18091元/平米')
('https://image1.ljcdn.com/210100-inspection/ca2ab871-ec8d-4114-a010-0cb4d2f0b84f.JPG.296x216.jpg', '长白岛中航城两河流域，清水两居，视野宽阔', '中航城两河流域  | 2室2厅 | 76.91平米 | 南 | 其他', '高楼层(共34层)板楼  -  和平区', '130万', '单价16903元/平米')
('https://image1.ljcdn.com/210100-inspection/12b6ce63-ba35-4cb2-a024-1c22533f291c.jpg.296x216.jpg', '格林观堂一期 2室2厅 190万', '格林观堂一期  | 2室2厅 | 99.45平米 | 南 北 | 其他', '低楼层(共18层)2010年建板楼  -  和平区', '190万', '单价19106元/平米')
('https://image1.ljcdn.com/210100-inspection/7f1ec241-8c62-42a0-a338-1a3ab725dfab.jpg.296x216.jpg', '长白 汇锦华府 精装修自住 诚心出售 看房方便', '汇锦华府  | 2室1厅 | 87.75平米 | 南 北 | 其他', '高楼层(共34层)2016年建板楼  -  和平区', '130万', '单价14815元/平米')
('https://image1.ljcdn.com/210100-inspection/7be6f8c4-932b-4fec-b1fe-46e392cf8c9a.jpg.296x216.jpg', '长白 和平之门小两室户型精装修', '中海和平之门  | 2室1厅 | 68平米 | 西北 | 其他', '低楼层(共33层)2016年建板楼  -  和平区', '115万', '单价16912元/平米')
('https://image1.ljcdn.com/210100-inspection/fd784758-21d8-45ad-8b8e-723df7355808.JPG.296x216.jpg', '卧波苑 4室2厅 280万', '卧波苑  | 4室2厅 | 287平米 | 南 北 | 其他', '中楼层(共31层)板楼  -  和平区', '280万', '单价9757元/平米')
('https://image1.ljcdn.com/210100-inspection/1a09ba3e-72ea-458b-b2c0-575adea2b2a5.jpg.296x216.jpg', '新加坡城 1室1厅 84.5万', '新加坡城  | 1室1厅 | 61.3平米 | 南 | 其他', '低楼层(共24层)2012年建板楼  -  和平区', '84.5万', '单价13785元/平米')
('https://image1.ljcdn.com/210100-inspection/daf4a0e5-7c34-40b8-ac0e-ff92d364f94c.jpg.296x216.jpg', '长白岛 中海和平之门二期 精装两室 南北通透 采光充足', '中海和平之门  | 2室2厅 | 77.15平米 | 南 北 | 精装', '高楼层(共33层)2016年建板楼  -  和平区', '126万', '单价16332元/平米')
('https://image1.ljcdn.com/210100-inspection/932c5a93-91aa-48bf-ac1d-1a3ed129ccad.jpg.296x216.jpg', '远洋康桥郡 3室1厅 170万', '远洋康桥郡  | 3室1厅 | 94平米 | 东 南 | 其他', '低楼层(共18层)2011年建板楼  -  和平区', '170万', '单价18086元/平米')
('https://image1.ljcdn.com/210100-inspection/28f1a622-33a6-4f18-ae32-00af0fd3897d.jpg.296x216.jpg', '长白万科鹿特丹 精装两室楼层好 全天采光 南北通透', '万科鹿特丹  | 2室2厅 | 97.28平米 | 南 北 | 其他', '高楼层(共31层)2016年建板楼  -  和平区', '145万', '单价14906元/平米')
('https://image1.ljcdn.com/210100-inspection/31b58f13-784c-4c76-9e04-1b9f3d71e10d.jpg.296x216.jpg', '市府位置 世纪情缘 空中跃层别墅 送家具家电 装修好', '世纪情缘  | 7室2厅 | 287.02平米 | 南 北 | 精装', '高楼层(共19层)板楼  -  和平区', '400万', '单价13937元/平米')
('https://image1.ljcdn.com/210100-inspection/26500ce8-d22a-483e-9ab7-eb1c8eadb712.jpg.296x216.jpg', '长白岛 深航翡翠城 四居室 一层 满五年 园区中间 洋房', '深航翡翠城  | 4室3厅 | 234.82平米 | 南 北 | 简装', '低楼层(共8层)2010年建板楼  -  和平区', '400万', '单价17035元/平米')
('https://image1.ljcdn.com/210100-inspection/test-37521ab1-23b4-40ed-a890-30c99fd39fcd.png.296x216.jpg', '中海央景 南北通透 精装修 中间楼层 采光充足 无遮挡', '中海国际社区二期  | 4室2厅 | 161.76平米 | 南 北 | 精装', '中楼层(共33层)2011年建板楼  -  和平区', '280万', '单价17310元/平米')
('https://image1.ljcdn.com/210100-inspection/62f83fd6-25c9-40ce-9ed3-078d685f9f9d.jpg.296x216.jpg', '长白岛龙湖唐宁one，82平，两室标户，南北通透', '龙湖唐宁ONE  | 2室2厅 | 82平米 | 南 北 | 其他', '低楼层(共34层)2018年建板楼  -  和平区', '147万', '单价17927元/平米')
('https://image1.ljcdn.com/210100-inspection/90308b58-846a-4a50-94c1-28ba8f44096b.jpg.296x216.jpg', '万科城六期 3室2厅 345万', '万科城六期  | 3室2厅 | 139.02平米 | 南 北 | 其他', '中楼层(共33层)2010年建板楼  -  和平区', '345万', '单价24817元/平米')
('https://image1.ljcdn.com/210100-inspection/30a51082-0104-48f6-93b9-23b5e43ee190.jpg.296x216.jpg', '万科鹿特丹 满两年家具家电都送 有车位南北通透采光好', '万科鹿特丹  | 3室1厅 | 123平米 | 南 北 | 其他', '低楼层(共31层)2016年建板楼  -  和平区', '205万', '单价16667元/平米')
('https://image1.ljcdn.com/210100-inspection/8ec3e0c5-0573-46ca-bfb0-9be64348f597.jpg.296x216.jpg', '富海蓝湾半岛洋房精装修楼层好视野好', '富海澜湾半岛  | 3室2厅 | 126.92平米 | 南 北 | 精装', '高楼层(共6层)2014年建板塔结合  -  和平区', '300万', '单价23637元/平米')
('https://image1.ljcdn.com/210100-inspection/c02da204-8744-43a6-b3c2-92ba6b5efa5d.JPG.296x216.jpg', '五里河家园，户型好，精装修，交通便利，配套成熟。', '五里河家园  | 2室2厅 | 72.68平米 | 南 | 精装', '中楼层(共9层)2002年建板楼  -  和平区', '73万', '单价10045元/平米')
('https://image1.ljcdn.com/210100-inspection/50017a2b-7bf6-4fcc-8b8d-01f966460251.jpg.296x216.jpg', '长白岛中海国际社区 精装修南北通透 业主诚心卖', '中海国际社区四期  | 2室2厅 | 97.8平米 | 南 北 | 精装', '高楼层(共33层)2015年建板楼  -  和平区', '180万', '单价18405元/平米')
('https://image1.ljcdn.com/210100-inspection/1c98113f-3809-4b55-8900-60e750eeafc1.jpg.296x216.jpg', '长白岛 金地名悦  洋房精装两室 南北透通 小区环境好', '金地名悦  | 2室2厅 | 93.8平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  和平区', '180万', '单价19190元/平米')
('https://image1.ljcdn.com/210100-inspection/b3147c04-e8f0-41b4-bcb6-c5e3fd75a187.jpg.296x216.jpg', '中海和平之门 2室2厅 142万', '中海和平之门  | 2室2厅 | 90.91平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  和平区', '142万', '单价15620元/平米')
('https://image1.ljcdn.com/210100-inspection/6794e323-024b-4c54-8232-0cc9f02cf0eb.jpg.296x216.jpg', '格林生活坊二期 4室3厅 350万', '格林生活坊二期  | 4室3厅 | 165.58平米 | 南 北 | 其他', '高楼层(共11层)2008年建板楼  -  和平区', '350万', '单价21138元/平米')
('https://image1.ljcdn.com/210100-inspection/95432e75-7495-4996-9929-49d0b9341f31.jpg.296x216.jpg', '长白商圈 万科城九期，房龄新，万科高档装修', '万科城九期  | 2室2厅 | 101.9平米 | 南 | 精装', '高楼层(共23层)2006年建板楼  -  和平区', '195万', '单价19137元/平米')
('https://image1.ljcdn.com/210100-inspection/b233f506-9126-4dc1-a092-adb41b874bf1.jpg.296x216.jpg', '长白格林观堂，南北通透格局好，楼层好，电梯洋房。', '格林观堂一期  | 3室2厅 | 130.16平米 | 南 北 | 精装', '中楼层(共7层)2010年建板楼  -  和平区', '230万', '单价17671元/平米')
('https://image1.ljcdn.com/210100-inspection/044032f2-5862-49d0-a376-fe015dd7b519.jpg.296x216.jpg', '龙湖唐宁one 南北通透三室标户 不把山不临街', '龙湖唐宁ONE  | 3室2厅 | 112平米 | 南 北 | 其他', '低楼层(共34层)2018年建板楼  -  和平区', '205万', '单价18304元/平米')
('https://image1.ljcdn.com/210100-inspection/e6f0e4b8-2021-44c4-a40b-b131537570d3.jpg.296x216.jpg', '此房，保持好，赠送10平米露台。有车位，看房方便', '万科城二期  | 3室2厅 | 148.74平米 | 南 | 其他', '低楼层(共34层)2006年建板塔结合  -  和平区', '237万', '单价15934元/平米')
('https://image1.ljcdn.com/210100-inspection/b5bcbffa-e65c-4a72-aa62-1515f0f9256c.jpg.296x216.jpg', '长白岛南 九洲湾景汇 精装两室 拎包入住', '九洲湾景汇  | 2室1厅 | 79.09平米 | 南 | 其他', '高楼层(共18层)2014年建板楼  -  和平区', '87万', '单价11001元/平米')
('https://image1.ljcdn.com/210100-inspection/00d39b9f-b3f0-4096-b4df-32ab30a2c48f.JPG.296x216.jpg', '华润悦府 3室1厅 520万', '华润悦府  | 3室1厅 | 177.66平米 | 南 北 | 其他', '中楼层(共47层)2013年建板楼  -  和平区', '520万', '单价29270元/平米')
('https://image1.ljcdn.com/210100-inspection/b04fa14b-d8df-40b1-9b51-0a34951abdf5.JPG.296x216.jpg', '长白岛 和泓国际 三室两厅两卫 南北通透', '和泓国际  | 3室2厅 | 143.67平米 | 南 北 | 其他', '中楼层(共30层)2011年建板楼  -  和平区', '265万', '单价18446元/平米')
('https://image1.ljcdn.com/210100-inspection/0e33e9cf-8442-4d98-9b2d-921e3811edf8.jpg.296x216.jpg', '格林生活坊 小高 三室 南北通透 看房方便', '格林生活坊一期  | 3室2厅 | 135.91平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  和平区', '210万', '单价15452元/平米')
('https://image1.ljcdn.com/210100-inspection/3626149d-8e50-4ac1-82bc-f9e6dce7f8d9.jpg.296x216.jpg', '五里河商圈 楼层好 清水 四室 南北通透 适合改善客户', '世茂新五里河  | 4室2厅 | 235.74平米 | 南 北 | 毛坯', '高楼层(共48层)2016年建板楼  -  和平区', '294.7万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/f27f8189-67e4-40fd-8370-0a3276ae2f00.jpg.296x216.jpg', '中海国际社区二期 4室2厅 255万', '中海国际社区二期  | 4室2厅 | 137平米 | 南 北 | 精装', '中楼层(共33层)2011年建板楼  -  和平区', '255万', '单价18614元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada9deb92f-ec67-4211-a24c-0065014a25f1.jpg.296x216.jpg', '中海国际社区五期 精装修 南北通透', '中海国际社区五期  | 3室1厅 | 117.94平米 | 南 北 | 精装', '低楼层(共33层)2015年建板楼  -  和平区', '224万', '单价18993元/平米')
('https://image1.ljcdn.com/210100-inspection/25719d93-ed02-43e8-9705-eb21c9afa7ab.jpg.296x216.jpg', '和平区 长白岛内 吉顺家园 交通便利 配套齐全', '吉顺家园  | 2室2厅 | 102.23平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  和平区', '125万', '单价12228元/平米')
('https://image1.ljcdn.com/210100-inspection/0d374d94-2358-48d0-b728-387aa3527cae.jpg.296x216.jpg', '和平 长白岛 越秀星汇蓝海 楼龄新 低楼层 三居室', '越秀星汇蓝海  | 3室1厅 | 120.41平米 | 南 北 | 其他', '低楼层(共33层)2016年建板楼  -  和平区', '148万', '单价12292元/平米')
('https://image1.ljcdn.com/210100-inspection/05f132b1-42e2-4505-8f28-61fa203324b6.JPG.296x216.jpg', '文萃路 五里河街诚大数码广场 南向 住宅手续', '诚大数码广场  | 2室1厅 | 90.6平米 | 南 | 简装', '中楼层(共30层)2008年建板楼  -  和平区', '90万', '单价9934元/平米')
('https://image1.ljcdn.com/210100-inspection/50bd8264-1390-42f6-a502-6f105a0b3f54.JPG.296x216.jpg', '长白 中海国际社区 南向精装两居室 满五年 看房方便', '中海国际社区一期  | 2室2厅 | 91.27平米 | 南 | 其他', '高楼层(共33层)2009年建板楼  -  和平区', '152万', '单价16654元/平米')
('https://image1.ljcdn.com/210100-inspection/83523366-3152-4f1a-b650-2e8324bbf23d.jpg.296x216.jpg', '长白富海澜湾半岛小户型楼层好封闭小区', '富海澜湾半岛  | 2室1厅 | 63.39平米 | 南 | 其他', '低楼层(共34层)2014年建板塔结合  -  和平区', '93万', '单价14672元/平米')
('https://image1.ljcdn.com/210100-inspection/3a69c53c-8771-4643-ad4b-eabc45a8132f.jpg.296x216.jpg', '长白 万科城 两室两厅 万科城自带精装修 拎包即住', '万科城四期  | 2室2厅 | 106.21平米 | 南 | 其他', '中楼层(共31层)2009年建板楼  -  和平区', '190万', '单价17890元/平米')
('https://image1.ljcdn.com/210100-inspection/a0f53c4f-2d07-4f5e-87bc-623883e5776a.jpg.296x216.jpg', '长白岛  中海国际社区 两室 中间楼层', '中海国际社区二期  | 2室2厅 | 89.98平米 | 南 | 其他', '高楼层(共33层)2011年建板楼  -  和平区', '150万', '单价16671元/平米')
('https://image1.ljcdn.com/210100-inspection/5ff205c9-b45a-472b-a27e-ebb7e081d211.jpg.296x216.jpg', '御景新世界 3室2厅 390万', '御景新世界  | 3室2厅 | 154.92平米 | 南 北 | 其他', '中楼层(共33层)2014年建板楼  -  和平区', '390万', '单价25175元/平米')
('https://image1.ljcdn.com/210100-inspection/0dd81a7b-982a-4ee6-b5fd-36cad2928f41.jpg.296x216.jpg', '新世界花园湾景华庭 4室2厅 360万', '新世界花园湾景华庭  | 4室2厅 | 202平米 | 南 北 | 其他', '低楼层(共19层)2007年建板楼  -  和平区', '360万', '单价17822元/平米')
('https://image1.ljcdn.com/210100-inspection/42ecabf5-6be9-4328-900b-6b82b2a210a4.jpg.296x216.jpg', '长白岛商圈 新加坡城 两室 装修好 采光视野好', '新加坡城  | 2室2厅 | 91.59平米 | 南 北 | 精装', '高楼层(共18层)2012年建板楼  -  和平区', '115万', '单价12556元/平米')
('https://image1.ljcdn.com/210100-inspection/b424b19d-7f6d-45e1-8bf9-5856aa855d1a.JPG.296x216.jpg', '文萃路 诚大数码广场 精装一室 南向', '诚大数码广场  | 1室1厅 | 55.41平米 | 南 | 精装', '中楼层(共30层)2008年建板楼  -  和平区', '47万', '单价8483元/平米')
('https://image1.ljcdn.com/210100-inspection/e257e44a-b485-4021-870e-39a18e59ab8f.JPG.296x216.jpg', '御景新世界 3室2厅 345万', '御景新世界  | 3室2厅 | 155平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  和平区', '345万', '单价22259元/平米')
('https://image1.ljcdn.com/210100-inspection/e525644f-575b-44ee-b847-7bd9aa1945a8.jpg.296x216.jpg', '格林生活坊二期 3室2厅 235万', '格林生活坊二期  | 3室2厅 | 131平米 | 南 北 | 其他', '高楼层(共25层)2008年建板楼  -  和平区', '235万', '单价17939元/平米')
('https://image1.ljcdn.com/210100-inspection/a7567683-c9a2-4c53-bada-987924c38313.jpg.296x216.jpg', '深航翡翠城 3室2厅 228万', '深航翡翠城  | 3室2厅 | 138.08平米 | 南 北 | 精装', '中楼层(共33层)2010年建板楼  -  和平区', '228万', '单价16513元/平米')
('https://image1.ljcdn.com/210100-inspection/53a7e5c7-0b62-4f75-8ac3-c3dcd7f37bfe.jpg.296x216.jpg', '安检法小区 3室2厅 85万', '安检法小区  | 3室2厅 | 99.39平米 | 南 北 | 其他', '高楼层(共7层)2000年建板楼  -  和平区', '85万', '单价8553元/平米')
('https://image1.ljcdn.com/210100-inspection/c23ae190-9add-4d9b-a9dd-71ba19591afa.JPG.296x216.jpg', '长白岛中海国际二期 南向两居室', '中海国际社区二期  | 2室2厅 | 89.93平米 | 南 | 精装', '中楼层(共33层)2011年建板楼  -  和平区', '160万', '单价17792元/平米')
('https://image1.ljcdn.com/210100-inspection/076f9aa5-3162-41fe-8b5e-84a31a120487.jpg.296x216.jpg', '长白岛 汇锦华府 大三室 拎包即住 无遮挡', '汇锦华府  | 3室2厅 | 131.6平米 | 南 北 | 其他', '低楼层(共34层)2016年建板楼  -  和平区', '165万', '单价12538元/平米')
('https://image1.ljcdn.com/210100-inspection/6c6134f4-976d-4ba6-954b-6c84d6cbde63.JPG.296x216.jpg', '长白商圈 中海国际社区 南向两居室 精装修 保持良好', '中海国际社区一期  | 2室2厅 | 90.64平米 | 南 | 其他', '中楼层(共33层)2009年建板楼  -  和平区', '158万', '单价17432元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload107a24b8-8ccf-45cb-8299-97960d1e78fb.jpg.296x216.jpg', '长白岛新加坡城  精装修 中间户', '新加坡城  | 2室2厅 | 84.96平米 | 南 北 | 精装', '中楼层(共26层)2012年建板楼  -  和平区', '125万', '单价14713元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload263f127b-b101-4ba3-a383-03a42190b590.JPG.296x216.jpg', '金碧花园的大三居  户型正 精装修  家具家电赠送', '金碧花园  | 3室2厅 | 147.29平米 | 南 北 | 精装', '高楼层(共7层)2000年建板楼  -  和平区', '115万', '单价7808元/平米')
('https://image1.ljcdn.com/210100-inspection/4a0ea0eb-4c48-4d08-8e39-3633df49eec0.jpg.296x216.jpg', '长白新加坡城  清水两室南北通透  看房方便 万科物业', '新加坡城  | 2室2厅 | 98.8平米 | 东 南 北 | 其他', '低楼层(共24层)2012年建板楼  -  和平区', '130万', '单价13158元/平米')
('https://image1.ljcdn.com/210100-inspection/899ae5ae-9253-49b6-8ecd-a39c97188a75.jpg.296x216.jpg', '格林生活坊三期 2室2厅 190万', '格林生活坊三期  | 2室2厅 | 99.26平米 | 南 北 | 其他', '高楼层(共27层)2008年建板楼  -  和平区', '190万', '单价19142元/平米')
