('https://image1.ljcdn.com/510100-inspection/test-2895d2af-f5a8-4878-b3ba-329c510a4f6b.png.296x216.jpg', '校园路交大卡布里城标准装修套一', '交大卡布里城  | 1室1厅 | 50.59平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2008年建板塔结合  -  犀浦', '62万', '单价12256元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bfcf7b6a-4e66-4b88-8732-82652aa9ed4b.png.296x216.jpg', '书香一期 装修大套二 中间楼层 满2年', '书香府邸  | 2室2厅 | 91.88平米 | 东南 | 简装 | 有电梯', '中楼层(共16层)2009年建板楼  -  成外', '136万', '单价14802元/平米')
('https://image1.ljcdn.com/510100-inspection/ae969ff9-ca50-49d9-9be2-951744242f16.jpg.296x216.jpg', '郫都新城区 一楼带花园 精装修套三', '滨河花园  | 3室2厅 | 132.95平米 | 西南 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  郫县万达', '115万', '单价8650元/平米')
('https://image1.ljcdn.com/510100-inspection/test-443bf7f7-a3fa-4c2d-bb02-858b8abccfc3.png.296x216.jpg', '蜀源国都满两年套三，带装修，一梯三户', '蜀源国都  | 3室2厅 | 126.18平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  郫县城区', '138万', '单价10937元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b77e3c91-dec6-4212-95c7-67be55d37d6c.png.296x216.jpg', '全新装修未住人  家具家电全带 楼层好 视野开阔', '中铁西郡英华二期  | 3室2厅 | 108.34平米 | 南 北 | 其他 | 有电梯', '高楼层(共31层)2013年建塔楼  -  红光', '123万', '单价11354元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9d56724b-4558-41e8-b9e3-379e17bd0303.png.296x216.jpg', '派克公馆 装修套三 有家具家电 卧室带阳台', '派克公馆  | 3室2厅 | 110.27平米 | 西南 | 其他 | 有电梯', '低楼层(共14层)2008年建板塔结合  -  成外', '158万', '单价14329元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ddc4838c-236c-4497-85e6-7ded6661da95.png.296x216.jpg', '派克公馆欧式装修套五，前后中庭，带入户，开放式厨房', '派克公馆  | 5室2厅 | 180.35平米 | 东南 | 精装 | 有电梯', '中楼层(共12层)2011年建板楼  -  成外', '300万', '单价16635元/平米')
('https://image1.ljcdn.com/510100-inspection/test-45ffd32e-d811-4a6a-b053-3e31bf9f8942.png.296x216.jpg', '高品质小区 前后通透户型 洋房在手 谁见了不喜欢', '成都后花园二期  | 5室1厅 | 240.47平米 | 东南 | 毛坯 | 有电梯', '中楼层(共12层)2011年建板楼  -  成外', '380万', '单价15803元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5fd662e7-f5ed-4f4b-acbc-048f7c12e484.png.296x216.jpg', '一里阳光 电梯高层 二室二厅 普通装修', '一里阳光  | 2室2厅 | 77.25平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2013年建板塔结合  -  郫县万达', '79万', '单价10227元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8329f17a-cbcd-41e3-b756-ccced8465928.png.296x216.jpg', '正成名城左岸 一般装修 带家具家电', '正成名城左岸  | 2室0厅 | 57.51平米 | 东南 | 其他 | 有电梯', '中楼层(共22层)2008年建塔楼  -  红光', '42万', '单价7304元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a417c85b-751f-4750-aed7-16b0ad056104.png.296x216.jpg', '西区花园套二，不临街，有钥匙，看房子方便', '西区花园晨之曦  | 2室1厅 | 80平米 | 东 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  犀浦', '96万', '单价12000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-550c2701-154b-4085-af12-eb1a433ca25e.png.296x216.jpg', '西区花园洋房 中间楼层采光好 小桥流水 轨道交通便捷', '西区花园花园洋房  | 3室2厅 | 133.9平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  犀浦', '135万', '单价10083元/平米')
('https://image1.ljcdn.com/510100-inspection/test-62e7313f-9f20-46e0-a335-f35d77dcca0f.png.296x216.jpg', '西江月 装修套三 户型方正 位置安静', '西江月  | 3室1厅 | 129平米 | 东 | 其他 | 有电梯', '中楼层(共17层)2009年建塔楼  -  成外', '190万', '单价14729元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8919776d-4797-4be8-bedb-d6318cd9589e.png.296x216.jpg', '龙城国际+套三双卫+有阳台+厨房带生活阳台', '龙城国际  | 3室2厅 | 96.76平米 | 西南 | 其他 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  橡树湾', '165万', '单价17053元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b1fb70c4-2b27-46b9-9e48-13921a61739a.png.296x216.jpg', '蓝光幸福满庭装修套三，中间楼层，房东出增值税', '蓝光幸福满庭  | 3室2厅 | 73.13平米 | 西南 | 简装 | 有电梯', '中楼层(共26层)2015年建板塔结合  -  犀浦', '115.8万', '单价15835元/平米')
('https://image1.ljcdn.com/510100-inspection/test-946768cc-ee39-4757-ba48-1ed1203adca9.png.296x216.jpg', '滨河花园装修套三+低楼层适合老人居住', '滨河花园  | 3室2厅 | 108平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  郫县万达', '110万', '单价10186元/平米')
('https://image1.ljcdn.com/510100-inspection/6d0f01ae-d765-417f-a836-1a4c18feaadb.jpg.296x216.jpg', '华润橡树湾顶跃+简装修+带家电家具', '华润橡树湾B区  | 7室3厅 | 62.42平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2013年建板塔结合  -  橡树湾', '160万', '单价25633元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d17d28b7-9d12-4cea-a58e-9396838bca03.png.296x216.jpg', '套三双卫  客厅卧室双阳台  户型通透', '正成名城左岸  | 3室2厅 | 101平米 | 西南 | 其他 | 有电梯', '低楼层(共27层)2008年建塔楼  -  红光', '95万', '单价9406元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84de88b8-4dc5-4fb6-8fa9-4ec0b3ca7387.png.296x216.jpg', '西区花园花园洋房+大套二+带花园+客厅带阳台', '西区花园花园洋房  | 2室2厅 | 97平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  犀浦', '112万', '单价11547元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0c3bdb0e-3064-4522-a146-304cbfe5c3ab.png.296x216.jpg', '西区丽景花园  标准套三，户型方正', '西区丽景花园  | 3室2厅 | 114.02平米 | 西南 | 其他 | 无电梯', '高楼层(共6层)2004年建板塔结合  -  犀浦', '122万', '单价10700元/平米')
('https://image1.ljcdn.com/510100-inspection/test-60ad9816-8022-47eb-8271-000260cb8ca1.png.296x216.jpg', '上置雅宾利  清水套三  价格美丽', '上置雅宾利  | 3室1厅 | 81.8平米 | 东南 | 其他 | 有电梯', '中楼层(共24层)板楼  -  红光', '86万', '单价10514元/平米')
('https://image1.ljcdn.com/510100-inspection/test-064fef63-2501-4354-92ef-16d3312f3dbe.png.296x216.jpg', '装修套二+不临街+客厅带阳台+满2年', '派克公馆  | 2室1厅 | 69.99平米 | 西北 | 精装 | 有电梯', '高楼层(共18层)2011年建塔楼  -  成外', '106万', '单价15146元/平米')
('https://image1.ljcdn.com/510100-inspection/397332f9-60f3-4d59-9bdd-6b04c2a399a8.jpg.296x216.jpg', '中铁西郡英华一期 4室1厅 265万', '中铁西郡英华一期  | 4室1厅 | 143.11平米 | 东 | 其他 | 有电梯', '6层板塔结合  -  红光', '265万', '单价18518元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ce0119c5-7e79-4e19-95c8-728524397e39.png.296x216.jpg', '成外雅庭装修套一 客厅带阳台 卧室带飘窗', '成外雅庭  | 1室1厅 | 58.78平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2008年建板楼  -  成外', '72万', '单价12250元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f42dfbe2-cec1-4d96-9e85-dcc393f6acde.png.296x216.jpg', '时代花城三期套三双卫出租装修。', '时代花城三期  | 3室2厅 | 110.7平米 | 东 | 其他 | 有电梯', '中楼层(共18层)2009年建板楼  -  郫县万达', '98万', '单价8853元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dffdd80a-d30e-4146-a40e-77b564aa6d81.png.296x216.jpg', '天邑宏御花园套二出售               。', '天邑宏御花园御苑  | 2室1厅 | 93.86平米 | 东北 | 其他 | 有电梯', '低楼层(共25层)2016年建塔楼  -  橡树湾', '93万', '单价9909元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9f5bdd7d-08f8-43ac-8760-501aef092101.png.296x216.jpg', '华润橡树湾电梯洋房端头位置带大花园', '华润橡树湾A区  | 4室2厅 | 153.8平米 | 西南 | 毛坯 | 有电梯', '低楼层(共6层)2013年建板塔结合  -  橡树湾', '245万', '单价15930元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8fd0f29f-2295-4602-9612-621a6cde9b87.png.296x216.jpg', '郫县华侨凤凰城 清水套三双卫 客厅带阳台', '华侨凤凰国际城  | 3室2厅 | 98.72平米 | 西北 东北 | 其他 | 有电梯', '中楼层(共30层)2016年建板楼  -  郫县城区', '120万', '单价12156元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a5fca4d6-734e-487d-b158-be8fc54f9e75.png.296x216.jpg', '西江月套二装修房，客厅卧室不临街，带家具家电出售', '西江月  | 2室2厅 | 84.86平米 | 西南 | 精装 | 有电梯', '中楼层(共17层)2013年建板楼  -  成外', '130万', '单价15320元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e36c3384-edcf-49d3-9160-cf2ee0a922c4.png.296x216.jpg', '派克公馆 装修套二 客厅有阳台 位置安静 不临街', '派克公馆  | 2室2厅 | 75.78平米 | 东南 | 精装 | 有电梯', '高楼层(共13层)2011年建塔楼  -  成外', '91万', '单价12009元/平米')
('https://image1.ljcdn.com/510100-inspection/test-328f0433-c4bd-45ce-a547-14f3b3c37f85.png.296x216.jpg', '西城雅居 1室1厅 43万', '西城雅居  | 1室1厅 | 48.93平米 | 东北 | 其他 | 有电梯', '中楼层(共17层)2009年建板楼  -  红光', '43万', '单价8789元/平米')
('https://image1.ljcdn.com/510100-inspection/test-189d4757-a6e3-4226-acb3-970f8843963e.png.296x216.jpg', '2012年电梯房+套三+带地下停车位一个+带家具家电', '今日花园  | 3室2厅 | 86.42平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建板塔结合  -  犀浦', '112万', '单价12960元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9dc67185-b1a5-4c86-9f14-9bf16366c2be.png.296x216.jpg', '中铁塔米亚清水套三三室两厅两卫', '中铁塔米亚  | 3室1厅 | 114.88平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2011年建板塔结合  -  成外', '160万', '单价13928元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8040e819-a058-448a-b0bb-975b0037564e.png.296x216.jpg', '中Y公园 套三双卫清水房 视野开阔', '中冶中央公园  | 3室2厅 | 88.69平米 | 东南 | 其他', '高楼层(共32层)2019年建板塔结合  -  郫县城区', '86.8万', '单价9787元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7374d5ec-6f9e-4b93-9f24-385e0269181f.png.296x216.jpg', '楼层好，视野开阔，采光充足，户型通透', '中铁西郡英华一期  | 4室2厅 | 143平米 | 南 | 其他 | 有电梯', '6层2012年建板塔结合  -  红光', '202万', '单价14126元/平米')
('https://image1.ljcdn.com/510100-inspection/cef69ac3-d1fd-420d-9bb3-6b77c6b598a9.jpg.296x216.jpg', '装修套三双卫，卧室带阳台。采光好，带家具家电', '鹃城园三期  | 3室2厅 | 106.1平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  郫县城区', '86万', '单价8106元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6fc70b14-2c63-4b68-b4b4-762b8bb49300.png.296x216.jpg', '崇兴小区 3室1厅 55万', '崇兴小区  | 3室1厅 | 72.22平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  郫县万达', '55万', '单价7616元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bafb0444-6478-4f8b-addc-3f16d84e9e95.png.296x216.jpg', '成都后花园三期，精装套四双卫，没有满两年', '成都后花园三期  | 4室2厅 | 115.73平米 | 东北 | 其他 | 有电梯', '中楼层(共25层)2012年建塔楼  -  成外', '200万', '单价17282元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4e2ffdb6-f5ae-49b7-bea3-1662895b5239.png.296x216.jpg', '绿地国际花都精装套三单卫全新装修未住人', '绿地国际花都一期  | 3室1厅 | 78.93平米 | 西北 | 其他 | 有电梯', '中楼层(共32层)2015年建塔楼  -  郫县城区', '100万', '单价12670元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cc2ee52e-e186-4084-b115-f3a76a40a2ce.png.296x216.jpg', '海骏达二期清水套三双卫卧室带阳台', '海骏达蜀都1号凯悦二期  | 3室2厅 | 111.07平米 | 南 | 其他 | 有电梯', '中楼层(共30层)2013年建板楼  -  郫县城区', '142万', '单价12785元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fcbc3bff-0b26-44b8-ac9b-b2ed28d3a846.png.296x216.jpg', '桃园小区 装修套二 业主自住 双证齐全 满2年', '桃园小区  | 2室1厅 | 73.81平米 | 西南 | 其他', '中楼层(共6层)1996年建暂无数据  -  郫县城区', '59万', '单价7994元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6da78ffa-9f6f-4153-a104-af27c4f10da5.png.296x216.jpg', '华宇天府花城精装套二+新装修+中间楼层！！！', '华宇天府花城  | 2室1厅 | 67.78平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2015年建板塔结合  -  郫县万达', '81万', '单价11951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5d56a235-2144-4516-9998-c8bcdd4d421f.png.296x216.jpg', '此房满两年，没有抵押没有按揭，税费简单，交易方便。', '紫藤居  | 2室2厅 | 83平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  郫县万达', '60万', '单价7229元/平米')
('https://image1.ljcdn.com/510100-inspection/test-083ba397-8b81-4e2d-af32-7ce94356ca6e.png.296x216.jpg', '金枫名苑清水标准套二，可自行装修', '金枫名苑  | 2室1厅 | 63.41平米 | 东南 | 其他', '高楼层(共18层)2013年建板楼  -  成外', '82万', '单价12932元/平米')
('https://image1.ljcdn.com/510100-inspection/test-676dfd1f-c613-4420-aa78-4368de1bbeb7.png.296x216.jpg', '锦苑三期 4室2厅 210万', '锦苑三期  | 4室2厅 | 151.48平米 | 西南 | 其他 | 有电梯', '低楼层(共10层)2010年建板塔结合  -  犀浦', '210万', '单价13864元/平米')
('https://image1.ljcdn.com/510100-inspection/test-afd2afd1-f94d-4e31-b9b6-09cd332672dc.png.296x216.jpg', '兰枫园 毛坯套四 带车位 朝南 满两年', '兰枫园  | 4室2厅 | 165.64平米 | 东南 | 毛坯 | 有电梯', '低楼层(共10层)2011年建板塔结合  -  犀浦', '200万', '单价12075元/平米')
('https://image1.ljcdn.com/510100-inspection/test-92f5a48a-ecd6-4ea3-9e6f-fd60dc8542ad.png.296x216.jpg', '红瓦 套三 装修过 可以出租可以自己住！', '郫筒红瓦一期  | 3室2厅 | 102平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  郫县城区', '88万', '单价8628元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ba3e2f8e-0597-499d-9835-d39f0b1a4ee2.png.296x216.jpg', '华润橡树湾+套三单卫+有装修+视野开阔', '华润橡树湾A区  | 3室1厅 | 54平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2013年建板塔结合  -  橡树湾', '125万', '单价23149元/平米')
('https://image1.ljcdn.com/510100-inspection/test-095ba50b-01ad-4162-8333-aed552485a3a.png.296x216.jpg', '华润橡树湾A区清水套三+对中庭', '华润橡树湾A区  | 3室1厅 | 54.02平米 | 西北 | 其他 | 有电梯', '中楼层(共34层)2013年建板塔结合  -  橡树湾', '105万', '单价19438元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d3619466-4b99-47b5-b99c-c676dca501ac.png.296x216.jpg', '中冶田园世界套四双卫带装修满两年带车位', '中冶田园世界  | 4室1厅 | 135.19平米 | 西南 | 其他 | 有电梯', '中楼层(共30层)2013年建板塔结合  -  郫县城区', '150万', '单价11096元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9672cea5-f5a1-4229-9042-d828000a4f24.png.296x216.jpg', '花样年龙年国际，套三双卫，全中庭，装修房', '花样年龙年中心  | 3室2厅 | 101.9平米 | 南 西南 | 其他 | 有电梯', '中楼层(共29层)塔楼  -  郫县城区', '108万', '单价10599元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c1f6a31b-fa41-440d-bd49-611b86ce2c7e.png.296x216.jpg', '派克公馆 装修套二 不临街 户型方正', '派克公馆  | 2室2厅 | 68.89平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)2011年建塔楼  -  成外', '98万', '单价14226元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fe8a9fa5-8085-486d-b82d-8919c927a327.png.296x216.jpg', '金枫名苑装修套三，业主自己在住，保养挺好，预约看房', '金枫名苑  | 3室2厅 | 82.17平米 | 东北 | 其他', '低楼层(共18层)2013年建板楼  -  成外', '120万', '单价14604元/平米')
('https://image1.ljcdn.com/510100-inspection/test-93e80090-feaa-4e96-99f4-9b8cd4888088.png.296x216.jpg', '龙湖弗莱明戈一期 装修套三双卫 对中庭', '龙湖弗莱明戈一期  | 3室2厅 | 91.73平米 | 西南 | 其他 | 有电梯', '高楼层(共34层)2012年建板楼  -  郫县城区', '123万', '单价13409元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d3a34534-6649-4858-a19c-caf0bc50c1cd.png.296x216.jpg', '万树森林，一梯两户，标准套二。', '万树森林一期  | 2室2厅 | 90.42平米 | 东北 | 其他 | 有电梯', '低楼层(共11层)2008年建板楼  -  犀浦', '105万', '单价11613元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2243d074-d041-41ac-9c95-299581188e37.png.296x216.jpg', '房子自住装修，保养比较新，楼层高很安静', '金枫名苑  | 2室2厅 | 68.85平米 | 东北 | 精装', '高楼层(共18层)2013年建板楼  -  成外', '91万', '单价13218元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7af6b1ce-8658-4a08-895a-d8ae38ab179f.png.296x216.jpg', '中铁塔米亚 4室2厅 170万', '中铁塔米亚  | 4室2厅 | 123.35平米 | 东 | 其他 | 有电梯', '中楼层(共18层)2011年建板楼  -  成外', '170万', '单价13782元/平米')
('https://image1.ljcdn.com/510100-inspection/test-333a0949-dfcf-4898-a91b-a6b28c3a9bd5.png.296x216.jpg', '一里阳光+清水房大套二+采光好', '一里阳光  | 2室2厅 | 89.32平米 | 西南 | 其他 | 无电梯', '中楼层(共6层)2013年建板塔结合  -  郫县万达', '90万', '单价10077元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1bca91ea-94d1-420a-9b0c-aa0235a65e11.png.296x216.jpg', '府河御景装修套三，客厅带阳台，带家具家电', '府河御景  | 3室2厅 | 111.17平米 | 东南 | 其他 | 有电梯', '中楼层(共8层)2008年建板楼  -  犀浦', '120万', '单价10795元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eb2c7faf-d7bb-4f4c-8ce0-b59de0c4c572.png.296x216.jpg', '时代花城装修好的套二可以直接入住', '时代花城豪庭二期  | 2室2厅 | 89.2平米 | 西北 | 精装 | 无电梯', '高楼层(共6层)2010年建板楼  -  郫县城区', '90万', '单价10090元/平米')
('https://image1.ljcdn.com/510100-inspection/8ccd8506-ea7a-471b-a9f0-1a79348b4f10.jpg.296x216.jpg', '成都后花园精装上叠别墅+满两年+从未入住', '成都后花园二期   | 叠拼别墅 | 6室2厅 | 296.36平米 | 南 | 其他 | 无电梯', '上叠(共4层)2011年建暂无数据  -  成外', '465万', '单价15691元/平米')
('https://image1.ljcdn.com/510100-inspection/test-88bec57d-1923-4256-8a86-b68cbde53f01.png.296x216.jpg', '中信未来城套三双卫 对中庭 双阳台', '中信未来城北区  | 3室2厅 | 106.01平米 | 东北 | 其他 | 有电梯', '低楼层(共33层)2013年建塔楼  -  郫县城区', '130万', '单价12263元/平米')
('https://image1.ljcdn.com/510100-inspection/test-28266197-43c9-4dc7-b9c9-87b462c9ec04.png.296x216.jpg', '标准四室双卫，户型方正通透，房东诚心出售，随时可看', '时代水岸康城  | 4室2厅 | 90.35平米 | 西南 | 毛坯 | 有电梯', '高楼层(共25层)2013年建板楼  -  红光', '95万', '单价10515元/平米')
('https://image1.ljcdn.com/510100-inspection/test-938fdb78-0235-404a-9d91-16641180165d.png.296x216.jpg', '348厂家属院 76.78平  简装套二', '348厂家属院  | 2室1厅 | 76.78平米 | 东南 | 其他', '低楼层(共7层)暂无数据  -  郫县万达', '64万', '单价8336元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03c6b130-76c3-4ced-843d-eb71573edc46.png.296x216.jpg', '华润橡树湾+套三双卫+清水房+中间楼层', '华润橡树湾A区  | 3室2厅 | 78.95平米 | 西北 | 其他 | 有电梯', '低楼层(共34层)2013年建板塔结合  -  橡树湾', '125万', '单价15833元/平米')
('https://image1.ljcdn.com/510100-inspection/0194b930-38a0-48a4-88af-a7805a4131fa.jpg.296x216.jpg', '五彩城标准套三双卫 客厅带阳台', '五彩城  | 3室2厅 | 113.46平米 | 东南 | 毛坯 | 有电梯', '高楼层(共32层)2014年建板楼  -  郫县城区', '145万', '单价12780元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a458863b-806b-4aff-8aec-87e32b608552.png.296x216.jpg', '置信逸都D区，中楼层，清水房，临街', '置信逸都D区  | 3室2厅 | 105.34平米 | 西北 | 其他 | 有电梯', '低楼层(共33层)2014年建板塔结合  -  郫县万达', '106万', '单价10063元/平米')
('https://image1.ljcdn.com/510100-inspection/a7dbae5f-2df3-437e-85e5-911b5ea20c763.jpg.296x216.jpg', '叠拼别墅，送前后大花园，送地下室', '成都后花园二期   | 叠拼别墅 | 5室2厅 | 291.09平米 | 东南 | 毛坯 | 无电梯', '下叠(共5层)2011年建暂无数据  -  成外', '580万', '单价19926元/平米')
('https://image1.ljcdn.com/510100-inspection/test-65d77846-998b-48e9-b67a-e903c9eef222.png.296x216.jpg', '西江月 标准套一 有装修 户型方正 不临街', '西江月  | 1室1厅 | 54.91平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)2013年建板楼  -  成外', '85万', '单价15480元/平米')
('https://image1.ljcdn.com/510100-inspection/test-389d7b74-a171-476e-a155-bc7836a475ef.png.296x216.jpg', '绿地国际花都三期清水套四+中间楼层+户型好', '绿地国际花都三期  | 4室2厅 | 127.11平米 | 东南 西 | 其他 | 有电梯', '中楼层(共32层)2014年建板楼  -  郫县城区', '150万', '单价11801元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2a4e056d-a067-4e65-a648-a26b95bcd7f1.png.296x216.jpg', '龙湖 套三双卫  装修 带家具家电', '龙湖弗莱明戈一期  | 3室1厅 | 92.99平米 | 南 | 其他 | 有电梯', '高楼层(共34层)2012年建板楼  -  郫县城区', '158万', '单价16992元/平米')
('https://image1.ljcdn.com/510100-inspection/test-944ba126-72e3-48eb-a883-3a8fbb1d4111.png.296x216.jpg', '西区花园洋房+错层套三双卫+满两年+诚心出售+有钥匙', '西区花园花园洋房  | 3室2厅 | 133.9平米 | 东南 | 简装 | 无电梯', '低楼层(共6层)2004年建板楼  -  犀浦', '138万', '单价10307元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b8c8c7cc-97d5-4553-9c57-9ef6ff30c267.png.296x216.jpg', '中铁西郡英华二期套二带阳台+有装修', '中铁西郡英华二期  | 2室2厅 | 72.46平米 | 西南 | 其他 | 有电梯', '中楼层(共31层)2013年建塔楼  -  红光', '80万', '单价11041元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload48ec0f49-6044-4592-8a5b-33675fad40a5.jpg.296x216.jpg', '龙城国际+套三双卫+有装修+有家具家电', '龙城国际  | 3室1厅 | 89平米 | 西南 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  橡树湾', '140万', '单价15731元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2d35f92a-ecbc-40fe-a772-67f5faf3f5f3.png.296x216.jpg', '绿地国际花都三期装修套二户型方正', '绿地国际花都三期  | 2室1厅 | 79平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)2014年建板楼  -  郫县城区', '90万', '单价11393元/平米')
('https://image1.ljcdn.com/510100-inspection/test-55522d1d-f065-4053-9913-bce08d0d86b4.png.296x216.jpg', '滨河花园，套三单卫，中间楼层。', '滨河花园  | 3室2厅 | 106.58平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)板楼  -  郫县万达', '96万', '单价9008元/平米')
('https://image1.ljcdn.com/510100-inspection/test-94e5f9ee-f82d-4e11-8fbc-780187c17c46.png.296x216.jpg', '派克公馆 1梯1户 对中庭 通透格局 楼层好视野开阔', '派克公馆  | 3室2厅 | 128.24平米 | 西北 | 简装 | 有电梯', '低楼层(共14层)2008年建板塔结合  -  成外', '175万', '单价13647元/平米')
('https://image1.ljcdn.com/510100-inspection/8e286b88-f9c7-45e5-bf4d-23a3daadca5f.jpg.296x216.jpg', '西江月装修套二+空房+随时可看', '西江月  | 2室2厅 | 75平米 | 西北 | 简装 | 有电梯', '低楼层(共17层)2011年建塔楼  -  成外', '108万', '单价14400元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d3d848eb-25a7-4e63-a843-652dff5a9fce.png.296x216.jpg', '绿地国际花都清水套三+高楼层+采光好', '绿地国际花都三期  | 3室1厅 | 88.63平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2014年建板楼  -  郫县城区', '105万', '单价11848元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b41a9d7f-a2ea-482a-a18d-59016f3fc783.png.296x216.jpg', '套三+双卫+清水+户型方正。。。', '天邑宏御花园宏苑  | 3室1厅 | 125.2平米 | 西北 | 毛坯 | 有电梯', '中楼层(共22层)2016年建塔楼  -  橡树湾', '123万', '单价9825元/平米')
('https://image1.ljcdn.com/510100-inspection/test-657834cb-8ce1-4e0c-a63a-89c05bca522e.png.296x216.jpg', '绿地国际花都三期装修套三双卫，对中庭，采光好', '绿地国际花都三期  | 3室2厅 | 100.84平米 | 西北 | 其他 | 有电梯', '高楼层(共32层)2014年建板楼  -  郫县城区', '125万', '单价12396元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4da99f64-bb90-440f-9147-3d22292744f3.png.296x216.jpg', '郫 县 一 中 教 师 小 区', '郫县一中教师小区  | 3室2厅 | 139.2平米 | 南 | 其他', '高楼层(共6层)2002年建板楼  -  郫县城区', '80万', '单价5748元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ef26b352-a064-4dff-895b-6f23c662c7a6.png.296x216.jpg', '套二带衣帽间+有装修满两年无增值税', '华润橡树湾A区  | 2室1厅 | 62.86平米 | 东北 | 其他 | 有电梯', '中楼层(共32层)2013年建板塔结合  -  橡树湾', '100万', '单价15909元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3f4fcc09-ea48-4f86-927d-53aa845b6782.png.296x216.jpg', '此房楼层好，视野开阔，采光充足', '西江月  | 2室1厅 | 88.31平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2013年建塔楼  -  成外', '105万', '单价11890元/平米')
