('https://image1.ljcdn.com/340100-inspection/140b7668-86a7-4d29-bd92-5990a7ee96e1.JPG.296x216.jpg', '琥珀名城沁园 3室1厅 130万', '琥珀名城沁园  | 3室1厅 | 95.84平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  龙岗', '130万', '单价13565元/平米')
('https://image1.ljcdn.com/340100-inspection/8b9c39bc-71a3-4127-970e-83c74cecdfc3.JPG.296x216.jpg', '龙岗 九狮水岸 精装两室 多层公摊小 采光好 户型方正', '九狮水岸  | 2室1厅 | 71.99平米 | 南 | 其他', '高楼层(共6层)板楼  -  龙岗', '93.5万', '单价12988元/平米')
('https://image1.ljcdn.com/340100-inspection/e5dc7965-7152-41e7-ab26-a41118804956.JPG.296x216.jpg', '海洲景秀世家 3室2厅 138万', '海洲景秀世家  | 3室2厅 | 117.33平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  龙岗', '138万', '单价11762元/平米')
('https://image1.ljcdn.com/340100-inspection/0e573b73-f469-43a5-9a06-793aee32a575.jpg.296x216.jpg', '此房满两年  地理位置好 楼层好', '钢北新村  | 3室1厅 | 97.98平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  红光', '132万', '单价13473元/平米')
('https://image1.ljcdn.com/340100-inspection/10a5cace-1b02-4a24-9162-2b5fb601b612.JPG.296x216.jpg', '恒大城 楼层好，视野广阔，交通便利，配套设施齐全', '恒大城  | 4室2厅 | 145.36平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  龙岗', '168万', '单价11558元/平米')
('https://image1.ljcdn.com/340100-inspection/fed9ad13-367d-4ca3-a3dd-dc1feed24c0c.jpg.296x216.jpg', '顶复 精装修 业主诚意出售 大3房', '万福家园  | 3室2厅 | 107.91平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  七里站', '115万', '单价10658元/平米')
('https://image1.ljcdn.com/340100-inspection/227872fd-58f6-4660-9801-6ee1e369c749.jpg.296x216.jpg', '顶楼复试，南北露台，视野开阔，采光充足，活动空间大', '教师新村  | 5室2厅 | 134.68平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  明光路', '195万', '单价14479元/平米')
('https://image1.ljcdn.com/340100-inspection/8b3adea8-6ca4-4fdf-9d48-7e3ac4e98fae.jpg.296x216.jpg', '楼层适中，总价低，交通非常方便，拎包入住！！', '南都雲庭  | 1室1厅 | 34平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  三里街', '44万', '单价12942元/平米')
('https://image1.ljcdn.com/340100-inspection/167d03f3-ba86-4c71-8057-12bf032b8462.JPG.296x216.jpg', '临泉路上香格里拉花园 精装两居 户型方正 业主诚心卖', '香格里拉花园  | 2室2厅 | 78.2平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  方庙', '120万', '单价15346元/平米')
('https://image1.ljcdn.com/340100-inspection/8b887c0e-d3e8-433e-a58e-547a57d0b99e.jpg.296x216.jpg', '元一名城C区 通透 大四居 采光通风无遮挡', '元一名城C区  | 4室2厅 | 138.75平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  嘉山路', '181万', '单价13046元/平米')
('https://image1.ljcdn.com/340100-inspection/c004cfbd-c771-4945-a627-737cbfab2662.JPG.296x216.jpg', '苹果家园 满五唯一 诚心出售 楼层好 采光无遮挡', '苹果家园  | 2室1厅 | 81.96平米 | 南 北 | 其他', '中楼层(共11层)2009年建塔楼  -  方庙', '108万', '单价13178元/平米')
('https://image1.ljcdn.com/340100-inspection/50e7594e-f399-4bed-8b83-5311f6f95ae2.jpg.296x216.jpg', '花溪新村 简单装修 户型方正 满五年', '花溪新村  | 2室1厅 | 61.33平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  铜陵路', '72万', '单价11740元/平米')
('https://image1.ljcdn.com/340100-inspection/50cd4393-7f4f-4b8c-b9c1-4f71f2ed798d.jpg.296x216.jpg', '小区环境好，居住舒适，主卧朝南，采光好，适合刚需', '鸣香苑  | 2室2厅 | 80.91平米 | 南 | 精装', '高楼层(共18层)2000年建塔楼  -  明光路', '128万', '单价15821元/平米')
('https://image1.ljcdn.com/340100-inspection/688849e6-801f-494a-9202-50208f0235bb.jpg.296x216.jpg', '海洲景秀世家 2室1厅 96万', '海洲景秀世家  | 2室1厅 | 78.37平米 | 南 北 | 其他', '低楼层(共5层)2012年建板楼  -  龙岗', '96万', '单价12250元/平米')
('https://image1.ljcdn.com/340100-inspection/13e3dedf-df44-4465-bab8-95bdccfb9994.jpg.296x216.jpg', '正创鸣香苑三室朝南好房 采光好 楼层佳 地理位置优越', '鸣香苑  | 3室2厅 | 89.46平米 | 南 | 其他', '高楼层(共18层)2000年建塔楼  -  明光路', '150万', '单价16768元/平米')
('https://image1.ljcdn.com/340100-inspection/a70fab59-9a94-415b-bc53-09084ef330fc.jpg.296x216.jpg', '二环边 格局好 采光充足 二环边 位置好 交通便利', '瑶海南村  | 2室2厅 | 61.53平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  长淮', '65万', '单价10564元/平米')
('https://image1.ljcdn.com/340100-inspection/9c392d90-136b-4910-9cae-95349c606490.JPG.296x216.jpg', '万成华府 满两年 朝南 采光好', '万成华府  | 3室1厅 | 86.43平米 | 南 | 其他', '高楼层(共30层)2013年建塔楼  -  龙岗', '115万', '单价13306元/平米')
('https://image1.ljcdn.com/340100-inspection/03cf741d-2f71-4d79-993f-acbd41422a37.JPG.296x216.jpg', '华裕家园，配套成熟，交通便利，户型方正，满5年', '华裕家园  | 2室2厅 | 74.95平米 | 南 | 其他', '中楼层(共6层)2008年建板楼  -  和平路', '106万', '单价14143元/平米')
('https://image1.ljcdn.com/340100-inspection/7b4693a7-9464-46ea-b060-8d9d38fe0af8.jpg.296x216.jpg', '群力新村 三室两厅 楼层好 采光好 视野好', '群力新村  | 3室2厅 | 101.2平米 | 南 北 | 其他', '中楼层(共7层)2000年建板楼  -  明光路', '160万', '单价15811元/平米')
('https://image1.ljcdn.com/340100-inspection/029df79a-e31e-4068-91e5-4c9cba8093a8.JPG.296x216.jpg', '满五年 上下复式 自住20万精装修 5居室带大露台', '华源国际城  | 5室2厅 | 157.55平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  和平路', '186万', '单价11806元/平米')
('https://image1.ljcdn.com/340100-inspection/2969a36b-a464-432d-bedc-49ccd7610322.jpg.296x216.jpg', '楼层采光好，70年产权商品房，精装修适合居住', '未来家园  | 1室1厅 | 49.82平米 | 南 | 其他', '高楼层(共26层)2012年建塔楼  -  长淮', '70万', '单价14051元/平米')
('https://image1.ljcdn.com/340100-inspection/b7e825f1-7bf4-41c1-a987-981c0b95731d.JPG.296x216.jpg', '元一名城 精装大三居 业主诚心出售', '元一名城C区  | 3室2厅 | 128.81平米 | 南 北 | 精装', '低楼层(共18层)2009年建塔楼  -  嘉山路', '180万', '单价13975元/平米')
('https://image1.ljcdn.com/340100-inspection/6352d513-e746-429d-b953-c4e8444f179f.jpg.296x216.jpg', '紫云府 刚需一居室 总价低 价格适宜', '紫云府  | 1室1厅 | 58.21平米 | 北 | 其他', '低楼层(共33层)2012年建塔楼  -  三里街', '70万', '单价12026元/平米')
('https://image1.ljcdn.com/340100-inspection/a3805d4f-9ed8-4d1f-94f1-1304d5f2bd70.JPG.296x216.jpg', '中翔新东城，地铁口，交通便利，采光好。', '中翔新东城  | 2室1厅 | 42.61平米 | 南 | 其他', '中楼层(共31层)2011年建塔楼  -  铜陵路', '50万', '单价11735元/平米')
('https://image1.ljcdn.com/340100-inspection/9f87c80c-bc07-490c-8574-35363154c564.jpg.296x216.jpg', '宝业城市绿苑东区 大三居 简单装修 环境好', '宝业城市绿苑东区  | 3室2厅 | 131.63平米 | 南 | 其他', '低楼层(共6层)2008年建板楼  -  和平路', '204.6万', '单价15544元/平米')
('https://image1.ljcdn.com/340100-inspection/05af2f73-5757-4efd-b5b0-b6b61ef18a64.JPG.296x216.jpg', '元一名城三室好房 满五年 双阳台', '元一名城C区  | 3室2厅 | 113.82平米 | 南 北 | 其他', '低楼层(共11层)2009年建塔楼  -  嘉山路', '162万', '单价14233元/平米')
('https://image1.ljcdn.com/340100-inspection/787d58c1-896f-4c1d-9817-71a1698b57df.JPG.296x216.jpg', '宝业城市绿苑东区 2室2厅 142万', '宝业城市绿苑东区  | 2室2厅 | 88.45平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  和平路', '142万', '单价16055元/平米')
('https://image1.ljcdn.com/340100-inspection/35a07a3c-a9bd-472f-8d64-687657779c9c.JPG.296x216.jpg', '海洲景秀世家 3室1厅 115万', '海洲景秀世家  | 3室1厅 | 89.13平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  龙岗', '115万', '单价12903元/平米')
('https://image1.ljcdn.com/340100-inspection/f5b6f73b-cf30-4844-b674-fe877a16a9fb.JPG.296x216.jpg', '嘉山路元一名城C区三室楼层好采光足 拎包入住', '元一名城C区  | 3室2厅 | 96.73平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  嘉山路', '140万', '单价14474元/平米')
('https://image1.ljcdn.com/340100-inspection/f6304ec8-b188-485f-93ae-c10846377ca4.JPG.296x216.jpg', '格林馨园 2室1厅 107万', '格林馨园  | 2室1厅 | 91.18平米 | 南 | 其他', '高楼层(共6层)2007年建板楼  -  方庙', '107万', '单价11736元/平米')
('https://image1.ljcdn.com/340100-inspection/afb1b4f7-d8b0-4bc7-97ac-d18f4b2e82eb.jpg.296x216.jpg', '30万精装修，全南户型，楼层好，采光佳', '和平盛世  | 2室2厅 | 95.73平米 | 南 北 | 其他', '中楼层(共30层)2012年建塔楼  -  明光路', '210万', '单价21937元/平米')
('https://image1.ljcdn.com/340100-inspection/5aaa9140-4a2c-499c-ae25-b2744641ce85.JPG.296x216.jpg', '东景苑 满五年 装修好 拎包入住', '东景苑  | 1室1厅 | 36平米 | 北 | 其他', '中楼层(共25层)塔楼  -  龙岗', '44万', '单价12223元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd23859ab-683d-470f-bcc2-53ff0b34a206.jpg.296x216.jpg', '二环内  精装修  总价低 楼层好', '未来家园  | 2室1厅 | 49平米 | 北 | 其他', '高楼层(共26层)2012年建塔楼  -  长淮', '69万', '单价14082元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload944915d5-6f17-4df8-a4fd-ffae3646de56.jpg.296x216.jpg', '方圆华庭 4室2厅 155万', '方圆华庭  | 4室2厅 | 139.72平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  长淮', '155万', '单价11094元/平米')
('https://image1.ljcdn.com/340100-inspection/05f928c7-3dd2-4b84-aae0-c2d92830a4c1.jpg.296x216.jpg', '金色梧桐   毛坯    小户型', '金色梧桐  | 1室1厅 | 65.51平米 | 南 北 | 其他', '高楼层(共30层)2011年建塔楼  -  胜利路', '84万', '单价12823元/平米')
('https://image1.ljcdn.com/340100-inspection/9aaaa0e6-ed8e-46f2-82ba-45d88a88aef1.JPG.296x216.jpg', '橘郡万绿园 3室2厅 125万', '橘郡万绿园  | 3室2厅 | 86平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  铜陵路', '125万', '单价14535元/平米')
('https://image1.ljcdn.com/340100-inspection/eea8db6c-21c0-49b6-b1c9-818e6f682589.JPG.296x216.jpg', '楼层好，视野开阔，采光无遮挡。', '元一名城C区  | 3室2厅 | 109.13平米 | 南 | 其他', '中楼层(共11层)2009年建塔楼  -  嘉山路', '160万', '单价14662元/平米')
('https://image1.ljcdn.com/340100-inspection/511d3a7d-6c87-4321-8758-6a8acdc16c5d.JPG.296x216.jpg', '宝业城市绿苑东区 2室2厅 136万', '宝业城市绿苑东区  | 2室2厅 | 96.58平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  和平路', '136万', '单价14082元/平米')
('https://image1.ljcdn.com/340100-inspection/f954c31b-a357-4846-9444-77782ed8b0e9.JPG.296x216.jpg', '海洲景秀世家 3室3厅 143万', '海洲景秀世家  | 3室3厅 | 143平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  龙岗', '143万', '单价10000元/平米')
('https://image1.ljcdn.com/340100-inspection/d1527098-df56-4cc5-8ed4-6987f50c4109.JPG.296x216.jpg', '恒盛豪庭 3室2厅 215万', '恒盛豪庭  | 3室2厅 | 101.9平米 | 南 北 | 其他', '中楼层(共31层)2011年建塔楼  -  和平路', '215万', '单价21100元/平米')
('https://image1.ljcdn.com/340100-inspection/3f53eeeb-6a93-4ef8-a9ce-0c12a8363b36.jpg.296x216.jpg', '一楼带院子 交通便利 配套完善 朝南户型 看房方便', '和平苑  | 3室2厅 | 83.75平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  和平路', '75万', '单价8956元/平米')
('https://image1.ljcdn.com/340100-inspection/0bd2c5fc-651d-4b70-8cf2-bf8e8be87858.JPG.296x216.jpg', '聚业苑 5室2厅 175万', '聚业苑  | 5室2厅 | 160.31平米 | 南 | 其他', '高楼层(共6层)板楼  -  七里站', '175万', '单价10917元/平米')
('https://image1.ljcdn.com/340100-inspection/52286973-1263-4312-9b27-19a6869df98f.jpg.296x216.jpg', '大三方，适合一家人居住。周边配套齐全。交通便利', '名人御苑  | 3室2厅 | 137.96平米 | 南 北 | 其他', '中楼层(共32层)2005年建塔楼  -  长淮', '155万', '单价11236元/平米')
('https://image1.ljcdn.com/340100-inspection/f25ea53a-986c-453a-b169-bb476561db8b.JPG.296x216.jpg', '砂轮新村 2室1厅 118万', '砂轮新村  | 2室1厅 | 67.8平米 | 南 | 其他', '高楼层(共6层)1995年建板楼  -  和平路', '118万', '单价17405元/平米')
('https://image1.ljcdn.com/340100-inspection/a37d077d-b276-4cfe-b9a3-87042fb6d676.JPG.296x216.jpg', '楼下就是2号线口，满五少税，精装修电梯三房随时看', '中翔新东城  | 3室1厅 | 86平米 | 南 | 其他', '高楼层(共31层)2011年建塔楼  -  铜陵路', '104万', '单价12094元/平米')
('https://image1.ljcdn.com/340100-inspection/c2aa42e0-2077-4932-bb18-c3c3b01444af.JPG.296x216.jpg', '玉兰苑 3室1厅 100万', '玉兰苑  | 3室1厅 | 91.27平米 | 南 北 | 其他', '高楼层(共6层)2000年建塔楼  -  龙岗', '100万', '单价10957元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc8b13107-705c-4c7e-b715-d414d59bc3b1.jpg.296x216.jpg', '格林馨园 大两居 精装修 采光好 看房方便', '格林馨园  | 2室2厅 | 93.11平米 | 南 | 其他', '高楼层(共18层)2007年建塔楼  -  方庙', '120万', '单价12888元/平米')
('https://image1.ljcdn.com/340100-inspection/782eb66b-f04e-4b16-8b87-b73ad674df48.JPG.296x216.jpg', '精装5.6米挑高，朝南，采光好，楼层好，家具家电全送', '中天左岸  | 3室1厅 | 50.25平米 | 南 | 其他', '高楼层(共24层)2010年建塔楼  -  城东', '122万', '单价24279元/平米')
('https://image1.ljcdn.com/340100-inspection/6e8c1b6f-584e-40ed-89d8-314b8c349f85.jpg.296x216.jpg', '群力新村 中上楼层 精装1居室 拎包入住', '群力新村  | 1室1厅 | 32.63平米 | 南 | 其他', '中楼层(共7层)2000年建板楼  -  明光路', '45万', '单价13791元/平米')
('https://image1.ljcdn.com/340100-inspection/6b70521f-6c3e-43d4-9662-1d26488205f8.jpg.296x216.jpg', '温莎杰座 1室1厅 55万', '温莎杰座  | 1室1厅 | 46平米 | 南 | 其他', '高楼层(共29层)2008年建塔楼  -  三里街', '55万', '单价11957元/平米')
('https://image1.ljcdn.com/340100-inspection/319e08a9-0935-4c93-994a-e29dfb533616.JPG.296x216.jpg', '香江世纪名城 3室2厅 148万', '香江世纪名城  | 3室2厅 | 123.95平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  铜陵路', '148万', '单价11941元/平米')
('https://image1.ljcdn.com/340100-inspection/708262e9-1c6c-4aa1-9e4c-1359d2ff4cf5.JPG.296x216.jpg', '恒盛豪庭满五唯一，楼层好，不临高架。采光充足。', '恒盛豪庭  | 2室2厅 | 89.73平米 | 南 | 其他', '高楼层(共31层)2011年建塔楼  -  和平路', '180万', '单价20061元/平米')
('https://image1.ljcdn.com/340100-inspection/ccb1e40a-cdaf-4a66-9236-51f889bcee96.JPG.296x216.jpg', '元一名城A区 3室1厅 140万', '元一名城A区  | 3室1厅 | 95.57平米 | 南 | 其他', '高楼层(共18层)2007年建板塔结合  -  嘉山路', '140万', '单价14649元/平米')
('https://image1.ljcdn.com/340100-inspection/2e90aa78-8c15-4d02-9983-11f257eae4ab.JPG.296x216.jpg', '南北小区中间位置，精装修，中间楼层', '江晨园  | 2室1厅 | 89.75平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  铜陵路', '110万', '单价12257元/平米')
('https://image1.ljcdn.com/340100-inspection/22a28e72-89af-4a5f-94c5-7cc540a2d362.jpg.296x216.jpg', '信地城市广场 改善小三居 采光好 价格适宜', '信地城市广场  | 3室1厅 | 87.11平米 | 南 | 精装', '低楼层(共33层)2011年建塔楼  -  长淮', '145万', '单价16646元/平米')
('https://image1.ljcdn.com/340100-inspection/a96d0268-33c6-4fc0-b572-a1a39c8d75ed.jpg.296x216.jpg', '紫云府 3室2厅 128万', '紫云府  | 3室2厅 | 94.99平米 | 北 | 其他', '高楼层(共33层)2012年建塔楼  -  三里街', '128万', '单价13476元/平米')
('https://image1.ljcdn.com/340100-inspection/00c9838b-91c0-4d60-a47e-e7ad5dc89846.jpg.296x216.jpg', '二环内 楼层好，光线充足，交通便利，小区安静。', '未来家园  | 4室2厅 | 120.18平米 | 南 | 其他', '中楼层(共27层)2012年建塔楼  -  长淮', '170万', '单价14146元/平米')
('https://image1.ljcdn.com/340100-inspection/2c64482d-0ffc-42f9-a9f3-eb2ee637bdcc.jpg.296x216.jpg', '北一环 蕾蕾硕苑 一室一厅 精装修', '蕾蕾硕苑  | 1室1厅 | 44.96平米 | 南 | 其他', '中楼层(共11层)板楼  -  胜利路', '58万', '单价12901元/平米')
('https://image1.ljcdn.com/340100-inspection/eef53b46-2551-4d75-920b-5b4dfdf2c073.JPG.296x216.jpg', '美晨雅阁 1室1厅 56万', '美晨雅阁  | 1室1厅 | 42.83平米 | 南 | 其他', '低楼层(共17层)2009年建塔楼  -  嘉山路', '56万', '单价13075元/平米')
('https://image1.ljcdn.com/340100-inspection/6c42e42d-4232-4190-8ff2-5ca13568b915.JPG.296x216.jpg', '东景苑精装一居室，看房方便，业主诚心卖。', '东景苑  | 1室1厅 | 36平米 | 北 | 其他', '高楼层(共25层)塔楼  -  龙岗', '47万', '单价13056元/平米')
('https://image1.ljcdn.com/340100-inspection/33c981aa-61a4-4977-a847-c3c7d0b7f871.jpg.296x216.jpg', '胜利广场 地铁口 名人御苑 两室 精装 采光好 楼层好', '名人御苑  | 2室2厅 | 86.48平米 | 南 北 | 其他', '中楼层(共32层)2005年建塔楼  -  长淮', '121万', '单价13992元/平米')
('https://image1.ljcdn.com/340100-inspection/8d39b2a8-89ca-443d-bbc6-1303ecb80275.JPG.296x216.jpg', '海洲景秀世家 5室4厅 185万', '海洲景秀世家  | 5室4厅 | 181.7平米 | 南 | 其他', '高楼层(共6层)2012年建板楼  -  龙岗', '185万', '单价10182元/平米')
('https://image1.ljcdn.com/340100-inspection/d9003bc7-9d91-48bb-a066-a50146766ca3.jpg.296x216.jpg', '满五 精装 户型方正 小区环境好 北一环边上 位置佳', '长春都市花园  | 4室2厅 | 149平米 | 南 北 | 其他', '中楼层(共7层)2002年建板楼  -  长淮', '208万', '单价13960元/平米')
('https://image1.ljcdn.com/340100-inspection/bf42a99d-4b21-47b9-8000-5e8f4c0b83a8.JPG.296x216.jpg', '中天左岸 3室2厅 188万', '中天左岸  | 3室2厅 | 108平米 | 南 | 其他', '高楼层(共17层)2010年建板楼  -  城东', '188万', '单价17408元/平米')
('https://image1.ljcdn.com/340100-inspection/7fc56fb5-3056-4ab4-a236-a6886c0742b9.jpg.296x216.jpg', '楼层采光不错 价格可谈 随时看房', '矿机小区  | 2室1厅 | 55平米 | 南 | 简装', '中楼层(共7层)1990年建板楼  -  明光路', '74万', '单价13455元/平米')
('https://image1.ljcdn.com/340100-inspection/d100afc9-4ba4-4880-88f1-4f64d8ab0384.JPG.296x216.jpg', '金水湾花园 2室1厅 88万', '金水湾花园  | 2室1厅 | 79.6平米 | 南 | 其他', '低楼层(共6层)2009年建塔楼  -  龙岗', '88万', '单价11056元/平米')
('https://image1.ljcdn.com/340100-inspection/5f710079-eaf9-487a-b58b-8b2966076b70.jpg.296x216.jpg', '新安江路 花溪新村 一楼三房带院子', '花溪新村  | 3室1厅 | 78.69平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  铜陵路', '110万', '单价13979元/平米')
('https://image1.ljcdn.com/340100-inspection/8266a73b-a435-487a-8bfa-c563acd2a8f0.JPG.296x216.jpg', '和平路 置地栢景轩 多层小两房 物业好', '置地栢景轩  | 2室1厅 | 77.16平米 | 南 | 其他', '中楼层(共6层)2008年建板楼  -  和平路', '131万', '单价16978元/平米')
('https://image1.ljcdn.com/340100-inspection/c55d46fe-64f0-4308-ae03-137821130eb9.jpg.296x216.jpg', '胜利北村          全明户型 中间楼层', '胜利北村  | 2室1厅 | 61.73平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  长淮', '73万', '单价11826元/平米')
('https://image1.ljcdn.com/340100-inspection/0ec6d4a4-4258-4e7f-8b59-a11efa791296.jpg.296x216.jpg', '海龙公寓 4室2厅 160万', '海龙公寓  | 4室2厅 | 147.24平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  长淮', '160万', '单价10867元/平米')
('https://image1.ljcdn.com/340100-inspection/09618dfd-7afe-4f57-acef-bd2b2d053a07.JPG.296x216.jpg', '元一名城 精装修 户型方正 中间楼层拎包即住', '元一名城B区  | 2室1厅 | 85.66平米 | 南 | 其他', '高楼层(共11层)2009年建塔楼  -  嘉山路', '135万', '单价15760元/平米')
('https://image1.ljcdn.com/340100-inspection/b9b04657-3422-4a0a-b1ed-535390bd1fbb.JPG.296x216.jpg', '通达路 大两房 采光无遮挡 视野开阔', '斯瑞新景苑  | 2室2厅 | 97.63平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  龙岗', '100万', '单价10243元/平米')
('https://image1.ljcdn.com/340100-inspection/7585ee28-bcf2-4f79-976e-4fb59ed74570.jpg.296x216.jpg', '精装修，满两年，没有税，交通便利，配套成熟', '信地城市广场  | 1室1厅 | 44.7平米 | 西南 | 其他', '高楼层(共32层)2011年建塔楼  -  长淮', '62万', '单价13871元/平米')
('https://image1.ljcdn.com/340100-inspection/373d15dd-2b99-4ee6-b194-19e5f4d85d33.JPG.296x216.jpg', '银都苑 3室2厅 140万', '银都苑  | 3室2厅 | 125.26平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  嘉山路', '140万', '单价11177元/平米')
('https://image1.ljcdn.com/340100-inspection/5101c352-2f8f-42cd-8b1c-ade969839dcb.jpg.296x216.jpg', '锦绣豪庭 38中，高楼层  有电梯', '锦绣豪庭  | 3室2厅 | 108.68平米 | 南 | 其他', '高楼层(共32层)2012年建塔楼  -  胜利路', '163万', '单价14999元/平米')
('https://image1.ljcdn.com/340100-inspection/40198233-0f80-40bf-8928-360e2413d52e.jpg.296x216.jpg', '火车站 七里香榭  精装修  采光好   交通便利', '七里香榭  | 3室2厅 | 82.58平米 | 南 | 其他', '低楼层(共34层)2012年建塔楼  -  长淮', '140万', '单价16954元/平米')
('https://image1.ljcdn.com/340100-inspection/c4b273f8-a242-4e8c-9bf7-1e0b61fd2796.jpg.296x216.jpg', '挑高复式 简装 楼层采光极好 随时看房', '力天大厦  | 1室1厅 | 36.45平米 | 北 | 简装', '低楼层(共20层)2005年建塔楼  -  明光路', '54万', '单价14815元/平米')
('https://image1.ljcdn.com/340100-inspection/ac04c09a-197d-4a4f-9b2a-994bc3ebe67c.jpg.296x216.jpg', '没有增值税 满五年 中间楼层 采光好 南北通透', '和平苑  | 5室2厅 | 139.65平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  和平路', '141万', '单价10097元/平米')
('https://image1.ljcdn.com/340100-inspection/1d66ac33-d3c9-4bba-896f-d804dce25d0f.jpg.296x216.jpg', '一环内，吟春园，胜利广场旁边，南北通透，采光好', '吟春园  | 3室2厅 | 146.55平米 | 南 北 | 其他', '中楼层(共11层)2002年建板楼  -  三里街', '178万', '单价12147元/平米')
('https://image1.ljcdn.com/340100-inspection/7d5b9483-a021-4eb7-b07a-f02c69869824.jpg.296x216.jpg', '金色地带 3室2厅 155万', '金色地带  | 3室2厅 | 122.98平米 | 南 | 其他', '低楼层(共27层)2013年建板楼  -  三里街', '155万', '单价12604元/平米')
('https://image1.ljcdn.com/340100-inspection/65578b19-dc1e-46e7-abb7-f46a175215d6.JPG.296x216.jpg', '恒大城 4室2厅 198万', '恒大城  | 4室2厅 | 153.33平米 | 南 北 | 其他', '中楼层(共32层)2013年建板楼  -  龙岗', '198万', '单价12914元/平米')
('https://image1.ljcdn.com/340100-inspection/557ef9ca-a443-4462-892f-920c5dbcadf5.JPG.296x216.jpg', '江晨园 2室2厅 144万', '江晨园  | 2室2厅 | 111.76平米 | 南 | 其他', '高楼层(共18层)2006年建塔楼  -  铜陵路', '144万', '单价12885元/平米')
('https://image1.ljcdn.com/340100-inspection/8e269cfd-5653-4c97-8df1-a1eed8da9c8d.jpg.296x216.jpg', '庐州小区 2室2厅 116万', '庐州小区  | 2室2厅 | 88.51平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  胜利路', '116万', '单价13106元/平米')
('https://image1.ljcdn.com/340100-inspection/bfc06800-55b7-4e45-be77-12612057fe1d.jpg.296x216.jpg', '香格里拉花园 朝南户型 中间楼层 户型方正 随时看房', '香格里拉花园  | 2室1厅 | 76.9平米 | 南 | 其他', '中楼层(共28层)2008年建塔楼  -  方庙', '105万', '单价13655元/平米')
('https://image1.ljcdn.com/340100-inspection/51f02fec-5d7f-4f26-b9e8-e07c06b2b1f2.JPG.296x216.jpg', '九狮水岸 2室1厅 105万', '九狮水岸  | 2室1厅 | 83.79平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  龙岗', '105万', '单价12532元/平米')
('https://image1.ljcdn.com/340100-inspection/4d576774-fffd-4ca0-83eb-7a14cc390dad.JPG.296x216.jpg', '精装修3室3厅带双露台，小区环境优美，交通方便随时看', '宝业城市绿苑东区  | 3室3厅 | 132.51平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  和平路', '175万', '单价13207元/平米')
('https://image1.ljcdn.com/340100-inspection/213e6894-9b62-4f8c-82fa-c3a4cb4eae74.jpg.296x216.jpg', '二号线地铁口 满五免增值税 交通方便 看房方便 诚售', '中翔新东城  | 1室1厅 | 42平米 | 东 | 其他', '中楼层(共31层)2011年建塔楼  -  铜陵路', '49万', '单价11667元/平米')
('https://image1.ljcdn.com/340100-inspection/7c6b6afe-ec94-4dd6-ad9a-ec6d7a5118f7.JPG.296x216.jpg', '满两年，户型通透双阳台，产权清新，诚心出售', '宝业东城广场  | 3室2厅 | 110.11平米 | 南 北 | 其他', '低楼层(共33层)2014年建塔楼  -  铜陵路', '185万', '单价16802元/平米')
('https://image1.ljcdn.com/340100-inspection/8ccf2476-c709-40cb-ac10-9ef916454c48.jpg.296x216.jpg', '长淮新村 两房 长淮地铁口 户型方正 位置好', '长淮新村A区  | 2室1厅 | 61.62平米 | 南 | 其他', '中楼层(共6层)板楼  -  胜利路', '85万', '单价13795元/平米')
