('https://image1.ljcdn.com/shfdfs-image/20171130/86c1bddc-d736-4555-9e2e-6148af580ff6.jpg.296x216.jpg', '2016年次新小区，市中牛B住宅，8/10号地铁全南户型', '复兴珑御  | 2室2厅 | 140平米 | 南 | 精装', '中楼层(共32层)板楼  -  老西门', '1730万', '单价123572元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180130/bb5f074f-189f-410a-bf1f-6f6edbfc5827.jpg.296x216.jpg', '电梯两室户 双室朝南 地铁口 交通方便', '百汇大厦  | 2室1厅 | 81.72平米 | 南 | 简装 | 有电梯', '低楼层(共23层)1994年建塔楼  -  五里桥', '795万', '单价97284元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160227/50a340ff-7fb3-433e-8065-3f829232cc43.jpg.296x216.jpg', '豫园核.心位置，户型方正，业主诚意出售，看房方便', '县左街20弄  | 2室1厅 | 53.68平米 | 东 | 精装 | 有电梯', '低楼层(共8层)1987年建板楼  -  豫园', '465万', '单价86625元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160107/4fcd0209-6a50-47c9-b234-cd3242b95aa6.jpg.296x216.jpg', '明星楼盘，百年城隍庙正对·面，3+1户型，全新装修，', '太阳都市花园  | 3室2厅 | 149.81平米 | 东南 | 精装 | 有电梯', '低楼层(共24层)1999年建塔楼  -  豫园', '1180万', '单价78767元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf0f1103e-0bad-4182-87f6-f25a69793a79.jpg.296x216.jpg', '打浦桥—滨江板块，婚房装修拎包入住，税少，看房方便', '新华南园大厦  | 1室2厅 | 75.42平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2004年建塔楼  -  世博滨江', '550万', '单价72925元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5b0eb572-5922-475c-85a1-22123ace2024.jpg.296x216.jpg', '城隍脚下 魅力2居 高价比房 看房方便', '悦来小区  | 2室1厅 | 74.66平米 | 南 | 简装 | 有电梯', '低楼层(共16层)1993年建塔楼  -  黄浦滨江', '700万', '单价93759元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180107/bf3df2f7-e7c6-465b-8049-2dde25a5913e.jpg.296x216.jpg', '降价10万 婚房20万的装修 南北两房  全明 交通便利', '五岭小区  | 2室1厅 | 67.06平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1990年建板楼  -  打浦桥', '530万', '单价79034元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6d8651b8-5369-464b-bbbf-2adced26f658.png.296x216.jpg', '上外附.小，大同中.学双学.区，4/8号线地铁房', '弘辉名苑  | 3室2厅 | 122.03平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2005年建板楼  -  世博滨江', '1250万', '单价102434元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload603f4fd8-c0b1-44bd-aecc-43ad691f5bac.jpg.296x216.jpg', '南北通透，看房子方便，采光无遮挡，价格可谈', '蒙西小区  | 2室1厅 | 60.99平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  五里桥', '535万', '单价87720元/平米')
('https://image1.ljcdn.com/310000-inspection/dffbef23-5927-4d2c-8912-8f946352833e.jpg.296x216.jpg', '复兴珑御 3室2厅 2100万', '复兴珑御  | 3室2厅 | 165.22平米 | 南 | 精装', '低楼层(共35层)板楼  -  老西门', '2100万', '单价127104元/平米')
('https://image1.ljcdn.com/310000-inspection/07ac3c9e-37af-4689-b325-7f99b0661784.jpg.296x216.jpg', '肇嘉浜路陕西南路 笋盘复式 全南户型 嘉善路地铁站', '德玛公寓  | 2室2厅 | 123.09平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2006年建板楼  -  打浦桥', '1200万', '单价97490元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc9686586-97a9-46df-b879-236b0db8579b.jpg.296x216.jpg', '新家坡园景苑 4室3厅 1850万', '新家坡园景苑  | 4室3厅 | 199.44平米 | 南 | 其他 | 有电梯', '低楼层(共18层)1999年建板楼  -  五里桥', '1850万', '单价92760元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf7951b7d-3a1c-491e-8921-f3de2500f2e4.jpg.296x216.jpg', '新地苑全南户型，2房朝南厅朝南，豪·华装修拎包入住', '新地苑  | 3室2厅 | 118.85平米 | 南 | 精装 | 有电梯', '中楼层(共29层)1999年建板楼  -  豫园', '900万', '单价75726元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171021/09ea2103-37a1-4a4a-8263-27e921f00a76.jpg.296x216.jpg', '外滩豫园板块，罕见东边套，高区楼层景观好，业主诚售', '佳成大厦(公寓)  | 2室2厅 | 110.07平米 | 西南 | 精装 | 有电梯', '高楼层(共17层)2006年建塔楼  -  豫园', '1200万', '单价109022元/平米')
('https://image1.ljcdn.com/310000-inspection/90c0f5f3-df33-446d-8b5f-5d2fae322ca9.jpg.296x216.jpg', '淮海中路品质小区巨鹿路153号 延中公园旁次顶楼大三房', '紫勋雍邸  | 3室2厅 | 198.85平米 | 南 | 精装 | 有电梯', '高楼层(共19层)板楼  -  淮海中路', '2500万', '单价125723元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadecf65c9f-1d42-4309-bfd3-d612565362e8.jpg.296x216.jpg', '满五年精装自住保养好，所属居委和蓬莱二相同！', '光启南路80号  | 2室1厅 | 39.34平米 | 东 | 精装 | 有电梯', '高楼层(共7层)1990年建板楼  -  董家渡', '530万', '单价134723元/平米')
('https://image1.ljcdn.com/310000-inspection/6e14ecf1-709d-45d1-b5b2-ae3375fb22a0.jpg_600x450.jpg.296x216.jpg', '济南路8号 1室2厅 1405万', '济南路8号  | 1室2厅 | 108平米 | 北 | 精装 | 有电梯', '中楼层(共31层)塔楼  -  新天地', '1405万', '单价130093元/平米')
('https://image1.ljcdn.com/310000-inspection/ab132323-2572-4c9b-857e-606054d1840e.jpg.296x216.jpg', '婚房装修 两室一厅户型 赠送15平露台 满五税费少', '局后小区  | 2室1厅 | 43.88平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1982年建板楼  -  五里桥', '459万', '单价104604元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload7471852e-a140-4d6a-a4bc-8647fecaf77e.jpg.296x216.jpg', '蓬莱公园，保养好，业主诚意，精装修南北，满五', '海南西弄  | 2室2厅 | 49.56平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1993年建板楼  -  蓬莱公园', '500万', '单价100888元/平米')
('https://image1.ljcdn.com/310000-inspection/c32f28fa-25ac-4a3e-836d-2f251ecc5690.jpg.296x216.jpg', '改小两房+小区前排+采光不挡+唯一税费少=好房子', '南园新村  | 1室1厅 | 39.98平米 | 东南 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  打浦桥', '320万', '单价80041元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170816/a3ad9f93-f338-476b-a9e6-8b307505ddec.jpg.296x216.jpg', '卢湾3中.心+新天地核.心地段+租金高+带高.端会所', '香港广场  | 3室2厅 | 127.41平米 | 东南 | 精装', '高楼层(共38层)1997年建板楼  -  新天地', '1180万', '单价92615元/平米')
('https://image1.ljcdn.com/310000-inspection/dc7fa1f4-4585-404c-ae11-320bc1b16bf5.jpg.296x216.jpg', '板式3房，采光好，得房率高，产权清晰，小区景观位置', '汇龙新城  | 3室2厅 | 156.85平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2002年建板楼  -  五里桥', '1688万', '单价107619元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade1551b7f-5fc7-4b21-aa88-f3da504a871a.jpg.296x216.jpg', '西凌新邨 2室1厅 560万', '西凌新邨  | 2室1厅 | 62.19平米 | 南 北 | 简装 | 有电梯', '高楼层(共32层)1994年建塔楼  -  蓬莱公园', '560万', '单价90047元/平米')
('https://image1.ljcdn.com/310000-inspection/f4d01eaf-f939-4b4d-8f1a-e79edab6b6dc.jpg.296x216.jpg', '全南高区大三房，满5唯一，业主急售，看房随时看', '瑞金新苑  | 3室2厅 | 174平米 | 南 | 精装 | 有电梯', '高楼层(共28层)1998年建板楼  -  新天地', '1480万', '单价85058元/平米')
('https://image1.ljcdn.com/310000-inspection/test-90bb2e6c-5e13-470a-a765-81dae269c2ca.png.296x216.jpg', '诚意出售 售后公房 有钥匙看房方便', '打浦路303弄  | 1室0厅 | 27.93平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1964年建板楼  -  打浦桥', '235万', '单价84139元/平米')
('https://image1.ljcdn.com/310000-inspection/63fcb065-9fa0-481a-a96f-0603fb81b09a.jpg.296x216.jpg', '小区同户型未挂在售1150万满五唯一，详情私聊同业勿扰', '金外滩花园  | 2室2厅 | 136平米 | 南 | 精装 | 有电梯', '低楼层(共27层)板楼  -  黄浦滨江', '1600万', '单价117648元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6587609b-5aad-47a1-a731-ce4135af2c95.jpg.296x216.jpg', '山西小区精装一房，厨卫全明，繁华南京路，近地铁！', '山西小区  | 1室1厅 | 39平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1984年建板楼  -  南京东路', '365万', '单价93590元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170818/4df18f3d-097d-4d74-8544-def2f47c2f2d.jpg.296x216.jpg', '《历史文化性建筑  近外滩南京东路步行街  诚意出售》', '福州大楼  | 1室1厅 | 65.5平米 | 东 | 精装 | 有电梯', '中楼层(共14层)1934年建板楼  -  南京东路', '610万', '单价93130元/平米')
('https://image1.ljcdn.com/310000-inspection/fbedef24-8c62-4e17-8882-c7be8dc4c54a.jpg.296x216.jpg', '威海苑三房朝南，厅朝南，单价低，产权干净，诚意出售', '威海苑  | 3室2厅 | 160.81平米 | 南 | 精装 | 有电梯', '高楼层(共18层)1999年建塔楼  -  人民广场', '1120万', '单价69648元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload7cfedc7c-702b-4fa3-b4c7-0735d9ce6ab7.jpg.296x216.jpg', '高区大1房可以改2房，朝南采光全天候，产权清晰', '淡水湾花园  | 1室2厅 | 88.91平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2007年建板楼  -  新天地', '1000万', '单价112474元/平米')
('https://image1.ljcdn.com/310000-inspection/test-23a4253c-c6b2-4e32-87a4-e6dbf811ccfb.png.296x216.jpg', '超低价，买到赚到，3南1东厅朝东，变现急售先到先得', '唐城公寓  | 4室2厅 | 184.53平米 | 南 | 精装 | 有电梯', '高楼层(共28层)1998年建板楼  -  老西门', '1200万', '单价65031元/平米')
('https://image1.ljcdn.com/310000-inspection/test-df4895ab-61e8-48be-802b-116a42f9cc06.png.296x216.jpg', '1梯2户 满五不唯一 小区前排 地铁口旁 看房联系维护人', '中汇公寓  | 3室2厅 | 138.22平米 | 南 | 精装 | 有电梯', '中楼层(共10层)2002年建板楼  -  五里桥', '1300万', '单价94053元/平米')
('https://image1.ljcdn.com/310000-inspection/b2baa561-f3c1-4423-a721-0a64a7185a2d.jpg.296x216.jpg', '业主诚意出售，满五年税费少，价格实惠，可做三房，', '丽南公寓  | 2室2厅 | 122.76平米 | 东北 | 简装 | 有电梯', '中楼层(共19层)1999年建板楼  -  蓬莱公园', '760万', '单价61910元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload83a850f9-5b81-46ff-9cf0-ec86a783d071.jpg.296x216.jpg', '精装 正气双南 满五 房东诚意出售', '东晖花苑  | 2室2厅 | 90.58平米 | 南 | 其他 | 有电梯', '低楼层(共31层)1999年建塔楼  -  打浦桥', '768万', '单价84787元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada8b83f2d-7fb7-4571-9377-04bd3b1b076a.jpg.296x216.jpg', '业主诚意出售 带产权车位 房型正气 楼层佳 看房方便', '新家坡园景苑  | 3室2厅 | 108.55平米 | 南 | 简装 | 有电梯', '中楼层(共37层)1999年建塔楼  -  五里桥', '1000万', '单价92124元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170917/a17f070c-6d59-4f23-937f-5a55a303c3ca.jpg.296x216.jpg', '【到价即签】【刚需大两房】【采光全天无遮挡】值得看', '南花苑  | 2室2厅 | 87平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1997年建板楼  -  董家渡', '810万', '单价93104元/平米')
('https://image1.ljcdn.com/310000-inspection/ec6df3f6-ee87-4191-8052-73e76bbe9798.jpg.296x216.jpg', '卢湾滨江板块，地铁4/13，满5年，近公园，黄浦江', '申龙大楼  | 2室1厅 | 79.77平米 | 南 | 其他 | 有电梯', '低楼层(共16层)1989年建塔楼  -  世博滨江', '615万', '单价77097元/平米')
('https://image1.ljcdn.com/310000-inspection/1db83d88-3834-44f6-8d39-73638f44bbda.jpg.296x216.jpg', '海琪园 2室2厅 1200万', '海琪园  | 2室2厅 | 119.21平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2003年建板楼  -  黄浦滨江', '1200万', '单价100663元/平米')
('', '房型正带地暖 品质小区房源少 楼层好视野佳 有车位', '扬子江家园  | 2室2厅 | 110.94平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2005年建板楼  -  打浦桥', '1110万', '单价100055元/平米')
('https://image1.ljcdn.com/310000-inspection/0dd6ad59-b5bb-48a1-be6b-697f52a89a4b.jpg.296x216.jpg', '满五不唯一，产权一人，朝南一室户，居家装修', '蒙西小区  | 1室1厅 | 40.46平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1992年建板楼  -  五里桥', '350万', '单价86506元/平米')
('https://image1.ljcdn.com/310000-inspection/test-09ac5293-c1cb-482e-8c97-338eee24a6a9.png.296x216.jpg', '南北通透+三房一厅格局+售后公房唯一+有钥匙+电梯房', '西凌新邨  | 3室1厅 | 102.74平米 | 南 北 | 简装 | 有电梯', '中楼层(共32层)1993年建塔楼  -  蓬莱公园', '770万', '单价74947元/平米')
('https://image1.ljcdn.com/310000-inspection/8aced041-28e0-41b0-9672-06ed3511acca.jpg.296x216.jpg', '业主回国诚售+新天地板块+单价低于10万', '复兴苑  | 2室2厅 | 110.12平米 | 南 | 简装 | 有电梯', '中楼层(共32层)1998年建塔楼  -  新天地', '1050万', '单价95351元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadef707281-e3a4-4dc2-984b-0877310575a3.jpg.296x216.jpg', '边套全明 精装修 户型正气 总价低', '斜土路550弄  | 1室1厅 | 41.24平米 | 东 南 | 其他 | 无电梯', '低楼层(共6层)1979年建板楼  -  五里桥', '315万', '单价76383元/平米')
('https://image1.ljcdn.com/310000-inspection/1d349523-6df4-40b3-93b2-6df74c610b9b.jpg.296x216.jpg', '泰康路上，近田子坊，日月光小三房，90后观房，带车位', '徐家汇路454弄  | 3室1厅 | 84.94平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1994年建板楼  -  打浦桥', '690万', '单价81234元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171119/4988756a-a94b-40f5-90ab-d131a5d97196.jpg.296x216.jpg', '内环70年住宅产权，经典LOFT复式，钥匙在手，看房无忧', '中福花苑  | 1室1厅 | 42.46平米 | 北 | 精装 | 有电梯', '高楼层(共15层)2003年建板楼  -  蓬莱公园', '370万', '单价87141元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170228/22962305-0798-4c29-b5ec-d4ab21597719.jpg.296x216.jpg', '婚房精装修两房   厨卫全明  单价低税费少', '新家坡园景苑  | 2室1厅 | 76.73平米 | 南 | 精装 | 有电梯', '低楼层(共33层)1999年建塔楼  -  五里桥', '680万', '单价88623元/平米')
('https://image1.ljcdn.com/310000-inspection/af6ca03c-20f3-4d52-8773-230d9025d51d.jpg.296x216.jpg', '97年竣工新工房 售后公房 无增值税 1梯2户 南北通', '瞿二小区  | 3室1厅 | 91平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1997年建板楼  -  蓬莱公园', '800万', '单价87913元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fe0728ec-f08c-443f-a313-d43f513da01b.png.296x216.jpg', '【全新装修】【地暖】【边间套】【全落地窗】可看房', '翠湖天地嘉苑  | 3室2厅 | 182.34平米 | 南 北 | 精装 | 有电梯', '低楼层(共35层)2008年建板楼  -  新天地', '2950万', '单价161786元/平米')
('https://image1.ljcdn.com/310000-inspection/8b83ea5d-064e-4e29-9253-225c896173d7.jpg.296x216.jpg', '看房方便，好楼层，房子产权干净，社区生活气息浓郁', '蒙西小区  | 1室1厅 | 40.46平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  五里桥', '380万', '单价93920元/平米')
('https://image1.ljcdn.com/310000-inspection/test-efda3e01-2254-45ba-85f5-9446da09553a.png.296x216.jpg', '小区前排视野无遮挡双南全明2房近9号线13号线马当路站', '北蒙三小区  | 2室1厅 | 48.5平米 | 南 | 简装 | 有电梯', '中楼层(共7层)1989年建板楼  -  五里桥', '410万', '单价84537元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151223/e2e055eb-016a-4510-b308-a2dde042cf5b.jpg.296x216.jpg', '满五唯一年全明户型交通便利诚意出售价格可谈烫金地段', '海珀日晖  | 3室2厅 | 315.85平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共22层)2010年建板楼  -  世博滨江', '3050万', '单价96565元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1f6de971-4899-4f26-9128-4dfb5b3938c7.jpg.296x216.jpg', '诚意出售+ 03年买进+电梯小两房+边套全明户型', '百汇大厦  | 2室0厅 | 50.74平米 | 东 东南 | 简装 | 有电梯', '中楼层(共23层)1994年建塔楼  -  五里桥', '440万', '单价86717元/平米')
('https://image1.ljcdn.com/310000-inspection/718d27ee-b102-4c34-9a95-8f7fe20f099d.jpg.296x216.jpg', '94年新公房，朝南一室，楼层好，采光不挡，业主诚意。', '蒙自路380弄  | 1室1厅 | 41.17平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1994年建板楼  -  五里桥', '335万', '单价81370元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload680b0d41-d876-4320-aa0b-355e307631f9.jpg.296x216.jpg', '建国中路1弄，单价低，总价低，住宅产权，房型正气', '建国大厦  | 3室2厅 | 131.92平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共24层)塔楼  -  打浦桥', '950万', '单价72014元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/93eced90-0e9d-4492-b8ff-64d95a2cdb00.png.280x210.jpg', '空间大，售后公房，满五税费少，新装修，卢湾一中.心', '健乐小区  | 2室0厅 | 55.75平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1984年建板楼  -  新天地', '700万', '单价125561元/平米')
('https://image1.ljcdn.com/310000-inspection/e2606f1c-e7dd-407f-b0b3-6a64c11a886b.jpg.296x216.jpg', '2001年小区，全南户型，看江景，近公园，地铁4/13号线', '中辉新苑  | 2室2厅 | 87.06平米 | 南 | 其他', '中楼层(共17层)2001年建板楼  -  世博滨江', '835万', '单价95911元/平米')
('https://image1.ljcdn.com/310000-inspection/b3346f03-6aeb-42ca-9cc6-412970e60e05.jpg.296x216.jpg', '新中苑 3室2厅 1200万', '新中苑  | 3室2厅 | 145.72平米 | 南 | 精装 | 有电梯', '中楼层(共31层)1999年建板楼  -  蓬莱公园', '1200万', '单价82350元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170910/9b31c939-000e-4018-8e16-30c37fde1455.jpg.296x216.jpg', '旺气户型、高区一览太平湖！给力四房、重新打造精装修', '翠湖天地御苑  | 4室2厅 | 291.45平米 | 南 北 | 精装 | 有电梯', '中楼层(共30层)2006年建板楼  -  新天地', '5800万', '单价199005元/平米')
('https://image1.ljcdn.com/310000-inspection/7b70433e-0cba-41ab-b172-ead3b4ecb791.jpg.296x216.jpg', '三轨围绕，四楼朝南一室半，业主自住精装修可拎包入住', '蒙自新村  | 1室1厅 | 32.34平米 | 南 | 其他 | 有电梯', '中楼层(共7层)1989年建板楼  -  五里桥', '288万', '单价89054元/平米')
('https://image1.ljcdn.com/310000-inspection/test-71accec2-d3a5-495f-9f3f-ae509cdd6293.png.296x216.jpg', '次新小区+黄浦滨江板块+董家渡金+品质小区+高区采光足', '外滩公馆  | 3室2厅 | 140平米 | 南 | 精装 | 有电梯', '高楼层(共35层)2015年建板楼  -  董家渡', '1500万', '单价107143元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9287acb4-4005-44a0-8f00-05afc437f3f4.png.296x216.jpg', '业主蕞诚意出售四房，有露台有车位，看中价格可以谈', '士林华苑  | 4室2厅 | 196.92平米 | 南 | 毛坯 | 有电梯', '低楼层(共25层)2007年建板楼  -  豫园', '2000万', '单价101565元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/test-fdb7aae4-7686-4e6e-a9f6-412b77bbcd5d.png.280x210.jpg', '泰康路上海那么大有房才有家！精装小户型，低总价', '永泰公寓  | 3室2厅 | 113.42平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1994年建板楼  -  打浦桥', '750万', '单价66126元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1c9ff872-bdf0-4db1-a150-a2ec99cc2a97.jpg.296x216.jpg', '斜桥公寓8、9号线老西门陆家浜站+黄浦学.校九年制、', '斜桥公寓  | 2室1厅 | 78.7平米 | 南 | 精装 | 有电梯', '高楼层(共24层)1991年建塔楼  -  老西门', '680万', '单价86405元/平米')
('https://image1.ljcdn.com/310000-inspection/0b51e80a-b0eb-44c2-b28b-1b6a9f89d0dc.jpg.296x216.jpg', '双南双阳台，视野不遮挡，五年售后公房，没有费用！！', '南园小区  | 2室1厅 | 64.58平米 | 南 北 | 精装 | 有电梯', '低楼层(共24层)1992年建塔楼  -  打浦桥', '500万', '单价77424元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180123/2cc3e95f-841b-4d7c-8e92-fc17655e99ad.jpg.296x216.jpg', '满两年全明户型。带产权车位。全新装修。随时看房。', '耀江花园  | 3室2厅 | 151.83平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2006年建板楼  -  世博滨江', '1980万', '单价130410元/平米')
('https://image1.ljcdn.com/310000-inspection/c9d09f08-eaa5-4796-9438-702e36cd2d79.jpg.296x216.jpg', '市区难得顶楼复式+顶楼露台+景观棒+随时可看+诚售', '金日世家  | 4室3厅 | 215.59平米 | 南 北 | 精装 | 有电梯', '高楼层(共29层)2006年建板楼  -  蓬莱公园', '1750万', '单价81173元/平米')
('https://image1.ljcdn.com/310000-inspection/87e5a123-ae6e-441d-b261-6e1e461b3f36.jpg.296x216.jpg', '两房朝南采光不挡，价格可谈诚意卖，出门卢湾实验', '运泰公寓  | 3室2厅 | 129.59平米 | 南 | 精装 | 有电梯', '中楼层(共25层)1999年建塔楼  -  五里桥', '1180万', '单价91057元/平米')
('https://image1.ljcdn.com/shfdfs-image/2013/0902/1DFC916018794A8D9283B1BA5D26F9E9.jpg.296x216.jpg', '满五唯一   精装修    地理位置好', '太阳都市花园  | 3室2厅 | 178.84平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2003年建板楼  -  豫园', '1500万', '单价83874元/平米')
('https://image1.ljcdn.com/310000-inspection/9c9a3f46-69fb-4832-854d-e734e25194f9.jpg.296x216.jpg', '买进价格高，两年前装修，保养好，拎包入住，停车方便', '海华花园  | 3室2厅 | 115.22平米 | 南 | 精装 | 有电梯', '低楼层(共33层)1994年建塔楼  -  打浦桥', '950万', '单价82451元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/7e2b1dd3-83f0-413d-969d-30880d0db7ac.png.280x210.jpg', '陕西南路瑞雪大楼电梯房 户型方正 税费各付', '瑞雪大楼  | 2室1厅 | 56.46平米 | 西南 | 精装 | 有电梯', '中楼层(共18层)1991年建塔楼  -  淮海中路', '560万', '单价99186元/平米')
('https://image1.ljcdn.com/310000-inspection/0bfa9f2c-04f6-4b69-a7a7-08a505bc23bf.jpg.296x216.jpg', '朝南一室半+高区 +采光无遮挡', '蒙西小区  | 1室1厅 | 37.52平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1993年建板楼  -  五里桥', '320万', '单价85288元/平米')
('https://image1.ljcdn.com/shfdfs-image/20141119/c6318317-0db8-49ed-a222-341d547e1437.jpg.296x216.jpg', '豫景公寓 3室2厅 1150万', '豫景公寓  | 3室2厅 | 142.17平米 | 东南 | 精装 | 有电梯', '低楼层(共27层)2000年建塔楼  -  蓬莱公园', '1150万', '单价80890元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c637fcfc-52be-4152-8df7-f618d3fd88c7.png.296x216.jpg', '阳光翠竹苑 2室2厅 790万', '阳光翠竹苑  | 2室2厅 | 84.13平米 | 西南 | 精装 | 有电梯', '高楼层(共33层)2004年建塔楼  -  董家渡', '790万', '单价93903元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/91c37520-5d84-496a-9554-f72dcb1345d2.png.280x210.jpg', '主卧朝南带阳台，次卧朝北，光线好，无遮挡，电梯！', '西凌新邨  | 2室1厅 | 68.85平米 | 南 | 精装 | 有电梯', '低楼层(共32层)1993年建塔楼  -  蓬莱公园', '600万', '单价87146元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada8d67717-934a-4bfe-9e75-68b4d6ffecbc.jpg.296x216.jpg', '满五年唯一，07年房龄，电梯小高层。小区品质很好。', '海上梦苑  | 2室2厅 | 119.59平米 | 南 | 其他 | 有电梯', '低楼层(共8层)2007年建板楼  -  五里桥', '1188万', '单价99340元/平米')
('https://image1.ljcdn.com/310000-inspection/ac18d225-ca2a-4201-8d3c-9f8eb1e719d4.jpg.296x216.jpg', '边套全明一室一厅 楼层好采光好通风好 满五唯一', '打浦路210弄  | 1室1厅 | 40.89平米 | 东 | 简装 | 无电梯', '中楼层(共5层)1987年建板楼  -  打浦桥', '350万', '单价85596元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3c0b89d3-e461-4c6c-96dd-bcbf15037ded.jpg.296x216.jpg', '邻蓬（莱2（小+各付各税+低单价+业主诚意+有钥匙', '蓬莱路303弄  | 1室1厅 | 39.13平米 | 北 | 简装 | 无电梯', '中楼层(共4层)1912年建板楼  -  豫园', '430万', '单价109891元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cc4d6475-9a14-43ab-bb1f-73b7d8c5f6ec.png.296x216.jpg', '户型正气有车位  中海物业 人车分流 高区采光五遮挡。', '海悦花园  | 3室2厅 | 149.4平米 | 南 北 | 精装 | 有电梯', '中楼层(共31层)2004年建板楼  -  打浦桥', '1500万', '单价100402元/平米')
('https://image1.ljcdn.com/310000-inspection/667acc33-a756-4ca1-bc14-d7d4514939f1.jpg.296x216.jpg', '新华南园大厦 2室2厅 1080万', '新华南园大厦  | 2室2厅 | 123.59平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2003年建板楼  -  世博滨江', '1080万', '单价87386元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7a22fc00-5bd0-42df-b0ef-a71f38a9edde.png.296x216.jpg', '董家渡金融城 海琪园 南北通透 小南门地铁站', '海琪园  | 2室2厅 | 119.21平米 | 南 北 | 简装 | 有电梯', '低楼层(共31层)2003年建板楼  -  黄浦滨江', '1100万', '单价92275元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160116/2b56e28d-42ab-401e-b5a2-90f7f5e93c49.jpg.296x216.jpg', '老客户委托急售，价格是硬道理，位置好，价格还有空间', '明日星城  | 2室2厅 | 95.18平米 | 南 | 简装 | 有电梯', '低楼层(共34层)2002年建板楼  -  董家渡', '820万', '单价86153元/平米')
