('https://image1.ljcdn.com/610100-inspection/f45f11cd-1807-4376-bd53-a2e2e5aa712d.jpg.296x216.jpg', '配套齐全，教育医疗交通都很方便 标准两居室', '御锦城V青年  ', '中楼层(共34层)塔楼  -  浐灞', '103万', '单价14110元/平米')
('https://image1.ljcdn.com/610100-inspection/f684f4a2-c7d9-45a0-b33e-3cd86b68504a.jpg.296x216.jpg', '浐灞半岛A11区 毛坯三室 满五满二 产证在手', '浐灞半岛A11区  ', '中楼层(共27层)板塔结合  -  浐灞', '205万', '单价16180元/平米')
('https://image1.ljcdn.com/610100-inspection/7c4fdf57-5f56-43ba-af27-3cd9892d0c7d.jpg.296x216.jpg', '长乐坡 龙湖香醍国际社区 大三居 毛坯 业主急售', '龙湖香醍国际社区  ', '中楼层(共10层)暂无数据  -  浐灞', '260万', '单价17932元/平米')
('https://image1.ljcdn.com/610100-inspection/5eb3711b-3f5e-418a-bea7-660391f7499f.jpg.296x216.jpg', '龙湖香醍 二期洋房 满五满二带露台 业主靠谱签约', '龙湖香醍国际社区  ', '低楼层(共9层)暂无数据  -  浐灞', '300万', '单价20690元/平米')
('https://image1.ljcdn.com/610100-inspection/d011598b-9365-4433-9f00-e4905d4a2253.jpg.296x216.jpg', '大三室 南北通透 户型方正 满5满2 靠谱签约', '金裕青青家园  ', '高楼层(共6层)塔楼  -  浐灞', '120万', '单价9701元/平米')
('https://image1.ljcdn.com/610100-inspection/0081d2e8-da57-44a0-8e53-fb8e31451f28.jpg.296x216.jpg', '罗马两居业主靠谱出售看房方便小区环境优美', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '83万', '单价20688元/平米')
('https://image1.ljcdn.com/610100-inspection/81d333f9-f985-41b0-991d-38810db60609.jpg.296x216.jpg', '浐灞优选三居 南北通透全名格局 地铁房', '浐灞半岛A10区  ', '高楼层(共17层)板塔结合  -  浐灞', '300万', '单价21743元/平米')
('https://image1.ljcdn.com/610100-inspection/bacfa922-d523-4395-8662-82a4167b5c09.jpg.296x216.jpg', '近地铁口，南北通透毛坯两室，价格低，好上学，环境好', '浐灞半岛A6区  ', '中楼层(共18层)板塔结合  -  浐灞', '108万', '单价13528元/平米')
('https://image1.ljcdn.com/610100-inspection/2dcbc616-1ac7-4b9b-908e-555a9e5af54c.jpg.296x216.jpg', '浐灞生态区，桃花潭地铁口，尊享精装四居，高赠送面积', '振业泊墅  ', '低楼层(共32层)板楼  -  浐灞', '450万', '单价17308元/平米')
('https://image1.ljcdn.com/610100-inspection/88dcf9d2-0628-439e-bbe9-769698b123e0.jpg.296x216.jpg', '浐灞半岛A6，满3满2，2室中装，诚意出售', '浐灞半岛A6区  ', '低楼层(共11层)板塔结合  -  浐灞', '110万', '单价13804元/平米')
('https://image1.ljcdn.com/610100-inspection/3a162719-bb90-46dc-840e-1cdbd5607c39.jpg.296x216.jpg', '御锦城萨拉曼卡 3室2厅 240万', '御锦城萨拉曼卡  ', '高楼层(共9层)板楼  -  浐灞', '240万', '单价18046元/平米')
('https://image1.ljcdn.com/610100-inspection/790fb601-d2ea-48cd-b6a6-aeb223dc9151.jpg.296x216.jpg', '灞桥 龙湖香醍国际社区底跃  二跃三 毛坯  看房随时', '龙湖香醍国际社区  ', '低楼层(共6层)板塔结合  -  浐灞', '400万', '单价16065元/平米')
('https://image1.ljcdn.com/610100-inspection/d3a75375-6dd5-414f-84f2-e494f24f5350.jpg.296x216.jpg', '御锦城四期 三室毛坯 满三过二 看房提前约 可按揭', '御锦城时代ICON  ', '高楼层(共31层)板塔结合  -  浐灞', '130万', '单价14711元/平米')
('https://image1.ljcdn.com/610100-inspection/99ec2e09-a455-4c50-8bc3-ec6b676c00fe.jpg.296x216.jpg', '广泰门地铁口精装三居室 满3满2 业主靠谱出售', '上上墅  ', '低楼层(共18层)板塔结合  -  浐灞', '90万', '单价19921元/平米')
('https://image1.ljcdn.com/610100-inspection/a180bed1-60da-496b-abaf-129f28fa63b0.jpg.296x216.jpg', '精装平层四室，三代同堂，让您充分体验家的感觉。', '浐灞半岛A15区  ', '低楼层(共18层)板塔结合  -  浐灞', '350万', '单价15982元/平米')
('https://image1.ljcdn.com/610100-inspection/e5069af9-4e25-457e-8716-88249ebb9aca.jpg.296x216.jpg', '纯南两居 户型方正满二无增值税 采光好精装修独立物业', '浐灞半岛A13区  ', '低楼层(共28层)板塔结合  -  浐灞', '135万', '单价15654元/平米')
('https://image1.ljcdn.com/610100-inspection/8ffad1cc-983f-4e79-a68a-4006b019a120.jpg.296x216.jpg', '南向大两居 LOFT 高楼层 采光好 看房方便', '东方罗马花园  ', '高楼层(共10层)板楼  -  浐灞', '113万', '单价22377元/平米')
('https://image1.ljcdn.com/610100-inspection/5d110ef3-2e21-4519-89be-c222c2c06a8e.jpg.296x216.jpg', '沁水新城 毛坯大四居 全明户型  南北通透', '沁水新城  ', '高楼层(共24层)板塔结合  -  浐灞', '205万', '单价12463元/平米')
('https://image1.ljcdn.com/610100-inspection/f59aaa1a-d37e-40a2-be7c-58f4d3a5c7b5.jpg.296x216.jpg', '翠屏湾二期，环境优美，离地铁口近，交通便利', '翠屏湾二期  ', '中楼层(共20层)塔楼  -  浐灞', '71万', '单价24028元/平米')
('https://image1.ljcdn.com/610100-inspection/300f86cd-84a3-4728-b84b-035770448577.jpg.296x216.jpg', '复式两居  南北通透  小区环境优美   地铁近', '东方罗马花园  ', '中楼层(共16层)板塔结合  -  浐灞', '95万', '单价21051元/平米')
('https://image1.ljcdn.com/610100-inspection/d2c3a9f3-721a-49bd-9d0b-8d98886af10d.jpg.296x216.jpg', '御锦城时代ICON 两室毛坯 纯南朝向 中间楼层 地铁口', '御锦城时代ICON  ', '中楼层(共32层)板塔结合  -  浐灞', '136万', '单价15223元/平米')
('https://image1.ljcdn.com/610100-inspection/d0f36a6a-b8a4-4229-ae32-b646128fb279.jpg.296x216.jpg', '满五年 看房有钥匙 产权清晰 诚意出售 精装保持好', '沁水新城  ', '低楼层(共24层)板塔结合  -  浐灞', '126万', '单价13844元/平米')
('https://image1.ljcdn.com/610100-inspection/40de24a4-e1ea-45a9-9dad-ece536e2832a.jpg.296x216.jpg', '浐河地铁口 水岸东方2期 南北通透 两室两厅 宜居小区', '水岸东方2期  ', '低楼层(共18层)板塔结合  -  浐灞', '140万', '单价14208元/平米')
('https://image1.ljcdn.com/610100-inspection/a450cb01-e203-4fd1-9076-138f343cd6dd.jpg.296x216.jpg', '水岸东方二期  三室 靠谱出售', '水岸东方2期  ', '中楼层(共26层)板塔结合  -  浐灞', '185万', '单价13153元/平米')
('https://image1.ljcdn.com/610100-inspection/50d979cd-7b19-40c8-ab05-55b3cc818643.jpg.296x216.jpg', '浐灞半岛A14区河景房，楼层适中，南北通透，三室+书房', '浐灞半岛A14区  ', '中楼层(共24层)板塔结合  -  浐灞', '230万', '单价16239元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload50b3de61-72c9-4702-96dc-8fba8d0765d9.jpg.296x216.jpg', '翠屏湾一期底层一居室，社区环境优美，配套成熟', '翠屏湾1期  ', '低楼层(共18层)板塔结合  -  浐灞', '95万', '单价18270元/平米')
('https://image1.ljcdn.com/610100-inspection/5d736674-8845-420d-9b61-ef32760c5ef6.jpg.296x216.jpg', '世园会旁 振业泊墅 精装三室 产权满二 只为懂品味的您', '振业泊墅  ', '中楼层(共33层)板塔结合  -  浐灞', '300万', '单价23623元/平米')
('https://image1.ljcdn.com/610100-inspection/f52b4085-8243-4ece-910c-15d4f8899b8b.jpg.296x216.jpg', '御锦城2期鹭湾 3室2厅1厨2卫 带车位 满5满2 南北', '御锦城鹭湾  ', '高楼层(共24层)暂无数据  -  浐灞', '195万', '单价15600元/平米')
('https://image1.ljcdn.com/610100-inspection/2797eb49-9c77-410b-9250-afb9fd9dbc0f.jpg.296x216.jpg', '御锦城五期 乔治的公园 简装三室 拎包入住 环境优美', '御锦城乔治de公园  ', '低楼层(共18层)板塔结合  -  浐灞', '136万', '单价15723元/平米')
('https://image1.ljcdn.com/610100-inspection/5f1531a7-ccd4-40dd-8c78-f33b7ee13dc1.jpg.296x216.jpg', '满三满二，精装修全明户型，靠谱出售。', '上上墅  ', '高楼层(共18层)板塔结合  -  浐灞', '98万', '单价23564元/平米')
('https://image1.ljcdn.com/610100-inspection/c285be8e-9fff-4a37-abf4-0d8eb73953b2.jpg.296x216.jpg', '御锦城V青年，满五满二，三室两厅一厨一卫，诚意出售', '御锦城V青年  ', '高楼层(共34层)塔楼  -  浐灞', '150万', '单价15577元/平米')
('https://image1.ljcdn.com/610100-inspection/a912240c-bb2b-4b4a-8d00-0ae01ba08bab.jpg.296x216.jpg', '桃花潭旁，浐灞半岛，精装复式，产权清晰，看房有钥匙', '浐灞半岛A10区  ', '高楼层(共31层)板塔结合  -  浐灞', '195万', '单价12192元/平米')
('https://image1.ljcdn.com/610100-inspection/c65be2d1-e52a-4d7d-8271-c6fa1781f8a9.jpg.296x216.jpg', '浐灞半岛毛坯三室出售，楼层好，位置佳，看房方便', '浐灞半岛A11区  ', '高楼层(共27层)板塔结合  -  浐灞', '220万', '单价17312元/平米')
('https://image1.ljcdn.com/610100-inspection/89fea69e-9dda-44c7-8ad0-fda0e956cdd4.jpg.296x216.jpg', '浐灞生态区地铁口 灞河边 大社区 环境好', '浐灞半岛A6区  ', '中楼层(共11层)板塔结合  -  浐灞', '185万', '单价16093元/平米')
('https://image1.ljcdn.com/610100-inspection/91693438-dbaf-4056-bd70-cd582d03b6c9.jpg.296x216.jpg', '标准一室一厅，平层，精装修，房本在售，靠谱出售', '东方罗马花园  ', '低楼层(共27层)板塔结合  -  浐灞', '59万', '单价14843元/平米')
('https://image1.ljcdn.com/610100-inspection/1f8c8703-fb28-4a53-a3cf-3b29818cb96c.jpg.296x216.jpg', '绿化高 宜居 水岸东方 地铁口  交通方便 3室改善户型', '水岸东方1期  ', '低楼层(共28层)塔楼  -  浐灞', '165万', '单价13576元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload2fa95ad6-02b7-4d95-b3e7-1843ceb059c9.jpg.296x216.jpg', '御锦城一期，交通便利，精装全带，位置优，满三满二', '御锦城原香  ', '中楼层(共18层)板塔结合  -  浐灞', '165万', '单价13032元/平米')
('https://image1.ljcdn.com/610100-inspection/bcd038d5-0f28-41d7-98d1-46bd545cf755.jpg.296x216.jpg', '东方罗马花园 精装修 业主诚心出售', '东方罗马花园  ', '中楼层(共16层)板塔结合  -  浐灞', '88万', '单价19556元/平米')
('https://image1.ljcdn.com/610100-inspection/c6964552-c82b-42d3-87db-b698d389c7d7.jpg.296x216.jpg', '御锦城萨拉曼卡 4室3厅1厨4卫，精装出售，满五满二', '御锦城萨拉曼卡  ', '中楼层(共8层)暂无数据  -  浐灞', '495万', '单价20644元/平米')
('https://image1.ljcdn.com/610100-inspection/3e127024-f3e0-4f1e-99be-f12077b747d6.jpg.296x216.jpg', '工行纺一路小区，俩室一厅一厨一卫，简单装修！', '工行纺一路小区  ', '中楼层(共6层)暂无数据  -  浐灞', '45万', '单价7451元/平米')
('https://image1.ljcdn.com/610100-inspection/8eb9ab86-0722-42cb-851f-d931e49df1d0.jpg.296x216.jpg', '上上墅 地铁 公交边 经典loft两层 开发商精装交付', '上上墅  ', '高楼层(共18层)暂无数据  -  浐灞', '115万', '单价24104元/平米')
('https://image1.ljcdn.com/610100-inspection/7a1d4409-7397-4ddd-a41a-c8549676bab7.jpg.296x216.jpg', '翠屏湾  满三满二  随时可看 诚心出售', '翠屏湾1期  ', '高楼层(共18层)塔楼  -  浐灞', '82万', '单价14366元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploada3d6925b-771a-4a83-ad37-82f564dcdd91.jpg.296x216.jpg', '御锦城 二期 鹭湾 一楼带花园', '御锦城鹭湾  ', '低楼层(共34层)板塔结合  -  浐灞', '372万', '单价24408元/平米')
('https://image1.ljcdn.com/610100-inspection/5e9ff2d6-ffcb-43d0-9317-4731d25489d5.jpg.296x216.jpg', '罗马嘉园复式两居 诚心出售 随时可看 中间楼层', '上上墅  ', '中楼层(共18层)板塔结合  -  浐灞', '88万', '单价19696元/平米')
('https://image1.ljcdn.com/610100-inspection/5292cc49-3446-4e31-b8d1-802fca5d71c7.jpg.296x216.jpg', '南北通透三居室，客厅主卧朝南带阳台，业主急售', '翠屏湾1期  ', '低楼层(共18层)塔楼  -  浐灞', '144万', '单价13091元/平米')
('https://image1.ljcdn.com/610100-inspection/8cd14822-e382-4f7b-a7d2-26660bd8fc83.jpg.296x216.jpg', '房子精装修，南北通透，名厨明卫', '浐灞半岛A14区  ', '低楼层(共24层)板塔结合  -  浐灞', '255万', '单价18093元/平米')
('https://image1.ljcdn.com/610100-inspection/76b75d0f-84d3-40e6-bc08-2f40ff6ee6df.jpg.296x216.jpg', '翠屏湾一期 地铁口 公交旁 百变大毛坯 好房不等人', '翠屏湾1期  ', '中楼层(共18层)板塔结合  -  浐灞', '110万', '单价13531元/平米')
('https://image1.ljcdn.com/610100-inspection/test-b676cb11-8670-4649-9adb-987ee3dc3f6d.png.296x216.jpg', '近地铁 环境好  满三满二 地下停车位 区内有幼儿园', '水岸东方1期  ', '高楼层(共18层)板塔结合  -  浐灞', '120万', '单价13794元/平米')
('https://image1.ljcdn.com/610100-inspection/417e4dbd-3efb-4fb5-b5c6-26ca9c9db1fb.jpg.296x216.jpg', '浐灞半岛A15区 精装修 业主诚心出售', '浐灞半岛A15区  ', '低楼层(共11层)板塔结合  -  浐灞', '130万', '单价14943元/平米')
('https://image1.ljcdn.com/610100-inspection/9675dd74-b2fb-401d-b1d2-63b6b9a9cf95.jpg.296x216.jpg', '丽水花都成熟社区生活配套齐全满三满二毛坯', '丽水花都  ', '低楼层(共18层)板楼  -  浐灞', '120万', '单价12349元/平米')
('https://image1.ljcdn.com/610100-inspection/3b11f442-7124-4f67-80de-3c8ec33f5f50.jpg.296x216.jpg', '小区环境舒适，大三室桃花潭公园旁', '华清园  ', '高楼层(共7层)板塔结合  -  浐灞', '126万', '单价7684元/平米')
('https://image1.ljcdn.com/610100-inspection/c6dbf035-f198-42a5-91c1-57e470e13904.jpg.296x216.jpg', '满五满二  纯南户型 精装两室  诚意出售', '水岸东方1期  ', '中楼层(共18层)板塔结合  -  浐灞', '129万', '单价14403元/平米')
('https://image1.ljcdn.com/610100-inspection/d2d69556-8eb7-4517-8466-e9468ad2ef99.jpg.296x216.jpg', '翠屏湾二期 地铁三号线辛家庙 矿山路 满五满二复式', '翠屏湾二期  ', '高楼层(共20层)塔楼  -  浐灞', '110万', '单价22459元/平米')
('https://image1.ljcdn.com/610100-inspection/ecff7785-8cbe-4dc3-b529-65f6f99ccab0.jpg.296x216.jpg', '此房满三满二，精装两居室，家具家电全配', '水岸东方3期  ', '低楼层(共27层)板塔结合  -  浐灞', '120万', '单价13004元/平米')
('https://image1.ljcdn.com/610100-inspection/1a541f59-762e-43af-b224-d576ca089805.jpg.296x216.jpg', '地铁口四室大赠送，公园旁，靠谱出手，品质小区', '振业泊公馆  ', '低楼层(共32层)板塔结合  -  浐灞', '280万', '单价22636元/平米')
('https://image1.ljcdn.com/610100-inspection/1e0bd88e-2c03-46f9-a4dc-9eb29b36ade9.jpg.296x216.jpg', '翠屏湾一期 矿山路 广泰门 满三可按揭 精装 拎包入住', '翠屏湾1期  ', '低楼层(共18层)板塔结合  -  浐灞', '135万', '单价14208元/平米')
('https://image1.ljcdn.com/610100-inspection/0897f88a-2a9b-494c-b8cd-77e6f4ce33d5.jpg.296x216.jpg', '金裕青青家园 3室2厅 149.9万', '金裕青青家园  ', '中楼层(共12层)板塔结合  -  浐灞', '149.9万', '单价10739元/平米')
('https://image1.ljcdn.com/610100-inspection/d775c69e-f4e1-4371-a5a0-7b382e2bd4f6.jpg.296x216.jpg', '翠屏湾二期 低楼层 矿山路 一室一厅 简装急售', '翠屏湾二期  ', '低楼层(共20层)塔楼  -  浐灞', '64万', '单价21637元/平米')
('https://image1.ljcdn.com/610100-inspection/826800a6-a718-4e1c-ab08-57a87e1e0cfd.jpg.296x216.jpg', '近桃花潭公园，近3号地铁站，近浐河，自带游泳馆', '振业泊墅  ', '低楼层(共27层)暂无数据  -  浐灞', '275万', '单价15877元/平米')
('https://image1.ljcdn.com/610100-inspection/50445793-d6af-4985-883f-d63c0e5cb5f7.jpg.296x216.jpg', '金裕青青家园顶跃，带车位。房本在手，满五满二', '金裕青青家园  ', '高楼层(共11层)板楼  -  浐灞', '140万', '单价9129元/平米')
('https://image1.ljcdn.com/610100-inspection/ee5af4c4-5ffb-4aa9-a12e-c2fdd11ff877.jpg.296x216.jpg', '精装三居室，地铁房，业主爽快，签约靠谱', '上上墅  ', '低楼层(共18层)板塔结合  -  浐灞', '145万', '单价20621元/平米')
('https://image1.ljcdn.com/610100-inspection/3f5ff18b-0143-4380-9dd2-37ebac857e50.jpg.296x216.jpg', '御锦城三期 精装两居室 家具全送 不含赠送是70.23平米', '御锦城V青年  ', '中楼层(共28层)暂无数据  -  浐灞', '120万', '单价15790元/平米')
('https://image1.ljcdn.com/610100-inspection/80c173b0-5d85-4cf5-959f-4fcdda8e1700.jpg.296x216.jpg', '水岸东方 精装全南向两居室  高楼层', '水岸东方1期  ', '高楼层(共18层)板塔结合  -  浐灞', '125万', '单价13948元/平米')
('https://image1.ljcdn.com/610100-inspection/fb763d26-1766-42f3-aa42-ea49cf94ebb3.jpg.296x216.jpg', '城北 简装三室两厅 单价低 适合刚需', '华清园  ', '低楼层(共7层)板塔结合  -  浐灞', '105万', '单价9263元/平米')
('https://image1.ljcdn.com/610100-inspection/fa018021-cd7d-4f4e-9475-51cfd78ec2d9.jpg.296x216.jpg', '恒大御景三室两厅精装修房子，户型方正，产权清晰', '恒大御景  ', '中楼层(共33层)暂无数据  -  浐灞', '193万', '单价15565元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload3f4c4f99-a0c4-46e7-a59d-54549556f4a5.jpg.296x216.jpg', '龙湖香醍 花园洋房 精装三居室顶层 业主诚售 可看', '龙湖香醍国际社区  ', '高楼层(共9层)板塔结合  -  浐灞', '270万', '单价23276元/平米')
('https://image1.ljcdn.com/610100-inspection/de3f0590-087f-4e62-97bf-7291a3482846.jpg.296x216.jpg', '沁水新城大两居  满五满二精装修，全明户型', '沁水新城  ', '低楼层(共18层)板塔结合  -  浐灞', '130万', '单价13316元/平米')
('https://image1.ljcdn.com/610100-inspection/ff0ae3b5-6445-4770-927d-a0473e568e4a.jpg.296x216.jpg', '御锦城萨拉曼卡 洋房别墅区 顶跃 毛坯 南北通透', '御锦城萨拉曼卡  ', '高楼层(共6层)暂无数据  -  浐灞', '430万', '单价17958元/平米')
('https://image1.ljcdn.com/610100-inspection/3f2e3572-0cfb-4534-b8ec-151c7c9c4b45.jpg.296x216.jpg', '长乐坡地铁口 荣德棕榈湾 标准一室一厅 满五满二', '荣德棕榈湾  ', '中楼层(共30层)塔楼  -  浐灞', '80万', '单价13931元/平米')
('https://image1.ljcdn.com/610100-inspection/3633068a-27e6-465a-a80e-1b8c9fa31c3e.jpg.296x216.jpg', '电梯房朝南，户型方正采光充足，阳台大。', '金裕青青家园  ', '低楼层(共11层)板塔结合  -  浐灞', '108万', '单价10926元/平米')
('https://image1.ljcdn.com/610100-inspection/8054a741-6bbf-4fe9-903f-30df6805339d.jpg.296x216.jpg', '优质精装两居，南北通透，采光充足', '上上墅  ', '高楼层(共18层)板塔结合  -  浐灞', '98万', '单价23851元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload8d4684b3-611a-41d7-b09c-f4bba414d177.jpg.296x216.jpg', '御锦城萨拉曼卡 5室3厅 630万', '御锦城萨拉曼卡  ', '高楼层(共5层)板楼  -  浐灞', '630万', '单价26310元/平米')
('https://image1.ljcdn.com/610100-inspection/f59f4d79-0631-4507-b594-d10e9e413aa2.jpg.296x216.jpg', '灞河边，满五过二，大三居，无公摊，精装全配拎包入住', '灞桥区水务局家属院  ', '高楼层(共6层)暂无数据  -  浐灞', '135万', '单价8420元/平米')
('https://image1.ljcdn.com/610100-inspection/1ccc39aa-5c91-42b7-a8bc-a32ba1ce9a91.jpg.296x216.jpg', '精装两居 家具家电赠送 有钥匙随时看房', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '88万', '单价20466元/平米')
('https://image1.ljcdn.com/610100-inspection/3e6a3ac2-f149-404e-8577-60c917041523.jpg.296x216.jpg', '长乐坡地铁口龙湖香醍国际社区，毛坯大三居，带露台', '龙湖香醍国际社区  ', '低楼层(共9层)暂无数据  -  浐灞', '330万', '单价21291元/平米')
('https://image1.ljcdn.com/610100-inspection/9a2d8884-5fa4-4648-becc-b5fc2a015564.jpg.296x216.jpg', '浐灞生态区，精致别墅，比邻桃花潭，尽享尊贵生活', '振业泊墅  ', '低楼层(共3层)暂无数据  -  浐灞', '568万', '单价21934元/平米')
('https://image1.ljcdn.com/610100-inspection/test-eaa80ee9-4b7b-40c7-a86a-925b54c4fbb3.png.296x216.jpg', '御锦城三期 精装正规一室 满三满二 业主急售 随时看', '御锦城V青年  ', '高楼层(共28层)暂无数据  -  浐灞', '73万', '单价15209元/平米')
('https://image1.ljcdn.com/610100-inspection/31ed0a0b-cbfd-4f98-8a01-b676efe0e49a.jpg.296x216.jpg', '御锦城萨拉曼卡 底跃毛坯 房本在手 业主诚心出售600万', '御锦城萨拉曼卡  ', '低楼层(共8层)暂无数据  -  浐灞', '600万', '单价18093元/平米')
('https://image1.ljcdn.com/610100-inspection/f9836c7b-9e8a-4be2-9e54-bd08df4fe0b9.jpg.296x216.jpg', '御锦城2期 2室 南北 满3满2 精装修 家具家电全带', '御锦城鹭湾  ', '中楼层(共34层)板塔结合  -  浐灞', '140万', '单价15660元/平米')
('https://image1.ljcdn.com/610100-inspection/147bf6c9-9903-4d65-bf0f-f6350c240607.jpg.296x216.jpg', '御锦城五期楼下公园  环境好，南北四居室 业主自住', '御锦城乔治de公园  ', '中楼层(共33层)板塔结合  -  浐灞', '269万', '单价18849元/平米')
('https://image1.ljcdn.com/610100-inspection/a58cb375-f3fd-4520-b41c-ee09ea2ad42c.jpg.296x216.jpg', '御锦城三期 V青年 简装一居室 空房出售', '御锦城V青年  ', '中楼层(共28层)暂无数据  -  浐灞', '68万', '单价14176元/平米')
('https://image1.ljcdn.com/610100-inspection/5893dfa0-70f9-4185-b127-30a792dd26bf.jpg.296x216.jpg', '广泰门地铁1000米，满五满二，靠谱出售，可以随时交易', '河滨丽景苑  ', '低楼层(共6层)暂无数据  -  浐灞', '112万', '单价10082元/平米')
('https://image1.ljcdn.com/610100-inspection/c4982f82-90f4-494e-9c69-70b328d057ce.jpg.296x216.jpg', '龙湖香醍二期 两居室毛坯 纯南户型 业主诚售 可看房', '龙湖香醍国际社区  ', '中楼层(共29层)暂无数据  -  浐灞', '150万', '单价16854元/平米')
('https://image1.ljcdn.com/610100-inspection/a4a3459e-9035-4365-9d22-86dc0cdfd3fe.jpg.296x216.jpg', '洋房  顶跃  毛坯    五室   方便', '龙湖香醍国际社区  ', '高楼层(共6层)板楼  -  浐灞', '395万', '单价16459元/平米')
('https://image1.ljcdn.com/610100-inspection/test-0aa7deb3-0c27-4252-889e-7a3de1959e24.png.296x216.jpg', '满三满二，没有增值税，带家具家电，楼层适中，', '明林庭苑  ', '高楼层(共18层)暂无数据  -  浐灞', '108万', '单价11021元/平米')
('https://image1.ljcdn.com/610100-inspection/8f13d17f-8341-4723-9f6f-83f226f55863.jpg.296x216.jpg', '翠屏湾精装两室，业主诚心出售，离地铁近', '翠屏湾二期  ', '中楼层(共20层)塔楼  -  浐灞', '108万', '单价22091元/平米')
('https://image1.ljcdn.com/610100-inspection/f3cb65a5-ca21-4f69-8ee9-513eda6974d7.jpg.296x216.jpg', '随时看房   首付五层  还款无压力', '电建社区(纺建路)  ', '高楼层(共7层)板楼  -  浐灞', '70万', '单价7984元/平米')
('https://image1.ljcdn.com/610100-inspection/1509fae0-3a6d-4e77-a430-0c224cfcd3df.jpg.296x216.jpg', '御锦城三期3+1户型 南北通透 精装修', '御锦城V青年  ', '高楼层(共34层)板塔结合  -  浐灞', '180万', '单价14286元/平米')
('https://image1.ljcdn.com/610100-inspection/test-d797a8be-c56a-4a56-8b5d-f2459b305856.png.296x216.jpg', '十里铺十字凯森福景美地经典大两室 绝好楼层全明采光', '凯森福景美地  ', '中楼层(共30层)塔楼  -  浐灞', '120万', '单价13024元/平米')
('https://image1.ljcdn.com/610100-inspection/321dd45c-7052-4c72-9093-3711a57107d8.jpg.296x216.jpg', '沁水新城 近地铁 精装大两居 纯南户型', '沁水新城  ', '低楼层(共24层)塔楼  -  浐灞', '145万', '单价13970元/平米')
('https://image1.ljcdn.com/610100-inspection/bac71961-467a-41dd-b5c2-60282af94a70.jpg.296x216.jpg', '户型南北通透，楼层在二楼带一楼小花园', '龙湖香醍国际社区  ', '低楼层(共9层)板楼  -  浐灞', '410万', '单价22649元/平米')
('https://image1.ljcdn.com/610100-inspection/191b4f31-1e0e-413a-a267-eb5917b3304a.jpg.296x216.jpg', '浐灞河景房 香江湾 精装三居室 带家具家电可拎包入住', '香江湾  ', '低楼层(共32层)板楼  -  浐灞', '245万', '单价16310元/平米')
('https://image1.ljcdn.com/610100-inspection/20a66054-1da6-443f-9d31-eaf834c2626e.jpg.296x216.jpg', '浐河 边 地铁口 桃花潭公园旁 小三居赠送27平', '振业泊公馆  ', '中楼层(共31层)暂无数据  -  浐灞', '230万', '单价19615元/平米')
('https://image1.ljcdn.com/610100-inspection/4e84c47a-6d42-46eb-a3aa-9d02db811ef8.jpg.296x216.jpg', '浐灞半岛A14 复室河景房 精装修', '浐灞半岛A14区  ', '高楼层(共18层)板塔结合  -  浐灞', '405万', '单价22147元/平米')
('https://image1.ljcdn.com/610100-inspection/be5bf0b1-85b2-4315-aeca-ac4f76cb230f.jpg.296x216.jpg', '业主自住保持的很好，靠谱出售可随时签约', '翠屏湾二期  ', '中楼层(共20层)板楼  -  浐灞', '103万', '单价20830元/平米')
('https://image1.ljcdn.com/610100-inspection/1e8c511c-d41c-4e5b-be42-9e507b6165f3.jpg.296x216.jpg', '此房毛坯，有赠送大露台，小区环境优美。', '龙湖香醍国际社区  ', '低楼层(共9层)板楼  -  浐灞', '330万', '单价21429元/平米')
('https://image1.ljcdn.com/610100-inspection/683668e3-5c87-4261-9ec1-ff8a0b94eea6.jpg.296x216.jpg', '纯南户型，适合各个年龄段人居住，两室毛坯房', '香江湾  ', '中楼层(共32层)板楼  -  浐灞', '135万', '单价12173元/平米')
('https://image1.ljcdn.com/610100-inspection/51ea1a87-df15-48cd-9f63-a3e8568e7c3a.jpg.296x216.jpg', '翠屏湾二期 精装修一室带超大储物间 满五过二 好楼层', '翠屏湾二期  ', '中楼层(共20层)塔楼  -  浐灞', '70万', '单价23689元/平米')
('https://image1.ljcdn.com/610100-inspection/58fa7842-4792-46b8-a6ea-d9efee1c10e9.jpg.296x216.jpg', '地铁房 上叠毛坯别墅 带两个车位 看房随时', '振业泊墅  ', '低楼层(共3层)暂无数据  -  浐灞', '500万', '单价20415元/平米')
('', '浐灞半岛A13区 管委会物业 精装4室河景房', '浐灞半岛A13区  ', '中楼层(共18层)板塔结合  -  浐灞', '300万', '单价18845元/平米')
('https://image1.ljcdn.com/610100-inspection/16234d8c-c753-4b23-be4d-d2a267baec6c.jpg.296x216.jpg', '沁水新城 3室1厅 190万', '沁水新城  ', '高楼层(共24层)板塔结合  -  浐灞', '190万', '单价13211元/平米')
