('https://image1.ljcdn.com/210200-inspection/test-17f96236-17af-40cd-aa32-b43cc0d2e7a8.png.296x216.jpg', '大华精装修三室,拎包即住,随时看房.', '大华锦绣华城一期  | 3室2厅 | 91.35平米 | 南 北 | 精装 | 有电梯', '高楼层(共30层)2010年建板楼  -  庙岭', '235万', '单价25726元/平米')
('https://image1.ljcdn.com/210200-inspection/a858ad7e-23b2-4be0-8631-eba8620028a8.JPG.296x216.jpg', '新新园一期 4室2厅 190万', '新新园一期  | 4室2厅 | 160.74平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  庙岭', '190万', '单价11821元/平米')
('https://image1.ljcdn.com/210200-inspection/8132eafb-bed2-49c0-b9e5-11386921eab8.jpg.296x216.jpg', '高新园区小高层南北通透一梯两户万达广场', '第8区  | 2室2厅 | 88.1平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共12层)2012年建板楼  -  万达', '162万', '单价18389元/平米')
('https://image1.ljcdn.com/210200-inspection/312fd958-089f-48f0-88e0-2fc85ffcc868.JPG.296x216.jpg', '康桥小镇 4室2厅 185万', '康桥小镇  | 4室2厅 | 74.38平米 | 南 北 | 精装 | 无电梯', '高楼层(共4层)2010年建板楼  -  凌水', '185万', '单价24873元/平米')
('https://image1.ljcdn.com/210200-inspection/7eef026a-9a10-45cb-84fa-53ea7fd8fe56.jpg.296x216.jpg', '两室纯南，楼层好、采光充足，交通便利64平赠送10平', '中海华庭  | 2室1厅 | 63.56平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2010年建板塔结合  -  万达', '148万', '单价23286元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d0c0c1fd-039c-4e1b-8d5d-efd559c49851.png.296x216.jpg', '翰林观海一线海景 保持好 近双语理工 陪读改善优选.', '翰林观海  | 3室2厅 | 132.55平米 | 南 北 | 精装 | 有电梯', '高楼层(共19层)2003年建板楼  -  学府', '278万', '单价20974元/平米')
('https://image1.ljcdn.com/210200-inspection/42bfb98a-2264-4720-a0d9-b7c00682a28d.jpg.296x216.jpg', '可塑性高的房子，可根据自己的喜好装修', '小平岛E东组团  | 2室2厅 | 93.7平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共15层)2007年建板楼  -  小平岛', '220万', '单价23480元/平米')
('https://image1.ljcdn.com/210200-inspection/76df794d-f68b-4052-a697-54e7607cac85.jpg.296x216.jpg', '三号院电梯洋房二楼带大露台位置好装修30万住了3个月', '大华锦绣华城叁号院  | 3室2厅 | 125.4平米 | 南 北 | 精装 | 有电梯', '低楼层(共7层)2016年建板楼  -  庙岭', '385万', '单价30702元/平米')
('https://image1.ljcdn.com/210200-inspection/576e41d5-a947-41b1-a531-ce1575260efb.jpg.296x216.jpg', '嘉创E人国际 1室0厅 61万', '嘉创E人国际  | 1室0厅 | 36.6平米 | 西北 | 简装 | 有电梯', '低楼层(共24层)2011年建板楼  -  万达', '61万', '单价16667元/平米')
('https://image1.ljcdn.com/210200-inspection/4e4670a1-899c-437b-943b-30c7327957f9.JPG.296x216.jpg', '新科花园南北通透 三室 精装修中间楼层小区中间位置', '新科花园  | 3室2厅 | 116平米 | 南 西 北 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  万达', '210万', '单价18104元/平米')
('https://image1.ljcdn.com/210200-inspection/37ec26b2-2199-4e58-a0d3-74cc5aebd6f9.jpg.296x216.jpg', '品质小区 精装修南北通透 拎包入住', '名仕智慧谷  | 2室1厅 | 95平米 | 南 北 | 精装 | 有电梯', '中楼层(共22层)2012年建板楼  -  万达', '210万', '单价22106元/平米')
('https://image1.ljcdn.com/210200-inspection/39275fc0-b24a-46bc-8dbd-71900343da3f.jpg.296x216.jpg', '大湖山语 3室2厅 252万', '大湖山语  | 3室2厅 | 120平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共33层)2016年建板楼  -  凌水', '252万', '单价21000元/平米')
('https://image1.ljcdn.com/210200-inspection/20bdfed7-978e-40d6-8429-c65c9e9c9da6.JPG.296x216.jpg', '新科花园 2室2厅 182万', '新科花园  | 2室2厅 | 97.5平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  万达', '182万', '单价18667元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadb60781b2-899c-49ed-b396-f37eaf20d761.jpg.296x216.jpg', '中海紫御观邸二期 3室2厅 360万', '中海紫御观邸二期  | 3室2厅 | 131.01平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2013年建板楼  -  万达', '360万', '单价27479元/平米')
('https://image1.ljcdn.com/210200-inspection/0ab57e27-9e0d-4e15-912b-9337fc1d6054.jpg.296x216.jpg', '文荟小区 2室2厅 82万', '文荟小区  | 2室2厅 | 65.32平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  凌水', '82万', '单价12554元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0197dd02-3778-4bb0-9a66-176886a59e56.png.296x216.jpg', '高新园 圣托里尼两室南北向婚房装修 高楼层采光视野好', '圣托里尼  | 2室1厅 | 61.75平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2014年建板楼  -  万达', '135万', '单价21863元/平米')
('https://image1.ljcdn.com/210200-inspection/b9fd67dc-5769-4b2b-8817-80ce6465666e.jpg.296x216.jpg', '亿达软景广场一室复式的北向 适合办公自住', '亿达软景中心  | 1室1厅 | 42.28平米 | 西北 | 精装 | 有电梯', '中楼层(共20层)2014年建板楼  -  软件园', '95万', '单价22470元/平米')
('https://image1.ljcdn.com/210200-inspection/8650a299-bd1d-4675-a15c-3c9b122d9df1.JPG.296x216.jpg', '数码广场 由家村小区 南北通透 多层二楼 采光好', '由家村  | 2室1厅 | 58.76平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1990年建板楼  -  软件园', '90万', '单价15317元/平米')
('https://image1.ljcdn.com/210200-inspection/f7a39c00-bdaa-4d43-b21b-fd1bcbf58732.JPG.296x216.jpg', '新新园一期 2室1厅 129万', '新新园一期  | 2室1厅 | 85.78平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2000年建板楼  -  庙岭', '129万', '单价15039元/平米')
('https://image1.ljcdn.com/210200-inspection/97da6d70-829d-4b39-8823-c1e3e385881e.jpg.296x216.jpg', 'MINI印象 1室2厅 105万', 'MINI印象  | 1室2厅 | 62.48平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2012年建塔楼  -  万达', '105万', '单价16806元/平米')
('https://image1.ljcdn.com/210200-inspection/5b2ed415-1522-4fee-a1f5-1dc4e2a7a0d0.JPG.296x216.jpg', '软景祌心 生活便利 上学在双语适合陪读', '软件园小区  | 2室1厅 | 78.5平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  软件园', '130万', '单价16561元/平米')
('https://image1.ljcdn.com/210200-inspection/ec8afa8e-a09c-4cb4-9476-8d2ee3e3216e.JPG.296x216.jpg', '大华锦绣华城一期 3室1厅 235万', '大华锦绣华城一期  | 3室1厅 | 96.48平米 | 南 北 | 精装 | 有电梯', '高楼层(共26层)2010年建板楼  -  庙岭', '235万', '单价24358元/平米')
('https://image1.ljcdn.com/210200-inspection/aac80cf9-c362-464e-a0d0-f646737c76fb.jpg.296x216.jpg', '凌水海事双南卧两室中间楼层低密度有钥匙随时看', '海事附小  | 2室1厅 | 52.62平米 | 南 | 简装 | 无电梯', '中楼层(共4层)1995年建板楼  -  凌水', '72万', '单价13684元/平米')
('https://image1.ljcdn.com/210200-inspection/7e74d476-1026-4b13-a750-0c8b10520e88.jpg.296x216.jpg', '大华叁号院精装修跃层附赠面积大多层电梯洋房共三层', '大华锦绣华城叁号院  | 4室2厅 | 112.66平米 | 南 北 | 精装 | 有电梯', '高楼层(共7层)2016年建板楼  -  庙岭', '488万', '单价43317元/平米')
('https://image1.ljcdn.com/210200-inspection/f7d2752c-3f48-4cb5-bdf2-f576f39f33f7.JPG.296x216.jpg', '小平岛海悦山 3室1厅 220万', '小平岛海悦山  | 3室1厅 | 100平米 | 东南 | 精装 | 有电梯', '高楼层(共31层)2011年建板楼  -  小平岛', '220万', '单价22000元/平米')
('https://image1.ljcdn.com/210200-inspection/aeb11aaf-e2f4-4d45-a62f-6f45451af46b.JPG.296x216.jpg', '软件园两室 精装 双语上学 采光好', '软件园小区  | 2室2厅 | 78.5平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  软件园', '122万', '单价15542元/平米')
('https://image1.ljcdn.com/210200-inspection/6acf6913-b656-4be2-9a05-230fca9e2cf3.JPG.296x216.jpg', '精装修 超高举架3.35米，拎包入住', '东方圣克拉二期  | 2室1厅 | 83.5平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2011年建板楼  -  庙岭', '230万', '单价27545元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload395f2346-ad1e-466b-92db-4e39333f874c.JPG.296x216.jpg', '亿达普罗旺斯二期 2室2厅 200万', '亿达普罗旺斯二期  | 2室2厅 | 95.4平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2014年建板楼  -  小平岛', '200万', '单价20965元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadec62084b-556a-43f8-9a7d-5e9b58e8c5fe.jpg.296x216.jpg', '海事附小 2室0厅 59.6万', '海事附小  | 2室0厅 | 44.73平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  凌水', '59.6万', '单价13325元/平米')
('https://image1.ljcdn.com/210200-inspection/test-468d5a20-c8d4-4762-b415-c47e68fe1b44.png.296x216.jpg', '精装两室 环境安静舒适  房主诚心出售', '悦丽海湾  | 2室1厅 | 91.42平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2014年建板楼  -  小平岛', '183万', '单价20018元/平米')
('https://image1.ljcdn.com/210200-inspection/test-b79db25e-8132-4940-98e2-324e8e4f5689.png.296x216.jpg', '大华锦绣华城，多层电梯洋房，40万精装修\u3000三室两厅', '大华锦绣华城一期  | 3室2厅 | 114平米 | 南 北 | 精装 | 有电梯', '低楼层(共6层)2010年建板楼  -  庙岭', '358万', '单价31404元/平米')
('https://image1.ljcdn.com/210200-inspection/658f57dc-7f84-481f-a240-c73ad3f6007b.JPG.296x216.jpg', '高新园区万达旁婚房装修采光好，双南卧室海景房', '宏都峰景  | 2室1厅 | 89.32平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2012年建板楼  -  万达', '230万', '单价25751元/平米')
('https://image1.ljcdn.com/210200-inspection/c909487b-f718-42de-be9f-cb12498e9e99.JPG.296x216.jpg', '中海华庭 2室1厅 135万', '中海华庭  | 2室1厅 | 64平米 | 南 | 简装 | 有电梯', '中楼层(共24层)2010年建板塔结合  -  万达', '135万', '单价21094元/平米')
('https://image1.ljcdn.com/210200-inspection/37aadf87-73fe-4c67-bdad-524e77f26cb3.JPG.296x216.jpg', '亿达学清园 3室2厅 375万', '亿达学清园  | 3室2厅 | 150平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2002年建板楼  -  软件园', '375万', '单价25000元/平米')
('https://image1.ljcdn.com/210200-inspection/d58cf63d-fb69-4e48-a534-ac0a1017cc11.jpg.296x216.jpg', '理工大学西门 海事大学家属楼 南北通透2室 近车站市场', '海事附小  | 2室1厅 | 69.04平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  凌水', '93万', '单价13471元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload6746d10e-6a18-4195-a6d4-1213ebbea43c.jpg.296x216.jpg', '万达旁 近地铁 封闭小区 中间楼层 精装两室97万', '因特摩尔  | 2室1厅 | 53.76平米 | 东 | 精装 | 有电梯', '低楼层(共30层)2011年建塔楼  -  万达', '96万', '单价17858元/平米')
('https://image1.ljcdn.com/210200-inspection/76a7bc2b-f74a-435e-82d0-9c066685ba71.JPG.296x216.jpg', '标准南北三室两卫，中间楼层，采光好，视野好', '大连天地悦翠台  | 3室2厅 | 127.3平米 | 南 北 | 精装', '中楼层(共22层)板楼  -  黄泥川', '189万', '单价14847元/平米')
('https://image1.ljcdn.com/210200-inspection/21481fa9-5a2a-4c9a-b5fc-2b5cda40b20a.jpg.296x216.jpg', '万达海景公寓，南向小公寓精装修', '万达海景公寓  | 1室0厅 | 50.36平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2013年建板楼  -  万达', '60万', '单价11915元/平米')
('https://image1.ljcdn.com/210200-inspection/10b6f078-441b-4931-8b2e-fdd316b36e9d.JPG.296x216.jpg', '全天采光无遮挡，精装修保持好，南北通透，近车站地铁', '学苑广场九号  | 2室2厅 | 90.7平米 | 南 北 | 精装', '中楼层(共32层)2017年建板楼  -  学府', '289万', '单价31864元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload2119e51c-0c98-4bfa-9fb6-55d30e430554.jpg.296x216.jpg', '半山嘉苑 3室2厅 350万', '半山嘉苑  | 3室2厅 | 266.46平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共6层)2009年建板楼  -  万达', '350万', '单价13136元/平米')
('https://image1.ljcdn.com/210200-inspection/bbc160e3-f8ca-4c08-bfc2-b4c020570551.jpg.296x216.jpg', '高新园区文荟小区多层中间楼层小区前排一室一厅南向', '文荟小区  | 1室1厅 | 41.5平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  凌水', '64万', '单价15422元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d1866982-1ab4-4bdc-a918-59dbbc7da364.png.296x216.jpg', '小区中间位置，精装拎包入住，视野佳', '硅谷假日  | 2室2厅 | 90.6平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2005年建板楼  -  万达', '173万', '单价19095元/平米')
('https://image1.ljcdn.com/210200-inspection/test-12799588-f258-4ea9-b257-206f1c2590bd.png.296x216.jpg', '大华一期多层电梯洋房\u3000一梯两户\u3000三面朝南', '大华锦绣华城一期  | 3室2厅 | 89.38平米 | 南 北 | 精装 | 有电梯', '中楼层(共5层)2010年建板楼  -  庙岭', '267万', '单价29873元/平米')
('https://image1.ljcdn.com/210200-inspection/e4bb51ae-8694-4349-9f3d-1b465dbc6210.JPG.296x216.jpg', '弘基二期中间楼层精装修3室2厅2卫', '弘基二期  | 3室2厅 | 136.17平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  学府', '320万', '单价23501元/平米')
('https://image1.ljcdn.com/210200-inspection/19fe9700-e46c-4dec-8fa4-21ea043232c8.JPG.296x216.jpg', '房主给孩子买上学住的，这边房子也用不到了考虑出售', '万达海公馆  | 3室2厅 | 259平米 | 南 北 | 精装 | 有电梯', '高楼层(共30层)2015年建板楼  -  万达', '698万', '单价26950元/平米')
('https://image1.ljcdn.com/210200-inspection/4bafb80d-0148-4863-86ac-8fc889f5c099.JPG.296x216.jpg', '两室，南向，多层二楼，楼龄新，位置好', '海洋环保所  | 2室1厅 | 77.97平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2006年建板楼  -  学府', '135万', '单价17315元/平米')
('https://image1.ljcdn.com/210200-inspection/eec57097-17f5-41df-a108-4532287fb39c.JPG.296x216.jpg', '户型方正  交通方便 地势平坦', '文萃轩小区  | 2室1厅 | 65.64平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  学府', '98万', '单价14930元/平米')
('https://image1.ljcdn.com/210200-inspection/4be2c3ca-3003-4b46-8dcc-2db4ab0a7e4d.jpg.296x216.jpg', '亿达普罗旺斯一期精装两室楼层好采光好', '亿达普罗旺斯  | 2室1厅 | 69.95平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2014年建板楼  -  小平岛', '148万', '单价21158元/平米')
('https://image1.ljcdn.com/210200-inspection/36c121e3-07a2-4310-88f0-93f750f812c9.jpg.296x216.jpg', '山海一家二期 2室2厅 175万', '山海一家二期  | 2室2厅 | 111.3平米 | 南 北 | 精装 | 有电梯', '中楼层(共12层)2005年建板楼  -  万达', '175万', '单价15724元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload55ec8723-ba3f-4e6c-87dd-ab67b5a6fac6.jpg.296x216.jpg', '大有文园南向精装修一室封闭小区采光好视野好舒适', '大有文园  | 1室1厅 | 31.7平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2012年建板楼  -  凌水', '57.5万', '单价18139元/平米')
('https://image1.ljcdn.com/210200-inspection/70300563-0b69-4b1d-9cc4-ecd34dbd64b1.JPG.296x216.jpg', '大华三期四室两卫\u3000精装修几乎没住采光视野都好诚心卖', '大华锦绣华城三期  | 4室2厅 | 132平米 | 南 北 | 精装 | 有电梯', '低楼层(共30层)2012年建板楼  -  庙岭', '320万', '单价24243元/平米')
('https://image1.ljcdn.com/210200-inspection/ad63730e-678e-4b41-b073-b3ece1282354.jpg.296x216.jpg', '跃层四室两卫的精装修，视野采光好，近万达海事理工．', '柏林水郡  | 4室3厅 | 78.17平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)2007年建板楼  -  凌水', '195万', '单价24946元/平米')
('https://image1.ljcdn.com/210200-inspection/b349dcc9-0023-4f09-91dc-1d8131ab7586.JPG.296x216.jpg', '新新园一期 2室1厅 287万', '新新园一期  | 2室1厅 | 114.58平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  庙岭', '287万', '单价25049元/平米')
('https://image1.ljcdn.com/210200-inspection/test-909c08f1-ce2d-45ca-9cef-42b89fce0b1d.png.296x216.jpg', '亿达康派公寓 1室0厅 72万', '亿达康派公寓  | 1室0厅 | 36.07平米 | 西南 | 精装 | 有电梯', '低楼层(共24层)2006年建板楼  -  软件园', '72万', '单价19962元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a5a43220-9ded-4c2f-a438-b288fe7f9859.png.296x216.jpg', '弘基三期，精装修，三室两厅，采光好，前后视野不遮挡', '弘基三期  | 3室2厅 | 95.73平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  学府', '179万', '单价18699元/平米')
('https://image1.ljcdn.com/210200-inspection/f9539631-0d4b-4da2-afc8-ee7483d5968f.JPG.296x216.jpg', '东方圣克拉一期 2室1厅 181万', '东方圣克拉一期  | 2室1厅 | 69.87平米 | 南 | 精装 | 有电梯', '高楼层(共23层)2010年建板楼  -  庙岭', '181万', '单价25906元/平米')
('https://image1.ljcdn.com/210200-inspection/4db0ada5-b602-4641-a284-7f6f34de46fb.jpg.296x216.jpg', '高新园区，中铁旁，年轻人过渡南北小两室', '谷歌里  | 2室1厅 | 57平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)2009年建板楼  -  七贤岭', '88万', '单价15439元/平米')
('https://image1.ljcdn.com/210200-inspection/a94a78b3-e4ea-4c58-b384-def33ca5d78b.jpg.296x216.jpg', '高新万达临地铁精装修两室可看海交通生活配套齐全', '山海一家一期  | 2室1厅 | 68.18平米 | 东南 | 精装 | 有电梯', '高楼层(共16层)2005年建塔楼  -  万达', '103万', '单价15108元/平米')
('https://image1.ljcdn.com/210200-inspection/8804d8bd-8d26-4e08-832a-db4de396aecc.JPG.296x216.jpg', '恒大御景湾 2室1厅 220万', '恒大御景湾  | 2室1厅 | 86.58平米 | 南 北 | 精装', '中楼层(共18层)2016年建板楼  -  万达', '220万', '单价25411元/平米')
('https://image1.ljcdn.com/210200-inspection/02ee520a-fe42-4430-b10c-6dd60a4df5a2.jpg.296x216.jpg', '南向精装小公寓，近万达，精装修，拎包即住', '万达海景公寓  | 1室1厅 | 50.31平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2013年建板楼  -  万达', '64万', '单价12722元/平米')
('https://image1.ljcdn.com/210200-inspection/f46fff09-f34a-45e3-9e61-1cc864d5c918.JPG.296x216.jpg', '亿达普罗旺斯二期 2室1厅 169万', '亿达普罗旺斯二期  | 2室1厅 | 85.82平米 | 南 | 精装', '中楼层(共11层)2014年建板楼  -  小平岛', '169万', '单价19693元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a8c2630e-ff08-41ff-b909-dbb6a39953da.png.296x216.jpg', '凌水大有恬园二期三室两卫实木精装未住电梯洋房', '大有恬园二期  | 3室2厅 | 137.25平米 | 南 北 | 精装 | 有电梯', '高楼层(共8层)2010年建板楼  -  凌水', '254万', '单价18507元/平米')
('https://image1.ljcdn.com/210200-inspection/617977a6-a3d3-4144-99dd-2d6d7c346259.JPG.296x216.jpg', '小平岛河口湾悦丽海湾 三室两卫精装修', '悦丽海湾  | 3室2厅 | 142.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共13层)2014年建板楼  -  小平岛', '300万', '单价20990元/平米')
('https://image1.ljcdn.com/210200-inspection/e0961139-31bc-4b07-81b7-82303ac3146c.jpg.296x216.jpg', '南北通透，拎包即住．封闭小区，跃层，小区环境好!', '柏林水郡  | 4室2厅 | 93.39平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2007年建板楼  -  凌水', '200万', '单价21416元/平米')
('https://image1.ljcdn.com/210200-inspection/test-62b4f1da-8c96-4225-ac40-e62a36380a4b.png.296x216.jpg', '因特摩尔 1室0厅 75万', '因特摩尔  | 1室0厅 | 39.64平米 | 东北 | 其他 | 有电梯', '高楼层(共30层)2011年建塔楼  -  万达', '75万', '单价18921元/平米')
('https://image1.ljcdn.com/210200-inspection/66589f84-dd02-4d3f-b703-b06bb39e66f0.JPG.296x216.jpg', '悦丽海湾 1室1厅 142万', '悦丽海湾  | 1室1厅 | 71.47平米 | 南 | 其他 | 有电梯', '中楼层(共6层)2014年建板楼  -  小平岛', '142万', '单价19869元/平米')
('https://image1.ljcdn.com/210200-inspection/0bdc10c0-be99-4995-ad3f-31f10dd41710.jpg.296x216.jpg', '理工园 一室一厅 单身白领的不二选择', '理工园  | 1室1厅 | 47.47平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  庙岭', '65万', '单价13693元/平米')
('https://image1.ljcdn.com/210200-inspection/5b9509d1-5a88-424e-b189-0e806c5e78f5.JPG.296x216.jpg', '封闭小区 小区前排 框架结构  电梯房  南北通透', '大有恬园二期  | 3室2厅 | 116.53平米 | 南 北 | 精装 | 有电梯', '高楼层(共8层)2010年建板楼  -  凌水', '235万', '单价20167元/平米')
('https://image1.ljcdn.com/210200-inspection/0923f7dc-e175-4a04-a673-7d1a504611fa.JPG.296x216.jpg', '弘基一期 3室2厅 245万', '弘基一期  | 3室2厅 | 133平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2001年建板楼  -  学府', '245万', '单价18422元/平米')
('https://image1.ljcdn.com/210200-inspection/7677287c-f500-49b3-8b59-29e92eac463f.jpg.296x216.jpg', '海苑花园多层房两室两厅精装修4楼南北通透', '海苑花园  | 2室2厅 | 70.4平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  凌水', '115万', '单价16336元/平米')
('https://image1.ljcdn.com/210200-inspection/8a02f1b8-106d-4aa7-8de2-57a11e0e9280.jpg.296x216.jpg', '中海华庭 2室1厅 180万', '中海华庭  | 2室1厅 | 89平米 | 西南 | 其他 | 有电梯', '高楼层(共24层)2010年建板塔结合  -  万达', '180万', '单价20225元/平米')
('https://image1.ljcdn.com/210200-inspection/00e8762f-54b8-4cc7-9860-e777bc359b0b.jpg.296x216.jpg', 'MINI印象 精装70年公寓 近万达 地铁', 'MINI印象  | 1室0厅 | 50.8平米 | 东北 | 精装 | 有电梯', '低楼层(共32层)2012年建塔楼  -  万达', '82万', '单价16142元/平米')
('https://image1.ljcdn.com/210200-inspection/965c54cd-8715-4aa7-9e9f-c2f3364da92b.JPG.296x216.jpg', '东方圣克拉三期 2室2厅 237万', '东方圣克拉三期  | 2室2厅 | 93.4平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2015年建板楼  -  庙岭', '237万', '单价25375元/平米')
('https://image1.ljcdn.com/210200-inspection/test-511bd836-302f-4f02-bd9a-d2d5cd97b813.png.296x216.jpg', '凌水大有恬园二期三室两卫实木精装未住电梯洋房', '大有恬园二期  | 3室2厅 | 137.25平米 | 南 北 | 精装 | 有电梯', '高楼层(共8层)2010年建板楼  -  凌水', '254万', '单价18507元/平米')
('https://image1.ljcdn.com/210200-inspection/7097012d-afb8-45b0-96fd-3ed8babf9adf.jpg.296x216.jpg', '龙湖大湖山语新小区房主诚心出售婚房装修保持好', '大湖山语  | 2室2厅 | 86.68平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)2015年建板楼  -  凌水', '199万', '单价22959元/平米')
('https://image1.ljcdn.com/210200-inspection/15c7fc97-a091-4e70-83d8-224a62229ae7.jpg.296x216.jpg', '海创半山壹号 3室2厅 233万', '海创半山壹号  | 3室2厅 | 134.54平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2011年建板楼  -  七贤岭', '233万', '单价17319元/平米')
('https://image1.ljcdn.com/210200-inspection/ec283b3d-1305-4c79-b908-b29f774293c2.jpg.296x216.jpg', '凌源街 2室0厅 60万', '凌源街  | 2室0厅 | 41.29平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1990年建板楼  -  学府', '60万', '单价14532元/平米')
('https://image1.ljcdn.com/210200-inspection/8385c410-8d4f-4bfe-bec6-92e6d2296fe8.jpg.296x216.jpg', '哈佛世纪房子精装修东北向，采光好拎包可入住', '哈佛世纪  | 1室1厅 | 64.04平米 | 东北 | 其他 | 有电梯', '中楼层(共24层)2014年建板楼  -  凌水', '130万', '单价20300元/平米')
('https://image1.ljcdn.com/210200-inspection/test-c51f4abb-d335-45b9-a121-9b2a83808965.png.296x216.jpg', '高新园区精装修1室保持好拎包入住', 'MINI印象  | 1室0厅 | 50.34平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2012年建塔楼  -  万达', '88万', '单价17482元/平米')
('https://image1.ljcdn.com/210200-inspection/daaac3fe-8b6c-4f74-a1e5-51dcf01e716c.JPG.296x216.jpg', '亲海园大两室南北通透 附赠100平南向院子', '小平岛亲海园  | 2室2厅 | 117平米 | 南 北 | 简装 | 有电梯', '地下室(共26层)板楼  -  小平岛', '210万', '单价17949元/平米')
('https://image1.ljcdn.com/210200-inspection/859e2ac2-06b7-4b95-9798-799832da2e21.JPG.296x216.jpg', '亿达普罗旺斯 3室2厅 256万', '亿达普罗旺斯  | 3室2厅 | 141.8平米 | 南 北 | 精装 | 有电梯', '中楼层(共29层)2014年建板楼  -  小平岛', '256万', '单价18054元/平米')
('https://image1.ljcdn.com/210200-inspection/066fe901-3e5e-4775-be87-23f775876b73.JPG.296x216.jpg', '华录园 3室2厅 199万', '华录园  | 3室2厅 | 139.5平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)1995年建板楼  -  万达', '199万', '单价14266元/平米')
('https://image1.ljcdn.com/210200-inspection/391b2d86-b093-4adc-9832-f4e21437e8d4.jpg.296x216.jpg', '此房是南北户型冬暖夏凉，适合老人和刚工作年轻人。', '大有恬园  | 3室2厅 | 115.75平米 | 南 北 | 毛坯 | 无电梯', '地下室(共6层)2005年建板楼  -  凌水', '118万', '单价10195元/平米')
('https://image1.ljcdn.com/210200-inspection/test-77d12304-8bd4-4b89-85c8-2ca93a08759e.png.296x216.jpg', '此房满五采光充足，高新一中，改善，适合改善，过度', '谷歌里  | 2室1厅 | 69.3平米 | 西北 | 简装 | 有电梯', '低楼层(共15层)2009年建板楼  -  七贤岭', '103万', '单价14863元/平米')
('https://image1.ljcdn.com/210200-inspection/1fec2c4c-94c1-45ae-b372-b3337b831422.jpg.296x216.jpg', '独立的一室，南向看海.手续没有问题', '小平岛揽海名寓  | 1室1厅 | 42.4平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)2010年建板楼  -  小平岛', '89.5万', '单价21109元/平米')
