('https://image1.ljcdn.com/510100-inspection/test-bb5bc628-e1c2-4253-86b3-fef603380145.png.296x216.jpg', '此房满两年，低楼层， 小区刷卡进入', '交大庭院  | 3室2厅 | 105.43平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1999年建板楼  -  五大花园', '135万', '单价12805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0a92f52d-757a-4cc8-ba37-11205a7df783.png.296x216.jpg', '南河居，错层套三，有装修，有阳台', '南河居  | 3室2厅 | 126.39平米 | 西 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  川音', '165万', '单价13055元/平米')
('https://image1.ljcdn.com/510100-inspection/test-10d4d45d-eeef-4fc8-8a59-098f9fbcaf91.png.296x216.jpg', '橙堡2008年建成的电梯房，框架结构。电梯房。', '橙堡  | 1室1厅 | 56.42平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2008年建板楼  -  红牌楼', '95万', '单价16839元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b2ac983c-3ef9-4755-8d0b-f4805ff709c9.png.296x216.jpg', '国嘉南苑电梯套三 户型方正 采光好', '国嘉南苑一期  | 3室1厅 | 133.58平米 | 东北 | 简装 | 有电梯', '中楼层(共20层)1999年建板楼  -  华西', '198万', '单价14823元/平米')
('https://image1.ljcdn.com/510100-inspection/4b5104fa-01b4-4e5c-b13f-150fa2785592.jpg.296x216.jpg', '龙安街2号中间楼层明厨明卫带储物间', '龙安街2号  | 2室1厅 | 78.35平米 | 北 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  外双楠', '117万', '单价14933元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a2def6d-e9fe-46b9-a728-5f9dba8ac685.png.296x216.jpg', '团结小区，简装套二，采光好，单价低。', '团结小区  | 2室1厅 | 69.5平米 | 东南 | 其他', '高楼层(共7层)暂无数据  -  草金立交', '82万', '单价11799元/平米')
('https://image1.ljcdn.com/510100-inspection/test-51b1a3d0-77b6-47bc-848c-6b6f5441737e.png.296x216.jpg', '凯莱帝景高楼层有采光，户型方正', '凯莱帝景  | 3室1厅 | 138.95平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2001年建塔楼  -  桐梓林', '198万', '单价14250元/平米')
('https://image1.ljcdn.com/510100-inspection/test-55c019f3-56d4-4e1c-82b7-021362d5d337.png.296x216.jpg', '2.5环地铁口，户型方正，中间楼层，不临街', '吉馨苑  | 2室2厅 | 75.1平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  五大花园', '120万', '单价15979元/平米')
('https://image1.ljcdn.com/510100-inspection/test-23c85bc0-f17e-436c-b5f6-02362eb5d616.png.296x216.jpg', '交大装修两居室 户型紧凑 空间利用合理', '交大万通格外  | 2室2厅 | 63.37平米 | 东北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  丽都', '140万', '单价22093元/平米')
('https://image1.ljcdn.com/510100-inspection/efbe7008-3807-4800-8809-42582900ecb0.png.296x216.jpg', '五彩生活 低楼层 带平台  套二', '五彩生活  | 2室2厅 | 95.91平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2002年建板楼  -  外双楠', '168万', '单价17517元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b24daed7-ed41-4495-b83a-e1551b1f2760.png.296x216.jpg', '科华中路小区＋简装套二＋118万', '科华中路193号院  | 2室1厅 | 64.55平米 | 西 | 其他', '中楼层(共6层)板楼  -  火车南站', '102万', '单价15802元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0d91090d-14c3-4938-aedd-864a5ac0e21e.png.296x216.jpg', '中海锦城套三 客厅带阳台 有装修', '中海锦城一期  | 3室1厅 | 93.59平米 | 南 | 其他 | 有电梯', '中楼层(共14层)2011年建板楼  -  簇桥', '188万', '单价20088元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f78dc73a-bd86-4192-95ab-dddbf580d329.png.296x216.jpg', '燃灯寺北街29号 1室1厅 54万', '燃灯寺北街29号  | 1室1厅 | 39.36平米 | 东南 | 毛坯 | 无电梯', '中楼层(共7层)2000年建板楼  -  双楠', '54万', '单价13720元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8a7cec59-d900-4923-b1b6-727af1c738b9.png.296x216.jpg', '会所花园  电梯套三  户型方正 有装修', '会所花园  | 3室2厅 | 95.44平米 | 西南 | 其他 | 有电梯', '中楼层(共15层)2002年建板楼  -  五大花园', '140万', '单价14669元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3f5dbaa2-e2a2-45be-b9c4-b0d16e17ef6a.png.296x216.jpg', '中海锦城套二 有装修 带家具家电 有阳台 视野开阔', '中海锦城二期  | 2室1厅 | 78.4平米 | 西南 | 精装 | 有电梯', '高楼层(共15层)2012年建板楼  -  簇桥', '152万', '单价19388元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5de68eed-577c-48e1-891f-912243ec51f6.png.296x216.jpg', '科华中路151号.有装修套二.', '科华中路151号  | 2室2厅 | 92.74平米 | 北 | 简装', '高楼层(共7层)板楼  -  川大', '150万', '单价16175元/平米')
('https://image1.ljcdn.com/510100-inspection/test-98e283da-592c-44f3-8b63-408311835bc3.png.296x216.jpg', '标间+交通便利+楼层好+采光充足+配套实施齐全', '和鸿天府金花  | 1室0厅 | 40.71平米 | 西北 | 其他 | 有电梯', '低楼层(共14层)暂无数据  -  簇桥', '33万', '单价8107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-998e3c39-0856-4ef5-acd2-7b68ad6cccd2.png.296x216.jpg', '郭家桥南街  套二   楼层  安静', '郭家桥南街3号  | 2室1厅 | 70.9平米 | 南 | 简装', '高楼层(共6层)1998年建板楼  -  川大', '112万', '单价15797元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b86ef5d4-3ccc-49e1-adf0-7af6be82a9c6.png.296x216.jpg', '九峰国际 套三双卫 有装修 有暖气 有空中花园', '九峰国际  | 3室2厅 | 109.42平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建板楼  -  红牌楼', '225万', '单价20563元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b7cd4f5c-6721-418f-8f13-90d69a54c205.png.296x216.jpg', '棕榈花园高楼层套二朝北，安静不临街', '棕榈花园  | 2室2厅 | 89.13平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2003年建塔楼  -  川大', '173万', '单价19410元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5003a131-0154-4917-ba68-676cc9fb9886.png.296x216.jpg', '鹭岛四期 套二 朝南 有装修 采光良好', '鹭岛国际四期  | 2室1厅 | 78.74平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  外双楠', '218万', '单价27687元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e4415297-374c-4632-b39b-6b02dd33dad9.png.296x216.jpg', '中海常春藤套三中间楼层大入户，自己住的装修可以', '中海常春藤花园  | 3室2厅 | 97.01平米 | 东 | 精装 | 有电梯', '中楼层(共16层)2006年建板楼  -  龙湾', '236万', '单价24328元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7809507f-4a46-44d9-baf0-e47fc10d898d.png.296x216.jpg', '人民南路四段55号2室2厅出售', '人民南路四段55号  | 2室2厅 | 91.24平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  火车南站', '135万', '单价14797元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c7390065-0929-4a2e-9077-717dafccc4d4.png.296x216.jpg', '顺江新苑   套二 有装修  不临街', '顺江新苑A区  | 2室1厅 | 68.24平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  武侯立交', '82万', '单价12017元/平米')
('https://image1.ljcdn.com/510100-inspection/test-389a0dc7-334d-43b7-8a1e-1cc06caede37.png.296x216.jpg', '标准套三，装修保养可以，有车位', '会所花园  | 3室2厅 | 90.5平米 | 西南 | 简装 | 有电梯', '高楼层(共12层)2002年建板楼  -  五大花园', '150万', '单价16575元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcdaa1d51-d74b-40f3-a220-07fdc62edf76.jpg.296x216.jpg', '外双楠 加怡名城朝南套一 7号线龙爪堰站', '加怡名城  | 1室1厅 | 51.38平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2009年建板塔结合  -  龙湾', '85万', '单价16544元/平米')
('https://image1.ljcdn.com/510100-inspection/test-50b4ed57-a567-454b-b312-1f7257ad0106.png.296x216.jpg', '大套二 安静 户型方正 电梯小高层', '临江东路3号  | 2室2厅 | 120.92平米 | 南 | 其他', '中楼层(共11层)塔楼  -  川音', '300万', '单价24810元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9d9fc826-bc6d-445b-a9ed-4ae722359e2f.png.296x216.jpg', '小高层电梯住宅，安静不临街，适合改善型换房客户', '棕南公寓  | 2室2厅 | 115.22平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)2000年建板楼  -  棕北', '224万', '单价19442元/平米')
('https://image1.ljcdn.com/510100-inspection/de8f7ec4-cef2-449e-acfd-6ef4883daa05.JPG.296x216.jpg', '棕竹街5号套二出售 有装修 62平', '棕竹街5号  | 2室1厅 | 62.63平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  棕北', '105万', '单价16766元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4c9f633d-0df2-43c5-af78-5a57a5537915.png.296x216.jpg', '武侯国际花园， 带阳台，大套二户型，居家装修', '武侯国际花园  | 2室2厅 | 80.4平米 | 东南 | 其他 | 有电梯', '低楼层(共13层)2009年建板楼  -  红牌楼', '142万', '单价17662元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c479e8e7-6482-47f4-8cac-6590c3e48239.png.296x216.jpg', '高升桥东路28号，装修保养不错，安静不临街', '高升桥东路28号  | 2室1厅 | 77.55平米 | 东 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  高升桥', '94万', '单价12122元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42956980-505e-4c32-b661-23dffdb0241b.png.296x216.jpg', '万兴苑优质好房，户型方正，采光充足', '万兴苑  | 2室2厅 | 80.63平米 | 西南 | 其他 | 有电梯', '中楼层(共21层)2000年建板楼  -  棕北', '121万', '单价15007元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3ada0e05-ac59-4a5e-ae22-962ccd465c4c.png.296x216.jpg', '中华名园清水套二对中庭 户型方正带大阳台 采光好朝南', '中华名园二期  | 2室1厅 | 88.13平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2009年建板楼  -  武侯立交', '150万', '单价17021元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1dc9e65e-61b1-41c4-92fa-5d36948d24cb.png.296x216.jpg', '标准套三双卫，中间楼层，视野开阔', '丽都帝景  | 3室2厅 | 122.78平米 | 东南 西北 | 其他 | 有电梯', '中楼层(共12层)2007年建板楼  -  丽都', '230万', '单价18733元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c25afd1d-e256-45c2-b796-9af86b849ffe.png.296x216.jpg', '一环内低楼层步梯房，交通便利，配套齐全', '牡丹公寓  | 3室1厅 | 149.3平米 | 西南 | 其他 | 无电梯', '低楼层(共7层)2001年建板楼  -  华西', '206万', '单价13798元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a4368c87-b396-464a-8575-3eb60409d275.png.296x216.jpg', '居家小区中间楼层，房子格局方正，房子采光可以', '武侯南苑  | 2室1厅 | 83.31平米 | 西北 | 简装 | 有电梯', '低楼层(共12层)2003年建板塔结合  -  武侯祠', '141.8万', '单价17021元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadd7139d32-2b22-4e6d-9438-2ba485cf56ad.jpg.296x216.jpg', '电梯顶跃+屋顶花园  双卫双阳台 客厅餐厅与卧室分层', '会所花园  | 2室1厅 | 107.74平米 | 西北 | 精装 | 有电梯', '高楼层(共16层)2002年建板楼  -  五大花园', '160万', '单价14851元/平米')
('https://image1.ljcdn.com/510100-inspection/6f89bcf7-2bb1-4049-9409-ac54bb7a4930.jpg.296x216.jpg', '客厅带阳台，朝东看小区绿化，采光，房子保养好', '锦宏骏苑北区  | 3室2厅 | 126.29平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2004年建塔楼  -  川音', '285万', '单价22568元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d5d9d998-23e0-4b9d-bff5-1899d6299750.png.296x216.jpg', '下一站都市 标准套一 带阳台 有装修', '下一站都市  | 1室1厅 | 59.09平米 | 东 | 其他 | 有电梯', '中楼层(共14层)2014年建板楼  -  丽都', '110万', '单价18616元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1883b849-2d34-48a9-9e45-b7ac3c6022b8.png.296x216.jpg', '套四，对小区里面，西南朝向，安静', '丽都世家B区  | 4室2厅 | 137.78平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)2014年建板楼  -  丽都', '350万', '单价25403元/平米')
('https://image1.ljcdn.com/510100-inspection/3a3d7b99-56b6-467f-b072-25ab3b158dd4.jpg.296x216.jpg', '双发金英汇，精装修标准套一，130W', '双发金英汇  | 1室1厅 | 55.26平米 | 东南 | 简装 | 有电梯', '高楼层(共24层)2011年建板楼  -  航空路', '125万', '单价22621元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72bdeeac-9ffe-487e-b5d2-844c1fbbf8e6.png.296x216.jpg', '武侯区玉洁巷12号，安静不临街，套三', '玉洁巷12号  | 3室2厅 | 105.94平米 | 北 | 精装 | 无电梯', '中楼层(共7层)1995年建板楼  -  玉林', '180万', '单价16991元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b7ebd19c-83b4-41b4-9b68-b39ec5b8ce87.png.296x216.jpg', '非顶层，采光很好，小区刷卡进入，户型方正，安静', '化八院  | 2室2厅 | 66.92平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1998年建板楼  -  玉林', '101万', '单价15093元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f45e9d7c-b08b-4bbb-8098-d916f7733678.png.296x216.jpg', '郭家桥西街7号院 套二 有装修 有家具家电', '郭家桥西街7号  | 2室1厅 | 58.4平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1993年建板楼  -  川大', '105万', '单价17980元/平米')
('https://image1.ljcdn.com/510100-inspection/8e88e88b-13ab-4616-bbd6-753750b08f4d.JPG.296x216.jpg', '中海龙湾半岛 一梯一户 跃层清水洋房套四 有阳台', '中海龙湾半岛  | 4室2厅 | 213平米 | 北 | 毛坯 | 有电梯', '中楼层(共8层)2009年建板楼  -  龙湾', '690万', '单价32395元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a9ee2b39-456a-4328-b125-587a1537e52a.png.296x216.jpg', '兴元丽园  电梯套二  有装修  有家具家电', '兴元丽园B区  | 2室1厅 | 70.42平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2004年建板塔结合  -  武侯立交', '93万', '单价13207元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e23ab4ca-44b5-45a0-b480-894452fab5d9.png.296x216.jpg', '2013年新小区新贵公馆 套二户型 装修保养好', '新贵公馆  | 2室1厅 | 46.56平米 | 西南 | 其他 | 有电梯', '中楼层(共9层)2013年建塔楼  -  红牌楼', '85万', '单价18257元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b73ca5e9-1980-48dd-baf2-2e8b7d61fc2b.png.296x216.jpg', '长城宜苑 客厅和厨房带了一个阳台', '长城宜苑  | 2室1厅 | 47.77平米 | 西北 | 简装 | 有电梯', '高楼层(共11层)板楼  -  丽都', '59万', '单价12351元/平米')
('https://image1.ljcdn.com/510100-inspection/test-47e2cd68-c47a-437b-9d30-7448c2e43069.png.296x216.jpg', '高碑的标准套一，中粮2013年的安置房，户型方正采光好', '高碑瑞苑二期  | 1室1厅 | 45.56平米 | 西南 | 其他', '高楼层(共14层)2007年建板楼  -  武侯立交', '70万', '单价15365元/平米')
('https://image1.ljcdn.com/510100-inspection/test-473ab57d-abd3-4278-b645-5692dbe5b90f.png.296x216.jpg', '中庭 东南朝向 套三双卫 带部分家具家电出售', '中华名园三期D区  | 3室2厅 | 130.75平米 | 东南 | 精装 | 有电梯', '低楼层(共16层)2012年建板楼  -  武侯立交', '260万', '单价19886元/平米')
('https://image1.ljcdn.com/510100-inspection/test-58f687d6-ed0c-4af1-9e75-3503af28da27.png.296x216.jpg', '兰苑雅居，套三双卫，不临街，有装修', '兰苑雅居  | 3室2厅 | 101.01平米 | 东 西 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  外双楠', '175万', '单价17326元/平米')
('https://image1.ljcdn.com/510100-inspection/test-29c4c996-4245-4af9-9324-31df189b84ef.png.296x216.jpg', '内双楠 楠宝石 一室一厅 两梯八户 带双阳台', '楠宝石  | 1室1厅 | 58.81平米 | 东 | 简装 | 有电梯', '低楼层(共15层)2006年建板楼  -  双楠', '103万', '单价17515元/平米')
('https://image1.ljcdn.com/510100-inspection/627f5684-aba1-4076-adab-1d7891553730.jpg.296x216.jpg', '嘉云台  套三  出行方便，户型方正，采光好', '嘉云台  | 3室2厅 | 223.31平米 | 南 | 简装 | 有电梯', '高楼层(共22层)2002年建板塔结合  -  火车南站', '228万', '单价10211元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a1d1031b-b4c3-4e98-9edb-b78f899d223c.png.296x216.jpg', '星语双城 电梯套二 精装修 视野宽阔', '星语双城一期  | 2室1厅 | 85.42平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  草金立交', '112万', '单价13112元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2a409881-ea36-4e69-a696-c4e4d5b67872.png.296x216.jpg', '置信巴厘岛 套三  有装修  不临街', '置信巴厘岛A区  | 3室2厅 | 85.61平米 | 西南 | 其他 | 有电梯', '中楼层(共13层)2008年建板楼  -  武侯立交', '162万', '单价18924元/平米')
('https://image1.ljcdn.com/510100-inspection/test-abdf7f45-06b8-42d1-ba56-c139e6eb6aad.png.296x216.jpg', '百花小区   套二   有装修', '百花南街4号  | 2室1厅 | 56.63平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1993年建板楼  -  双楠', '78万', '单价13774元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadafb9341a-ca27-44ce-803a-4d9f809106d2.jpg.296x216.jpg', '中铁金花国际城精装套二带大花园', '中铁金花国际城  | 2室1厅 | 66.81平米 | 南 | 其他', '低楼层(共9层)2015年建塔楼  -  簇桥', '145万', '单价21704元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e25b8c37-8a00-445d-b96b-ff9062a5bba9.png.296x216.jpg', '红馆套三 双卫 前后中庭 不临街', '红馆  | 3室2厅 | 107.97平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2006年建板楼  -  红牌楼', '190万', '单价17598元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e5c19a8c-a5ff-4db1-8d18-b056d4399f38.png.296x216.jpg', '百花东街小区   套二  有装修', '百花东街25号  | 2室1厅 | 68.81平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  双楠', '90万', '单价13080元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9f868d59-c929-4d38-86e0-f3053dfb6834.png.296x216.jpg', '丰德国际广场清水标间带生活阳台', '丰德国际广场  | 1室0厅 | 44.72平米 | 南 | 毛坯 | 有电梯', '低楼层(共16层)2005年建板楼  -  航空路', '78万', '单价17442元/平米')
('https://image1.ljcdn.com/510100-inspection/777bde2d-f861-4d71-a220-34d41cff523c.jpg.296x216.jpg', '绿地圣路易名邸套二 有装修 安静不临街', '绿地圣路易名邸一期  | 2室2厅 | 88.47平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2012年建板塔结合  -  簇桥', '170万', '单价19216元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e8e2b6c7-ce2b-45c9-910c-5f3aca02b125.png.296x216.jpg', '兴元嘉园    电梯套二   客厅带阳台  不临街', '兴元嘉园  | 2室2厅 | 88.97平米 | 东南 | 其他 | 有电梯', '中楼层(共10层)2005年建板楼  -  武侯立交', '120万', '单价13488元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4c03a7ae-0f5f-48af-be3f-ede544739c16.png.296x216.jpg', '三环内 标准套一 户型方正 清水房随意装修', '锦翠北苑  | 1室1厅 | 52.62平米 | 东南 | 毛坯 | 无电梯', '高楼层(共6层)2003年建板楼  -  武侯立交', '70万', '单价13303元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e3d9b7a4-ce93-46d9-8d55-34eaf92aaaa9.png.296x216.jpg', '风尚国际   套三双卫  有装修', '风尚国际  | 3室2厅 | 148.21平米 | 西南 | 其他 | 有电梯', '低楼层(共15层)2003年建板楼  -  高升桥', '296万', '单价19972元/平米')
('https://image1.ljcdn.com/510100-inspection/test-779c40a2-e8ff-4ea6-8e64-29d40eaadd64.png.296x216.jpg', '龙爪小区 中间楼层 简单装修,套二', '龙爪小区2号院  | 2室2厅 | 102.46平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  外双楠', '98万', '单价9565元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5c0ae5b3-f107-4019-ba76-5917ddde0d18.png.296x216.jpg', '中间楼层  西南朝向  置信大套三双卫', '丽都花园丽府  | 3室2厅 | 131.11平米 | 西南 西 | 其他 | 有电梯', '中楼层(共16层)2011年建板楼  -  丽都', '365万', '单价27840元/平米')
('https://image1.ljcdn.com/510100-inspection/test-601018c9-4f04-4066-a3e3-4a4856be9bff.png.296x216.jpg', '红云花园佳苑内跃，套三双位，有装修', '红运花园佳苑  | 3室2厅 | 150.9平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  五大花园', '142万', '单价9411元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6d9e95e9-9a1e-41e5-8d90-0bf3f08f2bbb.png.296x216.jpg', '武侯大道 有电梯 地铁 标准套一', '双楠偶寓  | 1室1厅 | 59.45平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)暂无数据  -  五大花园', '95万', '单价15980元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7af820dd-f68f-4a4f-a3a0-67a76d7479f1.png.296x216.jpg', '桐梓林欧城南北通小套三，对小区，安静不临街', '桐梓林欧城  | 3室2厅 | 93.43平米 | 南 | 简装 | 有电梯', '高楼层(共21层)2009年建塔楼  -  桐梓林', '280万', '单价29969元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ed6894b9-a5ca-4297-86be-58552715c11f.png.296x216.jpg', '内双楠 二环内 楠极地 标间不通气 户型方正', '楠极地  | 1室0厅 | 31.78平米 | 北 | 其他 | 有电梯', '高楼层(共12层)2004年建板塔结合  -  双楠', '37.6万', '单价11832元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3160469a-c0e7-4cb1-9247-5e215b9d9f7d.png.296x216.jpg', '标准套一，户型方正，空间利用合理。', '高碑瑞苑一期  | 1室1厅 | 46.39平米 | 西南 | 其他', '低楼层(共14层)暂无数据  -  武侯立交', '61万', '单价13150元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a352aac2-1fbc-4878-93ef-132d67d274bc.png.296x216.jpg', '中粮祥云二期  有装修 有阳台  东南朝向', '中粮祥云二期  | 2室2厅 | 91.13平米 | 东南 | 其他 | 有电梯', '低楼层(共17层)2014年建板楼  -  武侯立交', '218万', '单价23922元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadd1719a14-12a5-4671-914a-8282abeb6716.jpg.296x216.jpg', '商鼎国际小区 标准套一 有装修', '商鼎国际  | 1室1厅 | 51.64平米 | 南 | 简装 | 有电梯', '低楼层(共28层)2008年建板塔结合  -  航空路', '100万', '单价19365元/平米')
('https://image1.ljcdn.com/510100-inspection/66120d46-58c6-44d9-a482-d5f35efd2db8.jpg.296x216.jpg', '锦官新城西区，繁华地段 精装套三', '锦官新城西区  | 3室2厅 | 155.61平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  航空路', '338万', '单价21721元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9d020ddc-104e-42bd-b9aa-fb2c3100e0f2.png.296x216.jpg', '山南家园，套二，有装修，电梯房', '山南家园  | 2室2厅 | 91.58平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  草金立交', '150万', '单价16380元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0e964c20-2d09-4b92-8686-fc4b7d633e01.png.296x216.jpg', '棕南正街9号 有阳台 户型方正', '棕南正街9号  | 2室1厅 | 74.05平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  棕北', '135万', '单价18231元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cd31aa95-747d-4e7a-a76d-bc2628a635e3.png.296x216.jpg', '万兴苑优质好房，户型方正，采光充足', '万兴苑  | 3室2厅 | 106.71平米 | 西南 | 其他 | 有电梯', '中楼层(共21层)2000年建板楼  -  棕北', '160万', '单价14994元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2e651c70-2a56-4779-985d-02005e96f5ea.png.296x216.jpg', '中间楼层 中庭位置 主卧次卧有阳台 南北朝向', '嘉瑞苑二期  | 4室1厅 | 129.53平米 | 北 | 其他 | 有电梯', '中楼层(共6层)2004年建板楼  -  外双楠', '215万', '单价16599元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3e0ac2c6-b6a8-4980-9252-d9c473555469.png.296x216.jpg', '一环边多层套二，屋顶有花园，通透。', '长顺苑  | 3室2厅 | 87.56平米 | 西 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  广福桥', '140万', '单价15990元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fa5c5e57-c473-468d-8354-ae4967c12ca2.png.296x216.jpg', '电梯跃层，对中庭，不临街，朝东', '锦绣花园东区  | 4室2厅 | 224.9平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2000年建板塔结合  -  桐梓林', '328万', '单价14585元/平米')
('https://image1.ljcdn.com/510100-inspection/test-063a20bf-d35f-41cc-be4c-aa8f65a65332.png.296x216.jpg', '成科路小区中间楼层套三，装修可直接用，不临街', '成科路2号  | 3室1厅 | 62.33平米 | 南 | 其他 | 无电梯', '中楼层(共7层)暂无数据  -  棕北', '102万', '单价16365元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d8d9638e-4023-4152-93d4-4e88ad186f8c.png.296x216.jpg', '方正套二，明厨明卫，高楼层，视野采光超级好', '民乐园289号  | 2室1厅 | 73.92平米 | 东南 | 其他 | 有电梯', '高楼层(共14层)2009年建板楼  -  五大花园', '106万', '单价14340元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c45eb850-163b-48ce-a057-27164a93e762.png.296x216.jpg', '万兴苑优质好房，户型方正，采光充足', '万兴苑  | 3室2厅 | 106.71平米 | 西南 | 其他 | 有电梯', '中楼层(共21层)2000年建板楼  -  棕北', '160万', '单价14994元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3926c900-fe31-4c4b-9e41-755dc0769f0d.png.296x216.jpg', '新南路84号  标准套二  主卧带阳台', '新南路84号  | 2室2厅 | 71.9平米 | 西 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  川音', '97万', '单价13491元/平米')
('https://image1.ljcdn.com/510100-inspection/test-edeebf01-1fe7-4d9b-9a13-8cf7c4a58041.png.296x216.jpg', '中华名园二期 居家装修套二  对中庭', '中华名园二期  | 2室2厅 | 88.6平米 | 西南 | 精装 | 有电梯', '低楼层(共16层)2009年建板楼  -  武侯立交', '155万', '单价17495元/平米')
