('https://image1.ljcdn.com/440100-inspection/e74c660e-183a-4352-a7f9-531a9954f25b.jpg.296x216.jpg', '科城山庄精装五房 南北通透 近地铁', '科城山庄  | 6室2厅 | 239平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2012年建塔楼  -  科学城', '850万', '单价35565元/平米')
('https://image1.ljcdn.com/440100-inspection/64059faf-ffeb-4366-a3ab-44facc109661.jpg.296x216.jpg', '普晖村 3室2厅 220万', '普晖村  | 3室2厅 | 89.75平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)1996年建塔楼  -  开发区', '220万', '单价24513元/平米')
('https://image1.ljcdn.com/440100-inspection/ec7daafa-506b-4e40-bb3f-a76dab102116.jpg.296x216.jpg', '南岗教师楼，叁房，交通便利,环境幽静', '南岗教师新村  | 3室2厅 | 97.78平米 | 南 | 简装', '中楼层(共8层)塔楼  -  开发区', '220万', '单价22500元/平米')
('https://image1.ljcdn.com/440100-inspection/37bcf752-1ab1-46a9-a4fc-1b4c6e9ee4a0.jpg.296x216.jpg', '富域尚品居 采光好 地铁口', '富域尚品居  | 2室2厅 | 70.5平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2009年建塔楼  -  开发区', '210万', '单价29788元/平米')
('https://image1.ljcdn.com/440100-inspection/39b9ddde-0164-4a98-baee-42d0910f9a4c.jpg.296x216.jpg', '恒大 金碧领秀 证过5年 南向单边位', '金碧领秀国际  | 2室2厅 | 83.31平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2007年建塔楼  -  区府', '340万', '单价40812元/平米')
('https://image1.ljcdn.com/440100-inspection/d64ac0aa-d9fc-4b0d-b6d3-dddc9e7fe5e9.jpg.296x216.jpg', '锦林山庄  温馨如家 阳光充足', '锦林山庄   | 独栋别墅 | 6室3厅 | 197.99平米 | 南 北 | 其他', '1层暂无数据  -  科学城', '920万', '单价46467元/平米')
('https://image1.ljcdn.com/440100-inspection/a7a529e6-4815-4fe5-a8c0-d27114374324.jpg.296x216.jpg', '万科城市花园 3室2厅 400万', '万科城市花园  | 3室2厅 | 106.23平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '400万', '单价37655元/平米')
('https://image1.ljcdn.com/440100-inspection/f1a1e15c-d478-4a7c-8d3c-6fa964c14bf4.jpg.296x216.jpg', '雅居乐南北向大三房 安静望花园', '雅居乐富春山居  | 3室2厅 | 202.06平米 | 南 北 | 其他 | 有电梯', '中楼层(共25层)2014年建塔楼  -  科学城', '760万', '单价37613元/平米')
('https://image1.ljcdn.com/440100-inspection/d9af6ae0-e42a-4f42-8d23-ec2ebfda4832.jpg.296x216.jpg', '祥辉广场 电梯精致三房 安静不吵', '祥辉广场  | 3室1厅 | 104平米 | 东 | 简装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  区府', '308万', '单价29616元/平米')
('https://image1.ljcdn.com/440100-inspection/00577139-779a-4019-a1d6-10040a60024e.jpg.296x216.jpg', '怡园小区   精装三房  装修保养好', '怡园小区  | 3室2厅 | 83.57平米 | 东 | 精装 | 无电梯', '低楼层(共9层)1992年建塔楼  -  区府', '295万', '单价35300元/平米')
('https://image1.ljcdn.com/440100-inspection/926ad818-1480-4096-9120-eb8833fb05dd.jpg.296x216.jpg', '荔园小区 2室2厅 208万', '荔园小区  | 2室2厅 | 61平米 | 西 | 精装 | 无电梯', '低楼层(共9层)1995年建塔楼  -  区府', '208万', '单价34099元/平米')
('https://image1.ljcdn.com/440100-inspection/d32ffeaf-5cb3-4eb1-8049-10fbcbdf001c.jpg.296x216.jpg', '泰景花园 精装修实用3房 安静不吵', '泰景花园文雅阁  | 3室2厅 | 96.13平米 | 东北 | 精装 | 有电梯', '高楼层(共9层)2004年建塔楼  -  区府', '310万', '单价32248元/平米')
('https://image1.ljcdn.com/440100-inspection/1a8bff2a-9431-45cb-8bdd-ba60cdf9ab9c.jpg.296x216.jpg', '银丰花园 中层2房 南北对流 地铁物业', '银丰花园银丰二街  | 2室2厅 | 79平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  区府', '225万', '单价28482元/平米')
('https://image1.ljcdn.com/440100-inspection/09235c1e-dcbf-462f-aec8-cfdae1657316.jpg.296x216.jpg', '宏康花园宏康和园 2室2厅 188万', '宏康花园宏康和园  | 2室2厅 | 82.4平米 | 北 | 其他 | 有电梯', '高楼层(共15层)塔楼  -  开发东区', '188万', '单价22816元/平米')
('https://image1.ljcdn.com/440100-inspection/e2fb2f4c-fda8-45d2-bb54-79cd66a821d7.jpg.296x216.jpg', '省电力一局 低层三房', '省电力一局  | 3室1厅 | 70.2平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1990年建塔楼  -  开发区', '168万', '单价23932元/平米')
('https://image1.ljcdn.com/440100-inspection/e780d6ec-74e6-4e44-8df8-9be45ccb998e.jpg.296x216.jpg', '东城华庭 电梯高层精装三房 交通方便', '泰景花园东城华庭  | 3室2厅 | 99.61平米 | 北 | 精装 | 有电梯', '中楼层(共27层)2012年建塔楼  -  区府', '398万', '单价39956元/平米')
('https://image1.ljcdn.com/440100-inspection/b323e760-9674-47ed-9eb6-9ddcd1da8f30.jpg.296x216.jpg', '大沙地西 三房可改4房 南向 采光好', '大沙地西路273号大院  | 3室1厅 | 85.59平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  区府', '298万', '单价34818元/平米')
('https://image1.ljcdn.com/440100-inspection/93ea43dc-6fea-4b27-bd09-da96392c31a6.jpg.296x216.jpg', '黄埔花园 精装三房 望园林景观 光线好', '黄埔花园  | 3室2厅 | 91.58平米 | 东北 | 精装 | 有电梯', '低楼层(共30层)2011年建塔楼  -  区府', '378万', '单价41276元/平米')
('https://image1.ljcdn.com/440100-inspection/ff170d04-9dce-449b-b347-fb79a3ed3d86.jpg.296x216.jpg', '新港生活区 1室1厅 80万', '新港生活区  | 1室1厅 | 43.79平米 | 东南 | 简装 | 无电梯', '中楼层(共5层)塔楼  -  开发区', '80万', '单价18270元/平米')
('https://image1.ljcdn.com/440100-inspection/874b0c19-0d85-4e0a-b725-de0865e51ab5.jpg.296x216.jpg', '林语山庄 精装三房 安静幽雅 交通便利', '保利林语山庄  | 4室2厅 | 184.6平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  科学城', '620万', '单价33587元/平米')
('https://image1.ljcdn.com/440100-inspection/e96cf3a6-77fe-4e5d-980d-bdec8b0bf8c3.jpg.296x216.jpg', '金碧世纪花园 厅出阳台 高层看花园', '金碧世纪花园  | 2室2厅 | 74.7平米 | 北 | 其他 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '290万', '单价38822元/平米')
('https://image1.ljcdn.com/440100-inspection/7168a9dd-ad24-4da6-a9d1-88b5a463e19e.jpg.296x216.jpg', '港前路35号大院 2室1厅 200万', '港前路35号大院  | 2室1厅 | 64平米 | 南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  区府', '200万', '单价31250元/平米')
('https://image1.ljcdn.com/440100-inspection/1381340b-66bc-4a11-bae1-f4a8f1c9bffd.jpg.296x216.jpg', '怡港花园，带主套3房，望公园', '怡港花园  | 3室2厅 | 129.82平米 | 西 | 精装 | 有电梯', '中楼层(共17层)1999年建塔楼  -  区府', '518万', '单价39902元/平米')
('https://image1.ljcdn.com/440100-inspection/610ce761-2e2c-4847-80ce-871325f58f01.jpg.296x216.jpg', '怡港花园 电梯复式 户型方正', '怡港花园  | 4室3厅 | 164.19平米 | 南 | 其他 | 有电梯', '高楼层(共11层)1999年建塔楼  -  区府', '673万', '单价40990元/平米')
('https://image1.ljcdn.com/440100-inspection/d53466dd-dcea-44fc-8f20-63af5c082380.jpg.296x216.jpg', '万科城市花园 方正二房直出阳台 交通便利', '万科城市花园  | 2室1厅 | 79.83平米 | 东 | 简装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '300万', '单价37580元/平米')
('https://image1.ljcdn.com/440100-inspection/7c3848b8-3a6c-4869-afe6-dcabaf497543.jpg.296x216.jpg', '地铁房！送大花园 小区园林景观设计尽收眼底 配套完善', '万科城市花园  | 3室2厅 | 94.37平米 | 东北 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '390万', '单价41327元/平米')
('https://image1.ljcdn.com/440100-inspection/test-87dc293e-aa69-4c6c-b866-320e3a0f55d3.png.296x216.jpg', '证满五年 金碧领秀 看房有钥匙 视频看房 装修保养好', '金碧领秀国际  | 1室1厅 | 34.5平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2007年建塔楼  -  区府', '148万', '单价42899元/平米')
('https://image1.ljcdn.com/440100-inspection/24e2fc7e-4529-4470-8499-132a8fa6c87d.jpg.296x216.jpg', '怡港花园 南向大三房 装修好', '怡港花园  | 3室2厅 | 151平米 | 南 | 精装 | 有电梯', '中楼层(共17层)1999年建塔楼  -  区府', '580万', '单价38411元/平米')
('https://image1.ljcdn.com/440100-inspection/4f9bae16-c1e9-44b1-88aa-cbb79801728c.jpg.296x216.jpg', '沙浦远洋宿舍 户型方正 正规三房 南北对流', '沙浦远洋宿舍  | 3室2厅 | 82.05平米 | 南 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  区府', '173万', '单价21085元/平米')
('https://image1.ljcdn.com/440100-inspection/ae78032f-1703-4417-b370-35d197f1dab6.jpg.296x216.jpg', '省电力一局 装修保养好 安静舒适', '省电力一局  | 3室2厅 | 80平米 | 南 | 简装 | 无电梯', '高楼层(共7层)塔楼  -  开发区', '145万', '单价18125元/平米')
('https://image1.ljcdn.com/440100-inspection/4574a21f-9453-44e8-8f10-bf9bf9fd51ca.jpg.296x216.jpg', '东城华庭 电梯高层南向精装三房 交通方便', '泰景花园东城华庭  | 3室2厅 | 121.1平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2006年建塔楼  -  区府', '510万', '单价42114元/平米')
('https://image1.ljcdn.com/440100-inspection/e2b38c78-caf2-42b3-ad26-3112f83e907c.jpg.296x216.jpg', '金碧世纪花园 温馨三房 安静望花园', '金碧世纪花园  | 3室2厅 | 100平米 | 北 | 简装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '380万', '单价38000元/平米')
('https://image1.ljcdn.com/440100-inspection/0cd6b410-25b4-4a4e-92cd-0aee54d474fb.jpg.296x216.jpg', '金碧领秀 证过两年 无抵押 精致装修 保养好', '金碧领秀国际  | 2室2厅 | 80.72平米 | 北 | 精装 | 有电梯', '低楼层(共33层)2007年建塔楼  -  区府', '295万', '单价36547元/平米')
('https://image1.ljcdn.com/440100-inspection/02eddd7e-58b9-49e4-af27-3a3b9aa131d9.jpg.296x216.jpg', '万科城市花园 实用两房房 中层', '万科城市花园  | 2室2厅 | 73.62平米 | 西北 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '285万', '单价38713元/平米')
('https://image1.ljcdn.com/440100-inspection/55f6e437-df14-4456-ae40-6c9ee5532252.jpg.296x216.jpg', '东苑小区 精装两房 南向望花园', '东苑小区  | 3室2厅 | 99平米 | 北 | 简装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  区府', '340万', '单价34344元/平米')
('https://image1.ljcdn.com/440100-inspection/b6c73d44-fa6b-42b2-9dc8-6a3885a48bd5.jpg.296x216.jpg', '龙光峰景华庭 3室1厅 255万', '龙光峰景华庭  | 3室1厅 | 89.26平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2009年建塔楼  -  科学城', '255万', '单价28569元/平米')
('https://image1.ljcdn.com/440100-inspection/21a7a082-6ba2-4daf-8bc1-6115bbcff788.jpg.296x216.jpg', '荔园小区 高层南向三房 精装修', '荔园小区  | 3室2厅 | 85.97平米 | 南 | 精装 | 无电梯', '高楼层(共8层)1995年建塔楼  -  区府', '226万', '单价26289元/平米')
('https://image1.ljcdn.com/440100-inspection/504230df-e981-41a5-ae15-b7198121c568.jpg.296x216.jpg', '龙光峰景华庭 3室2厅 275万', '龙光峰景华庭  | 3室2厅 | 92.41平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  科学城', '275万', '单价29759元/平米')
('https://image1.ljcdn.com/440100-inspection/33bd2a81-bd33-4af8-b27d-f2a3b20b3aa6.jpg.296x216.jpg', '悦涛雅苑  家电齐南北通透', '悦涛雅苑  | 3室2厅 | 97.2平米 | 南 北 | 精装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  区府', '350万', '单价36009元/平米')
('https://image1.ljcdn.com/440100-inspection/18fbee52-bf70-4469-bc7a-439ea0ea7dd0.jpg.296x216.jpg', '黄船生活区 南向两方 框架中楼层', '黄船生活区  | 2室2厅 | 69.54平米 | 南 | 其他', '中楼层(共9层)塔楼  -  长洲岛', '228万', '单价32787元/平米')
('https://image1.ljcdn.com/440100-inspection/12055957-5ac4-4dbc-9158-9528ea39983b.jpg.296x216.jpg', '金碧世纪花园 高层温馨两房 安静望花园', '金碧世纪花园  | 2室2厅 | 68平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2004年建塔楼  -  区府', '270万', '单价39706元/平米')
('https://image1.ljcdn.com/440100-inspection/be83104c-1814-4734-bf08-22e5c84519b9.jpg.296x216.jpg', '普晖村 温馨两房 证够两年 交通方便', '普晖村  | 2室2厅 | 78.3平米 | 南 | 简装', '高楼层(共9层)塔楼  -  开发区', '160万', '单价20435元/平米')
('https://image1.ljcdn.com/440100-inspection/e2928147-138d-45c5-b9b8-4c0f3b2c4680.jpg.296x216.jpg', '金碧世纪花园 2室2厅 255万', '金碧世纪花园  | 2室2厅 | 68.47平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2004年建塔楼  -  区府', '255万', '单价37243元/平米')
('https://image1.ljcdn.com/440100-inspection/7b82ac60-97f6-46fb-8737-2e2411f7fe33.jpg.296x216.jpg', '雅居乐福春山居 精装一房 可长住可度假', '雅居乐富春山居  | 1室1厅 | 66.7平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2014年建塔楼  -  科学城', '255万', '单价38231元/平米')
('https://image1.ljcdn.com/440100-inspection/dc781cce-8b27-4482-bedf-3cee91afc5c8.jpg.296x216.jpg', '南康新村 2室1厅 84万', '南康新村  | 2室1厅 | 46.65平米 | 南 | 精装', '中楼层(共5层)塔楼  -  开发东区', '84万', '单价18007元/平米')
('https://image1.ljcdn.com/440100-inspection/0cb7bec5-d18b-4b60-9ec4-ced347650ed6.jpg.296x216.jpg', '东港花园 电梯房 少住保养好 安静望幼儿园', '东港花园  | 2室1厅 | 73.84平米 | 东 | 简装 | 有电梯', '低楼层(共11层)2010年建塔楼  -  区府', '290万', '单价39275元/平米')
('https://image1.ljcdn.com/440100-inspection/33183b11-6089-4ade-b655-105902163623.jpg.296x216.jpg', '天虹花园 南向两房 景观花园 装修保养好', '天虹花园  | 2室2厅 | 77.53平米 | 西南 | 精装 | 有电梯', '中楼层(共9层)1998年建塔楼  -  区府', '258万', '单价33278元/平米')
('https://image1.ljcdn.com/440100-inspection/60f2435b-5d3c-42ed-acc4-4b0f08b755d4.jpg.296x216.jpg', '万科新里程 望花园三房 户型方正', '万科新里程  | 3室2厅 | 88.86平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2009年建塔楼  -  科学城', '300万', '单价33761元/平米')
('https://image1.ljcdn.com/440100-inspection/0d6c9cfc-3f20-46fe-aae2-b71ea79e624a.jpg.296x216.jpg', '林语山庄别墅 独栋五房 通风采光', '保利林语山庄   | 独栋别墅 | 6室3厅 | 432.54平米 | 南 北 | 其他 | 无电梯', '1层暂无数据  -  科学城', '2100万', '单价48551元/平米')
('https://image1.ljcdn.com/440100-inspection/8e2ea547-2ddc-4d76-a425-93957cb4498d.jpg.296x216.jpg', '榕景园 方正大两房 双阳台', '榕景园  | 2室2厅 | 85.22平米 | 东南 | 简装 | 有电梯', '低楼层(共9层)2001年建塔楼  -  区府', '275万', '单价32270元/平米')
('https://image1.ljcdn.com/440100-inspection/d0d52929-19a7-46aa-ab23-9b7d7dea4a2c.jpg.296x216.jpg', '天虹花园 3室2厅 270万', '天虹花园  | 3室2厅 | 77.56平米 | 南 | 其他 | 有电梯', '中楼层(共9层)1998年建塔楼  -  区府', '270万', '单价34812元/平米')
('https://image1.ljcdn.com/440100-inspection/af450c6e-c35e-49f8-a668-cff64d2b2ddb.jpg.296x216.jpg', '万科金色悦府 实用三房  间隔方正', '万科金色悦府  | 3室1厅 | 83平米 | 北 | 简装 | 有电梯', '中楼层(共31层)2014年建塔楼  -  区府', '310万', '单价37350元/平米')
('https://image1.ljcdn.com/440100-inspection/5cda2c46-fea6-4646-9a8f-268bef28b2c0.jpg.296x216.jpg', '海关大院 电梯三房 装修保养好', '海关大院  | 3室2厅 | 91.55平米 | 北 | 精装 | 有电梯', '低楼层(共30层)1998年建塔楼  -  区府', '310万', '单价33862元/平米')
('https://image1.ljcdn.com/440100-inspection/f0f75e63-1c5d-446b-ad36-9164dd549c3f.jpg.296x216.jpg', '祥辉苑  中层南向两房 交通便利', '祥辉苑  | 3室1厅 | 75.13平米 | 南 | 其他 | 无电梯', '中楼层(共10层)塔楼  -  区府', '220万', '单价29283元/平米')
('https://image1.ljcdn.com/440100-inspection/4049aa46-b799-4e83-8358-c8b6b6969a13.jpg.296x216.jpg', '金碧世纪花园 精装修两房 有钥匙随时看房', '金碧世纪花园  | 2室2厅 | 67.59平米 | 北 | 精装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '256万', '单价37876元/平米')
('https://image1.ljcdn.com/440100-inspection/a798c8c8-9ef0-4b1a-a934-53412e6c5ce1.jpg.296x216.jpg', '文船生活区东区 实用两房 户型方正', '文船生活区东区  | 2室1厅 | 66.3平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  区府', '160万', '单价24133元/平米')
('https://image1.ljcdn.com/440100-inspection/d405cde9-b66e-4496-88c4-f1289bb2e5e2.jpg.296x216.jpg', '金碧世纪花园 南向精装两房 视野广阔', '金碧世纪花园  | 2室1厅 | 69.54平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2004年建塔楼  -  区府', '308万', '单价44292元/平米')
('https://image1.ljcdn.com/440100-inspection/0121da5f-ebc5-4f89-bce9-7f4a45ab8261.jpg.296x216.jpg', '萝岗万达 高层 东南、东北向两面采光 精装一房一厅', '萝岗万达广场  | 1室1厅 | 62.99平米 | 东南 东北 | 其他', '高楼层(共27层)塔楼  -  科学城', '113万', '单价17940元/平米')
('https://image1.ljcdn.com/440100-inspection/36ad3830-6d1f-46aa-a3bc-bed12e5d9984.jpg.296x216.jpg', '石化大院 通风采光好 格局好', '石化生活区  | 1室1厅 | 35.91平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1976年建板楼  -  区府', '100万', '单价27848元/平米')
('https://image1.ljcdn.com/440100-inspection/cae69d98-7c22-40b8-bc57-cbe49e1de55c.jpg.296x216.jpg', '东城华庭 精装复式公寓 地铁五号线', '泰景花园东城华庭  | 1室1厅 | 47.4平米 | 东 | 精装 | 无电梯', '中楼层(共8层)2006年建塔楼  -  区府', '110万', '单价23207元/平米')
('https://image1.ljcdn.com/440100-inspection/0aed2231-1f27-4b8c-8a65-42bdd288645a.jpg.296x216.jpg', '海关大院 3室2厅 295万', '海关大院  | 3室2厅 | 98平米 | 东南 东北 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  区府', '295万', '单价30103元/平米')
('https://image1.ljcdn.com/440100-inspection/3b1771cd-4eeb-4898-a4b0-7aa5d6a26b18.jpg.296x216.jpg', '荔园小区 精装两房 南北对流', '荔园小区  | 2室1厅 | 69.9平米 | 南 北 | 精装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  区府', '210万', '单价30043元/平米')
('https://image1.ljcdn.com/440100-inspection/1300159b-b345-40b0-a74b-058b51afa88a.jpg.296x216.jpg', '珠冶小区 框架温馨两房 装修保养新颖', '珠冶小区  | 2室1厅 | 78平米 | 南 北 | 简装 | 无电梯', '低楼层(共8层)2000年建塔楼  -  区府', '180万', '单价23077元/平米')
('https://image1.ljcdn.com/440100-inspection/0f1e8578-956f-435f-a04a-af2fede5236d.jpg.296x216.jpg', '悦涛雅苑 家电齐南北通透', '悦涛雅苑  | 3室2厅 | 97.19平米 | 东南 | 简装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  区府', '338万', '单价34778元/平米')
('https://image1.ljcdn.com/440100-inspection/085249f2-5397-48d9-aa16-3d13c4c8c1bd.jpg.296x216.jpg', '金港花园 东时区 电梯高层 精装两房', '金港花园  | 2室2厅 | 79.35平米 | 北 | 简装 | 有电梯', '高楼层(共18层)2009年建塔楼  -  区府', '350万', '单价44109元/平米')
('https://image1.ljcdn.com/440100-inspection/7dd29e4f-9a66-456b-97c7-70c0122b3185.jpg.296x216.jpg', '精装两房，户型实用，视野开阔，业主急卖', '金碧世纪花园  | 2室2厅 | 65平米 | 北 | 精装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  区府', '255万', '单价39231元/平米')
('https://image1.ljcdn.com/440100-inspection/fcb0b515-c494-4bee-a2b3-6359ee1e68b6.jpg.296x216.jpg', '省电力一局 1室2厅 105万', '省电力一局  | 1室2厅 | 53.33平米 | 南 | 简装', '中楼层(共6层)板楼  -  开发区', '105万', '单价19689元/平米')
('https://image1.ljcdn.com/440100-inspection/0450e766-87aa-4e8c-9419-aba92ed49b26.jpg.296x216.jpg', '富域尚品居 电梯中楼层 南向精装两房 户型方正', '富域尚品居  | 2室2厅 | 67平米 | 东南 | 精装 | 有电梯', '中楼层(共17层)2009年建塔楼  -  开发区', '198万', '单价29553元/平米')
('https://image1.ljcdn.com/440100-inspection/576569f7-49ca-46d3-af8b-b812c05ee6c4.jpg.296x216.jpg', '万科城市花园 近两年装修 适居家 近小区主出入口', '万科城市花园  | 2室2厅 | 79.84平米 | 东北 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '293万', '单价36699元/平米')
('https://image1.ljcdn.com/440100-inspection/df5d3f34-8b42-4290-a496-f3e97639422a.jpg.296x216.jpg', '新安苑 家私电器齐 保养好', '新安苑  | 2室2厅 | 86平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1998年建塔楼  -  区府', '238万', '单价27675元/平米')
('https://image1.ljcdn.com/440100-inspection/1a8af0ea-b52d-41d8-9687-eecd5795e07e.jpg.296x216.jpg', '金碧世纪花园 南北对流三房 户型方正双阳', '金碧世纪花园  | 3室2厅 | 158平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2004年建塔楼  -  区府', '650万', '单价41140元/平米')
('https://image1.ljcdn.com/440100-inspection/b65583d3-8004-4991-b259-0a45b441dc82.jpg.296x216.jpg', '金碧世纪花园 五期南向三房', '金碧世纪花园  | 4室2厅 | 129.72平米 | 南 | 简装 | 有电梯', '中楼层(共25层)2004年建塔楼  -  区府', '550万', '单价42400元/平米')
('https://image1.ljcdn.com/440100-inspection/cdb1a85e-93df-4dca-a39f-3ec0e9507733.jpg.296x216.jpg', '龙光峰景华庭 北向两房 怡家', '龙光峰景华庭  | 2室2厅 | 83.15平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  科学城', '245万', '单价29465元/平米')
('https://image1.ljcdn.com/440100-inspection/0ce04a20-5c2e-4668-95e9-3e6a763a1b04.jpg.296x216.jpg', '宏康花园宏康和园 3室2厅 203万', '宏康花园宏康和园  | 3室2厅 | 93.86平米 | 东南 | 精装 | 有电梯', '中楼层(共15层)塔楼  -  开发东区', '203万', '单价21628元/平米')
('https://image1.ljcdn.com/440100-inspection/708efead-bc4c-4969-a829-cf8e9d948df4.jpg.296x216.jpg', '万科金色悦府精致实用大三房南北对流', '万科金色悦府  | 3室2厅 | 101平米 | 南 北 | 精装 | 有电梯', '低楼层(共31层)2014年建塔楼  -  区府', '368万', '单价36436元/平米')
('https://image1.ljcdn.com/440100-inspection/9dbf648c-2673-42c3-a227-ad7a4a2bc555.jpg.296x216.jpg', '宏康花园四期 温馨四房 价格便宜 交通方便', '宏康花园四期康慧苑  | 4室2厅 | 124平米 | 南 | 简装', '高楼层(共7层)板楼  -  开发东区', '210万', '单价16936元/平米')
('https://image1.ljcdn.com/440100-inspection/a8a89c3a-f5d5-47d8-a2fd-e431daa77ebe.jpg.296x216.jpg', '万科东荟城 实用小三房 中高楼层 视野好 采光充足', '万科东荟城  | 3室2厅 | 86.8平米 | 南 | 其他', '高楼层(共23层)2015年建塔楼  -  科学城', '300万', '单价34563元/平米')
('https://image1.ljcdn.com/440100-inspection/759ad6f6-88a4-4c4c-93ab-f4be55bde21d.jpg.296x216.jpg', '黄电新村 南北对流 格局方正 采光通风好', '黄电新村  | 3室2厅 | 87平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  开发区', '160万', '单价18391元/平米')
('https://image1.ljcdn.com/440100-inspection/75256a3a-c8ad-415d-93bb-3ddd91d3218f.jpg.296x216.jpg', '万科城市花园 3房1厅 348.54万元', '万科城市花园  | 3室1厅 | 94.2平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '363万', '单价38536元/平米')
('https://image1.ljcdn.com/440100-inspection/635c79fe-b7aa-48fc-8ee5-5d96713c9d15.jpg.296x216.jpg', '金逸雅居 格局方正三房 高层采光好', '金逸雅居  | 3室1厅 | 100平米 | 东北 | 简装 | 有电梯', '高楼层(共17层)2006年建塔楼  -  区府', '365万', '单价36500元/平米')
('https://image1.ljcdn.com/440100-inspection/0517b10d-ea6d-4cb2-81bd-b41f5c2202e8.jpg.296x216.jpg', '科城山庄 温馨精致四房 南向', '科城山庄  | 4室2厅 | 144.68平米 | 南 北 | 精装 | 有电梯', '中楼层(共12层)2012年建塔楼  -  科学城', '580万', '单价40089元/平米')
('https://image1.ljcdn.com/440100-inspection/228c3167-e6c1-490a-bb42-3456ae0b18cd.jpg.296x216.jpg', '雅居乐富春山居 4室2厅 730万', '雅居乐富春山居  | 4室2厅 | 197.65平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2014年建塔楼  -  科学城', '730万', '单价36934元/平米')
('https://image1.ljcdn.com/440100-inspection/68edc93e-1640-4532-b038-f168762fc5d8.jpg.296x216.jpg', '万科城市花园 南北对流 双阳台 看房方便', '万科城市花园  | 3室2厅 | 105.94平米 | 东 西 | 简装 | 有电梯', '中楼层(共11层)2003年建塔楼  -  区府', '420万', '单价39646元/平米')
('https://image1.ljcdn.com/440100-inspection/b3d2c6c2-5563-4f53-b65f-99e03c50328e.jpg.296x216.jpg', '黄埔花园 保养好，格局方正，通风采光较好，配套完善', '黄埔花园  | 3室2厅 | 95.83平米 | 西北 | 精装 | 有电梯', '低楼层(共24层)2011年建塔楼  -  区府', '410万', '单价42785元/平米')
('https://image1.ljcdn.com/440100-inspection/365db217-9a8b-4ea4-befc-7d1e33e4523f.jpg.296x216.jpg', '万科新里程 高层方正三房 视野开阔', '万科新里程  | 3室2厅 | 88.92平米 | 北 | 精装 | 有电梯', '高楼层(共25层)2009年建塔楼  -  科学城', '300万', '单价33739元/平米')
('https://image1.ljcdn.com/440100-inspection/71e78aad-6cbb-4f29-b907-832119ad9b55.jpg.296x216.jpg', '泰景花园文雅阁 三房，送大露台', '泰景花园文雅阁  | 3室2厅 | 96.12平米 | 东北 | 简装 | 有电梯', '低楼层(共9层)2004年建塔楼  -  区府', '300万', '单价31211元/平米')
('https://image1.ljcdn.com/440100-inspection/4b93f23a-3118-47bd-9a82-350b640dc57b.jpg.296x216.jpg', '金碧世纪花园 南向两房 中高楼层 随时可入住', '金碧世纪花园  | 2室2厅 | 68.31平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '255万', '单价37330元/平米')
