('https://image1.ljcdn.com/210100-inspection/18306948-47b5-4f59-b1a6-d24186fd0c6f.jpg.296x216.jpg', '香树湾 3室3厅 110万', '香树湾  | 3室3厅 | 104.41平米 | 南 北 | 精装', '中楼层(共5层)暂无数据  -  皇姑区', '110万', '单价10536元/平米')
('https://image1.ljcdn.com/210100-inspection/2349a06a-7bb4-4b76-ba4e-df6e8da42b1b.jpg.296x216.jpg', '中海寰宇天下天颂 3室2厅 233万', '中海寰宇天下天颂  | 3室2厅 | 130平米 | 南 北 | 其他', '中楼层(共33层)2014年建板楼  -  皇姑区', '233万', '单价17924元/平米')
('https://image1.ljcdn.com/210100-inspection/4a7a3b97-7df5-4266-96db-d79c3d9406d8.jpg.296x216.jpg', '中海寰宇天下天朗 2室2厅 118万', '中海寰宇天下天朗  | 2室2厅 | 84平米 | 南 | 简装', '高楼层(共34层)2012年建板楼  -  皇姑区', '118万', '单价14048元/平米')
('', '中海寰宇天下天颂 3室2厅 230万', '中海寰宇天下天颂  | 3室2厅 | 130平米 | 南 | 其他', '高楼层(共33层)2014年建板楼  -  皇姑区', '230万', '单价17693元/平米')
('https://image1.ljcdn.com/210100-inspection/6a32df9b-c041-43a4-b950-8139fe9e5e52.jpg.296x216.jpg', '皇姑区 医学院地铁口 两室南北 一楼送花园 无大税', '哥本哈根  | 2室2厅 | 100.08平米 | 南 北 | 其他', '低楼层(共10层)暂无数据  -  皇姑区', '118万', '单价11791元/平米')
('https://image1.ljcdn.com/210100-inspection/c9a355f9-c624-4c35-8c3e-6fc19cf9199b.jpg.296x216.jpg', '保利溪湖林语 3室2厅 80万', '保利溪湖林语  | 3室2厅 | 109.54平米 | 东 南 北 | 毛坯', '高楼层(共12层)板楼  -  皇姑区', '80万', '单价7304元/平米')
('https://image1.ljcdn.com/210100-inspection/faac8865-a751-4375-b4d0-cdc7fdc8fb4b.jpg.296x216.jpg', '皇姑区 保利溪湖林语两室 不把山不临街 中间楼层', '保利溪湖林语一期  | 2室1厅 | 87平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  皇姑区', '87万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/c8da402e-bba3-4caa-b622-599f43eafd04.jpg.296x216.jpg', '中海寰宇天下天汇D区 2室2厅 120万', '中海寰宇天下天汇D区  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  皇姑区', '120万', '单价13484元/平米')
('https://image1.ljcdn.com/210100-inspection/988a0ca8-db76-4350-a9ad-c05237d93dfa.jpg.296x216.jpg', '中海寰宇天下天颂 3室2厅 161万', '中海寰宇天下天颂  | 3室2厅 | 114平米 | 南 北 | 其他', '低楼层(共33层)2014年建板楼  -  皇姑区', '161万', '单价14123元/平米')
('', '保利大都会 2室2厅 168万', '保利大都会  | 2室2厅 | 95.9平米 | 南 | 其他', '中楼层(共40层)2016年建板楼  -  皇姑区', '168万', '单价17519元/平米')
('https://image1.ljcdn.com/210100-inspection/e63d5abb-82a8-4e09-a2be-3a85ae921abc.jpg.296x216.jpg', '中海寰宇天下天颂 2室2厅 165万', '中海寰宇天下天颂  | 2室2厅 | 99平米 | 南 北 | 其他', '低楼层(共33层)2014年建板楼  -  皇姑区', '165万', '单价16667元/平米')
('https://image1.ljcdn.com/210100-inspection/dfea0952-464c-408d-8a0c-69c8f0108eac.jpg.296x216.jpg', '恒大雅苑 大开发商 满二无大税 精装修 拎包入住', '恒大雅苑  | 2室2厅 | 85.38平米 | 西南 | 其他', '高楼层(共23层)2018年建板楼  -  皇姑区', '68万', '单价7965元/平米')
('', '中海▪寰宇天下天赋 2室2厅 160万', '中海▪寰宇天下天赋  | 2室2厅 | 97平米 | 南 北 | 其他', '高楼层(共33层)板楼  -  皇姑区', '160万', '单价16495元/平米')
('https://image1.ljcdn.com/210100-inspection/a795ce16-ac7e-4efc-9e65-85fda12966fd.jpg.296x216.jpg', '万科金域华府中间楼层满二无大税随时看房', '万科金域华府  | 2室2厅 | 78平米 | 东南 | 其他', '中楼层(共28层)2016年建板楼  -  皇姑区', '85万', '单价10898元/平米')
('https://image1.ljcdn.com/210100-inspection/fe0f1a28-3705-4a2c-8fdc-4fbe0a41ec9a.jpg.296x216.jpg', '万科金域华府 2室2厅 85万', '万科金域华府  | 2室2厅 | 78平米 | 东南 | 精装', '中楼层(共32层)2016年建板楼  -  皇姑区', '85万', '单价10898元/平米')
('https://image1.ljcdn.com/210100-inspection/ccdea37e-b89c-4663-910a-5a085d280b84.jpg.296x216.jpg', '利生丽园 1室1厅 30万', '利生丽园  | 1室1厅 | 42.04平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  皇姑区', '30万', '单价7137元/平米')
('https://image1.ljcdn.com/210100-inspection/b7bd59f8-2f7a-43bb-9436-042e93429074.jpg.296x216.jpg', '中海寰宇天下天喜 2室1厅 100万', '中海寰宇天下天喜  | 2室1厅 | 74.61平米 | 东北 | 其他', '低楼层(共34层)板楼  -  皇姑区', '100万', '单价13404元/平米')
('https://image1.ljcdn.com/210100-inspection/50a7197e-0ea4-497a-9c2d-6885285a3386.jpg.296x216.jpg', '皇姑区 碧桂园学府壹号 三室两南一北 送阳台 精装修', '碧桂园学府壹号  | 3室2厅 | 89平米 | 南 北 | 其他', '低楼层(共6层)2017年建板塔结合  -  皇姑区', '98万', '单价11012元/平米')
('', '恒大雅苑 精装修 中间楼层 不把山不临街 人工湖绿化好', '恒大雅苑  | 2室1厅 | 83.76平米 | 南 | 其他', '中楼层(共26层)2018年建板楼  -  皇姑区', '73万', '单价8716元/平米')
('https://image1.ljcdn.com/210100-inspection/1d0ebdf9-625a-429f-8b80-7df1bfc52e68.jpg.296x216.jpg', '华泰新都E区 3室2厅 135万', '华泰新都E区  | 3室2厅 | 136.54平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  皇姑区', '135万', '单价9888元/平米')
('https://image1.ljcdn.com/210100-inspection/6099534d-c6fa-4615-b74c-ff5a9045f19c.jpg.296x216.jpg', '保利溪湖林语一期 多层两室精装修 满五年无大税', '保利溪湖林语一期  | 2室2厅 | 92.71平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '86万', '单价9277元/平米')
('', '中海寰宇天下天朗 2室1厅 89万', '中海寰宇天下天朗  | 2室1厅 | 70平米 | 东北 | 其他', '高楼层(共32层)板楼  -  皇姑区', '89万', '单价12715元/平米')
('https://image1.ljcdn.com/210100-inspection/dd081726-60fa-4228-a3c1-5f86be05c6a5.jpg.296x216.jpg', '中海寰宇天下天颂 3室2厅 228万', '中海寰宇天下天颂  | 3室2厅 | 131平米 | 南 北 | 其他', '高楼层(共34层)2014年建板楼  -  皇姑区', '228万', '单价17405元/平米')
('https://image1.ljcdn.com/210100-inspection/ecc7aa58-82a5-441f-9116-c37e40eb3921.jpg.296x216.jpg', '保利溪湖林语一期 2室2厅 86万', '保利溪湖林语一期  | 2室2厅 | 88平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  皇姑区', '86万', '单价9773元/平米')
('', '中海寰宇天下天汇A区 1室1厅 80万', '中海寰宇天下天汇A区  | 1室1厅 | 68平米 | 南 | 其他', '高楼层(共33层)2012年建板楼  -  皇姑区', '80万', '单价11765元/平米')
('https://image1.ljcdn.com/210100-inspection/49baf2a6-7a79-4e6c-abb1-9f779622b9f7.jpg.296x216.jpg', '皇姑区 文大路 保利溪湖林语 2室2厅 南北向', '保利溪湖林语  | 2室2厅 | 90平米 | 南 北 | 精装', '低楼层(共17层)2017年建板楼  -  皇姑区', '85万', '单价9445元/平米')
('https://image1.ljcdn.com/210100-inspection/5e03637a-c7a0-4262-9bd0-f5fcd9f6b127.jpg.296x216.jpg', '碧桂园学府壹号 2室1厅 57万', '碧桂园学府壹号  | 2室1厅 | 71平米 | 南 | 精装', '高楼层(共29层)2017年建板塔结合  -  皇姑区', '57万', '单价8029元/平米')
('', '中海寰宇天下天颂 2室2厅 160万', '中海寰宇天下天颂  | 2室2厅 | 99.7平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  皇姑区', '160万', '单价16049元/平米')
('https://image1.ljcdn.com/210100-inspection/ac633ac5-d71d-4f07-a8ac-b6b29b8bd47a.jpg.296x216.jpg', '恒大雅苑 采光充足 精装修房 拎包入住 园区自带观景湖', '恒大雅苑  | 2室2厅 | 85.22平米 | 西南 | 精装', '高楼层(共26层)2018年建板楼  -  皇姑区', '65万', '单价7628元/平米')
('https://image1.ljcdn.com/210100-inspection/fcb6231e-9938-4fb8-9dc0-d45b15b211df.jpg.296x216.jpg', '万科金域华府 2室2厅 90万', '万科金域华府  | 2室2厅 | 88.56平米 | 南 北 | 其他', '低楼层(共28层)2016年建板楼  -  皇姑区', '90万', '单价10163元/平米')
('', '中海寰宇天下天朗 2室2厅 159万', '中海寰宇天下天朗  | 2室2厅 | 92平米 | 南 北 | 其他', '中楼层(共18层)2012年建板楼  -  皇姑区', '159万', '单价17283元/平米')
('https://image1.ljcdn.com/210100-inspection/01517c79-8c44-47be-980c-6ff79dfa3baf.jpg.296x216.jpg', '房间保持很好价位低房主希望能在月末之前出售', '恒大雅苑  | 1室1厅 | 38.38平米 | 北 | 精装', '中楼层(共15层)2018年建板楼  -  皇姑区', '24.5万', '单价6384元/平米')
('https://image1.ljcdn.com/210100-inspection/7ade5da3-84a5-4b7f-b1d2-b5a920bdef5d.jpg.296x216.jpg', '拎包入住，交通方便，配套齐全，南北通透', '盾安新一尚品  | 3室1厅 | 93.83平米 | 南 北 | 简装', '高楼层(共34层)2017年建板楼  -  皇姑区', '78万', '单价8313元/平米')
('', '百花小区 4室2厅 115万', '百花小区  | 4室2厅 | 163平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  皇姑区', '115万', '单价7056元/平米')
('https://image1.ljcdn.com/210100-inspection/671ffa9f-25c8-44ea-8203-8a960de5ec2b.jpg.296x216.jpg', '恒大雅苑 85平 70万精装修拎包入住', '恒大雅苑  | 2室2厅 | 85.5平米 | 南 西 | 其他', '中楼层(共23层)2018年建板楼  -  皇姑区', '80万', '单价9357元/平米')
('https://image1.ljcdn.com/210100-inspection/c5eacdf7-cda6-4648-8cad-f1a93ff6aa25.jpg.296x216.jpg', '皇姑区  丽江苑小户型住宅带装修 拎包入住', '丽江苑  | 1室1厅 | 45.17平米 | 南 | 其他', '高楼层(共15层)暂无数据  -  皇姑区', '34万', '单价7528元/平米')
('', '碧桂园学府壹号 2室2厅 80万', '碧桂园学府壹号  | 2室2厅 | 76.5平米 | 南 北 | 其他', '低楼层(共6层)2017年建板塔结合  -  皇姑区', '80万', '单价10458元/平米')
('https://image1.ljcdn.com/210100-inspection/f7d327a1-bae3-4ae8-b633-bddc75487097.jpg.296x216.jpg', '新汉城社区 1室1厅 40万', '新汉城社区  | 1室1厅 | 47平米 | 南 | 其他', '高楼层(共25层)2015年建板楼  -  皇姑区', '40万', '单价8511元/平米')
('https://image1.ljcdn.com/210100-inspection/54abe0c8-af73-4341-b473-ffa6e7980147.jpg.296x216.jpg', '万科金域华府 2室1厅 91万', '万科金域华府  | 2室1厅 | 88平米 | 南 北 | 精装', '中楼层(共32层)2016年建板楼  -  皇姑区', '91万', '单价10341元/平米')
('', '中海▪寰宇天下天赋 2室2厅 139万', '中海▪寰宇天下天赋  | 2室2厅 | 95平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  皇姑区', '139万', '单价14632元/平米')
('https://image1.ljcdn.com/210100-inspection/555bfcdc-512e-4a99-af93-f06f297fdcb3.jpg.296x216.jpg', '中海寰宇天下天汇A区 1室1厅 76万', '中海寰宇天下天汇A区  | 1室1厅 | 67平米 | 南 | 其他', '高楼层(共33层)2012年建板楼  -  皇姑区', '76万', '单价11344元/平米')
('https://image1.ljcdn.com/210100-inspection/c3ef4e33-8bf7-40d9-9372-df562e9a68de.jpg.296x216.jpg', '碧桂园学府壹号 ，为您打造温暖舒适的家。', '碧桂园学府壹号  | 2室2厅 | 77平米 | 南 北 | 其他', '高楼层(共6层)2017年建板塔结合  -  皇姑区', '58万', '单价7533元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/db4946d2-c2dd-476a-bb9f-ece7a44347b5.png.280x210.jpg', '加华小城 2室1厅 46万', '加华小城  | 2室1厅 | 84.22平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  皇姑区', '46万', '单价5462元/平米')
('https://image1.ljcdn.com/210100-inspection/6d78119f-bb93-4eda-aa74-895f9d58c7f5.jpg.296x216.jpg', '恒大雅苑 精装修 两室 金碧物业 园区绿化好 采光好', '恒大雅苑  | 2室1厅 | 89.9平米 | 南 | 精装', '低楼层(共26层)2018年建板楼  -  皇姑区', '78万', '单价8677元/平米')
('https://image1.ljcdn.com/210100-inspection/8bb099ff-4daf-42a7-a944-27a33393718c.jpg.296x216.jpg', '泰合苑 2室2厅 41万', '泰合苑  | 2室2厅 | 91.64平米 | 西南 | 其他', '高楼层(共18层)暂无数据  -  皇姑区', '41万', '单价4475元/平米')
('', '盾安新一尚品 婚房精装修装修大概花了十七 中间楼层', '盾安新一尚品  | 2室1厅 | 79.05平米 | 东南 | 其他', '低楼层(共34层)2015年建板楼  -  皇姑区', '70万', '单价8856元/平米')
('https://image1.ljcdn.com/210100-inspection/d9af63d7-fa90-466e-b8a8-4e0fc24ee38f.jpg.296x216.jpg', '中海寰宇天下天汇A区 2室1厅 108万', '中海寰宇天下天汇A区  | 2室1厅 | 78平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  皇姑区', '108万', '单价13847元/平米')
('https://image1.ljcdn.com/210100-inspection/25e271ed-026b-4b7b-b04f-6fe586011c8d.jpg.296x216.jpg', '新汉城社区 2室2厅 97万', '新汉城社区  | 2室2厅 | 102平米 | 南 北 | 其他', '高楼层(共6层)2015年建板楼  -  皇姑区', '97万', '单价9510元/平米')
('', '中海寰宇天下天汇A区 2室2厅 125万', '中海寰宇天下天汇A区  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  皇姑区', '125万', '单价15625元/平米')
('https://image1.ljcdn.com/210100-inspection/623bd1ac-c480-47c1-b062-539ecb4de559.jpg.296x216.jpg', '亚明铁路小区 2室1厅 35万', '亚明铁路小区  | 2室1厅 | 58.32平米 | 南 北 | 精装', '高楼层(共8层)暂无数据  -  皇姑区', '35万', '单价6002元/平米')
('', '金剑花园 3室2厅 96万', '金剑花园  | 3室2厅 | 123.51平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  皇姑区', '96万', '单价7773元/平米')
('https://image1.ljcdn.com/210100-inspection/fb61e4fb-334e-474e-a227-0998635a68e3.jpg.296x216.jpg', '恒大雅苑 精装修 三室 拎包即住', '恒大雅苑  | 3室2厅 | 129平米 | 南 北 | 其他', '中楼层(共26层)2018年建板楼  -  皇姑区', '104万', '单价8063元/平米')
('', '瑞赛居圣苑 南北通透 精装修 标准户型 没怎么住过', '瑞赛居圣苑  | 3室2厅 | 125.09平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  皇姑区', '105万', '单价8394元/平米')
('https://image1.ljcdn.com/210100-inspection/75a718f2-653b-4d3d-bc56-d0b549e1a7f1.jpg.296x216.jpg', '中海寰宇天下天悦 2室2厅 118万', '中海寰宇天下天悦  | 2室2厅 | 88平米 | 南 西 | 其他', '高楼层(共27层)2013年建板楼  -  皇姑区', '118万', '单价13410元/平米')
('https://image1.ljcdn.com/210100-inspection/d58e43fd-8003-4001-a9b9-4aba71472b78.jpg.296x216.jpg', '瑞赛居圣苑 2室2厅 82万', '瑞赛居圣苑  | 2室2厅 | 102.16平米 | 南 北 | 精装', '中楼层(共6层)暂无数据  -  皇姑区', '82万', '单价8027元/平米')
('https://image1.ljcdn.com/210100-inspection/68e9c920-1ce9-4aa7-b6cc-63a6b8855e86.jpg.296x216.jpg', '皇姑区  碧桂园开发商  南北标户  精装修拎包入住', '碧桂园学府壹号  | 2室1厅 | 88.34平米 | 南 北 | 其他', '中楼层(共6层)2017年建板塔结合  -  皇姑区', '89万', '单价10075元/平米')
('https://image1.ljcdn.com/210100-inspection/e886fe80-45b8-4d10-b82f-0a6e1f2c1ada.jpg.296x216.jpg', '保利溪湖林语一期 2室1厅 60万', '保利溪湖林语一期  | 2室1厅 | 64.18平米 | 东北 | 其他', '低楼层(共6层)板楼  -  皇姑区', '60万', '单价9349元/平米')
('https://image1.ljcdn.com/210100-inspection/4797a835-58fb-45b2-9959-60b89785105f.jpg.296x216.jpg', '恒大雅苑 2室1厅 81万', '恒大雅苑  | 2室1厅 | 98.84平米 | 东南 | 其他', '中楼层(共25层)2018年建板楼  -  皇姑区', '81万', '单价8196元/平米')
('https://image1.ljcdn.com/210100-inspection/64e84a93-0d70-45cc-aa2f-8ece38b8723c.jpg.296x216.jpg', '保利溪湖林语五期 2室2厅 89万', '保利溪湖林语五期  | 2室2厅 | 94.98平米 | 南 北 | 精装', '中楼层(共18层)2018年建板楼  -  皇姑区', '89万', '单价9371元/平米')
('https://image1.ljcdn.com/210100-inspection/da9e0a4a-0ca0-46f2-80ee-0c9f0b6ac1ae.jpg.296x216.jpg', '恒大雅苑 3室2厅 96万', '恒大雅苑  | 3室2厅 | 116平米 | 南 北 | 精装', '中楼层(共25层)2018年建板楼  -  皇姑区', '96万', '单价8276元/平米')
('https://image1.ljcdn.com/210100-inspection/41451fc3-3778-4981-83af-c3038ffb58fc.jpg.296x216.jpg', '一环内 皇姑区 塔湾 中海盛京府 市内别墅', '中海盛京府  | 5室4厅 | 304.14平米 | 南 北 | 其他', '低楼层(共3层)板楼  -  皇姑区', '480万', '单价15783元/平米')
('https://image1.ljcdn.com/210100-inspection/3417c091-3b15-43cb-9ad9-38a53ee89c06.jpg.296x216.jpg', '新汉城社区 1室1厅 39万', '新汉城社区  | 1室1厅 | 47平米 | 南 | 其他', '高楼层(共25层)2015年建板楼  -  皇姑区', '39万', '单价8298元/平米')
('https://image1.ljcdn.com/210100-inspection/26ce96f9-a682-4668-90a0-3b2b36b3fe8a.jpg.296x216.jpg', '丽江苑 小户型一室 拎包入住 园区绿化好', '丽江苑  | 1室1厅 | 50平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  皇姑区', '41万', '单价8200元/平米')
('https://image1.ljcdn.com/210100-inspection/102ecf93-59c9-4202-8bdb-fb25cf8bb210.jpg.296x216.jpg', '南北通透 一层楼 带花园 清水房', '保利溪湖林语一期  | 2室1厅 | 80平米 | 南 北 | 毛坯', '低楼层(共6层)板楼  -  皇姑区', '71万', '单价8875元/平米')
