('https://image1.ljcdn.com/340100-inspection/d314142f-f3da-4dd7-ac64-9a151bec095b.JPG.296x216.jpg', '恒盛招牌敞亮大三房 南北双阳台 无遮挡采光', '恒盛皇家花园  | 3室2厅 | 132.96平米 | 南 北 | 其他', '低楼层(共24层)2013年建板楼  -  林店', '170万', '单价12786元/平米')
('https://image1.ljcdn.com/340100-inspection/4077d3b5-3330-4bc3-98ec-3180882ae570.jpg.296x216.jpg', '华安家园 2室2厅 175万', '华安家园  | 2室2厅 | 105.33平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  亳州', '175万', '单价16615元/平米')
('https://image1.ljcdn.com/340100-inspection/bf59ca32-3919-43d1-a458-17e3c2d28362.jpg.296x216.jpg', '南北通透，采光好 楼层佳，交通便捷', '桐城路159号  | 2室1厅 | 77.63平米 | 南 北 | 其他', '中楼层(共6层)1993年建板楼  -  三孝口', '198万', '单价25506元/平米')
('https://image1.ljcdn.com/340100-inspection/6cdece9a-9572-422f-bed7-c5c457ec3742.JPG.296x216.jpg', '金都华庭优质三房，小区环境优美', '金都华庭  | 3室2厅 | 126平米 | 南 | 其他', '高楼层(共6层)2010年建板楼  -  杏林', '163万', '单价12937元/平米')
('https://image1.ljcdn.com/340100-inspection/test-1cf50863-e9b7-42b4-80e8-a4bf36df0e6c.png.296x216.jpg', '上城国际玫瑰苑 南北通透 两房朝南 拎包入住 院子露台', '上城国际玫瑰苑  | 3室2厅 | 92.98平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  杏林', '145万', '单价15595元/平米')
('https://image1.ljcdn.com/340100-inspection/ddd685ed-6b7d-48f0-97b2-4af8534bd9d8.jpg.296x216.jpg', '义仓巷 2室1厅 68万', '义仓巷  | 2室1厅 | 46.51平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  逍遥津', '68万', '单价14621元/平米')
('https://image1.ljcdn.com/340100-inspection/ad593fa5-1b6d-48a3-9af5-cf9785a41384.jpg.296x216.jpg', '元一滨水城 3室1厅 260万', '元一滨水城  | 3室1厅 | 137.55平米 | 南 | 其他', '高楼层(共18层)2005年建板楼  -  亳州', '260万', '单价18903元/平米')
('https://image1.ljcdn.com/340100-inspection/ac46ff56-e16c-4ad5-a410-39f1f2700b6b.jpg.296x216.jpg', '万科旭庭，满两年，边户，精装修，视野采光好', '万科森林公园旭庭  | 3室2厅 | 99平米 | 南 北 | 其他', '中楼层(共30层)2015年建塔楼  -  森林公园', '240万', '单价24243元/平米')
('https://image1.ljcdn.com/340100-inspection/57aec46a-2d7f-485a-881f-76d1cd8c4746.jpg.296x216.jpg', '深圳花园 位置好 配套齐全 交通便利', '深圳花园  | 4室1厅 | 112.02平米 | 南 | 其他', '高楼层(共7层)2000年建板楼  -  双岗', '117万', '单价10445元/平米')
('https://image1.ljcdn.com/340100-inspection/a0eb8fe5-c39c-4a05-9bc2-236cd2cddfc8.JPG.296x216.jpg', '为你而选为你为家正丰苑三房朝南', '正丰苑  | 3室2厅 | 143平米 | 南 北 | 其他', '高楼层(共10层)塔楼  -  双岗', '200万', '单价13987元/平米')
('https://image1.ljcdn.com/340100-inspection/cf66a932-89a4-4dfb-9374-f70c8584b5fd.jpg.296x216.jpg', '为你而选为你为家，好楼层采光足。', '畅园新村  | 3室1厅 | 63.36平米 | 南 北 | 简装', '高楼层(共6层)1998年建板楼  -  亳州', '74万', '单价11680元/平米')
('https://image1.ljcdn.com/340100-inspection/4d297322-874c-4893-878b-214fc1ce91a7.JPG.296x216.jpg', '顶楼复式，赠送超大露台，单价低', '杏林北村  | 3室2厅 | 137.95平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  杏林', '137万', '单价9932元/平米')
('https://image1.ljcdn.com/340100-inspection/0de1cf27-cb45-4d12-a630-630a7e811eb5.JPG.296x216.jpg', '丰大苑 3室2厅 105万', '丰大苑  | 3室2厅 | 94.1平米 | 南 | 其他', '高楼层(共6层)2002年建板楼  -  杏林', '105万', '单价11159元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6e0e28b4-7dc1-4ca2-86a5-0ba635d07b46.jpg.296x216.jpg', '绿地派克公馆 统一精装修 楼层好采光棒 随时看房', '绿地派克公馆  | 2室1厅 | 91.54平米 | 南 北 | 其他', '中楼层(共27层)2016年建塔楼  -  森林公园', '130万', '单价14202元/平米')
('https://image1.ljcdn.com/340100-inspection/2fc8a6cd-77b9-449d-b2ad-b880fc8b95d3.jpg.296x216.jpg', '祥源广场翡丽城 2室2厅 175万', '祥源广场翡丽城  | 2室2厅 | 90.87平米 | 南 北 | 其他', '低楼层(共28层)2013年建塔楼  -  亳州', '175万', '单价19259元/平米')
('https://image1.ljcdn.com/340100-inspection/09fce8b7-a833-418e-ac1c-ed523a1f0c11.jpg.296x216.jpg', '置地柏景雅筑 14年交房 纯毛坯', '置地栢景雅筑  | 2室1厅 | 86平米 | 南 | 其他', '高楼层(共18层)2014年建塔楼  -  亳州', '150万', '单价17442元/平米')
('https://image1.ljcdn.com/340100-inspection/af261cfd-93b8-46f8-9e7c-4e09f50d86a8.jpg.296x216.jpg', '为您选择为您家 都市清华位置好 业主诚心售', '都市清华  | 3室2厅 | 143.03平米 | 南 北 | 其他', '高楼层(共18层)2006年建板楼  -  海棠', '262万', '单价18318元/平米')
('https://image1.ljcdn.com/340100-inspection/5d048f38-c11f-422d-b94d-355f495741f1.JPG.296x216.jpg', '云顶雅苑 3室1厅 90万', '云顶雅苑  | 3室1厅 | 97.87平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  林店', '90万', '单价9196元/平米')
('https://image1.ljcdn.com/340100-inspection/a7b33ac0-72dd-41a0-97f0-eaa72f73632d.JPG.296x216.jpg', '融侨悦城 2室2厅 117万', '融侨悦城  | 2室2厅 | 85.31平米 | 南 | 其他', '低楼层(共28层)2017年建塔楼  -  林店', '117万', '单价13715元/平米')
('https://image1.ljcdn.com/340100-inspection/ad0e4cd4-2c2b-4686-9515-0e5a5b8011a8.jpg.296x216.jpg', '紫桐新村E区 3室2厅 113万', '紫桐新村E区  | 3室2厅 | 83.64平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  四里河', '113万', '单价13511元/平米')
('https://image1.ljcdn.com/340100-inspection/59be6fec-d793-43b2-8b98-381eb8d5bd88.JPG.296x216.jpg', '北环阳光 2室2厅 120万', '北环阳光  | 2室2厅 | 94平米 | 南 | 其他', '高楼层(共18层)2013年建板楼  -  杏林', '120万', '单价12766元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd8f30004-1ae4-490f-b742-e3280043be01.jpg.296x216.jpg', '房子满两年，顶层复式，面积大，配套齐全。', '畅园新村  | 3室2厅 | 111.5平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  亳州', '142万', '单价12736元/平米')
('https://image1.ljcdn.com/340100-inspection/e9094e74-062d-4012-8966-9f1bf3d4804b.JPG.296x216.jpg', '荣城南苑北区 2室2厅 106万', '荣城南苑北区  | 2室2厅 | 94.85平米 | 南 北 | 其他', '高楼层(共11层)2014年建板楼  -  林店', '106万', '单价11176元/平米')
('https://image1.ljcdn.com/340100-inspection/56932d99-4aab-46eb-b024-f61551fcd314.JPG.296x216.jpg', '阜阳北路86号 安徽省汽车工业宿舍 精装修', '华建小区  | 3室1厅 | 87.92平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  双岗', '103万', '单价11716元/平米')
('https://image1.ljcdn.com/340100-inspection/f740cb64-fbb4-4375-b123-c8cf7b38084c.jpg.296x216.jpg', '盛世花园 中间楼层 采光好  交通便利', '盛世花园  | 2室2厅 | 81.06平米 | 南 北 | 简装', '中楼层(共6层)2004年建板楼  -  亳州', '120万', '单价14804元/平米')
('https://image1.ljcdn.com/340100-inspection/51ec048c-f79c-4411-bdf2-fbc0ab61c586.JPG.296x216.jpg', '为你而选为你为家、金域蓝湾好房，拎包入住，家电齐全', '和煦园  | 2室2厅 | 80平米 | 南 | 其他', '高楼层(共6层)2003年建板楼  -  亳州', '116万', '单价14500元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload3f20fe0f-b73c-48c5-a8ad-ac65d8d61401.jpg.296x216.jpg', '文一名 门湖畔 毛坯三居室 湖景房 价格可谈', '文一名门湖畔  | 3室2厅 | 97.91平米 | 南 北 | 其他', '高楼层(共40层)2015年建塔楼  -  四里河', '160万', '单价16342元/平米')
('https://image1.ljcdn.com/340100-inspection/941e5282-54e1-4767-ac3e-1ecae2f82511.JPG.296x216.jpg', '为你而选为你为家深圳花园好房出售', '深圳花园  | 3室1厅 | 87.3平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  双岗', '130万', '单价14892元/平米')
('https://image1.ljcdn.com/340100-inspection/11af4983-190c-43e2-b93a-465f2f60b5d9.jpg.296x216.jpg', '安北小区 劳动厅宿舍 简单装修 房龄新', '安北小区  | 2室1厅 | 77.06平米 | 南 | 其他', '低楼层(共6层)1990年建板楼  -  三孝口', '154万', '单价19985元/平米')
('https://image1.ljcdn.com/340100-inspection/c2f8dbf6-089c-4448-8064-a427909d2c97.jpg.296x216.jpg', '畅园新村 顶楼复式 带暖气 大露台 精装修', '畅园新村  | 5室3厅 | 169.34平米 | 南 北 | 其他', '高楼层(共6层)1998年建板楼  -  亳州', '185万', '单价10925元/平米')
('https://image1.ljcdn.com/340100-inspection/c2bda411-ac4e-4fc3-92d0-11d7085e04e3.jpg.296x216.jpg', '利港四季华庭 2室2厅 155万', '利港四季华庭  | 2室2厅 | 87.33平米 | 南 北 | 其他', '低楼层(共18层)2010年建板楼  -  四里河', '155万', '单价17749元/平米')
('https://image1.ljcdn.com/340100-inspection/06cfde3b-d02b-4015-9b86-fd49fe5c31a8.JPG.296x216.jpg', '杏林花园，小两房，采光无遮挡，家居装修，拎包入住。', '杏林花园  | 2室1厅 | 54.53平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  杏林', '61万', '单价11187元/平米')
('https://image1.ljcdn.com/340100-inspection/21d4084a-7592-49cc-97c0-82c134df6711.jpg.296x216.jpg', '元一美邦国际 4室2厅 248万', '元一美邦国际  | 4室2厅 | 135.72平米 | 南 北 | 其他', '中楼层(共18层)2009年建塔楼  -  亳州', '248万', '单价18273元/平米')
('https://image1.ljcdn.com/340100-inspection/4d532df1-b63c-46bc-aa1b-fde7adabb51c.jpg.296x216.jpg', '文一名门湖畔 3室1厅 168万', '文一名门湖畔  | 3室1厅 | 97.91平米 | 南 北 | 其他', '低楼层(共40层)2015年建塔楼  -  四里河', '168万', '单价17159元/平米')
('https://image1.ljcdn.com/340100-inspection/914f098e-f8d8-46ed-9659-ae862e384fd4.jpg.296x216.jpg', '北一环 南国花园玲珑碧玉中间楼层 电梯房 带市政供暖', '南国玲珑碧玉  | 2室2厅 | 77.91平米 | 南 | 其他', '中楼层(共18层)2009年建板楼  -  亳州', '140万', '单价17970元/平米')
('https://image1.ljcdn.com/340100-inspection/7ad082c3-b4eb-405c-9ac3-985f95e4e7ae.jpg.296x216.jpg', '晨欣园 3室2厅 158万', '晨欣园  | 3室2厅 | 105平米 | 南 | 其他', '中楼层(共6层)2003年建板楼  -  亳州', '158万', '单价15048元/平米')
('https://image1.ljcdn.com/340100-inspection/38cb26b3-dbca-4fe5-8c39-ebe04fa9f6ef.jpg.296x216.jpg', '北一环 缤纷南国 南北通透 精装修 大三室', '缤纷南国  | 3室2厅 | 104平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  亳州', '180万', '单价17308元/平米')
('https://image1.ljcdn.com/340100-inspection/fc3a377f-93bf-4f90-a4f4-070d43b1770f.jpg.296x216.jpg', '湖畔家园 4室2厅 210万', '湖畔家园  | 4室2厅 | 144.82平米 | 南 | 简装', '中楼层(共11层)2006年建板楼  -  四里河', '210万', '单价14501元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload07de80f9-817b-47d6-ade4-78c522508ac7.jpg.296x216.jpg', '此房满两年，无增值税，多层公摊小，小区中间楼栋', '和煦园  | 3室2厅 | 93.39平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  亳州', '140万', '单价14991元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadb851f771-1472-4a4f-95b6-0eae266f4c94.JPG.296x216.jpg', '房子单价和总价便宜，是此小区三居室中比较优质的。', '丽都名邸  | 3室2厅 | 117.96平米 | 南 | 其他', '低楼层(共18层)2005年建板楼  -  杏林', '140万', '单价11869元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada611b0d4-886f-44f3-86d9-7cbcaf7b26ba.JPG.296x216.jpg', '新界精装三房，总价低，单价低。', '上城国际新界  | 3室2厅 | 96.3平米 | 南 北 | 其他', '低楼层(共11层)2012年建板楼  -  杏林', '152万', '单价15785元/平米')
('https://image1.ljcdn.com/340100-inspection/7438213b-755a-475a-a69e-10605e1d3f36.JPG.296x216.jpg', '小区环境优美         精品好房', '杏林花园  | 4室2厅 | 122.69平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  杏林', '115万', '单价9374元/平米')
('https://image1.ljcdn.com/340100-inspection/72d7156b-d115-4117-8d33-a5c4b13e2079.jpg.296x216.jpg', '碧水源 3室2厅 215万', '碧水源  | 3室2厅 | 133.9平米 | 南 北 | 其他', '高楼层(共18层)2010年建板楼  -  四里河', '215万', '单价16057元/平米')
('https://image1.ljcdn.com/340100-inspection/191e8927-5456-4846-935a-fc3125b9bb57.jpg.296x216.jpg', '徽商国际大厦 2室1厅 135万', '徽商国际大厦  | 2室1厅 | 110.45平米 | 南 | 其他', '中楼层(共30层)2006年建板楼  -  三孝口', '135万', '单价12223元/平米')
('https://image1.ljcdn.com/340100-inspection/90efb39f-56fe-4972-b43f-e0809ab753fe.jpg.296x216.jpg', '幸福人家 1室1厅 80万', '幸福人家  | 1室1厅 | 56.75平米 | 南 | 其他', '中楼层(共33层)2001年建板楼  -  亳州', '80万', '单价14097元/平米')
('https://image1.ljcdn.com/340100-inspection/b9db6334-cfb6-470b-ad9e-e6dc761fbbeb.jpg.296x216.jpg', '海棠别院南区 2室1厅 115万', '海棠别院南区  | 2室1厅 | 90.91平米 | 南 | 其他', '高楼层(共18层)2009年建塔楼  -  海棠', '115万', '单价12650元/平米')
('https://image1.ljcdn.com/340100-inspection/89da47c1-4cd0-487a-bd65-5e160a97be6b.JPG.296x216.jpg', '可苑新村 交通便利 无遮挡 位置好 配套齐全', '可苑新村  | 1室1厅 | 32平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  亳州', '54万', '单价16875元/平米')
('https://image1.ljcdn.com/340100-inspection/7e45727e-1d8b-40df-a8ad-8d74332b4ed7.jpg.296x216.jpg', '为你而选为你为家 祥源138.9平大三房 住家装修', '祥源广场翡丽城  | 3室2厅 | 138.9平米 | 南 北 | 其他', '低楼层(共33层)2013年建塔楼  -  亳州', '280万', '单价20159元/平米')
('https://image1.ljcdn.com/340100-inspection/d80f841b-7a3b-401b-acb7-6026314f2b8a.jpg.296x216.jpg', '人民巷21号一楼带院子南北通透两房朝南客厅朝南', '人民巷21号  | 3室1厅 | 68.35平米 | 南 北 | 其他', '低楼层(共5层)1994年建板楼  -  三孝口', '220万', '单价32188元/平米')
('https://image1.ljcdn.com/340100-inspection/7958a670-bab6-4c67-9886-d642d085297f.jpg.296x216.jpg', '都市清华 三房精装 采光好 看房随时', '都市清华  | 3室2厅 | 115平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  海棠', '195万', '单价16957元/平米')
('https://image1.ljcdn.com/340100-inspection/c6e90a75-cccc-4f91-aa2e-6131ea934e30.jpg.296x216.jpg', '海棠花园大两房 卧室客厅通透采光好', '海棠花园  | 2室1厅 | 84平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  海棠', '142万', '单价16905元/平米')
('https://image1.ljcdn.com/340100-inspection/09347c49-d535-4b6a-9abd-b59362b323ac.jpg.296x216.jpg', '文一名门湖畔 3室2厅 163万', '文一名门湖畔  | 3室2厅 | 95.72平米 | 南 | 其他', '中楼层(共40层)2015年建塔楼  -  四里河', '163万', '单价17029元/平米')
('https://image1.ljcdn.com/340100-inspection/f66cca18-4217-448d-a8cb-97bfcb3ec3a3.jpg.296x216.jpg', '真实拍摄 三房南北通透小区少有的户型，次顶楼层', '元一滨水城  | 3室2厅 | 136.38平米 | 东 南 北 | 简装', '高楼层(共18层)2005年建板楼  -  亳州', '240万', '单价17598元/平米')
('https://image1.ljcdn.com/340100-inspection/ce9ee8b4-3c44-472e-8504-a7656137f202.jpg.296x216.jpg', '荷塘月色 4室2厅 230万', '荷塘月色  | 4室2厅 | 94.62平米 | 南 | 精装', '高楼层(共6层)2006年建板楼  -  海棠', '230万', '单价24308元/平米')
('https://image1.ljcdn.com/340100-inspection/7b2643bd-875b-4209-b611-f751082d523d.JPG.296x216.jpg', '樱花苑小区，小两房，两房朝南，居家装修，拎包入住。', '樱花苑小区  | 2室1厅 | 67平米 | 南 | 其他', '中楼层(共6层)板楼  -  双岗', '84万', '单价12538元/平米')
('https://image1.ljcdn.com/340100-inspection/df8cf95d-bc29-4193-9de3-420ba1dee21e.jpg.296x216.jpg', '银河湾花园 3室2厅 180万', '银河湾花园  | 3室2厅 | 105平米 | 南 | 其他', '高楼层(共6层)2013年建板楼  -  亳州', '180万', '单价17143元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd05d8c9d-efba-4d29-b29e-e43fb23de51e.jpg.296x216.jpg', '翡丽城 小户型 拎包入住 北一环 南国花园', '祥源广场翡丽城  | 1室1厅 | 56.38平米 | 东 | 其他', '低楼层(共33层)2013年建塔楼  -  亳州', '97万', '单价17205元/平米')
('https://image1.ljcdn.com/340100-inspection/be6416c3-ead7-4b01-9479-5b775c5b2f4e.jpg.296x216.jpg', '桐城路199号 1室1厅 135万', '桐城路199号  | 1室1厅 | 40.29平米 | 东 西 | 其他', '高楼层(共6层)板楼  -  三孝口', '135万', '单价33508元/平米')
('https://image1.ljcdn.com/340100-inspection/9d41ae91-fdb6-44b8-9979-3abbe328c4e2.jpg.296x216.jpg', '逍遥津门口，精装修中楼层，生活方便，厨房不在产证内', '电大恢复楼  | 2室1厅 | 48.24平米 | 东 | 其他', '中楼层(共6层)1990年建板楼  -  逍遥津', '108万', '单价22389元/平米')
('https://image1.ljcdn.com/340100-inspection/650fa828-1c89-439c-9412-1b17eb6ce3fc.jpg.296x216.jpg', '小区位于北一环  两居室  户型周正', '南国花园  | 2室1厅 | 75.6平米 | 南 | 简装', '高楼层(共6层)2002年建板楼  -  亳州', '110万', '单价14551元/平米')
('https://image1.ljcdn.com/340100-inspection/ce47a60a-6829-488b-8396-dcadaff3103c.jpg.296x216.jpg', '荷塘月色  正规两居室 业主诚心出售', '荷塘月色  | 2室2厅 | 74.4平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  海棠', '130万', '单价17474元/平米')
('https://image1.ljcdn.com/340100-inspection/9eecd6dd-4984-451d-a303-da8535fb13ce.JPG.296x216.jpg', '为你而选为你为家      繁华地', '五金五厂宿舍  | 3室2厅 | 84.28平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  杏林', '103万', '单价12222元/平米')
('https://image1.ljcdn.com/340100-inspection/5fd9986a-3b01-4924-ae80-70d6f407c2c6.jpg.296x216.jpg', '银河湾花园 3室2厅 170万', '银河湾花园  | 3室2厅 | 110.96平米 | 南 | 其他', '低楼层(共6层)2013年建板楼  -  亳州', '170万', '单价15321元/平米')
('https://image1.ljcdn.com/340100-inspection/41384dd8-7631-4f65-a872-8884a8a4416d.jpg.296x216.jpg', '格局大气 双南设计,全明通透,奢华气派彰显无疑。', '元一滨水城  | 3室2厅 | 136.52平米 | 南 北 | 其他', '高楼层(共18层)2005年建板楼  -  亳州', '275万', '单价20144元/平米')
('https://image1.ljcdn.com/340100-inspection/82615c6b-3502-46d5-a6d0-863ad02b6687.jpg.296x216.jpg', '交通便利、临近公园、离步行街不远', '义仓巷  | 1室1厅 | 42.9平米 | 南 | 精装', '低楼层(共6层)2000年建板楼  -  逍遥津', '68.7万', '单价16000元/平米')
('https://image1.ljcdn.com/340100-inspection/bf71ca50-0759-42a8-8b34-299a70afb5b7.jpg.296x216.jpg', '柏景湾 顶楼复式 视野好 带暖气  精装 南北通透', '柏景湾  | 5室2厅 | 140.37平米 | 南 北 | 其他', '高楼层(共6层)2009年建塔楼  -  亳州', '220万', '单价15673元/平米')
('https://image1.ljcdn.com/340100-inspection/109d6a34-c4af-4d38-acf3-80649be143b7.jpg.296x216.jpg', '省立医院旁 雍景苑户型好 全天采光 房龄新带电梯', '雍景苑  | 4室2厅 | 173.72平米 | 南 | 其他', '高楼层(共10层)板楼  -  逍遥津', '390万', '单价22450元/平米')
('https://image1.ljcdn.com/340100-inspection/adc0a72d-dfe3-4f8f-84a9-1a4c67b87adb.JPG.296x216.jpg', '融侨悦城 3室2厅 150万', '融侨悦城  | 3室2厅 | 113.41平米 | 南 | 其他', '中楼层(共30层)2017年建板楼  -  林店', '150万', '单价13227元/平米')
('https://image1.ljcdn.com/340100-inspection/40bc4c03-b698-4614-87ac-f01b8e368d1c.jpg.296x216.jpg', '阳光枫林 3室2厅 198万', '阳光枫林  | 3室2厅 | 115平米 | 南 | 其他', '低楼层(共12层)2004年建板楼  -  亳州', '198万', '单价17218元/平米')
('https://image1.ljcdn.com/340100-inspection/302c81c6-659c-4846-8862-b7454edfa23a.jpg.296x216.jpg', '万科森林公园睿庭 3室2厅 208万', '万科森林公园睿庭  | 3室2厅 | 89平米 | 南 | 其他', '低楼层(共28层)2016年建塔楼  -  森林公园', '208万', '单价23371元/平米')
('https://image1.ljcdn.com/340100-inspection/55709636-1699-4339-ba6b-dd88c0ba84ed.jpg.296x216.jpg', '碧水源 2室2厅 141万', '碧水源  | 2室2厅 | 88.98平米 | 南 | 其他', '中楼层(共18层)2010年建板楼  -  四里河', '141万', '单价15847元/平米')
('https://image1.ljcdn.com/340100-inspection/34dcef9a-9004-4488-8d9a-5be9cbe2c2b4.jpg.296x216.jpg', '鸿运当头 红玺台洋房 好楼层 房屋敞亮采光好', '海亮红玺台  | 3室2厅 | 131平米 | 南 北 | 毛坯', '中楼层(共8层)2014年建板塔结合  -  海棠', '340万', '单价25955元/平米')
('https://image1.ljcdn.com/340100-inspection/ae8d88c3-333a-4cc4-a1b2-37ec3e045a7b.JPG.296x216.jpg', '可苑新村 标准两房 采光充足 环境舒适', '可苑新村  | 2室1厅 | 80.96平米 | 南 | 简装', '高楼层(共6层)2000年建板楼  -  亳州', '120万', '单价14823元/平米')
('https://image1.ljcdn.com/340100-inspection/946ba6bd-ec83-4139-8b77-c98542d15fbd.JPG.296x216.jpg', '为你而选为你为家 金域蓝湾 南北通透大三房', '金域蓝湾  | 3室1厅 | 128.85平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  亳州', '245万', '单价19015元/平米')
('https://image1.ljcdn.com/340100-inspection/d2b2efac-dcd7-4084-b5ab-4f1941dcac55.jpg.296x216.jpg', '晨欣园 3室1厅 148万', '晨欣园  | 3室1厅 | 89.21平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  亳州', '148万', '单价16591元/平米')
('https://image1.ljcdn.com/340100-inspection/538d064b-097f-4b8e-b676-e7a35840b154.JPG.296x216.jpg', '杏林北村 3室1厅 105万', '杏林北村  | 3室1厅 | 82.96平米 | 南 | 其他', '中楼层(共6层)2003年建板楼  -  杏林', '105万', '单价12657元/平米')
('https://image1.ljcdn.com/340100-inspection/61a550ac-3f7b-4d77-8c3d-0f213244f3b1.jpg.296x216.jpg', '君尚金谷园3房，业主诚心出售！', '君尚金谷园  | 3室2厅 | 121.62平米 | 南 北 | 其他', '中楼层(共10层)2007年建塔楼  -  海棠', '210万', '单价17267元/平米')
('https://image1.ljcdn.com/340100-inspection/92098af9-58cc-48eb-a3aa-89ef944b257d.JPG.296x216.jpg', '副食品公司 3室1厅 110万', '副食品公司  | 3室1厅 | 82.89平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  双岗', '110万', '单价13271元/平米')
('https://image1.ljcdn.com/340100-inspection/9bf2b72a-b456-4b46-be0c-feab6df18606.jpg.296x216.jpg', '幸福人家 朝南小户型 总价低 随时看房', '幸福人家  | 1室1厅 | 50.28平米 | 南 | 其他', '低楼层(共33层)2001年建板楼  -  亳州', '72万', '单价14320元/平米')
('https://image1.ljcdn.com/340100-inspection/c92ef687-4058-4d30-999a-0ae49d5eca25.jpg.296x216.jpg', '辰龙大厦 精装两居室 环境好居住舒服 产证满五年', '辰龙大厦  | 2室1厅 | 62.95平米 | 东 | 其他', '低楼层(共31层)2010年建塔楼  -  四里河', '83万', '单价13186元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9d19c0d2-e8a6-4f33-994d-da2befabeb00.jpg.296x216.jpg', '南小45中本部、户型好、采光不挡、生活交通便利', '金寨路宿舍308号  | 3室1厅 | 67.27平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  三孝口', '206万', '单价30623元/平米')
('https://image1.ljcdn.com/340100-inspection/6087e48f-d00a-4dd9-bb05-2087c16c1e89.jpg.296x216.jpg', '辰龙大厦 1室1厅 85万', '辰龙大厦  | 1室1厅 | 62.95平米 | 东 | 其他', '高楼层(共31层)2010年建塔楼  -  四里河', '85万', '单价13503元/平米')
('https://image1.ljcdn.com/340100-inspection/4e6d99ca-31be-427e-9508-2956c922baae.jpg.296x216.jpg', '柳林苑。此房方向朝南，客厅阳台朝南，中层采光无遮挡', '庐阳柳林苑  | 1室1厅 | 59.51平米 | 南 | 毛坯', '中楼层(共15层)2012年建板楼  -  四里河', '97万', '单价16300元/平米')
('https://image1.ljcdn.com/340100-inspection/51e83c79-4549-4200-b826-c5fd6953b20a.JPG.296x216.jpg', '北环阳光 2室2厅 115万', '北环阳光  | 2室2厅 | 87.63平米 | 南 | 其他', '中楼层(共11层)2013年建板楼  -  杏林', '115万', '单价13124元/平米')
('https://image1.ljcdn.com/340100-inspection/47064c9b-a542-418c-9ac2-2b41a887fcd5.jpg.296x216.jpg', '五河新村 3室2厅 150万', '五河新村  | 3室2厅 | 115.08平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  双岗', '150万', '单价13035元/平米')
('https://image1.ljcdn.com/340100-inspection/a5a28636-d787-40bb-b83f-68221245674b.jpg.296x216.jpg', '毛坯房，采光好，小户型，总价低，老人居住比较合适。', '中铁国际城品园  | 2室2厅 | 67.66平米 | 东 西 | 其他', '低楼层(共34层)2016年建塔楼  -  四里河', '95万', '单价14041元/平米')
('https://image1.ljcdn.com/340100-inspection/00fc29a6-2480-40e4-98db-ebfab49244b0.jpg.296x216.jpg', '满五年，精装修，中间楼层，配套齐全', '晨欣园  | 3室1厅 | 80.31平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  亳州', '126万', '单价15690元/平米')
('https://image1.ljcdn.com/340100-inspection/277c8c2b-0171-4a4c-ac20-cc13e5f637b9.jpg.296x216.jpg', '书香门第 户型方正 柏景湾大两房', '柏景湾  | 2室2厅 | 96.24平米 | 南 | 其他', '中楼层(共29层)2009年建塔楼  -  亳州', '198万', '单价20574元/平米')
('https://image1.ljcdn.com/340100-inspection/fa9790ca-b391-4bec-974e-cfabb99f83ce.jpg.296x216.jpg', '中铁国际城广园 三房边户湖景房 背靠大房郢 居家装修', '中铁国际城广园  | 3室2厅 | 97.13平米 | 南 | 其他', '中楼层(共34层)2012年建板楼  -  杏花村', '170万', '单价17503元/平米')
