('https://image1.ljcdn.com/510100-inspection/test-96e02ce2-04f0-4862-bc65-c720c9250cfb.png.296x216.jpg', '套三双卫 主卧带阳台  此房满五年且唯一免个税', '东苑D区  | 3室2厅 | 135平米 | 西南 | 简装 | 有电梯', '低楼层(共26层)2009年建板楼  -  东苑', '248万', '单价18371元/平米')
('https://image1.ljcdn.com/510100-inspection/test-21a6c5a9-3730-4078-9215-a993e20f63c0.png.296x216.jpg', '兴元丽都 户型方正  套三双卫  有装修', '兴元丽都  | 3室2厅 | 95.67平米 | 西北 | 其他 | 有电梯', '低楼层(共13层)2007年建板楼  -  新北', '146万', '单价15261元/平米')
('https://image1.ljcdn.com/510100-inspection/test-06183b7c-60e5-455c-9e72-e9af7ac4b4e9.png.296x216.jpg', '高新区翡翠半岛 满5唯一 带地暖 拎包入住 视野好', '翡翠半岛  | 2室2厅 | 81.28平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2009年建板塔结合  -  远大', '160万', '单价19686元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5db48490-f2c1-4928-9a62-a9e9adc0bfbb.png.296x216.jpg', '中海兰庭 L户型小套三带装修 位置安静', '中海兰庭  | 3室2厅 | 88.58平米 | 北 | 精装 | 有电梯', '高楼层(共32层)2008年建板塔结合  -  大源', '250万', '单价28224元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8bcdf7da-6141-4ea5-be25-4cdd2d45f519.png.296x216.jpg', '价格优质，精装修，套二，位置安静，中间楼层，采光好', '南城都汇汇智园二期  | 2室2厅 | 89.39平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2010年建塔楼  -  市一医院', '182万', '单价20361元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0ef1f2ac-875e-422a-9bc8-11a5d5e1a877.png.296x216.jpg', '英郡二期清水套四双卫出售视野好', '英郡二期  | 4室2厅 | 141.55平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  新会展', '300万', '单价21194元/平米')
('https://image1.ljcdn.com/510100-inspection/test-96bf20e1-ce8a-4857-9a24-dc54a3edc23d.png.296x216.jpg', '新里维多利亚  安静   套二 带一个四五平米的小花园', '新里维多利亚公寓  | 2室2厅 | 91.42平米 | 南 | 其他 | 有电梯', '低楼层(共13层)2005年建板楼  -  神仙树', '199万', '单价21768元/平米')
('https://image1.ljcdn.com/510100-inspection/test-76045fe5-8d27-421e-82d7-eb0969dd2de8.png.296x216.jpg', '南城都汇一期，南北通透套三，南北对流通风效果好', '南城都汇汇翠园一期  | 3室2厅 | 147.93平米 | 东 西 | 其他 | 有电梯', '中楼层(共16层)2009年建板塔结合  -  市一医院', '305万', '单价20618元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5ff64881-4ed3-4581-88bd-8890da2d113c.png.296x216.jpg', '天府一街 铁像寺水街 中环岛精装公寓', '中环岛  | 1室1厅 | 46.04平米 | 北 | 其他 | 有电梯', '中楼层(共22层)2016年建板塔结合  -  大源', '89万', '单价19332元/平米')
('https://image1.ljcdn.com/510100-inspection/test-576bb14a-b79a-4174-abe7-1bc53c2da179.png.296x216.jpg', '此房09年跃层，电梯，有小花园。', '融城后街  | 2室1厅 | 50.43平米 | 东南 | 简装 | 有电梯', '高楼层(共17层)2009年建板塔结合  -  神仙树', '117万', '单价23201元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b13a16ce-2720-42cf-98a1-bfa35d377709.png.296x216.jpg', '领馆国际城套二单卫，带装修户型方正', '领馆国际城  | 2室1厅 | 82平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2013年建板塔结合  -  远大', '148万', '单价18049元/平米')
('https://image1.ljcdn.com/510100-inspection/test-758baec0-70b5-45a9-9410-d893ac413688.png.296x216.jpg', '自住精装修，套二改套三，满二中庭朝南，有钥匙随时看', '大城际  | 2室2厅 | 96平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2009年建板塔结合  -  广都', '179万', '单价18646元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e5110062-327a-439e-9e97-50d3d94c5b44.png.296x216.jpg', '新港国际花园 中间楼层 采光好  。。。。', '新港国际花园  | 2室2厅 | 85.93平米 | 东 东南 | 其他 | 有电梯', '中楼层(共32层)2011年建塔楼  -  中和', '135万', '单价15711元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e7c39e63-01cf-40f8-9f11-e398de7056e0.png.296x216.jpg', '居家装修套二 端头位置 安静采光好', '东苑锦江派  | 2室2厅 | 81平米 | 西北 | 精装 | 有电梯', '高楼层(共21层)2013年建板楼  -  东苑', '205万', '单价25309元/平米')
('https://image1.ljcdn.com/510100-inspection/test-15a6cd8e-4d01-4010-bb27-7d6759edf185.png.296x216.jpg', '套三双卫，错层客厅，互相方正通透', '王府春天花园  | 3室2厅 | 135.26平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2005年建板楼  -  中和', '208万', '单价15378元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f38880fd-7e78-42b0-b78f-990dd87288d2.png.296x216.jpg', '天府名居 套二改三房 客厅朝南 装修房 安静不吵', '天府名居  | 2室2厅 | 101.92平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  天府长城', '188万', '单价18446元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f58e1d19-882d-4ed5-aee1-61b7a670b021.png.296x216.jpg', '开发商统一装修  套三双卫  中间楼层', '成都棕榈泉国际中心  | 3室2厅 | 111.7平米 | 西 | 其他 | 有电梯', '中楼层(共36层)2015年建板塔结合  -  新会展', '330万', '单价29544元/平米')
('https://image1.ljcdn.com/510100-inspection/test-95fb1ac4-ec23-42c5-a554-fb16d7790a3e.png.296x216.jpg', '欧尚套二居家装修，对中庭，中间楼层', '欧尚庭院  | 2室2厅 | 86.85平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  中和', '130万', '单价14969元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0d62c3f9-d792-4d5d-8acd-0677bb1ab5e5.png.296x216.jpg', '城南名著 自住装修 朝西南 对中庭', '城南名著  | 3室2厅 | 101.55平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  广都', '180万', '单价17726元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd26ddd6-3d6d-4c96-82a4-9a314c4b9985.png.296x216.jpg', '华润凤凰城一期，精装修，对中庭高楼层视野采光皆好', '华润凤凰城一期  | 3室2厅 | 134.88平米 | 北 | 其他 | 有电梯', '高楼层(共27层)2013年建板塔结合  -  大源', '360万', '单价26691元/平米')
('https://image1.ljcdn.com/510100-inspection/test-68484945-6bf5-4cc7-a1b9-ce681e9d4e88.png.296x216.jpg', '卡斯摩套二，户型方正，格局明亮。', '卡斯摩广场  | 2室2厅 | 66.96平米 | 西 | 其他 | 有电梯', '低楼层(共33层)2012年建塔楼  -  中和', '115万', '单价17175元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c75187e-2954-41c3-8876-05116784b606.png.296x216.jpg', '紫荆岁月，套一的房子出售，有装修', '紫荆岁月  | 1室1厅 | 54.26平米 | 南 | 其他 | 有电梯', '高楼层(共15层)2004年建塔楼  -  神仙树', '63万', '单价11611元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3f6db522-d028-40e6-9d18-dd1234de84ea.png.296x216.jpg', '中庭套二、中间楼层、位置安静。', '南城都汇汇尚园  | 2室2厅 | 87.71平米 | 西 | 精装 | 有电梯', '中楼层(共22层)2014年建塔楼  -  市一医院', '219万', '单价24969元/平米')
('https://image1.ljcdn.com/510100-inspection/test-399a781d-8feb-4ef0-8a5b-02b9d3905ede.png.296x216.jpg', '银泰泰悦湾清水套二，视野采光都不错', '银泰泰悦湾  | 2室2厅 | 90.3平米 | 东 南 | 其他 | 有电梯', '低楼层(共31层)2013年建板楼  -  金融城', '300万', '单价33223元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b08067e5-b836-4c0c-916e-22f7a43d4027.png.296x216.jpg', '仁和春天满2年 正朝南 不临街大金空调+德国菲斯曼地暖', '仁和春天国际花园  | 3室2厅 | 166.5平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2014年建板塔结合  -  金融城', '580万', '单价34835元/平米')
('https://image1.ljcdn.com/510100-inspection/test-689fbd29-55bd-409f-bd3b-a0dcfd12bbc6.png.296x216.jpg', '尚郡 三室二厅 交通便利 小区环境干净舒适 适合居住', '尚郡  | 3室2厅 | 87.44平米 | 西 | 其他 | 有电梯', '低楼层(共30层)2014年建板塔结合  -  大源', '240万', '单价27448元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d007898a-bf27-4b43-ad24-dc10ab51bbf4.png.296x216.jpg', '天府软件园 套三双卫 英郡一期江景房', '英郡一期  | 3室2厅 | 127.07平米 | 东南 东北 | 其他 | 有电梯', '中楼层(共32层)2009年建塔楼  -  新会展', '289万', '单价22744元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ce23c514-7c6a-4db2-a8d2-c1914b5e94d0.png.296x216.jpg', '精装套三对中庭，户型方正，安静不临街。', '三和南锦  | 3室2厅 | 114.8平米 | 西南 东北 | 其他 | 无电梯', '中楼层(共6层)2008年建板楼  -  中和', '175万', '单价15244元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2eec94df-07e0-433e-9e1f-62eab37b8824.png.296x216.jpg', '高新南 衣冠庙 电梯标准套一 对小区不临街', '超洋花园  | 1室1厅 | 44.13平米 | 西北 | 其他 | 有电梯', '中楼层(共11层)2000年建塔楼  -  衣冠庙', '83万', '单价18809元/平米')
('https://image1.ljcdn.com/510100-inspection/test-30b3b110-fc55-4c4b-8357-e5674e9d1d08.png.296x216.jpg', '神仙树大院三期 3室1厅 375万', '神仙树大院三期  | 3室1厅 | 125.7平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2011年建塔楼  -  神仙树', '375万', '单价29833元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fe59f923-adb2-4a8c-94b9-be1262d67e4f.png.296x216.jpg', '神仙树缤纷 标准套二 精装修 带家具家电出售 对中庭', '神仙树缤纷  | 2室2厅 | 61.11平米 | 东北 | 其他 | 有电梯', '中楼层(共14层)2015年建塔楼  -  新北', '139万', '单价22746元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1763067e-2461-4232-8d30-e5c2189485b9.png.296x216.jpg', '润新花园一期精装套一+高新区+首付28万左右', '润新花园一期  | 1室1厅 | 43.1平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  新北', '63万', '单价14618元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5c89408b-075a-439b-9c71-95356a9231f8.png.296x216.jpg', '高新区美年广场 软件园 住宅小区 楼间距宽敞 看锦江', '美年广场美岸  | 4室2厅 | 125.16平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  新会展', '315万', '单价25168元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2793c048-eb8a-43bf-9f5d-2ddee5534014.png.296x216.jpg', '领馆国际城装修房。。。。。。。', '领馆国际城  | 3室2厅 | 100.33平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2013年建板塔结合  -  远大', '198万', '单价19735元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5d84bf67-22c1-4c15-9a38-36111868d8b9.png.296x216.jpg', '标准套二，客厅带大阳台，居家装修', '楠香山  | 2室2厅 | 82平米 | 西南 | 其他 | 有电梯', '低楼层(共27层)2012年建塔楼  -  中和', '140万', '单价17074元/平米')
('https://image1.ljcdn.com/510100-inspection/test-970a30f0-28ce-4833-9beb-1ab2908162ab.png.296x216.jpg', '底楼带花园，带装修，满两年，有双车位', '盛南领地  | 4室2厅 | 170平米 | 东 | 其他 | 有电梯', '低楼层(共24层)2008年建板楼  -  新会展', '385万', '单价22648元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8419989a-1e4b-4cde-9eb7-99e111ddfb66.png.296x216.jpg', '锦尚天华精装套二，位置安静，看房预约', '锦尚天华  | 2室1厅 | 77.43平米 | 西 | 精装', '高楼层(共34层)2014年建板楼  -  东苑', '162万', '单价20923元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b0059661-3656-4f69-940f-fccb901801f8.png.296x216.jpg', '紫荆 电梯套三一楼带花园  不临街', '银都花园欣苑五期  | 3室2厅 | 146.29平米 | 东 西 | 其他 | 有电梯', '低楼层(共11层)2001年建板塔结合  -  紫荆', '330万', '单价22558元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f5e3e953-0469-4ef1-adb2-8dca41619334.png.296x216.jpg', '套三单卫  朝东   户型方正', '东方希望天祥广场  | 3室2厅 | 111.16平米 | 东 | 其他 | 有电梯', '中楼层(共47层)2015年建板塔结合  -  新会展', '244万', '单价21951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ee60ceaf-8af1-4907-b822-7433fad94771.png.296x216.jpg', '礼顿山安静好房，赠送面积大，带平台。', '礼顿山1号  | 3室2厅 | 125.22平米 | 东 | 精装 | 有电梯', '低楼层(共32层)2012年建板楼  -  金融城', '350万', '单价27951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9203a216-2b14-4841-83c8-e1f56b093c25.png.296x216.jpg', '新绿季节，套二改套三双卫，老装修有采光', '新绿季节  | 3室2厅 | 102平米 | 东 | 其他 | 有电梯', '低楼层(共13层)2004年建板塔结合  -  紫荆', '155万', '单价15197元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e6f86e20-45a0-4563-bff9-6177e0401892.png.296x216.jpg', '房子在中间楼层，紧凑型套三，采光很好', '长信公寓  | 3室1厅 | 77.92平米 | 东 | 精装 | 无电梯', '中楼层(共7层)1996年建板楼  -  芳草', '102万', '单价13091元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0b1cbae0-8af3-4512-8750-b4f0d8761070.png.296x216.jpg', '南三环，标准套一，看房方便，出行便利', '润和原筑  | 1室1厅 | 66.98平米 | 南 | 其他 | 有电梯', '中楼层(共19层)2007年建板楼  -  东苑', '80万', '单价11944元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1c8772f3-afe0-408e-a801-14d9f1123790.png.296x216.jpg', '华润凤凰城二期，精装套四带书房', '华润凤凰城二期  | 4室2厅 | 127.16平米 | 东南 | 其他 | 有电梯', '高楼层(共27层)2010年建板塔结合  -  大源', '400万', '单价31457元/平米')
('https://image1.ljcdn.com/510100-inspection/test-74acdf0c-4107-45c3-b075-71b8bd2bf056.png.296x216.jpg', '香榭国际三期+办公性质+水电气三通民用', '香榭国际三期  | 2室1厅 | 55.6平米 | 西北 | 其他 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  中和', '85万', '单价15288元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a8a57ed4-5492-4bcd-b054-abcb3e19d223.png.296x216.jpg', '新北佳苑 简装套三 总价低 看房预约', '新北佳苑  | 3室2厅 | 96.27平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2007年建板塔结合  -  新北', '150万', '单价15582元/平米')
('https://image1.ljcdn.com/510100-inspection/test-245f60aa-a4d1-46c4-ad91-320725aecd48.png.296x216.jpg', '成达佳园套二改套三、带装修、有阳台可看锦江', '成达佳园  | 2室1厅 | 121.76平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2009年建板楼  -  新会展', '235万', '单价19301元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cf02a300-93fb-48e6-abd5-bd3d9977df7c.png.296x216.jpg', '中间位置、南北朝向、、精装修套三双卫拎包入住', '中海名城一期  | 3室2厅 | 123.6平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2002年建板楼  -  神仙树', '320万', '单价25890元/平米')
('https://image1.ljcdn.com/510100-inspection/test-046a850c-489f-427d-981a-11f4a06eb160.png.296x216.jpg', '成达佳园套三双卫户型，低楼层安静，南北通透', '成达佳园  | 3室2厅 | 118.64平米 | 南 北 | 其他 | 有电梯', '低楼层(共32层)2009年建板楼  -  新会展', '205万', '单价17280元/平米')
('https://image1.ljcdn.com/510100-inspection/test-adad804e-5f87-408a-a264-c44b58bd8b65.png.296x216.jpg', '高新区高层居家套三，全明格局采光充足', '安信花园  | 3室1厅 | 102.96平米 | 东南 西北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  新北', '155万', '单价15055元/平米')
('https://image1.ljcdn.com/510100-inspection/test-30ccfaee-0356-4796-b902-06c696a16622.png.296x216.jpg', '醉好位置 朝南对中庭 位置安静', '都城雅颂居  | 2室2厅 | 92.66平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2012年建板塔结合  -  大源', '241万', '单价26010元/平米')
('https://image1.ljcdn.com/510100-inspection/test-54b83f1f-de2a-4b0c-890a-5cb34bef72fb.png.296x216.jpg', '高新区 套三双卫 朝南 客厅主卧带阳台', '新南中心  | 3室2厅 | 136.62平米 | 南 | 简装 | 有电梯', '低楼层(共23层)2014年建板楼  -  城南宜家', '280万', '单价20495元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f481c28-d6a1-47ee-bf15-39abdf18919e.png.296x216.jpg', '鸿阁一号  精装修 套三双卫 满2年没有增值税', '鸿阁一号  | 4室2厅 | 115.81平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2009年建塔楼  -  广都', '205万', '单价17702元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84c34a2e-5ffb-4561-96a7-5ccc86ee93bd.png.296x216.jpg', '泰悦湾清水套四，对中庭，位置安静', '银泰泰悦湾  | 4室2厅 | 153平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2013年建板楼  -  金融城', '430万', '单价28105元/平米')
('https://image1.ljcdn.com/510100-inspection/test-28ab60d5-0438-4915-bbb7-f3b95ba5fa1a.png.296x216.jpg', '银桂园 简装套三可改套四 低楼层视野好', '金桂花苑银桂园  | 3室3厅 | 154.8平米 | 东 | 其他 | 无电梯', '低楼层(共6层)2003年建板楼  -  中和', '240万', '单价15504元/平米')
('https://image1.ljcdn.com/510100-inspection/test-06dfb97c-f3cb-467e-b956-8227b9b78437.png.296x216.jpg', '华润凤凰城二期 装修 居家 套一', '华润凤凰城二期  | 1室1厅 | 56.27平米 | 北 | 其他 | 有电梯', '低楼层(共21层)2010年建板塔结合  -  大源', '135万', '单价23992元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f51cd868-e532-412b-b716-014ed585dc01.png.296x216.jpg', '高新区华宜铂仕公馆 套一改套二 满两年 带家具家电', '华宜铂仕公馆  | 2室1厅 | 56.92平米 | 东北 | 其他 | 有电梯', '中楼层(共25层)2014年建板楼  -  中和', '101万', '单价17745元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2cf14b4f-2d34-4c7a-93c8-e79d271465a7.png.296x216.jpg', '锐力领峰套二，带阳台，视野开阔', '锐力领峰  | 2室2厅 | 81.13平米 | 北 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  中德', '175万', '单价21571元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b77014db-2349-420f-9115-84f8c1818231.png.296x216.jpg', '居家装修套三单卫 带家具家电 满2年 无增值税', '逸都国际  | 3室2厅 | 103.58平米 | 西 | 其他 | 有电梯', '中楼层(共24层)2011年建板塔结合  -  大源', '225万', '单价21723元/平米')
('https://image1.ljcdn.com/510100-inspection/test-80392c37-1228-48bd-a161-917aebe93f10.png.296x216.jpg', '南城都汇 眼睛户型 正对中庭 安静 拎包入住 满两年', '南城都汇汇尚园  | 2室2厅 | 87.45平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2014年建塔楼  -  市一医院', '250万', '单价28588元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dadad8fd-2c5f-44c6-9fbb-f43b7812f82e.png.296x216.jpg', '盛南领地装修房未住人中yang空调带地暖', '盛南领地  | 3室1厅 | 171.75平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2008年建板楼  -  新会展', '378万', '单价22009元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ac1ea139-e350-45f3-8452-09428b76bb4c.png.296x216.jpg', '天府世家 入户挑高套三双卫 精装修出售', '天府世家  | 3室2厅 | 133.17平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2013年建板楼  -  金融城', '550万', '单价41301元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f493c1b4-e249-4928-9bc1-579bf5c861d0.png.296x216.jpg', '高楼层视野开阔采光好，坐北朝南，带地暖', '誉峰三期  | 3室2厅 | 123平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2017年建塔楼  -  金融城', '360万', '单价29269元/平米')
('https://image1.ljcdn.com/510100-inspection/test-974bba93-4b34-4bff-b940-13af21ce2db7.png.296x216.jpg', '中和警官公寓   标准套三  低楼层', '中和警官公寓  | 3室2厅 | 129.94平米 | 东 | 其他', '低楼层(共18层)2008年建板楼  -  中和', '188万', '单价14469元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a7cb7d6c-7b5b-4d0e-86dd-a197609ff137.png.296x216.jpg', '英郡二期精装江景套二看房方便。', '英郡二期  | 2室1厅 | 94.04平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2010年建板塔结合  -  新会展', '247万', '单价26266元/平米')
('https://image1.ljcdn.com/510100-inspection/test-81278230-4407-4bc0-bf8a-84e57d58eafe.png.296x216.jpg', '套三双卫带屋顶花园，采光好户型方正', '东顺园  | 3室2厅 | 135平米 | 东 | 其他', '高楼层(共6层)2012年建板楼  -  中和', '216万', '单价16000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-64bc731f-deea-4db0-88ac-46f090cfbda1.png.296x216.jpg', '精装无浪费三房 对中庭 位置安静 双阳台', '礼顿山1号  | 3室2厅 | 108.05平米 | 西南 | 精装 | 有电梯', '中楼层(共32层)2012年建板塔结合  -  金融城', '280万', '单价25914元/平米')
('https://image1.ljcdn.com/510100-inspection/test-53231bc2-9dd3-4718-aeb5-61bc406b0483.png.296x216.jpg', '南城都汇一期顶楼带花园 朝南带装修', '南城都汇汇翠园一期  | 2室2厅 | 98.89平米 | 南 | 其他 | 有电梯', '高楼层(共16层)2009年建板塔结合  -  市一医院', '255万', '单价25787元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f4bc8a93-cad6-4931-a9e7-a1023d1c94ea.png.296x216.jpg', '建发装修套二，户型方正，带阳台。', '建发天府鹭洲  | 2室2厅 | 70.63平米 | 北 | 其他 | 有电梯', '高楼层(共29层)2012年建板塔结合  -  大源', '230万', '单价32565元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a2b767e3-aa97-46e9-b9ee-6cc565423379.png.296x216.jpg', '神仙树大院精装小套三；户型方正', '神仙树大院三期  | 3室2厅 | 104.85平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2011年建塔楼  -  神仙树', '260万', '单价24798元/平米')
('https://image1.ljcdn.com/510100-inspection/7220e878-9698-4438-abdb-cc11fe1c19a7.jpg.296x216.jpg', '建发翡翠鹭洲标准套四，户型方正，功能分区。', '建发翡翠鹭洲  | 4室2厅 | 119.28平米 | 西 | 其他', '低楼层(共34层)板塔结合  -  大源', '239万', '单价20037元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e8b47eec-2801-4e98-8b20-e48b855285b4.png.296x216.jpg', '户型方正，赠送面积大，客厅带阳台，无遮挡，采光好', '保利锦湖林语南区  | 4室2厅 | 113.56平米 | 东南 | 其他 | 有电梯', '低楼层(共22层)2017年建板塔结合  -  金融城', '320万', '单价28179元/平米')
('https://image1.ljcdn.com/510100-inspection/test-faa3e49c-f387-4c4b-99e6-faa21a883dc4.png.296x216.jpg', '两江国际新上房源 对中庭 高楼层 朝南采光好', '两江国际  | 2室2厅 | 87.78平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2014年建塔楼  -  新会展', '215万', '单价24494元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5c76555a-923c-41a9-ab10-0fd34f6403a3.png.296x216.jpg', '中海兰庭  O户型  满2年  安静   看公园', '中海兰庭  | 4室2厅 | 89.27平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2008年建板塔结合  -  大源', '300万', '单价33606元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fe483f6a-6f64-4c58-98d6-a48bf6caa3b4.png.296x216.jpg', '翔宇花园高楼层套三出售 清水房', '翔宇花园  | 3室2厅 | 122.25平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2002年建板楼  -  紫荆', '189万', '单价15461元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7e5a01c1-5517-4515-bef7-3603f74daaa7.png.296x216.jpg', '和 贵 时 代 巢 标 准 套 三', '和贵时代巢  | 3室1厅 | 85.25平米 | 东南 | 其他 | 有电梯', '高楼层(共19层)2006年建板楼  -  神仙树', '178万', '单价20880元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c3b3c8c9-01e5-4a51-8aa3-6d2057f3bc2a.png.296x216.jpg', '城南晶座精装套三，满两年无增值税。', '城南晶座  | 3室2厅 | 95.68平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2011年建板楼  -  广都', '175万', '单价18291元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7ca4873a-2826-4990-a0e0-80678e3ddd25.png.296x216.jpg', '仁和春天 满2年 精装未住人 中空调+地暖', '仁和春天国际花园  | 3室2厅 | 137.25平米 | 西北 | 其他 | 有电梯', '中楼层(共31层)2014年建板塔结合  -  金融城', '430万', '单价31330元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72691746-b22b-4e7d-8410-9609fc26d54b.png.296x216.jpg', '军安卫士大套四，中楼层，户型方正', '军安卫士花园  | 4室2厅 | 156.57平米 | 北 | 其他 | 有电梯', '中楼层(共26层)2013年建板楼  -  中和', '265万', '单价16926元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ec733741-b64b-46d9-a959-9f32f570f8dc.png.296x216.jpg', '天悦府装修套三，客厅带阳台对中庭看绿化。', '天悦府  | 3室2厅 | 130.85平米 | 西 | 其他 | 有电梯', '低楼层(共31层)2014年建板塔结合  -  大源', '420万', '单价32098元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3ed4f81b-ab4b-423a-a5df-95f4783c0abd.png.296x216.jpg', '时代晶科名苑精装套三，带空调，地暖，保养好', '时代晶科名苑  | 3室2厅 | 145.2平米 | 东北 | 精装 | 有电梯', '低楼层(共29层)2013年建塔楼  -  市一医院', '358万', '单价24656元/平米')
('https://image1.ljcdn.com/510100-inspection/test-08dbe5c9-91b5-4cd8-b6c7-889f940a95e8.png.296x216.jpg', '三利领事公馆 标准套三  自住装修', '三利领事公馆  | 3室2厅 | 121.29平米 | 北 | 其他 | 有电梯', '中楼层(共31层)2013年建塔楼  -  中和', '255万', '单价21024元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a79c5517-8d4d-41b1-9a00-43de9dc61bd2.png.296x216.jpg', '上海花园 中庭位置 户型方正通透 套三双卫双阳台', '上海花园  | 3室2厅 | 142.24平米 | 南 北 | 精装 | 有电梯', '高楼层(共13层)2006年建板楼  -  神仙树', '390万', '单价27419元/平米')
('https://image1.ljcdn.com/510100-inspection/test-488fa6b4-ab47-45e6-bbe7-ea736d7a9674.png.296x216.jpg', '翡翠半岛国际社区。套二。带装修', '翡翠半岛  | 2室2厅 | 80.85平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建板塔结合  -  远大', '158万', '单价19543元/平米')
('https://image1.ljcdn.com/510100-inspection/test-03742082-c316-445d-8746-70afdaa57aaf.png.296x216.jpg', '建发天府鹭洲精装套四出售。。。', '建发天府鹭洲  | 4室2厅 | 128平米 | 西南 | 其他 | 有电梯', '低楼层(共28层)2012年建板塔结合  -  大源', '450万', '单价35157元/平米')
