('https://image1.ljcdn.com/460100-inspection/39ddd9f4-793f-4036-bc18-d62208cc56e8.jpg.296x216.jpg', '满五唯一 拎包入住 生活便利 诚心出售', '蓝海佳园  ', '低楼层(共8层)暂无数据  -  秀英', '101万', '单价13997元/平米')
('https://image1.ljcdn.com/460100-inspection/e3a2901d-fab5-4227-8c5c-08e9c806ef4c.jpg.296x216.jpg', '小户型1房，小区配套，有泳池！', '蓝海佳园  ', '中楼层(共6层)暂无数据  -  秀英', '73万', '单价17381元/平米')
('', '万花坊 152.37平304.7万 明厨明卫 视野宽阔', '万花坊  ', '高楼层(共18层)暂无数据  -  秀英', '304.7万', '单价19998元/平米')
('', '美林谷大型小区 带院子 满五年税费低', '慧远美林谷  ', '低楼层(共6层)板楼  -  西海岸', '1500万', '单价35715元/平米')
('', '西海岸一线海景，到海边直线距离300米', '夏威夷海岸  ', '中楼层(共6层)板楼  -  西海岸', '220万', '单价22000元/平米')
('https://image1.ljcdn.com/460100-inspection/6e3a2643-c74a-40df-a0dd-240dd8a1d2a8.jpg.296x216.jpg', '正规2房，明厨明卫，户型方正，产权清晰', '海岸赛拉维  ', '中楼层(共18层)塔楼  -  西海岸', '178万', '单价21708元/平米')
('', '东方洋路 海悦东方 正规三房二厅', '海悦东方  ', '低楼层(共32层)塔楼  -  秀英', '200万', '单价22536元/平米')
('', '高档小区  海口湾 大户型南北朝向 采光通风好', '宝安滨海豪庭  ', '低楼层(共32层)暂无数据  -  秀英', '436万', '单价20503元/平米')
('', '西海岸一线海景房，精装修，拎包入住', '夏威夷海岸  ', '中楼层(共6层)板楼  -  西海岸', '350万', '单价26516元/平米')
('https://image1.ljcdn.com/460100-inspection/6b5cf7eb-e448-4a4c-94b2-f939ef929ff5.jpg.296x216.jpg', '此房是难得的海景房，视野开阔，采光好', '海域阳光  ', '中楼层(共32层)板塔结合  -  西海岸', '333万', '单价23856元/平米')
('', '西海岸片区，小区配套，正规2房', '大华·锦绣海岸  ', '低楼层(共20层)塔楼  -  西海岸', '175万', '单价22152元/平米')
('', '洛杉矶城 近滨海九小 正规2房 精装修 地段好！', '洛杉矶城  ', '高楼层(共30层)暂无数据  -  秀英', '260万', '单价27084元/平米')
('', '高档小区，生活便利，装修好，社区素质高。', '海岛阳光一期  ', '低楼层(共7层)暂无数据  -  秀英', '175万', '单价15487元/平米')
('https://image1.ljcdn.com/460100-inspection/f48771e8-09c0-485d-8bce-69708de1bf36.jpg.296x216.jpg', '丘海大道 全新装修 精装2房 看房提前预约', '文汇雅居  ', '中楼层(共17层)暂无数据  -  秀英', '162万', '单价18203元/平米')
('', '海岸赛拉维 高档小区 生活便利', '海岸赛拉维  ', '高楼层(共19层)塔楼  -  西海岸', '195万', '单价23712元/平米')
('', '水云天满五唯一，交通方便，产证在手', '水云天  ', '中楼层(共10层)暂无数据  -  秀英', '220万', '单价18334元/平米')
('', '滨海大道以北 楼层高景观好 近海边 交通便利', '梦享·龙腾湾  ', '中楼层(共30层)板楼  -  西海岸', '110万', '单价18033元/平米')
('https://image1.ljcdn.com/460100-inspection/5be87107-1f8b-4d0f-87ab-5cc093b9301a.jpg.296x216.jpg', '海口金外滩，一室一厅 户型方正，采光通亮', '金外滩花园  ', '中楼层(共12层)暂无数据  -  秀英', '120万', '单价25000元/平米')
('', '华盛公园 两房 小区绿化高 采光通风充足', '华盛中央公园  ', '高楼层(共34层)塔楼  -  西海岸', '150.3万', '单价19998元/平米')
('', '绿地海长流，满两年，精装修，产证在手', '绿地海长流  ', '低楼层(共23层)暂无数据  -  西海岸', '195万', '单价20527元/平米')
('', '海岸豪庭 高档小区，生活便利，装修好，社区素质高', '海岸豪庭  ', '低楼层(共25层)塔楼  -  西海岸', '220万', '单价23372元/平米')
('', '锦地翰城 满五年唯一 税费少 产证在手', '锦地翰城  ', '中楼层(共24层)塔楼  -  秀英', '200万', '单价17392元/平米')
('', '西海岸 秀山观海苑 102平双阳台两房 业主诚意出售', '秀山观海苑  ', '中楼层(共10层)暂无数据  -  西海岸', '180万', '单价17648元/平米')
('', '白水塘 锦地翰城  2房 户型方正', '锦地翰城  ', '中楼层(共24层)塔楼  -  秀英', '165万', '单价20424元/平米')
('', '此房满五唯一，税费低，北边是海口湾，出行居住便利。', '金域湾畔  ', '高楼层(共29层)暂无数据  -  秀英', '215万', '单价19729元/平米')
('', '锦地翰城二期 精装三房拎包入住，全明格局。', '锦地翰城  ', '高楼层(共24层)塔楼  -  秀英', '172万', '单价16863元/平米')
('', '满五年唯一带电梯2012年小区，户型方正，产权清晰海景', '中弘·西岸首府  ', '中楼层(共24层)暂无数据  -  西海岸', '265万', '单价23044元/平米')
('', '户型规规， 明厨明卫，房间开窗', '蓝海佳园  ', '中楼层(共8层)暂无数据  -  秀英', '155万', '单价17560元/平米')
('', '秀英区南海大道《花城锦都》3房128平178万', '花城锦苑  ', '低楼层(共14层)暂无数据  -  秀英', '178万', '单价13821元/平米')
('', '金域湾畔 3室2厅 235万', '金域湾畔  ', '高楼层(共29层)暂无数据  -  秀英', '235万', '单价18504元/平米')
('', '满五唯一，全明户型，采光充足，视野好', '维多利亚花园  ', '高楼层(共12层)暂无数据  -  秀英', '530万', '单价26369元/平米')
('', '西海岸 滨海新天地   毛坯房 随心装修 舒适小家', '滨海新天地  ', '中楼层(共17层)板塔结合  -  西海岸', '102万', '单价21132元/平米')
('https://image1.ljcdn.com/460100-inspection/51f438a3-c61e-4ca5-95d5-a2a47359fe22.jpg.296x216.jpg', '华盛中央公园 3室2厅 198万', '华盛中央公园  ', '中楼层(共31层)塔楼  -  西海岸', '198万', '单价16780元/平米')
('https://image1.ljcdn.com/460100-inspection/3aec07b3-3e23-4ee8-9991-ce8403278981.jpg.296x216.jpg', '板式住宅，一梯两户，海景、园景两相宜', '金外滩花园  ', '中楼层(共12层)暂无数据  -  秀英', '280万', '单价21758元/平米')
('https://image1.ljcdn.com/460100-inspection/75bee218-e1d5-40ba-9fde-bda6e046b18f.jpg.296x216.jpg', '铭盛檀香洲精装两房，满五，税少，售价145万', '铭盛檀香洲  ', '高楼层(共25层)暂无数据  -  秀英', '145万', '单价16112元/平米')
('https://image1.ljcdn.com/460100-inspection/a8d5e089-198d-4bc7-af40-43dd067b32fe.jpg.296x216.jpg', '西海岸市政府远大旁成熟小区 满二年高楼层看海景', '中弘·西岸首府  ', '高楼层(共24层)暂无数据  -  西海岸', '178万', '单价18724元/平米')
('https://image1.ljcdn.com/460100-inspection/c93535d6-c4c1-46b3-a2a7-8ee68f337805.JPG.296x216.jpg', '海口西站，海秀快速路，3房，秀英区', '金侨大厦  ', '低楼层(共26层)暂无数据  -  秀英', '123万', '单价13442元/平米')
('https://image1.ljcdn.com/460100-inspection/d5cd519f-8fd0-463b-810f-552d456b4132.jpg.296x216.jpg', '环强·御景湾 3室2厅 390万', '环强·御景湾  ', '中楼层(共29层)暂无数据  -  秀英', '390万', '单价26175元/平米')
('https://image1.ljcdn.com/460100-inspection/23c16e35-cf5e-4bed-a306-53141fb98fe5.jpg.296x216.jpg', '朝南户型，高楼层，视野开阔，毛坯房', '保利中央海岸  ', '高楼层(共23层)板楼  -  秀英', '265万', '单价23887元/平米')
('https://image1.ljcdn.com/460100-inspection/e55d6cf4-798a-4ee6-a5fc-8ff902ef6b2e.JPG.296x216.jpg', '临街路段，面向小区，全新装修，全明采光，交通便利', '鑫汇大厦  ', '中楼层(共19层)板楼  -  龙华', '156万', '单价14555元/平米')
('https://image1.ljcdn.com/460100-inspection/7b563987-0894-4ba0-827b-ecdabe660373.jpg.296x216.jpg', '文博府毛坯3房 看房方便 交通便利 朝南 满五唯一', '文博府  ', '低楼层(共11层)暂无数据  -  秀英', '236万', '单价18731元/平米')
('https://image1.ljcdn.com/460100-inspection/5706bf59-973a-4577-9e5b-0145895585d0.jpg.296x216.jpg', '金楚小区 居家装修 采光优越 交通便利', '金楚小区  ', '高楼层(共8层)暂无数据  -  秀英', '102万', '单价9169元/平米')
('https://image1.ljcdn.com/460100-inspection/e05dac13-1295-4d3f-95d5-49587164eb42.jpg.296x216.jpg', '爱华小区 家电家具齐全 拎包入住 125万', '爱华小区  ', '高楼层(共8层)暂无数据  -  秀英', '112万', '单价15457元/平米')
('https://image1.ljcdn.com/460100-inspection/70d8146f-d109-417d-a880-4a8d8637ef54.jpg.296x216.jpg', '维多利亚花园 2室2厅 168万', '维多利亚花园  ', '中楼层(共16层)暂无数据  -  秀英', '168万', '单价20123元/平米')
('https://image1.ljcdn.com/460100-inspection/68ff9a45-7758-48f0-9aa5-af967c46f06f.jpg.296x216.jpg', '金桥大厦 采光充足  户型方正 配套齐全', '金侨大厦  ', '高楼层(共26层)暂无数据  -  秀英', '178万', '单价11867元/平米')
('https://image1.ljcdn.com/460100-inspection/57f75aa9-8f93-43da-b578-e7ac05d0995d.jpg.296x216.jpg', '滨海大道，正规3房，明厨明卫！', '银通花园  ', '中楼层(共22层)暂无数据  -  秀英', '246万', '单价17029元/平米')
('https://image1.ljcdn.com/460100-inspection/9f8cdc38-759d-4663-9587-7f80c18cf5c9.jpg.296x216.jpg', '西城1号 精装修 满五多套 业主诚心卖', '西城1号  ', '低楼层(共19层)暂无数据  -  秀英', '209万', '单价18915元/平米')
('https://image1.ljcdn.com/460100-inspection/1d9a93b4-c4cf-41fd-9df5-65c2dc81cace.jpg.296x216.jpg', '秀英 七彩阳光 碧海大道 3房户型', '七彩阳光  ', '中楼层(共15层)暂无数据  -  秀英', '192万', '单价14884元/平米')
('https://image1.ljcdn.com/460100-inspection/161fc3b8-0d6c-48c3-a829-3d5876064c21.jpg.296x216.jpg', '满五年多套 采光充足 正规三房', '海岛阳光一期  ', '低楼层(共10层)暂无数据  -  秀英', '186万', '单价15939元/平米')
('https://image1.ljcdn.com/460100-inspection/5f7f232f-ac9a-4321-b84a-96999d6ade7b.jpg.296x216.jpg', '秀英区，海秀中路，3房，秀英港！', '海南果菜副食品宿舍  ', '中楼层(共9层)暂无数据  -  秀英', '128万', '单价15614元/平米')
('https://image1.ljcdn.com/460100-inspection/6ade4ed2-61b5-4929-949b-ac2a5aaefb9c.jpg.296x216.jpg', '西海岸祥和家园  毛坯三房自由装修 欢迎看房', '祥和家园  ', '中楼层(共18层)暂无数据  -  西海岸', '260万', '单价20657元/平米')
('https://image1.ljcdn.com/460100-inspection/fbdbc399-b527-48c5-81c5-8a4b884a0385.jpg.296x216.jpg', '金外滩花园 满五唯一  税费少  跃层', '金外滩花园  ', '高楼层(共7层)暂无数据  -  秀英', '440万', '单价27673元/平米')
('https://image1.ljcdn.com/460100-inspection/b4886b13-cebb-40e2-94d4-b44b1b996099.jpg.296x216.jpg', '秀英南海大道 印象荷园 精装三房 业主诚心出售', '印象荷园  ', '低楼层(共20层)暂无数据  -  秀英', '220万', '单价15952元/平米')
('https://image1.ljcdn.com/460100-inspection/0028c95a-398b-44ee-abde-b03a551455a9.jpg.296x216.jpg', '金域湾畔 2室2厅 170万', '金域湾畔  ', '高楼层(共30层)暂无数据  -  秀英', '170万', '单价22107元/平米')
('https://image1.ljcdn.com/460100-inspection/ac445022-f97e-434e-8df3-7b250d8eadd7.jpg.296x216.jpg', '朝南户型 正规三房 ，明厨明卫，满五多套税费低 精装', '港东小区  ', '中楼层(共8层)暂无数据  -  秀英', '139万', '单价12871元/平米')
('https://image1.ljcdn.com/460100-inspection/26c7417b-dd3c-4cd9-8013-95dce8d9aa2b.jpg.296x216.jpg', '文博府B区，跃层，南北通透，两梯两户。', '文博府B区  ', '高楼层(共18层)暂无数据  -  秀英', '353万', '单价18487元/平米')
('https://image1.ljcdn.com/460100-inspection/ee0a814f-b730-498f-8246-58444ff50aef.jpg.296x216.jpg', '秀英 满两年  单价低  税费低  视野开阔 精装修 跃层', '逸海楼小区  ', '高楼层(共18层)暂无数据  -  秀英', '293万', '单价11227元/平米')
('https://image1.ljcdn.com/460100-inspection/06441978-2863-4da4-b476-7a34df0eb4e8.jpg.296x216.jpg', '户型方正，满五多套 小区环境好', '海岛阳光一期  ', '中楼层(共7层)暂无数据  -  秀英', '175万', '单价16827元/平米')
('https://image1.ljcdn.com/460100-inspection/6cfd09bd-55c3-4a4e-a5e1-ab18b02622f3.jpg.296x216.jpg', '小区环境优美  南北通透  采光充足', '慧远美林谷  ', '中楼层(共5层)暂无数据  -  西海岸', '730万', '单价40989元/平米')
('https://image1.ljcdn.com/460100-inspection/fcf45e5a-825b-4081-8b0d-2f0f778b5f8b.jpg.296x216.jpg', '金桥大厦 满五年 精装 一室一厅', '金侨大厦  ', '中楼层(共26层)暂无数据  -  秀英', '84.8万', '单价15500元/平米')
('https://image1.ljcdn.com/460100-inspection/463b923b-93e9-439d-90fa-578340f907fc.jpg.296x216.jpg', '全明采光 市政府旁 通风好 生活便利', '绿地海长流  ', '低楼层(共23层)暂无数据  -  西海岸', '184.8万', '单价21027元/平米')
('https://image1.ljcdn.com/460100-inspection/bd3fea49-55c5-428f-bd99-40d2850d17ed.jpg.296x216.jpg', '铭盛檀香洲 精装小户型 家电家具全送 看房方便！', '铭盛檀香洲  ', '中楼层(共25层)暂无数据  -  秀英', '57万', '单价17041元/平米')
('https://image1.ljcdn.com/460100-inspection/a19755de-bd81-474f-a30a-046febc2b8fe.jpg.296x216.jpg', '秀英新小区(棕榈泉)精装修两房 南北向双阳台 对流通透', '棕榈泉  ', '高楼层(共11层)暂无数据  -  秀英', '155万', '单价18945元/平米')
('https://image1.ljcdn.com/460100-inspection/60fbb9f6-e063-4e85-bf0e-c561df1265c9.jpg.296x216.jpg', '此房南北透通，小高楼，配套齐全', '水云天  ', '低楼层(共11层)暂无数据  -  秀英', '119万', '单价17000元/平米')
('https://image1.ljcdn.com/460100-inspection/ba0eb56a-3501-4a72-aa17-f5c65a8e55bb.jpg.296x216.jpg', '户型方正朝南 采光好 新小区业主各付税 看小区园林', '海悦东方  ', '高楼层(共11层)塔楼  -  秀英', '120万', '单价19673元/平米')
('https://image1.ljcdn.com/460100-inspection/2b85e407-5c7a-4768-bd83-6240bb860ff5.jpg.296x216.jpg', '市区交通便利 次新小区 小户型 精装修', '文博府  ', '低楼层(共24层)暂无数据  -  秀英', '74万', '单价17789元/平米')
('https://image1.ljcdn.com/460100-inspection/78196102-e255-4254-8e11-30a7a7c03ce0.jpg.296x216.jpg', '房屋不满二，精装修，采光充足。', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '170万', '单价28334元/平米')
('https://image1.ljcdn.com/460100-inspection/3e7463bd-5532-4a1b-8ac2-fcc739d1b99b.jpg.296x216.jpg', '滨海风光优美迷人森林公园气候宜人   商用自住皆宜。', '中弘·西岸首府  ', '低楼层(共24层)暂无数据  -  西海岸', '185万', '单价20009元/平米')
('https://image1.ljcdn.com/460100-inspection/68752ef3-b41b-4eae-b964-fbdb2d28f7e5.jpg.296x216.jpg', '通风效果好，还有独立大花园，精装修，拎包入住', '宝安滨海豪庭  ', '中楼层(共30层)暂无数据  -  秀英', '475万', '单价25000元/平米')
('https://image1.ljcdn.com/460100-inspection/fb81a04b-472e-46c0-ba17-e2489f425d57.jpg.296x216.jpg', '滨海花园，产证在手，中间楼层，一梯两户', '海滨花园  ', '中楼层(共8层)暂无数据  -  秀英', '140万', '单价11962元/平米')
('https://image1.ljcdn.com/460100-inspection/9cd4bc05-e58e-4d1a-b020-12b10fcbbccc.jpg.296x216.jpg', '秀英区精装修三房，南北通透，汽车西站旁，铭盛檀香洲', '铭盛檀香洲  ', '中楼层(共25层)暂无数据  -  秀英', '215万', '单价16809元/平米')
('https://image1.ljcdn.com/460100-inspection/76016d89-7918-4c72-ba13-ae9937f0f4c4.jpg.296x216.jpg', '西海岸  好环境 交通便利  精装修3房', '蓝城一号二期  ', '高楼层(共33层)塔楼  -  西海岸', '258万', '单价29456元/平米')
('https://image1.ljcdn.com/460100-inspection/40ea891e-ec7b-4303-b825-82fd278c9ea9.jpg.296x216.jpg', '板楼，滨海大道，万绿园，双阳台，毛坯，正规3房', '桂名园  ', '中楼层(共15层)暂无数据  -  秀英', '288万', '单价20140元/平米')
('https://image1.ljcdn.com/460100-inspection/93914090-cfa6-4621-96c7-5dceafc1a7cb.jpg.296x216.jpg', '金侨大厦 1室1厅 69万', '金侨大厦  ', '低楼层(共26层)暂无数据  -  秀英', '69万', '单价12907元/平米')
('https://image1.ljcdn.com/460100-inspection/a2dad6d2-01b0-4764-b792-ac89b4591a18.jpg.296x216.jpg', '海顿大厦 3室2厅 142万', '海顿大厦  ', '低楼层(共18层)暂无数据  -  秀英', '142万', '单价19825元/平米')
('https://image1.ljcdn.com/460100-inspection/0bec512f-0ec5-4e1a-a126-61063e3f1bce.jpg.296x216.jpg', '永万路 新景立大厦 满五多套，可以按揭', '新景立大厦  ', '中楼层(共15层)暂无数据  -  西海岸', '163万', '单价11986元/平米')
('https://image1.ljcdn.com/460100-inspection/f866a562-205f-47d2-a169-d62c1b368caf.jpg.296x216.jpg', '西海岸片区，南北通透，明厨明卫，户型方正', '大华·锦绣海岸  ', '中楼层(共20层)暂无数据  -  西海岸', '199万', '单价20569元/平米')
('https://image1.ljcdn.com/460100-inspection/02505baa-d7af-4664-9101-7a1056d1ec6e.jpg.296x216.jpg', '经典两房，精装修，采光充足，视野好，不满2年', '长信蓝郡  ', '高楼层(共14层)暂无数据  -  西海岸', '196万', '单价26134元/平米')
('https://image1.ljcdn.com/460100-inspection/53745115-a389-4cd7-8a63-f1449e8a00fd.jpg.296x216.jpg', '秀英区海口湾 海顿大厦 三房户型海景房采光足户型方正', '海顿大厦  ', '中楼层(共18层)暂无数据  -  秀英', '212万', '单价18120元/平米')
('https://image1.ljcdn.com/460100-inspection/7f6a7173-17aa-47aa-bbac-7d8a1cd18f57.jpg.296x216.jpg', '天海花园 3房2厅1厨2卫 证满5年', '天海花园  ', '低楼层(共11层)暂无数据  -  西海岸', '252万', '单价18000元/平米')
('https://image1.ljcdn.com/460100-inspection/4f5a702e-add2-4eca-8e5c-d391626197b2.jpg.296x216.jpg', '大户型彰显大家风范，通透的大厅贯通，通风效果好', '滨海电力城  ', '低楼层(共16层)暂无数据  -  秀英', '190万', '单价12941元/平米')
('https://image1.ljcdn.com/460100-inspection/7f20d219-a7e2-44a8-ae2d-b101ab4fcf4d.jpg.296x216.jpg', '西海岸蓝城印象，毛坯房，靠海。小区绿化好，管理严密', '城投•蓝城印象二期  ', '低楼层(共30层)暂无数据  -  西海岸', '175万', '单价17953元/平米')
('https://image1.ljcdn.com/460100-inspection/042d686c-478e-4899-aa63-7cd88a8b114d.jpg.296x216.jpg', '绿地海长流 毛坯房 采光比较好 带阳台', '绿地海长流  ', '中楼层(共22层)板楼  -  西海岸', '160万', '单价16843元/平米')
('https://image1.ljcdn.com/460100-inspection/43e2c7f0-f16d-4472-b1dd-0edde9f186ad.jpg.296x216.jpg', '房屋不满二，精装修，采光充足。', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '120万', '单价30000元/平米')
('https://image1.ljcdn.com/460100-inspection/b86faf88-49d8-42d2-879b-ecf1d691d4ed.jpg.296x216.jpg', '经典两房，精装修，采光充足，视野好，不满2年', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '195万', '单价26352元/平米')
('https://image1.ljcdn.com/460100-inspection/8c1c2a26-520e-4e42-858a-763f52fbf5ce.jpg.296x216.jpg', '机关宿舍 省人民医院旁 精装三房 拎包入住', '秀英区机关第二宿舍区  ', '中楼层(共6层)暂无数据  -  秀英', '123万', '单价15663元/平米')
('https://image1.ljcdn.com/460100-inspection/f5296bd6-bcfe-441f-96c0-1cf4c5d19175.JPG.296x216.jpg', '海悦东方，精装修2+1户型，家电家具拎包入住', '海悦东方  ', '中楼层(共26层)板楼  -  秀英', '175万', '单价21085元/平米')
('https://image1.ljcdn.com/460100-inspection/38b956fa-8c67-45c1-9e9c-0f8e864d47e4.jpg.296x216.jpg', '维多利亚花园 满五年唯一 正规四房', '维多利亚花园  ', '高楼层(共12层)暂无数据  -  秀英', '230万', '单价14650元/平米')
('https://image1.ljcdn.com/460100-inspection/ed5bb733-c504-4878-a93f-d02c0687017f.jpg.296x216.jpg', '文博府 3室2厅 248万', '文博府  ', '中楼层(共24层)暂无数据  -  秀英', '248万', '单价20033元/平米')
('https://image1.ljcdn.com/460100-inspection/56a85361-8a8d-479f-8c62-3709aa089152.jpg.296x216.jpg', '秀英万达旁 锦地翰城一期 精装三房 中层楼 南北', '锦地翰城  ', '低楼层(共32层)塔楼  -  秀英', '260万', '单价20228元/平米')
('https://image1.ljcdn.com/460100-inspection/e3c2c9c2-45d6-4eaa-892c-90a08f212e8f.jpg.296x216.jpg', '绿地海长流一期 （2室2厅1卫+入户花园)', '绿地海长流  ', '低楼层(共22层)暂无数据  -  西海岸', '199万', '单价21992元/平米')
('https://image1.ljcdn.com/460100-inspection/8c11b226-8240-4739-92a8-8305e827b140.jpg.296x216.jpg', '房子年限新，九小和侨中近，去西海岸和回市区都方便', '天伦誉海湾  ', '中楼层(共31层)板楼  -  西海岸', '377万', '单价26000元/平米')
('', '通风采光好，正规2房，明厨明卫，户型方正，产权清晰', '海岸赛拉维  ', '低楼层(共18层)塔楼  -  西海岸', '270万', '单价27730元/平米')
('', '西海岸海岸赛拉维，新装修，拎包入住', '海岸赛拉维  ', '高楼层(共15层)板楼  -  西海岸', '398万', '单价26633元/平米')
('', '海岛阳光二期 小区绿化高 满五多套三房', '海岛阳光二期  ', '中楼层(共6层)暂无数据  -  秀英', '180万', '单价16364元/平米')
('', '金侨大厦，满五多套，业主诚心出售，三室', '金侨大厦  ', '低楼层(共26层)暂无数据  -  秀英', '170万', '单价11337元/平米')
('', '海景房， 交通便利， 视野宽阔 ，采光充足，楼层好', '夏威夷海岸  ', '低楼层(共6层)板楼  -  西海岸', '260万', '单价22609元/平米')
('', '南北朝向，海岸风光，业主精心装修', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '139.8万', '单价18867元/平米')
('', '海域阳光一期 精装大跃层两房两厅一厨两卫', '海域阳光  ', '中楼层(共32层)板塔结合  -  西海岸', '285万', '单价21112元/平米')
('', '鑫海华庭 2室2厅 145万', '鑫海华庭  ', '高楼层(共17层)板塔结合  -  秀英', '145万', '单价18937元/平米')
('', '西海岸  五源河  方正大四房', '海岸赛拉维  ', '低楼层(共19层)塔楼  -  西海岸', '248万', '单价17143元/平米')
('', '业主诚心卖房  秀英14年的次新小区 首付不到60万', '时代城  ', '低楼层(共31层)板楼  -  西海岸', '196.5万', '单价16997元/平米')
('', '泰达天海国际 一线海景房 前后无遮挡 精装修 小洋房', '泰达天海国际  ', '高楼层(共6层)板楼  -  西海岸', '760万', '单价33481元/平米')
('', '泰达天海国际 一线海景房 前后无遮挡 毛坯 小洋房', '泰达天海国际  ', '高楼层(共6层)板楼  -  西海岸', '720万', '单价30509元/平米')
('', '户型周正  次新小区 环境好 中间楼层 精装修', '置地·御海公馆  ', '中楼层(共26层)板塔结合  -  西海岸', '166万', '单价19967元/平米')
('', '秀山观海苑 2室2厅 158万', '秀山观海苑  ', '低楼层(共10层)暂无数据  -  西海岸', '158万', '单价18124元/平米')
('', '西海瑞园大三房环境好，配套齐全', '西海瑞园  ', '低楼层(共16层)板塔结合  -  西海岸', '191.3万', '单价18500元/平米')
('', '长信蓝郡 1室1厅 179万', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '179万', '单价29834元/平米')
('', '东汇森语林 老城 品质社区 两室', '东汇·森语林  ', '低楼层(共18层)暂无数据  -  秀英', '103万', '单价14037元/平米')
('', '秀英西海岸紫园  户型方正 南北通透 满五年', '紫园  ', '中楼层(共10层)板楼  -  西海岸', '290万', '单价29592元/平米')
('', '华盛中央公园 3室2厅 170万', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '170万', '单价17610元/平米')
('', '西海岸 海岸豪庭 精装2两房  业主诚心出售', '海岸豪庭  ', '低楼层(共24层)塔楼  -  西海岸', '190万', '单价20187元/平米')
('', '水云天 3室2厅 200万', '水云天  ', '低楼层(共11层)暂无数据  -  秀英', '200万', '单价14493元/平米')
('', '此房满五唯一，交通便利，配套齐全，业主诚心卖', '海岛国际名城  ', '低楼层(共17层)暂无数据  -  秀英', '160万', '单价18911元/平米')
('', '西海岸片区 视野宽阔 采光充足 精装三房 通风采光', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '180万', '单价18750元/平米')
('', '西海岸大型小区小户型，大开间户型', '海域阳光  ', '低楼层(共32层)塔楼  -  西海岸', '135万', '单价35065元/平米')
('', '西海岸 祥和家园 板楼 小区环境好 出行方便', '祥和家园  ', '中楼层(共18层)暂无数据  -  西海岸', '280万', '单价22223元/平米')
('', '长信蓝郡 精装一房 带阳台  拎包入住 “九小”隔壁', '长信蓝郡  ', '高楼层(共14层)暂无数据  -  西海岸', '106万', '单价26500元/平米')
('', '菩提树 2室2厅 280万', '菩提树  ', '高楼层(共15层)板楼  -  西海岸', '280万', '单价29474元/平米')
('', '海景房 交通便利 视野宽阔 采光充足', '夏威夷海岸  ', '低楼层(共6层)板楼  -  西海岸', '198万', '单价19826元/平米')
('', '西海岸精装两房，近市政府，大阳台，落地窗，户型通透', '绿地海长流  ', '高楼层(共23层)暂无数据  -  西海岸', '175万', '单价18375元/平米')
('', '西海岸 华盛中 央公园 毛坯两房', '华盛中央公园  ', '低楼层(共34层)塔楼  -  西海岸', '165万', '单价20625元/平米')
('https://image1.ljcdn.com/460100-inspection/dde022f5-7789-42fc-bdaa-e6a6f4504515.jpg.296x216.jpg', '西海岸16年房子单价仅20000，送入户花园。', '海岸赛拉维  ', '中楼层(共19层)塔楼  -  西海岸', '200.7万', '单价18002元/平米')
('https://image1.ljcdn.com/460100-inspection/6c58de15-fcf2-4d33-9fa7-f3f79211b6fb.jpg.296x216.jpg', '不满2年！ 长滨四路，近市政府，小区环境好，拎包入住', '绿地海长流  ', '中楼层(共22层)暂无数据  -  西海岸', '170万', '单价18013元/平米')
('https://image1.ljcdn.com/460100-inspection/aba17b05-2b84-463c-a37c-e6ec38daab5b.jpg.296x216.jpg', '西海瑞园 西海岸 别墅住宅一起 管理居住惬意 安静', '西海瑞园  ', '高楼层(共15层)塔楼  -  西海岸', '188万', '单价20077元/平米')
('https://image1.ljcdn.com/460100-inspection/737369a0-63b5-451c-a45b-abb0c16d0ac6.jpg.296x216.jpg', '毛坯 新小区 西海岸 环境好 两房', '华盛中央公园  ', '高楼层(共34层)塔楼  -  西海岸', '175万', '单价18128元/平米')
('https://image1.ljcdn.com/460100-inspection/998e7dba-fe0f-40ba-aa8a-42bdf18ea49d.jpg.296x216.jpg', '户型方正 成熟小区 采光充足 看房方便', '绿地海长流  ', '中楼层(共22层)暂无数据  -  西海岸', '245万', '单价18422元/平米')
('https://image1.ljcdn.com/460100-inspection/603d338f-f121-45c3-81ff-658ed03e8add.jpg.296x216.jpg', '西海岸 龙光海云天 南北通透3房', '龙光海云天  ', '中楼层(共18层)板塔结合  -  西海岸', '263万', '单价25058元/平米')
('https://image1.ljcdn.com/460100-inspection/0998c347-cb11-4dd2-b3fc-121c5fa0aa2b.jpg.296x216.jpg', '西海岸片区，南北通透，正规3房有，小区带泳池', '阳光西海岸  ', '高楼层(共15层)暂无数据  -  西海岸', '235万', '单价16977元/平米')
('https://image1.ljcdn.com/460100-inspection/bada2a72-0f0b-4045-8b20-eaa2ff065c90.jpg.296x216.jpg', '满五唯一，产证在手，随时买卖可以拎包入住', '文博府  ', '低楼层(共18层)暂无数据  -  秀英', '200万', '单价15625元/平米')
