('https://image1.ljcdn.com/440300-inspection/test-27ca7970-81d4-4663-8f34-54cfdb4292a5.png.296x216.jpg', '视野好，满2年，可改小3房业主自住装修保养好', '朗庭豪园  | 2室2厅 | 71.68平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  福田保税区', '470万', '单价65570元/平米')
('https://image1.ljcdn.com/440300-inspection/test-05095fff-f293-44ee-b7f6-bcfd8d261c35.png.296x216.jpg', '福田区岗厦地铁站万景花园大四房，看房方便。', '万景花园  | 4室2厅 | 117.34平米 | 西北 | 简装 | 有电梯', '中楼层(共23层)1994年建板塔结合  -  福田中心', '598万', '单价50964元/平米')
('https://image1.ljcdn.com/440300-inspection/cd4b0311-f111-4b1b-ae31-fd433af5d992.jpg.296x216.jpg', '京隆苑 精装三房两厅,户型方正南北通，红本在手.', '京隆苑  | 3室2厅 | 140.26平米 | 南 | 精装 | 有电梯', '高楼层(共11层)1996年建板塔结合  -  皇岗', '960万', '单价68445元/平米')
('https://image1.ljcdn.com/440300-inspection/5401b881-67c2-443b-83bc-bf954828cfe0.jpg.296x216.jpg', '香蜜湖 景田香梅北地铁口 天然居 福外三房 可随时看房', '天然居  | 3室1厅 | 116.18平米 | 东南 | 简装 | 有电梯', '高楼层(共33层)2002年建板塔结合  -  景田', '1100万', '单价94681元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b9aebad0-1816-4945-801e-768be398baa5.png.296x216.jpg', '凯丰花园综合楼 1室0厅 125万', '凯丰花园综合楼  | 1室0厅 | 26.88平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2003年建板塔结合  -  梅林', '125万', '单价46503元/平米')
('https://image1.ljcdn.com/440300-inspection/test-48e46c34-b047-4370-8ee4-03ad8be85709.png.296x216.jpg', '长安花园 满五年唯壹 红本在手 采光好 随时可签', '长安花园  | 3室1厅 | 103.2平米 | 西北 | 其他 | 有电梯', '低楼层(共30层)1995年建塔楼  -  百花', '898万', '单价87016元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1637a6c2-5685-4066-98c5-95089e2999ab.png.296x216.jpg', '香诗美林 2室1厅 670万', '香诗美林  | 2室1厅 | 80.23平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2005年建板塔结合  -  竹子林', '670万', '单价83510元/平米')
('https://image1.ljcdn.com/440300-inspection/33237e9b-541d-4fc7-aad4-2d2b4f0a0b27.jpg.296x216.jpg', '京基御景华城 满两年 地铁口 有社区 大阳台', '京基御景华城  | 2室1厅 | 61.88平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2005年建板塔结合  -  赤尾', '393万', '单价63511元/平米')
('https://image1.ljcdn.com/440300-inspection/59a8a605-38fa-49ba-881b-6101961805eb.JPG.296x216.jpg', '高楼层通风采光景观好视野开阔，看皇岗公园', '益田村  | 3室2厅 | 96.96平米 | 北 | 其他 | 有电梯', '中楼层(共32层)2002年建板塔结合  -  石厦', '598万', '单价61675元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploada02bed06-b21c-4fd6-8f71-09e78dc96a28.JPG.296x216.jpg', '安静看花园大四房，户型方正，楼层好，采光充足', '益田村  | 4室2厅 | 117.05平米 | 东北 | 精装 | 有电梯', '高楼层(共24层)2002年建板塔结合  -  石厦', '790万', '单价67493元/平米')
('https://image1.ljcdn.com/440300-inspection/254c169d-da3b-4b32-b890-22824bfffc83.jpg.296x216.jpg', '时代华庭高楼层大景观，成熟配套莲花社区，地铁口物业', '时代华庭  | 2室1厅 | 88.57平米 | 东北 | 简装 | 有电梯', '高楼层(共30层)2000年建板塔结合  -  景田', '560万', '单价63227元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2ed703e9-a3a2-4472-9e75-bbffc4b14033.png.296x216.jpg', '笔架山下 精装修三房 满五年唯一红本在手', '依山居  | 3室2厅 | 122.12平米 | 东南 | 精装 | 有电梯', '高楼层(共13层)2000年建板塔结合  -  黄木岗', '908万', '单价74354元/平米')
('https://image1.ljcdn.com/440300-inspection/e3e54293-0d6e-4138-8eb7-84e6ed5c9595.jpg.296x216.jpg', '航苑大厦105平3房， 交通便利，设施齐全', '航苑大厦  | 3室1厅 | 104.91平米 | 东 西 北 | 简装 | 有电梯', '低楼层(共28层)1995年建板塔结合  -  华强北', '600万', '单价57192元/平米')
('https://image1.ljcdn.com/440300-inspection/48408b75-e264-443c-9553-4ea8ce126296.JPG.296x216.jpg', '顶层中空复式房，带天台大花园，', '福田花园大厦  | 6室2厅 | 207.89平米 | 西 北 | 精装 | 有电梯', '高楼层(共27层)2000年建板塔结合  -  石厦', '1000万', '单价48103元/平米')
('https://image1.ljcdn.com/440300-inspection/3e3c6eda-7033-4cbc-887e-1ba851a65f8f.jpg.296x216.jpg', '新浩城花园 复式房安静 诚心急售', '新浩城花园  | 5室2厅 | 233.63平米 | 南 北 | 其他 | 有电梯', '低楼层(共7层)1997年建板塔结合  -  竹子林', '1500万', '单价64205元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8c73b200-a736-4afb-88b4-584343cb6653.png.296x216.jpg', 'TT国际南向2房，安静，采光好，双地铁口，业主诚售！', 'TT国际公寓  | 2室1厅 | 52.84平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2005年建板塔结合  -  景田', '450万', '单价85163元/平米')
('https://image1.ljcdn.com/440300-inspection/test-54f8131a-64ef-4e03-96d0-f6cff94ee5af.png.296x216.jpg', '半山社区，依山傍水，两本证，大平面4房，红本在手！', '新世界四季山水  | 4室2厅 | 156.39平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2009年建板塔结合  -  梅林', '1400万', '单价89520元/平米')
('https://image1.ljcdn.com/440300-inspection/62d0819d-1144-4385-aff5-a54d1f0e7412.jpg.296x216.jpg', '福田新洲绿景新美域南向3+1房满五唯一高层看花园安静', '绿景花园二期  | 3室2厅 | 115.42平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2005年建板塔结合  -  新洲', '830万', '单价71912元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ca7b925f-ff5e-4faf-89b5-3df37921e524.png.296x216.jpg', '大中华国际金融中心 3室1厅 460万', '大中华国际金融中心  | 3室1厅 | 89.15平米 | 西 | 其他 | 有电梯', '中楼层(共30层)2012年建板塔结合  -  福田中心', '460万', '单价51599元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9d219cc2-6564-4429-b1f9-b35889085f9c.png.296x216.jpg', '小高层带电梯，端头位，低价买房买金地品牌', '金地海景花园  | 1室0厅 | 33.67平米 | 北 | 其他 | 有电梯', '中楼层(共8层)1998年建板塔结合  -  沙尾', '165万', '单价49006元/平米')
('https://image1.ljcdn.com/440300-inspection/test-85f0dd5c-ec6b-435c-8765-42d144f9cc72.png.296x216.jpg', '美晨苑高层，户型通透，精装修，带三个阳台，采光好', '美晨苑  | 4室2厅 | 154.89平米 | 北 | 精装 | 有电梯', '高楼层(共16层)2000年建板塔结合  -  皇岗', '1100万', '单价71019元/平米')
('https://image1.ljcdn.com/440300-inspection/test-598b5175-01ac-4cf6-b4ff-2afe5d1ce086.png.296x216.jpg', '满五唯一红本正东向方正户型保养好厅出大阳台视野广', '城投福滨苑  | 2室2厅 | 69.61平米 | 东 | 精装 | 有电梯', '中楼层(共26层)2004年建板塔结合  -  华强南', '530万', '单价76139元/平米')
('https://image1.ljcdn.com/440300-inspection/b43f0895-7f50-464d-b26e-428c5919a3a5.jpg.296x216.jpg', '创意桥园 满五年红本在手 税费少 看房方便 户型方正', '创意侨园  | 2室2厅 | 100.02平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2005年建塔楼  -  竹子林', '750万', '单价74986元/平米')
('https://image1.ljcdn.com/440300-inspection/c84eb511-f69c-4853-9e6c-bef321c1ace5.JPG.296x216.jpg', '顶楼复式，视野开阔，采光好，双阳台，装修好', '益田村  | 4室2厅 | 111.46平米 | 南 北 | 简装 | 有电梯', '高楼层(共32层)2001年建板塔结合  -  石厦', '690万', '单价61906元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0f0e44ea-7b40-4684-9b9c-2e73d0609dd7.png.296x216.jpg', '景新花园满五唯一，楼层适中，东南向，俯瞰莲花山', '景新花园  | 3室2厅 | 96.61平米 | 东南 | 精装 | 有电梯', '中楼层(共29层)1995年建塔楼  -  景田', '580万', '单价60036元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9274c7b2-d522-445e-985a-101ff085212a.png.296x216.jpg', '汇港名苑 大两房 满五年红本 万科物业', '汇港名苑  | 2室2厅 | 77.77平米 | 北 | 其他 | 有电梯', '高楼层(共32层)2003年建板塔结合  -  赤尾', '405万', '单价52077元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f6430c55-66e4-4d34-8f56-69951fe0b67b.png.296x216.jpg', '皇庭世纪 1室1厅 320万', '皇庭世纪  | 1室1厅 | 41.84平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2004年建塔楼  -  石厦', '320万', '单价76482元/平米')
('https://image1.ljcdn.com/440300-inspection/d4f66b17-c0db-4e58-87a1-240ed74a963c.jpg.296x216.jpg', '南溪新苑中高楼层两房 红本在手 满五年 唯一住宅', '南溪新苑  | 2室2厅 | 79.44平米 | 北 | 其他 | 有电梯', '高楼层(共20层)2006年建板塔结合  -  新洲', '460万', '单价57906元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d7765d35-954b-4faa-bd35-650ab4736a12.png.296x216.jpg', '单身公寓 南向，香港米埔景观喜来登酒店物业', '加福广场华尔登府邸  | 1室0厅 | 40.86平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2007年建板塔结合  -  福田保税区', '220万', '单价53843元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ad0843af-ba7b-4723-b904-03255d4f3993.png.296x216.jpg', '时尚小户型  前瞻实用 总价低  看房方便', '金地海景花园  | 1室0厅 | 32.69平米 | 北 | 其他 | 有电梯', '高楼层(共8层)1998年建板塔结合  -  沙尾', '165万', '单价50475元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b44b1852-029e-43e3-b2a4-a564f47d8c2f.png.296x216.jpg', '新浩城花园 地铁口 明德实验 安静位置 户型好 诚心卖', '新浩城花园  | 3室2厅 | 149.07平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)1999年建板塔结合  -  竹子林', '1000万', '单价67083元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4736aa81-a85f-4139-abd8-62f4db1ddadf.png.296x216.jpg', '景苑大厦 东南向精装大两房 安静居家 采光视野好', '景苑大厦  | 2室2厅 | 88.61平米 | 东南 | 精装 | 有电梯', '低楼层(共27层)1996年建板塔结合  -  景田', '500万', '单价56428元/平米')
('https://image1.ljcdn.com/440300-inspection/d1120ebb-b3bf-45e1-af2d-f0ef437caa84.jpg.296x216.jpg', '乐山居 两房两厅 户型方正 红本在手', '乐山居  | 2室2厅 | 80.64平米 | 南 北 | 其他 | 无电梯', '低楼层(共8层)1996年建板塔结合  -  黄木岗', '460万', '单价57044元/平米')
('https://image1.ljcdn.com/440300-inspection/f373285c-6c7a-402a-983b-f8666ee3a305.jpg.296x216.jpg', '祥云天都精装大两房，满5唯一税少', '祥云天都世纪大厦  | 2室1厅 | 79.48平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)2007年建塔楼  -  新洲', '440万', '单价55360元/平米')
('https://image1.ljcdn.com/440300-inspection/test-764027bc-8da0-46cc-a5fe-09d3654875a0.png.296x216.jpg', '红本在手，满五唯一，南向视野。', '福源花园三期  | 1室1厅 | 33.1平米 | 南 | 简装 | 有电梯', '低楼层(共12层)2002年建塔楼  -  福田保税区', '238万', '单价71904元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cd1a154e-2607-4650-8f1c-58a581ef6f3e.png.296x216.jpg', '地铁口山景三房，格局好，刚需盘', '水木澜山居  | 3室2厅 | 83.97平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2008年建板塔结合  -  梅林', '615万', '单价73241元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3e78edb4-8408-4841-8ce3-e743e37f4bdb.png.296x216.jpg', '安静舒适，居家两房，精装看会展，拎包入住！！！', '皇庭世纪  | 2室2厅 | 53.33平米 | 北 | 其他 | 有电梯', '低楼层(共33层)2004年建塔楼  -  石厦', '410万', '单价76880元/平米')
('https://image1.ljcdn.com/440300-inspection/c82fc830-cd6b-41ea-b22d-2f80edce6491.jpg.296x216.jpg', '雅颂居  中层复式 全南朝向 四房改三房', '雅颂居  | 3室2厅 | 171.17平米 | 南 | 简装 | 有电梯', '中楼层(共25层)2004年建板塔结合  -  莲花', '2100万', '单价122686元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadc0c5e26b-0ac8-4650-8735-2550ff453133.jpg.296x216.jpg', '满五年房子在B座安静不吵高楼层', '花好园  | 2室2厅 | 59.9平米 | 北 | 其他 | 有电梯', '中楼层(共29层)2005年建板塔结合  -  上下沙', '430万', '单价71787元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bbcebc89-b88a-46ef-b119-7f5fe1229e66.png.296x216.jpg', '新世界四季山水 2室1厅 645万', '新世界四季山水  | 2室1厅 | 80.37平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2011年建板塔结合  -  梅林', '645万', '单价80254元/平米')
('https://image1.ljcdn.com/440300-inspection/4a6c7fbd-e192-4324-925c-c11860a6e8f0.JPG.296x216.jpg', '高楼层朝南海景房，地铁物业，配套成熟', '花好园  | 2室1厅 | 62.08平米 | 东南 | 其他 | 有电梯', '高楼层(共32层)2005年建板塔结合  -  上下沙', '435万', '单价70071元/平米')
('https://image1.ljcdn.com/440300-inspection/test-bff9e119-c17f-43db-90a4-60449c179a56.png.296x216.jpg', '润丰园 3室2厅 600万', '润丰园  | 3室2厅 | 105.73平米 | 东北 | 简装', '中楼层(共27层)1999年建板塔结合  -  景田', '600万', '单价56749元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2a2a7139-29a4-481a-aa0a-9ce6cbaf4c91.png.296x216.jpg', '双地铁口 南北通大4房2卫 2013年新小区', '嘉葆润金座  | 4室2厅 | 108.6平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2012年建板塔结合  -  新洲', '840万', '单价77349元/平米')
('https://image1.ljcdn.com/440300-inspection/991329ff-65fb-4424-bd89-21a7322117b8.JPG.296x216.jpg', '业主诚心放卖，高层采光通透，景观优美', '福保桂花苑  | 2室1厅 | 62.85平米 | 南 | 简装 | 有电梯', '中楼层(共28层)2010年建板楼  -  福田保税区', '450万', '单价71600元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e538a236-8963-47a4-8b45-9ccae801edd7.png.296x216.jpg', '园东花园精致三房，红本在手，满五唯一，看房方便', '园东花园  | 3室2厅 | 96.52平米 | 西北 | 简装 | 有电梯', '中楼层(共32层)1996年建塔楼  -  园岭', '710万', '单价73560元/平米')
('https://image1.ljcdn.com/440300-inspection/test-61817470-52b2-427c-99ce-f38c0acece32.png.296x216.jpg', '大三房实用，满五年唯一，高楼层南向，视野棒！', '新洲大厦  | 3室1厅 | 91.92平米 | 东南 | 简装 | 有电梯', '高楼层(共33层)1996年建板塔结合  -  新洲', '402万', '单价43734元/平米')
('https://image1.ljcdn.com/440300-inspection/test-abce3b18-9c72-45c9-9899-4ff32a856b65.png.296x216.jpg', '花园社区3房，红本满5年，安静看花园景观，随时看房', '都市花园  | 3室2厅 | 94.1平米 | 东南 | 其他 | 有电梯', '中楼层(共12层)1999年建板塔结合  -  车公庙', '630万', '单价66951元/平米')
('https://image1.ljcdn.com/440300-inspection/5da4ac55-0a30-4158-ad7f-657dba42475f.JPG.296x216.jpg', '园林式花园社区 红本在手 满五唯一 南北通透 采光好', '益田花园二期  | 3室2厅 | 99.89平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1998年建板塔结合  -  皇岗', '710万', '单价71079元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c21e4bf6-80b4-4bc1-b214-449f3e1e8754.png.296x216.jpg', '汇龙花园 1室1厅 280万', '汇龙花园  | 1室1厅 | 45.41平米 | 南 | 其他 | 有电梯', '低楼层(共7层)1999年建板塔结合  -  梅林', '280万', '单价61661元/平米')
('https://image1.ljcdn.com/440300-inspection/81c68793-e69d-4efa-b6b2-561e0d7a764d.jpg.296x216.jpg', '聚豪园朝花园安静 四房两厅，红本在手，看房方便！', '聚豪园  | 4室2厅 | 135.77平米 | 北 | 简装 | 有电梯', '低楼层(共12层)2000年建板塔结合  -  景田', '950万', '单价69972元/平米')
('https://image1.ljcdn.com/440300-inspection/test-eb8051f4-dfc8-4d5b-bdd0-98ba3a260515.png.296x216.jpg', '《清爽装修》三房两卫 双阳台看树景 鸟语花香', '黄埔雅苑一期  | 3室2厅 | 107.23平米 | 西北 | 简装 | 有电梯', '低楼层(共27层)2001年建塔楼  -  莲花', '860万', '单价80202元/平米')
('https://image1.ljcdn.com/440300-inspection/14664ef6-ded4-4662-91e2-f03b3773451d.jpg.296x216.jpg', '嘉葆润金座 2室1厅 305万', '嘉葆润金座  | 2室1厅 | 35.75平米 | 北 | 其他 | 有电梯', '低楼层(共20层)2013年建板塔结合  -  新洲', '305万', '单价85315元/平米')
('https://image1.ljcdn.com/440300-inspection/7add9f0c-e474-4b42-b194-bed4c3a61f16.JPG.296x216.jpg', '白天观海夜观景 优雅3室只等您 居高临下显豪气', '万科金域蓝湾三期  | 3室2厅 | 112.35平米 | 南 | 精装 | 有电梯', '高楼层(共46层)2003年建板塔结合  -  上下沙', '950万', '单价84558元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadbfc01343-f1fa-48c0-8613-e5b77c1339ea.jpg.296x216.jpg', '缇香名苑 3室2厅 1050万', '缇香名苑  | 3室2厅 | 114.43平米 | 北 | 其他 | 有电梯', '中楼层(共21层)2004年建板塔结合  -  景田', '1050万', '单价91760元/平米')
('https://image1.ljcdn.com/440300-inspection/20630f0e-6346-42f2-a844-f52278a84fe2.jpg.296x216.jpg', '此房满五唯一红本，通风好，视野开阔，采光充足', '碧海红树园  | 3室2厅 | 137.73平米 | 西南 | 精装 | 有电梯', '低楼层(共32层)2004年建板塔结合  -  上下沙', '960万', '单价69702元/平米')
('https://image1.ljcdn.com/440300-inspection/test-167bf744-cc72-432c-a93a-5eaf05a203f7.png.296x216.jpg', '口岸 大社区 大花园 皇御苑 两房 满五唯一 有平台', '皇御苑二期  | 2室2厅 | 70.06平米 | 东北 | 简装 | 有电梯', '低楼层(共32层)2003年建板塔结合  -  皇岗', '440万', '单价62804元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d366c6c1-6e2a-453c-b357-e87a8e229fd3.png.296x216.jpg', '艺丰花园C区 2室2厅 385万', '艺丰花园C区  | 2室2厅 | 79.09平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1997年建板塔结合  -  梅林', '385万', '单价48679元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4eadef60-bdda-4e8c-a223-021c45241f9e.png.296x216.jpg', '碧海云天一期高楼层，总价低，看锦绣中华，景观视野好', '碧海云天一期  | 3室2厅 | 141.77平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2003年建板塔结合  -  竹子林', '1300万', '单价91698元/平米')
('https://image1.ljcdn.com/440300-inspection/test-84576895-0233-4ea1-83ea-2f7948ea7591.png.296x216.jpg', '嘉洲豪园方正三房 精装出售 自住看房约', '嘉洲豪园  | 3室2厅 | 97.19平米 | 北 | 精装 | 有电梯', '中楼层(共9层)1998年建板塔结合  -  新洲', '580万', '单价59677元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b9bcca84-0ad2-42b8-bff5-b9c31d46e315.png.296x216.jpg', '满五不唯一，大阳台视野采光足，东南方正三居', '香格丽苑  | 3室1厅 | 107.46平米 | 东 | 简装 | 有电梯', '中楼层(共32层)2006年建板塔结合  -  香蜜湖', '1350万', '单价125629元/平米')
('https://image1.ljcdn.com/440300-inspection/2b7db340-f1d9-42fa-978d-83846a73868a.JPG.296x216.jpg', '南北对流，精装四房，带车位，看海景，视野开阔。', '益田村  | 4室2厅 | 115.14平米 | 北 | 精装 | 有电梯', '中楼层(共24层)2002年建板塔结合  -  石厦', '760万', '单价66007元/平米')
('https://image1.ljcdn.com/440300-inspection/test-75804b34-8e95-42b0-af59-a342ee3af386.png.296x216.jpg', '凯丰花园综合楼 60平标准两房 结构实用', '凯丰花园综合楼  | 2室1厅 | 60.19平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板塔结合  -  梅林', '294万', '单价48846元/平米')
('https://image1.ljcdn.com/440300-inspection/0e2f97df-53b8-409a-a16d-50f3893feb94.jpg.296x216.jpg', '嘉葆润金座 2室1厅 285万', '嘉葆润金座  | 2室1厅 | 34.97平米 | 北 | 其他 | 有电梯', '低楼层(共20层)2013年建板塔结合  -  新洲', '285万', '单价81499元/平米')
('https://image1.ljcdn.com/440300-inspection/7a5d2a7c-2903-48b2-af32-0f2c6dc9584f.jpg.296x216.jpg', '福田口岸 中端小区 给你一个安全舒适的新家', '金港豪庭  | 2室1厅 | 74.47平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2003年建塔楼  -  皇岗', '500万', '单价67142元/平米')
('https://image1.ljcdn.com/440300-inspection/61fcf9c0-c0a9-487d-bc47-975bc768cdc9.JPG.296x216.jpg', '金地海景翠堤湾 4室2厅 1350万', '金地海景翠堤湾  | 4室2厅 | 153.32平米 | 南 | 其他 | 有电梯', '高楼层(共8层)2002年建板塔结合  -  沙尾', '1350万', '单价88052元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload84f78094-45b9-42ea-ad69-acfab62e0790.jpg.296x216.jpg', '此房满五唯一红本，东南向南北通透，无西晒，安静看海', '万科金域蓝湾二期  | 3室2厅 | 106.58平米 | 东南 | 精装 | 有电梯', '中楼层(共34层)2003年建板塔结合  -  上下沙', '868万', '单价81442元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4e10b228-1c2b-43d5-b66c-9879c0f79171.png.296x216.jpg', '满五唯一半山美宅，高品质小三房，业主诚售', '半山御景  | 3室1厅 | 83.52平米 | 东 | 精装 | 有电梯', '高楼层(共16层)2008年建板塔结合  -  梅林', '610万', '单价73037元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a6060557-1f5e-46bf-baa3-2aea6d3c6e7a.png.296x216.jpg', '皇庭世纪  大三房  东南向  特安静  精装  看房有钥匙', '皇庭世纪  | 3室2厅 | 105.84平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2004年建塔楼  -  石厦', '815万', '单价77004元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c19d8540-048e-4d17-964e-b2b11d016bda.png.296x216.jpg', '都市花园 4室1厅 900万', '都市花园  | 4室1厅 | 118.72平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)1999年建板塔结合  -  车公庙', '900万', '单价75809元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload2399ea55-c916-4927-a2cd-306cbe266618.jpg.296x216.jpg', '稀，豪庭放送，买两层送一层私家大花园，产权清晰', '园岭新村  | 5室2厅 | 147.18平米 | 南 | 简装 | 有电梯', '高楼层(共21层)1989年建板楼  -  园岭', '1200万', '单价81533元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f13c9223-16f5-41ee-9d55-9cec3cb52fbc.png.296x216.jpg', '阁林网苑 户型方正 单价较低 满三年无增值税 荔园', '阁林网苑  | 2室1厅 | 63.81平米 | 西 | 其他 | 有电梯', '高楼层(共19层)2002年建板塔结合  -  华强北', '470万', '单价73657元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2a1c0ae6-1a1e-4069-a813-9d722cc1b590.png.296x216.jpg', '园岭难得的一房一厅小户型，税费少红本在手，有匙即看', '园岭新村  | 1室1厅 | 39.2平米 | 北 | 简装 | 无电梯', '中楼层(共8层)1984年建板楼  -  园岭', '392万', '单价100000元/平米')
('https://image1.ljcdn.com/440300-inspection/test-916b9e19-0461-4644-bccf-88f2dc52d76b.png.296x216.jpg', '户型方正实用带大露台和书房 安静适合住家 看房方便', '阳基阳光城市  | 2室2厅 | 64.66平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2005年建板塔结合  -  皇岗', '450万', '单价69595元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0c6897ff-0530-4f2a-b05f-682de49b6a13.png.296x216.jpg', '莲花一村2房可改3房 楼梯房已加装电梯 满5唯1诚售', '莲花一村  | 2室2厅 | 76.86平米 | 南 北 | 精装 | 无电梯', '中楼层(共8层)1995年建板塔结合  -  莲花', '650万', '单价84570元/平米')
('https://image1.ljcdn.com/440300-inspection/325ac2d2-f841-43dd-aff0-285d20a26d17.jpg.296x216.jpg', '满五唯一   税费少  业主诚心出售  近公园水库', '福兴花园  | 2室1厅 | 81.63平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2001年建板塔结合  -  梅林', '450万', '单价55127元/平米')
('https://image1.ljcdn.com/440300-inspection/4077999c-e1b1-44e1-a9e5-15cb0ddf4173.jpg.296x216.jpg', '杰恩大厦西南三房，业主诚心出售', '杰恩大厦  | 3室2厅 | 88.6平米 | 南 | 精装 | 有电梯', '低楼层(共24层)1994年建板塔结合  -  华强南', '400万', '单价45147元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload5e9f3bba-4957-4624-a1ee-65b56a85bc19.jpg.296x216.jpg', '红本在手 无增值税  送5平书房', '阳基阳光城市  | 2室2厅 | 64.6平米 | 东南 | 精装 | 有电梯', '高楼层(共29层)2004年建板塔结合  -  皇岗', '420万', '单价65016元/平米')
('https://image1.ljcdn.com/440300-inspection/c63e41b6-5ff1-4d79-b5eb-090e5f62f7d6.jpg.296x216.jpg', '香蜜湖三房深外附属+深高，业主诚意出售。', '东海花园二期福禄居  | 3室2厅 | 131.61平米 | 北 | 精装 | 有电梯', '中楼层(共17层)2000年建板塔结合  -  香蜜湖', '1600万', '单价121572元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a1c66296-f68f-45c8-bcfb-62d03ca4222a.png.296x216.jpg', '景新花园满五唯一红本在手，东邻莲花山，西瞰香蜜湖。', '景新花园  | 3室2厅 | 77.96平米 | 东北 | 简装 | 有电梯', '中楼层(共29层)1995年建塔楼  -  景田', '550万', '单价70549元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f43db7be-3e49-4bf5-aa30-f656391d7c05.png.296x216.jpg', '上梅林电梯南向一房一厅带阳台转角飘窗一手业主红本', '旭飞华安园  | 1室1厅 | 29.15平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  梅林', '160万', '单价54889元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload8ef26723-610b-4bfa-ac2f-d12894d11d36.jpg.296x216.jpg', '正规三房，带保姆间，满五唯一，高层南向海景房', '绿景花园二期  | 3室2厅 | 116.45平米 | 南 | 简装 | 有电梯', '高楼层(共33层)2005年建塔楼  -  新洲', '900万', '单价77287元/平米')
('https://image1.ljcdn.com/440300-inspection/049b4240-642c-47f3-9e0f-aac2368cce87.jpg.296x216.jpg', '里奥de花园 2室1厅 420万', '里奥de花园  | 2室1厅 | 69.7平米 | 南 | 其他 | 有电梯', '高楼层(共23层)2005年建塔楼  -  皇岗', '420万', '单价60259元/平米')
('https://image1.ljcdn.com/440300-inspection/a9ffb10c-5fea-4980-b4db-c808d85d79ad.jpg.296x216.jpg', '香蜜湖高档社区 4+1带保姆间 4阳台', '宏浩花园  | 4室2厅 | 183.94平米 | 东南 | 其他 | 有电梯', '中楼层(共24层)1999年建板塔结合  -  景田', '1250万', '单价67957元/平米')
