('https://image1.ljcdn.com/320100-inspection/test-b5172b44-0260-41aa-a27f-eb6d338862b7.png.296x216.jpg', '满五唯一      拎包住  看房方便', '花雨南庭  | 3室1厅 | 79.36平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  洪家园', '310万', '单价39063元/平米')
('https://image1.ljcdn.com/320100-inspection/53335159-17fb-41c1-97e9-cf924ac1393c.jpg.296x216.jpg', '南京南站 花神湖 卡子门 精装 三卧朝南', '康盛花园  | 3室2厅 | 116.78平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2002年建板塔结合  -  宁南', '400万', '单价34253元/平米')
('https://image1.ljcdn.com/320100-inspection/b51af045-18b1-4a6e-b63a-60a322d14ed1.JPG.296x216.jpg', '雨花台风景区 夫子庙 爱涛逸珍公馆 低密度洋房', '爱涛逸珍公馆   | 联排别墅 | 4室2厅 | 212.84平米 | 南 北 | 其他 | 有电梯', '4层2013年建暂无数据  -  洪家园', '780万', '单价36648元/平米')
('https://image1.ljcdn.com/320100-inspection/4682c0b5-a9bd-439d-bda4-dc5083c4e500.jpg.296x216.jpg', '安德门商圈 基础设施完善 采光好', '康润园  | 2室1厅 | 50.83平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  安德门', '160万', '单价31478元/平米')
('https://image1.ljcdn.com/320100-inspection/d25cd536-e752-4d77-8115-0d0355f61006.jpg.296x216.jpg', '南京南站 花神湖 居家装修 南北通透', '花神美境  | 3室2厅 | 115.02平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  宁南', '426万', '单价37038元/平米')
('https://image1.ljcdn.com/320100-inspection/56f720a3-ee54-47c5-bbaf-48508e696881.jpg.296x216.jpg', '金地自在城五街区，小区环境优美，安静 户型不错', '金地自在城第五街区  | 3室1厅 | 100.78平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2013年建塔楼  -  雨花台其它', '280万', '单价27784元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadf93f4f1f-7bc8-49a6-9c32-5792211f5ca3.JPG.296x216.jpg', '雨花西路两房  交通方便  看房方便', '雨花西路  | 2室1厅 | 75.62平米 | 东 | 简装 | 无电梯', '中楼层(共7层)1994年建板楼  -  雨花新村', '198万', '单价26184元/平米')
('https://image1.ljcdn.com/320100-inspection/5c6d12da-8a2d-41d9-925d-6bd8f16d7ef6.jpg.296x216.jpg', '先锋青年公寓  精装修  交通便利 配套成熟', '先锋青年公寓  | 2室1厅 | 53.37平米 | 南 | 其他 | 有电梯', '中楼层(共10层)2010年建板楼  -  雨花新村', '172万', '单价32228元/平米')
('https://image1.ljcdn.com/320100-inspection/38622d35-246c-4d44-8e7f-3f8c12f9a7b7.jpg.296x216.jpg', '此房采光不遮挡，视野好，居住舒适。', '翠岛花城兰芷苑  | 2室2厅 | 103.57平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板塔结合  -  宁南', '400万', '单价38622元/平米')
('https://image1.ljcdn.com/320100-inspection/15ced99f-3110-4dcd-98a9-273c79105309.jpg.296x216.jpg', '小行路精装两房 出行方便 小区环境好 物业帮 房龄新', '名城世家花园  | 2室2厅 | 87.75平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2013年建板楼  -  小行', '300万', '单价34189元/平米')
('https://image1.ljcdn.com/320100-inspection/cebc8860-6189-423c-a0b1-109da40f5b02.jpg.296x216.jpg', '基础设施完善 交通便利 采光好', '时光澔韵  | 3室2厅 | 127.31平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2010年建板楼  -  小行', '478万', '单价37547元/平米')
('https://image1.ljcdn.com/320100-inspection/a40483bc-63e0-46fd-9dc7-cc8037047832.jpg.296x216.jpg', '铁心桥商圈 软件大道 春江路 春江新城龙泉坊 精装修', '春江新城龙泉坊  | 2室2厅 | 86.48平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  铁心桥', '218万', '单价25209元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadbf97ea9c-637e-4381-a018-423736b66b9b.jpg.296x216.jpg', '雨花台 铁心桥 南北通透 春江新城', '春江新城隐龙坊  | 2室2厅 | 86.54平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  铁心桥', '206万', '单价23805元/平米')
('https://image1.ljcdn.com/x-se/hdic-resblock/0af2b122-2817-4bd7-96fa-052a3bd2c03b.JPG.296x216.jpg', '四十年产权公寓 开发商装修交付 民用水电 通天然气', '蓝岸3G  | 1室0厅 | 42.05平米 | 南 | 精装 | 有电梯', '高楼层(共10层)2011年建板塔结合  -  铁心桥', '70万', '单价16647元/平米')
('https://image1.ljcdn.com/320100-inspection/352d75e7-0c7f-4bfb-bf15-8c61e7df4445.jpg.296x216.jpg', '南北通透，交通便利，安德门地铁，配套完善成熟。', '德安花园  | 3室2厅 | 77.35平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  安德门', '260万', '单价33614元/平米')
('https://image1.ljcdn.com/320100-inspection/084dc071-5f6d-4996-8138-ddccea41e9b5.jpg.296x216.jpg', '开放商样板房 品质物业 4.8米挑高 民用水电 带天然气', '紫荆国际公寓  | 1室1厅 | 47.2平米 | 南 | 精装 | 有电梯', '中楼层(共9层)2015年建塔楼  -  宁南', '159万', '单价33687元/平米')
('https://image1.ljcdn.com/320100-inspection/5e6a152c-f80a-473c-acd1-61f23bfbc30c.jpg.296x216.jpg', '挑高小户型  楚翘城   年轻人的选择', '蓝岸尚城  | 2室1厅 | 50.15平米 | 南 | 精装 | 有电梯', '中楼层(共12层)2008年建板塔结合  -  铁心桥', '189万', '单价37687元/平米')
('https://image1.ljcdn.com/320100-inspection/9f4fb37e-f310-426e-b8f6-e95cc312a62f.jpg.296x216.jpg', '房子满五唯一  生活配套设施齐全 居家出行都很方便', '先锋青年公寓  | 2室1厅 | 49.28平米 | 南 | 简装 | 有电梯', '中楼层(共10层)2010年建板楼  -  雨花新村', '165万', '单价33483元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5f922f9e-efdb-4a35-8cf2-77decbb458e0.JPG.296x216.jpg', '南部新城 花神湖 卡子门 一楼带院子 采光好', '仁恒翠竹园  | 3室2厅 | 136.59平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)2004年建板楼  -  宁南', '570万', '单价41731元/平米')
('https://image1.ljcdn.com/320100-inspection/test-34369e98-99a7-491e-b441-ffec2727dd63.png.296x216.jpg', '雨花台区 铁心桥 翠岭银河   视野开阔 采光充足', '翠岭银河  | 2室1厅 | 69.55平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2008年建板塔结合  -  铁心桥', '160万', '单价23006元/平米')
('https://image1.ljcdn.com/320100-inspection/f23dd106-555f-4d63-99d9-ab73b9e7c231.jpg.296x216.jpg', '2013年 宏图上叠 毛坯  软件大道', '宏图上水庭院  | 5室3厅 | 301.39平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)2014年建板楼  -  宁南', '1100万', '单价36498元/平米')
('https://image1.ljcdn.com/120000-inspection/ddc2bc90-b56b-48a7-b0af-f49d686d4b26.jpg.296x216.jpg', '开发商精装 环境清新 低楼层 精装', '琥珀森林一期  | 3室2厅 | 142.94平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2017年建板塔结合  -  铁心桥', '438万', '单价30643元/平米')
('https://image1.ljcdn.com/320100-inspection/d2ebd7e6-0b0c-4e4b-85cd-c3e14335dee2.jpg.296x216.jpg', '中华门 虹悦城 装修好 双南两房 看房方便', '亚东观云国际  | 2室1厅 | 80.73平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2012年建塔楼  -  能仁里', '335万', '单价41497元/平米')
('https://image1.ljcdn.com/320100-inspection/f7d36526-a3c1-4c74-bec4-a0c1afad5490.jpg.296x216.jpg', '楼层好 视野好 采光好 拎包住  业主诚售！', '琥珀森林一期  | 2室2厅 | 94.46平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2017年建板塔结合  -  铁心桥', '310万', '单价32819元/平米')
('https://image1.ljcdn.com/320100-inspection/4cde757f-cf76-47d8-b497-9bed1bc9ddd2.jpg.296x216.jpg', '精装两房 春江新城 总价低 户型方正', '春江新城新河苑一期  | 2室1厅 | 62.8平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2005年建板楼  -  铁心桥', '163万', '单价25956元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadb9b42bf6-5a31-470c-8ded-9a7a40fe4e86.JPG.296x216.jpg', '安德门小行双地铁 银城物业 有装修拎包住 生活便利', '时光澔韵  | 3室2厅 | 107.8平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2010年建板楼  -  小行', '370万', '单价34323元/平米')
('https://image1.ljcdn.com/320100-inspection/f69d1ca1-3889-49ac-ad64-5a3090fae053.jpg.296x216.jpg', '飞龙大厦  设施完善  到地铁1号线500米', '飞龙大厦  | 2室1厅 | 105.14平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2000年建板塔结合  -  能仁里', '315万', '单价29961元/平米')
('https://image1.ljcdn.com/320100-inspection/1416799c-150d-406e-b26e-cb7f91181fe6.jpg.296x216.jpg', '小三房 南北通透 上学方便 低楼层 满两年', '善水湾花园  | 3室2厅 | 91.97平米 | 南 北 | 其他', '低楼层(共17层)2005年建板楼  -  铁心桥', '280万', '单价30445元/平米')
('https://image1.ljcdn.com/320100-inspection/05e8b2f3-99dc-4835-b3e8-1d03a67d83d1.jpg.296x216.jpg', '雨花新村五村  楼层好  交通便利 配套完善  采光充足', '雨花新村五村  | 3室1厅 | 65.23平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1984年建板楼  -  雨花新村', '170万', '单价26062元/平米')
('https://image1.ljcdn.com/320100-inspection/7417afc0-0a4b-4c0b-9a6d-c7d0bc6d1e38.JPG.296x216.jpg', '婚装房 业主诚心出售 基础设施完善', '时光澔韵  | 3室2厅 | 108.37平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2010年建板楼  -  小行', '368万', '单价33958元/平米')
('https://image1.ljcdn.com/320100-inspection/270f69e8-0e2d-4fa8-8db9-c961eb59ea0d.jpg.296x216.jpg', '雨花台区 景明佳园 一居室 视野开阔', '景明佳园拾景苑  | 1室1厅 | 50.53平米 | 南 | 简装 | 有电梯', '高楼层(共11层)2004年建板塔结合  -  宁南', '119万', '单价23551元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5c5be9de-8b69-4c41-a287-819ca8ce1ff6.JPG.296x216.jpg', '小区中间 大三房 精装修 可拎包入住 看房方便', '阅城国际花园怡然园  | 3室2厅 | 145.07平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  宁南', '550万', '单价37913元/平米')
('https://image1.ljcdn.com/320100-inspection/test-eb5c443e-46a2-4a9b-8a05-7499431617cf.png.296x216.jpg', '万科品牌 平层大两房  宁静舒适 封闭式管理 人车分流', '万科金色里程  | 2室1厅 | 89.22平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建板塔结合  -  铁心桥', '285万', '单价31944元/平米')
('https://image1.ljcdn.com/320100-inspection/38ff2c92-1b58-476a-883b-09bb059a6f5b.jpg.296x216.jpg', '安德门小行商圈 简装两房 南北通透户型好', '名城世家花园  | 2室1厅 | 75.91平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  小行', '282万', '单价37150元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadb2f659e3-0b41-4bdc-afd6-21e76186ae2b.JPG.296x216.jpg', '满五年 南北透通 户型方正 采光充足', '龙福花园  | 2室1厅 | 61.83平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  能仁里', '165万', '单价26687元/平米')
('https://image1.ljcdn.com/320100-inspection/64cac04a-515f-455f-80ac-ac24742faa44.jpg.296x216.jpg', '菊花新村二村 3室1厅 192万', '菊花新村二村  | 3室1厅 | 73.87平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1986年建板塔结合  -  小行', '192万', '单价25992元/平米')
('https://image1.ljcdn.com/320100-inspection/2f839dbe-d5d9-45df-8bb5-014457b4eb56.jpg.296x216.jpg', '虹悦城  精装修  交通便捷  出行方便', '绿岛华庭  | 3室2厅 | 115.46平米 | 南 北 | 其他 | 有电梯', '高楼层(共17层)2004年建板塔结合  -  能仁里', '420万', '单价36377元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload00a089d5-73c9-4a3a-95ae-f1edf2825d30.JPG.296x216.jpg', '房子户型方正，采光无遮挡 2013年的装修 保养的还可以', '锦明家苑  | 3室2厅 | 99.51平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1999年建板楼  -  宁南', '316万', '单价31756元/平米')
('https://image1.ljcdn.com/320100-inspection/7111585f-c90a-46d8-84e4-215394f1bddd.jpg.296x216.jpg', '安德门 环境优雅 婚装两房 全明户型', '枫情国度尚园  | 2室2厅 | 88.08平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  安德门', '295万', '单价33493元/平米')
('https://image1.ljcdn.com/320100-inspection/82e1de36-0bcc-4a2c-9a88-deddac21cdd5.jpg.296x216.jpg', '简单装修 南北通透 采光充足 出行方便', '龙福花园  | 3室1厅 | 90.99平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  能仁里', '230万', '单价25278元/平米')
('https://image1.ljcdn.com/320100-inspection/bed23337-ff17-44ba-abdc-7acb682663ad.jpg.296x216.jpg', '此房房龄新 商品房小区环境好 上学方便 中楼层', '善水湾花园  | 2室1厅 | 90.35平米 | 南 | 其他', '高楼层(共18层)2015年建板塔结合  -  铁心桥', '275万', '单价30438元/平米')
('https://image1.ljcdn.com/320100-inspection/6b1c2914-c242-4959-a952-6c1be03a4239.jpg.296x216.jpg', '金地自在城二期 开发商装修 两房 保养好', '金地自在城第二街区  | 2室1厅 | 64.42平米 | 南 北 | 其他 | 有电梯', '中楼层(共33层)2012年建板塔结合  -  雨花台其它', '149.5万', '单价23208元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5e81ae72-a9db-4dca-b34b-21d867e4bdbd.JPG.296x216.jpg', '南京南站 南北通透 精装修 采光好 业主诚售', '仁恒翠竹园  | 4室2厅 | 160.84平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2006年建板楼  -  宁南', '670万', '单价41657元/平米')
('https://image1.ljcdn.com/120000-inspection/523f6bba-0ee6-40ec-8c77-e289bc441c68.jpg.296x216.jpg', '软件大道 春江路 春江新城新河苑二期 两房', '春江新城新河苑二期  | 2室1厅 | 54.72平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2008年建板楼  -  铁心桥', '148万', '单价27047元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadb1932db2-0284-4bae-a26d-087cf515b5fc.jpg.296x216.jpg', '金地二期 精装两房 业主自住 保养好 采光好', '金地自在城第二街区  | 2室1厅 | 63.34平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2011年建板塔结合  -  雨花台其它', '152万', '单价23998元/平米')
('https://image1.ljcdn.com/320100-inspection/9fc53cd7-c8af-40ac-b085-6c3806e86a4d.jpg.296x216.jpg', '宋都南郡南区 小户型 精装 采光无影响', '宋都南郡国际南区  | 2室2厅 | 69平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2016年建板塔结合  -  雨花台其它', '188万', '单价27247元/平米')
('https://image1.ljcdn.com/320100-inspection/6a5d82d8-7292-47fb-bc48-cb7d7f431317.jpg.296x216.jpg', '中华门 虹悦城 刚需 单总价低 适合过渡 采光好 地势好', '能仁里三村  | 2室1厅 | 71.88平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1996年建板塔结合  -  雨花新村', '182万', '单价25320元/平米')
('https://image1.ljcdn.com/320100-inspection/cd611ee8-03c0-49a5-967f-ffd3d64da7c8.jpg.296x216.jpg', '刚需 中华门 出行方便 虹悦城 配套齐全 诚心好房', '长虹路445号  | 3室1厅 | 61.61平米 | 南 | 简装 | 无电梯', '高楼层(共5层)2011年建板楼  -  能仁里', '165万', '单价26782元/平米')
('https://image1.ljcdn.com/320100-inspection/afdd3df6-3725-40d7-8299-d9fd802ceaad.jpg.296x216.jpg', '双地铁交通便利 总价低 刚需小两房', '景明佳园集景苑  | 2室1厅 | 71.13平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2004年建板塔结合  -  宁南', '178万', '单价25025元/平米')
('https://image1.ljcdn.com/320100-inspection/cbd1ee8d-b02b-460a-a91f-eb65ef8bc08b.jpg.296x216.jpg', '适合刚需 三居室  带电梯 满两年', '春江新城新河苑一期  | 3室1厅 | 98.87平米 | 南 北 | 其他 | 有电梯', '低楼层(共17层)2005年建板塔结合  -  铁心桥', '210万', '单价21241元/平米')
('https://image1.ljcdn.com/320100-inspection/b8ab05c5-911c-4a6b-b739-9a7891464bf6.png.296x216.jpg', '挑高 挑高户型 配套完善 中间楼层', '蓝岸尚城  | 2室1厅 | 38.19平米 | 北 | 其他 | 有电梯', '低楼层(共12层)2008年建板塔结合  -  铁心桥', '140万', '单价36659元/平米')
('https://image1.ljcdn.com/320100-inspection/f1f08d42-cf90-4250-8440-476d5fee15aa.jpg.296x216.jpg', '雨花台 铁心桥 翠岭银河 视野开阔 采光充足', '翠岭银河  | 2室1厅 | 69.67平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2008年建板塔结合  -  铁心桥', '170万', '单价24401元/平米')
('https://image1.ljcdn.com/120000-inspection/c59c68a8-43f7-426d-90a9-4c2d5846d58f.jpg.296x216.jpg', '满五大三房 顶楼加阁楼 实用面积大', '春江新城正和坊  | 3室2厅 | 103.26平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  铁心桥', '230万', '单价22274元/平米')
('https://image1.ljcdn.com/320100-inspection/9bc3f595-eb4b-44e9-ac8b-ee60460cbe3f.jpg.296x216.jpg', '三房 刚需 中华门 总价低 虹悦城 配套齐全 诚心好房', '长虹路445号  | 3室1厅 | 65.27平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)2011年建板楼  -  能仁里', '180万', '单价27578元/平米')
('https://image1.ljcdn.com/320100-inspection/dfbc0fbf-638a-438c-bd79-4bfbfe095e21.jpg.296x216.jpg', '蓝岸尚城 3室2厅 280万', '蓝岸尚城  | 3室2厅 | 75.77平米 | 南 西 | 其他 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '280万', '单价36954元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadf1010842-b879-49f1-9057-f43dbe9d1db0.JPG.296x216.jpg', '亚东国际公寓  临虹悦城 楼层适中 采光佳 配套齐全', '亚东国际公寓  | 2室2厅 | 93.82平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2009年建板塔结合  -  能仁里', '348万', '单价37093元/平米')
('https://image1.ljcdn.com/320100-inspection/7d5e191a-5e56-47d1-975f-27f3379c9329.jpg.296x216.jpg', '虹悦城 满五年 精装修 带租赁车位  视野开阔 诚售', '应天花园  | 2室1厅 | 76.02平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1999年建板楼  -  能仁里', '220万', '单价28940元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload48a30a5f-3fdc-4271-a4e3-6120b905945d.jpg.296x216.jpg', '应天花园 距离银桥市场320米 生活方便 交通便利', '应天花园  | 2室1厅 | 77.1平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1999年建板楼  -  能仁里', '230万', '单价29832元/平米')
('https://image1.ljcdn.com/320100-inspection/test-5bfd28c5-47c2-4841-bce6-0882259f5571.png.296x216.jpg', '锦明家苑 2室1厅 235万', '锦明家苑  | 2室1厅 | 64.9平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1994年建板楼  -  宁南', '235万', '单价36210元/平米')
('https://image1.ljcdn.com/320100-inspection/9541d530-80bd-4502-93ff-e617b98fcb96.jpg.296x216.jpg', '应天大街 虹悦城 满五年 纯毛坯 有阁楼', '应天花园  | 3室1厅 | 71.54平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  能仁里', '215万', '单价30054元/平米')
('https://image1.ljcdn.com/320100-inspection/4eab7b89-0cad-4f0d-aac5-864fa49af532.jpg.296x216.jpg', '亚东国际公寓三房户型，交通便利', '亚东国际公寓  | 3室1厅 | 111.9平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2009年建板塔结合  -  能仁里', '410万', '单价36640元/平米')
('https://image1.ljcdn.com/320100-inspection/8bd3d15f-3752-4cb9-84a7-d2d5a0ff186a.jpg.296x216.jpg', '南京南站 湖景房 精装 无个税 随叫随到', '仁恒翠竹园  | 3室2厅 | 147.01平米 | 东 西 | 其他 | 有电梯', '高楼层(共11层)2008年建板楼  -  宁南', '610万', '单价41494元/平米')
('https://image1.ljcdn.com/320100-inspection/469df653-e77f-4ffc-b791-80671fbf54b3.jpg.296x216.jpg', '金地自在城第二街区 复式 动静分离 采光好', '金地自在城第二街区  | 3室2厅 | 85.02平米 | 南 北 | 其他 | 有电梯', '中楼层(共26层)2011年建板塔结合  -  雨花台其它', '193万', '单价22701元/平米')
('https://image1.ljcdn.com/320100-inspection/dd495142-c20d-4ea5-b45e-f0dc0fc440ce.jpg.296x216.jpg', '君悦朝南两房 采光佳 业主诚心出售', '君悦湖滨  | 2室1厅 | 80.54平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2009年建板塔结合  -  宁南', '345万', '单价42836元/平米')
('https://image1.ljcdn.com/320100-inspection/368fc64a-86e7-4979-bd16-bf083dea2236.jpg.296x216.jpg', '低总价两房 装修拎包入住   业主诚心出售', '玉兰小区  | 2室1厅 | 62.09平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  宁南', '215万', '单价34628元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload39551a79-3dd7-424a-9a94-e7354a116183.JPG.296x216.jpg', '此房满五年，精装修，小区环境比较好，配套完善。', '枫情国度尚园  | 3室2厅 | 146.01平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  安德门', '420万', '单价28766元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadf61c9750-e31e-4554-afc1-0b2a2ef92dbe.JPG.296x216.jpg', '邓府山村 2室1厅 139万', '邓府山村  | 2室1厅 | 50.24平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  雨花新村', '139万', '单价27668元/平米')
('https://image1.ljcdn.com/320100-inspection/b30d2ee0-1428-4c77-8390-e149a1cab65d.jpg.296x216.jpg', '三房两卫 南北双阳台 全明户型 业主诚售', '名城世家花园  | 3室2厅 | 126.66平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2012年建板楼  -  小行', '455万', '单价35923元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload481a7dab-16e0-41de-b2e5-2616fb7cdc5b.JPG.296x216.jpg', '南部新城 花神湖 二期 精装边户 通透 有车位', '仁恒翠竹园  | 3室2厅 | 142.68平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2006年建板楼  -  宁南', '610万', '单价42754元/平米')
('https://image1.ljcdn.com/320100-inspection/048d91a3-f2e1-480d-8e06-f8980867a26d.jpg.296x216.jpg', '菊花新村 小行地铁站 交通便利 1楼带院子 配套完善', '菊花新村二村  | 2室1厅 | 60.28平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1986年建板塔结合  -  小行', '170万', '单价28202元/平米')
('https://image1.ljcdn.com/320100-inspection/6b4257ae-c8fe-4146-97ad-9b6b7bf88c4f.jpg.296x216.jpg', '雨花台 铁心桥 软件大道 天隆寺 天隆坊', '春江新城天隆坊  | 3室2厅 | 104.91平米 | 南 北 | 其他 | 有电梯', '中楼层(共16层)2005年建板楼  -  铁心桥', '250万', '单价23830元/平米')
('https://image1.ljcdn.com/320100-inspection/81b65008-0f37-43cc-8d1e-572efd2eb0fc.jpg.296x216.jpg', '阅城 精装四房   带子母车位  满五不唯一', '阅城国际花园悠然园  | 4室2厅 | 159.39平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2005年建板塔结合  -  宁南', '568万', '单价35636元/平米')
('https://image1.ljcdn.com/120000-inspection/0f0a57d7-6ede-4196-b69d-dea73eeab6da.jpg.296x216.jpg', '蓝岸尚城4.8米挑高配套齐全采光好动静分离实用面积大', '蓝岸尚城  | 2室2厅 | 49.56平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '179万', '单价36118元/平米')
('https://image1.ljcdn.com/320100-inspection/15f6b9cd-0299-40d7-b599-910f83122a0e.jpg.296x216.jpg', '应天花园双卧朝南两居室 明厨明卫满五年 采光佳', '应天花园  | 2室1厅 | 52.95平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  能仁里', '142万', '单价26818元/平米')
('https://image1.ljcdn.com/320100-inspection/7831dfdb-d33b-4c5a-8fac-2563bb90094e.jpg.296x216.jpg', '万科金色里程 开发商装修交付 诚售', '万科金色里程  | 2室1厅 | 68.5平米 | 南 | 精装 | 有电梯', '高楼层(共9层)2010年建板塔结合  -  铁心桥', '230万', '单价33577元/平米')
('https://image1.ljcdn.com/320100-inspection/f48e07b8-3cb1-4888-91ab-64df04106ca0.jpg.296x216.jpg', '虹悦城 能仁里 安德门中华门 精装修 采光充足', '凤凰和美  | 3室2厅 | 123.5平米 | 南 北 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  能仁里', '495万', '单价40081元/平米')
('https://image1.ljcdn.com/320100-inspection/bc5054b3-763d-4c35-8cb1-86e7322bc4a3.jpg.296x216.jpg', '能仁里1号 好房出售  采光好 看房方便', '能仁里1号  | 2室1厅 | 66.12平米 | 南 | 其他 | 有电梯', '低楼层(共11层)1995年建板楼  -  雨花新村', '225万', '单价34030元/平米')
('https://image1.ljcdn.com/320100-inspection/7a066a5b-cc7e-41ec-9f92-f269117f497d.jpg.296x216.jpg', '能仁里16号 刚需小两房 楼层好 交通便利', '能仁里16号  | 2室1厅 | 54.32平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1985年建板楼  -  雨花新村', '152万', '单价27983元/平米')
('https://image1.ljcdn.com/320100-inspection/30d0a9b4-a235-4ddf-8516-4758254f6322.jpg.296x216.jpg', '雨花新村好房出售  装修不错 房子干净清爽 看房方便', '雨花新村五村  | 3室1厅 | 72.23平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1983年建板楼  -  雨花新村', '210万', '单价29074元/平米')
('https://image1.ljcdn.com/320100-inspection/b38e428b-b4da-48ac-9a5b-3279f69b39f1.jpg.296x216.jpg', '雨花新村三村 采光充足 交通便利 配套成熟', '雨花新村三村  | 3室1厅 | 60.9平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1988年建板塔结合  -  雨花新村', '155万', '单价25452元/平米')
('https://image1.ljcdn.com/320100-inspection/12b00385-cfc8-4c38-9817-f8cdd3bb7052.jpg.296x216.jpg', '此房满两年 楼层好 视野开阔，采光不挡，业主诚心出售', '亚东国际公寓  | 2室1厅 | 89.09平米 | 南 北 | 其他 | 有电梯', '中楼层(共24层)2009年建板塔结合  -  能仁里', '345万', '单价38725元/平米')
('https://image1.ljcdn.com/320100-inspection/ab354607-72b8-44ee-a353-c795ffbde3dd.jpg.296x216.jpg', '满五年无个税 楼层好 南北通透 交通便利', '菊花新村二村  | 2室1厅 | 62.6平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1986年建板塔结合  -  小行', '160万', '单价25560元/平米')
